Student
Susann Haering
Krista Hofmann
Hans-Günther Wilmsen
Xaver Schönland
Univ.Prof. Traudel Wernecke B.A.
Hans-Martin Junk-Kuhl
Ing. Jens Henck B.Eng.
Henny Wulff
Hannelore Haase
Michelle Pohl
Gisa Mohaupt
Herr Hans-Martin Heuser
Annika Lindner
Helge Schuchhardt
Alwine Bien
Eitel Hethur
Herr Jerzy Drub
Paolo Weller-Heinrich
Wilma Röhrdanz
Timo Spieß
Leonhard Patberg
Prof. Magda Textor
Dipl.-Ing. Daniele Geißler
Ing. Petar Wilmsen
Gertraude Hahn
Maren Drub
Anne-Marie Drewes
Hildegunde Stiebitz-Mude
Georgine Schinke
Dr. Robert Neuschäfer
Herr Darius Heuser
Stavros Meyer
Anika Binner-Löffler
Lisette Mühle
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Franziska Beer
Reza Misicher
Ali Briemer-Klemm
Gert Naser
Philipp Lorch
Zeljko Baum
Ilona Roskoth-Bolander
Kordula Lange
Bernward Fröhlich
Heinz-Peter Biggen
Heimo Gorlitz B.A.
Ing. Nadeschda Bohlander
Iris Mans
Dominik Spieß
Herr Dimitri Mohaupt B.A.
Eleni Mühle MBA.
Ing. Paolo Meister
Cäcilie Schmidt
Moritz Roht
Regine Meyer
Stjepan Wesack-Winkler
Alois Römer-Becker
Annelene Möchlichen-Weiß
Prof. Sandra Klapp
Prof. Trude Schäfer MBA.
Karl-Dieter Thies
Myriam Hänel
Ferenc Pergande B.Eng.
Philip Heß MBA.
Oliver Kohl
Dr. Katalin Knappe B.Eng.
Hendrik Bolzmann-Henschel
Univ.Prof. Metin Martin B.Sc.
Zeljko Jessel
Dagmar Schinke B.Sc.
Univ.Prof. Filiz Rudolph MBA.
Urban Pieper
Riza Römer
Henryk Textor-Gröttner
Bogdan Löffler
Univ.Prof. Irene Budig
Osman Schäfer
Alida Trupp
Univ.Prof. Sergio Kreusel MBA.
Nikolaj Scholz
Dr. Ursel Gute
Ronald Börner-Hentschel
Zlatko Lehmann
Lieschen Rörricht
Dagobert Sorgatz
Prof. Mohammed Kambs
Prof. Constance Austermühle B.Sc.
Christina Schlosser
Kathi Hering
Tilly Pergande
Balthasar Klemm
Dr. Margita Stiebitz
Katja Kruschwitz-Roskoth
Gerda Stey
Wolfhard Ziegert
Diethard Trommler
Till Bolander
Karl-Heinrich Sölzer
Dipl.-Ing. Mathias Metz B.A.
Dr. Annika Gude MBA.
Kathi Christoph
Emma Briemer B.Eng.
Wolf-Dieter Sölzer-Putz
Helmtrud Börner B.A.
Karl-Georg Lehmann
Hartmuth Eberhardt
Reimar Müller
Diedrich Scheel-Hübel
Valentin Döring
Prof. Ingetraud Seidel B.Sc.
Dipl.-Ing. Aloys Hentschel
Tony Wende
Thies Rose
Lucia Kohl
Heidemarie Junitz
Ludwina Haase
Maurizio Eckbauer
Maik Schottin
Ada Ullmann-Hermann
Horst-Peter Faust
Dr. Annekatrin Striebitz
Franz Josef Girschner
Elvira Mälzer
Emmerich Killer
Augustin Lachmann
Oliver Bien
Hasso Mans-Buchholz
Josip Hiller-Hauffer
Marianna Etzler
Traudel Loos
Sandra Scholtz
Imelda Schäfer
Hermann Josef Weihmann
Ing. Cord Hermighausen B.Eng.
Eva-Maria Eberth B.A.
Dipl.-Ing. Birgitta Boucsein
Herr Frank Bolnbach
Ing. Leni Rosenow B.Eng.
Wieslaw Käster
Gunda Warmer
Rosalia Heydrich
Dipl.-Ing. Friedrich Hiller B.Eng.
Univ.Prof. Aloisia Fröhlich B.A.
Christa Säuberlich
Herr Konstantin Neureuther B.A.
Dr. Uta Gumprich
Gerhart Karz
Alf auch Schlauchin
Kunigunde Ziegert
Stefano Atzler
Jasmina Rudolph
Prof. Konrad Neuschäfer
Ingetraut Köster
Anselm Mühle
Univ.Prof. Ladislaus Hande
Dipl.-Ing. Lara Tlustek
Prof. Hans-H. Zimmer
Mechthild Finke
Gundi Sager
Kirstin Kusch-Meister
Gotthilf Bohnbach-Seip
Irene Ditschlerin
Heinz-Dieter Caspar-Hande
Herr Arnulf Kohl
Dr. Hans-Heinrich Kaul B.Eng.
Dr. Lidija Metz
Dr. Alberto Kabus B.Sc.
Laura Mühle
Ehrentraud Kroker
Gunnar Weimer
Stanislaus Geißler
Eckehard Nette
Dr. Sandra Mangold B.Sc.
Dr. Zeki Eberth
Hiltrud Pergande
Magdalena Sauer
Heribert Kensy
Dr. Irmgard Plath B.A.
Hermine Schüler
Univ.Prof. Claus-Dieter Meister B.Eng.
Paolo Klotz-Hein
Ludmilla Pieper
Frau Anja Haering
Prof. Katalin Lindner B.Eng.
Thorben Kitzmann
Hannchen Drewes B.Sc.
Alicia van der Dussen-Patberg
Heidelore Zirme
Edith Binner
Deborah Scholtz B.A.
Hans-Hinrich Trub
Hatice Jessel
Hanne Ackermann
Gönül Barth-Zobel
Elsbeth Schmiedecke-Wulf
Edgar Rohleder-Fröhlich
Amalie Gotthard-Beckmann
Valerij Weller-Barkholz
Zenta Mende
Josef Rädel
Kathrin Johann-Schulz
Dr. Leila Gunpf B.Sc.
Anne-Rose Klemm
Univ.Prof. Ingelore Schulz MBA.
Ulrike Albers
Alice Lachmann-Finke
Irene Stumpf
Ibrahim Eberth
Holger Roskoth B.Sc.
Rosita Budig
Herr Simon Fliegner MBA.
Steve Scholl-Ladeck
Claudio Bolnbach
Univ.Prof. Ditmar Mitschke B.A.
Robert Etzold
Siegrid Paffrath
Raissa Mitschke MBA.
Franziska Jüttner
Herr Jens Becker MBA.
Heidrun Lindner-Bolnbach
Anastasios Drub
Irmtraud Freudenberger
Maren Roht
Nelli Stiebitz
Notburga Pölitz
Hans-Michael Rudolph
Hasan Klemm
Gülsen Junck
Frank-Peter Bien
Kai-Uwe Köhler
Theodor Striebitz
Wolf-Dieter Schmiedt
Dipl.-Ing. Klaus Geisler
Fritz Nerger
Gundi Schwital
Ellen Röhrdanz
Ingried Bähr
Franjo Löffler B.Eng.
Jürgen Herrmann-Koch
Heino Schönland-Hermann
Helmuth Jäntsch
Raphaela Eckbauer
Eileen Hartung
Carina Schaaf
Hanspeter Benthin
Ivo Börner
Dr. Almut Nohlmans B.A.
Dr. Constance Römer
Birgitta Hettner
Cemal Trapp
Paolo Meister
Prof. Folker Budig
Fredi Meyer-Weiß
Dipl.-Ing. Johanna Henck
Adelinde Kensy B.Eng.
Timm Oderwald
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Klaus-D. Sölzer
Betty Steinberg
Kevin Etzler
Liliane Gröttner-Albers
Ulrike Rädel B.Eng.
Hans-Henning Scheel
Univ.Prof. Sahin Freudenberger B.A.
Maik Oestrovsky B.Sc.
Pasquale Karge
Alwin Scholl
Birthe Trommler
Erhard Geisel
Prof. Frithjof Adolph MBA.
Conny Fliegner
Marcella Höfig
Hiltraud Köster MBA.
Cora Reichmann B.A.
Herr Vincenzo Liebelt
Patricia Wiek
Valentin Rädel
Brit Heidrich B.A.
Herr Winfried Vollbrecht B.Eng.
Zlatko Briemer-Karge
Charles Heinz
Janine Hendriks B.A.
Kristina Scheibe
Gabi Klapp
Simone Jacobi Jäckel B.A.
Dr. Edit Scheibe B.A.
Edelbert Stey-Scholz
Fernando Reising
Catrin Caspar
Nada Dowerg-Jähn
Dr. Meinhard Hiller
Frau Gertraude Wesack B.Eng.
Nico Ehlert-Ackermann
Tanja Renner B.Sc.
Paulina Bender-Liebelt
Friedo Lorch
Ing. Konstanze Schmidtke MBA.
Igor Dörschner
Kay-Uwe Jähn-Schwital
Univ.Prof. Blanka Linke B.Eng.
Ing. Helmuth Bruder
Apollonia Heß B.A.
Helge Pohl
Franjo Junitz-Hahn
Peter Sontag
George Weimer
Lambert Misicher-Dörschner
Karl-Dieter Seifert
Swen Schweitzer B.Sc.
Mariana Jüttner
Berthold Haase-Trub
Agnieszka Steckel
Uli Stolze MBA.
Belinda Reinhardt B.A.
Falk Höfig
Roberto Ritter-Fritsch
Selim Pieper
Henny Vogt
Ekrem Spieß
Dorle Rädel
Egbert Jüttner
Dr. Franz-Peter Löffler
Auguste Buchholz B.Sc.
Ing. Nicolai Textor B.A.
Evelin Wagenknecht-Döhn
Stephanie Beer
Rosita Wiek
Süleyman Wende
Klaus-Dieter Hecker
Dipl.-Ing. Gilbert Plath B.Sc.
Marijan Kruschwitz
Sigrid Jockel
Knud Zimmer
Leila Hethur
Ekkehard Holzapfel
Gülsen Benthin
Gitte Rohleder-Bruder
Gesine Graf
Damian auch Schlauchin B.Eng.
Adelgunde Wagenknecht
Dipl.-Ing. Traudel Eigenwillig
Karl-Heinz Hahn
Fredi Lindner
Ing. Galina Schenk
Rüdiger Bien-Hübel
Rosalinde Losekann
Theodor Mangold
Thea Bauer
Johannes Bärer
Wilma Paffrath
Paolo Zänker MBA.
Lotte Kitzmann B.A.
Marita Berger B.A.
Ladislaus Hande
Lorenz Schwital-Stadelmann
Ing. Karl-Peter Weinhold B.Sc.
Lotti Mosemann
Prof. Attila Werner B.A.
Univ.Prof. Gino Wagner B.Sc.
Liane Kambs
Uschi Keudel
Engin Hofmann
Dipl.-Ing. Matteo Baum
Prof. Bianka Schacht
Univ.Prof. Marc Schmiedt
Univ.Prof. Amalie Warmer B.Eng.
Ing. Romy Gieß
Prof. Hans-Peter Noack B.A.
Almuth Haase
Jonas Mühle
Jiri Förster
Rosa Rosenow B.Eng.
Dr. Jeannine Schleich B.Sc.
Univ.Prof. Hans-Eberhard Bauer
Lena Holzapfel
Frau Herlinde Schleich B.Sc.
Gesche Trub
Dr. Siegfried Heinz B.Eng.
Aziz Bähr B.A.
Jonas Walter
Frau Kordula Geisler MBA.
Anne-Kathrin Ortmann
Sibel Weller
Annamaria Scholtz
Ing. Loni Gnatz MBA.
Herr Wladimir Bolnbach
Erwin Jungfer
Bartholomäus Trapp
Univ.Prof. Czeslaw Tröst
Nicole Scheibe
Roger Gunpf-Paffrath
Suse Pergande-Gröttner
Jiri Kambs
Prof. Wolfgang Mohaupt
Notburga Huhn
Alwine Sager
Frau Etta Wesack MBA.
Gotthard Löwer
Tina van der Dussen
Gordana Budig B.A.
Brita Klemm
Jonas Adler
Isabell Kroker B.Eng.
Frau Edeltraud Radisch B.A.
Judith Hering B.A.
Johan Baum
Gereon Wende MBA.
Cornelia Römer
Joerg Fritsch-Pieper
Uli Zimmer
Kuno Mälzer B.Eng.
Herr Bartholomäus Adolph MBA.
Marion Weinhold-Pechel
Prof. Augustin Stey B.A.
Giesela Börner B.Eng.
Hans-Erich Warmer B.A.
Nurettin Dippel
Hansgeorg Kruschwitz
Rolf-Peter Rosenow MBA.
Prof. Gertrude Renner B.A.
Lidija Pärtzelt
Frank-Peter Haase
Sinaida Heinz-Gnatz
Prof. Cora Bolander
Sybilla Hornig
Jörg-Peter Dowerg
Janus Weitzel-Koch
Prof. Mechtild Steuer
Gerti Trupp-Dowerg
Thaddäus Kraushaar-Ruppert
Herr Anthony Caspar
Jann Schleich
Hugo Keudel B.A.
Prof. Irmela Hellwig B.Sc.
Dr. Gabriel Junitz
Gregor Dippel
Sarah Beckmann
Hans-Willi Baum-Staude
Teresa Schomber B.A.
Marie-Therese Schleich
Marc Heintze B.A.
Wolfhard Rosemann B.Eng.
Dorit Ebert
Heiderose Bärer
Marisa Hartmann-Kusch
Joana Mielcarek B.A.
Hans-Willi Benthin
Marica Martin
Adam Hölzenbecher-Hettner
Margaretha Kohl B.Sc.
Ingetraut Jopich
Gesa Bender
Hubertine Krein
Katherina Klapp
Irmtraut Haase-Hendriks
Madlen Lübs
Dr. Natascha Schmidtke B.Eng.
Irina Täsche
Margaretha Heintze-Henk
Nadja Häring B.Eng.
Konstantinos Stolze-Biggen
Hanno Löffler
Univ.Prof. Josefine Lindau
Prof. Cilli Wulf
Ing. Gabriella Bähr
Hardy Wende B.Sc.
Univ.Prof. Suzanne Paffrath
Edwin Förster-Albers
Michaela Hecker B.Eng.
Prof. Hans Dieter Kitzmann MBA.
Norman Wulf
Dr. Immo Kramer
Ing. Roman Tröst
Tibor Briemer
Univ.Prof. Amelie Gröttner B.Eng.
Grete Rudolph
Fatih Zirme
Guiseppe Kranz
Rene Henck
Prof. Gaby Ernst MBA.
Liliana Zorbach MBA.
Nada Butte
Freia Lübs
Nelly Schlosser
Dr. Hans-Albert Stroh
Anneke Nohlmans
Guenter Lachmann
Edith Hettner
Kunigunda Reising
Eberhard Pechel
Ida Weihmann
Francesco Nerger
Damaris Bien
Nina Putz-Ritter
Cynthia Langern
Lisa Rädel-Bender
Ing. Eckehard Bloch MBA.
Daniel Zänker
Prof. Gertraude Mangold B.Eng.
Frank-Michael Klemt
Ing. Erica Schottin
Ing. Gabriela Dippel MBA.
Rene Berger-Jäkel
Prof. Gabriella Holt B.Eng.
Brunhilde Nohlmans
Ing. Adalbert Heser
Olav Thies
Elena Gotthard
Luisa Seip B.Sc.
Erol Kreusel B.Sc.
Frau Bruni Krein B.A.
Janko Margraf MBA.
Olga Stahr
Anatolij Kroker B.Eng.
Frau Evelyne Süßebier B.Eng.
Irmingard Reising
Heimo Huhn B.A.
Marzena Mentzel
Ante Hermann-Mans
Prof. Hubert Heß
Eckehard Steckel
Univ.Prof. Diedrich Köhler B.A.
Milos Knappe-Scholz
Victoria Hiller
Kazim Rohleder
Hans-Rudolf Fröhlich
Galina Kraus-Hermighausen
Dr. Ehrhard Gieß B.Sc.
Ildiko Mitschke B.Sc.
Ralf-Peter Ebert
Kristiane Steckel
Manuela Linke B.Eng.
Agnes Ullmann
Nikolas Hövel
Zoran Oestrovsky
Lilija Ruppert
Cornelia Radisch
Valerie Kallert B.A.
Kristina Röhricht
Kira Eckbauer
Diethelm Hofmann
Prof. Lotti Löffler
Mareile Meister
René Matthäi
Heimo Karge-Freudenberger
Frau Svenja Hövel B.Sc.
Dierk Beier
Tilman Henschel
Jasmina Koch MBA.
Univ.Prof. Hans-Albert Ruppert
Ing. Hannes Jähn B.Sc.
Mareen Mans
Ing. Hanne-Lore Ackermann
Herr Evangelos Schacht
Pero Gutknecht
Anto Niemeier
Dr. Otto Schmidtke MBA.
Leo Gunpf-Bolzmann
Maya Conradi
Valeria Conradi
Gertraude Tintzmann
Univ.Prof. Andrea Gieß B.Eng.
Bianka Scheuermann
Maja Jungfer
Frau Anka Hering
Prof. Urs Täsche
Volker Adler
Marica Hamann-Koch
Helga Salz
Kriemhild Jähn
Friedhold Löwer-Ebert
Dipl.-Ing. Peer Kuhl
Dominic Möchlichen
Anica Kade-Steuer
Gislinde Wagenknecht
Traude Kuhl
Prof. Annita Wulff
Daniela van der Dussen B.Eng.
Dipl.-Ing. Franz Reising
Univ.Prof. Waldtraut Riehl
Alexei Meister
Kay-Uwe Ziegert
Calogero Staude B.A.
Guenther Metz
Tillmann Matthäi B.Eng.
Sigmar Briemer
Stephan Hauffer
Fatma Seidel B.A.
Jolanda Henck
Ulla Fliegner-Sölzer
Fanny Zänker-Hein
Fadime Heidrich B.A.
Dipl.-Ing. Konrad Schenk
Wanda Vollbrecht-Reinhardt
Emmy Koch
Univ.Prof. Milan Hande
Heinz-Joachim Kobelt
Marten Möchlichen
Pietro Klingelhöfer
Anatolij Junk
Annett Dehmel MBA.
Ilonka Lange
Ing. Mahmoud Becker
Siegfried Knappe
Marko Trupp
Herlinde Schenk B.A.
Frau Bianka Henk B.Sc.
Dietrich Kruschwitz
Francoise Freudenberger-Stey
Irmgard Täsche B.A.
Harro Keudel
Univ.Prof. Arne Hoffmann
Wiebke Hölzenbecher
Fernando Gieß
Ingelore Heinz
Pawel Peukert-Rörricht
Irmengard Jüttner B.Eng.
Eberhard Junitz
Karoline Römer
Edmund Siering
Dr. Lisa Stroh B.Sc.
Wiebke Gehringer
Sylvester Neuschäfer-Schacht
Tilman Hövel
Univ.Prof. Anneke Gunpf
Ortwin Scholl
Bertha Gotthard
Dr. Natascha Trüb
Sieghard Hahn
Dipl.-Ing. Igor Henck B.A.
Desiree Gierschner B.Eng.
Univ.Prof. Siegrun Klingelhöfer MBA.
Dr. Jane Kostolzin
Josephine Rogge
Antonietta Kostolzin
Dipl.-Ing. Lioba Plath
Dr. Bastian Christoph MBA.
Editha Jacob
Mathilde Kreusel
Dr. Hans-Hermann Rosemann B.A.
Irmtraud Ladeck
Maurizio Tschentscher
Friedericke Lehmann B.Sc.
Helga Mosemann-Hecker
Philip Mangold
Senta Renner
Samir Wähner-Butte
Ing. Gotthard Reuter B.A.
Mirja Schottin
Janet Ullrich
Rene Albers
Aleksej Fröhlich
Michelle Klingelhöfer B.Eng.
Prof. Lieschen Bohlander
Natalija Haering
Emilie Bolander
Kenneth Köhler-Kaul
Herr Muzaffer Schäfer
Univ.Prof. Paul-Heinz Heinz
Wulf Kusch
Olga Krein
Friedrich-Wilhelm Metz
Astrid Nerger-Tröst
Lutz Kobelt
Dipl.-Ing. Harm Ruppert MBA.
Marvin Kade-Ladeck
Franca Börner
Ing. Gerold Mende
Siegrid Hande
Reinhold Striebitz
Janos Winkler B.A.
Leopoldine Butte
Apollonia Trüb B.A.
Ilse Krebs
Ruthild Juncken B.Sc.
Univ.Prof. Ewald Rogner B.Sc.
Dorina Rust
Ing. Wolf-Rüdiger Weihmann B.Eng.
Insa Jacobi Jäckel
Sara Heuser
Denny Lachmann
Dunja Dörr B.Sc.
Isa Kramer-Matthäi
Eva Mosemann
Arnulf Kusch
Serge Grein Groth
Dörte Schlosser
Herr Falk Holzapfel
Friedbert Sorgatz
Massimo Ernst
Prof. Ralf-Peter Schlosser B.Eng.
Annelise Schwital
Gudrun Heß B.Sc.
Irmtraud Hauffer-Matthäi
Hans-Günther Eimer
Luzie Schäfer
Dr. Alma Warmer MBA.
Katharina Käster MBA.
Filippo Hermann
Herr Gerold Kreusel
Anica Sorgatz B.Sc.
Klaus-Werner Jäkel-Holsten
Siegrun Schomber
Dr. Stephanie Ladeck
Miguel Briemer
Dr. Rosalinde Stolze B.Eng.
Liane Reuter
Danilo Hartmann
Hansgeorg Beier-Freudenberger
Swen Wirth
Niklas Trubin
Melissa Dietz
Susana Schaaf
Nicolaus Seifert
Hagen Girschner
Prof. Ivonne Boucsein B.Eng.
Ellen Vogt
Gebhard Eberth B.Eng.
Dipl.-Ing. Claudia Häring
Raymond Ruppersberger
Wencke Heinrich
Damaris Zirme
Roderich Scholtz
Dr. Maren Steckel B.Sc.
Theresa Schüler
Giuseppe Preiß
Ibrahim Lehmann B.Eng.
Gloria Lachmann MBA.
Susanna Söding
Danny auch Schlauchin
Otmar Schmidtke
Aenne Sölzer B.A.
Lilli Harloff
Ing. Tillmann Geisel
Uwe Schwital MBA.
Ing. Marleen Hölzenbecher MBA.
Zita Ullmann-Heydrich
Julian Dussen van B.Eng.
Magdalene Mude
Yvette Schinke
Univ.Prof. Sebastian Sontag
Gilbert Peukert B.Eng.
Gabriele Stahr
Prof. Wolf-Dietrich Schweitzer MBA.
Prof. Henriette Killer
Daria Stiffel
Sylke Binner B.A.
Hildegunde Geißler-Klemm
Prof. Hans-Hinrich Schmidt
Eduard Ruppersberger
Reimar Rädel
Irmtraud Schönland
Ing. Anastasios Berger
Ing. Hellmuth Scholl
Dipl.-Ing. Danuta Stumpf B.Eng.
Ing. Irmtraud Wiek MBA.
Andrei Hertrampf-Trommler
Käthi Löffler
Frau Elsa Mälzer
Klaudia Vollbrecht B.A.
Danuta Kensy
Heidelinde Pruschke
Birger Becker
Manuel Krause MBA.
Juan Noack
Svetlana Schenk-Barth
Halil Warmer B.Sc.
Frau Elfi Winkler MBA.
Sören Trommler
Dusan Zahn B.A.
Ing. Magda Jäntsch
Horst Hauffer B.Eng.
Reinhilde Hesse B.Sc.
Dipl.-Ing. Zeljko Stumpf B.A.
Rudolph Metz-Mitschke
Sara Johann
Anthony Heintze
Tülay Scholtz
Silvio Scholl B.Eng.
Margit Losekann
Heinz-Wilhelm Kuhl
Ernestine Trommler
Dr. Sonia Hornich B.Eng.
Roswita Atzler
Ing. Knut Christoph
Univ.Prof. Harriet Heintze
Roswita Gumprich-Butte
Kornelius Winkler
Ilija Eckbauer-Steinberg
Bernt Conradi
Mehmet Löwer-Trupp
Elizabeth Wulf
Süleyman Baum
Ralf-Peter Gute
Rose Beer
Felix Müller
Theo Trubin
Doris Karz
Annemarie Häring
Prof. Raymond Söding
Univ.Prof. Roman Misicher
Sofie Fiebig-Hermighausen
Helene Kuhl-Austermühle
Mijo Karge-Löchel
Dipl.-Ing. Hermann-Josef Jüttner
Frau Inken Zimmer B.Eng.
Gerdi Neureuther-Mälzer
Julius Liebelt
Gunda Knappe
Dr. Senol Beier MBA.
Ing. Lisbeth Fritsch
Philipp Killer B.A.
Dr. Uli Segebahn
Bertha Köhler
Fredy Bachmann B.Eng.
Erich Klotz B.Sc.
Ing. Eugenie Birnbaum
Karla Wirth
Frau Mirjana Baum B.Sc.
Mario Bärer
Klaus-D. Dippel MBA.
Marit Mühle
Gerold Thanel
Gisa Budig-Löwer
Hellmuth Heidrich
Rainer Scheel B.Eng.
Frau Patricia Schmiedecke B.Eng.
Prof. Mathias Kambs
Brunhild Karge B.A.
Liesa Wilms B.A.
Gisela Hornich-Metz
Elmar Förster
Herr Imre Kohl
Univ.Prof. Belinda Henck
Bogdan Steckel B.Eng.
Roger Hendriks-Ruppersberger
Herr Steven Eberhardt
Irene Gotthard-Hoffmann
Alan Eigenwillig
Raymund Thanel
Dr. Lidija Weihmann
Benno Klemt
Frau Gudrun Huhn B.Sc.
Mariana Kranz
Jutta Franke-Rosenow
Damian Dörr
Mehdi Neureuther
Ehrhard Pruschke
Prof. Hannah Hölzenbecher MBA.
Fatih Bohlander
Frau Conny Klemt
Viktor Kusch
Ottilie Blümel
Nathalie Lehmann
Christl Wähner
Ryszard Lorch
Maya Lindner-Zimmer
Klaus-Peter Schüler-Schaaf
Anton Müller
Gaetano Paffrath
Gert Seifert
Dorle Dörschner
Ingeborg Wesack
Elwira Wirth
Sabrina Kohl
Hansjörg Müller B.Sc.
Univ.Prof. Karin Beier
Dr. Zehra Etzler
Dorothea Etzler
Dipl.-Ing. Ismet Käster B.Eng.
Cosimo Bender
Prof. Theobald Mangold
Karl-Hans Schuchhardt-Mohaupt
Leonid Hein B.Sc.
Herr Hansjoachim Geisler
Wladimir Möchlichen MBA.
Alicia Ring
Ole Ritter MBA.
Fritz Schenk B.A.
Prof. Knud Salz
Univ.Prof. Siegfried Karz B.Sc.
Evelyn Bien
Gero Schomber
Karolina Reuter-Freudenberger
Jurij Eimer
Heinrich Rogner
Janusz Rädel B.Sc.
Anna-Luise Eckbauer
Baptist Gröttner B.Sc.
Univ.Prof. Fedor Eimer
Geraldine Eckbauer
Univ.Prof. Roger Stadelmann B.Sc.
Hildegunde Wende-Spieß
Claas Wirth B.Sc.
Ricarda Steuer
Nico Hartung-Linke
Adina Finke
Dr. Valentin Eigenwillig
Frank-Peter Weimer
Margarethe Wagenknecht
Frau Anne-Kathrin Wagner
Dipl.-Ing. Petar Wohlgemut
Anne-Marie Stumpf
Hans-Martin Kambs
Herr Ilja Kroker
Ulrich Plath-Weihmann
Nikolaos Dehmel B.A.
Katerina Barkholz
Alwine Linke
Tamara Nette-Ladeck
Vito Davids-Schwital
Univ.Prof. Romana Hiller
Dipl.-Ing. Jose Löchel
Victoria Werner MBA.
Patrizia Wirth
Isidor Täsche
Carsten Jüttner B.Eng.
Eugenie Benthin-Ziegert
Prof. Rolf-Dieter Fiebig MBA.
Evangelos Staude
Josephine Nerger-Mende
Wenzel Drubin
Gerhart Davids B.A.
Nicole Hoffmann
Emanuel Schinke B.Sc.
Ing. Thekla Beyer B.Sc.
Susann Hartung-Schmiedecke
Marius Klotz
Eveline Wagenknecht
Univ.Prof. Trudel Gierschner MBA.
Juergen Bähr
Ada Kreusel
Ekaterina auch Schlauchin
Anne-Katrin Butte MBA.
Giuseppina Keudel
Oskar Beyer
Calogero Heintze
Dipl.-Ing. Jens-Peter Dippel MBA.
Aleksandra Benthin
Kathi Wesack
Achim Budig
Zenon Hahn MBA.
Dipl.-Ing. Slobodan Sölzer
Univ.Prof. Catharina Neureuther B.Sc.
Dr. Semra Wagenknecht
Janette Wiek
Annie Noack
Miroslav Krein
Alessandro Henk-Käster
Heinz-Georg Rosemann-Bohnbach
Svea Krebs-Scheibe
Siglinde Zahn
Andree Wilmsen B.Eng.
Lili Weimer
Sibilla Mälzer
Dipl.-Ing. Elly Davids B.Sc.
Johanna Finke-Ehlert
Zita Wieloch-Scholtz
Rene Rohleder
Zehra Conradi-Heinrich
Nicolai Gutknecht
Hanne Gierschner
Edda Gertz B.Eng.
Dr. Edith Ring B.Sc.
Conrad Lindau
Rudi Schacht
Carin Atzler
Fatma Möchlichen
Hans Georg Gorlitz-Schäfer
Angelina Noack-Wagenknecht
Hajo Kranz-Heser
Herr Hans-Ludwig Steinberg
Heide-Marie Adler B.Eng.
Sylvana Hornich MBA.
Dr. Gabriel Freudenberger MBA.
Vassilios Trommler-Gieß
Janina Faust MBA.
Frau Belinda Plath B.A.
Lisbeth Karge
Jessika Käster
Tibor Budig
Janin Haase
Egbert Heintze
Ing. Anneli Nerger
Dr. Matthias Niemeier
Magarete Beyer B.Eng.
Irmela Krein-Bolzmann
Hilmar Spieß
Univ.Prof. Kirstin Killer B.Eng.
Frauke Staude
Sinaida Roskoth B.A.
Evelyn Stolze
Prof. Irmhild Fritsch
Gunnar Hentschel
Univ.Prof. Margareta Naser
Prof. Heinz-Josef Radisch B.A.
Elisa Mälzer
Herma Möchlichen
Frederik Beyer
Vitali Junken
Heinrich Ackermann
Fatima Weinhage-Boucsein
Franz-Josef Schmidtke
Willibald Holsten
Herr Filippo Rosemann B.A.
Dipl.-Ing. Margarita Stey
Carsten Junken
Marie-Therese Steuer
Roderich Weitzel
Adrian Trupp
Prof. Ferdinand Gertz B.Sc.
