Student
Cläre Heser
Janusz Kruschwitz B.Eng.
Rico Cichorius
Univ.Prof. Ilja Hentschel MBA.
Rolf-Dieter Flantz B.Eng.
Prof. Karen Henk MBA.
Dr. Gabriel Junitz
Mariusz Hartung
Kaspar Aumann
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Anneliese Trub
Dr. Annita Kallert
Univ.Prof. Gerhardt Dowerg B.Eng.
Ing. Maria Lübs
Prof. Clemens Söding
Bertha Gotthard
Sonia Gorlitz-Mude
José Gröttner B.Sc.
Magdalena Sauer
Uwe Sorgatz
Christl Wähner
Dr. Samuel Tröst
Diana Jessel-Geißler
Adriane Wende
Erhard Geisel
Elsbeth Schmiedecke-Wulf
Mehdi Niemeier-Noack
Arno Ullmann
Dipl.-Ing. Berit Weinhage
Niko Geißler-Wirth
Katherina Ruppert
Univ.Prof. Franz-Josef Holt
Ing. Galina Hahn
Thea Nette
Ing. Corinne Winkler
Michelle Kitzmann
Ilonka Buchholz-Köhler
Gregor Knappe B.Eng.
Frederik Rust
Herr Gustav Noack
Irmi Gute
Robert Etzold
Hans-H. Schönland
Sylvia Schenk
Prof. Marie Plath
Gaetano Fröhlich
Ekaterina Conradi
Wiltrud Bolander
Heidrun Stiebitz
Dr. Krista Wirth
Ing. Canan Gutknecht B.A.
Sigurd Höfig B.Sc.
Ekrem Hornich
Dipl.-Ing. Agatha Pruschke
Constantin Jacob B.Sc.
Angelika Roskoth
Hannah Stiffel-Börner
Gudrun Rörricht
Lorenzo Zänker
Johanne Kusch
Univ.Prof. Ivonne Haase B.Sc.
Prof. Linus Kambs B.A.
Dr. Danica Scheuermann B.Sc.
Melissa Dietz
Etta Hellwig
Klaus-D. Segebahn
Alena Neureuther
Hans Josef Reinhardt B.A.
Edda Stahr
Burkhardt Holt
Harro Vogt-Gieß
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Ing. Margot Bonbach B.Eng.
Ing. Pawel Rörricht
Univ.Prof. Francesco Schulz B.Eng.
Liliane Steuer
Carola Franke
Frau Hella Stumpf
William Zirme
Cemal Klingelhöfer-Otto
Karin Beckmann
Alexej Wagner
Herr Roderich Hauffer
Herr Wieslaw Trupp
Ing. Wencke Speer
Birthe Trommler
Aurelia Sorgatz
Gaetano Lübs
Justus Lorch
Ing. Elenore Kostolzin
Edelgard Finke B.Eng.
Frau Theodora Hettner B.A.
Margaretha Heintze-Henk
Erol Röhrdanz
Herr Falk Holzapfel
Univ.Prof. Hanspeter Gorlitz
Heinz-Günter Hesse
Evelin Gerlach
Deborah Finke
Ahmad Jacobi Jäckel
Annaliese Klingelhöfer
Laura Beier
Dipl.-Ing. Jiri Walter
Jiri Hoffmann B.Sc.
Viola Sager
Margot Schäfer B.Eng.
Prof. Alida Mangold MBA.
Fanny Zänker-Hein
Mehmet Sauer
Milan Weiß-Schuchhardt
Francoise Dippel B.Eng.
Heimo Hübel MBA.
Prof. Irma Bien B.Eng.
Wibke Cichorius
Diether Vogt B.A.
Mike Krein
Sigmund Mosemann
Serge Kade
Franca Mentzel
Emmerich Killer
Marie-Therese Steuer
Dipl.-Ing. Tomislav Dowerg B.Eng.
Rosemarie Schmiedecke
Prof. Wilma Mangold
Ing. Marcel Gute
Ditmar Pölitz B.A.
Annelene Möchlichen-Weiß
Ottomar Kraus
Lilli Harloff
Marcus Langern
Dipl.-Ing. Lilly Boucsein B.Sc.
Sibylla Pohl
Ing. Utz Klemt B.A.
Univ.Prof. Ladislaus Hande
Ursel Eckbauer
Gerhart Staude
Falk Ritter
Hellmut Bruder
Antonina Neureuther
Elfi Herrmann MBA.
Ing. Bianca Paffrath
Carin Binner
Cindy Meyer
Ole Schmidtke
Carmelo Weinhold
Norma Jungfer
Patric Hermighausen MBA.
Prof. Jürgen Blümel B.A.
Konstantinos Lindner
Philipp Lorch
Philipp Killer B.A.
Jeannette Heuser
Margitta Hethur MBA.
Sibilla Mälzer
Reinhart Becker
Bernhardine Bender MBA.
Jasmina Rädel
Gunar Börner
Sylvester Neuschäfer-Schacht
Prof. Meral Jüttner MBA.
Isa Kramer-Matthäi
Vitali Faust B.Eng.
Univ.Prof. Edit Ehlert B.Eng.
Melissa Gehringer
Dipl.-Ing. Daniele Geißler
Univ.Prof. Leif Süßebier B.A.
Alwine Wulf
Tanja Plath
Süleyman Baum
Zofia Gumprich
Walli Baum-Kohl
Frau Anne-Kathrin Wagner
Univ.Prof. Dolores Jäkel
Robert Budig-Ullmann
Frithjof Mielcarek MBA.
Klaas Eckbauer
Robert Weimer
Georgia Trub
Margret Dehmel
Pierre Ortmann
Prof. Dolores Butte
Gusti Schleich
Nikolaj Scholz
Aurelia Dussen van MBA.
Stefanie Hertrampf MBA.
Konstantinos Stolze-Biggen
Heinrich Rogner
Regina Becker
Miriam Ehlert MBA.
Marcella Höfig
Univ.Prof. Gunter Kaul
Wolfhard Vogt
Reimer Kitzmann
Frederik Beyer
Dr. Heiderose Kallert B.Eng.
Mariana Jüttner
Univ.Prof. Diethard Klotz
Maurice Pieper-Loos
Walentina Hesse
Patricia Wiek
Nikola Kitzmann
Horst-Dieter Gude
Elke Scholl MBA.
Gitta Berger
Ing. Hans-Heinrich Reichmann B.Sc.
Marta Roht B.Sc.
Rainer Gunpf B.Eng.
Johan Heydrich
Andrea Ziegert
Edeltraud Mülichen
Priska Rädel
Julian Lehmann-Ortmann
Karl-Wilhelm Rogner
Notburga Pechel B.Eng.
Miguel Dussen van B.Eng.
Kathi Seip
Brigitte Zirme B.Sc.
Zeki Otto
Sophie Pruschke
Dipl.-Ing. Cora Baum
Harm Sontag-Wilms
Horst-Günter Zirme
Sofia Roht MBA.
Rosi Spieß
Miguel Lehmann
Sina Wulff-Dussen van
Luciano Tintzmann
Ing. Torben Hande MBA.
Tina Henschel
Maria-Theresia Tschentscher
Kathy Kitzmann
Roderich Weitzel
Dr. Patrizia Dörschner B.A.
Univ.Prof. Herlinde Klotz
Iris Kraushaar B.Sc.
Sarina Dörr
Prof. Beatrice Misicher
Dipl.-Ing. Pero Ruppersberger B.Sc.
Salvatore Eberhardt-Ring
Univ.Prof. Monja Staude MBA.
Bodo Kranz-Striebitz
Peggy Sauer
Raissa Mitschke MBA.
Vadim Jacobi Jäckel
Salvatore Ruppersberger
Ariane Löchel
Milos Trüb
Univ.Prof. Hans-Eberhard Bauer
Gunhild Nohlmans
Susann Henk
Franz-Josef Schmidtke
Paolo Schmidt B.A.
Nuray Aumann
Herr Mirko Häring B.Sc.
Alwina Hettner
Susann Mielcarek
Ing. Loni Gnatz MBA.
Martina Keudel
Dr. Denise Girschner B.Sc.
Univ.Prof. Ioannis Lübs B.Eng.
Bettina Lachmann
Sami Linke B.A.
Marcel Fechner
James Kostolzin-Haase
Krista Bohnbach
Siegbert Bachmann-Hövel
Dr. Meral Thies B.Sc.
Stilla Klotz
Steffen Rust B.Eng.
Dipl.-Ing. Maik Mende B.Sc.
Verena Höfig
Annemarie Schaaf B.Sc.
Sönke Gumprich
Hanns Stiffel
Hilmar Faust
Dr. Dora Fischer
Kirstin Kusch-Meister
Birte Jüttner
Dipl.-Ing. Alexandros Weinhold
Zofia Gutknecht
Klothilde Zänker
Dr. Lisa Kusch
Frau Kirsten Geißler
Dr. Frederik Dobes MBA.
Dipl.-Ing. Hanns Killer B.Sc.
Heiderose Bärer
Domenico Gerlach-Kramer
Norbert Niemeier
Stefania Möchlichen
Mandy Loos
Peter Mitschke
Dr. Gerold Dörschner
Annie Hänel
Rebecca Oderwald
Susi Grein Groth-Steuer
Dr. Marie-Theres Möchlichen B.A.
Maximilian Steinberg
Andrej van der Dussen B.A.
Dr. Zehra Etzler
Prof. Alexei Krebs
Hans-Georg Anders
Gabriella Schuster
Gertraut Koch II
Annelore Juncken
Knud Trommler
Prof. Magdalena Bohlander B.Sc.
Helene Gröttner-Hornich
Serge Kraus B.Eng.
Annita Lorch
Guenther Schmidt
Jadwiga Gotthard
Meral Liebelt
Daniele Pieper-Käster
Dipl.-Ing. Jaroslav Henk
Frau Marie-Therese Mielcarek
Herr Goran Paffrath
Dipl.-Ing. Tamara Seifert B.A.
Silvester Fischer
Maren Drub
Dipl.-Ing. Aloys Hentschel
Helen Hahn
Marieluise Schulz
Ingrid Eigenwillig
Elisa Noack-Seifert
Prof. Trude Schäfer MBA.
Prof. Beatrix Döring MBA.
Dr. Laila Peukert
Evamaria Berger
Raymond Römer
Ing. Alberto Werner
Jonas Albers
Dipl.-Ing. Slavica Mälzer
Janus Walter
Lotte Kusch
Paola Kroker-Klotz
Ann Spieß MBA.
Katja Kruschwitz-Roskoth
Sigmund Hentschel MBA.
Victoria Klingelhöfer
Jörgen Putz B.A.
Benita Neuschäfer
Milos Pärtzelt B.Sc.
Hans-Detlef Schleich
Gerda Stey
Dipl.-Ing. Lieselotte Trüb B.A.
Herr Ilja Kroker
Eric Briemer
Marit Söding
Piotr auch Schlauchin-Reuter
Gabriele Käster
Judith Hering B.A.
Karl-August Reichmann B.Sc.
Ellen Hahn-Spieß
Hans D. Haering
Dipl.-Ing. Sibylle Kensy
Rosalinde Trupp
Marlene Heuser-Trub
Univ.Prof. Jeannette Schleich B.Sc.
Arno Lindner
Francesco Nerger
Dietlinde Binner
Milena Weitzel-Steinberg
Hansjürgen Weitzel
Ing. Gundi Boucsein B.Sc.
Mira Sontag
Denis Etzold
Gilbert Steuer-Rosemann
Fatma Hein
Hildburg Tlustek
Apostolos Kreusel-Noack
Centa Kaul
Dr. Irmtraut Gnatz B.Eng.
Rochus Gude
Gerhild Löffler
Concetta Wohlgemut
Attila Rogner
Linda Ziegert-Junken
Vittorio Hertrampf
Ing. Ramazan Kabus B.Eng.
Heinz-Peter Biggen
Bogdan Römer B.Eng.
Helge Pohl
Kreszentia Bloch-Kohl
Herr Hellmuth Birnbaum B.A.
Hans Georg Gorlitz-Schäfer
Dipl.-Ing. Marica Sager
Maren Bachmann-Stumpf
Reza Kusch
Alois Werner
Kathrin Johann-Schulz
Nikolas Hethur MBA.
Cornelia Radisch
Jorge Killer
Stjepan Wesack-Winkler
Ing. Augustin Budig B.Eng.
Gundi Hiller
Anna Hartmann
Gotthard Löwer
Jacob Süßebier
Roswita Atzler
Almuth Rosenow-Schönland
Ivana Nerger
Dr. Hildegund Söding B.A.
Univ.Prof. Heinz-Dieter Schuster
Liane Gröttner
Ronald Börner-Hentschel
Halina Lachmann
Sebastian Karge
Osman Schmidtke
Josef Rädel
Agathe Weinhage B.A.
Igor Dörschner
Ernestine Stumpf
Gundolf Walter
Ingbert Hartung
Isabelle Förster-Beyer
Ann Werner-Wilms
Mariana Wirth
Elke Hiller
Tibor Briemer
Ernest Müller
Heinz-Walter Roskoth-Hertrampf
Dipl.-Ing. Ingolf Krein
Necati Lindner
Danilo Ehlert
Regine Häring
Kunigunda Hamann-Hermighausen
Univ.Prof. Paulo Jähn
Univ.Prof. Jürgen Weiß
Vassilios Trommler-Gieß
Wenke Neureuther-Hermighausen
Aleksander Klapp-Sauer
Otmar Gierschner
Dipl.-Ing. Dunja Hoffmann
Carin Huhn
Dr. Luisa Anders B.A.
Prof. Dietlind Ullrich B.Sc.
Beatrice Käster
Dr. Czeslaw Neureuther
Ing. Carmen Birnbaum
Evangelia Misicher
Dipl.-Ing. Miguel Bärer
Gordon Lehmann
Reiner Conradi
Gudula Stroh-Bien
Frau Gertrud Jüttner
Klaus-Dieter Wende
Marek Mitschke B.Sc.
Univ.Prof. Friedl Tlustek
Patric Geisler-Becker
Rahel Hartmann
Adelheid Hecker
Frau Etta Wesack MBA.
Antoinette Schottin
Prof. Alina Ziegert
Gerhild Stiffel
Ryszard Lorch
Univ.Prof. Natalie Flantz
Jonas Boucsein
Ljiljana Löwer B.A.
Prof. Ada Wähner
Hertha Gutknecht
Freddy Nette-Hendriks
Lili Kaul
Leonardo Rogge
Gunter Grein Groth B.Eng.
Herr Karl-Heinrich Eberth B.Sc.
Heinz-Joachim Trupp
Melita Hein
Sieghard Hahn
Bodo Finke
Maren Heser-Kreusel
Ing. Aldo Pechel B.Eng.
Herr Knud Pölitz B.A.
Ing. Jens-Peter Tschentscher
Augusta Flantz
Auguste Pruschke
Prof. Heinz-Willi Hertrampf
Jerzy Mende-Wagenknecht
Stanislaus Davids MBA.
Wiltrud Geißler
Agathe Trommler
Ing. Magarete Herrmann B.Eng.
Ing. Jeanette Rosemann B.Eng.
Gaetano Söding
Berthold Rohleder
Guido Junck
Krystyna Rust-Baum
Gabriel Kreusel
Albert Butte
Carlo Ackermann-Birnbaum
Mandy Scholl-Bohnbach
Marit Weller
Kordula Drub B.Sc.
Roswita Sauer
Willi Birnbaum
Gilbert Schottin
Kai-Uwe Köhler
Luigi Gude
Willibald Boucsein B.Sc.
Gerti Döring
Frau Franziska Trupp B.Sc.
Dipl.-Ing. Svea Neureuther
Frau Bianka Henk B.Sc.
Karl Zirme
Herr Ronny Tröst B.Sc.
Univ.Prof. Gesa Loos
Ing. Liesa Zirme
Minna Wernecke-Gumprich
Dagmar Dussen van
Philippe Geisler
Hildegart Weitzel
Ottilie Blümel
Ron Beer
Herr Sigismund Gieß MBA.
Prof. Gertraud Drewes
Magarete Krause
Dr. Jorge Kambs B.A.
Apollonia Trüb B.A.
Ralf-Dieter Kroker
Prof. Marion Scholz
Daniela Siering
Saskia Kallert
Annett Anders MBA.
Univ.Prof. Aysel Lindau
Antonietta Lindner MBA.
Stavros Schinke
Prof. Tillmann Holt B.A.
Elfriede Gnatz
Marlen Gute-Hauffer
Harri Mans
Elena Gotthard
Gisa Gerlach
Kreszentia Pölitz-Karge
Guiseppe Kranz
Ismail Koch
Michaela Loos-Mentzel
Annegrete Pergande
Irmtraut Noack
Helmuth Zirme
Cora Scholtz
Catrin Ziegert-Meyer
Karen Hendriks
Frau Angelina Martin
Siegbert Seifert
Frau Kirsten Boucsein
Klaus-Werner Jäkel-Holsten
Prof. Sibel Wohlgemut B.Sc.
Julia Pärtzelt
Galina Kraus-Hermighausen
Univ.Prof. Waldemar Döring
Meinrad Barkholz B.Eng.
Bodo Martin
Evi Heuser
Annelies Heidrich
Dittmar Hövel
Angelica Lindau-Heß
Dipl.-Ing. Bertram Gieß MBA.
Arnulf Ullmann
Tim Sorgatz
Herr Osman Gerlach B.Sc.
Annamaria Scholtz
Thies Blümel
Birgitta Hettner
Annegret Atzler
Gisa Hendriks
Walburga Junk
Herr Frank Bolnbach
Dipl.-Ing. Heinz-Otto Jähn
Frau Myriam Walter B.Sc.
Edit Dowerg
Elizabeth Budig
Roger Hendriks-Ruppersberger
Damian Jopich B.A.
Muharrem Benthin
Kamil Hecker-Hahn
Guntram Warmer
Traudl Röhrdanz-Spieß
Frau Patricia Gorlitz B.A.
Brian Blümel B.Eng.
Alena Holzapfel
Sophie Rädel
Carl Jockel
Svetlana Boucsein
Herr Juri Kitzmann
Mareile Meister
Mesut Gute
Franz Josef Herrmann
Prof. Frithjof Binner
Samir Wähner-Butte
Veronique Hartung-Haering
Mia Paffrath-Ortmann
Marzena Jüttner-Jockel
Karl Heinz Kruschwitz-Reising
Dipl.-Ing. Johanna Henck
Herr Gerold Kreusel
Ante Hermann-Mans
Bianca Mans
Berthold Jäntsch-Jessel
Katerina Hauffer
Mandy Huhn B.A.
Gerwin Ortmann
Wilma Drub B.Eng.
Rose-Marie Schüler
Univ.Prof. Willfried Werner B.Sc.
Lara Oderwald
Henny Eberhardt
Lidwina Sorgatz-Weihmann
Katalin Thanel-Kitzmann
Gerda Schleich
Woldemar Heydrich B.Eng.
Dr. Wanda Dippel
Fritz Nerger
Albrecht Metz B.A.
Brita Kaul
Marlen Wende
Roselinde Ebert
Hanne Junk
Univ.Prof. Jörg-Peter Riehl
Diether Dussen van-Rohleder
Francesco Wieloch-Herrmann
Thomas Kraushaar
Jonathan Mohaupt
Dr. Annelies Stumpf
Frau Cynthia Bähr B.Sc.
Simon Mude
Sylvia Schäfer
Ing. Konstanze Geisel
Karl Meister B.Eng.
Univ.Prof. Anneke Gunpf
Hiltrud Klemm
Klaus-D. Zirme-Bachmann
Pavel Ehlert
Emilie Schmidt-Gröttner
Gerhardt Barkholz B.Eng.
Eberhardt Mielcarek
Fredo Bärer
Heinz-Joachim Spieß
Dolores auch Schlauchin
Konstanze Mohaupt
Tomislav Steckel
Marie-Theres Pechel
Mariana Steckel
Thoralf Eimer
Zita Holt
Heide Hesse-Bärer
Arnulf Kusch
Ilse Nette
Frau Therese Henk B.A.
Janett Zorbach
Wolf Schottin-Gunpf
Anni Dietz-Blümel
Anne-Rose Hettner B.A.
Kathleen Hahn B.A.
Elisabet Schuster B.A.
Dipl.-Ing. Richard Gröttner B.A.
Nurettin Börner
Karl-Josef Schottin-Hoffmann
Dipl.-Ing. Manuel Kade
Alexandra Butte
Dipl.-Ing. Hans-Peter Hertrampf
Damian Söding
Melita Schacht
René Gude B.A.
Dursun Atzler B.A.
Dr. Gerti Scheel
Renata Holt-Heintze
Juergen Beier B.A.
Kornelia Dörr
Prof. Sibel Mälzer MBA.
Dipl.-Ing. Jaqueline Striebitz
Svetlana Bonbach B.A.
Magret Bähr
Josef Berger
Flora Mühle B.Sc.
Fatima Eckbauer-Rosemann
Francoise Zänker-Knappe
Ing. Marga Lehmann MBA.
Benita Juncken
Katrin Oestrovsky-Fechner
Franz Josef Haase
Kati Koch II
Dr. Edelbert Wieloch MBA.
Carmine Schacht
Uli Oderwald-Freudenberger
Ellen auch Schlauchin
Heinz-Günther Mosemann
Daniela van der Dussen B.Eng.
Henri Wirth
Aurelia Mude
Felizitas Jungfer
Ing. Elsa Liebelt
Frau Anna-Luise Sontag
Jeannine Heinz-Tlustek
Gert Juncken
Gerolf auch Schlauchin
Dr. Pius Säuberlich B.Sc.
Cilli Siering
Reimer Scheel B.Eng.
Marek Walter MBA.
Henryk Bauer
Prof. Henriette Killer
Univ.Prof. Resi Kobelt
Freia Lübs
Univ.Prof. Undine Junken MBA.
Heiner Ruppersberger-Hentschel
Delia Hande-Koch
Prof. Katrin Mülichen B.Eng.
Jurij Zimmer
Prof. Aziz Stumpf
Ing. Eugenie Kreusel MBA.
Birger Klapp
Nico Hartung-Linke
Herr Baptist Klotz
Melitta Fliegner
Hakan Kitzmann-Scholl
Piotr Hande
Bertha Reuter
Dr. Immo Kramer
Prof. Niko Hethur B.Eng.
Tomas Tlustek
Dr. Francisco Hänel
Dunja Dörr B.Sc.
Lucie Trüb-Schmiedt
Hans-Helmut Binner B.Sc.
Fatih Zirme
Hans Jörg Köhler
Romuald Hartmann
Dr. Dagmar Hörle B.Sc.
Herr Imre Kohl
Prof. Hans-Hinrich Schmidt
Dipl.-Ing. Petar Wohlgemut
Canan Berger-Hellwig
Francoise Vollbrecht B.Sc.
Gislinde Lehmann
Slawomir Ehlert-Reising
Friedl Hänel
Sylvester Zirme
Eggert Rörricht-Schwital
Woldemar Heinz
Frau Hildegund Vogt B.A.
Ilja Wende
Maik Oestrovsky B.Sc.
Marica Hamann-Koch
Matteo Dehmel-Weimer
Amanda Weller
Gernot Kobelt
Dipl.-Ing. Gülten Hoffmann B.Eng.
Oxana Schmidtke
Arnulf Heidrich
Horst-Dieter Bähr
Marko Kensy-Atzler
Elise Hentschel
Käthe Ernst
Prof. Monica Beer MBA.
Jeannine Gieß
Marvin Kabus B.A.
Univ.Prof. Johan Lange
Jörn Hörle B.Sc.
Ing. Sina Johann MBA.
Klaus-Ulrich Blümel B.A.
Gottlob Römer
Dr. Jens-Uwe Ruppert
Mathilde Kreusel
Frau Belinda Plath B.A.
Burghard Wohlgemut
Friedl Hartmann
Dunja Trub
Dipl.-Ing. Patric Fröhlich
Herr Thorsten Hartmann B.Eng.
Bekir Fechner
Joseph Gorlitz-Bloch
Univ.Prof. Giovanna Bachmann B.Eng.
Hanna Knappe
Friedericke Lehmann B.Sc.
Hendrik Bolzmann-Henschel
Herr Mario Pergande
Pasquale Karge
Gunnar Hentschel
Univ.Prof. Karin Beier
Danuta Kreusel
Leokadia Bloch
Anna-Marie Steckel
Dr. Athanasios Noack MBA.
Nermin Kranz-Austermühle
Prof. Norbert Wilms B.A.
Erwin Etzold
Nils Hermighausen
John Bauer
Muzaffer Sorgatz
Rosl Trupp
Hedda Haase
Uta Karz
Herr Klaus Peter Krause B.A.
Thorben Kitzmann
Amalia Wulf
Manuela Sauer
Danica Atzler
Slavko Fliegner B.Sc.
Anka Gieß
Stephen Reichmann
Nurettin Mans-Klemt
Ing. Klothilde Hörle B.A.
Kristin Jacob
Carola Kusch
Cecilia Scholz-Barth
Erhard Otto
Univ.Prof. Jörg Jessel MBA.
Dr. Ellen Schlosser B.A.
Babett Adler
Viviane Jopich
Gundi Schwital
Tomislav Mende
Ernst Gunpf-Naser
Eleni Mühle MBA.
Karla Conradi
Rene Lindau-Jäkel
Tülay Hettner-Ebert
Edith Hettner
Sylvana Holzapfel
Brunhilde Scholz
Milka Scholl
Stjepan Schmidtke
Jadwiga Koch
Torben Hartung
Svenja Langern
Raphaela Eckbauer
Julia Graf
Sigfried Franke B.Sc.
Sigmar Briemer
Franka Peukert
Sybilla Striebitz
Mariele Bolander
Karla Wirth
Annelise Jungfer
Ilija Eckbauer-Steinberg
Frau Mareile Birnbaum
Univ.Prof. German Rörricht
Edgar Rohleder-Fröhlich
Petar Hamann
Annett Sorgatz B.Eng.
Ernst-Dieter Geisler B.Eng.
Frau Suse Zorbach
Dr. Karl-Hermann Gude
Nadine Schleich
Tatjana Käster-Schüler
Ralph Jessel B.A.
Ing. Gerold Gotthard
Ing. Margareta Hethur B.A.
Wladimir Rogge
Kreszentia Bohlander
Hartmut Zirme
Isabell Briemer
Christos Ruppert B.A.
Univ.Prof. Rotraut Juncken B.A.
Elfie Otto
Nurettin Bärer B.Eng.
Dr. Anny Kallert
Frau Karolina Hörle
Mattias Kensy
Gretchen Eimer-Wilmsen
Hellmuth Heidrich
Dr. Otmar Linke MBA.
Stanislav Löffler MBA.
