Student
Ing. Jürgen Jopich B.A.
Rico Putz-Killer
Canan Berger-Hellwig
Prof. Dirk Biggen B.Eng.
Gert Juncken
Henner Schmidt
Frank-Peter Haase
Georgia Liebelt
Chantal Kade
Leo Gunpf-Bolzmann
Kati Koch II
Stefano Wagenknecht
Dipl.-Ing. Friedhilde Hauffer B.A.
Mercedes Rädel-Drub
Prof. Romy Bohnbach
Inna Schulz
Mehmet Beckmann-Geisel
Diana Haering
Dr. Meral Thies B.Sc.
Malte Herrmann-Zänker
Frau Margit Gehringer MBA.
Ing. Käthi Schäfer
Adelgunde Thanel
Prof. Angelique Seidel MBA.
Ing. Ayse Mangold MBA.
Herr Thorben Jacob
Elfi Kranz
Harro Keudel
Manfred Juncken
Frau Almut Kuhl
Dörthe Hiller
Baptist Gröttner B.Sc.
Franz Löwer
Hildegunde Dörr
Gundi Sager
Annaliese Gerlach
Dr. Thekla Lindau B.Sc.
Volkmar Mosemann
Reza Mielcarek
Steven Steinberg B.Eng.
Univ.Prof. Irene Budig
Kazim Rohleder
Hans-Herbert Harloff
Rocco Rosemann B.A.
Magrit Lange
Nadin Schomber
Toni Scholl-Scholl
Erol Lindner
Toralf Pieper
Benno Ritter
Giuseppe Trupp
Sibilla Mälzer
Janette Kraushaar
Ing. Ayse Schacht
Ing. Ahmet Häring
Valeria Finke
Univ.Prof. Undine Becker MBA.
Univ.Prof. Eugen Karz
Dr. Stefania Gnatz
Uwe Rosenow
Gülten Röhrdanz
Annaliese Lübs
Antje Etzold
Gönül Barth-Zobel
Nicolai Gutknecht
Arne Ziegert B.Sc.
Ing. Gundi Boucsein B.Sc.
Prof. Friedo Reuter
Ing. Hüseyin Gutknecht B.Sc.
Prof. Augustin Stey B.A.
Ilonka Wulf
Anne-Marie Stumpf
Philippe Geisler
Gudula Stroh-Bien
Prof. Maya Peukert
Malte Schäfer
Heidrun Lindner-Bolnbach
Valentina Weihmann-Zahn
Emilia Römer
Herbert Budig
Hildegunde Stiebitz-Mude
Babett Pruschke-Schäfer
Ing. Elsa Liebelt
Eveline Kruschwitz B.Sc.
Bekir Gumprich-Kabus
Erika Pruschke
Herr Falk Holzapfel
Zita Butte
Cora Stumpf-Gunpf
Henny Vogt
Viktoria Trub-Budig
Svenja Salz
Frau Constanze Heidrich B.Sc.
Elisabeth Wieloch-Boucsein
Dr. Marliese Junck B.Sc.
Jochen Säuberlich
Herr Mirko Häring B.Sc.
Roderich Weitzel
Helfried Langern
Thorben Rosenow
Urban Klemt
Herr Gordon Meister
Jan-Peter Grein Groth
Emma Trub-Scheuermann
Betti Adolph
Tanja Renner B.Sc.
Natascha Schinke B.Eng.
Dr. Egbert Kraus
Gabi Gertz
Univ.Prof. Trudel Gierschner MBA.
Ing. Ortrun Weimer
Ferdi Hoffmann
Ing. Gertraude Holsten B.Sc.
John Bauer
Gilbert Steuer-Rosemann
Gino Ernst
Univ.Prof. Czeslaw Heuser
Prof. Danny Bähr B.Eng.
Vladimir Patberg-Weller
Dr. Slawomir Hande
Heinz-Günter Hesse
Ruth Barkholz-Koch II
Edit Siering
Prof. Siegbert Scheuermann B.A.
Ludwig Reinhardt
Marco Stey
Jelena Meyer MBA.
Rainer Gude-Kaul
Nathalie Lehmann
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
André Sauer
Herr Rigo Krebs B.Eng.
Prof. Hans Dieter Kitzmann MBA.
Hans-Erich Staude
Siegrun Schomber
Kristian Meyer
Prof. Aribert Eberhardt B.Sc.
Oskar Rosemann
Damaris Zirme
Gisela Weinhold B.Sc.
Maria-Luise Schaaf
Prof. Sylvester Bender
Karen Hendriks
Ing. Mariechen Nerger B.Eng.
Veronique Oestrovsky
Edward Dippel
Marina Wilmsen
Jurij Bärer
Jaroslav Benthin
Romy Baum
Cindy Meyer
Ing. Dörte Freudenberger
Irmi Gute
Ansgar Hande
Stephen Kensy
Dipl.-Ing. Salvatore Zänker MBA.
Edelbert Bruder
Marie-Louise Girschner
Dipl.-Ing. Margaretha Köhler B.Eng.
Ing. Emmy Beer
Conrad Lindau
Helmtrud Atzler
Dipl.-Ing. Götz Bloch
Norbert Niemeier
Luka Weimer-Beyer
Hüseyin Wulf-Schmidt
Sylvia Schäfer
Klaus-Ulrich Blümel B.A.
Renato Bolnbach
Paul-Gerhard Hein
Dr. Kai-Uwe Schulz B.A.
Samir Wähner-Butte
Annelie Heuser
Isidor Heinrich
Ottokar Berger
Meral Liebelt
Herr Jacek Budig B.Eng.
Herr Hans-Detlef Grein Groth
Prof. Mario Butte
Olav Gumprich-Täsche
Thorsten Adler B.Sc.
Meta Wagenknecht
Mercedes Kobelt MBA.
Dr. Jorge Kambs B.A.
Elenore Hofmann-Aumann
Franka Mitschke B.Sc.
Miguel Briemer
Prof. Elzbieta Fechner B.Sc.
Julia Mosemann
Rahel Stey
Ingetraud Fiebig
Leonhard Patberg
Tamara Bender MBA.
Alwin Scholl
Dr. Änne Radisch
Pierre Köster
Prof. Sibel Mälzer MBA.
Gesa Jäntsch
Nils Stey
Diedrich Lachmann-Oestrovsky
Maurice Beckmann
Otmar Schmidtke
Freddy Nette-Hendriks
Herr Alois Thanel B.Sc.
Prof. Heinz-Peter Thies
Dr. Marie-Louise Wohlgemut B.Sc.
Ute Stroh
Falko Klemm B.Sc.
Albina Heinz
Jonas Christoph B.Eng.
Jörg Pechel
Detlef Köster
Ilona Roskoth-Bolander
Ljudmila Krebs
Prof. Constance Girschner MBA.
Ilhan Budig
Rüdiger Geisler
Dipl.-Ing. Corina Fischer
Harry Lange
Dipl.-Ing. Nuray Mude B.Sc.
Gertraut Koch II
Benjamin Lübs
Lorenz Sauer
Wilhelm Walter
Frau Mirjana Baum B.Sc.
Vittorio Harloff
Arnulf Süßebier
Dr. Annedore Wulff B.Sc.
Cathrin Weitzel MBA.
Siegmar Ullmann-Fritsch
Ing. Romuald Roht B.Sc.
Mary Staude
Emilia Wagenknecht-Riehl
Dr. Rosalinde Stolze B.Eng.
Univ.Prof. Hans-Rudolf Wohlgemut
Prof. Alida Mangold MBA.
Ing. Henning Drub
René Säuberlich B.Eng.
Roswita Hofmann MBA.
Antje Drub
Alma Kaul
Hedda Schönland
Stephanie Heintze
Hans-Rudolf Huhn
Stephanie Krause
Sofie Schmiedecke
Univ.Prof. Jeanette Girschner B.Sc.
Heimo Knappe
Dr. Ute Schuchhardt
Rosalia Pruschke
Irene Stumpf
Reimund Eimer
Amalia Wulf
Dipl.-Ing. Angelique Ortmann
Hanno Salz
Carolin Holt
Dr. Antonia Schomber B.Sc.
Ing. Boris Junck MBA.
Ing. Hans-Joachim Ullrich
Kamil Hendriks
Jens-Uwe Schlosser
Dipl.-Ing. Hanns Killer B.Sc.
Marten Wesack
Ing. Wiltrud Sauer B.Sc.
Engelbert Sauer MBA.
Frau Lisbeth Girschner MBA.
Kemal Butte-Tintzmann
Frank-Michael Köhler
Matteo Krein-Müller
Ing. Cynthia Weihmann B.Eng.
Piotr Speer-Seifert
Heidemarie Köhler
Heiner Rörricht
Birgid Freudenberger
Frau Herlinde Segebahn
Ing. Loni Gnatz MBA.
Harro Trapp B.Eng.
Bogdan Löffler
Elenore Renner
Tanja Rörricht-Haering
Recep Hecker
Abram Briemer
Francoise Zänker-Knappe
Univ.Prof. Ottmar Jopich
Prof. Volkmar Wirth B.Eng.
Dipl.-Ing. Hans-Gerhard Schleich
Jasmina Rudolph
Constance Lange
Conny Zirme B.Sc.
Janusz Killer
Stephan Stolze-Holt
Prof. Heinz-Josef Radisch B.A.
Eckehard Steckel
Jost Lindau
Frau Reinhilde Wirth MBA.
Liliana Davids
Heide-Marie Gunpf B.A.
Raphael Höfig
Pascale Bruder
Ehrenfried Seidel MBA.
Roberto Jockel
Rosita Wesack B.Sc.
Liliana Zorbach MBA.
Brunhilde Tröst
Ing. Dorothee Harloff B.Sc.
Dorothea Etzler
Nuran Schäfer B.A.
Hiltrud Adolph
Miriam Ehlert MBA.
Kai-Uwe Stiebitz-Hentschel
Margitta Hethur MBA.
Franziska Beer
Istvan Scheuermann
Franziska Jüttner
Salih Köster
Tino Paffrath B.Eng.
Maren Scholz-Bohlander
Gunter Beyer
Hartmut Biggen-Trapp
Dipl.-Ing. Lotte Austermühle B.A.
Prof. Irmgard Mühle
Mia Paffrath-Ortmann
Univ.Prof. Reginald Lorch
Celal Pohl
Ing. Aldo Radisch
Agnes Vollbrecht
Svenja Hartmann
Rotraut Bachmann
Univ.Prof. Lydia Langern
Heinz-Willi Jockel
Wolfhard Ziegert
Augustin Wende
Tomislav Jopich-van der Dussen
André Segebahn
Prof. Wolf-Dieter Killer B.Sc.
Luigi Gude
Hendrik Gehringer
Filippo Hermann
Frau Helena Nette
Almuth Haase
Herta Weitzel
Rena Rohleder
Victor Seifert
Imelda Geißler
Anneli Butte
Leonid Mühle
Hans-Bernd Trubin-Klemt
Centa Bohlander-Stiebitz
Matthäus Eckbauer
Jonas Walter
Emine Haase B.A.
Kristina Röhricht
Magret Bähr
Heinrich Köster
Heinz-Peter Butte B.Eng.
Oxana Ladeck
Harri Heuser
Adelinde Gutknecht-Beier
Inga Ruppersberger
Silvia Eberth
Gudrun Geisler
Nikolaus Fiebig
Erkan Kuhl-Oestrovsky
Marlen Flantz
Ruth Hartung
Sigrun Mälzer
Hans-Bernd Kabus
Barbara Kambs
Marlene Steckel B.A.
Rudi Schacht
Annaliese Heser B.Sc.
Hans-Günther Kohl B.Eng.
Dipl.-Ing. Marek Jockel
Pietro Klingelhöfer
Gregor Knappe B.Eng.
Agatha Kostolzin
Gunhild Zimmer
Prof. Bärbel Ladeck B.Eng.
Dipl.-Ing. Till Schenk
Kläre Kohl
Hans Josef Thanel
Mikhail Bauer
Siegmar Keudel-Gude
Prof. Marika Davids B.A.
Piotr Schaaf
Univ.Prof. Friedl Peukert B.Eng.
Zbigniew Weinhage
Christl Wähner
Korbinian Bolander
Melissa Gehringer
Justine Lindner
Hans Dieter Kallert
Karl-August Döhn B.A.
Karina Tschentscher-Butte
Grzegorz Bohlander
Univ.Prof. Ferenc Knappe B.Sc.
Ann Mielcarek
Asta Knappe
Timo Siering-Hübel
Hiltraud Klemm-Pärtzelt
Gudula Holzapfel
Adriane Wende
Alma Eimer-Seip
Dr. Edelbert Wieloch MBA.
Heinz-Josef Jähn MBA.
Auguste Pruschke
Madeleine Hartung
Dr. Otto Schmidtke MBA.
Hanna Jäntsch MBA.
Dr. Meinhard Hiller
Friedhilde Dobes
Klemens Förster
Gitta Hübel
Ljubica Wohlgemut-Schmidt
Simone Jacobi Jäckel B.A.
Hansgeorg Kruschwitz
Gottfried Hettner-Reising
Ing. Zoltan Dobes B.A.
Henning Scholl
Robert Weimer
Dipl.-Ing. Lilly Junken MBA.
Rene Wernecke
Wulf Eberhardt
Henrik Hein B.A.
Kristian Anders B.Sc.
Univ.Prof. Claus-Dieter Meister B.Eng.
Annett Mies-Hellwig
Annegret Atzler
Conny Geißler-Karge
Ewald Hethur
Fatih Bohlander
Michelle Kitzmann
Mattias Sorgatz-Haase
Katharina Käster MBA.
Britt Schwital-Seip
Ludmila Löffler
Frida Stolze
Kunigunda Fischer
Jacek Täsche
Heinz-Günter Boucsein
Ljiljana Stoll
Sibylla Klingelhöfer B.Sc.
Werner Heydrich-Schmidtke
Janet Jüttner
Enrico Reising MBA.
Ariane Löchel
Dr. Gerold Dörschner
Antonia Stey
Kläre Beier B.A.
Francoise Dippel B.Eng.
Jo Reising
Prof. Karl-Hermann Pieper B.Eng.
Tomasz Bolnbach
Calogero Wagner
Tülay Hettner-Ebert
Marita Henk
Ing. Tomas Fischer B.Sc.
Lina Hörle
Dr. Tim Hornig B.Sc.
Aysel Bruder MBA.
Geza Bloch-Mühle
Friedemann Stoll
Wiltrud Jäkel
Dr. Mohammed Höfig
Aribert Kusch
Heide Schottin
Kevin Etzler
Rosa Gnatz
Jenny Scholtz
Ing. Natalie Oderwald B.Sc.
Christos Ruppert B.A.
Helen Hein B.A.
Mechtild Patberg
Lilija Döring
Gordana Budig B.A.
Dipl.-Ing. Gilbert Plath B.Sc.
Paolo Hentschel-Zobel
Anna-Luise Seip-Hofmann
Ing. Klothilde Hörle B.A.
Marit Mühle
Cilli Röhricht
Dominic Gunpf MBA.
Danuta Kreusel
Heribert Ring B.A.
Gordana Hertrampf-Speer
Wilhelm Klemm B.A.
Clara Gehringer
Matteo Beyer B.A.
Traugott Textor-Wagenknecht
Hagen Weimer
Dr. Halina Haase
Prof. Attila Werner B.A.
Regina Hamann B.Sc.
Leopold Rörricht
Selma Girschner B.Sc.
Ehrhard Häring B.A.
Jan-Peter Scheuermann-Jungfer
Sylvester Bender-Boucsein
Tino Niemeier
Friedrich-Karl Zorbach
Willibald Holsten
Anne-Marie Drewes
Mario Bärer
Ottmar Beier
Ayse Scheuermann-Sölzer
Prof. Irena Höfig
Brunhild Karge B.A.
Falko Kusch B.A.
Miriam Haering
Anna-Marie Zorbach
Bertram Caspar
Ignatz Franke
Milos Wiek
Cecilia Eigenwillig
Kerstin Niemeier
Geert Rudolph
Richard Kostolzin
Prof. Marten Söding B.A.
Dipl.-Ing. Nathalie Radisch
Hubert Hertrampf
Friedrich-Wilhelm Metz
Lena Dowerg
Rico Cichorius
Prof. Lutz Adolph
Karl-Peter Kramer
Ingelore Heinz
Ekaterina Conradi
Irmtraut Wende
Riza Heydrich
Frau Patricia Gorlitz B.A.
Univ.Prof. Waldemar Döring
Domenico Kade B.A.
Thoralf Geisel
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Ilja Hölzenbecher-van der Dussen
Gaby Bähr
Magdalena Tintzmann B.Sc.
Sieghard Kensy
Aribert Herrmann
Leokadia Herrmann
Zdravko Niemeier
Carl Mühle-Wulf
Univ.Prof. Herta Zänker
Johann Rust
Dr. Tony Ditschlerin
Prof. Sarina Hartmann
Marga Scholz
Dr. Baldur Johann B.Eng.
Univ.Prof. Leif Süßebier B.A.
Kriemhild Jähn
Bodo Ullrich
Jost Briemer
Prof. Bertha Jacobi Jäckel MBA.
Margareta Klingelhöfer
Brian Dussen van
Karl-Otto Winkler B.Eng.
Alida Ehlert
Natalia Hauffer
Rolf-Peter Rosenow MBA.
Reinhold Striebitz
Ing. Nelli Hornig
Max Fiebig
Marzena Mentzel
Bayram Lübs B.Eng.
Univ.Prof. Suzanne Paffrath
Sevim Ackermann
Univ.Prof. Tilmann Pieper B.Eng.
Ing. Pamela Gerlach
Dierk Dörr
Erhard Geisel
Univ.Prof. Erna Köhler B.A.
Jörn Trupp MBA.
Elena Pruschke
Gudrun Rörricht
Gisela Carsten B.Sc.
Karl Heinz Kruschwitz-Reising
Hannes Jäntsch
Änne Schweitzer-Putz
Jörgen Lorch
Angela Stiffel
Ing. Thomas Drewes B.A.
Marianne Ziegert-Werner
Prof. Bianka Reinhardt
Anthony Heintze
Univ.Prof. Markus Finke B.Sc.
Willfried Werner
Norman Fechner
Bekir Fechner
Dr. Silvester Krein B.Sc.
Nikolai Stiebitz
Annelies Seifert
Karlfried Franke
Burghard Davids
Alwin Löffler B.A.
Lotti Mosemann
Prof. Heinz-Willi Hertrampf
Margarete Kabus
Liane Gröttner
Berndt Bähr
Guido Wagenknecht-Kallert
Alex Ziegert
Hans-Erich Warmer B.A.
Alena Holzapfel
Siegfried Schuster
Anna-Luise Kraushaar
Stephan Warmer B.Eng.
Elfi Fröhlich-Löchel
Dr. Katalin Knappe B.Eng.
Ortrun Pohl B.Eng.
Michelle Klingelhöfer B.Eng.
Frau Gudrun Huhn B.Sc.
Herr Roman Schwital MBA.
Silja Jüttner
Ortwin Scholl
Aurelia Sorgatz
Maren Roht
Trudel Bloch
Kläre Mohaupt-Salz
Carolina Ditschlerin
Calogero Staude B.A.
Pero Gnatz
Tibor Budig
Frederike Dippel
Mareike Wilmsen
Dipl.-Ing. Hans-Ludwig Meyer
Gitta Berger
Ing. Dagmar Bohnbach B.Eng.
Nico Ehlert-Ackermann
Jonas Beyer
Victoria Binner
Univ.Prof. Norbert Röhrdanz B.Sc.
Reinhardt Pärtzelt
Annelie Metz
Andre Schlosser
Zlatko Ritter B.Eng.
Eugenie Benthin-Ziegert
Eugen Weitzel
Hansjürgen Säuberlich
Angelo Pärtzelt
Theresa Caspar
Kuno Kreusel
Herr Johann Kostolzin
Dipl.-Ing. Franz Reising
Nuray Aumann
Jochen Naser
Hansjörg Roht
Marica Hamann-Koch
Michael Mies B.Sc.
Thekla Schäfer
Univ.Prof. Romana Hiller
Sophie Scheibe
Ingelore Kobelt MBA.
Ing. Magda Jäntsch
Dipl.-Ing. Ira Röhricht B.Sc.
Prof. Frithjof Adolph MBA.
Heinz-Werner Buchholz
Beatrice Bender
Jonas Albers
Guenther Schmidt
Anica Kade-Steuer
Klaus-Michael Mälzer
Konstantinos Lindner
Edda Klemt
Prof. Theobald Mangold
Ulrike Ackermann B.Sc.
Dorothe Renner
Sigurd Lange-Seifert
Juergen Beier B.A.
Timm Freudenberger-Henschel
Raymund Koch II-Margraf
Ina Christoph B.Sc.
Kunigunda Hamann-Hermighausen
Kaspar Junken
Kornelius Pergande-Weiß
Christel Mangold
Berta Hörle-Börner
Mato Patberg-Heintze
Sergej Hauffer MBA.
Lucia Hermighausen
Dr. Anto Wende
Ing. Birgid Möchlichen B.A.
Branka Speer B.A.
Irmtrud Textor B.Eng.
Univ.Prof. Nicole Höfig B.Sc.
Murat Linke
Raymond Löchel-Ziegert
Univ.Prof. Melita Langern
Univ.Prof. Sergio Kreusel MBA.
Karl-Dieter Segebahn-Köster
Margarete Mohaupt B.Sc.
Hans Jörg Köhler
Veronique Eimer
Lorenzo Zänker
Thies Pergande
Prof. Anka Schulz
Frau Hildegunde Koch II
Rose-Marie Jäkel
Elias Langern
Sevim Schmiedt-Döhn
Anton Drubin
Dr. Anna-Maria Zahn B.Sc.
Alexandra Henk MBA.
Gina Wulff B.A.
Prof. Gabriella Holt B.Eng.
Annaliese Hettner B.A.
Mehdi Kohl B.A.
Frau Nadeshda Ruppert
Ulrich Segebahn
Ernst-Dieter Geisler B.Eng.
Wolfhard Rosemann B.Eng.
Teresa Ladeck-Rädel
Patrizia Bender-Reuter
Martin Rose B.A.
Melitta Salz
Sofie Staude
Wibke Reuter
Heimo Kuhl
Teresa Schönland
Ing. Gordana Bruder MBA.
Herr Oliver Pechel
Dominik Naser B.A.
Carlo Martin B.Eng.
Claire Holt
Dagmar Schäfer
Dipl.-Ing. Violetta Briemer B.A.
Reingard Cichorius
Sigmar Briemer
Raymond Misicher
Freia Lübs
Ulf Dörschner
Zeljko Meyer
Aneta Heydrich
Vadim Bender B.A.
Sibylle Stey
Ing. Leni Rosenow B.Eng.
Heidelore Zirme
Nils Hermighausen
Semra Gorlitz
Univ.Prof. Gottlob Tröst B.Eng.
Deborah Becker
Marcel Stumpf
Antonius Stoll-Krebs
Univ.Prof. Rosl Pölitz
Anne-Katrin Seip
Ralf-Peter Gute
Dierk Beier
Frau Änne Gunpf B.Sc.
Dipl.-Ing. Babette Bauer B.Sc.
Univ.Prof. Fatima Hiller B.A.
Reiner Ziegert-Walter
Berndt Grein Groth B.Sc.
Hans-Christian Trüb
Waltraut Gehringer
Dina Rose
Marliese Drubin
Hans-Jochen Gorlitz B.Sc.
Frau Corinna Wähner
Madlen Trupp B.Eng.
Ben Ullmann MBA.
Adam Seifert
Patrizia Wirth
Aziz Bähr B.A.
Oxana Ortmann MBA.
Eva Mosemann
Silvester Etzold
Kornelia Dörr
Wilfried Steinberg
Marlene Drubin
Janett Patberg
Dipl.-Ing. Heinz-Otto Jähn
Swetlana Binner
Carlo Pohl
Ing. Anton Gotthard MBA.
Magarete Schomber
Prof. Rudolph Linke
Geza Beckmann
Dr. Helge Täsche MBA.
Ing. Berta Oestrovsky B.Eng.
Maximilian Jockel
Norman Wulf
Piotr Hande
Emma Sauer B.Eng.
Desiree Wulf-Jüttner
Dr. Markus Roskoth B.Sc.
Nadia Wirth
Univ.Prof. Ewald Rogner B.Sc.
Ing. Therese Rust
Hans-J. Wohlgemut
Czeslaw Fiebig
Prof. Norbert Wilms B.A.
Univ.Prof. Charlotte Lindner MBA.
Ing. Igor Barth
Athanasios Bloch
Kenan Pieper
Manja Koch II-Heuser
Carlos Klotz
Dr. Frederik Dobes MBA.
Edelgard Neureuther-Vollbrecht
Univ.Prof. Hans-Eberhard Bauer
Ingetraud Freudenberger
Helmuth Langern-Steinberg
Ing. Hanny Noack MBA.
Theres Heser
Josefa Stolze
Mariele Stiffel B.Sc.
Catrin Hamann
Magdalena Sauer
Czeslaw Jacob B.Eng.
Henryk Plath-Jopich
Hans-Ulrich Liebelt-Hauffer
Christa Säuberlich
Else Heß MBA.
Herr Swen Kraushaar B.A.
Dipl.-Ing. Woldemar Benthin B.A.
Hans-Helmut Binner B.Sc.
Univ.Prof. Dragan Thies MBA.
Ryszard Lorch
Eugen Schottin
Frau Edda Hornig B.Eng.
Dr. Philip Siering B.A.
Micha Eckbauer B.Sc.
Prof. Vadim Stroh
Stjepan Langern
Artur Budig
Josefa Junk
Cosimo Zimmer
Hans Dieter Fiebig B.Eng.
Guntram Warmer
Frau Inken Zimmer B.Eng.
