Student
Prof. Emine Wulf B.Eng.
Ing. Alexandros Vogt MBA.
Annie Schlosser
Edelbert Bruder
Cord Haase
Univ.Prof. Franz-Josef Zänker
Immo Koch II
Songül Tschentscher
Roland Putz
Univ.Prof. Paulo Jähn
Dr. Franco Stumpf B.Eng.
Silja Jüttner
Gesa Bender
Jorge Weitzel
Johann Rust
Dr. Kristine Tschentscher
Meral Reinhardt
Traute Fröhlich
Jana Langern
Irmtraut Mülichen B.A.
Alena Neureuther
Alf Jüttner
Ilka Faust
Ing. Torben Hande MBA.
Mareile Birnbaum
Ellinor Kraus
Dipl.-Ing. Ladislaus Weinhold
Wenke Neureuther-Hermighausen
Ing. Anton Gotthard MBA.
Dipl.-Ing. Petar Wohlgemut
Yusuf Seifert
Anka Förster
Felix Hölzenbecher B.A.
Reza Mielcarek
Pius Röhrdanz
Janko Margraf MBA.
Dipl.-Ing. Jaqueline Striebitz
Babett Süßebier B.A.
Sebastian Vogt
Dorothea Weihmann
Gislinde Junken
Siegmar Pergande B.Eng.
Lili Birnbaum
Prof. Marius Herrmann
Prof. Helga Hesse
Mira Rohleder
Prof. Ines Kuhl
Prof. Kordula Vollbrecht B.A.
Oda Berger
Emilia Römer
Elfi Harloff
Nurten Henschel-Stroh
Luka Weimer-Beyer
Ali Schmidt-Knappe
Henry Hofmann B.Eng.
Concetta Seifert
Mariele Peukert
Univ.Prof. Annegrete Holt
Prof. Joanna Kreusel
Justus Schüler MBA.
Franz-Josef Schmidtke
Dr. Harald Ritter
Ellen Hahn-Spieß
Ing. Agnes Zobel
Waldemar Hendriks
Vassilios Davids
Kay-Uwe Mühle
Kuno Kreusel
Vera Heydrich
Vlado Lindner
Prof. Hermann Bohlander B.Eng.
Jutta Franke-Rosenow
Jonathan Gertz-Hertrampf
Herr Hans Peter Jacob
Geert Rudolph
Aziz Hornich
Klaus-Michael Hahn
Wulf Schuster
Ingetraud Fiebig
Gilbert Peukert B.Eng.
Hans-Friedrich Heydrich
Herr Marian Schlosser B.A.
Antonios Zimmer
Frank-Peter Kambs
Oxana Stumpf
Angelika Roskoth
Manuela Sauer
Prof. Gertraud Drewes
Ing. Massimo Losekann
Ing. Gerti Franke
Aloys Fechner
Massimo Dörschner
Johannes Bärer
Ludmila Löffler
Ing. Meik Eberhardt B.A.
Heiko Metz
Sören Trommler
Prof. Karen Henk MBA.
Elisabeth Roskoth
Undine Jopich
Siegrid Misicher
Gerard Förster
Ing. Selim Tintzmann B.A.
Brigitte Zirme B.Sc.
Dipl.-Ing. Leokadia Junk
Ing. Georgia Rogner
Bayram Gertz-Hendriks
Elias Hethur
Dipl.-Ing. Detlef Trommler
Otfried Ortmann
Leon Bauer
Univ.Prof. Manuela Heinrich
Adelgunde Beer
Herr Steven Eberhardt
Prof. Heinz-Peter Thies
Lukas Gierschner
Prof. Theodoros Paffrath B.A.
Melanie Scheel B.A.
Univ.Prof. Gottfried Süßebier
Eleni Franke
Wulf Fiebig B.A.
Siegrid Schmiedt
Catherine Cichorius
Dipl.-Ing. Georgine Adolph B.Eng.
Ingbert Binner-Heidrich
Jolanda Henck
Hildegunde Dörr
Gerta Hartmann
Alena Holzapfel
Franka Weinhold
Uli Schönland-Trupp
Zdenka Weiß
Bertram Caspar
Aleksander Wagner-Barth
Henrik Heidrich
Baptist Radisch MBA.
Heidelore Pärtzelt MBA.
Frau Evelyne Süßebier B.Eng.
Karl-Georg Zahn
Dierk Buchholz MBA.
Konstanze Mühle
Christof Ditschlerin
Paul-Gerhard Jungfer B.Eng.
Kirsten Stey B.A.
Betty Steinberg
Reimer Kitzmann
Herr Recep Junk B.A.
Hanne-Lore Kraus
Gerolf Radisch
Katerina Bolzmann B.Eng.
Hilma Kuhl
Herr Gordon Weihmann B.Eng.
Margareta Dörschner B.Sc.
Sami Mans-Ullrich
Gerda Kitzmann
Dr. Reinhilde Thies B.Eng.
Ivana Nerger
Leopold Jungfer
Paola Margraf
Dipl.-Ing. Liliana Hartmann
Frau Trudi Wähner B.A.
Valentine Tschentscher
Mirella Löchel
Hansgeorg Kruschwitz
Isolde Seifert
Wilfried Söding
Ewald Kreusel
Dipl.-Ing. Aloys Hentschel
Ing. Alexander Mude
Univ.Prof. Olivia Gnatz MBA.
Urban Pieper
Serge Trubin
Univ.Prof. Romana Hiller
Horst-Peter Faust
Univ.Prof. Gottlieb Steuer B.A.
Erkan Beier
Prof. Axel Davids MBA.
Prof. Wolfram Binner B.Eng.
Marcella Sölzer
Roselinde Kusch-Röhrdanz
Rosalinde Trommler
Ralph Jacobi Jäckel
Hans-Jochen Gorlitz B.Sc.
Frau Ingelore Gertz
Sven Walter
Roman Hauffer
Wiebke Gehringer
Kathi Christoph
Univ.Prof. Jacqueline Faust
Herr Hermann-Josef Hauffer
Julian Lehmann-Ortmann
Margit Müller
Lina Hörle
Dr. Gert Trapp MBA.
Klaudia Vollbrecht B.A.
Stella Barth
Rahel Stey
Gisela Schwital-Scheel
Drago Gierschner B.Eng.
Frau Wendelin Heinrich B.Eng.
Prof. Erwin Albers B.Sc.
Kunigunde Ziegert
Natalie Neureuther
Jasmina Bolzmann
Prof. Sylvio Gumprich
Selma Fritsch B.Eng.
Prof. Aribert Eberhardt B.Sc.
Hans-Willi Kruschwitz B.Sc.
Ferdi Hoffmann
Egon Paffrath
Klaus-Günter Kreusel
Eckhard Sölzer
Anette Bien
Ronald Börner-Hentschel
Dusan Ruppersberger B.Sc.
Univ.Prof. Siegfried Karz B.Sc.
Cordula Wohlgemut
Ljiljana Löwer B.A.
Prof. Jelena Krebs B.Sc.
Edelgard Finke B.Eng.
Susan Seip MBA.
Brigitta Walter
Dorle Killer
Elfie Otto
Gisbert Christoph
Sergio Schleich
Ilja Kitzmann B.A.
Reinhard Beer-Etzler
Karl-Dieter Speer
Nikolai Stiebitz
Prof. Johan van der Dussen
Frau Ina Dietz MBA.
Frau Nuray Mangold MBA.
Siegmund Schleich MBA.
Konstantinos Lindner
Elmar Fröhlich
Prof. Hannah Hölzenbecher MBA.
Ing. Margot Bonbach B.Eng.
Susann Mielcarek
Dr. Antonia Schomber B.Sc.
Guido Pieper
Alena Hänel
Clemens Thanel
Frau Katarina Lindner
Reinhard Beckmann
Osman Salz MBA.
Karl-Georg Lehmann
Dipl.-Ing. Louis Spieß B.A.
Dr. Paulina Textor B.A.
Univ.Prof. Almut Ehlert B.Sc.
Dipl.-Ing. Augusta Lachmann B.A.
Pius Römer MBA.
Conny Geißler-Karge
Wibke Pärtzelt-Wieloch
Jessica Schottin
Annaliese Gute
Engelbert Carsten-Hiller
Luzie Sager-Gierschner
Patricia Wiek
Theodor Bolnbach-Kroker
Angelique Kruschwitz
Mira Hoffmann
Sophie Rädel
Halina Austermühle-Bender
Kevin Tlustek-Heinz
Jacek Bärer
Lilli Atzler
Sigmund Heydrich
Swen Schweitzer B.Sc.
Freia Hamann
Sibylla Koch MBA.
Ing. Aziz Hein
Ing. Knut Christoph
Hertha Stoll
Ryszard Junitz
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Univ.Prof. Nadeschda Staude
Ing. Bernfried Haering
Kriemhild Gude
Inge Paffrath
Änne Schweitzer-Putz
Meike Rosenow
Calogero Mude-Etzold
Irmtrud Klingelhöfer
Lidia Franke
Bianka Schmidt
Steven Steinberg B.Eng.
Henni Wagenknecht B.Sc.
Dipl.-Ing. Daniele Geißler
Aneta Heydrich
Ing. Wiltrud Sauer B.Sc.
Friedericke Käster B.A.
Dr. Mohamed Kroker B.Eng.
Frieda Gröttner
Ing. Mike Stolze
Univ.Prof. Nurten Neuschäfer MBA.
Edda Junck-Eimer
Anka Jäkel-Ackermann
Elli Kohl
Anny Wagenknecht
Prof. Elzbieta Fechner B.Sc.
Dr. Semra Wagenknecht
Frau Therese Henk B.A.
Woldemar Bähr
Univ.Prof. Anika Jockel MBA.
Herr Vladimir Zimmer MBA.
Frau Mareile Birnbaum
Herr Anton Mohaupt B.A.
Erdmute Mosemann
Harro Keudel
Max Fiebig
Frau Siegried Margraf B.Sc.
Robin Flantz
Berit Pärtzelt
Cetin Heidrich
Friedhilde Dobes
Herr Maik Klemt MBA.
Ekrem Spieß
Monja Siering
Frau Zdenka Zimmer
Ing. Lisette Kaul B.A.
Robby Kramer
Valentin Klingelhöfer
Inge Dehmel
Dr. Hedda Radisch
Pero Gutknecht
Prof. Timo Schleich MBA.
Dusan Conradi-Rogner
Nicolas Tschentscher
Uta Karz
Volker Süßebier-Staude
Stilla Heuser
Prof. Wolf-Dietrich Schweitzer MBA.
Gerti Trupp-Dowerg
Cläre Mohaupt
Univ.Prof. Dorina Lange
Slawomir Bohnbach
Ing. Hans-Heinrich Reichmann B.Sc.
Ricarda Fröhlich B.A.
Ignatz Budig
Jochem Hermighausen
Prof. Mathias Kambs
Prof. Marko Rohleder B.A.
Kata Gierschner
Roger Wagenknecht
Dr. Mariusz Beckmann
Kai-Uwe Bohnbach
Dora Jockel
Kriemhild Junk MBA.
Univ.Prof. Anatoli Ritter
Frau Eleni Ziegert B.Sc.
Zbigniew Boucsein
Brit Heidrich B.A.
Reinald Gerlach
Annamaria Margraf
Jasmina Cichorius-Barth
Burckhard Margraf
Swetlana Jessel
Gudrun Reichmann MBA.
Reinhold Hellwig-Mülichen
Ahmed Lange MBA.
Rosa-Maria Knappe
Veronique Eimer
Marianne Killer
Maurizio Hartmann
Birger Klapp
Franz-Peter Benthin-Reichmann
Anne-Rose Klapp-Jockel
Herr Wladimir Bolnbach
Josefa Junk
Herr Hellmuth Birnbaum B.A.
Esther Eberth-Kensy
Willy Trub-Freudenberger
Ing. Corinne Steckel B.A.
Volker Hettner
Dipl.-Ing. Claas Ladeck
Rotraut Bachmann
Henri Wilms
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Birgitta Hettner
Ing. Vesna Kroker B.Eng.
Evamaria Berger
Aziz Anders
Ralph Jessel B.A.
Maik Tintzmann B.Sc.
Clara Ruppersberger
Carl-Heinz Trapp
Prof. Juan Hamann
Witold Heintze
Madeleine Hermann B.Sc.
Prof. Fabian Scholl MBA.
Herr Muzaffer Klotz B.Sc.
Eckart Klotz
Univ.Prof. Friedlinde Bien MBA.
Ann-Kathrin Davids
Marianne Ernst-Zirme
Sylvester Neuschäfer-Schacht
Olaf Wesack
Irmtrud Textor B.Eng.
Hans-Uwe Sager
Prof. Hermann Josef Söding
Frau Melita Scholz B.A.
Univ.Prof. Arne Hoffmann
Dipl.-Ing. Lidija Pölitz
Jennifer Berger
Franz-Xaver Bachmann
Ing. Gertraude Holsten B.Sc.
Frau Kirsten Boucsein
Werner Kramer B.A.
Leonid Mühle
James Kostolzin-Staude
Karolin Mitschke
Dr. Fedor Plath B.Sc.
Laila Kranz
Malgorzata Pieper
Dipl.-Ing. Pero Ruppersberger B.Sc.
Diethelm Hofmann
Ing. Diedrich Gotthard MBA.
Nikolas Hethur MBA.
Milica Reichmann
Irmi Gute
Felicitas Kensy-Stey
Constantin Kraus
Dr. Senol Beier MBA.
Lisbeth Karge
Czeslaw Jäkel-Röhrdanz
Carmelo Weinhold
Stefani Caspar
Ing. Mattias Boucsein
Matthäus Striebitz-Zirme
Änne Wagner
Evangelia Harloff B.A.
Josip Hiller-Hauffer
Kristian Rosemann B.Sc.
Univ.Prof. Francisco Tröst B.Eng.
Edit Siering
Amalia Schmidtke-Radisch
Gertraude Tintzmann
Niko Bähr B.Sc.
Frau Anne-Katrin Rädel
Zenta Gertz B.A.
Hannchen Löwer B.Eng.
Heinz-Georg Hornich
Univ.Prof. Margitta Wagenknecht B.Eng.
Otmar Misicher
Prof. Catherine Knappe MBA.
Adeline Hein-Metz
Dipl.-Ing. Karl-Heinz Rörricht
Uwe Schwital MBA.
Herr Günther Krein MBA.
Raisa Stey-Sauer
Eva-Marie Hendriks
Ella Keudel
Frau Emma Kaul B.Eng.
Wiebke Caspar B.A.
Ing. Anneli Nerger
Dr. Ingried Sorgatz B.A.
Karl-Friedrich Kitzmann
Ladislaus Killer
Frau Else Röhrdanz B.Sc.
Jolanthe Jessel
Gesa Jäntsch
Ivo Börner
Greta Baum
Ing. Irmtraud Wiek MBA.
Prof. Cäcilia Gertz B.Eng.
Dipl.-Ing. Gudula Margraf B.Sc.
Lidija Pärtzelt
Gerda Gröttner B.Sc.
Heidemarie Kreusel
Sedat Gude
Antonia Stey
Philipp Lorch
Univ.Prof. Tomasz Atzler B.Sc.
Irmengard Sauer
Imke Keudel B.Sc.
Hermann-Josef Loos
Marek Schenk B.A.
Univ.Prof. Florentine Schomber B.Eng.
Annelies Heidrich
Univ.Prof. Hans-Martin Scholz
Saskia Roskoth B.Eng.
Florentine Eimer
Oxana Ladeck
Roman Jäntsch
Rose Beer
Univ.Prof. Cynthia Löwer
Carl Mühle-Wulf
Univ.Prof. Anna-Luise Faust
Dr. Diedrich Atzler
Reinhilde Hesse B.Sc.
Antonius Pärtzelt-Jüttner
Elena Fiebig
Dr. Jost Hiller B.Sc.
Gabi Löwer MBA.
Anatolij Trub
Dr. Luciano Ortmann
Dipl.-Ing. Konrad Schenk
Berndt Grein Groth B.Sc.
Dietrich Adolph MBA.
Daniele Heintze B.Eng.
Dr. Cäcilia Henk B.Eng.
Siegmar Pergande
Silja Eberhardt-Boucsein
Annelene Reuter B.A.
Anika Holsten
Pirmin Wulf B.Sc.
Mike Krein
Antonios Walter
Rolf-Peter Staude
Björn Steckel B.Eng.
Prof. Amir Reising MBA.
Wieslaw Oestrovsky MBA.
Margitta Hethur MBA.
Julie Radisch MBA.
Dr. Jan-Peter Martin B.Eng.
Judith Sorgatz
Gordana Budig B.A.
Univ.Prof. Veli Etzler
Tilman Eberhardt
Mato Patberg-Heintze
Heimo Huhn B.A.
Slawomir Drub-Gute
Prof. Marika Junken B.Eng.
Stilla Dobes
Prof. Liliane Gehringer MBA.
Herr Karl Dippel B.A.
Tadeusz Kruschwitz B.Sc.
Frau Patricia Gorlitz B.A.
Eva-Maria Geisler
Serge Kade
Dipl.-Ing. Wolfram Johann B.Eng.
Annita Lorch
Aleksej Lehmann
Carlo Ackermann-Birnbaum
Francoise Zänker-Knappe
Michelle Pohl
Guido Junck
Prof. Guenther Margraf B.Eng.
Univ.Prof. Simona Holzapfel MBA.
Hedy Loos
Dr. Michel Pruschke B.Eng.
Leif Wulff
Inken Ziegert
Angela Stiffel
Dr. Helma Kohl B.A.
Dr. Philip Siering B.A.
Ing. Hellmuth Scholl
Prof. Jolanthe Gude
Dipl.-Ing. Hans-Ludwig Meyer
Caroline Wende
Univ.Prof. Samira Drewes
Prof. Rudolph Linke
Felix Freudenberger
Rosa-Maria Reising
Herr Darius Heuser
Marianne Heser
Heinz-Günter Schuster
Tillmann Matthäi B.Eng.
Univ.Prof. Galina Kobelt B.Eng.
Herr Hartwig Henk B.A.
Aurelia Mude
Karl-Josef Barth
Univ.Prof. Ingelore Schulz MBA.
Prof. Lene Oestrovsky B.Sc.
Irene Rogner
Hartmuth Gude B.Eng.
Tilman Hövel
Dipl.-Ing. Lioba Plath
Torsten Pergande
Doreen Hornig
Senta Wernecke B.Sc.
Nadine Schleich
Fatma Hein
Marvin Kabus B.A.
Siegrid Segebahn
Univ.Prof. Etta Bohnbach
Gloria Lachmann MBA.
Ludmila Stadelmann
Gebhard Krein
Danilo Ehlert
Hans-Joachim Häring
Univ.Prof. Evelyn Seifert B.A.
Ante Gunpf
Kasimir Lindau
Woldemar Bolzmann B.A.
Dipl.-Ing. Marek Jockel
Dipl.-Ing. Hermann-Josef Jüttner
Sylvester Hamann
Ronny Scholtz
Mirja Wähner
Kunigunda Hänel-Briemer
Irmtrud Röhrdanz
Frank-Peter Bien
Karl-Peter Heser
Prof. Ildiko Adler MBA.
Hildegunde Staude
Nadia Rosenow
Luis Oderwald
Univ.Prof. Hinrich Eberth
Brian van der Dussen
H.-Dieter Gerlach
Dr. Ehrhard Gieß B.Sc.
Albert Butte
Hans Josef Lachmann
Univ.Prof. Theresia Lange MBA.
Annamaria Hesse
Ing. Nadeschda Tschentscher B.A.
Frau Almut Kuhl
Sylvester Bender-Boucsein
Eileen Hartung
Dipl.-Ing. Hanns Killer B.Sc.
Leif Christoph
Gereon Wende MBA.
Christiane Roht
Albrecht Seifert B.Sc.
Evangelos Hartmann B.A.
Magnus Heidrich
Hellmut Nerger
Frederike Dippel
Felizitas Jungfer
Philippe Geisler
Andy Jockel B.Eng.
Rahel Hartmann
Ilja Wende
Ingetraut Köster
Frau Evelin Löffler
Zofia Gumprich
Nikolaus Fiebig
Artur Schaaf
Prof. Susanne Rose
Dipl.-Ing. Jörgen Rose B.Eng.
Marleen Heser
Marita Henk
Heidrun Stiebitz
Hansjoachim Salz-Junk
Prof. Martin Ullmann
Hedy Rudolph MBA.
Marietta Geißler
Sigurd Süßebier
Isabell Buchholz
Dr. Marie-Louise Wohlgemut B.Sc.
Swantje Binner B.A.
Ing. Wieslaw Kobelt B.Sc.
Benno Klemt
Ing. Wilhelmine Adler B.Sc.
Dr. Annedore Wulff B.Sc.
Kai-Uwe Schäfer
Irmtraut Wende
Prof. Julia Möchlichen B.A.
Ruthild Hoffmann
Prof. Konrad Neuschäfer
Frau Myriam Walter B.Sc.
Polina Ladeck B.A.
Juliane Mentzel-Ziegert
Bayram Kostolzin-Rosenow
Astrid Nerger-Tröst
Dipl.-Ing. Katarina Schmidtke
Susi Schuchhardt
Xenia Margraf
Maya Haering-Becker
Luisa Barkholz
Tabea Schomber
Dominik Huhn
Katherina Bien
Leokadia Bloch
Gaetano Köhler
Nadin Radisch
Herr Mirko Häring B.Sc.
Inga Ruppersberger
Ing. Hatice Gehringer
Gunar Börner
Leonhard Adolph
Johan Baum
Marlene Drubin
Svea Hartung B.Eng.
Daniela Siering
Ing. Margareta Hethur B.A.
Joseph Harloff
Pietro Klingelhöfer
Dipl.-Ing. Sibylle Kensy
Josephine Schweitzer
Rocco Rosemann B.A.
Dipl.-Ing. Emmy Börner
Gotthard Scheuermann
Leander Dobes-Schlosser
Hans Misicher
Willy Reichmann
Slobodan Seip
Univ.Prof. Gretl Langern B.A.
Jolanda Jopich
Auguste Gunpf
Fernando Tschentscher-Schacht
Dipl.-Ing. Werner Scholl B.Eng.
Hans-Wilhelm Weller
Gotthilf Gehringer B.A.
Mariana Steckel
Heinz Dieter Barkholz
Alma Eimer-Seip
Joana Mielcarek B.A.
Gülten Röhrdanz
Heinz-Gerd Gorlitz B.Eng.
Prof. Ursula Niemeier B.Eng.
Andre Metz B.A.
Lilija Döring
Emine Lübs
Dr. Jorge Kambs B.A.
Leni Wohlgemut-Ruppersberger
Dipl.-Ing. Fred Meister
Alfons Klingelhöfer
Timm Schönland
Frau Christiane Zänker B.A.
Univ.Prof. Katharina Werner MBA.
Thorsten Adler B.Sc.
Karl-Otto Kostolzin
Werner Heydrich-Schmidtke
Hans-Herbert Harloff
Celal Ortmann-Otto
Kay-Uwe Trommler
Ursula Jacobi Jäckel
Dina Johann
Hans-Gerd Gnatz
Darko Wilms
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Wulf Eberhardt
Karl Zirme
Ingried Hauffer-Lübs
Helene Kuhl-Austermühle
Orhan Hecker-Heuser
Thilo Berger
Elmar Förster
Maurice Pieper-Loos
Arne Knappe
Hedwig Briemer
Dipl.-Ing. Laila Scheuermann B.Sc.
Tomasz Niemeier
Herr Winfried Vollbrecht B.Eng.
Bodo Finke
Tanja Rörricht-Haering
Ljiljana Roht
Dipl.-Ing. Manuel Kade
Mirja Schottin
Ing. Marvin Renner MBA.
Folkert Barth B.Sc.
Diethelm Hübel MBA.
Frau Eugenia Matthäi
Trudi Keudel B.A.
Joachim Steuer
Bernhardine Bender MBA.
Dr. Silvio Täsche
Vlado Kramer B.Eng.
Ing. Daria Lorch B.A.
Prof. Wolfgang Mohaupt
Lilo Scholz
Carla Hecker
Prof. Natalia Junck B.Sc.
Hans-Hinrich Trub
Patrik Ditschlerin
Marianna Segebahn-Wernecke
Wiebke Hölzenbecher
Marten Röhricht B.Sc.
Janna Kambs
Edmund Junck
Mareen Mans
Dipl.-Ing. Waltraut Kallert
Herr Baptist Klotz
Gerold Loos-Rogge
Dörthe Hiller
Herr David Löchel B.A.
Carina Killer
Notburga Pölitz
Ulrike Ackermann B.Sc.
Rena Radisch
Karlheinz Stahr
Gertraud Mende
Pawel auch Schlauchin
Gertrude Pieper
Prof. Diether Neureuther
Annerose Eckbauer
Edeltraud Mülichen
Herr Muzaffer Schäfer
Ing. Istvan Finke
Adelinde Zimmer
Anthony Heintze
Josef Rädel
Willibald Ziegert-Siering
Urs Matthäi
Henni Mälzer-Tlustek
Univ.Prof. Ron Rörricht
Aleksej Fröhlich
Siegrun Schomber
Burckhard Caspar
Karlheinz Martin
Erich Putz
Mia Roskoth
Anneke Nohlmans
Hiltraud Klemm-Pärtzelt
Claus Juncken
Marc Henck B.Eng.
Emanuel Schinke B.Sc.
Sami Stolze-Döhn
Damian Holsten
Wilfriede Ehlert
Dipl.-Ing. Milica Hofmann B.A.
Jurij Eimer
Ben Zahn
Constance Rogge
Prof. Bertha Jacobi Jäckel MBA.
Madlen Steinberg
Elzbieta Putz B.Eng.
Frau Anny Niemeier B.A.
Lilly Beckmann B.Sc.
Claudio Bolnbach
Dr. Jochen Schäfer
Dr. Francisco Hänel
Marzena Hein
Patrizia Spieß
Yvette Schinke
Zdravko Staude B.Sc.
Evangelia Stumpf-Ruppersberger
Czeslaw Siering
Valerie Mangold
Laurenz Siering-Kallert
Sigurd Lange-Seifert
Danilo Hande MBA.
Herr Vinzenz Jäntsch B.A.
Bert Ortmann
Linus Lübs
Wanda Becker
Dipl.-Ing. Grete Stiebitz
Gernot Dörr
Ehrhard Klotz
Dr. Fredy Niemeier
Minna Lindner
Diana Jessel-Geißler
Prof. Bianka Schacht
Hanne-Lore Berger
Anne-Rose Klemm
Univ.Prof. Canan Zorbach B.Sc.
Meral Liebelt
Elfi Herrmann MBA.
Rolf-Peter Reising B.Sc.
Annelie Bloch
Bartholomäus Karge B.Eng.
Henner Schweitzer
Dr. Franco Wilms
Friedrich-Wilhelm Stahr-Henck
Wanda Stoll B.A.
Anica Kade-Steuer
Notburga Weller MBA.
Rosalia Pruschke
Herr Ekkehart Sorgatz
Jann Cichorius
Jonas Mühle
Alexei Meister
Ing. Alberto Schlosser
Albert Seifert MBA.
Frau Anna Mangold B.A.
Carsten Junken
Rosemarie Schmiedecke
Hanny Martin
Hans-Georg Scholz
Friedrich-Karl Jopich B.Eng.
Univ.Prof. Herta Zänker
Liesel Ziegert
Gabriele Schmidt
Maximilian Pohl B.A.
Erkan Kuhl-Oestrovsky
Dr. Sigfried Seip B.Eng.
Valerie Kallert B.A.
Frau Aleksandra Dobes B.A.
Univ.Prof. Nevenka Döhn B.Eng.
Sandor Riehl
Tobias Wirth
Jonas Adler
Hans-Adolf Junken
Leonardo Trub B.A.
Karl-Heinrich Jacob
Peter Rohleder
Lilija Ruppert
Nuran Schottin B.Eng.
Ing. Wenke Karge B.Sc.
Univ.Prof. Markus Schottin
Gundula Weitzel-Liebelt
Univ.Prof. Hans-Theo Kroker
Lorenzo Adler-Trommler
Dipl.-Ing. Leo Sager
Dr. Reinhart Hecker B.A.
Dipl.-Ing. Iris Stumpf MBA.
Danuta Lachmann-Dussen van
Ing. Pauline Linke
Dipl.-Ing. Randolf Martin B.A.
Reimer Scheel B.Eng.
Berndt Mohaupt MBA.
Wulf Thanel-Scheibe
Hanna Knappe
Cosimo Bender
Jeanette Mälzer
Athanasios Jacobi Jäckel
Moritz Schönland
Tadeusz Hentschel
Laurenz Scholl
Dr. Aldo Fritsch
Marion Drewes
Marcel Oestrovsky
Helga Salz
Heinrich Bohlander-Ullrich
Luisa Hecker
Nelly Schlosser
Hanna Jäntsch MBA.
Hans-Karl Bauer B.Eng.
Cläre Heser
Dominik Spieß
Felicitas Biggen
Saban Etzler B.Eng.
Prof. Volkmar Heuser
Cäcilie Roht-Misicher
Ing. Magda Jäntsch
Ingeborg Wesack
Dr. Daniel Trommler
Frau Kunigunda Schaaf B.A.
Dr. Laila Peukert
Helma Hänel B.A.
Zehra Conradi-Heinrich
Adeline Holsten
Dusan Zahn B.A.
Frau Notburga Pergande
Philipp Walter-Löffler
Univ.Prof. Heimo Dobes B.A.
Hans Jürgen Winkler
Univ.Prof. Pascal Schweitzer
Annita Jähn
Bärbel auch Schlauchin
Harro Vogt-Gieß
Alessandro Caspar
Stavros Vollbrecht-Geißler
Maik Oestrovsky B.Sc.
Eric Briemer
Hans-Willi Benthin
Brian Blümel B.Eng.
Vitali Neureuther
Dipl.-Ing. Ilse Heß B.Sc.
Dana Schäfer
Birgitta Schleich
Prof. Cäcilie Staude B.A.
Maria-Luise Schaaf
Karl-Wilhelm Meyer
Frau Delia Hellwig B.Sc.
Guenter Lachmann
Rudi Schacht
Dr. Markus Roskoth B.Sc.
Dipl.-Ing. Reimer Werner MBA.
Lilli Harloff
Dorina Weinhage
Fabienne Dobes-Heuser
