Student
Monika Haering
Constantin Beckmann
Stephanie Dörr-Bärer
Britt Gorlitz
Heimo Ziegert
Willfried Werner
Eberhardt Mielcarek
Maximilian Hellwig
Karla Etzler-Metz
Inken Ziegert
Aribert Putz
Herr Mario Thanel
Bernard Losekann
Lotte Kitzmann B.A.
Timm Oderwald
Ing. Nicolai Textor B.A.
Ivana Nerger
Margot Schäfer B.Eng.
Aleksandra Stey MBA.
Ing. Justina Beckmann
Anne Schmidtke
Prof. Götz Finke
Univ.Prof. Harro Fröhlich
Jan Döring B.A.
Dipl.-Ing. Stefano Wernecke B.A.
Ing. Erica Schottin
Dr. Timo Ernst
Mona Thies
Dr. Gunther Jähn B.A.
Univ.Prof. Ivo Mies
Thea Bauer
Prof. Luzie Killer B.Sc.
Aleksander Drub
Dipl.-Ing. Karl-Heinz Rörricht
Marlen Schenk-Schuchhardt
Dipl.-Ing. Freya Höfig
Birthe Graf
Domenico Gerlach-Kramer
Faruk Schomber
Prof. Aziz Stumpf
Giesela Börner B.Eng.
Dipl.-Ing. Gerdi Wende
Hans-Dietrich Fliegner
Heino Zahn-Bähr
Melissa Stey
Delia Hande-Koch
Canan auch Schlauchin-Dussen van
Dipl.-Ing. Julian Mühle
Kathi Etzler
Rolf-Dieter Preiß
Engin Johann-Weihmann
Gerta Stey-Klemm
Marius Klotz
Cläre Heser
Bogdan Steckel B.Eng.
Eva-Maria Eberth B.A.
Gundolf Walter
Tanja Rörricht-Haering
Frank-Michael Klemt
Berthold Rohleder
Faruk Döhn
Dipl.-Ing. Cläre Geißler
Giovanna Zobel-Liebelt
Olivia Mies
Emmy Bohnbach
Dipl.-Ing. Nathalie Radisch
Thorsten Herrmann
Evelin Wagenknecht-Döhn
Bärbel auch Schlauchin
Dipl.-Ing. Tina Kranz MBA.
Gebhard Sauer
Maurice Beckmann
Gitta Römer
Ing. Wolf-Rüdiger Herrmann B.Sc.
Bertram Höfig B.Sc.
Sylvio Karge
Roger Hendriks-Ruppersberger
Dr. Gerard Reichmann MBA.
Karen Grein Groth-Dörschner
Dipl.-Ing. Alexandros Weinhold
Hans-Friedrich Heydrich
Klaus-Dieter Knappe
Irmtraut Noack
Danielle Drubin
Carmelo Klapp-Berger
Simon Mude
Claudio Bolnbach
Marion Kuhl
Geert Rudolph
Priska Rädel
Mohammed Ritter
Zdenka Heser
Univ.Prof. Luisa Scholz B.Eng.
Louis Geisel
Siegrun Reichmann
Univ.Prof. Helge Pieper
Kristian Rosemann B.Sc.
Gerda Eberhardt B.Sc.
Jochem Hermighausen
Hanni Dippel-Heser
Dipl.-Ing. Sedat Sontag
Guntram Warmer
Jan-Peter Grein Groth
Gusti Henschel
Clarissa Wieloch
Cäcilie Schmidt
Anatolij Jüttner-Bauer
Halina Römer-Hartung
Frauke Wilms
Ricardo Hesse
Fredy Ring
Imke Keudel B.Sc.
Angelika Roskoth
Nevenka Hörle MBA.
Lissi Thanel MBA.
Philip Weller B.A.
Patric Stahr-Ebert
Margaretha Kohl B.Sc.
Univ.Prof. Florentine Schomber B.Eng.
Christin Hein B.Sc.
Gottfried Martin-Martin
Adeline Hahn
Karl-Heinz Buchholz
Werner Heydrich-Schmidtke
Stilla Klotz
Stilla Heuser
Marek Schenk B.A.
Rene Albers
Sigrid Jockel
Ellen Hahn-Spieß
Dipl.-Ing. Ilse Heß B.Sc.
Dr. Wanda Dippel
Emma Briemer B.Eng.
Aziz Hornich
Dan Scheuermann
Prof. Jonas Scholtz
Falk Sorgatz-Ortmann
Gitta Hübel
Frank-Peter Ullmann
Dr. Ursel Gute
Ottilie Gute
Aziz Anders
Ernestine Trommler
Reinhard Beer-Etzler
Dr. Sandra Mangold B.Sc.
Herr Hans Peter Jacob
Univ.Prof. Norma Schleich B.Sc.
Kläre Beier B.A.
Herta Weitzel
Käthe Langern-Jacob
Ulla Fliegner-Sölzer
Sibille Kallert
Univ.Prof. Simona Holzapfel MBA.
Mirko Eckbauer
Slavko Schüler B.Eng.
Ehrenfried Stiffel
Marleen Heser
Friedrich-Wilhelm Holsten
Prof. Mathias Kambs
Dorina Weinhage
Gloria Mosemann
Adalbert Ullmann
Wolf-Dieter Eigenwillig
Erol Röhrdanz
Dipl.-Ing. Harm Ruppert MBA.
Micha Röhricht B.A.
Dipl.-Ing. Matteo Baum
Heinz-Joachim Spieß
Dogan Kranz
Herr Jonathan Beckmann B.A.
Ing. Wulf Atzler
Siegbert Hartmann B.A.
Frau Caren Schmidt MBA.
Imelda Söding
Ute Möchlichen
Priska Wende
Jasmina Rädel
Frau Ayten Pärtzelt MBA.
Ing. Engelbert Bauer
Herr Jens Ritter B.Eng.
Dr. Diedrich Krebs B.A.
Aurelia Mude
Daniela Siering
Monika Krein B.Eng.
William Zirme
Marie Henk B.Sc.
Dr. Lea Kraushaar B.Eng.
Dipl.-Ing. Giuseppina Etzler B.Sc.
Univ.Prof. Ron Rörricht
Yasemin Hande
Felicitas Ruppersberger
Dr. Zenta Holsten
Frau Swantje Heinrich B.A.
Käte Ditschlerin-Roht
Univ.Prof. Diethard Klotz
Ing. Ramazan Kabus B.Eng.
Angelica Klemt
Claus Butte
Ditmar Niemeier
Dipl.-Ing. Lioba Plath
Elvira Scholtz
Marlies Mude
Frau Heidelore Gehringer
Ing. Rotraud Schmidt
Dipl.-Ing. Augusta Lachmann B.A.
Vitali Junken
Kay-Uwe Finke
Nina Putz-Ritter
Sibel Weller
Bozena Meyer
Elzbieta Beier
Klothilde Zänker
Brian van der Dussen
Jessika Käster
Carsten Wieloch-Kranz
Ewald Kreusel
Herr Jacek Budig B.Eng.
Ing. Hansgeorg Jockel B.Eng.
Hannchen Drewes B.Sc.
Hanno Salz
Dipl.-Ing. Mathias Metz B.A.
Herr Bruno Kreusel
Ramon Jäntsch-Gertz
Larissa Ullmann
Caroline Linke
Abram Peukert MBA.
Samir Krein B.A.
Niklas Schleich
Konstanze Mohaupt
Hans-Detlef Kobelt
Ernst-August Gutknecht
Dr. Markus Roskoth B.Sc.
Eberhardt Warmer
Serge Kraus B.Eng.
Hans Josef Reinhardt B.A.
Hanne-Lore Berger
Elizabeth Jacob
Kristin Jacob
Gotthard Christoph
Ingetraud Austermühle-Dowerg
Amalia Hermann-Schäfer
Angelica Lindau-Heß
Sevim Ackermann
Stjepan Schmidtke
Marlies Seifert-Roht
Rosita Köster B.A.
Hans-Jörg Lachmann
Justine Patberg-Metz
Hanno Hölzenbecher B.Sc.
Fredi Meyer-Weiß
Stavros Hentschel B.Eng.
Dorit Köster
Prof. Johan van der Dussen
Prof. Miguel Dowerg B.A.
Magret Bähr
Stephen Heidrich
Siegrun Ring
Edeltraut Anders-Rohleder
Geza Weller
Orhan Dörr-Salz
Anatolij Kroker B.Eng.
Adelinde Gutknecht-Beier
Frederik Bohlander
Sükrü Walter B.Eng.
Prof. Alida Mangold MBA.
Heinz-Günter Hesse
Marika Sager
Dipl.-Ing. Marc Stroh
Ilja Hartung
Ing. Silja Heser
Jens-Uwe Käster
Alwine Sager
Norbert Eimer
Miguel Dussen van B.Eng.
Herr Götz Süßebier
Antonios Walter
Ing. Dorothee Harloff B.Sc.
Univ.Prof. Gunter Kaul
Alicja Pergande
Annegrete Pohl-Sölzer
Emil Grein Groth
Roger Wagenknecht
Anastasios Karge
Peer Grein Groth-Lange
Nadine Schleich
Herr Hanno Hesse
Ing. Jürgen Jopich B.A.
Ismail Geisler
Univ.Prof. Hinrich Eberth
Nina Müller B.Eng.
Prof. Manuela Schleich B.Sc.
Heinz-Willi Holt
Univ.Prof. Lara Hoffmann MBA.
Mary Staude
Marcel Schlosser
Dr. Damian Scheel
Carsten Junken
Margareta Losekann
Janin Höfig B.A.
Dr. Rudolf Killer B.Sc.
Hans-Detlef Bender
Zita Winkler
Baptist Vogt
Mahmoud Ditschlerin-Trüb
Antonia Stey
Heinz-Walter Juncken
Ing. Corinne Winkler
Dr. Elly Junk
Traude Kuhl
Magdalene Hering MBA.
Jana Langern
Dipl.-Ing. Svea Neureuther
Dipl.-Ing. Rudi Wiek B.Eng.
Univ.Prof. Amelie Gröttner B.Eng.
Jonas Beyer
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Ing. Karl-Georg Dobes
Isa Kramer-Matthäi
Adelinde Kensy B.Eng.
Friedhilde Hornig B.A.
Erdal Bruder
Janos Ehlert
Günther Bähr
Frau Conny Klemt
Frau Friederike Albers
Prof. Ralf-Peter Schlosser B.Eng.
Univ.Prof. Valeria Putz
Hans-Günther Scheuermann B.Eng.
Roswita Gumprich-Butte
Maximilian Steinberg
Frau Hildegund Vogt B.A.
Univ.Prof. Nadeschda Staude
Gertrud Ditschlerin
Annamaria Hänel-Zimmer
Janus Walter
Apollonia Trüb B.A.
Hans-Adolf Römer-Jäntsch
Dino Kusch-Hiller
Meta Harloff
Solveig Trapp MBA.
Rene Rohleder
Frau Almuth Kostolzin B.A.
Dorina Fiebig
Burkhard Fröhlich-Dussen van
Rosita Möchlichen-Stumpf
Dr. Zeljko Pruschke
Romy Zahn-Bien
Francisco Budig-Geisler
Milos Trüb
Leif Christoph
Wanda Stoll B.A.
Dorle Henck-Sorgatz
Leonardo Vogt
Waltrud Stroh
Katharina Speer
Univ.Prof. Philippe Thies B.Eng.
Daniela van der Dussen B.Eng.
Edgar Bauer
Frau Silvana Bolzmann B.Eng.
Prof. Volker Hermann
Kristiane Zahn
Helma Fliegner
Eveline Wagenknecht
Paolo Klotz-Hein
Stavros Zirme
Prof. Swen Benthin MBA.
Recep Röhricht B.Sc.
Prof. Knud Salz
Reinhild Patberg
Simon Meyer
Marleen Etzler
Ing. Mahmoud Becker
Bodo Kranz-Striebitz
Hans-Willi Kruschwitz B.Sc.
Gerdi Neureuther-Mälzer
Edda Klemt
Herr Wieslaw Trupp
Gabor Dobes
Burghard Wohlgemut
Wilhelm Walter
Kunigunda Zimmer
Wera Klemt
Dipl.-Ing. Grete Stiebitz
Kai-Uwe Schäfer
Dr. Eleni Heser
Nelly Buchholz
Heinz Dieter Barkholz
Univ.Prof. Emine Vogt B.Sc.
Prof. Fabian Scholl MBA.
Dipl.-Ing. Mara Otto B.Sc.
Dipl.-Ing. Theda Weinhold B.Eng.
Carla Schacht
Herr Vladimir Zimmer MBA.
Johanna Finke-Ehlert
Dörte Schlosser
Univ.Prof. Erhard Heuser MBA.
Metin Hande
Mike Sölzer
Lorenzo Hornig
Volkhard Köster-Jüttner
Auguste Gunpf
Betti Zirme B.A.
Claudio Freudenberger
Reinhold Schönland
Wieslaw Oestrovsky MBA.
Amalia Wulf
Dipl.-Ing. Mirella Franke MBA.
Lucia Kohl
Friedbert Sorgatz
Karlfried Müller
Mirko Ehlert
Dr. Wencke Junken B.Eng.
Daria Jopich
Hiltrud Bolander-Ziegert
Maritta Bien
Gerard Scholl
Henriette Sager
Klaus-D. Zirme-Bachmann
Antje Etzold
Hardy Wende B.Sc.
Prof. Pascale Kruschwitz
Käthi Faust-Gorlitz
Adina Mitschke
Gisa Hornig-Geißler
Nadia Wirth
Maria-Theresia Scholl
Prof. Almuth Dippel
Miroslaw Gieß
Karl-Heinrich Sölzer
Dunja Dörr B.Sc.
Gilbert Steuer-Rosemann
Tadeusz Weller
Hansgeorg Hettner
Dipl.-Ing. Gabriel Roskoth
Klara Blümel
Sören Pechel
Ljiljana Roht
Regine Sorgatz
Gundula Otto-Kuhl
Mohammed Geißler
Susann Henk
Emmy Koch
Polina Kostolzin
Arzu Stiffel-Drubin
Antonio Margraf
Sebastian Warmer
Rene Hofmann
Janusz Trub-Mühle
Herr Rudi Neuschäfer
Friedlinde Mühle B.A.
Arnulf Ullmann
Ludwina Fritsch
Burghard Davids
Mohamed Heydrich
Marlis Wiek
Evi Grein Groth
Friedemann Kostolzin
Insa Karz-Mangold
Univ.Prof. Hans-Peter Schmidt MBA.
Univ.Prof. Gino Wagner B.Sc.
Julie Radisch MBA.
Marjan Segebahn B.Eng.
Augustin Lachmann
Jann Schleich
Joachim Höfig
Prof. Jelena Krebs B.Sc.
Burkhard Holt-Schleich
Darius Loos
Vitus Schmidt
Univ.Prof. Norbert Röhrdanz B.Sc.
Rosa-Maria Losekann-Schulz
Olaf Wesack
Lilly Naser
Marit Eberth
Klaus-Michael Fiebig
Annelise Steckel B.Sc.
Prof. Marie-Theres Löffler B.Sc.
Edith Hettner
Ing. Romuald Roht B.Sc.
Dipl.-Ing. Mariola Lange B.Sc.
Ian Briemer B.Eng.
Walburga Junk
Darko Wilms
Herr Maik Klemt MBA.
Dr. Marco Scheuermann
Ing. Dorothe Junken
Franz Josef Haase
Ekkehart Niemeier
Ralf-Dieter Rörricht B.Eng.
Prof. Amir Reising MBA.
Elena Linke-Wohlgemut
Herr Muzaffer Klotz B.Sc.
Emma Sauer B.Eng.
Jurij Zimmer
Otfried Ortmann
Dipl.-Ing. Zenta Hornig B.Sc.
Ernest Tlustek
Dr. Emin Dietz B.Sc.
Leon Rust
Annegrete Jäkel
Diether Dussen van-Rohleder
Antonie Ladeck
Wera Schmidt
Christiana Pohl
Fabian Lübs
Sönke Gumprich
Knud Trommler
Bozena Schuchhardt
Ing. Ben Lindau MBA.
Univ.Prof. Sebastian Sontag
Dr. Anto Wende
Anastasios Kuhl
Dora Jockel
Tino Wagenknecht B.Eng.
Dana Schäfer
Hermann Josef Schmiedecke
Ing. Nelli Hornig
Dr. Reimar Fiebig B.A.
Evelin Gerlach
Gerda Mans
Reimar Hahn-Neureuther
Guenter Kohl-Nette
Univ.Prof. Dorit Pechel B.A.
Danilo Ladeck-Köhler
Herr Eberhardt Gierschner
Slavica Koch
Sylvia Schenk
Augustin Ernst
Univ.Prof. Jörg Jessel MBA.
Frau Herlinde Schleich B.Sc.
Univ.Prof. Ditmar Mitschke B.A.
Ing. Utz Klemt B.A.
Calogero Wagner
Recep Weihmann
Univ.Prof. Marc Schmiedt
Dipl.-Ing. Wenzel Hellwig B.Sc.
Oscar Junitz
Eberhardt Gute
Marta Roht B.Sc.
Senta Renner
Pero Gutknecht
Dierk Steinberg
Urszula Spieß
Beatrix Rädel MBA.
Gertrude Gumprich
Univ.Prof. Gretchen Sontag B.A.
Volkmar Hentschel
Dragan Trub
Annika Pieper B.A.
Antoinette Schottin
Univ.Prof. Friedl Peukert B.Eng.
Isidor Niemeier
Alex Ziegert
Hans-Albert Schwital
Prof. Mahmut Barth B.A.
Frau Hilda Schweitzer B.Eng.
Johann Oestrovsky
Lidija Trapp
Ing. Sebastian Killer B.A.
Emmerich Killer
Frau Lisbeth Girschner MBA.
Edda Jungfer
Ing. Kay-Uwe Flantz
Ing. Zofia Ernst
Rainer Henk-Gotthard
Patric Geisler-Becker
Sigmund Hentschel MBA.
Tabea Rogge
Isa Koch
Gero Gierschner
Mareile Oderwald-Hiller
Ali Briemer-Klemm
Dipl.-Ing. Hanns Killer B.Sc.
Vera Losekann
Ingbert Hartung
Sören Etzler
Prof. Rabea Hettner B.Eng.
Marianna Hofmann
Prof. Balthasar Hecker B.Eng.
Lutz Pärtzelt
Ilja Wende
Wilfriede Ziegert
Angela Hamann
Dipl.-Ing. Christoph Jockel B.Sc.
Leo Gunpf-Bolzmann
Lukas Juncken MBA.
Dajana Ruppert
Friedrich-Karl Eberth
Univ.Prof. Kläre Oderwald B.Sc.
Hedy Loos
Artur Budig
Siegmar Pergande
Annemie Herrmann
Frau Etta Wesack MBA.
Halil Löwer
Alice Nette
Dipl.-Ing. Jan-Peter Mende MBA.
Tomas Säuberlich B.A.
Ilse Krebs
Heinz-Georg Hornich
Vadim Bender B.A.
Hedi Bärer
Dr. Bernfried Bärer
Rene Henck
Leokadia Finke-Dippel
Gero Schomber
Dipl.-Ing. Jaroslav Henk
Univ.Prof. Traudl Mentzel B.Eng.
Moritz Roht
Radmila Linke MBA.
Nikolas Siering
Gundula Adler-Bien
Johannes Bärer
Ing. Birgid Möchlichen B.A.
Eugenia Stey
Univ.Prof. Lydia Langern
Ing. Friedhold Hartung B.Sc.
Hansjürgen Faust
Gunar Dobes B.Sc.
Dr. Abdullah Becker
Jasmina Bolzmann
Konstantinos Stolze-Biggen
Caterina Ullrich
Dipl.-Ing. Hans-Erich Klemm
Reinhold Striebitz
Abbas Segebahn
Carsten Jüttner B.Eng.
Desiree Wulf-Jüttner
Gordana Budig B.A.
Prof. Beatrix Döring MBA.
Rouven Eberhardt
Carolin Holt
Hartmuth Vollbrecht
Lukas Ditschlerin
Adele Weimer B.Eng.
Ing. Herwig Drub MBA.
Prof. Mohammed Kambs
Prof. Jan-Peter Schmidt
Fernando Neuschäfer
Univ.Prof. Margitta Wagenknecht B.Eng.
Branka Hering
Ariane Löchel
Ralph Fröhlich
Hanns Zänker B.A.
Heide-Marie Beckmann B.Sc.
Univ.Prof. Pauline Klemt
Gisela Girschner
Hilda Metz-Dehmel
Milka Wohlgemut-Meyer
Karl Heinz Hörle
Thorben Kitzmann
Alan Eigenwillig
Stephan Stolze-Holt
Benno Mohaupt
Dusan Zahn B.A.
Ortrun Siering
Ingelore Heinz
Cilli Röhricht
Leonard Kostolzin
Friedl Briemer-Austermühle
Desiree Köster
Adelbert Austermühle
Univ.Prof. Gesa Loos
Grzegorz Mende B.A.
Dipl.-Ing. Hannelore Kostolzin
Tamara Bender MBA.
Ellen Liebelt
Ahmet Eckbauer-Sölzer
Siegward Weinhold
Timo Siering-Hübel
Ilias Seip
Univ.Prof. Ortwin Geisler MBA.
Univ.Prof. Linus Seifert
Prof. Natalia Junck B.Sc.
Laurenz Ritter
Prof. Jürgen Blümel B.A.
Prof. Meral Jüttner MBA.
Jolanta Döring
Dorota Mude
Ing. Margarete auch Schlauchin MBA.
Andrea Ziegert
Dr. Reza Hering B.Sc.
Magda Geißler
Victor Butte
Liliana Zorbach MBA.
Ing. Helmuth Bachmann B.Sc.
Dipl.-Ing. Fred Meister
Wencke Salz
Nada Butte
Klara Löchel-Bien
Hartwig Sorgatz B.Eng.
Heinz-Günther Mosemann
Milos Kuhl B.Sc.
Patrick Anders-Stolze
Marija Stahr
Univ.Prof. Lucia Zobel
Alice Hesse
Karl Ruppersberger
Janine Dehmel B.Eng.
Ing. Vitali Hentschel MBA.
Marietta Heinrich
Ernest Schönland B.Eng.
Ing. Tomas Fischer B.Sc.
Mariusz Stadelmann B.Sc.
Telse Steuer B.Eng.
Siegbert Henschel
Sofia Hethur
