Student
Herr Thomas Baum
Gertraud Mende
Carmen Textor-Krebs
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Kay-Uwe Barkholz
Rudolph Etzold
Hannah Stiffel-Börner
Ing. Ayse Mangold MBA.
Christiana Pohl
Jiri Bärer
Sören Spieß
Dr. Jane Kostolzin
Univ.Prof. Woldemar Walter
Amir Reuter
Thaddäus Kraushaar-Ruppert
Ria Walter
Willfried Werner
Senol Harloff-Lindau
Luka Weimer-Beyer
Olav Gumprich-Täsche
Jenny Scholtz
Vinko Reuter
Sergio Schleich
Elma Heser
Antonietta Kostolzin
Romana Wulff
Dipl.-Ing. Corina Fischer
Inna Ditschlerin
Ing. Rose-Marie Hölzenbecher
Dipl.-Ing. Danuta Stumpf B.Eng.
Ing. Willibert Steckel
Anton Gute
Ing. Mike Stolze
Hans-Jochen Gorlitz B.Sc.
Dr. Renate Mende
René Kruschwitz
Hans-Günther Kohl B.Eng.
Dipl.-Ing. Mara Otto B.Sc.
George Käster-Eberth
Kai-Uwe Schäfer
Wenzel Drubin
Hanno Trub
Eckard Textor
Irmtraut Haase-Hendriks
Dr. Sara Niemeier
Miriam Hentschel
Svetlana Bohlander B.Sc.
Prof. Anica Haering B.A.
Frau Edda Hornig B.Eng.
Hans-Jürgen Barth
Ing. Friedhelm Löchel B.Eng.
Ljiljana Löwer B.A.
Heinz-Georg Heidrich
Dr. Helma Kohl B.A.
Eleni Krause B.A.
Calogero Mude-Etzold
Hermann-Josef Loos
Kornelius Pergande-Weiß
Yvonne Kroker
Hans-J. Neureuther
Marco Conradi
Dipl.-Ing. Cora Baum
Prof. Hansjürgen Langern
Darius Trupp
Ottilie Blümel
Gitte Rohleder-Bruder
Osman Salz MBA.
Prof. Tina Nohlmans MBA.
Dr. Leonie Köster
Emma Blümel
Elfi Roht
Oskar Rosemann
Gereon Textor
Nils Stey
Paolo Wernecke
Jan-Peter Grein Groth
Hans-Hinrich Bohlander
Anto Niemeier
Ellen Gutknecht
Frau Trudel Hövel
Hans Dieter Fiebig B.Eng.
Frau Gülay Rogner B.A.
Ricarda Fröhlich B.A.
Dietmar Lindau
Francisco Trupp
Ellinor Kraus
Marc Heintze B.A.
Bernd-Dieter Kostolzin B.A.
Tilman Eberhardt
Miguel Dussen van B.Eng.
Stilla Heuser
Theo Döring
Hans-Uwe Noack-Fröhlich
Otto Lindner
Folkert Schwital
Margita Hentschel
Victoria Binner
Prof. Lydia Siering
Adam Seifert
Eileen Geißler
Dr. Hans Dieter Mude
Rene Rohleder
Univ.Prof. Giovanna Siering MBA.
Bela Naser-Löwer
Louise Jessel
Ing. Sina Johann MBA.
Herr Mario Pergande
Univ.Prof. Friederike Bender B.Eng.
Frau Trude Walter B.A.
Mariana Jüttner
Magret Bähr
Jost Lindau
Magarete Krause
Gotthard Christoph
Malte Kallert-Möchlichen
Alfons Klingelhöfer
Johann Reuter
Prof. Axel Davids MBA.
Anatoli Anders
Prof. Susanne Rose
Patrizia Spieß
Vladimir Patberg-Weller
Notburga Huhn
Mirja Schottin
Univ.Prof. Siegfried Karz B.Sc.
Meral Stroh-Henschel
Raymond Drub B.Sc.
Philipp Walter-Löffler
Tobias Mühle
Siegbert Conradi
Ing. Cläre Dowerg
Dr. Lidia Flantz B.Sc.
Annelie Bloch
Ismet Kroker
Gerda Eberhardt B.Sc.
Gertrude Lehmann-Kostolzin
Monika Hornich MBA.
Kornelius Winkler
Herr Heinz-Josef Wende MBA.
Frau Carola Scheibe MBA.
Univ.Prof. Resi Kobelt
Thomas Hänel
Woldemar Bolzmann B.A.
Zita Ullmann-Heydrich
Ing. Guenther Scholtz B.A.
René Ullrich
Klemens Winkler
Prof. Manuela Schleich B.Sc.
David Faust-Holsten
Dipl.-Ing. Gunnar Rohleder B.Sc.
Dr. Senol Beier MBA.
Liane Hermann MBA.
Filippo Hermann
Marlene Heuser-Trub
Ing. Hermine Warmer B.A.
Hermann Josef Weihmann
Brigitte Knappe
Prof. Karl-Hermann Pieper B.Eng.
Burghard Hamann-Dippel
Dorle Knappe
Herr Leonid Fröhlich B.Eng.
Imelda Söding
Martina Keudel
Mariusz Wilmsen B.A.
Dominik Naser B.A.
Enver Börner MBA.
Maurice Möchlichen
Semra Fiebig
Miriam Juncken
Siegmar Keudel-Gude
Gundula Ruppersberger
Sevim Ackermann
Gertraude Hahn
Heimo Knappe
Frau Annette Fiebig B.Eng.
Maria-Theresia Tschentscher
Filippo Jungfer-Kabus
Irmtrud Bolzmann
Hella Pergande MBA.
Dr. Kristine Tschentscher
Nils Hermighausen
Eitel Hethur
Dr. Heide Jockel B.Sc.
Prof. Hans-H. Zimmer
Frauke Wilms
Prof. Swen Benthin MBA.
Aribert Mitschke
Marie-Louise Hauffer
Dietlind Albers
Änne Möchlichen
Isa Kramer-Matthäi
Oscar Fritsch
Hans-Eberhard Lübs
Kirsten Heydrich
Prof. Pedro Schmidt B.Eng.
Gislinde Wagenknecht
Dipl.-Ing. Dragica Neureuther
Rosa Gnatz
Ricardo Hesse
Silva Hiller MBA.
Verena Höfig
Urs Bähr
Hanny Martin
Margaretha Kohl B.Sc.
Sarina Dobes
Ing. Eckehard Bloch MBA.
Katalin Butte
Raymond Löchel-Ziegert
Mohammed Geißler
Madeleine Hartung
Prof. Klaas Geißler B.A.
Ing. Ben Lindau MBA.
Fernando Dobes
Roswita Sauer
Emilie Scholz
Zehra Putz
Ingried Hauffer-Lübs
Sibel Weller
Evamaria Berger
Emine Lübs
Frau Katarina Bolander B.Sc.
Carlo Ackermann-Birnbaum
Prof. Almuth Dippel
Ewald Hethur
Hannelore Noack MBA.
Fritz Schenk B.A.
Nancy Karz-Bolzmann
Carla Gnatz
Frank-Michael Klemt
Arno Lindner
Reingard Klingelhöfer
Melita Schleich
Eugenie Benthin-Ziegert
Dr. Anika auch Schlauchin B.Sc.
Isabelle Förster-Beyer
Ricarda Warmer B.A.
Geert Rudolph
Univ.Prof. Melita Langern
Frau Annegrete Junk B.A.
Frau Wenke Klemt
Rebecca Börner
Rene Lindau-Jäkel
Prof. Hermann Bohlander B.Eng.
Rosita Köster B.A.
Univ.Prof. Liliana Niemeier B.Eng.
Franz Josef Girschner
Ing. Engelbert Bauer
Liliane Koch II
Herr Götz Süßebier
Pia Steuer
Gerhart Beier
Ben Täsche
Therese Rohleder
Thies Rose
Emil Grein Groth
Tülay Hettner-Ebert
Dorle Schmidtke MBA.
Wilhelm Walter
Oxana Henschel
Klaus-D. Zirme-Bachmann
Ilonka Wulf
Felicia Ritter
Cetin Schwital
Gerd Becker
Ing. Alexandros Vogt MBA.
Henri Finke-Lehmann
Jose Tlustek B.Sc.
Telse Rudolph
Marit Söding
Dipl.-Ing. Hanns Nette
Bernhard Becker
Univ.Prof. Dorina Lange
Zbigniew Boucsein
Ing. Romy Gieß
Dusan Ruppersberger B.Sc.
Dr. Jasmina Ruppert
Dr. Natascha Trüb
Miroslaw auch Schlauchin
Hans Misicher
Nadine Schleich
Kunibert Heß MBA.
Hajo Jäntsch
Geert Schuchhardt
Prof. Ana Textor
Dipl.-Ing. Burckhard Jäntsch
Danielle Drubin
Dipl.-Ing. Jozef Hartmann
Asta Mielcarek-Blümel
Berthold Rohleder
Ing. Erwin Kobelt B.A.
Marianna Hofmann
Univ.Prof. Maria-Luise Trüb B.Sc.
Thea Bauer
Wencke Heinrich
Dr. Harald Ritter
Viviane Fritsch-Martin
Johanna Finke-Ehlert
Vinko Schönland B.Eng.
Gloria Schulz-Huhn
Trude Scholtz B.A.
Andrei Säuberlich
Natalie Bender MBA.
Anneli Heintze
Univ.Prof. Liliana Drub
Frau Nadeshda Ruppert
Dr. Mohamed Kroker B.Eng.
Caroline Harloff
Annegret Atzler
Ing. Alma Rudolph B.Sc.
Sebastian Karge
Herr Gordon Meister
Woldemar Heydrich B.Eng.
Frank-Michael Sontag
Gerda Kitzmann
Luisa Seip B.Sc.
Jonathan Mohaupt
Siegbert Schweitzer
Nikolaus Fiebig
Jennifer Berger
Ilija Kohl
Kornelius Fröhlich B.Sc.
Karen Hendriks
Zdravko Niemeier
Genoveva Löffler
Liesa Wilms B.A.
Univ.Prof. Robby Vollbrecht
Univ.Prof. Dragan Thies MBA.
Birgid Freudenberger
Martine Trupp
Tino Metz
Hannah Jacobi Jäckel
Maritta Boucsein
Gotthilf Bohnbach-Seip
Marlen Schenk-Schuchhardt
Reimund Kraushaar
Prof. Mandy Heuser MBA.
Karl-Heinz Buchholz
Almut Rogge
Antje Kambs
Maurice Steckel
Janus Walter
Sibylle Löchel
Bertold Stadelmann
Giuseppe Preiß
Univ.Prof. Mahmoud Liebelt
Dr. Mato Geisel
Dipl.-Ing. Petar Wohlgemut
Prof. Thekla Hahn
Julie Radisch MBA.
Ing. Paolo Meister
Slawomir Tlustek B.A.
Prof. Joanna Kreusel
Reinhart Becker
Siegward Hertrampf
Inka Trub
Helmtrud Atzler
Ing. Mattias Boucsein
Dr. Salih Ullmann
Ljiljana Kostolzin
Alfredo Oestrovsky
Claus Juncken
Ismail Junck-Trommler
Ing. Valeria Kruschwitz
René Matthäi
Ottilie Scheel
Mijo Seidel B.Sc.
Lars Walter
Univ.Prof. Markus Schottin
Inken Gute B.Eng.
Sören Liebelt
Susanna Beyer B.Eng.
Dipl.-Ing. Sylke Gute B.A.
Harold Scheibe
Ria Koch II
Harold Bähr B.A.
Friedericke Bolzmann
Serge Trubin
Ewald Dussen van
Kevin Trubin
Frau Korinna Kranz
Univ.Prof. Clara Heidrich B.Sc.
Univ.Prof. Heinrich Reinhardt MBA.
Stephen Heidrich
Anastasia Mans
Prof. Linda Beier
Stefani Caspar
Orhan Hecker-Heuser
Herr Jost Ruppersberger B.A.
Knud Zimmer
Valentin Gute
Antonietta Barth
Julia Heinrich
Dr. Kai-Uwe Schulz B.A.
Charles Anders
Frau Hilda Schweitzer B.Eng.
Phillip Hermann
Mandy Rädel
Cetin Heidrich
Sofie Reichmann
Hermann Josef Drubin
Dr. Leo Schlosser MBA.
Frau Danica Davids B.A.
Thoralf Geisel
Luis Jacob
Herr Marian Schlosser B.A.
Dr. Daniela Linke MBA.
Frau Minna Steinberg B.Sc.
Herr Darko Gutknecht MBA.
Adina Söding
Anastasia Gunpf
Irmtraut Fröhlich-Hertrampf
Anna Lübs
Monja Heidrich
Till Karz
Prof. Linus Kambs B.A.
Wolf-Dieter Eigenwillig
Dr. Markus Roskoth B.Sc.
Leonore Hettner-Staude
Nikolaos Ebert-Grein Groth
Dr. Uli Segebahn
Mark Röhricht
Benita Heser
Emilie Schmiedecke
Frau Aleksandra Dobes B.A.
Jochem Hermighausen
Lothar Fischer
Larissa Ullmann
Valerie Kallert B.A.
Frau Hildegunde Koch II
Marijan Kruschwitz
Prof. Niko Hethur B.Eng.
Sibylla Klingelhöfer B.Sc.
Tülay Trapp
Isabell Kroker B.Eng.
Dipl.-Ing. Kriemhild Löchel
Magdalene Mude
Norman Fechner
Herr Tom Täsche
Leon Junken
Herr Arnulf Kohl
Othmar Weinhage MBA.
Antonino Klingelhöfer
Dr. Margita Stiebitz
Mathias Matthäi
Augustin Renner
Irmengard Eckbauer
Klaus-Peter Gieß-Winkler
Marlen Flantz
Gunther Tschentscher
Theresa Schüler
Klaus Peter Adler
Prof. Riza Niemeier
Dr. Annelene Geisel B.Sc.
Renate Franke B.A.
Dr. Pius Säuberlich B.Sc.
Dipl.-Ing. Rabea Sorgatz MBA.
Dr. Anatoli Bonbach
Henni Ullmann MBA.
Dr. Edith Ring B.Sc.
Hans-Albert Schwital
Anthony Bonbach
Kerstin Eigenwillig B.Eng.
Teresa Jessel
Nina Putz-Ritter
Benita Neuschäfer
Carla Tintzmann
Heino Schönland-Hermann
Wolf Stadelmann
Ramon Jäntsch-Gertz
Ing. Janin Winkler MBA.
Mathilde Kreusel
Rocco Rosemann B.A.
Delia Hande-Koch
Ivan Plath
Guenter Lachmann
Sigismund Junitz
Dr. Annita Kallert
Otmar Misicher
Ulrike Ackermann B.Sc.
Apostolos Kreusel-Noack
Dipl.-Ing. Violetta Briemer B.A.
Nikola Riehl
Gerhild Gude
Brita Roht MBA.
Amalia Hermann-Schäfer
Franz Josef Haase
Sara Johann
Herr Evangelos Schacht
Hedwig Briemer
Univ.Prof. Hans-Albert Ruppert
Faruk Hoffmann
Alexa Dietz
Adrian Fiebig-Dörschner
Herr Otto Vollbrecht
Hiltraud Klemm-Pärtzelt
Ellen Weinhold
Univ.Prof. Claudio Schmiedt
Desiree Klotz
Univ.Prof. Czeslaw Heuser
Pascale Bruder
Tilly Pergande
Niklas Trubin
Thorben Henk-Mende
Ilias Wagner
Ing. Marten Hering
Harro Vogt-Gieß
Angelika Rosemann
Sedat Matthäi
Thekla Schäfer
Artur Berger
Dr. Marliese Junck B.Sc.
Michaele Schacht
Frau Conny Klemt
Trudi Kranz B.Eng.
Ing. Lisbeth Fritsch
Cord Tröst
Kai-Uwe Oderwald
Pedro Beer
Nico Ehlert-Ackermann
Baptist Gröttner B.Sc.
Prof. Torsten Geisel B.Sc.
Judith Hering B.A.
Otmar Wende
Dr. Ruben Wernecke
Reimar Kabus
Monja Weiß
Frau Jane Sauer
Sophie Pruschke
Stanislav Stey
Editha Jacob
Evangelia Meyer-Mielcarek
Cengiz Dehmel
Meinhard Schuster
Roswita Atzler
Gottlieb Kade
Bozena Meyer
Patrik Ditschlerin
Wilhelm Metz
Guido Junck
Eberhardt Mielcarek
Siegbert Bachmann-Hövel
Yasemin Hande
Dipl.-Ing. Denise Beier
Hedi Butte-Neuschäfer
Felicitas Biggen
Herr Aleksandr Wiek B.Sc.
Traute Fröhlich
Hanna Speer
Greta Baum
Prof. Beatrix Döring MBA.
Frauke Söding
Rosita Budig
Prof. Pascale Kruschwitz
Armin Scholz
Dr. Siegfried Heinz B.Eng.
José Tschentscher-Textor
Gunhild Nohlmans
Prof. Natalija Weinhold
Lambert Misicher-Dörschner
Dipl.-Ing. Helma Heuser B.Sc.
Sandy Fechner
Univ.Prof. Gretl Langern B.A.
Abram Eckbauer B.A.
Ing. Ayse Schacht
Madlen Steinberg
Frauke Staude
Diana Weitzel
Mareile Löwer
Polina Ladeck B.A.
Heidrun Lindner-Bolnbach
Zlatko Kraus
Gülsen Junck
Dipl.-Ing. Patricia Werner B.Sc.
Irina Gröttner
Ing. Alwine Scholz
Wencke Bohlander
Prof. Grete Müller
Nadia Rosenow
Univ.Prof. Jaqueline Dehmel
Hans-Martin Kambs
Ute Möchlichen
Ralf-Dieter Rörricht B.Eng.
Ingetraud Austermühle-Dowerg
Dipl.-Ing. Detlef Trommler
Ing. Walli Bolander MBA.
Lioba Söding
Ignatz Budig
Undine Lindner
Cosimo Bender
Ing. Georgia Rogner
Engelbert Sauer MBA.
Univ.Prof. Alois Jähn B.Eng.
Mina Beyer
Eckart Cichorius
Gunhild Kroker
Gerta Kallert-auch Schlauchin
Ralf-Dieter Kroker
Kreszentia Scheibe
Marita Henk
Corinne Koch II
Dr. Hedda Radisch
Gert Kensy B.A.
Marie Sorgatz MBA.
Ladislaus Hande
Renato Bolnbach
Leszek Hentschel
Univ.Prof. Helge Pieper
Siegmar Dowerg
Britt Schwital-Seip
Fred Wende
Tilo Hande
Univ.Prof. Gottlieb Steuer B.A.
Alwin Scholl
Valeri Mielcarek
Agnes Tröst
Prof. Robert Heintze
Univ.Prof. Herta Zänker
Ljudmila Trapp
Karl-Friedrich Kitzmann
Maren Scholz-Bohlander
Ing. Igor Barth
Priska Wende
Dr. Ibrahim Dobes B.Eng.
Wulf Fiebig B.A.
Dipl.-Ing. Gilbert Plath B.Sc.
Dr. Frieda Metz
Leokadia Oestrovsky
Frau Monique Löchel
Diana Jessel-Geißler
Roselinde Kusch-Röhrdanz
Berthold Naser
Thomas Weinhold B.Eng.
Dr. Edda Hecker B.Eng.
Rolf-Dieter Flantz B.Eng.
Benita Juncken
Roswita Hofmann MBA.
Justus Aumann
Timo Huhn
Univ.Prof. Natalie Flantz
Heimo Förster
Tino Kensy
Sina Barkholz
Ing. Stanislaw Weihmann B.A.
Birger Klapp
Carin Atzler
Aloys Barkholz
Dr. Otto Schmidtke MBA.
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Dr. Editha Rohleder
Alena Steuer
Ing. Anton Gotthard MBA.
Gottfried Hettner-Reising
Anne-Kathrin Geisler
Univ.Prof. Damian Sorgatz B.Eng.
Almut Trupp
Chantal Kramer
Ing. Nuran Schaaf
Ing. Edward Salz
Johann Baum
Fatma Hesse
Henny Herrmann
Annelie Kitzmann
Uli Schönland-Trupp
Burghard Davids
Margareta Zirme
Ahmed Lange MBA.
Ing. Emanuel Tintzmann
Cäcilie Roht-Misicher
Olav Thies
Anne-Rose Hettner B.A.
Janette Kraushaar
Dipl.-Ing. Utz Adler B.A.
Carlo Bohlander
Faruk Köhler
Mona Söding
Laura Wilms
Dipl.-Ing. Enver Drubin
Dorothea Kroker-Misicher
Rainer Scheel B.Eng.
Hubertine Jäkel
Dr. Deborah Kade
Gundula Klotz
Friedhilde Hornig B.A.
Ing. Rotraud Schmidt
Bekir Gumprich-Kabus
Johanna Bohlander
Violetta Beyer
Gottlob Seip
Heinz-Peter Biggen
Adrian Trupp
Dipl.-Ing. Christoph Jockel B.Sc.
Anne Zorbach
Ulrike Hiller
Frau Francesca Blümel
Edgar Karge
Carmelo Klapp-Berger
Aurelia Dussen van MBA.
Karlfried Karge-Wieloch
Dipl.-Ing. Hülya Nerger
Darius Loos
Kaspar Römer
Prof. Erwin Albers B.Sc.
Zbigniew Schleich-Huhn
Frau Xenia Blümel
Brian Blümel B.Eng.
Luitgard Weiß-Rörricht
Dipl.-Ing. Charles Täsche
Arno Mude
Wiltrud Gröttner-Klapp
Leon Linke
Martina Hartung
Amalia Schmidtke-Radisch
Horst-Dieter Gude
Univ.Prof. Walter Barkholz
Geert Etzold
Frau Margitta Staude
Kathi Hering
Rosi Spieß
Frau Rosalinde Riehl
Siegbert Kranz
Alicja Pergande
Univ.Prof. Hanspeter Gorlitz
Siegmar Ullmann-Fritsch
Gönül Kallert
Ing. Margarete auch Schlauchin MBA.
Philip Heß MBA.
Prof. Sarina Hartmann
Patric Heinrich
Josefine Rosenow-Hertrampf
Amanda Weller
Hülya Scheibe
Dipl.-Ing. Serge Nerger
Mohamed Stiebitz-Pärtzelt
Sibylla Pohl
Univ.Prof. Nadine Gnatz
Gisa Dörr B.Eng.
Tülay Schmidtke B.Sc.
Emilia Scheel
Carlo Martin B.Eng.
Georgia Liebelt
Siegfried Knappe
Frau Siegried Margraf B.Sc.
Michelle Kitzmann
Helmar Klapp
Anni Dietz-Blümel
Nada Dowerg-Jähn
Rena Radisch
Angelique Kruschwitz
Elsa Beer
Dipl.-Ing. Mathias Metz B.A.
Herr Peter-Michael Kensy B.Sc.
Kaspar Hänel
Univ.Prof. Horst Scholtz
Ing. Ignaz Rose
Elisabet Schuster B.A.
Ing. Eugenie Kreusel MBA.
Hansgeorg Klotz
Sofia Roht MBA.
Dipl.-Ing. Ismet Käster B.Eng.
Marica Walter
Stilla Dobes
Doreen Striebitz
Conny Metz
