Student
Edmund Junck
Maximilian Jockel
Herlinde Birnbaum
Prof. Karen Benthin B.Eng.
Dr. Jost Hiller B.Sc.
Juliana Weinhage
Mark Röhricht
Viviane Girschner
Mehmet Löwer-Trupp
Frederik Beyer
Siegbert Schweitzer
Erica Schlosser
Jörg-Peter Klemt MBA.
Alma Kaul
Eberhardt Mielcarek
Prof. Marko Rohleder B.A.
Herr Muzaffer Klotz B.Sc.
Jann Geisler
Johann Reuter
Tillmann Matthäi B.Eng.
Miriam Haering
Isidor Zobel-Ritter
Tomislav Steckel
Tülay Trapp
Denny Kusch
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Prof. Constance Girschner MBA.
Dr. Gert Trapp MBA.
Sigrun Mälzer
Lotte Kitzmann B.A.
Vadim Jacobi Jäckel
Kurt Thanel
Ilja Preiß
Raymund Koch II-Margraf
Ing. Jürgen Jopich B.A.
Heiko Metz
Alida Trupp
Ada Kreusel
Angela Hamann
Eckart Cichorius
Kemal Heinz
Britt Schwital-Seip
Angelo Schmidtke
Heidelore Pärtzelt MBA.
Zdravko Staude B.Sc.
Recep Weihmann
Dana Ebert B.A.
Abbas Täsche
Dipl.-Ing. Kevin Henk B.A.
Dörthe Mitschke-Holt
Emmerich Killer
Inna Winkler
Frieda Tintzmann-Löchel
Marlen Hesse
Sönke Gumprich
Dipl.-Ing. Henriette Schmidtke MBA.
Dipl.-Ing. Ingolf Krein
Ivana Mans-Bruder
Reni auch Schlauchin
Aleksej Fröhlich
Dr. Valentina Knappe
Anastasios Heinz
Ingrid Rudolph
Prof. Magda Textor
Mercedes Rädel-Drub
Siegrun Schomber
Univ.Prof. Czeslaw Tröst
Prof. Cäcilia Gertz B.Eng.
Irmtrud Mohaupt-Etzler
Gert Hölzenbecher B.Sc.
Frau Camilla Kruschwitz
Concetta Neureuther
Luzie Sager-Gierschner
Jane Patberg
Antonie Fischer-Margraf
Theresa Caspar
Adriane Gröttner
Uschi Trüb
Kläre Mohaupt-Salz
Ella Keudel
Univ.Prof. Francesco Schulz B.Eng.
Hildegard Roht B.Sc.
Ing. Konstanze Geisel
Prof. Hubert Heß
Theres Heser
Hedda Haase
Mesut Trommler
Herr Hilmar Stumpf
Univ.Prof. Ditmar Mitschke B.A.
Hugo Keudel B.A.
Nikolaj Scholz
Rudolf Weihmann
Dr. Anika auch Schlauchin B.Sc.
Dipl.-Ing. Arthur Ziegert
Götz Budig
Sofia Mielcarek B.A.
Dr. Elly Junk
Inna Schulz
Aloys Ruppert
Konstantinos Linke B.Eng.
Dipl.-Ing. Lilly Trüb
Helena Hettner
Ing. Käthi Schäfer
Hedi Butte-Neuschäfer
Frau Annett Tlustek B.Eng.
Franziska Beer
Trudi Kranz B.Eng.
Janine Söding
Antonia Mohaupt
Anastasios Karge
Heinz-Otto Geisler B.Sc.
Darius Klotz
Ottmar Hölzenbecher
Stefano Huhn
Benjamin Stoll
Cornelia Gehringer
Frau Danica Davids B.A.
Helmuth Langern-Steinberg
Prof. Julia Möchlichen B.A.
Ilonka Lange
Bozena Carsten B.Sc.
Murat Meister
Rene Bruder B.Eng.
Ing. Petar Wilmsen
Elena Fiebig
Jonas Adler
Cora Scholtz
Miroslawa Jäkel-Bohnbach
Dipl.-Ing. Margarita Stey
Henning Fechner
Valerie Kallert B.A.
Ellen Röhrdanz
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Dolores Conradi
Linus Schuchhardt
Peter-Michael Kostolzin
Univ.Prof. Gesa Loos
Thilo Tschentscher
Stella Mülichen
Sinaida Adolph
Clara Mans
Frau Hella Stumpf
Marisa Hartmann-Kusch
Franz Steuer
Ferdinand Junitz B.Eng.
Helmtrud Atzler
Irene Gotthard-Hoffmann
Sergio Kraushaar-Anders
Dipl.-Ing. Harm Ruppert MBA.
Ing. Marko Linke
Katrin Ortmann
Frau Edda Hornig B.Eng.
Ilse Krebs
Regine Häring
Joseph Austermühle
Magarete Beyer B.Eng.
Steven Seifert
Univ.Prof. Ivo Mies
Helma Schaaf B.A.
Dr. Jens-Uwe Ruppert
Paolo Hentschel-Zobel
Ilonka Döring-Schulz
Lieschen Röhrdanz
Ing. Ernest Rogge B.A.
Massimo Dörschner
Otmar Gierschner
Herr Tomislav Ladeck
Dr. Jurij Nohlmans B.A.
Anna Hartmann
Univ.Prof. Dorle Fröhlich
Gudula Holzapfel
Otto Butte
Timm Schleich
Univ.Prof. Helge Pieper
Kenneth Köhler-Kaul
Irma Neureuther
Frau Ellinor Tintzmann
Dr. Leo Schlosser MBA.
Dr. Ehrhard Gieß B.Sc.
Bodo Kranz-Striebitz
Jeannette Heuser
Domenico Reichmann
Adeline Holsten
Carla Ruppersberger
Krystyna Rust-Baum
Hanns Bender
Thies Pergande
Herr Hans-Martin Heuser
Prof. Frithjof Adolph MBA.
Fredi Meyer-Weiß
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Sevim Ackermann
Hans-J. Bolander
Albrecht Seifert B.Sc.
Sara Rogge
Frau Raissa Radisch B.Eng.
Ing. Ahmet Häring
Nadia Thanel
Ing. Guenther Scholtz B.A.
Sebastian Karge
Edda Henschel
Gülay Weinhold
Hellmuth Drubin-Tschentscher
Herr Ronald Reising B.Sc.
David Faust-Holsten
Friedericke Killer B.Eng.
Hannes Meyer
Bozena Meyer
Benno Kraushaar
Ing. Danica Gieß MBA.
Nadin Hertrampf-Killer
Michaela Döhn
Ing. Siglinde Bolzmann
Swen Schweitzer B.Sc.
Herr Sigismund Gieß MBA.
Wolf-Dieter Eigenwillig
Univ.Prof. Nadeshda Oestrovsky
Ing. Romuald Kreusel B.A.
Katja Heidrich
Ing. Istvan Finke
Prof. Marie Plath
Ekrem Spieß
Ralph Binner-Römer
Gülten Peukert
Ottilie auch Schlauchin B.Eng.
Lisette Mühle
Oliver Schwital
Engin Schenk
Hilmar Hörle
Zita Holt
Gaetano Fröhlich
Annemie Herrmann
Franz-Peter Benthin-Reichmann
Klaas Vogt
Herr Rupert Jüttner MBA.
Univ.Prof. Oscar Lindau MBA.
Lars Ullrich
Jennifer Hoffmann
Hagen Girschner
Matthäus Striebitz-Zirme
Annita Jähn
Ehrentraud Hänel-Dussen van
Giuseppe Trupp
Francisco Schmidtke-Albers
Rochus Gude
Emil Grein Groth
Janusz Rädel B.Sc.
Grete Peukert
Diethelm Hübel MBA.
Hansgeorg Beier-Freudenberger
Astrid Dowerg-Stroh
Giuseppina Linke
Dipl.-Ing. Sarina Dörr
Ing. Bernfried Haering
Univ.Prof. Jeanette Girschner B.Sc.
Univ.Prof. Luisa Scholz B.Eng.
Siegmar Pergande B.Eng.
Dr. Katalin Knappe B.Eng.
Beatrice Bender
Dr. Janos Reising
Gülay Haase
Etta Hellwig
Dr. Melitta Mans B.Eng.
Ing. Leonid Budig B.A.
Prof. Sibel Mälzer MBA.
Miriam van der Dussen
Konrad Henschel
Mariana Jüttner
Frau Chantal Ebert B.Eng.
Erhardt Loos
John Roskoth-Rädel
Geert Rudolph
Roman Bloch
Ilias Wagner
Heinz-Wilhelm Säuberlich MBA.
Ing. Erwin Kobelt B.A.
Edit Kitzmann
Dipl.-Ing. Giorgio Drubin B.Eng.
Emanuel Schinke B.Sc.
Rose-Marie Jäkel
Nicolaus Jessel
Hardy Wende B.Sc.
Univ.Prof. Lara Hoffmann MBA.
Fredi Wilmsen
Marzena Neuschäfer
Marlen Weihmann-Trub
Bayram Kostolzin-Rosenow
Univ.Prof. Alberto Steuer
Alfons Klingelhöfer
Gino Häring
Benita Neuschäfer
Heimo Karge-Freudenberger
Zita Winkler
Elenore Hofmann-Aumann
Hanspeter Benthin
Univ.Prof. Norma Schleich B.Sc.
Gusti Schleich
Ing. Emmy Beer
Teresa Schomber B.A.
Adelgunde Beer
Kay-Uwe Dippel
Kira Hartmann B.Sc.
Berthold Jäntsch-Jessel
Ernestine Stumpf
Alwin Scholl
Herr Juri Kitzmann
Ing. Ramazan Kallert MBA.
Vincenzo Steinberg B.Sc.
Dr. Lisa Stroh B.Sc.
Univ.Prof. Johan Lange
Ladislaus Stadelmann
Klaus-Dieter Hänel B.Sc.
Univ.Prof. Jann Schleich
Dr. Patrizia Dörschner B.A.
Minna Wernecke-Gumprich
Hilmar Graf
Tassilo Gehringer
Dr. Bernfried Bärer
Valeska Geisler B.Eng.
Dipl.-Ing. Kriemhild Löchel
Ing. Wolf-Rüdiger Dietz B.Sc.
Theodoros Grein Groth
Alwine Wirth-Klemm
Hedwig Briemer
Petar Bauer
Isabell Eberth-Pechel
Malte Davids
Martha Dowerg
Prof. Ruthild Nette B.A.
Alexander Beckmann MBA.
Janine Hendriks B.A.
Oxana Henschel
Abdul Trüb MBA.
Gunhild Zimmer
Ditmar Trub
Miroslawa Gude B.Sc.
Ernst-Dieter Geisler B.Eng.
Boris Kruschwitz
Univ.Prof. Mira Heser B.Sc.
Uwe Schwital MBA.
Univ.Prof. Giovanna Bachmann B.Eng.
Stilla Heuser
Patric Heinrich
Marjan Segebahn B.Eng.
Claus Butte
Univ.Prof. Fredy Barth MBA.
Dipl.-Ing. Nuray Mude B.Sc.
Dr. Edith Ring B.Sc.
Dipl.-Ing. Bernhardine Heß
Univ.Prof. Filiz Rudolph MBA.
Prof. Heinz-Peter Sager
Czeslaw Siering
Diethelm Hofmann
Luis Oderwald
Reinhart Jopich
Albert Seifert MBA.
Eva Mosemann
Frauke Stadelmann
Dipl.-Ing. Anneliese Kühnert
Lilly Beckmann B.Sc.
Eugenia Sorgatz
Dr. Annaliese Lindner
Urban Geißler B.A.
Brita Schwital
Fabian Pechel-Dippel
Ljiljana Stoll
Jaroslaw Pieper MBA.
Annelies Seifert
Krzysztof Mülichen
Heiner Ruppersberger-Hentschel
Dr. Achim Barth
Univ.Prof. Katharina Werner MBA.
Nurettin Koch II
Wanda Vollbrecht-Reinhardt
Konstanze Mohaupt
Ing. Ivana Budig B.Eng.
Elias Hethur
Dr. Sükrü Hettner
Georgios Knappe-Mälzer
Mario Bärer
Traugott Ruppert
Dr. Margarethe Ernst
Alina Spieß
Dr. Selma Geisel B.Sc.
Frau Pascale Hettner B.Eng.
Dr. Philip Siering B.A.
Josef Langern
Daniela Wernecke-Hölzenbecher
Janus Weitzel-Koch
Damian Dörr
Frau Trude Walter B.A.
Gunhild Nohlmans
Bertram Höfig B.Sc.
Frau Magarete Mans B.Sc.
Hedi Gumprich
Jaroslaw Seip
Käthi Naser-Tlustek
Reinhart Winkler B.Eng.
Siegrid Schmiedt
Gerda Kitzmann
Hanife Ullrich
Ing. Alf Lachmann
Margareta Dörschner B.Sc.
Hanspeter Koch II-Wohlgemut
Urszula Rudolph
Prof. Loretta Speer MBA.
Bogdan Löffler
Gerd Becker
Rudolph Etzold
Tino Niemeier
Angelica Klemt
Herr Ruben Schüler B.Eng.
Karl Heinz Hörle
Jutta Franke-Rosenow
Knut Jacob
Tilman Henschel
Branka Speer B.A.
Stjepan Hofmann-Hethur
Ilonka Noack
Gordana Budig B.A.
Herr Jörgen Kruschwitz
Prof. Ralf-Peter Schlosser B.Eng.
Ben Eimer-Loos
Elizabeth Wulf
Elisa Steinberg
Vincenzo Jopich
Univ.Prof. Gunter Kaul
Gotthilf Bohnbach-Seip
Timo Butte
Virginia Gorlitz
Hendrik Herrmann
Gabriel Roskoth
Heinz-Georg Heidrich
Wieslaw Käster
Kevin Tlustek-Heinz
Flora Etzold
Dipl.-Ing. Leokadia Junk
Friedbert Sorgatz
Willibald Ziegert-Siering
Ronny Dippel
Georgia Bärer
Jolanda Jopich
Erwin Jopich
Zeljko Gieß
Raymund Thanel
Univ.Prof. Gerhardt Dowerg B.Eng.
Franca Mentzel
Prof. Ullrich Rosenow B.A.
Adolfine Fischer
Yvette Süßebier
Edda Klemt
Halina Segebahn
Dr. Samuel Tröst
Dr. Peer Schwital MBA.
Wenzel Wilmsen
Frau Nurten Huhn
Herma Möchlichen
Dr. Annita Kallert
Stephan Hauffer
Rudolph Metz-Mitschke
Oscar Fritsch
Trudel Wagner
Prof. Miguel Dowerg B.A.
Judith Koch-Mude
Arndt Wernecke-Gertz
Emmy Koch
Ing. Magda Jäntsch
Gisela Girschner
Dr. Frithjof Weinhage MBA.
Pero Römer
Elli Täsche B.Eng.
Walther Hofmann
Benno Mohaupt
Anika Tschentscher
Hans-Martin Kohl
Hansgeorg Kruschwitz
Erica Lachmann
Zbigniew Boucsein
Sofia Roht MBA.
Wendelin Zorbach MBA.
Gina Pieper
Ehrhard Häring B.A.
Gabi Meister
Henny Rose
Pero Gutknecht
Dr. Jann Wesack B.A.
Kathi Christoph
Hannelore Haase
Frau Yvonne Trupp B.A.
Juliana Möchlichen
Herr Andrej Rose
Johann Rust
Univ.Prof. Jaroslav Seifert B.Eng.
Sonja Paffrath-Reichmann
Clarissa Buchholz
Katy Täsche
Andreas Birnbaum-Kallert
Deborah Becker
Fanny Bolnbach B.Sc.
Kristian Albers
Rosina Klotz B.A.
Egbert Tschentscher
Magdalena Gude
Reimer Kitzmann
Raymond Drub B.Sc.
Karlfried Franke
Katherina Hesse
Dipl.-Ing. Hülya Nerger
Elena Pruschke
Ronald Rädel
Hartwig Keudel B.Eng.
Rosa Hübel
Marlies Mude
Dr. Tony Ditschlerin
Herr Götz Süßebier
Sylvester Zirme
Dipl.-Ing. Gudula Margraf B.Sc.
Ing. Leopold Hoffmann
Ing. Mohammed Geißler B.Eng.
Herr Rolf-Peter Renner MBA.
Martha Wilmsen
Alan Eigenwillig
Valentin Klingelhöfer
Bruno Henschel
Dierk Gunpf B.A.
Bianka Holsten
Peer Bärer
Maja Fischer B.A.
Georgine Schinke
Moritz Spieß
Ina Christoph B.Sc.
Florian Weimer
Andrey Lorch
Univ.Prof. Ignatz Baum
Traugott Hövel
Henryk Bauer
Ing. Krzysztof Kambs B.Eng.
Ismail Steinberg
Prof. Heinz-Willi Hertrampf
Imelda Söding
Evangelia Harloff B.A.
Lucia Hermighausen
Heidrun Stiebitz
Prof. Dolores Butte
Gaby Bähr
Gertrude Pieper
Karl-Peter Heser
Rosalia Heydrich
Ing. Alexander Mude
Eva-Maria Mies MBA.
Ryszard Süßebier-Neureuther
Karl-Peter Hofmann B.A.
Hans-Hermann Hande
Marek Hesse B.Eng.
Dipl.-Ing. Hannelore Kostolzin
Dr. Gaby Sontag MBA.
Swetlana Binner
Adelbert Rörricht
Brigitta Eimer
Sevim Junitz
Frau Rosa-Maria Sauer B.Sc.
Luka Zorbach
Hans-Martin Kambs
Ing. Siegmar Meyer B.A.
Cosimo Girschner
Hansjürgen Weitzel
Univ.Prof. Gottfried Süßebier
Karl Heß
Dr. Otmar Linke MBA.
Prof. Ferdinand Gertz B.Sc.
Dr. Ruben Wernecke
Tatiana Kade-Rust
Irina Hahn
Cosimo Löffler B.Sc.
Ursel Juncken-Buchholz
Celal Scheel B.A.
Zehra Ernst-Bohnbach
Elisa Noack-Seifert
Ing. Tilman Kitzmann
Leonore Jäkel
Ing. Gundi Boucsein B.Sc.
Frau Siegried Margraf B.Sc.
Peggy Holt
Malte Kallert-Möchlichen
Leni Wohlgemut-Ruppersberger
Susana Schaaf
Andrea Wulf
Joachim Süßebier
Hanife Ackermann
Saskia Wagenknecht
Dagmar Schäfer
Univ.Prof. Betty Conradi B.A.
Univ.Prof. Arno Kramer B.Eng.
Prof. Johannes Holzapfel MBA.
Univ.Prof. Dolores Rust
Univ.Prof. Änne Finke B.Sc.
Ilija Rosenow
Gino Heß
Herr Winfried Vollbrecht B.Eng.
Sibilla Eimer
Arnfried Lorch B.A.
Bernd-Dieter Kostolzin B.A.
Lore Tröst
Elizabeth Jacob
Dierk Dörr
Yusuf Sontag
Hans-Erich Staude
Danielle Ritter B.Eng.
Christl Wähner
Jadwiga Gotthard
Frau Inken Seip B.Eng.
Dr. Bernfried Schomber
Raymond Misicher
Wolfhard Fiebig
Marliese Roht
Ing. Marlene Wirth B.Sc.
Ing. Denny Mende
Ing. Ivo Weinhold
Univ.Prof. Liliana Niemeier B.Eng.
Alf Jacobi Jäckel-Fritsch
Suse Pergande-Gröttner
Ing. Konstanze Schmidtke MBA.
Rosa-Maria Reising
Mirko Ehlert
Reingard Cichorius
Thaddäus Kraushaar-Ruppert
Ehrhard Förster
Ing. Cord Hermighausen B.Eng.
Natascha Eigenwillig
Roland Ring
Univ.Prof. Luka Mende
Milos Trüb
Aribert Schulz B.Eng.
Hilmar Spieß
Vadim Rose-Wulf
Liesel Ziegert
Hasso Renner
Xenia Christoph
Frau Patricia Schmiedecke B.Eng.
Dipl.-Ing. Götz Bloch
Silva Hiller MBA.
Dr. Jasmina Ruppert
Marita Henk
Angela Weimer
Dr. Bastian Christoph MBA.
Hans-Erich Mende
Univ.Prof. Kathi Noack B.Eng.
Manja Stadelmann
Abram Vogt MBA.
Prof. Marion Scholz
Wojciech Girschner B.A.
Andrew Misicher
Anastasia Mans
Herr Vinzenz Jäntsch B.A.
Beate Johann
Marleen Etzler
Monika Hornich MBA.
Herr Dimitri Mohaupt B.A.
Jonathan Gertz-Hertrampf
Miroslawa Jessel B.Sc.
Marius Klotz
Prof. Martin Ullmann
Damian Bauer
Stefanie Hertrampf MBA.
Dipl.-Ing. Marek Jockel
Carl Mühle-Wulf
Herr Franz Geisler B.A.
Lisbeth Mielcarek
Reinald Gerlach
Carin Rohleder
Ante Gunpf
Catherine Cichorius
Vinzenz Bruder
Theodora Wilmsen
Hans-Detlef Matthäi
Siegward Hertrampf
Sibylla Klingelhöfer B.Sc.
Hermine Eberhardt
Ali Briemer-Klemm
Theresia Henck
Mira Hoffmann
Irmi Schacht
Ria Koch II
Dipl.-Ing. Astrid Kade
Ekrem Zänker
Univ.Prof. Galina Kobelt B.Eng.
Pedro Pölitz
Franz Löwer
Marek Mitschke B.Sc.
Urszula Killer B.A.
Marika Zänker B.A.
Univ.Prof. Conny Wagner MBA.
Rene Lindau-Jäkel
Berthold Austermühle MBA.
Dipl.-Ing. Jens-Uwe Dobes
Frau Gülay Rogner B.A.
Brunhilde Mälzer-Warmer
Lena Wende
Nicolaus Seifert
Uli Renner
Siegward Weinhold
Prof. Bela Noack
Amanda Stadelmann-Mende
Gino Hartung
Alwin Schaaf
Dr. Jochen Schäfer
Othmar Täsche-Loos
Slavica Koch
Roswita Sauer
Gunhild Stroh-Jacob
Dipl.-Ing. Marica Sager
Ing. Hanns Haase B.Eng.
Erkan Trub
Frau Trudi Wähner B.A.
Philipp Reising-Harloff
Univ.Prof. Polina Schmidt B.Eng.
Karl Ruppersberger
Kati Radisch
Inge Dietz B.A.
Herr Hartmuth Pruschke
Michaela Sontag-Dörr
Arndt Bachmann B.Eng.
Marietta Heinrich
Univ.Prof. Hans-Rudolf Wohlgemut
Prof. Niko Atzler B.Sc.
Dipl.-Ing. Alla Karge
Frau Monique Löchel
Frau Etta Wesack MBA.
Mechtild Niemeier
Katherina Klapp
Univ.Prof. Fedor Eimer
Karl-Georg Lehmann
Ingo Löffler
Baptist Radisch MBA.
Marijan Killer
Giuseppina Keudel
Eileen Etzler
Christos Gumprich
Wiltrud Ladeck MBA.
Frau Annette Fiebig B.Eng.
Dipl.-Ing. Janet Ruppersberger
Jadwiga Gierschner-Schulz
Daniel Zänker
Dr. Gabriela Geißler
Herr Goran Paffrath
Kai-Uwe Bohnbach
Miriam Hentschel
Hans-Friedrich Heydrich
Herr Mirko Häring B.Sc.
Gretel Stroh
Mareike Wilmsen
Hiltrud Pergande
Rena Radisch
Dr. Dora Fischer
Julius Kraushaar
Louis Kostolzin
Marica Seidel B.Eng.
Prof. Heide Krebs
Evi Oestrovsky
Zlatko Kraus
Helene Gröttner-Hornich
Irma Atzler-Herrmann
Anto Kobelt-Kobelt
Irmela Krein-Bolzmann
Kirsten Stey B.A.
Wilfried Börner
Dipl.-Ing. Oskar Vogt B.A.
Frau Lilli Möchlichen MBA.
Jörn Barth-Möchlichen
Prof. Jelena Krebs B.Sc.
Frau Delia Hellwig B.Sc.
Zeki Henk B.A.
Univ.Prof. Dorle Röhrdanz B.A.
Tony Wende
Theodor Mangold
Univ.Prof. Fatima Hiller B.A.
Roselinde Ebert
Kaspar Aumann
Ing. Gottfried Hoffmann
Frida Süßebier
Univ.Prof. Amelie Gröttner B.Eng.
Dipl.-Ing. Ilse Heß B.Sc.
Dr. Saban Hoffmann B.Eng.
Dr. Hans-Heinrich Kaul B.Eng.
Christin Hein B.Sc.
Frank-Michael Sontag
Katalin Butte
Vitali Ortmann
Prof. Hans-H. Zimmer
Dipl.-Ing. Hans-Günther Bien
Arnfried Scheuermann
Prof. Gertraud Drewes
Martin Rose B.A.
Tony Hecker
Frau Stella Plath B.A.
Mariola Heinrich
Leopold Jungfer
Horst-Dieter Gude
Janina Faust MBA.
Emilie Scholz
Ronald Henschel
Klaudia Reuter B.A.
Gislinde Klapp B.Sc.
Dr. Leonhard Otto
Siegrid Misicher
Attila Atzler
Leokadia Herrmann
Frau Svenja Hövel B.Sc.
Inka Trapp
Ing. Catrin Dippel MBA.
Univ.Prof. Philip Kranz B.Sc.
Alexander Hörle
Kazim Tschentscher
Univ.Prof. Simona Holzapfel MBA.
Doreen Striebitz
Univ.Prof. Josip Hartung
Karl-Heinrich Karz
Univ.Prof. Valeria Putz
Volkmar Hentschel
Dr. Lidija Weihmann
Univ.Prof. Nikolaus Sölzer B.A.
Univ.Prof. Edelgard Naser B.A.
Univ.Prof. Niklas Mohaupt MBA.
Univ.Prof. Etta Bohnbach
Ronald Stiebitz
Irmengard Sauer
Marlene Drubin
Prof. Hans-Peter Noack B.A.
Heinz-Werner Briemer B.A.
Paul Hettner
Dr. Franco Stumpf B.Eng.
Annekatrin Neureuther
Meta Wagenknecht
Bertold Bloch-Beckmann
Bernd Blümel
Hans-Gerd Jockel
Karolina Reuter-Freudenberger
Leszek Wagner-Häring
Prof. Susanne Rose
Antonietta Barth
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Dr. Gerti Scheel
Alida Tröst
Enver Conradi-Hecker
Antonius Pärtzelt-Jüttner
Ing. Jens Henck B.Eng.
Frau Sibel Trommler
Ignatz Wähner-Hänel
Herr Oliver Stahr
Zehra Putz
Anne-Marie Stumpf
Klothilde Zänker
Karl-Wilhelm Anders-Gude
Prof. Arif Mielcarek B.Eng.
Liliana Zorbach MBA.
Jose Tlustek B.Sc.
Celal Seifert
Jiri Förster
Elfi Kranz
Univ.Prof. Christoph Beier B.A.
Catharina auch Schlauchin
Univ.Prof. Petra Scheel
Dipl.-Ing. Aleksandra Wagner MBA.
Prof. Concetta Mies B.Eng.
Helmar Barth
Univ.Prof. Ortwin Geisler MBA.
Marie Sorgatz MBA.
Thorben Ruppert
Nevenka Hörle MBA.
Henni Keudel B.Sc.
Jelena Meyer MBA.
Sarina Dobes
Berit Pärtzelt
Detlef Köster
Alban Butte
Frau Gilda Ebert
Peer Nohlmans B.Sc.
Dr. Hedda Radisch
Dr. Constance Römer
Rene Berger-Jäkel
Wojciech Rogner
Herr Süleyman Karge MBA.
Gislinde Wagenknecht
Romuald Hartmann
Loni Trubin
Vassilios Davids
Dipl.-Ing. Denise Beier
Claudius Mude
Dora Jockel
Hans-Bernd Eimer-Pechel
Lotti Mosemann
Gabriel Werner
Kordula Lange
Wolf-Rüdiger Börner
Maya Haering-Becker
Hilda Stey B.Eng.
Frau Mira Klemm
Univ.Prof. Anneke Gunpf
Friedrich-Karl Sorgatz-Schmiedt
Franz Josef Flantz
Holger Roskoth B.Sc.
Herr Darko Gutknecht MBA.
Stephanie Beer
Regine Sorgatz
Univ.Prof. Edit Ehlert B.Eng.
Anne-Marie Sontag
Adalbert Hande B.Eng.
Ottilie Scheel
Janet Jüttner
Prof. Irmela Hellwig B.Sc.
Univ.Prof. Harro Fröhlich
Dr. Annedore Wulff B.Sc.
Ing. Torben Hande MBA.
Jorge Weitzel
Marianne Ziegert-Werner
Klaus-Dieter Knappe
Dr. Jonas Fechner
Amalia Schmidtke-Radisch
Heinz-Günter Mülichen
Britta Nerger B.Eng.
Hanno Salz
Dana Köster
Hildegart Scheel B.A.
Irmtraut Ortmann MBA.
Prof. Wolfram Binner B.Eng.
Zofia Roht
Herr Wieland Hartmann MBA.
Thorben Kitzmann
Konstantinos Seifert
Anny Wähner
Fatma Hein
Prof. Mathias Kambs
Prof. Hannah Hölzenbecher MBA.
Herwig Jäntsch B.Sc.
Dipl.-Ing. Slobodan Sölzer
Tibor Briemer
Eva-Marie Berger MBA.
Marco Buchholz
Ahmad Preiß
Irmi Biggen
Celal Ortmann-Otto
Mariusz Stadelmann-Jähn
Marlen Schenk-Schuchhardt
Alina Finke
Heiderose Lange-Schüler
Lia Heydrich
Dr. Myriam Häring
Dr. Anastasia Gude
Georgia Liebelt
Birger Klapp
Arnulf Säuberlich
Ing. Czeslaw Geisel
Frau Heidelore Gehringer
Erol Lindner
Wojciech Losekann-Seidel
Leonardo Rogge
Katharina Krause-Hornig
Mona Söding
Hans-Henning Scheel
Magdalene Hering MBA.
Anne-Kathrin Bachmann
Caroline Harloff
Tomislav Mende
Angelo Röhrdanz
Dr. Hildegund Söding B.A.
Prof. Natalja Käster MBA.
