Student
Ing. Rose-Marie Hölzenbecher
Ing. Berta Oestrovsky B.Eng.
Hans-Günther Etzold
Minna Lindner
Patrizia Biggen
Mareile Oderwald-Hiller
Sibylle Löchel
Frau Herlinde Segebahn
Katherina Klapp
Annelie Schomber
Hans-Karl Bauer B.Eng.
Univ.Prof. Frederike Heintze
Kristin Kabus
Gertraud Mende
Marika Sager
Jörgen Putz B.A.
Univ.Prof. Samira Drewes
Rosina Ditschlerin-Ortmann
Dr. Lilija Dowerg MBA.
Nadin Radisch
Univ.Prof. Marc Schmiedt
Edelbert Bruder
Lena Ernst-Schenk
Uwe Schwital MBA.
Univ.Prof. Ralf-Dieter Kabus MBA.
Dipl.-Ing. Svea Neureuther
Luisa Hecker
Ilonka Zimmer
Prof. Amir Reising MBA.
Janina Faust MBA.
Reinhard Beer-Etzler
Prof. Marika Junken B.Eng.
Jens-Uwe Neureuther
Inken Ziegert
Rainer Gude-Kaul
Helmar Barth
Monika Krein B.Eng.
Zbigniew Weinhage
Kreszentia Scheibe
Rene Rohleder
Ing. Klaus-Michael Bolzmann
Salvatore Ruppersberger
Klaus-Günter Kreusel
Richard Kostolzin
Elias Langern
Dr. Silvester Krein B.Sc.
Hanne-Lore Kraus
Mia Ullmann
Aleksander Wagner-Barth
Ing. Sibel Mies
Iris Kraushaar B.Sc.
Roderich Scholtz
Marica Seidel B.Eng.
Mirella Löchel
Fernando Tschentscher-Schacht
Adina Söding
Dipl.-Ing. Eveline Jäkel MBA.
Abram Eckbauer B.A.
Zita Butte
Gabriella Schuster
Sükrü Walter B.Eng.
Ilja Wende
Andrew Schlosser
Dr. Leonie Köster
Silva Hiller MBA.
Nicolai Röhricht-Spieß
Aurelia Mude
Catherine Cichorius
Heinz-Günter Fischer
Leonid Hein B.Sc.
Nicole Hoffmann
Gunter Beyer
Flora Etzold
Hans-Albert Schwital
Mechthilde Lindau B.A.
Dogan Rogge
Adalbert Boucsein
Oscar Junitz
Edda Klemt
Nikolai Haase B.Sc.
Karl-Heinz Buchholz
Anett Wieloch
Fatma Sager
Henny Herrmann
Anica Austermühle
Ann Spieß MBA.
Raissa Mitschke MBA.
Slobodan Seip
Dr. Gert Trapp MBA.
Felix Müller
Annelies Heidrich
Gertrude Kostolzin MBA.
Monique Rose-Schuchhardt
Dorit Köster
Antonius Kraus
Ing. Helen Gumprich B.Sc.
Nadeschda Hande
Athanasios Jacobi Jäckel
Annemie Herrmann
Niklas Scholtz
Mariana Wirth
Stanislav Hoffmann
Angelo Röhrdanz
Krzysztof Niemeier-Kostolzin
Ing. Hansgeorg Jockel B.Eng.
Imke Gieß B.Sc.
Dipl.-Ing. Rüdiger Otto B.A.
Ing. Käthe Plath B.Eng.
Univ.Prof. Amelie Gröttner B.Eng.
Ing. Celal Textor
Prof. Guiseppe Gröttner B.Sc.
Prof. Cilli Wulf
Ing. Gundolf Steinberg B.Sc.
Ditmar Niemeier
Aziz Bähr B.A.
Birthe Graf
Lisbeth Hentschel
Henryk Henk
Anica Ortmann B.A.
Reni Henk
Ricarda Fröhlich B.A.
Prof. Karen Benthin B.Eng.
Herr Jörgen Kruschwitz
Irmengard Röhrdanz
Jakob Seifert
Damian Söding
Notburga Heuser
Herr Muzaffer Klotz B.Sc.
Alexej Kohl
Dipl.-Ing. Sarina Dörr
Änne Möchlichen
Annelore Riehl
Univ.Prof. Undine Jungfer
Hans-Martin Drewes
Herr Hellmuth Birnbaum B.A.
Philipp Lorch
Ute Stroh
Herr Wladimir Bolnbach
Reimar Jacob-Loos
Adalbert Ullmann
Nadine Schleich
Anastasios Drub
Ante Gunpf
Prof. Lene Oestrovsky B.Sc.
Edda Junck-Eimer
Helmuth Zirme
Jörg-Peter Dowerg
Univ.Prof. Pamela Kambs MBA.
Univ.Prof. Giovanna Bachmann B.Eng.
Frithjof Mielcarek MBA.
Hardy Wende B.Sc.
Guenter Lachmann
Wojciech Girschner B.A.
Karl-Wilhelm Anders-Gude
Marie-Therese Steuer
Dominic auch Schlauchin
Gotthold Krause
Dragan Trub
Nina Wagenknecht
Serge Kraus B.Eng.
Prof. Anna Kühnert B.Sc.
Denis Weimer
Rainer Hänel
Adelgunde Wagenknecht
Joachim Löffler-Riehl
Henryk Textor-Gröttner
Liesbeth Schlosser
Dr. Diedrich Krebs B.A.
Aleksej Kühnert B.A.
Ing. Leander Weimer B.Eng.
Ing. Anastasios Berger
Dr. Markus Roskoth B.Sc.
Milos Biggen
Orhan Dörr-Salz
Sedat Gude
Alwine Bien
Magda Geißler
Bernd Blümel
Jennifer Trapp
Hans-Werner Mohaupt
Mandy Trüb
Dagobert Eberhardt B.A.
Burckhard Mende
Hedy Loos
Ljiljana Stoll
Hedi Butte-Neuschäfer
Herr Hendrik Fritsch B.Eng.
Tanja Henk
Wally Kreusel
Prof. Augustin Stey B.A.
Adelheid Schmidtke
Friedericke Ring MBA.
Ada Ullmann-Hermann
Beatrice Fechner
Prof. Jelena Krebs B.Sc.
Prof. Kathy Warmer MBA.
Mariusz Adler
Gülay Werner
Sigmar Briemer
Frau Kordula Geisler MBA.
Irene Gotthard-Hoffmann
Lydia Jopich
Konstanze Mohaupt
Univ.Prof. Halil Staude
Dorina Weinhage
Aloisia Faust
Magnus Heidrich
Magarete Beyer B.Eng.
Dr. Ella Warmer
Prof. Ullrich Rosenow B.A.
Othmar Weinhage MBA.
Helmuth Langern-Steinberg
Birgid Nohlmans
Andrei Wulff
Dipl.-Ing. Gabi Scholtz
Dipl.-Ing. Emmy Börner
Prof. Concetta Mies B.Eng.
Fabienne Holt MBA.
Gretel Hande
Mehmet Sauer
Ing. Zdenka Neuschäfer
Prof. Felicitas Dörschner
Georgine Schinke
Frau Florence Ditschlerin B.Eng.
Elsbeth Schmiedecke-Wulf
Frau Lisbeth Girschner MBA.
Gerti Döring
Frau Jane Sauer
Dr. Otto Schmidtke MBA.
Friedo Ritter
Heinz-Georg Hornich
Dr. Egbert Kraus
Kai-Uwe Stiebitz-Hentschel
Univ.Prof. Cynthia Löwer
Herr Rolf-Peter Renner MBA.
Dipl.-Ing. Sigrun Bärer
Berta Hörle-Börner
Hartmuth Gude B.Eng.
Miriam Juncken
Prof. Aziz Stumpf
Heimo Förster
Christina Schlosser
Kira Hartmann B.Sc.
Prof. Jürgen Blümel B.A.
Anna Lübs
Jadwiga Gierschner-Schulz
Leonore Jäkel
Angelique Adler
Juan Schweitzer
Uli Zimmer
Ulrike Schleich-Süßebier
Ing. Wieslaw Kobelt B.Sc.
Univ.Prof. Fredy Barth MBA.
Hildegard Schlosser-Jacobi Jäckel
Hans-Ulrich Plath B.A.
Herr Aleksandr Wiek B.Sc.
Ing. Margareta Hethur B.A.
Dr. Myriam Pieper B.Eng.
Antoinette Schottin
Thoralf Geisel
Ing. Ernest Rogge B.A.
Gotthard Schuster
Dipl.-Ing. Hermann-Josef Jüttner
Michail Schmidt
Herr Gerhardt Benthin
Darius Kallert
Toni Dehmel-Striebitz
Uta Karz
Nadeschda Barkholz
Sophie Rädel
Ing. Alla Schottin B.A.
Prof. Gerd Schenk
Mattias Wieloch
Jochem Röhrdanz
Heinrich Rogner
Woldemar Jacob B.A.
Walfried Klotz-Klotz
Jan Freudenberger
Brita Flantz-Knappe
Mijo Jessel B.A.
Irmingard Reising
Karl-Peter Heser
Norbert Niemeier
Dr. Elwira Hiller
Natalie Werner
Kai-Uwe Rogner
Reni Römer
Brit Anders
Nadin Schomber
Magdalena Löwer B.Eng.
Urszula Fliegner
Elmar Fröhlich
Thea Nette
Cosima Johann
Roger Wagenknecht
Bozena Schuchhardt
Prof. Ignaz Cichorius
Karlfried Zahn B.A.
Univ.Prof. Jacqueline Faust
Gereon Weitzel
Jens-Uwe Schlosser
Virginia Kaul
Traudel Wilmsen B.A.
Dr. Ehrhard Gieß B.Sc.
Herr Eberhardt Gierschner
Franz Josef Hoffmann B.Sc.
Maren Scholz-Bohlander
Klaus-D. Zänker-Hein
Ute Hartmann
Josefa Junk
Univ.Prof. Heinrich Reinhardt MBA.
Bianka Schuster-Ziegert
Nico Ehlert-Ackermann
Josefa Hauffer
Antonino Rogge-Meyer
Raymund Mosemann-Eckbauer
Anne-Kathrin Geisler
Cosimo Zimmer
Prof. Rudolph Linke
Ismail Junck-Trommler
Songül Tschentscher
Phillip Rosemann-Bachmann
Wiebke Caspar B.A.
Raphael Barth
Alina Finke
Prof. Irmhild Fritsch
Herr Lukas Eimer
Alwine Riehl
Prof. Katalin Lindner B.Eng.
Emma Sorgatz-Radisch
Frau Elsa Mälzer
Magdalena Gude
Hildegard Roht B.Sc.
Brit Heidrich B.A.
Vincenzo Steinberg B.Sc.
Mariusz Wilmsen B.A.
Engin Johann-Weihmann
Hans-Hinrich Linke
Klaus-Ulrich Blümel B.A.
Luka Stiffel
Frau Ina Dietz MBA.
Krista Scholtz
Massimo Ernst
Univ.Prof. Edmund Mentzel B.Eng.
Dr. Mariusz Beckmann
Prof. Sarina Hartmann
Mareile Löwer
Frithjof Gertz
Cordula Mangold
Maria Döring B.Sc.
Tomislav Schüler
Diane Butte-Schleich
Gert Kensy B.A.
Hanno Löffler
Alwine Wirth-Klemm
Vincenzo Jopich
Univ.Prof. Teresa Weinhage B.A.
Hans-Rudolf Dehmel
Detlev Wilmsen
Horst-Peter Löchel
Frau Melita Huhn
Friedl Briemer-Austermühle
Augusta Rosemann
Marek Walter MBA.
Emilie Bolander
Christl Pölitz
Eugen Weitzel
Babett Adler
Dietrich Bien
Deborah Becker
Milan Weiß-Schuchhardt
Deborah Finke
Cosimo Bender
Ing. Wencke Speer
Otfried Ortmann
Ing. Giorgio Warmer B.Eng.
Carlo Bohlander
Dipl.-Ing. Virginia Käster
Nikolas Heß
Prof. Volker Hermann
Gunhild Gorlitz-Heinrich
Dipl.-Ing. Lara Tlustek
Karl-Jürgen Ziegert
Dusan Ruppersberger B.Sc.
Carl Jockel
Lucie Gutknecht
Conrad Lindau
Annelene Reuter B.A.
Amanda Weller
Desiree Gierschner B.Eng.
Dr. Paulina Textor B.A.
Henry Schüler B.Eng.
Ing. Galina Hahn
Anne-Katrin Lorch
Adrian Fiebig-Dörschner
Kay-Uwe Jähn-Schwital
Univ.Prof. Marleen Kabus
Ing. Utz Klemt B.A.
Gina Stolze
Lothar Birnbaum
Wiltrud Gröttner-Klapp
Andrei Bolander-Jäkel
Hans-Gerd Preiß
Univ.Prof. Gustav Sölzer
Ute Conradi-Trüb
Univ.Prof. Gretl Langern B.A.
Sevim Ackermann
Hans-Erich Preiß
Pierre Köster
Veronique Eimer
Univ.Prof. Jeanette Girschner B.Sc.
Hans-Adolf Mosemann B.A.
Jessica Stumpf
Geert Rust
Friedhelm Schleich
Univ.Prof. Blanka Linke B.Eng.
Elizabeth Budig
Friedericke Lehmann B.Sc.
Pedro Pölitz
Urte Caspar
Mirco Girschner
Harri Mans
Ignatz Budig
Franziska Beer
Univ.Prof. Ahmet Birnbaum MBA.
Dr. Irmgard Plath B.A.
Dipl.-Ing. Jaqueline Striebitz
Univ.Prof. Annegrete Holt
Prof. Monique Budig B.Eng.
Gerhart Staude
Ing. Tina Schmiedt B.A.
Herr Edmund Hesse
Gino Heß
Caroline Harloff
Vitali Walter-Krein
Kornelius Sontag
Fred Wende
Franziska Wernecke
Jörn Hörle B.Sc.
Justus Lorch
Leo Gunpf-Bolzmann
Prof. Juan Hamann
Gülsen Davids-Heinz
Joanna Christoph
Gerhart Beier
Prof. Meik Blümel B.Sc.
Monique Ullmann MBA.
Hansgeorg Heuser
Ing. Romuald Kreusel B.A.
Anne-Rose Hettner B.A.
Berthold Haase-Trub
Dr. Rosmarie Seip
Cemal Trapp
Torben Wiek-Ring
Zeynep Lehmann
Inna Schulz
Gerdi Neureuther-Mälzer
Frau Almut Kuhl
Patrizia Wirth
Dipl.-Ing. Wilfried Ortmann
Herr Thomas Baum
Ing. Hannes Jähn B.Sc.
Alina Hoffmann
Thies Rose
Frau Krista Rädel B.Sc.
Tanja Rörricht-Haering
Heidelore Pärtzelt MBA.
Heinz-Werner Briemer B.A.
Sigmund Conradi
Franz Josef Haase
Ing. Engelbert Bauer
Willfried Mende
Frederike Stoll
Ing. Herbert Mühle B.Sc.
Elfi Fröhlich-Löchel
Benita Hahn-Wieloch
Univ.Prof. Beatrix Roskoth
Oxana Stumpf
Calogero Hoffmann B.Eng.
Ing. Anneli Nerger
Danuta Kreusel
Stephanie Kranz B.A.
Sibille Kallert
Imelda Söding
Ing. Kay-Uwe Flantz
Ing. Heinz-Josef Hoffmann
Sylvie Börner
Susi Grein Groth-Steuer
Frau Hildegunde Koch II
Julie Radisch MBA.
Thekla Schäfer
Magrit Lange
Fedor Roskoth B.A.
Ferdi Hoffmann
Mareike Reichmann
Hans-Joachim Häring
Felizitas Werner
Jochem Hermighausen
Margot Schäfer B.Eng.
Lothar Fischer
Ada Heser B.Sc.
Josephine Rogge
Ronald Werner
Rafael Blümel
Elisabeth Käster
Sebastian Warmer
Salih Eckbauer-Renner
Prof. Hermann Josef Söding
Vadim Bender B.A.
Walter Weller
Liesa Neureuther
Liane Fechner
Tino Paffrath B.Eng.
Daniela Siering
Ing. Alf Lachmann
Herr Wolfhard Hövel
Carla Schacht
Reinhard Zänker
Amalie Gotthard-Beckmann
Herr David Löchel B.A.
Frau Clarissa Rosenow B.A.
Ann-Kathrin Mühle
Heinz-Walter Roskoth-Hertrampf
Harro Keudel
Marianna Geisler
Suzanne Holzapfel
Hans-Uwe Sager
Gilda Tintzmann
Univ.Prof. Resi Knappe
Dipl.-Ing. Mahmoud Mühle B.Eng.
Helen Hein B.A.
Aenne Kraus
Jadwiga Koch
Hassan Kroker-Girschner
Rosita Wesack B.Sc.
Regina Ring
Esther Hoffmann-Hermighausen
Danilo Ehlert
Sylvia Schäfer
Prof. Klaus Peter Bruder
Irmengard Rudolph
Marc Heintze B.A.
Hendrik Gehringer
Dörthe Mitschke-Holt
Milan Holzapfel
Karl-Heinrich Kraus B.A.
Goran Junck-Bauer
Dajana Ruppert
Herr Hilmar Stumpf
Prof. Marko Rohleder B.A.
Danilo Losekann
Ingelore Kobelt MBA.
Elena Gotthard
Univ.Prof. Ilka Jäntsch B.A.
José Tschentscher-Textor
Abram Scholz B.Sc.
Univ.Prof. Anna-Luise Faust
Max Fiebig
Christiane Roht
Tillmann Dobes-Trupp
Hans-Theo Thies
Joachim Kramer
Carin Pruschke
Ria Dietz
Annika Pieper B.A.
Marina Wilmsen
Dipl.-Ing. Augusta Lachmann B.A.
Vinko Schönland B.Eng.
Dr. Tim Hornig B.Sc.
Kamil Hecker-Hahn
Hermine Schüler
Anna-Luise Segebahn
Senta Weihmann
Cecilia Eigenwillig
Hermine Wohlgemut
Heinrich Dippel
Ingried Sauer
Willy Kallert
Georg Misicher
Wera Klemt
Ing. Corinne Winkler
Berndt Barkholz
Hartmuth Koch II
Christopher Sager
Edmund Schmidt-Fliegner
Hülya Scheibe
Karl-Dieter Speer
Prof. Urs Salz
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Ljudmila Krebs
Dr. Franco Wilms
