Student
Ulla Hamann
Folkert Barth B.Sc.
Ferenc Bolzmann-Girschner
Univ.Prof. Diedrich Köhler B.A.
Raymond Ruppersberger
Ing. Rosalinde Rogner MBA.
Giesela Wagner
Alois Werner
Univ.Prof. Waldtraut Riehl
Hanspeter Benthin
Univ.Prof. Otto Kruschwitz MBA.
Univ.Prof. Ron Rörricht
Paul Carsten
Elisa Noack-Seifert
Friedericke Bolzmann
Roswita Henck
Vassilios Kramer
Franz-Josef Etzold
Gregor Jungfer
Hans-Albert Lindau
Dr. Franco Wilms
Prof. Josefa Beier B.Sc.
Herr Goran Paffrath
Ing. Carin Zorbach MBA.
Swantje Binner B.A.
Marlen Hesse
Dipl.-Ing. Hanns Nette
Alena Neureuther
Diethelm Hübel MBA.
Mariola Gnatz
Univ.Prof. Nadja Jacob B.Eng.
Cäcilie Haase
Evangelia Gierschner
Dipl.-Ing. Josip Mies
Dipl.-Ing. Jan-Peter Mende MBA.
Knut Jacob
Andrei Wulff
Flora Mühle B.Sc.
Prof. Karl-Hermann Pieper B.Eng.
Grzegorz Bohlander
Bruno Wagenknecht
Jörg-Peter Speer
Amanda Eimer B.Sc.
Isabel Rose
Univ.Prof. Nadine Gnatz
Siegmar Kramer
Kunibert Heß MBA.
Cornelia Schinke
Ing. Christiana Seip
Francis Rohleder
Valeri Mielcarek
Fabienne Matthäi-Heß
Zeljko Henck
Gesche Kühnert
George Paffrath MBA.
Judith Gerlach
Herr Wieland Hartmann MBA.
Monique Rose-Schuchhardt
Luis Ackermann
Slawomir Tlustek B.A.
Gottfried Keudel MBA.
Zita Klemt
Dipl.-Ing. Jiri Wesack B.A.
Mato Trubin
Monique Stroh
Frau Delia Hellwig B.Sc.
Gisela Hornich-Metz
Janko Rose
Clara Gehringer
Gabriel Werner
Franka Weinhold
Prof. Jelena Naser
Helene Ullrich
Egon Ruppersberger B.Sc.
Bruno Siering MBA.
Univ.Prof. Babette Kitzmann
Frau Anny Niemeier B.A.
Margot Schäfer B.Eng.
Herr Jacek Budig B.Eng.
Hülya Stadelmann
Hanspeter Davids
Sandra Hornig
Danielle Ritter B.Eng.
Ing. Leonid Budig B.A.
Dipl.-Ing. Patric Johann
Univ.Prof. Hinrich Eberth
Zoltan Preiß B.Eng.
Ing. Ortrun Weimer
Gerold Thanel
Dietrich Adolph MBA.
Ing. Margareta Hethur B.A.
Gerolf Döring-Buchholz
Karlheinz Martin
Priska Wende
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Pirmin Reising
Emmerich Wilmsen
Univ.Prof. Ditmar Mitschke B.A.
Ing. André Christoph
Ing. Carolin Anders
Univ.Prof. Fatima Hölzenbecher
Engin Hofmann
Karolina Hartmann
Eberhardt Gute
André Kraushaar-Henck
Antonietta Barth
Hilmar Hörle
Marianna Rosenow-Weiß
Dr. Ruth Dobes
Dipl.-Ing. Harm Ruppert MBA.
Herr Gerolf Hermann B.Eng.
Prof. Ivonne Boucsein B.Eng.
Maya Haering-Becker
Jörg Pechel
Peter-Michael Kostolzin
Cläre Mohaupt
Joseph Gorlitz-Bloch
Susi Hendriks
Steven Trub
Gertraud Tröst
Hans-Martin Junk-Kuhl
Anneli Heintze
Abraham Carsten
Prof. Falko Trapp B.Eng.
Maja Jungfer
Franziska Beer
Dipl.-Ing. Nathalie Radisch
Mohammed Ritter
Natalja Löchel-Beckmann
Marek Schenk B.A.
Theda Stumpf B.Eng.
Oxana Henschel
Sara Johann
Dipl.-Ing. Ehrenfried Kranz MBA.
Heino Lindau B.Eng.
Anett Bien-Schuster
Rene Hofmann
Annita Lorch
Emilie Schmiedecke
Eva-Maria Mies MBA.
Stanislaus Davids MBA.
Sergej Dippel
Mohamed Stiebitz-Pärtzelt
Franz-Xaver Bachmann
Prof. Danny Bähr B.Eng.
Damian Jopich B.A.
Katharine Mühle
Pauline Bolzmann
Frida Süßebier
Kristiane Hermann
Ehrentraud Hänel-Dussen van
Raymond Speer
Benjamin Lübs
Pedro Beer
Baldur Metz
Margot Sontag MBA.
Aline Steinberg-Klingelhöfer
Marek Hesse B.Eng.
Ramon Jäntsch-Gertz
Sabrina Schomber
Prof. Natalja Käster MBA.
Gudrun Geisler
Dipl.-Ing. Dragica Neureuther
Benita Schleich
Hildburg Dowerg-Pergande
Slavko Fliegner B.Sc.
Andrej van der Dussen B.A.
Beatrix Rädel MBA.
Ing. Justina Beckmann
Sylvester Bender-Boucsein
Gerhart Davids B.A.
Alwine Sager
Hajo Jäntsch
Hüseyin Stahr
Senta Ruppersberger
Sami Mans-Ullrich
Dr. Helma Kohl B.A.
Mijo Jessel B.A.
Franz Josef Girschner
Polina Kostolzin
Jonas Adler
Anastasia Gunpf
Mara Roht
Dr. Elwira Hiller
Wulf Schuster
Karl-Wilhelm Anders-Gude
Ortwin Scholl
Ing. Anastasios Berger
Michelle Kitzmann
Nadin Hertrampf-Killer
Mirco Barth
Univ.Prof. Greta Trapp
Augustin Lachmann
Eugenia Stey
Dr. Gero Röhricht B.Eng.
Karl-Wilhelm Weiß
Lilija Döring
Rotraut Ullrich
Peter Mitschke
Justine Dippel-Rosemann
Irmi Jüttner
Marcel Hermighausen
Dr. Annaliese Lindner
Ilja Kitzmann B.A.
Oskar Löwer B.Eng.
Alfredo Möchlichen
Michaele Ruppert
Zita Butte
Laila Kranz
Kuno Kreusel
Liselotte Lindau
Ricarda Fröhlich B.A.
Engelbert Sauer MBA.
Folkert Schwital
Konstantin Eimer-Lehmann
Michael Scholz
Kaspar Hänel
Gisela Schwital-Scheel
Sandy Römer-Bien
Gerald Albers-Jähn
Elias Gierschner
Annegrete Pohl-Sölzer
Univ.Prof. Heidelinde Jopich B.Sc.
Sevim Schmiedt-Döhn
Dr. Jens-Uwe Ruppert
Semra Gorlitz
Aleksandra Stey MBA.
Herr Rupert Jüttner MBA.
Johann Seidel
Claas Wirth B.Sc.
Cilli Lindau B.A.
Gerlinde Albers-Hörle
Sven Walter
Ditmar Adolph
Siegrun Reinhardt
Gundula Weitzel-Liebelt
Univ.Prof. Margrit Davids B.Eng.
Sigrid Jockel
Andrew Misicher
Suse Hornich
Gotthilf Gertz
Ronald Werner
Leokadia Bloch
Evelyn Bien
Dittmar Graf
Hülya Conradi
Hans-Christian Finke
Ralph Fröhlich
Hugo Keudel B.A.
Istvan Patberg-Anders
Brunhilde Nohlmans
Peter Rohleder
Frau Clarissa Rosenow B.A.
Volkmar Hentschel
Frau Renate Geisler
Vincenzo Haering
Lars Kallert
Gülay Haase
Dr. Ursel Gute
Julius Kraushaar
Hanni Dippel-Heser
Aenne Hübel-Mühle
Nadin Radisch
Ismail Steinberg
Cristina Salz B.Sc.
Frau Sibel Trommler
Jasmina Rädel
Hans-Adolf Mosemann B.A.
Dr. Lidwina Oestrovsky
Ernst Koch II-Graf
Vincenzo Zirme
Almuth Rosenow-Schönland
Boris Stumpf
Jana Langern
Ali Briemer-Klemm
Egbert Gertz
Alwin Schaaf
Elizabeth Budig
Gregor Buchholz
Luise Junk
Prof. Jürgen Blümel B.A.
Dipl.-Ing. Reimer Werner MBA.
Carin Pruschke
Univ.Prof. Heinrich Knappe B.A.
Lisette Stoll B.Eng.
Manuel Hering-Jäntsch
Ilse Henschel
Dipl.-Ing. Henriette Lindau
Renate Bärer
Henning Fechner
Solveig Trapp MBA.
Nadja Geisler
Slawomir Bohnbach
Hanspeter Stiffel
Dipl.-Ing. Mariola Lange B.Sc.
Hanna Speer
Achim Etzold MBA.
Astrid Nerger-Tröst
Henriette Ladeck
Ing. Boris Junck MBA.
Felizitas Jungfer
Prof. Natalija Weinhold
Paulo Trommler
Miroslawa Rose
Dr. Nadeschda Wulf
Gertrude Ullmann
Dipl.-Ing. Bodo Junk B.Eng.
Herr Mirko Häring B.Sc.
Fedor Röhrdanz
Wolfhard Fiebig
Angelo Pärtzelt
Babette Rohleder
Adele Stroh
Franka Peukert
Felicitas Biggen
Roger Gunpf-Paffrath
Ivo Börner
Alicja Gieß
Nikolai Rädel-Klemt
Erhard Reinhardt
Dr. Lisa Kusch
Horst-Dieter Bähr
Wera Hauffer B.A.
Murat Meister
Süleyman Wende
Domenico Reichmann
Jan Linke MBA.
Hiltrud Klemm
Dipl.-Ing. Sieglinde Fischer B.Eng.
Dr. Zeljko Pruschke
Cemal Klingelhöfer-Otto
Prof. Helmut Hellwig MBA.
Herr Oliver Stahr
Miroslaw Gieß
Hermann Josef Drubin
Ria Dietz
Gunar Lindner
Elli Kuhl B.Eng.
Michaele Klotz B.Eng.
Dorothee Seidel
Prof. Arif Mielcarek B.Eng.
Prof. Sibel Mälzer MBA.
Ingetraud Caspar
Thorben Stiebitz
Pawel Schlosser
Ing. Rosalinde Käster MBA.
Anke Hettner
Kristian Rosemann B.Sc.
Bodo Finke
Dipl.-Ing. Hildegunde Bachmann
Reinhold Hellwig-Mülichen
Annekatrin Trupp
Sören Pechel
Karl-Wilhelm Geisel
Dr. Lilija Butte B.A.
Krzysztof Kruschwitz
Karl-Georg Dörschner
Else Heß MBA.
Cetin Heidrich
Dolores Conradi
Dr. Almut Peukert MBA.
Theresa Schüler
Gordana Bolnbach
Hans-Herbert Walter
Markus Eimer
Damian Holsten
Kerstin Heidrich B.A.
Annika Wirth
Dorina Weinhold
Lena Wende
Fabienne Holt MBA.
Almuth Pieper
Tatiana Pechel
Marianne Hecker
Ing. Loni Gnatz MBA.
Herr Tom Täsche
Univ.Prof. Dolores Rust
Prof. Katalin Heinrich
Bernhardine Wilmsen
Benita Holzapfel-Hecker
Helene Keudel
Jurij Bärer
Cläre Bruder-Hentschel
Prof. Tina Nohlmans MBA.
Jacek Bärer
Aloys Fechner
Edmund Siering
Hanne-Lore Kraus
Katerina Bolzmann B.Eng.
Paul-Gerhard Hein
Alwine Wulf
Carmelo Stiebitz
Dr. Rita Kallert
Hannes Patberg
Dominik Jungfer
Univ.Prof. Hans-Albert Ruppert
Carmen Weinhold
Ottokar Berger
Brunhilde Heinz MBA.
Dipl.-Ing. Richard Gröttner B.A.
Dogan Häring MBA.
Alicia Ring
Ilka Faust
Hans D. Schenk
Kornelius Pergande-Weiß
Ing. Heide Winkler
Gilbert Schottin
Dr. Edith Ring B.Sc.
Branka Hering
Frank-Peter Bien
Marie-Louise Killer-Etzler
Hertha Gutknecht
Margrit Förster
Gitta Hübel
Hans-Dietrich Fliegner
Gundula Otto-Kuhl
Wiebke Caspar B.A.
Georgine Segebahn
Frau Anka Hering
Eileen Geißler
Carsten Jüttner B.Eng.
Anto Niemeier
Valentine Tschentscher
Julia Heinrich
Elfi Wesack
Bruni Meister B.Sc.
Hans-Gerd Dietz B.A.
Ing. Agnes Zobel
Mike Sölzer
Miroslawa Jessel B.Sc.
Ludwina Fritsch
Dr. Sigfried Seip B.Eng.
Daniele Pieper-Käster
Ivana Eimer
Evi Heuser
Cindy Tschentscher
Kamil Hecker-Hahn
Janko Neureuther
Felicia Binner
Fredo Kühnert-Köhler
Dipl.-Ing. Alla Karge
Constanze Lange
Herr Mario Thanel
Patrizia Schüler
Dr. Hans-Hermann Rosemann B.A.
Wolf Martin
Cosimo Löffler B.Sc.
Ines Anders
Univ.Prof. Leif Süßebier B.A.
Gundi Tlustek
Ottilie Scheel
Ingried Stiffel B.A.
Katherina Bien
Leif Christoph
Franz-Josef Kohl
Sibilla Hofmann
Theresia Paffrath
Margarete Mohaupt B.Sc.
Herr Muzaffer Schäfer
Andrea Wulf
Gislinde Junken
Jörg Speer
Dipl.-Ing. Helma Heuser B.Sc.
Ing. Kläre Radisch
Klaus-Werner Jäkel-Holsten
Friedl Briemer-Austermühle
Herma Möchlichen
Mijo Seidel B.Sc.
Ronald Hofmann
Victoria Hiller
Diethelm Hofmann
Prof. Woldemar Beier B.A.
Ljiljana Roht
Dr. Slawomir Hande
Milos Knappe-Scholz
Ing. Amalia Walter
Prof. Horst Mälzer B.Sc.
Dipl.-Ing. Gisa Jüttner B.Sc.
Dr. Fredy Niemeier
Lissy Dippel
Dr. Sükrü Hettner
Marten Röhricht B.Sc.
Karl-Peter Grein Groth B.Eng.
Willi Birnbaum
Frau Monique Löchel
Emilie Scholz
Antonina Neureuther
Sylke Binner B.A.
Victoria Werner MBA.
Nicolai Gutknecht
Teresa Schomber B.A.
Lilija Ruppert
Marika Zimmer
Kuno Mälzer B.Eng.
Annaliese Klingelhöfer
Frau Kordula Geisler MBA.
Elise Ackermann
Dipl.-Ing. Hanns Killer B.Sc.
Hans-Jochen Gorlitz B.Sc.
Anna-Luise Kraushaar
Hildegunde Staude
Viviane Jopich
Dipl.-Ing. Lidija Pölitz
Herr David Freudenberger B.Eng.
Univ.Prof. Tina Rose
Virginia Gieß
Dr. Anatoli Bonbach
Cora Steuer-Junken
Berthold Rohleder
Gina Killer
Univ.Prof. Annekatrin Neureuther B.A.
Tillmann Stolze
Maritta Bien
Franz Josef Hoffmann B.Sc.
Anneli Schleich-Ullmann
Anneliese Gnatz
Boris Bachmann
Arnulf Süßebier
Pius Gierschner-Weitzel
Sedat Matthäi
Elvira Cichorius
Fatma Hesse
Univ.Prof. Josip Hartung
Carolin Siering
Susi Seifert
Torben Hartung
Lothar Beckmann
Hansjörg Müller B.Sc.
Wiltrud Ladeck MBA.
Dipl.-Ing. Marica Sager
Calogero Wende
Gretchen Pohl
Univ.Prof. Cecilia Scholl MBA.
Isa Koch
Cathleen Gude
Univ.Prof. Sahin Freudenberger B.A.
Attila Rogner
Dr. Ellen Schlosser B.A.
Leonardo Rogge
Mia Roskoth
Eugenia Sorgatz
Ingolf Ruppersberger-Berger
Ulf Kensy MBA.
Lissi Rust-Metz
Henryk Textor-Gröttner
Edit Siering
Ferdinand Junck-Hölzenbecher
Carsten Hartmann
Patricia Schäfer
Ekaterina Liebelt
Ing. Henning Drub
Woldemar Heydrich B.Eng.
Alicja Pergande
Burkard Schlosser
Trudi Kranz B.Eng.
Geza Bloch-Mühle
Ilonka Döring-Schulz
Larissa Käster
Otmar Ditschlerin
Marian Hande
Hanne Ackermann
Miriam Haering
Joanna Weinhold-Förster
Irmtraut Haase-Hendriks
Arno Mude
Sina Spieß
Czeslaw Fiebig
Univ.Prof. Irene Budig
Pero Römer
Marit Weller
Gertraud Mentzel
Herr Gordon Meister
Enrico Kobelt-Klemt
Karl-Hans Fiebig
Angela Stiffel
Hansgeorg Heuser
Veronika Kruschwitz B.A.
Isidor Niemeier
Hellmut Bruder
Oskar Beyer
Ursel Conradi
Ing. Fredi Löffler
Wieslaw Freudenberger
Benita Geißler
Zofia Schönland B.Sc.
Linus Lübs
Dr. Elmar Junk
Frau Francesca Blümel
Dr. Thekla Lindau B.Sc.
Helma Zorbach
Arif Heinrich
Knut Gorlitz
Frau Stella Plath B.A.
Univ.Prof. Albertine Köhler MBA.
Prof. Nikolai Gunpf
Dipl.-Ing. Korinna Pärtzelt
Frau Friederike Albers
Friedhelm Schleich
Margita Hartung-Zänker
James Kostolzin-Haase
Ing. Silja Heser
Prof. Sarina Hartmann
Jost Lindau
Adelinde Gutknecht-Beier
Prof. Cathrin Misicher
Herr Dursun Hentschel B.Eng.
Dipl.-Ing. Bernhardine Heß
Anton Gute
Grete Biggen-Kostolzin
Tatiana Kade-Rust
Asta Hesse
Gilbert Steuer-Rosemann
Frau Rosalinde Riehl
Herr Yilmaz Vollbrecht B.Eng.
Bogdan Pohl
Günter Löwer
Diana Drubin-Walter
Gina Stolze
Heinz-Joachim Stiebitz
Kai-Uwe Stiebitz-Hentschel
Frau Mirjana Baum B.Sc.
Mercedes Christoph
Herbert Budig
Dipl.-Ing. Dajana Beer
Prof. Ursula Niemeier B.Eng.
Ing. Justina Fiebig
Gabor Dobes
Malgorzata Tlustek
Denny Pechel
Therese Rohleder
Ilja Wende
Matteo Krein-Müller
Gundula Klotz
Dorit Dowerg
Ing. Friedhold Hartung B.Sc.
Ing. Jens-Peter Tschentscher
Aenne Kraus
Urszula Rudolph
Fatma Hein
Annamaria Hesse
Gunhild Meister
Danny Mälzer
Rosalia Johann
Gunnar Weimer
Ing. Guenther Scholtz B.A.
Ing. Nadeschda Tschentscher B.A.
Tilly Pergande
Caterina Weinhage
Bert Junck
Tülay Schmidtke B.Sc.
Eva-Marie Hendriks
Rudi Schacht
Marvin Gröttner MBA.
Rahel Heidrich-Jüttner
Ladislaus Killer
Marie-Theres Pechel
Milka Hahn
Sofia Austermühle
Annett Sorgatz B.Eng.
Herr Frank Bolnbach
Bayram Cichorius-Zobel
Kay-Uwe Finke
Brunhilde Tröst
Andreas Birnbaum-Kallert
Kristian Anders B.Sc.
Dr. Peggy Beyer B.Sc.
Renata Holt-Heintze
Stefani Caspar
Gerhart Staude
Susann Haering
Bianka Dobes-Seifert
Ekaterina Schmiedecke
Ivana Wilmsen-Gumprich
Ramona Sontag
Augustin Wende
Juan Schweitzer
Dursun Mies
Dipl.-Ing. Mathias Metz B.A.
Marjan Pölitz B.Eng.
Nicolaus Jessel
Burghard Albers-Berger
Janusz Killer
Tibor Köhler-Schönland
Sibylle Jäntsch
Dr. Fedor Plath B.Sc.
Alexej Röhrdanz
Hasso Renner
Dorothea Kroker-Misicher
Karl-Ernst Reuter
Univ.Prof. Paulo Jähn
Annelore Riehl
Theresia Liebelt
Ruth Mangold B.Sc.
Hans-Hinrich Bohlander
Andrej Geißler-Beckmann
Dr. Olaf Gierschner B.Sc.
Zita Wieloch-Scholtz
Gerhild Gude
Lidwina Karz MBA.
Alfred Holzapfel-Hamann
Senta Weihmann
Sara Rogge
Imelda Schäfer
Eileen Hartung
Erol Kreusel B.Sc.
Karl-Peter Hofmann B.A.
Gesa Jäntsch
Berthold Jäntsch-Jessel
Gerhild Löffler
Prof. Kaspar Mosemann
Dr. Cäcilia Henk B.Eng.
Dipl.-Ing. Salvatore Zänker MBA.
Ludmila Stadelmann
Margret Dehmel
Dagmar Franke-Schleich
Dr. Jan-Peter Döhn B.A.
Franca Börner
Dr. Herbert Jockel B.Eng.
Bekir Bonbach
Marietta Geißler
Prof. Mirko Adolph B.A.
Prof. Volker Hermann
Rolf-Peter Staude
Albrecht Metz B.A.
Ilja Freudenberger B.A.
Gunther Tschentscher
Ing. Dierk Striebitz
Prof. Necati Stey B.A.
Univ.Prof. Andrea Gieß B.Eng.
Lidwina Sorgatz-Weihmann
Ing. Jaqueline Wende B.A.
Ing. Mattias Boucsein
Jörn Trupp MBA.
Silja Kraus-Schuster
Juliana Möchlichen
Matthias Hendriks-Koch
Heinz Dieter Barkholz
Oxana Ortmann MBA.
Jan-Peter Scheuermann-Jungfer
Friedbert Sorgatz
Adrian Killer
Karla Wirth
Ing. Petar Wilmsen
Dr. Rosmarie Seip
Cläre Heser
Frau Helena Nette
Margaretha Kohl B.Sc.
Benno Mohaupt
Pedro Bärer
Veronica Benthin
Ludwina Hölzenbecher
Felizitas Werner
Nathalie Krause
Hellmut Hein-Gnatz
Mary Reuter B.Sc.
Univ.Prof. Dorle Röhrdanz B.A.
Isa Tlustek
Agatha Kostolzin
Ellen Gutknecht
Adelbert Austermühle
Univ.Prof. Marko Schmiedecke MBA.
Prof. Annita Wulff
Eva Wende-Peukert
Ing. Imke Eigenwillig B.A.
Xenia Margraf
Arnold Oderwald
Julie Mosemann
Hans-Hinrich Linke
Dr. Diedrich Atzler
Ditmar Briemer
Halina Hethur
Hinrich Römer
Jens Drubin
Univ.Prof. Paul-Heinz Heinz
Regine Meyer
Wiltrud Geißler
Sönke Gumprich
Dipl.-Ing. Milos Klemt
Prof. Jan-Peter Schmidt
Dipl.-Ing. Utz Adler B.A.
Anica Kade-Steuer
Ing. Augustin Budig B.Eng.
Nikolas Heß
Cornelia Römer
Daniele Hering
Klaus-Michael Mälzer
Juan Noack
Dr. Nadja Wulf
Herr Valentin Warmer
Vlado Lindner
Prof. Marten Söding B.A.
Gerfried Dippel
Frau Herlinde Kade B.A.
Jana Drubin-Heß
Dr. Elzbieta Mitschke B.Eng.
Enno Jockel MBA.
Senol Langern
Isabell Buchholz
Dr. Wilfriede Reuter
Nadia Rosenow
Alicja Faust B.Eng.
Ing. Ronny Metz B.A.
Klaus-Günter Kreusel
Friedrich-Wilhelm Roht-Wiek
Nicolaus Franke-Paffrath
Ing. Louis Eckbauer B.Eng.
Hedda Baum
Balthasar Holsten
Sybilla Striebitz
Dr. Lilija Dowerg MBA.
Judith Hering B.A.
Dipl.-Ing. Enver Drubin
Nadine Sauer
Prof. Axel Davids MBA.
Jaroslaw Seip
Marco Buchholz
Dipl.-Ing. Sylke Gute B.A.
Helena Franke
Paul-Gerhard Jungfer B.Eng.
Franziska Hörle B.Sc.
Dipl.-Ing. Gunnar Rohleder B.Sc.
Waltrud Gumprich
Prof. Karl-Friedrich Geisler B.A.
Herr Bastian Hübel B.A.
Univ.Prof. Till Vogt MBA.
Frank-Michael Klemt
Hedy Rudolph MBA.
Univ.Prof. Jeanette Girschner B.Sc.
Henriette Bruder
Prof. Volkmar Heuser
Gereon Trapp
Carla Hecker
Svetlana Boucsein
Frau Brigitta Bohlander MBA.
Ernst-Otto Heß-Hartmann
Anatolij Steinberg
Alwin Löffler B.A.
Hermine Schüler
Slawomir Ehlert-Reising
Edelbert Bruder
Univ.Prof. Undine Junken MBA.
Camilla Gunpf
Wieslaw Käster
Janus Weitzel-Koch
Isidor Heinrich
Klaus-Ulrich Blümel B.A.
Thomas Hänel
Meike Rosenow
Inna Ditschlerin
Univ.Prof. Markus Finke B.Sc.
Tülay Gnatz-Sorgatz
Rosa Pieper B.Eng.
Curt Mühle
Mechtild Winkler
Julia Conradi-Mentzel
Mohammed Geißler
Valentin Steuer-Mans
Theres Heser
Marcella Franke B.A.
Dorle Henck-Sorgatz
Regina Ring
Sandro Schmiedt
Reinhilde Hesse B.Sc.
Hans-Willi Ladeck
Irmgard Pieper B.Eng.
Antonius Stoll-Krebs
Etta Hellwig
Prof. Irena Höfig
August Weihmann
Elizabeth Jacob
Univ.Prof. Galina Kobelt B.Eng.
Wolfhard Rosemann B.Eng.
Univ.Prof. Dorina Lange
Sükrü Fiebig
Reni auch Schlauchin
Uwe Schwital MBA.
Univ.Prof. Hardy Hartung
Kreszentia Scheibe
Dipl.-Ing. Ildiko Löffler B.A.
Sevim Junitz
Univ.Prof. Jörg Jessel MBA.
Ottmar Kruschwitz
Gunhild Gorlitz-Heinrich
Leokadia Herrmann
Ing. Gerold Mende
Jann Cichorius
Herr Knud Pölitz B.A.
Claus Juncken
Alla Weihmann
Ing. Edeltraud Zirme
Walburga Junk
Diethard Gude
Thoralf Geisel
Dipl.-Ing. Albrecht Metz
Ing. Kristina Biggen
Ing. Alberto Schlosser
Ing. Hans Peter Schenk B.A.
Univ.Prof. Maria-Luise Trüb B.Sc.
Frau Gertrud Jüttner
Helene Kuhl-Austermühle
Elizabeth Vollbrecht
Nikolas Hethur MBA.
Ing. Anneliese Döring
Hildegunde Stiebitz-Mude
Jasmina Zorbach
Hans-Erich Warmer B.A.
Anika Tschentscher
Beate Nette
Milka Wohlgemut-Meyer
Nils Hermighausen
Edmund Scholtz B.Sc.
Desiree Gierschner B.Eng.
Univ.Prof. Harro Fröhlich
