Student
Robin Schuchhardt-Reichmann
Dipl.-Ing. Utz Adler B.A.
Dipl.-Ing. Betty Niemeier MBA.
Dr. Silvio Täsche
Alwine Wirth-Klemm
Linda Ziegert-Junken
Reingard Jungfer
Anneli Schleich-Ullmann
Frieda Tintzmann-Löchel
Dr. Zeljko Pruschke
Univ.Prof. Guido Carsten MBA.
Prof. Bärbel Ladeck B.Eng.
Herr Herbert Dowerg
Dr. Eberhardt Adolph B.Eng.
Univ.Prof. Pia Schlosser MBA.
Jochem Hermighausen
Ing. Ralf Sölzer B.A.
Prof. Dorit Käster B.Sc.
Ing. Rosina Kabus MBA.
Milos Wiek
Ing. Vitali Hentschel MBA.
Waltrud Scholl
Karl-Josef Thanel
Univ.Prof. Veli Etzler
Ing. Gabriela Dippel MBA.
Dr. Gerard Dörr
Carlo Pohl
Ann Mielcarek
Irmi Koch
Gisela Hornich-Metz
Ahmad Preiß
Siegrid Paffrath
Lili Heydrich-Beyer
Reimund Kraushaar
Prof. Lilly Schmidtke
Iris Kraushaar B.Sc.
Vinko Kraus-Schmiedt
Freia Hamann-Eckbauer
Hilmar Graf
Prof. Irmela Hellwig B.Sc.
Helga Salz
Dipl.-Ing. Manuel Kade
Constantin Ziegert
Hanna Jäntsch MBA.
Univ.Prof. Gottlob Tröst B.Eng.
Prof. Volkmar Heuser
Isabell Eberth-Pechel
Dipl.-Ing. Valeria Kühnert MBA.
Kurt Thanel
Frau Anne-Katrin Rädel
Ralf-Dieter Riehl B.Eng.
Elmar Förster
Augustin Wende
Elli Kohl
Gitta Hübel
Dr. Lilija Dowerg MBA.
Eduard Kühnert
Leon Rust
Gertrude Gumprich
Prof. Alina Ziegert
Franz Josef Haase
Adolfine Fischer
Annaliese Lübs
Julia Hecker-Krebs
Hans-Dieter Scholl
Dipl.-Ing. Cora Baum
Beatrix Möchlichen
Britt Bolander B.A.
Brita Schwital
Gitta Berger
Reimar Müller
Carolin Etzler
Thoralf Eimer
Birgit Pergande
Hüseyin Johann
Leonardo Klingelhöfer B.Sc.
Univ.Prof. Sybilla Gehringer
Gerhild Gude
Emin van der Dussen
Reni Henk
Daria Stiffel
Desiree Wulf-Jüttner
Diethard Trommler
Robert Herrmann
Edeltrud Margraf
Bekir Gumprich-Kabus
Juliana Möchlichen
Dr. Nadeschda Wulf
Justine Dippel-Rosemann
Rüdiger Heinrich
Marie-Luise Staude-Käster
Abbas Segebahn
Laura Wilms
Ingeborg Wesack
Dr. Leonhard Otto
Georg Misicher
Dietlinde Binner
Frau Korinna Kranz
Herr Filippo Rosemann B.A.
Urban Geißler B.A.
Ernest auch Schlauchin
Alwine Bien
Hans-Günther Scheuermann B.Eng.
Muharrem Rosemann-Heidrich
Prof. Arnold Caspar B.A.
Georgine Segebahn
Florentine Sölzer-Siering
Herr Mike Schuchhardt B.A.
Falko Klemm B.Sc.
Prof. Gertraude Mangold B.Eng.
Frau Natalija Stey
Pius Gierschner-Weitzel
Marianne Heser
Philipp Killer B.A.
Adelgunde Wagenknecht
Kai-Uwe Oderwald
Karl-Friedrich Kitzmann
Herr Arnulf Kohl
Balthasar Klemm
Karl-Otto Kostolzin
Hans-Herbert Walter
Nico Möchlichen
Käthi Löffler
Tomislav Schüler
Wolf Häring-Kallert
Rosina Ditschlerin-Ortmann
Zeki Otto
Erica Holsten
Jost Briemer
Ing. Annekatrin Heß
Sigmund Conradi
Dipl.-Ing. Sarina Dörr
Hans-Detlef Matthäi
Herr Sylvester Jopich B.Eng.
Gregor Dippel
Urban Peukert
Univ.Prof. Dragan Thies MBA.
Anne-Katrin Lorch
Prof. Bertha Jacobi Jäckel MBA.
Susan Riehl B.Sc.
Robby Weller
Franca Buchholz
Marc Heintze B.A.
Herr Christopher Speer
Prof. Folker Budig
Silvio Weimer
Esther Hoffmann-Hermighausen
Calogero Staude B.A.
Dariusz Rädel
Dipl.-Ing. Gerdi Wende
Prof. Meral Jüttner MBA.
Lilo Hartung
Helen Hein B.A.
Edeltrud Kambs
Giovanna Zobel-Liebelt
Sami Junitz
Francis Rohleder
Meral Stroh-Henschel
George Weimer
Evelyn Bien
Frau Christiane Zänker B.A.
Undine Dehmel
Hans-Willi Baum-Staude
Victoria Binner
Prof. Ralf-Peter Schlosser B.Eng.
Berit Pärtzelt
Celal Pohl
Marina Wilmsen
Danuta Kensy
Enrico Oderwald
Dr. Annelies Stumpf
Oliver Biggen
Prof. Heinz-Willi Lindau MBA.
Prof. Fredy Hahn
Liane Hermann MBA.
Wieslaw Oestrovsky MBA.
Dipl.-Ing. Louis Spieß B.A.
Ing. Konstanze Geisel
Gretchen Jessel B.Sc.
Bertram Segebahn
Chantal Kramer
Univ.Prof. Tabea Dörschner MBA.
Helmar Klapp
Carola Franke
Gundolf Walter
Serge Grein Groth
Sami Mitschke
Herta Keudel
Univ.Prof. Nurten Neuschäfer MBA.
Louise Jessel
Dr. Diedrich Krebs B.A.
Cynthia Linke
Kunigunda Zimmer
Herr Ilhan Tröst B.A.
Prof. Constance Girschner MBA.
Univ.Prof. Liliana Niemeier B.Eng.
Reiner Conradi
Gina Stumpf
Sina Spieß
Ing. Erica Schottin
Oskar Weitzel
Gundolf Schomber-Hellwig
Edeltraud Kaul
Gundula Scheel-Döring
Geraldine Wagner
Gilbert Schottin
Tomas Säuberlich B.A.
Prof. Tobias Börner
Magdalena Gude
Zeljko Hiller-Misicher
Annelene Reuter B.A.
Univ.Prof. Ivo Mies
Clemens Barth
Wally Anders B.Eng.
Dipl.-Ing. Wilfried Ortmann
Prof. Mathilde Segebahn MBA.
Prof. Folkert Ernst MBA.
Sükrü Schüler MBA.
Agatha Sager-Geisler
Torsten Trapp B.A.
Sabrina Schomber
Katharine Renner
Peggy Sauer
Univ.Prof. Charlotte Lindner MBA.
Lars Eckbauer-Möchlichen
Gabor Dobes
Frau Nuray Mangold MBA.
Wenzel Drubin
Siegmar Dowerg
Gotthard Schuster
Jens-Uwe Geisler
Univ.Prof. Hans D. Ullrich
Michaele Neureuther
Saskia Kallert
Univ.Prof. Mira Riehl
Traute Fröhlich
Univ.Prof. Rosi Gorlitz B.A.
Univ.Prof. Romana Hiller
Doreen Striebitz
Martine Zobel
Rosi Spieß
Univ.Prof. Traudel Wernecke B.A.
Claus Juncken
Kasimir Albers-Stiebitz
Lieschen Kusch-Pechel
Ellen Haase
Univ.Prof. Heinz-Dieter Schuster
Dr. Selma Geisel B.Sc.
Fernando Schüler
Ing. Gordana Bruder MBA.
Marijan Huhn
Dipl.-Ing. Peer Kuhl
Eckhard Weitzel
Gerwin Rust MBA.
Ing. Hatice Gehringer
Frau Friederike Albers
Jolanda Henck
Claudio Bolnbach
Dipl.-Ing. Eveline Jäkel MBA.
Rotraut Ullrich
Gabriel Kreusel
Agathe Weinhage B.A.
Lidia Franke
Calogero Wagner
Valeri Mielcarek
Ing. Konstanze Schmidtke MBA.
Gebhard Sorgatz
Monique Stroh
Frau Svenja Hövel B.Sc.
Vanessa Hornig
Luisa Seip B.Sc.
Ing. Hans-Heinrich Reichmann B.Sc.
Kordula Lange
Marianna Etzler
Luis Ackermann
Klaudia Reuter B.A.
Ingmar Beckmann
Karl-Ludwig Bolnbach
Heidrun Lindner-Bolnbach
Oda Berger
Prof. Volker Hermann
Heinz-Jürgen Adolph
Siglinde Zahn
Heide-Marie Adler B.Eng.
Herr Anton Mohaupt B.A.
Prof. Oswald Ehlert MBA.
Univ.Prof. Trudel Gierschner MBA.
Ing. Rosalinde Käster MBA.
Torben Säuberlich-Linke
Edeltraud Mülichen
Ing. Carolin Anders
Natascha Schinke B.Eng.
Juliane Mentzel-Ziegert
Magdalene Mude
Andreas Birnbaum-Kallert
Pawel auch Schlauchin
Univ.Prof. Gislinde Rohleder
Änne Tlustek-Freudenberger
Elzbieta Putz B.Eng.
Damaris Holsten-Schleich
Beata Stahr
Maren Drub
Gregor Knappe B.Eng.
Prof. Catherine Knappe MBA.
Gilbert Peukert B.Eng.
Wolf-Dieter Sölzer-Putz
Benno Gehringer-Wohlgemut
Marie-Theres Trupp
Elfi Harloff
Univ.Prof. Cynthia Löwer
Mona Söding
Sibylle Löchel
Liesa Gröttner
Univ.Prof. Marjan Graf B.Sc.
Hans-Willi Ladeck
Wolfgang Beier-Mohaupt
Dietmar Lindau
Janina Seifert
Dipl.-Ing. Sibylle Kensy
Arnulf Heidrich
Felix Hölzenbecher B.A.
Beatrice Fechner
Dr. Semra Wagenknecht
Univ.Prof. Fatima Hiller B.A.
Nadin Stiebitz B.Eng.
Ignaz Beer-Eckbauer
Elizabeth Budig
Eugenie Benthin-Ziegert
Prof. Hermann Bohlander B.Eng.
Freddy Hande
Claus Butte
Sibylla Klingelhöfer B.Sc.
Christl Wähner
Sigrun Weinhold
Inken Ziegert
Suse Hornich
Rocco Rosemann B.A.
Ditmar Adolph
Justus Schüler MBA.
Eckehard Nette
Daniele Finke
Fabienne Holt MBA.
Prof. Juliane Henck MBA.
Zoltan Wilms
Frau Delia Hellwig B.Sc.
Zoran Oestrovsky
Univ.Prof. Ortwin Geisler MBA.
Margot Schäfer B.Eng.
Nancy Hartmann-Schottin
Prof. Siegbert Scheuermann B.A.
Sandor Ritter
Julian Lehmann-Ortmann
Irmtrud Klingelhöfer
Tino Metz
Massimo Ernst
Jörn Trupp MBA.
Cord Haase
Dr. Trude Girschner
Univ.Prof. Polina Schmidt B.Eng.
Eugen Schottin
Rafael Blümel
Susanna Söding
Dr. Reimar Fiebig B.A.
Tillmann Stolze
Prof. Henriette Killer
Oskar Beyer
Maik Schottin
José Gröttner B.Sc.
Matteo Beyer B.A.
Ellinor Kraus
Heinz-Dieter Caspar-Hande
Ing. Anna-Maria Stey
Karlfried Ruppersberger
Univ.Prof. Vadim Vollbrecht B.A.
Mira Sontag
Isidor Niemeier
Hans Josef Thanel
Prof. Reimar Reinhardt MBA.
Dr. Achim Barth
Univ.Prof. Inga Hermighausen B.Eng.
Wenke Patberg
Kunigunde Ziegert
Adelinde Putz
Norbert Niemeier
Annaliese Gerlach
Inken Gorlitz
Dr. Leo Schlosser MBA.
Bert Ortmann
Jennifer Berger
Gisa Atzler
Pavel Ehlert
Rainer Hänel
Manuel Wagenknecht
Dipl.-Ing. Hülya Nerger
Cordula Mangold
Volkmar Mosemann
Michel Hermighausen
Ing. Iwan Wagner
Vladimir Patberg-Weller
Anatolij Kroker B.Eng.
Yvette Schinke
Doreen Hornig
Dipl.-Ing. Adele Huhn MBA.
Hans-Albert Preiß-Scheel
Calogero Heintze
Stephan Haase MBA.
Wolf-Dietrich Gotthard-Dussen van
Dagmar Koch
Ewa Kade
Janet Kade
Blanka Ladeck
Marlis Rogge B.Sc.
Ing. Wladimir Karz MBA.
Fredi Lindner
Prof. Marika Junken B.Eng.
Renate Mies
Andree Budig B.Eng.
Ahmed Freudenberger B.Sc.
Ante Hermann-Mans
Mirja Schottin
Waldemar Hendriks
Hiltraud Klemm-Pärtzelt
Pero Gutknecht
Catrin Bachmann
Dr. Janett Schottin B.Eng.
Pero Gnatz
Gesche Trub
Birgid Graf
Siegbert Henschel
Dipl.-Ing. Gloria Heidrich
Bernhardine Ruppersberger
Tina van der Dussen
Domenico Gertz
Dipl.-Ing. Christoph Schulz B.Sc.
Otmar Ditschlerin
Senol Hande MBA.
Wenzel Wilmsen
Hans-Gerhard Döhn
Timm Schönland
Dittmar Berger
Heiko Metz
Imelda Schäfer
Dipl.-Ing. Berit Weinhage
Stephan Hauffer
Prof. Jonas Scholtz
Liliane Koch II
Dipl.-Ing. Wolfram Johann B.Eng.
Univ.Prof. August Schleich B.A.
Dipl.-Ing. Iris Stumpf MBA.
Ing. Willfried Kostolzin
Anastasios Heinz
Herr Valentin Warmer
Ralph Binner-Römer
Dipl.-Ing. Erwin Hamann
Zdravko Niemeier
Carlo Ackermann-Birnbaum
Mohammad Karz MBA.
Univ.Prof. Blanka Linke B.Eng.
Ole Losekann
Cecilia Stoll
Heinz Dieter Barkholz
Dipl.-Ing. Randolf Martin B.A.
Denny Bohlander B.A.
Steffen Schlosser
Adam Seifert
Heinz-Günter Schuster
Marie-Louise Killer-Etzler
Gülsen Junck
Frau Änne Gunpf B.Sc.
Reza Misicher
Dr. Janos Reising
Fatima Eckbauer-Rosemann
Almuth Haase
Gilda Tintzmann
Dr. Katalin Knappe B.Eng.
Karl Heinz Hörle
Herr Hermann-Josef Hauffer
Blanka Birnbaum
Walter Weller
Edda Junck-Eimer
Dipl.-Ing. Salvatore Zänker MBA.
Jeanette Speer
Annemarie Wieloch
Hanne-Lore Johann
Traugott Textor-Wagenknecht
Marzena Mentzel
Wilhelm Tlustek
Ing. Gerti Franke
Sofia Etzler B.Eng.
Janko Stey MBA.
Franz Ortmann B.Eng.
Leonhard Patberg
Falko Schüler
Bernard Steinberg
Paolo Wernecke
Prof. Horst Mälzer B.Sc.
Aleksej Lehmann
Eveline Birnbaum
Dr. Gerold Dörschner
Janette Kallert
Univ.Prof. Jaroslav Seifert B.Eng.
Hanno Hölzenbecher B.Sc.
Ralf-Peter Gute
Giorgio Trüb
Peer Hölzenbecher
David Warmer
Marion Drewes
Hassan Kroker-Girschner
Prof. Cäcilie Staude B.A.
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Clarissa Wieloch
Ditmar Briemer
Paul Hettner
Wally Krein-Bien
Tibor Briemer
Judith Hering B.A.
Helmar Barth
Elias Langern
Alicia Kroker
Friedlinde Mühle B.A.
Dr. Steven Wohlgemut
Prof. Sylvio Gumprich
Necati Lindner
Susann Hartung-Schmiedecke
Halina Hethur
Prof. Nikolai Gunpf
Roderich Weitzel
Gudrun Geisler
Carina Schaaf
Kevin Trubin
Dipl.-Ing. Jens-Uwe Dobes
Gerard Scholl
Augusta Flantz
Heimo Huhn B.A.
Kemal Butte-Tintzmann
Ing. Bernfried Pruschke
Resi Ullmann
Felicia Binner
Prof. Falko Trapp B.Eng.
Dr. Sükrü Hettner
Mariele Stiffel B.Sc.
Hatice Killer-Löwer
Mattias Sorgatz-Haase
Carina Kusch
Frau Carola Scheibe MBA.
Univ.Prof. Christa-Maria Lehmann B.A.
Helge Schuchhardt
Silvia Henschel
Heinz Krebs B.Eng.
Dr. Wencke Junken B.Eng.
Ing. Cläre Dowerg
Tülay Hettner-Ebert
Dipl.-Ing. Milica Hofmann B.A.
Heinz-Josef Meister
Jonas Löchel
Zbigniew Höfig B.Eng.
Prof. Urs Salz
Marlies Mude
Stilla Dobes
Dipl.-Ing. Dörte Häring MBA.
Senta Wernecke B.Sc.
Justine Lindner
Olav Gumprich-Täsche
Hanspeter Stiffel
Denis Weimer
Egon Ruppersberger B.Sc.
Robin Flantz
Burckhard Caspar
Hans Dieter Junk
Prof. Constance Austermühle B.Sc.
Jörg Pechel
Sigfried Franke B.Sc.
Lorenz Schüler B.A.
Univ.Prof. German Rörricht
Klaus-Peter Kitzmann
Caroline Linke
Nurettin Dippel
Prof. Sylvester Bender
Olaf Weinhage
Emilia Scheel
Univ.Prof. Alexa Junitz B.Eng.
Bruno Siering MBA.
Waltraud Trapp-Pechel
Herbert Budig
Frau Reinhilde Wirth MBA.
Helmuth Wagner
Celal Hettner MBA.
Frau Etta Wesack MBA.
Alexandra Butte
Margret Dehmel
Leonore Schacht
Karoline Hübel
Francesca Wieloch
Prof. Linda Beier
Prof. Marko Rohleder B.A.
Christiane Blümel
Wojciech Rogner
Heidemarie Junitz
Luka Weimer-Beyer
Ing. Käthe Plath B.Eng.
Elizabeth Jacob
Agathe Gertz-Butte
Gülsen Gutknecht
Prof. Susanne Heidrich B.Eng.
Christa Säuberlich
Janusz Trub-Mühle
Jacek Täsche
Heimo Gorlitz B.A.
Virginia Gieß
Vesna Döhn
Irmtraut Ortmann MBA.
Lambert Wilmsen
Ing. Leszek Gutknecht B.Sc.
Hanspeter Koch II-Wohlgemut
Brian Ditschlerin
Angelina Noack-Wagenknecht
Ullrich Preiß
Irmtrud Bolzmann
Camilla Jäntsch
Kaspar Römer
Carl-Heinz Trapp
Claire Faust B.A.
Damaris Bien
Frau Hildegunde Koch II
Friedlinde Warmer
Herr Ekkehart Sorgatz
René Matthäi
Dr. Margarethe Ernst
Ingried Stiffel B.A.
Marvin Kade-Ladeck
Roswita Sauer
Dr. Harald Ritter
Prof. John Jessel
Falk Wagenknecht B.Eng.
Herr Bastian Hübel B.A.
Hans-Theo Thies
Kornelius Pergande-Weiß
Zeljko Meyer
Frau Maria Jopich
Mario Bärer
Jadwiga Koch
Ludwina Haase
Hans-Günther Kohl B.Eng.
Susann Haering
Katharina Käster MBA.
Birthe Schüler
Herta Hoffmann
Dipl.-Ing. Harm van der Dussen
Ing. Hannes Jähn B.Sc.
Dipl.-Ing. Grete Stiebitz
Ing. Wieslaw Kobelt B.Sc.
Karl-Hans Schuchhardt-Mohaupt
Elli Täsche B.Eng.
Prof. Roy Blümel
Kati Koch II
Swen Wirth
Univ.Prof. Änne Finke B.Sc.
Kreszenz Ruppert-Dobes
Elias Hethur
Mathilde Wähner-Bien
Adele Boucsein B.Sc.
Dipl.-Ing. Gilbert Plath B.Sc.
Hanife Täsche-Stiffel
Cengiz Dehmel
Dipl.-Ing. Eberhardt Fechner
Prof. Urs Flantz
Frau Swantje Heinrich B.A.
Univ.Prof. Gundi Koch B.A.
Kaspar Hänel
Dipl.-Ing. Harm Ruppert MBA.
Ing. Leonid Budig B.A.
Fabian Pechel-Dippel
Pius Röhrdanz
Andreas Trapp
Helge Wilmsen-Hein
Heino Lindau B.Eng.
Willibald Ziegert-Siering
Dipl.-Ing. Jozef Hartmann
Hugo Ruppert-Kade
Leonore Hettner-Staude
Gerhart Schenk MBA.
Daniel Zänker
Dipl.-Ing. Klaus-D. Kostolzin
Annamaria Kade-Fischer
Ing. Roy Dippel B.A.
Maritta Boucsein
Dr. Aribert Sontag
Bettina Klapp
Ottilie Scheel
Gudula Holzapfel
Viviane Jopich
Tanja Plath
Luciano Klotz
Zeynep Lehmann
Viola Oderwald B.A.
Steve Scholl-Ladeck
Arif Pergande-Wagenknecht
Lambert Misicher-Dörschner
Anna-Luise Segebahn
Dipl.-Ing. Nathalie Bender
Sigrun Mälzer
Juergen Beier B.A.
Alena Seip
Hans-Erich Preiß
Emilie Schmiedecke
Traugott Hövel
Dr. Bernfried Schomber
Ing. Tomas Fischer B.Sc.
Franz-Xaver Carsten
Elenore Hofmann-Aumann
Dipl.-Ing. Slavica Mälzer
Wiltrud Geißler
Sigmund Kensy
Bernhard Rogner B.Eng.
Cecilia Gertz
Krzysztof Niemeier-Kostolzin
Zlatko Briemer-Karge
Dipl.-Ing. Gabi Scholtz
Berthold Jäntsch-Jessel
Zita Holt
Gabriel Klotz
Krista Scholtz
Prof. Tina Nohlmans MBA.
Alwina Hettner
Ansgar Seidel
Henrik Hein B.A.
Heinz-Georg Heidrich
Herwig Krebs
Heinz-Werner Briemer B.A.
Anatolij Keudel
Abram Peukert MBA.
Wieland Linke
Karla Gunpf
Dipl.-Ing. Margarethe Holt MBA.
Elena Ditschlerin
Ing. Utz Klemt B.A.
Prof. Torsten Geisel B.Sc.
Meta Harloff
Myriam Schäfer-Tschentscher
Tatjana Käster-Schüler
Maurice Steckel
Ferenc Trüb B.A.
Gerda Kitzmann
Amanda Weller
Ignatz Franke
Rose-Marie Jäkel
Ivana Mielcarek
Ing. Hanna Killer
Carmine Hauffer
Brigitte Knappe
Hulda Junk
Berndt Bähr
Herr Gordon Weihmann B.Eng.
Dirk Graf-Stiffel
Ing. Siegmund Hertrampf MBA.
Mike Krein
Margitta Hethur MBA.
Kati Radisch
Horst-Peter Riehl
Geza Weller
Alexandros Heintze
Karl-Hans Hande-Schuster
Prof. Olga Steckel B.A.
Dr. Salih Ullmann
Hans-Günther Wilmsen
Prof. Bianka Schacht
Hans-Gerd Dietz B.A.
Jacob Süßebier
Senta Warmer
Pero Scheuermann
Leo Gunpf-Bolzmann
Dr. Annette Linke MBA.
Marlen Jacobi Jäckel B.Eng.
Univ.Prof. Mahmoud Liebelt
Prof. Sandy Butte
Dipl.-Ing. Karina Kambs MBA.
Dr. Emin Dietz B.Sc.
Benita Holzapfel-Hecker
Prof. Gabriella Holt B.Eng.
Sylvana Holzapfel
Slawomir Ehlert-Reising
Utz Christoph-Henck
Karl-Wilhelm Meyer
Inka Hornig B.A.
Dr. Edelgard Sauer B.Sc.
Jonas Mühle
Annamaria Scholtz
Alfred Weinhage-Stiffel
Amalia Wulf
Jörn Barth-Möchlichen
Rolf-Dieter Flantz B.Eng.
Dipl.-Ing. Sebastiano Käster B.Eng.
Herr Thomas Baum
Wladimir Karge
Anneliese Wähner
Univ.Prof. Walfried Hövel
Augustin Lachmann
Katharina Etzler
Felicia Ritter
Franziska Beer
Vinzenz Bruder
Helfried Seifert-Schönland
Ing. Heinz-Josef Hoffmann
Maike Bolnbach
Ljiljana Ruppert
Jana Langern
Klaus Dieter Stoll-Wilms
Prof. Kata Häring
Dusan Conradi-Rogner
Ing. Tillmann Geisel
Heidemarie Köhler
Tassilo Gehringer
Jochen Säuberlich
Cosimo Zimmer
Annelie Kitzmann
Enrico Hellwig
Solveig Trapp MBA.
Ing. Alberto Werner
Leszek Hentschel
Kazim Tschentscher
Birgitta Hettner
Helmtrud Gerlach
Ilija Höfig
Dipl.-Ing. Rabea Sorgatz MBA.
Ing. Vesna Kroker B.Eng.
Stanislaus Geißler
Friedhold Löwer-Ebert
Faruk Meister
Ing. Jens Henck B.Eng.
Michaele Schwital
Heidemarie Kreusel
Ing. Carolin Faust B.A.
Univ.Prof. Gesa Loos
Albrecht Rust-Heinrich
Pius Römer MBA.
Ben Täsche
Walli Gnatz
