Student
Dr. Fedor Plath B.Sc.
Herr Mario Pergande
Heribert Kensy
Ing. Mike Stolze
Alicia Kroker
Woldemar Jacob B.A.
Ralph Fröhlich
Prof. Amir Reising MBA.
Ing. Siegmund Hertrampf MBA.
Marijan Kruschwitz
Univ.Prof. Änne Finke B.Sc.
Svetlana Bohlander B.Sc.
Virginia Kaul
Dipl.-Ing. Werner Scholl B.Eng.
Micha Eckbauer B.Sc.
Franziska Hörle B.Sc.
Christos Gumprich
Filippo Patberg
Faruk Hoffmann
Johanna Fischer
Ilija Lindner
Brita Klemm
Hartmuth Vollbrecht
Dr. Anna-Maria Zahn B.Sc.
Klaus-Dieter Knappe
Hanspeter Stiffel
Dipl.-Ing. Mariana Mohaupt B.Sc.
Utz Christoph-Henck
Wilma Drub B.Eng.
Liesel Ziegert
Marlen Gute-Hauffer
Ing. Eugenie Kreusel MBA.
Hans-Gerd Jockel
Mareike Lübs
Prof. Freya Biggen B.Eng.
Dipl.-Ing. Till Säuberlich
Ing. Pauline Linke
Britt Gorlitz
Antonietta Hübel
Frau Anne-Kathrin Wagner
Ralf-Dieter Riehl B.Eng.
Dominik Huhn
Ing. Wenke Karge B.Sc.
Ing. Alexandros Vogt MBA.
Charlotte Hecker B.Eng.
Ing. Leopold Hoffmann
Ing. Pius Börner
Ing. Anneliese Döring
Cäcilie Schmidt
Aleksandra Stey MBA.
Dipl.-Ing. Magrit Junck
Thilo Tschentscher
Marietta Geißler
Ing. Claire Hübel
Diethelm Hübel MBA.
Isidor Atzler
Andree Budig B.Eng.
Prof. Wolf-Dieter Killer B.Sc.
Eugenie Pieper
Kristin Bohlander B.Eng.
Swen Wirth
Leszek Hentschel
Carlo Pohl
Josefa Lange
Thies Pergande
Ing. Pawel Rörricht
Klaus-Werner Bohlander
Catharina Jacob
Roger Gunpf-Paffrath
Alida Tröst
Karl Heinz Eigenwillig
Stilla Hornig B.A.
Mariana Wirth
Gudula Stroh-Bien
Cosimo Girschner
Mirella Löchel
Albrecht Metz B.A.
Ing. Wieslaw Kobelt B.Sc.
Maximilian Steinberg
Dr. Jonas Anders B.Sc.
Klaus-Peter Häring
Dusan Eigenwillig
Ellen auch Schlauchin
Natalija Haering
Olav Margraf
Prof. Ruthild Nette B.A.
Halina Lachmann
Eileen Hartung
Elisabet Schuster B.A.
Dr. Slawomir Hande
Salvatore Tlustek
Annemarie Häring
Frau Minna Steinberg B.Sc.
Antonia Köster B.A.
Sibylle Jäntsch
Dogan Sauer
Marlis Rogge B.Sc.
Univ.Prof. Clara Heidrich B.Sc.
Leon Rust
Ing. Massimo Losekann
Ing. Rosalinde Rogner MBA.
Dipl.-Ing. Mariola Lange B.Sc.
Jens-Peter Heinrich
Antonietta Lindner MBA.
Eva Wende-Peukert
Kenan Wulff-Plath
Dorothe Renner
Polina Ladeck B.A.
Diether Dussen van-Rohleder
Horst-Dieter Bähr
Ilka Heß
Giesela Wagner
Philip Weller B.A.
Oxana Henschel
Waltrud Stroh
Heinrich Putz B.Sc.
Dr. Reinhart Hecker B.A.
Leokadia Herrmann
Dipl.-Ing. Wolfram Johann B.Eng.
Jana Wulf MBA.
Elfriede Gnatz
Prof. Hubert Heß
Carlo Bohlander
Siegbert Conradi
Wolfhard Rosemann B.Eng.
Prof. Hans-Gerhard Reinhardt B.Eng.
Bettina Klapp
Dorle Knappe
Karl-Friedrich Nerger
Thomas Kraushaar
Jadwiga Karge
Rainer Hänel
Dr. Gabriela Geißler
Ing. Liesa Zirme
Sieghard Sorgatz
Dr. Songül Tlustek MBA.
Steven Seifert
Susana Schaaf
Marika Zimmer
Christopher Gertz-Kade
Anna-Luise Segebahn
Günter Löwer
Hildegunde Aumann
Hans Kraus
Univ.Prof. Athanasios Drub B.Sc.
Mike Röhricht-Hauffer
George Hörle
Micha Albers-Wilms
Erna Schmiedt
Klaus-Ulrich Blümel B.A.
Univ.Prof. Beate Gude
Frau Ingried Rogner B.Sc.
Helga Mosemann-Hecker
Janin Höfig B.A.
Henni Mälzer-Tlustek
Frieda Tintzmann-Löchel
Edith Kostolzin
Leonhard Patberg
Grit Röhricht-Rosemann
Henri Wirth
Dipl.-Ing. Cora Baum
Carina Killer
Armin Scholz
Ignaz Warmer
Ivanka Berger-Kraus
Kristin Kaul B.Sc.
Hannelore Heser-Boucsein
Yusuf Schacht
Czeslaw Bohnbach B.Eng.
Rainer Gude-Kaul
Dr. Francisco Hänel
Miroslawa Gude B.Sc.
Dr. Fredy Niemeier
Hansjürgen Faust
Sandor Ritter
Aneta Schlosser-Köster
Eugenia Anders B.A.
Angelo Pärtzelt
Timo Butte
Fedor Röhrdanz
Dr. Tony Ditschlerin
Maurizio Hartmann
Dörthe Hiller
Marco Kostolzin-Bruder
Bertram Rädel
Gino Häring
Reinhard Eigenwillig
Frau Corinna Wähner
Witold Wulf
Mina Beyer
Univ.Prof. Diedrich Köhler B.A.
Felicia Flantz-Lehmann
Jacob Bähr
Magdalena Gude
Ing. Maike Hölzenbecher B.A.
Kazim Tschentscher
Milica Huhn
Nadeschda Barkholz
Jost Lindau
Dipl.-Ing. Ladislaus Weinhold
Gero Schomber
Ing. Herwig Drub MBA.
Silva Hiller MBA.
Hans-Friedrich Ruppert-Ullrich
Augustin Ernst
Prof. Marion Martin
Friedo Ritter
Ing. Leonid Budig B.A.
Ryszard Lehmann
Dipl.-Ing. Corina Fischer
Serge Trubin
Heinz-Dieter Gute
Kathy Kitzmann
Walli Jopich
Felicitas Biggen
Anika Tschentscher
Thea Nette
Hans-Georg Schmidt
Jens Löchel
Marga Vogt
Anneliese Wähner
Univ.Prof. Gisa Meister
Leni Wohlgemut-Ruppersberger
Marica Hamann-Koch
Cilli Gorlitz
Adelinde Gutknecht-Beier
Raphael Barth
Dietlind Drubin
Balthasar Holsten
Dajana Ruppert
Dipl.-Ing. Elisabeth Wiek
Herr Thorben Jacob
Leif Christoph
Lieschen Röhricht MBA.
Univ.Prof. Birger Weihmann MBA.
Abram Peukert MBA.
Dagmar Jungfer
Maya Conradi
Friedericke Ruppersberger
Tabea Birnbaum
Dr. Denise Girschner B.Sc.
Francesca Wieloch
Univ.Prof. Hans-Eberhard Bauer
Theres Heser
Zita Butte
Herr Gisbert Langern
Krista Scholtz
Dr. Hildegund Gnatz B.Eng.
Prof. Augustin Stey B.A.
Dipl.-Ing. Rabea Sorgatz MBA.
Sibilla Bachmann
Melanie Jungfer-Preiß
Zeljko Kobelt B.Eng.
Andrea Ziegert
Dr. Wanda Dippel
Hartmut Zirme
Annelise Schwital
Slobodan Hauffer
Prof. Heinz-Joachim Losekann
Dr. Marie-Louise Wohlgemut B.Sc.
Univ.Prof. Leszek Gieß B.Eng.
Frank-Michael Klemt
Carmine Bruder-Rörricht
Swantje Binner B.A.
Tillmann Matthäi B.Eng.
Frau Käthi Hamann B.Eng.
Ljiljana Kostolzin
Rose Henschel
Frau Annegrete Junk B.A.
Heinz-Peter Butte B.Eng.
Zofia Gumprich
Falk Höfig
Joerg Döhn
Prof. Jürgen Blümel B.A.
Klaus Dieter Stoll-Wilms
Sylwia Wilmsen-Ullmann
Wencke Bohlander
Denis Etzold
Heinz-Josef Jähn MBA.
Ljudmila Krebs
Univ.Prof. Canan Zorbach B.Sc.
Patrizia Wirth
Bertha Rose
Patrick Döring
Bertha Köhler
Antonina Neureuther
Ralf-Dieter Sauer-Hermighausen
Univ.Prof. Othmar Geisel
Lisbeth Hentschel
Constance Drubin
Prof. Karl-Ernst Möchlichen
Heimo Ziegert
Aribert Mitschke
Ryszard Lorch
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Dipl.-Ing. Lotte Austermühle B.A.
Recep Weihmann
Frau Trude Walter B.A.
Ing. Galina Schenk
Hans-H. Naser
Otmar Schmidtke
Monja Heidrich
Edeltraud Kaul
Stefanie Pruschke
Gerda Eberhardt B.Sc.
Dr. Almut Peukert MBA.
Kunibert Heß MBA.
Emine Vollbrecht B.Eng.
Frau Elfi Winkler MBA.
Ing. Romuald Kreusel B.A.
Univ.Prof. Aysel Lindau
Joanna Weinhold-Förster
Herr Eberhardt Gierschner
Bertold Bloch-Beckmann
Sevim Schmiedt-Döhn
Kilian Patberg
Ing. Wulf Atzler
Ing. Karl-Dieter Stroh
Prof. Mathias Kambs
Zenon Pärtzelt
Ferenc Trüb B.A.
Hans-Jörg Trupp-Säuberlich
Kai-Uwe Stiebitz-Hentschel
Elwira Hellwig
Hellmut Bruder
Frau Magarete Mans B.Sc.
Mareen Krebs-Hofmann
Dr. Uta Gumprich
Karl-Heinrich Kraus B.A.
Univ.Prof. Manuela Heinrich
Swantje Heinz
Herr Falk Holzapfel
Dipl.-Ing. Tina Kranz MBA.
Alexandre Häring
Mira Bender
Frau Aleksandra Dobes B.A.
Julian Lehmann-Ortmann
Frau Katarina Lindner
Karl Zirme
Wolf-Dietrich Berger
Madeleine Henk
Ferenc Pergande B.Eng.
Adalbert Vollbrecht
Univ.Prof. Hinrich Eberth
Hella Pergande MBA.
Inna Winkler
Dr. Jasmina Ruppert
Sylvana Holzapfel
Univ.Prof. Alexa Junitz B.Eng.
Abram Eckbauer B.A.
Natalie Neureuther
Anica Ortmann B.A.
Hanna Knappe
Hans-Jochen Stolze
Sabrina Schomber
Dörte Schlosser
Hedwig Briemer
Lidija Löchel B.A.
Trudi Kranz B.Eng.
Cristina Salz B.Sc.
Zita Klemt
Irmi Täsche B.A.
Sandy Fechner
Meinrad Barkholz B.Eng.
Heribert Austermühle-Trupp
Geza Bloch-Mühle
Friedo Lorch
Ing. Alberto Werner
Silvester Etzold
Prof. Liliana Klemm MBA.
Irmtraud Freudenberger
Marko Trupp
Isabell Briemer
Zdenka Heser
Georgia Bärer
Cindy Stahr
Dipl.-Ing. Giuseppina Etzler B.Sc.
Gunar Lindner
Ing. Ayse Mangold MBA.
Franz-Xaver Scholtz
Julie Radisch MBA.
Univ.Prof. Natalie Flantz
Hans-Rudolf Huhn
Telse Steuer B.Eng.
Univ.Prof. Petra Scheel
Hans-Albert Schwital
Prof. Folkert Ernst MBA.
Rocco Rosemann B.A.
Mariele Stiffel B.Sc.
Ilias Weiß MBA.
Ben Eimer-Loos
Ing. Jonas Schaaf
Frau Evelin Löffler
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Berthold Austermühle MBA.
Frau Edeltraud Radisch B.A.
Hilma Berger
Gertrude Pieper
Eduard Ruppersberger
Carl-Heinz Kraus
Dr. Annelies Stumpf
Hannes Jäntsch
Krystyna Rust-Baum
Rene Wernecke
Melissa Gehringer
Frau Evelyne Süßebier B.Eng.
Dipl.-Ing. Herta Fliegner MBA.
Sigmar Briemer
Robin Sölzer
Friedrich-Karl Zorbach
Gislinde Junken
Jörg Haase-Röhricht
Nikolaos Reichmann
Tülay Hettner-Ebert
Ernst-August Gutknecht
Thorsten Bolzmann-Hesse
Virginia Gieß
Kathi Christoph
Marie-Luise Ring
Sibel Hörle
Herr Bertold Löffler
Hans-Martin Kambs
Frau Melita Huhn
Arno Ullmann
Rosa Gnatz
Leo Roskoth B.Sc.
Slawomir Ortmann
Janko Margraf MBA.
Herr Hermann-Josef Hauffer
Laila Trüb
Gundula Scheel-Döring
Dipl.-Ing. Viktor Scheibe MBA.
Prof. Johannes Holzapfel MBA.
Herr Bastian Ritter B.Sc.
Ilja Kitzmann B.A.
Anneli Schleich-Ullmann
Elfie Otto
Judith Boucsein-Aumann
Maurizio Hermann
Bettina Lachmann
Matteo Beyer B.A.
Univ.Prof. Dogan Mielcarek
Herr Hilmar Stumpf
Herr Rigo Krebs B.Eng.
Milka Hahn
Kristian Rosemann B.Sc.
Gertrud Ditschlerin
Andy Jockel B.Eng.
Roselinde Kusch-Röhrdanz
Falk Sorgatz-Ortmann
Dorothea Etzler
Michel Hermighausen
Adelbert Rörricht
Friedericke Killer B.Eng.
Angelique Wesack B.Eng.
Nelli Stiebitz
Ing. Wolf-Rüdiger Weihmann B.Eng.
Hermann-Josef Zimmer
Prof. Clemens Söding
Dr. Reimar Fiebig B.A.
Dipl.-Ing. Milica Hofmann B.A.
Hanne-Lore Losekann B.Sc.
Ferenc Bolzmann-Girschner
Hanno Löffler
Canan Berger-Hellwig
Ilhan Hoffmann-Karz
Dr. Annelene Hamann
Prof. Heide Krebs
Ing. Boris Junck MBA.
Ruth Hartung
Gerold Thanel
Kunigunda Reising
Ing. Nicolai Textor B.A.
Heinz-Josef Meister
Wolf Martin
Helma Fliegner
Mathias Matthäi
Felix Müller
Dipl.-Ing. Eveline Jäkel MBA.
Dipl.-Ing. Eberhardt Fechner
Jann Schleich
Eckhard Lindau B.A.
Zeljko Gieß
Prof. Bernward Wulf B.Eng.
Univ.Prof. Till Vogt MBA.
Herr Anthony Caspar
Desiree Köster
Pauline Mosemann
Holger Gröttner B.Eng.
René Gude B.A.
Univ.Prof. Regina Salz B.Eng.
Änne Boucsein B.Sc.
Lorenzo Zänker
Ehrenfried Drubin-Paffrath
Dr. Jacqueline Trubin B.Sc.
Leonore Jäkel
Benita Juncken
Frederik Rust
Reinald Gerlach
Edmund Siering
Elmar Fröhlich
Olaf Weinhage
Kuno Mälzer B.Eng.
Volkhard Köster-Jüttner
Dr. Jan-Peter Martin B.Eng.
Heide-Marie Koch II
Milos Biggen
Heiderose Lange-Schüler
Prof. Jelena Naser
Dr. Wilfriede Reuter
Ehrentraud Trubin
Rudolph Etzold
Hans-Jochen Mude
Dittmar Berger
Herr Francis Scholtz
Edeltraut Anders-Rohleder
Karl Meister B.Eng.
Reimer Hethur-Gutknecht
Janett Patberg
Ralf-Peter Gute
Adalbert Ullmann
Univ.Prof. Giovanna Bachmann B.Eng.
Univ.Prof. Pamela Kambs MBA.
Dr. Frithjof Weinhage MBA.
Norma Jungfer
Rose-Marie Jäkel
Klaus-Peter Kitzmann
Sedat Gude
Hans Jürgen Lange
Milos Seifert
Pavel Pärtzelt B.Sc.
Annie Gnatz B.A.
Nicolaus Seifert
Eleni Franke
Claus-Peter Flantz
Liane Reuter
Ditmar Pölitz B.A.
Leonid Hein B.Sc.
André Röhrdanz B.A.
Dipl.-Ing. Franz Reising
Brigitte Zirme B.Sc.
Moritz Spieß
Reinhilde Metz
Prof. Gertraude Wohlgemut B.Eng.
Tatiana Kade-Rust
Frau Brigitta Bohlander MBA.
Univ.Prof. Lisbeth Köhler
Ralf-Dieter Rörricht B.Eng.
Hans-J. Atzler
Nadia Rosenow
Helmar Barth
Univ.Prof. Harro Fröhlich
Juliana Weinhage
Folker Otto MBA.
Mariechen Scholl
Dr. Egbert Kraus
Frau Rosemarie Stiffel
Univ.Prof. Edelgard Naser B.A.
Hansgeorg Heuser
Sedat Matthäi
Ing. Utz Klemt B.A.
Annelies Seifert
Birthe Graf
Frau Beatrix Bonbach B.A.
Ing. Helmuth Bruder
Univ.Prof. Pauline Klemt
Meryem Graf-Lange
Johanne Kusch
Mehmet Beckmann-Geisel
Univ.Prof. Alberto Steuer
Natalia Hauffer
Ernst-Dieter Geisler B.Eng.
Dipl.-Ing. Lioba Plath
Annika Pieper B.A.
Reimar Jacob-Loos
André Kraushaar-Henck
Klaus-Ulrich Tlustek-Förster
Katharine Mühle
Heinz-Joachim Spieß
Ruthild Schüler B.Eng.
Frau Heidelore Gehringer
Ing. Adam Klemt MBA.
Gordon Lehmann
Harro Vogt-Gieß
Arnold Oderwald
Danielle Ritter B.Eng.
Wladimir Rogge
Ehrentraud Meyer MBA.
Ute Hartmann
Diedrich Scheel-Hübel
Antonio Margraf
Clara Ruppersberger
Natalja Seidel
Mandy Rädel
Diana Weitzel
Univ.Prof. Herta Zänker
Osman Liebelt
Susann Henk
Univ.Prof. Maxim Matthäi
Faruk Schomber
Univ.Prof. Gottlieb Steuer B.A.
Slavica Koch
Inka Trub
Milos Wiek
Folkert Reinhardt B.Sc.
Herr Hendrik Fritsch B.Eng.
Andrew Misicher
Fatima Weinhage-Boucsein
Angelina Noack-Wagenknecht
Nicolai Gutknecht
Helga Gerlach-Seifert
Tomislav Schüler
Heinrich Bohlander-Ullrich
Prof. Ingeborg Noack
Mahmut Hänel
Madlen Salz
Univ.Prof. Horst Scholtz
Traugott Hövel
Rosita Peukert-Scheibe
Mariele Bolander
Annelie Kitzmann
Edith Hettner
Fatima Rörricht
Egon Paffrath
Univ.Prof. Lydia Langern
Univ.Prof. Gretchen Sontag B.A.
Hans-Hinrich Trub
Elsbeth Schmiedecke-Wulf
Michaela Döhn
Ing. Carin Zorbach MBA.
Dipl.-Ing. Janus Roht B.Sc.
Luis Ackermann
Hans-Gerhard Döhn
Ing. Jeanette Rosemann B.Eng.
Ing. Gerold Mende
Univ.Prof. Gesa Loos
Käthi Löffler
Anne-Katrin Butte MBA.
Alena Neureuther
Ivonne Lachmann
Leander Dobes-Schlosser
Saban Hendriks
Nicolaus Jessel
Univ.Prof. Ioannis Lübs B.Eng.
Dr. Erkan Stroh
Dipl.-Ing. Tim Fritsch
Janus Weitzel-Koch
Constantin Ziegert
Gregor Buchholz
Univ.Prof. Nicole Höfig B.Sc.
Univ.Prof. Ayten Lorch
Luisa Barkholz
Prof. Liane Jungfer
Walther Hofmann
Mehdi Kohl B.A.
Hanny Martin
Dr. Leo Schlosser MBA.
Ludwina Beer
Stilla Köhler
Laila Kranz
Marie-Luise Rogner
Jaroslav Benthin
Ing. Eugenie Birnbaum
Jaqueline Weitzel-Pölitz
Carolina Ditschlerin
Gabor Pechel-Junken
Ute Möchlichen
Vito Davids-Schwital
Isabell Buchholz
Dr. Muzaffer Sauer B.Eng.
Corinne Berger
Ing. Willfried Kostolzin
Wera Hauffer B.A.
Gordon Klemt-Rörricht
Dr. Annaliese Lindner
Wolf-Dieter Eigenwillig
Ellen Hahn-Spieß
Oliver Schwital
Josip Kuhl
Benita Neuschäfer
Ahmet Thies
Theresia Henck
Anna-Maria Holzapfel
Hansjürgen Schlosser
Thies Blümel
Jessika Käster
Univ.Prof. Marjan Graf B.Sc.
Univ.Prof. Johan Lange
Hansjoachim Kraus-Beer
Sylvie Neuschäfer
Sylvio Gutknecht
Branka Speer B.A.
Hans-Karl Bauer B.Eng.
Ing. Loni Gnatz MBA.
Prof. Orhan Ladeck MBA.
Gerald Hendriks
Dipl.-Ing. Ana Rosemann
Dr. Zenta Holsten
Eva-Marie Berger MBA.
Karl-Heinz Rohleder
Franz-Xaver Carsten
Gerold Loos-Rogge
Dr. Ante Jüttner B.A.
Univ.Prof. Nermin Rosemann B.Sc.
Berthold Rohleder
Henni Wagenknecht B.Sc.
Alf Jüttner
Eveline Birnbaum
Lars Ullrich
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Judith Meyer
Laurenz Siering-Kallert
Oxana Schmidtke
Hubertine Jäkel
Mareike Wilmsen
Ahmed Lange MBA.
Elli Meister
Geza Beckmann
Joseph Harloff
Dipl.-Ing. Slobodan Sölzer
Gisela Schwital-Scheel
Mariana Jüttner
Jadwiga Koch
Herr Darius Heuser
Erol Lindner
Univ.Prof. Kathi Noack B.Eng.
Laurenz Ritter
Janina Seifert
Pirmin Wulf B.Sc.
Frau Annita Beckmann
Vito Roht
Nuray Aumann
Madeleine Hermann B.Sc.
Maya Lindner-Zimmer
Cecilia Scholz-Barth
Kunigunda Fischer
Herr Oliver Stahr
Dipl.-Ing. Laila Scheuermann B.Sc.
Ing. Meinhard Schweitzer
Ing. Romy Gieß
Ilja Hölzenbecher-van der Dussen
Prof. Goran Sölzer MBA.
Jörn Barth-Möchlichen
Helmtrud Börner B.A.
Alexander Beckmann MBA.
Hans Peter Beckmann
Ladislaus Hande
Cläre Mohaupt
Guntram Scholz MBA.
Carina Schaaf
Ottilie auch Schlauchin B.Eng.
Ellen Gutknecht
Daniela Löwer
Mike Hofmann
Gabor Steuer
Univ.Prof. Markus Finke B.Sc.
Luciano Wirth
Gundolf Schomber-Hellwig
Eitel Ernst
Herr Gundolf Barth
Hans Jörg Koch
Univ.Prof. Hedwig Krein
Nicolaus Franke-Paffrath
Helma Schaaf B.A.
Prof. Monica Beer MBA.
Olivia Jäkel
Prof. Miguel Dowerg B.A.
Nora Klapp-Finke
Herr Gunther Flantz
Arnulf Kusch
Wally Krein-Bien
Univ.Prof. Teresa Weinhage B.A.
Undine Dehmel
Jelena Meyer MBA.
Dipl.-Ing. Bertram Gieß MBA.
Helge Finke-Wähner
Ing. Mohammed Geißler B.Eng.
Gebhard Seidel
Dr. Sara Niemeier
Antonie Heser B.Sc.
Annelies Heidrich
Maren Drub
Traudl Gierschner
Ludmila Stadelmann
Beate Nette
Anneke Jähn
Dierk Dörr
Ehrenfried Stiffel
Jessica Stumpf
Gerd Becker
Martin Dörr
Dipl.-Ing. Janet Ruppersberger
Luka Binner
Othmar Zänker
Prof. Alida Mangold MBA.
Andres Sager
Frau Edda Hornig B.Eng.
Marliese Becker
Valentina Weihmann-Zahn
Edeltrud Koch
Karl-Hans Schuchhardt-Mohaupt
Emilia Wagenknecht-Riehl
Carmen Berger
Fatima Heser B.Eng.
Reni Putz-Tintzmann
Constance Rogge
Felicia Ritter
Annelie Bloch
Adelheid Hecker
Emmy Bohnbach
Frau Melita Scholz B.A.
Ing. Janin Winkler MBA.
Herr Wieslaw Trupp
Hans-Gerd Gnatz
Univ.Prof. Ditmar Mitschke B.A.
Tamara Nette-Ladeck
Hans-J. Trapp-Koch II
Dina Schmiedt MBA.
Justine Kade
Heidelore Heinrich
Eva-Marie Hendriks
Gerold Jacob
Dr. Vitus Franke
Arif Pergande-Wagenknecht
Margarete Kabus
Jurij Zahn B.Sc.
Sandy Römer-Bien
Sylvester Bachmann
Ottomar Hermann
Gordana Hertrampf-Speer
Bertha Gotthard
Isabell Eberth-Pechel
Salih Köster
Valentin Gute
Univ.Prof. Jens Weinhage
Prof. Ulla Dussen van B.Sc.
Maurizio Mans-Ullmann
Utz Staude
Ing. Mariechen Nerger B.Eng.
Hildegard Roht B.Sc.
Lambert Röhricht-Johann
Isolde Seifert
Hans D. Haering
Heinz-Otto Hermighausen
Ulla Fliegner-Sölzer
Alfred Holzapfel-Hamann
Senol Harloff-Lindau
Karlfried Rörricht
