Student
Aribert Putz
Ellen Gutknecht
Univ.Prof. Baptist Mende MBA.
Herr Wieland Hartmann MBA.
Elise Ackermann
Margaretha Heintze-Henk
Dr. Helma Kohl B.A.
Dipl.-Ing. Margarethe Holt MBA.
Drago Gierschner B.Eng.
Hilda Metz-Dehmel
Frieda Tintzmann-Löchel
Blanka Birnbaum
Olivia Mies
Sigmund Mosemann
Prof. Marko Rohleder B.A.
Gerda Mans
Gina Schmidtke
Tomas Säuberlich B.A.
Gülay Weinhold
Mariana Jüttner
René Rose-Krebs
Univ.Prof. Philippe Thies B.Eng.
Artur Kreusel
Dr. Alois Kraushaar B.Sc.
Prof. Constance Austermühle B.Sc.
Univ.Prof. Sebastian Sontag
Univ.Prof. Emine Vogt B.Sc.
Dr. Zeljko Pruschke
Frau Brigitta Bohlander MBA.
Simona Heidrich
Jonas Budig
Geza Hertrampf B.A.
Univ.Prof. Philomena Kensy
Reimar Jacob-Loos
Dipl.-Ing. Leokadia Junk
Theres Heser
Dr. Marie-Luise Klingelhöfer B.Eng.
Brunhilde Nohlmans
Veli Rädel
Ann-Kathrin Davids
Rahel Hartmann
Kornelius Pergande-Weiß
Pero Römer
Olga Stahr
Klaus-Werner Jäkel-Holsten
Achim Budig
Saban Eimer
Herr Kurt Weitzel B.Sc.
Ana Klapp MBA.
Sükrü Walter B.Eng.
Inken Gorlitz
Mercedes Christoph
Metin Klemt
Frederik Beyer
Herr Roderich Hauffer
Ferenc Bolzmann-Girschner
Elfie Otto
Jonas Boucsein
Frau Katarina Lindner
Dr. Jane Kostolzin
Dipl.-Ing. Matteo Baum
Dr. Samuel Tröst
Kunibert Trommler-Renner
Herr Darko Gutknecht MBA.
Prof. Klaus-Ulrich Boucsein MBA.
Fredy Birnbaum-Kensy
Prof. Heide Krebs
Univ.Prof. Liliana Niemeier B.Eng.
Ljiljana Henk
Dragica Kreusel
Univ.Prof. Katharina Werner MBA.
Cemal Klingelhöfer-Otto
Ditmar Niemeier
Vadim Jacobi Jäckel
Michaela Döhn
Ferdinand Junck-Hölzenbecher
Dana Jäntsch
Guenther Schmidt
Joseph Reuter
Frau Svenja Hövel B.Sc.
Caroline Linke
Aziz Hornich
Pascale Bruder
Gebhard Eberth B.Eng.
Aneta Kambs
Luka Weimer-Beyer
Dr. Karl-Ludwig Stoll MBA.
Prof. Heinz-Peter Thies
Tabea Kaul
Abraham Hoffmann
Ludmila Stadelmann
Margaret Kramer B.A.
Volkmar Mosemann
Waltrud Scholl
Vittorio Hertrampf
Annemie Margraf
Prof. Mario Butte
Antje Drub
Franz Schweitzer
Clara Mans
Philipp Lorch
Ulrich Plath-Weihmann
Inga Eberhardt
Anika Binner-Löffler
Tony Hecker
Frau Rosemarie Stiffel
Torben Hartung
Corina Pergande
Anthony Patberg
James Kostolzin-Staude
Erica Renner-Trapp
Janett Patberg
Fadime Heidrich B.A.
Rouven Ziegert
Harro Trapp B.Eng.
Gino Heß
Alexei Meister
Prof. Dirk Biggen B.Eng.
Nicolai Gutknecht
Eric Briemer
Fernando Reising
Dino Martin
Ing. Brunhilde Albers
Rudolf Mentzel
Nermin Martin
Rosa Christoph-Sontag
Judith Sorgatz
Winfried Hermann
Prof. Danny Bähr B.Eng.
Dipl.-Ing. Bernhardine Heß
Prof. Jelena Krebs B.Sc.
Margita Meister
Caroline Haering MBA.
Pirmin Wulf B.Sc.
Dipl.-Ing. Nikolaus Conradi MBA.
Monja Riehl
Herr Ekkehart Sorgatz
Judith Koch-Mude
Wencke Riehl-Stoll
Kirstin Boucsein B.Eng.
Karl-Peter Hering
Dipl.-Ing. Nathalie Bender
Prof. Rudolph Linke
Alexandra Butte
Horst Reising
Tillmann Matthäi B.Eng.
Rotraut Bachmann
Camilla Wiek
Margita Hentschel
Eberhardt Warmer
Irene Stumpf
Dagobert Bohnbach
Vinko Schmiedecke-Hendriks
Witold Heintze
Ewald Hethur
Prof. Meral Jüttner MBA.
Prof. Denis Segebahn MBA.
Frau Else Röhrdanz B.Sc.
Felicia Ritter
Carolin Siering
Antonius Pärtzelt-Jüttner
Ing. Edeltraud Zirme
Romy Baum
Univ.Prof. Catharina Neureuther B.Sc.
Eugenia Riehl
Simon Hahn
Klaas Vogt
Ludwina Hölzenbecher
Stavros Zirme
Frau Constanze Heidrich B.Sc.
Ernestine Tröst
Ing. Corinne Steckel B.A.
Univ.Prof. Lara Hoffmann MBA.
Frau Rosalinde Riehl
Kay-Uwe Trommler
Theresia Henck
Dorothee Koch II
Ing. Clemens Wirth
Prof. Tadeusz Mosemann B.Sc.
Erkan Beier
Liliana Davids
Hans-Gerd Gnatz
Antonie Ladeck
Hans-Hermann Hande
Prof. Robert Heintze
Univ.Prof. Traudl Mentzel B.Eng.
Timo Butte
Dagmar Jungfer
Alexandros Heintze
Gert Kensy B.A.
Ing. Lucie Karz
Ing. Magda Jäntsch
Ricarda Fröhlich B.A.
Tülay Hettner-Ebert
Dr. Vitus Franke
Kira Tschentscher MBA.
Ehrentraud Biggen-Kreusel
Karl-Heinrich Karz
Mareike Lübs
Prof. Guiseppe Gröttner B.Sc.
Pero Gnatz
Dipl.-Ing. Henriette Schmidtke MBA.
Priska Wende
Ing. Walli Bolander MBA.
Ing. Peter Trubin B.Sc.
Gabriela Girschner
Ing. Steffen Röhrdanz B.A.
Pedro Hande B.Sc.
Ellen Liebelt
Notburga Huhn
Walther Hofmann
Ronald Henschel
Christiane Mentzel
Gunter Beyer
Helen Tschentscher
Frau Raissa Ruppersberger B.Eng.
Oliver Bien
Pedro Bärer
Dipl.-Ing. Amanda Striebitz
Prof. Susanne Rose
Dipl.-Ing. Woldemar Benthin B.A.
Evangelos Beyer
Irmtraud Schönland
Senol Heintze-Gerlach
Wiltrud Geißler
Gotthilf Gertz
Wiebke Hölzenbecher
Herr Sylvester Jopich B.Eng.
Dipl.-Ing. Slavica Mälzer
Frau Anna Mangold B.A.
Ing. Ronny Metz B.A.
Svea Krebs-Scheibe
Prof. Roy Blümel
Filippo Kostolzin
Aribert Herrmann
Dipl.-Ing. Melanie Kreusel B.A.
Frau Helena Nette
Univ.Prof. Friederike Bender B.Eng.
Luis Jacob
Friedl Briemer-Austermühle
Trudel Wagner
Zeljko Kobelt B.Eng.
Asta Hesse
Kathi Häring
Pawel Peukert-Rörricht
Ottokar Berger
Czeslaw Bohnbach B.Eng.
Ing. Klaus-Michael Bolzmann
Dr. Marie-Theres Möchlichen B.A.
Ing. Wendelin Köster B.A.
Anica Tintzmann B.Eng.
Gernot Kobelt
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Frau Kirsten Boucsein
Cilli Lindau B.A.
Freia Buchholz
Swetlana Jessel
Kordula Drub B.Sc.
Ing. Hartmuth Gute B.A.
Tino Niemeier
Ira Scholz-Pohl
Dörthe Roht
Rudi Schacht
Karl-Georg Zahn
Dr. Jeanette Schuchhardt B.Eng.
Ivanka Gierschner-Pergande
Hans-Christian Roht
Meta Wagenknecht
Rainer Gunpf B.Eng.
Agatha Sager-Geisler
Dr. Katalin Knappe B.Eng.
Urszula Rudolph
Sami Junitz
Dr. Karl-Hermann Gude
Krystyna Rust-Baum
Othmar Zänker
Telse Steuer B.Eng.
Prof. Timo Schleich MBA.
Meinrad Barkholz B.Eng.
Inna Winkler
Frau Ilka Pärtzelt B.Eng.
Zeynep Keudel
Inna Weinhage
Olav Gumprich-Täsche
Irmhild Lorch
Irmtrud Schmiedt B.Sc.
Pasquale Karge
Brian Dussen van
Nevenka Fritsch
Raisa Scholtz
Dr. Aribert Sontag
Walentina Eckbauer
Siegmund Schleich MBA.
Dr. Dagmar Hörle B.Sc.
Burghard Albers-Berger
Manuel Stolze MBA.
Suse Pergande-Gröttner
Adele Weimer B.Eng.
Jakob Döring
Friedo Lorch
Dipl.-Ing. Jens-Peter Dippel MBA.
Frau Danielle Junk
Nathalie Langern
Univ.Prof. Ilka Jäntsch B.A.
Ing. Alla Schottin B.A.
Urban Klemt
Notburga Pölitz
Christos Sölzer
Gitte Römer-Kroker
Ing. Henrike Kramer
Renate Franke B.A.
Ing. Karl-Peter Weinhold B.Sc.
Prof. Lieschen Bohlander
Jonas Beyer
Volker Adler
Tatiana Kade-Rust
Isabel Rose
Dipl.-Ing. Lucia Renner B.A.
Ilse Krebs
Karla Wirth
Cecilia Killer
Herr Ansgar Gnatz
Verena Gute-Trüb
Anatolij Jüttner-Bauer
Curt Jopich
Sofia Heinrich
Hans-Erich Preiß
Hilmar Graf
Balthasar Holsten
Brita Schwital
Heino Römer
Kreszentia Bohlander
Egon Ruppersberger B.Sc.
Hans-Hinrich Linke
Herr Guido Knappe B.Eng.
Bastian Röhrdanz
Dr. Renate Mende
Nadia Rosenow
Prof. Gertrude Renner B.A.
Evangelia Gierschner
Mathias Matthäi
Johan Heydrich
Korbinian Werner
Falk Höfig
Frederik Bohlander
Ludmila Patberg
Viola Sager
Andre Metz B.A.
Luka Stiffel
Dagmar Schäfer
Ingetraut Jopich
Ing. Rico Hoffmann
Ing. Vesna Kroker B.Eng.
Anja Wagner-Hermann
Dipl.-Ing. Lara Tlustek
Deborah Finke
Miodrag Fliegner B.A.
Torben Säuberlich-Linke
Herr Mario Thanel
Prof. Hans-Peter Noack B.A.
Sylke Binner B.A.
Dr. Baldur Johann B.Eng.
Alicja Stiffel
Cora Stumpf-Gunpf
Ing. Christel Margraf MBA.
Zbigniew Hahn MBA.
Emilia Seifert
Dr. Heinz-Georg Aumann MBA.
Sara Heuser
Johann Liebelt MBA.
Heimo Hübel MBA.
Swetlana Binner
Björn Rädel-Rohleder
Mareen Krebs-Hofmann
Guenther Metz
Marika Zimmer
Wolf Häring-Kallert
Raphael Barth
Antonios Klemm B.Sc.
Stephen Kensy
Jurij Zimmer
Karl-Peter Kramer
Kenneth Kramer
Calogero Wende
Univ.Prof. Gundi Koch B.A.
Irmengard Jüttner B.Eng.
Tanja Plath
Dagobert Hornig
Mira Rohleder
Frederike Stoll
Reimar Rädel
Abdul Klapp-Hethur
Karl Heinz Stiebitz
Eggert Börner-Geisler
Annamaria Kade-Fischer
Hans-J. Wohlgemut
Dr. Sigrun Schönland B.A.
Oxana Ladeck
Sophie Scheibe
Sibylla Klingelhöfer B.Sc.
Hans-Jürgen Barth
Klaudia Löffler-Zorbach
Janette Kraushaar
Johanna Finke-Ehlert
Malte Davids
Lisette Schönland B.Eng.
Anne-Katrin Rogge
Katharina Etzler
Herr Frank Bolnbach
Brian Preiß
Margareta Zirme
Aloys Barkholz
Jessica Gotthard
Prof. Miguel Dowerg B.A.
Ing. Valeria Kruschwitz
Ing. Romy Gieß
Auguste Lorch
Dr. Valentin Eigenwillig
Alice Nette
Herr Mike Schuchhardt B.A.
Leon Bauer
Mijo Karge-Löchel
Karl-Hermann Rädel-Müller
Ruben Trubin
Jessica Schottin
