Student
Fatima Eckbauer-Rosemann
Denny Bohlander B.A.
Dr. Iris auch Schlauchin
Michelle Pohl
Antonios Walter
Hans-Heinrich Schüler-Seip
Dr. Jochen Schäfer
Ditmar Dehmel
Univ.Prof. Jaroslav Seifert B.Eng.
Ivo Lorch
Kaspar Trub
Ralf-Peter Schacht
Stanislav Löffler MBA.
Henny Eberhardt
Univ.Prof. Luka Mende
Silvester Fischer
Frau Delia Hellwig B.Sc.
Michaela Loos-Mentzel
Franziska Beer
Jörn Hörle B.Sc.
Albin Schuchhardt
Gisa Hendriks
Mohammed Ritter
Theodora Wilmsen
Birthe Schüler
Horst-Peter Ritter
Univ.Prof. Christoph Beier B.A.
Felix Hölzenbecher B.A.
Waltraud Trapp-Pechel
Nuray Aumann
Ann-Kathrin Davids
Heinz Dieter Trubin
Franz-Josef Kohl
Kläre Beier B.A.
Gundula Adler-Bien
Reimer Kitzmann
Hans-Günther Wilmsen
Adolfine Lange
Frank-Peter Kambs
Univ.Prof. Franz-Xaver Girschner B.Sc.
Hans-Wilhelm Weller
Dr. Aribert Sontag
Isa Tlustek
René Ullrich
Dieter Trupp
Dajana Ring
Marion Weihmann
Hans-Uwe Noack-Fröhlich
Adrian Killer
Prof. Lilly Schmidtke
Norbert Niemeier
Valentin Steuer-Mans
Univ.Prof. Ron Rörricht
Genoveva Löffler
Prof. Ursula Niemeier B.Eng.
Ing. Felicia Dörschner B.Sc.
Mesut Gute
Justine Dippel-Rosemann
Kenneth Kramer
Magdalena Warmer MBA.
Gerold Thanel
Ing. Maria Lübs
Jo Reising
Robin Schuchhardt-Reichmann
Alexandre Häring
Dr. Marian Rust
Hanspeter Koch II-Wohlgemut
Concetta Seifert
Ing. Krzysztof Kambs B.Eng.
Bernd Binner-Hornich
Brita Kaul
Edeltraud Kaul
Nils Hering-Loos
Prof. Linda Beier
Sami Linke B.A.
Hansjürgen Schlosser
Nikolas Ebert
Univ.Prof. Jaqueline Dehmel
Luisa Hecker
Emilie Schmidt-Gröttner
Dr. Annette Linke MBA.
Birgid Nohlmans
Hugo Junken
Konstantin Knappe
Univ.Prof. Hans-Albert Ruppert
Ing. Rose-Marie Hölzenbecher
Hanns Stiffel
Augusta Flantz
Maurizio Eckbauer
Lisbeth Mielcarek
Calogero Seip
Heinz-Otto Geisler B.Sc.
Luisa Seip B.Sc.
Ing. Nuran Schaaf
Zoran Oestrovsky
Herr Claus Killer
Dipl.-Ing. Rabea Sorgatz MBA.
Janusz Kruschwitz B.Eng.
Emine Haase B.A.
Tanja Renner B.Sc.
Marietta Heinrich
Ing. Cosimo Steinberg
Univ.Prof. Franz-Josef Zänker
Daniel Stiebitz
Herr Louis Hövel
Ing. Leonore Haering MBA.
Walfried Wohlgemut B.Eng.
Prof. Diether Neureuther
Ing. Friedhold Hartung B.Sc.
Eugenia Sorgatz
Constantin Kostolzin
Cilli Röhricht
Torben Säuberlich-Linke
Helen Tschentscher
Univ.Prof. Klaus-Günter Renner B.A.
Emma Sorgatz-Radisch
Kreszentia Bohlander
Manuela Linke B.Eng.
Ignatz Börner
Amelie Pruschke MBA.
Meral Reinhardt
Ing. Wenke Karge B.Sc.
Prof. Heinz-Josef Radisch B.A.
Milan Weiß-Schuchhardt
Tibor Köhler-Schönland
Hans Jörg Köhler
Walter Schleich-Segebahn
Prof. Annita Wulff
Ryszard Lorch
Dietlind Drubin
Gunnar Hornig
Gülsen Junck
Brita Roht MBA.
Richard Mende-Hendriks
Prof. Gunther Klingelhöfer
Berend Gertz B.Eng.
Elfi Harloff
Gerolf Radisch
Ing. Gerti Franke
Hans-Albert Schwital
Janette Kraushaar
Sinaida Adolph
Adelinde Zimmer
Hansgeorg Beier-Freudenberger
Karoline Carsten
Dr. Hans-Detlef Lindau B.Eng.
Univ.Prof. Rosl Pölitz
Enver Börner MBA.
Frau Suse Zorbach
Isabell Briemer
Trude Ruppersberger
Celal Mühle
Nada Hänel
Mahmut Rose B.A.
Lissi Rust-Metz
Astrid Dehmel
Katalin Thanel-Kitzmann
Georgia Liebelt
Herr Ekkehart Sorgatz
Clarissa Wieloch
Ivonne Hahn
Klothilde Blümel B.A.
Burkard Schlosser
Herr Gundolf Barth
Attila Losekann B.Sc.
Sami Mitschke
Ralf-Peter Ebert
Reinald Zahn
Elsbeth Schmiedecke-Wulf
Moritz Roht
Gunhild Nohlmans
Dipl.-Ing. Adriana Geißler
Frau Corinna Wähner
Christl Pölitz
Berthold Jäntsch-Jessel
Sükrü Walter B.Eng.
Ing. Knud Vogt
Athanasios Bloch
Frau Ilka Pärtzelt B.Eng.
Bayram Lübs B.Eng.
Nermin Martin
Rosalinde Trommler
Rüdiger Bien-Hübel
Karl-Peter Grein Groth B.Eng.
Inka Trub
Wally Wähner
Siglinde Zahn
Univ.Prof. Alexandros Junk
Mareike Wilmsen
Lars Eckbauer-Möchlichen
Univ.Prof. Filiz Rudolph MBA.
Gerwin Schuster
Herr Ilhan Tröst B.A.
Univ.Prof. Melita Langern
Frau Margit Gehringer MBA.
Gabriella Schuster
Univ.Prof. Hans D. Ullrich
Centa Bohlander-Stiebitz
Kerstin Niemeier
Else Heß MBA.
Ing. Jens Henck B.Eng.
Anika Holsten
Winfried Hermann
Dr. Hans-Hermann Rosemann B.A.
Ibrahim Lehmann B.Eng.
Mia Ullmann
Marie-Theres Pechel
Ferenc Pergande B.Eng.
