Student
Halina Segebahn
Hardy Hänel B.Eng.
Herr Lukas Eimer
Heinz-Jürgen Adolph
Gretchen Jessel B.Sc.
Annett Dehmel MBA.
Sophie Pruschke
Dipl.-Ing. Hanns Killer B.Sc.
Lotte Kusch
Friedl Briemer-Austermühle
Nikola Kitzmann
Melissa Dietz
Prof. Knud Atzler B.Sc.
Irma Neureuther
Karl-Hans Weinhold-Noack
Mark Gute-Faust
Mara Vollbrecht B.A.
Felicitas Biggen
Milos Seifert
Andrew Misicher
Urban Peukert
Dr. Hedda Radisch
Tabea Birnbaum
Hans-J. Hahn-Süßebier
Univ.Prof. Gerhardt Dowerg B.Eng.
Wibke Reuter
Erhard Geisel
Univ.Prof. Jane Mans B.Eng.
Sigfried Franke B.Sc.
Marlene Drubin
Bianka Scheuermann
Harro Keudel
Artur Schaaf
Elvira Gute-Käster
Hans-Detlef auch Schlauchin-Fischer
Rolf-Peter Staude
Holger Roskoth B.Sc.
Jennifer Berger
Annerose Kaul
Augustin Renner
Olivia Schleich
Herr Herbert Dowerg
Vittorio Hertrampf
Leokadia Karge
Anne Zorbach
Heinz Krebs B.Eng.
Sylvia Schäfer
Lisbeth Karge
Herr Gordon Meister
Herr Ansgar Gnatz
Roberto Ritter-Fritsch
Salvatore Ruppersberger
Veli Junitz
Ing. Hatice Gehringer
Ewald Kreusel
Lucie Gutknecht
Anneli Schleich-Ullmann
Prof. Cilli Wulf
Carin Atzler
Prof. Liliane Gehringer MBA.
Karlheinz Stahr
Fadime Heidrich B.A.
Antonie Heser B.Sc.
Ulf Dörschner
Valerie Mangold
Josephine Rogge
Rose Henschel
Wolfhard Ziegert
Univ.Prof. Franz-Josef Zänker
Andrej van der Dussen B.A.
Käthe Briemer MBA.
Centa Kaul
Dipl.-Ing. Salvatore Zänker MBA.
Gerta Klemt
Frau Ilka Pärtzelt B.Eng.
Herr David Löchel B.A.
Karl-Otto Putz
Kirstin Boucsein B.Eng.
Olav Gumprich-Täsche
Univ.Prof. Margitta Wagenknecht B.Eng.
Dipl.-Ing. Hildegunde Bachmann
Anka Gieß
Dr. Vitus Franke
Karlfried Karge-Wieloch
Clara Stroh
Hakan Kühnert
Susana Schaaf
Heinrich Putz B.Sc.
Linda Kruschwitz
Roderich Scholtz
Frau Sibel Trommler
Silja Kraus-Schuster
Felicia Binner
Heide Knappe
Ing. Bernfried Haering
Freddy Hande
Dr. Trude Girschner
Olga Krein
Evangelos Beyer
Bastian Röhrdanz
Janos Ehlert
Romana Wulff
Gunhild Holt-Rust
Dr. Gabriel Junitz
Sandy Dietz
Friedhilde Hornig B.A.
Univ.Prof. Gundel Atzler B.Eng.
Thorsten Herrmann
Filippo Jäntsch
Josefine Rosemann
Frau Myriam Walter B.Sc.
Marie-Therese Wagner
Ing. Swen Ehlert
Danny Mälzer
Dirk Graf-Stiffel
Univ.Prof. Cläre Weihmann B.A.
Hans-Gerd Gnatz
Evangelia Harloff B.A.
Emma Trub-Scheuermann
Lilo Scholz
Luzie Schäfer
Doreen Striebitz
Oscar Fritsch
Univ.Prof. Czeslaw Heuser
Dr. Carsten Steinberg
Katalin Thanel-Kitzmann
Oxana Lübs
Sofie Schmiedecke
Claire Römer-Hornich
Dipl.-Ing. Harm Ruppert MBA.
Frau Jane Caspar
Yasmin Reising
Dr. Alberto Kabus B.Sc.
Joachim Löffler-Riehl
Kriemhild Gude
Elias Gierschner
Ariane Löchel
Rüdiger Heinrich
Dipl.-Ing. Iris Stumpf MBA.
Dr. Annett Siering
Kai-Uwe Oderwald
Ing. Friedhold Hartung B.Sc.
Prof. Linus Kambs B.A.
Dipl.-Ing. Margarethe Holt MBA.
Marvin Kabus B.A.
Dr. Hans-Detlef Lindau B.Eng.
Kordula Dobes-Buchholz
Dipl.-Ing. Baldur Oderwald B.Sc.
Vladimir Wulf B.A.
Ekrem Spieß
Gabriel Klotz
Nermin Martin
Annie Gnatz B.A.
Mandy Huhn B.A.
Anica Austermühle
Univ.Prof. Nermin Rosemann B.Sc.
Frau Valentine Benthin
Adriane Gröttner
Hans-Jürgen Klemm
Waldemar Ladeck
Dipl.-Ing. Betty Niemeier MBA.
Ing. Heinz-Josef Hoffmann
Lucia Kohl
Gert Nette
Dipl.-Ing. Frederik Rörricht B.Sc.
Amalia Hermann-Schäfer
Dipl.-Ing. Eckhard Kallert B.Sc.
Veronica Benthin
Gernot Hornich B.A.
Gabriel Kreusel
Sibille Liebelt
Sibel Weller
Wieland Linke
Belinda Huhn
Evelyn Ortmann
Gülay Weinhold
Irina Birnbaum
Ing. Knut Christoph
Angelo Schmidtke
Elke Scholl MBA.
Henni Keudel B.Sc.
Florence Schulz
Gundi Tlustek
Zeki Henk B.A.
Lidia Butte
Slavica Vollbrecht
Georgia Liebelt
Lena Holzapfel
Dipl.-Ing. Wilfriede Bruder
Hans-Martin Kambs
Jerzy Mende-Wagenknecht
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Ing. Dorothee Harloff B.Sc.
Miroslav Kohl
Mariusz Hartung
Ignaz Schottin
Dr. Achim Barth
Antonius Kraus
Ing. Carla Ziegert B.Eng.
Francoise Vollbrecht B.Sc.
Konstantin Ladeck
Ing. Marga Lehmann MBA.
Daniele Finke
Ing. Willfried Kostolzin
Geza Bloch-Mühle
Leonhard Patberg
Reni Römer
Raisa Stey-Sauer
Ilka Faust
Prof. Mathilde Segebahn MBA.
Saban Etzler B.Eng.
Herr Benedikt Säuberlich
Jörg-Peter Speer
Arno Ullmann
Engelbert Carsten-Hiller
Georg Nerger
Ing. Marten Hering
Angela Hamann
Ing. Maren Schenk
Dariusz Reising-Ernst
Larissa Mangold
Micha Eckbauer B.Sc.
Willibald Boucsein B.Sc.
Karl-Georg Lehmann
Babette Rohleder
Nadine Schleich
Milos Biggen
Herr Hartmuth Pruschke
Herlinde Birnbaum
Isabell Kroker B.Eng.
Trudel Wagner
Lorenzo Zänker
Kreszentia Bloch-Kohl
Irmgard Weinhage-Wieloch
Univ.Prof. Jörg Jessel MBA.
Alwina Hettner
Ing. Carin Zorbach MBA.
Dr. Frieda Metz
Murat Förster
Elisabeth Roskoth
Univ.Prof. Michail Tintzmann B.Eng.
Nurten Henschel-Stroh
Ing. Ronny Metz B.A.
Bogdan Pohl
Univ.Prof. Undine Jungfer
Hilma Berger
Alf Jüttner
Mehdi Neureuther
Univ.Prof. Bert Gieß
Heribert Austermühle-Trupp
Burckhard Margraf
Frau Suse Zorbach
Othmar Täsche-Loos
Frau Hilda Schweitzer B.Eng.
Augustin Jopich
Karl-Heinrich Schüler
Margita Schleich-Becker
Mia Ullmann
Aynur Bohlander
Univ.Prof. Beate Gude
Francesca Wieloch
Philipp Ernst
Dipl.-Ing. Marisa Scholl
Loni van der Dussen B.Sc.
Inka Hornig B.A.
Herr André Scholl B.Sc.
Prof. Sandra Klapp
Esther Ehlert
Herr Karlheinz Mans
Carmelo Klapp-Berger
Prof. Ada Wähner
Hanife Ackermann
Zlatko Kraus
Bartholomäus Trapp
Cilli Röhricht
Monique Stroh
Dorothea Weihmann
Geert Schuchhardt
Hans-Detlef Matthäi
Prof. Aziz Stumpf
Thomas Hänel
Ing. Hans Jürgen Häring
Frau Mareile Birnbaum
Sandy Haering
Annelene Zänker
Regina Hamann B.Sc.
Herr Ronny Tröst B.Sc.
Prof. Theodoros Paffrath B.A.
Carl-Heinz Kraus
Erhardt Heidrich
Laurenz Rosemann
Dr. Janett Schottin B.Eng.
Marta Herrmann
Fredy Birnbaum-Kensy
Dorina Dowerg
Gülsen Gutknecht
Tim Sorgatz
Dipl.-Ing. Meral Beyer
Stanislav Löffler MBA.
Sigurd Höfig B.Sc.
Sylvester Neuschäfer-Schacht
Adina Kallert
Baptist Gröttner B.Sc.
Thomas Kraushaar
Solveig Trapp MBA.
Angelique Speer B.A.
Denis Weimer
Meral Liebelt
Mariechen Nohlmans
Dr. Siegfried Heinz B.Eng.
Nadin Radisch
Karla Wirth
Jeannette Schleich
Univ.Prof. Brigitte Rogner
Prof. Pascale Kruschwitz
Pirmin Wulf B.Sc.
Reinhard Rogge
Lars Ullrich
Leonore Hettner-Staude
Nadin Stiebitz B.Eng.
Helfried Seifert-Schönland
Pero Römer
Klaus-D. Zirme-Bachmann
Linda Ziegert-Junken
Alessandro Caspar
Antonino Rogge-Meyer
Adalbert Boucsein
Julie Schweitzer
Prof. Friedbert Tschentscher B.Eng.
Janos Kobelt-Henck
Andreas Trapp
Henny Herrmann
Fatih Bohlander
Prof. Marian Gerlach
Darius Trupp
Hans-Ulrich Liebelt-Hauffer
Hans-Willi Baum-Staude
Magarete Krause
Prof. Orhan Ladeck MBA.
Dörthe Mitschke-Holt
Marie-Luise Staude-Käster
Giuseppe Trupp
Heide-Marie Adler B.Eng.
Prof. Branko Weller MBA.
Univ.Prof. Tilmann Pieper B.Eng.
Ivo Börner
Frau Rosalinde Riehl
Franz Josef Flantz
Raisa Scholtz
Manja Stadelmann
Hans Jürgen Winkler
Prof. Raymond Söding
Dipl.-Ing. Lotte Austermühle B.A.
Zita Klemt
Walter Pruschke
Helma Hänel B.A.
Susan Warmer
Sören Spieß
Holger Gröttner B.Eng.
Selma Girschner B.Sc.
Karl-Dieter Thies
Timo Spieß
Dana Köster
Francisco Trupp
Rotraut Bachmann
Ing. Arthur Schwital B.Eng.
Birgid Freudenberger
Theodoros Vollbrecht-Gutknecht
Irmtraut Fröhlich-Hertrampf
Folker Fischer
Anita Mohaupt
Erol Jäntsch
Jaroslaw Seip
Karl-Wilhelm Anders-Gude
Heidemarie Köhler
Heinz-Otto Linke
Dr. Marianne Reising
Woldemar Jacob B.A.
Hajo Ziegert-Noack
Knut Jacob
Dipl.-Ing. Christel Beer B.Eng.
Jolanda Henck
Leopoldine Butte
Rene Albers
Ing. Hans Peter Schenk B.A.
Gislinde Wagenknecht
Zeljko Gieß
Margit Müller
Nurettin Börner
Ing. Hansgeorg Jockel B.Eng.
Melanie Scheel B.A.
Juan Noack
Frau Kirsten Geißler
Magdalena Warmer MBA.
Daria Jopich
Waltrud Scholl
Rosalia Johann
Frau Svenja Hövel B.Sc.
Liesel Ziegert
Ingried Hänel
Fritz Nerger
Karl-Georg Sontag B.Sc.
Aleksander Dowerg
Udo Grein Groth
Heinz-Joachim Trupp
Univ.Prof. Roger Stadelmann B.Sc.
Karl-Peter Heser
Dorle Rädel
Erna Schmiedt
Sigurd Lange-Seifert
Univ.Prof. Otto Kruschwitz MBA.
Wilhelmine Knappe
Univ.Prof. Margareta Naser
Reinhold Hellwig-Mülichen
Teresa Schomber B.A.
Carmine Schacht
Julie Mentzel
Gordana Bolnbach
Ekaterina auch Schlauchin
Dipl.-Ing. Betti Löffler MBA.
Emilia Seifert
Patric Geisler-Becker
Friedemann Klingelhöfer
Guenther Schmidt
Frau Hella Stumpf
Otfried Ortmann
Arne Dobes
Yasemin Hande
Herr Winfried Vollbrecht B.Eng.
Nikolaos Dehmel B.A.
Reinhilde Hesse B.Sc.
Heinz-Joachim Kobelt
Slavko Weitzel B.Sc.
Sybilla Eigenwillig
Gerold Thanel
Milka Wohlgemut-Meyer
Silvia Weiß
Herr Filippo Rosemann B.A.
Hansgeorg Heuser
Kazim Junken
Prof. Tania Grein Groth
Dr. Edda Hecker B.Eng.
Maritta Bien
Peer Jähn
Stavros Meyer
Annamaria Hesse
Univ.Prof. Roman Misicher
Theo Döring
Annett Ullrich
Ignaz Löwer
Univ.Prof. Sigurd Fischer B.Eng.
Meinhard Schuster
Prof. Gertraud Drewes
Desiree Gierschner B.Eng.
Wilma Paffrath
Carlos Klotz
Prof. Wolf-Dieter Killer B.Sc.
Gerta Kallert-auch Schlauchin
Tanja Rörricht-Haering
Reza Misicher
Mehdi Bähr B.A.
Anatolij Peukert
Natalie Werner
Hans-Uwe Noack-Fröhlich
Univ.Prof. Markus Finke B.Sc.
Prof. Mathias Kambs
Prof. Amelie Rose MBA.
Hans Dieter Junk
Alwine Linke
Frau Kirsten Boucsein
Xaver Schönland
Annamaria Margraf
Astrid Dowerg-Stroh
Radmila Kraus-Schacht
Helmtrud Neureuther
Gunhild Kroker
Herr Mario Pergande
Univ.Prof. Natalie Noack MBA.
Frau Cordula Anders B.Eng.
Beate Nette
Albert Butte
Rigo Conradi
Wolfram Klingelhöfer B.Eng.
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Pius Röhrdanz
Nicolaus Jessel
Sieglinde Stahr
Ing. Anneliese Döring
Univ.Prof. Hans-Rudolf Wohlgemut
Univ.Prof. Anika Jockel MBA.
Dipl.-Ing. Henriette Schmidtke MBA.
Ing. Bianka Bärer MBA.
Laila Kranz
Heinz-Werner Buchholz
Klaus-Günter Kreusel
Heribert Steuer
Magdalene Patberg-Mosemann
Iwan Renner-Dussen van
Florian Wulff
Fredi Wilmsen
Michaele Klotz B.Eng.
Friedlinde Meyer
Silvester Scheibe
Helmar Klapp
Gerwin Rust MBA.
Ole Süßebier MBA.
Babett Adler
Dr. Valeri Sölzer B.Sc.
Tino Gnatz
Eberhardt Schäfer
Miroslawa Gude B.Sc.
Tadeusz Hentschel
Alicia Ring
Walentina Eckbauer
Ing. Peter Trubin B.Sc.
Frau Anne-Kathrin Wagner
Mehdi Kohl B.A.
Adriane Stroh
Martha Wilmsen
Damian Jopich B.A.
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Friedrich-Karl Zorbach
Sigmund Herrmann MBA.
Margareta Dörschner B.Sc.
Dr. Herbert Jockel B.Eng.
Steven Seifert
Ing. Berthold Rosenow
Sofie Reichmann
Waltrud Gumprich
Bertha Gotthard
Sara Johann
Rita Käster B.A.
Antonietta Barth
Jens Löchel
Ing. Siegmar Meyer B.A.
Marion Weinhold-Pechel
Sergej Hauffer MBA.
Antonius Stoll-Krebs
Ivo Lorch
Janet Ullrich
Margot Sontag MBA.
Birgitta Beckmann-Thanel
Alwina Koch
Josip Hiller-Hauffer
Luka Stiffel
Jörg Pechel
Alexandre Geisel
Dr. Zehra Etzler
Pietro Klingelhöfer
Dr. Nadeschda Wulf
Veronika Kruschwitz B.A.
Reiner Conradi
Prof. Kata Häring
Daniele Heintze B.Eng.
Ilhan Budig
Lilly Seifert
Hedda Haase
Jeannine Lehmann
Sevim Ackermann
Dina Schmidtke
Prof. Clarissa Barth
Rosina Klotz B.A.
Edeltraut Anders-Rohleder
Annie Noack
Dr. Melitta Mans B.Eng.
Tobias Mühle
Helga Mosemann-Hecker
Veli Rädel
Sören Trommler
Gunhild Jessel
Hildegunde Staude
Freia Lübs
Yusuf Nette B.Sc.
Univ.Prof. Helmut Junitz B.Eng.
Nick Hermighausen-Krein
Monja Heidrich
Sieghard Hahn
Dr. Baldur Johann B.Eng.
Paul-Gerhard Jungfer B.Eng.
Ing. Alexandros Vogt MBA.
Ioannis Junck
Juan Schweitzer
Raymund Thanel
Marcella Karz B.A.
Gereon Wende MBA.
Franz Lange
Edit Rädel
Joana Preiß
Korbinian Werner
Univ.Prof. Vinko Tschentscher
Rene Henck
Clara Ruppersberger
Hertha Butte B.Eng.
Hartmuth Eberhardt
Hiltrud Klemm
Irmi Biggen
Dr. Guntram Kusch
Monika Hornich MBA.
Ing. Henning Drub
Rosalia Pruschke
Mattias Wieloch
Edward Hering MBA.
Saskia Roskoth B.Eng.
Rosa Kobelt
Georgine Schäfer
Hubertus Dörschner
Hans-Friedrich Heydrich
Ing. Gotthard Reuter B.A.
Edith Hettner
Dipl.-Ing. Edmund Franke
Victor Butte
Univ.Prof. Galina Kobelt B.Eng.
Bernt Conradi
Micha Schottin
Kunigunda Hamann-Hermighausen
Fatima Rosemann-Schmidtke
Ivan Plath
Dr. Renate Mende
Gordana Hertrampf-Speer
Heinrich Rogner
Constantin Kostolzin
Carlo Bohlander
Hildburg Tlustek
Fatima Röhrdanz
Prof. Heide Krebs
Augusta Beer
Anke Bähr
Univ.Prof. Agathe Steinberg MBA.
Till Karz
Justus Schleich-Drewes
Janet Johann B.A.
Wieslaw Lachmann
Dogan Sauer
Sigrun Mälzer
Marianna Hofmann
Liliane Steuer
Filiz Bähr
Frau Eugenia Matthäi
Ingo Löffler
Herr Valentin Warmer
Brunhild Briemer B.Sc.
Hans-Christian Eimer
Frau Lilli Möchlichen MBA.
Valentin Gute
Karla Etzler-Metz
Univ.Prof. Florentine Schomber B.Eng.
Herr Ronald Reising B.Sc.
Toni Schottin B.A.
Freia Hamann-Eckbauer
Peter Rohleder
Adelheid Schinke
Romuald Hartmann
Univ.Prof. Almut Ehlert B.Sc.
Trudi Kranz B.Eng.
Salvatore Eberhardt-Ring
Reinhart Becker
Leonore Jäkel
Senta Wernecke B.Sc.
Dusan Ruppersberger B.Sc.
Fatima Heser B.Eng.
Vladimir Patberg-Weller
Ruthild Hoffmann
Herr Yilmaz Vollbrecht B.Eng.
Henriette Ladeck
Dr. Torben Stey
Diether Vogt B.A.
Gerda Mans
Ignatz Gutknecht
Elise Heinz
Wolf-Dieter Eigenwillig
Kazim Tschentscher
Jo Dussen van
Harri Heuser
Marion Weihmann
Concetta Seifert
Frau Alwina Bohnbach B.Eng.
Kunibert Heß MBA.
Käthe Langern-Jacob
Sieghard Kensy
Herr Roderich Hauffer
Senta Ruppersberger
Valeska Geisler B.Eng.
Ing. Zdenka Neuschäfer
Kira Tschentscher MBA.
Heiner Ruppersberger-Hentschel
Ing. Katarzyna Noack
Maren Scholz-Bohlander
Univ.Prof. Ewald Rogner B.Sc.
Prof. Anna-Lena Wagner MBA.
Wiltrud Christoph
Fritz Schenk B.A.
Halil Warmer B.Sc.
Herr Maik Klemt MBA.
Eveline Kruschwitz B.Sc.
Gundi Sager
Horst-Dieter Seifert
Dr. Aysel Kohl
Herr Oliver Stahr
Meryem Sager
Anne-Katrin Höfig
Calogero Heintze
Ute Möchlichen
Cosimo Bender
Ulla Süßebier
Univ.Prof. Hans-Peter Schmidt MBA.
Michaela Loos-Mentzel
Tülay Hettner-Ebert
Stanislav Hoffmann
Mareike Lübs
Orhan Hecker-Heuser
Hans-Erich Mende
Frau Anka Hering
Tilman Eberhardt
Markus Eimer
Ellen Weinhold
Telse Steuer B.Eng.
Willfried Mende
Stanislaus Geißler
Klaus-Peter Gieß-Winkler
Univ.Prof. Philip Kranz B.Sc.
Michaela Döhn
Stjepan Hofmann-Hethur
Dipl.-Ing. Detlef Trommler
Erol Lindner
Alf auch Schlauchin
Hedi Bärer
Dorit Zimmer-Krein
Siegrid Segebahn
Ekaterina Conradi
Agathe Gertz-Butte
Francisco Budig-Geisler
Valeria Mende
Carolin Siering
Ing. Galina Schenk
Heinz-Gerd Beyer
Gina Wulff B.A.
Knud Trommler
Rene Berger-Jäkel
Thorben Stiebitz
Galina Kraus-Hermighausen
Ulrich Schlosser
Falk Wagenknecht B.Eng.
Ruth Hartung
Pauline Mosemann
Jann Schenk
Lorenz Schüler B.A.
Luis Ackermann
Dipl.-Ing. Henrike Hörle B.A.
Dittmar Berger
Karla Conradi
Gundolf Schomber-Hellwig
Sandro Schmiedt
Herr Vinzenz Jäntsch B.A.
Mirjam Stumpf
Kay-Uwe Mühle
Gitte Römer-Kroker
Stavros Schinke
Yvette Dietz
Celal Seifert
Wera Schmidt
Heinz Dieter Barkholz
Dipl.-Ing. Jens-Peter Dippel MBA.
Hanni Dippel-Heser
Hartmut Hiller B.A.
Gisela Carsten B.Sc.
Claire Rogner-Scheel
Anthony Bonbach
Friedl Barth
Cora Steuer-Junken
Hansjürgen Schlosser
Irmtraud Ladeck
Elena Pruschke
Detlev Stadelmann
Fernando Gieß
Herr Tino van der Dussen MBA.
Herr Laurenz Häring
Hanife Ullrich
Annaliese Gerlach
Herr Günther Krein MBA.
Dipl.-Ing. Aleksandra Wagner MBA.
René Matthäi
Gerolf Döring-Buchholz
Canan Heinrich
Charles Anders
Prof. Janos Werner B.Eng.
Constanze Schleich
Baldur Käster B.A.
Hans-Bernd Trubin-Klemt
Giuseppe Stahr
Prof. Loretta Speer MBA.
Therese Rohleder
Oxana Henschel
Karl-Dieter Seifert
Gaetano Köhler
Nora Dehmel B.Eng.
Dipl.-Ing. Rolf Tröst B.Sc.
Hans-Karl Rust MBA.
Dr. Joseph Bien
Milica Reichmann
Moritz Holzapfel
Gisela Paffrath
Ing. Alf Lachmann
Univ.Prof. Zita Löchel B.Sc.
Prof. Hansjürgen Langern
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Arne Knappe
Iwan Butte B.Sc.
Ahmad Jacobi Jäckel
Dr. Anto Wende
Herr Rigo Krebs B.Eng.
Elke Hiller
Flora Etzold
Hella Pergande MBA.
Rosita Budig
Ellen Trub
Univ.Prof. Hedwig Krein
Gino Hartung
Univ.Prof. Hartwig Holsten B.Sc.
Silvester Fischer
Lioba Söding
Wilma Röhrdanz
Karl-Georg Zahn
Herr Siegmar Geisler
Univ.Prof. Fedor Eimer
Dipl.-Ing. Freya Höfig
Ulla Fliegner-Sölzer
Dorothee Koch II
Ing. Alban Mohaupt
Dipl.-Ing. Bernhardine Heß
Marijan Kruschwitz
Ing. Jessica Mende
Ahmad Fechner-Wulff
Urszula Spieß
Dipl.-Ing. Slobodan Sölzer
Isabelle Förster-Beyer
Veronique Löwer
Univ.Prof. Ottfried Scholl
Dr. Pius Säuberlich B.Sc.
Gerhart Stumpf
Agnes Tröst
Wiltrud Jäkel
Ing. Alla Schottin B.A.
Chantal Fröhlich
Gunther Tschentscher
Otto Lindner
Leonardo Rogge
Berend Gertz B.Eng.
Renato Bolnbach
Elise Trupp
Adalbert Hande B.Eng.
Anne Schmidtke
Dr. Evangelia Killer B.Sc.
Jiri Hoffmann B.Sc.
Dipl.-Ing. Georgine Adolph B.Eng.
Rosa-Maria Knappe
Prof. Manuela Schleich B.Sc.
Univ.Prof. Linus Seifert
Dipl.-Ing. Dörte Häring MBA.
Janette Kraushaar
Dipl.-Ing. Margarete Schmidt
Reni Putz-Tintzmann
Osman Liebelt
Dipl.-Ing. Nathalie Bender
Swen Wirth
Jurij Zimmer
Hanne-Lore Losekann B.Sc.
Canan Beyer
Dipl.-Ing. Karl-Heinz Rörricht
Prof. Auguste Scholz
Balthasar Müller-Drub
Jasmina Rädel
Bernd Blümel
Waltraud Trapp-Pechel
Marianne Ziegert-Werner
Cilli Gorlitz
Gerfried Dippel
Miodrag Fliegner B.A.
Giuseppina Keudel
Rena Radisch
Natascha Schinke B.Eng.
Kaspar Römer
Mia Roskoth
Gina Killer
Michaela Hecker B.Eng.
Ing. Konstanze Schmidtke MBA.
Herr Gundolf Barth
Ditmar Briemer
Simon Hahn
Siegmar Mies-Baum
Milena Weitzel-Steinberg
Brian Dussen van
Songül Tschentscher
Ing. Leo Schulz
Univ.Prof. Leif Süßebier B.A.
Luisa Seip B.Sc.
Murat Linke
Marina Wilmsen
Ralph Binner-Römer
Jan-Peter Grein Groth
Giovanna Zobel-Liebelt
Gunter Beyer
Gaetano Söding
Zofia Gutknecht
Dr. Alma Warmer MBA.
Apostolos Kreusel-Noack
Gerda Stey
Eckehard Mude
Ditmar Adolph
Prof. Antonia Mielcarek B.Eng.
Horst Reising
Mahmut Hänel
Kata Gierschner
Kathi Häring
Joachim Rogge
Wolfgang Beier-Mohaupt
Ottokar Döhn
Lars Kallert
Ing. Melanie Hamann
Marit Eberth
Dipl.-Ing. Amanda Striebitz
Tomas Tlustek
Natalia Hauffer
Univ.Prof. Sonja Hande MBA.
Anna Hartmann
Danilo Hein-Scheibe
Dipl.-Ing. Gudula Margraf B.Sc.
Irmtraud Freudenberger
Silva Hiller MBA.
Ellen Hahn-Spieß
Elfi Roht
Hans-Michael Krein-Wernecke
Ing. Mattias Boucsein
Ann Spieß MBA.
Ing. Klothilde Hörle B.A.
Herr Guido Knappe B.Eng.
Vito Davids-Schwital
Karlheinz Martin
Maurice Steckel
Uschi Keudel
Emilie Bolander
Dr. Elwira Hiller
Jürgen Herrmann-Koch
Elfi Harloff
Kristian Meyer
Hildburg Dowerg-Pergande
Annelie Kitzmann
Liesbeth Koch II
Hermann-Josef Loos
Frida Süßebier
Hans Kraus
Anna-Luise Eckbauer
Ing. Annelise Nette B.Eng.
Herma Bender-Scholtz
Heide Schottin
Univ.Prof. Anika Pärtzelt MBA.
Ing. Käthe Plath B.Eng.
