Student
Sandy Fechner
Bekir Gumprich-Kabus
Juan Schweitzer
Dipl.-Ing. Augusta Lachmann B.A.
Hans-Martin Kambs
Liane Kambs
Guenter Kohl-Nette
Ing. Henning Drub
Nathalie Langern
Vinko Schönland B.Eng.
Univ.Prof. Guido Carsten MBA.
Dr. Guntram Kusch
Veronika Gröttner
Liesa Sauer
Czeslaw Jacobi Jäckel-Zahn
Annie Noack
Agathe Gertz-Butte
Siegmar Keudel-Gude
Hagen Weimer
Ing. Frederic Christoph B.Eng.
Ing. Alma Rudolph B.Sc.
Mohammad Karz MBA.
Elli Täsche B.Eng.
Janin Haase
Wolfhard Jäkel MBA.
Dipl.-Ing. Walfried Rosemann B.Eng.
Zbigniew Hahn MBA.
Olivia Jäkel
Elise Heinz
Henni Keudel B.Sc.
Simona Lorch
Konstantinos Lindner
Pirmin Reising
Hasso Renner
Univ.Prof. Anny Stolze
Hans-Hinrich Trub
Gerwin Salz
Vitali Junken
Annerose Kaul
Ida Weihmann
Friedhelm Schleich
Prof. Tobias Börner
Diether Vogt B.A.
Frau Marie-Therese Mielcarek
Christiane Mentzel
Marie-Theres Trupp
Dipl.-Ing. Friedhilde Hauffer B.A.
Dipl.-Ing. Margaretha Köhler B.Eng.
Franz Josef Girschner
Constanze Fechner-Dörr
Viviane Girschner
Eduard Ruppersberger
Herr Gerolf Hermann B.Eng.
Annemie Herrmann
René Rose-Krebs
Roderich Weitzel
Milan Holzapfel
Suse Pergande-Gröttner
Hans-Erich Staude
Werner Heydrich-Schmidtke
Herr Otto Vollbrecht
Prof. Axel Davids MBA.
Miroslawa Gude B.Sc.
Ing. Ahmet Häring
Evi Wilmsen MBA.
Dr. Senol Beier MBA.
Roswita Döhn
Fredi Jäntsch
Michaele Ruppert
Robin Junk-Henk
Lieschen Röhricht MBA.
Mirella Löchel
Polina Kostolzin
Engelbert Sauer MBA.
Univ.Prof. Waltrud Rogner
Benita Ullmann
Adalbert Ullmann
Agathe Trommler
Ing. Leni Rosenow B.Eng.
Hannelore Heser-Boucsein
Prof. Sibel Wohlgemut B.Sc.
Friedrich-Karl Weimer
Natali Löffler
Univ.Prof. Cynthia Löwer
Dorothe Adler-Trubin
Dr. Heinz Dieter Dörschner
Eva-Maria Geisler
Almut Rogge
Angelique Kruschwitz
Kai-Uwe Stiebitz-Hentschel
Gunar Börner
Patricia Trubin
Dragica Kreusel
Hubertus Dörschner
Viktoria Trub-Budig
Dorit Zimmer-Krein
Agathe Jäntsch-Käster
Gerhart Beier
Ing. Selim Tintzmann B.A.
Tülay Fiebig
Katarina Knappe
Gert Nette
Brian Blümel B.Eng.
Mareile Tschentscher B.A.
Slavica Ernst-Schmidtke
Evangelos Hartmann B.A.
Rainer Scheel B.Eng.
Ruthild Hoffmann
Jeannette Schleich
Anne-Kathrin Bachmann
Vera Scholl
Johanna Finke-Ehlert
Edda Gertz B.Eng.
Adeline Hahn
Annie Harloff B.A.
Inka Meyer
Veronika Kruschwitz B.A.
Wilfriede Blümel
Ing. Willi Warmer B.Eng.
Rosa-Maria Reising
Grete Biggen-Kostolzin
Peer Jähn
Beatrix Scheibe B.Sc.
Ing. Nelli Hornig
Prof. Magda Textor
Mechtild Winkler
Heinz-Josef Conradi-Klapp
Mariusz Wilmsen B.A.
Annegret Holt-Heuser
Univ.Prof. Romana Hiller
Sergio Kraushaar-Anders
Ewald Kreusel
Kai-Uwe Bohnbach
Sevim Vollbrecht B.A.
Gerhart Karz
Gunda Ditschlerin B.A.
Dr. Burkard Bolzmann B.A.
Hedwig Briemer
Univ.Prof. Annegrete Holt
Kathi Hering
Lilo Scholz
Jonas Beyer
Henryk Jacobi Jäckel B.Sc.
Stephanie Krause
Rosalinde Losekann
Reinhold Striebitz
Ivana Nerger
Prof. Grete Müller
Gundula Scheel-Döring
Univ.Prof. Hanspeter Gorlitz
Claus Heser B.Sc.
Sinaida Ruppersberger
Ilonka Kohl
Stefano Koch B.Eng.
Darius Kallert
Univ.Prof. Michail Tintzmann B.Eng.
Gunhild Meister
Rosa Pieper B.Eng.
Arno Mude
Irmengard Jüttner B.Eng.
Jasmina Heuser
Horst-Peter Faust
Ing. Sibel Mies
Marlen Hesse
Stanislav Löffler MBA.
Dagobert Rogge
Antonius Bonbach-Juncken
Bernfried Roht
Nikolas Ebert
Dr. Hans-Detlef Lindau B.Eng.
Niko Bähr B.Sc.
Klaus-Michael Hahn
Klemens Förster
Helmtrud Atzler
Leonardo Rogge
Frau Friederike Albers
Uwe Rosenow
Marian Hande
Gunter Schenk B.Sc.
Hans-Detlef Kobelt
Univ.Prof. Paulo Jähn
Vlado Lindner
Alfredo Oestrovsky
Artur Briemer
Prof. Hermann Bohlander B.Eng.
Günter Fischer
Helmut Renner
Luciano Wirth
Dipl.-Ing. Harm Ruppert MBA.
Ronny Scholtz
Pius Gierschner-Weitzel
Wendelin Pärtzelt
Ing. Rosalinde Käster MBA.
Pauline Bolzmann
Gudrun Heß B.Sc.
Wojciech Girschner B.A.
Dorothee Blümel
Univ.Prof. Pauline Klemt
Prof. Irmela Klemt B.Eng.
Dr. Gerhart Käster
Ann Werner-Wilms
Prof. Folkert Ernst MBA.
Frau Kirsten Boucsein
Dipl.-Ing. Birgitta Boucsein
Solveig Trapp MBA.
Bernhard Rogner B.Eng.
Antonius Käster
Sören Pechel
Frau Annett Tlustek B.Eng.
Emma Sorgatz-Radisch
Lisette Stoll B.Eng.
Ilja Krause
Helga Gerlach-Seifert
Ing. Rocco Reuter
Mirja Dehmel B.A.
Ludwina Beer
Kilian Patberg
Berthold Rudolph
Ing. Leopold Beier B.Sc.
Liliana Gehringer
Henrik Heidrich
Ben Schomber
Elena Fiebig
Ing. Helmuth Bruder
Klaus-D. Sölzer
Engin Trub
Rupert Kallert
Irina Gröttner
Murat Meister
Thies Blümel
Herr Marian Schlosser B.A.
Bodo Martin
Korbinian Werner
Anne-Katrin Lorch
Freia Buchholz
Alwine Wulf
Rolf-Peter Reising B.Sc.
Francoise Dippel B.Eng.
Dr. Mariusz Beckmann
Roswita Atzler
Dr. Caroline Ortmann
Käthe Ernst
Xenia Hermann
Lena Holzapfel
Univ.Prof. Anika Pärtzelt MBA.
Ing. Berta Oestrovsky B.Eng.
Polina Hettner
Marlis Wiek
Kläre Kohl
Rosa Gnatz
Ing. Gerold Gotthard
Gert Hölzenbecher B.Sc.
Jost Lindau
Emmerich Wilmsen
Regina Hamann B.Sc.
Ilka Zimmer-Wesack
Regina Reuter
Pero Scheuermann
Antonina Wagner
Rose-Marie Jäkel
Songül Tschentscher
Gerhart Davids B.A.
Prof. Amelie Rose MBA.
Paolo Zänker MBA.
Ingried Bähr
Univ.Prof. Maria-Luise Trüb B.Sc.
Dipl.-Ing. Berit Weinhage
Alexandros Heintze
Miroslawa Rose
Hans Dieter Junk
Dipl.-Ing. Richard Gröttner B.A.
Prof. Hans-Hinrich Schmidt
Tabea Rogge
Carina Schaaf
Jan Döring B.A.
Ditmar Niemeier
Jann Schenk
Maren Roht
Adelinde Gutknecht-Beier
Sina Spieß
Gerhild Stiffel
Herbert Budig
Hanife Täsche-Stiffel
Ingetraud Austermühle-Dowerg
Hans-J. Tröst MBA.
Herr Knud Pölitz B.A.
Jacek Bärer
Hans-Joachim Pohl
Dipl.-Ing. Ira Röhricht B.Sc.
Geraldine Reising MBA.
Liesbeth Huhn
Hansjörg Roht
Alois Knappe
Dogan Rogge
Wiltrud Gröttner-Klapp
Gerda Gröttner B.Sc.
Waltraud Trapp-Pechel
Otfried Ortmann
Dr. Sara Niemeier
Felicitas Biggen
Univ.Prof. Suse Lachmann B.Sc.
Valerij Weller-Barkholz
Theodora Aumann
Eggert Rörricht-Schwital
Rosa-Maria Losekann-Schulz
Curt Mühle
Janko Schulz-Becker
Marco Stey
Sonja Barkholz
Theodora Wilmsen
Univ.Prof. Amalie Warmer B.Eng.
Fatma Möchlichen
Dipl.-Ing. Traudel Eigenwillig
Brian Dussen van
Alessandro Werner
Univ.Prof. Tomasz Atzler B.Sc.
Dipl.-Ing. Klaus-D. Kostolzin
Elisa Steinberg
Dimitrios Kraushaar-Adolph
Alexandra Butte
Maya Conradi
Ing. Torben Hande MBA.
Vassilios Kramer
Heidrun Stiebitz
Ingeburg Radisch-Steckel
Prof. Heinz-Willi Hertrampf
Jeannine Heinz-Tlustek
Hans-Ulrich Plath B.A.
Jens-Uwe Geisler
Siegbert Bachmann-Hövel
Burckhard Mende
Dipl.-Ing. Matteo Baum
Frau Katarina Bolander B.Sc.
Utz Christoph-Henck
Filippo Jäntsch
Wera Schmidt
Friedemann Stoll
Univ.Prof. Franz-Josef Holt
Conrad Killer
Daria Liebelt
Priska Wende
Doris Kraushaar
Gunhild Nohlmans
Univ.Prof. Dorle Fröhlich
Maximilian Steinberg
Univ.Prof. Sybilla Gehringer
Marica Seidel B.Eng.
Diana Jessel-Geißler
Irmtraud Schönland
Pierre Ortmann
Imre Mülichen
Hans D. Kusch B.Sc.
Christiana Pohl
Ehrentraud Trubin
Gunther Tschentscher
Natalia Fröhlich-Kabus
Dipl.-Ing. Laila Scheuermann B.Sc.
Ing. Rosina Kabus MBA.
Brit Lindner
Cosimo Bender
Kamil Hendriks
Aloys Fechner
Ernest Tlustek
Marie-Therese Schleich
Hans-Günther Eimer
Karlfried Franke
Alida Ehlert
Heinz-Günter Mülichen
Hansjörg Müller B.Sc.
Irmtraut Hahn-Walter
Frauke Dörschner
Betti Adolph
Ehrenfried Seidel MBA.
Tim Sorgatz
Gino Hövel B.Sc.
Friedl Hänel
Elise Trupp
Ditmar Briemer
Dipl.-Ing. Elly Davids B.Sc.
Angelika Rosemann
Mia Ullmann
Janette Wiek
Bert Ortmann
Ing. Danica Gieß MBA.
Edgar Bauer
Anny Wagenknecht
Dr. Hildegund Gnatz B.Eng.
Franjo Junitz-Hahn
Dr. Hans Jörg Zobel
Horst Reising
Arnold Oderwald
Mary Hofmann B.A.
Luitgard Weiß-Rörricht
Gino Ernst
Emine Lübs
Gerhild Gude
Prof. Fredy Hahn
Janus Ring
Erika Pruschke
Univ.Prof. Hedwig Krein
Ing. Carin Zorbach MBA.
Univ.Prof. Erhard Heuser MBA.
Bernd Binner-Hornich
Prof. Emil Kruschwitz
Herr Herbert Dowerg
Siegbert Henschel
Sandor Riehl
Lieschen Kusch-Pechel
Ing. Henrike Kramer
Ing. Christa-Maria Liebelt
Dipl.-Ing. Zeljko Stumpf B.A.
Hans Jürgen Lange
Hans-Bernd Zobel
Lilli Meyer-Reuter
Tadeusz Kruschwitz B.Sc.
Yusuf Schacht
Undine Eimer
Hans-Adolf Römer-Jäntsch
Kornelius Hornig MBA.
Carlo Martin B.Eng.
Univ.Prof. Amalia Köhler
Stavros Hoffmann
Kai-Uwe Köhler
Gunar Dobes B.Sc.
Johan Baum
Prof. Vesna Scholz
Janet Kade
Univ.Prof. Fedor Eimer
Margot Schäfer B.Eng.
Liliane Koch II
Ing. Bernard Schleich B.Sc.
Univ.Prof. Claudio Schmiedt
Bastian Röhrdanz
Gereon Weitzel
Ehrentraud Meyer MBA.
Attila Rogner
Ulrich Schlosser
Ellen Haase
Liliana Davids
Erol Jäntsch
Frederik Beyer
Jens-Uwe Schlosser
Emilia Seifert
Thilo Patberg
Ismail Steinberg
Univ.Prof. Ladislaus Hande
Prof. Cäcilia Gertz B.Eng.
Miriam Ehlert MBA.
Rebekka Lindau MBA.
Prof. Linda Beier
Uli Stolze MBA.
John Gunpf B.Sc.
Bernward Losekann MBA.
Irmgard Hövel
Prof. Uschi Fliegner B.A.
Lydia Losekann MBA.
Jo Dussen van
Canan auch Schlauchin-Dussen van
Carolin Etzler
Sina Wulff-Dussen van
Paola Kroker-Klotz
Dipl.-Ing. Henrike Hörle B.A.
Janna Kambs
Sabine Gude
Heinz-Willi Jockel
Caroline Harloff
Osman Schäfer
Othmar Weinhage MBA.
Annamaria Hänel-Zimmer
Carlo Bohlander
Viviane Fritsch-Martin
Kunigunda Heser
Fedor Röhrdanz
Simon Mude
Anka Rohleder
Irmela Höfig B.Sc.
Vincenzo Jopich
Ellen Röhrdanz
Birgitta Beckmann-Thanel
Frau Suse Zorbach
Hans D. Haering
