Student
Alma Kaul
Prof. Jörgen Gieß B.Eng.
Gert Nette
Rolf Wirth
Michaela Hecker B.Eng.
Kriemhild Gude
Prof. Ulla Dussen van B.Sc.
Univ.Prof. Hans-Martin Scholz
Univ.Prof. Marjan Graf B.Sc.
Necati Lindner
Dr. Herbert Jockel B.Eng.
Dr. Uta Gumprich
Ilija Kohl
Sandra Scholtz
Gesche Kühnert
Constanze Fechner-Dörr
Abdul Klapp-Hethur
Dipl.-Ing. Louis Spieß B.A.
Siegrid Bachmann-Schaaf
Uli Schönland-Trupp
Dr. Editha Rohleder
Stavros Zirme
Elfi Bolander
Ekkehart Binner
Dipl.-Ing. Liliana Hartmann
Prof. Walter Pechel
Hansjürgen Weitzel
Magda Berger B.A.
Daniele Finke
Ing. Sibel Mies
Hendrik Bolzmann-Henschel
Nico Hartung-Linke
Ing. Maria Lübs
Univ.Prof. Vinko Tschentscher
Ramon Jäntsch-Gertz
Yasmin Reising
Angelique Adler
Anto Tröst-Schäfer
Kazim Tschentscher
Attila Rogner
Sinaida Ruppersberger
Ing. Istvan Finke
Marita Henk
Jacob Süßebier
Anastasia Gunpf
Iwan Schleich
Dorothea Weihmann
Dr. Marie-Luise Klingelhöfer B.Eng.
Kay-Uwe Mühle
Cecilia Scholz-Barth
Lieschen Kusch-Pechel
Bertram Rädel
Prof. Sylvester Bender
Sebastian Aumann
Dr. Gabriela Geißler
Prof. Karen Benthin B.Eng.
Prof. Magdalena Bohlander B.Sc.
Harri Mans
Christoph Löchel B.Sc.
Lidwina Sorgatz-Weihmann
Lisette Mühle
Hasso Renner
Adriane Heinz-Metz
Dipl.-Ing. Roland Bien B.Sc.
Ute Möchlichen
Niels Faust
Heinz-Willi Holt
Freia Hofmann
Oskar Weitzel
Adem Hörle
Prof. Magnus Dörr B.Eng.
Grete Peukert
Arnfried Lorch B.A.
Lena Wende
Prof. Juan Hamann
Hanni Wieloch
Frau Emma Kaul B.Eng.
Marcus Finke
Alexandra Henk MBA.
Iwan Renner-Dussen van
Herr Ekkehart Sorgatz
Mattias Henk
Ing. Carolin Faust B.A.
Frau Ivanka Killer MBA.
Janna Kambs
Raymond Löchel-Ziegert
Gloria Bruder B.A.
Evi Grein Groth
Marek Mitschke B.Sc.
Iwan Butte B.Sc.
Clarissa Wieloch
Sergio Kraushaar-Anders
Prof. Jan-Peter Schmidt
Belinda Huhn
Jost Gröttner-Mülichen
Wolf-Rüdiger Börner
Dipl.-Ing. Gisa Jüttner B.Sc.
Friedrich-Karl Eberth
Simone Harloff B.Eng.
Anneliese Wähner
Hagen Weimer
Angelique Kruschwitz
Brit Lindner
Zofia Gumprich
Susanne Etzold
Concetta Seifert
Karl-Dieter Thies
Friedbert Sorgatz
Roselinde Kusch-Röhrdanz
Prof. Sibel Mälzer MBA.
Heimo Ziegert
Louis Geisel
Darius Trupp
Conrad Paffrath
Herr Rüdiger Ruppersberger
Metin Hande
Univ.Prof. Reinhilde Cichorius B.A.
Cord Haase
Luise Junk
Aribert Herrmann
Prof. Irmhild Fritsch
Aleksej Lehmann
Susann Hartung-Schmiedecke
Ursel Eckbauer
Aline Atzler-Beckmann
Rosa Pieper B.Eng.
Thies Rose
Dagmar Jungfer
Frau Mirjana Baum B.Sc.
Martin Pechel-Freudenberger
Frau Antonina Kitzmann
Frieder Austermühle
Lutz Mies-Hesse
Leonie Möchlichen MBA.
Brita Flantz-Knappe
Dr. Diedrich Krebs B.A.
Franz-Josef Etzold
Katarina Knappe
Bettina Lachmann
Gerolf Radisch
Vassilios Davids
Zenon Hahn MBA.
Dominik Naser B.A.
Dusan Zahn B.A.
Milka Wohlgemut-Meyer
Frau Xenia Blümel
Prof. Katalin Heinrich
Lena Ernst-Schenk
Frau Suse Zorbach
Ilonka Wulf
Siegmar Pergande B.Eng.
Dipl.-Ing. Kevin Stadelmann
Hanny Martin
Amanda Eimer B.Sc.
Ellen Röhrdanz
Ing. Ramazan Kabus B.Eng.
Prof. Svea Putz MBA.
Irene Gotthard-Hoffmann
Dipl.-Ing. Adem Gerlach
Luis Ackermann
Univ.Prof. Nadeshda Oestrovsky
Sofie Staude
Leonid Mühle
Svea Krebs-Scheibe
Hans-Friedrich Heydrich
Silva Hiller MBA.
Francisco Budig-Geisler
Mercedes Kobelt MBA.
Univ.Prof. Sönke Schomber
Frau Stefani Hendriks B.A.
Agatha Sager-Geisler
Aysel van der Dussen-Jäntsch
Daniel Stiebitz
Dr. Ante Jüttner B.A.
Deborah Finke
Edwin Förster-Albers
Vittorio Harloff
Liesa Wilms B.A.
Harro Gunpf
Hilmar Hörle
Univ.Prof. Diedrich Köhler B.A.
Sarina Dobes
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Meryem Hänel-Jungfer
Pirmin Wulf B.Sc.
Ing. Annelise Nette B.Eng.
Hans-Adolf Junken
Dr. Gerhart Käster
Prof. Concetta Mies B.Eng.
Univ.Prof. Bert Gieß
Matteo Beyer B.A.
Ing. Janin Winkler MBA.
Hanna Speer
Hermann Bruder
Franca Börner
Friedericke Lange
Mandy Loos
Dipl.-Ing. Adele Huhn MBA.
Antonio Margraf
Edeltraud Mülichen
Susann Haering
Eitel Ernst
Wanda Stoll B.A.
Jost Roskoth
Filippo Hermann
Dipl.-Ing. Gottfried Scholtz
Rosita Budig
Dr. Mariusz Beckmann
Mercedes Sauer
Dipl.-Ing. Regine Renner
Dr. Franco Stumpf B.Eng.
Svea Hartung B.Eng.
Univ.Prof. Vesna Hering
Klaudia Löffler-Zorbach
Daria Jopich
Urs Bähr
Ing. Luisa Oestrovsky
Monika Hornich MBA.
Heino Lindau B.Eng.
Osman Salz MBA.
Kuno Mälzer B.Eng.
Roland Putz
Florian Finke
Clara Gehringer
Anneliese Gnatz
Alfredo Möchlichen
Eugenia Anders B.A.
Dipl.-Ing. Kevin Henk B.A.
Rosita Wesack B.Sc.
Prof. Marko Rohleder B.A.
Franziska Beer
Slobodan Seip
Dr. Annekatrin Striebitz
Gerd Süßebier
Ingried Ullrich
Berthold Rohleder
Dipl.-Ing. Christoph Schulz B.Sc.
Dragica Kreusel
Anne-Marie Drewes
Jolanta Nohlmans-Tschentscher
Antonios Klemm B.Sc.
Mohammad Karz MBA.
Annelore Juncken
Adam Hölzenbecher-Hettner
Norbert Eimer
Fredi Jäntsch
Friedl Hölzenbecher-Eberth
Damian Jopich B.A.
Torben Hartung
Gretchen Eimer-Wilmsen
Cosimo Girschner
Cindy Tschentscher
Agnes Ullmann
Klaudia Reuter B.A.
Saban Etzler B.Eng.
Ilja Hölzenbecher-van der Dussen
Dr. Ayse Martin MBA.
Ivanka Gierschner-Pergande
Erhardt Steinberg
Urte Caspar
Dariusz Rädel
Frank-Peter Haase
Prof. Irma Bien B.Eng.
Mechthild Finke
Hans-Christian Roht
Angelika Roskoth
Ercan Kühnert
Hülya Stadelmann
Raisa Scholtz
Verena Davids
Rosa-Maria Steckel
Wladimir Rogge
Christos Bolander
Peer Jähn
Ing. Nicolai Textor B.A.
Prof. Gunther Klingelhöfer
Prof. Maria-Luise Drub B.Sc.
Bodo Ullrich
Artur Schaaf
Franca Mentzel
Mercedes Rädel-Drub
Frau Gertrud Jüttner
Friedl Atzler-Süßebier
Jörg Speer
Ryszard Anders B.Sc.
Wolfhard Ziegert
Nuran Schäfer B.A.
Viola Sager
Zenon Pärtzelt
Almuth Rosenow-Schönland
Konstantinos Seifert
Univ.Prof. Hans-Rudolf Wohlgemut
Woldemar Heinz
Helene Ullrich
Gilbert Steuer-Rosemann
Barbara Kambs
Richard Kostolzin
Univ.Prof. Wibke Reinhardt B.Eng.
Abdul Trüb MBA.
Gerta Klemt
Alban Butte
Sergej Dippel
James Ebert
Dr. Muzaffer Sauer B.Eng.
Hanne Junk
Friedrich Austermühle-Döring
Ing. Aldo Radisch
Roselinde Metz MBA.
Gerhart Beier
Rupert Kallert
Herr Jonathan Beckmann B.A.
Julian Dussen van B.Eng.
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Alice Nette
Dipl.-Ing. Margarita Stey
Manuel Stolze MBA.
Bruno Martin-Kaul
Fatih Bohlander
Ole Losekann
Marion Drewes
Slawomir Drub-Gute
Erdal Tintzmann
Rotraut Bachmann
Univ.Prof. Galina Kobelt B.Eng.
Gaetano Söding
Alexandre Caspar
Herr Wolfhard Hövel
Dominic Gunpf MBA.
Cindy Stahr
Univ.Prof. Sonja Hande MBA.
Emilie Schmiedecke
Andy Mangold
Antonios Schönland
Natascha Gotthard
Ing. Dorothe Junken
Stephan Warmer B.Eng.
Canan Beyer
Götz Budig
Goran Junck-Bauer
Semra Fiebig
Zita Klemt
Renata Holt-Heintze
Dipl.-Ing. Jan-Peter Mende MBA.
Traugott Textor-Wagenknecht
Dr. Lina Hiller
Johanna Bohlander
Mathias Matthäi
Blanka Birnbaum
Detlev Stadelmann
Inken Hellwig-Hermann
Vinko Schönland B.Eng.
Anja Meyer B.A.
Kai-Uwe Stiebitz-Hentschel
Zeljko Baum
Elena Wilmsen
Theodoros Vollbrecht-Gutknecht
Michaele Schwital
Krista Junken-Hövel
Ing. Tomas Fischer B.Sc.
Viktor Kusch
Prof. Branko Weller MBA.
Univ.Prof. Ferenc Knappe B.Sc.
Olivia Jäkel
Dr. Zehra Etzler
Massimo Hecker
Ria Dietz
Univ.Prof. Matthäus Gude
Univ.Prof. Ottfried Scholl
Woldemar Bähr
Mariana Steckel
Enrico Hellwig
Dr. Gaby Sontag MBA.
Elmar Patberg
Lotti Mosemann
Frau Hildegunde Koch II
Wolf-Dietrich Berger
Laszlo Nerger MBA.
Gina Killer
Frau Natalija Stey
Rüdiger Hellwig B.A.
Ignaz Beer-Eckbauer
Reimar Trüb
Edit Rädel
Elif Wohlgemut
Andre Mülichen-Scholz
Melanie Jungfer-Preiß
Leonardo Birnbaum
Prof. Timo Schleich MBA.
Dr. Almut Nohlmans B.A.
Francoise Zänker-Knappe
Abraham Hoffmann
Silke Scheuermann B.Sc.
Univ.Prof. Gottlob Tröst B.Eng.
Esther Hoffmann-Hermighausen
Dorit Dowerg
Vitali Faust B.Eng.
Gordon Klemt-Rörricht
Irmtraut Hahn-Walter
Annett Mies-Hellwig
Jadwiga Koch
Elma Heser
Univ.Prof. Annekatrin Neureuther B.A.
Gunhild Nohlmans
Nada Hänel
Arnd Jacobi Jäckel
Sofie Schmiedecke
Gisela Schwital-Scheel
Rolf-Peter Rosenow MBA.
Dr. Constance Römer
Mandy Rädel
Dipl.-Ing. Sandro Bärer B.A.
Prof. Irmgard Mühle
Calogero Wagner
Lilly Naser
Matthäus Eckbauer
Alfred Holzapfel-Hamann
Alexej Kohl
Dr. Heinz-Georg Aumann MBA.
Nils Stey
Waltraut Ernst
Walfried Siering
Frau Valentine Benthin
Jana Wulf MBA.
Amalia Wulf
Friedl Barth
Diedrich Scheel-Hübel
Roswita Henck
Ing. Marie-Therese Schleich
Kay-Uwe Bruder MBA.
Christos Gumprich
Sina Mende
Ing. Leo Schulz
Anni Seidel B.Eng.
Hans-Jürgen Klemm
Nelly Schlosser
Herr Hermann-Josef Hauffer
Dipl.-Ing. Mathias Metz B.A.
Geraldine Reising MBA.
Univ.Prof. Marko Schmiedecke MBA.
Anna Lübs
Ing. Marga Lehmann MBA.
Dietrich Bien
Prof. Susanne Heidrich B.Eng.
Erica Holsten
Frau Zdenka Boucsein B.Eng.
Prof. Miguel Dowerg B.A.
Berndt Bähr
Traudl Röhrdanz-Spieß
Margit Klapp
Madeleine Thanel MBA.
Urszula Rudolph
Moritz Holzapfel
Jakob Seifert
Eckehard Wernecke
Birthe Graf
Annelene Möchlichen-Weiß
Frau Jane Sauer
Anneke Jähn
Kirsten Heydrich
Hansjürgen Schlosser
Bianka Scheuermann
Felix Freudenberger
Julia Hecker-Krebs
Jörgen Lorch
Damian Dörr
Olga Albers B.Sc.
Dagobert Hornig
Danny Gumprich
Evangelos Beyer
Sophie Pruschke
Bertha Barkholz
Edelgard Neureuther-Vollbrecht
Milos Seifert
Danilo Hartmann
Ing. Silja Heser
Dipl.-Ing. Hanns Nette
Rahel Heidrich-Jüttner
Carola Franke
Prof. Mandy Heuser MBA.
Univ.Prof. Markus Schottin
Wilma Drub B.Eng.
Ing. Irmtraud Wiek MBA.
Ing. Alwine Scholz
Frau Carola Scheibe MBA.
Prof. Lieschen Bohlander
Emmy Trub MBA.
Siegmar Ullmann-Fritsch
Ing. Konstanze Schmidtke MBA.
Herr Hartwig Henk B.A.
Fredy Birnbaum-Kensy
Herma Bender-Scholtz
Urban Peukert
Sonja Paffrath-Reichmann
Cecilia Gertz
Henni Keudel B.Sc.
Herrmann Holt-Lindner
Ing. Utz Klemt B.A.
Willy Weiß
Ing. Helmuth Bruder
Herr Herbert Dowerg
Bärbel auch Schlauchin
Melissa Gehringer
Dipl.-Ing. Hannelore Kostolzin
Dr. Marija Stiebitz
Herr Gundolf Barth
Minna Wernecke-Gumprich
Resi Margraf
Eberhard Rust B.A.
Timo Spieß
Eleni Matthäi
Slawomir Ortmann
Wolf Schottin-Gunpf
Brita Schwital
Lilli Atzler
Irina Birnbaum
Ilonka Zimmer
Ing. Denny Mende
Univ.Prof. Harro Weller
Prof. Janin Dietz
Univ.Prof. Reginald Lorch
Frau Tatiana Hande B.Sc.
Giesela Wagner
Gerlind Trüb-Losekann
Meral Liebelt
Univ.Prof. Claus-Dieter Meister B.Eng.
Univ.Prof. Gottfried Süßebier
Evangelia Stumpf-Ruppersberger
Anni Hänel B.Eng.
Ing. Imke Eigenwillig B.A.
Georgios Neuschäfer
Adina Kallert
Ingelore Heinz
Prof. Nuran Sauer B.Sc.
Frau Hella Stumpf
Beatrix Rädel MBA.
Elisabeth Käster
Pirmin Boucsein MBA.
Nikolaus Rosenow
Ivo Wesack B.Sc.
Steffi Schmiedt B.Sc.
Ditmar Pölitz B.A.
Dörthe Hiller
Ottilie Trüb
Curt Schönland
Dorothe Renner
Valerie Mangold
Bozena Meyer
Ferenc Trüb B.A.
Ralph Jacobi Jäckel
Emma Trub-Scheuermann
Hans-Georg Anders
Ing. Heinz Ehlert
Nikolaus Fiebig
Dr. Lisa Stroh B.Sc.
Pedro Pölitz
Univ.Prof. Willfried Werner B.Sc.
Wieslaw Käster
Dr. Adriane Bärer B.Eng.
Frau Kunigunda Schaaf B.A.
Bela Köster
Georgia Trub
Philip Heß MBA.
Augustin Wende
Christopher Sager
Dr. Jorge Kambs B.A.
Gaby Noack
Manuel Krause MBA.
Ada Heser B.Sc.
Wencke Riehl-Stoll
Ing. Galina Schenk
Leszek Hentschel
Marijan Killer
Oskar Löwer B.Eng.
Cosimo Bender
Dittmar Hövel
Herr Günther Krein MBA.
Frieda Tintzmann-Löchel
Adelheid Hecker
Pedro Hande B.Sc.
Karl-Dieter Seifert
Ing. Thekla Beyer B.Sc.
Univ.Prof. Lara Hoffmann MBA.
Sebastian Warmer
Gaetano Köhler
Eva-Marie Berger MBA.
Dr. Pius Säuberlich B.Sc.
Sandy Dietz
Lukas Zirme
Eva-Maria Zänker
Diana Weitzel
Benita Geißler
Rose-Marie Schüler
Dajana Ruppert
Ing. Klaus-Michael Bolzmann
Aribert Putz
Herr Hanno Hesse
Herr Leonid Röhricht MBA.
Dr. Arzu Martin B.Eng.
Mark Röhricht
Elise Heinz
Friedrich-Karl Sorgatz-Schmiedt
Josef Rädel
Univ.Prof. Pascal Schweitzer
Marianna Segebahn-Wernecke
Marjan Pölitz B.Eng.
Gerold Loos-Rogge
Reni Putz-Tintzmann
Dorota Wilms
Prof. Gülay Birnbaum
Engin Schenk
Bernt Conradi
Kay-Uwe Ziegert
Leon Rust
Gülten Röhrdanz
Dr. Semra Schulz
Hartwig Keudel B.Eng.
Prof. Meinrad Wiek
Heimo Hübel MBA.
Rudolph Metz-Mitschke
Achim Mülichen-Schleich
Marit Thanel B.Sc.
Ing. Cläre Dowerg
Ines Anders
Trude Scholtz B.A.
Univ.Prof. Anatoli Ritter
Karl-Otto Putz
Jan Gumprich
Alicja Stiffel
Univ.Prof. Nikolaus Sölzer B.A.
Klaus-Peter Kitzmann
Edda Stahr
Liesbeth Schlosser
Dipl.-Ing. Leokadia Junk
Hans-Helmut Eimer MBA.
Folkert Barth B.Sc.
Blanka Ladeck
Antonietta Barth
Edmund Schmidt-Fliegner
Univ.Prof. Simona Holzapfel MBA.
Herr Marian Schlosser B.A.
Irmtraut Süßebier
Ljiljana Stoll
Lieschen Röhricht MBA.
Ljubica Wohlgemut-Schmidt
Irene Rogner
Gundolf Walter
Martha Wilmsen
Prof. Sepp Blümel
German Speer
Julius Liebelt
Anthony Patberg
Larissa Mangold
Leif Christoph
Herr Valentin Warmer
Dipl.-Ing. Slavica Mälzer
Jürgen Herrmann-Koch
Timo Siering-Hübel
Herr Bruno Kreusel
Ing. Heide Winkler
Hans Misicher
Herma Geisler-Beckmann
Baptist Vogt
Frau Margit Gehringer MBA.
Zehra Conradi-Heinrich
Dr. Laila Peukert
Gabriele Schmidt
Dipl.-Ing. Mirella Franke MBA.
Dana Jäntsch
Louise Jessel
Univ.Prof. Fedor Eimer
Tanja Plath
Heinz Krebs B.Eng.
Korinna Spieß MBA.
Christiane Roht
Ing. Gabriella Bähr
Wolfhard Fiebig
Giuseppina Keudel
Ben Zahn
Dipl.-Ing. Gunnar Rohleder B.Sc.
Hellmuth Söding-Bonbach
Aribert Mitschke
Bruno Henschel
Eberhardt Warmer
Lidija Löchel B.A.
Herr Ilja Kroker
Dipl.-Ing. Tim Fritsch
Reimer Scheel B.Eng.
Frau Rosalinde Riehl
Leopold Weller-Zobel
Siegrid Schmiedt
Heinz-Joachim Stiebitz
Tomislav Schüler
Ernst-Otto Heß-Hartmann
Wiebke Caspar B.A.
Corinne Koch II
Karlfried Müller
Dierk Buchholz MBA.
Carina Schaaf
Ing. Katarzyna Noack
Heinz-Günter Schuster
Hansgeorg Klotz
Willibald Ziegert-Siering
Univ.Prof. Nicole Höfig B.Sc.
Magdalena Sauer
Gunhild Meister
Jens Drubin
Giuseppe Preiß
Ing. Eva Kitzmann B.A.
Dr. Egbert Kraus
Ing. Gerti Franke
Univ.Prof. Anneke Gunpf
Diether Dussen van-Rohleder
Herr Ruben Schüler B.Eng.
Lilija Döring
Prof. Tina Nohlmans MBA.
Dr. Heide Jockel B.Sc.
Wilfried Börner
Eugenie Pieper
Frau Wenke Klemt
Amanda Fechner-Weinhage
Ing. Anastasios Berger
Mareen Mies B.Eng.
Senta Weihmann
Christos Beier
Milan Weiß-Schuchhardt
Michel Heß
Wanda Vollbrecht-Reinhardt
Prof. Karl-Heinz Ruppersberger
Sevim Vollbrecht B.A.
Janos Ehlert
Agathe Gertz-Butte
Else Heß MBA.
Annamaria Hänel-Zimmer
Faruk Meister
Verena Höfig
Waltrud Jockel B.Eng.
Lina Hein-Gotthard
Theresa Killer
Ing. Hedi Wulf
Frau Anna-Luise Sontag
Frau Danielle Junk
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Leonardo Rogge
Sergio Schleich
Irmtraut Haase-Hendriks
Anett Bien-Schuster
Irmhild Lorch
Genoveva Hofmann
Ing. Knut Christoph
Dr. Ellen Schlosser B.A.
Heinz-Günter Fischer
Marko Renner
Dörthe Roht
Gebhard Seidel
Hans Jörg Koch
Michail Pechel
Heidelore Heinrich
Arno Lindner
Arzu Stiffel-Drubin
Ida Buchholz B.Eng.
Frau Mareile Birnbaum
Agathe Weinhage B.A.
Kreszenz Drubin
Antje Kambs
Dietlind Anders B.A.
Myriam Hänel
Prof. Josefa Beier B.Sc.
Tobias Liebelt
Hans-Albert Schwital
Daniela Schweitzer
Henry Austermühle
Annie Langern
Alan Eigenwillig
Marliese Becker
Dipl.-Ing. Wilfriede Bruder
Zbigniew Boucsein
Dr. Jacqueline Trubin B.Sc.
Frau Yvonne Trupp B.A.
Mariechen Nohlmans
Imre Sauer
Enver Conradi-Hecker
Benita Heser
Susan Seip MBA.
Justina Neureuther
Rüdiger Geisler
Ronald Henschel
Marek Ackermann
Hardy Hänel B.Eng.
Prof. Natalia Junck B.Sc.
Georgine Schäfer
Trude Ruppersberger
Dr. Cäcilia Henk B.Eng.
Hans-Erich Warmer B.A.
Herr Baptist Klotz
Ing. Helmuth Bachmann B.Sc.
Justus Schüler MBA.
Viviane Jopich
Heike Karge
Arndt Weinhold MBA.
Elfie Otto
Prof. Anka Schulz
Klaus-Ulrich Tlustek-Förster
Dipl.-Ing. John Ortmann MBA.
Nelly Buchholz
Ing. Bianka Bärer MBA.
Felicia Binner
Mira Hoffmann
Ernst Henschel
Jeanette Mälzer
Frau Chantal Ebert B.Eng.
Patricia Trubin
Adina Mitschke
Alwine Riehl
Dipl.-Ing. Franz Reising
Lutz Röhricht B.A.
Prof. Friedo Reuter
Hedwig Briemer
Folker Otto MBA.
Hannelore Haase
Ulrich Plath-Weihmann
Zdenka Weiß
Nathalie Krause
Josip Stey
Emma Blümel
Gundel Dietz
Geraldine Gutknecht
Engelbert Margraf-Trommler
Univ.Prof. Birger Weihmann MBA.
Ing. Anton Gotthard MBA.
Prof. Ursula Eigenwillig
Dipl.-Ing. Annelise Naser
Marco Conradi
Magarete Klingelhöfer-Mans
Dr. Hedda Radisch
Vito Roht
Karl-Heinrich Karz
Dipl.-Ing. Hildegunde Bachmann
Lissy Dippel
Kai-Uwe Rogner
Katharine Mühle
Katrin Ortmann
Joerg Zimmer-Kusch
Hans-Wilhelm Weller
Mirella Löchel
Judith Gerlach
Wencke Heinrich
Prof. Tilmann Franke B.Sc.
Klaus-Michael Fiebig
Gunter Schenk B.Sc.
Lutz Wagenknecht-Gotthard
Ing. Meik Eberhardt B.A.
Ernestine Karz
Danielle Drubin
Frau Svenja Hövel B.Sc.
Juan Briemer-Textor
Sofie Reichmann
Univ.Prof. Marcella Trüb
Karl-Ludwig Hoffmann
Univ.Prof. Henry Wohlgemut B.Eng.
Ing. Zdenka Neuschäfer
Irmingard Meyer MBA.
Prof. Volker Hermann
Lisette Schönland B.Eng.
Rosa Kobelt
Sedat Gude
Nicole Scheibe
Heinz Dieter Barkholz
Dipl.-Ing. Emanuel Nette
Eberhard Dobes
Hermann Josef Junck
Gudrun Heß B.Sc.
Michel Hermighausen
Raphael Höfig
Katharina Käster MBA.
Univ.Prof. Mira Heser B.Sc.
Yasmin Wiek
Käthe Langern-Jacob
Rosita Möchlichen-Stumpf
Edward Hering MBA.
Bertram Caspar
Anka Förster
Konrad Henschel
Mehdi Niemeier-Noack
Gotthard Schuster
Prof. Ahmad Rörricht
Imelda Söding
Herr Alwin Sager B.A.
Jaroslaw Pieper MBA.
Swetlana Binner
Juliana Weinhage
Magdalene Mude
Raymond Misicher
Sibel Hörle
Elma Junken
Elfriede Gnatz
Philomena Salz
Klaus-D. Segebahn
Heinz-Günter Boucsein
Thies Birnbaum B.A.
Sina Wulff-Dussen van
Luigi Gude
Josephine Schweitzer
Hans-Hinrich Stiffel
Isidor Täsche
Raphael Barth
Univ.Prof. Ioannis Lübs B.Eng.
Univ.Prof. Alexa Junitz B.Eng.
Alla Weihmann
Hermann-Josef Zimmer
Frau Mia Kaul MBA.
Univ.Prof. Jann Schleich
Karl Heinz Stiebitz
Ing. Eckart Becker B.Sc.
Univ.Prof. Margareta Naser
Helmtrud Neureuther
Univ.Prof. Josip Hartung
Waltraut Gehringer
Violetta Beyer
Danny auch Schlauchin
James Kostolzin-Haase
Christina Geisel-Hesse
Polina Kostolzin
Univ.Prof. Gesa Loos
Karla Freudenberger MBA.
Prof. Balthasar Hecker B.Eng.
Jens-Uwe Käster
Dipl.-Ing. Konrad Schenk
Klaudia Vollbrecht B.A.
Luka Stiffel
Dipl.-Ing. Lieselotte Trüb B.A.
Adelbert Rörricht
Prof. Freya Biggen B.Eng.
Wally Anders B.Eng.
Rudolf Weihmann
Melanie Hauffer
Heidemarie Kreusel
Ing. Gotthard Reuter B.A.
Nikolai Stiebitz
Hardy Weller
Julia Conradi-Mentzel
Gundi Tlustek
Sieglinde Stahr
Falko Klemm B.Sc.
Wolf Stadelmann
Alwine Bien
Ing. Karin Werner
Sükrü Walter B.Eng.
Prof. Kata Häring
Ehrhard Pruschke
Heinz-Joachim Trüb B.Sc.
Kathi Hering
Gertrude Lehmann-Kostolzin
Herr Christopher Speer
Brigitte Knappe
Waldemar Hendriks
Nicolas Möchlichen MBA.
Senta Hiller
Nadeshda Mentzel
Elias Gierschner
Joachim Löffler-Riehl
