Student
Alida Tröst
Dr. Songül Tlustek MBA.
Dipl.-Ing. Randolf Martin B.A.
Herr Gisbert Langern
Aleksandr Schuster B.A.
Dr. Myriam Häring
Peter Sontag
Karlheinz Stahr
Ulrich Segebahn
Melitta Steinberg
Prof. Reimar Reinhardt MBA.
Robin Junk-Henk
Jens-Uwe Neureuther
Vlado Lindner
Carina Bruder
Gunar Dobes B.Sc.
Ing. Ignaz Rose
Susanna Beyer B.Eng.
Hans-Jürgen Barth
Insa Karz-Mangold
Gunnar Hentschel
Rene Rohleder
Frau Mira Klemm
Hartmuth Vollbrecht
Erich Klotz B.Sc.
Slavko Fliegner B.Sc.
Regine Wende B.A.
Florian Finke
Prof. Heinz-Peter Thies
Gunter Misicher
Micha Eckbauer B.Sc.
Dagmar Schäfer
Prof. Gundula Dörr B.Sc.
Isabelle Förster-Beyer
Muharrem Rosemann-Heidrich
Vincenzo Lübs
Hans-Helmut Binner B.Sc.
Joachim Löffler-Riehl
Oxana Stumpf
Gernot Dörr
Hansjoachim Kraus-Beer
Cornelia Schinke
Frau Trudi Wähner B.A.
Mira Bender
Ljiljana Stoll
Dorothea Kroker-Misicher
Gabi Löwer MBA.
Aribert Putz
Gabi Klapp
Heinz-Günther Bohnbach
Herr Johann Kostolzin
Hanne-Lore Kraus
Dr. Catharina Gerlach B.Eng.
Wiltrud Bolander
Univ.Prof. Hans D. Ullrich
Prof. Karl-Hermann Pieper B.Eng.
Dr. Diedrich Atzler
Elfi Harloff
Nadeschda Hande
Dr. Abdullah Becker
Ing. Vesna Kroker B.Eng.
Carmelo Klapp-Berger
Sarina Dobes
Hedy Kobelt
Franz-Xaver Bachmann
Elzbieta Putz B.Eng.
Anna-Lena Wohlgemut
Ing. Romuald Roht B.Sc.
Prof. Edgar Roht
Verena Gute-Trüb
Wieslaw Löchel
Dora Jockel
Prof. Knud Salz
Dipl.-Ing. Marc Stroh
Ing. Ramazan Kallert MBA.
Guntram Scholz MBA.
Denny Kusch
Prof. Sylvester Bender
Wally Wähner
Univ.Prof. Ayten Lorch
Frau Edeltraud Radisch B.A.
Sandra Scholtz
Heinz-Gerd Söding
Univ.Prof. Resi Kobelt
Marliese Roht
Tino Metz
Katharine Renner
Thorsten Kensy B.Eng.
Prof. Ivonne Boucsein B.Eng.
Nada Butte
Mercedes Kobelt MBA.
Gabriella Schuster
Alwine Linke
Hans Georg Niemeier
Ekrem Pruschke-Jäkel
Rolf-Dieter Kensy
Bernt Huhn
Freia Hamann
Dorle Zirme
Univ.Prof. Sonja Hande MBA.
Tomas Gröttner
Alice Hesse
Dipl.-Ing. Slavica Mälzer
Univ.Prof. Romuald Hermighausen
Irmi Gute
Abbas Segebahn
Annekatrin Neureuther
Ellen Gutknecht
Edelgard Gnatz-Dobes
Daria Jopich
Herr Sigismund Gieß MBA.
Inna Winkler
Antonius Hermighausen
Sören Pechel
Heinz-Werner Schleich-Mies
Dorothee Koch II
Univ.Prof. Catharina Neureuther B.Sc.
Helmuth Zirme
Lorenz Hande-Hamann
Carin Atzler
Tony Hecker
Herr Mario Thanel
Gerda Schleich
Gereon Weitzel
Daniele Heintze B.Eng.
Inge Kabus
Guido Wagenknecht-Kallert
Bela Köster
Andre Schinke
Rene Wernecke
Claus-Peter Flantz
Benno Gehringer-Wohlgemut
Angelo Schmidtke
Prof. Gerda Barkholz MBA.
Marzena Hein
Univ.Prof. Inga Hermighausen B.Eng.
Ulrike Schleich-Süßebier
Wilma Pärtzelt-Huhn
Maria Mans B.Eng.
Hanni Scholz-Weitzel
Elena Fiebig
Pirmin Reising
Timm Schönland
Prof. Denis Segebahn MBA.
Prof. Gertraud Drewes
Eberhardt Mielcarek
Hans-Christian Finke
Susan Warmer
Sofia Heinrich
Univ.Prof. Simona Holzapfel MBA.
Tilman Eberhardt
Manuela Sauer
Rudolf Weihmann
Edith Kostolzin
Albin Fischer B.Eng.
Malte Davids
Wulf Fiebig B.A.
Woldemar Heinz
Klaus-Peter Zorbach
Gino Heß
Karina Tschentscher-Butte
Hans-Uwe Noack-Fröhlich
Hanns Stiffel
Nikolai Haase B.Sc.
Dipl.-Ing. Meral Beyer
Dietrich Adolph MBA.
Univ.Prof. Kirstin Killer B.Eng.
Silvia Weiß
Fredy Ring
Bernadette Sorgatz
Herr Bastian Hübel B.A.
Jörg-Peter Speer
Herr Ekkehart Sorgatz
Prof. Niels Barkholz
Univ.Prof. Heinrich Knappe B.A.
Univ.Prof. Petra Scheel
Dipl.-Ing. Slawomir Ebert MBA.
Minna Lindner
Wiltrud Geißler
Beata Lübs
Ing. Serpil Rudolph MBA.
Elma Junken
Ing. Kornelius Geisel B.Sc.
Dipl.-Ing. Sarina Dörr
Ingried Bähr
Valentine Bähr B.A.
Achim Mülichen-Schleich
Ralf-Dieter Riehl B.Eng.
Antonie Fischer-Margraf
Hans Jörg Köhler
Waldemar Ladeck
Francisco Harloff
Burckhard Heuser
Ing. Tanja Scheibe B.Eng.
Augusta Rosemann
Danilo Ladeck-Köhler
Ing. Nikolai Niemeier B.A.
Danica Atzler
Prof. Juliane Henck MBA.
Ing. Tilman Kitzmann
Zita Wieloch-Scholtz
Ira Scholz-Pohl
Ehrentraud Kroker
Kazim Rohleder
Dr. Karl-Hermann Gude
Anika Binner-Löffler
Sophie Scheibe
Prof. Anica Haering B.A.
Herr Simon Fliegner MBA.
Dr. Agathe Jähn B.A.
Josef Berger
Martin Dörr
Univ.Prof. Ricardo Sorgatz B.A.
Dr. Gerda Butte MBA.
Ing. Marie-Therese Schleich
Renate Franke B.A.
Frau Eugenia Matthäi
Mira Sontag
Dr. Janett Schottin B.Eng.
Marina Wilmsen
Ivana Mielcarek
Diethard Trommler
Univ.Prof. Erna Köhler B.A.
Ruben Trubin
Raphael Bonbach MBA.
Calogero Hoffmann B.Eng.
Dominic auch Schlauchin
Hans-Herbert Harloff
Donald Schönland
Univ.Prof. Albin Bärer
Doreen Striebitz
Bianka Holsten
Günter Löwer
Jeannine Heinz-Tlustek
Sergej Pärtzelt
Valeria Mende
Mattias Sorgatz-Haase
Dr. Jan-Peter Martin B.Eng.
Anna-Luise Kraushaar
Camilla Wiek
Dipl.-Ing. Richard Gröttner B.A.
Dr. Elwira Hiller
Tabea Birnbaum
Beatrix Gehringer
Zeljko Hiller-Misicher
Ludger Stiffel
Silke Biggen MBA.
Annett Sorgatz B.Eng.
Ingbert Hartung
Elfi Bolander
Damaris Holsten-Schleich
Sibilla Mitschke-Losekann
Cäcilie Roht-Misicher
Margot Sontag MBA.
Attila Losekann B.Sc.
Engelbert Carsten-Hiller
Heribert Römer-Lindau
Irmtraut Fröhlich-Hertrampf
Leonore Schacht
Frau Waltraud Weitzel B.A.
Michael Mies B.Sc.
Univ.Prof. Claudia Freudenberger B.Sc.
Ada Ullmann-Hermann
Friedhilde Dobes
Mehdi Neureuther
Miriam Juncken
Ing. Baldur Blümel MBA.
Janusz Trub-Mühle
Nadin Schomber
Hans-Joachim Pohl
Prof. Swen Benthin MBA.
Gunda Ditschlerin B.A.
Gudrun Rörricht
Gundolf Schomber-Hellwig
Hellmuth Drubin-Tschentscher
Timo Spieß
Hasso Mans-Buchholz
Krista Putz
Birthe Graf
Herr Thomas Baum
Minna Wernecke-Gumprich
Dipl.-Ing. Kevin Henk B.A.
Herr Vinzenz Jäntsch B.A.
Renata Holt-Heintze
Ing. Ralf Sölzer B.A.
Fatma Hein
Svea Hartung B.Eng.
Dorota Sorgatz B.A.
Gerold Jacob
Dierk Buchholz MBA.
Traude Kuhl
Gaby Noack
Dorle Schmidtke MBA.
Mark Gute-Faust
Klaus-Dieter Meister
Hans-Rudolf Dehmel
Petra Wagner
Christiane Blümel
Matteo Krein-Müller
Elly Hande
Benita Geißler
Ingried Stiffel B.A.
Hannelore Heser-Boucsein
Gisela Schwital-Scheel
Krista Hofmann
Heino Römer
Dr. Halina Haase
Timo Huhn
Irmtrud Schmiedt B.Sc.
Dipl.-Ing. Nathalie Radisch
Prof. Natalja Mies MBA.
Prof. Wolf-Dietrich Schweitzer MBA.
Marianna Hofmann
Univ.Prof. Heinz-Werner Renner B.A.
Walentina auch Schlauchin-Albers
Daniela Wernecke-Hölzenbecher
Irina Mielcarek
Annegrete Pergande
Hasan Klemm
Rosina Klotz B.A.
Dipl.-Ing. Franz Reising
Ute Stroh
Ing. Edeltraud Zirme
Margita Hentschel
Justina Zirme
Änne Wagner
Leonhard Adolph
Kristin Kabus
Kriemhild Jähn
Hildegart Weitzel
Utz Staude
Kazim Tschentscher
Magdalena Warmer MBA.
Leokadia Putz
Dipl.-Ing. Aloys Hentschel
Yasmin Wiek
Malte Bohlander
Swantje Heinz
Ayse Thies B.Eng.
Jens-Uwe Geisler
Hedda Baum
Kreszentia Bohlander
Ing. Stanislaw Weihmann B.A.
Nina Wagenknecht
Karsten Kraushaar B.A.
Inna Weinhage
Dörte Warmer
Hubert Weitzel
Eitel Hethur
Ramona Henk B.Sc.
Kreszentia Bloch-Kohl
Harriet Ullmann
Maximilian Steinberg
Reza Misicher
Miroslawa Gude B.Sc.
Dietlind Drubin
Oda Berger
Darius Klotz
Dr. Aldo Fritsch
Univ.Prof. Ioannis Lübs B.Eng.
Insa Bloch B.A.
Nuray Aumann
Nuran Schottin B.Eng.
Zenon Pärtzelt
Christa Kabus
Gisela Girschner
Ing. Valentina Börner
Dominic Gunpf MBA.
Ing. Justina Fiebig
Valeria Finke
Ria Koch II
Carla Schacht
Sandro Täsche
Roger Gunpf-Paffrath
Leopold Rörricht
Nermin Jopich
Ing. Rolf Gertz
Annaliese Hettner B.A.
Dorina Dowerg
Tilman Henschel
Ahmed Freudenberger B.Sc.
Beatrix Scheibe B.Sc.
Edda Klemt
Camilla Jäntsch
Simone Harloff B.Eng.
Dipl.-Ing. Cläre Geißler
Bertram Eigenwillig
Carlo Martin B.Eng.
Dr. Ute Schuchhardt
Ing. Ben Lindau MBA.
Prof. Helmut Hellwig MBA.
Dipl.-Ing. Ismet Käster B.Eng.
Adelgunde Beer
Univ.Prof. Gottlieb Steuer B.A.
Annika Lindner
Liane Fechner
Gabriela Girschner
Roman Hauffer
Herr Salih Blümel
Ottomar Kraus
Ryszard Anders B.Sc.
Adem Schleich
Mirko Eckbauer
Lorenzo Zänker
Hans-Günther Wilmsen
Eggert Börner-Geisler
Maurizio Mans-Ullmann
Univ.Prof. Jörg Jessel MBA.
Prof. Annita Wulff
Alexandra Henk MBA.
Jacob Süßebier
Dr. Uli Segebahn
Agathe Gertz-Butte
Univ.Prof. Friedl Peukert B.Eng.
Ing. Liesa Zirme
Ing. Lisbeth Fritsch
Jessica Stumpf
Piotr Hande
Alois Knappe
Fanny Zänker-Hein
Regina Wende
Carmelo Weinhold
Sonja Löchel
Kemal Butte-Tintzmann
Klemens Förster
Faruk Schomber
Stilla Hornig B.A.
Hans-Detlef auch Schlauchin-Fischer
Mechtild Patberg
Lars Ullrich
Dr. Immo Kramer
Univ.Prof. Gundel Atzler B.Eng.
Tino Gnatz
Berend Rörricht
Janin Hamann
Vito Davids-Schwital
Univ.Prof. Annegrete Holt
Cilli Röhricht
Ing. Ayse Mangold MBA.
Cilli Heintze
Dr. Gerard Dörr
Leonhard Patberg
Kay-Uwe Finke
Herr Gunther Flantz
Meryem Graf-Lange
Danielle Ritter B.Eng.
Mahmut Hänel
Heidrun Stiebitz
Univ.Prof. Gretl Langern B.A.
Aribert Herrmann
Adalbert Boucsein
Agnes Ullmann
Sylvio Gutknecht
Moritz Spieß
Micha Albers-Wilms
Ada Heser B.Sc.
Ron Beer
Dr. Nadja Wulf
Dr. Krista Wirth
Bernhardine Ruppersberger
Vittorio Hertrampf
Torben Wiek-Ring
Prof. Reza Ebert B.Eng.
Evangelos Beyer
Jan Döring B.A.
Ing. Zofia Ernst
Reni Rosemann MBA.
Diedrich Jäntsch B.A.
Frank-Michael Klemt
Frau Xenia Blümel
Darius Trupp
Univ.Prof. Alexandre Schottin
Frau Mirjana Baum B.Sc.
Sami Mans-Ullrich
Ing. Thekla Beyer B.Sc.
Isabell Eberth-Pechel
Frau Clarissa Rosenow B.A.
Pero Römer
Rüdiger Geisler
Lutz Röhricht B.A.
Herr Jerzy Drub
Ing. Dirk Paffrath
Elise Hentschel
Nico Drewes
Karl-August Reichmann B.Sc.
Zdenka Heser
Miriam van der Dussen
Rüdiger Bien-Hübel
Belinda Huhn
Leokadia Herrmann
Frau Patricia Schmiedecke B.Eng.
Giuseppina Keudel
Theresia Paffrath
Raymund Koch II-Margraf
Veli Rädel
Walter Pruschke
Helmuth Wagner
Hermann Josef Drubin
Prof. Attila Werner B.A.
Renate Mies
Imelda Schäfer
Ilonka Kohl
Marleen Heser
