Student
Dipl.-Ing. Till Säuberlich
Maurizio Hermann
Univ.Prof. Monja Staude MBA.
Ing. Marcel Gute
Irmgard Hövel
Birte Gröttner MBA.
Dipl.-Ing. Giuseppina Etzler B.Sc.
Nancy Eckbauer
Prof. Sylvana Trapp
Dagobert Rogge
Roberto Jockel
Jann Schleich
Prof. Ursula Niemeier B.Eng.
Carina Hövel
Pavel Jessel
Anita Mohaupt
Sylvester Zirme
Selma Fritsch B.Eng.
Friedrich Austermühle-Döring
Ilse Henschel
Patrick Döring
Peer Hölzenbecher
Wally Wähner
Herr Dursun Hentschel B.Eng.
Ing. Gerlinde Junken
Magda Berger B.A.
Ole Losekann
Pedro Pölitz
Sergej Pärtzelt
Hans-Wolfgang Harloff
Ismail Steinberg
Hans-Christian Finke
Prof. Augustin Stey B.A.
Wulf Thanel-Scheibe
Kristian Anders B.Sc.
Irmtraut Haase-Hendriks
Erkan Trub
Prof. Katalin Heinrich
Joerg Fritsch-Pieper
Heimo Förster
Dipl.-Ing. Rüdiger Otto B.A.
Prof. Kunigunda Pergande MBA.
Dr. Gerti Scheel
Dipl.-Ing. Corina Fischer
Tilly Pergande
Halina Austermühle-Bender
Uli Wohlgemut-Stadelmann
Gundula Vollbrecht
Madlen Steinberg
Georgios Neuschäfer
Ingetraut Jopich
Hans-J. Tröst MBA.
Wiltrud Bolander
Ignatz Budig
Niko Gutknecht B.Sc.
Alwine Wirth-Klemm
Ing. Alla Schottin B.A.
Reinhold Bloch
Geza Bloch-Mühle
Reza Misicher
Kathi Häring
Heinrich Ackermann
Jozef Bohlander
Univ.Prof. Charlotte Lindner MBA.
Prof. Almuth Dippel
Gerwin Rust MBA.
Jakob Seifert
Nadia Thanel
Halina Lachmann
Julian Lehmann-Ortmann
Wiltrud Jäkel
Herr Anton Mohaupt B.A.
German Speer
Maja Jungfer
Selma Girschner B.Sc.
Moritz Spieß
Ing. Torsten Hartung B.Eng.
Herr Simon Fliegner MBA.
Volkmar Mosemann
Prof. Frithjof Adolph MBA.
Marcel Hermighausen
Susi Schuchhardt
Dipl.-Ing. Enver Drubin
Albrecht Rust-Heinrich
Zdravko Kroker
Frau Ellinor Tintzmann
Gabriele Stahr
Christoph Löchel B.Sc.
Herr Ekkehart Sorgatz
Hans Dieter Stahr
Anastasios Karge
Dipl.-Ing. Jozef Hartmann
Ing. Zbigniew Warmer MBA.
Dorina Dowerg
Hans-Jürgen Barth
Karl-Peter Heser
Gilda Segebahn
Klaus-Dieter Koch II B.A.
Johanna Fischer
Baldur Knappe
Hans-Joachim Häring
Emine Vollbrecht B.Eng.
Manja Stadelmann
Krzysztof Kruschwitz
Frank-Peter Kambs
Prof. Attila Werner B.A.
Andreas Birnbaum-Kallert
Till Bolander
Viviane Kensy
Fatih Zirme
Gerdi Neureuther-Mälzer
Kemal Butte-Tintzmann
Nils Hermighausen
Herma Bender-Scholtz
Daniel Stiebitz
Herr Gordon Meister
Anne-Kathrin Bachmann
Univ.Prof. Hans-Albert Ruppert
Annaliese Lübs
Ing. Adalbert Heser
Christiana Bauer
Prof. Heinz-Peter Thies
Helfried Langern
Herr Alois Thanel B.Sc.
Dipl.-Ing. Hanns Killer B.Sc.
Cornelia Radisch
Calogero Staude B.A.
Annelore Riehl
Benno Ritter
Ing. Denny Mende
Aenne Beyer
Eugenia Anders B.A.
Ing. Magarete Herrmann B.Eng.
Heribert Ring B.A.
Solveig Scheibe
Univ.Prof. Antonina Becker
Dipl.-Ing. Gerold Kusch B.Eng.
Bekir Bonbach
Univ.Prof. Josip Hartung
Prof. Mandy Heuser MBA.
Irmtraud Schönland
Ing. Gerold Gotthard
Severin Mende B.A.
Univ.Prof. Klaus-Günter Renner B.A.
Ehrhard Häring B.A.
Josephine Schweitzer
Dr. Elzbieta Mitschke B.Eng.
Thoralf Geisel
Prof. Susanne Rose
Sandor Riehl
Reni Römer
Vinko Schmiedecke-Hendriks
Angela Weimer B.A.
Helmtrud Atzler
Lidija Löchel B.A.
Dragica Rosenow
Konstantin Ladeck
Ilonka Wulf
Marie-Louise Killer-Etzler
Heidemarie Junitz
Adelinde Zimmer
Ing. Käthe Plath B.Eng.
Hanns Stiffel
Mohamed Stiebitz-Pärtzelt
Gert Naser
Desiree Köster
Annamaria Scholtz
Ing. Chantal Schleich B.Eng.
Julie Mosemann
Adelinde Geisler
Bruno Hethur
Karl-Georg Römer B.A.
Ercan Kühnert
Gerd Becker
Gereon Jacob
Fred Wende
Univ.Prof. Karen Etzold B.A.
Frau Friederike Albers
Larissa Löffler
Dr. Salih Ullmann
Krystyna Rust-Baum
Herr Thomas Baum
Robert Budig-Ullmann
Heidrun Lindner-Bolnbach
Rotraud Fiebig
Leonore Schacht
Senol Heintze-Gerlach
Andre Schönland B.Sc.
Dr. Lidia Flantz B.Sc.
Kornelius Winkler
Dr. Steven Wohlgemut
Univ.Prof. Annegrete Holt
Sofia Heinrich
Jürgen Herrmann-Koch
Prof. Maria-Theresia Schaaf B.A.
Cosimo Girschner
Moritz Schönland
Dr. Wencke Junken B.Eng.
Janus Weitzel-Koch
Herr Dimitri Mohaupt B.A.
Sükrü Walter B.Eng.
Theodoros Grein Groth
Franz Löwer
Mira Hoffmann
Univ.Prof. Heinz-Werner Renner B.A.
Constantin Beckmann
Siegmar Keudel-Gude
Ing. Helmuth Bachmann B.Sc.
Hertha Gutknecht
Elfriede Gnatz
Frau Stefani Hendriks B.A.
Rosalia Pruschke
Tomislav Steckel
Anthony Bonbach
Johanna Bohlander
Aneta Kambs
Luigi Junitz
Anastasios Kuhl
Jasmina Koch MBA.
Ing. Alberto Werner
Heinz-Jürgen Adolph
Victoria Binner
Siegbert Schweitzer
Ing. Carla Ziegert B.Eng.
Henni Keudel B.Sc.
Süleyman Baum
Hans-Gerd Holt
Rose-Marie Schüler
Blanka Ladeck
Rosmarie Kambs MBA.
Piotr Schaaf
Hans-Rudolf Fröhlich
Hedy Loos
Hans-Günther Etzold
Prof. Magdalena Bohlander B.Sc.
Karl-Otto Winkler B.Eng.
Zita Wieloch-Scholtz
Irmtraut Fröhlich-Hertrampf
Bogdan Römer B.Eng.
Hans-Helmut Binner B.Sc.
Reni Henk
Prof. Ingbert Nette
H.-Dieter Gerlach
Univ.Prof. Ahmet Birnbaum MBA.
Franz-Josef Kohl
Frau Alwina Bohnbach B.Eng.
Dr. Silvester Krein B.Sc.
Benita Geißler
Univ.Prof. Ioannis Lübs B.Eng.
Annaliese Klingelhöfer
Monika Krein B.Eng.
Maurizio Tschentscher
Ing. Kornelius Geisel B.Sc.
Hedda Baum
Ing. Ivo Weinhold
Univ.Prof. Zita Löchel B.Sc.
Dörte Schlosser
Roselinde Ebert
Heino Römer
Joseph Harloff
Zeljko Hiller-Misicher
Clara Gehringer
Dr. Mariusz Beckmann
Felizitas Jungfer
Chantal Kade
Tatiana Pechel
Heinz-Günter Weimer B.Sc.
Hartmut Zirme
Bertold Bloch-Beckmann
Leopold Jungfer
Frau Katarina Bolander B.Sc.
Irmtraud Freudenberger
Jiri Bärer
Darius Trupp
Reinhold Hellwig-Mülichen
Susana Schaaf
Ing. Amalia Walter
Erwin Jungfer
Traude Kuhl
Deborah Becker
Univ.Prof. Reginald Lorch
Gilbert Peukert B.Eng.
Julia Pärtzelt
Ing. Wilhelmine Adler B.Sc.
Ing. Carolin Matthäi
Adeline Holsten
Brigitte Zirme B.Sc.
Dipl.-Ing. Karsten Fechner
Univ.Prof. Walter Barkholz
Dipl.-Ing. Hardy Kohl
Lutz Pärtzelt
Ferdinand Junitz B.Eng.
Dr. Heinz-Georg Aumann MBA.
Jonas Budig
Eva Mosemann
Ahmad Fechner-Wulff
Herr Torsten Hermighausen B.Sc.
Ing. Louis Eckbauer B.Eng.
Adele Weimer B.Eng.
Dipl.-Ing. Annelise Naser
Prof. Karl-Hermann Pieper B.Eng.
Univ.Prof. Ottfried Scholl
Ilja Hölzenbecher-van der Dussen
Univ.Prof. Ralf-Dieter Kabus MBA.
Asta Knappe
Gusti Wagenknecht
Monica Drub-Davids
Ing. Romuald Kreusel B.A.
Mariele Peukert
Laura Beier
Melissa Dietz
Sylvana Holzapfel
Detlef Köster
Prof. Timo Schleich MBA.
Leonore Jäkel
Annelore Täsche
Lisbeth Hentschel
Liliana Davids
Ing. Alma Rudolph B.Sc.
Dr. Gabriel Junitz
Ing. Jürgen Jopich B.A.
Sigrun Mälzer
Ralph Rogge
Mikhail Bauer
Dierk Dörr
Torsten Pergande
Hiltrud Pergande
Mijo Jessel B.A.
Lieschen Röhrdanz
Gerolf Döring-Buchholz
Univ.Prof. Erna Köhler B.A.
Herr Frank-Peter Jopich
Matthäus Hübel
Herr Vladimir Zimmer MBA.
Oda Barkholz
Univ.Prof. Frederike Heintze
Walentina Hesse
Francoise Rust
Hendrik Herrmann
Benita Ullmann
Gina Schmidtke
Flora Etzold
Ing. Klaus-Michael Bolzmann
Univ.Prof. Alberto Steuer
Dipl.-Ing. Till Schenk
Ekaterina Wieloch
Jörn Hörle B.Sc.
Prof. Natalja Käster MBA.
Helge Pohl
Leonard Kostolzin
Dr. Anastasia Gude
Prof. Ahmad Rörricht
Klaus-D. Segebahn
Univ.Prof. Luka Mende
Timo Huhn
Prof. Gertraude Mangold B.Eng.
Univ.Prof. Hardy Hartung
Reinhold Schönland
Prof. Janos Werner B.Eng.
Manfred Juncken
Gülten Henschel
Alwine Wulf
Birgid Schüler
Jaroslaw Eckbauer
Frau Svenja Hövel B.Sc.
Senta Hiller
Hedda Schönland
Vittorio Hertrampf
Babett Adler
Hansgeorg Hettner
Reinhilde Hesse B.Sc.
Wenke Patberg
Miroslaw Holt
Nathalie Krause
Sigfried Franke B.Sc.
Kurt Thanel
Jerzy Hermighausen-Lübs
Arzu Ullrich
Ellen Vogt
Ahmet Thies
Ernst-Dieter Geisler B.Eng.
Kristian Albers
Burghard Davids
Ralph Schottin-Graf
Theo Henschel
Justine Dippel-Rosemann
Guntram Scholz MBA.
Emma Blümel
Silva Hiller MBA.
Stjepan Langern
Univ.Prof. Philomena Kensy
Univ.Prof. Tabea Dörschner MBA.
Ivanka Berger-Kraus
Prof. Guiseppe Gröttner B.Sc.
Univ.Prof. Heinz-Dieter Schuster
Reinhard Christoph
Irmtrud Pohl
Univ.Prof. Nevenka Döhn B.Eng.
Prof. Knud Salz
Hanni Wieloch
Heimo Kuhl
Jeannette Schleich
Celal Scheel B.A.
Elizabeth Budig
Dipl.-Ing. Hannelore Kostolzin
Dipl.-Ing. Margarethe Holt MBA.
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Carl Jockel
Dipl.-Ing. Jiri Wesack B.A.
Hans Misicher
Gerta Klemt
Ulrich Plath-Weihmann
Zdravko Staude B.Sc.
Ryszard Anders B.Sc.
Ilonka Noack
Francisco Harloff
George Paffrath MBA.
Hansgeorg Klotz
Theres Beer
Mirja Schottin
Waldemar Ladeck
Dipl.-Ing. Katarina Schmidtke
Rose-Marie Jäkel
Dipl.-Ing. Ana Rosemann
Rosita Budig
Nina Ladeck
Nadeshda Schenk
Monique Ullmann MBA.
Alf Jacobi Jäckel-Fritsch
Jann Fröhlich
Dipl.-Ing. Cora Baum
Mehmet Löwer-Trupp
Dipl.-Ing. Annemarie Trommler B.Sc.
Marlen Flantz
Wibke Reuter
Roman Hauffer
Florence Schulz
Prof. Ruth Gehringer
Lutz Wagenknecht-Gotthard
Silvia Henschel
Nelli Stiebitz
Pirmin Reising
Univ.Prof. Gretchen Sontag B.A.
Ana Klapp MBA.
Gerti Trupp-Dowerg
Denny Lachmann
Tülay Schmidtke B.Sc.
Michaela Döhn
Kai-Uwe Mitschke
Christiane Blümel
Heinz-Werner Schleich-Mies
Daria Liebelt
Frau Mia Kaul MBA.
Sevim Schmiedt-Döhn
Ing. Bernfried Haering
Waltrud Stroh
Dr. Gerard Reichmann MBA.
Marianna Hofmann
Herr Frieder Wulff B.Sc.
Bärbel auch Schlauchin
Grzegorz Bohlander
Alwine Bien
Karl-Otto Kostolzin
Dr. Franz-Peter Löffler
Herr Hans-Martin Heuser
Liane Reuter
Krystyna Holsten B.A.
Frau Christiane Zänker B.A.
Valentine Bähr B.A.
Aurelia Dussen van MBA.
Matteo Krein-Müller
Klaus-Dieter Meister
Dipl.-Ing. Marica Sager
Ing. Wieslaw Kobelt B.Sc.
Wolf Stadelmann
Ing. Willfried Kostolzin
Ing. Danica Gieß MBA.
Kerstin Niemeier
Alwin Schaaf
Lucia Kohl
Nurettin Dippel
Univ.Prof. Ditmar Mitschke B.A.
Frau Annette Fiebig B.Eng.
Jolanda Henck
Lotti Rosemann
Burghard Wohlgemut
Heidelore Stolze
Dipl.-Ing. Robert Köhler
Siegfried Kreusel
Zehra Putz
George Käster-Eberth
Yusuf Nette B.Sc.
Frau Else Röhrdanz B.Sc.
Friedl Barth
Ing. Katarzyna Noack
Helma Fliegner
Prof. Julia Möchlichen B.A.
Ing. Baldur Blümel MBA.
Augustin Jopich
Adem Hörle
Brian Blümel B.Eng.
Dr. Lidija Weihmann
Jenny Scholtz
Inga Ruppersberger
Ing. Willi Warmer B.Eng.
Gerhart Staude
Lars Kallert
Nicole Scheibe
Elzbieta Beier
Grete Biggen-Kostolzin
Bertha Heser MBA.
Prof. Antonia Mielcarek B.Eng.
Ing. Friedhold Hartung B.Sc.
Margareta Losekann
Frau Käte Zahn
Antje Drub
Dr. Bernfried Bärer
Melanie Segebahn
Denis Etzold
Harm Hein
Univ.Prof. Helmut Junitz B.Eng.
Theresa Schüler
Jiri Förster
Gerard Förster
Sylvia Schenk
Dr. Cäcilia Henk B.Eng.
Prof. Trude Schäfer MBA.
Ing. Hedi Wulf
Detlev Weihmann-Schäfer
Brit Lindner
Ing. Siegmund Hertrampf MBA.
Ing. Giuseppe van der Dussen B.A.
Ing. Mahmoud Becker
Klaus Dieter Rädel
Elif Röhricht
Hans-Joachim Pohl
Kristin Bohlander B.Eng.
Eckehard Nette
Dr. Aldo Fritsch
Henry Hofmann B.Eng.
Benjamin Jäntsch B.Sc.
Susanne Etzold
Ottokar Fliegner
