Student
Maren Bachmann-Stumpf
Prof. Arif Mielcarek B.Eng.
Günter Fischer
Bernhardine Bender MBA.
Herr Evangelos Schacht
Kriemhild Jähn
Dorit Köster
Verena Gute-Trüb
Dipl.-Ing. Sibylle Kensy
Miroslav Paffrath
Fatima Eckbauer-Rosemann
Lissy Dippel
Rosa Tintzmann
Prof. Attila Werner B.A.
Heinz-Otto Geisler B.Sc.
Sina Patberg
Athanasios Bloch
Heimo Huhn B.A.
André Kroker
Frau Melita Huhn
Ahmed Freudenberger B.Sc.
Nicolaus Jessel
Lars Ullrich
Gordon Lehmann
Herr David Löchel B.A.
Falk Ritter
Urban Geißler B.A.
Janet Kade
Prof. Marie Plath
Wolf Stadelmann
Marica Martin
Sabine Gude
Gerti Ullrich
Norbert Niemeier
Dörte Schlosser
Ing. Rosalinde Käster MBA.
Dipl.-Ing. Arthur Ziegert
Gerda Schleich
Jochem Röhrdanz
Dipl.-Ing. Betty Niemeier MBA.
Herr Gordon Weihmann B.Eng.
Carla Ruppersberger
Leonardo Rogge
Engelbert Sauer MBA.
Hans-Christian Trüb
Dipl.-Ing. Kriemhild Löchel
Delia Hande-Koch
Ronald Henschel
Gertraud Mentzel
Prof. Friedbert Tschentscher B.Eng.
Erhardt Heidrich
Friedrich Austermühle-Döring
Hans-Hinrich Linke
Kata Atzler
Josefine Rosemann
Günter Schottin
Tony Hecker
Frau Gülay Rogner B.A.
Alfred Rose
Ignaz Warmer
Ayse Thies B.Eng.
Irmela Krein-Bolzmann
Ralph Jacobi Jäckel
Wibke Reuter
Alexej Wagner
Karl-Heinrich Kraus B.A.
Jens-Peter Heinrich
Marianna Etzler
Alexandra Henk MBA.
Dr. Gerda Butte MBA.
Dörthe Hiller
Herr Wilhelm Schuchhardt B.A.
Ing. Lucie Karz
Kathi Wesack
Natalia Fröhlich-Kabus
Milos Seifert
Leszek Hentschel
Uli Oderwald-Freudenberger
Ilona Roskoth-Bolander
Cäcilie Patberg
Karlfried Franke
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Iwan Renner-Dussen van
Wiltrud Bolander
Karl-Josef Thanel
Folkert Reinhardt B.Sc.
Annelene Zänker
Susanne Etzold
Prof. Juliane Henck MBA.
Tomasz Niemeier
Giesela Dowerg
Silja Kraus-Schuster
Günter Rudolph B.Eng.
Univ.Prof. Inga Hermighausen B.Eng.
Dipl.-Ing. Kevin Stadelmann
Hans-Willi Baum-Staude
Ing. Loni Gnatz MBA.
Evangelia Schlosser-Boucsein
Annamaria Hesse
Vlado Lindner
Ivo Wesack B.Sc.
Czeslaw Bohnbach B.Eng.
Klaus Peter Weller
Valeri Tschentscher
Katharina Speer
Halil Löwer
Prof. Anna-Lena Wagner MBA.
Beatrice Käster
Christiane Roht
Lore Margraf
Stefanie Pruschke
Ellen Junken
Hartmut Biggen-Trapp
Lisbeth Hentschel
Giuseppina Linke
Herr Franz Geisler B.A.
Felix Wilms
Herr Hartwig Henk B.A.
Heinz-Günter Schuster
Dipl.-Ing. Tomislav Dowerg B.Eng.
Norma Jungfer
Kamil Hendriks
Karl-Georg Zahn
Eckehard Wernecke
Dr. Ursel Gute
Filippo Juncken
Inna Ditschlerin
Birthe Graf
Gereon Textor
Flora Mühle B.Sc.
Vassilios Trommler-Gieß
Cora Scholtz
Faruk Hoffmann
Artur Kreusel
Ing. Hannes Jähn B.Sc.
Fritz Schenk B.A.
Uwe Dussen van
Thaddäus Kraushaar-Ruppert
Bertha Barkholz
Univ.Prof. Margrit Davids B.Eng.
Prof. Kathy Warmer MBA.
Dr. Myriam Pieper B.Eng.
Dorothe Adler-Trubin
Yasemin Hande
Hans-H. Schönland
Univ.Prof. Anneke Gunpf
Raymond Löchel-Ziegert
Ing. Carolin Anders
Juan Klapp B.Eng.
Joachim Steuer
Friedericke Roht
Gudrun Heß B.Sc.
Helene Ullrich
Lydia Schenk
Tillmann Stolze
Uli Renner
Ulrike Schleich-Süßebier
Ignatz Wähner-Hänel
Swen Schweitzer B.Sc.
Dr. Editha Rohleder
Wolf-Dietrich Gotthard-Dussen van
Elvira Mälzer
Abdul Ullmann
Ing. Justina Beckmann
Silvia Lübs
Thea Dippel
Mariana Steckel
Eleonore Kuhl-Koch
Jan Linke MBA.
Herr Gerolf Hermann B.Eng.
Dipl.-Ing. Virginia Käster
Lidija Pärtzelt
Inga Ruppersberger
Hakan Kühnert
Kornelius Fröhlich B.Sc.
George Käster-Eberth
Stephan Haase MBA.
Tatjana Käster-Schüler
Frau Marie-Therese Mielcarek
Dr. Isabell Trupp
Antonina Christoph MBA.
Alf auch Schlauchin
Gülten Ruppersberger-Wende
Gabi Harloff
Gordana Budig B.A.
Ekkehard Holzapfel
Adina Finke
Manuela Sauer
Carlo Ackermann-Birnbaum
Dipl.-Ing. Helma Heuser B.Sc.
Frau Patricia Gorlitz B.A.
Tillmann Dobes-Trupp
Veli Rädel
Dipl.-Ing. Geert Holsten B.Sc.
Leonid Hein B.Sc.
Theo Neuschäfer
Heidelore Heinrich
Marzena Mentzel
Nikolai Haase B.Sc.
Ing. Cilli Gertz B.A.
Univ.Prof. Horst Scholtz
Ljiljana Roht
Siegbert Schweitzer
Mareike Scholl
Thies Blümel
Kunigunda Heser
Resi Margraf
Marek Ackermann
Ferdi Hoffmann
Dana Schäfer
Mia Roskoth
Hans-Herbert Walter
Reinhild Pergande
Wiebke Caspar B.A.
Norman Ditschlerin MBA.
Carmela Lindau
Kreszentia Bloch-Kohl
Helene Keudel
Kay-Uwe Jähn-Schwital
Wieland Hethur
Univ.Prof. Nikolaus Sölzer B.A.
Martina Hartung
Franz Lange
Carmen Textor-Krebs
Antonietta Kostolzin
Marion Weinhold-Pechel
Louis Loos B.Eng.
Marietta Heinrich
Valentin Döring
Hans-Helmut Wesack
Ing. Carin Zorbach MBA.
Roselinde Kusch-Röhrdanz
Thorben Rosenow
Prof. Antonia Mielcarek B.Eng.
Bianka Schmidt
Frau Anne-Kathrin Wagner
Domenico Kade B.A.
Reiner Ziegert-Walter
Ing. Ortrun Weimer
Gunar Lindner
Dipl.-Ing. Mathias Metz B.A.
Ing. Hans-Joachim Ullrich
Stefanie Dippel
Univ.Prof. Giovanna Siering MBA.
Edmund Caspar B.Sc.
Maximilian Juncken
Dr. Leila Gunpf B.Sc.
Marcel Stumpf
Kai-Uwe Oderwald
Alexander Hörle
Imre Sauer
Justus Schüler MBA.
Dr. Silvester Krein B.Sc.
Brunhilde Scholz
Ismail Geisler
Prof. Lydia Siering
Prof. Ralf-Peter Schlosser B.Eng.
Hermann Josef Weihmann
Zita Ullmann-Heydrich
Hildegart Weitzel
Adele Stroh
Ingried Stiffel B.A.
Brian Ditschlerin
Miroslav Kohl
Ing. Margot Bonbach B.Eng.
Herr Edmund Hesse
Lili Birnbaum
Virginia Gieß
Riza Heydrich
Engelbert Carsten-Hiller
Wiltrud Jäkel
Prof. Riza Niemeier
Dipl.-Ing. Theda Weinhold B.Eng.
Univ.Prof. Ismet Bloch B.Eng.
Wilhelmine Knappe
Guenter Wende
Serge Kraus B.Eng.
Mehdi Neureuther
Reingard Cichorius
Cilli Röhricht
Prof. Augustin Stey B.A.
Carmine Schacht
Detlev Weihmann-Schäfer
Natascha Eigenwillig
Mohamed Schottin
Hansjörg Müller B.Sc.
Wenzel Ebert
Bekir Gumprich-Kabus
Anke Bähr
Polina Kostolzin
Heinz-Günter Weimer B.Sc.
Olaf Juncken
Dipl.-Ing. Laurenz Gerlach MBA.
Leonardo Birnbaum
Annaliese Gute
Stephen Bruder
Melita Schacht
Prof. Henriette Killer
Mike Matthäi
Dipl.-Ing. Dorina Lindau B.Sc.
Dr. Edelbert Wieloch MBA.
Nadja Ladeck B.Sc.
Gina Schmidtke
Ing. Engelbert Bauer
Herr Roman Sontag B.Sc.
Klaus-Peter Schüler-Schaaf
Anneli Heintze
Giovanna Zobel-Liebelt
Prof. Katalin Lindner B.Eng.
Klaudia Vollbrecht B.A.
Dipl.-Ing. Sylke Gute B.A.
Annerose Kaul
Emanuel Kitzmann
Anatol Adler
Andrea Ziegert
Margitta Wulf-Nerger
Univ.Prof. Pia Schlosser MBA.
Heide Schottin
Tülay Henschel
Adem Mühle-Ruppert
Dipl.-Ing. Bernward Putz B.Eng.
Ing. Tina Schmiedt B.A.
Dipl.-Ing. Hans-Erich Klemm
Ing. Rotraud Schmidt
Hanife Ullrich
Gusti Schleich
Tülay Hettner-Ebert
Dorothee Seidel
Hilmar Hörle
Prof. Konrad Neuschäfer
Gerold Schuchhardt B.Sc.
Ing. Georgia Rogner
Univ.Prof. Waldtraut Riehl
Urszula Killer B.A.
Ralph Jessel B.A.
Donald Schönland
Univ.Prof. Gustav Sölzer
Annaliese Klingelhöfer
Dr. Heinz-Georg Aumann MBA.
Arzu Wieloch-Röhrdanz
Julie Mentzel
Hans Misicher
Mercedes Kobelt MBA.
Prof. Nuran Sauer B.Sc.
Dr. Siegfried Heinz B.Eng.
Hannelore Rädel-Keudel
Andrea Wulf
Günther Mude B.A.
Univ.Prof. Alexandros Junk
Gusti Wagenknecht
Cilli Heintze
Marica Walter
Luka Binner
Aloisia Faust
Marzena Neuschäfer
Hedi Butte-Neuschäfer
Leonid Mühle
Dipl.-Ing. Nathalie Radisch
Ing. Louis Eckbauer B.Eng.
Oda Barkholz
Marcella Ehlert
Aneta Schlosser-Köster
Frau Tatiana Hande B.Sc.
Bruno Henschel
Antonius Käster
Helmtrud Börner B.A.
Dr. Vitus Franke
Prof. Sahin Kreusel
Joseph Austermühle
Fernando Tschentscher-Schacht
Svenja Salz
Antonia Köster B.A.
Metin Hande
Ralf-Peter Gute
Dipl.-Ing. Fred Meister
Theda Stumpf B.Eng.
Tilo Hande
Friedl Atzler-Süßebier
Prof. Hermann Josef Söding
Elke Huhn
Gerard Scholl
Irene Gotthard-Hoffmann
Irmtraut Mülichen B.A.
Walentina Eckbauer
Frau Mira Klemm
Anni Kraus
Bertha Köhler
Lena Wende
Monja Siering
Ladislaus Hande
Dietlinde Söding
Dipl.-Ing. Wanda Dussen van
Ansgar Seidel
Michail Pechel
Gottfried Keudel MBA.
Meral Eberhardt B.A.
Dogan Rogge
Pia Fliegner
Erich Putz
Babett Adler
Augusta Beer
Ing. Gordana Bruder MBA.
Karin Beckmann
Herr Hans Rogge
Hans-H. Naser
Marlen Weihmann-Trub
Carmen Berger
Berta Hörle-Börner
Dipl.-Ing. Utz Adler B.A.
Dr. Sonia Hornich B.Eng.
Prof. Liane Jungfer
Miodrag Dörr-Austermühle
Johann Baum
Herr Ilhan Tröst B.A.
Adriane Heinz-Metz
Univ.Prof. Friedl Tlustek
Oscar Nerger
Osman Schäfer
Diether Vogt B.A.
Stephanie Dörr-Bärer
Elena Ditschlerin
Ing. Janin Winkler MBA.
Gundula Vollbrecht
Francoise Dippel B.Eng.
Ingo Heinz
Ronald Stiebitz
Wibke Tschentscher-Wulf
Michelle Klingelhöfer B.Eng.
Ing. Konstantin Gerlach B.A.
Ing. Eleonora Holzapfel
Torben Hartung
Berend Rörricht
Ing. Romuald Roht B.Sc.
Herr Frieder Wulff B.Sc.
Frau Anna-Luise Sontag
Liesa Sauer
Jurij Bärer
Dr. Gerold Dörschner
Carla Hecker
Wilfriede Misicher
Annegrete Jüttner
Franz Josef Flantz
Gabriele Käster
Monique Stroh
Wilfried Radisch
Dr. Marie-Luise Klingelhöfer B.Eng.
Ing. Ivonne Nerger
Nina Putz-Ritter
Burckhard Mende
Emmy Bohnbach
Ludwina Fritsch
Gregor Jungfer
Irmengard Jüttner B.Eng.
Raisa Scholtz
Celal Seifert
Olaf Weinhage
Canan Berger-Hellwig
Prof. Anica Haering B.A.
Jeannine Heinz-Tlustek
Dogan Bolander
Annegrete Pergande
Abram Gunpf
Oscar Junitz
Stefano Wagenknecht
Prof. Trude Schäfer MBA.
Milos Knappe-Scholz
Hans Georg Niemeier
Ernst-August Beyer
Fredy Birnbaum-Kensy
Clarissa Wieloch
Matthäus Hübel
Ilka Lachmann
Gerhart Karz
Angelo Schmidtke
Edelbert Stey-Scholz
Hans-Wolfgang Harloff
Knut Jacob
Silva Plath
Mariusz Stadelmann B.Sc.
Mara Vollbrecht B.A.
Friedlinde Sauer
Sina Mende
Univ.Prof. Manuela Heinrich
Gunnar Hornig
Gotthard Löwer
Dr. Karl-Ludwig Stoll MBA.
Tim Sorgatz
Dipl.-Ing. Franz Reising
Edda Gertz B.Eng.
Ariane Roskoth
Rene Wernecke
Ljiljana Löwer B.A.
Dipl.-Ing. Ingolf Krein
Wladimir Karge
Dipl.-Ing. Hans-Günther Schuster
Hans-J. Trapp-Koch II
Marlis Rogge B.Sc.
Liesbeth Koch II
Frau Therese Henk B.A.
Univ.Prof. Alexandre Schottin
Cemal Trapp
Dipl.-Ing. Rigo van der Dussen B.Eng.
Franz Ortmann B.Eng.
Torben Roskoth-Wilmsen
Ronny Dippel
Prof. Oswald Ehlert MBA.
Lutz Wagenknecht-Gotthard
Henni Keudel B.Sc.
Iris Kraushaar B.Sc.
Prof. Folker Budig
Vinko Reuter
Eckard Textor
Dr. Mechthilde Hellwig
Herr Jerzy Drub
Waltraud Trapp-Pechel
Dr. Eberhardt Adolph B.Eng.
Fernando Reising
Irmtraud Freudenberger
Lilli Atzler
Hannes Patberg
Karlfried Müller
Univ.Prof. Damian Sorgatz B.Eng.
Gunda Warmer
Kati Süßebier
Prof. Ruthild Nette B.A.
Emanuel Schinke B.Sc.
Yusuf Sontag
Klaus-Ulrich Gude
Benita Juncken
Else Gröttner
Dittmar Graf
Milos Biggen
Laurenz Siering-Kallert
Prof. Sylvio Gumprich
Sieghard Hahn
Natalie Werner
Dipl.-Ing. Hardy Kohl
Katherina Ruppert
Dr. Gerard Reichmann MBA.
Stilla Dobes
Teresa Schönland
Chantal Kramer
Francesco Nerger
Franz-Josef Kohl
Senta Hiller
Ing. Zoltan Dobes B.A.
Ing. Felicia Dörschner B.Sc.
Ing. Annelise Nette B.Eng.
Stjepan Schmidtke
Franjo Löffler B.Eng.
Kordula Lange
Prof. John Jessel
Wilma Drub B.Eng.
Ansgar Hande
Klaus-D. Zänker-Hein
Hans-Adolf Mosemann B.A.
Leopold Jungfer
Dipl.-Ing. Julian Mühle
Nicole Hoffmann
Stephanie Beer
Hans-Günther Kohl B.Eng.
Ing. Vesna Kroker B.Eng.
Julie Schweitzer
Franz-Josef Etzold
Prof. Aribert Eberhardt B.Sc.
Lucie Trüb-Schmiedt
Hans-Karl Rust MBA.
Mariusz Baum
Folker Otto MBA.
Jörgen Putz B.A.
Hüseyin Wulf-Schmidt
Marie-Theres Trupp
Hasso Renner
Ahmet Thies
Remo Köhler
Maria Hellwig
Marika Zimmer
Rene Henck
Ing. Kläre Radisch
Aloys Trupp
Ing. Sina Johann MBA.
Rüdiger Geisler
Alexandros Ernst
Heinz Dieter Zirme
Dipl.-Ing. Augusta Lachmann B.A.
Liliana Zorbach MBA.
Ing. Istvan Finke
Sigfried Franke B.Sc.
Prof. Klaus-Ulrich Boucsein MBA.
Angelique Kruschwitz
Frau Annita Beckmann
Herr Mirko Häring B.Sc.
Univ.Prof. Marko Schmiedecke MBA.
Regina Reuter
Dipl.-Ing. Friedrich Hiller B.Eng.
Frau Kirsten Boucsein
Bogdan Pohl
Prof. Axel Davids MBA.
Jonas Adler
Vincenzo Zirme
Jörg Pechel
Dorle Knappe
Ryszard Süßebier-Neureuther
Robin Weinhage B.A.
Krystyna Rust-Baum
Dr. Elwira Hiller
Gunter Schenk B.Sc.
Antonios Zimmer
Prof. Urs Flantz
Florentine Bärer B.A.
Heide-Marie Heß B.A.
Gerdi Neureuther-Mälzer
Christin Hein B.Sc.
Herr Hellmuth Birnbaum B.A.
Dr. Inna Mude MBA.
Frau Annett Tlustek B.Eng.
Frau Krista Rädel B.Sc.
Apostolos Kreusel-Noack
Kai-Uwe Köhler
Herbert Budig
Prof. Conny Klingelhöfer B.Eng.
Zoran Oestrovsky
Dipl.-Ing. Angelique Ortmann
Lena Mitschke
Leon Aumann
Prof. Robert Heintze
Ing. Carmine Kroker
Sandra Scholtz
Aenne Kraus
Calogero Mude-Etzold
Franz-Xaver Scholtz
Dr. Gabriel Freudenberger MBA.
Lotti Rosemann
Polina Hettner
Slobodan Seip
Mandy Rädel
Marek Hesse B.Eng.
Arne Dobes
Prof. Karen Henk MBA.
Zeljko Gieß
Paul Hettner
Anna-Luise Seip-Hofmann
Reinald Gerlach
Frau Notburga Pergande
Ing. Alexandros Vogt MBA.
Kuno Dussen van
Anselm Mühle
Dusan Conradi-Rogner
Univ.Prof. Dorle Fröhlich
Oxana Henschel
Joachim Fischer
Theodoros Grein Groth
Prof. Tina Nohlmans MBA.
Prof. Jan-Peter Schmidt
Hatice Killer-Löwer
Prof. Torsten Geisel B.Sc.
Elfi Harloff
Salvatore Eberhardt-Ring
Murat Meister
Leokadia Karge
Theodor Niemeier
Eva-Maria Zänker
Damian Dörr
Dipl.-Ing. Apollonia Steuer
Helmar Klapp
Eva-Maria Geisler
Hans-Gerd Dietz B.A.
Marta Sontag
Ole Schmidtke
Sonia Säuberlich-Langern
Amanda Eimer B.Sc.
Osman Schmidtke
Anton Stey
Ingbert Binner-Heidrich
Käthe Langern-Jacob
Willfried Mende
Klaudia Seidel
Prof. Irmela Hellwig B.Sc.
Dr. Alois Kraushaar B.Sc.
Pedro Bärer
Mareike Lübs
Ute Hartmann
Herr Gordon Meister
Arzu Stiffel-Drubin
Krista Putz
Irmengard Sauer
Herr Hendrik Fritsch B.Eng.
Celal Pohl
Anna-Lena Wohlgemut
Oskar Beyer
Dietrich Bien
Henriette Bruder
Oliver Biggen
Leonore Schacht
Aurelia Mude
Francisco Budig-Geisler
Malte Schäfer
Constanze Lange
Ismet Kroker
Ing. Dagmar Bohnbach B.Eng.
Tino Niemeier
Bettina Klapp
Leonie Möchlichen MBA.
Dipl.-Ing. Hans-Peter Hertrampf
Pirmin Boucsein MBA.
Frau Inken Zimmer B.Eng.
Nikolaos Ebert-Grein Groth
Ing. Erwin Kobelt B.A.
Stanislav Reuter
Brigitta Walter
Ing. Wladimir Karz MBA.
Othmar Weinhage MBA.
Dr. Hans-Willi Hertrampf MBA.
Jasmina Cichorius-Barth
Eva-Maria Eberth B.A.
Ria Walter
Rosalinde Trupp
Damaris Holsten-Schleich
Gisa Budig-Löwer
Nina Müller B.Eng.
Rosemarie Schmiedecke
Ekaterina Conradi
Frau Hildegunde Koch II
Dr. Annedore Wulff B.Sc.
Klaus Dieter Weimer-Hein
Marina Wilmsen
Herr Gerold Kreusel
Dominik Naser B.A.
Annelore auch Schlauchin-Lorch
Ing. Canan Gutknecht B.A.
Lilli Harloff
Alwin Schaaf
Rainer Gude-Kaul
Irmtrud Textor B.Eng.
Radmila Schomber B.Eng.
Dipl.-Ing. Margarete Schmidt
Nadja Schleich MBA.
Marie-Louise Wulff
Dipl.-Ing. Ingbert Krebs B.Eng.
Traugott Hövel
Mirko Eckbauer
Heribert Ring B.A.
Gereon Trapp
Bogdan Löffler
Ludwina Haase
Thomas Kraushaar
Gundel Dietz
Dajana Gehringer
Dipl.-Ing. Miguel Bärer
Marliese Roht
Ida Hendriks B.A.
Maritta Bien
Eva-Marie Berger MBA.
Prof. Niko Atzler B.Sc.
Ing. Denny Mende
Friedhilde Dobes
Claus Heser B.Sc.
Univ.Prof. Lissi Schomber
Jörg Speer
Univ.Prof. Gottlieb Steuer B.A.
Aleksej Kühnert B.A.
Univ.Prof. Heinz-Dieter Schuster
Heimo Gorlitz B.A.
Ing. Eugenie Kreusel MBA.
Ivana Wilmsen-Gumprich
Herr Simon Fliegner MBA.
Univ.Prof. Maxim Matthäi
Dr. Sükrü Hettner
Julie Mosemann
Kläre Kohl
Dipl.-Ing. Slavica Mälzer
Beate Johann
Frau Ariane Weinhage MBA.
Hartmut Zirme
Monja Weiß
Kaspar Hänel
Inken Hellwig-Hermann
Gesine Graf
Marta Roht B.Sc.
Marit Thanel B.Sc.
Cristina Salz B.Sc.
Änne Wagner
Linus Mans-Röhrdanz
Svetlana Bohlander B.Sc.
Univ.Prof. Hugo Martin
Dipl.-Ing. Gerdi Wende
Hannah Stiffel-Börner
Lars Weller
Maren Heser-Kreusel
Peer Grein Groth-Lange
Jo Dussen van
Klaus Lorch-Graf
Elif Röhricht
Fritz Nerger
Dr. Gerti Scheel
Herr Laurenz Häring
Marica Hamann-Koch
Thomas Weinhold B.Eng.
Dipl.-Ing. Gisa Jüttner B.Sc.
Jennifer Trapp
Ljiljana Henk
Ole Ritter MBA.
Herr Alois Thanel B.Sc.
Dipl.-Ing. Klaus Geisler
Lambert Röhricht-Johann
Ottomar Kraus
Hans-Albert Preiß-Scheel
Thomas Hentschel
Rena Rohleder
Mattias Kensy
Genoveva Gieß
Christina Geisel-Hesse
Ing. Eugenie Birnbaum
Mirjana Schlosser B.Eng.
Rebecca Oderwald
Flora Gotthard
Ing. Liesa Zirme
Daniele Pieper-Käster
Irmtrud Schmiedt B.Sc.
Amalia Wulf
Dr. Matthias Niemeier
Mira Bender
Hansgeorg Kruschwitz
Prof. Irmhild Fritsch
Prof. Lotti Löffler
Attila Rogner
Zeljko Jessel
Caren Neureuther
Ing. Guenther Scholtz B.A.
Adolfine Wilms
Dr. Rolf Walter
Ottomar Hermann
Kristian Rosemann B.Sc.
Henni Wagenknecht B.Sc.
Edward Dippel
Wieslaw Oestrovsky MBA.
Auguste Buchholz B.Sc.
Stavros Ortmann
Gertraud Tröst
Josef Langern
Ing. Heide Winkler
Frau Anne-Katrin Rädel
Frau Cordula Anders B.Eng.
Reinhard Eigenwillig
Roderich Weitzel
Stephanie Weller
Lorenz Sauer
Folkert Barth B.Sc.
Bernard Losekann
Mariola Gnatz
Dajana Ruppert
Gerolf Döring-Buchholz
Frau Alwina Bohnbach B.Eng.
Kamil Hecker-Hahn
Hasso Mans-Buchholz
Rene Hofmann
Wolfgang Beier-Mohaupt
Agnes Tröst
Evangelia Gierschner
Burkhard Holt-Schleich
Prof. Wolf-Dietrich Schweitzer MBA.
Prof. Karl-Heinz Ruppersberger
Gernot Kobelt
Mehdi Bähr B.A.
Janine Söding
Heimo Karge-Freudenberger
Iwan Schleich
Marlen Flantz
Evangelia Röhricht
André Röhrdanz B.A.
Ruth Mangold B.Sc.
Emma Sorgatz-Radisch
Edmund Gnatz-Rogner
Andrei Säuberlich
Hilde Lübs
Mandy Trüb
Edelgard Finke B.Eng.
Frauke Söding
Dipl.-Ing. Engin Jähn B.A.
Jens-Uwe Schlosser
Frithjof van der Dussen
Bernt Jessel
Frau Nurten Huhn
Friedlinde Mühle B.A.
Helge Finke-Wähner
Inge Dietz B.A.
Hans-Bernd Trubin-Klemt
Lars Walter
Herr Bastian Hübel B.A.
Prof. Volker Hermann
Balthasar Klemm
Carina Schaaf
Ljiljana Kostolzin
Charlotte Hecker B.Eng.
Yusuf Seifert
Traude Kuhl
Ing. Eva Kitzmann B.A.
Valeri Mielcarek
Henrik Heidrich
Grete Peukert
Dipl.-Ing. Berend Niemeier
Jann Cichorius
Dr. Lilija Butte B.A.
Gönül Barth-Zobel
Linda Ziegert-Junken
Dipl.-Ing. Edda Barth MBA.
Dr. Gudula Scheuermann
Arif Killer
Dr. Paulina Textor B.A.
Hans-Bernd Eimer-Pechel
Sören Trommler
Pauline Bolzmann
Carina Hövel
Elise Ackermann
Ing. Michel Harloff
Gabor Steuer
Dipl.-Ing. Karina Kambs MBA.
Margaretha Heintze-Henk
Alicja Faust B.Eng.
Corinna Täsche B.A.
Vera Scholl
Pawel Peukert-Rörricht
Ekkehart Bruder
Alexej Liebelt
Univ.Prof. Rotraut Juncken B.A.
Benno Gehringer-Wohlgemut
Hans-Friedrich Heydrich
