Student
Meral Bolnbach
Theda Klotz
Damaris Holsten-Schleich
Olivia Mies
Siglinde Zahn
Jerzy Mende-Wagenknecht
Sina Mende
Dr. Athanasios Noack MBA.
Univ.Prof. Edit Ehlert B.Eng.
Alicia Ring
Marianna Geisler
Herr Gerold Kreusel
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Ing. Loni Gnatz MBA.
Ing. Edward Salz
Hans-Detlef Schleich
Josef Langern
Dipl.-Ing. Iris Stumpf MBA.
Alina Hoffmann
Wencke Riehl-Stoll
Frieda Tintzmann-Löchel
Stavros Vollbrecht-Geißler
Dipl.-Ing. Richard Gröttner B.A.
Harro Keudel
Anette Bien
Janna Kambs
Peter Mitschke
Gertrude Bärer
Rosalinde Trommler
Dipl.-Ing. Friedrich Hiller B.Eng.
Felizitas Werner
Alicja Faust B.Eng.
Günter Fischer
Minna Wernecke-Gumprich
Aloys Ruppert
Hinrich Römer
Prof. Marijan Hoffmann
Sören Spieß
Prof. Sandra Klapp
Marion Weihmann
Sophie Pruschke
Enver Conradi-Hecker
Dr. Jochen Schäfer
Dr. Jonas Fechner
Gabriel Roskoth
Dr. Gerhart Käster
Brita Schwital
Univ.Prof. Inga Hermighausen B.Eng.
Dipl.-Ing. Tomislav Dowerg B.Eng.
Dr. Katalin Knappe B.Eng.
Ekaterina Wieloch
Felicia Binner
Ing. Luisa Oestrovsky
Gabi Gertz
Hans-Gerd Holt
Dr. Burkard Bolzmann B.A.
Heide-Marie Adler B.Eng.
Liliana Davids
Toni Scholl-Scholl
Laurenz Siering-Kallert
Gerda Mans
Prof. Klaus Peter Bruder
Dipl.-Ing. Franz Reising
Osman Schmidtke
Michelle Kitzmann
Woldemar Jacob B.A.
Achim Budig
Helge Schuchhardt
Lutz Pärtzelt
Elly Hande
Univ.Prof. Ladislaus Hande
Ilka Zimmer-Wesack
Marlene Drubin
Carl Mühle-Wulf
Marleen Langern-Oderwald
Ingmar Beckmann
Jorge Killer
Dogan Rogge
Hugo Keudel B.A.
Ing. Sibel Mies
Hanne Gierschner
Ing. Monika Ullrich
Eckard Textor
Valeria Bonbach
Hildburg Dowerg-Pergande
Ing. Gerti Franke
Hanns Ehlert MBA.
Cecilia Stoll
Dipl.-Ing. Dajana Beer
Dipl.-Ing. Nikolaus Conradi MBA.
Elvira Mälzer
Ing. Romuald Roht B.Sc.
Ronny Dippel
Hedi Bärer
Klaus-Dieter Knappe
Alwine Bien
Ing. Czeslaw Geisel
Nick Hermighausen-Krein
Marcella Höfig
Pirmin Boucsein MBA.
Pirmin Wulf B.Sc.
Frau Bianka Henk B.Sc.
Fabienne Holt MBA.
Magarete Schomber
Gert Fischer
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Mark Gute-Faust
Steven Seifert
Carl Jockel
Dusan Eigenwillig
Rene Rohleder
Adrian Killer
Lissi Rust-Metz
Natali Löffler
Lars Ullrich
Ulrich Schlosser
Elisabeth Wieloch-Boucsein
Dr. Aribert Sontag
Änne Schweitzer-Putz
Gudrun Rörricht
Hasso Renner
Tomislav Jopich-van der Dussen
Mareile Meister
Univ.Prof. Franz-Xaver Girschner B.Sc.
Ing. Georgia Rogner
Brit Heidrich B.A.
Thorben Stiebitz
Dr. Wencke Junken B.Eng.
Zenon Pärtzelt
Kunigunda Zimmer
Prof. Kunigunda Pergande MBA.
Saskia Heidrich
Isa Weihmann
Univ.Prof. Rosl Pölitz
Harro Söding
Elena Ditschlerin
Sevim Vollbrecht B.A.
Rosita Wesack B.Sc.
Ing. Zofia Ernst
Edit Rädel
Karl-Hans Schuchhardt-Mohaupt
Birthe Schüler
Annamaria Kade-Fischer
Gilda Rohleder
Stefano Atzler
Johann Reuter
Calogero Heintze
Henny Herrmann
Alessandro Caspar
Carina Hövel
Dr. Gerard Reichmann MBA.
Gisela Weinhold B.Sc.
Reinhard Christoph
Dr. Tony Ditschlerin
Ing. Bianca Paffrath
Francis Rohleder
Dr. Bastian Christoph MBA.
Murat Meister
Emmy Bohnbach
Heribert Kensy
Frau Stefani Hendriks B.A.
Ing. Nikolai Niemeier B.A.
Valerij Schulz B.A.
Dr. Saban Hoffmann B.Eng.
Daniele Hering
Heide-Marie Gunpf B.A.
Dipl.-Ing. Cora Baum
Adelinde Putz
Bert Ortmann
Tillmann Matthäi B.Eng.
Hanne-Lore Kraus
Uli Zimmer
Marcus Langern
Rudolf Weihmann
Hans Jürgen Winkler
Yvette Margraf-Wernecke
Daria Stiffel
Kuno Mälzer B.Eng.
Valeska Blümel B.A.
Georgia Trub
Renato Bolnbach
Karl-Peter Hofmann B.A.
Ottilie Gute
Hans D. Schenk
Meta Eigenwillig
Dipl.-Ing. Hannelore Kostolzin
Annelore auch Schlauchin-Lorch
Wiebke Gehringer
Roman Hauffer
Stefano Koch B.Eng.
Kirsten Stey B.A.
Irina Hahn
Gabi Harloff
Brunhilde Mälzer-Warmer
Carmine Schacht
Ing. Justina Beckmann
Anna-Lena Wohlgemut
Ditmar Trub
Heinrich Dippel
Bernhard Rogner B.Eng.
Gert Naser
Prof. Lilly Schmidtke
Wanda Becker
Karl-Georg Dörschner
Isabell Eberth-Pechel
Geraldine Wagner
Ing. Ahmet Häring
Aenne Mende B.Eng.
Michaela Döhn
Asta Hesse
Annelise Steckel B.Sc.
Karl-Josef Thanel
Ing. Nadeschda Tschentscher B.A.
Milos Kuhl B.Sc.
Dipl.-Ing. Jaroslav Henk
Rotraut Ullrich
Silvio Weimer
Katherina Hesse
Riza Heydrich
Berit Pärtzelt
Francoise Dippel B.Eng.
Prof. Katalin Lindner B.Eng.
Raymond Drub B.Sc.
Dipl.-Ing. Karl-Heinz Rörricht
Anthony Oderwald
Lorenzo Adler-Trommler
Karl-Wilhelm Weiß
Halil Warmer B.Sc.
Murat Förster
Ing. Selim Tintzmann B.A.
Ehrentraud Kroker
Patric Geisler-Becker
Wibke Tschentscher-Wulf
Damian Bauer
Jolanda Henck
Dipl.-Ing. Gloria Heidrich
Helma Zorbach
Univ.Prof. Ivonne Haase B.Sc.
Prof. Hermann Bohlander B.Eng.
Florentine Sölzer-Siering
Dragica Kreusel
Roselinde Metz MBA.
Eveline Putz
Bayram Hering
Peer Hölzenbecher
Emilia Römer
Dorit Dowerg
Marianna Etzler
Pedro Hande B.Sc.
Dina Hartung
Univ.Prof. Canan Zorbach B.Sc.
Adelheid Salz
Hellmut Bruder
Hilma Kuhl
Woldemar Heydrich B.Eng.
Osman Liebelt
Prof. Rudolph Linke
Theresa Hethur-Kabus
Slobodan Hauffer
Univ.Prof. Herta Zänker
Felicitas Biggen
Elfi Herrmann MBA.
Almut Rogge
Herr Frank-Peter Jopich
Kirsten Heydrich
Fredi Jäntsch
Dipl.-Ing. Theobald Knappe B.Eng.
Kordula Dobes-Buchholz
Robert Herrmann
Aribert Kusch
Elke Haase
Alfons Klingelhöfer
Prof. Sylvester Bender
Constantin Kostolzin
Gerhild Beyer
Cathrin Weitzel MBA.
Dr. Hans-Heinrich Kaul B.Eng.
Celal Hettner MBA.
Herr Imre Kohl
Ingried Sauer
Prof. Ludger Kohl MBA.
Nathalie Lehmann
Dipl.-Ing. Fred Meister
Dipl.-Ing. Bodo Junk B.Eng.
Dr. Nadeschda Wulf
Francesca Wieloch
Univ.Prof. Adelbert Zimmer
Klemens Knappe
Natascha Gotthard
Ing. Margareta Hethur B.A.
Stephan Haase MBA.
Univ.Prof. Catharina Neureuther B.Sc.
Frau Beatrix Bonbach B.A.
Ing. Hellmuth Scholl
Victor Fritsch B.Eng.
Univ.Prof. Evelyn Seifert B.A.
Karl Meister B.Eng.
Dorina Dippel
Hellmuth Hörle
Bekir Bonbach
Peter-Michael Spieß
Dipl.-Ing. Hermann-Josef Jüttner
Sofia Austermühle
Norman Fechner
Faruk Birnbaum
Carola Köhler MBA.
Herr Tony Lindner
Herr Jörgen Kruschwitz
Cäcilie Haase
Ekaterina Liebelt
Stanislaus Geißler
Sylvester Bender-Boucsein
Kuno Kreusel
Aloisia Faust
Theodor Bolnbach-Kroker
Mariele Peukert
Thea Schmiedecke
Univ.Prof. Athanasios Drub B.Sc.
Prof. Jan-Peter Schmidt
Frau Wenke Riehl
Ullrich Preiß
Wiebke Hölzenbecher
Dr. Gerti Scheel
Martina Hartung
Antonius Käster
Gordana Hertrampf-Speer
Milos Seifert
Valeska Geisler B.Eng.
Prof. Sylvana Trapp
Olav Gumprich-Täsche
Janos Ehlert
Cosima Johann
Sigmund Hentschel MBA.
Nikolas Hethur MBA.
Henny Stey
Judith Gerlach
Meryem Hänel-Jungfer
Univ.Prof. Meta Rädel
Lore Margraf
Kazim Hörle
Dr. Steven Wohlgemut
Ehrentraud Meyer MBA.
Harro Vogt-Gieß
Irmtraut Süßebier
Tamara Bender MBA.
Renate Bärer
Henryk Textor-Gröttner
Evangelia Meyer-Mielcarek
Frau Karolina Hörle
Konrad Henschel
Herr Gerhardt Benthin
Univ.Prof. Almut Ehlert B.Sc.
Lukas Ditschlerin
Univ.Prof. Heimo Dobes B.A.
Gunar Lindner
Nico Ehlert-Ackermann
Hans-Günther Eimer
Jana Drubin-Heß
Uli Oderwald-Freudenberger
Metin Hande
Univ.Prof. Philip Kranz B.Sc.
Agatha Sager-Geisler
Friedericke Ruppersberger
Sigurd Höfig B.Sc.
Virginia Gorlitz
Michaele Schacht
Dipl.-Ing. Giorgio Drubin B.Eng.
Kaspar Junken
Ing. Philipp Textor
Dipl.-Ing. Annemarie Trommler B.Sc.
Dipl.-Ing. Danuta Stumpf B.Eng.
Anatol Hübel
Dr. Heiderose Kallert B.Eng.
Marta Sontag
Sieghard Kensy
Wiltrud Geißler
Ewald Kreusel
Prof. Tilmann Franke B.Sc.
Uschi Trüb
Dr. Sonia Hornich B.Eng.
Elli Junck
Felicia Flantz-Lehmann
Univ.Prof. Birger Weihmann MBA.
Patrick Pärtzelt-Henck
Jennifer Trapp
Dipl.-Ing. Heinz-Otto Jähn
Univ.Prof. Oscar Lindau MBA.
Anatolij Steinberg
Mohamed Schottin
Jonas Löchel
Ing. Eugenie Kreusel MBA.
Oscar Reinhardt B.A.
Grzegorz Mende B.A.
Herr Filippo Rosemann B.A.
Karolina Hartmann
Paul-Gerhard Hein
Benjamin Stoll
Herr Osman Gerlach B.Sc.
Inga Ruppersberger
Paul-Gerhard Jungfer B.Eng.
Christos Sölzer
Prof. Amir Reising MBA.
Albrecht Metz B.A.
Jo Gnatz
James Nohlmans
Brigitte Geisler
Maximilian Pohl B.A.
Prof. Hans Dieter Kitzmann MBA.
Viktoria Trub-Budig
Udo Grein Groth
Frau Florence Ditschlerin B.Eng.
Norman Ditschlerin MBA.
Fatima Weinhage-Boucsein
Nathalie Langern
Raymund Koch II-Margraf
Mira Bender
Arno Mude
Ing. Carolin Hoffmann
Heidemarie Köhler
Ing. Gerlinde Junken
Thea Bauer
Prof. Woldemar Beier B.A.
Bruni Vogt MBA.
Helmtrud Atzler
Gereon Trapp
Olaf Juncken
Johanna Bohlander
Edmund Caspar B.Sc.
Malte Herrmann-Zänker
Aleksej Kühnert B.A.
Lidija Trapp
Katerina Hauffer
Dr. Marco Scheuermann
Dipl.-Ing. Dursun Köhler
Dorina Weinhold
Hans-Rudolf Dehmel
Lydia Schenk
Romy Etzold
Prof. Gundula Dörr B.Sc.
Pedro Pölitz
Hans-J. Wohlgemut
Ulrike Gierschner-Koch II
Felicia Hamann
Leokadia Putz
Janusz Beckmann
Ilija Lindner
Ing. Baldur Blümel MBA.
Alena Hänel
Ing. Leonore Haering MBA.
Dr. Jorge Kambs B.A.
Ing. Hansgeorg Jockel B.Eng.
Ing. Hans Peter Schenk B.A.
Siegrid Misicher
Elias Gierschner
Vassilios Kuhl B.Sc.
Käthi Naser-Tlustek
Eberhardt Fiebig
Lilly Naser
Artur Briemer
Dorina Dowerg
Katharina Käster MBA.
Aurelia Dussen van MBA.
Ann Mielcarek
Bernhard Becker
Lilo Scholz
Denny Salz
Gudrun Geisler
Thorben Ruppert
Sofie Reichmann
Univ.Prof. Virginia Pechel
Ilonka Lange
Univ.Prof. Karl-Otto Dowerg MBA.
Ferdinand Junck-Hölzenbecher
Daniel Zänker
Frau Ina Schwital B.Sc.
Reni Putz-Tintzmann
Bernt Jessel
Augusta Flantz
Krzysztof Mülichen
Univ.Prof. Gerhardt Dowerg B.Eng.
Klaus Lorch-Graf
Gunnar Weimer
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Andre Metz B.A.
Undine Scheibe-Stey
Hilde Lübs
Prof. Janos Werner B.Eng.
Rigo Conradi
Prof. Felicitas Dörschner
Sebastian Vogt
Branka Speer B.A.
Raymond Löchel-Ziegert
Cordula Mangold
Mathilde Kreusel
Prof. Mechtild Steuer
Dipl.-Ing. Randolf Martin B.A.
Diethard Gude
Hildegunde Stiebitz-Mude
Damaris Zirme
Johanna Stumpf
Brunhild Briemer B.Sc.
Monja Mülichen
Stephanie Kranz B.A.
Tabea Kaul
Ilse Nette
Ing. Carolin Anders
Freddy Hande
Dagobert Bohnbach
Mara Roht
Frau Danielle Junk
Prof. Lieschen Mälzer B.Sc.
Prof. Luzie Killer B.Sc.
Annelore Juncken
Caterina Weinhage
Marika Zänker B.A.
Ralph Binner-Römer
Bernadette Löffler
Alida Trupp
Hans Dieter Fiebig B.Eng.
Univ.Prof. Kevin Juncken B.Eng.
Dipl.-Ing. Pero Ruppersberger B.Sc.
Isidor Zobel-Ritter
Michel Heß
Karl-Ludwig Bolnbach
Abraham Junken-Beckmann
Prof. Karl-Hermann Pieper B.Eng.
Danny auch Schlauchin
Dipl.-Ing. Gülten Hoffmann B.Eng.
Univ.Prof. Halil Staude
Oliver Kohl
Manfred Juncken
Fredy Bachmann B.Eng.
Inna Winkler
Ivo Wesack B.Sc.
Frau Evamaria Geißler
Georg Nerger
Janko Stey MBA.
Frau Suse Zorbach
Gerta Beer
Prof. Rosa Kruschwitz B.Sc.
Dr. Klothilde Lachmann B.A.
Anne-Rose Krause
Ing. Nicolai Textor B.A.
Tino Gnatz
Miroslaw Gieß
Annelore Riehl
Ing. Paul-Heinz Geißler
Ben Täsche
Filippo Jäntsch
Susanna Jäntsch
Ekrem Zänker
Anna-Marie Zorbach
Alena Holzapfel
Torben Schweitzer
Antonietta Lindner MBA.
Filiz Bähr
Sinaida Ruppersberger
Hedda Schönland
Knut Gorlitz
Frau Minna Steinberg B.Sc.
Resi Ullmann
Univ.Prof. Ismet Bloch B.Eng.
Necati Lindner
Klaus-Dieter Wende
Walli Jopich
Juan Briemer-Textor
Janusz Trub-Mühle
Hertha Butte B.Eng.
Prof. Claudia Mude
Erdal Meyer B.A.
Konstantin Eimer-Lehmann
Heinz-Werner Briemer B.A.
Marvin Gröttner MBA.
Hans-Jürgen Klemm
Ing. Canan Gutknecht B.A.
Erna Kensy-Bähr
Dr. Halina Haase
Dipl.-Ing. Sylke Gute B.A.
Sibilla Hofmann
Gundel Dietz
Britt Gorlitz
Friedl Barth
Horst-Dieter Bähr
Friedo Meister-Klemm
Anna Lübs
Herr Klaus Peter Krause B.A.
Univ.Prof. Tilmann Pieper B.Eng.
Luka Stiffel
Ing. Gundolf Steinberg B.Sc.
Dipl.-Ing. Jiri Wesack B.A.
Ivana Wilmsen-Gumprich
Tomasz Preiß
Wulf Fiebig B.A.
Telse Rudolph
Remo Reinhardt
Gunhild Ullmann
Klemens Thies
Miroslawa Rose
Walther Hofmann
Evi Grein Groth
Gloria Lachmann MBA.
Ing. Utz Klemt B.A.
Dipl.-Ing. Till Säuberlich
Univ.Prof. Axel Dörschner B.Sc.
Rebekka Lindau MBA.
Damian Söding
Margaret Kraus
Hans-Henning Scheel
Dr. Bernfried Bärer
Prof. Meral Jüttner MBA.
Juergen Beier B.A.
Wulf Thanel-Scheibe
Univ.Prof. Andrea Gieß B.Eng.
Wilfried Börner
Bernward Losekann MBA.
Janos Winkler B.A.
Daniele Finke
Dr. Annelene Geisel B.Sc.
Anthony Patberg
Annelies Beer
Reinhilde Hesse B.Sc.
Dr. Reza Hering B.Sc.
Klara Blümel
Meryem Sager
Amanda Heinz
Irene Gotthard-Hoffmann
Univ.Prof. Hans-Peter Schmidt MBA.
Kay-Uwe Finke
Frau Belinda Plath B.A.
Julian Dussen van B.Eng.
Dr. Walburga Kobelt B.Eng.
Prof. Volkmar Wirth B.Eng.
Dusan Conradi-Rogner
Gülsen Davids-Heinz
Hans-Martin Kambs
Univ.Prof. Gunter Kaul
Joerg Döhn
Margita Hentschel
Helen Hahn
Hans-Detlef Matthäi
Univ.Prof. Dorit Pechel B.A.
Dana Jäntsch
Thea Dippel
Waltraut Gehringer
Herr Augustin Thies B.A.
Prof. Hansjürgen Langern
Dipl.-Ing. Josip Mies
Alfons Schleich B.A.
Phillip Rosemann-Bachmann
Dipl.-Ing. Berend Niemeier
Frau Cordula Anders B.Eng.
Cornelia Römer
Günter Wiek B.A.
Marian Hande
Univ.Prof. Gesa Loos
Klothilde Blümel B.A.
Ing. Hermine Warmer B.A.
Univ.Prof. Cynthia Löwer
Antonie Ladeck
Dr. Francisco Hänel
Ing. Alban Mohaupt
Vladimir Patberg-Weller
Antonina Wagner
Gotthard Löwer
Ramon Jäntsch-Gertz
Inka Meyer
Univ.Prof. Nikolaus Sölzer B.A.
Annegrete Pergande
Herr Baptist Klotz
Pia Fliegner
Univ.Prof. Henry Wohlgemut B.Eng.
Frau Dora Rosemann B.A.
Tony Hecker
Evangelia Stumpf-Ruppersberger
Birthe Graf
Juan Schweitzer
Ing. Ayse Schacht
Maren Anders
Felicia Löffler
Marleen Austermühle-Tintzmann
Victoria Hiller
Leonardo Klingelhöfer B.Sc.
Dipl.-Ing. Henrike Hörle B.A.
Hans-Ulrich Plath B.A.
Dipl.-Ing. Lidija Pölitz
Leonardo Lehmann
Felicitas Ruppersberger
Jonathan Birnbaum-Stiebitz
Ilija Eckbauer-Steinberg
Ralf-Dieter Riehl B.Eng.
Annie Schlosser
Kai-Uwe Sorgatz
Prof. Henryk Kitzmann
Gert Hölzenbecher B.Sc.
Janina Faust MBA.
Julian Lehmann-Ortmann
Uli Schönland-Trupp
Francisco Trupp
Dipl.-Ing. Cläre Geißler
Lambert Wilmsen
Ioannis Klemt
Corinne Berger
Bernadette Sorgatz
Nikolas Hövel
Fernando Reising
Susan Riehl B.Sc.
Roderich Scholtz
Irmtraud Schönland
Johanna Finke-Ehlert
Marieluise Schulz
Baldur Knappe
Isabell Briemer
Ignatz Börner
Univ.Prof. Theresia Lange MBA.
Maren Roht
Ing. Damaris Bonbach
Ignaz Schottin
Lissi Kohl
Ing. Anna-Maria Stey
Univ.Prof. Pascal Schweitzer
Piotr Schaaf
Ing. Marlene Wirth B.Sc.
Ibrahim Lehmann B.Eng.
Maurice Steckel
Sigfried Franke B.Sc.
Anneli Butte
Jürgen Herrmann-Koch
Polina Ladeck B.A.
Ehrenfried Stiffel
Franz-Peter Preiß B.A.
Katherina Klapp
Jasmina Heuser
Prof. Susanne Rose
Denny Kusch
Geraldine Eckbauer
Prof. Gerd Schenk
Monja Riehl
Valeri Mielcarek
Jakob Seifert
Arzu Ullrich
Steffi Schmiedt B.Sc.
Ing. Willibert Steckel
Arnulf Ullmann
Dorle Schmidtke MBA.
Dipl.-Ing. Karina Kambs MBA.
Frau Edeltraud Radisch B.A.
Bertha Reuter
Mattias Sorgatz-Haase
Orhan Hecker-Heuser
Univ.Prof. Baptist Mende MBA.
Thorsten Ruppersberger
Valerij Weller-Barkholz
Dipl.-Ing. Theda Weinhold B.Eng.
Stefania Möchlichen
Dr. Maren Steckel B.Sc.
Univ.Prof. Gregor Gieß MBA.
Claudius Mude
Philipp Ernst
Herr Mahmoud Schleich B.Sc.
Veronica Benthin
Jolanda Rose
Dr. Herbert Jockel B.Eng.
Univ.Prof. Gundi Koch B.A.
Artur Budig
Mariele Stiffel B.Sc.
Klaus-Werner Bohlander
Karl-Heinrich Jacob
Dr. Gunther Jähn B.A.
Hanspeter Benthin
Franz Josef Flantz
Univ.Prof. Kata Zahn
Rose Henschel
Natalie Neureuther
Albert Hartmann-Lachmann
Henner Schweitzer
Athanasios Jacobi Jäckel
Astrid Dehmel
George Hörle
Egon Ruppersberger B.Sc.
Denny Pechel
Univ.Prof. Undine Becker MBA.
Hans Jörg Köhler
Eduard Ruppersberger
Herr Tomislav Ladeck
Olivia Nerger B.Eng.
Imelda Geißler
Dr. Rudolf Killer B.Sc.
Erik Wirth B.Eng.
Ira Scholz-Pohl
Marcella Franke B.A.
Hans-Detlef Kobelt
Herr Eberhardt Gierschner
Ing. Swen Sorgatz B.Eng.
Deborah Beier
Waltraud Trapp-Pechel
Wibke Pärtzelt-Wieloch
Irmtraud Ladeck
Annerose Kaul
Dipl.-Ing. Mara Otto B.Sc.
Georgine Schinke
Friedericke Käster B.A.
Magdalena Warmer MBA.
Herr Janus Matthäi B.Sc.
Susi Schuchhardt
Mareile Löwer
Ing. Marie-Therese Schleich
Doris Kraushaar
Torsten Schwital-Gude
Milena Weitzel-Steinberg
Linda Ziegert-Junken
Iris Mans
Viola Ackermann
Hanspeter Stiffel
Berndt Mohaupt MBA.
Prof. Heinz-Peter Sager
Maurice Möchlichen
Ingrid Rudolph
Isa Koch
Frau Kunigunda Schaaf B.A.
Nadia Steckel
Univ.Prof. Cord Becker
Ivan Plath
Margarethe Wagenknecht
Stilla Hornig B.A.
Wolf Martin
Augusta Rosemann
Berthold Rudolph
Gloria Mosemann
Dr. Ante Jüttner B.A.
Aynur Bohlander
Dipl.-Ing. Utz Henschel MBA.
Lore Tröst
Osman Schäfer
Jessica Gotthard
Petar Bauer
Prof. Jolanthe Gude
Albrecht Caspar
Bertha Barkholz
Heinz-Joachim Trupp
Iwan Butte B.Sc.
Tim Sorgatz
Ing. Heinz Ehlert
Hajo Thies
Karl-Heinrich Schüler
Univ.Prof. Marko Schmiedecke MBA.
