Student
Marit Thanel B.Sc.
Corinne Koch II
Danny auch Schlauchin
Woldemar Heydrich B.Eng.
Georg Misicher
Dr. Hans Jörg Zobel
Leokadia Oestrovsky
Sergej Dippel
Gotthilf Bohnbach-Seip
Ing. Wolf-Rüdiger Weihmann B.Eng.
Carolin Siering
Anna-Luise Segebahn
Ludwina Fritsch
Sina Mende
Silvester Fischer
Emilie Bolander
Ilias Freudenberger
Beatrice Bender
Gisa Hornig-Geißler
Heide Hesse-Bärer
Leokadia Karge
Gisela Carsten B.Sc.
Stanislav Hoffmann
Monja Weiß
Fabian Pechel-Dippel
Bernt Huhn
Mina Beyer
Sebastian Vogt
Dipl.-Ing. Ilse Heß B.Sc.
Univ.Prof. Cläre Weihmann B.A.
Evangelia Gierschner
Thorben Henk-Mende
Dipl.-Ing. Adriana Geißler
Dr. Jeannine Schleich B.Sc.
Dr. Arzu Martin B.Eng.
Malte Schäfer
Ing. Jonas Schaaf
Ralf-Peter Ebert
Constance Rogge
Alwine Wirth-Klemm
Prof. Jolanthe Gude
Luzie Sager-Gierschner
Ursel Conradi
Ilka Heß
Thilo Patberg
Flora Mühle B.Sc.
Catrin Weller
Jacek Klemt
Mike Krein
Inken Juncken
Clara Rust
Diana Jessel-Geißler
Roswita Atzler
Reinhard Eigenwillig
Univ.Prof. Traudl Mentzel B.Eng.
Enrico Oderwald
Margareta Klingelhöfer
Joachim Höfig
Geza Bloch-Mühle
Prof. Bärbel Ladeck B.Eng.
Klemens Winkler
Dipl.-Ing. Henriette Lindau
Hans-Günther Kohl B.Eng.
Henni Wagenknecht B.Sc.
Univ.Prof. Hans-Rudolf Wohlgemut
Aynur Bohlander
Ing. Marten Hering
Slavko Schüler B.Eng.
Karl-Peter Grein Groth B.Eng.
Gabriela Girschner
Ralph Hellwig-Lachmann
Ing. Zbigniew Warmer MBA.
Diana Haering
Henning Fechner
Dr. Auguste Sager
Francesco Nerger
Evi Heuser
Ing. Janin Winkler MBA.
Inka Meyer
Helma Schaaf B.A.
Herr Mario Thanel
Hellmut Hein-Gnatz
Herta Weitzel
Alena Holzapfel
Nadeshda Mentzel
Herr Gunther Flantz
Anette Bien
Elvira Cichorius
Alena Steuer
Herr Roderich Hauffer
Gudrun Geisler
Desiree Köster
Utz Christoph-Henck
Irmingard Reising
Agathe Jäntsch-Käster
Hans Peter Beckmann
Dipl.-Ing. Daniele Geißler
Olivia Mies
Herr Hans-Martin Heuser
Kira Hartmann B.Sc.
Harold Scheibe
Attila Atzler
Cosimo Löffler B.Sc.
Senta Wernecke B.Sc.
Univ.Prof. Philippe Thies B.Eng.
Marit Eberth
Geraldine Reising MBA.
Alicja Faust B.Eng.
Catrin Ziegert-Meyer
Hans Kostolzin-Ditschlerin
Dipl.-Ing. Annemarie Trommler B.Sc.
Marisa Hartmann-Kusch
Danilo Losekann
Mijo Jessel B.A.
Dipl.-Ing. Detlef Trommler
Andrey Lorch
Dipl.-Ing. Lidija Pölitz
Ing. Ivo Weinhold
Marijan Huhn
Gabi Gertz
Frida Süßebier
Jacek Täsche
Frau Raissa Ruppersberger B.Eng.
Gitte Buchholz
Ellen Hahn-Spieß
Dr. Denise Girschner B.Sc.
Erol Lindner
Ingbert Birnbaum-Ring
Bruni Meister B.Sc.
Ernst-August Gunpf
Univ.Prof. Metin Martin B.Sc.
Horst-Günter Renner
Isa Knappe-Biggen
Elsa Preiß
Ann-Kathrin Mühle
Anett Bien-Schuster
Harri Heuser
Günter Schottin
Kunigunda Fischer
Ricarda Warmer B.A.
Ing. Zoltan Dobes B.A.
Oda Berger
Dietmar Lindau
Gunter Grein Groth B.Eng.
Käthe Briemer MBA.
Dipl.-Ing. Ismet Käster B.Eng.
Lars Ullrich
Ludmilla Pieper
Diedrich Lachmann-Oestrovsky
Dipl.-Ing. Nathalie Bender
Berthold Rohleder
Nurettin Dippel
Harriet Ullmann
Isa Weihmann
Prof. Tilmann Franke B.Sc.
Angelica Klemt
Rolf-Dieter Jacobi Jäckel-Nerger
Frau Raissa Radisch B.Eng.
Christiane Blümel
Janin Hamann
Margita Schleich-Becker
Brian Hölzenbecher
Svea Hartung B.Eng.
Stephan Stolze-Holt
Friedl Barth
Kirstin Kusch-Meister
Bertold Schenk
Martina Salz-Sorgatz
Dr. Gero Röhricht B.Eng.
Silke Scheuermann B.Sc.
Mercedes Blümel
Kai-Uwe Sorgatz
Univ.Prof. Dorle Röhrdanz B.A.
Ing. Antonius Jacobi Jäckel MBA.
Christiana Pohl
Krzysztof Mülichen
Louis Geisel
Vitali Junken
Lore Tröst
Slavko Fliegner B.Sc.
Jiri Bärer
Natali Löffler
Hermann Josef Schmiedecke
Steffen Schlosser
Concetta Wohlgemut
Urszula Fliegner
Kazim Hörle
Dr. Sandra Mangold B.Sc.
Ing. Hansgeorg Jockel B.Eng.
Willy Kallert
Rosa Pieper B.Eng.
Janina Faust MBA.
Susann Haering
Alexandre Caspar
Ayse Thies B.Eng.
Dipl.-Ing. Ingbert Krebs B.Eng.
Agnes Tröst
Stjepan Hofmann-Hethur
Vinko Schmiedecke-Hendriks
Rene Berger-Jäkel
Dörte Nette
Waltraud Hentschel
Marco Kostolzin-Bruder
Nicolaus Seifert B.A.
Frau Elfi Winkler MBA.
Cäcilie Roht-Misicher
Arif Pergande-Wagenknecht
Prof. Hubert Heß
Rolf-Peter Reising B.Sc.
Ellinor Schmidtke B.Sc.
Dorothea Weihmann
Cordula Hornig
Jonas Löchel
Hanife Ullrich
Frau Margitta Staude
Marek Adler
Ralph Schottin-Graf
Prof. Thekla Hahn
Reimer Hethur-Gutknecht
Sylke Binner B.A.
Herr Ansgar Gnatz
Ing. Ben Lindau MBA.
Lena Wende
Ing. Leni Rosenow B.Eng.
Tomas Säuberlich B.A.
Sandor Riehl
Dr. Samuel Tröst
Herr Hendrik Fritsch B.Eng.
Lena Holzapfel
Friedl Atzler-Süßebier
Irmhild Lorch
Gunnar Weimer
Ulrike Schleich-Süßebier
Margaretha Heintze-Henk
Uli Schönland-Trupp
Sibylle Jäntsch
Irmtrud Textor B.Eng.
Sina Wulff-Dussen van
Heinz-Werner Schleich-Mies
Friedlinde Meyer
Prof. Natalja Käster MBA.
Karl-Ludwig Bolnbach
Reimar Hahn-Neureuther
Dipl.-Ing. Elisabeth Wiek
Heidemarie Kreusel
Dipl.-Ing. Matteo Baum
Zdravko Jacob
Isabel Rose
Michaele Schwital
Zofia Gumprich
Christopher Fröhlich
Fredo Kühnert-Köhler
Hanne-Lore Kraus
Hans-Gerd Jockel
Dr. Lidija Metz
Ing. Nadeschda Bohlander
Isabell Kroker B.Eng.
Henryk Henk
Dipl.-Ing. Bernhardine Heß
Jaroslaw Eckbauer
Ingo Löffler
Hülya Stadelmann
Michaela Loos-Mentzel
Susann Mielcarek
Josefa Hauffer
Frau Ivanka Killer MBA.
Margareta Lübs-Vollbrecht
Gilbert Steuer-Rosemann
Maria Bruder
Univ.Prof. Ron Rörricht
Erdal Bähr
Maya Haering-Becker
Liesbeth Koch II
Salvatore Eberhardt-Ring
Ulf Dörschner
Ing. Tilman Kitzmann
Anatolij Jüttner-Bauer
Olav Thies
Ing. Galina Schenk
Magdalene Patberg-Mosemann
Stanislav Stey
Emanuel Holsten
Carl Jockel
Antonios Klemm B.Sc.
Evelyn Ortmann
Maren Scholz-Bohlander
Notburga Heuser
Alfredo Bolzmann B.A.
Juliane Mentzel-Ziegert
Dragan Trub
Frau Christiane Zänker B.A.
Kasimir Lindau
Roy Schmidt B.Eng.
Karla Etzler-Metz
Justine Patberg-Metz
Tibor Briemer
Kristin Jacob
Desiree Gierschner B.Eng.
Friedhold Löwer-Ebert
Doreen Hornig
Prof. Hans Dieter Kitzmann MBA.
Olivia Thies B.A.
Ben Zahn
Wieslaw Lachmann
Dr. Halina Haase
Gereon Jacob
Adeline Hein-Metz
Bertha Reuter
Gundula Vollbrecht
Ing. Romuald Kreusel B.A.
Hiltrud Pergande
Frau Jane Sauer
Marta Eigenwillig-Hörle
Univ.Prof. Anika Pärtzelt MBA.
Frau Julie Wieloch
Hedi Gumprich
Joanna Christoph
Hans Dieter Kallert
Kati Koch II
Mohamed Heydrich
Karola Zorbach B.Eng.
Hardy Weller
Stilla Köhler
Frau Swantje Heinrich B.A.
Lotti Mosemann
Lieselotte Dussen van MBA.
Ing. Toralf Wiek
Irmgard Liebelt
Kirsten Stey B.A.
Alma Flantz MBA.
Günter Fischer
Edelgard Gnatz-Dobes
Gerfried Dippel
Natalie Bender MBA.
Folkert Reinhardt B.Sc.
Virginia Gieß
Dr. Reinhart Hecker B.A.
Frithjof Gertz
Stanislaus Davids MBA.
Hans-Uwe Noack-Fröhlich
Concetta Karge
Heinz-Josef Conradi-Klapp
Fred Wende
Samir Wähner-Butte
Tatiana Pechel
Univ.Prof. Luka Mende
Frederik Bohlander
Wilfriede Blümel
Evangelos Hartmann B.A.
Susan Seip MBA.
Bernhardine Ruppersberger
Antonia Köster B.A.
Herr Jonathan Hänel MBA.
Alicja Stiffel
Eckhard Weitzel
Christos Beier
Alois Römer-Becker
Bernard Losekann
Bertold Stadelmann
Ing. Carla Ziegert B.Eng.
Dr. Heiderose Kallert B.Eng.
Elmar Fröhlich
Lena Mitschke
Herr Hellmuth Birnbaum B.A.
Valeska Geisler B.Eng.
Univ.Prof. Nurten Neuschäfer MBA.
Univ.Prof. Irene Budig
Prof. Andrzej Gorlitz
Irmingard Meyer MBA.
Clara Gehringer
Heinz-Gerd Beyer
Tomislav Jopich-van der Dussen
Jolanda Jopich
Prof. Marius Herrmann
Anna-Luise Seip-Hofmann
Dipl.-Ing. Tim Jäntsch B.Eng.
Siegrun Reinhardt
Holger Gröttner B.Eng.
Leo Roskoth B.Sc.
Jost Lindau
Univ.Prof. Ludwig Jähn B.A.
Norman Fechner
Dipl.-Ing. Edmund Franke
Rosmarie Kambs MBA.
Hedwig Briemer
Karl-Dieter Segebahn-Köster
Hilma Kuhl
Prof. Sibel Mälzer MBA.
Roger Wagenknecht
Gerhardt Barkholz B.Eng.
Baldur Metz
Esther Hoffmann-Hermighausen
Herr Thorsten Hartmann B.Eng.
Marianna Etzler
Karl-Ernst Reuter
Antonietta Putz B.Eng.
Ing. Mike Stolze
Hedi Bärer
Trude Scholtz B.A.
Frau Lilli Möchlichen MBA.
Wladimir Karge
Birte Gröttner MBA.
Nicolas Möchlichen MBA.
Clara Stroh
Milica Huhn
Klaus Dieter Weimer-Hein
Herr Filippo Rosemann B.A.
Yvette Dietz
Univ.Prof. Bela Kraus
Pedro Hande B.Sc.
Harro Söding
Prof. Lutz Adolph
Ludwig Reinhardt
Anne-Katrin Rogge
Janusz Trub-Mühle
Adolfine Wilms
Norman Ditschlerin MBA.
Univ.Prof. Hans-Eberhard Bauer
Walentina auch Schlauchin-Albers
Marek Schenk B.A.
Cordula Schmiedecke-Wilms
Vladimir Patberg-Weller
Agatha Kostolzin
Wenzel Drubin
Aysel Löchel
Mia Ullmann
Gaetano Söding
Prof. Gertraud Drewes
Ing. Christiana Seip
Dr. Marliese Junck B.Sc.
Hans D. Schenk
Theodor Mangold
Carina Schaaf
Käthe Hande
Hans-Adolf Römer-Jäntsch
Halil Löwer
Pero Scheuermann
Burghard Albers-Berger
Arnd Jacobi Jäckel
Rolf-Dieter Flantz B.Eng.
Luisa Seip B.Sc.
Benno Ritter
Attila Rogner
Annett Mies-Hellwig
Meinhard Schuster
Halina Römer-Hartung
Anneliese Gnatz
Elenore Hofmann-Aumann
Dr. Annelene Geisel B.Sc.
Pero Römer
Heimo Gorlitz B.A.
Univ.Prof. Tomasz Atzler B.Sc.
Marga Scholz
Frau Chantal Ebert B.Eng.
Diana Weitzel
Univ.Prof. Gundi Koch B.A.
Bekir Bonbach
Oskar Rosemann
Univ.Prof. Herta Zänker
Dipl.-Ing. Julian Mühle
Vera Losekann
Dipl.-Ing. Ildiko Löffler B.A.
Herr Valerij Heydrich
Herr Jonathan Beckmann B.A.
Franz Josef Nette-Werner
Kai-Uwe Mitschke
Hanne-Lore Johann
Ing. Margarete auch Schlauchin MBA.
Florian Weimer
Herr Vincenzo Liebelt
Prof. Sofie Gröttner
Felicia Löffler
Kay-Uwe Ziegert
Ljiljana Rädel
Ludmila Dobes B.A.
Henry Austermühle
Janusz Killer
Gino Häring
Herr Hans-Ludwig Steinberg
Univ.Prof. Inga Hermighausen B.Eng.
Dagobert Sorgatz
Klaus-Michael Mälzer
Slobodan Hauffer
Gudula Holzapfel
Elli Kuhl B.Eng.
Rafael Blümel
Patrizia Spieß
Mahmoud Ditschlerin-Trüb
Dusan Ruppersberger B.Sc.
Konstanze Mühle
Felicitas Ruppersberger
Ing. Mahmoud Becker
Sylvester Bender-Boucsein
Korbinian Bolander
Dr. Czeslaw Neureuther
Ing. Jo Caspar
Dorina Dowerg
Denny Kusch
Jolanthe Jessel
Univ.Prof. Friedlinde Bien MBA.
Anneli Schleich-Ullmann
Wieland Hethur
Maren Heser-Kreusel
Margaret Kraus
Heidrun Stiebitz
Ing. Marcel Gute
Jens-Uwe Käster
Dipl.-Ing. Betty Niemeier MBA.
Luciano Biggen
Philipp Lorch
Curt Jopich
Kunigunda Reising
Hannes Meyer
Waltrud Stroh
Cosimo Girschner
Eckehard Mude
Wiebke Gehringer
Pirmin Wulf B.Sc.
Ing. Walli Bolander MBA.
Univ.Prof. Heidelinde Jopich B.Sc.
Anto Niemeier
Rosa Heuser
Ingmar Beckmann
Viola Sager
Marcel Stumpf
Ilija Fischer
Gabor Steuer
Kurt Thanel
Milica Reichmann
Moritz Spieß
Traudl Christoph
Univ.Prof. Viktoria Seifert
Dipl.-Ing. Giuseppina Etzler B.Sc.
Suzanne Holzapfel
Fatma Möchlichen
Inna Hande
Fabienne Holt MBA.
Dr. Silvester Krein B.Sc.
Heinrich Rogner
Reimund Bohlander
Jann Schleich
Marcella Holzapfel
Prof. Klaus-Ulrich Boucsein MBA.
Dr. Fedor Plath B.Sc.
Susanne Etzold
Reza Misicher
Meral Bolnbach
Micha Schottin
Margareta Losekann
Ing. Bianka Bärer MBA.
Klaudia Seidel
Judith Meyer
Benita Juncken
Dr. Luciano Ortmann
Hanns Ehlert MBA.
Reimar Klemm MBA.
Käthi Lübs
Emanuel Schinke B.Sc.
Dolores Atzler B.A.
Dr. Gudula Scheuermann
Karl-Otto Kostolzin
Willibald Ziegert-Siering
Frau Ariane Weinhage MBA.
Olaf Hethur
Patrick Wohlgemut
Ronny Scholtz
Heidelore Stolze
Univ.Prof. Lucia Zobel
Philip Mangold
Edelbert Stey-Scholz
Dr. Friedbert Bauer B.Eng.
Herr Klaus Peter Krause B.A.
Herr Anton Mohaupt B.A.
Marvin Gröttner MBA.
Heribert Kensy
Ing. Wieslaw Kobelt B.Sc.
Gert Juncken
Jonas Beyer
Berndt Barkholz
Frau Zdenka Zimmer
Rupert Kallert
Gretchen Pohl
Dipl.-Ing. Lotte Austermühle B.A.
Teresa Schönland
Dipl.-Ing. Gertraut Stolze
Frau Renate Geisler
Dina Koch
Klaus-Ulrich Gude
Stjepan Schmidtke
Zehra Ernst-Bohnbach
Prof. Guenter Mosemann
Peer Hölzenbecher
Mehmet Sauer
Burkard Schlosser
Nikolaos Ebert-Grein Groth
Pawel Schlosser
Univ.Prof. Ivanka Hübel
Karoline Carsten
Prof. Karl-Hermann Pieper B.Eng.
Frau Käthi Hamann B.Eng.
Gabriel Klotz
Evi Grein Groth
Karla Conradi
Zofia Schönland B.Sc.
Elizabeth Budig
Ute Hartmann
Leopold Jungfer
Angela Hamann
Inna Winkler
Dr. Lilija Dowerg MBA.
Univ.Prof. Undine Becker MBA.
Marvin Kabus B.A.
Valentina Weihmann-Zahn
Steven Seifert
Prof. Goran Sölzer MBA.
Nadja Ladeck B.Sc.
Dipl.-Ing. Gloria Heidrich
Franka Mitschke B.Sc.
Lukas Gierschner
Katharine Mühle
Maria Hellwig
Bernward Fröhlich
Marina Wilmsen
Mary Hofmann B.A.
Nico Ehlert-Ackermann
Malgorzata Pieper
Ferdinand Junitz B.Eng.
Andre Mülichen-Scholz
Univ.Prof. Harro Weller
Oliver Schwital
Maren Bruder
Virginia Gorlitz
Angela Weimer B.A.
Magdalene Hering MBA.
Univ.Prof. Vadim Vollbrecht B.A.
Albrecht Seifert B.Sc.
Guenter Lachmann
Univ.Prof. Franz-Xaver Girschner B.Sc.
Anselm Dowerg
Sara Heuser
Clemens Kabus
Tomislav Girschner
Stilla Heuser
Georgine Schinke
Hellmuth Hörle
Dr. Heide Jockel B.Sc.
Dr. Jost Hiller B.Sc.
Anatoli Anders
Annelene Reuter B.A.
Dr. Irmtraut Gnatz B.Eng.
Ernest Tlustek
Knut Gorlitz
Herr Tom Täsche
Karl-Josef Schottin-Hoffmann
Götz Hofmann B.A.
Prof. Gesine Lange
Folker Otto
Ekkehart Kreusel
Irmi Schacht
Frau Gülay Rogner B.A.
Dipl.-Ing. Magrit Junck
Hans-Michael Rudolph
Hans-Detlef Matthäi
Ing. Heinz-Josef Hoffmann
Sybilla Eigenwillig
Thea Dippel
Univ.Prof. Liliana Drub
Hans-Christian Trüb
Abram Eckbauer B.A.
Christin Hein B.Sc.
Dipl.-Ing. Hans-Gerhard Schleich
Univ.Prof. Edmund Mentzel B.Eng.
Klara Schlosser
Nevenka Hörle MBA.
Dipl.-Ing. Freya Höfig
Heribert Römer-Lindau
Hulda Seidel-Carsten
Undine Lindner
Carsten Jüttner B.Eng.
Recep Hecker
Berndt Bähr
Karl-Heinz Rohleder
Auguste Lorch
Ioannis Klemt
Mikhail Bauer
Jessika Schacht
Herr Wladimir Bolnbach
Reinald Gerlach
Gerhart Karz
Herr Dimitri Mohaupt B.A.
Carolin Stumpf B.Eng.
Dr. Inna Mude MBA.
Renate Franke B.A.
Alwin Schaaf
Herr Andrej Rose
Cord Mende B.Eng.
Prof. Rudolph Linke
Rahel Kreusel
Gerwin Salz
Urszula Rudolph
Marlen Schenk-Schuchhardt
Dr. Elif Peukert B.Eng.
Veli Junitz
Bianka Schmidt
Zeljko Baum
Raymond Römer
Hans-Jörg Lachmann
Jasmina Rädel
Heinz-Wilhelm Kuhl
Dipl.-Ing. Oskar Vogt B.A.
Frank-Peter Kambs
Frau Emilia Pruschke B.A.
Georg Nerger
Jörg Haase-Röhricht
Katharina Käster MBA.
Univ.Prof. Beate Eberth
Lioba Söding
Jessica Schottin
Franz-Peter Benthin-Reichmann
Marianne Killer
Aenne Mende B.Eng.
Peter-Michael Spieß
Branka Hering
Janko Margraf MBA.
Janett Patberg
Bertold Bloch-Beckmann
Simone Jacobi Jäckel B.A.
Prof. Britt Drub B.Eng.
Miguel Gehringer-Reising
Ing. Tanja Scheibe B.Eng.
Camilla Wiek
Marga Vogt
Zenta Mende
Dipl.-Ing. Babette Bauer B.Sc.
Anny Zirme
Prof. Liane Jungfer
Irmtraut Ortmann MBA.
Undine Jopich
Karl Meister B.Eng.
Radmila Linke MBA.
Ing. Gertraude Holsten B.Sc.
Emilia Römer
Patrick Pärtzelt-Henck
Angelina Noack-Wagenknecht
Peggy Haering B.Sc.
Ahmed Freudenberger B.Sc.
Zenon Pärtzelt
Tülay Trapp
Ariane Roskoth
Alina Finke
Sergio Kraushaar-Anders
Siegmar Kramer
Horst-Peter Ritter
Carmela Lindau
Liesa Wilms B.A.
Christiane Mentzel
Herr Valentin Warmer
Ing. Elisabet Jopich B.Sc.
Erdmute Mosemann
Alla Rohleder
Prof. John Jessel
Friedo Ritter
Lieschen Röhricht MBA.
Monja Siering
Gerta Stey-Klemm
Jelena Löffler
Ing. Nadeschda Tschentscher B.A.
Dr. Aysel Kohl
Franz Josef Girschner
Bogdan Steckel B.Eng.
Gesa Jäntsch
Katalin Thanel-Kitzmann
Evangelia Stumpf-Ruppersberger
Elke Huhn
Univ.Prof. Cecilia Scholl MBA.
Prof. Falko Trapp B.Eng.
Lotte Kusch
Mercedes Sauer
Friedericke Ring MBA.
Loni Trubin
Hans-Joachim Häring
Piotr Schaaf
Björn Steckel B.Eng.
Hansjoachim Kraus-Beer
Univ.Prof. Betty Conradi B.A.
Ilias Wagner
Edeltraud Bärer
Dittmar Berger
Magdalena Löwer B.Eng.
Ing. Roman Tröst
Univ.Prof. Gesa Loos
Univ.Prof. Cord Becker
Laura Mühle
Alexander Hörle
Ljubica Wohlgemut-Schmidt
Elfi Roht
Hellmuth Söding-Bonbach
Marie-Luise Rogner
Eleni Mühle MBA.
Marlis Rogge B.Sc.
Ing. Daria Lorch B.A.
Henning Scholl
Edda Junck-Eimer
Karl-Heinrich Kraus B.A.
Kriemhild Warmer
Aribert Kusch
Kristina Wernecke
Sina Patberg
Slavica Vollbrecht
Dr. Hildegund Söding B.A.
Marie-Luise Staude-Käster
Ingried Bähr
Univ.Prof. Anna-Luise Faust
Siegrun Schomber
Prof. Marian Gerlach
Jeanette Speer
Sandy Zimmer
Mirko Bolander
Vitus Pruschke B.A.
Klemens Knappe
Karl-Friedrich Kitzmann
Annie Harloff B.A.
Leni Heß
Eileen Hartung
Hans-Erich Mende
Otfried Ortmann
Silva Hiller MBA.
Justina Neureuther
Dr. Thekla Lindau B.Sc.
Frau Herlinde Kade B.A.
Ing. Stella Wagner
Engin Johann-Weihmann
Ing. Michel Harloff
Jörg-Peter Jüttner-Winkler
Gerhild Gude
Rudi Schacht
Laila Kranz
Josip Stey
Brita Kaul
Jessica Stumpf
Stjepan Wesack-Winkler
Anatolij Trub
Herr Augustin Karge B.Eng.
Senta Hiller
Herr Arnulf Kohl
Wendelin Zorbach MBA.
Mark Lindau
Inge Kabus
Elli Junck
Edelgard Finke B.Eng.
Lilli Meyer-Reuter
Rosina Otto
Irmtrud Johann
Giuseppe Trupp
Rüdiger Heinrich
David Faust-Holsten
Carla Schacht
Dino Kusch-Hiller
Krista Bohnbach
Evamaria Berger
Katharine Mohaupt-Heuser
Prof. Kaspar Mosemann
Daria Liebelt
Marlen Flantz
Nuri Jopich
Hans-Helmut Binner B.Sc.
Marie Henk B.Sc.
Erich Klotz B.Sc.
Univ.Prof. Blanka Linke B.Eng.
Hildegund Gunpf
Malte Davids
Hermann Josef Junck
Hagen Weimer
Hilmar Hörle
Karlheinz Stahr
Sarah Beckmann
Univ.Prof. Sybilla Gehringer
Gislinde Klapp B.Sc.
Timm Schleich
Babett Süßebier B.A.
Johann Beer
Paul Carsten
Prof. Liliana Klemm MBA.
Univ.Prof. Oscar Lindau MBA.
Karl Heinz Hörle
Gerhild Stiffel
Wilfriede Misicher
Magdalena Gude
Magarete Krause
Klaus-Dieter Hecker
Tim Sorgatz
Univ.Prof. Hans-Albert Ruppert
Ing. Carolin Matthäi
Joerg Döhn
Ing. Ronny Metz B.A.
Herr Knud Pölitz B.A.
Ing. Anastasios Berger
Elke Scholl MBA.
Gerwin Rust MBA.
Ditmar Niemeier
Dipl.-Ing. Ehrenfried Kranz MBA.
Bekir Cichorius-Döring
Leonardo Vogt
Univ.Prof. Johan Lange
René Gude B.A.
Dipl.-Ing. Jaqueline Striebitz
Univ.Prof. Christoph Beier B.A.
Prof. Aziz Stumpf
Elena Fiebig
Matthäus Hübel
Erik Trupp MBA.
Rita Käster B.A.
Klaus-Peter Zorbach
Dr. Hildegund Gnatz B.Eng.
Pedro Beer
Rolf-Dieter Kensy
Bernward Losekann MBA.
Prof. Theda Hölzenbecher
Dr. Karla Christoph
Felizitas Werner
Faruk Köhler
Amir Reuter
Andres Sager
Rainer Hänel
Victoria Hornig
Monique Liebelt-Ebert
Patrick Haering
Birgid Graf
Henni Keudel B.Sc.
Prof. Alexei Krebs
Carin Atzler
Dorle Henck-Sorgatz
Horst-Peter Faust
Joachim Rogge
Prof. Helmut Hellwig MBA.
Niklas Trubin
Senol Hölzenbecher
Prof. Lieschen Bohlander
Dr. Gert Trapp MBA.
Regina Reuter
Raphael Barth
Grete Biggen-Kostolzin
Gabriela Freudenberger B.A.
Dr. Änne Radisch
Prof. Irmela Klemt B.Eng.
Aloys Barkholz
Petar Bauer
Fernando Tschentscher-Schacht
Prof. Horst Mälzer B.Sc.
Galina Kraus-Hermighausen
Esther Eberth-Kensy
Ekrem Hornich
Prof. Augustin Stey B.A.
Univ.Prof. Therese Hänel
Dr. Ute Schuchhardt
Ulrike Misicher MBA.
Dr. Halina Mälzer
Alwina Hettner
Ing. Cosimo Steinberg
Mark Sauer B.A.
Urban Klemt
Egon Haase
Annegret Holt-Heuser
Ingetraud Austermühle-Dowerg
Hilda Metz-Dehmel
Gerwin Ortmann
Jacek Bärer
Geert Rust
Frau Brit Stoll
Univ.Prof. Ivo Mies
Univ.Prof. Hinrich Eberth
Univ.Prof. Gundel Atzler B.Eng.
Milos Wiek
Jerzy Hermighausen-Lübs
Heimo Ziegert
Dipl.-Ing. Nathalie Radisch
Siegfried Knappe
Irmengard Eckbauer
Heide-Marie Koch II
Gordana Hertrampf-Speer
Gerlinde Albers-Hörle
Ernest auch Schlauchin
Enver Dehmel
Dr. Aldo Fritsch
Elenore Renner
Henni Ullmann MBA.
Sybilla Herrmann-Pärtzelt
Maurice Pieper-Loos
