Student
Milos Trüb
Univ.Prof. Hugo Martin
Wilma Paffrath
Ilonka Kohl
Ulla Süßebier
Traudl Gierschner
Univ.Prof. Bert Gieß
Ing. Wieslaw Kobelt B.Sc.
Wally Krein-Bien
Denny Lachmann
Yvette Dietz
Paula Heinz
Dr. Anatoli Bonbach
Lisette Schönland B.Eng.
Dr. Annett Siering
Jann Schenk
Luka Weimer-Beyer
Gusti Wagenknecht
Jan-Peter Scheuermann-Jungfer
Wolf-Dieter Rudolph-Bruder
Prof. Anka Schulz
Cora Steuer-Junken
Isidor Heinrich
Benno Kraushaar
Oxana Linke B.Eng.
Margret Dehmel
Univ.Prof. Alexa Junitz B.Eng.
Gaetano Fröhlich
Univ.Prof. Amalie Warmer B.Eng.
Liesa Neureuther
Anne-Katrin Höfig
Adele Boucsein B.Sc.
Univ.Prof. Heinrich Reinhardt MBA.
Arne Dobes
Kai-Uwe Sorgatz
Bartholomäus Trapp
Rahel Hartmann
Dipl.-Ing. Margaretha Köhler B.Eng.
Hanno Hölzenbecher B.Sc.
Herma Bender-Scholtz
Liesbeth Junck-Benthin
Darius Klotz
Ljiljana Stoll
Univ.Prof. Romuald Hermighausen
Telse Steuer B.Eng.
Univ.Prof. Waltrud Rogner
Janett Zorbach
Dörthe Roht
Ing. Hüseyin Gutknecht B.Sc.
Valentin Gute
Prof. Horst Mälzer B.Sc.
Dr. Sedat Schäfer
Ludwig Zimmer MBA.
Rosalinde Trommler
Hermann Bruder
Frau Friederike Albers
Alexandre Häring
Franz-Josef Etzold
Phillip Salz B.Sc.
Patric Geisler-Becker
Eleonore Kuhl-Koch
Willy Weiß
Woldemar Bähr
Lothar Fischer
Wolfram Klingelhöfer B.Eng.
Dagmar Schäfer
Ewa Kade
Dr. Myriam Häring
Dietrich Bien
Jose Tlustek B.Sc.
Ilonka Rose
Maya Lindner-Zimmer
Catrin Hamann
Ing. Konstanze Geisel
Notburga Pölitz
Prof. Mechtild Steuer
Hans Dieter Stahr
Jan Gumprich
Artur Kreusel
Manuel Schenk
Herr Karl-Heinrich Eberth B.Sc.
Dr. Hans-Willi Hertrampf MBA.
Sami Stolze-Döhn
Isa Rose
Ljudmila Nerger
Cora Reichmann B.A.
Concetta Wohlgemut
Frau Trude Walter B.A.
Harro Gunpf
Univ.Prof. Cynthia Löwer
William Zirme
Tibor Budig
Heide-Marie Koch II
Stanislaus Geißler
Dr. Jochen Schäfer
Dusan Zahn B.A.
Cosimo Zimmer
Benjamin Lübs
Dr. Alberto Kabus B.Sc.
Georgia Liebelt
Hiltrud Adolph
Valentin Döring
Annelie Bloch
Jonas Boucsein
Juergen Bähr
Adelinde Ackermann-Knappe
Emilie Kallert-Zorbach
Univ.Prof. Traude Gertz
Albert Butte
Verena Hornich
Rosmarie Kambs MBA.
Jolanthe Jessel
Prof. Mandy Heuser MBA.
Prof. Julia Möchlichen B.A.
Frau Gertrud Jüttner
Gina Stumpf
Frau Antonina Kitzmann
Melanie Hauffer
Helene Keudel
Kläre Beier B.A.
Nadeschda Rädel
Andrew Schlosser
Hanne-Lore Kraus
Ilija Lindner
Ellen Liebelt
Sylvio Gutknecht
Engin Schenk
Margita Schleich-Becker
Jan Freudenberger
Marvin Gröttner MBA.
Rosalia Heydrich
Otmar Schmidtke
Dr. Auguste Sager
Dipl.-Ing. Lotte Austermühle B.A.
Carlo Martin B.Eng.
Lambert Misicher-Dörschner
Verena Höfig
Prof. Tadeusz Mosemann B.Sc.
Damian Bauer
Hans-J. Wohlgemut
Gerwin Rust MBA.
Univ.Prof. Frieder Döhn MBA.
Emmy Trub MBA.
Univ.Prof. Conny Wagner MBA.
Erhardt Loos
Milica Huhn
Zita Butte
Univ.Prof. Annekatrin Neureuther B.A.
Ing. Louis Eckbauer B.Eng.
Univ.Prof. Canan Zorbach B.Sc.
Univ.Prof. Christa-Maria Lehmann B.A.
Kai-Uwe Bohnbach
Bayram Cichorius-Zobel
Elke Scholl MBA.
Clemens Barth
Franziska Wernecke
Meral Eberhardt B.A.
Antje Drub
Pauline Bolzmann
Kay-Uwe Finke
Dr. Sandra Mangold B.Sc.
Univ.Prof. Aleksander Wiek B.A.
Arndt Weinhold MBA.
Phillip Hermann
Rosa-Maria Seifert
Univ.Prof. Undine Jungfer
Otto Lindner
Univ.Prof. Ottmar Jopich
Mikhail Bauer
Prof. Knud Atzler B.Sc.
Janos Ehlert
Klaus-Peter Schüler-Schaaf
Jörn Barth-Möchlichen
Veronique Oestrovsky
Herr Tino van der Dussen MBA.
Prof. Magda Textor
Kreszentia Bohlander
Marleen Langern-Oderwald
Karl-Ernst Drewes-Drubin
Dina Schmidtke
Univ.Prof. Lissi Schomber
Prof. Irmela Hellwig B.Sc.
Katalin Thanel-Kitzmann
Julian Dussen van B.Eng.
Eduard Ruppersberger
Meryem Sager
Otmar Ditschlerin
Nico Möchlichen
Brian Dussen van
Daniela Löwer
Bodo Finke
Raisa Stey-Sauer
Prof. Jolanthe Gude
Urszula Killer B.A.
Annemie Kade-Kuhl
Nikola Riehl
Bayram Gertz-Hendriks
Dipl.-Ing. Cristina Vogt
Leopoldine Butte
Dr. Jonas Fechner
Richard Mende-Hendriks
Carlo Ackermann-Birnbaum
Helge Pohl
Halil Warmer B.Sc.
Isabell Kroker B.Eng.
Insa Peukert
Jochen Säuberlich
Frau Christiane Zänker B.A.
Jane Patberg
Dipl.-Ing. Corina Fischer
Flora Gotthard
Herr Gerolf Hermann B.Eng.
Frau Corinna Wähner
Manuela Sauer
Dr. Natascha Trüb
Annett Dehmel MBA.
Felizitas Jungfer
Mirjana Drub
Sören Trommler
Univ.Prof. Sebastian Sontag
Dipl.-Ing. Undine Warmer
Frau Angelina Martin
Hansjörg Müller B.Sc.
Cora Stumpf-Gunpf
Dipl.-Ing. Patric Johann
Prof. Marika Davids B.A.
Jörg Speer
Joerg Fritsch-Pieper
Irmtrud Johann
Eitel Ernst
Roswita Sauer
Gisa Hornig-Geißler
Irmtraut Hahn-Walter
Annelore Bolander
Nikola Kitzmann
Dr. Jost Hiller B.Sc.
Prof. Sergei Heser
Katharina Krause-Hornig
Ing. Toralf Wiek
Gerta Beer
Gitte Briemer
Friedericke Roht
Tobias Liebelt
Herr Jacek Budig B.Eng.
Dr. Gerd Fechner
Karsten Schwital
Dipl.-Ing. Leokadia Junk
Friedrich-Wilhelm Holsten
Heinz-Wilhelm Werner
Univ.Prof. Ivo Mies
Mattias Wieloch
Tillmann Mude
Bozena Carsten B.Sc.
Sarina Dobes
Dr. Peggy Beyer B.Sc.
Kunigunda Reising
Antonietta Barth
Hans-Willi Baum-Staude
Prof. Clarissa Barth
Ing. Walli Bolander MBA.
Kaspar Junken
Brigitta Eimer
Karl-Josef Barth
Sonja Löchel
Sigfried Franke B.Sc.
Dr. Erkan Stroh
Natali Patberg B.A.
Ottokar Fliegner
Luzie Renner B.A.
Artur Briemer
Miguel Gehringer-Reising
Janko Margraf MBA.
Frau Yvonne Trupp B.A.
Ilja Hartung
Andrea Ziegert
Engelbert Sauer MBA.
Josef Langern
Carin Pruschke
Zita Winkler
Wigbert Ortmann
Juan Fechner
Frau Almut Kuhl
Reza Kusch
Klemens Förster
Theo Trubin
Dr. Aribert Sontag
Dipl.-Ing. Angelina Mälzer B.Eng.
Mattias Henk
Prof. Wolf-Dieter Killer B.Sc.
Uli Oderwald-Freudenberger
Roderich Weitzel
Justine Kade
Hanne-Lore Johann
Cathrin Weitzel MBA.
Ing. Eva Kitzmann B.A.
Annamaria Margraf
Ing. Zoltan Dobes B.A.
Walli Baum-Kohl
Herr Frank-Peter Jopich
Frau Kunigunda Schaaf B.A.
Katerina Barkholz
Cecilia Gertz
Franz-Xaver Carsten
Daria Stiffel
Frau Eugenia Matthäi
Marie-Theres Jäkel
Kati Radisch
Friedericke Ruppersberger
Univ.Prof. Rosl Pölitz
Roselinde Kusch-Röhrdanz
Brit Anders
Univ.Prof. Regina Salz B.Eng.
Frau Melita Scholz B.A.
Margarete Kabus
Fanny Zänker-Hein
Gisela Paffrath
Damian Söding
Margaret Kramer B.A.
Klaus-Peter Häring
Prof. Theodoros Paffrath B.A.
Frau Helena Nette
Dirk Graf-Stiffel
Dipl.-Ing. Dragica Neureuther
Ing. Tillmann Geisel
Stephan Haase MBA.
Magda Geißler
Geraldine Wagner
Prof. Jonas Scholtz
Gönül Barth-Zobel
Elise Trupp
Damian auch Schlauchin B.Eng.
Ing. Knud Vogt
Anna-Lena Sontag-Köhler
Siegrid Paffrath
Christopher Sager
Ariane Tintzmann
Franz Josef Girschner
Tassilo Gehringer
Ronny Dippel
Nurettin Dippel
Ing. Valentine Scheibe
Vittorio Hertrampf
Adeline Hein-Metz
Ingrid Rudolph
Miodrag Fliegner B.A.
Ing. Magarete Herrmann B.Eng.
Prof. Tillmann Holt B.A.
Regina Reuter
Dr. Renate Mende
Annie Noack
Antonius Pärtzelt-Jüttner
Winfried Hermann
Gilda Tintzmann
Prof. Monica Beer MBA.
Aleksander Drub
Klaus-Michael Hahn
Mercedes Kobelt MBA.
Ing. Gabriella Bähr
Ralf-Dieter Riehl B.Eng.
Heino Lindau B.Eng.
Albrecht Rust-Heinrich
Sybilla Herrmann-Pärtzelt
Robby Kramer
Oskar Weitzel
Sevim Vollbrecht B.A.
Dipl.-Ing. Helmut Hauffer
Tina van der Dussen
Liane Fechner
Wiebke Caspar B.A.
Evangelia Gierschner
Ing. Bianka Bärer MBA.
Univ.Prof. German Rörricht
Stephen Lübs
Andy Mangold
Magnus Heidrich
Marta Herrmann
Ernestine Stumpf
Harro Keudel
Dr. Editha Rohleder
Emma Briemer
Univ.Prof. Halina Hamann MBA.
Gundi Sager
Madlen Lübs
Prof. Folker Budig
Prof. Woldemar Beier B.A.
Hans-Karl Christoph-Schleich
Dipl.-Ing. Amanda Striebitz
René Matthäi
Alicja Faust B.Eng.
Eva Mosemann
Teresa Jessel
Jadwiga Gotthard
Wally Wähner
Dorit Zimmer-Krein
Wulf Kusch
Gitta Römer
Sylvio Stiffel
Mareike Reichmann
Karl-Heinz Rohleder
Ing. Henrike Kramer
Hans-Günther Wilmsen
Inna Schulz
Martine Trupp
Janus Oderwald-auch Schlauchin
Emilia Römer
Ing. Bernard Schleich B.Sc.
Elif Röhricht
Karl-Josef Thanel
Helene Kuhl-Austermühle
Uschi Dobes
Traudel Wilmsen B.A.
Anneli Schleich-Ullmann
Herr Yilmaz Vollbrecht B.Eng.
Univ.Prof. Gislinde Rohleder
Hella Pergande MBA.
Univ.Prof. Alexandre Schottin
Halina Austermühle-Bender
Rainer Gunpf B.Eng.
Käthe Ernst
Ing. Tilman Kitzmann
Anni Kraus
Moritz Spieß
Dipl.-Ing. Gerold Kusch B.Eng.
Oxana Henschel
Prof. Danny Bähr B.Eng.
Slavica Ernst-Schmidtke
Marica Hamann-Koch
Gabriel Klotz
Stefano Koch B.Eng.
Delia Hande-Koch
Mirko Eckbauer
Michel Heß
Angela Weimer B.A.
Sina Barkholz
Erika Pruschke
Enrico Reising MBA.
Heino Schönland-Hermann
Sigmund Conradi
Abbas Täsche
Gretel Hande
Dipl.-Ing. Hans-Gerhard Schleich
Elli Kohl
Dr. Herbert Jockel B.Eng.
Egon Paffrath
Fabienne Matthäi-Heß
Dr. Mechthilde Hellwig
Hulda Junk
Univ.Prof. Agathe Steinberg MBA.
Dipl.-Ing. Alan Schacht B.Eng.
Ing. Hans Peter Schenk B.A.
Sarah Beckmann
Leopold Rörricht
Xaver Schönland
Wieslaw Löchel
Frau Anna-Luise Sontag
Rene Albers
Ing. Marie-Therese Seifert
Dr. Lisa Stroh B.Sc.
Ahmet Eckbauer-Sölzer
Univ.Prof. Jann Schleich
Univ.Prof. Adelbert Zimmer
Elma Heser
Alois Jungfer B.Eng.
Dr. Hans-Heinrich Kaul B.Eng.
Maja Fischer B.A.
Mesut Trommler
Liliana Gehringer
Maren Drub
Annelene Möchlichen-Weiß
Rochus Gude
Evangelos Beyer
Lilly Girschner-Ritter
Erwin Jungfer
Dr. Marian Rust
Ing. Carolin Faust B.A.
Ing. Karin Werner
Bertram Caspar
Augustin Renner
Fredi Jäntsch
Zeki Otto
Alena Seip
Anna-Marie Steckel
Stephanie Beer
Ing. Jessica Mende
Christina Schlosser
Anica Sorgatz B.Sc.
Käthi Löffler
Guido Junck
Dipl.-Ing. Babette Bauer B.Sc.
Romuald Kambs MBA.
Klaus-Dieter Hecker
Monja Weiß
Brigitte Knappe
Mercedes Sauer
Marie-Luise Ring
Frau Theodora Hettner B.A.
Dipl.-Ing. Wenzel Hellwig B.Sc.
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Stephan Stolze-Holt
Susann Henk
Asta Hesse
Claus Heser B.Sc.
Lara Stroh
Sara Johann
Ing. Margarete auch Schlauchin MBA.
Ansgar Seidel
Hans-Albert Lindau
Jonas Löchel
Stjepan Langern
Lukas Juncken MBA.
Harry Lange
Ben Täsche
Univ.Prof. Fedor Eimer
Ingetraud Caspar
Herr Rüdiger Ruppersberger
Andrea Hamann
Konstantin Rogner
Dipl.-Ing. Ingolf Krein
Liesbeth Koch II
Lorenz Sauer
Jonas Budig
Dr. Nadja Wulf
Justus Lorch
Wera Klemt
Inka Trapp
Hans-Theo Vogt-Beckmann
Univ.Prof. Etta Bohnbach
Dipl.-Ing. Bekir Boucsein
Zeki Henk B.A.
Lucia Hermighausen
Ariane Löchel
Dr. Gundula Putz
Evelin Stumpf
Univ.Prof. Isabel Ladeck
Frau Kordula Geisler MBA.
Wiebke Hölzenbecher
Maren Bruder
Stephen Tintzmann
Anny Zirme
Prof. Sahin Kreusel
Univ.Prof. Giovanna Bachmann B.Eng.
Erdal Meyer B.A.
Dipl.-Ing. Baldur Oderwald B.Sc.
Herr Johann Kostolzin
Kristina Scheibe
Maurizio Tschentscher
Zlatko Ritter B.Eng.
Edda Klemt
Univ.Prof. Nurten Neuschäfer MBA.
Kay-Uwe Bruder MBA.
Monja Mülichen
Emanuel Holsten
Alicia Ring
Mato Patberg-Heintze
Nikolaos Ebert-Grein Groth
Frau Nadeshda Ruppert
Svenja Langern
Dr. Jochem Trapp MBA.
Ursula Löffler
Mesut Gute
Dietlind Anders B.A.
Frau Gilda Ebert
Adina Söding
Franz Löwer
Carina Schaaf
Ahmad Jacobi Jäckel
Gilda Segebahn
Hans-Detlef Kobelt
Lorenzo Zänker
Prof. Andrzej Gorlitz
Frau Evelyn Tlustek B.Sc.
Herr Hinrich Mühle
Univ.Prof. Annegrete Holt
Brian Preiß
Frau Herlinde Segebahn
Freia Lübs
Nadine Sauer
Irmi Biggen
Erica Renner-Trapp
Frau Waltraud Weitzel B.A.
Elfie Preiß
Arne Knappe
Dipl.-Ing. Christoph Schulz B.Sc.
Günter Löwer
Edda Junck-Eimer
Hansjürgen Weitzel
Bodo Martin
Sibilla Bachmann
Jan Döring B.A.
Irene Ditschlerin
Herr Bertold Löffler
Ing. Knut Christoph
Karla Freudenberger MBA.
Hiltrud Bolander-Ziegert
Fernando Dobes
Oliver Bien
Gaby Bähr
Arif Pergande-Wagenknecht
Hellmuth Söding-Bonbach
Univ.Prof. Mira Riehl
Rico Putz-Killer
Heinrich Rogner
Gunda Knappe
Joachim Löffler-Riehl
Univ.Prof. Maria-Luise Trüb B.Sc.
Dora Jockel
Priska Wende
Sylvie Neuschäfer
Nancy Eckbauer
Eva Wende-Peukert
Tobias Mühle
Falko Schüler
Halil Löwer
Hedy Rudolph MBA.
Heinz Dieter Barkholz
Karl-Dieter Süßebier
Detlev Wilmsen
Christiana Pohl
Zehra Conradi-Heinrich
Prof. Niels Barkholz
Nicolas Tschentscher
Prof. Lieschen Bohlander
Volker Hettner
Franziska Jüttner
Frank-Michael Sontag
Britt Gorlitz
Univ.Prof. Paulo Jähn
Karlfried Ruppersberger
Bruno Henschel
Heimo Huhn B.A.
Dr. Nadeschda Wulf
Karl-Ernst Reuter
Mehdi Kohl B.A.
Edelgard Gnatz-Dobes
Prof. Ines Kuhl
Alfons Klingelhöfer
Heidelore Heinrich
Johann Reuter
Madeleine Thanel MBA.
Henni Wagenknecht B.Sc.
Danilo Losekann
Aziz Bauer MBA.
Maren Bachmann-Stumpf
Antonie Fischer-Margraf
Kunigunda Hamann-Hermighausen
Franz-Peter Benthin-Reichmann
Prof. Marten Söding B.A.
Univ.Prof. Dorle Fröhlich
Änne Wagner
Marijan Huhn
Evangelia Misicher
Benno Ritter
Sinaida Heinz-Gnatz
Dipl.-Ing. Hans-Karl Dussen van B.A.
Filippo Hermann
Frau Franziska Trupp B.Sc.
Anica Austermühle
Frau Monique Löchel
Robert Weimer
Siegbert Seifert
Joseph Harloff
Birgid Drewes-Seifert
Dipl.-Ing. Marisa Scholl
Ing. Marko Linke
Leszek Wagner-Häring
Herr Emin Trubin
Hilda Stey B.Eng.
Prof. Josefa Beier B.Sc.
Adriane Heinz-Metz
Ulf Dörschner
Marlies Seifert-Roht
Alicja Stiffel
Hedda Baum
Osman Salz MBA.
Univ.Prof. Therese Hänel
Elizabeth Vollbrecht
Rosita Wesack B.Sc.
Elsa Beer
Friedericke Ring MBA.
Elfi Fröhlich-Löchel
Karl-Hans Hande-Schuster
Cemal Klingelhöfer-Otto
Prof. Sofie Gröttner
Roswita Atzler
Kathi Seip
Univ.Prof. Amelie Gröttner B.Eng.
Victoria Binner
Cosimo Löffler B.Sc.
Susi Hendriks
Egon Ruppersberger B.Sc.
Monique Rose-Schuchhardt
Hans-Heinrich Schüler-Seip
Luigi Hartung
Lydia Jopich
Ing. Maren Schenk
Margit Müller
Friedlinde Schenk-Wulff
Johann Oestrovsky
Adina Finke
Florentine Eimer
Süleyman Baum
Dipl.-Ing. Elly Davids B.Sc.
Andy Jockel B.Eng.
Tina Henschel
Leonardo Lehmann
Olga Krein
Thea Nette
Vinzenz Bruder
Dietlind Albers
Dorit Dowerg
Zofia Gumprich
Christiane Mentzel
Käthe Langern-Jacob
Hans-Otto Trubin B.Eng.
Ing. Nelli Hornig
Olga Stahr
Herr Erich Rosenow
Ing. Josip Ruppert
Katy Täsche
Siegmar Ullmann-Fritsch
Alwina Koch
Friedemann Klingelhöfer
Irmtraut Wende
Dina Schmiedt MBA.
Cosimo Bender
Sergio Schleich
Bert Junck
Gerdi Neureuther-Mälzer
Cecilia Scholz-Barth
Gundi Hiller
Helge Ladeck MBA.
Reimund Kraushaar
Frau Korinna Kranz
Ljiljana Kostolzin
Nicolaus Jessel
Univ.Prof. Dogan Mielcarek
Frau Zdenka Boucsein B.Eng.
Frau Ingelore Gertz
Monika Hornich MBA.
Leonardo Birnbaum
Zdenka Heser
Cläre Heser
Anna Hartmann
Rosita Peukert-Scheibe
Verena Gute-Trüb
Siegrun Ring
Reinhard Rogge
Martine Zobel
Jenny Scholtz
Dierk Dörr
Natalia Fröhlich-Kabus
Jakob Seifert
Annie Harloff B.A.
Dominic Martin
Dorothea Weihmann
Prof. Kata Häring
Valentin Steuer-Mans
Uschi Keudel
Melissa Gehringer
Folkert Reinhardt B.Sc.
Theo Neuschäfer
Dipl.-Ing. Melanie Kreusel B.A.
Ben Ullmann MBA.
Erik Wirth B.Eng.
Dipl.-Ing. Henriette Schmidtke MBA.
Cindy Rogge-Dippel
Kunibert Heß MBA.
Steven Steinberg B.Eng.
Univ.Prof. Dorle Röhrdanz B.A.
Timm Oderwald
Anthony Bonbach
Eileen Etzler
Pirmin Reising
Saskia Kallert
Prof. Nikolaos Steinberg B.Sc.
Wendelin Pärtzelt
Albin Schuchhardt
Klaus-Dieter Koch II B.A.
Gabi Neuschäfer-Oestrovsky
Antonietta Kostolzin
Mary Reuter B.Sc.
Josefine Rosenow-Hertrampf
Prof. Auguste Scholz
Prof. Gertraude Wohlgemut B.Eng.
Vlado Hübel B.Eng.
Catherine Huhn
Georgios Neuschäfer
Dipl.-Ing. Margarete Schmidt
Adem Schleich
Hans-Günther Scheuermann B.Eng.
Ottmar Kruschwitz
Prof. Katrin Mülichen B.Eng.
Hans-Hinrich Trub
Wolfhard Kensy
Imre Sauer
Peter-Michael Kostolzin
Romy Baum
Dr. Sybille Bärer B.Sc.
Vassilios Kramer
Ernest Müller
Frau Mechtild Fliegner
Mirja Wähner
Stephen Kensy
Simon Mude
Annelise Jungfer
Ekkehart Kreusel
Heinz-Jürgen Adolph
Univ.Prof. Viktoria Seifert
Dipl.-Ing. Tim Jäntsch B.Eng.
Larissa Käster
Anastasios Heinz
Achim Mülichen-Schleich
Univ.Prof. Reinhilde Cichorius B.A.
Fred Wende
Frau Rosalinde Mitschke B.A.
Herr Muzaffer Schäfer
Jonas Christoph B.Eng.
Dipl.-Ing. Dajana Beer
Patricia Trubin
Gundel Bien MBA.
Carin Huhn
Veronika Kruschwitz B.A.
Manfred Juncken
Frau Britt Heß
Univ.Prof. Galina Kobelt B.Eng.
Ernestine Trommler
Max Fiebig
Wojciech Girschner B.A.
Ing. Margarethe Martin
Gerd Becker
Ingried Stiffel B.A.
Canan Beyer
Marko Kensy-Atzler
Dr. Regine Gotthard
Ernst-Otto Heß-Hartmann
Hermine Franke B.Eng.
Korinna Koch II
Sebastian Karge
Wally Fliegner
Josephine Nerger-Mende
Paolo Meister
Ing. Melanie Hamann
Egbert Heintze
Liliana Zorbach MBA.
Dr. Mohammed Höfig
Magret Bähr
Kornelia Kade
Massimo Ernst
Olaf Wesack
Lina Hein-Gotthard
Dipl.-Ing. Ildiko Löffler B.A.
Rosina Ditschlerin-Ortmann
Hülya Stadelmann
Erich Klotz B.Sc.
Univ.Prof. Almuth Cichorius B.Eng.
Frau Ivanka Killer MBA.
Liliane Koch II
Elizabeth Schlosser B.A.
Univ.Prof. Samira Drewes
Hanna Speer
Cordula Hornig
Janko Stey MBA.
Hakan Kühnert
Frau Raissa Radisch B.Eng.
Amalia Wulf
Edeltraud Kaul
Uta Kade
Reni Cichorius
Siegrid Hande
Willibald Boucsein B.Sc.
Ing. Leo Schulz
Dr. Marianne Reising
Meta Eigenwillig
Dr. Annaliese Lindner
Geert Zänker
Mirko Bolander
Vincenzo Jopich
Wilfriede Blümel
Nadeshda Schenk
Herr Rolf-Peter Renner MBA.
Mariele Stiffel B.Sc.
Univ.Prof. Ladislaus Hande
Gülsen Gutknecht
Melanie Jungfer-Preiß
Ilias Freudenberger
Josefa Stolze
Gislinde Wagenknecht
Ingeborg Wesack
Osman Schmidtke
Herr Hans Peter Jacob
Stjepan Wesack-Winkler
Goran Benthin
Janine Dehmel B.Eng.
Ingmar Beckmann
Ibrahim Lehmann B.Eng.
Adalbert Ullmann
Elzbieta Hartung
Anto Kobelt-Kobelt
Kathleen Hahn B.A.
Jasmina Zorbach
Ida Buchholz B.Eng.
Mina Beyer
Prof. Sandra Klapp
