Student
Herr Gundolf Barth
Pawel Peukert-Rörricht
Ing. Gordana Bruder MBA.
Karl-Dieter Süßebier
Maja Jungfer
Burckhard Heuser
Dietlind Albers
Annamaria Baum MBA.
Ehrentraud Meyer MBA.
Irmengard Rudolph
Lucia Kohl
Ljiljana Ruppert
Dipl.-Ing. Ana Rosemann
Dagmar Schinke B.Sc.
Grit Röhricht-Rosemann
Dr. Anna-Maria Zahn B.Sc.
Jann Schleich
Bodo Kranz-Striebitz
Herr Leonid Röhricht MBA.
Erik Trupp MBA.
Aribert Mitschke
Prof. Carina Eimer
Ing. Gerlinde Junken
Mariusz Stadelmann B.Sc.
Birgitta Beckmann-Thanel
Erhardt Heidrich
Philipp Lorch
Hüseyin Johann
Eckhard Weitzel
Aenne Hübel-Mühle
Prof. Janus Walter B.A.
Diether Vogt B.A.
Anna Lübs
Univ.Prof. Gönül Meister B.Sc.
Ludwina Mohaupt
Lidia Franke
Hans-Eberhard Lübs
Hiltrud Adolph
Prof. Dolores Butte
Giovanna Zobel-Liebelt
Sigrun Weinhold
Sigmund Herrmann MBA.
Nelli Stiebitz
Klothilde Zänker
Annika Pieper B.A.
Swetlana Binner
Edgar Rohleder-Fröhlich
Romy Zahn-Bien
Alan Eigenwillig
Irmtraud Hauffer-Matthäi
Dipl.-Ing. Tim Jäntsch B.Eng.
Dr. Carsten Steinberg
Jens-Uwe Geisler
Lothar Ladeck
Andrei Bolander-Jäkel
Mercedes Rädel-Drub
Dr. Karl-Hermann Gude
Wendelin Pärtzelt
Univ.Prof. Erna Köhler B.A.
Rene Henck
Waltrud Jockel B.Eng.
Britt Gorlitz
Dipl.-Ing. Hans-Günther Bien
Dörte Warmer
Dipl.-Ing. Roland Bien B.Sc.
Dipl.-Ing. Wolfram Johann B.Eng.
Herr Vincenzo Liebelt
Witold Wulf
Steven Steinberg B.Eng.
Heinz-Jürgen Adolph
Ing. Utz Klemt B.A.
Carolin Etzler
Thea Nette
Konstanze Zänker MBA.
Gülay Haase
Reinhard Zänker
Ing. Hanny Noack MBA.
Bogdan Pohl
Andreas Trapp
Ingelore Heinz
Ernst-August Gunpf
Ewald Rädel-Rörricht
Giesela Börner B.Eng.
Hans-Jochen Mude
Josef Langern
Walentina Eckbauer
Nuran Schäfer B.A.
Dr. Marija Stiebitz
Philipp Reising-Harloff
Hasso Renner
Hedi Bärer
Hans-Gerd Preiß
Kordula Kambs B.Eng.
Burkard Schlosser
Elizabeth Jacob
Ellen Liebelt
Oda Henschel
Frau Anka Hering
Knut Gorlitz
Fredy Birnbaum-Kensy
Regina Barkholz
Univ.Prof. Betty Conradi B.A.
Tina Radisch
Marie-Luise Zorbach MBA.
Janusz Trub-Mühle
Gülsen Gutknecht
Frau Danica Davids B.A.
Curt Mühle
Marie-Louise Killer-Etzler
Claus Jähn B.Eng.
Ana Klapp MBA.
Salvatore Tlustek
Magret Bähr
Henry Hofmann B.Eng.
Herr Augustin Karge B.Eng.
James Nohlmans
Edmund Schmidt-Fliegner
Univ.Prof. Liliana Drub
Wieslaw Freudenberger
Hermine Schüler
Dr. Salih Ullmann
Ing. Zbigniew Warmer MBA.
Hans-Theo Bärer B.Eng.
Elisabet Schuster B.A.
Tillmann Dobes-Trupp
Marlis Wiek
Herr Hermann-Josef Hauffer
Diethard Gude
Frau Waltraud Weitzel B.A.
Fatima Eckbauer-Rosemann
James Kostolzin-Haase
Dolores Stey-Matthäi
Hansjürgen Weitzel
Danuta Kensy
Liesa Wilms B.A.
Mohammad Karz MBA.
Evi Grein Groth
Ottomar Hermann
Herr Siegmar Geisler
Herr Wladimir Bolnbach
Joseph Harloff
Janine Dehmel B.Eng.
Gerlind Trüb-Losekann
Prof. Beatrice Misicher
Kunibert Hahn-Lindau
Prof. Jonas Scholtz
Prof. Torsten Geisel B.Sc.
Josip Stey
Bernhard Rogner B.Eng.
Ing. Konstanze Geisel
Dr. Wanda Dippel
Damian auch Schlauchin B.Eng.
Annaliese Heser B.Sc.
Univ.Prof. Anny Stolze
Stella Mülichen
Heiderose Bärer
Univ.Prof. Albin Bärer
Silvia Lübs
Hans-Herbert Gutknecht
Augustin Hoffmann MBA.
Gunter Schenk B.Sc.
Ignaz Beer-Eckbauer
Albin Fischer B.Eng.
Prof. Constance Girschner MBA.
Sören Pechel
Raisa Stey-Sauer
Dr. Elly Junk
Dr. Margarethe Ernst
Ing. André Christoph
Jennifer Trapp
Heide-Marie Koch II
Ladislaus Killer
Gülay Weinhold
Eva-Marie Hendriks
Othmar Täsche-Loos
Dr. Franz-Peter Löffler
Ruthild Hoffmann
Ing. Hans Jürgen Häring
Babett Pruschke-Schäfer
Grzegorz Mende B.A.
Klaus-Dieter Knappe
Solveig Scheibe
Wulf Steckel-Lachmann
Gereon Weitzel
Christiane Wirth B.Eng.
Peggy Sauer
Burkhard Fröhlich-Dussen van
Carolin Siering
Senol Langern
Ing. Gabriella Bähr
Roderich Scholtz
Ole Süßebier MBA.
Dr. Otto Schmidtke MBA.
Mercedes Sauer
Gundi Hiller
Janette Kraushaar
Dipl.-Ing. Danuta Stumpf B.Eng.
Andrea Hamann
Prof. Rabea Hettner B.Eng.
Hannelore Rädel-Keudel
Robert Etzold
Harriet Ullmann
Katherina Klapp
Elizabeth Stahr
Univ.Prof. Ilja Hentschel MBA.
Jurij Zimmer
Dr. Deborah Kade
Gaetano Söding
Krista Gertz B.Eng.
Ing. Wencke Speer
Herr Janus Matthäi B.Sc.
Sigfried Franke B.Sc.
Hülya Conradi
Franz Ortmann B.Eng.
Doris Karz
Ing. Diedrich Gotthard MBA.
Antonino Klingelhöfer
Cornelia Gehringer
Ing. Käthe Plath B.Eng.
Dina Schmidtke
Univ.Prof. Heimo Dobes B.A.
Annegret Holt-Heuser
Prof. Gerda Barkholz MBA.
Friedl Atzler-Süßebier
Lothar Fischer
Daniele Seip
Hansgeorg Heuser
Prof. Heinz-Peter Sager
Ulrike Schleich-Süßebier
Ing. Henning Drub
Herr Jörgen Kruschwitz
Waltraud Wernecke
Dr. Regine Gotthard
Matthäus Hübel
Slavko Fliegner B.Sc.
Jessica Gotthard
Klaus-Michael Hahn
Dipl.-Ing. Rigo van der Dussen B.Eng.
Mehdi Bähr B.A.
Antonio Margraf
Monja Weiß
Annelie Kitzmann
Mariana Wirth
Erwin Jungfer
Susann Henk
Christiana Pohl
Holger Röhricht
Dorothee Seidel
Ottfried Peukert-Schulz
Ing. Toralf Wiek
Tassilo Beckmann
Mirko Eckbauer
Dipl.-Ing. Beatrix Henk B.Eng.
Dorota Mude
Michaele Neureuther
Ida Buchholz B.Eng.
Ing. Jürgen Jopich B.A.
Bela Naser-Löwer
Alice Lachmann-Finke
Dipl.-Ing. Ismet Käster B.Eng.
Lena Mitschke
Univ.Prof. Giovanna Bachmann B.Eng.
Univ.Prof. German Rörricht
Nikolai Stiebitz
Anett Bien-Schuster
Gisela Girschner
Heinz-Josef Meister
Korbinian Werner
Gerold Schuchhardt B.Sc.
Filippo Jäntsch
Lissi Kohl
Julia Hecker-Krebs
Dipl.-Ing. Dunja Hoffmann
Zlatko Briemer-Karge
Olivia Thies B.A.
Pascale Bruder
Herr Marian Schlosser B.A.
Alla Rohleder
Ryszard Anders B.Sc.
Ing. Gerold Mende
Folker Otto
Univ.Prof. Fatima Hölzenbecher
Heidemarie Junitz
Niko Geißler-Wirth
Matthias Hendriks-Koch
Gabriele Käster
Dipl.-Ing. Josip Mies
Ann-Kathrin Mühle
Verena Davids
Hanife Ackermann
Ing. Dierk Striebitz
Käthe Ernst
Dr. Diedrich Atzler
Frau Aleksandra Bähr B.Eng.
Leokadia Karge
Hanno Löffler
Canan Beyer
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Siegrun Reichmann
Gerti Trupp-Dowerg
Katharina Käster MBA.
Univ.Prof. Philomena Kensy
Hülya Scheibe
Rosa Hübel
Metin Klemt
Evelyn Bien
Ulf Kensy MBA.
Franz Schweitzer
Anika Biggen MBA.
Fadime Reinhardt MBA.
Catrin Förster B.A.
Ing. Leni Rosenow B.Eng.
Frau Karolina Hörle
Lore Margraf
Jonas Löchel
Wolf-Dieter Sölzer-Putz
Marzena Hein
Severin Barkholz B.Eng.
Uschi Keudel
Irmingard Reising
Hüseyin Stahr
Miroslaw Gieß
Aziz Hornich
Univ.Prof. Hartwig Holsten B.Sc.
Ryszard Lorch
Dietlind Anders B.A.
Susanna Schaaf
Milos Seifert
Mechtild Winkler
Ignaz Löwer
Nikolas Ebert
Cristina Salz B.Sc.
René Ullrich
Murat Meister
Dajana Ruppert
Univ.Prof. Emine Vogt B.Sc.
Marjan Pölitz B.Eng.
Gretchen Eimer-Wilmsen
Sibilla Eimer
Mirko Ehlert
Paulo Trommler
Univ.Prof. Amelie Gröttner B.Eng.
Nils Hering-Loos
Theresa Killer
Daria Stiffel
Gottlob Römer
Christiana Bauer
Wally Bien-Kraushaar
Gerold Loos-Rogge
Dr. Abdullah Becker
Maria-Theresia Tschentscher
Ralph Fröhlich
Gudula Niemeier
Dr. Heide Jockel B.Sc.
Nikolaj Scholz
Ing. Hanne-Lore Ackermann
Berndt Bähr
Annette Ullmann
Olivia Nerger B.Eng.
Alois Werner
Leander Dobes-Schlosser
Univ.Prof. Ahmet Birnbaum MBA.
Gusti Henschel
Prof. Heide Krebs
Marija Stahr
Julian Dussen van B.Eng.
Klaus-Peter Kitzmann
Sandro Täsche
Dominik Huhn
Drago Täsche
Marlene Steckel B.A.
Melanie Hauffer
Erica Holsten
Jerzy Wagenknecht B.A.
Geraldine Gutknecht
Nadin Hertrampf-Killer
Traudl Gierschner
Elisabet Preiß-Thanel
Herr Kurt Weitzel B.Sc.
Brunhilde Scholz
Dr. Annette Linke MBA.
Joerg Zimmer-Kusch
Mijo Seidel B.Sc.
Dipl.-Ing. Mariana Mohaupt B.Sc.
Fredi Jäntsch
Yusuf Steinberg B.A.
Alexandre Caspar
Anni Seidel B.Eng.
Maya Conradi
Ole Losekann
Heinrich Rogner
Cora Stumpf-Gunpf
Dr. Leonhard Otto
Emilie Schmiedecke
Dirk Graf-Stiffel
Margitta Wulf-Nerger
Gülten Henschel
Friedl Briemer-Austermühle
Ferdinand Junck-Hölzenbecher
Leszek Wagner-Häring
Ing. Mike Stolze
Siegrid Schmiedt
Roman Bloch
Zeljko Kobelt B.Eng.
Dr. Rosmarie Seip
Dietlinde Käster
Prof. Lilly Schmidtke
Jiri Förster
Hans-Gerd Gnatz
Erdal Tintzmann
Heide Knappe
Herr Jost Ruppersberger B.A.
Herr Swen Kraushaar B.A.
Hardy Weller
Helmuth Jäntsch
Heinrich Putz B.Sc.
Hedi Butte-Neuschäfer
Hertha Gieß
Hasso Mans-Buchholz
Sibylla Koch MBA.
Josefa Lange
Heide-Marie Beckmann B.Sc.
Hartwig Keudel B.Eng.
Sofie Staude
Dr. Lisa Stroh B.Sc.
Prof. Marijan Hoffmann
Univ.Prof. Virginia Pechel
Univ.Prof. Siegrun Klingelhöfer MBA.
Silja Kraus-Schuster
Univ.Prof. Elfriede Rohleder
William Zirme
Luka Binner
Volker Adler
Univ.Prof. Lucia Zobel
André Röhrdanz B.A.
Ing. Ben Lindau MBA.
Dr. Ayse Martin MBA.
Ing. Celal Textor
Univ.Prof. Norbert Röhrdanz B.Sc.
Meryem Sager
Dipl.-Ing. Matteo Baum
Mikhail Bauer
Brunhild Müller
Edmund Scholtz B.Sc.
Mirjam Stumpf
Dr. Jasmina Ruppert
Toralf Jessel
Ruth Mangold B.Sc.
Aleksander Dowerg
Ing. August Hellwig B.Eng.
Myriam Hänel
Stavros Schinke
Ella Briemer-Siering
Julie Schweitzer
Antonius Hermighausen
Nicolaus Franke-Paffrath
Ing. Augustin Budig B.Eng.
Elise Heinz
Liliane Koch II
Edelgard Neureuther-Vollbrecht
Luka Stiffel
Herr Götz Süßebier
Hans-Michael Krein-Wernecke
Prof. Auguste Scholz
Rotraut Bachmann
Univ.Prof. Belinda Henck
Ursula Jacobi Jäckel
Elizabeth Wulf
Hans-Joachim Pohl
Hertha Gutknecht
Prof. Heinz-Joachim Seidel
Gülsen Junck
Celal Pohl
Dr. Hans-Detlef Lindau B.Eng.
Prof. Alida Mangold MBA.
Marie Sorgatz MBA.
Gerwin Rust MBA.
Geza Beckmann
Dipl.-Ing. Annelise Naser
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Resi Knappe
Valentine Tschentscher
Liane Hermann MBA.
Rüdiger Heinrich
Jaroslaw Pieper MBA.
Andy Mangold
Anny Dietz
Anka Gieß
Anastasios Kuhl
Prof. Klaus Peter Hellwig B.Sc.
Sükrü Walter B.Eng.
Dipl.-Ing. Louis Spieß B.A.
Ing. Andrew Nerger
Augustin Lachmann
Annett Dehmel MBA.
Wolfhard Fiebig
Ferenc Bolzmann-Girschner
Margarete Mohaupt B.Sc.
Milica Huhn
Yasemin Hande
Corinne Koch II
Fabian Lübs
Hans-Bernd Eimer-Pechel
Gaetano Paffrath
Kemal Butte-Tintzmann
Thaddäus Kraushaar-Ruppert
Songül Tschentscher
Dipl.-Ing. Eckhard Kallert B.Sc.
Traudl Röhrdanz-Spieß
Christel Bärer-Zirme
Univ.Prof. Christoph Beier B.A.
Constance Drubin
Herr Aleksandr Wiek B.Sc.
Dr. Mariusz Beckmann
Adina Söding
Hugo Ruppert-Kade
Brunhilde Heinz MBA.
Carmen Berger
Dipl.-Ing. Tina Wagenknecht MBA.
Prof. Romy Bohnbach
Ing. Hulda Schaaf
Bogdan Rosemann
Rosa Rosenow B.Eng.
Karlfried Franke
Beatrix Rädel MBA.
Dr. Jonas Fechner
Prof. Constance Austermühle B.Sc.
Urszula Spieß
Prof. Kaspar Mosemann
Dr. Leo Schlosser MBA.
Ing. Valentina Börner
Jonathan Gertz-Hertrampf
Angelica Lindau-Heß
Frau Silvana Bolzmann B.Eng.
Kay-Uwe Barkholz
Stephanie Beer
Univ.Prof. Gottlob Tröst B.Eng.
Dipl.-Ing. Rolf Tröst B.Sc.
Margit Klapp
Desiree Ruppert
Mariola Tlustek MBA.
Jiri Kambs
Rainer Scheel B.Eng.
Herr Gerold Kreusel
Prof. Jelena Naser
Univ.Prof. Hans-Rudolf Wohlgemut
Daniela Siering
Dorit Zimmer-Krein
Reimund Kraushaar
Univ.Prof. Jaqueline Dehmel
Philomena Salz
Francesco Nerger
Friedl Hartmann
Birgit Pergande
Anett Wieloch
Lieselotte Dussen van MBA.
Calogero Hoffmann B.Eng.
Dipl.-Ing. Gisela Schuster B.A.
Gudrun Heß B.Sc.
Prof. Urs Salz
Inna Hande
Dr. Elvira Cichorius B.A.
Gudrun Rörricht
Karl-August Döhn B.A.
Bernfried Roht
Stilla Hornig B.A.
Gisa Hendriks
Pauline Mosemann
Tino Gnatz
Dipl.-Ing. Mara Otto B.Sc.
Henryk Textor-Gröttner
Herr Oliver Pechel
Herr Jens Becker MBA.
Dr. Francisco Hänel
Jennifer Hoffmann
Erhard Reinhardt
Ehrhard Klotz
Emil Grein Groth
Dipl.-Ing. Stefano Wernecke B.A.
Dipl.-Ing. Kevin Stadelmann
Frau Edeltraud Radisch B.A.
Evelin Stumpf
Dipl.-Ing. Svea Neureuther
Univ.Prof. Ismet Bloch B.Eng.
Urban Pieper
Yvette Süßebier
Ing. Kläre Radisch
Rene Rohleder
Gottfried Keudel MBA.
Prof. Angelique Seidel MBA.
Dipl.-Ing. Denise Beier
Prof. Frithjof Adolph MBA.
Yasmin Reising
Dipl.-Ing. Jaroslav Henk
Evangelos Beyer
Univ.Prof. Henry Wohlgemut B.Eng.
Edda Jungfer
Hendrik Herrmann
Emma Blümel
Prof. Robert Heintze
Jost Lindau
Maren Heser-Kreusel
Wilhelm Metz
Ekaterina Schmiedecke
Dipl.-Ing. Hannelore Kostolzin
Walburga Junk
Reinhold Schäfer-Eimer
Horst-Dieter Seifert
Priska Rädel
Maurice Pieper-Loos
Ingeborg Wesack
Centa Bohlander-Stiebitz
Hans-Uwe Noack-Fröhlich
Walfried Siering
Attila Werner
Frau Julie Wieloch
Annie Harloff B.A.
Alfredo Oestrovsky
Carin Rohleder
Sylvio Stiffel
Gertrude Kostolzin MBA.
Ralph Jacobi Jäckel
Wilfriede Ehlert
Robin Weinhage B.A.
Telse Rudolph
Dipl.-Ing. Babette Bauer B.Sc.
Senta Schmiedecke
Siegbert Henschel
Prof. Clarissa Barth
Rene Wernecke
Prof. Urs Täsche
Ida Hendriks B.A.
Solveig Trapp MBA.
Urban Peukert
Gotthilf Bohnbach-Seip
Dr. Zehra Etzler
Mandy Rädel
Dipl.-Ing. Marieluise Löchel
Donald Schönland
Hannes Jäntsch
Herr Julian Gotthard B.Eng.
Marc Heintze B.A.
Univ.Prof. Markus Schottin
Jonas Budig
Rene Berger-Jäkel
Sören Spieß
Alexandros Heintze
Ing. Claire Hübel
Ing. Edeltraud Zirme
Margarete Kabus
Willibald Ziegert-Siering
Univ.Prof. Leszek Gieß B.Eng.
Univ.Prof. Tabea Dörschner MBA.
Ing. Nadeschda Bohlander
Hans-H. Naser
Nikolas Siering
Marek Walter MBA.
Leokadia Oestrovsky
Dr. Kristine Tschentscher
Darius Kallert
Univ.Prof. Jane Mans B.Eng.
Louis Kostolzin
Gesa Jäntsch
Tanja Plath
Gabriela Freudenberger B.A.
Brit Anders
Calogero Mude-Etzold
Siegrid Hande
Saskia Heidrich
Ing. Magarete Herrmann B.Eng.
Patrizia Biggen
Klaus-Dieter Hecker
Heinz-Günter Fischer
Insa Karz-Mangold
Tilman Eberhardt
Laura Wilms
Univ.Prof. Edmund Mentzel B.Eng.
Gerhart Hentschel
Marica Martin
Dr. Lisa Kusch
Jasmina Koch MBA.
Edda Henschel
Dipl.-Ing. Jose Löchel
Irmi Döhn
Mara Vollbrecht B.A.
Armin Scholz
Florentine Eimer
Ing. Hüseyin Gutknecht B.Sc.
Friedemann Klingelhöfer
Veronique Hartung-Haering
Hermine Eberhardt
Gottfried Martin-Martin
Karl-Heinz Hahn
Ing. Wolf-Rüdiger Dietz B.Sc.
Anika Holsten
Wally Fliegner
Gisa Atzler
Prof. Heinz-Joachim Losekann
Undine Scheibe-Stey
Frida Stolze
Lilly Seifert
Dipl.-Ing. Hülya Nerger
Heinz-Werner Briemer B.A.
Violetta Beyer
Johan Heydrich
Torsten Trapp B.A.
Univ.Prof. Karin Beier
Brian van der Dussen
Selma Girschner B.Sc.
Prof. Urs Flantz
Irmela Höfig B.Sc.
Verena Höfig
Georgia Liebelt
Univ.Prof. Rafael Pruschke B.A.
Adelbert Austermühle
Attila Losekann B.Sc.
Antonius Stoll-Krebs
Gerd Wiek MBA.
Friedbert Sorgatz
Janin Haase
Fredy Ring
Aziz Anders
Herr Recep Junk B.A.
Aline Steinberg-Klingelhöfer
Ing. Mariechen Nerger B.Eng.
Hans-Jörg Lachmann
Vinko Kraus-Schmiedt
Ottmar Beier
Eugenia Anders B.A.
Ronny Dippel
Fadime Heidrich B.A.
Julia Graf
Stephen Ackermann B.A.
Eva-Maria Eberth B.A.
Kay-Uwe Mühle
Irmtraut Ortmann MBA.
Univ.Prof. Lara Hoffmann MBA.
Fabienne Dobes-Heuser
Annegrete Jüttner
Frank-Peter Bien
Beata Stahr
Sigurd Süßebier
Claas Wirth B.Sc.
Herr Dursun Hentschel B.Eng.
Franz Lange
Silvio Weimer
Thea Dippel
Dr. Jurij Nohlmans B.A.
Christina Schlosser
Herr Wilhelm Schuchhardt B.A.
Ing. Knut Christoph
Sami Linke B.A.
Elsbeth Schmiedecke-Wulf
Dipl.-Ing. Jens-Uwe Dobes
Henny Eberhardt
Regina Hamann B.Sc.
Ing. Eckehard Bloch MBA.
Josephine Nerger-Mende
Dietlinde Binner
Cilli Heintze
Ute Möchlichen
Gert Juncken
Falk Sorgatz-Ortmann
Irmi Jüttner
Philomena Bloch
Andrei Wulff
Almut Rogge
Magnus Heidrich
Ortrun Siering
Margareta Lübs-Vollbrecht
Heinz-Joachim Spieß
Melitta Drewes
Saban Hendriks
Dipl.-Ing. Meral Beyer
Faruk Meister
Susanna Beyer B.Eng.
Balthasar Holsten
Judith Gerlach
Ing. Valerij Segebahn B.Eng.
Swen Wirth
Thorsten Gude
Arne Dobes
Frau Gertraude Wesack B.Eng.
Univ.Prof. Jacqueline Faust
Patric Heinrich
Dipl.-Ing. Liliana Hartmann
Udo Grein Groth
Milos Biggen
Marit Weller
Eduard Ruppersberger
Liliana Gehringer
Nancy Hartmann-Schottin
Aribert Herrmann
Ing. Marlene Wirth B.Sc.
Mona Thies
Friedrich Bolnbach-Gnatz
Univ.Prof. Kreszenz Wulf B.A.
Ina Christoph B.Sc.
Gottlieb Kade
Serge Kraus B.Eng.
Lambert Wilmsen
Maria-Luise Schaaf
Wendelin Schäfer B.Sc.
Veli Junitz
Heinz-Werner Schleich-Mies
Elena Gotthard
Janko Stey MBA.
Univ.Prof. Jeanette Girschner B.Sc.
Prof. Hans-Gerhard Reinhardt B.Eng.
Gordana Hertrampf-Speer
Theresia Liebelt
Wilfried Radisch
Annelore Bolander
Prof. Katalin Heinrich
Carin Huhn
Mesut Gute
Prof. Niko Atzler B.Sc.
Rosita Köster B.A.
Univ.Prof. Ivonne Haase B.Sc.
Francis Rohleder
Aleksander Wagner-Barth
Univ.Prof. Beate Eberth
Adam Gertz
Filippo Hermann
Silke Heydrich-Albers
Marco Conradi
Gunda Knappe
Meral Eberhardt B.A.
Klaus-Peter Zorbach
Hannelore Noack MBA.
Frau Jane Caspar
Zdravko Staude B.Sc.
Jane Patberg
Berta Hörle-Börner
Ing. Dorothe Junken
Götz Hofmann B.A.
Adrian Fiebig-Dörschner
Steven Käster B.Sc.
Kriemhild Jähn
Ing. Loni Gnatz MBA.
Dr. Catharina Gerlach B.Eng.
Univ.Prof. Zofia Rust
Karl-Dieter Seifert
Lilly Naser
Dr. Mirko Langern MBA.
Prof. Freya Biggen B.Eng.
Ria Koch II
Univ.Prof. Aysel Lindau
Alicja Stiffel
Bernadette Löffler
Ing. Heinz Ehlert
Ing. Cläre Dowerg
Dipl.-Ing. Viktor Scheibe MBA.
Gunter Grein Groth B.Eng.
Urs Bähr
Frau Hildegunde Koch II
Ruben Trubin
Sieghard Kensy
Klaus-Ulrich Blümel B.A.
Tibor Köhler-Schönland
Olav Margraf
Herr Rupert Jüttner MBA.
Frau Hilda Schweitzer B.Eng.
Monique Schleich-Kroker
Peggy Holt
Horst-Peter Ritter
Dina Schmiedt MBA.
Dusan Zahn B.A.
Susana Schaaf
Zbigniew Schleich-Huhn
Univ.Prof. Marleen Kabus
Xenia Christoph
Univ.Prof. Herta Zänker
Edeltraud Kaul
Stanislaw Misicher
Abbas Täsche
Monique Stroh
Loni van der Dussen B.Sc.
Anneliese Wähner
Genoveva Gieß
Prof. Frithjof Binner
Nadia Wirth
Hans-Gerhard Staude
Elisabeth Wieloch-Boucsein
Alfred Tröst-Stahr
Anna-Marie Heidrich
Marta Herrmann
Abram Peukert MBA.
Wanda Vollbrecht-Reinhardt
Angelina Ruppert-Siering
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Marvin Kade-Ladeck
Ing. Marko Linke
Benno Mohaupt
Karl Heß
Herr Vinzenz Jäntsch B.A.
Marzena Neuschäfer
Heiner Pieper
Dennis Beer-Striebitz
Eveline Putz
Wencke Riehl-Stoll
Anneliese Gnatz
Prof. Gertraude Wohlgemut B.Eng.
Goran Junck-Bauer
Prof. Ingeborg Noack
Anne-Marie Drewes
Dr. Gundolf Römer MBA.
Dipl.-Ing. Lotte Austermühle B.A.
Stefanie Dippel
Karl-Georg Zahn
Andreas Metz
Sabrina Kohl
Gilda Segebahn
Gertrude Pieper
Ing. Wendelin Köster B.A.
Hellmuth Söding-Bonbach
Dolores Conradi
Dörte Schlosser
Alban Dippel
Felix Wilms
Alexej Röhrdanz
Krzysztof Niemeier-Kostolzin
Mattias Sorgatz-Haase
Christina Geisel-Hesse
Ilona Roskoth-Bolander
Calogero Heintze
Andre Schlosser
Dan Schönland MBA.
Ibrahim Ditschlerin
Sandor Ritter
Pero Gutknecht
Rosa-Maria Reising
Annamaria Scholtz
Marion Drewes
Albina Stadelmann
Enrico Hellwig
Remo Köhler
Joachim Rogge
Annelie Heuser
Dr. Karl-Ludwig Stoll MBA.
Sigrid Jockel
Andre Metz B.A.
Harro Söding
Annamaria Hesse
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Univ.Prof. Arne Hoffmann
Ing. Abraham Thanel B.Eng.
Valeska Blümel B.A.
Jörgen Putz B.A.
Andre Mülichen-Scholz
Swetlana Jessel
Danuta Kreusel
