Student
Insa Peukert
Herr Hermann-Josef Hauffer
Julia Heinrich
Ernest Stahr
Hans-Martin Drewes
Emanuel Scholz B.Eng.
Erwin Weimer-Bohlander
Astrid Dehmel
Zeki Henk B.A.
Hans-Herbert Walter
Bertha Heser MBA.
Carl-Heinz Kraus
Liesel Klapp
André Kraushaar-Henck
Heide-Marie Adler B.Eng.
Kreszentia Bloch-Kohl
Suse Pergande-Gröttner
Univ.Prof. Sebastian Sontag
Gisa Hornig-Geißler
Jasmina Zorbach
Emine Vollbrecht B.Eng.
Gottfried Hettner-Reising
Riza Römer
Eugenie Pieper
Hans-J. Neureuther
Caroline Harloff
Diether Blümel
Harry Lange
Bertha Barkholz
Ehrenfried Seidel MBA.
Hüseyin Hethur
Folkert Schwital
Iris Mans
Ralf-Peter Schacht
Marie-Therese Birnbaum
Danny Gumprich
Arndt Weinhold MBA.
Niklas Trubin
Zeljko Meyer
Stefano Atzler
Tabea Rogge
Trude Scholtz B.A.
Malte Davids
Prof. Olga Steckel B.A.
Gerd Beckmann-Gnatz
Ing. Corinne Winkler
Frau Jane Caspar
Dr. Gabriela Geißler
Adriane Heinz-Metz
Prof. Jürgen Blümel B.A.
Klemens Förster
Frank-Peter Weimer
Dr. Bernfried Bärer
Ing. Kay-Uwe Flantz
Friedhold Löwer-Ebert
Univ.Prof. Leszek Gieß B.Eng.
Krystyna Holsten B.A.
Bruno Martin-Kaul
Mattias Wieloch
Marliese Drubin
Gertraud Jüttner
Dipl.-Ing. Christoph Jockel B.Sc.
Frau Cordula Anders B.Eng.
Hildegard Roht B.Sc.
Juan Noack
Hanife Thies
Hinrich Römer
Mary Hofmann B.A.
Irmtraud Freudenberger
Alida Ehlert
Engelbert Carsten-Hiller
Anna-Luise Segebahn
Ing. Justina Beckmann
Univ.Prof. Nurten Neuschäfer MBA.
Miroslaw auch Schlauchin
Rosina Otto
Mikhail Bauer
Cindy Rogge-Dippel
Univ.Prof. Kata Zahn
Irene Stumpf
Dina Schmiedt MBA.
Darko Wilms
Friedl Briemer-Austermühle
Willy Weiß
Mia Paffrath-Ortmann
Ing. Cilli Gertz B.A.
Hans Kohl MBA.
Dipl.-Ing. Ryszard Buchholz
Univ.Prof. Albertine Köhler MBA.
Othmar Täsche-Loos
Dr. Ferdinand Pölitz
Dr. Myriam Pieper B.Eng.
Gerhart Davids B.A.
Pirmin Reising
Dipl.-Ing. Louis Spieß B.A.
Frau Evelin Löffler
Lukas Zirme
Frau Ina Schwital B.Sc.
Sebastian Vogt
Zofia Schulz
Marga Vogt
Herr Andy Förster B.A.
Woldemar Heinz
Univ.Prof. Willfried Werner B.Sc.
Hans-Ulrich Plath B.A.
Alfons Schleich B.A.
Ibrahim Ditschlerin
Kurt Thanel
Franjo Löffler B.Eng.
Monika Hornich MBA.
Bertram Segebahn
Gerolf auch Schlauchin
Edda Klemt
Prof. Magdalena Bohlander B.Sc.
Gabriel Roskoth
Sigmar Briemer
Tanja Renner B.Sc.
Prof. Grete Müller
Manfred Juncken
Ralph Stahr
Adem Mühle-Ruppert
Elfi Roht
Mechtild Winkler
Eugenie Benthin-Ziegert
Aleksander Dowerg
Univ.Prof. Luka Mende
Gabriele Käster
Cetin Schwital
Univ.Prof. Christa-Maria Lehmann B.A.
Konstantinos Stolze-Biggen
Univ.Prof. Kathi Noack B.Eng.
Pauline Mosemann
Undine Dehmel
Ing. Danica Gieß MBA.
Ing. Mohammed Geißler B.Eng.
Andreas Trapp
Ing. Silke Kambs
Bruni Meister B.Sc.
Uschi Trüb
Hellmuth Heidrich
Brita Flantz-Knappe
Dr. Anatoli Bonbach
Prof. Beatrice Misicher
Ulla Süßebier
Concetta Neureuther
Ivana Wilmsen-Gumprich
Hans-Georg Anders
Wojciech Rogner
Dr. Marie-Louise Wohlgemut B.Sc.
Pascal Freudenberger
Constance Rogge
Mehmet Sauer
Judith Meyer
Marko Trupp
Timo Siering-Hübel
Dipl.-Ing. Ildiko Löffler B.A.
Dr. Ehrhard Gieß B.Sc.
Mara Roht
Eva Wende B.Eng.
Dipl.-Ing. Stefano Ditschlerin
Frau Tatiana Hande B.Sc.
Till Karz
Herr Darius Heuser
Remo Köhler
Fatma Sager
Friedrich-Karl Jopich B.Eng.
Ing. Monika Ullrich
Josef Butte-Lindau
Bettina Lachmann
Jeanette Mälzer
Gislinde Junken
Hansjoachim Kraus-Beer
Samir Wähner-Butte
Daria Liebelt
Gudrun Reichmann MBA.
Josefine Rosenow-Hertrampf
Maurice Pieper-Loos
Stephanie Heintze
Franca Börner
Ernest auch Schlauchin
Annaliese Gerlach
Edmund Caspar B.Sc.
Dipl.-Ing. Claas Ladeck
Apollonia Heß B.A.
Reimund Eimer
Necati Koch
Dipl.-Ing. Edmund Franke
Engelbert Margraf-Trommler
Alexej Hornig-Radisch
Dr. Daniela Linke MBA.
Magret Bähr
Malgorzata Pieper
Eveline Putz
Sandy Dietz
Marie-Therese Schleich
Adam Gertz
Friedhelm Schleich
Cilli Röhricht
Thorben Stiebitz
Univ.Prof. Ditmar Mitschke B.A.
Korbinian Werner
Regine Wende B.A.
Alwina Hettner
Lisbeth Hentschel
Ing. Hans-Joachim Ullrich
Kathi Etzler
Dipl.-Ing. Emmy Börner
Dr. Elfie Tintzmann
Dipl.-Ing. Eveline Jäkel MBA.
Malte Herrmann-Zänker
Auguste Pruschke
Valerij Schulz B.A.
Dipl.-Ing. Dursun Köhler
Ralf-Peter Gute
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Marit Eberth
Oscar Junitz
Rosita Wesack B.Sc.
Bayram Cichorius-Zobel
Ljiljana Ruppert
Univ.Prof. Czeslaw Heuser
Margita Hentschel
Dr. Hans-Willi Hertrampf MBA.
Dr. Angelica Trüb
Aziz Bähr B.A.
Martina Salz-Sorgatz
Antonius Bonbach-Juncken
Annelene Reuter B.A.
Cathleen Gude
Ing. Leo Schulz
Laila Kranz
Ernst Henschel
Joana Wähner
Frau Minna Steinberg B.Sc.
Nina Wagenknecht
Emilia Wagenknecht-Riehl
Dipl.-Ing. Gabriel Roskoth
Albina Heinz
Reinald Gerlach
Jonas Löchel
Jacek Bärer
Jakob Döring
Evamaria Berger
Prof. Rudolph Linke
Zofia Gutknecht
Alessandro Krause
Univ.Prof. Fredy Barth MBA.
Univ.Prof. Traudl Mentzel B.Eng.
Heidemarie Köhler
Slavko Weitzel B.Sc.
Henriette Bruder
Krystyna Rust-Baum
Ing. Siglinde Bolzmann
Pawel Schlosser
Salvatore Tlustek
Frau Rosalinde Riehl
Frau Wendelin Heinrich B.Eng.
Anneke Jähn
Klaus-Werner Koch II B.Sc.
Dipl.-Ing. Peer Kuhl
Fabian Lübs
Karl-Heinrich Karz
Kaspar Trub
Leon Bauer
Edeltrud Kambs
Hans Kostolzin-Ditschlerin
Mohammad Karz MBA.
Thies Birnbaum B.A.
Mark Schottin B.Eng.
Hella Pergande MBA.
Herr Karlheinz Mans
Dipl.-Ing. Katarina Schmidtke
Univ.Prof. Zita Löchel B.Sc.
Ing. Rosalinde Käster MBA.
Kristin Kabus
Ria Koch II
Michail Schmidt
Balthasar Holsten
Iwan Renner-Dussen van
Annegrete Pergande
Hans-Joachim Pohl
Anka Gieß
Ljiljana Henk
Univ.Prof. Anna-Luise Faust
Bianka Holsten
Univ.Prof. Heidrun Hiller
Siegfried Schuster
Thomas Drub
Herr Gordon Weihmann B.Eng.
Ingrid Eigenwillig
Domenico Gerlach-Kramer
Erhard Otto
Michaela Döhn
Harriet Rohleder
Enver Börner MBA.
Wilfriede Ehlert
Cemal Trapp
Prof. Henriette Killer
Univ.Prof. Helmut Junitz B.Eng.
Burckhard Mende
Babette Rohleder
Janine Müller-Steckel
Josephine Schweitzer
Mona Söding
Dr. Mohammed Höfig
Hanspeter Benthin
Ludwina Haase
Konstanze Mühle
Herr Yilmaz Vollbrecht B.Eng.
Mia Ullmann
Jaqueline Weitzel-Pölitz
Nathalie Krause
Gabriel Süßebier-Eigenwillig
Karlfried Sorgatz
Fridolin Paffrath-Geisler
Hanspeter Stiffel
Emanuel Holsten
Marek Schenk B.A.
Marta Sontag
Annelie Kitzmann
Damian Bauer
Franco Radisch
Elenore Renner
Janos Ehlert
Dipl.-Ing. Ingolf Krein
Imke Keudel B.Sc.
Univ.Prof. Blanka Linke B.Eng.
Pavel Jessel
Piotr Speer-Seifert
Gislinde Lehmann
Frederik Rust
Enrico Hellwig
Prof. Knud Atzler B.Sc.
Dipl.-Ing. Iris Stumpf MBA.
Sükrü Walter B.Eng.
Gertrude Gumprich
Janine Dehmel B.Eng.
Anja Wagner-Hermann
Heribert Kensy
Ing. Helmuth Bruder
Lina Hein-Gotthard
Robert Herrmann
Gertraude Pärtzelt MBA.
Univ.Prof. Tomasz Atzler B.Sc.
Matteo Dehmel-Weimer
Adriane Wende
Elsa Beer
Lorenzo Hornig
Leon Rust
Monique Ullmann MBA.
Dr. Elmar Junk
Philippe Wähner
Herr Herbert Dowerg
Oxana Stumpf
Prof. Gunter Mentzel
Antonino Klingelhöfer
Agathe Söding
Hans-Hermann Haering
Lorenz Sauer
Ferdi Hoffmann
Slavica Vollbrecht
Juergen Beier B.A.
Magret Oderwald
Ing. Marie-Therese Seifert
Larissa Löffler
Bodo Kranz-Striebitz
Johann Beer
Univ.Prof. Adelbert Zimmer
Inga Wieloch
Ladislaus Hande
Belinda Reinhardt B.A.
Heinz Dieter Barkholz
Pia Fliegner
Stephan Stolze-Holt
Dr. Trude Ziegert B.A.
Doreen Hornig
Univ.Prof. Natalie Flantz
Wulf Fiebig B.A.
Gudrun Geisler
Dipl.-Ing. Sylke Gute B.A.
Dursun Atzler B.A.
Eva Mosemann
Siegbert Seifert
Univ.Prof. Hartwig Holsten B.Sc.
Galina Kraus-Hermighausen
Mariele Bolander
Hans-Theo Bärer B.Eng.
Prof. Hermann Josef Söding
Hans-Martin Kohl
Alicja Gieß
Margot Sontag MBA.
Prof. Meinrad Wiek
Fabienne Birnbaum
Urte Caspar
Reni auch Schlauchin
Philipp Ernst
Adelinde Zimmer
Hans-Karl Rust MBA.
Krista Hofmann
Prof. Vesna Scholz
Marcella Karz B.A.
Bernhardine Mangold
Ottilie auch Schlauchin B.Eng.
Prof. Linda Beier
Dorle Henck-Sorgatz
Gebhard Sauer
Univ.Prof. Rafael Pruschke B.A.
Tino Kensy
Ing. Justus Binner
Dipl.-Ing. Sieglinde Fischer B.Eng.
Amelie Pruschke MBA.
Univ.Prof. Frederike Heintze
Antonios Zimmer
Daniela van der Dussen B.Eng.
Kunigunda Hamann-Hermighausen
Dipl.-Ing. Alexandros Weinhold
Hans-Günther Etzold
Gisa Dörr B.Eng.
Maren Scholz-Bohlander
Dipl.-Ing. Milos Klemt
Ing. Rosina Kabus MBA.
Olav Gumprich-Täsche
Friedlinde Warmer
Deborah Finke
Marianne Heser
Lidwina Sorgatz-Weihmann
Svetlana Bonbach B.A.
Roman Bloch
Univ.Prof. Damian Sorgatz B.Eng.
Mahmut Rose B.A.
Danuta Lachmann-Dussen van
Paola Margraf
Dipl.-Ing. Miguel Bärer
Michelle Klingelhöfer B.Eng.
Alf Jüttner
Dr. Siegfried Heinz B.Eng.
Wendelin Pärtzelt
Ulrike Ackermann B.Sc.
Alf Jacobi Jäckel-Fritsch
Mathilde Kreusel
Faruk Köhler
Abdul Trüb MBA.
Götz Hofmann B.A.
Helga Gerlach-Seifert
Johanna Bohlander
Ernest Tlustek
Lina Hörle
Ana Klapp MBA.
Karl-Heinrich Schüler
Frau Nurten Huhn
Dipl.-Ing. Patric Fröhlich
Christiane Roht
Ing. Celal Textor
Jonathan Schottin-Naser
Stanislaus Davids MBA.
Bianka Dobes-Seifert
Carl Mühle-Wulf
Dipl.-Ing. Nina Boucsein MBA.
Louis Geisel
Hans Jürgen Winkler
Wilfriede Misicher
Asta Knappe
Hellmut Bruder
Cläre Heser
Bernt Huhn
Steffi Schmiedt B.Sc.
Ing. Carolin Matthäi
Lea Heuser
Lore Tröst
Oscar Reinhardt B.A.
Ahmed Freudenberger B.Sc.
Karl-Ludwig Bolnbach
Gino Ernst
Patrizia Bender-Reuter
Univ.Prof. Beatrix Roskoth
Sofia Austermühle
Gabriele Stahr
Gerta Klemt
Frau Ingried Rogner B.Sc.
Henny Eberhardt
Olivia Nerger B.Eng.
Senol Hande MBA.
Univ.Prof. Ignatz Baum
Till Bolander
Prof. Karl-Hermann Pieper B.Eng.
Ruth Wiek-Bloch
Ilja Krause
Angelo Pärtzelt
Carmine Schacht
Sandor Ritter
Patric Stahr-Ebert
Dr. Änne Radisch
Rolf-Dieter Kensy
Marc Henck B.Eng.
Edeltrud Margraf
Gerhart Karz
Senta Wernecke B.Sc.
Frau Anna Mangold B.A.
Carsten Jüttner B.Eng.
Florence Davids
Mark Gute-Faust
Dr. Heiderose Kallert B.Eng.
Ewald Dussen van
Franz-Josef Schmidtke
Dr. Edelgard Sauer B.Sc.
Hans Dieter Fiebig B.Eng.
Fernando Schüler
Andrey Lorch
Herr Benedikt Säuberlich
Klaus-D. Sölzer
Chantal Kade
Theo Döring
Dana Löwer MBA.
Dr. Laila Peukert
Franz-Peter Preiß B.A.
Gerti Döring
Mathilde Wähner-Bien
Gretchen Eimer-Wilmsen
Anna-Luise Seip-Hofmann
Tomasz Bolnbach
Dorina Fiebig
Dr. Catharina Gerlach B.Eng.
Mirjam Stumpf
Deborah Beier
Ing. Leopold Hoffmann
Hans-Karl Christoph-Schleich
Dietlind Drubin
Ferdinand Junitz B.Eng.
Patricia Schäfer
Dipl.-Ing. Beatrix Henk B.Eng.
Undine Jopich
Angela Weimer
Agathe Weinhage B.A.
Ing. Petar Wilmsen
Evi Grein Groth
Sabine Gude
Britt Gorlitz
Hilda Stey B.Eng.
Pedro Pölitz
Anastasios Karge
Fabienne Holt MBA.
Oskar Weitzel
Delia Hande-Koch
Dipl.-Ing. Reimer Werner MBA.
Herr Hellmuth Birnbaum B.A.
Anto Niemeier
Evi Oestrovsky
Nuran Schottin B.Eng.
Amalia Hermann-Schäfer
Gaetano Köhler
Andreas Metz
Roswita Hofmann MBA.
Siegrid Schmiedt
Irmtraut Fröhlich-Hertrampf
Raymond Drub B.Sc.
Dipl.-Ing. Zeljko Stumpf B.A.
Ing. Cord Hermighausen B.Eng.
Rose-Marie Jäkel
Oliver Biggen
Helma Hänel B.A.
Katerina Barkholz
Brigitta Walter
Berta Hörle-Börner
Ing. Hanny Schlosser MBA.
Annemie Margraf
Hubertine Krein
Dr. Jurij Nohlmans B.A.
Veronika Gröttner
Frau Anne-Katrin Rädel
Sandra Scholtz
Christof Ditschlerin
Fatima Eckbauer-Rosemann
Hanne-Lore Johann
Augustin Renner
Calogero Seip
Waltrud Jacob
Dr. Leo Schlosser MBA.
Björn Steckel B.Eng.
Prof. Axel Davids MBA.
Carmen Textor-Krebs
Meinrad Barkholz B.Eng.
Brigitte Zirme B.Sc.
Anne-Rose Hettner B.A.
Henner Schweitzer
Herr David Löchel B.A.
Thies Pergande
Stilla Klotz
Zenon Hahn MBA.
Piotr Schaaf
Marlies Mude
Univ.Prof. Gottfried Süßebier
Ulrike Gierschner-Koch II
Leokadia Finke-Dippel
Heidelore Pärtzelt MBA.
Ottokar Döhn
Ludwig Reinhardt
Niko Gutknecht B.Sc.
Ivo Lorch
Zdenka Weiß
Frau Corinna Wähner
Wilma Matthäi
Apostolos Kreusel-Noack
Miroslawa Haase
Gerlind Trüb-Losekann
Eva Wende-Peukert
Olivia Mies
Klothilde Zänker
Willibald Seidel
Adelinde Geisler
José Tschentscher-Textor
Arnulf Heidrich
Lilli Meyer-Reuter
Folkert Reinhardt B.Sc.
André Kroker
Dr. Edith Ring B.Sc.
Ing. Elisabet Jopich B.Sc.
Fadime Reinhardt MBA.
Rose Henschel
Wulf Caspar
Prof. Alina Ziegert
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Kathi Hering
Siegried Caspar B.A.
Mahmut Hänel
Lorenz Schüler B.A.
Milos Biggen
Frau Annette Fiebig B.Eng.
Margrit Schenk B.A.
Nick Jockel B.A.
Vlado Hübel B.Eng.
Gerwin Schuster
Dorothee Renner
Cemal Hamann
Ing. Wolf-Rüdiger Dietz B.Sc.
Reni Römer
Angela Weimer B.A.
Heiner Rörricht
Aline Steinberg-Klingelhöfer
Alicja Faust B.Eng.
Viola Oderwald B.A.
Aenne Beyer
Univ.Prof. Beate Eberth
Herr Jens Ritter B.Eng.
Dolores Conradi
Patrizia Schüler
Lorenz Kohl
Hans-J. Wohlgemut
Uli Oderwald-Freudenberger
Sandor Riehl
Ingried Ullmann
Lia Zänker
Sami Mans-Ullrich
Patrick Haering
Lisette Stoll B.Eng.
Konstantin Knappe
Klaus-Dieter Meister
Univ.Prof. Karen Etzold B.A.
Friedo Meister-Klemm
Dr. Iris auch Schlauchin
Woldemar Heydrich B.Eng.
Prof. Falko Trapp B.Eng.
Ottomar Kraus
Hermine Schüler
Hans-Dieter Scholl
Giuseppe Stahr
Univ.Prof. Gundi Koch B.A.
Tibor Budig
Ing. Nadeschda Bohlander
Hans-Günther Eimer
Univ.Prof. Gusti Schlosser
Dr. Peggy Beyer B.Sc.
Heinrich Köster
Eckehard Steckel
Elise Heinz
Renate Franke B.A.
Rüdiger Buchholz-Kuhl
Theresa Killer
Fedor Roskoth B.A.
Nada Butte
Ing. Rose-Marie Hölzenbecher
Metin Peukert-Lindner
Iris Kraushaar B.Sc.
Bayram Meister
Karen Rädel
Prof. Edgar Roht
Ing. Imke Eigenwillig B.A.
Carolina Ditschlerin
Ing. Liesa Zirme
Arif Heinrich
Dr. Frederik Dobes MBA.
Prof. Amir Reising MBA.
Ben Zahn
Notburga Huhn
Siegried Otto
Katharine Mohaupt-Heuser
Dipl.-Ing. Rigo van der Dussen B.Eng.
Aurelia Dussen van MBA.
Marion Kuhl
Gebhard Kitzmann
Claire Römer-Hornich
Petar Bauer
Patrizia Schleich
Herr Bastian Hübel B.A.
Ing. Gregor Lindau
Serge Trubin
Herr Erich Rosenow
Fabienne Matthäi-Heß
Dr. Erdogan Eigenwillig MBA.
Martine Conradi
Otto Lindner
Wibke Pärtzelt-Wieloch
Ing. Edeltraud Zirme
Tomislav Jopich-van der Dussen
Univ.Prof. Maria-Luise Trüb B.Sc.
Eleonora Gehringer
Blanka Birnbaum
Lucie Gutknecht
Sandy Fechner
Marcella Holzapfel
Univ.Prof. Siegfried Karz B.Sc.
Liane Gröttner
Aziz Hornich
Dr. Jacqueline Trubin B.Sc.
Anett Bien-Schuster
Herr Maik Klemt MBA.
Giovanni Weller-Söding
Tomislav Steckel
Herr Alwin Sager B.A.
Sylke Binner B.A.
Marie-Louise Hendriks-Dörschner
Andy Mangold
Dipl.-Ing. Lioba Plath
Uli Stolze MBA.
Brunhilde Heinz MBA.
Dipl.-Ing. Henrike Hörle B.A.
Gottfried Keudel MBA.
Nicole Scheibe
Milka Hahn
Ralph Fröhlich
Gebhard Krein
Prof. Henryk Kitzmann
Dr. Jan-Peter Martin B.Eng.
Slavko Fliegner B.Sc.
Franca Harloff-Döring
Hermine Eberhardt
Franz-Xaver Bachmann
Dipl.-Ing. Hans-Gerhard Schleich
Dipl.-Ing. Randolf Martin B.A.
Prof. Anna Kühnert B.Sc.
Burghard Wohlgemut
Yusuf Steinberg B.A.
Margret Hentschel-Davids
Torben Säuberlich-Linke
Barbara Kambs
Ivanka Rogge
Alois Jungfer B.Eng.
Gülay Werner
Leokadia Herrmann
Marlies Beckmann
Dr. Danica Scheuermann B.Sc.
Ingeborg Wesack
Heidelore Stolze
Heide-Marie Beckmann B.Sc.
Nikolas Hethur MBA.
Frauke Söding
André Sauer
Annaliese Klingelhöfer
Osman Schäfer
Manja Koch II-Heuser
Prof. Kordula Vollbrecht B.A.
Ing. Kläre Radisch
Karl-Wilhelm Meyer
Frau Carola Scheibe MBA.
Magdalena Tintzmann B.Sc.
Antoinette Schottin
Sylvio Stiffel
Dipl.-Ing. Wenzel Hellwig B.Sc.
Geert Zänker
Damian Jopich B.A.
Mohammed Geißler
Hans Misicher
Heide-Marie Koch II
Janus Walter
Käthi Faust-Gorlitz
Hans-Herbert Gutknecht
Ottfried Scheibe-Sauer
Nicolas Möchlichen MBA.
Daniela Wernecke-Hölzenbecher
Arnd Jacobi Jäckel
Carmelo Stiebitz
Prof. Maya Peukert
Ing. Ayse Schacht
Wencke Riehl-Stoll
Karl Heinz Stiebitz
Rosalinde Trupp
Christa Säuberlich
Jörgen Paffrath B.Sc.
Hartmut Hiller B.A.
Jochen Säuberlich
Helmtrud Gerlach
Prof. John Jessel
Dipl.-Ing. Birgitta Boucsein
Heinrich Bohlander-Ullrich
William Zirme
Dr. Marco Scheuermann
Lieschen Röhrdanz
Ing. Alban Mohaupt
Frau Herlinde Segebahn
Dipl.-Ing. Edda Barth MBA.
Meryem Sager
Hülya Scheibe
Stephen Kensy
Jolanthe Jessel
Dr. Semra Wagenknecht
Erna Kensy-Bähr
Ingbert Birnbaum-Ring
Herr Julian Gotthard B.Eng.
Karl-Josef Barth
Ing. Erica Schottin
Reni Roht-Binner
Kornelius Winkler
Ing. Anatolij Heintze
Frank-Peter Haase
Georgine Schinke
Prof. Gertraud Drewes
Prof. Attila Werner B.A.
Dipl.-Ing. Angelina Mälzer B.Eng.
Prof. Anka Schulz
Patricia Trubin
Prof. Guiseppe Gröttner B.Sc.
Nurettin Koch II
Rudolf Mentzel
Hendrik Herrmann
Stefanie Dippel
Franz Josef Herrmann
Alban Butte
Alice Lachmann-Finke
Hilmar Spieß
Herr Lukas Eimer
Heinz Dieter Zirme
Dr. Margarethe Ernst
George Hörle
Stephan Hauffer
Ricarda Warmer B.A.
Giuseppe Preiß
Reinhold Bloch
Gundi Schwital
Bartholomäus Karge B.Eng.
Heinz-Günther Mosemann
Rebecca Börner
Wieslaw Löchel
Burckhard Margraf
Svetlana Schenk-Barth
Dariusz Reising-Ernst
Prof. Lydia Siering
Beatrice Bender
Emma Briemer
Antonia Stey
Ing. Therese Rust
Ing. Thekla Beyer B.Sc.
Margot Ullmann
Univ.Prof. Norbert Röhrdanz B.Sc.
Dr. Uta Gumprich
Klaus-Michael Mälzer
Andres Sager
Mechtild Hering
Helmuth Jäntsch
Korbinian Bolander
Prof. Fabian Scholl MBA.
Heinz-Jürgen Adolph
Eileen Geißler
Annelies Beer
Hans-Adolf Mosemann B.A.
Univ.Prof. Josip Hartung
Claire Holt
Dogan Rogge
Herr Oliver Stahr
Melita Hein
Adele Boucsein B.Sc.
Ing. Siglinde Speer MBA.
Angela Hamann
Raymund Thanel
Catrin Bachmann
Gerfried Dippel
Edward Hering MBA.
Rosa Gnatz
Klaus-Peter Kitzmann
Simon Hahn
Dr. Sükrü Hettner
Linda Kruschwitz
Prof. Nuran Sauer B.Sc.
Christopher Sager
Prof. Urs Flantz
Michael Mies B.Sc.
Jens Trub
Dr. Jasmina Ruppert
Dipl.-Ing. Liliana Hartmann
Edmund Schmidt-Fliegner
Irmi Gute
Franz Josef Flantz
Ing. Georgia Rogner
Walli Gnatz
Ralf-Dieter Kroker
Cynthia Langern
Ilja Kitzmann B.A.
Imelda Schäfer
Dr. Silvio Täsche
Adalbert Reising
Emma Briemer B.Eng.
Wally Schmidt
Evi Heuser
Dittmar Berger
Margit Müller
Antonina Pärtzelt-Gerlach
Marcel Stumpf
Ehrhard Häring B.A.
Dr. Isabell Trupp
Maria-Theresia Scholl
Mohammed Ritter
Catrin Förster B.A.
Berndt Grein Groth B.Sc.
Aziz Anders
Dipl.-Ing. Nathalie Radisch
Oxana Schmidtke
Dipl.-Ing. Cora Baum
Dr. Wilfriede Reuter
Mercedes Rädel-Drub
Teresa Schönland
Harro Gunpf
Frau Kirsten Boucsein
Reinhild Pergande
Dipl.-Ing. Sandro Bärer B.A.
Karsten Wohlgemut
Irmtrud Schmiedt B.Sc.
