Student
Frau Xenia Blümel
Wojciech Girschner B.A.
Univ.Prof. Kläre Oderwald B.Sc.
Luciano Biggen
Carla Tintzmann
Oxana Schmidtke
Dipl.-Ing. Eveline Jäkel MBA.
Wolf Häring-Kallert
Annemie Kade-Kuhl
Ing. Konstanze Geisel
Frau Gudrun Huhn B.Sc.
Laurenz Siering-Kallert
Ewald Rädel-Rörricht
Jörgen Paffrath B.Sc.
Dr. Fredy Niemeier
Lidija Löchel B.A.
Guenter Lachmann
Irmi Koch
Dr. Klothilde Lachmann B.A.
Zenon Hahn MBA.
Univ.Prof. Herta Zänker
Agathe Söding
Arnulf Ullmann
Janos Ehlert
Artur Briemer
Cornelia Gehringer
Murat Linke
Gilbert Bolnbach
Anne-Marie Drewes
Herr Julian Gotthard B.Eng.
Ulrich Plath-Weihmann
Prof. Elzbieta Fechner B.Sc.
Dipl.-Ing. Berit Weinhage
Dr. Silvester Krein B.Sc.
Annelies Seifert
Heinz-Joachim Spieß
Erna Kensy-Bähr
Prof. Goran Sölzer MBA.
Ing. Leonore Haering MBA.
Deborah Beier
Henry Hofmann B.Eng.
Alma Rörricht
Ing. Guenther Scholtz B.A.
Caterina Weinhage
Walfried Wohlgemut B.Eng.
Sabine Gude
Ignaz Löwer
Dr. Ehrhard Gieß B.Sc.
Evangelia Gierschner
Ekaterina Schmiedecke
Egon Haase
Ing. Alwine Scholz
Ralph Stahr
Christl Pölitz
Mirella Löchel
Kunigunda Heser
Dr. Mirko Langern MBA.
Denny Lachmann
Univ.Prof. Heidrun Hiller
Sören Spieß
Dr. Editha Rohleder
Ing. Hans-Wilhelm Holt B.Sc.
Erol Kreusel B.Sc.
Kreszentia Bloch-Kohl
Herr Kurt Weitzel B.Sc.
Dr. Helma Kohl B.A.
Univ.Prof. Beate Gude
Elli Junck
Gernot Kobelt
Ing. Hanny Schlosser MBA.
Madeleine Hermann B.Sc.
Kristian Meyer
Hüseyin Hethur
Fredy Ring
Ivanka Berger-Kraus
Ing. Jonas Schaaf
Emil Preiß-Hecker
Heinz-Willi Geisel
Franziska Jüttner
Vincenzo Steinberg B.Sc.
Frau Almuth Kostolzin B.A.
Folker Otto
Sergio Schleich
Friedhilde Dobes
Herr Thorben Jacob
Prof. Alois Jacob
Prof. Karen Benthin B.Eng.
Dr. Anna-Maria Zahn B.Sc.
Willy Reichmann
Dr. Alwina Lorch MBA.
Uwe Schwital MBA.
Adolfine Dippel
Hans-Martin Drewes
Franz Lange
Frau Anna-Luise Sontag
Ines Anders
Urte Bolzmann
Sylvio Gutknecht
Jeanette Mälzer
Helga Salz
Maik Oestrovsky B.Sc.
Albina Stadelmann
Torben Schweitzer
Edeltrud Kambs
Dipl.-Ing. Agatha Pruschke
Kuno Mälzer B.Eng.
Hedwig Matthäi
Reni Rosemann MBA.
Lisette Schönland B.Eng.
Karl-Georg Dörschner
Cläre Heser
Marlen Hesse
Carmen Berger
Ingried Stiffel B.A.
Prof. Mohammad Reinhardt
Marcus Langern
Uli Zimmer
Univ.Prof. Waldtraut Riehl
Joerg Döhn
Catharina Jacob
Dipl.-Ing. Ismet Käster B.Eng.
Augustin Wende
Rosemarie Schmiedecke
Univ.Prof. Hans-Albert Ruppert
Hedy Rudolph MBA.
Karla Gunpf
Edith Kostolzin
Florentine Sölzer-Siering
Ing. Marlene Wirth B.Sc.
Desiree Wulf-Jüttner
Kristian Albers
Herr Emin Trubin
Dr. Anatoli Bonbach
Vesna Bähr
Uli Oderwald-Freudenberger
Hans-Günther Eimer
Ing. Baldur Blümel MBA.
Marijan Killer
Irmengard Sauer
Ferenc Pergande B.Eng.
Rosa Rosenow B.Eng.
Hans-Gerd Jockel
Lilli Atzler
Gertrude Lehmann-Kostolzin
Prof. Catherine Knappe MBA.
Prof. Folker Trupp B.Sc.
Prof. Tania Grein Groth
Leonore Hettner-Staude
Norman Wulf
Lotti Rosemann
Pirmin Wulf B.Sc.
Ulrike Misicher MBA.
Ralph Binner-Römer
Dr. Timo Ernst
Hans-Helmut Eimer MBA.
Saban Etzler B.Eng.
Vincent Kranz B.A.
Ingelore Kobelt MBA.
Jessika Schacht
Frau Renate Geisler
Tomasz Preiß
Roswita Hofmann MBA.
Victor Fritsch B.Eng.
Gitte Buchholz
Dr. Joseph Bien
Ulrike Rädel B.Eng.
Prof. Juliane Henck MBA.
Othmar Weinhage MBA.
Wilhelm Tlustek
Gerlind Trüb-Losekann
Siegbert Kranz
Ria Stroh
Gerda Kitzmann
Univ.Prof. Reinhilde Cichorius B.A.
Cemal Klingelhöfer-Otto
Ing. Hellmuth Scholl
Ing. Magda Jäntsch
Frederik Beyer
Ralf-Dieter Rörricht B.Eng.
Dierk Steinberg
Waltraud Wernecke
Dr. Marian Rust
Dipl.-Ing. Ilse Heß B.Sc.
Holger Röhricht
Stefani Caspar
Frau Raissa Radisch B.Eng.
Jens-Uwe Geisler
Alicja Stiffel
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Dr. Thekla Lindau B.Sc.
Mike Sölzer
Mato Patberg-Heintze
Gertrude Ullmann
Dr. Gabriel Freudenberger MBA.
Fatma Möchlichen
Gundel Dietz
Undine Lindner
Hans-J. Tröst MBA.
Prof. Guiseppe Gröttner B.Sc.
Hans-Theo Vogt-Beckmann
Ing. Ben Lindau MBA.
Adolfine Wilms
Inge Paffrath
Anka Jäkel-Ackermann
Ehrentraud Kroker
Prof. Hans-Hinrich Schmidt
Prof. Heinz-Peter Thies
Herr Karl-Heinrich Eberth B.Sc.
Knut Jacob
Marita Henk
Janko Margraf MBA.
Univ.Prof. Therese Hänel
Edeltraud Bärer
Herr Vito Roskoth B.Sc.
Meta Harloff
Angelique Wesack B.Eng.
Valerie Losekann
Irmtrud Textor B.Eng.
Pius Gierschner-Weitzel
Sergej Dippel
Hanns Stiffel
Ing. Rocco Reuter
Anna Hartmann
Gebhard Eberth B.Eng.
Resi Margraf
Krystyna Holsten B.A.
Ing. Rosina Kabus MBA.
Prof. Susanne Heidrich B.Eng.
Betti Adolph
Xenia Margraf
Dipl.-Ing. Aleksandra Wagner MBA.
Prof. Bernward Wulf B.Eng.
Birgit Pergande
Marta Sontag
Clemens Barth
Franca Buchholz
Wulf Thanel-Scheibe
Ivana Nerger
Dr. Zeki Eberth
Dr. Halina Mälzer
Immo Ring
Margita Meister
Herr Recep Junk B.A.
Ing. Zofia Ernst
Frau Francesca Blümel
Dr. Gerold Dörschner
Gordana Hertrampf-Speer
Florian Weimer
Siegrid Paffrath
Prof. Amelie Rose MBA.
Agata Hertrampf
Pedro Bärer
Ariane Löchel
Albrecht Caspar
Fredo Kühnert-Köhler
Baldur Knappe
Dr. Rosalinde Stolze B.Eng.
Cord Tröst
Resi Ullmann
Sieglinde Stahr
Hans Jürgen Lange
Ing. Valentine Scheibe
Mareen Krebs-Hofmann
Ortwin Scholl
Roderich Ehlert-Henk
Ada Ullmann-Hermann
Anto Kobelt-Kobelt
Burghard Davids
Fernando Gieß
Kornelius Heintze-Baum
Marica Walter
Marietta Heinrich
Jann Schenk
Jolanda Jopich
Gilda Rohleder
Mira Rohleder
Hanife Täsche-Stiffel
Rouven Eberhardt
Telse Rudolph
Stavros Schinke
Sandor Ritter
Rouven Ziegert
Dr. Gundula Putz
Ehrentraud Meyer MBA.
Karl-Peter Hering
Claas Wirth B.Sc.
Ing. Ayse Mangold MBA.
Wilma Paffrath
Prof. Emil Kruschwitz
Joerg Fritsch-Pieper
Alicja Sorgatz
René Gude B.A.
Brian Preiß
Ing. Clemens Wirth
Branka Mentzel
Margaretha Heintze-Henk
Janus Oderwald-auch Schlauchin
Frieda Tintzmann-Löchel
Frau Herlinde Schleich B.Sc.
Wolfgang Beier-Mohaupt
Abram Eckbauer B.A.
Frau Juliane Schulz B.Sc.
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Stavros Zirme
Dipl.-Ing. Gloria Heidrich
Herr Laurenz Häring
Dipl.-Ing. Lucia Renner B.A.
Knud Zimmer
Dr. Otmar Linke MBA.
Hans Jürgen Winkler
Concetta Wohlgemut
Cemil Schweitzer
Hans-Ulrich Liebelt-Hauffer
Ekkehart Bruder
Kilian Austermühle B.A.
Prof. Raymond Söding
Aribert Schulz B.Eng.
Maurice Pieper-Loos
Annaliese Heser B.Sc.
Chantal Fröhlich
Minna Lindner
Mariola Heinrich
Maurice Hübel
Mia Ullmann
Gerald Albers-Jähn
Prof. Jolanthe Gude
Ehrhard Klotz
Karl-Peter Kramer
Irene Rogner
Mehmet Sauer
Silvio Scholl B.Eng.
Klaudia Seidel
Abraham Junken-Beckmann
Amanda Weller
Madeleine Thanel MBA.
Kuno Dussen van
Irmengard Eckbauer
Anka Rohleder
Edit Dowerg
Hildegunde Geißler-Klemm
Dipl.-Ing. Mariana Mohaupt B.Sc.
Alma Flantz MBA.
Malgorzata Rohleder
Vito Roht
Erhardt Heidrich
Betty Steinberg
Dr. Hans-Peter Adolph MBA.
Dipl.-Ing. Gertraut Stolze
Prof. Theda Hölzenbecher
Irene Gotthard-Hoffmann
Stanislaw Misicher
Traugott Hövel
Univ.Prof. Klaus-Günter Renner B.A.
Hans-Willi Benthin
Arzu Ullrich
Ludwina Haase
Karina Tschentscher-Butte
Univ.Prof. Robby Vollbrecht
Natalie Bender MBA.
Otmar Schmidtke
Domenico Nohlmans-Eberhardt
Hans Dieter Kallert
Clarissa Buchholz
Gitta Mohaupt
Judith Meyer
Nadia Rosenow
Hans-Albert Lindau
Thomas Drub
Susi Seifert
Sophie Rädel
Marit Thanel B.Sc.
Luisa Barkholz
Rene Rohleder
Maja Jungfer
Univ.Prof. Friedl Peukert B.Eng.
Dr. Agathe Jähn B.A.
Gerard Förster
Gunnar Weimer
Brunhild Müller
Clara Mans
Jadwiga Koch
Lutz Pärtzelt
Ekkehart Niemeier
Sigrid Schleich
Gero Gierschner
Susana Schaaf
Rupert Kallert
Herr Roman Sontag B.Sc.
Vitali Faust B.Eng.
Alma Kaul
Stanislav Reuter
Helmtrud Börner B.A.
Jonathan Mohaupt
Philomena Bloch
Edmund Caspar B.Sc.
Mike Krein
Hannelore Rädel-Keudel
Asta Knappe
Ing. André Christoph
Corinne Koch II
Magdalene Fröhlich
Hardy Wende B.Sc.
Martina Keudel
Mathilde Kreusel
Henriette Pohl
Marlies Seifert-Roht
Rosa-Maria Knappe
Dr. Theresia Mende
Dr. Rudolf Killer B.Sc.
Samir Krein B.A.
Inka Trub
Hans-Adolf Römer-Jäntsch
Dipl.-Ing. Matteo Baum
Katherina Bien
Wiebke Gehringer
Anna-Lena Röhrdanz B.Sc.
Ernst-August Beyer
Univ.Prof. Herlinde Klotz
Maria Döring B.Sc.
Patric Stahr-Ebert
Ortrun Eckbauer-Kohl
Stella Mülichen
Irmtrud Pohl
Kristin Jacob
Liane Fechner
Adelinde Ackermann-Knappe
Irmi Zobel
Carsten Junken
Veit Beckmann
Fatih Zirme
Saskia Kallert
Bruni Meister B.Sc.
Hasso Mans-Buchholz
Luka Zorbach
Ing. Justina Beckmann
Alwine Sager
Trudi Radisch
Hinrich Römer
Prof. Marten Söding B.A.
Sibille Kallert
Jörgen Lorch
Vito Gorlitz
Meral Bolnbach
Suse Pergande-Gröttner
Sylvia Schäfer
Gerwin Textor
Britt Gorlitz
Irmi Täsche B.A.
Jost Lindau
Frau Corinna Wähner
Rosalinde Trommler
Beatrix Rädel MBA.
Otto Butte
Dipl.-Ing. Mariola Lange B.Sc.
Johann Seidel
Ulrike Albers
Gerard Scholl
Pedro Beer
Iwan Renner-Dussen van
Univ.Prof. Suse Lachmann B.Sc.
Marlies Beckmann
Prof. Horst Mälzer B.Sc.
Catrin Ziegert-Meyer
Ahmet Stumpf
Kay-Uwe Jähn-Schwital
Nicolas Tschentscher
Herr Yilmaz Vollbrecht B.Eng.
Gerhart Davids B.A.
Reimund Eimer
Vlado Kramer B.Eng.
Ing. Dirk Paffrath
Ralf-Dieter Kroker
Herr David Freudenberger B.Eng.
Nico Möchlichen
Margarethe Steckel
Matthäus Eckbauer
Silja Kraus-Schuster
Gina Stolze
Ing. Anna-Maria Stey
Fredi Lindner
Caterina Ullrich
Ing. Hannes Jähn B.Sc.
Frau Edeltraud Radisch B.A.
Frau Danica Davids B.A.
Carmela Lindau
Dipl.-Ing. Apollonia Steuer
Catherine Huhn
Carmen Weinhold
Leonard Kostolzin
Jaqueline Weitzel-Pölitz
Dipl.-Ing. Patric Johann
Ing. Iwan Wagner
Henryk Bauer
Harro Trapp B.Eng.
Urs Bähr
Engelbert Carsten-Hiller
René Ullrich
Marianne Ernst-Zirme
Prof. Kunigunda Pergande MBA.
Conny Zirme B.Sc.
Nicolaus Seifert B.A.
Paul-Gerhard Gunpf
Ante Hermann-Mans
Dorit Zimmer-Krein
Hakan Kitzmann-Scholl
Johannes Schuchhardt-Junitz
Ulrike Ackermann B.Sc.
Kay-Uwe Barkholz
Dogan Bolander
Adelgunde Wagenknecht
Hertha Stoll
Elenore Renner
Prof. Knud Salz
Christopher Sager
Dr. Myriam Häring
Christa Säuberlich
Hannelore Heser-Boucsein
Herr Roderich Hauffer
Bianka Schuster-Ziegert
Harold Scheibe
Vadim Bender B.A.
Evi Heuser
André Sauer
Fatima Eckbauer-Rosemann
Hanni Dippel-Heser
Ing. Marie-Therese Schleich
Henny Rose
Rahel Dörschner
Josef Butte-Lindau
Rosmarie Kambs MBA.
Herrmann Holt-Lindner
Georgine Schäfer
Polina Hettner
Roswita Henck
Dr. Peer Schwital MBA.
Vadim Rose-Wulf
Cäcilie Schmidt
Natalie Carsten B.A.
Nadeschda Rädel
Käthi Lübs
Hülya Conradi
Yvette Dietz
Hans D. Kusch B.Sc.
Prof. Lieschen Mälzer B.Sc.
Mattias Sorgatz-Haase
Gina Wulff B.A.
Esther Hoffmann-Hermighausen
Ing. Pamela Gerlach
Calogero Mude-Etzold
Carsten Hartmann
Walther Hofmann
Tobias Wirth
Franziska Wernecke
Herr Vladimir Zimmer MBA.
Filippo Patberg
Paolo Klotz-Hein
Ing. Christina Beckmann B.Eng.
Jacqueline Hofmann
Christel Bärer-Zirme
Alois Knappe
Carlos Klotz
Prof. Cathrin Misicher
Katherina Hesse
Steffen Cichorius B.Eng.
Adelgunde Thanel
Pius Röhrdanz
Thorsten Ruppersberger
Klaus-D. Zirme-Bachmann
Raisa Scholtz
Geert Rust
Jasmina Cichorius-Barth
Reimar Rädel
Rotraut Bachmann
Peggy Sauer
Julia Mosemann
Rosa Kobelt
Gitta Hübel
Heinz-Georg Heidrich
Regina Wende
Dipl.-Ing. Wilfried Ortmann
Sylke Ehlert
Luis Ackermann
Änne Ring MBA.
Ing. Hans-Heinrich Reichmann B.Sc.
Catrin Caspar
Ing. Adalbert Heser
Steven Seifert
Mark Schottin B.Eng.
Dipl.-Ing. Ingolf Krein
Abraham Hoffmann
Heinz-Werner Briemer B.A.
Kristina Scheibe
Prof. Bärbel Ladeck B.Eng.
Beatrix Gehringer
Hartmut Hiller B.A.
Karl-Heinz Rohleder
Gertraud Jüttner
Janine Müller-Steckel
Constantin Ziegert
Theda Stumpf B.Eng.
Antonius Bonbach-Juncken
Natalia Stroh
Johan Heydrich
Bogdan Rosemann
Heidrun Lindner-Bolnbach
Aneta Heydrich
Univ.Prof. Ferenc Knappe B.Sc.
Heino Lindau B.Eng.
Prof. Edgar Roht
Gisa Budig-Löwer
Francoise Zänker-Knappe
Bianka Scheuermann
Regine Häring
Miroslav Krein
Prof. Knud Atzler B.Sc.
Enrico Hornig
Prof. Ingetraud Seidel B.Sc.
Paulina Bender-Liebelt
Prof. Liliana Klemm MBA.
Cilli Siering
Ron Dobes-Weihmann
Mirja Wähner
Rene Lindau-Jäkel
Dr. Bernfried Bärer
Prof. Conny Klingelhöfer B.Eng.
Lorenzo Hornig
Ing. Marko Linke
Anne-Marie Sontag
Univ.Prof. Monja Staude MBA.
Prof. Marian Gerlach
Steffen Rust B.Eng.
Univ.Prof. Veli Etzler
Janin Hamann
Vladimir Kruschwitz
Carmelo Klapp-Berger
Prof. Timo Schleich MBA.
Frau Valentine Benthin
Ottokar Döhn
Paul-Gerhard Jungfer B.Eng.
Univ.Prof. Amalie Warmer B.Eng.
Anne-Rose Hettner B.A.
Univ.Prof. Fredi Hölzenbecher
Tino Kensy
Reinhold Schäfer-Eimer
Bianka Schmidt
Gunter Schenk B.Sc.
Horst Hauffer B.Eng.
Dipl.-Ing. Freya Höfig
Curt Mühle
Dr. Emin Dietz B.Sc.
Sylvester Bender-Boucsein
Annette Schwital
Elena Gotthard
Heinz Dieter Barkholz
Sebastian Vogt
Simon Hahn
Abdul Ullmann
Reza Misicher
Bertha Köhler
Albrecht Rust-Heinrich
Ursel Conradi
Prof. Bianka Reinhardt
Svenja Hartmann
Dr. Franz-Peter Löffler
Irmingard Meyer MBA.
Ramon Salz
Prof. Denis Segebahn MBA.
Bekir Cichorius-Döring
Univ.Prof. Gesa Loos
Henny Herrmann
Prof. Sonia Blümel
Leon Linke
Nina Müller B.Eng.
Brunhild Briemer B.Sc.
Annegrete Jäkel
Carlo Bohlander
Bert Junck
Pierre Ortmann
Maximilian Steinberg
Michaela Hecker B.Eng.
Curt Jopich
Vitali Neureuther
Kristiane Zahn
Faruk Birnbaum
Torsten Trapp B.A.
Achim Mülichen-Schleich
Tomislav Mende
Attila Rogner
Marion Wohlgemut B.A.
Eveline Birnbaum
Univ.Prof. Gregor Gieß MBA.
Peer Grein Groth-Lange
Dajana Gehringer
Meta Wagenknecht
Frau Brigitta Bohlander MBA.
Auguste Buchholz B.Sc.
Martina Hartung
Sonja Löchel
Katharina Süßebier B.A.
Hermann Josef Junck
Nico Drewes
Cosima Johann
Birger Klapp
Raissa Gehringer-Putz
Gotthard Löwer
Edda Klemt
Aysel van der Dussen-Jäntsch
Yvette Schinke
James Kostolzin-Staude
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Calogero Staude B.A.
Luitgard Weiß-Rörricht
Ing. Bernard Schleich B.Sc.
Prof. Wolf-Dieter Killer B.Sc.
Heide-Marie Gunpf B.A.
Prof. Volkmar Heuser
Vitus Pruschke B.A.
Kirstin Kusch-Meister
Univ.Prof. Canan Zorbach B.Sc.
Univ.Prof. Filiz Rudolph MBA.
Gotthilf Bohnbach-Seip
Ing. Romuald Kreusel B.A.
Prof. Heinz-Joachim Seidel
Dipl.-Ing. Josip Mies
Pietro Klingelhöfer
Laurenz Ritter
Anatolij Keudel
Siegbert Henschel
Lars Weller
Domenico Reichmann
Ramona Henk B.Sc.
Ilka Faust
Ing. Serpil Rudolph MBA.
Undine Scheibe-Stey
Luise Junk
Siegrid Bachmann-Schaaf
Beata Lübs
Prof. Svea Putz MBA.
Rosmarie Ullmann
Wanda Becker
Anatolij Peukert
Anica Austermühle
Mercedes Sauer
Theresia Henck
Helga Gerlach-Seifert
Univ.Prof. Jaroslav Seifert B.Eng.
Ing. Gerold Gotthard
Eugenie Benthin-Ziegert
Dipl.-Ing. Daniele Geißler
Dr. Melitta Mans B.Eng.
Lorenz Schüler B.A.
Aloys Barkholz
Boris Stumpf
Nicolas Möchlichen MBA.
Louis Kostolzin
Gerda Eberhardt B.Sc.
Ignatz Wähner-Hänel
Ing. Christa-Maria Liebelt
Herr Leonid Röhricht MBA.
Daniela Löwer
Marlen Wende
Gerhardt Barkholz B.Eng.
Carin Pruschke
Ing. Karl-Dieter Stroh
Eugenia Sorgatz
Ing. Hüseyin Gutknecht B.Sc.
Christiana Pohl
Irmgard Weinhage-Wieloch
Matthias Hendriks-Koch
Fabienne Dobes-Heuser
Sandy Haering
Anni Hänel B.Eng.
Vesna Döhn
Arif Heinrich
Karl-Wilhelm Geisel
Cathleen Mies MBA.
Dr. Peggy Beyer B.Sc.
Lukas Ditschlerin
Annelore Täsche
Prof. Karen Henk MBA.
Engelbert Sauer MBA.
Anneli Schleich-Ullmann
Malte Bohlander
Dipl.-Ing. Edda Barth MBA.
Franca Mentzel
Berthold Jäntsch-Jessel
Univ.Prof. Betty Conradi B.A.
Frau Ayten Pärtzelt MBA.
Klaus-Dieter Meister
Dagmar Schinke B.Sc.
Dr. Annika Gude MBA.
Adem Schleich
Krzysztof Mülichen
Hans-Rudolf Huhn
Constantin Kraus
Maik Tintzmann B.Sc.
Friedrich-Wilhelm Roht-Wiek
Karl-Hermann Rädel-Müller
Franz-Xaver Scholtz
Dipl.-Ing. Beatrix Henk B.Eng.
Andrea Hamann
Dr. Heinz-Georg Aumann MBA.
Samir Wähner-Butte
Ing. Justina Fiebig
Mirja Bähr
Johannes Freudenberger
Gülten Peukert
Philipp Killer B.A.
Rüdiger Geisler
Melanie Scheel B.A.
Univ.Prof. Marleen Kabus
Grzegorz Mende B.A.
Danielle Ritter B.Eng.
Ing. Mike Stolze
Aneta Schlosser-Köster
Baptist Gröttner B.Sc.
Minna Wernecke-Gumprich
Heinz-Jürgen Hesse
Univ.Prof. Gerhardt Dowerg B.Eng.
Aleksander Drub
Wibke Reuter
Univ.Prof. Vinko Tschentscher
Dr. Semra Wagenknecht
Nuran Schäfer B.A.
Irmtraut Haase-Hendriks
Mattias Henk
Roswita Döhn
Hellmuth Drubin-Tschentscher
Gertraud Mende
Krzysztof Niemeier-Kostolzin
Frau Notburga Pergande
Dittmar Graf
Trudel Bloch
Sevim Textor-Schinke
Angelique Speer B.A.
Dipl.-Ing. Jost Bruder B.Eng.
Uta Kade
Prof. Felicitas Dörschner
Margareta Trub
Mathilde Wähner-Bien
Mike Hofmann
Imelda Geißler
Lutz Mies-Hesse
Pierre Köster
Dipl.-Ing. Jens-Peter Dippel MBA.
Judith Sorgatz
Imke Gieß B.Sc.
Andreas Birnbaum-Kallert
Univ.Prof. Leni Bonbach
Inge Dietz B.A.
Prof. Jürgen Blümel B.A.
Rudi Schacht
Anny Wähner
Univ.Prof. Simona Holzapfel MBA.
Erwin Weimer-Bohlander
Karl-Heinz Buchholz
Johan Buchholz
Simona Lorch
Karl-Friedrich Nerger
Janus Walter
Kunigunda Fischer
Ing. Mattias Boucsein
Nadja Ladeck B.Sc.
Franz-Xaver Bachmann
Frau Kunigunda Schaaf B.A.
Ing. Jürgen Jopich B.A.
Siegfried Schuster
Gislinde Wagenknecht
Aenne Sölzer B.A.
Gertrud Ditschlerin
Evamaria Berger
Clara Rust
Dietlinde Schönland
Alicia Ring
Notburga Pechel B.Eng.
Ing. Nadeschda Bohlander
Hanspeter Stiffel
Thorsten Kensy B.Eng.
Frau Stella Plath B.A.
Univ.Prof. Baptist Mende MBA.
Hans-Uwe Noack-Fröhlich
Dr. Zehra Etzler
Hartmuth Gude B.Eng.
Kunibert Hahn-Lindau
Marie-Louise Killer-Etzler
Nurettin Börner
Justine Kade
Rolf-Peter Rosenow MBA.
Gilbert Peukert B.Eng.
Gretchen Jessel B.Sc.
Dr. Lars Klemt
Nathalie Langern
Ing. Janin Winkler MBA.
Ing. Rosalinde Rogner MBA.
Heidemarie Köhler
Ing. Henning Drub
Veli Junitz
Natalia Fröhlich-Kabus
Marie Henk B.Sc.
Felix Hölzenbecher B.A.
Hans-Detlef Matthäi
Brian Blümel B.Eng.
Univ.Prof. Paul-Gerhard Lübs MBA.
Miriam Hentschel
Mareen Mies B.Eng.
Patricia Schäfer
Felicia Flantz-Lehmann
Emanuel Scholz B.Eng.
Evelin Gerlach
Friedhelm Schleich
Evelyn Ortmann
Hertha Butte B.Eng.
Senta Weihmann
Karl-Hans Hande-Schuster
Cornelia Schinke
Stefanie Pruschke
Dr. Lilly Conradi B.Sc.
Ing. Ramazan Kallert MBA.
Dipl.-Ing. Nuray Mude B.Sc.
Tanja Plath
Fabienne Matthäi-Heß
Wanda Vollbrecht-Reinhardt
Berthold Haase-Trub
Nadja Schleich MBA.
Mirja Dehmel B.A.
Stephan Stolze-Holt
Gerhild Gude
Cemal Hamann
Dr. Saban Hoffmann B.Eng.
Prof. Ruth Gehringer
Gundula Scheel-Döring
Emmy Trub MBA.
Annelore Juncken
Milka Hahn
Valeria Bonbach
Hildburg Dowerg-Pergande
Dursun Mies
Gitte Briemer
Cindy Rogge-Dippel
Dipl.-Ing. Sedat Sontag
Constance Drubin
Rainer Gunpf B.Eng.
Christina Schlosser
Bernard Steinberg
Ekaterina auch Schlauchin
Geert Etzold
Ilija Höfig
Robert Herrmann
Univ.Prof. Metin Martin B.Sc.
Univ.Prof. Meta Rädel
Anna-Marie Ullrich
Reimund Kraushaar
Stefanie Dippel
Wojciech Rogner
Änne Tlustek-Freudenberger
Vitus Schmidt
Carlo Martin B.Eng.
