Student
Silja Kraus-Schuster
Prof. Torsten Geisel B.Sc.
Nadeschda Hande
Dagmar Koch
Prof. Mahmut Barth B.A.
Ing. Rosalinde Käster MBA.
Hanni Wieloch
Prof. Ruthild Nette B.A.
Annemie Herrmann
Dipl.-Ing. Frederik Rörricht B.Sc.
Henri Wirth
Halina Segebahn
Friedhelm Schleich
Eckehard Nette
Prof. Orhan Ladeck MBA.
Andre Metz B.A.
Monja Weiß
Leonardo Trub B.A.
Steven Käster B.Sc.
Friedo Ritter
Greta Baum
Dorle Henck-Sorgatz
Gönül Steinberg
Rudolf Mentzel
Lars Walter
Margit Losekann
Raymond Ruppersberger
Dr. Klothilde Lachmann B.A.
Heribert Ring B.A.
Prof. Irmgard Mühle
Semra Gorlitz
Dr. Laila Peukert
Erhard Reinhardt
Hedda Schönland
Mareike Wilmsen
Orhan Hecker-Heuser
Mike Hofmann
Antonia Mohaupt
Ing. Damaris Bonbach
Jessica Kohl
Dr. Pius Säuberlich B.Sc.
Heinz-Werner Briemer B.A.
Janus Jessel-Hermann
Domenico Gerlach-Kramer
Hanspeter Koch II-Wohlgemut
Emmy Koch
Alena Steuer
Fatima Heser B.Eng.
Roselinde Kusch-Röhrdanz
Antonino Klingelhöfer
Harro Keudel
Tobias Mühle
Prof. Wolfgang Mohaupt
Univ.Prof. Claudio Schmiedt
Heinz-Günter Hesse
Ing. Marleen Hölzenbecher MBA.
Georgine Schinke
Wolf-Dieter Schmiedt
Univ.Prof. Gunda Höfig
Jessika Schacht
Patrik Ditschlerin
Dipl.-Ing. Tina Kranz MBA.
Nick Hermighausen-Krein
Frau Valentine Benthin
Heimo Huhn B.A.
Ilka Heß
Prof. Claudia Mude
Virginia Eigenwillig
Thies Blümel
Annekatrin Wende
Dr. Elfie Tintzmann
Ing. Emmy Beer
Johannes Bärer
Tomasz Niemeier
Univ.Prof. Vesna Hering
Anika Binner-Löffler
Murat Meister
Pasquale Karge
Adem Schleich
Ludmila Löffler
Dr. Elif Peukert B.Eng.
Elvira Mälzer
Katalin Butte
Oxana Lübs
Jolanda Rose
Reinhard Beckmann
Uschi Keudel
Henny Rose
Matthäus Eckbauer
Ing. Gabriella Bähr
Ilja Kitzmann B.A.
Gereon Textor
Leonardo Rogge
Diether Vogt B.A.
Anne-Rose Hettner B.A.
Frau Linda Weiß B.Eng.
Prof. Folker Budig
Wolf Schottin-Gunpf
Univ.Prof. Aysel Lindau
Tillmann Stolze
Fredi Meyer-Weiß
Sami Linke B.A.
Roy Schmidt B.Eng.
Boris Stumpf
Dr. Abdullah Becker
Malgorzata Rohleder
Babett Süßebier B.A.
Tibor Schleich
Auguste Lorch
Joachim Löffler-Riehl
Frau Annette Fiebig B.Eng.
Ing. Hanns Haase B.Eng.
Piotr Ruppersberger
Nikolaos Reichmann
Anatol Adler
Herr David Löchel B.A.
Heino Lindau B.Eng.
Roland Ring
Frau Lilli Möchlichen MBA.
Sükrü Walter B.Eng.
Ing. Siegmund Hertrampf MBA.
Paola Kroker-Klotz
Enno Jockel MBA.
Julian Schuchhardt-Dippel
Justus Lorch
Sylvester Zirme
Berndt Grein Groth B.Sc.
Frau Rosemarie Stiffel
Univ.Prof. Gundi Koch B.A.
Franziska Wernecke
Frank-Michael Klemt
Ing. Iwan Wagner
Gesche Kühnert
Conrad Killer
Ernestine Trommler
Olga Stahr
Arnulf Zimmer-Seifert
Ing. Zdenka Neuschäfer
Irmtrud Röhrdanz
Lieselotte Nohlmans
Bernd Blümel
Ing. Maria Lübs
Ivonne Hahn
Verena Höfig
Stephen Tintzmann
Felicia Binner
Frau Inken Zimmer B.Eng.
Annaliese Klingelhöfer
Lydia Losekann MBA.
Urs Matthäi
Brunhild Karge B.A.
Dina Koch
Univ.Prof. Beatrix Roskoth
Henryk Textor-Gröttner
Dr. Harald Ritter
Ellen Junken
Prof. Anna-Lena Wagner MBA.
Paulina Bender-Liebelt
Milena Weitzel-Steinberg
Marika Zimmer
Univ.Prof. Gönül Meister B.Sc.
Frau Xenia Blümel
Margareta Losekann
Marianna Segebahn-Wernecke
Ing. Claire Hübel
Gerolf auch Schlauchin
Herr Ignatz Boucsein MBA.
Nadin Hertrampf-Killer
Dr. Constance Römer
Lutz Röhricht B.A.
Karl-Wilhelm Meyer
Siegmar Kramer
Hansgeorg Beier-Freudenberger
Lissi Rust-Metz
Günter Löwer
Jeannette Heuser
Siegmar Dowerg
Prof. Concetta Mies B.Eng.
Herr Jacek Budig B.Eng.
Anna-Lena Bloch
Stanislaus Davids MBA.
Dr. Almut Peukert MBA.
Hansgeorg Kruschwitz
Elsa Beer
Ulrich Plath-Weihmann
Ellen Hahn-Spieß
Elena Fiebig
Karl-Hermann Rädel-Müller
Dr. Siegfried Heinz B.Eng.
Zoltan Wilms
Nadia Herrmann
Janko Neureuther
Klaudia Löffler-Zorbach
Victoria Hornig
Olav Gumprich-Täsche
Elli Meister
Dipl.-Ing. Annemarie Trommler B.Sc.
Valeska Zimmer-Schleich
Rosa Kobelt
Niko Pergande
Univ.Prof. Gislinde Rohleder
Ing. Brunhilde Albers
Torsten Schwital-Gude
Hellmut Hein-Gnatz
Alfredo Oestrovsky
Lydia Schenk
Anneliese Gnatz
Wiltrud Geißler
Prof. Hubert Heß
Harm Nette
Gitta Berger
Dittmar Berger
Alfred Rose
Mattias Kensy
Annett Dehmel MBA.
Dolores Stey-Matthäi
Margit Müller
Diana Haering
Gabriele Käster
Kristian Rosemann B.Sc.
Rose-Marie Schüler
Prof. Heinz-Josef Radisch B.A.
Wilhelmine Knappe
Dr. Jochen Schäfer
Jaroslav Benthin
Giuseppe Stahr
Dr. Edelgard Sauer B.Sc.
Frau Herlinde Schleich B.Sc.
Juan Briemer-Textor
Dipl.-Ing. Angelique Ortmann
Herr Gerolf Hermann B.Eng.
Henning Scholl
Ing. Ivana Budig B.Eng.
Petar Bauer
Prof. Georgia Zirme MBA.
Ing. Siglinde Bolzmann
Kreszentia Bloch-Steckel
Emilie Schmiedecke
Natalia Stroh
Hans-Heinrich Schüler-Seip
Irmtrud Textor B.Eng.
Vadim Bender B.A.
Josip Hiller-Hauffer
Anny Wagenknecht
Univ.Prof. Claudia Freudenberger B.Sc.
Mareen Krebs-Hofmann
Frau Kirsten Boucsein
Vadim Rose-Wulf
Fredi Huhn
Paul Carsten
Carmela Lindau
Ria Walter
Dr. Herbert Jockel B.Eng.
Ing. Christa-Maria Liebelt
Dr. Oswin Junken
Frau Herlinde Segebahn
Ivo Börner
Hans Jürgen Winkler
Daria Liebelt
Dr. Rosalinde Stolze B.Eng.
Dipl.-Ing. Walfried Rosemann B.Eng.
Ernest Schönland B.Eng.
Birthe Trommler
Horst-Peter Thies
Univ.Prof. Cläre Weihmann B.A.
Konrad Henschel
Damian auch Schlauchin B.Eng.
Herr Dursun Hentschel B.Eng.
Dorothe Renner
Nada Dowerg-Jähn
Etta Hellwig
Annerose Eckbauer
Sylvio Gutknecht
Univ.Prof. Anneke Gunpf
Annelene Möchlichen-Weiß
Senol Hölzenbecher
Prof. Lydia Siering
Hagen Weimer
Frau Mira Klemm
Gaetano Söding
Nicole Hoffmann
Prof. Jan-Peter Schmidt
Yasmin Wiek
Irmi Döhn
Annelore Bolander
Kazim Tschentscher
Ignatz Gutknecht
Evangelos Beyer
Helfried Seifert-Schönland
Antonie Heser B.Sc.
Woldemar Heinz
Yusuf Nette B.Sc.
Reni Putz-Tintzmann
Reinhard Christoph
Frauke Söding
Prof. Almuth Dippel
Prof. Ferdinand Gertz B.Sc.
Univ.Prof. Jaqueline Dehmel
Univ.Prof. Harriet Heintze
Necati Koch
Mia Paffrath-Ortmann
Dipl.-Ing. Denise Beier
Prof. Olga Steckel B.A.
Siegbert Bachmann-Hövel
Sönke Gumprich
Marit Thanel B.Sc.
Artur Kreusel
Dipl.-Ing. Theda Weinhold B.Eng.
Volker Süßebier-Staude
Sylvio Karge
Dipl.-Ing. Heinz-Otto Jähn
Ute Möchlichen
Cäcilie Patberg
Beata Lübs
Prof. Marie Plath
Dörte Warmer
Luigi Hartung
Marzena Jüttner-Jockel
Helge Schuchhardt
Thomas Hentschel
Prof. John Jessel
Cetin Heidrich
Jo Dussen van
Adeline Hahn
Elisabeth Roskoth
Frank-Michael Köhler
Nikolas Hövel
Mohamed Schottin
Berthold Jäntsch-Jessel
Dr. Margita Stiebitz
Theresa Schüler
Heinrich Putz B.Sc.
Anna-Lena Röhrdanz B.Sc.
Dipl.-Ing. Ingolf Krein
Univ.Prof. Hartwig Holsten B.Sc.
Joana Mielcarek B.A.
Hans Jürgen Grein Groth-Rudolph
Christopher Fröhlich
Hedi Butte-Neuschäfer
Andy Jockel B.Eng.
Margita Hentschel
Edmund Gnatz-Rogner
Prof. Gerda Barkholz MBA.
Heinz-Georg Döhn
Maja Fischer B.A.
Ing. Alwine Scholz
Susi Grein Groth-Steuer
Laura Wilms
Xenia Christoph
Frau Brit Stoll
Dr. Markus Roskoth B.Sc.
Dipl.-Ing. Alla Karge
Sieghard Kensy
Anthony Heintze
Camilla Wiek
Ilka Zimmer-Wesack
Gunar Börner
Christian Jacobi Jäckel
Brigitte Geisler
Traugott Textor-Wagenknecht
Prof. Theda Hölzenbecher
Hans-Herbert Flantz
Heino Römer
Dr. Jost Hiller B.Sc.
Univ.Prof. Othmar Geisel
Dr. Krista Wirth
Justina Zirme
Dr. Friedhilde Adler MBA.
Linda Ziegert-Junken
Ing. Hans-Heinrich Reichmann B.Sc.
Meryem Graf-Lange
Malte Bohlander
Manuel Schenk
Philip Fritsch
Hans D. Haering
Friedlinde Warmer
Marvin Kade-Ladeck
Irmi Jüttner
Wencke Salz
Heinz-Günter Schuster
Hüseyin Johann
Rudolph Etzold
Karl-Josef Thanel
Dipl.-Ing. Utz Henschel MBA.
Philip Mangold
Dr. Jeanette Schuchhardt B.Eng.
Margareta Zirme
Ing. Engelbert Bauer
Friedemann Stoll
Benno Mohaupt
Ing. Tina Schmiedt B.A.
Gerald Albers-Jähn
Heide-Marie Beckmann B.Sc.
Prof. Urs Täsche
Evangelia Meyer-Mielcarek
Elena Ditschlerin
Univ.Prof. Herta Zänker
Irene Rogner
Ottokar Döhn
Christopher Gertz-Kade
Rosi Renner-Graf
Ilonka Kohl
Rolf-Peter Reising B.Sc.
Mira Bender
Dr. Semra Wagenknecht
David Faust-Holsten
Karl Heinz Eigenwillig
Univ.Prof. Czeslaw Heuser
Urs Ebert
Christiane Wirth B.Eng.
Adelinde Gutknecht-Beier
Lieschen Kusch-Pechel
Anica Austermühle
Otmar Wende
Dipl.-Ing. Engin Jähn B.A.
Prof. Guenter Mosemann
Dipl.-Ing. Ante Rust
Ing. Dörte Freudenberger
Enrico Hellwig
Hedda Haase
Frau Ellinor Tintzmann
Dorothea Weihmann
Edeltrud Kambs
Augustin Renner
Cilli Röhricht
Heidelore Pärtzelt MBA.
Prof. Niels Barkholz
Dr. Otto Schmidtke MBA.
Dr. Muzaffer Sauer B.Eng.
Astrid Schweitzer
Rosina Klotz B.A.
Ewa Eimer-Linke
Ing. Carmen Birnbaum
Georgia Liebelt
Bayram Hering
Sylvester Bachmann
Annika Pieper B.A.
Ladislaus Hande
Julia Heinrich
Ing. Anneliese Döring
Ing. Kristina Biggen
Diana Drubin-Walter
Stavros Vollbrecht-Geißler
Aloisia Faust
Zbigniew Schleich-Huhn
Frank-Michael Löwer-Ring
Emmy Trub MBA.
Matteo Krein-Müller
Guenther Metz
Prof. Ingeborg Noack
Dr. Annekatrin Striebitz
Helma Zorbach
Ljudmila Krebs
Janine Dehmel B.Eng.
Carmen Berger
Heidemarie Köhler
Marica Martin
Arndt Bachmann B.Eng.
Ing. Heide Winkler
Gerhart Stumpf
Milan Weiß-Schuchhardt
Ing. Nicolai Textor B.A.
Jiri Bärer
Dipl.-Ing. Harm Ruppert MBA.
Zeljko Gieß
Hans-Detlef Matthäi
Ekrem Zänker
Christina Geisel-Hesse
Nuri Jopich
Erdal Tintzmann
Ramona Henk B.Sc.
Carin Huhn
Ivo Wesack B.Sc.
Ilja Hölzenbecher-van der Dussen
Dipl.-Ing. Gilbert Plath B.Sc.
Univ.Prof. Marleen Kabus
Univ.Prof. Romuald Hermighausen
Ing. Elenore Kostolzin
Marlene Heuser-Trub
Dr. Gerda Butte MBA.
Swantje Heinz
Edmund Junck
Ing. Magda Jäntsch
Eberhardt Schäfer
Ottmar Beier
Andrey Lorch
Univ.Prof. Franz-Josef Zänker
Roderich Ehlert-Henk
Mareen Mans
Hans-Karl Rust MBA.
Adina Mitschke
Reingard Cichorius
Dierk Gunpf B.A.
Univ.Prof. Therese Hänel
Prof. Marten Söding B.A.
Evelin Stumpf
Ing. Dirk Paffrath
Juergen Bähr
Hans-J. Trapp-Koch II
Heinz-Günter Mülichen
Ing. Hanny Noack MBA.
Irmtraut Wende
Margot Schäfer B.Eng.
Freia Lübs
Anja Meyer B.A.
Uli Zimmer
Svenja Hartmann
Gerolf Döring-Buchholz
Anna-Marie Heidrich
Kay-Uwe Pölitz
Hans-Günther Eimer
Kemal Heinz
René Hölzenbecher-Berger
Dr. Timo Ernst
Gerwin Rust MBA.
Ing. Pavel Weller B.Eng.
Bertold Bloch-Beckmann
Anna-Marie Steckel
Dominic Martin
Edda Gertz B.Eng.
Ing. Ayse Schacht
Gereon Jacob
Dr. Marian Rust
Regina Becker
Gudrun Geisler
Dr. Silvester Krein B.Sc.
Annelie Schomber
Joachim Steuer
Hans-Helmut Eimer MBA.
Marek Hesse B.Eng.
Prof. Alina Ziegert
Wera Klemt
Hans-J. Hahn-Süßebier
Univ.Prof. Teresa Weinhage B.A.
Frau Lisbeth Girschner MBA.
Alla Rohleder
Alessandro Caspar
George Käster-Eberth
Milos Biggen
Ing. Sina Johann MBA.
Ing. Rocco Reuter
Elfi Kranz
Frieda Tintzmann-Löchel
Herr Mahmoud Schleich B.Sc.
Frau Katarina Bolander B.Sc.
Carlo Pohl
Hans-Hinrich Stiffel
Andre Schlosser
Emilia Seifert
Falko Schüler
Theda Stumpf B.Eng.
Magarete Krause
Ing. Hellmuth Scholl
Franz Josef Girschner
Lidwina Jockel
Laura Mühle
Wilma Drub B.Eng.
Ulrike Schleich-Süßebier
Hanife Täsche-Stiffel
Prof. Conny Klingelhöfer B.Eng.
Reni Rosemann MBA.
Adam Hölzenbecher-Hettner
Kunigunda Reising
Conrad Paffrath
Trudel Bloch
Roselinde Metz MBA.
Dr. Gabriel Freudenberger MBA.
Herr Hans-Detlef Grein Groth
Ben Zahn
Benno Hofmann
Frau Jane Caspar
Harro Trapp B.Eng.
Felix Hölzenbecher B.A.
Tino Kensy
Kunigunde Ziegert
Jacek Bärer
Irina Seip-Bolnbach
Brian Dussen van
Magret Oderwald
Elisa Noack-Seifert
Abraham Hoffmann
Bela Naser-Löwer
Marie-Luise Staude-Käster
Isa Tlustek
Sofia Mielcarek B.A.
Alena Holzapfel
Leopold Jungfer
Frau Monique Löchel
Armin Hellwig-Finke
Dorina Fiebig
Univ.Prof. Pauline Klemt
Ing. Mohammed Geißler B.Eng.
German Speer
Ellen Haase
Ekrem Pruschke-Jäkel
Anto Niemeier
Anatolij Trub
Hans-Willi Baum-Staude
Kunibert Heß MBA.
Augustin Ernst
Frau Emma Kaul B.Eng.
Maren Heser-Kreusel
Ingetraut Köster
Kornelius Winkler
Hans-Ulrich Plath B.A.
Mina auch Schlauchin
Erika Pruschke
Theresia Henck
Franz Löwer
Prof. Loretta Speer MBA.
Univ.Prof. Hugo Martin
Benno Klemt
Hans-Herbert Walter
Rolf-Peter Rosenow MBA.
Olav Thies
Marie-Therese Schleich
Univ.Prof. Henryk Kostolzin
Dr. Rudolf Killer B.Sc.
Adelinde Zimmer
Gotthilf Bohnbach-Seip
Corinne Berger
Franjo Löffler B.Eng.
Heinz Krebs B.Eng.
Hans-Christian Roht
Immo Koch II
Mesut Trommler
Eleni Matthäi
Sigrun Mälzer
Ing. Alberto Werner
Karl-Otto Kostolzin
Evangelia Misicher
Heinrich Köster
Frau Stefani Hendriks B.A.
Erkan Kuhl-Oestrovsky
Stavros Hövel B.Eng.
Vassilios Kramer
Hans-Gerhard Staude
Ewa Kade
Mandy Trüb
Ing. Giorgio Warmer B.Eng.
Kathrin Dussen van
Sigismund Junitz
Hagen Girschner
Caterina Weinhage
Renate Mies
Univ.Prof. Hanspeter Gorlitz
Senta Wernecke B.Sc.
Ing. Ben Lindau MBA.
Marten Röhricht B.Sc.
Prof. Klaus-Ulrich Boucsein MBA.
Guido Junck
Valentin Rädel
Alicja Pergande
Ing. Jenny Oestrovsky
Oscar Reinhardt B.A.
Karl-Hans Fiebig
Antonios Klemm B.Sc.
Rahel Dörschner
Frau Änne Gunpf B.Sc.
Rüdiger Heinrich
Christoph Löchel B.Sc.
Marta Sontag
Ing. Ivo Weinhold
Marita Henk
Slawomir Tlustek B.A.
Liesa Wilms B.A.
Hans Georg Gorlitz-Schäfer
Ottilie Gute
Michel Kuhl
Eggert Börner-Geisler
Milan Holzapfel
Waldtraut Hoffmann
Irina Täsche
Hans Josef Lachmann
Friedrich-Karl Zorbach
Prof. Salvatore Römer
Ing. Eugenie Kreusel MBA.
Celal Hettner MBA.
Damaris Zirme
Paula Heinz
Pius Röhrdanz
Ing. Anton Gotthard MBA.
Gerlind Trüb-Losekann
Giovanni Weller-Söding
Frau Zdenka Zimmer
Heinz-Joachim Trupp
Heinz-Günter Weimer B.Sc.
Ing. Klothilde Hörle B.A.
Anna-Marie Zorbach
Univ.Prof. Christa-Maria Lehmann B.A.
Carsten Jüttner B.Eng.
Erik Trupp MBA.
Sigmund Conradi
Paolo Meister
Adele Boucsein B.Sc.
Wibke Tschentscher-Wulf
Marion Drewes
Veli Rädel
Helen Dehmel
Alicja Faust B.Eng.
Dr. Irmgard Plath B.A.
Henni Wagenknecht B.Sc.
Anthony Patberg
Gunnar Ernst
Prof. Ludger Kohl MBA.
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Norman Fechner
Marina Wilmsen
Franziska Beer
Ing. Siglinde Speer MBA.
Ing. Klaus-Dieter Karge MBA.
Dipl.-Ing. Liliana Hartmann
André Kroker
Gabi Löwer MBA.
Johann Liebelt MBA.
Monika Haering
Walli Baum-Kohl
Lorenz Kohl
Henriette Bruder
Dietmar Lindau
Kornelius Heintze-Baum
Univ.Prof. Mirella Peukert
Kirstin Boucsein B.Eng.
Volkmar Hentschel
Dusan Conradi-Rogner
Hans-Erich Preiß
Herr Valerij Heydrich
Walter Weller
Horst-Dieter Bähr
Ludmila Dobes B.A.
Christl Eigenwillig
Nikolai Rädel-Klemt
Eveline Birnbaum
Lorenzo Adler-Trommler
Ing. Wencke Speer
Friedhilde Dobes
Klaus Lorch-Graf
Univ.Prof. Theresia Lange MBA.
Augusta Rosemann
Dunja Trub
Svetlana Bohlander B.Sc.
Egbert Gertz
Damian Jopich B.A.
Hatice Jessel
Klaus-Michael Fiebig
Ing. Carolin Faust B.A.
Hajo Jäntsch
Wolf Stadelmann
Dipl.-Ing. Hans-Günther Schuster
Anatoli Caspar
Wiltrud Bolander
Carin Atzler
Danny Mälzer
Ali Briemer-Klemm
Univ.Prof. Maria-Luise Trüb B.Sc.
Anto Tröst-Schäfer
Univ.Prof. Francisco Tröst B.Eng.
Antonius Hermighausen
Jozef Kostolzin
Arnfried Scheuermann
Marica Seidel B.Eng.
Teresa Schomber B.A.
Rabea Weiß MBA.
Univ.Prof. Ottmar Jopich
Joachim Süßebier
Urs Bähr
Jasmina Koch MBA.
Patric Stahr-Ebert
Elias Langern
Ing. Leopold Beier B.Sc.
Miriam Hentschel
Silke Heydrich-Albers
Dr. Jacqueline Trubin B.Sc.
Patrick Pärtzelt-Henck
Univ.Prof. Friederike Bender B.Eng.
Ing. Paul-Heinz Geißler
Lorenzo Zänker
Martha Wilmsen
Mariusz Stadelmann-Jähn
Ruth Mangold B.Sc.
Annegrete Jäkel
Klaus Dieter Stoll-Wilms
Dipl.-Ing. Babette Bauer B.Sc.
Elmar Fröhlich
Bodo Ullrich
Minna Lindner
Uschi Dobes
Notburga Heuser
Laszlo Nerger MBA.
Prof. Marion Scholz
Zenon Hahn MBA.
Berthold Naser
Daniel Zänker
Torben Wiek-Ring
Ing. Knut Christoph
Mario Bärer
Stephen Ackermann B.A.
Wenzel Wilmsen
Jann Schenk
Valentine Bähr B.A.
Veronika Gröttner
Ismail Junck-Trommler
Grit Karz
Bertram Caspar
Fredy Birnbaum-Kensy
Tadeusz Kruschwitz B.Sc.
Laurenz Rosemann
Dana Ebert B.A.
Rosa-Maria Reising
Friedo Lorch
Herr Jens Becker MBA.
Univ.Prof. Almut Ehlert B.Sc.
Dörte Schlosser
Ing. Helmuth Bruder
Helma Häring
Sigmar Briemer
Catrin Weller
Othmar Hölzenbecher
Sergej Pärtzelt
Christiane Mentzel
Marjan Pölitz B.Eng.
Jessica Schottin
Alma Eimer-Seip
Heinrich Döring
Ing. Carla Ziegert B.Eng.
Frau Cordula Anders B.Eng.
Univ.Prof. Sybilla Gehringer
Reimar Hahn-Neureuther
Richard Mende-Hendriks
Marga Vogt
Benita Hahn-Wieloch
Gertraud Mentzel
Anatolij Jüttner-Bauer
Elmar Patberg
Constantin Kostolzin
Dr. Marie-Luise Klingelhöfer B.Eng.
Fanny Bolnbach B.Sc.
Prof. Emine Wulf B.Eng.
Calogero Hoffmann B.Eng.
Fatma Löffler B.Sc.
Wolfhard Kensy
Prof. Juan Hamann
Janine Söding
Anne-Katrin Lorch
Vitus Pruschke B.A.
Diane Butte-Schleich
Paula Stroh
Concetta Seifert
Karoline Römer
Prof. Auguste Scholz
Raymond Drub B.Sc.
Traute Fröhlich
Ing. Lisbeth Fritsch
Gesa Jäntsch
Ilonka Buchholz-Köhler
Hugo Keudel B.A.
Nicolai Gutknecht
Dr. Heiderose Kallert B.Eng.
Aline Atzler-Beckmann
Bozena Schuchhardt
Lilly Seifert
Prof. Norbert Wilms B.A.
Andrea Ziegert
Guenter Kohl-Nette
Bertha Ritter-Drubin
Dan Scheuermann
Aleksej Kühnert B.A.
Univ.Prof. Roman Misicher
Tobias Wirth
Traudel Loos
Mohamed Heydrich
Hellmut Siering
Dr. Ljiljana Henck MBA.
Janna Kambs
Ing. Gregor Lindau
Jaroslaw Pieper MBA.
Pius Jopich B.Eng.
Curt Schönland
Univ.Prof. Heidrun Hiller
Marcel Hermighausen
Dr. Ante Jüttner B.A.
Ahmet Stumpf
Bodo Martin
Yusuf Schacht
Klaus-Günter Kreusel
Dina Schmiedt MBA.
Anika Trüb
Katerina Drubin
Gundula Weitzel-Liebelt
Valeria Mende
Christel Mangold
Frau Anja Haering
Annelie Kitzmann
Ing. Jaqueline Wende B.A.
Alwine Wulf
Isa Koch
Cindy Meyer
Winfried Hermann
Henry Schüler B.Eng.
Georg Nerger
Paolo Wernecke
Sven Walter
Dr. Egbert Kraus
Oxana Henschel
Univ.Prof. Albin Bärer
Frau Nurten Huhn
Dr. Annett Siering
Ing. Meik Eberhardt B.A.
Rosalia Pruschke
Mijo Seidel B.Sc.
Ing. Nikolai Niemeier B.A.
Karla Wirth
Anne-Rose Sorgatz
Dierk Steinberg
Gotthilf Gertz
Heinz-Gerd Beyer
Alex Ziegert
Margareta Dörschner B.Sc.
Natalja Seidel
Dipl.-Ing. Rolf Tröst B.Sc.
Stefanie Benthin
Evangelia Stumpf-Ruppersberger
Antonietta Barth
Niko Butte-Rosenow
Friedlinde Schenk-Wulff
Suse Hornich
Ilias Weiß MBA.
Sigmund Heydrich
Klaus-Dieter Hecker
Dr. Immo Kramer
Herr Christopher Speer
Fatma Sager
Ing. Celal Textor
Juan Schweitzer
Frau Natalija Stey
Mirco Barth
Baptist Radisch MBA.
Elfie Otto
Rochus Gude
Uwe Dussen van
Miriam Juncken
Wiltrud Jäkel
Herr Darko Gutknecht MBA.
Prof. Sylvana Trapp
Knud Trommler
Hans Jürgen Lange
Jerzy Mende-Wagenknecht
Undine Eimer
Prof. Freya Biggen B.Eng.
Prof. Kathy Warmer MBA.
Lidia Butte
Siegried Otto
Dipl.-Ing. Salvatore Zänker MBA.
Curt Jopich
Margret Dehmel
Anika Holsten
Mattias Henk
Polina Ladeck B.A.
Univ.Prof. Jürgen Weiß
Konstanze Mühle
Abraham Junken-Beckmann
Stephen Heidrich
Sebastian Warmer
Muzaffer Sorgatz
Fatma Möchlichen
Ing. Steffen Röhrdanz B.A.
Prof. Irma Bien B.Eng.
Bernard Karge
Berndt Mohaupt MBA.
René Rose-Krebs
Theo Trubin
Prof. Jürgen Blümel B.A.
Katalin Thanel-Kitzmann
Wendelin Pärtzelt
Edda Stahr
Wenzel Ebert
Sami Mitschke
Burkhard Schweitzer
Burkhardt Holt
Dipl.-Ing. Angelina Mälzer B.Eng.
Univ.Prof. Annegrete Henck B.A.
Prof. Ines Kuhl
Elsbeth Schmiedecke-Wulf
