Student
Jasmina Heuser
Katalin Thanel-Kitzmann
Wilma Röhrdanz
Dipl.-Ing. Danuta Stumpf B.Eng.
Dipl.-Ing. Mahmoud Mühle B.Eng.
Ing. Massimo Losekann
Catrin Weller
Juan Schweitzer
Frau Friederike Albers
Ing. Marcel Gute
Sofie Schmiedecke
Aribert Schulz B.Eng.
Christian Jacobi Jäckel
Hans-Jürgen Klemm
Lukas Zirme
Cosimo Girschner
Gerhild Löffler
Ing. Hans Jürgen Häring
Ing. Gottfried Hoffmann
Michaela Sontag-Dörr
Abram Gunpf
Beatrix Scheibe B.Sc.
Katharina Käster MBA.
Theodor Bolnbach-Kroker
Gordana Bolnbach
Sigismund Junitz
Herr Erich Rosenow
Bayram Kostolzin-Rosenow
Arnd Jacobi Jäckel
Fredi Huhn
Univ.Prof. Undine Jungfer
Elzbieta Beier
Alessandro Caspar
Ing. Ivo Weinhold
Univ.Prof. Lucia Zobel
Gotthard Scheuermann
Ing. Denny Mende
Sylke Binner B.A.
Herr Hans Peter Jacob
Anne-Rose Sorgatz
Luciano Aumann
Margareta Lübs-Vollbrecht
Cemal Hamann
Ahmed Lange MBA.
Heinz-Willi Geisel
Harry Lange
Kay-Uwe Jähn-Schwital
Reinhard Rogge
Augustin Carsten
Sofia Etzler B.Eng.
Tino Paffrath B.Eng.
Ing. Edeltraud Zirme
Carin Atzler
Univ.Prof. Vadim Vollbrecht B.A.
Ing. Jens-Peter Tschentscher
Dr. Valentina Knappe
Eva Mosemann
Sevim Junitz
Dr. Karl-Ludwig Stoll MBA.
Prof. Timo Schleich MBA.
Zeljko Kobelt B.Eng.
Hans-Rudolf Fröhlich
Dr. Anika auch Schlauchin B.Sc.
Vassilios Davids
Kunibert Trommler-Renner
Univ.Prof. Pamela Kambs MBA.
Dr. Silvio Täsche
Victor Fritsch B.Eng.
Helmtrud Gerlach
Silvester Etzold
Gerhart Schenk MBA.
Dipl.-Ing. Matteo Baum
Prof. Gerda Barkholz MBA.
Prof. Torsten Geisel B.Sc.
Anna-Maria Holzapfel
Jutta Aumann
Adelgunde Thanel
Pamela Mies B.Eng.
Univ.Prof. Francisco Tröst B.Eng.
Martina Salz-Sorgatz
Leonore Schacht
Herr Karl-Heinrich Eberth B.Sc.
Dr. Stefania Gnatz
Ingmar Hauffer
Dr. Elwira Hiller
Hendrik Bolzmann-Henschel
Ditmar Pölitz B.A.
Ing. Danica Gieß MBA.
Michail Schmidt
Dr. Friedbert Bauer B.Eng.
Monja Mülichen
Saban Eimer
Ing. Gabriela Dippel MBA.
Erdal Tintzmann
Herr Hans Rogge
Valeska Blümel B.A.
Dr. Luisa Anders B.A.
Prof. Emine Wulf B.Eng.
Ludger Stiffel
Dipl.-Ing. Emmy Börner
Walfried Klotz-Klotz
Ferenc Bolzmann-Girschner
Ryszard Süßebier-Neureuther
Prof. Georgia Zirme MBA.
Holger Röhricht
Zlatko Kraus
Alexandra Butte
Prof. Ahmad Rörricht
Nancy Hartmann-Schottin
Hanni Scholz-Weitzel
Heimo Bauer
Margit Müller
Nikola Riehl
Pawel auch Schlauchin
Xenia Hermann
Magdalena Löwer B.Eng.
Ewald Dussen van
Frau Herlinde Segebahn
Berndt Riehl-Bohlander
Vinzenz Bruder
Nikolas Ebert
Ottilie Hartung
Viola Sager
Birte Jüttner
Stavros Hövel B.Eng.
Günter Schottin
Dr. Amir Jäkel
Franz Löwer
Ernst-Dieter Rörricht B.Eng.
Prof. Guenther Margraf B.Eng.
Miguel Briemer
Friedrich-Wilhelm Höfig-Johann
Maximilian Steinberg
Romana Wulff
Lena Holzapfel
Patrizia Schleich
Dr. Franco Wilms
Thies Birnbaum B.A.
Klothilde Blümel B.A.
Eckehard Steckel
Adelbert Austermühle
Univ.Prof. Norma Schleich B.Sc.
Dr. Valentin Eigenwillig
Univ.Prof. Steffen Tröst
Prof. Natalja Mies MBA.
Siegmar Kramer
Angelica Lorch B.Eng.
Janko Rose
Georgine Schäfer
Curt Schönland
Frau Siegried Margraf B.Sc.
Mira Hoffmann
Hans-Helmut Wesack
Univ.Prof. Ilja Hentschel MBA.
Ronald Stiebitz
Prof. Annita Putz
Karl-Dieter Süßebier
Sami Mans-Ullrich
Anne-Rose Hettner B.A.
Mandy Trüb
Dr. Samuel Dobes B.Sc.
Karla Wirth
Leonid Mühle
Janett Patberg
Jonas Adler
Anny Wagenknecht
Silvio Weimer
Cindy Meyer
Klaus-D. Zirme-Bachmann
Gunter Grein Groth B.Eng.
Lisbeth Hentschel
Kenan Pieper
Ines Anders
Cristina Salz B.Sc.
Diana Jessel-Geißler
Gertraude Hahn
Catherine Cichorius
Erdal Meyer B.A.
Anne-Kathrin Ortmann
Ing. Friedhold Hartung B.Sc.
Eugen Weitzel
Carolin Etzler
Prof. Tina Nohlmans MBA.
Arno Ullmann
Irmengard Eckbauer
Ellen Junken
Gerwin Bonbach-Fliegner
Monique Liebelt-Ebert
Arif Pergande-Wagenknecht
Siegbert Kranz
Adina Söding
Prof. Mathias Schmiedt
Adelgunde Beer
Dr. Gerti Scheel
Lothar Fischer
Gülten Henschel
Franz Josef Nette-Werner
Käthi Löffler
Hansgeorg Kruschwitz
Walli Jopich
Patrizia Spieß
Gunter Beyer
Wolf-Dieter Schmiedt
Lilija Döring
Angelina Noack-Wagenknecht
Wladimir Rogge
Dajana Trapp-Kreusel
Berndt Bähr
Geert Zänker
Univ.Prof. Milka Bähr
Faruk Birnbaum
Herta Weitzel
Rahel Hartmann
Prof. Liane Jungfer
Reimar Klemm MBA.
Dr. Wilfriede Reuter
Cäcilie Schmidt
Karla Freudenberger MBA.
Birthe Trommler
Univ.Prof. Alberto Steuer
Elli Kuhl B.Eng.
Annaliese Heser B.Sc.
Adelinde Zimmer
Felix Freudenberger
Hermann-Josef Loos
Götz Budig
Caroline Haering MBA.
Gretel Hande
Wanda Becker
Arnfried Scheuermann
Undine Lindner
Roswita Sauer
Ing. Jo Caspar
Katharina Etzler
Karen Rädel
Trudi Keudel B.A.
Paolo Weller-Heinrich
Constance Lange
Ilonka Buchholz-Köhler
Dipl.-Ing. Christel Beer B.Eng.
Ing. Paolo Meister
Lorenz Hande-Hamann
Albrecht Metz B.A.
Sandor Ritter
Ronny Scholtz
Virginia Gorlitz
Lena Ernst-Schenk
Herr Filippo Rosemann B.A.
Alois Knappe
Sibilla Bachmann
Paul-Gerhard Jungfer B.Eng.
Nikolaus Rosenow
Vitus Schmidt
Raimund Hande
Louis Kostolzin
Hanife Täsche-Stiffel
Ing. Michel Harloff
Lissi Thanel MBA.
Ditmar Niemeier
Annelore Bolander
Lieschen Kusch-Pechel
Urszula Rudolph
Gunda Warmer
Dr. Almut Peukert MBA.
Bernadette Löffler
Priska Wende
Eggert Börner-Geisler
Dipl.-Ing. Julian Mühle
Urban Peukert
Frida Süßebier
Istvan Scheuermann
Amalia Hermann-Schäfer
Dipl.-Ing. Mariola Lange B.Sc.
Drago Täsche
Hans-Gerhard Döhn
Herr Gerold Kreusel
Arndt Bachmann B.Eng.
Prof. Tilmann Franke B.Sc.
Annemarie Seidel
Alida Trupp
Tilman Henschel
Univ.Prof. Ladislaus Hande
Sibille Kallert
Prof. Dietlind Ullrich B.Sc.
Marika Sager
Eberhard Dobes
Wilhelmine Knappe
Clarissa Adler
Gertraut Koch II
Dina Rose
Emmy Bohnbach
Univ.Prof. Johan Lange
Polina Kostolzin
Marvin Gröttner MBA.
Univ.Prof. Dorle Fröhlich
Geraldine Eckbauer
Wanda Vollbrecht-Reinhardt
Dipl.-Ing. Nathalie Radisch
Univ.Prof. Ortwin Geisler MBA.
Hans Jörg Köhler
Prof. Hans-Gerhard Reinhardt B.Eng.
Solveig Scheibe
Knut Jacob
Maren Roht
Rolf Wirth
Hanne Gierschner
Univ.Prof. Erhard Heuser MBA.
Prof. Ruth Gehringer
Dr. Ursel Gute
Dipl.-Ing. Sibylle Kensy
Antonios Walter
Christos Beier
Undine Jopich
Mara Roht
Aloys Ruppert
Herr Wolfhard Hövel
Ryszard Anders B.Sc.
Birgid Nohlmans
Ehrenfried Stiffel
Mariechen Nohlmans
Sigurd Holsten B.Sc.
Inna Schulz
Ing. Eugenie Kreusel MBA.
Silke Heydrich-Albers
Jasmina Bolzmann-Hövel
Antonie Heser B.Sc.
Herr Leonid Röhricht MBA.
Dr. Edelgard Sauer B.Sc.
Franz-Josef Schmidtke
Reiner Conradi
Brunhilde Nohlmans
Dan Schönland MBA.
Ing. Dirk Paffrath
Gina Stolze
Suzanne Holzapfel
Dipl.-Ing. Agatha Pruschke
Heinz-Otto Wende
Aneta Schlosser-Köster
Jan-Peter Scheuermann-Jungfer
Pius Jopich B.Eng.
Egon Haase
Frau Bruni Krein B.A.
Rolf-Peter Rosenow MBA.
Deborah Finke
Curt Jopich
Lucia Hermighausen
Reni Römer
Wenzel Wilmsen
Carolin Holt
Inken Hellwig-Hermann
Kamil Hendriks
Prof. Vadim Rogner
Dariusz Reising-Ernst
Evangelia Harloff B.A.
Wiebke Hölzenbecher
Frithjof van der Dussen
Frau Swantje Heinrich B.A.
Dipl.-Ing. Lotte Austermühle B.A.
Ehrenfried Drubin-Paffrath
Fanny Zänker-Hein
Kunigunda Heser
Helene Ullrich
Constantin Jacob B.Sc.
Valeria Mende
Dipl.-Ing. Stefano Wernecke B.A.
Univ.Prof. Ludwig Jähn B.A.
Jane Reuter
Andy Jockel B.Eng.
Frank-Michael Köhler
Dr. Lars Klemt
Dipl.-Ing. Richard Gröttner B.A.
Ivo Börner
Michaela Loos-Mentzel
Johann Baum
Käthe Ernst
Zdravko Jacob
Frau Gilda Ebert
Frau Trudel Hövel
Univ.Prof. Gretl Langern B.A.
Gerda Sauer
José Tschentscher-Textor
Hildegunde Aumann
Geert Etzold
Isa Koch
Bernard Karge
Ralph Fröhlich
Regine Meyer
Anto Tröst-Schäfer
Helene Kuhl-Austermühle
Ernest Müller
Elzbieta Hartung
Ing. Swen Sorgatz B.Eng.
Stephen Ackermann B.A.
Albina Heinz
Gabriele Schmidt
Olivia Mies
Toni Schottin B.A.
Marietta Geißler
Yusuf Nette B.Sc.
Prof. Heide Krebs
Ing. Siglinde Speer MBA.
Bekir Fechner
Alfred Holzapfel-Hamann
Herr Bertold Löffler
Ann-Kathrin Mühle
Hans-H. Schönland
Dr. Ottfried Lachmann B.Sc.
Hans Georg Gorlitz-Schäfer
Rosina Otto
Bertold Schenk
Clemens Kabus
Hüseyin Hethur
Roland Ring
Luigi Junitz
Kirsten Heydrich
Alfons Schleich B.A.
Luciano Biggen
Ing. Hans-Wolfgang Weitzel B.Sc.
Sami Junitz
Dorothea Finke
Viktoria Trub-Budig
Ekrem Hornich
Magdalene Mude
Univ.Prof. Paulo Jähn
Dragica Rosenow
Antonius Käster
Silja Jüttner
Felicitas Kensy-Stey
Evangelos Ring-Schmiedecke
Dr. Marie-Luise Klingelhöfer B.Eng.
Dr. Mato Geisel
Dipl.-Ing. Louis Spieß B.A.
Artur Schaaf
Jacob Süßebier
Herr Emin Trubin
Ibrahim Lehmann B.Eng.
Guido Pieper
Magarete Klingelhöfer-Mans
Univ.Prof. Pia Schlosser MBA.
Dr. Leopoldine Kostolzin
Desiree Ruppert
Veit Beckmann
Angelika Roskoth
Prof. Guiseppe Gröttner B.Sc.
Klaus-D. Zänker-Hein
Urban Pieper
Wally Kreusel
Herr Ronald Reising B.Sc.
Ernestine Karz
Zoltan Preiß B.Eng.
Artur Kreusel
Univ.Prof. Dana Seifert
Dr. Torben Stey
Gudula Stroh-Bien
Kornelia Kade
Heide Schottin
Ronald Werner
Dipl.-Ing. Ismet Käster B.Eng.
Conrad Paffrath
Annett Anders MBA.
Mariana Jüttner
Dipl.-Ing. Aloys Hentschel
Gerhart Stumpf
Kerstin Heidrich B.A.
Ing. Gislinde Ernst B.A.
Annelore Täsche
Karl-Hans Fiebig
Rolf-Peter Reising B.Sc.
Ulrich Plath-Weihmann
Marie-Luise Ring
Iwan Butte B.Sc.
Anne Zorbach
Thilo Patberg
Arnfried Lorch B.A.
Vinko Schönland B.Eng.
Kai-Uwe Schäfer
Erol Jäntsch
Yasemin Hande
Jolanta Nohlmans-Tschentscher
Emmerich Wilmsen
Carolin Stumpf B.Eng.
Dipl.-Ing. Hermann-Josef Jüttner
Hans-Bernd Zobel
Dusan Zahn B.A.
Hansgeorg Beier-Freudenberger
Senol Hande MBA.
Margareta Schmidt
Alan Stadelmann-Lindner
Tabea Schomber
Robert Budig-Ullmann
Claus Jähn B.Eng.
Tobias Mühle
Carmela Lindau
Ursula Jacobi Jäckel
Evelyne Beyer
Erna Kensy-Bähr
Ulrike Ackermann B.Sc.
Gerd Süßebier
Siegrid Hande
Prof. Susanne Heidrich B.Eng.
Kathi Seip
Zbigniew Boucsein
Dr. Jane Kostolzin
Uli Zimmer
Slavica Koch
Carina Killer
Mara Vollbrecht B.A.
Gino Ernst
Manuela Linke B.Eng.
Erwin Etzold
Johannes Freudenberger
Christa Säuberlich
Hagen Girschner
Bekir Gumprich-Kabus
Hansjürgen Weitzel
Thekla Schäfer
Frau Gitte Hänel
Helmuth Wagner
Univ.Prof. Liliana Drub
Catrin Förster B.A.
Berit Pärtzelt
Hans-Jochen Mude
Cläre Heser
Annemarie Häring
Uli Wohlgemut-Stadelmann
Corinna Täsche B.A.
Edit Dowerg
Frau Stefani Hendriks B.A.
Herr Guido Knappe B.Eng.
Augusta Rosemann
Cathrin Weitzel MBA.
Elisabeth Roskoth
Dr. Reza Hering B.Sc.
Diethelm Hübel MBA.
Olaf Juncken
Kuno Dussen van
Friedericke Lange
Prof. Elzbieta Fechner B.Sc.
Dipl.-Ing. Reinhart Gotthard B.Eng.
Prof. Maya Peukert
Wilhelm Walter
Hildegart Scheel B.A.
Univ.Prof. Irene Budig
Ewald Hethur
Leokadia Herrmann
Joerg Fritsch-Pieper
George Käster-Eberth
Reni auch Schlauchin
Hans D. Kusch B.Sc.
Janina Faust MBA.
Tomasz Bolnbach
Prof. Wolf-Dietrich Schweitzer MBA.
Marieluise Kruschwitz
Rüdiger Bien-Hübel
Gisela Hornich-Metz
Univ.Prof. Trudel Gierschner MBA.
Siegfried Kreusel
Gerd Becker
Lidwina Sorgatz-Weihmann
Anna-Marie Heidrich
Univ.Prof. Ricardo Sorgatz B.A.
Dörte Nette
Sergej Pärtzelt
Univ.Prof. Jann Schleich
Sandy Haering
Nora Dehmel B.Eng.
Oxana Schmidtke
Dipl.-Ing. Tim Jäntsch B.Eng.
Marliese Becker
Lambert Wilmsen
Gerlind Trüb-Losekann
Hans Dieter Stahr
Arnulf Kusch
Adelinde Ackermann-Knappe
Marit Thanel B.Sc.
Bert Ortmann
Gregor Jungfer
Joana Wähner
Univ.Prof. Horst Scholtz
Friedericke Bolzmann
Knud Zimmer
Greta Hermighausen
Felicia Binner
Herr Konstantin Neureuther B.A.
Ing. Dörte Freudenberger
Frida Stolze
Rosa-Maria Steckel
Elias Langern
Univ.Prof. Marleen Kabus
Jonas Löchel
Hiltraud Köster MBA.
Metin Peukert-Lindner
Wiltrud Wilmsen-Graf
Luciano Wirth
Ruth Mangold B.Sc.
Louise Jessel
Eleonora Gehringer
Celal Hettner MBA.
Ing. Berta Oestrovsky B.Eng.
Univ.Prof. Matthäus Gude
Leo Gunpf-Bolzmann
Alexej Röhrdanz
Dipl.-Ing. Marisa Scholl
Konstantinos Seifert
Karoline Carsten
Prof. Erwin Albers B.Sc.
Karlheinz Martin
Kemal Heinz
Deborah Becker
Edit Kitzmann
Herwig Jäntsch B.Sc.
Ronald Börner-Hentschel
Tibor Briemer
Mehdi Kohl B.A.
Angelo Pärtzelt
Gottlob Römer
Karl Heinz Eigenwillig
Waltraud Wernecke
Univ.Prof. Lara Hoffmann MBA.
Wiltrud Bolander
Jo Gnatz
Hanne Junk
Magda Geißler
Dr. Wolf-Rüdiger Trüb
Ulrike Hiller
Ingelore Heinz
Tanja Henk
Abram Eckbauer B.A.
Prof. Henryk Kitzmann
Ing. Maria Lübs
Mia Ullmann
Damian Holsten
Brunhilde Scholz
Gülten Röhrdanz
Julie Mosemann
Edgar Karge
Dipl.-Ing. Nuray Mude B.Sc.
Dipl.-Ing. Alan Schacht B.Eng.
Rose Beer
Baptist Radisch MBA.
Prof. Katarzyna Gehringer B.Eng.
Heidrun Lindner-Bolnbach
Herta Keudel
Gerd Beckmann-Gnatz
Steffen Rust B.Eng.
Hanne-Lore Johann
Elena Wilmsen
Gabriel Werner
Prof. Katrin Mülichen B.Eng.
Freia Kraushaar B.A.
Carmine Bruder-Rörricht
Ingo Heinz
Karla Etzler-Metz
Eckehard Mude
Ellen Röhrdanz
Ignatz Budig
Dipl.-Ing. Birgitta Boucsein
Ing. Sebastian Killer B.A.
Arne Ziegert B.Sc.
Univ.Prof. Helge Pieper
Univ.Prof. Jacqueline Faust
Dr. Harald Ritter
Dipl.-Ing. Berend Niemeier
Marliese Drubin
Waltrud Jacob
Florentine Sölzer-Siering
Beatrice Fechner
Ellen Weinhold
Univ.Prof. Hans-Peter Schmidt MBA.
Florentine Eimer
Hans D. Haering
Jana Drubin-Heß
Erich Putz
Monique Schleich-Kroker
Verena Gute-Trüb
Babett Süßebier B.A.
Ing. Heinz-Josef Hoffmann
Ulf Dörschner
Ing. Ignaz Rose
Dr. Lieselotte Blümel B.A.
Liliana Zorbach MBA.
Dr. Rita Kallert
Amanda Weller
Dr. Klothilde Lachmann B.A.
Gilbert Steuer-Rosemann
Belinda Huhn
Dr. Vitus Franke
Tilly Pergande
Angelique Wesack B.Eng.
Frau Anka Hering
Mariechen Scholl
Babett Adler
Nicolai Röhricht-Spieß
Ing. Galina Schenk
Joana Zimmer B.A.
Dr. Edda Hecker B.Eng.
Kuno Kreusel
Dr. Ruben Wernecke
Mira Rohleder
Viola Ackermann
Dr. Denise Girschner B.Sc.
Prof. Folkert Ernst MBA.
Heinz-Werner Schleich-Mies
Eva-Marie Berger MBA.
Bozena Schuchhardt
Herr Ansgar Gnatz
Gundula Scheel-Döring
Friedhelm Schleich
Natalia Fröhlich-Kabus
Armin Hellwig-Finke
Milos Seifert
Alexandre Häring
Wilfried Radisch
Irmi Gute
Antje Kambs
Brigitte Geisler
Marica Martin
Dr. Rotraud Gorlitz
Frau Alwina Bohnbach B.Eng.
Dominic Martin
Thomas Weinhold B.Eng.
Ferenc Trüb B.A.
Sybilla Hornig
Friedlinde Schenk-Wulff
Lia Zänker
Ing. Konstantin Gerlach B.A.
Tomas Gröttner
Reinhild Patberg
Dipl.-Ing. Randolf Martin B.A.
Madlen Trupp B.Eng.
Janette Kraushaar
Günter Fischer
Annemie Kade-Kuhl
Nuran Schottin B.Eng.
Herr Jost Ruppersberger B.A.
Marcel Schlosser
Silvia Weiß
Cemal Budig-Holt
Hans-Friedrich Heydrich
Josip Kuhl
Timm Wende
Valentin Döring
Hinrich Römer
Frau Tatiana Hande B.Sc.
Ing. Valentina Börner
Cläre Mohaupt
Bernhardine Pechel
Jolanda Jopich
Amir Reuter
Ottmar Kruschwitz
Hans-Hinrich Trub
Thea Schmiedecke
Hans-Ulrich Dussen van
Heide-Marie Zirme
Sofia Austermühle
Zita Winkler
Ing. Karl-Peter Weinhold B.Sc.
Semra Gorlitz
Prof. Uschi Fliegner B.A.
Otfried Ortmann
Margaret Kramer B.A.
Klothilde Zänker
Herr Muzaffer Klotz B.Sc.
Gabi Gertz
Ing. Rolf Gertz
Hans-Dietrich Fliegner
Dagmar Schäfer
Karina Tschentscher-Butte
Antje Etzold
Jasmina Zorbach
Ignatz Börner
Nadine Sauer
Eugenia Anders B.A.
Karl-Hans Weinhold-Noack
Ulrike Misicher MBA.
Frau Emilia Pruschke B.A.
Ing. Pius Börner
Nada Hänel
Ing. Natalie Oderwald B.Sc.
Emmerich Killer
Gertraude Salz-Gnatz
Univ.Prof. Woldemar Walter
Hans-Hinrich Bohlander
Pavel Pärtzelt B.Sc.
Marianne Ziegert-Werner
Mirko Ehlert
Carmelo Stiebitz
Almuth Rosenow-Schönland
Damian Bauer
Linus Schuchhardt
Aurelia Mude
Jennifer Hoffmann
Frau Rosa-Maria Sauer B.Sc.
Radmila Schomber B.Eng.
Herr Gotthard Wilms
Katarina Knappe
Gesine Graf
Fredy Ring
Hansjürgen Säuberlich
Ing. Jürgen Jopich B.A.
Serge Kade
Julia Mosemann
Ing. Jaqueline Wende B.A.
Aziz Anders
Prof. Emine Beer
Melita Schleich
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Robert Herrmann
Univ.Prof. Catharina Neureuther B.Sc.
Hardy Wende B.Sc.
Ahmet Eckbauer-Sölzer
Andre Metz B.A.
Falk Wagenknecht B.Eng.
Univ.Prof. Sigurd Fischer B.Eng.
Natalja Löchel-Beckmann
Helmuth Jäntsch
Prof. Ada Wähner
Adam Krein-Karge
Herr Yusuf Kabus B.A.
Mareen Krebs-Hofmann
Dr. Bernfried Schomber
Vladimir Wulf B.A.
Karl-Ludwig Hoffmann
Antonino Klingelhöfer
Conny Fliegner
Raymund Koch II-Margraf
Immo Ring
Dorle Rädel
Gundolf Schomber-Hellwig
Dr. Abdullah Becker
Julia Pärtzelt
Jan Freudenberger
Karl-Jürgen Ziegert
Reza Mielcarek
Irmtraut Mülichen B.A.
Friedlinde Sauer
Gunnar Hentschel
Univ.Prof. Hinrich Eberth
Gülsen Davids-Heinz
Sami Stolze-Döhn
Traugott Textor-Wagenknecht
Isabel Rose
Henny Rose
Irmtraut Wende
Dana Löwer MBA.
Christopher Sager
Philip Fritsch
Oskar Beyer
Michel Kuhl
Elfi Kranz
Daria Liebelt
Susana Schaaf
Edward Hering MBA.
Tina van der Dussen
Magnus Heidrich
Prof. Ricardo Kensy
Marta Sontag
Severin Barkholz B.Eng.
Josip Stey
Gino Heß
Friedrich-Wilhelm Holsten
Rosa-Maria Seifert
Ing. Dagmar Bohnbach B.Eng.
Thorben Ruppert
Magrit Lange
Ben Zahn
Ing. Tillmann Geisel
Woldemar Bolzmann B.A.
Anka Förster
Torben Hartung
Trudel Wagner
Heinz-Wilhelm Steuer-Mende
Ing. Romy Gieß
Eckehard Nette
Sylvia Schäfer
Ingeborg Wesack
Mohamed Schottin
Univ.Prof. Fredi Hölzenbecher
Hanna Speer
Burckhard Heuser
Frau Wenke Riehl
Ekaterina Liebelt
Anja Meyer B.A.
Ilija Hofmann
Emilie Kallert-Zorbach
Liesa Sauer
Univ.Prof. Brigitte Rogner
Leon Junken
