Student
Hans-Ulrich Dussen van
Frau Etta Wesack MBA.
Isabel Rose
Anne-Kathrin Ortmann
Prof. Gundula Dörr B.Sc.
Maximilian Jockel
Jolanda Jopich
Melita Schleich
Gabriel Süßebier-Eigenwillig
Ing. Torben Hande MBA.
Tina Radisch
Vesna Bähr
Susann Haering
Prof. Sylvester Bender
Maria Mans B.Eng.
Constance Lange
Heinz-Günter Schuster
Aziz Hornich
Gesa Keudel-Bauer
Wolfram Klingelhöfer B.Eng.
Arne Ziegert B.Sc.
Gerhardt Barkholz B.Eng.
Cosimo Zimmer
Sibilla Mitschke-Losekann
Aleksandra Stey MBA.
Zlatko Briemer-Karge
René Hölzenbecher-Berger
Anne-Rose Hettner B.A.
Anto Kobelt-Kobelt
Grit Röhricht-Rosemann
Evi Heuser
Uli Wohlgemut-Stadelmann
Henny Stey
Lydia Jopich
Irmtrud Schaaf-Jacobi Jäckel
Corinne Koch II
Dr. Agathe Jähn B.A.
Ahmet Pärtzelt
Peer Jähn
Marian Hande
Ignaz Beer-Eckbauer
Univ.Prof. Paul-Gerhard Lübs MBA.
Ivanka Rogge
Insa Bloch B.A.
Ing. Margareta Hethur B.A.
Janos Winkler B.A.
Dr. Inna Mude MBA.
Tabea Rogge
Meike Berger
Heinz-Walter Roskoth-Hertrampf
Ruth Wiek-Bloch
Ing. Wenke Karge B.Sc.
Mina Beyer
Hannchen Löwer B.Eng.
Hildegart Scheel B.A.
Dipl.-Ing. Elly Davids B.Sc.
Juliane Mentzel-Ziegert
Carl Jockel
Heinz-Günter Fischer
Brian Hölzenbecher
Prof. Roy Blümel
Brita Schwital
Tomas Gröttner
Ing. Nadeschda Tschentscher B.A.
Eckard Dehmel MBA.
Ingetraut Köster
Harro Gunpf
Hans-Bernd Kabus
Dr. Lilija Butte B.A.
Konstantin Ladeck
Hans-Theo Thies
Lydia Losekann MBA.
Tilman Henschel
Eugen Weitzel
Gunhild Ullmann
Lisbeth Karge
Univ.Prof. Herlinde Klotz
Prof. Luzie Killer B.Sc.
Slavica Vollbrecht
Prof. Walter Pechel
Gregor Loos-Gehringer
Canan Heinrich
Annekatrin Wende
Ronald Hofmann
Rosina Ditschlerin-Ortmann
Miroslaw Hentschel-Stoll
Hilde Walter
Mariola Gnatz
Eleni Mühle MBA.
Zbigniew Höfig B.Eng.
Leon Bauer
Leonore Hettner-Staude
Luzie Schäfer
Engin Schenk
Ing. Tomas Fischer B.Sc.
Wladimir Karge
Dipl.-Ing. Sieglinde Fischer B.Eng.
Erdal Bähr
Traudl Gierschner
Kornelius Winkler
Karl-Hans Hande-Schuster
Univ.Prof. Virginia Pechel
Heinz-Joachim Trupp
Henrik Heidrich
Zita Butte
Ing. Karl-Dieter Stroh
Isolde Seifert
Oda Berger
Prof. Nuran Sauer B.Sc.
Prof. Liliana Klemm MBA.
Ricarda Warmer B.A.
Albrecht Seifert B.Sc.
Edmund Gnatz-Rogner
Karl Heinz Kruschwitz-Reising
Nadeschda Barkholz
Pawel auch Schlauchin
Hans-Rudolf Huhn
Jost Gröttner-Mülichen
Elmar Förster
Andrei Hertrampf-Trommler
Herr Marian Schlosser B.A.
Dipl.-Ing. Melanie Kreusel B.A.
Augustin Renner
Andree Budig B.Eng.
Johann Rust
Bekir Bonbach
Frau Mirjana Baum B.Sc.
Judith Hering B.A.
Jens-Peter Heinrich
Lorenz Kohl
Ing. Wencke Speer
Bruni Meister B.Sc.
Ing. Klothilde Hörle B.A.
Lena Dowerg
Prof. Mirko Adolph B.A.
Fernando Reising
Ing. Cilli Gertz B.A.
Maurizio Hermann
Henny Vogt
Univ.Prof. Kathi Noack B.Eng.
Frau Yvonne Trupp B.A.
Ioannis Klemt
Joerg Döhn
Mandy Loos
Horst-Peter Löchel
Andreas Trapp
Frau Aleksandra Bähr B.Eng.
Herr André Scholl B.Sc.
Univ.Prof. Florentine Schomber B.Eng.
Ilonka Kohl
Rolf Wirth
Lorenz Hande-Hamann
Hans Georg Gorlitz-Schäfer
Svenja Salz
Torsten Schwital-Gude
Jonas Albers
Imelda Schäfer
Michaela Döhn
Nikolas Hethur MBA.
Dierk Steinberg
Univ.Prof. Alberto Steuer
Annelore Juncken
Woldemar Jacob B.A.
Irmela Höfig B.Sc.
Andrei Wulff
Hubertus Dörschner
Wojciech Losekann-Seidel
Juergen Beier B.A.
Annamaria Baum MBA.
Prof. Guenter Mosemann
Jessika Thies
Sandra Hornig
Hanni Dippel-Heser
Dr. Elwira Hiller
Jan Linke MBA.
Univ.Prof. Mira Mende B.Eng.
Uli Schönland-Trupp
Mirco Girschner
Friedrich-Karl Sorgatz-Schmiedt
Annelore Bolander
Dipl.-Ing. Meral Beyer
Pirmin Boucsein MBA.
Karl-Josef Thanel
Ortwin Scholl
Dr. Lidia Flantz B.Sc.
Prof. Wolfgang Mohaupt
Karl-August Liebelt-Köhler
Trude Ruppersberger
Alexei Meister
Dipl.-Ing. Konrad Schenk
Gerda Mans
Hasso Renner
Nadia Rosenow
Wilfriede Misicher
Dipl.-Ing. Christel Beer B.Eng.
Julia Ruppersberger
Prof. Jan-Peter Schmidt
Heinz-Günter Weimer B.Sc.
Ewa Bolnbach-Textor
Silvester Scheibe
Cläre Heser
Edit Siering
Tobias Wirth
Ahmad Jacobi Jäckel
Hans Josef Striebitz
Branka Hering
Bert Junck
Jane Reuter
Änne Schweitzer-Putz
Herr Wladimir Bolnbach
Ernst-August Gutknecht
Dr. Rosalinde Stolze B.Eng.
Herr Ronald Reising B.Sc.
Wolf Schottin-Gunpf
Prof. Bela Noack
Reinald Zahn
Attila Rogner
Frau Rosa-Maria Sauer B.Sc.
Ilka Lachmann
Kunigunda Hänel-Briemer
Lisette Stoll B.Eng.
Julia Pärtzelt
Ivo Börner
Karl-Hermann Rädel-Müller
Friedericke Ring MBA.
Annie Langern
Vittorio Hertrampf
Herr Gerolf Hermann B.Eng.
Gilbert Schottin
Dr. Hans-Hermann Rosemann B.A.
Frau Angelina Martin
Lilly Seifert
Dr. Markus Roskoth B.Sc.
Fabienne Birnbaum
Norbert Eimer
Leopold Rörricht
Ricarda Steuer
Malte Herrmann-Zänker
George Paffrath MBA.
Ing. Bernfried Haering
Univ.Prof. Regina Salz B.Eng.
Ludmila Stadelmann
Gerolf Radisch
Niko Geißler-Wirth
Hans Jürgen Lange
Pedro Bärer
Käthi Naser-Tlustek
Patricia Trubin
Prof. Kathy Warmer MBA.
Karl-Otto Kostolzin
Auguste Lorch
Prof. Constance Girschner MBA.
Reingard Cichorius
Olaf Hethur
Slavko Schüler B.Eng.
Johannes Schuchhardt-Junitz
Willibald Ziegert-Siering
Dr. Rudolf Killer B.Sc.
Stefania Möchlichen
Josefa Junk
Alena Seip
Miroslawa Jäkel-Bohnbach
Guenther Metz
Univ.Prof. Gino Wagner B.Sc.
Dipl.-Ing. Lioba Plath
Dr. Harald Ritter
Cäcilie Schmidt
Frau Pascale Hettner B.Eng.
Lioba Söding
Anne Zorbach
Miroslawa Gude B.Sc.
Bozena Meyer
Ing. Annelise Nette B.Eng.
Else Heß MBA.
Senta Weihmann
Eduard Kühnert
Undine Lindner
Dipl.-Ing. Jörgen Rose B.Eng.
Klaus Dieter Rädel
Dagobert Bohnbach
Marcella Holzapfel
Diedrich Scheel-Hübel
Zofia Gutknecht
Friedlinde Sauer
Adriane Stroh
Jeannette Heuser
Nadeshda Mentzel
Dorit Köster
Anselm Mühle
Ruth Hartung
Prof. Rosa Kruschwitz B.Sc.
Margarete Mohaupt B.Sc.
Anne-Katrin Lorch
Mirella Löchel
Annika Lindner
Heide Schottin
Petar Bauer
Carina Hövel
Nora Klapp-Finke
Kristian Ritter
Recep Weihmann
Gereon Textor
Ilonka Lange
Verena Davids
Faruk Schomber
Sami Linke B.A.
Prof. Irmgard Mühle
Adele Stroh
Herta Weitzel
Hans-Michael Rudolph
Univ.Prof. Annegrete Holt
Antonina Wagner
Univ.Prof. Nikola Graf MBA.
Elfie Otto
Vanessa Hornig
Hans-Karl Christoph-Schleich
Univ.Prof. Niklas Mohaupt MBA.
Karl-Ludwig Bolnbach
Oscar Fritsch
Danuta Kensy
Hajo Kranz-Heser
Ing. Mahmoud Becker
Univ.Prof. Kata Zahn
Caroline Haering MBA.
Dipl.-Ing. Tamara Seifert B.A.
Miriam Hentschel
Dorle Henck-Sorgatz
Prof. Andrzej Gorlitz
Herr Alexandre Eimer B.A.
Stephan Warmer B.Eng.
Margarete Linke
Patrick Anders-Stolze
Hüseyin Wulf-Schmidt
Jonas Hendriks
Hans Georg Niemeier
Martin Rose B.A.
Nancy Karz-Bolzmann
Marlis Rogge B.Sc.
Prof. Emil Kruschwitz
Ulrike Klemt B.Sc.
Meinhard Schuster
Antonie Ladeck
Adele Boucsein B.Sc.
Univ.Prof. Rosl Pölitz
Amalia Hermann-Schäfer
Carl Scheibe
Deborah Scholtz B.A.
Henry Austermühle
Laurenz Ritter
Auguste Buchholz B.Sc.
Edith Hettner
Mary Reuter B.Sc.
Carla Gnatz
Isidor Täsche
Francisco Schmidtke-Albers
Aleksandra Benthin
Wally Anders B.Eng.
Hermann-Josef Loos
Erwin Weimer-Bohlander
Czeslaw Bohnbach B.Eng.
Ing. Liesa Zirme
Gerda Gröttner B.Sc.
Liliane Koch II
Univ.Prof. Dogan Mielcarek
Univ.Prof. Margitta Wagenknecht B.Eng.
Nurettin Bärer B.Eng.
Arnulf Heidrich
Zita Ullmann-Heydrich
Wiebke Gehringer
Univ.Prof. Sibylle Zirme B.Sc.
Bozena Schuchhardt
Juliana Schönland
Jelena Löffler
Dipl.-Ing. Leokadia Junk
Ing. Agnes Zobel
Dipl.-Ing. Ingolf Krein
Ing. Josip Ruppert
Danny Gumprich
Mattias Kruschwitz
Ana Klapp MBA.
Lena Mitschke
Alicja Pergande
Dr. Jurij Nohlmans B.A.
Siegbert Bachmann-Hövel
Prof. Tillmann Holt B.A.
Petar Hamann
Vinko Schmiedecke-Hendriks
Dr. Jasmina Ruppert
Prof. Hubert Heß
Trudi Radisch
Ron Sorgatz-Eimer
Michaela Hecker B.Eng.
Frau Edeltraud Radisch B.A.
Luisa Barkholz
Alena Steuer
Frau Stella Plath B.A.
Alexandre Caspar
Berthold Austermühle MBA.
Hertha Stoll
Dipl.-Ing. Lilly Boucsein B.Sc.
Univ.Prof. Friedlinde Bien MBA.
Prof. Cäcilia Gertz B.Eng.
Franca Mentzel
Helen Hein B.A.
Margit Walter
Erdal Meyer B.A.
Domenico Kade B.A.
Ibrahim Wirth-Schuster
Herr Simon Fliegner MBA.
Lissi Rust-Metz
Traude Kuhl
Ing. Fredi Löffler
Stavros Hoffmann
Dipl.-Ing. Theda Weinhold B.Eng.
Gerhild Gude
Helga Hövel MBA.
Monja Weiß
Annett Anders MBA.
Irmtraut Fröhlich-Hertrampf
Miodrag Dörr-Austermühle
Abdul Klapp-Hethur
Lucie Trüb-Schmiedt
Prof. Elzbieta Fechner B.Sc.
Meta Harloff
Ellen Liebelt
Steffen Schlosser
Betti Zirme B.A.
Gertraut Koch II
Henriette Ladeck
Univ.Prof. Michaele Heser MBA.
Prof. Ursula Eigenwillig
Muharrem Benthin
Vitus Pruschke B.A.
Annelie Schomber
Fanny Zänker-Hein
Inken Hellwig-Hermann
Prof. Niko Hethur B.Eng.
Beatrix Scheibe B.Sc.
Alessandro Caspar
Francisco Harloff
Herr Winfried Vollbrecht B.Eng.
Edelbert Bruder
Alban Dippel
Dr. Gerd Fechner
Marco Buchholz
Abram Scholz B.Sc.
Hansgeorg Kruschwitz
Edit Martin B.Sc.
Gero Gierschner
Daniele Seip
Frau Cynthia Bähr B.Sc.
Teresa Schönland
Kristiane Zahn
Undine Scheibe-Stey
Annegret Atzler
Norbert Niemeier
Ing. Pawel Rörricht
Prof. Folker Trupp B.Sc.
Univ.Prof. Dorina Lange
Eleni Krause B.A.
Heinz-Joachim Jähn
Ferdinand Junck-Hölzenbecher
Olivia Nerger B.Eng.
Ben Täsche
Georgia Ruppersberger
Franz-Xaver Carsten
Hans-Gerd Dietz B.A.
Ronald Henschel
Cora Scholtz
Anika Tschentscher
Rene Albers
Univ.Prof. Aloisia Fröhlich B.A.
Krystyna Rust-Baum
Concetta Seifert
Hans-Günther Eimer
Monique Ullmann MBA.
Prof. Knud Salz
Dr. Gabriel Junitz
Sabrina Schomber
Frau Gudrun Huhn B.Sc.
Arnulf Säuberlich
Dr. Kai-Uwe Schulz B.A.
Dirk Graf-Stiffel
Marcel Hermighausen
Frau Swantje Heinrich B.A.
Sami Junitz
Clemens Kabus
Stilla Klotz
Hans-Karl Rust MBA.
Josephine Rogge
Heinz-Gerd Gorlitz B.Eng.
Marie-Luise Rogner
Robert Herrmann
Pero Gnatz
Dina Schmidtke
Univ.Prof. Marko Schmiedecke MBA.
Cornelius Scheuermann
Nils Hermighausen
Norman Wulf
Leo Gunpf-Bolzmann
Antonietta Kostolzin
Mariele Stiffel B.Sc.
Diethelm Hübel MBA.
Vesna Wähner
Leonore Schacht
Janin Haase
Adam Gertz
Frau Elfi Winkler MBA.
Rosalia Heydrich
Frank-Michael Löwer-Ring
Ing. Peter Trubin B.Sc.
Ellen Gutknecht
Regina Reuter
Ekrem Pruschke-Jäkel
Denny Lachmann
Univ.Prof. Ivonne Haase B.Sc.
Herr Wilhelm Schuchhardt B.A.
Mike Röhricht-Hauffer
Gerwin Rust MBA.
Dr. Pius Säuberlich B.Sc.
Darko Wilms
Isidor Atzler
Sigfried Franke B.Sc.
Alla Rohleder
Dipl.-Ing. Marek Jockel
Dina Hartung
Bernt Conradi
Aleksandr Schuster B.A.
Thea Nette
Trudel Bloch
Christos Ruppert B.A.
Herr Ilhan Tröst B.A.
Dr. Krista Wirth
Emmerich Wilmsen
Hella Pergande MBA.
Alma Rörricht
Bertram Rädel
Nikolas Ebert
Dipl.-Ing. Bernward Putz B.Eng.
Eckhart Gutknecht
Herr Ansgar Gnatz
Klaus-D. Hövel
Johann Oestrovsky
Ottfried Scheibe-Sauer
Denis Ruppersberger
Ron Dobes-Weihmann
Karlfried Müller
Peter-Michael Kostolzin
Käthe Briemer MBA.
Frau Dorothe Mielcarek
Calogero Wende
Univ.Prof. Heidelinde Jopich B.Sc.
Ulrike Schleich-Süßebier
Dina Schmiedt MBA.
Heinz-Werner Briemer B.A.
Klaus-Michael Fiebig
Dr. Reinhilde Thies B.Eng.
Miguel Lehmann
Rouven Ziegert
Eberhardt Warmer
Enrico Drewes
Lili Döhn-Margraf
Ing. Rotraud Schmidt
Hans-Rainer Rogner
Sibel Hörle
Urszula Spieß
Herr Osman Gerlach B.Sc.
Frau Magarete Mans B.Sc.
Frau Eugenia Matthäi
Volkmar Hentschel
Ralph Stahr
Johanne Kusch
Herr Hans Rogge
Herr Ekkehart Sorgatz
Till Tlustek
Augustin Carsten
Gunnar Ernst
Bartholomäus Karge B.Eng.
Hanno Trub
Ing. Helmuth Bruder
Dr. Ute Schuchhardt
Anna-Luise Seip-Hofmann
Univ.Prof. Therese Hänel
Roselinde Kusch-Röhrdanz
Justus Schleich-Drewes
Ing. Gottfried Hoffmann
Eva-Maria Geisler
Marion Weihmann
Ljiljana Ruppert
Univ.Prof. Liliana Drub
Amelie Pruschke MBA.
Gerard Scholl
Renato Bolnbach
Alexej Röhrdanz
Mikhail Bauer
Czeslaw Jäkel-Röhrdanz
Andrej Geißler-Beckmann
Marie-Louise Killer-Etzler
Prof. Johan van der Dussen
Horst-Peter Faust
Iwan Käster
Claus-Dieter Krause
Wiltrud Christoph
Antonietta Putz B.Eng.
Gerhild Beyer
Hermann Josef Weihmann
Elizabeth Jacob
Frau Monique Löchel
Aleksander Klapp-Sauer
Brit Heidrich B.A.
Michelle Kitzmann
Ing. Mariechen Nerger B.Eng.
Justine Dippel-Rosemann
Thorsten Kensy B.Eng.
Jonas Adler
Pedro Hande B.Sc.
Esther Eberth-Kensy
Tim Sorgatz
Hanife Thies
Günter Löwer
Herr Gordon Meister
Carin Binner
Erkan Trub
Dr. Samuel Dobes B.Sc.
Sybilla Herrmann-Pärtzelt
Evi Grein Groth
Fritz Nerger
Thomas Hänel
Jessika Käster
Nadja Ladeck B.Sc.
Gaetano Köhler
Prof. Götz Finke
Brian Dussen van
Ing. Elsa Liebelt
Arno Ullmann
Helmuth Langern-Steinberg
Nina Ladeck
Gitte Buchholz
Gesa Jäntsch
Prof. Susanne Heidrich B.Eng.
Geert Rudolph
Robin Sölzer
Helge Schuchhardt
Kunigunda Zimmer
Bela Naser-Löwer
Ingbert Binner-Heidrich
Justina Zirme
Herr Juri Kitzmann
Dr. Wanda Dippel
Frau Xenia Blümel
Herr Franz Geisler B.A.
Margrit Schenk B.A.
Hermann Josef Börner
Knud Trommler
Gisa Hornig-Geißler
Kamil Hendriks
Burckhard Caspar
Dana Löwer MBA.
Marijan Killer
Woldemar Bolzmann B.A.
Calogero Wagner
Dipl.-Ing. Sebastiano Käster B.Eng.
Ing. Georgia Rogner
Herr Alwin Sager B.A.
Ing. Giorgio Warmer B.Eng.
Berndt Bähr
Ing. Sina Johann MBA.
Ing. Georg Lübs
Gilbert Steuer-Rosemann
Prof. Irma Bien B.Eng.
Gunther Tschentscher
Birgitta Loos
Gordana Bolnbach
Gertrud Ditschlerin
Univ.Prof. Emine Vogt B.Sc.
Gisa Mohaupt
Anni Seidel B.Eng.
Hansjürgen Eberth
Hans-Albert Schwital
Gunda Warmer
Margareta Klingelhöfer
Rouven Eberhardt
Torben Roskoth-Wilmsen
Sevim Vollbrecht B.A.
Torsten Trapp B.A.
Ing. Lucie Karz
Kristina Scheibe
Deborah Etzler
Andrea Hamann
Jeannine Heinz-Tlustek
Cecilia Stoll
Roger Wagenknecht
Renate Bärer
Elisabet Preiß-Thanel
Mira Sontag
Sieghard Sorgatz
Prof. Liliane Gehringer MBA.
Dipl.-Ing. Elisabeth Wiek
Dr. Klothilde Lachmann B.A.
Rosina Otto
Ida Weihmann
Prof. Marius Herrmann
Klaus-Peter Kitzmann
Ing. Willi Warmer B.Eng.
Dr. Lars Klemt
Ing. Igor Barth
Krista Putz
Burghard Davids
Dr. Valentin Eigenwillig
Ing. Diedrich Gotthard MBA.
Raymond Misicher
Gina Killer
Univ.Prof. Czeslaw Heuser
Nada Dowerg-Jähn
Hanna Jäntsch MBA.
Oliver Bien
Dipl.-Ing. Dursun Köhler
Ing. Guenther Scholtz B.A.
Friedlinde Meyer
Frau Julie Wieloch
Jan Gumprich
Mark Sauer B.A.
Univ.Prof. Milka Bähr
Ismail Junck-Trommler
Gerwin Schuster
Henryk Bauer
Tibor Köhler-Schönland
Arne Knappe
Greta Baum
Michaele Neureuther
Frau Hildegund Vogt B.A.
Tino Niemeier
Rosl Trupp
Veronika Kruschwitz B.A.
Romy Zahn-Bien
Irina Birnbaum
Karsten Wohlgemut
Kai-Uwe Stiebitz-Hentschel
Gretel Hande
Roderich Scholtz
Annelise Steckel B.Sc.
Rolf-Dieter Jacobi Jäckel-Nerger
Univ.Prof. Eugen Karz
Magrit Lange
Domenico Gerlach-Kramer
Heinz-Joachim Kobelt
Dietlind Anders B.A.
Annerose Kaul
Claus Heser B.Sc.
Ing. Lisbeth Fritsch
Brita Jäkel
Falk Sorgatz-Ortmann
Prof. Ruthild Nette B.A.
Frau Ellinor Tintzmann
Eduard Ruppersberger
Deborah Becker
Mandy Trüb
Karl-Dieter Segebahn-Köster
Reinhold Hellwig-Mülichen
Ingmar Hauffer
Frau Ina Schwital B.Sc.
Maurice Beckmann
Frau Rosemarie Stiffel
Ryszard Anders B.Sc.
Dipl.-Ing. Burckhard Jäntsch
Oscar Reinhardt B.A.
Inka Hornig B.A.
Fadime Heidrich B.A.
Prof. Ivonne Boucsein B.Eng.
Heimo Karge-Freudenberger
Kathrin Dussen van
Ellinor Kraus
Siegbert Schweitzer
Frau Clarissa Rosenow B.A.
Emilia Römer
Franz Löwer
Arzu Wieloch-Röhrdanz
Annett Dehmel MBA.
Dr. Muzaffer Sauer B.Eng.
Dipl.-Ing. Aleksandra Wagner MBA.
Univ.Prof. Robby Vollbrecht
Serge Trubin
Prof. Karl-Hermann Pieper B.Eng.
Celal Mühle
Charles Anders
Stephanie Weller
Marianne Heser
Dr. Natascha Trüb
Alida Ehlert
Wiltrud Ladeck MBA.
Ing. Tanja Scheibe B.Eng.
Fadime Reinhardt MBA.
Deborah Finke
Rosemarie Hethur
Beate Nette
Wieslaw Lachmann
Vitali Neureuther
Sieglinde Stahr
Helene Ullrich
Dr. Leonie Köster
Herr Gundolf Barth
Dr. Myriam Häring
Lothar Beckmann
Stanislav Hoffmann
Krystyna Holsten B.A.
Ilonka Buchholz-Köhler
Dr. Janett Schottin B.Eng.
Harro Vogt-Gieß
Dr. Gaby Sontag MBA.
Benjamin Lübs
Ing. Steffen Röhrdanz B.A.
Bekir Fechner
Gabriella Rädel
Geert Zänker
Anna-Lena Bloch
Univ.Prof. Frieder Döhn MBA.
Ing. Valentina Börner
Gottfried Hettner-Reising
Elke Huhn
Dipl.-Ing. Louis Spieß B.A.
Uli Oderwald-Freudenberger
Franz-Josef Schmidtke
Kaspar Trub
Nada Butte
Baptist Gröttner B.Sc.
Stavros Vollbrecht-Geißler
Dipl.-Ing. Albrecht Metz
Oxana Stumpf
Olaf Juncken
Frau Gilda Ebert
Heiko Metz
Isa Koch
Justina Neureuther
Hedy Rudolph MBA.
Catherine Cichorius
Irma Atzler-Herrmann
André Kraushaar-Henck
Mira Rohleder
Gabriele Käster
Korbinian Werner
Dusan Conradi-Rogner
Henry Schüler B.Eng.
Gaby Bähr
Georgia Liebelt
Ursel Juncken-Buchholz
Alwine Sager
Angela Weimer B.A.
Tomasz Bolnbach
Jakob Seifert
Marie-Louise Wulff
Jiri Hoffmann B.Sc.
Veli Rädel
Prof. Monique Budig B.Eng.
Stavros Hövel B.Eng.
Dipl.-Ing. Hans-Erich Klemm
Ing. Valentine Scheibe
Tilly Pergande
Ing. Hanny Noack MBA.
Thorsten Herrmann
Frau Margrit Beckmann
Dipl.-Ing. Marieluise Löchel
Ehrhard Bohnbach B.Eng.
Bertold Bloch-Beckmann
Dino Martin
Karlfried Ruppersberger
Lore Margraf
Niko Gutknecht B.Sc.
Egbert Bender
Geert Rust
Carin Mohaupt-Heser
Univ.Prof. Vesna Hering
Univ.Prof. Nermin Rosemann B.Sc.
Enrico Kobelt-Klemt
Aline Atzler-Beckmann
Klaus-Dieter Koch II B.A.
Ing. Carolin Faust B.A.
Ing. Bernard Schleich B.Sc.
Dr. Marianne Reising
Ehrhard Klotz
Univ.Prof. Hiltrud Löwer
Univ.Prof. Paul-Heinz Heinz
Hans-Detlef Schleich
Asta Mielcarek-Blümel
Gotthard Löwer
Gertrude Ullmann
Linus Schuchhardt
Ing. Leszek Gutknecht B.Sc.
Anthony Heintze
Univ.Prof. Gundel Atzler B.Eng.
Antonius Stoll-Krebs
Ing. Maren Schenk
Dr. Daniel Trommler
Herr Burkhardt Bauer B.Eng.
Luis Oderwald
Regine Häring
Sebastian Aumann
Franca Harloff-Döring
Rocco Trub
Stephanie Kranz B.A.
Inna Weinhage
Konstanze Zänker MBA.
Claus Juncken
Siegmar Mies-Baum
Günter Wiek B.A.
Univ.Prof. Fedor Eimer
Annaliese Lübs
Univ.Prof. Hans D. Ullrich
Lidia Butte
Peggy Holt
Annelore auch Schlauchin-Lorch
Heino Lindau B.Eng.
Univ.Prof. Manuela Heinrich
Mara Vollbrecht B.A.
Susanna Beyer B.Eng.
Friedrich-Wilhelm Stahr-Henck
Edeltraut Anders-Rohleder
Heinz-Dieter Caspar-Hande
Dipl.-Ing. Baldur Oderwald B.Sc.
Dipl.-Ing. Elif Hartmann B.A.
Helge Ladeck MBA.
Emilia Seifert
Prof. Kata Häring
Herlinde Birnbaum
Jolanta Nohlmans-Tschentscher
Christof Ditschlerin
Prof. Sergei Heser
Gabi Harloff
Margita Schleich-Becker
Heinz-Günter Boucsein
Hans-Bernd Trubin-Klemt
Prof. Theda Hölzenbecher
Felicia Ritter
Bernard Losekann
Ernst Henschel
Ladislaus Killer
H.-Dieter Gerlach
Ing. Carolin Matthäi
Simon Hahn
Prof. Gertrude Renner B.A.
Ing. Jürgen Jopich B.A.
Heinrich Putz B.Sc.
Freia Lübs
Artur Berger
Marta Herrmann
Cecilia Killer
Ing. Wolf-Rüdiger Weihmann B.Eng.
Dina Rose
Gunter Misicher
Ottomar Hermann
Jörg Pechel
Andre Schönland B.Sc.
