Student
Dipl.-Ing. Marica Sager
Hildegunde Wende-Spieß
Elli Junck
Dr. Catharina Gerlach B.Eng.
Zeljko Kobelt B.Eng.
Dipl.-Ing. Milos Klemt
Andrew Schlosser
Helga Mosemann-Hecker
Univ.Prof. Edmund Mentzel B.Eng.
Igor Zobel B.A.
Marvin Kade-Ladeck
Annie Harloff B.A.
Cosima Johann
Hannchen Löwer B.Eng.
Raymund Koch II-Margraf
Prof. Stefania Briemer
Sylvie Neuschäfer
Mariechen Scholl
Filippo Jäntsch
Frau Inken Seip B.Eng.
Irmi Jüttner
Vesna Wähner
Theres Heser
Henner Schmidt
Faruk Birnbaum
Helfried Langern
Henrik Hein B.A.
Annelie Bloch
Sibille Kallert
Tobias Mühle
Thoralf Eimer
Dr. Editha Rohleder
Dr. Marie-Luise Klingelhöfer B.Eng.
Steven Käster B.Sc.
Brigitta Eimer
Tanja Renner B.Sc.
Mona Wiek B.Eng.
Univ.Prof. Sibylle Zirme B.Sc.
Birte Gröttner MBA.
Samuel Ackermann
Dr. Elmar Junk
Frau Aleksandra Bähr B.Eng.
Stephen Trommler
Deborah Etzler
Gerta Klemt
Marcus Langern
Miroslav Kohl
Lina Hein-Gotthard
Ilka Faust
Dipl.-Ing. Albrecht Metz
Marga Vogt
Cengiz Dehmel
Udo Grein Groth
Guenter Kohl-Nette
Kai-Uwe Sorgatz
Tanja Henk
Corinna Täsche B.A.
Helge Finke-Wähner
Willfried Mende
Wilfriede Ehlert
Gerda Eberhardt B.Sc.
Carl Scheibe
Gernot Hornich B.A.
Dipl.-Ing. Sigrid Hahn
Annelore auch Schlauchin-Lorch
Dipl.-Ing. Hans-Günther Schuster
Hüseyin Wulf-Schmidt
Prof. Irmhild Fritsch
Matteo Krein-Müller
Jacob Süßebier
Ryszard Lehmann
Catrin Weller
Prof. Kunigunda Pergande MBA.
Nikolas Ebert
Rose-Marie Schüler
Marie-Louise Hauffer
Prof. Ricardo Kensy
Gino Häring
Natalie Bender MBA.
Reinhilde Hesse B.Sc.
Karl-Dieter Seifert
Bernhard Rogner B.Eng.
Ing. Gotthard Reuter B.A.
Dipl.-Ing. Hans-Karl Dussen van B.A.
Herr Arnulf Kohl
Nick Hermighausen-Krein
Augustin Renner
Beata Stahr
Susann Haering
Timo Huhn
Fatih Bohlander
Faruk Köhler
Prof. Constance Austermühle B.Sc.
Rita Käster B.A.
Hansjürgen Weitzel
Dr. Matthias Niemeier
Edeltraud Bärer
Hanna Speer
Dogan Häring MBA.
Jan Freudenberger
Antonios Schönland
Ing. Siegmund Hertrampf MBA.
Uschi Trüb
Dipl.-Ing. Nuray Mude B.Sc.
Raimund Hande
Dr. Lilija Dowerg MBA.
Prof. Ralph Patberg
Benno Mohaupt
Horst-Dieter Gude
Evangelos Beyer
Caterina Weinhage
Olivia Mies
Heidelore Stolze
Angela Weimer B.A.
Hans-Theo Kuhl
Ing. Marlene Wirth B.Sc.
Univ.Prof. Otto Kruschwitz MBA.
Olaf Wesack
Felizitas Werner
Roman Jäntsch
Frithjof Gertz
Sven Walter
Valerij Barth
Roselinde Ebert
Ansgar Möchlichen-Höfig
Dr. Theresia Mende
Erwin Jungfer
Immo Koch II
Irmtraut Hahn-Walter
Irmtraud Schönland
Dipl.-Ing. Till Säuberlich
Prof. Bianka Schacht
Bruni Freudenberger
Severin Mende B.A.
Ralph Rogge
Prof. Aribert Eberhardt B.Sc.
Prof. Janos Werner B.Eng.
Margit Klapp
Peter Mitschke
Lilly Beckmann B.Sc.
Dr. Walburga Kobelt B.Eng.
Elif Wohlgemut
Edelbert Stey-Scholz
Rotraut Bachmann
Siegmar Kramer
Mike Krein
Thekla Schäfer
Gilda Scholz
Hermann Josef Junck
Frau Patricia Gorlitz B.A.
Margit Müller
Ing. Berta Oestrovsky B.Eng.
Raymond Ruppersberger
Edeltrud Margraf
Ljubica Wohlgemut-Schmidt
Attila Losekann B.Sc.
Ing. Carla Ziegert B.Eng.
Prof. Sylvio Gumprich
Ing. Engelbert Bauer
Ing. Zofia Ernst
Gesa Keudel-Bauer
Dr. Annelene Geisel B.Sc.
Dr. Marie-Theres Möchlichen B.A.
Hanife Ullrich
Anton Drubin
Mia Ullmann
Alfred Weinhage-Stiffel
Hedwig Briemer
Heribert Austermühle-Trupp
Enrico Hornig
Univ.Prof. Friederike Bender B.Eng.
Frau Ina Dietz MBA.
Nick Jockel B.A.
Ing. Ben Lindau MBA.
Prof. Jürgen Blümel B.A.
Zehra Putz
Herr André Scholl B.Sc.
Prof. Anka Schulz
Joachim Höfig
Kriemhild Warmer
Josefa Junk
Stanislaus Davids MBA.
Dipl.-Ing. Helmut Hauffer
Hans-J. Tröst MBA.
Desiree Klotz
Oda Barkholz
Univ.Prof. Gusti Schlosser
Ioannis Klemt
Notburga Heuser
Dr. Reinhilde Thies B.Eng.
Waltrud Stroh
Dr. Ehrhard Gieß B.Sc.
Gerda Sauer
Leopoldine Butte
Frank-Michael Sontag
Prof. Gabriella Holt B.Eng.
Reza Misicher
Prof. Cäcilia Gertz B.Eng.
Prof. Magdalena Bohlander B.Sc.
Pero Gnatz
Univ.Prof. Florentine Schomber B.Eng.
Tino Paffrath B.Eng.
Nadin Hertrampf-Killer
Boris Bachmann
Mark Sauer B.A.
Ing. Czeslaw Geisel
Miroslaw Gieß
Wolfhard Jäkel MBA.
Senol Heintze-Gerlach
Recep Hecker
Erwin Weimer-Bohlander
Daniela Schweitzer
Urszula Rudolph
Sylke Binner B.A.
Kordula Dobes-Buchholz
Gunnar Junk
Janine Dehmel B.Eng.
Ralf-Peter Schacht
Brian Dussen van
Lotti Mosemann
Karl-Georg Sontag B.Sc.
Gerlind Trüb-Losekann
Margarete Kabus
Sigmund Hentschel MBA.
Ing. Helene Jähn B.Eng.
Torben Wiek-Ring
Dr. Änne Radisch
Rose-Marie Jäkel
Alwina Hettner
Luis Ackermann
Herr Falk Holzapfel
Anni Dietz-Blümel
Walter Schleich-Segebahn
Susan Warmer
Utz Christoph-Henck
Janett Zorbach
Dr. Czeslaw Neureuther
Siegmar Dowerg
Evangelos Hartmann B.A.
Armin Scholz
Marietta Geißler
Ditmar Briemer
Franz-Peter Benthin-Reichmann
Kata Gierschner
Camilla Jäntsch
Ida Hendriks B.A.
Hertha Caspar MBA.
Carmine Bruder-Rörricht
Dr. Michel Pruschke B.Eng.
Oscar Fritsch
Marko Kensy-Atzler
Dipl.-Ing. Oskar Vogt B.A.
Ekaterina auch Schlauchin
Sandor Ritter
Univ.Prof. Anatoli Ritter
Frau Caren Schmidt MBA.
Ing. Hans-Joachim Ullrich
Edwin Förster-Albers
Eduard Ruppersberger
Mariusz Hartung
Frau Corinna Wähner
Bodo Ullrich
Frau Ivanka Killer MBA.
Prof. Torsten Geisel B.Sc.
Nermin Jopich
Dipl.-Ing. Reimer Werner MBA.
Antonie Heser B.Sc.
Dipl.-Ing. Leo Sager
James Ebert
Herr Hermann-Josef Lehmann B.A.
Univ.Prof. Suse Lachmann B.Sc.
Theresa Killer
Herr Vladimir Zimmer MBA.
Ing. Gundolf Steinberg B.Sc.
Jan Döring B.A.
Marlies Seifert-Roht
Wibke Reuter
Rene Hofmann
Dipl.-Ing. Roland Bien B.Sc.
Belinda Huhn
Jeannine Heinz-Tlustek
Prof. Oswald Ehlert MBA.
Reinald Gerlach
Ercan Kühnert
Holger Röhricht
Dipl.-Ing. Fred Meister
Leonid Hein B.Sc.
Conny Zirme B.Sc.
Prof. Gunther Klingelhöfer
Annelise Jungfer
Ing. Krzysztof Kambs B.Eng.
Walburga Junk
Patricia Schäfer
Prof. Horst Mälzer B.Sc.
Ing. Eugenie Kreusel MBA.
Herr Oliver Pechel
Bernhardine Mangold
Alfonso Grein Groth-Henck
Astrid Dehmel
Olav Thies
Heinz-Günter Hesse
Prof. Susanne Heidrich B.Eng.
Jonas Mühle
Hanni Scholz-Weitzel
Peer Bärer
Nicolaus Seifert B.A.
Theresa Hethur-Kabus
Univ.Prof. Nadine Gnatz
Artur Briemer
Janett Patberg
Dipl.-Ing. Elisabeth Wiek
Prof. Annita Wulff
Henriette Bruder
Dipl.-Ing. Tim Fritsch
Prof. Catherine Knappe MBA.
Lissy Dippel
Paolo Weller-Heinrich
Lothar Beckmann
Kay-Uwe Ziegert
Gino Hartung
Stanislav Stey
Fredi Jäntsch
Prof. Elzbieta Fechner B.Sc.
Riza Römer
Frau Wendelin Heinrich B.Eng.
Ljiljana Ruppert
Ing. Guenther Scholtz B.A.
Bettina Schlosser
Dr. Elzbieta Mitschke B.Eng.
Hans-Detlef Matthäi
Alessandro Werner
Edelgard Finke B.Eng.
Eveline Putz
Leopold Weller-Zobel
Prof. Almuth Dippel
Frau Hedwig Wirth
Prof. Alois Jacob
Dajana Trapp-Kreusel
Niklas Schleich
Klaus-Werner Koch II B.Sc.
Marica Seidel B.Eng.
Univ.Prof. Matthäus Gude
Ben Täsche
Käthe Hande
Birgid Nohlmans
Rosalinde Losekann
Lucie Gutknecht
Steven Eimer
Dr. Frederike Hering B.Eng.
Dipl.-Ing. Ira Röhricht B.Sc.
Patrizia Bender-Reuter
Prof. Helmut Hellwig MBA.
Carin Huhn
Ing. Rico Hoffmann
Ronald Werner
Carolina Ditschlerin
Engelbert Margraf-Trommler
Francisco Trupp
Ottomar Hermann
Silvester Scheibe
Elisa Mälzer
Frau Christiane Zänker B.A.
Friedrich-Karl Eberth
Prof. Angelique Seidel MBA.
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Andreas Gunpf
Heimo Huhn B.A.
Univ.Prof. Franz-Josef Holt
Frau Käte Zahn
Prof. Hans Dieter Kitzmann MBA.
Herr Ekkehart Sorgatz
Dipl.-Ing. Mathias Metz B.A.
Adelheid Salz
Dr. Karl-Hermann Gude
Abraham Carsten
Berthold Naser
Mikhail Bauer
Wenke Neureuther-Hermighausen
Univ.Prof. Amalia Köhler
Ibrahim Eberth
Margareta Lübs-Vollbrecht
Monique Ullmann MBA.
Jochen Naser
Arnulf Heidrich
Imelda Geißler
Leo Gunpf-Bolzmann
Dolores Stey-Matthäi
Stanislav Reuter
Harro Vogt-Gieß
Jann Schleich
Alex Ziegert
Dr. Daniel Trommler
Univ.Prof. Samira Drewes
Arif Heinrich
Aleksander Dowerg
Frau Carola Scheibe MBA.
Siegrid Segebahn
Herr Anthony Caspar
Anneli Wernecke
Paolo Hentschel-Zobel
Dipl.-Ing. Beatrix Henk B.Eng.
Phillip Rosemann-Bachmann
Marek Mitschke B.Sc.
Milos Wiek
Rotraud Fiebig
Karlheinz Martin
Frau Jane Sauer
Heinrich Ackermann
Mina auch Schlauchin
Dr. Jan-Peter Döhn B.A.
Stephen Tintzmann
Engin Trub
Janus Jessel-Hermann
Micha Eckbauer B.Sc.
Wolf-Dieter Sölzer-Putz
Anna-Marie Ullrich
Stella Mülichen
Wilhelm Walter
Heinz-Günther Bohnbach
Eugenie Benthin-Ziegert
Prof. Magda Textor
Ina Christoph B.Sc.
Sandy Dietz
Egon Paffrath
Cilli Gorlitz
Valerie Mangold
Istvan Scheuermann
Vera Heydrich
Christl Pölitz
Ing. Anneli Nerger
Silja Jüttner
Rüdiger Bien-Hübel
Zeljko Gieß
Ing. Peter Trubin B.Sc.
Frau Evelin Löffler
Dagmar Dussen van
Dipl.-Ing. Traudel Eigenwillig
Volker Hettner
Frau Chantal Ebert B.Eng.
Dipl.-Ing. Jozef Hartmann
Lara Stroh
Abraham Hoffmann
Aldo Kusch-Klemm
Otmar Schmidtke
Till Karz
Prof. Mirko Adolph B.A.
Prof. Gerd Schenk
Alfred Rose
Dr. Annette Linke MBA.
Josef Butte-Lindau
Heimo Knappe
Celal Hettner MBA.
Elenore Renner
Halina Römer-Hartung
Anneke Nohlmans
Zeljko Baum
Patrik Ditschlerin
Prof. Ildiko Adler MBA.
Ing. Utz Klemt B.A.
Friedhilde Wernecke
Adolfine Dippel
Hermann-Josef Loos
Liane Fechner
Reimar Klemm MBA.
Dr. Semra Schulz
Univ.Prof. Blanka Linke B.Eng.
Evelin Wagenknecht-Döhn
Miguel Briemer
Walentina Hesse
Alina Finke
Georgia Liebelt
Jeannine Lehmann
Tibor Köhler-Schönland
Gabriel Roskoth
Melitta Salz
Slawomir Ortmann
Janette Kallert
Aloys Ruppert
Alexander Hörle
Ing. Giorgio Warmer B.Eng.
Magdalene Hering MBA.
Ivana Wilmsen-Gumprich
Adam Krein-Karge
Dipl.-Ing. Rouven Kallert MBA.
Carmela Lindau
Ekaterina Schmiedecke
Almut Trupp
Peter-Michael Kostolzin
Dipl.-Ing. Lidija Pölitz
Jana Drubin-Heß
Hans-Hermann Hande
Dipl.-Ing. Emmy Börner
Faruk Schomber
Meike Trupp
Ing. Ignaz Rose
Ing. Hans-Wilhelm Holt B.Sc.
Inken Juncken
Juan Schweitzer
Hilma Berger
Georgia Ruppersberger
Gloria Bruder B.A.
Dr. Immo Kramer
Helmtrud Börner B.A.
Hans Josef Thanel
Horst Reising
Wenke Patberg
Heinz-Werner Schleich-Mies
Ellen Vogt
Herr Mario Pergande
Gina Killer
Miroslawa Jäkel-Bohnbach
Hella Pergande MBA.
Ulrike Schleich-Süßebier
Ilija Höfig
Anneliese Wähner
Leonie Möchlichen MBA.
Rolf-Peter Staude
Raphaela Eckbauer
Serge Kade
Marika Sager
Wulf Steckel-Lachmann
Prof. Karl-Hermann Pieper B.Eng.
Zenta Mende
Walli Jopich
Siegmund Hövel
Claudio Bolnbach
Carmen Textor-Krebs
Dipl.-Ing. Dajana Beer
Dr. Luciano Ortmann
Dajana Ring
Heidemarie Kreusel
Martha Dowerg
Karl-Jürgen Ziegert
Irmengard Rudolph
Hans-Eberhard Blümel
Frau Monique Löchel
Marit Söding
Katherina Hesse
Samir Krein B.A.
Gerolf Döring-Buchholz
Dursun Gehringer
Univ.Prof. Nicole Höfig B.Sc.
Zdravko Niemeier
Adrian Killer
Magnus Heidrich
Dipl.-Ing. Ismet Käster B.Eng.
Roberto Jockel
Marie-Louise Hendriks-Dörschner
Angelique Speer B.A.
Gert Naser
Carin Rohleder
Dr. Amir Jäkel
Dr. Eleni Heser
Angelica Lorch B.Eng.
Bernhard Becker
Hans-Albert Preiß-Scheel
Ottfried Scheibe-Sauer
Katharine Renner
Manuela Linke B.Eng.
Prof. Sylvester Bender
Alan Stadelmann-Lindner
Enrico Drewes
Joachim Kramer
Gereon Trapp
Luzie Renner B.A.
Vitali Faust B.Eng.
Enrico Reising MBA.
Sybilla Hornig
Kunigunda Zimmer
Senta Wernecke B.Sc.
Franz Josef Nette-Werner
Susanna Schaaf
Leopold Jungfer
Dipl.-Ing. Engin Jähn B.A.
Wendelin Zorbach MBA.
Frieder Austermühle
Aurelia Dussen van MBA.
Heinz Dieter Barkholz
Prof. Ulla Dussen van B.Sc.
Hannah Jacobi Jäckel
Lili Weimer
Janusz Kruschwitz B.Eng.
Semra Fiebig
Univ.Prof. Hugo Martin
Danilo Hande MBA.
Eugenie Pieper
Ing. Isabell Hartmann MBA.
Dr. Uta Gumprich
Henryk Jacobi Jäckel B.Sc.
Inga Ruppersberger
Jochem Röhrdanz
Lieschen Kusch-Pechel
Marie-Therese Schleich
Bernward Losekann MBA.
Lena Losekann
Jaroslaw Seip
Anni Kraus
Univ.Prof. Jann Schleich
Univ.Prof. Ortwin Geisler MBA.
Recep Röhricht B.Sc.
Leila Hethur
Klaudia Löffler-Zorbach
Dr. Zeljko Pruschke
Bernward Fröhlich
Hagen Girschner
Jiri Hoffmann B.Sc.
Hilmar Graf
Vincenzo Zirme
Hans-Erich Warmer B.A.
Silke Biggen MBA.
Dipl.-Ing. Mariana Mohaupt B.Sc.
Ottilie Gute
Madlen Trupp B.Eng.
Osman Schäfer
Ivana Eimer
Krista Bohnbach
Sergej Pärtzelt
Frau Mareile Birnbaum
Viola Oderwald B.A.
Elli Kohl
Ahmed Freudenberger B.Sc.
Peer Grein Groth-Lange
Dipl.-Ing. Stefano Wernecke B.A.
Univ.Prof. Halil Staude
Senta Weihmann
Dipl.-Ing. Ingolf Krein
Sami Junitz
Anatolij Peukert
Susanna Jäntsch
Univ.Prof. Walter Barkholz
Adelinde Ackermann-Knappe
Traudel Loos
Johannes Freudenberger
Alma Rörricht
Prof. Ludger Kohl MBA.
Sergio Schleich
Wladimir Möchlichen MBA.
Vadim Bender B.A.
Maurice Steckel
Gerta Beer
Claus Heser B.Sc.
Emanuel Scholz B.Eng.
Eleni Mühle MBA.
Simona Lorch
Amalie Gotthard
Mariola Gnatz
Prof. Knud Atzler B.Sc.
Ing. Zlatko Gerlach
Magdalene Patberg-Mosemann
Adelinde Gutknecht-Beier
Joachim Fischer
Elfi Roht
Ing. Dierk Striebitz
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Ing. Hartmuth Gute B.A.
Josefine Rosenow-Hertrampf
Evelin Gerlach
Univ.Prof. Catharina Neureuther B.Sc.
Antonios Klemm B.Sc.
Siegrun Reichmann
Herma Geisler-Beckmann
Sigmar Briemer
Kerstin Heidrich B.A.
Tomasz Niemeier
Waltrud Scholl
Jonas Albers
Herr Tomislav Ladeck
Hans Jürgen Grein Groth-Rudolph
Maurice Pieper-Loos
Univ.Prof. Diedrich Köhler B.A.
Antonino Klingelhöfer
Ramona Sontag
Siegward Hertrampf
Korinna Spieß MBA.
Univ.Prof. Pascal Schweitzer
Iris Kraushaar B.Sc.
Kasimir Lindau
Lissi Kohl
Michaela Döhn
Hans Josef Reinhardt B.A.
Kenan Pieper
Wenzel Wilmsen
Sören Pechel
Rolf-Dieter Jacobi Jäckel-Nerger
Viviane Girschner
Dipl.-Ing. Jost Bruder B.Eng.
Dipl.-Ing. Woldemar Benthin B.A.
Wolf Martin
Vinko Kraus-Schmiedt
Ben Zahn
Othmar Hölzenbecher
Dr. Sybille Bärer B.Sc.
Nico Hartung-Linke
Ing. Hulda Schaaf
Anastasios Heinz
Frau Annette Fiebig B.Eng.
Tülay Gnatz-Sorgatz
Reni Römer
Herr Benedikt Säuberlich
Veit Etzler
Paul-Gerhard Gunpf
Angelina Ruppert-Siering
Olivia Jäkel
Gunhild Kroker
Antonios Walter
Annie Schlosser
Julian Schuchhardt-Dippel
Marie-Theres Pechel
Wiltrud Ladeck MBA.
Augustin Hoffmann MBA.
Hassan Kroker-Girschner
Dipl.-Ing. Lotte Austermühle B.A.
Emine Tlustek B.Sc.
Fatima Röhrdanz
Dr. Salih Ullmann
Ingried Hänel
Krystyna Rust-Baum
Erhardt Loos
Gisa Atzler
Diedrich Jäntsch B.A.
Univ.Prof. Erhard Heuser MBA.
Siegbert Kranz
Rebecca Geißler
Aleksej Kühnert B.A.
René Säuberlich B.Eng.
Marija Stahr
Ulla Hamann
Zbigniew Höfig B.Eng.
Samir Wähner-Butte
Univ.Prof. Immo Mangold
Fatih Ladeck-Weihmann
Lorenzo Hornig
Ilja Hartung
Harold Bohlander B.Sc.
Antonius Stoll-Krebs
Yvonne Kroker
Suse Pergande-Gröttner
Mathias Matthäi
Conny Geißler-Karge
Leo Roskoth B.Sc.
Tabea Schomber
Erol Röhrdanz
Ingried Stiffel B.A.
Luciano Tintzmann
Ing. Magarete Herrmann B.Eng.
Zeynep Lehmann
Eileen Etzler
Eckhard Weitzel
Aribert Herrmann
Joseph Gorlitz-Bloch
Carmelo Weinhold
Dr. Silvio Täsche
Carin Pruschke
Ing. Zdenka Neuschäfer
Enrico Hellwig
Dan Scheuermann
Frau Kirsten Geißler
Nikolas Hethur MBA.
Luigi Wähner
Geza Bloch-Mühle
Anneli Schleich-Ullmann
Patricia Wiek
Jörn Barth-Möchlichen
Hannelore Rädel-Keudel
Henry Hofmann B.Eng.
Alban Butte
Johan Buchholz
Sylwia Wilmsen-Ullmann
Bertha Gotthard
Gaetano Söding
Vladimir Wulf B.A.
Vitus Schmidt
Kirsten Stey B.A.
Heinz-Georg Heidrich
Anica Tintzmann B.Eng.
Prof. Guenter Mosemann
Adelinde Geisler
Dr. Wanda Dippel
Heinz-Joachim Kobelt
Dominik Naser B.A.
Rahel Dörschner
Sören Trommler
Roberto Ritter-Fritsch
Dr. Valentin Eigenwillig
Eckhard Lindau B.A.
Anthony Bonbach
Friedericke Ring MBA.
Univ.Prof. Dragan Thies MBA.
Herr Mario Thanel
Malte Herrmann-Zänker
Ing. Justina Beckmann
Frau Hildegart Etzler B.A.
Rene Wernecke
Susanne Etzold
August Weihmann
Emil Grein Groth
Cindy Stahr
Margaretha Heintze-Henk
Univ.Prof. Arno Kramer B.Eng.
Nermin Martin
Ing. Petar Wilmsen
Frau Evelyn Tlustek B.Sc.
Ellen Jessel-Walter
Sophie Rädel
Dr. Inna Mude MBA.
Irmtraut Ortmann MBA.
Hans-Gerhard Staude
Ing. Jessica Mende
Adalbert Boucsein
Hans-Uwe Sager
Dr. Silvester Krein B.Sc.
Oscar Reinhardt B.A.
Monika Haering
Dr. Jochen Schäfer
Pietro Klingelhöfer
Univ.Prof. August Schleich B.A.
Dipl.-Ing. Margarethe Holt MBA.
Edgar Karge
Wally Wähner
Manuel Hering-Jäntsch
Krzysztof Kruschwitz
Christina Schlosser
Ilona Roskoth-Bolander
Robert Etzold
Daniela Weimer
Birger Becker
Baptist Vogt
Priska Wende
Meike Rosenow
Paolo Zänker MBA.
Maren Scholz-Bohlander
Dipl.-Ing. Leokadia Junk
Hans Josef Striebitz
Helge Ladeck MBA.
Univ.Prof. Agathe Steinberg MBA.
Herr Gotthard Wilms
Anatol Hübel
Dr. Diedrich Atzler
Prof. Marion Scholz
Ing. Hans-Wolfgang Weitzel B.Sc.
Dr. Daniela Linke MBA.
Prof. Grete Müller
Friedericke Lehmann B.Sc.
Jessica Schottin
Univ.Prof. Harriet Heintze
Reinhard Eigenwillig
