Student
Elke Haase
Dipl.-Ing. Mariola Lange B.Sc.
Catrin Ziegert-Meyer
James Ebert
Ing. Czeslaw Geisel
Dipl.-Ing. Laurenz Gerlach MBA.
Boris Stumpf
Jurij Bärer
Aribert Mitschke
Prof. Sepp Blümel
Frau Therese Henk B.A.
Prof. Ingeborg Noack
Liane Fechner
Gisa Dörr B.Eng.
Mark Lindau
Mehmet Sauer
Egbert Gertz
Harold Scheibe
Prof. Volker Hermann
Reinhild Pergande
Resi Knappe
Dimitrios Fiebig
Zbigniew Weinhage
Stilla Köhler
Frau Wendelin Heinrich B.Eng.
Isa Knappe-Biggen
Mohamed Stiebitz-Pärtzelt
Gregor Loos-Gehringer
Dr. Gero Röhricht B.Eng.
Siegrid Paffrath
Sibilla Hofmann
Victoria Hiller
Dipl.-Ing. Gertraut Stolze
Dipl.-Ing. Detlef Trommler
Hilma Kuhl
Elizabeth Vollbrecht
Adina Kallert
Ana Klapp MBA.
Resi Margraf
Univ.Prof. Ricardo Sorgatz B.A.
Kathi Seip
Univ.Prof. Irene Budig
Wolf Häring-Kallert
Lilo Scholz
Bertram Segebahn
Univ.Prof. Mira Riehl
Dr. Catharina Gerlach B.Eng.
Canan auch Schlauchin-Dussen van
Univ.Prof. Pamela Kambs MBA.
Renate Bärer
Hans-Rudolf Fröhlich
Mechthilde Lindau B.A.
Tina Radisch
Dorothee Koch II
Hans-Adolf Römer-Jäntsch
Paula Heinz
Annelene Möchlichen-Weiß
Ing. Stanislaw Weihmann B.A.
Univ.Prof. Friedl Tlustek
Maurizio Tschentscher
Eckhard Lindau B.A.
Ing. Rocco Reuter
Dipl.-Ing. Regine Renner
Dipl.-Ing. Ante Rust
Rosina Ortmann
Janko Neureuther
Luciano Aumann
Nick Jockel B.A.
Insa Peukert
Hans-Wolfgang Harloff
Anny Wähner
Astrid Schweitzer
Marliese Becker
Dagobert Hornig
Reni Roht-Binner
Frau Gudrun Huhn B.Sc.
Dipl.-Ing. Josip Mies
Univ.Prof. Hans-Eberhard Bauer
Patrizia Spieß
Dipl.-Ing. Theobald Knappe B.Eng.
Irmengard Jüttner B.Eng.
Helmuth Langern-Steinberg
Mariechen Scholl
Denis Ruppersberger
Univ.Prof. Änne Finke B.Sc.
Karla Gunpf
Malte Davids
Berit Pärtzelt
Hülya Stadelmann
Christa Kabus
Achim Budig
Stephan Hauffer
Lilija Kensy
Friedl Hänel
Eckhard Sölzer
Kornelius Winkler
Carina Kusch
Dr. Reinhilde Thies B.Eng.
Yvette Margraf-Wernecke
Susanna Beyer B.Eng.
Luis Oderwald
Ilse Henschel
George Paffrath MBA.
Carola Kusch
Manuela Sauer
Edeltraud Kaul
Prof. Gertrude Renner B.A.
Petra Wagner
Halina Römer-Hartung
Hanne Junk
Christos Sölzer
Bogdan Rosemann
Prof. Mathias Schmiedt
Univ.Prof. Regina Salz B.Eng.
Ing. Birte Heidrich B.Eng.
Gitta Hübel
Hans-Theo Thies
Dr. Anatoli Bonbach
Helene Keudel
Wolf-Rüdiger Börner
Konstantin Knappe
Prof. Necati Stey B.A.
Heinrich Bohlander-Ullrich
Salvatore Eberhardt-Ring
Reimar Pohl
Nancy Hartmann-Schottin
Fredi Jäntsch
Roland Putz
Helen Dehmel
Bekir Bonbach
Sylke Binner B.A.
Dietlind Drubin
Bela Köster
Nils Stey
Ruthild Juncken B.Sc.
Dr. Ingried Sorgatz B.A.
Olivia Jäkel
Cilli Röhricht
Ing. Cosimo Steinberg
Doris Karz
Constantin Beckmann
Edmund Gnatz-Rogner
Dipl.-Ing. Dursun Köhler
Univ.Prof. Adelbert Zimmer
Hiltraud Klemm-Pärtzelt
Ellen Junken
Prof. Linda Beier
Hiltraud Köster MBA.
Louis Geisel
Gero Schomber
Patrick Pärtzelt-Henck
Dr. Nadja Wulf
Herr Hans Rogge
Natalja Löchel-Beckmann
Jenny Scholtz
Denny Lachmann
Klaus-Peter Häring
Tino Kensy
Wencke Salz
Madeleine Hermann B.Sc.
Univ.Prof. German Rörricht
Fredy Birnbaum-Kensy
Herr Wieslaw Trupp
Herr Ekkehart Sorgatz
Marie-Therese Birnbaum
Goran Junck-Bauer
Ilonka Kohl
Oda Berger
Dr. Nadeschda Wulf
Barbara Kambs
Mahmut Rose B.A.
Alf Jüttner
Annegrete Jäkel
Engin Johann-Weihmann
Hans-Bernd Eimer-Pechel
Elias Gierschner
Katja Heidrich
Oliver Kohl
Diethard Trommler
Czeslaw Jacobi Jäckel-Zahn
Wiltrud Ladeck MBA.
Adeline Hahn
Ing. Pavel Weller B.Eng.
Heinz-Wilhelm Säuberlich MBA.
Rosalinde Trupp
Natali Patberg B.A.
Asta Knappe
Prof. Patrik Scheel
Klaas Vogt
Ria Walter
Ing. Mariechen Nerger B.Eng.
Horst-Peter Löchel
Notburga Pechel B.Eng.
Ricarda Warmer B.A.
Adelinde Kensy B.Eng.
Angelika Roskoth
Sebastian Aumann
Leonardo Klingelhöfer B.Sc.
Natalija Haering
Hüseyin Wulf-Schmidt
Miroslav Paffrath
Gülsen Junck
Daria Liebelt
Olivia Schleich
Erik Trupp MBA.
Vlado Kramer B.Eng.
Michaele Neureuther
Klaus Peter Adler
Frederik Bohlander
Cäcilie Schmidt
Adam Gertz
Jonas Hendriks
Dittmar Berger
Cristina Salz B.Sc.
Daniele Finke
Bernhard Fischer
Dipl.-Ing. Alla Karge
Herr Vladimir Zimmer MBA.
Nicole Scheibe
Bettina Schlosser
Dunja Trub
Dipl.-Ing. Angelique Ortmann
Augustin Ernst
Othmar Täsche-Loos
Joachim Höfig
Aenne Hübel-Mühle
Dr. Gerold Dörschner
Ing. Katarzyna Noack
Eugen Schottin
Jörn Trupp MBA.
Carsten Wieloch-Kranz
Alwin Löffler B.A.
Irmi Döhn
Heribert Austermühle-Trupp
Herr Knud Pölitz B.A.
Ing. Cord Hermighausen B.Eng.
Nurettin Dippel
Notburga Heuser
Frau Corinna Wähner
Lara Oderwald
Ruth Hartung
Herr Bartholomäus Adolph MBA.
Univ.Prof. Ortwin Geisler MBA.
Dina Johann
Frieda Tintzmann-Löchel
Paolo Hentschel-Zobel
Juan Briemer-Textor
Sibel Hörle
Luisa Hecker
Hans Josef Thanel
Prof. Marius Herrmann
Hans-Helmut Binner B.Sc.
Ing. Leszek Gutknecht B.Sc.
Herma Möchlichen
Prof. Berend Käster B.A.
Univ.Prof. Natalie Flantz
Belinda Reinhardt B.A.
Fatih Bohlander
Frau Etta Wesack MBA.
Damian Holsten
Geza Beckmann
Marlis Wiek
Ing. Tilman Kitzmann
Frau Katarina Lindner
Irmtraud Ladeck
Ricardo Hesse
Stavros Ortmann
Francisco Budig-Geisler
Rudolf Weihmann
Freia Hamann-Eckbauer
Albin Budig
Drago Täsche
Augusta Rosemann
Ludwig Reinhardt
Wladimir Rogge
Nathalie Lehmann
Vesna Wähner
Univ.Prof. Franz-Josef Holt
Benita Hahn-Wieloch
Frau Ingried Rogner B.Sc.
Anka Boucsein
Astrid Nerger-Tröst
Hulda Seidel-Carsten
Dr. Egbert Kraus
Nada Dowerg-Jähn
Nadeshda Hänel-Kaul
Sylvester Hamann
Herr Hilmar Stumpf
Herr Bodo Steckel
Ing. Leni Rosenow B.Eng.
Ilka Zimmer-Wesack
Reimund Kraushaar
Liliane Gröttner-Albers
Alfons Schleich B.A.
Carolin Siering
Rainer Conradi
Dipl.-Ing. Margarete Schmidt
Robert Budig-Ullmann
Hans-Jochen Mude
Bogdan Löffler
Ing. Hans Jürgen Häring
Gesche Trub
Carina Hövel
Univ.Prof. Agathe Steinberg MBA.
Traudel Wilmsen B.A.
Univ.Prof. Conny Wagner MBA.
Reimar Kabus
Uschi Trüb
Ing. Henrike Kramer
Inna Winkler
Dana Köster
Fanny Zänker-Hein
Valentin Gute
Univ.Prof. Leif Süßebier B.A.
Hedda Mielcarek
Magdalena Warmer MBA.
Herr Dursun Hentschel B.Eng.
Hertha Stoll
Myriam Hänel
André Kroker
Therese Neureuther
Orhan Hecker-Heuser
Philip Renner
Verena Davids
Prof. Uschi Fliegner B.A.
Denny Bohlander B.A.
Prof. Friedbert Tschentscher B.Eng.
Mark Schottin B.Eng.
Patricia Wiek
Engelbert Margraf-Trommler
Prof. Annita Putz
Univ.Prof. Heinrich Reinhardt MBA.
Ignaz Beer-Eckbauer
Dipl.-Ing. Birgitta Boucsein
Agnes Ullmann
Hans-Detlef auch Schlauchin-Fischer
Janine Dehmel B.Eng.
Univ.Prof. Jeanette Girschner B.Sc.
Ben Schomber
Reinhard Rogge
Dipl.-Ing. Gloria Heidrich
Josefine Rosemann
Herr Hans-Ludwig Steinberg
Sofia Etzler B.Eng.
Marisa Hartmann-Kusch
Heide-Marie Adler B.Eng.
Anica Sorgatz B.Sc.
Marta Herrmann
Prof. Henryk Kitzmann
Sylvester Bachmann
Jerzy Mende-Wagenknecht
Gaby Noack
Frau Raissa Ruppersberger B.Eng.
Frau Mirja Jüttner B.Eng.
Mattias Wieloch
Wolf-Dietrich Gotthard-Dussen van
Giorgio Trüb
Gerhart Beier
Ing. Elisabet Jopich B.Sc.
Ditmar Niemeier
Herr Roman Sontag B.Sc.
Herr Christopher Speer
Mariana Wirth
Dr. Marie-Luise Klingelhöfer B.Eng.
Herr Rigo Krebs B.Eng.
Emma Sauer B.Eng.
Eckard Textor
Serge Kade
Auguste Lorch
Ben Ullmann MBA.
Delia Hande-Koch
Karl Heinz Kruschwitz-Reising
Dr. Margarethe Ernst
Prof. Goran Sölzer MBA.
Ing. Eva Kitzmann B.A.
Dipl.-Ing. Harm van der Dussen
Hans-Georg Dörschner
Antonina Christoph MBA.
Dipl.-Ing. Marieluise Löchel
Stavros Schinke
Kemal Heinz
Dr. Anna-Maria Zahn B.Sc.
Marie Hoffmann B.Sc.
Anatolij Junk
Adriana Vogt
Elli Kohl
Hermine Wohlgemut
Gebhard Krein
Herr Alwin Sager B.A.
Sonja Löchel
Prof. Aziz Stumpf
Dagmar Schinke B.Sc.
Anne-Rose Sorgatz
Heino Schönland-Hermann
William Zirme
Ivanka Berger-Kraus
Dipl.-Ing. Dajana Beer
Ing. Willi Warmer B.Eng.
Jeannine Gieß
Anka Förster
Frau Marie-Therese Mielcarek
Immo Ring
Dr. Franz-Peter Löffler
Karl-Peter Heser
Valeria Bonbach
Dr. Mohammed Höfig
Anka Rohleder
Katerina Barkholz
Anni Hänel B.Eng.
Alexei Meister
Herr Jan Kobelt
Vincenzo Haering
Alexandra Henk MBA.
Slavica Koch
Alois Knappe
Stephanie Weller
Dr. Silvester Krein B.Sc.
Wiebke Gehringer
Frau Emilia Pruschke B.A.
Univ.Prof. Albertine Köhler MBA.
Wieslaw Freudenberger
Prof. Ivonne Boucsein B.Eng.
Jonas Boucsein
Herr Gerold Kreusel
Aribert Putz
Britt Gorlitz
Jörg-Peter Klemt MBA.
Bekir Gumprich-Kabus
Hans-Martin Bärer
Lutz Kobelt
Antonios Schönland
Heide Knappe
Ellen Röhrdanz
Tobias Liebelt
Heinz-Dieter Gute
Attila Atzler
Univ.Prof. Karl-Otto Dowerg MBA.
Sylvia Schenk
Niklas Scholtz
Dipl.-Ing. Dorina Lindau B.Sc.
Ingmar Beckmann
Ing. Marga Lehmann MBA.
José Tschentscher-Textor
Roberto Ritter-Fritsch
Irina Mielcarek
Kenan Wulff-Plath
Aline Steinberg-Klingelhöfer
Emmi Adolph
Dr. Luciano Ortmann
Ilja Hölzenbecher-van der Dussen
Karl-Heinrich Karz
Kazim Rohleder
Otmar Gierschner
Monique Ullmann MBA.
Cetin Schwital
Dipl.-Ing. Manuel Kade
Filiz Bähr
Frau Clarissa Rosenow B.A.
Olaf Juncken
Damian Hentschel
Jorge Killer
Theo Henschel
Romy Zahn-Bien
Marie-Louise Hauffer
Martine Conradi
Marco Stey
Dipl.-Ing. Gottfried Scholtz
August Weihmann
Slawomir Ortmann
Tomas Gröttner
Ing. Marie-Therese Schleich
Rosa Heuser
Herr Osman Gerlach B.Sc.
Kazim Tschentscher
Karolin Mitschke
Hans-Joachim Pohl
Oskar Löwer B.Eng.
Dipl.-Ing. Gabi Scholtz
Dina Koch
Martha Wilmsen
Antje Drub
Univ.Prof. Annekatrin Neureuther B.A.
Irina Hahn
Mercedes Rädel-Drub
Regine Meyer
Christopher Sager
Natalie Neureuther
Dipl.-Ing. Hanns Nette
Aldo Kusch-Klemm
Erich Putz
Marion Weihmann
Univ.Prof. Steffen Tröst
Hansjörg Müller B.Sc.
Prof. Mohammed Kambs
Milka Hahn
Heinz-Willi Jockel
Leszek Hentschel
Prof. Sonia Blümel
Kornelius Hornig MBA.
Magdalene Hering MBA.
Prof. Andrzej Gorlitz
Univ.Prof. Heidrun Hiller
Suzanne Holzapfel
Prof. Dolores Butte
Dr. Carmela Rudolph
Eveline Putz
Dipl.-Ing. Utz Adler B.A.
Karl Heß
Frau Ina Schwital B.Sc.
Dietmar Lindau
Prof. Heinz-Peter Sager
Annegrete Pergande
Ing. Giuseppe van der Dussen B.A.
Tilmann Geisler
Dipl.-Ing. Aloys Hentschel
Vinko Reuter
Engelbert Sauer MBA.
Saskia Wagenknecht
Dipl.-Ing. Berit Weinhage
Ing. Wendelin Köster B.A.
Annelene Zänker
Dr. Lidia Flantz B.Sc.
Sigmund Kensy
Giesela Dowerg
Burkhard Fröhlich-Dussen van
Lilli Atzler
Bettina Lachmann
Katherina Ruppert
Valentine Bähr B.A.
Inna Weinhage
Gerhart Davids B.A.
Marlen Gute-Hauffer
Istvan Scheuermann
Herr Bastian Hübel B.A.
Berthold Rohleder
Irmtrud Mohaupt-Etzler
Sigurd Süßebier
Annamaria Hänel-Zimmer
Artur Kreusel
Ullrich Preiß
Dipl.-Ing. Sedat Sontag
Rudi Schacht
Herr Wolfhard Hövel
Wilma Pärtzelt-Huhn
Hans Georg Niemeier
Univ.Prof. Olivia Gnatz MBA.
Ferenc Trüb B.A.
Ignaz Stoll
Andree Wilmsen B.Eng.
Jaroslaw Eckbauer
Constantin Ziegert
Franz Ortmann B.Eng.
Liliana Zorbach MBA.
Anneliese Trub
Sigurd Holsten B.Sc.
Mariele Peukert
Wenke Patberg
Gabi Gertz
Karlfried Müller
Dr. Fedor Plath B.Sc.
Georgios Neuschäfer
Univ.Prof. Marcella Trüb
Bernhardine Ruppersberger
Marcella Höfig
Adeline Holsten
Mathilde Wähner-Bien
Michail Pechel
Verena Gute-Trüb
Detlev Wilmsen
Dunja Dörr B.Sc.
Ulrich Schlosser
Kläre Beier B.A.
Felicitas Kensy-Stey
Univ.Prof. Galina Kobelt B.Eng.
Ekkehard Holzapfel
Hans-Georg Schmidt
Timm Freudenberger-Henschel
Prof. Diether Neureuther
Ottilie Blümel
Miroslaw Gieß
Prof. Hans-Hinrich Schmidt
Paola Margraf
Friedhilde Hornig B.A.
Dr. Mariusz Beckmann
Zeljko Jessel
Univ.Prof. Janos Rörricht MBA.
Juergen Bähr
Hermann-Josef Zimmer
Lambert Wilmsen
Friedemann Klingelhöfer
Cornelia Schinke
Gunnar Junk
Univ.Prof. Catharina Neureuther B.Sc.
Ann Mielcarek
Anatolij Trub
Rolf-Dieter Jacobi Jäckel-Nerger
Slawomir Ehlert-Reising
Dipl.-Ing. Gunar Kuhl
Gisela Carsten B.Sc.
Valerij Weller-Barkholz
Univ.Prof. Christoph Beier B.A.
Ottfried Scheibe-Sauer
Janos Kobelt-Henck
Prof. Ursula Eigenwillig
Dr. Gert Trapp MBA.
Dr. Deborah Kade
Daniela Weimer
Ing. Ralf Sölzer B.A.
Mira Hoffmann
Karla Wirth
Willfried Kostolzin
Frau Dora Rosemann B.A.
Ladislaus Stadelmann
Cemal Trapp
Loni Trubin
Prof. Knud Atzler B.Sc.
Adelinde Gutknecht-Beier
Dipl.-Ing. Christel Beer B.Eng.
Herr Andrej Rose
Gundula Ruppersberger
Nikolaos Ebert-Grein Groth
Peer Bärer
Dr. Czeslaw Neureuther
Prof. Sibel Mälzer MBA.
Bogdan Römer B.Eng.
Dipl.-Ing. Nathalie Bender
Ing. Antonius Jacobi Jäckel MBA.
Nikolas Heß
Arnulf Heidrich
Lili Weimer
Dr. Elwira Hiller
Ing. Jo Caspar
Dipl.-Ing. Sergio Hövel B.Eng.
Prof. Hans-H. Zimmer
Univ.Prof. Rotraut Juncken B.A.
Carl-Heinz Trapp
Sandy Dietz
Matthäus Striebitz-Zirme
Prof. Volkmar Wirth B.Eng.
Marten Wesack
Laila Kranz
Ingried Hauffer-Lübs
Jan Gumprich
Univ.Prof. Waldemar Döring
Dr. Gerda Butte MBA.
Franz-Xaver Carsten
Emin van der Dussen
Gisela Weinhold B.Sc.
Herr Mario Thanel
Dr. Anto Wende
Prof. Klaus Peter Hellwig B.Sc.
Liliane Koch II
Dipl.-Ing. Henriette Schmidtke MBA.
Willfried Werner
Kunigunda Hamann-Hermighausen
Konrad Schuster
Hannah Stiffel-Börner
Ignaz Schottin
Sören Trommler
Anna-Luise Eckbauer
Dr. Gerd Fechner
Janet Johann B.A.
Bodo Ullrich
Ante Gunpf
Ildiko Mitschke B.Sc.
Dipl.-Ing. Katarina Schmidtke
Jann Geisler
Frau Gertraude Wesack B.Eng.
Ing. Wilhelmine Adler B.Sc.
Aribert Schulz B.Eng.
Alexa Dietz
Dorota Mude
Ingried Hänel
Prof. Lutz Adolph
Wolfhard Vogt
Anna-Lena Bloch
Mariusz Wilmsen B.A.
Prof. Torsten Geisel B.Sc.
Dipl.-Ing. Christoph Schulz B.Sc.
Dipl.-Ing. Lara Tlustek
Kira Hartmann B.Sc.
Dr. Krista Jäkel B.A.
Wilfried Söding
Ing. Fredi Löffler
Frau Friederike Albers
Univ.Prof. Nermin Rosemann B.Sc.
Prof. Kata Häring
Silke Heydrich-Albers
Sibilla Bachmann
Helma Schaaf B.A.
Marko Trupp
Linus Schuchhardt
Frau Aleksandra Dobes B.A.
Herr Konstantin Neureuther B.A.
Miroslav Krein
Sina Wulff-Dussen van
Gerlinde Albers-Hörle
Sigurd Lange-Seifert
Erhardt Loos
Steven Käster B.Sc.
Wulf Schuster
Stefani Caspar
Manuel Stolze MBA.
Annita Jähn
Silja Eberhardt-Boucsein
Thomas Drub
Wolfhard Fiebig
René Matthäi
Univ.Prof. Aleksander Wiek B.A.
Pavel Pärtzelt B.Sc.
Patrick Wohlgemut
Toni Dehmel-Striebitz
Jennifer Hoffmann
Ilonka Wulf
Reingard Cichorius
Univ.Prof. Edmund Mentzel B.Eng.
Berthold Haase-Trub
Heinz-Joachim Stiebitz
Leonard Kostolzin
Dariusz Reising-Ernst
Wieslaw Oestrovsky MBA.
Piotr Speer-Seifert
Univ.Prof. Baptist Mende MBA.
Gerta Klemt
Kirsten Heydrich
Annelies Heidrich
Nico Drewes
Bernhardine Schuchhardt
Liane Gröttner
Ing. Krzysztof Kambs B.Eng.
Ayse Thies B.Eng.
Annelie Bloch
Walli Gnatz
Caroline Harloff
Filippo Patberg
Frauke Staude
Mirjam Stumpf
Klaus-D. Zänker-Hein
Univ.Prof. Lissi Schomber
Josephine Rogge
Maik Schottin
Dr. Almut Nohlmans B.A.
Ing. Damaris Bonbach
Claus Jähn B.Eng.
Leon Junken
Krista Junken-Hövel
Ingetraut Köster
Frau Delia Hellwig B.Sc.
Dipl.-Ing. Lilly Trüb
Ivonne Lachmann
Hansgeorg Kruschwitz
Felicitas Biggen
Herr Gerolf Hermann B.Eng.
Adam Seifert
Marit Weller
Wilma Paffrath
Gabriela Freudenberger B.A.
Dagmar Schäfer
Ing. Jaqueline Wende B.A.
Bertha Reuter
Fridolin Paffrath-Geisler
Josef Langern
Hans-Christian Roht
Ing. Svenja Aumann
Felicitas Ruppersberger
Dipl.-Ing. Elisabeth Wiek
Darius Trupp
Ing. Dagmar Bohnbach B.Eng.
Joachim Kramer
Univ.Prof. Fredy Barth MBA.
Guido Junck
Olaf Hethur
Dr. Lidija Weihmann
Guenter Wende
Irma Neureuther
Orhan Mude
Otto Lindner
Emanuel Scholz B.Eng.
Thomas Kraushaar
Univ.Prof. Jürgen Weiß
Horst-Günter Zirme
Irmgard Hövel
Timo Huhn
Wolf-Dieter Schmiedt
Prof. Marie Plath
Hans-Helmut Eimer MBA.
Dr. Sandra Mangold B.Sc.
Gina Stolze
Margareta Klingelhöfer
Helga Mosemann-Hecker
Dr. Leo Schlosser MBA.
Univ.Prof. Evelyn Seifert B.A.
Alexandre Geisel
Jörgen Paffrath B.Sc.
Irmgard Liebelt
Madlen Geißler
Janet Ullrich
Univ.Prof. Alberto Steuer
Dr. Elena Kade B.Sc.
Gunda Warmer
Sara Johann
Hedy Loos
Ing. Swen Ehlert
Nadja Ladeck B.Sc.
Goran Benthin
Brunhild Briemer B.Sc.
Nico Möchlichen
Hansjörg Holsten
Gabor Dobes
Burghard Hamann-Dippel
Arndt Weinhold MBA.
Dr. Mato Geisel
Erica Lachmann
Alwine Linke
Melissa Gehringer
Maurice Steckel
Hans-H. Pergande
Univ.Prof. Niklas Mohaupt MBA.
Ing. Vesna Kroker B.Eng.
