Student
Marcella Sölzer
Niko Gutknecht B.Sc.
Cilli Gorlitz
Jann Cichorius
Eveline Putz
Ing. Georg Lübs
Anna-Lena Bloch
Gereon Textor
Astrid Schweitzer
Engelbert Margraf-Trommler
Wibke Pärtzelt-Wieloch
Jonas Budig
Prof. Theobald Mangold
Beate Nette
Univ.Prof. Lisbeth Köhler
Ing. Hüseyin Gutknecht B.Sc.
Erhardt Heidrich
Univ.Prof. Woldemar Walter
Caterina Weinhage
Dipl.-Ing. Lilly Boucsein B.Sc.
Sofie Fiebig-Hermighausen
Dipl.-Ing. Ana Rosemann
Toni Schottin B.A.
Abram Peukert MBA.
Prof. Alina Barth
Hilda Metz-Dehmel
Niko Bähr B.Sc.
Cordula Wohlgemut
Liliane Koch II
Aneta Heydrich
Nikolai Rädel-Klemt
Richard Kostolzin
Herr Wladimir Bolnbach
Magnus Heidrich
Jana Drubin-Heß
Ing. Ralf Sölzer B.A.
Christos Gumprich
Univ.Prof. Ivanka Hübel
Denny Salz
Dr. Irmgard Plath B.A.
Prof. Cilli Wulf
Dr. Annelene Hamann
Univ.Prof. Kreszenz Wulf B.A.
Marleen Austermühle-Tintzmann
Ing. Pamela Gerlach
Knut Gorlitz
Lea Heuser
Liesa Wilms B.A.
Urban Klemt
Zdravko Müller-Fritsch
Catharina Jacob
Prof. Rabea Hettner B.Eng.
Univ.Prof. Christoph Beier B.A.
Helga Franke
Carla Hecker
Maja Jungfer
Univ.Prof. Bert Gieß
Valeri Mielcarek
Augustin Hoffmann MBA.
Irmgard Weinhage-Wieloch
Dipl.-Ing. Laila Scheuermann B.Sc.
Wally Kreusel
Annegret Atzler
Erol Röhrdanz
Gundel Dietz
Sibylla Klingelhöfer B.Sc.
Hanno Löffler
Ralph Jessel B.A.
Prof. Volkmar Wirth B.Eng.
Dipl.-Ing. Sylke Gute B.A.
Frauke Söding
Giuseppe Stahr
Henriette Pohl
Univ.Prof. Theresia Lange MBA.
Natalie Neureuther
Karlfried Zahn B.A.
Dr. Anatoli Bonbach
Urs Matthäi
Dipl.-Ing. Alexandros Weinhold
Elise Ackermann
Edeltraud Mülichen
Elizabeth Vollbrecht
Gertraude Ruppersberger
Torben Wiek-Ring
Fredy Hiller
Bertram Segebahn
Kristina Röhricht
Mijo Seidel B.Sc.
Daniele Hering
Ing. Jenny Oestrovsky
Heimo Ziegert
Fredo Paffrath-Kohl
Roger Gunpf-Paffrath
Dipl.-Ing. Gabriel Roskoth
Hannah Jacobi Jäckel
Prof. Robert Heintze
Mariusz Stadelmann-Jähn
Ute Hartmann
Liesa Neureuther
Klaus-Jürgen Jockel
Trudel Bloch
Ladislaus Stadelmann
Prof. Orhan Ladeck MBA.
Dorle Killer
Mary Hofmann B.A.
Svetlana Schenk-Barth
Norman Ditschlerin MBA.
Thea Nette
Ewald Kreusel
Hans-Rudolf Dehmel
Ing. Maren Schenk
Adolfine Lange
Jann Schleich
Univ.Prof. Amalia Köhler
Elfi Harloff
Herr Aleksandr Wiek B.Sc.
Frau Käthi Hamann B.Eng.
Felix Müller
Dagmar Jungfer
Frau Josefa Henschel B.A.
Helfried Langern
Silja Eberhardt-Boucsein
John Roskoth-Rädel
Dierk Buchholz MBA.
Friedrich Bolnbach-Gnatz
Dorle Dörschner
Marie-Louise Wulff
Fatma Möchlichen
Lorenz Schwital-Stadelmann
Hannes Patberg
Rebecca Börner
Berit Pärtzelt
Diether Vogt B.A.
Anika Holsten
Univ.Prof. Siegfried Karz B.Sc.
Univ.Prof. Reginald Lorch
Priska Rädel
Dipl.-Ing. Milos Klemt
Prof. Tadeusz Mosemann B.Sc.
Carsten Junken
Thorsten Kensy B.Eng.
Ing. Serpil Rudolph MBA.
Dominic Martin
Peter-Michael Kostolzin
Erich Putz
Edgar Bauer
Ing. Edward Salz
Notburga Huhn
Dipl.-Ing. Freya Höfig
Mark Gute-Faust
Rosa Christoph-Sontag
Raisa Scholtz
Bertha Ritter-Drubin
Friedrich-Wilhelm Höfig-Johann
Univ.Prof. Hartwig Holsten B.Sc.
Dipl.-Ing. Randolf Martin B.A.
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Hans Dieter Fiebig B.Eng.
Lilli Harloff
Fedor Röhrdanz
Hans-Theo Vogt-Beckmann
Hansgeorg Klotz
Helen Tschentscher
Thomas Kraushaar
Ing. Christel Margraf MBA.
Dino Kusch-Hiller
Dr. Matthias Niemeier
Pierre Ortmann
Resi Ullmann
Evelyn Stolze
Evelin Stumpf
Claus-Dieter Krause
Diethelm Hübel MBA.
Verena Davids
Egon Paffrath
Dr. Zeki Eberth
Frau Dora Rosemann B.A.
Prof. Urs Täsche
Astrid Dehmel
Univ.Prof. Ditmar Mitschke B.A.
Dunja Dörr B.Sc.
Zehra Ernst-Bohnbach
Semra Gorlitz
Johann Liebelt MBA.
Univ.Prof. Anneke Gunpf
Gabriel Roskoth
Helen Hein B.A.
Univ.Prof. Baptist Mende MBA.
Stephen Reichmann
Sebastian Vogt
Reinhild Patberg
Irmingard Meyer MBA.
Cetin Heidrich
Prof. Kordula Vollbrecht B.A.
Jens Drubin
Magdalene Hering MBA.
Rolf-Dieter Flantz B.Eng.
Zenta Gertz B.A.
Frau Franziska Trupp B.Sc.
Jochen Säuberlich
Nadia Thanel
Prof. Karl-Heinz Ruppersberger
Dr. Helge Täsche MBA.
Mary Reuter B.Sc.
Lucie Gutknecht
Frau Valentine Benthin
Frau Cynthia Bähr B.Sc.
Lia Zänker
Friedl Hölzenbecher-Eberth
Hedda Haase
Jessika Thies
Miroslawa Jäkel-Bohnbach
Saban Etzler B.Eng.
Miroslawa Gude B.Sc.
Isidor Niemeier
Tilman Eberhardt
Till Karz
Eckehard Wernecke
Herr Rudi Neuschäfer
Angelique Wesack B.Eng.
Klaus-Peter Zorbach
Ramona Römer
Anatolij Kroker B.Eng.
Hermine Franke B.Eng.
Lucie Trüb-Schmiedt
Leni Heß
Annaliese Lübs
Falk Höfig
Notburga Heuser
Ferdi Hoffmann
Dr. Gerard Dörr
Dogan Ruppersberger
Univ.Prof. Hanspeter Gorlitz
Frau Constanze Heidrich B.Sc.
Osman Schäfer
Jörgen Lorch
Ida Hendriks B.A.
Josephine Rogge
Frau Patricia Schmiedecke B.Eng.
Dr. Karl-Ludwig Stoll MBA.
Herr Jonathan Hänel MBA.
Meinrad Barkholz B.Eng.
Eugenia Anders B.A.
Alexej Hornig-Radisch
Ljudmila Krebs
Jo Reising
Dipl.-Ing. Regine Renner
Frau Ayten Pärtzelt MBA.
Helen Hahn
Prof. Gerda Barkholz MBA.
Joana Preiß
Christos Beier
Reiner Ziegert-Walter
Marco Kostolzin-Bruder
Horst-Peter Riehl
Hilmar Faust
Helma Zorbach
Kriemhild Junk MBA.
Dipl.-Ing. Leo Sager
Herr Maik Klemt MBA.
Reinhard Christoph
Dorothee Renner
Mechtild Hering
Mareile Meister
Marek Walter MBA.
Olaf Weinhage
Irena Wilmsen
Prof. Jan-Peter Schmidt
Arno Ullmann
Natalija Haering
Pascal Freudenberger
Univ.Prof. Matthäus Gude
Albert Hartmann-Lachmann
Leo Gunpf-Bolzmann
Hans-Hinrich Trub
Giuseppe Preiß
Christin Hein B.Sc.
Dr. Iris auch Schlauchin
Prof. Natalia Junck B.Sc.
Natalja Seidel
Emma Trub-Scheuermann
Marek Ackermann
Ferenc Pergande B.Eng.
Hans-Jürgen Barth
Raymond Speer
Leopold Rörricht
Benjamin Jäntsch B.Sc.
Univ.Prof. Walfried Hövel
Slavko Schüler B.Eng.
Prof. Jörgen Gieß B.Eng.
Felicia Binner
Univ.Prof. Harro Weller
Dipl.-Ing. Annelise Naser
Karl-Dieter Segebahn-Köster
Beatrix Möchlichen
Wera Schmidt
Annaliese Hettner B.A.
Dr. Otmar Linke MBA.
Gundula Adler-Bien
Dominik Jungfer
Malte Schäfer
Maria Mans B.Eng.
Mohammed Geißler
Heinz Dieter Trubin
Insa Jacobi Jäckel
Calogero Heintze
Tina Henschel
Bertha Köhler
Lieschen Röhricht MBA.
Alexej Liebelt
Luzie Sager-Gierschner
Brita Flantz-Knappe
Gabi Gertz
Gerold Thanel
Gerta Hartmann
Prof. Johannes Holzapfel MBA.
Prof. Ingetraud Seidel B.Sc.
Frau Margitta Staude
Hartwig Zirme
Roberto Jockel
Ing. Peter Trubin B.Sc.
Lina Hein-Gotthard
Sylwia Bolander
Adeline Hahn
Edelgard Neureuther-Vollbrecht
Mathilde Kreusel
Gina Stumpf
Ing. Pauline Linke
Annelies Seifert
Ing. Walli Bolander MBA.
Alexandra Butte
Henni Wagenknecht B.Sc.
Arzu Wieloch-Röhrdanz
Gaby Noack
Dr. Pius Säuberlich B.Sc.
Prof. Mario Butte
Kreszenz Beier
Kaspar Hänel
Iwan Butte B.Sc.
Prof. Guenther Margraf B.Eng.
Ing. Arndt Schäfer
Ahmed Lange MBA.
Salvatore Eberhardt-Ring
Dipl.-Ing. Elif Hartmann B.A.
Julie Radisch MBA.
Herr Jacek Budig B.Eng.
Prof. Rudolph Linke
Erna Schmiedt
Frau Danielle Junk
Univ.Prof. Elfriede Rohleder
Melitta Fliegner
Gerda Kitzmann
Dr. Gundolf Römer MBA.
Ida Weihmann
Dr. Natascha Schmidtke B.Eng.
Univ.Prof. Änne Finke B.Sc.
Dr. Lars Klemt
Dr. Marliese Junck B.Sc.
Hans-Willi Ladeck
Helmtrud Atzler
Hans-Michael Krein-Wernecke
Mariechen Scholl
Freia Hamann
Carina Bruder
Maurizio Mans-Ullmann
Ing. Tomas Fischer B.Sc.
Hilmar Hörle
Dipl.-Ing. Fred Meister
Myriam Aumann
Hilmar Spieß
Yvette Dietz
Irmtraud Ladeck
Carlos Klotz
Gisela Weinhold B.Sc.
Sibylle Löchel
Francoise Zänker-Knappe
Dipl.-Ing. Wenzel Hellwig B.Sc.
Dr. Gabriela Geißler
Hansjürgen Schlosser
Univ.Prof. Hans-Martin Scholz
Hans-Georg Anders
Helmuth Langern-Steinberg
Lidwina Sorgatz-Weihmann
Paula Heinz
Geraldine Reising MBA.
Danielle Ritter B.Eng.
Siegward Hertrampf
Wilfriede Ziegert
Anneli Heintze
Ing. Hanny Schlosser MBA.
Hanspeter Davids
Tim Sorgatz
Achim Etzold MBA.
Uli Zimmer
Luka Weimer-Beyer
Ing. Anatolij Heintze
Dr. Sybille Bärer B.Sc.
Dietrich Kruschwitz
Klaus-D. Zirme-Bachmann
Sina Patberg
Marlies Beckmann
Herr Mario Pergande
Carin Atzler
Heinz-Josef Conradi-Klapp
Dipl.-Ing. Karsten Fechner
Cindy Schleich
Hans Misicher
Nuran Schäfer B.A.
Herr Yusuf Kabus B.A.
Prof. Ruthild Nette B.A.
Dina Rose
Univ.Prof. Siegrun Klingelhöfer MBA.
Olga Albers B.Sc.
Wolfhard Rosemann B.Eng.
Margit Müller
Frau Wenke Riehl
Wolf-Rüdiger Börner
Annemie Kade-Kuhl
Fanny Bolnbach B.Sc.
Danny auch Schlauchin
Giesela Wagner
Hans-Christian Finke
Abram Briemer
Tillmann Mude
Magret Mans
Siegrid Segebahn
Dipl.-Ing. Margarete Schmidt
Heinrich Kramer
Willy Weiß
Lisette Schönland B.Eng.
Hülya Scheibe
Ekkehart Binner
Ing. Natalie Oderwald B.Sc.
Franz-Xaver Scholtz
Ilija Lindner
Hans-Günther Wilmsen
Berndt Mohaupt MBA.
Bertold Stadelmann
Herr Herbert Dowerg
Carsten Jüttner B.Eng.
Anton Drubin
Gregor Knappe B.Eng.
Ben Zahn
Prof. Denis Segebahn MBA.
Gero Schomber
Catrin Förster B.A.
Frau Ilka Pärtzelt B.Eng.
Frau Evelin Löffler
Birgid Schüler
Bernhardine Ruppersberger
Univ.Prof. Franz-Josef Holt
Ing. Leo Schulz
Frau Wenke Klemt
Julia Mosemann
Dr. Evangelia Killer B.Sc.
Monja Heidrich
Jolanta Döring
Dr. Isabell Trupp
Murat Förster
Maurice Möchlichen
Josip Stey
Univ.Prof. Edmund Mentzel B.Eng.
Herr Laurenz Häring
Gereon Weitzel
Natali Löffler
Inken Hellwig-Hermann
Larissa Ullmann
Genoveva Gieß
Ehrentraud Meyer MBA.
Zdravko Staude B.Sc.
Sybilla Striebitz
Elias Gierschner
Dr. Jeanette Schuchhardt B.Eng.
Monika Haering
Robert Budig-Ullmann
Sylvana Holzapfel
Frau Monique Wesack B.Eng.
Gitta Mohaupt
Anett Bien-Schuster
Prof. Sibel Mälzer MBA.
Hans-Jürgen Klemm
Anne-Kathrin Bachmann
Ing. Anneliese Döring
Franco Radisch
Univ.Prof. Dragan Thies MBA.
Frau Kirsten Boucsein
Dipl.-Ing. Jerzy Stolze B.Sc.
Jörg Speer
Augustin Ernst
Prof. Ursula Niemeier B.Eng.
Lia Heydrich
Karl-Ludwig Bolnbach
Elsa Beer
Frank-Peter Kambs
Kornelius Sontag
Klaus-Dieter Knappe
Timo Siering-Hübel
Wilfried Börner
Ing. Frederic Christoph B.Eng.
Peer Nohlmans B.Sc.
Wilhelm Tlustek
Woldemar Bolzmann B.A.
Ludger Stiffel
Dipl.-Ing. Iris Stumpf MBA.
Dipl.-Ing. Slobodan Sölzer
Herr Jens Becker MBA.
Herr Tony Lindner
Gerta Kallert-auch Schlauchin
Prof. Carina Eimer
Univ.Prof. Lucia Zobel
Franz Josef Girschner
Timo Spieß
Ing. Willfried Kostolzin
Burkhard Holt-Schleich
Irene Ditschlerin
Antonius Kraus
Univ.Prof. Inga Hermighausen B.Eng.
Erhard Otto
Desiree Gierschner B.Eng.
Bernhardine Pechel
Jacek Klemt
Hellmuth Hörle
Gerfried Dippel
Marie-Therese Schleich
Ing. Nelli Hornig
Prof. Gunther Klingelhöfer
Immo Ring
Ing. Eugenie Birnbaum
Hansjoachim Salz-Junk
Ilka Heß
Marie-Therese Wagner
Maritta Bien
Dipl.-Ing. Detlef Trommler
Theresa Hethur-Kabus
Ivanka Rogge
Regina Reuter
Waltrud Jockel B.Eng.
Berthold Haase-Trub
Dogan Kranz
Eva-Maria Geisler
Hildburg Tlustek
Senta Warmer
Vassilios Birnbaum
Prof. Clemens Söding
Univ.Prof. Olivia Gnatz MBA.
Dipl.-Ing. Walfried Rosemann B.Eng.
Siegried Caspar B.A.
Urszula Spieß
Antonina Wagner
Heinz-Günther Bohnbach
Brita Kaul
Dipl.-Ing. Rigo van der Dussen B.Eng.
Mercedes Christoph
Valeri Tschentscher
Rebekka Lindau MBA.
Reimund Bohlander
Hans Jürgen Grein Groth-Rudolph
Univ.Prof. Dorina Lange
Roy Holt
Karl Meister B.Eng.
Frau Delia Hellwig B.Sc.
Rolf-Dieter Jacobi Jäckel-Nerger
Dagobert Bohnbach
Heidelore Heinrich
Prof. Josefa Beier B.Sc.
Dietrich Bien
Anatolij Steinberg
Sergej Dippel
Gesa Keudel-Bauer
Prof. Friedo Reuter
Daniele Heintze B.Eng.
Gerwin Schuster
Elisa Karz-Rohleder
Gülten Ruppersberger-Wende
Hermann Josef Drubin
Abdul Klapp-Hethur
Ing. Carmine Kroker
Tino Gnatz
Wojciech Girschner B.A.
Waltrud Jacob
Alice Nette
Univ.Prof. Willfried Werner B.Sc.
Luka Stiffel
Ing. Mohammed Geißler B.Eng.
Vesna Döhn
Ing. Karl-Peter Weinhold B.Sc.
Ing. Alma Rudolph B.Sc.
Dorothea Finke
Karen Rädel
Ing. Zoltan Dobes B.A.
Monika Krein B.Eng.
Iwan Schleich
Lieschen Walter
Attila Werner
Frau Evelyne Süßebier B.Eng.
Philipp Lorch
Dr. Theresia Mende
Hanspeter Stiffel
Dr. Adriane Bärer B.Eng.
Metin Peukert-Lindner
Astrid Nerger-Tröst
Brunhild Briemer B.Sc.
Cindy Stahr
Univ.Prof. Wibke Reinhardt B.Eng.
Guenter Kohl-Nette
Manuel Pärtzelt
Liesa Sauer
Frau Hildegunde Koch II
Univ.Prof. Herlinde Klotz
Gaetano Lübs
Arzu Ullrich
Nadja Häring B.Eng.
Sigmund Conradi
Dipl.-Ing. Mathias Metz B.A.
Ilona Roskoth-Bolander
Erich Klotz B.Sc.
Imelda Söding
Friedericke Lange
Eugenia Stey
Frau Camilla Kruschwitz
Rosita Budig
Otfried Ortmann
Kunigunde Ziegert
Falko Klemm B.Sc.
Frauke Staude
Dr. Bastian Christoph MBA.
Ingbert Binner-Heidrich
Grete Rudolph
Karola Zorbach B.Eng.
Prof. Dolores Butte
Timm Oderwald
Helmuth Zirme
Marianne Heser
Victoria Hiller
Hans-Adolf Mosemann B.A.
Univ.Prof. Claudia Freudenberger B.Sc.
Agathe Jäntsch-Käster
Tatjana Käster-Schüler
Rosa-Maria Knappe
Sigrid Jockel
Johannes Schuchhardt-Junitz
Mariana Jüttner
Friedemann Klingelhöfer
Linda Ziegert-Junken
Wiebke Caspar B.A.
Dr. Editha Rohleder
Tino Paffrath B.Eng.
Christiana Bauer
Prof. Thekla Hahn
Liane Hermann MBA.
Univ.Prof. Otto Kruschwitz MBA.
Meryem Hänel-Jungfer
Cord Haase
Almuth Haase
Rene Hofmann
Prof. Folker Budig
Leokadia Finke-Dippel
Kristin Kabus
Herr Jerzy Drub
Danilo Hartmann
Gabi Harloff
Vassilios Davids
Ingrid Rudolph
Ernst-August Gunpf
Cord Zorbach
Paulina Bender-Liebelt
Kathrin Beckmann-Heinz
Marta Eigenwillig-Hörle
Dr. Katalin Knappe B.Eng.
Gisela Carsten B.Sc.
Anatolij Trub
Maurice Beckmann
Pedro Beer
Dr. Saban Hoffmann B.Eng.
Käthe Hande
René Säuberlich B.Eng.
Ilja Hartung
Prof. Angelique Seidel MBA.
Ing. Leonid Budig B.A.
Hanne Junk
Pauline Bolzmann
Dipl.-Ing. Lara Tlustek
Anke Bähr
Eckard Textor
Marleen Heser
Dr. Mariusz Beckmann
Dominic auch Schlauchin
Meral Reinhardt
Univ.Prof. Lissi Schomber
Katerina Bolzmann B.Eng.
Fabian Pechel-Dippel
Hans-Erich Staude
Abram Scholz B.Sc.
Kriemhild Jähn
Kristiane Steckel
Anto Kobelt-Kobelt
Prof. Urs Flantz
Uli Stolze MBA.
Kaspar Trub
Daniela Wernecke-Hölzenbecher
Roger Hendriks-Ruppersberger
Ludmila Dobes B.A.
Annette Schwital
Ing. Gotthard Reuter B.A.
Ryszard Süßebier-Neureuther
Darius Loos
Kamil Hecker-Hahn
Ing. Alexander Mude
Gaetano Köhler
Geza Hertrampf B.A.
Ing. Siglinde Bolzmann
Matteo Dehmel-Weimer
Dr. Nadeschda Wulf
Alexandra Henk MBA.
Gabriel Süßebier-Eigenwillig
Felix Wilms
Edelbert Bruder
Prof. Tobias Börner
Dipl.-Ing. Baldur Oderwald B.Sc.
Irmtrud Klingelhöfer
Kriemhild Gude
Frau Rosemarie Stiffel
Stefania Möchlichen
Sandra Hornig
Diana Weitzel
Ing. Hans Peter Schenk B.A.
Frau Bruni Krein B.A.
Erkan Kuhl-Oestrovsky
Prof. Klaus Peter Hellwig B.Sc.
Elsbeth Schmiedecke-Wulf
Univ.Prof. Marko Schmiedecke MBA.
Herr Alwin Sager B.A.
Prof. Emine Wulf B.Eng.
Niko Butte-Rosenow
Gordon Lehmann
Lilly Beckmann B.Sc.
Prof. Hannah Hölzenbecher MBA.
Apollonia Heß B.A.
Univ.Prof. Jörg-Peter Riehl
Leander Dobes-Schlosser
Dr. Sigfried Seip B.Eng.
Prof. Anka Schulz
Janette Kraushaar
Alma Flantz MBA.
Dipl.-Ing. Virginia Käster
Eberhardt Mielcarek
Hannah Stiffel-Börner
Annie Schlosser
Dr. Guntram Kusch
Hans-Bernd Trubin-Klemt
Univ.Prof. Dolores Jäkel
Alexej Wagner
Eberhardt Schäfer
Alexej Kohl
Hildegund Gunpf
Franz Ortmann B.Eng.
Annika Pieper B.A.
Isa Kramer-Matthäi
Ing. Cord Hermighausen B.Eng.
Eveline Birnbaum
Erica Renner-Trapp
Daniela Löwer
Nadin Schomber
Hansgeorg Heuser
Frau Myriam Walter B.Sc.
Fernando Dobes
Dragan Trub
Dr. Lilly Conradi B.Sc.
Toni Dehmel-Striebitz
Ing. Sibel Mies
Reimar Kabus
Thies Birnbaum B.A.
Leonore Hettner-Staude
Radmila Linke MBA.
Tülay Fiebig
Hellmuth Drubin-Tschentscher
Maria Döring B.Sc.
Nuri Jopich
Johann Rust
Agata Hertrampf
Konrad Schuster
Niklas Schleich
Jochen Naser
Anton Stey
Mariana Steckel
Toralf Jessel
Norbert Niemeier
Jörgen Putz B.A.
Joseph Harloff
Margitta Hethur MBA.
Anna-Marie Heidrich
Alf auch Schlauchin
Theresa Caspar
Friedlinde Meyer
Frau Renate Geisler
Alfredo Bolzmann B.A.
Gerd Becker
Ehrentraud Hänel-Dussen van
Henny Herrmann
Brigitte Zirme B.Sc.
Gesa Jäntsch
Ehrhard Häring B.A.
Pero Gnatz
Univ.Prof. Jaroslav Seifert B.Eng.
Verena Hornich
Roy Schmidt B.Eng.
Dr. Emin Dietz B.Sc.
Danilo Ehlert
Massimo Ernst
Dorothee Seidel
Urte Caspar
Antonie Ladeck
Marlies Seifert-Roht
Oxana Ortmann MBA.
