Student
Univ.Prof. Petra Scheel
Prof. Goran Sölzer MBA.
Dr. Heiderose Kallert B.Eng.
Angela Stiffel
Univ.Prof. Immo Mangold
Pirmin Boucsein MBA.
Frau Herlinde Segebahn
Ullrich Preiß
Asta Knappe
Katharina Etzler
Kay-Uwe Pölitz
Gabriel Roskoth
Univ.Prof. Karen Etzold B.A.
Urszula Fliegner
Petra Wagner
Liesel Ziegert
Gülay Werner
Janos Ehlert
Gerard Scholl
Camilla Jäntsch
Adelinde Ackermann-Knappe
Gundula Otto-Kuhl
Univ.Prof. Nadeshda Oestrovsky
Herr Hermann-Josef Hauffer
Herwig Jäntsch B.Sc.
Annaliese Gerlach
Maren Bachmann-Stumpf
Rene Bruder B.Eng.
Carlo Bohlander
Gert Hölzenbecher B.Sc.
Kordula Drub B.Sc.
Dr. Myriam Häring
Adriana Vogt
Carolin Holt
Raymund Koch II-Margraf
Adalbert Boucsein
Prof. Ada Wähner
Helfried Langern
Univ.Prof. Till Vogt MBA.
Dr. Steven Wohlgemut
Hans-J. Neureuther
Sevim Ackermann
Irmengard Jüttner B.Eng.
Lutz Kobelt
Aloisia Faust
Ivo Wesack B.Sc.
Fredy Ring
Prof. Susanne Rose
Erica Lachmann
Hansjürgen Weitzel
Volkmar Hentschel
Anatoli Anders
Betti Adolph
Ing. Hannes Jähn B.Sc.
Henni Keudel B.Sc.
Janett Zorbach
Traude Kuhl
Dr. Uli Segebahn
Vittorio Harloff
Valerie Mangold
Birte Jüttner
Ing. Madlen Beier B.A.
Egon Paffrath
Samir Wähner-Butte
Ing. Cilli Gertz B.A.
Ulrike Albers
Adalbert Vollbrecht
Univ.Prof. Irene Budig
Marica Hamann-Koch
Hans-Detlef Matthäi
Leon Bauer
James Ebert
Luka Weimer-Beyer
Martina Keudel
Engin Schenk
Heinz-Willi Geisel
Sevim Vollbrecht B.A.
Hanife Ackermann
Reimar Rädel
Mariana Wirth
Ing. Vitali Hentschel MBA.
Heinz-Werner Schleich-Mies
Dr. Anny Kallert
Lilli Harloff
Sigrun Weinhold
Dipl.-Ing. Ante Rust
Ansgar Möchlichen-Höfig
John Gunpf B.Sc.
Frau Mira Klemm
Pero Römer
Ria Koch II
Ilona Roskoth-Bolander
Moritz Spieß
Karl-Heinrich Schüler
Valerij Weller-Barkholz
Günther Mude B.A.
Anthony Oderwald
Dr. Lidija Metz
Ing. Valentina Börner
Mohamed Heydrich
Ing. Tilman Kitzmann
Boris Stumpf
Heide Knappe
Julian Lehmann-Ortmann
Radmila Kraus-Schacht
Gabriella Schuster
Kreszenz Beier
Margareta Lübs-Vollbrecht
Ronny Scholtz
Univ.Prof. Friedl Peukert B.Eng.
Adem Hörle
Cathleen Mies MBA.
Hüseyin Hethur
Mareen Krebs-Hofmann
Damian Hentschel
Prof. Marie Plath
Dr. Eleni Heser
Cristina Salz B.Sc.
Michaele Ruppert
Janet Ullrich
Ingried Sauer
Fatma Seidel B.A.
Carmen Textor-Krebs
Arndt Bachmann B.Eng.
Regina Barkholz
Dan Scheuermann
Elvira Cichorius
Freia Kraushaar B.A.
Abram Scholz B.Sc.
Antonie Fischer-Margraf
Augustin Ernst
Wera Schmidt
Ekaterina Conradi
Dana Schäfer
Heinz-Werner Briemer B.A.
Dipl.-Ing. Lilly Trüb
Angelique Speer B.A.
Ing. Adalbert Heser
Ing. Eckart Becker B.Sc.
Flora Etzold
Hatice Jessel
Dittmar Berger
Vassilios Kuhl B.Sc.
Annekatrin Wilms
Margita Schleich-Becker
Anette Anders
Frau Herlinde Kade B.A.
Lothar Beckmann
Oxana Henschel
Hannah Stiffel-Börner
Mechtild Winkler
Cläre Mohaupt
Hansjörg Müller B.Sc.
Sabine Gude
Yusuf Nette B.Sc.
Ing. Gerlinde Junken
Guenter Kohl-Nette
Lena Mitschke
Francesco Nerger
Dipl.-Ing. Lidija Pölitz
Magarete Schomber
Prof. Juliane Henck MBA.
Prof. Reza Ebert B.Eng.
Krystyna Holsten B.A.
Dursun Mies
Dr. Deborah Kade
Luzia Eckbauer
Ing. Natalie Oderwald B.Sc.
Sybilla Eigenwillig
Eva-Maria Eberth B.A.
Eveline Putz
Tadeusz Weller
Siegmar Pergande B.Eng.
Waltraud Wernecke
Beate Johann
Fedor Roskoth B.A.
Friedemann Stoll
Victoria Klingelhöfer
Hans-Erich Mende
Rosa-Maria Seifert
Karl Meister B.Eng.
Dr. Rita Kallert
Hartwig Sorgatz B.Eng.
Herr André Scholl B.Sc.
Lutz Wagenknecht-Gotthard
Anatolij Kroker B.Eng.
Albin Schuchhardt
Ing. Eva Kitzmann B.A.
Gülsen Junck
Aneta Kambs
Ildiko Mitschke B.Sc.
Herr Dietrich Gotthard B.A.
Adriane Wende
Dr. Anastasia Gude
Dogan Rogge
Klaus-D. Sölzer
Antonietta Barth
Dr. Thekla Lindau B.Sc.
Univ.Prof. Aloisia Fröhlich B.A.
Ing. Elsa Liebelt
Herr Roman Schwital MBA.
Milos Trüb
Richard Kostolzin
Beatrice Käster
Birgid Graf
Dr. Sigrun Schönland B.A.
Prof. Tobias Börner
Arzu Stiffel-Drubin
Univ.Prof. Maria-Luise Trüb B.Sc.
Urban Peukert
Dipl.-Ing. Hermann-Josef Jüttner
Univ.Prof. Baptist Mende MBA.
Ibrahim Lehmann B.Eng.
Zofia Schulz
Ing. Kunigunde Wieloch
Rolf-Peter Reising B.Sc.
Ernest Müller
Kreszentia Bohlander
Gitte Römer-Kroker
Ernestine Stumpf
Herwig Krebs
Claudio Freudenberger
Daniela Löwer
Gregor Loos-Gehringer
Dorle Henck-Sorgatz
Arnulf Zimmer-Seifert
Traudl Christoph
Christiana Pohl
Antonios Walter
Rolf-Dieter Kensy
Hans Josef Thanel
Tony Hecker
Kathi Hering
Tim Sorgatz
Mattias Sorgatz-Haase
Dr. Zehra Etzler
Heide Schottin
Univ.Prof. Zofia Rust
Inna Hande
Ira Scholz-Pohl
Prof. Alina Ziegert
Valerie Losekann
Gitte Rohleder-Bruder
Univ.Prof. Roger Stadelmann B.Sc.
Filippo Kostolzin
Prof. Guiseppe Gröttner B.Sc.
Elfie Otto
Dipl.-Ing. Grete Stiebitz
Herr Mike Schuchhardt B.A.
Mira Hoffmann
Frau Rosemarie Stiffel
Ing. Hanns Haase B.Eng.
Hüseyin Johann
Marie Sorgatz MBA.
Ing. Damaris Bonbach
Gordon Lehmann
Dr. Wolf-Rüdiger Trüb
Wally Wähner
Marliese Drubin
Bodo Ullrich
Gerd Beckmann-Gnatz
Sergio Schleich
Heinrich Ackermann
Lisette Stoll B.Eng.
Alwine Wulf
Magret Oderwald
Wieslaw Oestrovsky MBA.
Gottlieb Kade
Ing. Corinne Winkler
Susann Hartung-Schmiedecke
Leokadia Putz
Prof. Gerd Schenk
Jessica Schottin
Univ.Prof. Alois Jähn B.Eng.
Univ.Prof. Olivia Gnatz MBA.
Dipl.-Ing. Charles Täsche
Ursel Juncken-Buchholz
Andreas Metz
Henni Ullmann MBA.
Prof. Meik Blümel B.Sc.
Hans-Ulrich Dussen van
Nadja Hethur
Maurizio Hartmann
Dr. Hans Dieter Mude
Karl-August Liebelt-Köhler
Herr Hellmuth Birnbaum B.A.
Prof. Gertraude Wohlgemut B.Eng.
Benjamin Lübs
Jennifer Berger
Dörte Dobes-Bonbach
Marcel Oestrovsky
Alena Steuer
Kläre Mohaupt-Salz
Cora Stumpf-Gunpf
Dr. Reza Hering B.Sc.
Ing. Margareta Hethur B.A.
Silvio Weimer
Dr. Halina Haase
Frau Swantje Heinrich B.A.
Meta Eigenwillig
Utz Christoph-Henck
Dr. Stefania Gnatz
Maja Jungfer
Horst-Peter Faust
Notburga Pechel B.Eng.
Kai-Uwe Hartung
Felicitas Kensy-Stey
Nelly Buchholz
Sigmund Hentschel MBA.
Ljiljana Löwer B.A.
Carolin Stumpf B.Eng.
Prof. Ilse Schmiedecke
Ing. Serpil Rudolph MBA.
Carina Killer
Nina Putz-Ritter
Dr. Samuel Tröst
Wilhelmine Knappe
Silvester Scheibe
Michel Heß
Univ.Prof. Meta Rädel
Nadeshda Hänel-Kaul
Prof. Felicitas Dörschner
Edda Klemt
Mareike Lübs
Inken Gorlitz
Vesna Döhn
Alwina Koch
Dietrich Kruschwitz
Ing. Baldur Blümel MBA.
Prof. Sahin Kreusel
Kläre Beier B.A.
Clara Mans
Dr. Lisa Stroh B.Sc.
Prof. Aribert Eberhardt B.Sc.
Gunhild Holt-Rust
Holger Gröttner B.Eng.
Prof. Evelyn Henk
Gunnar Ernst
Lieschen Rörricht
Wilfried Radisch
Marie-Theres Pechel
Marcella Franke B.A.
Dr. Uta Gumprich
Dipl.-Ing. Eveline Jäkel MBA.
Robby Kramer
Dipl.-Ing. Oskar Vogt B.A.
Aysel Löchel
Reimar Kabus
Marcel Hermighausen
Ing. Andrew Nerger
Dorota Wilms
Paula Stroh
Univ.Prof. Jens Weinhage
Ingelore Kobelt MBA.
Viktor Bauer
Hellmuth Hörle
Ruth Mangold B.Sc.
Hans-Detlef auch Schlauchin-Fischer
Liliana Zorbach MBA.
Mattias Kensy
Prof. Cäcilie Staude B.A.
Rosalia Johann
Patrick Döring
Valeska Blümel B.A.
Wolf-Dieter Eigenwillig
Ingried Ullrich
Magdalena Gude
Ekaterina Schmiedecke
Leonardo Rogge
Prof. Erwin Albers B.Sc.
Univ.Prof. Hugo Martin
Mariana Steckel
Heidrun Lindner-Bolnbach
Sylwia Wilmsen-Ullmann
Philomena Salz
Erich Klotz B.Sc.
Marzena Hein
Roberto Ritter-Fritsch
Reni Henk
Prof. Stefania Briemer
Univ.Prof. Alexei Mülichen MBA.
Dorothea Kroker-Misicher
Ina Christoph B.Sc.
Saskia Kallert
Lidwina Sorgatz-Weihmann
Diethard Trommler
Prof. Marko Rohleder B.A.
Bettina Schlosser
Hans-Jörg Trupp-Säuberlich
Miodrag Fliegner B.A.
Frau Zdenka Boucsein B.Eng.
Marie-Theres Jäkel
Ing. Friedhold Hartung B.Sc.
Jerzy Mende-Wagenknecht
Marie-Therese Steuer
Angelique Wesack B.Eng.
Hans-Albert Schwital
Ing. Siglinde Speer MBA.
Margot Sontag MBA.
Ing. Ernest Rogge B.A.
Karl-Ernst Reuter
Karl-Heinrich Sölzer
Burkard Schlosser
Valerie Kallert B.A.
Patric Heinrich
Beata Lübs
Univ.Prof. Resi Knappe
Anka Förster
Ing. Henning Drub
Gunhild Meister
Severin Barkholz B.Eng.
Dr. Ante Jüttner B.A.
Nurettin Bärer B.Eng.
Vitali Ortmann
Dipl.-Ing. Wilfriede Bruder
Katherina Hesse
Prof. Wolfram Binner B.Eng.
Vitali Walter-Krein
Wulf Kusch
Mehdi Bähr B.A.
Gundolf Walter
Dipl.-Ing. Sebastiano Käster B.Eng.
Julia Hecker-Krebs
Prof. Meral Jüttner MBA.
Gertraud Jüttner
Walter Pruschke
Gönül Kallert
Klaus-Werner Jäkel-Holsten
Elfi Wesack
Dr. Leopoldine Kostolzin
Jacob Bähr
Carsten Hartmann
Dietrich Adolph MBA.
Patrick Pärtzelt-Henck
Univ.Prof. Ilka Jäntsch B.A.
Heinz-Günter Weimer B.Sc.
Slavko Schüler B.Eng.
Marko Kensy-Atzler
Attila Werner
Leon Junken
Vassilios Trommler-Gieß
Dr. Erdogan Eigenwillig MBA.
Tamara Nette-Ladeck
Reinhild Pergande
Hugo Ruppert-Kade
Prof. Siegbert Scheuermann B.A.
Univ.Prof. Harro Weller
Catrin Weller
Gisa Gerlach
Damian Bauer
Aleksander Scheuermann
Kay-Uwe Bruder MBA.
Ing. Berta Oestrovsky B.Eng.
Frau Minna Steinberg B.Sc.
Otmar Gierschner
Marek Hesse B.Eng.
Frau Rosalinde Riehl
Bianka Dobes-Seifert
Teresa Schomber B.A.
Klaus-Werner Koch II B.Sc.
Roselinde Zobel
Dipl.-Ing. Sigrid Hahn
Univ.Prof. Christoph Beier B.A.
Danilo Losekann
Aloys Barkholz
Dipl.-Ing. Apollonia Steuer
Maik Tintzmann B.Sc.
Prof. Lieschen Mälzer B.Sc.
Bernhardine Mangold
Nikola Riehl
Erol Jäntsch
Nikolai Rädel-Klemt
Miguel Lehmann
Univ.Prof. Anatoli Ritter
Czeslaw Jäkel-Röhrdanz
Istvan Scheuermann
Lisbeth Karge
Eva Wende-Peukert
Prof. Petar Köhler
Rüdiger Hellwig B.A.
Apostolos Kreusel-Noack
Grete Rudolph
Univ.Prof. Friedlinde Bien MBA.
Svea Krebs-Scheibe
Orhan Hecker-Heuser
Kay-Uwe Trapp
Univ.Prof. Lucia Zobel
Dolores Stey-Matthäi
Lydia Losekann MBA.
Nico Hartung-Linke
Tanja Rörricht-Haering
Annett Sorgatz B.Eng.
Cemal Hamann
Eduard Kühnert
Eva-Maria Geisler
Polina Ladeck B.A.
Meral Reinhardt
Imke Keudel B.Sc.
Dr. Lieselotte Blümel B.A.
Hans-Bernd Kabus
Jörg Pechel
Carin Huhn
Priska Rädel
Sonja Paffrath-Reichmann
Fridolin Paffrath-Geisler
Ing. Edward Salz
Kemal Butte-Tintzmann
Ludwina Mohaupt
Dr. Frieda Metz
Herr Jörgen Kruschwitz
Walli Jopich
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Ilija Lindner
Friedericke Killer B.Eng.
Herr Winfried Vollbrecht B.Eng.
Ole Ritter MBA.
Egbert Heintze
Miguel Gehringer-Reising
Vadim Jacobi Jäckel
Gisela Weinhold B.Sc.
Eckehard Steckel
Dr. Reinhilde Thies B.Eng.
Hugo Keudel B.A.
Olav Gumprich-Täsche
Christiane Blümel
Heidelore Pärtzelt MBA.
Univ.Prof. Hinrich Eberth
Erkan Kuhl-Oestrovsky
Alicja Gieß
Trudi Kranz B.Eng.
Univ.Prof. Fredy Barth MBA.
Hugo Junken
Reimar Trüb
Nicolas Möchlichen MBA.
Juan Fechner
Roger Wagenknecht
Meryem Graf-Lange
Arif Heinrich
Natalie Carsten B.A.
Dipl.-Ing. Jozef Hartmann
Univ.Prof. Jacqueline Faust
Gerhart Staude
Aenne Kraus
Tassilo Beckmann
Prof. Maria-Theresia Schaaf B.A.
Janusz Trub-Mühle
Justine Lindner
Ing. Sebastian Killer B.A.
Dr. Antonia Schomber B.Sc.
Martina Salz-Sorgatz
Kati Koch II
Heinrich Putz B.Sc.
Eberhardt Fiebig
Nathalie Langern
Siegmar Ullmann-Fritsch
Dolores auch Schlauchin
Friedericke Roht
Alwine Riehl
Lieselotte Nohlmans
Ortrun Eckbauer-Kohl
Dipl.-Ing. Burckhard Jäntsch
Lorenz Kohl
Ing. Pavel Weller B.Eng.
Wolfgang Beier-Mohaupt
Gretel Hande
Prof. Olga Steckel B.A.
Univ.Prof. Czeslaw Heuser
Karl-Jürgen Ziegert
Pedro Hande B.Sc.
Prof. Arnold Caspar B.A.
Walburga Junk
Kerstin Niemeier
Fernando Gieß
Cornelius Scheuermann
Agathe Söding
Annamaria Hänel-Zimmer
Liliana Gehringer
Korinna Koch II
Antje Drub
Gerhild Gude
Robert Herrmann
Frank-Peter Weimer
Witold Wulf
Gereon Weitzel
Ulrich Segebahn
Univ.Prof. Alberto Steuer
Dipl.-Ing. Tina Kranz MBA.
Jörg Haase-Röhricht
Ilias Freudenberger
Frau Bruni Krein B.A.
Hanne-Lore Losekann B.Sc.
Dr. Gerd Fechner
Dieter Trupp
Thorben Kitzmann
Reingard Geisel
Evelin Stumpf
Dr. Ella Warmer
Prof. Annita Putz
Willy Trub-Freudenberger
Birgit Pergande
Claas Wirth B.Sc.
Antonino Rogge-Meyer
Prof. Ursula Eigenwillig
Edmund Siering
Helen Hein B.A.
Hellmuth Drubin-Tschentscher
Ing. Mike Stolze
Fanny Zänker-Hein
Agathe Trommler
Ursel Eckbauer
Dr. Ursel Gute
Univ.Prof. German Rörricht
Jacqueline Hofmann
Nina Wagenknecht
Dr. Mato Geisel
Franjo Löffler B.Eng.
Laila Trüb
Maya Conradi
Siegbert Bachmann-Hövel
Geza Hertrampf B.A.
Zeljko Hiller-Misicher
Otmar Ditschlerin
Dorle Dörschner
Ing. Margot Bonbach B.Eng.
Guido Junck
Annekatrin Wende
Wolfhard Jäkel MBA.
Ulla Hamann
Aynur Bohlander
Karl-Heinz Rohleder
Sofia Roht MBA.
Prof. Eckhart Jockel B.Eng.
Henner Schweitzer
Hans-Jürgen Klemm
Hardy Weller
Sergei Ritter
Gabor Steuer
Hilda Metz-Dehmel
Angelique Adler
Dipl.-Ing. Gabriel Roskoth
Ing. Hüseyin Gutknecht B.Sc.
Dr. Meinhard Hiller
Herr Bastian Ritter B.Sc.
Bianka Schuster-Ziegert
Univ.Prof. Gusti Schlosser
Julian Dussen van B.Eng.
Svetlana Bonbach B.A.
Gebhard Eberth B.Eng.
Constantin Ziegert
Hartmut Zirme
Herrmann Holt-Lindner
Klaus-Werner Bohlander
Helmtrud Atzler
Irmtrud Schaaf-Jacobi Jäckel
Ingried Bähr
Waltrud Gumprich
Karl-Dieter Speer
Winfried Hermann
Prof. Folkert Ernst MBA.
Stephan Stolze-Holt
Dipl.-Ing. Lucia Renner B.A.
Frau Ellinor Tintzmann
Henny Rose
Annelene Steinberg
Hajo Jäntsch
Ing. Hatice Gehringer
Gerta Klemt
Ramona Henk B.Sc.
Engelbert Sauer MBA.
Inge Dietz B.A.
Valeria Bonbach
Margit Klapp
Karoline Hübel
Ing. Abraham Thanel B.Eng.
Moritz Holzapfel
Univ.Prof. Norma Schleich B.Sc.
Jonathan Schottin-Naser
Rosa-Maria Reising
Ing. Christina Beckmann B.Eng.
Hans-Heinrich Schüler-Seip
Wendelin Pärtzelt
Melanie Scheel B.A.
Univ.Prof. Claudia Freudenberger B.Sc.
Olav Margraf
Elise Ackermann
Ismail Geisler
Bernd Blümel
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Reza Mielcarek
Erna Schmiedt
Elena Pruschke
Marlen Hesse
Czeslaw Siering
Rocco Trub
Uwe Rosenow
Philip Weller B.A.
Irmengard Röhrdanz
Pavel Ehlert
Prof. Siegrun Langern
Jann Fröhlich
Univ.Prof. Agathe Steinberg MBA.
Felicia Binner
Mina Beyer
Dorothee Blümel
Heinz-Dieter Gute
Prof. Theobald Mangold
Adelheid Schmidtke
Annemie Kade-Kuhl
Hanni Dippel-Heser
Frau Kordula Geisler MBA.
Christos Ruppert B.A.
Holger Röhricht
Diana Drubin-Walter
Mariusz Stadelmann-Jähn
Jacob Süßebier
Dr. Angelica Trüb
Gisa Budig-Löwer
Marit Thanel B.Sc.
Nick Jockel B.A.
Ehrentraud Biggen-Kreusel
Madlen Lübs
Ramon Salz
Ing. Ernst-August Häring
Madeleine Thanel MBA.
David Losekann
Leopoldine Butte
Grzegorz Mende B.A.
Helfried Seifert-Schönland
Abraham Adler
Dipl.-Ing. Kriemhild Löchel
Herta Hoffmann
Herr Torsten Hermighausen B.Sc.
Samir Krein B.A.
Rüdiger Buchholz-Kuhl
Univ.Prof. Philippe Thies B.Eng.
Prof. Urs Flantz
Edda Gertz B.Eng.
Univ.Prof. Axel Dörschner B.Sc.
Magdalene Patberg-Mosemann
Sophie Scheibe
Sarina Dörr
Hilma Berger
Reimar Pohl
Univ.Prof. Gesa Loos
Cilli Lindau B.A.
Esther Hoffmann-Hermighausen
Hassan Kroker-Girschner
Eckhart Gutknecht
Hans Peter Beckmann
Gretchen Eimer-Wilmsen
Thea Bauer
Frau Lilli Möchlichen MBA.
Univ.Prof. Erhard Heuser MBA.
Kunibert Hahn-Lindau
Franz-Xaver Bachmann
Herr Gisbert Langern
Dorothea Weihmann
Ignatz Budig
Ing. Nadeschda Bohlander
Harro Trapp B.Eng.
Amalia Wulf
Dr. Gerold Dörschner
Hasso Renner
Karl-Wilhelm Rogner
Univ.Prof. Ilja Hentschel MBA.
Denny Salz
Malte Bohlander
Univ.Prof. Guido Carsten MBA.
Helma Schaaf B.A.
Univ.Prof. Hiltrud Löwer
Günter Rudolph B.Eng.
Prof. Jörgen Gieß B.Eng.
Marzena Jüttner-Jockel
Univ.Prof. Lydia Langern
Uli Wohlgemut-Stadelmann
Univ.Prof. Gregor Gieß MBA.
Wally Anders B.Eng.
Miguel Dussen van B.Eng.
Ing. Rose-Marie Hölzenbecher
Gerhild Löffler
Gaby Bähr
Ing. Leonid Budig B.A.
Prof. Alma Gumprich
Franz Josef Nette-Werner
Dipl.-Ing. Adem Gerlach
Ing. Monika Ullrich
Gotthilf Gehringer B.A.
Hans-Wilhelm Weller
Magarete Klingelhöfer-Mans
Ing. Dorothe Junken
Mareike Wilmsen
Reingard Klingelhöfer
Gabriele Schmidt
Tülay Schmidtke B.Sc.
Emilia Römer
Arnulf Säuberlich
Henny Wulff
Evi Oestrovsky
Hannelore Haase
Piotr Ruppersberger
Tanja Henk
Annelie Metz
Univ.Prof. Canan Zorbach B.Sc.
Margaret Kraus
Vito Roht
Prof. Gaby Ernst MBA.
Anika Biggen MBA.
Mariechen Nohlmans
Gotthilf Bohnbach-Seip
Lidija Trapp
Igor Dörschner
Dominik Spieß
Orhan Dörr-Salz
Anatolij Trub
Prof. Constance Austermühle B.Sc.
Susana Schaaf
Amanda Fechner-Weinhage
Cornelia Schinke
Dana Ebert B.A.
Hans-Theo Bärer B.Eng.
Elena Wilmsen
Frau Evelin Löffler
Wencke Salz
Dipl.-Ing. Karsten Fechner
Annelore auch Schlauchin-Lorch
Marvin Kabus B.A.
Tina Radisch
Herr Rupert Jüttner MBA.
Willy Hornig
Univ.Prof. Pius Kühnert
Dr. Denise Girschner B.Sc.
Anica Kade-Steuer
Dina Johann
Dipl.-Ing. Petar Wohlgemut
Justus Schüler MBA.
Univ.Prof. Birger Weihmann MBA.
Ellinor Kraus
Matteo Dehmel-Weimer
Ing. Luisa Oestrovsky
Babette Rohleder
Gaetano Fröhlich
Bernhard Becker
Attila Losekann B.Sc.
Rosemarie Hethur
Tibor Briemer
Dr. Vitus Franke
Gunther Tschentscher
Gerhardt Barkholz B.Eng.
Dörthe Roht
Univ.Prof. Suse Lachmann B.Sc.
Dipl.-Ing. Tim Fritsch
Herr Falk Holzapfel
Prof. Klaus Peter Hellwig B.Sc.
Prof. Branko Weller MBA.
Kata Atzler
Univ.Prof. Eugen Karz
Ewa Eimer-Linke
Klaus-Ulrich Blümel B.A.
Ing. Frederic Christoph B.Eng.
Giovanni Weller-Söding
Aurelia Dussen van MBA.
Hans-Martin Bärer
Irmingard Reising
Liliane Koch II
Emanuel Schinke B.Sc.
Claus Jähn B.Eng.
Edeltraud Mülichen
Dr. Frank Oderwald MBA.
Annette Schwital
Dr. Walburga Kobelt B.Eng.
Herr Heinz-Josef Wende MBA.
Nikolai Stiebitz
