Student
Prof. Lutz Adolph
Kerstin Heidrich B.A.
Ing. Nadeschda Bohlander
Franco Radisch
Univ.Prof. Hiltrud Löwer
Harro Trapp B.Eng.
Valentin Steuer-Mans
Mato Patberg-Heintze
Tatiana Pechel
Ing. Josip Ruppert
Albrecht Rust-Heinrich
Edmund Gnatz-Rogner
Nermin Kranz-Austermühle
Herwig Jäntsch B.Sc.
Prof. Cäcilie Staude B.A.
Margret Dehmel
Lisette Schönland B.Eng.
Jann Schenk
Univ.Prof. Norma Schleich B.Sc.
Herr Jacek Budig B.Eng.
Luis Ackermann
Annett Mies-Hellwig
Theres Heser
Herr Yusuf Kabus B.A.
Dr. Steven Wohlgemut
Prof. Miguel Dowerg B.A.
Gert Naser
Jörgen Putz B.A.
Gaetano Fröhlich
Prof. Nuran Sauer B.Sc.
Olaf Juncken
Univ.Prof. Margitta Wagenknecht B.Eng.
Sigrid Schleich
Aribert Kusch
Ingbert Hartung
Dr. Irmgard Plath B.A.
Hinrich Römer
Mareen Krebs-Hofmann
Karen Grein Groth-Dörschner
Prof. Marian Gerlach
Balthasar Holsten
Franz Löwer
Reinhilde Hesse B.Sc.
Enno Jockel MBA.
Malgorzata Tlustek
Katherina Hesse
Dipl.-Ing. Burckhard Jäntsch
Franz Josef Girschner
Herr Ronald Reising B.Sc.
Wanda Stoll B.A.
Univ.Prof. Heinrich Reinhardt MBA.
Dörthe Mitschke-Holt
Kaspar Junken
Dipl.-Ing. Helma Heuser B.Sc.
Toni Dehmel-Striebitz
Regina Ring
Dr. Songül Tlustek MBA.
Harm Hein
Ing. Christiana Seip
Damian Jopich B.A.
Gerda Eberhardt B.Sc.
Genoveva Löffler
Piotr Schaaf
Slavica Koch
Margita Schleich-Becker
Ing. Annelise Nette B.Eng.
Dorothee Koch II
Prof. Ulla Dussen van B.Sc.
Herr Christopher Speer
Dipl.-Ing. Patric Fröhlich
Univ.Prof. Gunter Kaul
Rosi Renner-Graf
Anto Tröst-Schäfer
Jann Geisler
Mohamed Schottin
Dipl.-Ing. Denise Beier
Dr. Rudolf Killer B.Sc.
Waltraut Gehringer
Dariusz Rädel
Dipl.-Ing. Eberhardt Fechner
Henning Fechner
Helga Mosemann-Hecker
Patrizia Schleich
Herr Juri Kitzmann
Dogan Rogge
Therese Rohleder
Theresia Liebelt
Frau Patricia Schmiedecke B.Eng.
Eckehard Nette
Fernando Neuschäfer
Robert Budig-Ullmann
Prof. Emil Kruschwitz
Friedlinde Schenk-Wulff
Heidelinde Pruschke
Herr Hendrik Fritsch B.Eng.
Conrad Lindau
Ernst-Dieter Rörricht B.Eng.
Ingmar Beckmann
Oliver Schwital
Birgid Schüler
Frau Gertrud Jüttner
Ing. Aziz Hein
Sven Walter
Agathe Weinhage B.A.
Univ.Prof. Maxim Matthäi
Christa Kabus
Hedda Mielcarek
Dr. Alwina Lorch MBA.
Eberhard Pechel
Liliane Gröttner-Albers
Prof. Hermann Josef Söding
Ilona Roskoth-Bolander
Burckhard Mende
Maren Heser-Kreusel
Herr Roman Sontag B.Sc.
Aribert Mitschke
Senta Wernecke B.Sc.
Anna Linke
Ing. Christel Margraf MBA.
Susan Seip MBA.
Hans-Friedrich Ruppert-Ullrich
Dipl.-Ing. Matteo Baum
Marianna Hofmann
Friederike Sölzer-Hentschel
Heinz-Joachim Stiebitz
Viviane Jopich
Ben Täsche
Miriam Ehlert MBA.
Judith Meyer
Lothar Ladeck
Wolf Martin
Ursel Conradi
Felix Müller
Georg Nerger
Bogdan Löffler
Dr. Eberhardt Adolph B.Eng.
Dr. Marie-Louise Wohlgemut B.Sc.
Edmund Schmidt-Fliegner
Gaby Noack
Emilie Bolander
Katherina Bien
Elli Junck
Lambert Misicher-Dörschner
Sönke Gumprich
Frau Francesca Blümel
Dr. Heinz-Georg Aumann MBA.
Hans-Erich Mende
Ioannis Junck
Karla Conradi
Wiltrud Geißler
Slawomir Ortmann
Maximilian Pohl B.A.
Gina Wulff B.A.
Univ.Prof. Alexandros Junk
Edda Salz
Hans-Hinrich Linke
Agnes Ullmann
Prof. Theobald Mangold
Dipl.-Ing. Jens-Peter Dippel MBA.
Prof. John Jessel
Prof. Hans-Hinrich Schmidt
Gertraud Tröst
Hildegard Schlosser-Jacobi Jäckel
Prof. Eckhart Jockel B.Eng.
Rolf-Dieter Flantz B.Eng.
Dr. Sükrü Hettner
Karl-Dieter Segebahn-Köster
Celal Ortmann-Otto
Bayram Lübs B.Eng.
Darko Wilms
Dr. Ralf Hölzenbecher
Apostolos Kreusel-Noack
Mijo Seidel B.Sc.
Gloria Lachmann MBA.
Irmtrud Textor B.Eng.
Mark Lindau
Frau Cynthia Bähr B.Sc.
Friedlinde Sauer
Robert Weimer
Sara Johann
Hans-Ulrich Dussen van
Prof. Sylvester Bender
Roy Holt
Alexandre Häring
Univ.Prof. Gundi Koch B.A.
Prof. Catherine Knappe MBA.
Klaus-D. Sölzer
Karl-Josef Schottin-Hoffmann
Claudio Freudenberger
Mareen Mans
Dipl.-Ing. Theda Weinhold B.Eng.
Valeri Tschentscher
Serge Trubin
Ehrentraud Hänel-Dussen van
Hans-Christian Trüb
Darius Trupp
Univ.Prof. Francisco Tröst B.Eng.
Prof. Heinz-Peter Sager
Prof. Loretta Speer MBA.
Siegmar Ullmann-Fritsch
Gülten Peukert
Beatrix Möchlichen
Anny Zirme
Prof. Mohammed Kambs
Georgios Knappe-Mälzer
Ing. Leni Rosenow B.Eng.
Frau Nuray Mangold MBA.
René Ullrich
Ing. Rolf Gertz
Helga Salz
Sylvester Bachmann
Nadeschda Pölitz
Veronique Eimer
Patric Stahr-Ebert
Wally Schmidt
Cynthia Linke
Stavros Ortmann
Philip Weller B.A.
Ing. Romy Gieß
Resi Knappe
Gisa Mohaupt
Dr. Matthias Niemeier
Gerhild Gude
Valentina Weihmann-Zahn
Hassan Kroker-Girschner
Herr Andrej Rose
Insa Jacobi Jäckel
Christos Gumprich
Emanuel Holsten
Ing. Rosina Kabus MBA.
Franz-Xaver Carsten
Detlev Weihmann-Schäfer
Dipl.-Ing. Astrid Kade
Dipl.-Ing. Zenta Hornig B.Sc.
Klaus-D. Zänker-Hein
August Weihmann
Constance Drubin
Ruthild Juncken B.Sc.
Karlfried Zahn B.A.
Enrico Kobelt-Klemt
Sabrina Kohl
Mariusz Hartung
Constanze Schleich
Univ.Prof. Meta Rädel
Gunter Schenk B.Sc.
Heidrun Lindner-Bolnbach
Jana Langern
Reni Henk
Joana Mielcarek B.A.
Bruni Freudenberger
Milka Scholl
Irmengard Röhrdanz
Herr Guido Knappe B.Eng.
Reimar Trüb
Univ.Prof. Emine Vogt B.Sc.
Isa Rose
Marisa Hartmann-Kusch
Anka Boucsein
Edelbert Stey-Scholz
Kreszentia Bloch-Kohl
Univ.Prof. Rafael Pruschke B.A.
Marten Möchlichen
Aleksander Wagner-Barth
Gudrun Reichmann MBA.
Armin Scholz
Rolf-Peter Rosenow MBA.
Gusti Vollbrecht
Jo Gnatz
Dogan Bolander
Prof. Lieschen Mälzer B.Sc.
Vito Davids-Schwital
Felicia Flantz-Lehmann
Eckhart Gutknecht
Adalbert Boucsein
Clara Ruppersberger
Alwina Hettner
Gerd Wiek MBA.
Patricia Trubin
Dr. Klothilde Lachmann B.A.
Ilja Hartung
Jelena Meyer MBA.
Ing. Czeslaw Geisel
Siegfried Knappe
Ing. Konstanze Schmidtke MBA.
Madeleine Thanel MBA.
Bernhard Fischer
Ing. Gottfried Hoffmann
Bekir Bonbach
Augustin Lachmann
Univ.Prof. Franz-Josef Zänker
Edmund Siering
Patrizia Spieß
Ing. Damaris Bonbach
Dipl.-Ing. Cynthia Hauffer B.A.
Ferdi Hoffmann
Ullrich Preiß
Patrick Pärtzelt-Henck
Sami Stolze-Döhn
Dipl.-Ing. Johanna Henck
Heinrich Bohlander-Ullrich
Lucia Hermighausen
Ernestine Karz
Prof. Dorit Käster B.Sc.
Antonietta Barth
Beatrice Bender
Dr. Theresia Mende
Ingrid Eigenwillig
Karoline Hübel
Arif Heinrich
Karl-Peter Hering
Brunhilde Nohlmans
Herr Tino van der Dussen MBA.
Sybilla Eigenwillig
Tanja Henk
Luise Junk
Sofie Fiebig-Hermighausen
Herr Jost Ruppersberger B.A.
Univ.Prof. Marleen Kabus
Dino Kusch-Hiller
Prof. Pedro Schmidt B.Eng.
Dr. Marco Scheuermann
Prof. Folker Budig
Dipl.-Ing. Hans-Gerhard Schleich
Dr. Annedore Wulff B.Sc.
Andrej Geißler-Beckmann
Tomasz Preiß
Marlen Gute-Hauffer
Irmengard Eckbauer
Herr Muzaffer Klotz B.Sc.
Ronald Henschel
Gabriel Kreusel
Ottmar Hölzenbecher
Fatih Zirme
Vitali Ortmann
Prof. Sandy Butte
Elizabeth Jacob
Kunigunda Heser
Elsbeth Schmiedecke-Wulf
Prof. Marika Junken B.Eng.
Harold Bohlander B.Sc.
Prof. Mechtild Steuer
Sevim Vollbrecht B.A.
Stella Barth
Halina Hethur
Judith Hering B.A.
Hannah Jacobi Jäckel
Rolf-Dieter Preiß
Elisa Steinberg
Geraldine Gutknecht
Bela Köster
Urban Peukert
Marlen Flantz
Univ.Prof. Oscar Lindau MBA.
Siegbert Henschel
Friedericke Ring MBA.
Hans-Michael Rudolph
Elzbieta Hartung
Magdalena Löwer B.Eng.
Ing. Selim Tintzmann B.A.
Dipl.-Ing. Hans-Erich Klemm
Gino Heß
Gunter Misicher
Ernest auch Schlauchin
Tülay Scholtz
Adele Weimer B.Eng.
Sybilla Striebitz
Cornelius Scheuermann
Sofie Staude
Ing. Engelbert Bauer
Nadin Radisch
Willy Weiß
Marit Eberth
Janette Wiek
Ing. Gundi Boucsein B.Sc.
Herr Jan Kobelt
Eugenia Riehl
Ing. Vitali Hentschel MBA.
Caroline Linke
Zlatko Briemer-Karge
Falk Sorgatz-Ortmann
Berend Gertz B.Eng.
Gitte Rohleder-Bruder
Univ.Prof. Christa-Maria Lehmann B.A.
Dipl.-Ing. Dajana Beer
Sergei Ritter
Melitta Salz
Carl-Heinz Trapp
Reimer Kitzmann
Knud Trommler
Ing. Jo Caspar
Burkhard Holt-Schleich
Uwe Rosenow
Lieschen Rörricht
Meral Reinhardt
Katalin Thanel-Kitzmann
Dr. Hildegund Gnatz B.Eng.
Helmtrud Gerlach
Frau Käthi Hamann B.Eng.
Gisela Weinhold B.Sc.
Alexander Hörle
Eileen Geißler
Silvester Sorgatz MBA.
Erhard Otto
Ariane Roskoth
Dr. Edelgard Sauer B.Sc.
Rosalinde Killer
Henriette Bruder
Friedo Lorch
Ellen auch Schlauchin
Mareen Mies B.Eng.
Friedhilde Hornig B.A.
Prof. Henriette Killer
Maik Tintzmann B.Sc.
Ing. Bernfried Pruschke
Polina Ladeck B.A.
Susanna Söding
Frau Bianka Henk B.Sc.
Dipl.-Ing. Reinhart Gotthard B.Eng.
Dr. Leo Schlosser MBA.
Janus Weitzel-Koch
Ulf Kensy MBA.
Marie-Therese Wagner
Leonore Hettner-Staude
Heinz-Willi Jockel
Prof. Götz Finke
Prof. Jürgen Blümel B.A.
Prof. Meik Blümel B.Sc.
Nikolai Mohaupt
Centa Kaul
Prof. Urs Flantz
Natalie Bender MBA.
Giuseppe Preiß
Dr. Gundolf Römer MBA.
Anna-Lena Röhrdanz B.Sc.
Frau Tatiana Hande B.Sc.
Michaela Hecker B.Eng.
Univ.Prof. Walfried Hövel
Frieda Gröttner
Eva-Marie Hendriks
Kreszentia Pölitz-Karge
Catharina Jacob
Dr. Bernfried Bärer
Univ.Prof. Gottfried Süßebier
Silvia Eberth
Kornelia Dörr
Heide Hesse-Bärer
Dr. Otmar Linke MBA.
Prof. Robert Heintze
Prof. Reimar Reinhardt MBA.
Univ.Prof. Gönül Meister B.Sc.
Philipp Walter-Löffler
René Matthäi
Dr. Änne Radisch
Ljudmila Krebs
Dipl.-Ing. Kriemhild Löchel
Juan Noack
Hans-Erich Warmer B.A.
Horst-Günter Renner
Edgar Rohleder-Fröhlich
Jacek Täsche
Vinko Kraus-Schmiedt
Luise Gertz-Fliegner
Prof. Hans-Peter Noack B.A.
Olav Gumprich-Täsche
Leonie Möchlichen MBA.
Slawomir Ehlert-Reising
Dr. Muzaffer Sauer B.Eng.
Damian Bauer
Ing. Romuald Kreusel B.A.
Roberto Jockel
Herr Benedikt Säuberlich
Ingetraud Fiebig
Rose-Marie Jäkel
Evangelos Hartmann B.A.
Vitali Walter-Krein
Ralph Binner-Römer
Edmund Caspar B.Sc.
Ing. Toralf Wiek
Ludmila Dobes B.A.
Hans-Detlef auch Schlauchin-Fischer
Beatrix Rädel MBA.
Ivonne Hahn
Celal Seifert
Frau Lisbeth Girschner MBA.
Dipl.-Ing. Gunar Kuhl
Marina Hofmann
Herr Baptist Klotz
Nikolaj Scholz
Ansgar Seidel
Frau Anka Hering
Kasimir Lindau
Ing. Heinz-Josef Hoffmann
Sonia Säuberlich-Langern
Univ.Prof. Ingelore Schulz MBA.
Lydia Jopich
Hildegund Ruppersberger
Frau Trudi Wähner B.A.
Belinda Reinhardt B.A.
Dr. Franco Stumpf B.Eng.
Chantal Kade
Vadim Rose-Wulf
Josef Langern
Sören Etzler
Osman Salz MBA.
Hans-Wolfgang Harloff
Kay-Uwe Finke
Prof. Walter Pechel
Frau Florence Ditschlerin B.Eng.
Erdal Bruder
Ryszard Süßebier-Neureuther
Jadwiga Koch
Mandy Loos
Diethard Gude
Gotthilf Gehringer B.A.
Gerda Gröttner B.Sc.
Dipl.-Ing. Wolfram Johann B.Eng.
Diana Haering
Prof. Aziz Stumpf
Czeslaw Fiebig
Katerina Bolzmann B.Eng.
Matthias Hendriks-Koch
Siegward Weinhold
Gerhart Beier
Rena Rohleder
Lara Oderwald
Woldemar Heinz
Ing. Hüseyin Gutknecht B.Sc.
Prof. Irmgard Mühle
Marc Henck B.Eng.
Univ.Prof. Traudl Mentzel B.Eng.
Moritz Spieß
Vadim Jacobi Jäckel
Woldemar Bolzmann B.A.
Frau Brigitta Bohlander MBA.
Paul Hettner
Prof. Helmut Hellwig MBA.
Dr. Marianne Reising
Linus Schuchhardt
Eitel Ernst
Salvatore Tlustek
Herr Maik Klemt MBA.
Andre Schinke
Zehra Putz
Jasmina Cichorius-Barth
Dr. Marie-Theres Möchlichen B.A.
Undine Scheibe-Stey
Bernfried Roht
Ing. Irmtraud Wiek MBA.
Sybilla Hornig
Bernard Bien-Lübs
Günther Mude B.A.
Marijan Killer
Prof. Volkmar Wirth B.Eng.
Rudolf Weihmann
Leonhard Patberg
Univ.Prof. Inga Hermighausen B.Eng.
Filippo Juncken
Lorenzo Zänker
Dipl.-Ing. Ladislaus Weinhold
Judith Koch-Mude
Katja Heidrich
Dietrich Adolph MBA.
Prof. Sibel Mälzer MBA.
Hanno Trub
Wulf Caspar
Marianna Etzler
Lorenz Schwital-Stadelmann
Dorit Köster
Aenne Beyer
Univ.Prof. Suse Lachmann B.Sc.
Reinhardt Pärtzelt
Sergio Schleich
Magarete Schomber
Prof. Ralph Patberg
Gitta Römer
Univ.Prof. Ahmet Birnbaum MBA.
Ing. Berta Oestrovsky B.Eng.
Artur Briemer
Magret Oderwald
Prof. Irmhild Fritsch
Oda Berger
Anka Gieß
Prof. Andrzej Gorlitz
Maria Mans B.Eng.
Valeska Zimmer-Schleich
Irena Wilmsen
Josephine Nerger-Mende
Adeline Holsten
Janin Höfig B.A.
Hans-H. Naser
Engin Hofmann
Sevim Ackermann
Justine Patberg-Metz
Nikolas Ebert
Anna-Luise Segebahn
Marco Conradi
Dr. Frederik Dobes MBA.
Gabi Löwer MBA.
Francoise Zänker-Knappe
Jens Drubin
Falko Schüler
Anett Wieloch
Dipl.-Ing. Harm van der Dussen
Brian Dussen van
Jerzy Mende-Wagenknecht
Emilia Seifert
Karl-Peter Heser
Josefa Stolze
Adalbert Vollbrecht
Petar Bauer
Hans-Helmut Wesack
Herr Lukas Eimer
Rico Cichorius
Diedrich Scheel-Hübel
Frau Ingried Rogner B.Sc.
Ing. Alfred Söding
Stephen Reichmann
Irmtraud Ladeck
Dr. Lisa Stroh B.Sc.
Frau Jane Sauer
Roswita Sauer
Kriemhild Gude
Minna Wernecke-Gumprich
Univ.Prof. Eugen Karz
Dr. Anastasia Gude
Centa Bohlander-Stiebitz
Julian Lehmann-Ortmann
Dr. Valeri Sölzer B.Sc.
Ernest Müller
Carsten Hartmann
Dipl.-Ing. Ira Röhricht B.Sc.
Hülya Conradi
Aenne Sölzer B.A.
Dr. Guntram Kusch
Hans-Bernd Zorbach
Andreas Trapp
Dr. Edith Ring B.Sc.
Ferenc Bolzmann-Girschner
Giuseppe Stahr
Prof. Siegrun Langern
Ing. Ivonne Nerger
Holger Roskoth B.Sc.
Jessika Käster
Kunigunda Hamann-Hermighausen
Cäcilie Patberg
Hannelore Noack MBA.
Markus Eimer
Martin Rose B.A.
Anna-Lena Bloch
Augustin Hoffmann MBA.
Evamaria Berger
Wulf Eberhardt
Dr. Abdullah Becker
Valentin Rädel
Adelinde Gumprich MBA.
Nico Möchlichen
Ing. Karl-Dieter Stroh
Stephen Bruder
Edit Dowerg
Rosa Gnatz
Ehrenfried Stiffel
Adolfine Lange
Hans-Karl Rust MBA.
René Säuberlich B.Eng.
Joachim Süßebier
Kevin Trubin
Geert Rudolph
Dolores Conradi
Prof. Ludger Kohl MBA.
Catrin Weller
Elfi Bolander
Elke Haase
Bertram Höfig B.Sc.
Frau Evelin Löffler
Eberhardt Gute
Univ.Prof. Alexandre Schottin
Ing. Hans-Walter Ackermann
Nathalie Krause
Anthony Heintze
Judith Sorgatz
Alicja Gieß
Marcus Finke
Clara Stroh
Dipl.-Ing. Mathias Metz B.A.
Ing. Gabriela Dippel MBA.
Otmar Ditschlerin
Elma Junken
Kay-Uwe Ziegert
Herr Louis Hövel
Dipl.-Ing. Hans-Günther Bien
Univ.Prof. Heinz-Dieter Schuster
Betti Adolph
Irmengard Rudolph
Celal Mühle
Frau Ayten Pärtzelt MBA.
Prof. Beatrice Misicher
Ing. Mahmoud Becker
Nicolai Röhricht-Spieß
Gerta Beer
Laurenz Siering-Kallert
Hans-Theo Vogt-Beckmann
Waldtraut Hoffmann
Sieghard Sorgatz
Hansjürgen Säuberlich
Theo Döring
Adrian Killer
Marita Henk
Janusz Eberhardt MBA.
Aneta Kambs
Univ.Prof. Horst Scholtz
Selma Girschner B.Sc.
Elenore Renner
Anja Wagner-Hermann
Hartmuth Koch II
Johann Baum
Krystyna Holsten B.A.
Roselinde Zobel
Niklas Trubin
Liane Fechner
Leonardo Trub B.A.
Janusz Rädel B.Sc.
Dipl.-Ing. Klaus Geisler
Enrico Drewes
Marie-Therese Birnbaum
Helen Hahn
Olaf Wesack
Frieda Tintzmann-Löchel
Frau Patricia Gorlitz B.A.
Heiko Metz
Hulda Neuschäfer B.A.
Ing. Carmine Kroker
Henryk Bauer
Franz-Peter Benthin-Reichmann
Remo Reinhardt
Tina Radisch
Hermann Bruder
Ing. Roman Tröst
Käthe Briemer MBA.
Hilmar Hörle
Dipl.-Ing. Peer Kuhl
Wulf Steckel-Lachmann
Thorsten Adler B.Sc.
Christin Hein B.Sc.
Univ.Prof. Paul-Heinz Heinz
Klaudia Seidel
Wilfriede Ziegert
Anke Bähr
Kai-Uwe Bohnbach
Annelene Adolph B.A.
Lisbeth Karge
Irmgard Liebelt
Dr. Krista Jäkel B.A.
Kuno Dussen van
Hiltrud Klemm
Niko Geißler-Wirth
Gusti Schleich
Dina Schmidtke
Ing. Ivo Weinhold
Jörg-Peter Christoph
Karl-Dieter Seifert
Karoline Carsten
Dr. Catharina Gerlach B.Eng.
Karl Zirme
Marta Sontag
Wieslaw Oestrovsky MBA.
Hasan Klemm
Hendrik Gehringer
Elmar Förster
Jane Reuter
Theodora Aumann
Gereon Wende MBA.
Univ.Prof. Frieder Döhn MBA.
Annerose Eckbauer
Elif Röhricht
Saban Etzler B.Eng.
Alfredo Oestrovsky
Ingetraud Freudenberger
Laura Mühle
Ronald Hofmann
Luzie Schäfer
Viviane Kensy
Linus Lübs
Ilija Hofmann
Gitta Hübel
Ing. Willibert Steckel
Friedrich-Karl Weimer
Sandy Haering
Marie-Therese Schleich
Virginia Kaul
Heinz Krebs B.Eng.
Annemie Margraf
Zdravko Niemeier
Marit Weller
Ing. Elenore Kostolzin
Miodrag Dörr-Austermühle
Univ.Prof. Gunda Höfig
Univ.Prof. Dragan Thies MBA.
Stanislaw Misicher
Reni Cichorius
Günter Schottin
Blanka Birnbaum
Vittorio Harloff
Gislinde Müller
Dr. Bernfried Schomber
Hans-Hinrich Bohlander
Nadine Sauer
Heinz-Wilhelm Kuhl
Ida Weihmann
Anneli Butte
Frau Friederike Albers
Univ.Prof. Fatima Hölzenbecher
Gotthilf Gertz
Dipl.-Ing. Daniele Geißler
Wibke Pärtzelt-Wieloch
Jaroslav Benthin
Juergen Bähr
Univ.Prof. Ioannis Lübs B.Eng.
Christiana Pohl
Klaus-D. Hövel
Käte Ditschlerin-Roht
Reinhild Patberg
Hans-Jochen Stolze
Prof. Mirko Adolph B.A.
Adelgunde Wagenknecht
Francoise Vollbrecht B.Sc.
Cäcilie Haase
Sylvester Neuschäfer-Schacht
Sofie Reichmann
Madeleine Hermann B.Sc.
Siegrid Segebahn
Karlfried Sorgatz
Ian Briemer B.Eng.
Gotthold Krause
Ing. Adam Klemt MBA.
Jennifer Hoffmann
Simone Jacobi Jäckel B.A.
Marie-Therese Steuer
Elfi Harloff
Herr Leonid Fröhlich B.Eng.
Rolf Wirth
Prof. Heinz-Josef Radisch B.A.
Massimo Ernst
Danuta Kreusel
Silvia Henschel
Ottomar Kraus
Uwe Dussen van
Mareike Reichmann
Dr. Joseph Bien
Madeleine Hartung
Ute Möchlichen
Gertraude Salz-Gnatz
Ing. Christina Beckmann B.Eng.
Sibylla Koch MBA.
Heinz-Otto Hermighausen
Maximilian Steinberg
Engin Schenk
Horst-Peter Thies
Svetlana Schenk-Barth
Wally Fliegner
Dipl.-Ing. Danuta Stumpf B.Eng.
Sükrü Walter B.Eng.
Ing. Hans Peter Schenk B.A.
Jelena Jüttner
Ing. Giuseppe van der Dussen B.A.
Kristina Röhricht
Melitta Fliegner
Ljudmila Trapp
Prof. Dirk Biggen B.Eng.
Tülay Fiebig
Dr. Peggy Beyer B.Sc.
Agathe Söding
Univ.Prof. Fredi Hölzenbecher
Ria Koch II
Olga Albers B.Sc.
Ilija Eckbauer-Steinberg
Heinz-Günter Weimer B.Sc.
Irmi Täsche B.A.
Univ.Prof. Olivia Gnatz MBA.
Dierk Beier
Lambert Wilmsen
Brita Klemm
Elfie Preiß
Marek Schenk B.A.
Astrid Dehmel
Zdenka Weiß
Inka Meyer
Ralph Fröhlich
Astrid Dowerg-Stroh
Kordula Drub B.Sc.
Frau Myriam Walter B.Sc.
Karl-Friedrich Nerger
Ottilie Hartung
Meinhard Schuster
Antoinette Schottin
Ing. Michel Harloff
Ulrike Albers
Rosa Heuser
Marit Söding
Gundula Scheel-Döring
Univ.Prof. Friedl Peukert B.Eng.
Oxana Henschel
Rainer Gunpf B.Eng.
Mandy Scholl-Bohnbach
Wally Bien-Kraushaar
Kathrin Beckmann-Heinz
Conny Zirme B.Sc.
Univ.Prof. Dorle Röhrdanz B.A.
Dipl.-Ing. Petar Lübs
Prof. Klaus Peter Hellwig B.Sc.
Carmine Hauffer
Thomas Weinhold B.Eng.
Margareta Lübs-Vollbrecht
Dipl.-Ing. Angelique Ortmann
Bernt Conradi
Reimund Eimer
Walter Schleich-Segebahn
Kristin Bohlander B.Eng.
Ralf-Peter Schacht
Ing. Baldur Blümel MBA.
Ortrun Pohl B.Eng.
Verena Davids
Vadim Bender B.A.
Osman Schäfer
Hans-Georg Scholz
Elwira Wirth
Frau Elfi Winkler MBA.
Lieschen Steckel
Cecilia Gertz
Prof. Frithjof Adolph MBA.
Tamara Bender MBA.
Hanna Speer
Ulrike Gierschner-Koch II
Univ.Prof. Harro Weller
Dr. Meral Thies B.Sc.
Edeltraut Klemt
Herbert Budig
Kristina Scheibe
Hatice Killer-Löwer
Univ.Prof. Katharina Werner MBA.
Felix Wilms
Prof. Tadeusz Mosemann B.Sc.
Augustin Renner
Alan Stadelmann-Lindner
Madlen Salz
