Student
Annerose Eckbauer
Filippo Juncken
Frau Wendelin Heinrich B.Eng.
Zbigniew Höfig B.Eng.
Danny auch Schlauchin
Ing. Leszek Gutknecht B.Sc.
Frank-Peter Ullmann
Adeline Hahn
Tillmann Mude
Hans-Bernd Trubin-Klemt
Dipl.-Ing. Patric Johann
Maximilian Pohl B.A.
Babett Adler
Adam Seifert
Ellen Vogt
Gilbert Peukert B.Eng.
Alexandros Ernst
Prof. Irmhild Fritsch
Edelgard Gnatz-Dobes
Ivonne Lachmann
Dipl.-Ing. Harm van der Dussen
Hiltrud Bolander-Ziegert
Hanny Martin
Wilma Pärtzelt-Huhn
Fanny Bolnbach B.Sc.
Nikolai Rädel-Klemt
Louise Jessel
Univ.Prof. Gönül Meister B.Sc.
Vitali Ortmann
Gertrude Ullmann
Nikolai Haase B.Sc.
Rene Bruder B.Eng.
Dipl.-Ing. Gerdi Wende
Jörg-Peter Jüttner-Winkler
Prof. Hans Dieter Kitzmann MBA.
Liliana Davids
Hannelore Haase
Siegmar Keudel-Gude
Lili Weimer
Darko Wilms
Felizitas Jungfer
Zoltan Preiß B.Eng.
Ute Möchlichen
Frau Margit Gehringer MBA.
Dipl.-Ing. Miguel Bärer
Gülsen Benthin
Christl Pölitz
Vitus Schmidt
Eva-Maria Zänker
Nina Wagenknecht
Timm Freudenberger-Henschel
Sofie Fiebig-Hermighausen
Ursula Löffler
Cornelia Römer
Adele Boucsein B.Sc.
Siegward Hertrampf
Dipl.-Ing. Harm Ruppert MBA.
Prof. Juliane Henck MBA.
Ing. Paul-Heinz Geißler
Augustin Hoffmann MBA.
Hertha Butte B.Eng.
Hanne Gierschner
Thorben Kitzmann
Ingelore Heinz
Undine Jopich
Dorit Ebert
Margrit Förster
Amalia Schmidtke-Radisch
Frau Gertrud Jüttner
Dr. Annelene Hamann
Abraham Hoffmann
Britta Nerger B.Eng.
Edit Martin B.Sc.
Heinz-Joachim Spieß
Dietlinde Binner
Carsten Hartmann
Phillip Hermann
Nurten Henschel-Stroh
Resi Knappe
Margarethe Steckel
Prof. Denis Segebahn MBA.
Walentina auch Schlauchin-Albers
Reinald Gerlach
Dr. Ante Jüttner B.A.
Dr. Olaf Gierschner B.Sc.
Frau Renate Geisler
Hans-Detlef Bender
Erna Kensy-Bähr
Lisbeth Karge
Lidia Franke
Univ.Prof. Czeslaw Tröst
Gino Hövel B.Sc.
Arnulf Kusch
Clara Stroh
Hansjörg Holsten
Reinhart Becker
Hans-Theo Vogt-Beckmann
Heimo Karge-Freudenberger
Senol Hölzenbecher
Hans-Willi Baum-Staude
Prof. Helmut Hellwig MBA.
Dr. Erkan Stroh
Wendelin Zorbach MBA.
Karl-Josef Thanel
Wulf Schuster
Dipl.-Ing. Sarina Dörr
Arif Heinrich
Volkmar Trub
Regina Barkholz
Emmy Trub MBA.
Ing. Thomas Drewes B.A.
Clara Gehringer
Giuseppina Linke
Ljiljana Löwer B.A.
Univ.Prof. Anna-Luise Faust
Herr Andy Förster B.A.
Theodora Wilmsen
Marieluise Kruschwitz
Prof. Hermann Josef Söding
Alban Butte
Dagobert Hornig
Dorina Dippel
Dipl.-Ing. Karina Kambs MBA.
Herr Erich Rosenow
Claudius Mude
Romuald Kambs MBA.
Gottfried Martin-Martin
Dr. Zeki Eberth
Gabriel Klotz
Bernhardine Pechel
Univ.Prof. Kirstin Killer B.Eng.
Sara Heuser
Luigi Gude
Undine Lindner
Prof. Sofie Gröttner
Joanna Weinhold-Förster
Hans-Jürgen Barth
Justina Neureuther
Dipl.-Ing. Mareike Noack B.Sc.
Univ.Prof. Polina Schmidt B.Eng.
Dipl.-Ing. Cynthia Hauffer B.A.
Univ.Prof. Hans-Theo Kroker
Melitta Drewes
Harm Sontag-Wilms
Miroslaw Hentschel-Stoll
Dipl.-Ing. Jens-Peter Dippel MBA.
Prof. Urs Täsche
Dipl.-Ing. Hermann-Josef Jüttner
Heimo Bauer
Helga Mosemann-Hecker
Frau Elfi Winkler MBA.
Ottmar Beier
Univ.Prof. Frederike Heintze
Karl-Peter Hofmann B.A.
Frau Melita Scholz B.A.
Hedi Butte-Neuschäfer
Gitta Berger
Sonja Paffrath-Reichmann
Theodoros Grein Groth
Nathalie Krause
Waltrud Stroh
Hans-Martin Kohl
Prof. Amelie Rose MBA.
Janett Zorbach
Herwig Krebs
Fernando Gieß
Nadeshda Hänel-Kaul
Volkmar Mosemann
Ing. Marlene Wirth B.Sc.
Dr. Walburga Kobelt B.Eng.
Hansgeorg Hettner
Helmuth Langern-Steinberg
Magnus Heidrich
Ing. Pavel Weller B.Eng.
Herr Thorsten Hartmann B.Eng.
Ing. Krzysztof Kambs B.Eng.
Dittmar Graf
Friederike Geisler
Univ.Prof. Gusti Schlosser
Anton Drubin
Ellen Jessel-Walter
Sevim Ackermann
Dr. Franco Stumpf B.Eng.
Elli Junck
Herr Otto Vollbrecht
Hans-Karl Christoph-Schleich
Freia Kraushaar B.A.
Sigmund Hentschel MBA.
Reinhard Beckmann
Ottfried Scheibe-Sauer
Dr. Nadja Wulf
Tomasz Niemeier
Franz Josef Herrmann
Luciano Klotz
Yvonne Kroker
Bozena Meyer
Geza Hertrampf B.A.
Sevim Vollbrecht B.A.
Thoralf Eimer
Eberhardt Schäfer
Liesbeth Schlosser
Karl-Heinrich Kraus B.A.
Roswita Sauer
Herr Ilja Kroker
Benita Holzapfel-Hecker
Dorothee Seidel
Deborah Finke
Annamaria Kade-Fischer
Ing. Carmen Birnbaum
Prof. Wilma Mangold
Claus Heser B.Sc.
Gebhard Krein
Manuel Hering-Jäntsch
Emma Briemer B.Eng.
Ing. Hanna Killer
Frau Rosalinde Mitschke B.A.
Magarete Beyer B.Eng.
Univ.Prof. Francisco Tröst B.Eng.
Adelinde Geisler
Prof. Catherine Knappe MBA.
Dörte Warmer
Sybilla Hornig
Gunnar Weimer
Kirsten Stey B.A.
Frau Stefani Hendriks B.A.
Erdmute Mosemann
Georgia Bärer
Ing. Berthold Rosenow
Josef Butte-Lindau
Helmut Renner
Karen Hendriks
Edeltraud Mülichen
Ivana Nerger
Marlen Flantz
Angelique Speer B.A.
Sevim Schmiedt-Döhn
Uli Oderwald-Freudenberger
Dr. Caroline Ortmann
Prof. Frithjof Adolph MBA.
Prof. Volkmar Wirth B.Eng.
Univ.Prof. Franca Ritter B.Eng.
Gloria Bruder B.A.
Georg Misicher
Klaus Peter Weller
Dr. Semra Wagenknecht
Frau Margrit Beckmann
Frau Monique Wesack B.Eng.
Karl-Wilhelm Weiß
Maren Scholz-Bohlander
Darius Trupp
Robin Flantz
Mathilde Wähner-Bien
Pauline Bolzmann
Herr Jerzy Drub
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Anne-Rose Klemm
Lambert Gehringer
Dr. Jonas Anders B.Sc.
Fredi Huhn
Carina Killer
Ole Süßebier MBA.
Tilman Henschel
Hans Josef Reinhardt B.A.
Ing. Danica Gieß MBA.
Frau Julie Gunpf
Marie-Therese Birnbaum
Annemarie Schaaf B.Sc.
Traude Kuhl
Ing. Hans Peter Schenk B.A.
Univ.Prof. Anatoli Ritter
Guenther Metz
Mira Rohleder
Lars Ullrich
Irmengard Sauer
Mandy Huhn B.A.
Univ.Prof. Beate Gude
Faruk Hoffmann
Hiltrud Klemm
Gretel Stroh
Bettina Lachmann
Luzie Schäfer
Ing. Hans-Heinrich Reichmann B.Sc.
Alma Flantz MBA.
Hellmut Siering
Dipl.-Ing. Randolf Martin B.A.
Ewald Rädel-Rörricht
Walburga Junk
Danuta Lachmann-Dussen van
Univ.Prof. Sonja Hande MBA.
Käthi Löffler
Samuel Ackermann
Dipl.-Ing. Ismet Käster B.Eng.
Dipl.-Ing. Betty Niemeier MBA.
Annegret Atzler
Gino Ernst
Charles Anders
Andrea Ziegert
Ing. Helen Gumprich B.Sc.
Marie-Louise Killer-Etzler
Roderich Scholtz
Christopher Sager
Karoline Römer
Nicolai Gutknecht
Konstantin Eimer-Lehmann
Sibylle Jäntsch
Lothar Fischer
Dipl.-Ing. Gottfried Scholtz
Johanna Stumpf
Volker Adler
Isabel Rose
Kristin Kabus
Janette Kraushaar
Mirko Eckbauer
Ing. Valerij Segebahn B.Eng.
Otmar Misicher
Eleni Mühle MBA.
Univ.Prof. Ivonne Haase B.Sc.
Dr. Sonia Hornich B.Eng.
Roland Ring
Prof. Irma Bien B.Eng.
Dipl.-Ing. Ana Rosemann
Alicia van der Dussen-Patberg
Wiltrud Christoph
Kordula Dobes-Buchholz
Prof. Bianka Reinhardt
Prof. Ingeborg Noack
Martin Dörr
Dipl.-Ing. Aleksandra Wagner MBA.
Maria-Theresia Scholl
Rotraut Ullrich
Herr Gustav Noack
Hans Josef Thanel
Dipl.-Ing. Detlef Schacht
Astrid Schweitzer
Concetta Seifert
Milan Holzapfel
Ludmila Stadelmann
Burghard Davids
Dr. Guntram Kusch
Erkan Kuhl-Oestrovsky
Maria-Luise Schaaf
Stilla Dobes
Erol Eimer
Univ.Prof. Ayten Lorch
Hiltrud Pergande
Emilie Kallert-Zorbach
Freia Lübs
Brunhilde Tröst
Dipl.-Ing. Hans-Peter Hertrampf
Wolf-Dieter Rudolph-Bruder
Sofia Etzler B.Eng.
Süleyman Baum
Ing. Eva Kitzmann B.A.
Lutz Kobelt
Dipl.-Ing. Marisa Scholl
Prof. Cäcilia Gertz B.Eng.
Ottomar Hermann
Camilla Jäntsch
Jadwiga Gotthard
Lina Hörle
Paolo Hentschel-Zobel
Natalja Seidel
Konstanze Mühle
Timm Oderwald
Jasmina Rudolph
Rose-Marie Schüler
Dipl.-Ing. Amanda Striebitz
Bernhardine Bender MBA.
Ivana Wilmsen-Gumprich
Dr. Hans-Heinrich Kaul B.Eng.
Elwira Pölitz B.Sc.
Rudolf Weihmann
Francisco Wirth
Prof. Aziz Stumpf
Ildiko Mitschke B.Sc.
Margarete Linke
Dipl.-Ing. Daniele Geißler
Ing. Dirk Paffrath
Univ.Prof. Undine Junken MBA.
Annie Noack
Ing. Emanuel Tintzmann
Mehdi Kohl B.A.
Wiltrud Dietz
Dietmar Lindau
Jacek Bärer
Prof. Elzbieta Fechner B.Sc.
Frau Herlinde Segebahn
Hatice Jessel
Marlene Steckel B.A.
Prof. Karl-Ernst Möchlichen
Florian Wulff
Elfriede Gnatz
Virginia Textor
Univ.Prof. Belinda Henck
Ing. Svenja Aumann
Marta Sontag
Ron Dobes-Weihmann
Jan Döring B.A.
Anika Sager
Auguste Pruschke
Augustin Carsten
Luciano Tintzmann
Steven Weinhold B.A.
Paul-Gerhard Hein
Francoise Zänker-Knappe
Manuel Pärtzelt
Genoveva Hofmann
Dajana Meyer
Georgios Knappe-Mälzer
Minna Wernecke-Gumprich
Fredi Meyer-Weiß
Dr. Gerd Fechner
Frau Ariane Weinhage MBA.
Marie-Louise Girschner
Frau Mia Kaul MBA.
Burghard Albers-Berger
Branka Speer B.A.
Univ.Prof. Hanspeter Gorlitz
Hajo Thies
Christl Wähner
Frau Chantal Ebert B.Eng.
Verena Höfig
Edmund Siering
Leila Hethur
Wolf-Dietrich Gotthard-Dussen van
Maja Jungfer
Thekla Schäfer
Katerina Bolzmann B.Eng.
Dr. Jochem Trapp MBA.
Marzena Neuschäfer
Kenan Wulff-Plath
Hans Kraus
Dipl.-Ing. Ilse Heß B.Sc.
Dipl.-Ing. Georgine Adolph B.Eng.
Dr. Ingelore Winkler
Dipl.-Ing. Mariechen Bonbach
Dipl.-Ing. Josip Mies
Marina Hofmann
Mareile Meister
Fadime Reinhardt MBA.
Senta Hiller
Dr. Annelies Stumpf
Lilly Naser
Helma Schaaf B.A.
Abbas Segebahn
Karl-Heinrich Schüler
Polina Hettner
Mercedes Kobelt MBA.
Irmi Jüttner
Heino Lindau B.Eng.
Myriam Aumann
Sandra Scholtz
Rosa-Maria Losekann-Schulz
Gerhart Stumpf
Nelli Stiebitz
Prof. Heinz-Willi Hertrampf
Herr Salih Blümel
Hermann Josef Weihmann
Frau Britt Heß
Istvan Patberg-Anders
Janko Neureuther
Marliese Roht
Rosalia Johann
Lene Sauer
Henrik Hein B.A.
Ing. Eckart Becker B.Sc.
Cetin Schwital
Osman Schäfer
Alois Römer-Becker
Sergei Ritter
Bertram Höfig B.Sc.
Katja Heidrich
Herr Mike Schuchhardt B.A.
Dr. Wencke Junken B.Eng.
Alicia Kroker
Guiseppe Kranz
Ann Spieß MBA.
Heinz-Günther Mosemann
Univ.Prof. Franz-Josef Zänker
Wulf Fiebig B.A.
Samir Wähner-Butte
Lars Walter
Dr. Hedda Radisch
Friedl Barth
Marcella Karz B.A.
Dipl.-Ing. Gilbert Plath B.Sc.
Jörg Pechel
Cord Haase
Reinhold Striebitz
Adelheid Schmidtke
Univ.Prof. Woldemar Walter
Clarissa Buchholz
Slavica Koch
Dominic Möchlichen
Jonas Mühle
Jaqueline Weitzel-Pölitz
Kornelia Bachmann
Nuray Aumann
Herr Jonathan Beckmann B.A.
Annaliese Heser B.Sc.
Ing. Engelbert Bauer
Wenke Stolze
Siegfried Kreusel
Dr. Anto Wende
Annette Schwital
Marta Roht B.Sc.
Hannes Meyer
Heide-Marie Koch II
Marica Hamann-Koch
Dr. Burkard Bolzmann B.A.
Jasmina Zorbach
Trude Scholtz B.A.
Justine Lindner
Univ.Prof. Anneke Gunpf
Rosemarie Schmiedecke
Leni Heß
Siegrid Paffrath
Diana Jessel-Geißler
Prof. Johannes Holzapfel MBA.
Iwan Butte B.Sc.
Sergej Hauffer MBA.
Isidor Zobel-Ritter
Tibor Köhler-Schönland
Ehrhard Förster
Volker Hettner
Verena Hornich
Monique Ullmann MBA.
Sofia Hethur
Ing. Gertraude Holsten B.Sc.
Dr. Ljiljana Henck MBA.
Magret Oderwald
Dana Schäfer
Wilfried Steinberg
Dipl.-Ing. Waltraut Kallert
Dipl.-Ing. Dorina Lindau B.Sc.
Herr Jens Ritter B.Eng.
Dipl.-Ing. Rouven Kallert MBA.
Dipl.-Ing. Edgar Gehringer B.Eng.
Uli Renner
Isa Weihmann
Andres Sager
Mercedes Blümel
Marleen Austermühle-Tintzmann
Ing. Ramazan Kallert MBA.
Hanne-Lore Losekann B.Sc.
Anto Kobelt-Kobelt
Ing. Lucie Karz
Dr. Hans-Willi Hertrampf MBA.
Regina Reuter
Toni Dehmel-Striebitz
Viktor Bauer
Prof. Rudolph Linke
Elena Gotthard
Janos Ehlert
Rabea Weiß MBA.
Beatrice Käster
Alicja Sorgatz
Editha Jacob
Ivo Wesack B.Sc.
Georgia Liebelt
Dr. Constance Römer
Ing. Marcel Gute
Elvira Gute-Käster
Dr. Edelbert Wieloch MBA.
Anton Stey
Eberhardt Mielcarek
Zofia Roht
Isabell Kroker B.Eng.
Waltraut Ernst
Wally Bien-Kraushaar
Rene Berger-Jäkel
Waltraut Gehringer
Siegrid Hande
Marie-Louise Hendriks-Dörschner
Krista Putz
Frau Mirja Jüttner B.Eng.
Hans-Gerhard Staude
Klaus-Dieter Hecker
Margareta Lübs-Vollbrecht
Ralf-Peter Schacht
Rene Hofmann
Deborah Becker
Gundula Adler-Bien
Kristin Jacob
Käthi Naser-Tlustek
Prof. Liane Jungfer
Hans-Rudolf Huhn
Kilian Patberg
Hermann Josef Schmiedecke
Enrico Reising MBA.
Herr Gotthard Wilms
Sarah Beckmann
Felicia Binner
Sükrü Walter B.Eng.
Janette Wiek
Bekir Fechner
Ing. Utz Klemt B.A.
Geraldine Wagner
Giuseppina Keudel
Henny Rose
Massimo Ernst
Dr. Änne Radisch
Henry Hofmann B.Eng.
Emil Grein Groth
Swantje Heinz
Yusuf Seifert
Rolf-Peter Rosenow MBA.
Univ.Prof. Dorle Fröhlich
Prof. Linus Kambs B.A.
Dipl.-Ing. Baldur Oderwald B.Sc.
Anne-Rose Krause
Wilhelm Tlustek
Reinhold Bloch
Sylke Binner B.A.
Carolin Etzler
Dipl.-Ing. Wenzel Hellwig B.Sc.
Hans-Theo Thies
Annegrete Pohl-Sölzer
Darius Kallert
Vinko Kraus-Schmiedt
Prof. Natalja Käster MBA.
Franziska Hörle B.Sc.
Gernot Dörr
Univ.Prof. Dana Seifert
Josef Rädel
Mirja Wähner
Sigurd Höfig B.Sc.
Lorenz Kohl
Elke Hiller
Annegret Holt-Heuser
Marion Kuhl
Dipl.-Ing. Melanie Kreusel B.A.
Ladislaus Hande
Änne Tlustek-Freudenberger
Wieslaw Löchel
Frau Patricia Gorlitz B.A.
Romy Baum
Marek Schenk B.A.
Dajana Ring
Orhan Hecker-Heuser
Wolf-Dieter Eigenwillig
Zeynep Lehmann
Mato Trubin
Matteo Dehmel-Weimer
Vitali Faust B.Eng.
Tobias Wirth
Heike Karge
Dr. Frieda Metz
Jelena Meyer MBA.
Herwig Jäntsch B.Sc.
Prof. Guenter Mosemann
Heiner Ruppersberger-Hentschel
Wiltrud Wilmsen-Graf
Wulf Kusch
Ivana Eimer
Frau Mirjana Baum B.Sc.
Brit Anders
Univ.Prof. Ditmar Mitschke B.A.
Hilda Stey B.Eng.
Valentin Steuer-Mans
Thorben Henk-Mende
Konstantin Rogner
Hanni Dippel-Heser
Frau Nurten Huhn
Helge Pohl
Torben Hartung
Danilo Hein-Scheibe
Gusti Wagenknecht
Abdul Klapp-Hethur
Brunhilde Scholz
Calogero Hoffmann B.Eng.
Jörn Hörle B.Sc.
Kay-Uwe Pölitz
Bianca Mans
Cord Tröst
Reza Kusch
Laurenz Rosemann
Thorben Rosenow
Carsten Jüttner B.Eng.
Prof. Gertraude Wohlgemut B.Eng.
Dipl.-Ing. Hannelore Kostolzin
Antonia Mohaupt
Armin Hellwig-Finke
Sandy Fechner
Uli Stolze MBA.
Holger Gröttner B.Eng.
Dr. Silvio Täsche
Leonie Möchlichen MBA.
Gretchen Eimer-Wilmsen
Dipl.-Ing. Cora Baum
Dipl.-Ing. Corina Fischer
Aloisia Faust
Ludmila Dobes B.A.
Traugott Textor-Wagenknecht
Dipl.-Ing. Liliana Hartmann
Zita Ullmann-Heydrich
Catharina Jacob
Jessica Schottin
Theresia Henck
Frau Änne Gunpf B.Sc.
Ing. Maren Schenk
Anneli Neuschäfer
Dipl.-Ing. Grete Stiebitz
Luciano Biggen
Frauke Staude
Margitta Hethur MBA.
Annamaria Scholtz
Hildegard Schlosser-Jacobi Jäckel
Janine Hendriks B.A.
Herr Gerold Kreusel
Notburga Pölitz
Hans-Werner Mohaupt
Auguste Gunpf
Elke Huhn
Desiree Klotz
Heinz-Dieter Gute
Wulf Steckel-Lachmann
Karl-Heinrich Karz
Irina Hahn
Hans Dieter Kallert
Isolde Seifert
Prof. Natalja Mies MBA.
Marica Seidel B.Eng.
Aline Atzler-Beckmann
Elsa Beer
Univ.Prof. Hugo Martin
Violetta Beyer
Dr. Zeljko Pruschke
Ludmila Löffler
Lydia Wirth
Valeri Tschentscher
Jelena Löffler
Ing. Philipp Textor
Isabell Eberth-Pechel
Liliane Koch II
Anastasios Kuhl
Univ.Prof. Conny Wagner MBA.
Daria Jopich
Dipl.-Ing. Helma Heuser B.Sc.
Prof. Emine Wulf B.Eng.
Clara Ruppersberger
Annelene Adolph B.A.
Reimer Scheel B.Eng.
Karin Beckmann
Charlotte Hecker B.Eng.
Univ.Prof. Hans-Peter Schmidt MBA.
Joana Zimmer B.A.
Prof. Mirko Adolph B.A.
Wibke Reuter
Raymund Thanel
Dipl.-Ing. Hans-Ludwig Meyer
Prof. Ana Textor
Prof. Vadim Stroh
Ricarda Fröhlich B.A.
Elmar Fröhlich
Florentine Bärer B.A.
Alicja Pergande
Rosa Rosenow B.Eng.
Nikolas Hethur MBA.
Ferdinand Junitz B.Eng.
Prof. Mathilde Segebahn MBA.
Franz-Xaver Scholtz
Daniele Pieper-Käster
Hans-J. Trapp-Koch II
Dipl.-Ing. Matteo Baum
Kristina Wernecke
Katerina Drubin
Dr. Laila Peukert
Valentin Klingelhöfer
Swen Wirth
Camilla Gunpf
Magdalene Patberg-Mosemann
Prof. Jürgen Blümel B.A.
Aysel van der Dussen-Jäntsch
Anna-Luise Seip-Hofmann
Karl-Dieter Süßebier
Gerd Becker
Gerolf Döring-Buchholz
Natalie Neureuther
Univ.Prof. Marko Schmiedecke MBA.
Ing. Willi Warmer B.Eng.
Aribert Putz
Aenne Hübel-Mühle
Univ.Prof. Mirella Peukert
Heribert Ring B.A.
Diethard Gude
Ing. Carmine Kroker
Uwe Dussen van
Ines Anders
Jakob Döring
Jessika Käster
Elena Pruschke
Clara Mans
Attila Rogner
Woldemar Heinz
Lukas Juncken MBA.
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Wladimir Rogge
Rüdiger Geisler
Heinz-Gerd Beyer
Gunter Misicher
Henny Vogt
Hermann-Josef Loos
Marieluise Schulz
Emilia Römer
Dr. Hans-Herbert Losekann B.A.
Univ.Prof. Diedrich Köhler B.A.
Karolina Hartmann
Ernst-August Beyer
Elma Junken
Hans-Henning Scheel
Rosa Heuser
Cäcilie Schmidt
Gunhild Zimmer
Hartmuth Koch II
Sylvester Neuschäfer-Schacht
Angelika Rosemann
Dipl.-Ing. Mahmoud Mühle B.Eng.
Dietlinde Schönland
Dr. Fredy Niemeier
Jost Gröttner-Mülichen
Cornelia Gehringer
Friedl Hänel
Monika Hornich MBA.
Ing. Edeltraud Zirme
Univ.Prof. Gretchen Sontag B.A.
Hajo Kranz-Heser
Ing. Emmy Beer
Eugen Weitzel
Arno Lindner
Ing. Frederic Christoph B.Eng.
Vitali Walter-Krein
Monja Weiß
Rosl Trupp
Univ.Prof. Otto Kruschwitz MBA.
Ingried Ullmann
Dogan Rogge
Frau Silvana Bolzmann B.Eng.
Julia Ruppersberger
Evelin Gerlach
Ernst-Dieter Geisler B.Eng.
Folker Fischer
Siegrun Ring
Dagobert Bohnbach
Hans-Georg Schmidt
Natalja Löchel-Beckmann
Univ.Prof. Fatima Hiller B.A.
Hans-J. Bolander
Sina Wulff-Dussen van
Univ.Prof. Christoph Beier B.A.
Hanne-Lore Johann
Dipl.-Ing. Elisabeth Wiek
Heinz-Willi Jockel
Angelique Adler
Reingard Cichorius
Bertha Gotthard
Prof. Gaby Ernst MBA.
Anica Austermühle
Rosina Otto
Ladislaus Stadelmann
Herr Burkhardt Bauer B.Eng.
René Hölzenbecher-Berger
Heidelore Pärtzelt MBA.
Irene Gotthard-Hoffmann
Raymund Koch II-Margraf
Nadin Radisch
Grete Rudolph
Doris Kraushaar
Alwine Riehl
Friedericke Lehmann B.Sc.
Evelyn Stolze
Heinrich Dippel
Gunter Schenk B.Sc.
Ida Buchholz B.Eng.
David Warmer
Hülya Conradi
Michel Hermighausen
Evelyne Beyer
Herr Gerhardt Benthin
Univ.Prof. Almut Ehlert B.Sc.
Mirja Bähr
Kay-Uwe Mühle
Meta Eigenwillig
Angela Weimer B.A.
Madlen Steinberg
Mona Söding
Univ.Prof. Fatima Faust B.A.
Torben Schweitzer
Frau Zdenka Zimmer
Gert Seifert
Wencke Riehl-Stoll
Frau Friederike Albers
Viviane Kensy
Heide-Marie Gunpf B.A.
Mahmut Hänel
Romy Zahn-Bien
Univ.Prof. Veli Etzler
Fredy Hiller
Dino Martin
Brigitte Knappe
Anne-Katrin Lorch
Osman Salz MBA.
Dr. Marliese Junck B.Sc.
Sergej Pärtzelt
Marliese Drubin
Stanislaus Davids MBA.
Krista Hofmann
René Rose-Krebs
Maurice Pieper-Loos
Prof. Volkmar Heuser
Dipl.-Ing. Jan-Peter Mende MBA.
Prof. Conny Klingelhöfer B.Eng.
Heinz-Joachim Jähn
Hildegunde Wende-Spieß
Hendrik Herrmann
Ben Täsche
Bruno Martin-Kaul
Frida Süßebier
Ekrem Hornich
Britt Bolander B.A.
Wilfriede Ziegert
Klaus-Peter Kitzmann
Mahmoud Ditschlerin-Trüb
Dipl.-Ing. Leo Sager
Wolfhard Jäkel MBA.
Antonietta Barth
Ing. Willfried Kostolzin
Stephen Kensy
Waldemar Hendriks
Karolin Mitschke
Zofia Schulz
