Student
Univ.Prof. Dragan Thies MBA.
Dominik Huhn
Eric Briemer
Guntram Scholz MBA.
Alma Kaul
Irmtrud Pohl
Ing. Alberto Schlosser
Irina Mielcarek
Dr. Peggy Beyer B.Sc.
Liesa Neureuther
Irina Seip-Bolnbach
Gereon Jacob
Sigmar Briemer
Therese Neureuther
Prof. Kaspar Mosemann
Zdravko Niemeier
Franziska Hörle B.Sc.
Franca Mentzel
Magdalena Sauer
Ing. Gerti Franke
Beatrice Fechner
Slavko Fliegner B.Sc.
Erhardt Heidrich
Adolfine Wilms
Hans Josef Striebitz
Mechtild Patberg
Rosa Hübel
Margareta Zirme
Annamaria Kade-Fischer
Uli Stolze MBA.
Maria-Theresia Heinz B.A.
Franz-Xaver Scholtz
Walter Pruschke
Juliana Schönland
Sylvester Hamann
Nurettin Mans-Klemt
Berthold Rohleder
Phillip Rosemann-Bachmann
Victor Butte
Vadim Rose-Wulf
Sevim Schmiedt-Döhn
Hans-Martin Kambs
Tibor Briemer
Tilo Hande
Waltrud Stroh
Irmtraut Ortmann MBA.
Rosi Renner-Graf
Hans-J. Trapp-Koch II
Gerold Loos-Rogge
Joachim Süßebier
Miroslawa Jessel B.Sc.
Karen Grein Groth-Dörschner
Cäcilie Patberg
Ing. Luisa Oestrovsky
Ludwig Reinhardt
Ing. Meinhard Schweitzer
Mirko Eckbauer
Nuran Schottin B.Eng.
Adelinde Geisler
Toralf Pieper
Tilman Killer B.A.
Univ.Prof. Dorit Pechel B.A.
Dr. Semra Schulz
Dr. Erdogan Fröhlich
Ing. Adalbert Heser
Franca Harloff-Döring
Albin Schuchhardt
Maria Döring B.Sc.
Prof. Ferdinand Gertz B.Sc.
Horst Hauffer B.Eng.
Mario Bärer
Carolin Stumpf B.Eng.
Margrit Schenk B.A.
Arif Pergande-Wagenknecht
Univ.Prof. Anneke Gunpf
Ing. Tillmann Geisel
German Speer
Carla Ruppersberger
Frau Margitta Staude
Juliane Mentzel-Ziegert
Ing. Carolin Matthäi
Dolores Atzler B.A.
Ing. Valeria Kruschwitz
Herr Claus Killer
Hannah Stiffel-Börner
Elias Hethur
Annamaria Scholtz
Gaetano Söding
Gloria Bruder B.A.
Liesbeth Schlosser
Janine Hendriks B.A.
Henrik Hein B.A.
Enver Börner MBA.
Trude Ruppersberger
Bayram Meister
Catherine Cichorius
Dina Rose
Gülay Haase
Dr. Theresia Mende
Claire Faust B.A.
Ehrhard Bohnbach B.Eng.
Miriam Hentschel
Janusz Trub-Mühle
Ismail Steinberg
Gunter Beyer
Heinz Krebs B.Eng.
Alwina Koch
Prof. Constance Girschner MBA.
Dr. Harald Ritter
Janus Weitzel-Koch
Univ.Prof. Undine Junken MBA.
Friederike Geisler
Ing. Frederic Christoph B.Eng.
Philipp Walter-Löffler
Marica Seidel B.Eng.
Evelyne Beyer
Heidemarie Kreusel
Nora Dehmel B.Eng.
Francisco Budig-Geisler
Univ.Prof. Fredi Hölzenbecher
Renate Bärer
Magnus Heidrich
Eva Wende-Peukert
Aleksandr Schuster B.A.
Justine Lindner
Karsten Wohlgemut
Günter Schottin
Stephanie Dörr-Bärer
Ing. Silke Kambs
Irmi Döhn
Damian Dörr
Erhardt Loos
Herr Gordon Meister
Heide Hesse-Bärer
Herr Thorben Jacob
Wilhelm Klemm B.A.
Vinko Schmiedecke-Hendriks
Senol Hande MBA.
Silva Hiller MBA.
Freia Kraushaar B.A.
Helmuth Langern-Steinberg
Damian Hentschel
Adelinde Zimmer
Claudius Rust-Mans
Juan Fechner
Univ.Prof. Jeannette Schleich B.Sc.
Klaus-D. Zänker-Hein
Prof. Theobald Mangold
Annelene Adolph B.A.
Dipl.-Ing. Ildiko Löffler B.A.
Tomasz Preiß
Alfons Schleich B.A.
Univ.Prof. Sahin Freudenberger B.A.
Hans-Herbert Gutknecht
Edda Jungfer
Dr. Jeanette Schuchhardt B.Eng.
Hellmuth Heidrich
Dipl.-Ing. Robert Köhler
Dr. Marliese Junck B.Sc.
Hans-Georg Dörschner
Gundula Klotz
Harro Vogt-Gieß
Elke Hiller
Alois Jungfer B.Eng.
Elfi Roht
Eckehard Steckel
Stilla Köhler
Lena Losekann
Mareile Oderwald-Hiller
Marcus Finke
Amalia Wulf
Hans-Detlef Kobelt
Prof. Arif Mielcarek B.Eng.
Dr. Michel Pruschke B.Eng.
Eitel Ernst
Stephen Reichmann
Susann Mielcarek
Willfried Werner
Dr. Änne Radisch
Magarete Schomber
Gerta Hartmann
Gabi Klapp
Herr Gotthard Wilms
Aleksej Fröhlich
Louis Kostolzin
Falk Höfig
Vitus Pruschke B.A.
Florian Weimer
Theda van der Dussen
Eva Wende B.Eng.
Herr Falk Holzapfel
Dipl.-Ing. Gloria Heidrich
Univ.Prof. Clara Heidrich B.Sc.
Friedrich-Karl Sorgatz-Schmiedt
Wieland Linke
Elisa Steinberg
Traugott Ruppert
Birgitt Seip-Klemm
Robin Junk-Henk
Ralph Fröhlich
Bernhardine Bender MBA.
Prof. Siegbert Scheuermann B.A.
Ole Süßebier MBA.
Lissy Dippel
Herr Burkhardt Bauer B.Eng.
Dogan Bolander
Ottfried Peukert-Schulz
Dipl.-Ing. Sarina Dörr
Mariana Steckel
Frau Mareile Birnbaum
Anatol Gude MBA.
Friedo Lorch
Fernando Schüler
Alwina Neureuther
Anica Kade-Steuer
Harriet Ullmann
Mathias Matthäi
Pasquale Karge
Lukas Juncken MBA.
Inna Weinhage
Oliver Biggen
Andrei Säuberlich
Oscar Reinhardt B.A.
Karl-Peter Heser
Ing. Gordana Bruder MBA.
Tabea Rogge
Dr. Halina Haase
Slobodan Seip
Ing. Gerold Mende
Berndt Barkholz
Herr Rigo Krebs B.Eng.
Kristina Röhricht
Prof. Grete Müller
Marina Hofmann
Pirmin Boucsein MBA.
Dr. Friedbert Bauer B.Eng.
Olav Margraf
Ralf-Dieter Rörricht B.Eng.
Annaliese Klingelhöfer
Bogdan Löffler
Benjamin Lübs
Artur Berger
Flora Gotthard
Swen Schweitzer B.Sc.
Juergen Beier B.A.
Heinz-Günther Bohnbach
Sophie Rädel
Maria-Luise Schaaf
Hans-H. Schönland
Dietlind Anders B.A.
Ryszard Junitz
Ida Weihmann
Nada Hänel
Folker Fischer
Ehrenfried Seidel MBA.
Viola Oderwald B.A.
Nathalie Lehmann
Jörgen Lorch
Lorenz Schwital-Stadelmann
Rosalia Pruschke
Marzena Hein
Adeline Hein-Metz
Albin Budig
Uta Kade
Margarete Kabus
Klaudia Seidel
Albrecht Metz B.A.
Catrin Bachmann
Dagmar Jungfer
Roswita Henck
Dr. Ljiljana Henck MBA.
Tassilo Gehringer
Hans-J. Wohlgemut
Ruth Hartung
Dr. Hans-Albert Stroh
Senol Heintze-Gerlach
Dörthe Hiller
Annie Schlosser
Esther Ehlert
Univ.Prof. Cord Becker
Martina Salz-Sorgatz
Pius Jopich B.Eng.
Herr Swen Kraushaar B.A.
Hans-Henning Scheel
Cornelia Römer
Geza Hertrampf B.A.
Marit Eberth
Ing. Paolo Meister
Hermann Josef Börner
Frau Cynthia Bähr B.Sc.
Prof. Luzie Killer B.Sc.
Alfons Klingelhöfer
Gotthilf Gehringer B.A.
Dipl.-Ing. Claas Ladeck
Alfred Tröst-Stahr
Alwine Riehl
Melissa Dietz
Gilda Scholz
Victor Seifert
Dipl.-Ing. Kristine Klapp MBA.
Detlev Weihmann-Schäfer
Jann Cichorius
Herr Janus Matthäi B.Sc.
Emmi Adolph
Edith Hettner
Hanns Stiffel
Ivo Lorch
Ulrike Ackermann B.Sc.
Reiner Conradi
Ulf Kensy MBA.
Mehmet Löwer-Trupp
Dr. Irmgard Plath B.A.
Luigi Junitz
Konstanze Mühle
Raymond Ruppersberger
Ada Kreusel
Elfi Herrmann MBA.
Prof. Ralf-Peter Schlosser B.Eng.
Siegmar Ullmann-Fritsch
Niklas Trubin
Ayse Thies B.Eng.
Prof. Götz Finke
Prof. Ingetraud Seidel B.Sc.
Alice Nette
Frieda Tintzmann-Löchel
Herr Roman Schwital MBA.
Prof. Salvatore Römer
Leonid Hein B.Sc.
Prof. Swen Benthin MBA.
Herr Leonid Fröhlich B.Eng.
Univ.Prof. Josefine Lindau
Trudi Kranz B.Eng.
Wally Kreusel
Oscar Nerger
Ing. Josip Ruppert
Kai-Uwe Köhler
Katalin Butte
Kathi Hering
Leni Heß
Theo Döring
Dr. Edda Hecker B.Eng.
Gunnar Hornig
Detlef Köster
Micha Eckbauer B.Sc.
Freia Lübs
Frau Kirsten Boucsein
Dr. Salih Ullmann
Univ.Prof. Claus-Dieter Dippel B.Eng.
Hinrich Römer
Walter Weller
Gerta Klemt
Frau Ayten Pärtzelt MBA.
Semra Gorlitz
Bernhard Rogner B.Eng.
Prof. Liliana Klemm MBA.
Mariana Kranz
Herr Ekkehart Sorgatz
Florentine Eimer
Dr. Gerd Fechner
Herr Filippo Rosemann B.A.
Hans-Adolf Römer-Jäntsch
Wenzel Ebert
Dr. Ruben Wernecke
Constanze Fechner-Dörr
Dana Löwer MBA.
Swen Wirth
Oxana Schmidtke
Ralph Rogge
Dipl.-Ing. Sieglinde Fischer B.Eng.
Heimo Bauer
Marek Hesse B.Eng.
Waltrud Scholl
Hans-J. Tröst MBA.
Dr. Mariusz Beckmann
Bodo Kranz-Striebitz
Dipl.-Ing. Salvatore Zänker MBA.
Faruk Schomber
Gunar Lindner
Klaus-Michael Mälzer
Prof. Eckhart Jockel B.Eng.
Andres Sager
Mariola Gnatz
Prof. Alina Barth
Marleen Etzler
Ing. Ivo Weinhold
Frau Camilla Kruschwitz
Anni Kraus
Prof. Andrzej Gorlitz
Gundula Weitzel-Liebelt
Elmar Fröhlich
Hasso Mans-Buchholz
Zeynep Lehmann
Mehdi Neureuther
Edmund Gnatz-Rogner
Ing. Jens-Peter Tschentscher
Frederik Bohlander
Malgorzata Tlustek
Zeljko Gieß
Michaele Schacht
Siegmund Schleich MBA.
Gudrun Geisler
Gitta Berger
Justus Lorch
Denny Pechel
Samir Krein B.A.
Arno Ullmann
Ernestine Stumpf
Wally Anders B.Eng.
Univ.Prof. Rafael Pruschke B.A.
Ing. Nadeschda Tschentscher B.A.
Anselm Mühle
Yusuf Seifert
Dipl.-Ing. Jose Löchel
Damian Bauer
Richard Mende-Hendriks
Emma Briemer B.Eng.
Toni Scholl-Scholl
Frau Maria Jopich
Lotti Rosemann
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Hans-Erich Staude
Luciano Aumann
Prof. Patrik Scheel
Heinz-Joachim Trupp
Mattias Sorgatz-Haase
Kathleen Hahn B.A.
Herr Muzaffer Schäfer
Wanda Stoll B.A.
Gerlinde Albers-Hörle
Sibel Weller
Prof. Mahmut Barth B.A.
Dr. Karl-Ludwig Stoll MBA.
Carola Kusch
Lena Mitschke
Ing. Muharrem Paffrath B.Sc.
Univ.Prof. Dogan Mielcarek
Dr. Hans-Willi Hertrampf MBA.
Dipl.-Ing. Slavica Mälzer
Christiane Roht
Ing. Bernfried Haering
Ing. Fredi Löffler
Gudrun Rörricht
Dimitrios Kraushaar-Adolph
Aldo Kusch-Klemm
Margitta Hethur MBA.
Cilli Röhricht
Tillmann Stolze
Gino Hartung
Iwan Butte B.Sc.
Frau Kirsten Geißler
Frau Brigitta Bohlander MBA.
Luis Ackermann
Univ.Prof. Fedor Eimer
Herr Osman Gerlach B.Sc.
Elizabeth Stahr
Univ.Prof. Friedl Peukert B.Eng.
Vassilios Birnbaum
Rotraut Bachmann
Nadja Schleich MBA.
Paula Heinz
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Amanda Weller
Janette Kraushaar
Zita Butte
Artur Briemer
Mary Reuter B.Sc.
Mariusz Stadelmann-Jähn
Eckhard Lindau B.A.
Almuth Pieper
Myriam Schäfer-Tschentscher
Tino Kensy
Thea Dippel
Dipl.-Ing. Wanda Dussen van
Boris Bachmann
Magdalene Mude
Kristiane Hermann
Dr. Leopoldine Kostolzin
Ingo Heinz
Käthi Löffler
Irmtraud Freudenberger
Nancy Hartmann-Schottin
Adelheid Schmidtke
Reinald Zahn
Aziz Hornich
Mina Beyer
Nuran Schäfer B.A.
Marek Ackermann
Sina Mende
Annamaria Margraf
Roselinde Ebert
Anneli Schleich-Ullmann
Maritta Bien
Danilo Hande MBA.
Dr. Jacqueline Trubin B.Sc.
Rafael Blümel
Lucia Hermighausen
Berndt Riehl-Bohlander
Ilonka Buchholz-Köhler
Nina Ladeck
Cordula Mangold
Abdul Klapp-Hethur
Marco Conradi
Mia Roskoth
Alwin Löffler B.A.
Helma Hänel B.A.
Dr. Maren Steckel B.Sc.
Dipl.-Ing. Ehrenfried Kranz MBA.
Tina van der Dussen
Ing. Carin Zorbach MBA.
Univ.Prof. Guido Carsten MBA.
Ing. Isabell Hartmann MBA.
Dr. Burkard Bolzmann B.A.
Ilonka Wulf
Valentin Steuer-Mans
Ing. Hanna Killer
Mara Roht
Apollonia Trüb B.A.
Alexandre Häring
Aloys Ruppert
Gilbert Bolnbach
Dipl.-Ing. Gunar Kuhl
Leokadia Oestrovsky
Dipl.-Ing. Marisa Scholl
Dipl.-Ing. Grete Stiebitz
Francisco Schmidtke-Albers
Freia Hofmann
Niko Butte-Rosenow
Hans-Henning Heydrich MBA.
Irma Atzler-Herrmann
Alfredo Bolzmann B.A.
Kornelia Kade
Wilfriede Ziegert
Gerwin Schuster
Rosa Gnatz
Massimo Dörschner
Rosa-Maria Losekann-Schulz
Frau Siegried Margraf B.Sc.
Kay-Uwe Jähn-Schwital
Hans-Hermann Hande
Balthasar Holsten
Kazim Rohleder
Dipl.-Ing. Melanie Kreusel B.A.
Dr. Heiderose Kallert B.Eng.
Matthäus Striebitz-Zirme
Jens-Uwe Geisler
Sieghard Stoll-Harloff
Elvira Mälzer
Adelgunde Wagenknecht
Ing. Rolf Gertz
Gunda Knappe
Muharrem Rosemann-Heidrich
Michaela Döhn
Valentin Klingelhöfer
Sabrina Kohl
Marija Stahr
Jörg-Peter Dowerg
Frau Hella Stumpf
Abdul Ullmann
Henner Schweitzer
Enrico Drewes
Dana Schäfer
Eugenia Sorgatz
Friedrich-Karl Eberth
Anatol Adler
Sylvie Börner
Annekatrin Trupp
Hans Jürgen Lange
Damian auch Schlauchin B.Eng.
Marc Henck B.Eng.
Gerard Scholl
Daria Stiffel
Valeska Blümel B.A.
Kenneth Köhler-Kaul
Rosita Köster B.A.
Prof. Balthasar Hecker B.Eng.
Jens-Uwe Käster
Univ.Prof. Nikolaus Sölzer B.A.
Reinhard Rogge
Filippo Patberg
Hannelore Heser-Boucsein
Dipl.-Ing. Oskar Vogt B.A.
Elfi Harloff
Athanasios Bloch
Dr. Daniel Trommler
Ing. Pamela Gerlach
Dr. Karla Christoph
Ing. Wieslaw Kobelt B.Sc.
James Kostolzin-Staude
Dr. Hedda Radisch
Ing. Tomas Fischer B.Sc.
Antonie Heser B.Sc.
Katherina Bien
Bernhardine Ruppersberger
Rainer Conradi
Dipl.-Ing. Janus Roht B.Sc.
Albert Seifert MBA.
Margrit Förster
Sandor Riehl
Muharrem Benthin
Cora Reichmann B.A.
Theres Beer
Miroslav Paffrath
Michaela Loos-Mentzel
Susan Warmer
Lili Weimer
Valerie Mangold
Univ.Prof. Vinko Tschentscher
Nadine Schleich
Valerij Schulz B.A.
Hans Misicher
Prof. Folker Trupp B.Sc.
Woldemar Bolzmann B.A.
Anni Seidel B.Eng.
Adem Hörle
Ilias Seip
Stefanie Hertrampf MBA.
Dipl.-Ing. Margaretha Köhler B.Eng.
Lukas Ditschlerin
Horst Reising
Veit Etzler
Ernest Schönland B.Eng.
Ellen Hahn-Spieß
Jonas Christoph B.Eng.
Dr. Jonas Fechner
Prof. Ingbert Nette
Hajo Jäntsch
Kristian Rosemann B.Sc.
Dipl.-Ing. Milos Klemt
Ing. Lucie Karz
Undine Eimer
Annett Sorgatz B.Eng.
Ing. Aldo Radisch
Volkmar Trub
Ann Stumpf
Joerg Fritsch-Pieper
Jasmina Rudolph
Prof. Monique Budig B.Eng.
Dr. Sükrü Hettner
Hardy Hänel B.Eng.
Burkhard Fröhlich-Dussen van
Maik Oestrovsky B.Sc.
Denny Lachmann
Malte Kallert-Möchlichen
Ing. Leszek Gutknecht B.Sc.
Heinz-Werner Briemer B.A.
Ing. Silja Heser
Karl-Georg Römer B.A.
Hans Jörg Köhler
Janina Faust MBA.
Sibylle Stey
Reinald Gerlach
Hans D. Kusch B.Sc.
Harm Nette
Adolfine Lange
Stefanie Benthin
Carolina Ditschlerin
Reimer Scheel B.Eng.
Stephen Lübs
Vinko Reuter
Aldo Förster
Jonas Mühle
Raphael Barth
Prof. Hans-H. Zimmer
Ignatz Budig
Frau Pascale Hettner B.Eng.
Univ.Prof. Luisa Scholz B.Eng.
Eckhard Weitzel
Urs Matthäi
James Kostolzin-Haase
Ing. Rico Hoffmann
Brita Jäkel
Gerwin Salz
Frau Ilka Pärtzelt B.Eng.
Leo Roskoth B.Sc.
Ivanka Gierschner-Pergande
Uli Zimmer
Herr Imre Kohl
Prof. Julia Möchlichen B.A.
Jens Drubin
Maximilian Hellwig
Margarete Linke
Liliane Steuer
Therese Rohleder
Ing. Karin Werner
Eugenie Benthin-Ziegert
Prof. Karl-Hermann Pieper B.Eng.
Valeria Mende
Lydia Losekann MBA.
Heide-Marie Zirme
Reinhard Eigenwillig
Resi Ullmann
Friedo Ritter
Prof. Torsten Geisel B.Sc.
Maike Bolnbach
Maurizio Mans-Ullmann
Prof. Wolf-Dieter Killer B.Sc.
Ludmilla Pieper
Ariane Tintzmann
Leopold Weller-Zobel
Heinrich Bohlander-Ullrich
Simon Mude
Meinrad Barkholz B.Eng.
Heinz-Otto Geisler B.Sc.
Heinz-Willi Holt
Hellmut Lindner
Angelica Lorch B.Eng.
Volkmar Mosemann
Abraham Carsten
Ing. Aldo Pechel B.Eng.
Tino Gnatz
Prof. Ada Wähner
Wolf Häring-Kallert
Gabriel Kreusel
Dipl.-Ing. Katarina Schmidtke
Valeria Bonbach
Frau Margrit Beckmann
Heiner Ruppersberger-Hentschel
Ing. Svenja Aumann
Gabi Löwer MBA.
Angelique Kruschwitz
Steven Eimer
Nick Jockel B.A.
Dr. Heinz-Georg Aumann MBA.
Victoria Binner
Ing. Galina Schenk
Marijan Huhn
Elisa Mälzer
Gabriel Roskoth
Rainer Henk-Gotthard
Dorota Mude
Frau Juliane Schulz B.Sc.
Paolo Schmidt B.A.
Susanne Etzold
Janusz Eberhardt MBA.
Elif Röhricht
Sylvana Holzapfel
Mandy Rädel
Fredi Lindner
Dipl.-Ing. Johanna Henck
Olaf Hethur
Timm Freudenberger-Henschel
Ilja Preiß
Dipl.-Ing. Marek Jockel
Frau Evelyne Süßebier B.Eng.
Hans-Bernd Eimer-Pechel
Miroslav Kohl
Univ.Prof. Siegfried Karz B.Sc.
Siegrun Reichmann
Woldemar Heinz
Gregor Knappe B.Eng.
Andrei Hertrampf-Trommler
Christin Hein B.Sc.
André Kraushaar-Henck
Univ.Prof. Halina Hamann MBA.
Vinko Kraus-Schmiedt
Ing. Nuran Schaaf
Enrico Oderwald
Annemie Margraf
Heino Lindau B.Eng.
Hans-Bernd Trubin-Klemt
Frau Trudi Wähner B.A.
Dr. Marco Scheuermann
Univ.Prof. Liliana Drub
Bernd Blümel
Marta Roht B.Sc.
Alena Holzapfel
Timm Wende
Erna Schmiedt
Janet Kade
Baldur Käster B.A.
Sybilla Hornig
Herr Ilhan Tröst B.A.
Dr. Regine Gotthard
Dino Kusch-Hiller
Veronique Löwer
Reinhold Striebitz
Gabriel Süßebier-Eigenwillig
Erwin Weimer-Bohlander
Anatoli Anders
Karl Heß
Amalia Schmidtke-Radisch
Pawel Schlosser
Univ.Prof. Anika Jockel MBA.
Deborah Beier
Eugenia Anders B.A.
Ahmad Jacobi Jäckel
Danielle Drubin
Dr. Elif Peukert B.Eng.
Alexandra Butte
Friedrich Austermühle-Döring
Antonio Margraf
Hannes Patberg
Imre Mülichen
Leonie Möchlichen MBA.
Elsa Preiß
Aynur Bohlander
Reinhold Bloch
Sara Heuser
Anka Jäkel-Ackermann
Bela Köster
Frau Jane Caspar
Nicolaus Seifert B.A.
Prof. Walter Pechel
Pirmin Reising
Vitali Walter-Krein
Karl-Hans Weinhold-Noack
Steven Käster B.Sc.
Helmtrud Atzler
Gerhart Hentschel
Ing. Melanie Hamann
Krista Junken-Hövel
Zeljko Kobelt B.Eng.
Friedlinde Mühle B.A.
Gregor Loos-Gehringer
Gunhild Nohlmans
Dr. Rotraud Gorlitz
Wera Schmidt
Franz Josef Girschner
Madlen Steinberg
Istvan Patberg-Anders
Stephen Trommler
Gundi Sager
Michel Hermighausen
Bogdan Steckel B.Eng.
Frau Evamaria Geißler
Herr Hans-Ludwig Steinberg
Saban Eimer
Georgine Schinke
Recep Hecker
Daniela Wernecke-Hölzenbecher
Ramon Jäntsch-Gertz
Hermann-Josef Loos
Diana Jessel-Geißler
Filippo Jäntsch
Rahel Hartmann
Sinaida Heinz-Gnatz
Johannes Freudenberger
Gebhard Sorgatz
Inge Kabus
Edward Hering MBA.
Maurizio Hartmann
Willfried Kostolzin
Sofia Austermühle
Celal Scheel B.A.
Burkhardt Holt
Carmelo Stiebitz
Prof. Folker Budig
Fanny Bolnbach B.Sc.
Folker Otto
Mia Paffrath-Ortmann
Dr. Mohammed Höfig
Ruben Trubin
Ekrem Pruschke-Jäkel
Marietta Heinrich
Dipl.-Ing. Tim Jäntsch B.Eng.
Daria Liebelt
Helma Schaaf B.A.
Louis Geisel
