Student
Anastasia Gunpf
Britta Nerger B.Eng.
Marlis Rogge B.Sc.
Prof. Felicitas Dörschner
Hans-Martin Kohl
Stanislav Löffler MBA.
Ing. Ahmet Häring
Andre Mülichen-Scholz
Ercan Kühnert
Sigmund Hentschel MBA.
Herr Mario Pergande
Lothar Fischer
Gebhard Sorgatz
Univ.Prof. Reginald Lorch
Guenther Schmidt
Ing. Swen Sorgatz B.Eng.
Helge Wilmsen-Hein
Nurten Henschel-Stroh
Wilfriede Ehlert
Teresa Jessel
Betty Steinberg
Ismail Geisler
Annamaria Scholtz
Irmtraud Hauffer-Matthäi
Frau Christiane Zänker B.A.
Ljiljana Henk
Hans-Otto Trubin B.Eng.
Ing. Leopold Beier B.Sc.
Anni Hänel B.Eng.
Bernt Jessel
Vitali Faust B.Eng.
Rosa Christoph-Sontag
Heinz-Gerd Söding
Paolo Meister
Willibald Gude
Dr. Rolf Walter
Hans-Martin Kambs
Marie-Luise Ring
Svea Hartung B.Eng.
Dr. Jeannine Schleich B.Sc.
Gottfried Martin-Martin
Luka Weimer-Beyer
Dr. Ruben Wernecke
Adalbert Hande B.Eng.
Lambert Gehringer
Prof. Mohammad Reinhardt
John Bauer
Larissa Käster
Anette Bien
Irmtrud Klingelhöfer
Hans Jürgen Winkler
Olav Margraf
Ingried Ullmann
Univ.Prof. Filiz Rudolph MBA.
Lissi Kohl
Hermine Franke B.Eng.
Notburga Huhn
Frau Margrit Beckmann
Elisa Steinberg
Zehra Conradi-Heinrich
Gesche Kühnert
Traude Kuhl
Sigmund Kensy
Edith Binner
Marianna Karge
Adolfine Lange
Hans-Albert Schwital
Joanna Weinhold-Förster
Herr Karl-Heinrich Eberth B.Sc.
Gaby Bähr
Jane Patberg
Herr Sylvester Jopich B.Eng.
Ing. Siglinde Bolzmann
Dipl.-Ing. Zeljko Stumpf B.A.
Anne-Katrin Butte MBA.
Curt Mühle
Ing. Valeria Kruschwitz
Reinhold Striebitz
Erdal Bähr
Dr. Burkard Bolzmann B.A.
Lisbeth Hentschel
Judith Hering B.A.
Georgine Schäfer
Traudl Gierschner
Sigrun Weinhold
Ing. Hans-Wilhelm Holt B.Sc.
Hans-J. Atzler
Hans-Uwe Noack-Fröhlich
Dipl.-Ing. Rolf Tröst B.Sc.
Rena Radisch
Dr. Wolf-Rüdiger Trüb
Ansgar Seidel
Magnus Heidrich
Hanspeter Stiffel
Herr Jonathan Hänel MBA.
Ludwina Beer
Birger Klapp
Birte Gröttner MBA.
Maximilian Pohl B.A.
Abbas Segebahn
Else Heß MBA.
Horst-Peter Faust
Elisabeth Käster
Maik Schottin
Herr Bastian Ritter B.Sc.
Beatrix Gehringer
Dipl.-Ing. Gilbert Plath B.Sc.
Hannelore Heser-Boucsein
Reza Mielcarek
Dr. Hans-Peter Adolph MBA.
Prof. Berend Käster B.A.
Hans-Henning Scheel
Dr. Gunther Jähn B.A.
Aleksandra Stey MBA.
Sarina Dobes
Emil Preiß-Hecker
Boris Bachmann
Oliver Schwital
Margot Schäfer B.Eng.
Ferenc Bolzmann-Girschner
Conny Metz
Mark Schottin B.Eng.
Meta Harloff
Engin Johann-Weihmann
Hans-Detlef auch Schlauchin-Fischer
Myriam Aumann
Ditmar Trub
Helmar Klapp
Mira Sontag
Maria-Theresia Tschentscher
Slobodan Hauffer
Fernando Neuschäfer
Ing. Heinz Ehlert
Manja Koch II-Heuser
Evelyn Stolze
Wera Schmidt
Herr Götz Süßebier
Ivo Börner
Burghard Hamann-Dippel
Herr Hartwig Henk B.A.
Dorle Rädel
Cosimo Bender
Tomislav Jopich-van der Dussen
Sylvester Neuschäfer-Schacht
Gretchen Jessel B.Sc.
Oliver Kohl
Herr Bertold Löffler
Gerwin Textor
Edmund Junck
Ing. Karl-Georg Dobes
Fatima Rörricht
Prof. Ludger Kohl MBA.
Herr Johann Kostolzin
Prof. Hans Dieter Kitzmann MBA.
Kornelius Heintze-Baum
Lioba Söding
Frau Trude Walter B.A.
Jonas Christoph B.Eng.
Elfi Harloff
Christos Ruppert B.A.
Jasmina Rädel
Resi Knappe
Wieslaw Löchel
Henni Keudel B.Sc.
Ing. Konstantin Gerlach B.A.
Martin Rose B.A.
Jelena Jüttner
Prof. Wolf-Dietrich Schweitzer MBA.
Annie Schlosser
Dietlinde Käster
Frau Reinhilde Wirth MBA.
Carina Killer
Imre Sauer
Ryszard Anders B.Sc.
Herr Franz Geisler B.A.
Isidor Heinrich
Nils Hermighausen
Olaf Juncken
Erich Klotz B.Sc.
Paula Heinz
Emanuel Holsten
Jane Reuter
Ing. Valentine Scheibe
Heinrich Ackermann
Univ.Prof. Nevenka Döhn B.Eng.
Erdal Meyer B.A.
Herr Gerolf Hermann B.Eng.
Enrico Oderwald
Karl-Peter Hering
Hanspeter Davids
Ing. Adam Klemt MBA.
Dipl.-Ing. Virginia Käster
Erdal Bruder
Baptist Radisch MBA.
Regina Hamann B.Sc.
Rudi Schacht
Herr Hendrik Fritsch B.Eng.
José Gröttner B.Sc.
Dr. Samuel Dobes B.Sc.
Herr Bastian Hübel B.A.
Univ.Prof. Antonina Becker
Sylvio Karge
Dr. Valeri Sölzer B.Sc.
Dipl.-Ing. Babette Bauer B.Sc.
Bozena Carsten B.Sc.
Hans Jörg Koch
Prof. Gerda Barkholz MBA.
Armin Scholz
Mandy Scholl-Bohnbach
Hanne Junk
Prof. Helga Hesse
Catherine Cichorius
Kathleen Hahn B.A.
Bekir Cichorius-Döring
Hansgeorg Beier-Freudenberger
Prof. Anka Schulz
Alessandro Krause
Ludwina Mohaupt
Patrizia Wirth
Univ.Prof. Hans-Theo Kroker
Zofia Roht
Roman Hauffer
Alicia Kroker
Alex Ziegert
Anica Tintzmann B.Eng.
Andre Schlosser
Herr Hans Rogge
Erica Holsten
Felicitas Biggen
Juan Klapp B.Eng.
Ekrem Zänker
Adina Finke
Univ.Prof. Paul-Gerhard Lübs MBA.
Hatice Killer-Löwer
Imke Gieß B.Sc.
Erna Schmiedt
Uli Renner
Dorina Weinhage
Sören Spieß
Peggy Rogge-Lachmann
Univ.Prof. Ricardo Sorgatz B.A.
Frau Britt Heß
Thorben Kitzmann
Hagen Weimer
Selma Girschner B.Sc.
Enrico Hellwig
Marie-Luise Rogner
Dipl.-Ing. Reimer Werner MBA.
Alfred Tröst-Stahr
Liane Fechner
Hans-Detlef Schleich
Annelene Adolph B.A.
Ing. Carmen Birnbaum
Frau Suse Zorbach
Annerose Eckbauer
Ing. Gerold Gotthard
Prof. Marika Junken B.Eng.
Zofia Schulz
Christiane Mentzel
Ilonka Rose
Klaudia Seidel
Sigurd Höfig B.Sc.
Harri Mans
Friederike Geisler
Dipl.-Ing. Franz Reising
Heinz-Joachim Stiebitz
Univ.Prof. Almuth Cichorius B.Eng.
Josefine Rosenow-Hertrampf
Almuth Rosenow-Schönland
Frau Gilda Ebert
Vincenzo Zirme
Frau Melita Huhn
Kreszenz Beier
Herr Gordon Meister
Monique Stroh
Dr. Friedbert Bauer B.Eng.
Jörg-Peter Christoph
Univ.Prof. Undine Becker MBA.
Katrin Oestrovsky-Fechner
Frau Anna Mangold B.A.
Waltrud Stroh
Nadja Häring B.Eng.
Prof. Carina Eimer
Athanasios Jacobi Jäckel
Nancy Eckbauer
Isa Koch
Gönül Barth-Zobel
Bernd Blümel
Herr Gisbert Langern
Achim Etzold MBA.
Sylvia Schenk
Emmy Trub MBA.
Nadin Radisch
Marion Weinhold-Pechel
Helfried Seifert-Schönland
Rena Rohleder
Dr. Lidwina Oestrovsky
Gabriele Stahr
Valentin Steuer-Mans
Hedi Bärer
Lydia Schenk
Mariola Gnatz
Marco Stey
Herr Gundolf Barth
Raisa Scholtz
Nikolaus Fiebig
Magdalene Patberg-Mosemann
Falk Wagenknecht B.Eng.
Univ.Prof. Gundi Koch B.A.
Univ.Prof. Jane Mans B.Eng.
Ekrem Spieß
Nikolas Ebert
Enno Jockel MBA.
Andrea Hamann
Ing. Ben Lindau MBA.
Esther Eberth-Kensy
Jenny Scholtz
Birger Becker
Lothar Birnbaum
Damian Holsten
Dipl.-Ing. Gerdi Wende
Emil Grein Groth
Henny Vogt
Francoise Dippel B.Eng.
Marieluise Schulz
Kasimir Albers-Stiebitz
Cordula Schmiedecke-Wilms
Ing. Carolin Matthäi
Francoise Rust
Herr Klaus Peter Krause B.A.
Dipl.-Ing. Helmut Hauffer
Lutz Wagenknecht-Gotthard
Dr. Semra Wagenknecht
Leo Roskoth B.Sc.
Bernward Losekann MBA.
Kenan Wulff-Plath
Tülay Scholtz
Danilo Hein-Scheibe
Ludwina Fritsch
Dr. Jochem Trapp MBA.
Danilo Ehlert
Katherina Bien
Gerard Scholl
René Hölzenbecher-Berger
Linda Kruschwitz
Franz Löwer
Dominik Jungfer
Waltraut Ernst
Frederik Bohlander
Ulla Fliegner-Sölzer
Ali Schmidt-Knappe
Heinz-Walter Roskoth-Hertrampf
Jasmina Bolzmann-Hövel
Herr Mahmoud Schleich B.Sc.
Ingried Bähr
Frau Danica Davids B.A.
Prof. Patrik Scheel
Erhardt Heidrich
Renate Franke B.A.
Univ.Prof. Margitta Wagenknecht B.Eng.
Frau Hildegund Vogt B.A.
Elise Heinz
Helga Hövel MBA.
Dipl.-Ing. Wenzel Hellwig B.Sc.
Ing. Kornelius Geisel B.Sc.
Danilo Hande MBA.
Roger Wagenknecht
Hans-Rainer Rogner
Liane Hermann MBA.
Gerd Becker
Dr. Mechthilde Hellwig
Ilija Höfig
Ing. Celal Textor
Hubertine Krein
Ingmar Beckmann
Nicolaus Seifert
Balthasar Holsten
Anthony Oderwald
Franz-Josef Kohl
Hanne Gierschner
Frau Cynthia Bähr B.Sc.
Rosita Köster B.A.
Luise Junk
Heinrich Dippel
Mariusz Baum
Sören Liebelt
Jörgen Putz B.A.
Dörte Warmer
Univ.Prof. Rotraut Juncken B.A.
Harro Gunpf
Kilian Patberg
Helena Hettner
Dr. Fedor Plath B.Sc.
Cindy Meyer
Stavros Hoffmann
Dipl.-Ing. Margarita Stey
Dipl.-Ing. Götz Bloch
Klaudia Löffler-Zorbach
Univ.Prof. Jacqueline Faust
Frederik Rust
Evangelia Schlosser-Boucsein
Annelene Zänker
Jessica Kohl
Rico Putz-Killer
Heinz-Otto Geisler B.Sc.
Univ.Prof. Oscar Lindau MBA.
Joachim Süßebier
Lars Ullrich
Gabriel Roskoth
Gislinde Klapp B.Sc.
Serge Kade
Fabienne Birnbaum
Gunhild Nohlmans
Simon Mude
Univ.Prof. Siegrun Klingelhöfer MBA.
Hedda Baum
Berta Hörle-Börner
Univ.Prof. Guido Carsten MBA.
Herr Yusuf Kabus B.A.
Arif Killer
Burckhard Mende
Sibylla Klingelhöfer B.Sc.
Dierk Dörr
Hildburg Dowerg-Pergande
Herr Osman Gerlach B.Sc.
Yasmin Reising
Kata Gierschner
Ing. Rose-Marie Hölzenbecher
Katerina Drubin
Theo Trubin
Jeannette Heuser
Ute Stroh
Frau Ina Schwital B.Sc.
Änne Tlustek-Freudenberger
Jost Gröttner-Mülichen
Jana Wulf MBA.
Frauke Dörschner
Univ.Prof. Birger Weihmann MBA.
Prof. Horst Mälzer B.Sc.
Gina Stumpf
Leni Wohlgemut-Ruppersberger
Eugenia Anders B.A.
Hans-Willi Ladeck
Madeleine Thanel MBA.
Ing. Aldo Radisch
Univ.Prof. Arno Kramer B.Eng.
Leokadia Putz
Dipl.-Ing. Ingolf Krein
Brian van der Dussen
Edward Dippel
Viviane Girschner
Gerta Kallert-auch Schlauchin
Christl Eigenwillig
Jonas Boucsein
Univ.Prof. Gusti Schlosser
Univ.Prof. Ioannis Lübs B.Eng.
Miguel Lehmann
Giuseppe Stahr
Ahmet Eckbauer-Sölzer
Laurenz Ritter
Dr. Anatoli Bonbach
Roland Putz
Dipl.-Ing. Alf Graf
Dajana Gehringer
Hanni Dippel-Heser
Marko Trupp
Rico Cichorius
Phillip Rosemann-Bachmann
Halil Warmer B.Sc.
Birgid Drewes-Seifert
Ing. Herwig Drub MBA.
Univ.Prof. Ditmar Mitschke B.A.
Zenta Mende
Prof. Hubert Heß
Henning Fechner
Oscar Junitz
Jens Trub
Helmuth Jäntsch
Reinhold Schönland
Anna-Luise Eckbauer
Marisa Hartmann-Kusch
Ingried Ullrich
Kenneth Kramer
Univ.Prof. Nikola Graf MBA.
Dipl.-Ing. Mariola Lange B.Sc.
Slavica Koch
Philippe Wähner
Veronika Gröttner
Slawomir Bohnbach
Ernestine Tröst
Luis Oderwald
Gundel Dietz
Jutta Franke-Rosenow
Wencke Salz
Anatolij Kroker B.Eng.
Wulf Steckel-Lachmann
Vitali Junken
Jolanta Kühnert
Dorina Dowerg
Univ.Prof. Woldemar Walter
Prof. Alexei Krebs
Ing. Cynthia Weihmann B.Eng.
Prof. Bela Noack
Gabriel Kreusel
Gudrun Geisler
Ole Schmidtke
Aldo Förster
Prof. Ingeborg Noack
Anneliese Wähner
Dipl.-Ing. Laila Scheuermann B.Sc.
Gerard Förster
Dipl.-Ing. Kevin Stadelmann
Arif Pergande-Wagenknecht
Stefano Huhn
Georgia Trub
Heinz-Werner Briemer B.A.
Almut Rogge
Zoltan Preiß B.Eng.
Annegrete Jäkel
Catrin Hamann
Jörn Trupp MBA.
Kreszenz Drubin
Gerta Klemt
Felicitas Kensy-Stey
Pirmin Reising
Yvonne Kroker
Univ.Prof. Heidrun Hiller
Dipl.-Ing. Wilfried Ortmann
Alwine Sager
Ing. Ayse Mangold MBA.
Zbigniew Hahn MBA.
Ralf-Dieter Riehl B.Eng.
André Röhrdanz B.A.
Gilbert Bolnbach
Elias Gierschner
Nathalie Lehmann
Anneli Heintze
Karl Heinz Stiebitz
Kunigunda Reising
Ing. Klaus-Dieter Karge MBA.
Andrea Ziegert
Reni Henk
Roman Jäntsch
Prof. Sandy Butte
Flora Gotthard
Frau Käthi Hamann B.Eng.
Heinz Dieter Zirme
Klaus-Dieter Wende
Dipl.-Ing. Maik Mende B.Sc.
Esther Ehlert
Ulf Dörschner
Dipl.-Ing. Matteo Baum
Marie-Luise Staude-Käster
Viktoria Trub-Budig
Ilonka Buchholz-Köhler
Ing. Gundi Boucsein B.Sc.
Arno Lindner
Ing. Arthur Schwital B.Eng.
Univ.Prof. Inga Hermighausen B.Eng.
Käte Ditschlerin-Roht
Anja Meyer B.A.
Annegret Atzler
Heinz-Gerd Gorlitz B.Eng.
Eckehard Wernecke
Dipl.-Ing. Burckhard Jäntsch
Emilia Scheel
Wenke Stolze
Hülya Scheibe
Kristina Wernecke
Univ.Prof. Diethard Klotz
Agnes Tröst
Marie Hoffmann B.Sc.
Klaus-Michael Mälzer
Arnold Oderwald
Mareike Lübs
Sebastian Karge
Damaris Zirme
Mina Segebahn B.A.
Dr. Leila Gunpf B.Sc.
Justina Neureuther
Rosa Pieper B.Eng.
Univ.Prof. Siegfried Karz B.Sc.
Herr Ilja Kroker
Mehmet Sauer
Herr Wolfhard Hövel
Annegrete Pergande
Czeslaw Jacob B.Eng.
Antonino Rogge-Meyer
Wilhelm Tlustek
Volker Süßebier-Staude
Karl Heß
Dipl.-Ing. Eberhardt Fechner
Univ.Prof. Anika Jockel MBA.
Irmgard Hövel
Mirko Bolander
Ismail Junck-Trommler
Sergej Hauffer MBA.
Univ.Prof. Claus-Dieter Dippel B.Eng.
Anton Gute
Caren Neureuther
Manja Stadelmann
Justine Kade
Adele Weimer B.Eng.
Hans Jürgen Grein Groth-Rudolph
Prof. Irmela Klemt B.Eng.
Rosalia Johann
Marianne Ziegert-Werner
Karl-Dieter Thies
Erwin Jopich
Grzegorz Mende B.A.
Siegmar Pergande B.Eng.
Frau Kirsten Geißler
Frau Stefani Hendriks B.A.
Hans Georg Niemeier
Kay-Uwe Mühle
Dr. Leonie Köster
Rolf-Peter Staude
Prof. Gundula Dörr B.Sc.
Ben Ullmann MBA.
Marina Hofmann
Dipl.-Ing. Wolfram Johann B.Eng.
Prof. Siegrun Langern
Maurizio Eckbauer
Ing. Adalbert Heser
Dr. Hans-Willi Hertrampf MBA.
Prof. Goran Sölzer MBA.
Liane Kambs
Gerda Gröttner B.Sc.
Iris Mans
Kristiane Hermann
Adriane Wende
Dipl.-Ing. Anneliese Kühnert
Herr Ekkehart Sorgatz
Valeria Bonbach
Ottomar Hermann
Kirstin Kusch-Meister
Lara Stroh
Urs Ebert
Klaus-Peter Häring
Lambert Röhricht-Johann
Reinhard Beckmann
Waltraud Trapp-Pechel
Dominik Naser B.A.
Horst-Dieter Gude
Herr Erich Rosenow
Gunhild Meister
Karl-Hans Schuchhardt-Mohaupt
Rupert Kallert
Dagobert Rogge
Grit Röhricht-Rosemann
Dietrich Kruschwitz
Nadine Schleich
Friedo Lorch
Frau Heidelore Gehringer
Gordon Lehmann
Roderich Weitzel
Dr. Alberto Kabus B.Sc.
Annelore Juncken
Jens-Peter Heinrich
Alfredo Oestrovsky
Änne Schweitzer-Putz
Hellmuth Hörle
Dipl.-Ing. Katarina Schmidtke
Karen Rädel
Irmhild Lorch
Mirko Ehlert
Kornelia Bachmann
Dittmar Graf
Mareen Mies B.Eng.
Katalin Butte
Gebhard Eberth B.Eng.
Cecilia Eigenwillig
Lambert Wilmsen
Dr. Frithjof Weinhage MBA.
Jan Freudenberger
Dina Rose
Dr. Trude Girschner
André Kroker
Raphael Höfig
Frieder Austermühle
Kornelius Fröhlich B.Sc.
Caroline Linke
Hiltraud Klemm-Pärtzelt
Ljudmila Krebs
Konstanze Zänker MBA.
Karl-Wilhelm Anders-Gude
Suzanne Holzapfel
Frau Melita Scholz B.A.
Timo Siering-Hübel
Andre Metz B.A.
Siegmar Kramer
Polina Kostolzin
Dipl.-Ing. Theobald Knappe B.Eng.
Dipl.-Ing. Ismet Käster B.Eng.
Gülten Peukert
Univ.Prof. Gottlieb Steuer B.A.
Cemal Hamann
Hansjürgen Weitzel
Dipl.-Ing. Henrike Hörle B.A.
Friedemann Klingelhöfer
Prof. Luzie Killer B.Sc.
Lukas Zirme
Maxim Roht
Dietmar Lindau
Ewald Hethur
Roger Gunpf-Paffrath
Silke Biggen MBA.
Cathrin Weitzel MBA.
Tomislav Girschner
Geraldine Gutknecht
Ekrem Hornich
Franca Mentzel
Nora Dehmel B.Eng.
Gislinde Lehmann
Dietlind Albers
Friedericke Roht
Mandy Loos
Oliver Biggen
Leonardo Vogt
Rahel Dörschner
Karl-August Liebelt-Köhler
Maurizio Hermann
Therese Neureuther
Sigurd Lange-Seifert
Ing. Eleonora Holzapfel
Ralf-Peter Schacht
Herwig Krebs
Dr. Auguste Sager
John Roskoth-Rädel
Dipl.-Ing. Kriemhild Löchel
Univ.Prof. Fedor Eimer
Prof. Ines Kuhl
Friedrich-Karl Jopich B.Eng.
Adelheid Salz
Herr Rupert Jüttner MBA.
Margret Dehmel
Olav Gumprich-Täsche
Dr. Nadeschda Wulf
Wojciech Rogner
Dr. Zeki Eberth
Wally Wähner
Saskia Heidrich
Cornelia Schinke
Univ.Prof. Clara Heidrich B.Sc.
Käthi Naser-Tlustek
Angelique Wesack B.Eng.
Wolfhard Fiebig
Marie Sorgatz MBA.
Hendrik Bolzmann-Henschel
Ing. Hüseyin Gutknecht B.Sc.
Daniela van der Dussen B.Eng.
Linus Lübs
Univ.Prof. Dorle Röhrdanz B.A.
Frau Lilli Möchlichen MBA.
Zbigniew Höfig B.Eng.
Hedwig Briemer
Univ.Prof. Pius Kühnert
Dagobert Sorgatz
Joana Mielcarek B.A.
Ing. Ivo Weinhold
Milos Biggen
Telse Steuer B.Eng.
Dipl.-Ing. Janus Roht B.Sc.
Univ.Prof. Annegrete Holt
Trudi Radisch
Jasmina Cichorius-Barth
Univ.Prof. Valeria Putz
Prof. Dorit Käster B.Sc.
Hannchen Löwer B.Eng.
Dipl.-Ing. Melanie Kreusel B.A.
Regina Reuter
Andrew Schlosser
Frank-Michael Löwer-Ring
Gitta Hübel
Hertha Gutknecht
Dierk Gunpf B.A.
Dr. Ibrahim Dobes B.Eng.
Herbert Budig
Eitel Ernst
Madlen Salz
Kristiane Zahn
Univ.Prof. Herta Zänker
Hasso Mans-Buchholz
Cathleen Gude
Irene Gotthard-Hoffmann
Hans-Theo Thies
Aurelia Mude
Bodo Kranz-Striebitz
Rebecca Börner
Dietlinde Schönland
Ernestine Stumpf
Eckard Textor
Hans-Georg Scholz
Prof. Romy Bohnbach
Albrecht Caspar
Gerd Süßebier
Justine Dippel-Rosemann
Gabi Meister
Annelore Täsche
Karla Gunpf
Zeljko Baum
Gregor Jungfer
Gaetano Lübs
Helma Zorbach
Felicia Flantz-Lehmann
Clarissa Wieloch
Calogero Wende
Isolde Seifert
Hans-Gerhard Döhn
Helen Tschentscher
Wenke Neureuther-Hermighausen
Helmuth Langern-Steinberg
Karl Heinz Hörle
Guenther Metz
Karl-Heinrich Karz
Dipl.-Ing. Halina Bender B.A.
Prof. Ana Textor
Tibor Köhler-Schönland
Kai-Uwe Rogner
Zbigniew Schleich-Huhn
Urban Klemt
Lena Mitschke
Concetta Seifert
Birgitta Loos
Kerstin Niemeier
Apostolos Kreusel-Noack
Arndt Wernecke-Gertz
Hans-Eberhard Blümel
Elfi Roht
Cordula Hornig
