Student
Dana Löwer MBA.
Dipl.-Ing. Jan-Peter Mende MBA.
Carmelo Klapp-Berger
Ruth Barkholz-Koch II
Antonios Zimmer
Gabriele Käster
Ing. Margot Bonbach B.Eng.
Dr. Uli Segebahn
Heinz-Günter Hesse
Selma Fritsch B.Eng.
Willy Weiß
Gundula Klotz
Tanja Plath
Janina Seifert
Univ.Prof. Viktoria Seifert
Birgid Freudenberger
Jens Trub
Regine Wende B.A.
Ing. Frederic Christoph B.Eng.
Urszula Trapp
Univ.Prof. Ingelore Schulz MBA.
Herr Gundolf Barth
Elly Hande
Frieda Gröttner
Meike Trupp
André Segebahn
Dipl.-Ing. Georgine Adolph B.Eng.
Ing. Tilman Kitzmann
Catrin Ziegert-Meyer
Theresia Paffrath
Petar Bauer
Heribert Kensy
Karl-Otto Putz
Dietlind Anders B.A.
Senol Harloff-Lindau
Valentin Döring
Konstantin Knappe
Josephine Rogge
Imke Austermühle-Löwer
Franca Harloff-Döring
Reinhart Becker
Inge Paffrath
Rosita Möchlichen-Stumpf
Fredi Jäntsch
Evamaria Berger
Willibald Gude
Prof. Bianka Reinhardt
Zbigniew Schleich-Huhn
Dr. Gerard Reichmann MBA.
Hilmar Ziegert
Katherina Klapp
Dana Ebert B.A.
Klemens Förster
Jasmina Zorbach
Stanislav Reuter
Berend Gertz B.Eng.
Mohammed Ritter
Mariusz Hartung
Nurettin Mans-Klemt
Cecilia Killer
Cornelia Gehringer
Dr. Heide Jockel B.Sc.
Dipl.-Ing. Lioba Plath
Dr. Lilija Dowerg MBA.
Raphael Höfig
Ing. Nils Pergande B.A.
Oda Berger
Gerhild Beyer
Prof. Bela Noack
Hendrik Herrmann
Catherine Cichorius
Wenzel Wilmsen
Agatha Kostolzin
Marietta Geißler
Roman Jäntsch
Gotthard Scheuermann
Danica Atzler
Prof. Wilma Mangold
Edelbert Stey-Scholz
Dipl.-Ing. Emmy Börner
Hans-Bernd Trupp
Gregor Buchholz
Dr. Sonia Hornich B.Eng.
Ottmar Beier
Severin Mende B.A.
Gisa Hornig-Geißler
Timm Oderwald
Mara Roht
Luise Junk
Univ.Prof. Immo Mangold
Karoline Carsten
Adelinde Putz
Rotraut Bachmann
Adelheid Schinke
Carmela Lindau
Evi Grein Groth
Steven Weinhold B.A.
Joanna Christoph
Malgorzata Pieper
Klaus-Dieter Knappe
Centa Bohlander-Stiebitz
Othmar Hölzenbecher
Herr Swen Kraushaar B.A.
Dorle Knappe
Gert Naser
Deborah Becker
Elwira Pölitz B.Sc.
Danilo Ehlert
Freia Hamann
Ignaz Stoll
Herrmann Holt-Lindner
Heiner Pieper
Prof. Ulla Dussen van B.Sc.
Dr. Agathe Jähn B.A.
Herr Aleksandr Wiek B.Sc.
Ing. Ralf Sölzer B.A.
Dr. Arzu Martin B.Eng.
Dr. Ute Schuchhardt
Karlfried Müller
Dominic Möchlichen
Prof. Sergei Heser
Dr. Peggy Beyer B.Sc.
Olaf Wesack
Berta Hörle-Börner
Anneliese Trub
Clemens Kabus
Dr. Zeki Eberth
Elsa Sontag
Ing. Hans-Heinrich Reichmann B.Sc.
Ilonka Zimmer
Heinz-Josef Jähn MBA.
Pero Scheuermann
Herr Darius Heuser
Univ.Prof. Natalie Noack MBA.
Herr Frank-Peter Jopich
Dipl.-Ing. Traudel Eigenwillig
Henning Scholl
Eberhard Pechel
Marten Wesack
Prof. Guiseppe Gröttner B.Sc.
Iwan Schleich
Leif Wulff
Prof. Heide Krebs
Stephen Trommler
Frau Corinna Wähner
Janet Jüttner
Mariele Bolander
Dr. Almut Peukert MBA.
Tony Wende
Elizabeth Vollbrecht
Birte Jüttner
Alfred Tröst-Stahr
Univ.Prof. Polina Schmidt B.Eng.
Heinz-Joachim Trüb B.Sc.
Gaetano Lübs
Tino Gnatz
Catrin Weller
Luigi Junitz
Lars Weller
Dr. Gaby Sontag MBA.
Ellen Vogt
Gundi Hiller
Dipl.-Ing. John Ortmann MBA.
Annie Gnatz B.A.
Emil Preiß-Hecker
Dipl.-Ing. Robert Köhler
Hans-Henning Scheel
Daniela Weimer
Brigitte Zirme B.Sc.
Ivana Eimer
Hans-Bernd Kabus
Univ.Prof. Hans-Rudolf Wohlgemut
Prof. Ildiko Adler MBA.
Irina Mielcarek
Prof. Ada Wähner
Dr. Gabriel Freudenberger MBA.
Ing. Meik Eberhardt B.A.
Vadim Bender B.A.
Dr. Tim Hornig B.Sc.
Ingo Löffler
Fatima Röhrdanz
Margarete Linke
Raymond Löchel-Ziegert
Änne Ring MBA.
Univ.Prof. Helmut Junitz B.Eng.
Elenore Hofmann-Aumann
José Tschentscher-Textor
Wulf Steckel-Lachmann
Hans-Ulrich Dussen van
Helen Hahn
Ekaterina Liebelt
Ing. Leopold Hoffmann
Lisette Mühle
Dr. Gabriela Geißler
Hans-J. Atzler
Yvonne Kroker
Kristin Niemeier
Danilo Hande MBA.
Paul Hettner
Dr. Zeljko Pruschke
Heinz-Joachim Trupp
Ignatz Franke
Erna Kensy-Bähr
Frau Siegried Margraf B.Sc.
Helga Mosemann-Hecker
Herr Hans-Detlef Grein Groth
Lore Margraf
Dorle Schmidtke MBA.
Leonard Kostolzin
Salvatore Eberhardt-Ring
Sandro Täsche
Valeria Mende
Heinz-Günter Boucsein
Orhan Hecker-Heuser
Stilla Hornig B.A.
Edeltraud Kaul
Elisabet Schuster B.A.
Prof. Wolfgang Mohaupt
Nada Hänel
Susan Warmer
Univ.Prof. Fredi Hölzenbecher
Claus Butte
Remo Reinhardt
Carmelo Weinhold
Emanuel Schinke B.Sc.
Dragan Trub
Aribert Herrmann
Dr. Meinhard Hiller
Herr Gerolf Hermann B.Eng.
Dr. Auguste Sager
Prof. Hans-Hinrich Schmidt
Juan Klapp B.Eng.
Aleksej Kühnert B.A.
Vassilios Kuhl B.Sc.
Gülten Peukert
Harriet Ullmann
Herr Yilmaz Vollbrecht B.Eng.
Peter-Michael Kostolzin
Phillip Hermann
Saskia Wagenknecht
Katharine Mohaupt-Heuser
Ing. Wolf-Rüdiger Weihmann B.Eng.
Dajana Ruppert
Elizabeth Schlosser B.A.
Edmund Caspar B.Sc.
Herr Anton Mohaupt B.A.
Fritz Nerger
Resi Margraf
Hans-Gerhard Döhn
Ing. Wilhelmine Adler B.Sc.
Larissa Ullmann
Dietrich Adolph MBA.
Dr. Annelene Hamann
Rosita Peukert-Scheibe
Isabel Rose
Herr Jörgen Kruschwitz
Ing. Carolin Faust B.A.
Evi Heuser
Dipl.-Ing. Zeljko Stumpf B.A.
Urszula Rudolph
Ing. Hüseyin Gutknecht B.Sc.
Elfie Preiß
Conny Geißler-Karge
Zlatko Kraus
Udo Grein Groth
Daniele Hering
Thea Dippel
Herr Dimitri Mohaupt B.A.
Dr. Lieselotte Blümel B.A.
Jo Dussen van
Univ.Prof. Jeannette Schleich B.Sc.
Gitta Mohaupt
Niklas Trubin
Anne-Rose Klapp-Jockel
Klaus-Michael Fiebig
Ludwina Beer
Gerold Jacob
Hugo Keudel B.A.
Frau Conny Klemt
Tibor Briemer
Ing. Willi Warmer B.Eng.
Hans-Bernd Knappe-Gröttner
Slavko Fliegner B.Sc.
Harro Trapp B.Eng.
Nermin Kranz-Austermühle
Dorina Dippel
Ing. Jonas Schaaf
Sören Etzler
Dr. Thekla Lindau B.Sc.
Prof. Volkmar Heuser
Dogan Bolander
Gertraud Tröst
Marina Hofmann
Janko Rose
Frau Franziska Trupp B.Sc.
Cecilia Eigenwillig
Sigurd Höfig B.Sc.
Simone Harloff B.Eng.
Herr Hellmuth Birnbaum B.A.
Birgid Drewes-Seifert
Woldemar Heinz
Herr Dursun Hentschel B.Eng.
Benita Heser
Wally Bien-Kraushaar
Clara Stroh
Rosmarie Ullmann
Prof. Ruthild Nette B.A.
Dorina Weinhold
Prof. Miguel Dowerg B.A.
Evangelia Gierschner
Ing. Louis Eckbauer B.Eng.
Dipl.-Ing. Svea Neureuther
Oxana Lübs
Leonhard Adolph
Leonardo Klingelhöfer B.Sc.
Marlies Beckmann
Emanuel Kitzmann
John Bauer
Filippo Jäntsch
Ing. Alwine Scholz
Frau Ariane Weinhage MBA.
Ursula Löffler
Univ.Prof. Anatoli Ritter
Valerij Schulz B.A.
Dipl.-Ing. Theobald Knappe B.Eng.
Edit Rädel
Prof. Gesine Lange
Dr. Hans-Detlef Lindau B.Eng.
Ingetraut Jopich
Moritz Roht
Saskia Kallert
Amalie Gotthard
Ing. Friedhelm Löchel B.Eng.
Siegrid Hande
Edgar Karge
Ivanka Gierschner-Pergande
Dipl.-Ing. Rabea Sorgatz MBA.
Dorothee Renner
Joana Wähner
Fatima Weinhage-Boucsein
Anja Meyer B.A.
Annelene Adolph B.A.
Erdal Bähr
Juan Fechner
Dr. Frithjof Weinhage MBA.
Isidor Zobel-Ritter
Cord Tröst
Adelinde Geisler
Dr. Franco Stumpf B.Eng.
Karlfried Karge-Wieloch
Univ.Prof. Jann Schleich
Marie Hoffmann B.Sc.
Herr Günther Krein MBA.
Dr. Gerda Butte MBA.
Alexei Meister
Dr. Jasmina Ruppert
Saban Etzler B.Eng.
Carola Franke
Dr. Mohammed Höfig
Reni Henk
Danny Mälzer
Adelgunde Beer
Jerzy Mende-Wagenknecht
Univ.Prof. Dolores Rust
Kunigunda Fischer
Dipl.-Ing. Gertraut Stolze
Adelgunde Thanel
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Ria Walter
Margarethe Steckel
Prof. Mahmut Barth B.A.
Anatolij Peukert
Dipl.-Ing. Leo Sager
Christina Schlosser
Herr Hermann-Josef Lehmann B.A.
Hansjörg Holsten
Rosa-Maria Reising
Zbigniew Boucsein
Mark Sauer B.A.
Janin Haase
Lucie Trüb-Schmiedt
Univ.Prof. Adelbert Zimmer
Dipl.-Ing. Gabi Scholtz
Amanda Heinz
Arnulf Säuberlich
Gisa Mohaupt
Univ.Prof. Josefine Lindau
Henryk Textor-Gröttner
Kunigunde Ziegert
Univ.Prof. Erna Köhler B.A.
Ing. Jens Henck B.Eng.
Tomislav Girschner
Anka Rohleder
Cindy Rogge-Dippel
Hans-Dieter Scholl
Linda Ziegert-Junken
Dorit Zimmer-Krein
Prof. Reimar Reinhardt MBA.
Frau Dorothe Mielcarek
Emin van der Dussen
Joana Mielcarek B.A.
Utz Staude
Dipl.-Ing. Hanns Nette
Dr. Ehrhard Gieß B.Sc.
Bruno Martin-Kaul
Ing. Lucie Karz
Ing. Gerti Franke
Marcel Oestrovsky
Eberhard Dobes
Ing. Konstanze Geisel
Iris Kraushaar B.Sc.
Kay-Uwe Dippel
Herr Recep Junk B.A.
Heimo Huhn B.A.
Ing. Dagmar Bohnbach B.Eng.
Joerg Zimmer-Kusch
Marit Söding
Yasmin Wiek
Franz-Xaver Scholtz
Erkan Trub
Ing. Isolde Rosenow
Univ.Prof. Anna-Luise Faust
Ing. Stella Wagner
Ernst-August Oestrovsky-Kreusel
Helmut Renner
Gaetano Köhler
Dorota Wilms
Frau Wenke Riehl
Anna-Lena Sontag-Köhler
Angelo Röhrdanz
Corinna Täsche B.A.
Iris Mans
Desiree Gierschner B.Eng.
Dr. Luciano Ortmann
Karina Tschentscher-Butte
Jorge Weitzel
Univ.Prof. Herlinde Klotz
Friedericke Käster B.A.
Ernst-August Gunpf
Hans-Martin Junk-Kuhl
Kreszentia Jockel
Prof. Lotti Löffler
Harriet Rohleder
Prof. Lilly Schmidtke
Vinko Reuter
Dolores Atzler B.A.
Gitta Berger
Franka Mitschke B.Sc.
Regina Wende
Marie-Luise Staude-Käster
Rolf-Dieter Jacobi Jäckel-Nerger
Frau Ina Schwital B.Sc.
Lidwina Jockel
Reza Mielcarek
Beatrix Möchlichen
Frau Heidelore Gehringer
Kunigunda Zimmer
Jolanta Nohlmans-Tschentscher
Mato Trubin
Karl-Ludwig Bolnbach
Dr. Theodor Sager
Frau Gülay Rogner B.A.
Emilia Wagenknecht-Riehl
Gerhart Davids B.A.
Celal Pohl
Maurizio Hermann
Hans Josef Reinhardt B.A.
Ludmila Löffler
Ing. Czeslaw Geisel
Dipl.-Ing. Gerdi Wende
Silvia Henschel
Marie-Louise Wulff
Hans-Wilhelm Weller
Sina Spieß
Kai-Uwe Schäfer
Univ.Prof. Nicole Höfig B.Sc.
Ilonka Kohl
Peer Grein Groth-Lange
Ivana Nerger
Abraham Carsten
Ivo Wesack B.Sc.
Ing. Dorothe Junken
Prof. Irmhild Fritsch
Auguste Gunpf
Lore Tröst
Dipl.-Ing. Jerzy Stolze B.Sc.
Univ.Prof. Ioannis Lübs B.Eng.
Frau Pascale Hettner B.Eng.
Gislinde Müller
Irmingard Meyer MBA.
Heinz-Joachim Kobelt
Jadwiga Gierschner-Schulz
Ing. Wieslaw Kobelt B.Sc.
Ivo Lorch
Balthasar Klemm
Gebhard Sorgatz
Prof. Marius Herrmann
Dipl.-Ing. Maik Mende B.Sc.
Gabriele Schmidt
Prof. Trude Schäfer MBA.
Edda Henschel
Brit Lindner
Wilma Paffrath
Jonathan Schottin-Naser
Dr. Jonas Fechner
Tina Henschel
Knud Trommler
Karen Rädel
Kai-Uwe Mitschke
Petra Wagner
Prof. Annita Putz
Helene Kuhl-Austermühle
Lisbeth Hentschel
Herwig Jäntsch B.Sc.
Univ.Prof. Reinhilde Cichorius B.A.
Frau Rosalinde Riehl
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Dr. Erkan Stroh
Annamaria Baum MBA.
Eitel Hethur
Änne Boucsein B.Sc.
Prof. Ignaz Cichorius
Gerhild Löffler
Edeltraut Anders-Rohleder
Reza Kusch
Francoise Freudenberger-Stey
Horst-Peter Faust
Heinz-Wilhelm Säuberlich MBA.
Carin Rohleder
Grzegorz Mende B.A.
Ralf-Dieter Sauer-Hermighausen
Ortrun Krebs
Birgid Schüler
Vladimir Patberg-Weller
Ing. Edeltraud Zirme
Hubertus Dörschner
Marie Henk B.Sc.
Kathleen Hahn B.A.
Ryszard Anders B.Sc.
Agnes Tröst
Denis Etzold
Willibald Boucsein B.Sc.
Jana Wulf MBA.
Carmine Schacht
Dr. Aziz Adolph MBA.
Dipl.-Ing. Slobodan Sölzer
Dipl.-Ing. Magrit Junck
Teresa Schönland
Heinz-Gerd Söding
Catherine Huhn
Dipl.-Ing. Ildiko Löffler B.A.
Prof. Wolf-Dieter Killer B.Sc.
Norman Ditschlerin MBA.
Siegfried Knappe
Julius Liebelt
Abram Eckbauer B.A.
Kläre Mohaupt-Salz
Notburga Heuser
Imelda Schäfer
Herr Thorsten Hartmann B.Eng.
Sandy Zimmer
Larissa Käster
Zeljko Gieß
Sami Mitschke
Muzaffer Sorgatz
Abram Vogt MBA.
Klaus-Ulrich Gude
Annekatrin Neureuther
Anne-Marie Sontag
Dipl.-Ing. Josip Mies
Ilija Rosenow
Martina Keudel
Dr. Natascha Trüb
Ivanka Rogge
Michaele Klotz B.Eng.
Bernhardine Wilmsen
Stjepan Wesack-Winkler
Anny Zirme
Micha Albers-Wilms
Bayram Cichorius-Zobel
Werner Heydrich-Schmidtke
Hendrik Bolzmann-Henschel
Dr. Jens-Uwe Ruppert
Constantin Kostolzin
Ing. Liesa Zirme
Siegward Hertrampf
Gerti Ullrich
Ditmar Trub
Serge Kraus B.Eng.
Nina Müller B.Eng.
Urszula Fliegner
Carolin Siering
Arzu Kuhl
Marc Heintze B.A.
Ing. Svenja Aumann
Sylvester Zirme
Roswita Gumprich-Butte
Bertha Gotthard
Conny Metz
Dipl.-Ing. Klaus-D. Kostolzin
Reimund Eimer
Gesa Keudel-Bauer
Dipl.-Ing. Milica Hofmann B.A.
Ing. Herwig Drub MBA.
Janko Neureuther
Miroslawa Haase
Prof. Guenter Mosemann
Karl Heinz Eigenwillig
Hanns Stiffel
Adriane Wende
Andreas Trapp
Dörthe Roht
Ilonka Wulf
Hans-Hinrich Bohlander
Miroslawa Jessel B.Sc.
Grit Karz
Rosalinde Killer
Gabriella Rädel
Lutz Wagenknecht-Gotthard
Prof. Kathy Warmer MBA.
Dr. Anny Kallert
Rosi Spieß
Hedy Rudolph MBA.
Prof. Hans-H. Zimmer
Catrin Caspar
Stjepan Schmidtke
Traute Fröhlich
Ingmar Beckmann
Dietlinde Schönland
Eveline Kruschwitz B.Sc.
Ingetraut Köster
Evangelia Röhricht
Ellinor Kraus
Univ.Prof. Henryk Kostolzin
Victoria Hornig
Jadwiga Gotthard
Dajana Ring
Grete Biggen-Kostolzin
Fatma Hein
Janusz Eberhardt MBA.
Amalia Schmidtke-Radisch
Olivia Mies
Dipl.-Ing. Marc Stroh
Dr. Eleni Heser
Ralph Hellwig-Lachmann
Ing. Anneliese Döring
Tülay Fiebig
Swantje Heinz
Univ.Prof. Milan Hande
Justus Aumann
Sinaida Roskoth B.A.
Ing. Hans Jürgen Häring
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Diethard Gude
Gertrud Ditschlerin
Felicia Binner
Hartmuth Gude B.Eng.
Hans-J. Trapp-Koch II
Julia Mosemann
Myriam Schäfer-Tschentscher
Jurij Eimer
Leo Roskoth B.Sc.
Patricia Schäfer
Raphaela Eckbauer
Anna-Luise Kraushaar
Univ.Prof. Harro Weller
Rolf-Peter Staude
Wibke Pärtzelt-Wieloch
Dr. Ingelore Winkler
Univ.Prof. Philippe Thies B.Eng.
Leopoldine Butte
Mariusz Baum
Univ.Prof. Gundel Atzler B.Eng.
Iwan Wilmsen-Weihmann
Hans-Herbert Eckbauer
Adelbert Austermühle
Dr. Friedbert Bauer B.Eng.
Helfried Langern
Carina Kusch
Antonietta Lindner MBA.
Herr Mike Schuchhardt B.A.
Abdul Klapp-Hethur
Emilie Kallert-Zorbach
Anke Hettner
Dipl.-Ing. Nathalie Radisch
Gero Schomber
Prof. Karl-Heinz Ruppersberger
August Weihmann
Mercedes Christoph
Jonas Budig
Traudl Röhrdanz-Spieß
Gisela Carsten B.Sc.
Marianna Geisler
Dana Schäfer
Kreszenz Beier
Adina Mitschke
Univ.Prof. Hanspeter Gorlitz
Dr. Rudolf Killer B.Sc.
Ursel Juncken-Buchholz
Ilonka Döring-Schulz
Dr. Robert Neuschäfer
Susanna Söding
Enrico Kobelt-Klemt
Verena Hornich
Moritz Holzapfel
Yusuf Steinberg B.A.
Univ.Prof. Klaus-Günter Renner B.A.
Jennifer Trapp
Prof. Antonia Mielcarek B.Eng.
Univ.Prof. Friedl Peukert B.Eng.
Olga Albers B.Sc.
Pedro Pölitz
Univ.Prof. Paul-Gerhard Lübs MBA.
Curt Jopich
Semra Gorlitz
Frau Friederike Albers
Konstanze Mohaupt
Katherina Bien
Irmi Zobel
Univ.Prof. Leif Süßebier B.A.
Dr. Bernfried Bärer
Herr Rupert Jüttner MBA.
Meta Eigenwillig
Dipl.-Ing. Zenta Hornig B.Sc.
Evangelos Beyer
Ing. Karl-Dieter Stroh
Henry Hofmann B.Eng.
Dr. Siegfried Heinz B.Eng.
Michaela Döhn
Kristina Röhricht
Wulf Thanel-Scheibe
Ing. Hatice Gehringer
Zehra Putz
Philipp Killer B.A.
Wilhelm Metz
Leonore Hettner-Staude
Änne Schweitzer-Putz
Herr Torsten Hermighausen B.Sc.
Reni Putz-Tintzmann
Annie Hänel
Ewald Dussen van
Emmi Adolph
Dipl.-Ing. Werner Scholl B.Eng.
Nadia Wirth
Catharina Jacob
Hans-Gerhard Staude
Hans-Bernd Trubin-Klemt
Univ.Prof. Undine Becker MBA.
Klaus-Ulrich Tlustek-Förster
Eva Wende-Peukert
Ilja Kitzmann B.A.
Hans-Martin Bärer
Liliane Koch II
Ing. Hanna Killer
Frau Gilda Ebert
Anka Jäkel-Ackermann
Fridolin Paffrath-Geisler
Fabienne Conradi B.Eng.
Theresa Hethur-Kabus
Waltraud Trapp-Pechel
Sibilla Eimer
Denny Salz
Concetta Wohlgemut
Alice Nette
Dipl.-Ing. Janus Roht B.Sc.
Evelyn Bien
Marlen Hesse
Rüdiger Geisler
Tony Hecker
Daniela Schweitzer
Renate Franke B.A.
Carmen Berger
Albina Stadelmann
Siegmund Schleich MBA.
Evangelia Harloff B.A.
Alexandre Caspar
Walter Weller
Olga Stahr
Enno Jockel MBA.
Univ.Prof. Dolores Jäkel
Bekir Fechner
Almut Rogge
Gina Schmidtke
Lydia Losekann MBA.
Mareile Oderwald-Hiller
Frau Ayten Pärtzelt MBA.
Ing. Wenke Karge B.Sc.
Anni Seidel B.Eng.
Ing. Gislinde Ernst B.A.
Danilo Losekann
Anthony Oderwald
Siegmar Ullmann-Fritsch
Frau Wendelin Heinrich B.Eng.
Herr Hans Peter Jacob
Otmar Misicher
Guido Wagenknecht-Kallert
Lilija Ruppert
Tülay Trapp
Frau Etta Wesack MBA.
Valerie Kallert B.A.
Dr. Jan-Peter Martin B.Eng.
Joseph Gorlitz-Bloch
Anett Bien-Schuster
Sylvester Neuschäfer-Schacht
Prof. Marijan Hoffmann
Ulrike Ackermann B.Sc.
Univ.Prof. Ivonne Haase B.Sc.
Klara Schlosser
Univ.Prof. Teresa Weinhage B.A.
Sigfried Franke B.Sc.
Dora Jockel
Hans-Willi Ladeck
Lina Hein-Gotthard
Ibrahim Eberth
Felix Hölzenbecher B.A.
José Gröttner B.Sc.
Ellen Röhrdanz
Francoise Dippel B.Eng.
Lorenz Kohl
Catharina auch Schlauchin
Reimund Bohlander
Dipl.-Ing. Anneliese Kühnert
Aribert Schulz B.Eng.
Univ.Prof. Paul-Heinz Heinz
Theresa Caspar
Dr. Elwira Hiller
Angela Weimer B.A.
Micha Schottin
Annette Schwital
Univ.Prof. Zita Löchel B.Sc.
Dr. Gerold Dörschner
Univ.Prof. Antoinette Wende B.A.
Herr Vincenzo Liebelt
Ing. Torben Hande MBA.
Jens-Peter Bolzmann
Tino Kensy
Natalia Fröhlich-Kabus
Univ.Prof. Karen Etzold B.A.
Kira Hartmann B.Sc.
Michaela Sontag-Dörr
Augusta Flantz
Albrecht Seifert B.Sc.
Nina Wagenknecht
Univ.Prof. Claudia Freudenberger B.Sc.
Veit Beckmann
Bernd Binner-Hornich
Gereon Trapp
Prof. Evelyn Henk
Univ.Prof. Athanasios Drub B.Sc.
Iwan Käster
Julius Kraushaar
Frau Ivanka Killer MBA.
Jozef Kostolzin
Dr. Elif Peukert B.Eng.
Heimo Gorlitz B.A.
Univ.Prof. Francesco Schulz B.Eng.
