Student
Vito Davids-Schwital
Erol Lindner
Prof. Pascale Kruschwitz
Prof. Guenther Margraf B.Eng.
Moritz Holzapfel
Frau Alwina Bohnbach B.Eng.
Adina Mitschke
Antonios Walter
Angelique Speer B.A.
Dr. Cäcilia Henk B.Eng.
Joana Zimmer B.A.
Marcel Oestrovsky
Leon Rust
Oscar Reinhardt B.A.
Mark Lindau
Annelise Schwital
Dipl.-Ing. Sibylle Kensy
Arne Knappe
Annegret Holt-Heuser
Carsten Wieloch-Kranz
Dagmar Dussen van
Bianka Holsten
Anna-Luise Segebahn
Hans-Erich Preiß
Götz Hofmann B.A.
Jasmina Bolzmann
Damaris Holsten-Schleich
Elizabeth Schlosser B.A.
Folkert Barth B.Sc.
Univ.Prof. Othmar Geisel
Frau Eugenia Matthäi
Uschi Keudel
Ludmila Dobes B.A.
Theda Klotz
Ronald Henschel
Christa Säuberlich
Annelore Täsche
Ludwina Mohaupt
Conrad Lindau
Harri Mans
Mirjana Drub
Dr. Dora Fischer
Lotte Kusch
Ibrahim Lehmann B.Eng.
Prof. Catherine Knappe MBA.
Krista Hofmann
Bela Köster
Magdalene Patberg-Mosemann
Dr. Damian Scheel
Lukas Ditschlerin
Valentine Tschentscher
Friedericke Bolzmann
Daria Jopich
Ing. Therese Rust
Günter Wiek B.A.
André Segebahn
Milos Wiek
Grzegorz Bohlander
Jan Gumprich
Gundula Klotz
Michelle Kitzmann
Ole Schmidtke
Katja Kruschwitz-Roskoth
Karl-Peter Hering
Univ.Prof. Czeslaw Tröst
Dagmar Schäfer
Simona Lorch
Wiltrud Geißler
Günter Schottin
Nermin Martin
Britta Nerger B.Eng.
Reinhold Striebitz
Meral Bolnbach
Ing. Ivana Budig B.Eng.
Dipl.-Ing. Utz Adler B.A.
Anthony Patberg
Dipl.-Ing. Tomislav Dowerg B.Eng.
Andree Wilmsen B.Eng.
Miroslawa Rose
Univ.Prof. Anna-Luise Faust
Janine Müller-Steckel
Bertha Reuter
Filippo Patberg
Burkard Schlosser
Resi Knappe
Guenther Steinberg MBA.
Sami Mans-Ullrich
Vadim Bender B.A.
Herr Andy Förster B.A.
Dr. Gerold Dörschner
Ekaterina Wieloch
Annelise Jungfer
Zeki Henk B.A.
Sophie Pruschke
Hans-Eberhard Blümel
Diedrich Jäntsch B.A.
Lili Weimer
Zofia Gumprich
Ellen Röhrdanz
Herrmann Holt-Lindner
Desiree Gierschner B.Eng.
Gunther Tschentscher
Korbinian Bolander
Heinrich Dippel
Univ.Prof. Claus-Dieter Dippel B.Eng.
Alexandra Butte
Agathe Trommler
Emilie Schmidt-Gröttner
Eva-Marie Berger MBA.
Alwin Schaaf
Cord Tröst
Dipl.-Ing. Gilbert Plath B.Sc.
Bayram Hering
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Norman Fechner
David Warmer
Hans Kostolzin-Ditschlerin
Gülsen Benthin
Bert Junck
Prof. Ursula Eigenwillig
Miroslaw Hentschel-Stoll
Mina Segebahn B.A.
Herr Louis Hövel
Univ.Prof. Gino Wagner B.Sc.
Serge Trubin
Dr. Gunther Jähn B.A.
Karin Beckmann
Angelo Pärtzelt
Erkan Beier
Sieghard Kensy
Walfried Klotz-Klotz
Gerta Beer
Prof. Wolf-Dietrich Schweitzer MBA.
Concetta Neureuther
Ing. Giorgio Warmer B.Eng.
Herr Gerhardt Benthin
Herr Aleksandr Wiek B.Sc.
Clara Rust
Jessica Schottin
Waltrud Jockel B.Eng.
Dr. Franz-Peter Löffler
Veli Junitz
Anna-Marie Steckel
Ullrich Preiß
Univ.Prof. Milka Bähr
Adem Hörle
Ann Stumpf
Herr Filippo Rosemann B.A.
Sofia Mielcarek B.A.
Karl-Georg Lehmann
Dr. Marija Stiebitz
Tino Gnatz
Thea Schmiedecke
Irmtrud Johann
Hans-Dieter Scholl
Volkmar Mosemann
Dr. Hildegund Gnatz B.Eng.
Felix Wilms
Ing. Damaris Bonbach
Zenon Pärtzelt
Matthäus Eckbauer
Univ.Prof. Änne Finke B.Sc.
Ing. Klaus-Michael Bolzmann
Wally Bien-Kraushaar
Ing. Eckart Becker B.Sc.
Prof. Mirko Adolph B.A.
Frau Gilda Ebert
Ing. Eva Kitzmann B.A.
Univ.Prof. Catharina Neureuther B.Sc.
Dr. Lieselotte Blümel B.A.
Prof. Mechtild Steuer
Juan Klapp B.Eng.
Theresa Hethur-Kabus
Hans Josef Reinhardt B.A.
Ehrhard Bohnbach B.Eng.
Frau Ina Schwital B.Sc.
Britt Schwital-Seip
Stavros Meyer
Marcus Finke
Milena Weitzel-Steinberg
Meral Stroh-Henschel
Prof. Natalija Weinhold
Jonathan Schottin-Naser
Kristina Röhricht
Zdravko Müller-Fritsch
Paolo Zänker MBA.
Hans-Georg Scholz
Heinz Krebs B.Eng.
Ing. Zdenka Neuschäfer
Karl-Wilhelm Anders-Gude
Ing. Bianca Paffrath
Eugenia Stey
Miroslaw Gieß
Sandy Dietz
Sylvester Bachmann
Frau Mechtild Fliegner
Ing. Alfred Söding
Ing. Baldur Blümel MBA.
Ercan Kühnert
Katharine Mühle
Siglinde Kambs-Geißler
Frauke Söding
Dipl.-Ing. Dörte Häring MBA.
Dr. Ljiljana Henck MBA.
Ottilie Trüb
Karl-Friedrich Kitzmann
Ann Spieß MBA.
Jörg-Peter Jüttner-Winkler
Karl-Ludwig Bolnbach
Univ.Prof. Aysel Lindau
Dipl.-Ing. Gunar Kuhl
Arne Ziegert B.Sc.
Prof. Emine Beer
Univ.Prof. Erhard Heuser MBA.
Anthony Oderwald
Prof. Marika Junken B.Eng.
Sören Pechel
Fred Wende
Frau Aleksandra Dobes B.A.
Romuald Hartmann
Philip Weller B.A.
Julia Ruppersberger
Celal Seifert
Christiane Roht
Elvira Scholtz
Nikolai Mohaupt
Melita Schleich
Lieselotte Dussen van MBA.
Berthold Austermühle MBA.
Birte Jüttner
Prof. Svea Putz MBA.
Ing. Hansgeorg Jockel B.Eng.
Univ.Prof. Gönül Meister B.Sc.
Franka Mitschke B.Sc.
Bernward Fröhlich
Aneta Schlosser-Köster
Frau Raissa Radisch B.Eng.
Ing. Natalie Oderwald B.Sc.
Hilmar Ziegert
Univ.Prof. Woldemar Walter
Denny Lachmann
Herma Möchlichen
Anica Sorgatz B.Sc.
Herr Jörgen Kruschwitz
Gislinde Lehmann
Univ.Prof. Friederike Bender B.Eng.
Folker Otto MBA.
Urs Ebert
Prof. Mohammed Kambs
Prof. Anna-Lena Wagner MBA.
Frau Angelina Martin
Adolfine Wilms
Jacob Süßebier
Kay-Uwe Ziegert
Dr. Ralf Hölzenbecher
Brita Jäkel
Univ.Prof. Anatoli Ritter
Annamaria Scholtz
Edeltraud Kaul
Ana Heinz B.A.
Sandro Schmiedt
Jonas Hendriks
Univ.Prof. Kläre Oderwald B.Sc.
Hellmuth Drubin-Tschentscher
Zdenka Weiß
Lorenzo Adler-Trommler
Louis Kostolzin
Dipl.-Ing. Hans-Ludwig Meyer
Ing. Rose-Marie Hölzenbecher
Dr. Jeannine Schleich B.Sc.
Margaretha Heintze-Henk
Herr Gerolf Hermann B.Eng.
Karl Heinz Kruschwitz-Reising
Ortrun Pohl B.Eng.
Dipl.-Ing. Manuel Kade
Christl Pölitz
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Linda Kruschwitz
Engelbert Sauer MBA.
Irmi Täsche B.A.
Dipl.-Ing. Rabea Sorgatz MBA.
Süleyman Wende
Ing. Mattias Boucsein
Mariusz Wilmsen B.A.
Dr. Franco Wilms
Dorit Zimmer-Krein
Ing. Käthi Schäfer
Heinrich Putz B.Sc.
Dipl.-Ing. Hans-Günther Schuster
Univ.Prof. Paul-Heinz Heinz
Francisco Budig-Geisler
Claudius Mude
Kunigunda Hänel-Briemer
Adalbert Reising
Jann Schleich
Gerwin Textor
Ing. Gabriela Dippel MBA.
Swen Wirth
Annie Schlosser
Cilli Röhricht
Ottmar Beier
Ing. Dirk Paffrath
Reinhardt Pärtzelt
Prof. Aziz Stumpf
Gudula Stroh-Bien
Thomas Drub
Janos Winkler B.A.
Sylvester Neuschäfer-Schacht
Hanne Junk
Fredi Meyer-Weiß
Anastasios Kuhl
Dr. Gundula Putz
Paul-Gerhard Gunpf
Ing. Katarzyna Noack
Maren Anders
Dipl.-Ing. Reimer Werner MBA.
Curt Jopich
Univ.Prof. Ottmar Jopich
Ingrid Rudolph
Gerard Förster
Ing. Herwig Drub MBA.
Herr Hanno Hesse
Alexandre Häring
Stefania Möchlichen
Stefano Wagenknecht
Silva Plath
Frau Ina Dietz MBA.
Hanns Ehlert MBA.
Stephan Haase MBA.
Hilde Lübs
Dolores auch Schlauchin
Ing. Valentine Scheibe
Univ.Prof. Margareta Naser
Edward Hering MBA.
Michaele Schwital
Karlfried Franke
Milka Hahn
Mirella Löchel
Gülten Ruppersberger-Wende
Friedrich-Karl Weimer
Tatjana Käster-Schüler
Hans Dieter Stahr
Christa Kabus
Katharine Renner
Dipl.-Ing. Giorgio Drubin B.Eng.
Prof. Lilly Schmidtke
Dipl.-Ing. Laila Scheuermann B.Sc.
Otfried Ortmann
Benita Neuschäfer
Univ.Prof. Vinko Tschentscher
Univ.Prof. Reginald Lorch
Dipl.-Ing. Alf Graf
Prof. Heinz-Peter Thies
Helena Franke
Bianka Dobes-Seifert
Frau Ayten Pärtzelt MBA.
Damaris Bien
Friedl Atzler-Süßebier
Ralph Jessel B.A.
Irmgard Täsche B.A.
Steven Eimer
Cecilia Stoll
Ing. Marie-Therese Seifert
Margit Walter
Kati Koch II
Klaudia Seidel
Dr. Lars Klemt
Ing. Chantal Schleich B.Eng.
Dipl.-Ing. Till Säuberlich
Nicole Hoffmann
Marcella Karz B.A.
Andre Schlosser
Dr. Zeljko Pruschke
Dipl.-Ing. Ekrem Thanel
Thomas Hänel
Prof. Martin Ullmann
Dr. Jasmina Ruppert
Dr. Marian Rust
Herr Steven Eberhardt
Leif Christoph
Hans-Jochen Mude
Dipl.-Ing. Patricia Werner B.Sc.
Norbert Eimer
Georg Nerger
Uli Wohlgemut-Stadelmann
Herr Hellmuth Birnbaum B.A.
Dittmar Hövel
Hans-Wolfgang Harloff
Univ.Prof. Beatrix Roskoth
Sigrid Jockel
Prof. Tobias Börner
Mercedes Kobelt MBA.
Dipl.-Ing. Gerdi Wende
Stephen Kensy
Paula Heinz
Frieder Austermühle
Magdalene Fröhlich
Alicja Faust B.Eng.
Asta Hesse
Ernestine Karz
Ing. Rosalinde Rogner MBA.
Fredi Huhn
Dr. Mario Lorch
Siegmar Pergande
Dipl.-Ing. Margarethe Holt MBA.
Lucia Hermighausen
Annelie Heuser
Klaus-Peter Zorbach
Juergen Beier B.A.
Nada Girschner
Katerina Bolzmann B.Eng.
Dr. Sybille Bärer B.Sc.
Nurettin Bärer B.Eng.
Heino Zahn-Bähr
Cristina Salz B.Sc.
Aloisia Faust
Danny Mälzer
Adrian Fiebig-Dörschner
Antonius Stoll-Krebs
Thaddäus Geißler
Gereon Textor
Annelore Bolander
Stefanie Dippel
Prof. Meinrad Wiek
Heribert Austermühle-Trupp
Anneli Butte
Emilie Schmiedecke
Boris Bachmann
Herr Hendrik Fritsch B.Eng.
Theodoros Grein Groth
Oxana Ladeck
Ing. Henning Drub
Margarethe Wagenknecht
Kathleen Hahn B.A.
Dipl.-Ing. Bernward Putz B.Eng.
Prof. Marie Plath
Irmgard Pieper B.Eng.
Almuth Rosenow-Schönland
Zbigniew Hahn MBA.
Domenico Gerlach-Kramer
Carla Hecker
Prof. Freya Biggen B.Eng.
Karl-Friedrich Nerger
Abram Scholz B.Sc.
Herr Yusuf Kabus B.A.
Dr. Jonas Fechner
Elena Linke-Wohlgemut
Dunja Trub
Lars Eckbauer-Möchlichen
Theresa Caspar
Siegrid Hande
Amir Reuter
Bertram Eigenwillig
Christiane Mentzel
Elke Scholl MBA.
Univ.Prof. Hans-Peter Schmidt MBA.
Freia Hofmann
Winfried Hermann
Ing. Paul-Heinz Geißler
Ditmar Adolph
Frederike Dippel
Johann Oestrovsky
Mike Sölzer
Nikolai Rädel-Klemt
Frau Kordula Geisler MBA.
Leonhard Patberg
Valeria Conradi
Leo Roskoth B.Sc.
Hedy Loos
Horst-Peter Riehl
Susanne Etzold
Univ.Prof. Sonja Hande MBA.
Simon Meyer
Mary Staude
Carl Mühle-Wulf
Guiseppe Rust
Tamara Bender MBA.
Ekkehart Bruder
Elfie Preiß
Dipl.-Ing. Nathalie Bender
Stephen Trommler
Univ.Prof. Marcella Trüb
Dr. Hildegund Söding B.A.
Dipl.-Ing. Hanns Killer B.Sc.
Ulrike Rädel B.Eng.
Ulrike Klemt B.Sc.
Antonietta Putz B.Eng.
Dr. Auguste Sager
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Maurizio Eckbauer
Franka Peukert
Sebastian Aumann
Kathi Christoph
Dipl.-Ing. Betty Niemeier MBA.
Jasmina Rädel
Prof. Klaas Geißler B.A.
Abbas Segebahn
Isa Knappe-Biggen
Marie-Therese Birnbaum
Frau Karolina Hörle
Roswita Gumprich-Butte
Karl-Heinrich Karz
Hermann Josef Börner
Eggert Rörricht-Schwital
Rahel Heidrich-Jüttner
Mariola Gnatz
Wally Kreusel
Heide-Marie Koch II
Michael Scholz
Gerold Jacob
Jakob Döring
Olav Gumprich-Täsche
Engin Hofmann
Carl-Heinz Trapp
Annaliese Klingelhöfer
Univ.Prof. Nevenka Döhn B.Eng.
Dr. Marco Scheuermann
Univ.Prof. Claudio Schmiedt
Stefani Caspar
Vera Heydrich
Univ.Prof. Anneke Gunpf
Elfi Wesack
Hiltraud Klemm-Pärtzelt
Inga Ruppersberger
Bogdan Steckel B.Eng.
Lili Heydrich-Beyer
Peggy Rogge-Lachmann
Lidia Butte
Gertraud Mentzel
Prof. Edgar Roht
Carolin Siering
Ing. Birgid Möchlichen B.A.
Anka Jäkel-Ackermann
Dorina Weinhold
Gino Hövel B.Sc.
Ottfried Scheibe-Sauer
Saskia Kallert
Carlos Klotz
Gottlob Römer
Heinrich Kramer
Univ.Prof. Zofia Rust
Adriana Vogt
Anastasios Heinz
Univ.Prof. Roger Stadelmann B.Sc.
Pero Römer
Ilja Preiß
Falk Wagenknecht B.Eng.
Anne-Rose Hettner B.A.
Prof. Katarzyna Gehringer B.Eng.
Konstantin Ladeck
Antje Kambs
Ing. Magarete Herrmann B.Eng.
Isidor Atzler
Anne-Marie Drewes
Catrin Ziegert-Meyer
Ingo Löffler
Thoralf Geisel
Imre Mülichen
Lioba Söding
Karl-August Reichmann B.Sc.
Ing. Mahmoud Becker
Lilija Ruppert
Veronika Kruschwitz B.A.
Eckhard Sölzer
Jan-Peter Grein Groth
Dr. Salih Ullmann
Antonina Wagner
Margaret Kraus
Kuno Mälzer B.Eng.
Hildegard Schlosser-Jacobi Jäckel
Univ.Prof. Franz-Josef Holt
Margret Hentschel-Davids
Siegbert Conradi
Kai-Uwe Hartung
Rebecca Geißler
Guenther Metz
Grzegorz Mende B.A.
Patric Hermighausen MBA.
Raymund Koch II-Margraf
Valeska Blümel B.A.
Hans Josef Striebitz
Gerfried Dippel
Frau Anna-Luise Sontag
Ralph Binner-Römer
Bernhard Becker
Silja Kraus-Schuster
Ing. Sina Johann MBA.
Nikolas Ebert
Jurij Zahn B.Sc.
Wiebke Gehringer
Gebhard Eberth B.Eng.
Mariusz Adler
Prof. Ada Wähner
Frau Gülay Rogner B.A.
Univ.Prof. Fatima Hiller B.A.
Ing. Zoltan Dobes B.A.
Irmtraut Fröhlich-Hertrampf
Niklas Scholtz
Helmuth Wagner
Kay-Uwe Trapp
Dr. Samuel Tröst
Dr. Mohamed Kroker B.Eng.
Abram Briemer
Gaby Noack
Paolo Klotz-Hein
Kevin Trubin
Chantal Fröhlich
Fatima Rosemann-Schmidtke
Dipl.-Ing. Waltraut Kallert
Univ.Prof. Marjan Graf B.Sc.
Bertha Köhler
Sandy Römer-Bien
Björn Rädel-Rohleder
Fedor Roskoth B.A.
Ansgar Seidel
Gabi Harloff
Eveline Birnbaum
Herr Karlheinz Mans
Samir Krein B.A.
Tülay Trapp
Bernt Jessel
Thorben Ruppert
Fatih Zirme
Miroslav Paffrath
Univ.Prof. Robby Vollbrecht
Univ.Prof. Henryk Kostolzin
Gudrun Reichmann MBA.
Gülsen Junck
Ing. Siegmund Hertrampf MBA.
Ewald Hethur
Annemarie Schaaf B.Sc.
Polina Kostolzin
Tatiana Kade-Rust
Ilse Henschel
Victoria Binner
Malte Kallert-Möchlichen
Jacob Bähr
Horst Hauffer B.Eng.
Hans-H. Pergande
Marc Henck B.Eng.
Priska Rädel
Enrico Oderwald
Raymond Römer
Waltraut Ernst
Prof. Rudolph Linke
Prof. Rabea Hettner B.Eng.
Christl Wähner
Klaus-Jürgen Jockel
Frau Elsa Mälzer
Prof. Raymond Söding
Ing. Steffen Röhrdanz B.A.
Hans-Georg Anders
Dragan Trub
Ignaz Warmer
Desiree Klotz
Univ.Prof. August Schleich B.A.
Bruno Henschel
Robin Weinhage B.A.
Karl-Hans Hande-Schuster
Toni Schottin B.A.
Zeljko Meyer
Hellmut Lindner
Juan Briemer-Textor
Ingeborg Wesack
Lambert Röhricht-Johann
Jacek Täsche
Eileen Etzler
Kerstin Heidrich B.A.
Jochen Naser
Univ.Prof. Nadine Gnatz
Dr. Jane Kostolzin
Hans-Adolf Junken
Hulda Junk
Ilija Eckbauer-Steinberg
Gabi Neuschäfer-Oestrovsky
Irmtrud Klingelhöfer
Fanny Bolnbach B.Sc.
Antonius Hermighausen
Marie-Louise Girschner
Leon Bauer
Dipl.-Ing. Henriette Lindau
Dr. Anny Kallert
Ing. André Christoph
Erdal Tintzmann
Victor Butte
Frank-Michael Sontag
Univ.Prof. Kathi Noack B.Eng.
Susan Riehl B.Sc.
Martin Pechel-Freudenberger
Nathalie Lehmann
Karsten Schwital
Beatrice Fechner
Regine Sorgatz
Horst-Dieter Gude
Prof. Hans-Gerhard Reinhardt B.Eng.
Ing. Kunigunde Wieloch
Dominik Huhn
Giesela Wagner
Urte Bolzmann
Klaus Peter Adler
Marcel Stumpf
Edwin Wilms MBA.
Annekatrin Schleich
Ing. Hermine Warmer B.A.
Gundula Otto-Kuhl
Univ.Prof. Waldemar Döring
Frau Annita Beckmann
Brita Flantz-Knappe
Hans Jörg Köhler
Anneliese Trub
Univ.Prof. Gottfried Süßebier
Heinz-Dieter Gute
Irina Gröttner
Monika Hornich MBA.
Ercan Oestrovsky B.Eng.
Pawel Schlosser
Saban Hendriks
Albrecht Caspar
Pius Römer MBA.
Klaudia Reuter B.A.
Ditmar Trub
Carmen Weinhold
Frau Corinna Wähner
Mirko Ehlert
Marianne Ernst-Zirme
Ludmila Karge B.A.
Cornelia Radisch
Antonios Klemm B.Sc.
Gordana Hertrampf-Speer
Frau Patricia Gorlitz B.A.
Bernd-Dieter Kostolzin B.A.
Heinz-Dieter Caspar-Hande
Orhan Hecker-Heuser
Univ.Prof. Charlotte Lindner MBA.
Trudi Radisch
Oxana Schmidtke
Peer Grein Groth-Lange
Univ.Prof. Edmund Mentzel B.Eng.
Herr Gordon Meister
Elvira Cichorius
Francisco Harloff
Univ.Prof. Johan Lange
Vadim Jacobi Jäckel
Caren Neureuther
Roland Ring
Reimund Eimer
Marit Mühle
Lissi Kohl
Richard Kostolzin
Jeannine Heinz-Tlustek
Svenja Langern
Andrew Schlosser
Irmhild Lorch
Frau Tatiana Hande B.Sc.
Celal Scheel B.A.
Ing. Jonas Schaaf
Herr Dimitri Mohaupt B.A.
Dr. Marie-Theres Möchlichen B.A.
Irina Hahn
Ing. Rocco Reuter
Prof. Mahmut Barth B.A.
Elke Hiller
Aneta Heydrich
Agnes Ullmann
Yasmin Reising
Marion Weihmann
Katharine Mohaupt-Heuser
Zdravko Staude B.Sc.
Annett Ullrich
Univ.Prof. Ivonne Haase B.Sc.
Hellmuth Söding-Bonbach
Florentine Bärer B.A.
Gertrude Pieper
Selma Fritsch B.Eng.
Leni Wohlgemut-Ruppersberger
Dr. Francisco Hänel
Ing. Dorothee Harloff B.Sc.
Gert Seifert
Anton Stey
Traugott Hövel
Hanife Thies
Horst-Günter Zirme
Frau Christiane Zänker B.A.
Emine Lübs
Valerie Losekann
Jacqueline Hofmann
Josefine Rosenow-Hertrampf
Melitta Salz
Ing. Alma Rudolph B.Sc.
Zofia Schönland B.Sc.
Magret Bähr
Zofia Roht
Jolanta Döring
Madeleine Henk
Lili Kaul
Jonas Beyer
Ismail Steinberg
Doris Kraushaar
Univ.Prof. Damian Sorgatz B.Eng.
Gertraud Jüttner
Ing. Dörte Freudenberger
Mattias Kruschwitz
Dipl.-Ing. Jaroslav Henk
Stjepan Langern
Mariana Steckel
Univ.Prof. Therese Hänel
Univ.Prof. Hans-Rudolf Wohlgemut
Ilonka Buchholz-Köhler
Prof. Mathilde Segebahn MBA.
Achim Budig
Gottlob Seip
Sylvio Gutknecht
Carla Ruppersberger
Herr Oliver Stahr
Angelina Dörschner-Reichmann
Martha Dowerg
Heiner Pieper
Ewa Bolnbach-Textor
Frau Wenke Riehl
Gereon Jacob
Sabrina Kohl
Herr David Löchel B.A.
Herr Vincenzo Liebelt
Thorsten Adler B.Sc.
Edeltraut Anders-Rohleder
Prof. Nikolai Gunpf
Jörg-Peter Christoph
Constanze Schleich
Zeynep Lehmann
Baptist Vogt
Oliver Bien
Hans-Herbert Flantz
Eduard Kühnert
Ilka Zimmer-Wesack
Elvira Gute-Käster
Friedhilde Dobes
Herr Francis Scholtz
Juliane Mentzel-Ziegert
Catrin Hamann
Leon Aumann
Danilo Ladeck-Köhler
Annaliese Hettner B.A.
Esther Hoffmann-Hermighausen
Michaela Kade
Frauke Dörschner
Klaudia Vollbrecht B.A.
Gert Kensy B.A.
Enver Dehmel
Prof. Natalja Mies MBA.
Frau Florence Ditschlerin B.Eng.
Lilly Naser
Astrid Schweitzer
Mohamed Schottin
Cengiz Dehmel
Pierre Ortmann
Susi Hendriks
Univ.Prof. Athanasios Drub B.Sc.
Bernd Binner-Hornich
Dr. Edda Hecker B.Eng.
Walentina Eckbauer
Michel Hermighausen
Ing. Torben Hande MBA.
Nurettin Börner
Henrik Hein B.A.
Hartmut Hiller B.A.
Leni Heß
Univ.Prof. Isabel Ladeck
Dr. Carmela Rudolph
Ing. Karl-Dieter Stroh
Felix Müller
Prof. Irmhild Fritsch
Veronique Eimer
Ing. Galina Schenk
Fernando Schüler
Roman Hauffer
Hulda Neuschäfer B.A.
Prof. Theobald Mangold
Adelinde Putz
Canan auch Schlauchin-Dussen van
Edward Dippel
Georgia Bärer
Prof. Marijan Hoffmann
Ing. Arndt Schäfer
Mike Röhricht-Hauffer
Herwig Jäntsch B.Sc.
Traudel Wilmsen B.A.
Faruk Köhler
Adelinde Ackermann-Knappe
Gunar Börner
Prof. Sergei Heser
Dr. Annelene Geisel B.Sc.
Anna-Luise Eckbauer
Milos Biggen
Dr. Gert Trapp MBA.
Marika Zänker B.A.
Dörte Schlosser
Irmi Biggen
Andree Budig B.Eng.
Josefa Lange
Detlef Köster
Mariola Tlustek MBA.
Cläre Heser
Cornelia Römer
Arnfried Scheuermann
Rene Hofmann
Aziz Hornich
Annekatrin Trupp
Herr Maik Klemt MBA.
Hülya Conradi
Dipl.-Ing. Robert Köhler
Dr. Janett Schottin B.Eng.
Friedrich-Karl Sorgatz-Schmiedt
Paul Carsten
Gerta Klemt
Hans-J. Tröst MBA.
Univ.Prof. Jane Mans B.Eng.
Arnulf Säuberlich
Dr. Songül Tlustek MBA.
Tina Henschel
Melitta Fliegner
Uwe Sorgatz
Matthias Hendriks-Koch
Angelica Lindau-Heß
Amanda Weller
Steven Trub
Constance Drubin
Ing. Ernst-August Häring
Elisa Steinberg
Nancy Eckbauer
Edelgard Finke B.Eng.
Burckhard Caspar
Romy Zahn-Bien
Ing. Britt Trupp B.Eng.
Herr Tino van der Dussen MBA.
Knut Gorlitz
Ing. Alexander Mude
Jonas Christoph B.Eng.
Babett Süßebier B.A.
Ing. Hatice Gehringer
Dr. Ferdinand Pölitz
Alfonso Grein Groth-Henck
Univ.Prof. Kirstin Killer B.Eng.
Angelica Lorch B.Eng.
Marlen Wende
Irmengard Röhrdanz
Frau Anne-Kathrin Wagner
René Rose-Krebs
Constantin Kraus
Benno Hofmann
Anto Kostolzin
Klaus-Werner Jäkel-Holsten
Prof. Kordula Vollbrecht B.A.
Dipl.-Ing. Miguel Bärer
Eckehard Wernecke
Ricardo Hesse
Judith Sorgatz
Herr Dursun Hentschel B.Eng.
Hannes Patberg
Herr Konstantin Neureuther B.A.
Senta Ruppersberger
Thies Birnbaum B.A.
Univ.Prof. Hartwig Holsten B.Sc.
Univ.Prof. Paulo Jähn
Steffi Schmiedt B.Sc.
Ljudmila Krebs
Matteo Beyer B.A.
Erol Kreusel B.Sc.
Yusuf Steinberg B.A.
Raymond Speer
Krystyna Rust-Baum
Ronald Rädel
Hanns Zänker B.A.
Galina Kraus-Hermighausen
Yvette Margraf-Wernecke
Fredi Wilmsen
Frau Emma Kaul B.Eng.
Sevim Junitz
Thaddäus Kraushaar-Ruppert
Univ.Prof. Halina Hamann MBA.
