Student
Univ.Prof. Änne Finke B.Sc.
Traugott Textor-Wagenknecht
Marzena Neuschäfer
Margot Ullmann
Tomislav Girschner
Friedrich-Wilhelm Höfig-Johann
Univ.Prof. Ditmar Mitschke B.A.
Herr Herbert Dowerg
Stilla Klotz
Dr. Leonie Köster
Maxim Roht
Frau Belinda Plath B.A.
Alexej Röhrdanz
Giesela Dowerg
Dr. Alois Kraushaar B.Sc.
Jane Reuter
Marit Eberth
Herr Bartholomäus Adolph MBA.
Inka Hornig B.A.
Margret Dehmel
Suse Hornich
Gerlinde Albers-Hörle
Alan Eigenwillig
Prof. Elzbieta Fechner B.Sc.
Univ.Prof. Heimo Dobes B.A.
Toni Schottin B.A.
Wolf-Rüdiger Börner
Herta Hoffmann
Nikolas Siering
Nermin Martin
Fredo Bärer
Henri Finke-Lehmann
Oxana Ortmann MBA.
Dipl.-Ing. Henriette Lindau
Martha Wilmsen
Ditmar Bien
Carin Binner
Irmgard Täsche B.A.
Evelyn Stolze
Trudi Radisch
Heinrich Köster
Blanka Birnbaum
Ernestine Karz
Reimer Kitzmann
Diethard Gude
Flora Etzold
Klara Blümel
Gregor Buchholz
Zita Holt
Hedy Loos
Frau Mirjana Baum B.Sc.
Frau Danielle Junk
Melita Schleich
Marit Mühle
Annaliese Gute
Corinne Berger
Univ.Prof. Luka Mende
Dr. Reimar Fiebig B.A.
Ahmad Jacobi Jäckel
Hans-J. Trapp-Koch II
Ralf-Dieter Kroker
Dipl.-Ing. Christel Beer B.Eng.
Claire Faust B.A.
Theresa Schüler
Karl-Ludwig Hoffmann
Cemal Budig-Holt
Frau Hella Stumpf
Senta Warmer
Prof. Wolfgang Mohaupt
Clara Stroh
Ursel Conradi
Roswita Henck
Univ.Prof. Gottlob Tröst B.Eng.
Aloys Fechner
Kathy Kitzmann
Maren Bruder
Fadime Heidrich B.A.
Erica Renner-Trapp
Birgid Freudenberger
Mareike Lübs
Reinhold Bloch
Athanasios Jacobi Jäckel
Margit Klapp
Agata Hertrampf
Edgar Jüttner
Justus Lorch
Univ.Prof. Leni Bonbach
Dr. Zeki Eberth
Oxana Linke B.Eng.
Albert Hartmann-Lachmann
Univ.Prof. Roman Misicher
Karoline Römer
Karlfried Sorgatz
Jeannette Heuser
Micha Schottin
Karl-Josef Barth
Julia Pärtzelt
Kristian Rosemann B.Sc.
Beatrice Käster
Marlis Rogge B.Sc.
Dipl.-Ing. Wilfriede Bruder
Elma Junken
Balthasar Holsten
Adem Mühle-Ruppert
Wilfriede Blümel
Ing. Brunhilde Albers
Ing. Justus Binner
Saskia Roskoth B.Eng.
Genoveva Löffler
Horst-Dieter Seifert
Ellen Liebelt
Dipl.-Ing. Gisa Jüttner B.Sc.
Dipl.-Ing. Tim Jäntsch B.Eng.
Evamaria Berger
Centa Krebs-Stadelmann
Gilda Rohleder
Prof. Sepp Blümel
Helge Schuchhardt
Lilli Harloff
Berta Hörle-Börner
Katerina Bolzmann B.Eng.
Gerold Jacob
Mandy Rädel
Frau Wenke Riehl
Ing. Serpil Rudolph MBA.
Karl-Ernst Drewes-Drubin
Dipl.-Ing. Milos Klemt
Christos Bolander
Katherina Hesse
Erdal Tintzmann
Ekkehard Holzapfel
Annita Lorch
Alexei Meister
Muzaffer Sorgatz
Dr. Aldo Fritsch
Univ.Prof. Traude Gertz
Friedrich-Wilhelm Stahr-Henck
Univ.Prof. Frieder Döhn MBA.
Alma Rörricht
Ing. Erwin Kobelt B.A.
Anke Bähr
Reza Misicher
Bernt Huhn
Ing. Horst-Dieter Seip
Univ.Prof. Conny Wagner MBA.
Hannchen Drewes B.Sc.
Caroline Wende
Desiree Ruppert
Frau Delia Hellwig B.Sc.
Univ.Prof. Charlotte Lindner MBA.
Heribert Ring B.A.
Inken Gute B.Eng.
Hildegunde Stiebitz-Mude
Univ.Prof. Pauline Klemt
Lambert Gehringer
Anita Mohaupt
Olav Margraf
Nada Hänel
Albina Stadelmann
Univ.Prof. August Gunpf B.A.
Ansgar Hande
Dr. Lea Kraushaar B.Eng.
Angelika Rosemann
Hildegunde Geißler-Klemm
Karl Heß
Dipl.-Ing. Hans-Gerhard Schleich
Boris Bachmann
Gesa Jäntsch
Larissa Löffler
Dr. Arzu Martin B.Eng.
Stilla Dobes
Grete Biggen-Kostolzin
Dipl.-Ing. Franz Reising
Margareta Lübs-Vollbrecht
Heino Römer
Univ.Prof. Jann Schleich
Hedda Schönland
Marek Adler
Berthold Haase-Trub
Angela Weimer
Victor Butte
Dipl.-Ing. Slavica Mälzer
Univ.Prof. Hinrich Eberth
Frida Stolze
Oxana Stumpf
Brita Flantz-Knappe
Danielle Ritter B.Eng.
Nina Wagenknecht
Univ.Prof. Melita Langern
Tilman Hövel
Hans-Wilhelm Weller
Dipl.-Ing. Canan Pölitz B.Eng.
Dipl.-Ing. Dörte Häring MBA.
Prof. Mathias Schmiedt
Theo Döring
Klaus-Dieter Knappe
Ing. Philipp Textor
Miroslaw Hentschel-Stoll
Rosa-Maria Steckel
Gitta Römer
Aleksandra Stey MBA.
Robin Schuchhardt-Reichmann
Käthe Briemer MBA.
Ing. Karl-Peter Weinhold B.Sc.
Hans-Eberhard Lübs
Francis Rohleder
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Moritz Holzapfel
Dorle Rädel
Hans-Henning Heydrich MBA.
Herr Augustin Thies B.A.
Univ.Prof. Kata Zahn
Ing. Loni Gnatz MBA.
Dajana Ruppert
Margareta Schmidt
Frau Eugenia Matthäi
Myriam Schäfer-Tschentscher
Ing. Jonas Schaaf
Hans-Hinrich Stiffel
Siegrid Hande
Nadeschda Rädel
Ing. Boris Junck MBA.
Janus Ring
Heinz-Peter Butte B.Eng.
Hedda Mielcarek
Friedo Lorch
Lisbeth Mielcarek
Susana Schaaf
Frauke Dörschner
Timm Schleich
Hassan Kroker-Girschner
Prof. Felicitas Dörschner
Danielle Drubin
Heinz-Otto Wende
Karl-Peter Heser
Gerda Sauer
Apollonia Heß B.A.
Univ.Prof. Kläre Oderwald B.Sc.
Nadia Steckel
Swen Wirth
Fabienne Birnbaum
Dr. Lilly Conradi B.Sc.
Sylvana Hornich MBA.
Harro Söding
Dr. Jochem Trapp MBA.
Frau Edeltraud Radisch B.A.
Rosa Gnatz
Prof. Constance Austermühle B.Sc.
Ron Dobes-Weihmann
Julian Lehmann-Ortmann
Oxana Ladeck
Frau Anne-Katrin Rädel
Rosalinde Trupp
Stavros Hövel B.Eng.
Johanne Kusch
Prof. Katarzyna Gehringer B.Eng.
Alwina Hettner
Hilma Kuhl
Philip Fritsch
Hildegart Weitzel
Univ.Prof. German Rörricht
Melitta Fliegner
Karl-Heinz Buchholz
Frau Hildegart Etzler B.A.
Henryk Bauer
Dipl.-Ing. Matteo Baum
Carsten Junken
Dr. Karl-Ludwig Stoll MBA.
Dierk Dörr
Engin Johann-Weihmann
Ing. Denny Mende
Dipl.-Ing. Claas Ladeck
Ditmar Briemer
Erol Röhrdanz
Konstanze Sontag
Thilo Tschentscher
Univ.Prof. Margrit Davids B.Eng.
Ing. Wendelin Köster B.A.
Ryszard Lehmann
Univ.Prof. Harro Weller
Arnold Oderwald
Prof. Grete Müller
Dr. Margita Stiebitz
Sabrina Schomber
Hellmuth Hörle
Berthold Naser
Thorben Kitzmann
Helmuth Zirme
Nuran Schäfer B.A.
Dipl.-Ing. Patricia Werner B.Sc.
Bruno Martin-Kaul
Eleni Mühle MBA.
Jens-Peter Graf-Schmidt
Prof. Sibel Mälzer MBA.
Frau Antonina Kitzmann
Hanne-Lore Losekann B.Sc.
Toni Scholl-Scholl
Ing. Hartmuth Gute B.A.
Brian Blümel B.Eng.
Urs Ebert
Mariele Bolander
Dr. Karl-Hermann Gude
Konrad Henschel
Univ.Prof. Gusti Schlosser
Ottilie Blümel
Orhan Dörr-Salz
Halina Austermühle-Bender
Anka Förster
Herr Roderich Hauffer
Marianna Rosenow-Weiß
Ewa Kade
Annika Wirth
Armin Hellwig-Finke
Karl-Wilhelm Geisel
Dipl.-Ing. Gerold Kusch B.Eng.
Denis Etzold
Micha Röhricht B.A.
Maja Fischer B.A.
Geraldine Wagner
Fredy Bachmann B.Eng.
Loni Trubin
Gabor Steuer
Emma Sorgatz-Radisch
Olaf Hethur
Raymund Koch II-Margraf
Frank-Michael Sontag
Leonid Hein B.Sc.
Ing. Dietlind Gieß
Wally Schmidt
Bruni Meister B.Sc.
Frau Almut Kuhl
Ehrentraud Trubin
Malte Davids
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Vassilios Kuhl B.Sc.
Süleyman Wende
Meral Liebelt
Regine Meyer
Anthony Oderwald
Malte Bohlander
Andre Stroh
Frau Florence Ditschlerin B.Eng.
Ingeborg Wesack
Friedrich-Karl Sorgatz-Schmiedt
Pascal Freudenberger
Paulina Bender-Liebelt
Milan Holzapfel
Annemarie Wieloch
Cornelius Jacobi Jäckel
Anastasios Drub
Timm Schönland
Ralf-Peter Schacht
Concetta Karge
Ing. Kay-Uwe Flantz
Uwe Sorgatz
Ing. Rocco Reuter
Maritta Bien
Herr Arnulf Kohl
Gerfried Dippel
Ing. Hatice Gehringer
Marie-Louise Wulff
Prof. Ivonne Boucsein B.Eng.
Otmar Wende
Karoline Carsten
Heribert Römer-Lindau
Woldemar Heinz
Wencke Salz
Brita Schwital
Gereon Trapp
Prof. Vadim Rogner
Josip Hiller-Hauffer
Ladislaus Hande
Oda Henschel
Lieschen Walter
Univ.Prof. Anika Pärtzelt MBA.
Prof. Ricardo Kensy
Dr. Ruben Wernecke
Margareta Klingelhöfer
Silva Hiller MBA.
Maria-Theresia Tschentscher
Fernando Neuschäfer
Hartmuth Eberhardt
Natascha Schinke B.Eng.
Sigrun Mälzer
Diana Jessel-Geißler
Aurelia Sorgatz
Desiree Klotz
Heinz Dieter Barkholz
Alexa Dietz
Marian Hande
Herr Frieder Wulff B.Sc.
Milka Wohlgemut-Meyer
Luciano Tintzmann
Hansjürgen Säuberlich
Claudio Bolnbach
Ing. Gabriela Dippel MBA.
Karl-Dieter Segebahn-Köster
Emilie Scholz
Ing. Hans-Joachim Ullrich
Marianne Hecker
Nada Dowerg-Jähn
Rosita Möchlichen-Stumpf
Bekir Fechner
Ekaterina Conradi
Dipl.-Ing. Josip Mies
Dorothea Weihmann
Karlfried Zahn B.A.
Falk Höfig
Gereon Wende MBA.
Marliese Roht
Concetta Seifert
Karsten Schwital
Otto Lindner
Prof. Monique Budig B.Eng.
Slavko Fliegner B.Sc.
Herr Wladimir Bolnbach
Ilka Heß
Katalin Thanel-Kitzmann
Beata Stahr
Nicole Hoffmann
Raymond Römer
Mohammed Ritter
Ing. Wilhelmine Adler B.Sc.
Emilia Wagenknecht-Riehl
Frau Rosemarie Stiffel
Heinz-Werner Buchholz
Univ.Prof. Marko Schmiedecke MBA.
Lena Mitschke
Mirja Dehmel B.A.
Ing. Hüseyin Gutknecht B.Sc.
Edmund Caspar B.Sc.
Margaret Kramer B.A.
Antonietta Hübel
Mary Staude
Tadeusz Weller
Günter Wiek B.A.
Prof. Maria-Theresia Schaaf B.A.
Gordon Lehmann
Philipp Walter-Löffler
Melissa Stey
Dr. Semra Schulz
Luka Binner
Zeynep Keudel
Darius Loos
Steven Eimer
Leif Wulff
Kunigunda Zimmer
Hanspeter Koch II-Wohlgemut
Eberhardt Mielcarek
Arne Dobes
Lars Kallert
Thorsten Kensy B.Eng.
Hans-Erich Mende
Dipl.-Ing. Burckhard Jäntsch
Klaus-Werner Bohlander
Ing. Istvan Finke
Leander Dobes-Schlosser
Annaliese Hettner B.A.
Dr. Carmela Rudolph
Brita Kaul
Dr. Lidwina Oestrovsky
Rosita Wesack B.Sc.
Nicolaus Seifert B.A.
Rita Käster B.A.
Sibylle Stey
Ilja Krause
Cläre Bruder-Hentschel
Konstantinos Linke B.Eng.
Ing. Zoltan Dobes B.A.
Helmtrud Börner B.A.
Elias Hethur
Prof. Katrin Mülichen B.Eng.
Henny Stey
Ingried Ullmann
Alexej Liebelt
Gusti Vollbrecht
Marit Weller
Gisa Gerlach
Berndt Grein Groth B.Sc.
Birger Klapp
Hans-J. Neureuther
Vitali Neureuther
Ulrich Segebahn
Bernward Losekann MBA.
Annaliese Lübs
Nicolaus Seifert
Christiana Pohl
Renato Bolnbach
Frauke Stadelmann
Maximilian Heß
Adelheid Schinke
Andrei Wulff
Univ.Prof. Gundel Atzler B.Eng.
Timm Wende
Karl Heinz Eigenwillig
Dipl.-Ing. Hans-Peter Hertrampf
Malte Herrmann-Zänker
Eduard Kühnert
Pedro Hande B.Sc.
Marcella Franke B.A.
Frau Nurten Huhn
Massimo Hecker
Hella Pergande MBA.
Ottokar Berger
Nina Müller B.Eng.
Anneliese Gnatz
Abraham Junken-Beckmann
Dr. Fedor Plath B.Sc.
Herr Wilhelm Schuchhardt B.A.
Martina Salz-Sorgatz
Univ.Prof. Arne Hoffmann
Ursula Löffler
Heinz-Otto Geisler B.Sc.
Tatiana Pechel
Adalbert Reising
Prof. Ralf-Peter Schlosser B.Eng.
Lorenz Hande-Hamann
Yasemin Hande
Josef Butte-Lindau
Melita Schacht
Amir Reuter
Prof. Hans-Gerhard Reinhardt B.Eng.
Dipl.-Ing. Birgitta Boucsein
Anni Hänel B.Eng.
Hans-Rudolf Huhn
Ernst Henschel
Univ.Prof. Undine Jungfer
Ing. Siglinde Bolzmann
Amalie Gotthard-Beckmann
Dipl.-Ing. Liliana Hartmann
Karolin Mitschke
Edmund Gnatz-Rogner
Ingbert Binner-Heidrich
Goran Junck-Bauer
Peter-Michael Kostolzin
Brigitte Zirme B.Sc.
Gülay Werner
Annita Jähn
Adrian Killer
Dorothea Finke
Patricia Wiek
Desiree Wulf-Jüttner
Tony Hecker
Michail Schmidt
Melissa Dietz
Leonore Jäkel
Marc Henck B.Eng.
Dipl.-Ing. Adele Huhn MBA.
Cecilia Eigenwillig
Rudolph Etzold
George Weimer
Nils Hermighausen
Annekatrin Trupp
Fernando Dobes
Inken Ziegert
Siegbert Henschel
Carin Pruschke
Ljubica Wohlgemut-Schmidt
Dr. Denise Girschner B.Sc.
Wiltrud Bolander
Torben Wiek-Ring
Alida Tröst
Dipl.-Ing. Gertraut Stolze
Amalia Hermann-Schäfer
Prof. Stefania Briemer
Dipl.-Ing. Walburga Steckel
Yasmin Wiek
Metin Hande
Kathi Seip
Regina Wende
Magret Mans
Senta Hiller
Vito Davids-Schwital
Univ.Prof. Jörg Jessel MBA.
Angelina Ruppert-Siering
Kenneth Kramer
Geza Bloch-Mühle
Isabelle Förster-Beyer
Dr. Reinhart Hecker B.A.
Notburga Pechel B.Eng.
Felicitas Biggen
Frau Cynthia Bähr B.Sc.
Sylke Ehlert
Adriane Stroh
Frau Juliane Schulz B.Sc.
Carlo Pohl
Zofia Schulz
Hilde Lübs
Sofia Austermühle
Jolanda Jopich
Prof. Heinz-Joachim Losekann
Prof. Knud Salz
Stanislaw Misicher
Louis Loos B.Eng.
Heino Lindau B.Eng.
Ria Stroh
Herr Emin Trubin
Dr. Elena Kade B.Sc.
Ria Walter
Julia Hecker-Krebs
Alwina Neureuther
Mehdi Kohl B.A.
Hiltraud Köster MBA.
Michaela Hecker B.Eng.
Annelise Schwital
Heinz-Wilhelm Steuer-Mende
Ottomar Kraus
Ing. Alfred Söding
Frau Caren Schmidt MBA.
Doreen Striebitz
Raymond Speer
Cora Scholtz
Dipl.-Ing. Amanda Striebitz
Veronique Löwer
Dominik Naser B.A.
Stephen Tintzmann
Willy Trub-Freudenberger
Frank-Peter Ullmann
Dr. Saban Hoffmann B.Eng.
Andre Schlosser
Britt Gorlitz
Evangelos Beyer
Marvin Gröttner MBA.
Prof. Cäcilia Gertz B.Eng.
Yusuf Sontag
Rolf-Dieter Jacobi Jäckel-Nerger
Hans-Christian Trüb
Gotthold Krause
Ing. Antonius Jacobi Jäckel MBA.
Birte Gröttner MBA.
Univ.Prof. Petra Scheel
Herr Goran Paffrath
Elma Heser
Meike Trupp
Ing. Marvin Renner MBA.
Univ.Prof. August Schleich B.A.
Herr Alexandre Eimer B.A.
Univ.Prof. Nicole Höfig B.Sc.
Imelda Söding
Dipl.-Ing. Ingolf Krein
Hildegunde Wende-Spieß
Michaela Kade
Conny Metz
Frau Zdenka Boucsein B.Eng.
Johann Reuter
Concetta Neureuther
Frau Christiane Zänker B.A.
Liesbeth Schlosser
Ria Dietz
Raisa Stey-Sauer
Inken Juncken
Aziz Hornich
Krista Junken-Hövel
Jonas Boucsein
Univ.Prof. Annegrete Henck B.A.
Jeannine Heinz-Tlustek
Faruk Schomber
Herr Rolf-Peter Renner MBA.
Heidemarie Junitz
Elke Huhn
Herr Anton Mohaupt B.A.
Hermann Josef Weihmann
Ingo Heinz
Ingried Stiffel B.A.
Constantin Jacob B.Sc.
Mijo Jessel B.A.
Uschi Keudel
Dr. Jane Kostolzin
Herr David Freudenberger B.Eng.
Gerta Hartmann
Frau Ayten Pärtzelt MBA.
Univ.Prof. Alexei Mülichen MBA.
Cetin Schwital
Josefa Lange
Eleonore Kuhl-Koch
Gaetano Lübs
Prof. Raymond Söding
Herr Imre Kohl
Andree Budig B.Eng.
Heidelore Pärtzelt MBA.
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Anna-Marie Ullrich
Madeleine Hartung
Heinrich Putz B.Sc.
Svea Krebs-Scheibe
Kristin Niemeier
Alexej Hornig-Radisch
Emmi Adolph
Sonja Barkholz
Krystyna Rust-Baum
Dieter Trupp
Kristina Röhricht
Abram Briemer
Kuno Mälzer B.Eng.
Univ.Prof. Diethard Klotz
Dipl.-Ing. Hanns Nette
Prof. Julia Möchlichen B.A.
Andreas Gunpf
Dr. Marco Scheuermann
Dr. Ella Warmer
Sylvie Börner
Jozef Kostolzin
Carmen Weinhold
Elsa Beer
Ditmar Trub
Sonja Löchel
Lothar Fischer
Willibald Boucsein B.Sc.
Linus Drub
Brunhilde Tröst
Herr Frank Bolnbach
Prof. Wilma Mangold
Aloys Trupp
Ing. Toralf Wiek
Marianna Geisler
Anny Wagenknecht
Jeannine Gieß
Dipl.-Ing. Edda Barth MBA.
Univ.Prof. Walfried Hövel
Helma Schaaf B.A.
Andrej van der Dussen B.A.
Frau Margit Gehringer MBA.
Lidia Franke
Catrin Caspar
Ramon Jäntsch-Gertz
Bertram Rädel
Laura Mühle
Univ.Prof. Michaele Heser MBA.
Wieslaw Freudenberger
Kurt Thanel
Alicia Ring
Emmerich Killer
Klaus-Dieter Koch II B.A.
Sofia Heinrich
Kordula Kambs B.Eng.
Korbinian Werner
Univ.Prof. Mahmoud Liebelt
Helmar Klapp
Harriet Rohleder
Lilly Seifert
Dipl.-Ing. Lucia Renner B.A.
Dr. Dagmar Hörle B.Sc.
Laura Beier
Sükrü Schüler MBA.
Dragica Kreusel
Jeannine Lehmann
Dipl.-Ing. Tomislav Dowerg B.Eng.
Ing. Damaris Bonbach
Univ.Prof. Gretl Langern B.A.
Florentine Eimer
Dr. Carsten Steinberg
Abram Gunpf
Hanno Hölzenbecher B.Sc.
Ibrahim Eberth
Hubertine Jäkel
Hannes Jäntsch
Prof. Irmela Klemt B.Eng.
Harm Nette
Baldur Käster B.A.
Fredi Meyer-Weiß
Ing. Ramazan Kallert MBA.
Hans-Martin Kohl
Kathi Wesack
Katharina Krause-Hornig
Fatih Ladeck-Weihmann
Univ.Prof. Linus Seifert
Gretchen Eimer-Wilmsen
Achim Etzold MBA.
Dipl.-Ing. Theda Weinhold B.Eng.
Leopold Weller-Zobel
Isa Kramer-Matthäi
Hedda Baum
Berit Pärtzelt
Dr. Filippo Eberhardt B.Eng.
Dr. Rosmarie Seip
Jens-Peter Heinrich
Mehmet Beckmann-Geisel
Olav Thies
Andres Sager
Alfredo Möchlichen
Ruth Wiek-Bloch
Alena Holzapfel
Geza Hertrampf B.A.
Prof. Johan van der Dussen
Eugenia Riehl
Desiree Köster
Othmar Zänker
Dipl.-Ing. Tina Kranz MBA.
Helmut Renner
Dr. Gerard Dörr
Sina Patberg
Frau Corinna Wähner
Jasmina Zorbach
Astrid Nerger-Tröst
Anika Binner-Löffler
Heinz-Jürgen Hesse
Deborah Becker
Cristina Salz B.Sc.
Dr. Annedore Wulff B.Sc.
Gaetano Fröhlich
Ernst Gunpf-Naser
Nadia Wirth
Urte Bolzmann
Ortrun Krebs
Franz Josef Nette-Werner
Gregor Loos-Gehringer
Prof. Petar Köhler
Prof. Gertraude Wohlgemut B.Eng.
Dursun Atzler B.A.
Jonas Beyer
Dorle Knappe
Elisabet Preiß-Thanel
Univ.Prof. Dana Seifert
Juliane Mentzel-Ziegert
Gertraud Mende
Prof. Karl-Heinz Ruppersberger
Ing. Amalia Walter
Dipl.-Ing. Jens-Peter Dippel MBA.
Manuel Krause MBA.
Josefa Junk
Catharina auch Schlauchin
Jens Trub
Heimo Hübel MBA.
Benno Ritter
Marie-Therese Steuer
Uli Zimmer
Dr. Amir Jäkel
Dr. Dora Fischer
Ulrike Schleich-Süßebier
Georgia Bärer
Marica Hamann-Koch
Sybilla Eigenwillig
Dr. Herbert Jockel B.Eng.
Anton Müller
Anne-Kathrin Ortmann
Frau Trudi Wähner B.A.
Prof. Mario Butte
Hermine Schüler
Gerti Ullrich
Kay-Uwe Mühle
Ingetraud Fiebig
Violetta Beyer
Guenther Schmidt
Univ.Prof. Axel Dörschner B.Sc.
Univ.Prof. Mira Heser B.Sc.
Gunar Dobes B.Sc.
Valentine Bähr B.A.
Frau Trude Walter B.A.
Hiltrud Pergande
Lilija Ruppert
Jolanda Rose
Leo Gunpf-Bolzmann
Sigfried Franke B.Sc.
Susan Riehl B.Sc.
Sofia Roht MBA.
Oxana Schmidtke
Susan Seip MBA.
Ekkehart Grein Groth
Helen Dehmel
Arzu Stiffel-Drubin
Lisette Schönland B.Eng.
Vito Roht
Joachim Rogge
Christl Pölitz
Melitta Salz
Ing. Pamela Gerlach
Patrizia Spieß
Senol Langern
Senta Wernecke B.Sc.
Dursun Mies
Prof. Folkert Ernst MBA.
Ljiljana Roht
Tadeusz Kruschwitz B.Sc.
Ehrhard Häring B.A.
Hermann Josef Börner
Julia Graf
Ernst-Dieter Geisler B.Eng.
Hans-Uwe Noack-Fröhlich
Helga Gerlach-Seifert
Dr. Hans Dieter Mude
Univ.Prof. Hugo Martin
Baldur Knappe
Felizitas Becker-Mosemann
Ismail Junck-Trommler
Janusz Eberhardt MBA.
Gebhard Kitzmann
Milos Knappe-Scholz
Prof. Dorit Käster B.Sc.
Gert Fischer
Herlinde Birnbaum
Gertrude Bärer
Dr. Sedat Schäfer
Maya Haering-Becker
Amalie Gotthard
Martha Dowerg
Sandy Römer-Bien
Prof. Hans-H. Zimmer
Friedlinde Meyer
Urte Caspar
Rolf-Peter Rosenow MBA.
Claas Wirth B.Sc.
Friedl Briemer-Austermühle
Dipl.-Ing. Patric Johann
Ing. Elsa Liebelt
Prof. Kata Häring
Frau Britt Heß
Manja Koch II-Heuser
Dipl.-Ing. Willibert Süßebier
Osman Salz MBA.
Frau Annegrete Junk B.A.
Undine Lindner
Dipl.-Ing. Margarethe Holt MBA.
Abdul Trüb MBA.
Kornelius Winkler
Herr Anthony Caspar
Volker Adler
Hanife Täsche-Stiffel
Slawomir Bohnbach
Hans-Detlef Matthäi
Rainer Hänel
Hans-Gerd Dietz B.A.
Ing. Gregor Lindau
Ing. Dorothe Junken
Jörg-Peter Christoph
Adalbert Vollbrecht
Ljiljana Henk
Wiltrud Wilmsen-Graf
Klaus-D. Hövel
Ronald Stiebitz
Ing. Edward Salz
Prof. Hermann Bohlander B.Eng.
Harro Gunpf
Ignaz Löwer
Ismet Kroker
Natalie Carsten B.A.
Renate Franke B.A.
Magnus Heidrich
Marga Scholz
Fatih Bohlander
Prof. Cora Bolander
Vito Gorlitz
Agathe Weinhage B.A.
Regina Hamann B.Sc.
Ing. Dörte Freudenberger
Günther Bähr
Prof. Timo Schleich MBA.
Filippo Juncken
Annelene Steinberg
Sören Liebelt
Dr. Diedrich Gerlach B.A.
Prof. Kunigunda Pergande MBA.
Mattias Kensy
Leonore Schacht
Ing. Lisbeth Fritsch
Ansgar Tlustek MBA.
Prof. Sandra Klapp
Vitus Pruschke B.A.
Kay-Uwe Finke
Aziz Anders
Clarissa Wieloch
Liesa Gröttner
John Roskoth-Rädel
Bartholomäus Trapp
Lara Stroh
Raissa Mitschke MBA.
Gaby Noack
André Sauer
Simona Heidrich
Gundula Adler-Bien
Tomislav Steckel
Erhard Otto
Cord Tröst
Hilmar Hörle
Kreszentia Jockel
Adelinde Zimmer
Frau Myriam Walter B.Sc.
Erdmute Mosemann
Marie Hoffmann B.Sc.
Dipl.-Ing. Hermann-Josef Jüttner
Dr. Friedbert Bauer B.Eng.
Reinhard Christoph
Maximilian Jockel
Marta Roht B.Sc.
Ing. Hans-Heinrich Reichmann B.Sc.
Valerie Mangold
Camilla Gunpf
Dr. Alma Warmer MBA.
Paolo Klotz-Hein
Delia Hande-Koch
Herr Gisbert Langern
Friedericke Killer B.Eng.
Herma Möchlichen
Gunter Misicher
Liane Fechner
Mechtild Hering
Dipl.-Ing. Angelique Ortmann
Wenke Neureuther-Hermighausen
Hannchen Zahn
Rose-Marie Schüler
Katharina Speer
Harold Bähr B.A.
Lilli Meyer-Reuter
Ingetraud Austermühle-Dowerg
Ing. Hulda Schaaf
Arne Knappe
Kerstin Heidrich B.A.
Martin Dörr
Gisa Budig-Löwer
Hans-Erich Staude
Thies Rose
Heinz-Willi Geisel
Juliana Möchlichen
Thorben Ruppert
Heinz-Joachim Kobelt
Prof. Theda Hölzenbecher
Prof. Wolf-Dietrich Schweitzer MBA.
Ing. Catrin Dippel MBA.
Heiner Ruppersberger-Hentschel
Marlene Steckel B.A.
Hedwig Briemer
