Student
Jörn Trupp MBA.
Irma Neureuther
Dr. Silvio Täsche
Nurettin Mans-Klemt
Aleksander Drub
Pius Gierschner-Weitzel
Karoline Hübel
Anica Kade-Steuer
Vladimir Kruschwitz
Wilfriede Misicher
Fatima Heser B.Eng.
Claus Juncken
Hanna Knappe
Laila Trüb
Frau Krista Rädel B.Sc.
Kreszentia Bloch-Steckel
Giuseppe Stahr
Dr. Rolf Walter
Rosa Tintzmann
Fatih Bohlander
Dr. Krista Jäkel B.A.
Ellen Jessel-Walter
Johannes Freudenberger
Ing. Daria Lorch B.A.
Liesel Ziegert
Guenter Lachmann
Hilmar Faust
Dr. Hildegund Söding B.A.
Prof. Heinz-Joachim Losekann
Krzysztof Mülichen
Adam Hölzenbecher-Hettner
Lieselotte Nohlmans
Victor Häring
Slawomir Drub-Gute
Niko Bähr B.Sc.
Milos Seifert
Friedl Hölzenbecher-Eberth
Univ.Prof. Amelie Gröttner B.Eng.
Milos Wiek
Hans-Jochen Gorlitz B.Sc.
Frau Stella Plath B.A.
Doreen Striebitz
Freia Lübs
Antonina Pärtzelt-Gerlach
Wenzel Wilmsen
Severin Barkholz B.Eng.
Hans-Wilhelm Weller
Wolfhard Fiebig
Zeki Hartung
Univ.Prof. Simona Holzapfel MBA.
Dragica Rosenow
Jadwiga Gierschner-Schulz
Milan Holzapfel
Janusz Kruschwitz B.Eng.
Adalbert Ullmann
Alex Ziegert
Kriemhild Gude
Anthony Patberg
Ing. Hanne-Lore Ackermann
Ulrike Klemt B.Sc.
Dr. Meral Thies B.Sc.
Ruthild Hoffmann
Magret Oderwald
Wenke Neureuther-Hermighausen
Süleyman Wende
Ludwina Fritsch
Rainer Hänel
Sigmund Hentschel MBA.
Elfie Otto
Ariane Tintzmann
Dr. Emin Dietz B.Sc.
Max Fiebig
Beatrix Rädel MBA.
Daniel Zänker
Prof. Urs Täsche
Knud Trommler
Prof. Horst Mälzer B.Sc.
Catherine Cichorius
Arnim Bärer
Herr Jacek Budig B.Eng.
Margaretha Kohl B.Sc.
Marica Walter
Kristian Ritter
Natalia Hauffer
Linus Drub
Gesine Graf
Univ.Prof. Heinrich Knappe B.A.
Dipl.-Ing. Sieglinde Fischer B.Eng.
Univ.Prof. Vadim Vollbrecht B.A.
Antonius Kraus
Fridolin Paffrath-Geisler
Dr. Steven Wohlgemut
Ann Spieß MBA.
Klaus Dieter Stoll-Wilms
Klaus-Peter Zorbach
Richard Kostolzin
Regine Sorgatz
Herr Emin Trubin
Ing. Henrike Kramer
Waldemar Hendriks
Dr. Ehrhard Gieß B.Sc.
Gert Fischer
Gunnar Hornig
Pius Jopich B.Eng.
Robin Schuchhardt-Reichmann
Heinz-Otto Wende
Dipl.-Ing. Harm van der Dussen
Veronique Hartung-Haering
Käthi Löffler
Meral Eberhardt B.A.
Emma Briemer
Reinhold Bloch
Werner Heydrich-Schmidtke
Berthold Rohleder
Gudrun Reichmann MBA.
Prof. Beatrice Misicher
Heribert Austermühle-Trupp
Ing. Elenore Kostolzin
Ria Koch II
Prof. Gertraude Wohlgemut B.Eng.
Janko Rose
Frau Clarissa Rosenow B.A.
Harold Scheibe
Hildegund Ruppersberger
Heinz-Gerd Beyer
Patrizia Bender-Reuter
Fredo Kühnert-Köhler
Arif Heinrich
Klaus-Peter Gieß-Winkler
Dr. Jan-Peter Martin B.Eng.
Alf Jüttner
Lilly Girschner-Ritter
Prof. Grete Müller
Dagmar Franke-Schleich
Frau Anne-Katrin Rädel
Egon Paffrath
Dr. Erkan Stroh
Ing. Elsa Liebelt
Marlies Beckmann
Romy Baum
Univ.Prof. Virginia Pechel
Ronald Börner-Hentschel
Bekir Cichorius-Döring
Viktor Bauer
Karl Heinz Eigenwillig
Knut Jacob
Klothilde Blümel B.A.
Selim Pieper
Michael Scholz
Gislinde Schlosser
Susann Mielcarek
Alexander Hörle
Helmar Barth
Dr. Jeannine Schleich B.Sc.
Klaudia Löffler-Zorbach
Berthold Haase-Trub
Ing. Knud Vogt
Xenia Christoph
Konstantin Ladeck
Maria-Theresia Heinz B.A.
Natascha Schinke B.Eng.
Karl-Wilhelm Rogner
Univ.Prof. Nikolaus Sölzer B.A.
Phillip Salz B.Sc.
Renata Holt-Heintze
Mareile Tschentscher B.A.
Johann Reuter
Hagen Weimer
Sibilla Hofmann
Stilla Heuser
Prof. Heinz-Peter Sager
Konstantinos Stolze-Biggen
Sebastian Karge
Dr. Hans-Heinrich Kaul B.Eng.
Ulrike Albers
Ing. Pamela Gerlach
Mehmet Löwer-Trupp
Lorenz Schwital-Stadelmann
Herr Marian Schlosser B.A.
Ildiko Mitschke B.Sc.
Ing. Hanna Killer
Elfriede Gnatz
Deborah Etzler
Uli Renner
Eva Wende-Peukert
Käte Ditschlerin-Roht
Hilma Berger
Senta Ruppersberger
Ing. Hanny Noack MBA.
Hans Jürgen Winkler
Claudio Bolnbach
Univ.Prof. Anika Pärtzelt MBA.
Daniele Heintze B.Eng.
Hardy Hänel B.Eng.
Walfried Klotz-Klotz
Victoria Klingelhöfer
Marita Henk
Fabienne Conradi B.Eng.
Adalbert Boucsein
Dajana Gehringer
Heinz-Peter Butte B.Eng.
Dolores Stey-Matthäi
Amanda Stadelmann-Mende
Aenne Mende B.Eng.
Sybilla Striebitz
Nicolai Röhricht-Spieß
Dr. Halina Haase
Dipl.-Ing. Lieselotte Trüb B.A.
Ismail Geisler
Mareile Löwer
Emilia Römer
Paula Heinz
Timo Siering-Hübel
Andrei Bolander-Jäkel
Mohammad Karz MBA.
Reinhard Beckmann
Ing. Bernfried Haering
Birgitta Loos
Wanda Becker
Henni Wagenknecht B.Sc.
Berthold Rudolph
Carl Scheibe
Kläre Mohaupt-Salz
Alma Rörricht
Mariola Tlustek MBA.
Johan Heydrich
Irmi Gute
Sibilla Mitschke-Losekann
Bernhardine Ruppersberger
Bruno Henschel
Bianca Mans
Frau Evelyn Tlustek B.Sc.
Jorge Weitzel
Henner Schmidt
Gaby Noack
Dipl.-Ing. Slavica Mälzer
Herr Wieslaw Trupp
Patricia Wiek
Betty Steinberg
Monika Hornich MBA.
Alexandros Ernst
Teresa Möchlichen
Univ.Prof. Oscar Lindau MBA.
Isidor Heinrich
Ludmila Karge B.A.
Catrin Weller
Prof. Janin Dietz
Gisela Schwital-Scheel
Ilonka Döring-Schulz
Kornelius Hornig MBA.
Ing. Marten Hering
André Kraushaar-Henck
Miriam Hentschel
Felicia Hamann
Anatolij Trub
Bodo Martin
Saban Hendriks
Henri Wirth
Irina Gröttner
Dipl.-Ing. Klaus-D. Kostolzin
Raphael Höfig
Anton Drubin
Franz-Xaver Bachmann
Thies Rose
Mark Sauer B.A.
Bert Ortmann
Dipl.-Ing. Gertraut Stolze
Adolfine Dippel
Annelise Schwital
Dierk Dörr
Charles Anders
Ljiljana Löwer B.A.
Heinz-Werner Schleich-Mies
Hans-Jürgen Barth
Hartwig Sorgatz B.Eng.
Adele Weimer B.Eng.
Hakan Kühnert
Ing. Carin Zorbach MBA.
Desiree Köster
Zeki Otto
Friedhold Löwer-Ebert
Kunigunde Ziegert
Belinda Huhn
Amanda Fechner-Weinhage
Dr. Erdogan Fröhlich
Dominik Huhn
Gert Kensy B.A.
Ing. Siegmar Meyer B.A.
Dr. Karl-Ludwig Stoll MBA.
Fredy Ring
Edda Henschel
Ing. Antonius Jacobi Jäckel MBA.
Hans-Georg Schmidt
Burghard Davids
Sami Mans-Ullrich
Reinhard Christoph
Michel Heß
Leni Heß
Hardy Weller
Othmar Hölzenbecher
Linus Schuchhardt
Hannes Patberg
Alwine Wulf
Dr. Ellen Schlosser B.A.
Celal Ortmann-Otto
Karl-Hans Fiebig
Gert Hölzenbecher B.Sc.
Maximilian Steinberg
Dagobert Eberhardt B.A.
James Kostolzin-Staude
Stephanie Kranz B.A.
Christiana Bauer
Carmelo Klapp-Berger
Maurizio Hermann
Hilde Lübs
Tilman Hövel
Kristiane Steckel
Theda Klotz
Jessika Thies
Dorothe Renner
Salvatore Ruppersberger
Prof. Berend Käster B.A.
Univ.Prof. Markus Schottin
Igor Zobel B.A.
Dipl.-Ing. Edda Barth MBA.
Dr. Abdullah Becker
Franz Josef Hoffmann B.Sc.
Willfried Mende
Brunhild Müller
Kata Gierschner
Adriana Vogt
Ing. Berta Oestrovsky B.Eng.
Urs Matthäi
Ing. Diedrich Gotthard MBA.
Ottomar Kraus
Gerhart Davids B.A.
Univ.Prof. Edmund Mentzel B.Eng.
Ing. Imke Eigenwillig B.A.
Kreszentia Jockel
Elzbieta Putz B.Eng.
Daniela Siering
Ing. Loni Gnatz MBA.
Dr. Samuel Dobes B.Sc.
Herr Otto Vollbrecht
Dr. Trude Girschner
Tadeusz Kruschwitz B.Sc.
Damaris Zirme
Marlen Schenk-Schuchhardt
Dr. Daniel Trommler
Wiebke Hölzenbecher
Sabrina Schomber
Brigitte Geisler
Monja Heidrich
Rico Putz-Killer
Norbert Eimer
Christian Jacobi Jäckel
Margaret Kraus
Prof. Vadim Stroh
Helmtrud Börner B.A.
Gislinde Lehmann
Celal Scheel B.A.
Severin Mende B.A.
Eveline Putz
Dipl.-Ing. Alexandros Weinhold
Blanka Birnbaum
Erhardt Heidrich
Fatma Seidel B.A.
Saban Eimer
Prof. Jelena Krebs B.Sc.
Beatrice Käster
Abbas Segebahn
Prof. Monica Beer MBA.
Raphael Bonbach MBA.
Dr. Edelbert Wieloch MBA.
Dina Hartung
Marianne Ziegert-Werner
Angela Hamann
Prof. Bernward Wulf B.Eng.
Hans-J. Trapp-Koch II
Univ.Prof. Traudl Mentzel B.Eng.
Prof. Guenther Margraf B.Eng.
Dipl.-Ing. Gabi Scholtz
Berndt Mohaupt MBA.
Emanuel Scholz B.Eng.
Tibor Schleich
Janin Hermann
Ing. Anneliese Döring
Antonia Mohaupt
Univ.Prof. Woldemar Walter
Rene Albers
Carina Bruder
Dipl.-Ing. Violetta Briemer B.A.
Univ.Prof. Franz-Josef Holt
Käthe Ernst
Gerald Hendriks
Mathilde Kreusel
Anna-Lena Wohlgemut
Univ.Prof. Fredi Hölzenbecher
Hans-Günther Kohl B.Eng.
Frau Wendelin Heinrich B.Eng.
Ing. Gottfried Hoffmann
Ann-Kathrin Mühle
Reimer Scheel B.Eng.
Luisa Hecker
Evelyn Bien
Igor Dörschner
Maya Haering-Becker
Ellen Röhrdanz
Adele Stroh
Gönül Barth-Zobel
Dipl.-Ing. Leo Sager
Jan-Peter Grein Groth
Ferdinand Junitz B.Eng.
Magarete Schomber
Woldemar Bähr
Abram Briemer
Anna-Marie Heidrich
Dipl.-Ing. Halina Bender B.A.
Antonios Zimmer
Oscar Junitz
Friedemann Kostolzin
Dipl.-Ing. Petar Wohlgemut
Helene Gröttner-Hornich
Elmar Förster
Viviane Girschner
Liesbeth Schlosser
Herr Hilmar Stumpf
Timm Oderwald
Kamil Hecker-Hahn
Viola Ackermann
Anke Hettner
Univ.Prof. Alexandros Junk
Stephanie Dörr-Bärer
Baptist Vogt
Prof. Liane Jungfer
Willibald Ziegert-Siering
Beatrice Bender
Goran Benthin
Josephine Nerger-Mende
Bertram Höfig B.Sc.
Dominic auch Schlauchin
Sami Junitz
Janina Seifert
Ing. Christel Margraf MBA.
Brit Lindner
Manja Koch II-Heuser
Dipl.-Ing. Walburga Steckel
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Heinz-Günther Bohnbach
Giuseppina Keudel
Milica Reichmann
Jane Reuter
Gundi Schwital
Aenne Kraus
Dr. Anna-Maria Zahn B.Sc.
Hanne Ackermann
Dr. Lidija Weihmann
Anton Müller
Bogdan Löffler
Univ.Prof. Liliana Niemeier B.Eng.
Daniele Finke
Rosa Pieper B.Eng.
Gertraud Jüttner
Florence Schulz
Ing. Carolin Faust B.A.
Marie-Therese Steuer
Rüdiger Buchholz-Kuhl
Toni Schottin B.A.
Cäcilie Schmidt
Wigbert Ortmann
Änne Tlustek-Freudenberger
Frau Julie Gunpf
Univ.Prof. Jann Schleich
Jacqueline Hofmann
Justina Neureuther
Prof. Ruthild Nette B.A.
Claudius Rust-Mans
Angela Weimer B.A.
Prof. Aziz Stumpf
Guntram Scholz MBA.
Carla Schacht
Erwin Etzold
Hanspeter Davids
Dr. Krista Wirth
Friedericke Ring MBA.
Denis Weimer
Ilja Wende
Frau Evamaria Geißler
Prof. Niko Hethur B.Eng.
Gino Häring
Brita Schwital
Prof. Ralf-Peter Schlosser B.Eng.
Martin Rose B.A.
Univ.Prof. Vesna Hering
Friedlinde Mühle B.A.
Univ.Prof. Claudio Schmiedt
Ing. Boris Junck MBA.
Dr. Ottfried Lachmann B.Sc.
Achim Budig
Mike Matthäi
Birgitta Beckmann-Thanel
Ing. Edward Salz
Karl-Georg Sontag B.Sc.
Dagmar Dussen van
Wolf-Rüdiger Börner
Philipp Killer B.A.
Mariusz Stadelmann-Jähn
Dipl.-Ing. Cynthia Hauffer B.A.
Bianka Schmidt
Univ.Prof. Eugen Karz
Freddy Nette-Hendriks
Dipl.-Ing. Ira Röhricht B.Sc.
Dorit Zimmer-Krein
Marianna Hofmann
Aleksandr Schuster B.A.
Korbinian Werner
Reinhart Becker
Teresa Ladeck-Rädel
Aziz Anders
Miriam van der Dussen
Hanns Ehlert MBA.
Donald Schönland
Cäcilie Roht-Misicher
Ing. Carolin Matthäi
Korbinian Bolander
Dr. Irmgard Plath B.A.
Dietrich Adolph MBA.
Rosemarie Schmiedecke
Dr. Franz-Peter Löffler
Ulla Hamann
Prof. Hermann Bohlander B.Eng.
Dipl.-Ing. Annemarie Trommler B.Sc.
Prof. Klaas Geißler B.A.
Univ.Prof. Babette Kitzmann
Chantal Kade
Gilbert Peukert B.Eng.
Steven Eimer
Emilia Seifert
Geza Weller
Heinrich Dippel
Dr. Philip Siering B.A.
Dan Scheuermann
Luigi Wähner
Dipl.-Ing. Helma Heuser B.Sc.
Gundula Scheel-Döring
Dörthe Hiller
Prof. Niels Barkholz
Valerie Losekann
Wilma Matthäi
Eileen Hartung
Heide Hesse-Bärer
Pero Römer
Emma Sorgatz-Radisch
Uli Schönland-Trupp
Isa Tlustek
Univ.Prof. Marcella Trüb
Johann Rust
Herr Ekkehart Sorgatz
Raimund Gieß
Arnulf Ullmann
Ralf-Peter Ebert
Irmela Höfig B.Sc.
Ernst Gunpf-Naser
Dörte Warmer
Fatih Zirme
Jann Schleich
Edith Kostolzin
Mirko Ehlert
Ehrenfried Stiffel
Gunhild Stroh-Jacob
Elisa Steinberg
Alicja Sorgatz
Dr. Vitus Franke
Ing. Steffen Röhrdanz B.A.
Dipl.-Ing. Adele Huhn MBA.
Torben Roskoth-Wilmsen
Heiner Pieper
Nicolaus Jessel
Diethelm Hübel MBA.
Bodo Ullrich
Karl-Heinrich Karz
Irmtraut Fröhlich-Hertrampf
Heribert Römer-Lindau
Prof. Gesine Lange
Dr. Aribert Sontag
Kenneth Kramer
Dietrich Bien
Gottfried Hettner-Reising
Josefine Rosemann
Inka Trub
Dipl.-Ing. Patric Fröhlich
Gunar Dobes B.Sc.
Gabriele Käster
Imre Sauer
Thomas Kraushaar
Dennis Beer-Striebitz
Friedo Lorch
Univ.Prof. Kirstin Killer B.Eng.
Ljiljana Kostolzin
Johanne Kusch
Hanni Wieloch
Franziska Wernecke
Jacob Süßebier
Annelore Bolander
Gabi Neuschäfer-Oestrovsky
Marcus Finke
Dr. Alma Warmer MBA.
Oxana Lübs
Danilo Ladeck-Köhler
Susanna Jäntsch
Linus Mans-Röhrdanz
Hildegund Gunpf
Anneli Neuschäfer
Dr. Hans-Herbert Losekann B.A.
Herr Valerij Heydrich
Francesco Wieloch-Herrmann
Senol Heintze-Gerlach
Luka Stiffel
Univ.Prof. Jürgen Weiß
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Czeslaw Jäkel-Röhrdanz
Wiltrud Christoph
Karoline Carsten
Aribert Putz
Dr. Hans-Peter Adolph MBA.
Anny Zirme
Dipl.-Ing. Josip Mies
Slawomir Bohnbach
Sami Stolze-Döhn
Hans-Günther Eimer
Erwin Jopich
Curt Mühle
Dr. Frieda Metz
Heinz-Günter Mülichen
Herr Bastian Hübel B.A.
Clara Stroh
Antonietta Barth
Kriemhild Junk MBA.
Hanno Trub
Hans-Rainer Rogner
Stjepan Schmidtke
Prof. Marion Martin
Ing. Bianka Bärer MBA.
Evi Oestrovsky
Korinna Spieß MBA.
Notburga Huhn
Dr. Muzaffer Sauer B.Eng.
Sybilla Herrmann-Pärtzelt
Ignatz Franke
Zeynep Lehmann
Kathi Etzler
Dr. Joseph Bien
Harm Hein
Bernt Conradi
Univ.Prof. Czeslaw Tröst
Björn Steckel B.Eng.
Prof. Theodoros Paffrath B.A.
Ismail Steinberg
Siegrid Hande
Celal Seifert
Jakob Seifert
Dipl.-Ing. Lucia Renner B.A.
Dipl.-Ing. Hermann-Josef Jüttner
Armin Scholz
Karla Gunpf
Univ.Prof. Alexandre Schottin
Elly Hande
Hartmuth Koch II
Heinz-Wilhelm Werner
Rotraut Ullrich
Dipl.-Ing. Melanie Kreusel B.A.
Franco Loos B.Eng.
Univ.Prof. Dorle Fröhlich
Jan Döring B.A.
Yusuf Nette B.Sc.
Ing. Leonid Budig B.A.
Hatice Killer-Löwer
Stavros Hoffmann
Dr. Bernfried Bärer
Gilda Rohleder
Harro Söding
Gerwin Textor
Josefine Rosenow-Hertrampf
Woldemar Heydrich B.Eng.
Adelbert Rörricht
Karoline Römer
Antoinette Schottin
Kläre Beier B.A.
Theodoros Vollbrecht-Gutknecht
Ralf-Peter Gute
Wencke Riehl-Stoll
Ludwina Beer
Theda Stumpf B.Eng.
Wilhelm Klemm B.A.
Dr. Lilija Butte B.A.
Augusta Beer
Sofia Mielcarek B.A.
Adeline Holsten
Klaus-Dieter Koch II B.A.
Dr. Ruth Dobes
René Ehlert
Prof. Johannes Holzapfel MBA.
Dipl.-Ing. Astrid Kade
Harri Mans
Adelheid Schinke
Jonas Budig
Aribert Kusch
Clara Rust
Alwine Linke
Frau Josefa Henschel B.A.
Alina Finke
Inka Hornig B.A.
Patrick Anders-Stolze
Herr Siegmar Geisler
Tülay Scholtz
Hansgeorg Heuser
Nadja Geisler
Gino Ernst
Janin Haase
Frieder Austermühle
Brit Anders
Herr Osman Gerlach B.Sc.
Wladimir Rogge
Hans-Michael Rudolph
Cosimo Bender
Luitgard Weiß-Rörricht
Hans-J. Wohlgemut
Birgid Schüler
Herr Eberhardt Gierschner
Lutz Mies-Hesse
Univ.Prof. Conny Wagner MBA.
Tobias Wirth
Gislinde Müller
Jens Löchel
Kevin Trubin
Ilhan Budig
Frau Natalija Stey
Siegmar Kramer
Janusz Rädel B.Sc.
Vitali Walter-Krein
Brita Jäkel
Frau Melita Scholz B.A.
Regina Hamann B.Sc.
Klemens Knappe
Herr Goran Paffrath
Dina Johann
Marlen Wende
Marga Vogt
Univ.Prof. Michail Tintzmann B.Eng.
Joanna Christoph
Hans-Detlef Schäfer
Ing. Hans-Walter Ackermann
Jerzy Mende-Wagenknecht
Frau Hedwig Wirth
Pedro Beer
Stefano Koch B.Eng.
Irmtraud Hauffer-Matthäi
Konstantinos Linke B.Eng.
Mathias Matthäi
Vittorio Hertrampf
Brigitta Walter
Prof. Meral Jüttner MBA.
Margarethe Steckel
Silja Eberhardt-Boucsein
Dipl.-Ing. Viktor Scheibe MBA.
Elsa Beer
Clemens Barth
Prof. Emine Beer
Catrin Hamann
Benita Hahn-Wieloch
Christiane Blümel
Astrid Dehmel
Halil Warmer B.Sc.
Laurenz Ritter
Toralf Jessel
Ing. Heide Winkler
Adelinde Geisler
Agathe Gertz-Butte
Ingmar Beckmann
Grzegorz Bohlander
Ing. Denny Mende
Lotti Mosemann
Markus Albers
Karl Zirme
Marco Stey
Franz Josef Girschner
Tabea Birnbaum
Stephan Hauffer
Hansjörg Müller B.Sc.
Christel Mangold
Carina Schaaf
Annie Harloff B.A.
Dipl.-Ing. Leokadia Junk
Prof. Gertrude Renner B.A.
Erdal Bruder
Hans-Michael Krein-Wernecke
Prof. Mirko Adolph B.A.
Louis Kostolzin
Dr. Annelene Hamann
Dino Kusch-Hiller
Paolo Klotz-Hein
Janet Kade
Krzysztof Niemeier-Kostolzin
Filiz Bähr
Dipl.-Ing. Sedat Sontag
Dipl.-Ing. Undine Warmer
Dr. Jonas Anders B.Sc.
Univ.Prof. Greta Trapp
Prof. Helmut Hellwig MBA.
Univ.Prof. Ottmar Jopich
Dr. Gero Röhricht B.Eng.
Heimo Knappe
Dorit Ebert
Götz Hofmann B.A.
Paolo Schmidt B.A.
Prof. Janos Werner B.Eng.
Friedlinde Sauer
Antonius Pärtzelt-Jüttner
Karl-Hans Schuchhardt-Mohaupt
Gerhart Schenk MBA.
Faruk Meister
Ole Schmidtke
Dr. Natascha Schmidtke B.Eng.
Dr. Wencke Junken B.Eng.
Francoise Dippel B.Eng.
Gertrud Ditschlerin
Fredy Birnbaum-Kensy
Eugenia Stey
Univ.Prof. Fatima Hölzenbecher
Heide Knappe
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Kaspar Junken
Grete Peukert
Dipl.-Ing. Jens-Uwe Dobes
Andre Schlosser
Diethelm Hofmann
Univ.Prof. Romuald Hermighausen
Leonore Hettner-Staude
Ernest Müller
Marieluise Schulz
Patrizia Schüler
Danilo Losekann
Heide-Marie Koch II
Univ.Prof. Pia Schlosser MBA.
Karsten Schwital
Alicja Gieß
Ludmila Löffler
Cynthia Langern
Hasso Zahn
Süleyman Baum
Madeleine Henk
Inken Juncken
Johann Seidel
Siegrun Reinhardt
Dipl.-Ing. Ingbert Krebs B.Eng.
Cora Scholtz
Friedrich-Wilhelm Stahr-Henck
Käthi Faust-Gorlitz
Cristina Salz B.Sc.
Isa Weihmann
Dr. Lidija Metz
Silvia Eberth
Marisa Wagenknecht
Vitali Junken
Gertraude Pärtzelt MBA.
Carl-Heinz Steinberg
