Student
Ing. Margarethe Martin
Hildegard Schlosser-Jacobi Jäckel
Jessica Schottin
Prof. Freya Biggen B.Eng.
Ewa Bolnbach-Textor
Nurettin Dippel
Ing. Zoltan Dobes B.A.
Mohamed Stiebitz-Pärtzelt
John Gunpf B.Sc.
Prof. Anka Schulz
Birgitta Beckmann-Thanel
Andrea Wulf
Armin Scholz
Luciano Aumann
Resi Ullmann
Senol Heintze-Gerlach
Prof. Ildiko Adler MBA.
Frau Anny Niemeier B.A.
Egbert Jüttner
Dr. Lea Kraushaar B.Eng.
Hansgeorg Heuser
Dipl.-Ing. Reinhart Gotthard B.Eng.
Irena Wilmsen
Janette Wiek
Reinhart Jopich
Herr Yusuf Kabus B.A.
Chantal Fröhlich
Gilda Scholz
Mariola Gnatz
Jens-Uwe Schlosser
Hanns Ehlert MBA.
Ing. Hulda Schaaf
Heinz-Joachim Stiebitz
Daniela Wernecke-Hölzenbecher
Karl-Josef Schottin-Hoffmann
Stanislav Reuter
Victoria Hornig
Achim Mülichen-Schleich
Eckehard Steckel
Hanne Ackermann
Selma Fritsch B.Eng.
Alwina Koch
Dr. Wencke Junken B.Eng.
Hansjürgen Schlosser
Dipl.-Ing. Cläre Geißler
Herr Darius Heuser
Isabel Rose
Clemens Barth
Jeannine Gieß
Ellen Liebelt
Julian Lehmann-Ortmann
Hanni Dippel-Heser
Karl-Dieter Seifert
Inka Hornig B.A.
Brit Lindner
Herr Hinrich Mühle
Torben Hartung
Ing. Lucie Karz
Gundolf Schomber-Hellwig
Krista Junken-Hövel
Herr Gordon Weihmann B.Eng.
Änne Möchlichen
Dipl.-Ing. Lilly Junken MBA.
Gudula Stroh-Bien
Sibylle Löchel
Reinhold Bloch
Dr. Selma Geisel B.Sc.
Evangelia Stumpf-Ruppersberger
Friedrich Bolnbach-Gnatz
Maik Oestrovsky B.Sc.
Ing. Guenther Scholtz B.A.
Friederike Sölzer-Hentschel
Andree Budig B.Eng.
Wulf Fiebig B.A.
Hans-Hinrich Bohlander
Herr Ronny Tröst B.Sc.
Hans-Jochen Stolze
Frau Clarissa Rosenow B.A.
Denny Pechel
Wolf-Dietrich Berger
Klaus-Peter Schüler-Schaaf
Hagen Weimer
René Hölzenbecher-Berger
Ing. Christina Beckmann B.Eng.
Marco Conradi
Saban Eimer
Rosa Rosenow B.Eng.
Ing. Clemens Wirth
Univ.Prof. Till Vogt MBA.
Ernst-August Beyer
Antonia Stey
Prof. Hermann Josef Söding
Dominic Gunpf MBA.
Hans-Helmut Wesack
Cornelius Jacobi Jäckel
Sara Johann
Dipl.-Ing. Agatha Pruschke
Karina Tschentscher-Butte
Ing. Damaris Bonbach
Rico Cichorius
Univ.Prof. Veli Etzler
Tomas Säuberlich B.A.
Dipl.-Ing. Canan Pölitz B.Eng.
Janus Oderwald-auch Schlauchin
Gunhild Nohlmans
Filiz Bähr
Fatih Ladeck-Weihmann
Dipl.-Ing. Patricia Werner B.Sc.
Liselotte Lindau
Prof. Jelena Krebs B.Sc.
Käthi Naser-Tlustek
Sevim Textor-Schinke
Curt Jopich
Raymond Löchel-Ziegert
Claus Jähn B.Eng.
Gerda Gröttner B.Sc.
Karl-Georg Lehmann
Volker Hettner
Univ.Prof. Friedl Peukert B.Eng.
Gisa Hornig-Geißler
Mandy Huhn B.A.
Georg Misicher
Ing. Hans-Wilhelm Holt B.Sc.
Dipl.-Ing. Hans-Günther Bien
Hedwig Matthäi
Ing. Mike Stolze
Julie Schweitzer
Univ.Prof. Ivonne Haase B.Sc.
Univ.Prof. Alexandros Junk
Alfonso Grein Groth-Henck
Kordula Dobes-Buchholz
Domenico Gertz
Senol Harloff-Lindau
Frauke Dörschner
Dipl.-Ing. Ismet Käster B.Eng.
Frau Herlinde Schleich B.Sc.
Dipl.-Ing. Hans-Karl Dussen van B.A.
Susann Haering
Prof. Irma Bien B.Eng.
Inken Juncken
Marica Walter
Herr Augustin Thies B.A.
Kordula Kambs B.Eng.
Prof. Hermann Bohlander B.Eng.
Bekir Cichorius-Döring
Adrian Trupp
Frau Bianka Henk B.Sc.
Hiltraud Klemm-Pärtzelt
Marcella Ehlert
Jonas Albers
Prof. Wolf-Dietrich Schweitzer MBA.
Theo Döring
Walentina Eckbauer
Dipl.-Ing. Valeria Kühnert MBA.
Birgid Drewes-Seifert
Nurettin Börner
Dr. Miguel Jungfer
Dipl.-Ing. Sigrid Hahn
Milan Weiß-Schuchhardt
Herr Tino van der Dussen MBA.
Volker Süßebier-Staude
Univ.Prof. Resi Kobelt
Ekkehart Grein Groth
Annegret Atzler
Erhardt Steinberg
Marieluise Kruschwitz
Prof. Aribert Eberhardt B.Sc.
Mirko Eckbauer
Prof. Janin Dietz
Abram Peukert MBA.
Prof. Friedo Reuter
Therese Rohleder
Brita Roht MBA.
Boris Kruschwitz
Catrin Caspar
Hans-Detlef Schleich
Frithjof Mielcarek MBA.
Dr. Anika auch Schlauchin B.Sc.
Dr. Silvester Krein B.Sc.
Deborah Etzler
Friedrich-Karl Zorbach
Dr. Irmgard Plath B.A.
Gundula Vollbrecht
Kenneth Kramer
Dörte Warmer
Dr. Friedbert Bauer B.Eng.
Irmela Krein-Bolzmann
Andrea Hamann
Martha Dowerg
Univ.Prof. Marc Schmiedt
Carsten Junken
Ing. Mattias Boucsein
Jonas Hendriks
Dr. Marie-Theres Möchlichen B.A.
Thorben Ruppert
Ing. Nils Pergande B.A.
Gislinde Klapp B.Sc.
Bettina Schlosser
Harry Lange
Mona Wiek B.Eng.
Felix Hölzenbecher B.A.
Marleen Heser
Krista Gertz B.Eng.
Prof. Tina Ullrich
Jorge Weitzel
Catherine Huhn
Cilli Röhricht
Karoline Hübel
Marliese Becker
Anne-Katrin Seip
Gerwin Bonbach-Fliegner
Lorenzo Hornig
Hartmuth Vollbrecht
Ismail Junck-Trommler
Claire Rogner-Scheel
Irmengard Eckbauer
Jadwiga Gierschner-Schulz
Gerhart Davids B.A.
Rena Rohleder
Sigurd Lange-Seifert
Filippo Jungfer-Kabus
Herr Ansgar Gnatz
Tomasz Preiß
Hellmut Nerger
Dr. Peggy Beyer B.Sc.
Petar Bauer
Luise Gertz-Fliegner
Gerolf auch Schlauchin
Bertha Gotthard
Edith Kostolzin
Ing. Herbert Mühle B.Sc.
Margot Sontag MBA.
Asta Hesse
Herr Ilhan Tröst B.A.
Gislinde Schlosser
Filippo Jäntsch
George Käster-Eberth
Slavko Weitzel B.Sc.
Peggy Holt
Ing. Birgid Möchlichen B.A.
Dr. Daniel Trommler
Helene Kuhl-Austermühle
Riza Römer
Frau Jane Caspar
Ing. Dirk Paffrath
Hannchen Löwer B.Eng.
Nadia Wirth
Judith Koch-Mude
Univ.Prof. Marleen Kabus
Ana Klapp MBA.
Herwig Jäntsch B.Sc.
Vera Heydrich
Magdalene Fröhlich
Romy Etzold
Dina Schmidtke
Betti Zirme B.A.
Prof. Heinz-Peter Sager
Ing. Ben Lindau MBA.
Trude Scholtz B.A.
Antonios Klemm B.Sc.
Helfried Langern
Danica Atzler
Friedrich-Wilhelm Stahr-Henck
Sibylla Klingelhöfer B.Sc.
Valerie Losekann
Gabriel Süßebier-Eigenwillig
Prof. Alida Mangold MBA.
Katharine Renner
Dorothee Blümel
Ignatz Gutknecht
Klaus-Jürgen Jockel
Muharrem Benthin
Milos Kuhl B.Sc.
Frau Constanze Heidrich B.Sc.
Prof. Liliane Gehringer MBA.
Kathi Hering
Conny Metz
Saskia Heidrich
Ante Gunpf
Hans-Bernd Zorbach
Amalia Schmidtke-Radisch
Iwan Butte B.Sc.
Danilo Hartmann
Ing. Bernfried Haering
Christina Schlosser
Cornelia Gehringer
Univ.Prof. Regina Salz B.Eng.
Francisco Trupp
Dipl.-Ing. Ehrenfried Kranz MBA.
Anica Kade-Steuer
Lidwina Karz MBA.
Marit Eberth
Eva Wende B.Eng.
Hansjürgen Lindner
Edeltrud Margraf
Univ.Prof. Gretchen Sontag B.A.
Franz-Peter Preiß B.A.
Fatih Bohlander
Aneta Kambs
Wojciech Girschner B.A.
Dietlinde Söding
Maurizio Hermann
Franz-Xaver Bachmann
Dr. Annette Linke MBA.
Prof. Friedbert Tschentscher B.Eng.
Kira Hartmann B.Sc.
Constantin Jacob B.Sc.
Dagmar Franke-Schleich
Bert Ortmann
Ing. Justina Beckmann
Frau Ina Dietz MBA.
Karl-Hans Fiebig
Sigurd Süßebier
Reza Misicher
Peer Hölzenbecher
Ulrich Segebahn
Dipl.-Ing. Tim Fritsch
Adam Gertz
Burkhardt Jäntsch B.A.
Annemie Herrmann
Prof. Tilmann Franke B.Sc.
Anica Sorgatz B.Sc.
Hans-Hinrich Trub
Univ.Prof. Michaele Heser MBA.
Elwira Wirth
Slavica Ernst-Schmidtke
Dr. Karla Christoph
Mira Rohleder
Hans-Jochen Mude
Frank-Michael Sontag
Felix Wilms
Urban Klemt
Friedrich-Karl Weimer
Fatma Möchlichen
Stefanie Dippel
Linda Ziegert-Junken
Hans-Willi Benthin
Prof. Constance Austermühle B.Sc.
Lydia Jopich
Erich Putz
Steffen Rust B.Eng.
Brunhilde Mälzer-Warmer
Mercedes Sauer
Natali Patberg B.A.
Mandy Scholl-Bohnbach
Gebhard Eberth B.Eng.
Karl-Heinz Rohleder
Centa Bohlander-Stiebitz
Ingrid Eigenwillig
Tomislav Jopich-van der Dussen
Alwine Wirth-Klemm
Dr. Markus Roskoth B.Sc.
Frau Rosemarie Stiffel
Volkmar Trub
Friedlinde Schenk-Wulff
Mariele Peukert
Jessica Gotthard
Mirco Barth
Dr. Ruben Wernecke
Prof. Svea Putz MBA.
Ing. Aziz Hein
Angelina Ruppert-Siering
Ing. Rico Hoffmann
Ing. Stanislaw Weihmann B.A.
Jonathan Mohaupt
Gesa Keudel-Bauer
Ing. Felicia Dörschner B.Sc.
Fred Wende
Leopold Rörricht
Siegrun Christoph
Konstanze Mohaupt
Jörg-Peter Christoph
Hans Josef Thanel
Dr. Evangelia Killer B.Sc.
Dipl.-Ing. Albrecht Metz
Herr Thorsten Hartmann B.Eng.
Jan Linke MBA.
Margitta Hethur MBA.
Stephanie Kranz B.A.
Janusz Eberhardt MBA.
Cornelius Scheuermann
Ernst Henschel
Dipl.-Ing. Berend Niemeier
Ing. Toralf Wiek
Heinz-Otto Geisler B.Sc.
Univ.Prof. Zofia Rust
Gina Wulff B.A.
Hans-Christian Roht
Valentin Steuer-Mans
Frau Annegrete Junk B.A.
Curt Schönland
Rahel Kreusel
Univ.Prof. Romuald Hermighausen
Anna-Marie Steckel
Sibel Hörle
Ottokar Berger
Albrecht Rust-Heinrich
Herr Wladimir Bolnbach
Klaus-Werner Bohlander
Geert Rudolph
Martine Conradi
Herr Simon Fliegner MBA.
Valerij Schulz B.A.
Arnim Bärer
Gero Gierschner
Telse Rudolph
Herr Erich Rosenow
Edit Siering
Frank-Peter Bien
Ing. Heinz Ehlert
Dorina Weinhage
Daniela Siering
Arzu Wieloch-Röhrdanz
Valerie Kallert B.A.
Lilo Hartung
Gina Pieper
Meral Eberhardt B.A.
Magarete Beyer B.Eng.
Katherina Hesse
Ditmar Niemeier
Herr Gerold Kreusel
Karl-Peter Heser
Ing. Lisbeth Fritsch
Ludwig Reinhardt
Univ.Prof. Antoinette Wende B.A.
Wiltrud Wilmsen-Graf
Joanna Weinhold-Förster
Sina Spieß
Frau Zdenka Boucsein B.Eng.
Ines Anders
Univ.Prof. Almuth Cichorius B.Eng.
Ing. Madlen Beier B.A.
Frau Bruni Krein B.A.
Ayse Scheuermann-Sölzer
Leokadia Putz
Prof. Andrzej Gorlitz
Ing. Edeltraud Zirme
Nina Ladeck
Sonia Gorlitz-Mude
Andrei Säuberlich
Laurenz Siering-Kallert
Univ.Prof. August Schleich B.A.
Fredy Ring
Dipl.-Ing. Marisa Scholl
Ing. Ivana Budig B.Eng.
Luka Stiffel
Frau Lilli Möchlichen MBA.
Heimo Förster
Dipl.-Ing. Danuta Stumpf B.Eng.
Univ.Prof. Franca Ritter B.Eng.
René Rose-Krebs
Anastasios Kuhl
Paulina Oderwald
Anatolij Peukert
Augusta Beer
Univ.Prof. Trudel Gierschner MBA.
Univ.Prof. Luka Mende
Margaret Kraus
Wolfgang Beier-Mohaupt
Hans-Michael Krein-Wernecke
Marzena Mentzel
Cecilia Killer
Karl Heinz Stiebitz
Justine Lindner
Carina Hövel
Monique Schleich-Kroker
Hinrich Römer
Ottmar Beier
Engin Hofmann
Ilija Lindner
Dr. Siegfried Heinz B.Eng.
Rose-Marie Jäkel
Gesine Graf
Dusan Ruppersberger B.Sc.
Cornelia Schinke
Henni Ullmann MBA.
Ivanka Rogge
August Weihmann
Sylvio Stiffel
Mira Sontag
Univ.Prof. Lydia Langern
Ing. Meik Eberhardt B.A.
Dipl.-Ing. Walfried Rosemann B.Eng.
Jacek Täsche
Rosita Peukert-Scheibe
Reimar Rädel
Patrizia Spieß
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Dr. Achim Barth
Anna-Marie Zorbach
Ron Sorgatz-Eimer
Berthold Rohleder
Wera Hauffer B.A.
Dorle Knappe
Benita Ullmann
Prof. Swen Benthin MBA.
Karl-Jürgen Ziegert
Augusta Rosemann
Ing. Marie-Therese Seifert
Robin Junk-Henk
Dipl.-Ing. Peer Kuhl
Dr. Irmtraut Gnatz B.Eng.
Dr. Carmela Rudolph
Ljiljana Ruppert
Eleni Matthäi
Anette Anders
Piotr Ruppersberger
Canan Berger-Hellwig
Danny auch Schlauchin
Kirstin Boucsein B.Eng.
Lena Losekann
Nadeschda Hande
Dr. Helge Täsche MBA.
Uli Schönland-Trupp
Rosina Ditschlerin-Ortmann
Roberto Jockel
Margit Walter
Canan Heinrich
Franco Radisch
Rahel Dörschner
Joachim Süßebier
Juan Fechner
Clara Mans
Claire Holt
Kreszenz Ruppert-Dobes
Dipl.-Ing. Marieluise Löchel
Justus Lorch
Dr. Patrizia Dörschner B.A.
Slawomir Ehlert-Reising
Zenon Hahn MBA.
Sofie Staude
Univ.Prof. Albin Bärer
Gaby Noack
Egon Paffrath
Adelgunde Wagenknecht
Mohammad Finke
Univ.Prof. Helmut Junitz B.Eng.
Prof. Torsten Geisel B.Sc.
John Roskoth-Rädel
Gertraude Ruppersberger
Lambert Gehringer
Kläre Beier B.A.
Marc Henck B.Eng.
Lieschen Röhricht MBA.
Univ.Prof. Charlotte Lindner MBA.
Dr. Hans-Herbert Losekann B.A.
Wenke Stolze
Monica Drub-Davids
Ing. Carolin Matthäi
Dr. Zenta Holsten
Giuseppina Linke
Nikola Riehl
Prof. Meral Jüttner MBA.
Mechthild Finke
Ehrhard Förster
Holger Röhricht
Prof. Romy Bohnbach
Dietlinde Schönland
Ing. Zoran Tintzmann
Georgine Segebahn
Ute Möchlichen
Loni Trubin
Oskar Beyer
Dr. Burkard Bolzmann B.A.
Emanuel Scholz B.Eng.
Katharina Käster MBA.
Birgitta Hettner
Carla Hecker
Rosa Heuser
Mike Matthäi
Prof. Ruth Gehringer
Hans-Albert Schwital
Frau Stefani Hendriks B.A.
Edeltrud Kambs
Sevim Vollbrecht B.A.
Anna Hartmann
Irmtraut Noack
Gottlob Seip
Birger Becker
Senta Weihmann
Dr. Elwira Hiller
Friedhilde Wernecke
Zlatko Kraus
Bertram Rädel
Carolin Etzler
Frau Dora Rosemann B.A.
Daria Jopich
Ehrentraud Trubin
Univ.Prof. Karin Beier
Magarete Klingelhöfer-Mans
Hans Misicher
Felicia Hamann
Dr. Jane Kostolzin
Hans-Bernd Kabus
Karl-Friedrich Kitzmann
Irina Mielcarek
Justus Schleich-Drewes
Dipl.-Ing. Kevin Henk B.A.
Romy Baum
Ignaz Schottin
Anika Biggen MBA.
Dietlind Albers
Kai-Uwe Mitschke
Selma Girschner B.Sc.
Ing. Gabriella Bähr
Maja Jungfer
Dipl.-Ing. Freya Höfig
Karl-Hans Weinhold-Noack
Marie-Theres Jäkel
Mandy Trüb
Ioannis Klemt
Dagobert Rogge
Rochus Gude
Ivan Plath
Rouven Bloch B.A.
Dorle Henck-Sorgatz
Dr. Jens-Uwe Ruppert
Nicolas Möchlichen MBA.
Klaus-Michael Hahn
Univ.Prof. Fredi Hölzenbecher
Univ.Prof. Erna Köhler B.A.
Prof. Marius Herrmann
Dipl.-Ing. Petar Wohlgemut
Ann-Kathrin Davids
Dr. Sara Niemeier
Inna Ditschlerin
Prof. Anica Haering B.A.
Janette Kallert
Dr. Renate Mende
Dino Martin
Heike Karge
André Kraushaar-Henck
Ing. Margot Bonbach B.Eng.
Ana Heinz B.A.
Franz Josef Girschner
Hilde Lübs
Ingrid Rudolph
Aloys Ruppert
Dipl.-Ing. Marek Jockel
Ing. Michel Harloff
Janett Zorbach
Univ.Prof. Ayten Lorch
Univ.Prof. Henry Wohlgemut B.Eng.
Ramon Jäntsch-Gertz
Fatima Weinhage-Boucsein
Theodor Niemeier
Dajana Trapp-Kreusel
Wilhelm Klemm B.A.
Saskia Kallert
Prof. Theodoros Paffrath B.A.
Paola Margraf
Dursun Gehringer
Miguel Dussen van B.Eng.
Helmtrud Gerlach
Sibel Weller
Necati Lindner
Marianna Karge
Angelika Rosemann
Nikolas Hövel
Wolf-Dieter Sölzer-Putz
Elisa Noack-Seifert
Karl-Heinrich Karz
Gisa Gerlach
Frau Marie-Therese Mielcarek
Dipl.-Ing. Laurenz Gerlach MBA.
Prof. Ferdinand Gertz B.Sc.
Daniele Seip
Hans-Detlef Bender
Alena Neureuther
Natalija Haering
Stjepan Schmidtke
Urs Matthäi
Angela Weimer
Grete Rudolph
Evangelia Misicher
Sibilla Eimer
Ortrun Pohl B.Eng.
Katharina Speer
Arndt Bachmann B.Eng.
Gottlob Römer
Siegried Otto
Natalie Bender MBA.
Olivia Nerger B.Eng.
Lambert Röhricht-Johann
Ing. Carolin Anders
Ing. Leo Schulz
Baptist Gröttner B.Sc.
Oxana Ortmann MBA.
Prof. Jonas Scholtz
Univ.Prof. Traudl Mentzel B.Eng.
Alexandre Häring
Annika Wirth
Baldur Käster B.A.
Jochen Säuberlich
Nicole Hoffmann
Ingried Hänel
Prof. Maya Peukert
Werner Heydrich-Schmidtke
Nikolaus Fiebig
Gislinde Lehmann
Janette Kraushaar
Elisa Karz-Rohleder
Leonie Möchlichen MBA.
Gilbert Peukert B.Eng.
Zbigniew Boucsein
Dariusz Rädel
Dino Kusch-Hiller
Stephan Haase MBA.
Lisette Stoll B.Eng.
Klara Blümel
Univ.Prof. Tina Rose
Ralf-Peter Schacht
Jacob Bähr
Arzu Stiffel-Drubin
Edmund Junck
Marga Vogt
Herr Falk Holzapfel
Frau Kirsten Geißler
Elma Junken
Hedda Schönland
Luka Zorbach
Hilmar Faust
Prof. Folker Trupp B.Sc.
Raimund Hande
Gebhard Seidel
Gundula Klotz
Ditmar Dehmel
Steven Steinberg B.Eng.
Brunhild Müller
Beata Lübs
Cora Stumpf-Gunpf
Friedemann Klingelhöfer
Agathe Gertz-Butte
Mehdi Neureuther
Traugott Textor-Wagenknecht
Hannelore Noack MBA.
Irmtrud Johann
Dr. Gero Röhricht B.Eng.
Fatma Hein
Ing. Hatice Gehringer
Zenon Pärtzelt
Univ.Prof. Gregor Gieß MBA.
Michail Schmidt
Pamela Mies B.Eng.
Frau Sibel Trommler
Gertrude Kostolzin MBA.
Univ.Prof. Alois Jähn B.Eng.
Reimar Müller
Paul Carsten
Jonas Boucsein
Hanspeter Davids
Julie Mosemann
Heide-Marie Beckmann B.Sc.
Michel Hermighausen
Stella Barth
Diedrich Jäntsch B.A.
Anneliese Trub
Sybilla Striebitz
Ing. Marlene Wirth B.Sc.
Zeynep Lehmann
Eduard Kühnert
Gert Nette
Gisela Hornich-Metz
Prof. Evelyn Henk
Univ.Prof. Inga Hermighausen B.Eng.
Irmengard Röhrdanz
Theodoros Grein Groth
Lorenz Sauer
Fredi Huhn
Gregor Knappe B.Eng.
Frau Inken Zimmer B.Eng.
Zbigniew Hahn MBA.
Arzu Kuhl
Frau Linda Weiß B.Eng.
Univ.Prof. Marjan Graf B.Sc.
Oxana Lübs
Maren Bachmann-Stumpf
Prof. Catherine Knappe MBA.
Prof. Gerda Barkholz MBA.
Dana Köster
Yusuf Schacht
Aenne Mende B.Eng.
Grzegorz Bohlander
Hans-Martin Bärer
Ben Bonbach B.A.
Enver Conradi-Hecker
Hannah Stiffel-Börner
Dr. Leila Gunpf B.Sc.
Univ.Prof. Lissi Schomber
Astrid Dehmel
Janine Dehmel B.Eng.
Frau Anne-Kathrin Wagner
Frau Mirjana Baum B.Sc.
Clara Stroh
Herr Hermann-Josef Hauffer
Carsten Wieloch-Kranz
Brunhilde Scholz
Irmtraut Wende
Silke Biggen MBA.
Dietlind Drubin
Dr. Jasmina Ruppert
Samir Krein B.A.
Elsa Preiß
Dr. Anny Kallert
David Warmer
Eberhardt Mielcarek
Guiseppe Rust
Gertrude Bärer
Ingried Ullmann
Dipl.-Ing. Denise Beier
Stanislaus Geißler
Irmtraut Mülichen B.A.
Dr. Rotraud Gorlitz
Kristina Röhricht
Tatiana Kade-Rust
Sina Wulff-Dussen van
Katerina Drubin
Dr. Tony Ditschlerin
Sylke Ehlert
Peer Grein Groth-Lange
Ing. Vesna Kroker B.Eng.
Heinz-Walter Roskoth-Hertrampf
Dr. Mohamed Kroker B.Eng.
Kilian Austermühle B.A.
Insa Karz-Mangold
Rosalia Pruschke
Regine Meyer
Univ.Prof. Gottfried Süßebier
Fredi Lindner
Gabi Gertz
Gerd Wiek MBA.
Prof. Jolanthe Gude
Ismail Koch
Nadia Rosenow
Marcus Langern
Halil Warmer B.Sc.
Sandy Haering
Alicja Sorgatz
Gerta Stey-Klemm
Ing. Louis Eckbauer B.Eng.
Hans-Detlef auch Schlauchin-Fischer
Madlen Steinberg
Univ.Prof. Liliana Niemeier B.Eng.
Dipl.-Ing. Hanns Killer B.Sc.
Stavros Meyer
Ing. Karl-Georg Dobes
Isidor Zobel-Ritter
Baldur Metz
Franka Weinhold
Björn Rädel-Rohleder
Undine Scheibe-Stey
Friedericke Käster B.A.
Tabea Kaul
Univ.Prof. Claudio Schmiedt
Matteo Dehmel-Weimer
Theresa Schüler
Dagobert Sorgatz
Prof. Urs Flantz
Hilmar Graf
Ellen Jessel-Walter
Prof. Sonia Blümel
Ing. Jeanette Rosemann B.Eng.
Evelin Stumpf
Sevim Junitz
Prof. Folkert Ernst MBA.
Hertha Gutknecht
Janko Margraf MBA.
Uli Zimmer
Leon Linke
Ursel Juncken-Buchholz
Ingo Löffler
Donald Schönland
Luzie Renner B.A.
Carin Rohleder
Prof. Mirko Adolph B.A.
Dr. Athanasios Noack MBA.
Angelique Speer B.A.
Dr. Herbert Jockel B.Eng.
Larissa Löffler
Ing. Georg Lübs
Volkhard Köster-Jüttner
Herr Salih Blümel
Univ.Prof. Waldtraut Riehl
Katharine Mohaupt-Heuser
Hans-H. Naser
Herlinde Schenk B.A.
Alexei Meister
Mariele Stiffel B.Sc.
Herwig Krebs
Ing. Konstantin Gerlach B.A.
Carmelo Klapp-Berger
Timo Butte
Moritz Holzapfel
Susanne Etzold
Bruno Siering MBA.
Evangelos Beyer
Czeslaw Bohnbach B.Eng.
Irina Seip-Bolnbach
Ingried Stiffel B.A.
Univ.Prof. Dolores Rust
Käthi Lübs
Dusan Dussen van
Ing. Torben Hande MBA.
Annaliese Hettner B.A.
Günter Wiek B.A.
Prof. Cäcilia Gertz B.Eng.
Anne-Rose Sorgatz
Monja Weiß
Gisela Schwital-Scheel
Vinko Reuter
Prof. Alma Gumprich
Lambert Misicher-Dörschner
Elwira Pölitz B.Sc.
Univ.Prof. Friedl Tlustek
Wendelin Zorbach MBA.
Ing. Therese Rust
Erna Kensy-Bähr
Natascha Schinke B.Eng.
Sebastian Aumann
Ekrem Hornich
Anna Linke
Susan Warmer
Romuald Kambs MBA.
Marcella Holzapfel
Hertha Stoll
Hanns Stiffel
Diana Jessel-Geißler
Wiltrud Gröttner-Klapp
Dipl.-Ing. Charles Täsche
Janett Patberg
Univ.Prof. Paul-Gerhard Lübs MBA.
Dr. Lidija Metz
Ing. Cynthia Weihmann B.Eng.
Ilonka Buchholz-Köhler
Balthasar Klemm
Dr. Alois Kraushaar B.Sc.
Aenne Kraus
Jutta Aumann
Henny Wulff
Jiri Förster
Katerina Barkholz
Zeynep Keudel
Dipl.-Ing. Christoph Schulz B.Sc.
Salvatore Eberhardt-Ring
Ruth Hartung
Uli Renner
Andre Schlosser
Nick Hermighausen-Krein
Ernst-August Gutknecht
Adelinde Ackermann-Knappe
Dipl.-Ing. Gabi Scholtz
Kunibert Hahn-Lindau
Hanno Salz
Rosa-Maria Reising
Lara Oderwald
Stephanie Heintze
Gina Stolze
Dr. Sigfried Seip B.Eng.
Zehra Putz
Franjo Junitz-Hahn
Slavko Schüler B.Eng.
Ljudmila Trapp
Fabienne Conradi B.Eng.
Dipl.-Ing. Nathalie Radisch
Justine Dippel-Rosemann
Isa Kramer-Matthäi
Ing. Käthe Plath B.Eng.
Anthony Patberg
Thaddäus Geißler
Juliana Schönland
Sandro Täsche
Käthe Briemer MBA.
Roman Hauffer
Piotr Speer-Seifert
Herr Jörgen Kruschwitz
Ing. Zdenka Neuschäfer
Berndt Barkholz
Anne-Rose Klapp-Jockel
Dr. Rosmarie Seip
Frau Anna Mangold B.A.
Ada Ullmann-Hermann
Herr Juri Kitzmann
Lore Tröst
Margit Müller
Marek Mitschke B.Sc.
Herr Rüdiger Ruppersberger
Anneke Jähn
Manuel Wagenknecht
Günter Schottin
Anne-Kathrin Bachmann
Annegrete Jüttner
Veronica Benthin
Heide-Marie Koch II
Iris Mans
Gert Kensy B.A.
Wenke Neureuther-Hermighausen
Univ.Prof. Giovanna Bachmann B.Eng.
Leokadia Oestrovsky
Dagmar Schinke B.Sc.
Pero Scheuermann
