Student
Karl-Heinrich Karz
Danielle Drubin
Antoinette Schottin
Ronald Stiebitz
Antonie Heser B.Sc.
Patrizia Bender-Reuter
Carl-Heinz Steinberg
Adelinde Kensy B.Eng.
Ralf-Peter Ebert
Annelene Zänker
Klaus-Michael Mälzer
Othmar Hölzenbecher
Liesa Neureuther
Zeljko Gieß
Irene Ditschlerin
Edmund Caspar B.Sc.
Fatma Löffler B.Sc.
Lidija Pärtzelt
Madlen Geißler
Theres Beer
Mareike Wilmsen
Antonietta Barth
Hiltrud Bolander-Ziegert
Dr. Annelies Stumpf
Pauline Mosemann
Alexandre Caspar
Klemens Förster
Ricarda Fröhlich B.A.
Helma Hänel B.A.
Engelbert Carsten-Hiller
Manja Stadelmann
Karolin Mitschke
Dipl.-Ing. Stefano Wernecke B.A.
Theresa Hethur-Kabus
Brunhilde Mälzer-Warmer
Waltrud Stroh
Silvester Scheibe
Cosima Johann
Niko Gutknecht B.Sc.
Joachim Löffler-Riehl
Univ.Prof. Olivia Gnatz MBA.
Hansjoachim Salz-Junk
Elise Hentschel
Univ.Prof. Rotraut Juncken B.A.
Friedl Hänel
Frau Aleksandra Dobes B.A.
Dr. Carmela Rudolph
Univ.Prof. Sybilla Gehringer
Herr Aleksandr Wiek B.Sc.
Nico Ehlert-Ackermann
Friedl Atzler-Süßebier
Gislinde Schlosser
Ing. Ronny Metz B.A.
Marina Wilmsen
Kathi Hering
Dittmar Graf
Prof. Riza Niemeier
Anastasios Drub
Mareen Krebs-Hofmann
Vinko Schönland B.Eng.
Margit Klapp
Antonietta Hübel
Zenta Gertz B.A.
Liliana Gehringer
Teresa Möchlichen
Pascal Freudenberger
Catharina Jacob
Christiane Roht
Meta Harloff
Gerhardt Barkholz B.Eng.
Hanne Ackermann
Mariola Tlustek MBA.
Marian Vollbrecht MBA.
Herr Gundolf Barth
Ricarda Warmer B.A.
Dipl.-Ing. Tim Fritsch
Achim Mülichen-Schleich
Nina Ladeck
Dipl.-Ing. Claudia Häring
Dipl.-Ing. Gottfried Scholtz
Simona Lorch
Gereon Wende MBA.
Miroslawa Gude B.Sc.
Gertraud Mentzel
Franz Ortmann B.Eng.
Prof. Ulla Dussen van B.Sc.
Myriam Schäfer-Tschentscher
Jiri Kambs
Liane Hermann MBA.
Senol Heintze-Gerlach
Heinz-Joachim Trupp
Miroslawa Jessel B.Sc.
René Matthäi
Lutz Mies-Hesse
Dipl.-Ing. Mariana Mohaupt B.Sc.
Ing. Alla Schottin B.A.
Luka Weimer-Beyer
Franz-Peter Benthin-Reichmann
Ing. Leo Schulz
Wolf-Dietrich Berger
Lukas Juncken MBA.
Lisette Mühle
Arne Dobes
Jaqueline Weitzel-Pölitz
Zofia Schönland B.Sc.
Vladimir Kruschwitz
Waldemar Ladeck
Gerhild Stiffel
Marlen Hesse
Tabea Kaul
Dipl.-Ing. Till Schenk
Nadine Sauer
Nina Müller B.Eng.
Natalia Fröhlich-Kabus
Yusuf Seifert
Dorothee Renner
Dietrich Bien
Helge Ladeck MBA.
Myriam Hänel
Susanna Söding
Herr Ansgar Gnatz
Gert Fischer
Johanne Kusch
Gerhart Davids B.A.
Liesbeth Koch II
Dipl.-Ing. Agatha Pruschke
Henni Ullmann MBA.
Thomas Hänel
Guenter Lachmann
Janko Schulz-Becker
Thorsten Adler B.Sc.
Dipl.-Ing. Adem Gerlach
Dr. Tony Ditschlerin
Herr Valentin Warmer
Mark Lindau
David Losekann
Elizabeth Jacob
Marcella Holzapfel
Prof. Goran Sölzer MBA.
Univ.Prof. Anatoli Ritter
Hans-Erich Preiß
Herr Maik Klemt MBA.
Karl-Wilhelm Weiß
Univ.Prof. Dolores Jäkel
Alwine Sager
Dr. Matthias Niemeier
Conny Geißler-Karge
Christina Schlosser
Dagmar Jungfer
Univ.Prof. Friedlinde Bien MBA.
Aurelia Dussen van MBA.
Prof. Gunter Mentzel
Heinz-Günter Mülichen
Dipl.-Ing. Christel Beer B.Eng.
Ada Heser B.Sc.
Dr. Anastasia Gude
Jurij Zimmer
Dipl.-Ing. Jaqueline Striebitz
Prof. Karen Benthin B.Eng.
Czeslaw Jäkel-Röhrdanz
Ing. Annelise Nette B.Eng.
Ditmar Trub
Marion Wohlgemut B.A.
Univ.Prof. Jaqueline Dehmel
Kai-Uwe Rogner
Fridolin Paffrath-Geisler
Reni Roht-Binner
Dipl.-Ing. Traudel Eigenwillig
Nurettin Börner
Muharrem Rosemann-Heidrich
Hartwig Sorgatz B.Eng.
Dipl.-Ing. Gülten Hoffmann B.Eng.
Dorina Dippel
Calogero Seip
Robin Flantz
Natalija Haering
Denny Salz
Ing. Siglinde Bolzmann
Univ.Prof. Claudio Schmiedt
Margarethe Wagenknecht
Ing. Boris Junck MBA.
Frieda Gröttner
Franziska Wernecke
Rüdiger Geisler
Univ.Prof. Jörg Jessel MBA.
Herr Tino van der Dussen MBA.
Vitali Faust B.Eng.
Christos Gumprich
Klaus-Peter Häring
Evamaria Berger
Gertraud Tröst
Prof. Urs Flantz
André Kroker
Eva-Maria Mies MBA.
Urs Ebert
Christiana Bauer
Krista Hofmann
Ingried Ullmann
Dipl.-Ing. Jan-Peter Mende MBA.
Adelinde Putz
Ing. Eugenie Kreusel MBA.
Prof. Wolf-Dieter Killer B.Sc.
Linda Ziegert-Junken
Georg Misicher
Jonas Adler
Jann Cichorius
Gotthard Schuster
Ira Scholz-Pohl
Vitus Pruschke B.A.
Artur Berger
Univ.Prof. Nadeshda Oestrovsky
Ingelore Kobelt MBA.
Univ.Prof. Bela Kraus
Lisbeth Hentschel
Prof. Loretta Speer MBA.
Leszek Wagner-Häring
Anthony Patberg
Michaela Sontag-Dörr
Marten Röhricht B.Sc.
Prof. Hannah Hölzenbecher MBA.
Cordula Wohlgemut
Zenon Hahn MBA.
Dr. Heinz-Georg Aumann MBA.
Kordula Lange
Gusti Schleich
Willibald Holsten
Tibor Briemer
Prof. Henryk Kitzmann
Gerwin Salz
Univ.Prof. Gino Wagner B.Sc.
Brita Klemm
Anka Jäkel-Ackermann
Nadin Stiebitz B.Eng.
Prof. Claudia Mude
Sergej Pärtzelt
Frau Ellinor Tintzmann
Horst Reising
Katrin Oestrovsky-Fechner
Melanie Hauffer
Richard Kostolzin
Ralph Rogge
Herr Tom Täsche
Ing. Aziz Hein
Kristin Niemeier
Othmar Weinhage MBA.
Elvira Gute-Käster
Kaspar Römer
Dr. Gaby Sontag MBA.
Giesela Dowerg
Janin Höfig B.A.
Trude Ruppersberger
Anthony Heintze
Andrew Schlosser
Univ.Prof. Oscar Lindau MBA.
Ellen Jessel-Walter
Dr. Reimar Fiebig B.A.
Ing. Paolo Meister
Heinz-Werner Briemer B.A.
Selma Fritsch B.Eng.
Konstantinos Linke B.Eng.
Ernest Stahr
Nina Wagenknecht
Irmtrud Bolzmann
Barbara Kambs
Herr Evangelos Schacht
Meral Liebelt
Hulda Seidel-Carsten
Gitta Hübel
Dagobert Eberhardt B.A.
Hansjörg Müller B.Sc.
Caroline Haering MBA.
Gerti Ullrich
Dr. Joseph Bien
Arnulf Kusch
Anica Sorgatz B.Sc.
Hans-Günther Wilmsen
Annelore auch Schlauchin-Lorch
Frau Angelina Martin
Edeltraud Bärer
Sofia Etzler B.Eng.
Bertold Schenk
Francisco Wirth
Dipl.-Ing. Hermann-Josef Jüttner
Emmerich Killer
Calogero Staude B.A.
Prof. Ines Kuhl
Lidia Franke
Ludmila Karge B.A.
Madeleine Hartung
Heimo Huhn B.A.
Walfried Klotz-Klotz
Victor Seifert
Prof. Gabriella Holt B.Eng.
Dr. Lidija Metz
Univ.Prof. Waltrud Rogner
Christos Beier
Ing. Diedrich Gotthard MBA.
Anne-Katrin Rogge
Alexandra Butte
Gerhart Staude
Univ.Prof. Matthäus Gude
Prof. Angelique Seidel MBA.
Eckhard Weitzel
Univ.Prof. Alexei Mülichen MBA.
Frau Gertrud Jüttner
Eberhardt Warmer
Jose Tlustek B.Sc.
Thorsten Gude
Erdal Bähr
Augustin Carsten
Katalin Thanel-Kitzmann
Damian auch Schlauchin B.Eng.
Ilonka Lange
Sevim Schmiedt-Döhn
Heino Römer
Ida Weihmann
Jurij Eimer
Ellen Gutknecht
Meta Wagenknecht
Volker Hettner
Dr. Myriam Pieper B.Eng.
Friedrich-Wilhelm Roht-Wiek
Adem Mühle-Ruppert
Univ.Prof. Markus Schottin
Silvester Fischer
Fritz Schenk B.A.
Heinz-Günter Schuster
Raphael Barth
Herr Mike Schuchhardt B.A.
Wera Hauffer B.A.
Magda Berger B.A.
Luka Stiffel
Oxana Ladeck
Matthäus Hübel
Prof. Gaetano Weiß
Zbigniew Hahn MBA.
Rudolf Weihmann
Erwin Weimer-Bohlander
Brigitta Eimer
Prof. Rudolph Linke
Ing. Gregor Lindau
Gerta Klemt
Ing. Marlene Wirth B.Sc.
Univ.Prof. Trudel Gierschner MBA.
Elise Trupp
Tülay Schmidtke B.Sc.
Bianka Scheuermann
Sandy Römer-Bien
Erwin Jungfer
Gisa Dörr B.Eng.
Cosimo Zimmer
Beatrix Gehringer
Gerdi Neureuther-Mälzer
Jörg-Peter Dowerg
Herr Gustav Noack
Dipl.-Ing. Detlef Trommler
Ellinor Kraus
Remo Köhler
Moritz Roht
Anica Ortmann B.A.
Ing. Carin Zorbach MBA.
Ing. Ernst-August Häring
Ing. Dörte Freudenberger
Ernest Müller
Anastasios Heinz
Dr. Auguste Sager
Stilla Hornig B.A.
Arnulf Heidrich
Hartwig Zirme
Mareile Löwer
Ing. Christa-Maria Liebelt
Univ.Prof. Harriet Heintze
Prof. Ildiko Adler MBA.
Ines Anders
Maik Schottin
Ilka Heß
Leander Dobes-Schlosser
Leonardo Klingelhöfer B.Sc.
Diana Jessel-Geißler
Timo Spieß
Alessandro Werner
Frau Silvana Bolzmann B.Eng.
Dorina Weinhage
Flora Mühle B.Sc.
Lukas Gierschner
Herr Goran Paffrath
Dr. Baldur Johann B.Eng.
Ewald Hethur
Karl-August Döhn B.A.
Ramona Henk B.Sc.
Dietlinde Binner
Prof. Niko Hethur B.Eng.
Lukas Zirme
Erol Lindner
Alexej Liebelt
Jaroslaw Pieper MBA.
Elise Heinz
Steven Käster B.Sc.
Fabian Pechel-Dippel
Lambert Wilmsen
Univ.Prof. Otto Kruschwitz MBA.
Eckard Dehmel MBA.
Jörg-Peter Christoph
Kai-Uwe Sorgatz
Danuta Kensy
Prof. Erwin Albers B.Sc.
Ing. Alma Rudolph B.Sc.
Calogero Mude-Etzold
Ilonka Rose
Herta Hoffmann
Camilla Wiek
Hartmuth Koch II
Friedericke Käster B.A.
Ing. Eugenie Birnbaum
Irmtraut Süßebier
Karl-Friedrich Nerger
Karl Zirme
Margarete Kabus
Univ.Prof. Ahmet Birnbaum MBA.
Dr. Elfie Tintzmann
Jonathan Schottin-Naser
Edeltraut Klemt
Stephen Bruder
Canan Berger-Hellwig
Univ.Prof. Halil Staude
Univ.Prof. Fatima Hölzenbecher
Zdravko Staude B.Sc.
Edgar Karge
Adalbert Reising
Claus Heser B.Sc.
Dipl.-Ing. Henriette Schmidtke MBA.
Helmtrud Atzler
Anatolij Keudel
Marie-Louise Hauffer
Carl Schomber-Mälzer
Joerg Fritsch-Pieper
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Ing. Karl-Peter Weinhold B.Sc.
Tomas Tlustek
Frau Delia Hellwig B.Sc.
Francesca Wieloch
Freia Buchholz
Wally Anders B.Eng.
Gertraud Mende
Frau Ingelore Gertz
Hedda Baum
Cristina Salz B.Sc.
Ingried Ullrich
Ing. Nuran Schaaf
Hermann-Josef Zimmer
Ing. Corinne Steckel B.A.
Gislinde Müller
Nurettin Dippel
Carina Killer
Hilde Walter
Mesut Gute
Roselinde Zobel
Dr. Ruben Wernecke
Fabian Lübs
Prof. Heide Krebs
Kay-Uwe Dippel
Frau Gilda Ebert
Univ.Prof. Elfriede Rohleder
Sibilla Eimer
Vesna Wähner
Chantal Kramer
Cornelia Römer
Robert Etzold
Ing. Justina Beckmann
Reimar Pohl
Antje Etzold
Rouven Ziegert
Antonietta Lindner MBA.
Felicia Hamann
Cemal Trapp
Alexandre Geisel
Mira Rohleder
Elizabeth Wulf
Klara Löchel-Bien
Lena Ernst-Schenk
Marlene Drubin
Elizabeth Stahr
Nikola Kitzmann
Irmengard Röhrdanz
Curt Jopich
Zeki Hartung
Prof. Lutz Adolph
Stavros Zirme
Anne-Rose Krause
Frauke Wilms
Klaas Eckbauer
Dipl.-Ing. Pero Ruppersberger B.Sc.
Theda Klotz
Ben Bonbach B.A.
Josephine Schweitzer
Prof. Aribert Eberhardt B.Sc.
Mariusz Stadelmann-Jähn
Gerold Thanel
Sami Mans-Ullrich
Rahel Dörschner
Dr. Leonhard Otto
Dr. Jeannine Schleich B.Sc.
Hans-Karl Rust MBA.
Egbert Bender
Sandro Täsche
Marjan Segebahn B.Eng.
Jan Döring B.A.
Dr. Elwira Hiller
Emilie Bolander
Gerhart Schenk MBA.
Ing. Svenja Aumann
Marc Henck B.Eng.
Reinhold Hellwig-Mülichen
Hannchen Drewes B.Sc.
Dr. Hans-Detlef Lindau B.Eng.
Herr Roderich Hauffer
Heino Lindau B.Eng.
Stjepan Langern
Till Bolander
Gundula Vollbrecht
Ing. Knut Christoph
Dr. Zeki Eberth
Karl-Heinrich Kraus B.A.
Bogdan Römer B.Eng.
Kazim Junken
Solveig Trapp MBA.
Michaele Klotz B.Eng.
Dr. Jurij Nohlmans B.A.
Fernando Dobes
Janusz Rädel B.Sc.
Univ.Prof. Sibylle Zirme B.Sc.
Regina Barkholz
Prof. Gertraude Wohlgemut B.Eng.
Zoltan Wilms
Giorgio Trüb
Catharina auch Schlauchin
Dipl.-Ing. Ante Rust
Ruben Trubin
Hans-Bernd Zobel
Paul Carsten
Ing. Heinz Ehlert
Sylke Ehlert
Marie Sorgatz MBA.
Dr. Almut Peukert MBA.
Herr Bartholomäus Adolph MBA.
Julius Kraushaar
Dr. Sükrü Hettner
Dr. Annelene Hamann
Gaetano Söding
Frau Monique Löchel
Hanspeter Davids
Prof. Emine Wulf B.Eng.
Kordula Drub B.Sc.
Dr. Samuel Tröst
Antonios Zimmer
Pedro Pölitz
Walfried Siering
Viktoria Trub-Budig
Freddy Hande
Alan Eigenwillig
Erhard Geisel
Ing. Horst-Dieter Seip
Bayram Meister
Prof. Ludger Kohl MBA.
Verena Höfig
Burghard Wohlgemut
Franka Mitschke B.Sc.
Gereon Textor
Ottmar Kruschwitz
Daniele Finke
Franziska Hörle B.Sc.
Frau Annegrete Junk B.A.
Ing. Maren Schenk
Valeri Tschentscher
Henni Wagenknecht B.Sc.
Jens-Uwe Schlosser
Bodo Kranz-Striebitz
Hans Georg Niemeier
Ing. Therese Rust
Leopoldine Butte
Klaudia Reuter B.A.
Gunhild Gorlitz-Heinrich
Marie-Theres Trupp
Gerti Trupp-Dowerg
Krista Junken-Hövel
Dr. Iris auch Schlauchin
Nadja Hethur
Anton Gute
Ing. Herwig Drub MBA.
Käthi Löffler
Dr. Lidija Weihmann
Sven Walter
Jost Briemer
Reinhard Eigenwillig
Herlinde Schenk B.A.
Heinrich Dippel
Marco Stey
Univ.Prof. Francisco Tröst B.Eng.
Günter Löwer
Änne Wagner
Gunhild Meister
Univ.Prof. Hanspeter Gorlitz
Jeannette Heuser
Univ.Prof. Isabel Ladeck
Jonas Löchel
Justus Schleich-Drewes
Marlen Weihmann-Trub
Centa Bohlander-Stiebitz
Frau Josefa Henschel B.A.
Hannelore Haase
Adelinde Ackermann-Knappe
Inna Weinhage
Elvira Cichorius
Nick Jockel B.A.
Hans-Willi Ladeck
Calogero Hoffmann B.Eng.
Elfie Otto
Klaudia Seidel
Edith Kostolzin
Prof. Eckhart Jockel B.Eng.
Anneliese Gnatz
Vincenzo Steinberg B.Sc.
Mariechen Scholl
Evangelia Stumpf-Ruppersberger
Ibrahim Lehmann B.Eng.
Rebecca Oderwald
Univ.Prof. Aysel Lindau
John Roskoth-Rädel
Piotr Hande
Hildburg Dowerg-Pergande
Carla Ruppersberger
Herr Heinz-Josef Wende MBA.
Stjepan Hofmann-Hethur
Angela Stiffel
Friedericke Bolzmann
Dipl.-Ing. Utz Adler B.A.
Elizabeth Budig
Herr Mirko Häring B.Sc.
Sieghard Hahn
Raphaela Eckbauer
Ann-Kathrin Mühle
Dipl.-Ing. Slavica Mälzer
Klaus-Peter Schüler-Schaaf
Ehrhard Häring B.A.
Univ.Prof. Rosl Pölitz
Francoise Freudenberger-Stey
Manja Koch II-Heuser
Ing. Georgia Rogner
Anne Schmidtke
Dr. Elly Junk
Yusuf Schacht
Dipl.-Ing. Claas Ladeck
Anny Dietz
Herr Anthony Caspar
Salvatore Ruppersberger
Thies Pergande
Margit Losekann
Herr Dimitri Mohaupt B.A.
Liesa Wilms B.A.
Dr. Sybille Bärer B.Sc.
Sandy Dietz
Thorsten Herrmann
Andree Budig B.Eng.
Univ.Prof. Jann Schleich
Univ.Prof. Suzanne Paffrath
Brit Heidrich B.A.
Cilli Lindau B.A.
Frau Bruni Krein B.A.
Lili Birnbaum
Svetlana Boucsein
Charlotte Hecker B.Eng.
Maurice Hübel
Peer Jähn
Wenzel Wilmsen
Hertha Caspar MBA.
Pavel Ehlert
Heinrich Putz B.Sc.
Maurice Möchlichen
Janusz Kruschwitz B.Eng.
Heinz-Dieter Caspar-Hande
Marie-Luise Zorbach MBA.
Friedlinde Meyer
Dipl.-Ing. Aloys Hentschel
Miroslawa Jäkel-Bohnbach
Justina Zirme
Ing. Danica Gieß MBA.
Milka Wohlgemut-Meyer
Kaspar Trub
Antonino Klingelhöfer
Prof. Freya Biggen B.Eng.
Alicja Sorgatz
Concetta Dehmel
Berend Rörricht
Marcel Hermighausen
Abbas Segebahn
Robin Weinhage B.A.
Frau Edeltraud Radisch B.A.
Oliver Kohl
Amanda Heinz
Baptist Vogt
Jakob Seifert
Ing. Claire Hübel
Univ.Prof. Heinrich Knappe B.A.
Prof. Marion Martin
Prof. Romy Bohnbach
Zdravko Kroker
Dierk Buchholz MBA.
Norbert Eimer
Fatih Zirme
Pawel Schlosser
Gertraude Salz-Gnatz
Rudolph Metz-Mitschke
Frau Rosa-Maria Sauer B.Sc.
Marie-Louise Girschner
Gotthilf Bohnbach-Seip
Undine Jopich
Annelie Metz
Dr. Achim Barth
Dr. Walburga Kobelt B.Eng.
Paul Hettner
Oscar Nerger
Lidwina Karz MBA.
Hildegard Roht B.Sc.
Alwin Schaaf
Jiri Förster
Friedrich Bolnbach-Gnatz
Sükrü Schüler MBA.
Rosalinde Losekann
Kuno Dussen van
Univ.Prof. Theresia Lange MBA.
Mattias Kensy
Dipl.-Ing. Jozef Hartmann
Leonardo Vogt
Gunnar Junk
Damaris Eigenwillig
Hans-Ulrich Plath B.A.
Meike Rosenow
Annie Gnatz B.A.
Luzie Sager-Gierschner
Dr. Heiderose Kallert B.Eng.
Alina Schmiedecke
Dipl.-Ing. Slobodan Sölzer
Antonia Mohaupt
Prof. Maria-Theresia Schaaf B.A.
Edeltrud Koch
Univ.Prof. Marc Schmiedt
Hugo Ruppert-Kade
Gisa Budig-Löwer
Dr. Heide Jockel B.Sc.
Marlen Flantz
Univ.Prof. Philip Kranz B.Sc.
Konstantin Ladeck
Ing. Nils Pergande B.A.
Gert Kensy B.A.
Frau Britt Heß
Ing. Birte Heidrich B.Eng.
Marvin Gröttner MBA.
Gundi Hiller
Brunhilde Heinz MBA.
Dr. Erdogan Eigenwillig MBA.
Prof. Theobald Mangold
Frau Stefani Hendriks B.A.
Jessica Gotthard
Vitali Neureuther
Boris Stumpf
Lieschen Walter
Julia Pärtzelt
Ladislaus Stadelmann
Helmuth Wagner
Hagen Weimer
Univ.Prof. Hans-Albert Ruppert
Bertram Segebahn
Jelena Löffler
Gisela Carsten B.Sc.
Concetta Wohlgemut
Marianna Geisler
Frau Stella Plath B.A.
Eugenia Stey
Luka Zorbach
Brunhilde Scholz
Frau Evelin Löffler
Univ.Prof. Axel Dörschner B.Sc.
Siglinde Kambs-Geißler
Kira Hartmann B.Sc.
Ehrhard Klotz
Johanna Fischer
Eduard Ruppersberger
Prof. Sandra Klapp
Apollonia Trüb B.A.
Univ.Prof. Horst Scholtz
Waldemar Hendriks
Michael Scholz
Univ.Prof. Fredi Hölzenbecher
Marlies Beckmann
Hubertine Jäkel
Dipl.-Ing. Wolfram Johann B.Eng.
Dominic Schönland
Dipl.-Ing. Freya Höfig
Prof. Karl-Hermann Pieper B.Eng.
Ing. Kläre Radisch
Carsten Jüttner B.Eng.
Benno Hofmann
Alina Finke
Karl-Dieter Süßebier
Bartholomäus Trapp
Ing. Denny Mende
Frau Eugenia Matthäi
Franz Josef Hoffmann B.Sc.
Kunigunda Hamann-Hermighausen
Georgia Ruppersberger
Filippo Jungfer-Kabus
Klaus-D. Dippel MBA.
Ing. Gotthard Reuter B.A.
Prof. Gertraude Mangold B.Eng.
Gislinde Wagenknecht
Prof. Linus Kambs B.A.
Evangelia Harloff B.A.
Mechtild Niemeier
Lilli Meyer-Reuter
Frau Reinhilde Wirth MBA.
Augusta Flantz
Eberhard Pechel
Hansgeorg Kruschwitz
Dr. Annelene Geisel B.Sc.
Univ.Prof. Gesa Loos
Adriane Stroh
Tülay Trapp
Lucie Trüb-Schmiedt
Herr Bruno Kreusel
Ing. Christina Beckmann B.Eng.
Serge Trubin
Sylvio Karge
Frau Emilia Pruschke B.A.
Ann Spieß MBA.
Gertrude Gumprich
Annelies Heidrich
Klaus-D. Sölzer
Univ.Prof. Clara Heidrich B.Sc.
Hannelore Rädel-Keudel
Herr Winfried Vollbrecht B.Eng.
Prof. Hans-Peter Noack B.A.
Prof. Marijan Hoffmann
Herr Muzaffer Klotz B.Sc.
Margarethe Steckel
Thilo Tschentscher
Friedrich Austermühle-Döring
Siegmar Dowerg
Univ.Prof. Francesco Schulz B.Eng.
Adalbert Hande B.Eng.
Dipl.-Ing. Waltraut Kallert
Margitta Wulf-Nerger
Andreas Birnbaum-Kallert
Prof. Jelena Krebs B.Sc.
Univ.Prof. Siegfried Karz B.Sc.
Dörte Nette
Timo Butte
Gordana Bolnbach
Dr. Gabriel Junitz
Siegmar Pergande
Meral Stroh-Henschel
Imre Mülichen
Ing. Ivo Weinhold
Karl-Heinz Buchholz
Otto Lindner
Marianne Killer
Gerda Eberhardt B.Sc.
Gernot Kobelt
Desiree Ruppert
Sofie Fiebig-Hermighausen
Janusz Trub-Mühle
Victoria Binner
Massimo Ernst
Reimar Trüb
Milica Reichmann
Brit Anders
Leonid Mühle
Wolf Martin
Loni Trubin
Herr Edmund Hesse
Prof. Edgar Roht
Jörn Hörle B.Sc.
Prof. Jörgen Gieß B.Eng.
Erol Jäntsch
Laszlo Nerger MBA.
Hassan Sager
Anny Zirme
Tanja Plath
Radmila Schomber B.Eng.
Cornelia Gehringer
Betti Adolph
Herr Otto Vollbrecht
Claus Butte
Sieghard Sorgatz
Dr. Antonia Schomber B.Sc.
Frau Renate Geisler
Ing. August Hellwig B.Eng.
Mike Hofmann
Ricarda Steuer
Dipl.-Ing. Magrit Junck
Clarissa Buchholz
Manuela Linke B.Eng.
Wieland Hethur
Hans-H. Naser
Maximilian Jockel
Ing. Helmuth Bruder
Sevim Textor-Schinke
Dipl.-Ing. Serge Nerger
Herr Roman Sontag B.Sc.
Gunhild Zimmer
Dr. Frederik Dobes MBA.
Micha Schottin
Ing. Marga Lehmann MBA.
Eva-Maria Eberth B.A.
Prof. Ursula Niemeier B.Eng.
Willy Kallert
Madlen Lübs
Sina Wulff-Dussen van
Enrico Hellwig
Rosita Köster B.A.
Univ.Prof. Ron Rörricht
Elisa Noack-Seifert
Siegrid Hande
Marga Scholz
Kristina Röhricht
Mohammad Finke
Sonja Barkholz
Dogan Sauer
Dr. Cengiz Säuberlich
Dipl.-Ing. Bertram Gieß MBA.
Lili Döhn-Margraf
Hasan Klemm
Harri Mans
Gert Juncken
Ditmar Briemer
Sigrun Weinhold
Martin Rose B.A.
Ingetraud Austermühle-Dowerg
Wiebke Gehringer
Frau Brit Stoll
Hildegunde Staude
Univ.Prof. Frederike Heintze
Adam Gertz
Silva Hiller MBA.
Kunigunde Ziegert
Reinhilde Metz
Günter Rudolph B.Eng.
Thekla Schäfer
Holger Röhricht
Evelyn Bien
Linus Schuchhardt
Univ.Prof. Friederike Bender B.Eng.
Prof. Johannes Holzapfel MBA.
Nicole Hoffmann
Frau Constanze Heidrich B.Sc.
Marek Adler
Antonius Käster
Ing. Ivana Budig B.Eng.
Antonios Klemm B.Sc.
Mirja Dehmel B.A.
Prof. Grete Müller
Univ.Prof. Gottfried Süßebier
Polina Kostolzin
Björn Steckel B.Eng.
Constantin Kraus
Ing. Gundolf Steinberg B.Sc.
Simon Mude
Herr Yilmaz Vollbrecht B.Eng.
Alwine Riehl
Aleksander Wagner-Barth
Lina Hein-Gotthard
Karl-Peter Hofmann B.A.
Klaus Peter Adler
Heinz-Wilhelm Steuer-Mende
Ilse Krebs
Mikhail Bauer
Rosalinde Trommler
Tomas Säuberlich B.A.
Arnulf Zimmer-Seifert
Lilo Scholz
Leif Wulff
Univ.Prof. Erhard Heuser MBA.
Fanny Zänker-Hein
Willy Weiß
Wilhelm Klemm B.A.
Ing. Alexandros Vogt MBA.
Miodrag Dörr-Austermühle
Emine Haase B.A.
Felicitas Kensy-Stey
Klaus-D. Zänker-Hein
Mariechen Nohlmans
Ben Schomber
Silvia Lübs
Tino Paffrath B.Eng.
Prof. Elzbieta Fechner B.Sc.
Herr Valerij Heydrich
Sofie Staude
Harm Nette
Dimitrios Fiebig
Insa Jacobi Jäckel
Kay-Uwe Bruder MBA.
