Student
Zeljko Gieß
Brunhilde Nohlmans
Concetta Wohlgemut
Gabriel Süßebier-Eigenwillig
Univ.Prof. Hartwig Holsten B.Sc.
Eckehard Nette
Inka Meyer
Tillmann Stolze
Dipl.-Ing. Betty Niemeier MBA.
Friedlinde Mühle B.A.
Abram Scholz B.Sc.
Torsten Pergande
Dr. Stephanie Ladeck
Ottilie Blümel
Dorina Fiebig
Vitali Ortmann
Katharina Süßebier B.A.
Karlfried Zahn B.A.
Immo Koch II
Rene Rohleder
Resi Ullmann
Eckart Cichorius
Frau Emilia Pruschke B.A.
Friederike Geisler
Domenico Reichmann
Dr. Franz-Peter Löffler
Birgid Schüler
Hartmuth Gude B.Eng.
Mijo Seidel B.Sc.
Reinhart Becker
Editha Jacob
Sigrid Schleich
Freia Hamann
Ulrich Schlosser
Antonina Pärtzelt-Gerlach
Karl-Georg Sontag B.Sc.
Jose Tlustek B.Sc.
Ing. Monika Ullrich
Univ.Prof. Horst Scholtz
Hans-Günther Eimer
Roswita Henck
Hans Dieter Kallert
Gerti Trupp-Dowerg
Martin Pechel-Freudenberger
Dipl.-Ing. Angelina Mälzer B.Eng.
Sibylla Pohl
Janin Hamann
Vladimir Wulf B.A.
Gülsen Gutknecht
Steven Weinhold B.A.
Marion Weihmann
Senta Wernecke B.Sc.
Emine Haase B.A.
Grzegorz Mende B.A.
Samuel Ackermann
Prof. Manuela Schleich B.Sc.
Roy Holt
Herr Hanno Hesse
Kirstin Boucsein B.Eng.
Antonia Stey
Ulla Süßebier
Ellen Gutknecht
Elli Täsche B.Eng.
Torben Säuberlich-Linke
Ernest Stahr
Mercedes Christoph
Marietta Heinrich
Univ.Prof. Oscar Lindau MBA.
Fadime Heidrich B.A.
Adelheid Schmidtke
Frau Käte Zahn
Thorben Kitzmann
Constance Rogge
Fabienne Conradi B.Eng.
Herr Hans-Detlef Grein Groth
Univ.Prof. Resi Knappe
Univ.Prof. Therese Hänel
Abram Eckbauer B.A.
Wulf Steckel-Lachmann
Ellen Jessel-Walter
Frau Renate Geisler
Greta Hermighausen
Lili Heydrich-Beyer
Mariola Heinrich
Karla Gunpf
Karl-Peter Grein Groth B.Eng.
Irmengard Sauer
Ilija Eckbauer-Steinberg
Dipl.-Ing. Patric Fröhlich
Trude Ruppersberger
Waltraud Trapp-Pechel
Wally Wähner
Carla Tintzmann
Jane Reuter
Luciano Wirth
Leokadia Bloch
Dr. Zeljko Pruschke
Prof. Sylvio Gumprich
Reimar Jacob-Loos
Herr Rüdiger Ruppersberger
Herr Hermann-Josef Lehmann B.A.
Klaus-Dieter Koch II B.A.
Reimund Eimer
Martine Conradi
Frau Corinna Wähner
Hans-Herbert Gutknecht
Bernadette Sorgatz
August Weihmann
Erhard Reinhardt
Gabriele Käster
Sabine Gude
Nicolas Möchlichen MBA.
Mechtild Winkler
Univ.Prof. Hinrich Eberth
Anka Jäkel-Ackermann
Stanislav Stey
Engelbert Margraf-Trommler
Klara Löchel-Bien
Mona Wiek B.Eng.
Frau Theodora Hettner B.A.
Theodoros Grein Groth
Univ.Prof. Lara Hoffmann MBA.
Gunar Börner
Drago Täsche
Wolf-Dieter Sölzer-Putz
Claus Heser B.Sc.
Corinna Täsche B.A.
Dr. Gabriel Freudenberger MBA.
Prof. Heinz-Peter Thies
Vesna Bähr
Änne Möchlichen
Univ.Prof. Ludwig Jähn B.A.
Tabea Kaul
Herr Rudi Neuschäfer
Prof. Petar Köhler
Univ.Prof. Othmar Geisel
Beate Nette
Branka Speer B.A.
Dr. Almut Nohlmans B.A.
Ada Kreusel
Univ.Prof. Marjan Graf B.Sc.
Jonathan Mohaupt
Volker Adler
Natalija Haering
Ralph Fröhlich
Hans-Hinrich Linke
Adeline Hein-Metz
Diedrich Scheel-Hübel
Herr Wieland Hartmann MBA.
Ignatz Wähner-Hänel
Emma Sorgatz-Radisch
Katerina Hauffer
Gabriella Rädel
Rupert Kallert
Ing. Katarzyna Noack
Dr. Ljiljana Henck MBA.
Desiree Köster
Babette Rohleder
Univ.Prof. Hiltrud Löwer
Marlen Jacobi Jäckel B.Eng.
Johann Liebelt MBA.
Nina Ladeck
Ronald Henschel
Dr. Ante Jüttner B.A.
Hanne-Lore Johann
Asta Hesse
Univ.Prof. Tilmann Pieper B.Eng.
Monique Liebelt-Ebert
Daniele Hering
Dipl.-Ing. Bernhardine Heß
Darius Kallert
Rene Bruder B.Eng.
Ing. Rosalinde Käster MBA.
Ing. Arndt Schäfer
Maurizio Eckbauer
Ludwina Fritsch
Armin Hellwig-Finke
Claus Jähn B.Eng.
Kai-Uwe Mitschke
Prof. Jelena Krebs B.Sc.
Adriane Wende
Moritz Holzapfel
Anna-Luise Seip-Hofmann
Hanspeter Juncken
Marie-Louise Hauffer
Friedlinde Meyer
Dipl.-Ing. Kristine Klapp MBA.
Sigurd Holsten B.Sc.
Roland Putz
Ing. Käthi Schäfer
Erica Renner-Trapp
Friedrich-Wilhelm Holsten
Univ.Prof. Kevin Juncken B.Eng.
Anto Niemeier
Gerhild Gude
Justus Schleich-Drewes
Miroslaw auch Schlauchin
Dipl.-Ing. Burckhard Jäntsch
Cord Zorbach
Annett Ullrich
Lotte Kitzmann B.A.
Jacek Klemt
Christiane Blümel
Rudolf Mentzel
Sara Rogge
Mario Bärer
Anne-Kathrin Geisler
Constance Drubin
Mirjana Drub
Milos Biggen
Herr André Scholl B.Sc.
Catharina auch Schlauchin
Roman Jäntsch
Mariusz Wilmsen B.A.
Lotti Mosemann
Fredi Huhn
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Jozef Bohlander
Alicia Kroker
Simona Lorch
Verena Höfig
Marianna Rosenow-Weiß
Winfried Hermann
Ing. Ralf Sölzer B.A.
Ing. Chantal Schleich B.Eng.
Martina Keudel
Henryk Jacobi Jäckel B.Sc.
Celal Ortmann-Otto
Hedda Schönland
Oskar Weitzel
Klaus-D. Hövel
Marek Adler
Rolf-Dieter Flantz B.Eng.
Klaus-Dieter Hänel B.Sc.
Prof. Wolfgang Mohaupt
Knud Zimmer
Gretchen Jessel B.Sc.
Gudula Stroh-Bien
Gereon Textor
Adrian Killer
Violetta Beyer
Gesche Kühnert
Patrick Anders-Stolze
Hans-Willi Baum-Staude
Monja Heidrich
Frau Jane Sauer
Annette Schwital
Univ.Prof. Robby Vollbrecht
Resi Margraf
Bertram Segebahn
Prof. Dirk Biggen B.Eng.
Dr. Hildegund Söding B.A.
Univ.Prof. Suse Lachmann B.Sc.
Annamaria Baum MBA.
Gabriele Stahr
Univ.Prof. Annegrete Holt
Willi Heinz
Dipl.-Ing. Nikolaus Conradi MBA.
Hans Kraus
Leon Rust
Kai-Uwe Bohnbach
Denis Weimer
Roy Schmidt B.Eng.
Gloria Lachmann MBA.
Sibilla Bachmann
Sigmund Heydrich
Ing. Corinne Winkler
Albrecht Seifert B.Sc.
Heinz-Josef Jähn MBA.
Marica Seidel B.Eng.
Yvette Schinke
Univ.Prof. Gustav Sölzer
Dorit Köster
Ralph Rogge
Jo Gnatz
Dörthe Hiller
Kazim Rohleder
Ing. Leopold Beier B.Sc.
Waldemar Hendriks
Siegbert Hartmann B.A.
Univ.Prof. Pascal Schweitzer
Thorben Stiebitz
Agnes Ullmann
Silvester Fischer
Agnes Tröst
Anika Biggen MBA.
Univ.Prof. Mahmoud Liebelt
Univ.Prof. Jens Weinhage
Dierk Beier
Prof. Marko Rohleder B.A.
Kirstin Kusch-Meister
Dipl.-Ing. Harm van der Dussen
Severin Mende B.A.
Corina Pergande
Jelena Jüttner
Knut Gorlitz
Ortrun Pohl B.Eng.
Helene Ullrich
Emma Blümel
Reimar Rädel
David Losekann
Ahmet Pärtzelt
Univ.Prof. Cynthia Löwer
Hanne Gierschner
Emanuel Kitzmann
Konstantinos Seifert
Marit Weller
Dorothea Weihmann
Jolanta Kühnert
Annett Dehmel MBA.
Dipl.-Ing. Babette Bauer B.Sc.
Cosimo Girschner
Calogero Wagner
Heinrich Köster
Calogero Wende
Nada Butte
Hans Josef Striebitz
Dr. Anna-Maria Zahn B.Sc.
Ryszard Junitz
Rosita Wesack B.Sc.
Lilli Atzler
Grzegorz Bohlander
Univ.Prof. Ignatz Baum
Herr Evangelos Schacht
Dr. Rosalinde Stolze B.Eng.
Herr Oliver Pechel
Halina Segebahn
Tobias Mühle
Philippe Geisler
Nicole Hoffmann
Maik Tintzmann B.Sc.
Gilda Faust
Ing. Aziz Hein
Carla Gnatz
Luigi Wähner
Otto Butte
Ing. Valeria Kruschwitz
Dipl.-Ing. Bernward Putz B.Eng.
Ute Stroh
Dipl.-Ing. Hans-Günther Bien
Alexandros Ernst
Olav Gumprich-Täsche
Heide-Marie Gunpf B.A.
Igor Dörschner
Univ.Prof. Gundel Atzler B.Eng.
Edeltraud Mülichen
Ehrhard Förster
Jens-Peter Heinrich
Käthi Löffler
Herr Muzaffer Klotz B.Sc.
Thorben Ruppert
Gina Stolze
Guido Wagenknecht-Kallert
Univ.Prof. Gundi Koch B.A.
Amir Reuter
Hansjürgen Eberth
Sina Patberg
Julia Mosemann
Sylvester Bachmann
Bruno Martin-Kaul
Bekir Gumprich-Kabus
Amalie Gotthard
Dipl.-Ing. Wanda Dussen van
Carsten Wieloch-Kranz
Saban Hendriks
James Kostolzin-Staude
Ioannis Junck
Birgid Freudenberger
Urban Klemt
Ing. Hanna Killer
Hans-Günther Etzold
Herr Hans-Ludwig Steinberg
Wolf Häring-Kallert
Susann Haering
Michael Scholz
Ingetraut Jopich
Annegret Atzler
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Ute Conradi-Trüb
Kristian Rosemann B.Sc.
Jasmina Cichorius-Barth
Hanne-Lore Losekann B.Sc.
Prof. Juliane Henck MBA.
Heinz-Günter Boucsein
Dipl.-Ing. Tim Jäntsch B.Eng.
Dipl.-Ing. Edgar Gehringer B.Eng.
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Lilo Scholz
Enrico Drewes
Maik Oestrovsky B.Sc.
Ayse Scheuermann-Sölzer
Dr. Almut Peukert MBA.
Tobias Wirth
Herr Hartwig Henk B.A.
Christos Ruppert B.A.
Ulrich Plath-Weihmann
Sandro Schmiedt
Zdravko Müller-Fritsch
Marko Renner
Frau Melita Huhn
Gunda Knappe
Prof. Juan Hamann
Brunhilde Koch II
Univ.Prof. Bert Gieß
Urte Bolzmann
Catrin Bachmann
Gislinde Lehmann
Ing. Erica Schottin
Natascha Schinke B.Eng.
Univ.Prof. Kirstin Killer B.Eng.
Adelbert Austermühle
Ing. Agnes Zobel
Sami Mitschke
Karolina Reuter-Freudenberger
Leon Linke
Milos Trüb
Carsten Jüttner B.Eng.
Ing. Svenja Aumann
Dr. Joseph Bien
Helmtrud Neureuther
Ing. Frederic Christoph B.Eng.
Melanie Scheel B.A.
Anatolij Junk
Prof. Irena Höfig
Traudl Gierschner
Liesa Wilms B.A.
Evelin Gerlach
Elisabeth Roskoth
Dagmar Schäfer
Vinko Schmiedecke-Hendriks
Klaus-Michael Hahn
Birgitta Loos
Frau Pascale Hettner B.Eng.
Ilias Weiß MBA.
Univ.Prof. Heinz-Dieter Schuster
Elzbieta Hartung
Ernst-August Beyer
Metin Klemt
Elma Heser
Frau Emma Kaul B.Eng.
Univ.Prof. Sönke Schomber
Dorle Schmidtke MBA.
Prof. Heinz-Joachim Losekann
Prof. Gertrude Renner B.A.
Prof. Tina Ullrich
Gunhild Kroker
Gerhart Stumpf
Gabi Meister
Reni Roht-Binner
Notburga Huhn
Pasquale Karge
Kathy Kitzmann
Marlene Heuser-Trub
Galina Kraus-Hermighausen
Prof. Knud Salz
Patric Hermighausen MBA.
Annerose Kaul
Ignaz Löwer
Ehrhard Pruschke
Ole Schmidtke
Artur Briemer
Ernest Müller
Henny Rose
Cetin Schwital
Frau Clarissa Rosenow B.A.
Conrad Lindau
Frau Trude Walter B.A.
Ronald Stiebitz
Herr Hellmuth Birnbaum B.A.
Univ.Prof. Claudio Schmiedt
Kevin Trubin
Jakob Pohl
Franca Börner
Univ.Prof. Johan Lange
Birthe Trommler
Ilonka Döring-Schulz
Dipl.-Ing. Tamara Seifert B.A.
Mirco Barth
Marika Sager
Harold Bähr B.A.
Herr Torsten Hermighausen B.Sc.
Dorle Killer
Ing. Gottfried Hoffmann
Julius Liebelt
Ben Ullmann MBA.
Siegrun Schomber
Muzaffer Sorgatz
Herr Gundolf Barth
Prof. Svea Putz MBA.
Eva-Maria Mies MBA.
Dr. Slawomir Hande
Prof. Tadeusz Mosemann B.Sc.
Frau Krista Rädel B.Sc.
Heinz-Jürgen Hesse
Tülay Fiebig
Ehrentraud Meyer MBA.
Michael Mies B.Sc.
Univ.Prof. Etta Bohnbach
Margareta Trub
Virginia Kaul
Gundolf Walter
Dipl.-Ing. Mariana Mohaupt B.Sc.
Prof. Marika Junken B.Eng.
Josip Hiller-Hauffer
Prof. Ursula Niemeier B.Eng.
Isa Weihmann
Anne-Marie Sontag
Otmar Misicher
Heidemarie Junitz
Gerald Hendriks
Ulf Kensy MBA.
Dr. Deborah Kade
Nadeschda Barkholz
Beatrix Gehringer
Dr. Karla Christoph
Ing. Adam Klemt MBA.
Harriet Ullmann
Bernd Blümel
Ruthild Juncken B.Sc.
Frau Ingried Rogner B.Sc.
Käte Ditschlerin-Roht
Ekaterina Wieloch
Dietrich Adolph MBA.
Aldo Kusch-Klemm
Benjamin Lübs
Kira Tschentscher MBA.
Tomislav Schüler
Anne Zorbach
Elmar Förster
Adelgunde Beer
Hans-Erich Mende
Amalia Schmidtke-Radisch
Birthe Graf
Olav Thies
Karl-Hans Schuchhardt-Mohaupt
Gretel Hande
Friedlinde Warmer
Olivia Nerger B.Eng.
Marie-Therese Steuer
Annelie Kitzmann
Antonie Ladeck
Meinrad Barkholz B.Eng.
Dipl.-Ing. Henriette Schmidtke MBA.
Miguel Dussen van B.Eng.
Annekatrin Schleich
Egbert Gertz
Dr. Sybille Bärer B.Sc.
Herr Burkhardt Bauer B.Eng.
Georgine Schinke
Ann-Kathrin Davids
Cilli Heintze
Astrid Dowerg-Stroh
Ing. Carla Ziegert B.Eng.
Else Gröttner
Dipl.-Ing. Edda Barth MBA.
Alessandro Henk-Käster
Kata Atzler
Thorsten Adler B.Sc.
Diana Jessel-Geißler
Elise Heinz
Othmar Zänker
Dr. Wilfriede Reuter
Angelika Rosemann
Sören Pechel
Wulf Fiebig B.A.
Horst-Dieter Gude
Ing. Damaris Bonbach
Marjan Pölitz B.Eng.
Ing. Leonore Haering MBA.
Renata Holt-Heintze
Irmi Schacht
Dajana Ring
Ewald Hethur
Paula Heinz
Änne Tlustek-Freudenberger
Guiseppe Bien
Angelique Kruschwitz
Hellmuth Drubin-Tschentscher
Anny Wagenknecht
Prof. Friedbert Tschentscher B.Eng.
Univ.Prof. Anika Jockel MBA.
Ahmed Lange MBA.
Gregor Jungfer
Gabriela Gierschner
Siglinde Zahn
Wladimir Rogge
Thaddäus Kraushaar-Ruppert
Ruth Wiek-Bloch
Katja Heidrich
Karla Conradi
Maurizio Tschentscher
Roger Wagenknecht
Alina Finke
Sieglinde Stahr
Dana Ebert B.A.
Dipl.-Ing. Augusta Lachmann B.A.
Ilse Krebs
Reni Putz-Tintzmann
Canan Berger-Hellwig
Dipl.-Ing. Ana Rosemann
Raissa Mitschke MBA.
Anastasia Gunpf
Dipl.-Ing. Gunnar Rohleder B.Sc.
Rüdiger Heinrich
Franjo Junitz-Hahn
Antonius Bonbach-Juncken
Ing. Zoltan Dobes B.A.
Swantje Binner B.A.
Marcel Stumpf
Gebhard Eberth B.Eng.
Ing. Krzysztof Kambs B.Eng.
Klaus-D. Sölzer
Maria-Luise Schaaf
Felizitas Jungfer
Ing. Pius Börner
Sylvester Neuschäfer-Schacht
Herr Rigo Krebs B.Eng.
Hans-Rudolf Fröhlich
Freddy Hande
Isolde Seifert
Kristian Anders B.Sc.
Franz-Xaver Bachmann
Prof. Nikolai Gunpf
Dr. Melitta Mans B.Eng.
Thorben Henk-Mende
Virginia Gorlitz
Hans-Friedrich Ruppert-Ullrich
Tassilo Beckmann
Ing. Igor Barth
Hans-Bernd Zorbach
Pero Gutknecht
Heide-Marie Koch II
Dr. Markus Roskoth B.Sc.
Christoph Löchel B.Sc.
Hardy Weller
Jozef Kostolzin
Ljubica Wohlgemut-Schmidt
Dr. Marie-Louise Wohlgemut B.Sc.
Dana Schäfer
Yvonne Kroker
Gabriel Klotz
Francoise Rust
Ing. Wencke Speer
Prof. Andrzej Gorlitz
Leon Aumann
Dipl.-Ing. Milica Hofmann B.A.
Irina Seip-Bolnbach
Dipl.-Ing. Herta Fliegner MBA.
Univ.Prof. Gregor Gieß MBA.
Dana Jäntsch
Prof. Lotti Löffler
Timo Spieß
Prof. Anna Kühnert B.Sc.
Hans-J. Hahn-Süßebier
Miriam Ehlert MBA.
Dorina Rust
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Ottilie auch Schlauchin B.Eng.
Timm Schleich
Egon Ruppersberger B.Sc.
Lukas Juncken MBA.
Aziz Anders
Helma Fliegner
Dietrich Kruschwitz
Frau Beatrix Bonbach B.A.
Ing. Heinz-Josef Hoffmann
Elena Wilmsen
Emilie Schmidt-Gröttner
Alwine Bien
Bärbel auch Schlauchin
Rainer Hänel
Irmtrud Mohaupt-Etzler
Bianka Holsten
Heinz-Wilhelm Säuberlich MBA.
Hildegunde Staude
Elena Linke-Wohlgemut
Dr. Ingelore Winkler
Frank-Peter Haase
Madeleine Hartung
Bayram Kostolzin-Rosenow
Anna-Luise Eckbauer
Irene Rogner
Alan Stadelmann-Lindner
Ursel Juncken-Buchholz
Karlheinz Martin
Raymond Misicher
Ing. Hans-Heinrich Reichmann B.Sc.
Zofia Gutknecht
Francoise Zänker-Knappe
Josephine Schweitzer
Theo Trubin
Sigurd Lange-Seifert
Dr. Karl-Hermann Gude
Silja Kraus-Schuster
Kati Koch II
Prof. Hermann Bohlander B.Eng.
Ing. Imke Eigenwillig B.A.
Mohammed Ritter
Carolin Stumpf B.Eng.
Siegmund Hövel
Nuray Aumann
Sibylla Koch MBA.
Evangelos Ring-Schmiedecke
Henni Mälzer-Tlustek
Dr. Diedrich Atzler
Birgit Pergande
Sofie Staude
Prof. Sofie Gröttner
Mariana Wirth
Prof. Reimar Reinhardt MBA.
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Gerfried Dippel
Erwin Etzold
Univ.Prof. August Schleich B.A.
Ing. Selim Tintzmann B.A.
Prof. Erwin Albers B.Sc.
Ehrenfried Seidel MBA.
Magarete Klingelhöfer-Mans
Annemie Kade-Kuhl
