Student
Traudl Christoph
Inge Dietz B.A.
Annelies Heidrich
Rose Beer
Sylvio Karge
Notburga Weller MBA.
Michael Mies B.Sc.
Wiltrud Wilmsen-Graf
Gilda Segebahn
Guenter Kohl-Nette
Sylvia Schäfer
Sibille Liebelt
Hedy Loos
Ing. Alfred Söding
Univ.Prof. Hans-Rudolf Wohlgemut
Annegrete Pohl-Sölzer
Univ.Prof. Eugen Karz
Prof. Manuela Schleich B.Sc.
Gabor Pechel-Junken
Oliver Bien
Dr. Hans-Peter Adolph MBA.
Woldemar Heinz
Dusan Conradi-Rogner
Manuel Schenk
Dr. Tim Hornig B.Sc.
Ron Beer
Ing. Gislinde Ernst B.A.
Frau Pascale Hettner B.Eng.
Annaliese Gerlach
Piotr auch Schlauchin-Reuter
Adelgunde Beer
Mirella Löchel
Resi Knappe
Cora Scholtz
Edwin Förster-Albers
Kirsten Stey B.A.
Prof. Sibel Wohlgemut B.Sc.
Kristin Kabus
Anneliese Wähner
Tassilo Beckmann
Prof. Kathy Warmer MBA.
Helge Finke-Wähner
Kriemhild Junk MBA.
Univ.Prof. Edit Ehlert B.Eng.
Herr Muzaffer Schäfer
Judith Meyer
Ing. Ignaz Rose
Bodo Kranz-Striebitz
Abdul Ullmann
Hans-Martin Drewes
Anne-Rose Klapp-Jockel
Silvia Weiß
Karl Heß
Sevim Vollbrecht B.A.
Dipl.-Ing. Klaus-D. Kostolzin
Lisette Schönland B.Eng.
Dr. Krista Wirth
Fanny Bolnbach B.Sc.
Aleksander Klapp-Sauer
Fredy Hiller
Polina Ladeck B.A.
Camilla Kühnert MBA.
Leonard Kostolzin
Danilo Hartmann
Marlen Flantz
Annekatrin Neureuther
Sylvie Börner
Erkan Kuhl-Oestrovsky
Gunhild Stroh-Jacob
Milan Weiß-Schuchhardt
Prof. Arif Mielcarek B.Eng.
Phillip Rosemann-Bachmann
Julia Ruppersberger
Ing. Kornelius Geisel B.Sc.
Ing. Selim Tintzmann B.A.
Ing. Ivonne Nerger
Fatih Ladeck-Weihmann
Gunda Ditschlerin B.A.
Franca Börner
Prof. Maya Peukert
Jörgen Paffrath B.Sc.
Johan Buchholz
Marit Eberth
Herr Rupert Jüttner MBA.
Herr Gundolf Barth
Lars Kallert
Hildegard Roht B.Sc.
Dr. Marco Scheuermann
Nikolaj Scholz
Svetlana Boucsein
Prof. Volkmar Wirth B.Eng.
Marek Hesse B.Eng.
Henni Keudel B.Sc.
Janus Jessel-Hermann
Dr. Hans Dieter Mude
Leonid Mühle
Univ.Prof. Otto Kruschwitz MBA.
Anja Meyer B.A.
Virginia Eigenwillig
Dipl.-Ing. Oskar Vogt B.A.
Univ.Prof. Cecilia Scholl MBA.
Deborah Etzler
Stavros Meyer
Miriam Juncken
Dipl.-Ing. Klaus Geisler
Gereon Jacob
Prof. Sandy Butte
Willy Reichmann
Bertha Reuter
Tülay Fiebig
Evelyn Ortmann
Prof. Ada Wähner
Univ.Prof. Karl-Otto Dowerg MBA.
Univ.Prof. Paul-Heinz Heinz
Blanka Ladeck
Maria Bruder
Berit Pärtzelt
Ing. Luisa Oestrovsky
Victor Fritsch B.Eng.
Monika Hornich MBA.
Hellmut Hein-Gnatz
Igor Zobel B.A.
Darius Klotz
Hans-Eberhard Lübs
Silvester Scheibe
Hans-Rudolf Huhn
Roselinde Zobel
Dipl.-Ing. Willibert Süßebier
Bartholomäus Trapp
Piotr Hande
Maria-Theresia Tschentscher
Mijo Seidel B.Sc.
Heinz-Josef Meister
Ali Schmidt-Knappe
Angelo Röhrdanz
Paolo Weller-Heinrich
Herr Mirko Häring B.Sc.
Kristiane Zahn
Birthe Graf
Friedlinde Schenk-Wulff
Phillip Hermann
Dr. Mirko Langern MBA.
Mike Hofmann
Anna-Marie Ullrich
Denis Etzold
Conrad Lindau
Meral Stroh-Henschel
Herlinde Birnbaum
Kirstin Boucsein B.Eng.
Urban Klemt
Ben Schomber
Curt Jopich
Dr. Philip Siering B.A.
Prof. Magnus Dörr B.Eng.
Aleksander Scheuermann
Dr. Lidia Flantz B.Sc.
Univ.Prof. Michail Tintzmann B.Eng.
Dipl.-Ing. Svea Neureuther
Alwin Löffler B.A.
Birgitt Seip-Klemm
Frau Melita Scholz B.A.
Karl-Dieter Speer
Jasmina Rädel
Hannah Jacobi Jäckel
Leonardo Vogt
Susanna Beyer B.Eng.
Alex Ziegert
Margita Hentschel
Lucie Trüb-Schmiedt
Dipl.-Ing. Lioba Plath
Evelin Gerlach
Christina Geisel-Hesse
Nancy Hartmann-Schottin
Prof. Rabea Hettner B.Eng.
Dr. Ruth Dobes
Vinzenz Bruder
Mariele Stiffel B.Sc.
Dr. Carsten Steinberg
Aleksej Fröhlich
Dipl.-Ing. Frederik Rörricht B.Sc.
Alf auch Schlauchin
Milos Pärtzelt B.Sc.
Ulrich Schlosser
Dirk Graf-Stiffel
Prof. Niko Atzler B.Sc.
Ekaterina auch Schlauchin
Fredy Ring
Paolo Schmidt B.A.
Maria-Theresia Scholl
Univ.Prof. Reinhilde Cichorius B.A.
Dr. Editha Rohleder
Maren Anders
Lena Dowerg
Heinz-Georg Heidrich
Klaus-Dieter van der Dussen
Adelinde Gumprich MBA.
Brian Blümel B.Eng.
Herlinde Schenk B.A.
Nina Wagenknecht
Eileen Geißler
Mandy Huhn B.A.
Dipl.-Ing. Robert Köhler
Alicja Gieß
Ing. Horst-Dieter Seip
Irma Neureuther
Trudel Bloch
Jonathan Schottin-Naser
Hans-Günther Kohl B.Eng.
Ekaterina Schmiedecke
Fatima Weinhage-Boucsein
Cläre Mohaupt
Roger Gunpf-Paffrath
Rosalia Johann
Hans-Dietrich Fliegner
Baptist Gröttner B.Sc.
Thorsten Kensy B.Eng.
Ingo Löffler
Gudrun Rörricht
Sigurd Lange-Seifert
Dipl.-Ing. Tina Wagenknecht MBA.
Univ.Prof. Jann Schleich
Siegmar Keudel-Gude
Verena Davids
Anneke Jähn
Ing. Michel Harloff
Ing. Pamela Gerlach
Joseph Gorlitz-Bloch
Mike Matthäi
Margaretha Heintze-Henk
Univ.Prof. Immo Mangold
Univ.Prof. Arne Hoffmann
Dorothee Blümel
Liesel Klapp
Dipl.-Ing. Jozef Hartmann
Wanda Stoll B.A.
Maximilian Pohl B.A.
Alwina Neureuther
Joana Preiß
Laila Kranz
Senta Weihmann
Sandor Riehl
Karl-Ludwig Bolnbach
Antonia Stey
Dr. Erdogan Fröhlich
Erich Putz
Ing. Marie-Therese Schleich
Tomislav Steckel
Knut Gorlitz
Ida Buchholz B.Eng.
Marika Zimmer
Sybilla Striebitz
Ing. Thomas Drewes B.A.
Karl-Peter Hering
Univ.Prof. Henryk Kostolzin
Wolfhard Ziegert
Dr. Helma Kohl B.A.
Herr Jacek Budig B.Eng.
Meryem Graf-Lange
Sigrid Jockel
Ehrhard Häring B.A.
Dipl.-Ing. Angelique Ortmann
Rosa Heuser
Theodor Niemeier
Univ.Prof. Gino Wagner B.Sc.
Ing. Gerlinde Junken
Andrej Geißler-Beckmann
Hermann-Josef Zimmer
Prof. Beatrix Döring MBA.
Waltraud Hentschel
Alban Butte
Herr Mahmoud Schleich B.Sc.
Philip Renner
Lena Ernst-Schenk
Oxana Stumpf
Enver Conradi-Hecker
Walentina Hesse
Heinz-Jürgen Hesse
Ing. Carmen Birnbaum
Philomena Bloch
Gertrude Lehmann-Kostolzin
Christopher Gertz-Kade
Zofia Schulz
Gaetano Söding
Prof. Annita Wulff
Dipl.-Ing. Anneliese Kühnert
Raphael Bonbach MBA.
Emine Vollbrecht B.Eng.
Ekaterina Liebelt
Jann Schleich
Robert Herrmann
Hans-H. Naser
Ute Stroh
Bettina Klapp
Julia Hecker-Krebs
Geraldine Wagner
Irmi Koch
Boris Stumpf
Herr Gotthard Wilms
Massimo Ernst
Eva-Maria Mies MBA.
Klaus-D. Dippel MBA.
Cornelia Gehringer
Gerta Klemt
Ing. Karin Werner
Zenta Gertz B.A.
Insa Peukert
Horst-Peter Riehl
Gusti Henschel
Benita Heser
Mareen Krebs-Hofmann
Madlen Geißler
Karl-Georg Lehmann
Kay-Uwe Finke
Ing. Erwin Kobelt B.A.
Urszula Spieß
Ing. Louis Eckbauer B.Eng.
Marianna Hofmann
Univ.Prof. Galina Kobelt B.Eng.
Ing. Mattias Boucsein
Hatice Killer-Löwer
Wenzel Wilmsen
Christos Beier
Carola Kusch
Frank-Michael Löwer-Ring
Carmelo Stiebitz
Burghard Wohlgemut
Ing. Tomas Fischer B.Sc.
Margareta Losekann
Dr. Francisco Hänel
Gottfried Hettner-Reising
Andre Stroh
Rolf-Peter Reising B.Sc.
Karla Conradi
Ing. Mahmoud Becker
Monique Ullmann MBA.
Ing. Eleonora Holzapfel
Emma Hornich-Kraushaar
Dipl.-Ing. Christoph Schulz B.Sc.
Herr Filippo Rosemann B.A.
Dr. Aldo Fritsch
Oliver Biggen
Univ.Prof. Ferenc Knappe B.Sc.
Albert Butte
Hassan Sager
Frau Cynthia Bähr B.Sc.
Gerda Sauer
Univ.Prof. Siegrun Klingelhöfer MBA.
Liesa Neureuther
Tomislav Schüler
Giuseppina Keudel
Ole Süßebier MBA.
Gundolf Walter
Univ.Prof. Lara Hoffmann MBA.
Cemal Klingelhöfer-Otto
Ing. Gabriella Bähr
Gitte Römer-Kroker
Heimo Kuhl
Hans D. Kusch B.Sc.
Karl-Georg Römer B.A.
Judith Boucsein-Aumann
Dana Schäfer
Josef Rädel
Edgar Jüttner
Marko Kensy-Atzler
George Hörle
Anatoli Anders
Nikolas Hövel
Annaliese Klingelhöfer
Dr. Wilfriede Reuter
Dagmar Schäfer
Clara Gehringer
Hedwig Matthäi
Auguste Buchholz B.Sc.
Hermine Wohlgemut
Kriemhild Warmer
Calogero Wagner
Alicja Sorgatz
Christiane Wirth B.Eng.
Patrizia Biggen
Mechtild Winkler
Delia Hande-Koch
Thaddäus Geißler
Catrin Caspar
Annika Pieper B.A.
Herr Lukas Eimer
Friedrich-Wilhelm Stahr-Henck
Justus Schüler MBA.
Prof. Rolf-Dieter Fiebig MBA.
Asta Mielcarek-Blümel
Dr. Jane Kostolzin
Annelore Bolander
Anastasios Karge
Arif Heinrich
Wolf-Rüdiger Börner
Wendelin Pärtzelt
Arno Ullmann
Daniela Schweitzer
Timm Oderwald
Luzia Eckbauer
Roman Bloch
Cengiz Dehmel
Anastasios Heinz
Anne-Marie Stumpf
Evi Grein Groth
Hansjoachim Kraus-Beer
Hatice Jessel
Imelda Geißler
Ing. Giorgio Warmer B.Eng.
Sybilla Hornig
Univ.Prof. Kathi Noack B.Eng.
Heinz-Georg Rosemann-Bohnbach
Ilse Nette
Hagen Girschner
Carla Schacht
Hartmut Biggen-Trapp
Karl Meister B.Eng.
Sandy Fechner
Marie-Luise Rogner
Franz Ortmann B.Eng.
Dipl.-Ing. Reimer Werner MBA.
Janet Jüttner
Svetlana Bonbach B.A.
Marga Vogt
Dorle Dörschner
Hans-Henning Heydrich MBA.
Hedy Kobelt
Gero Gumprich B.Sc.
Dr. Sybille Bärer B.Sc.
Hans-Georg Scholz
Klara Blümel
Vlado Hübel B.Eng.
Prof. Joanna Kreusel
Univ.Prof. Luka Mende
Suzanne Holzapfel
Evangelia Misicher
Prof. Klaus-Ulrich Boucsein MBA.
Ing. Abraham Thanel B.Eng.
Damaris Eigenwillig
Wieslaw Löchel
Dominic Schönland
Prof. Josefa Beier B.Sc.
Nadine Sauer
Dr. Ute Schuchhardt
Patrizia Wirth
Sami Junitz
Herr Gustav Noack
Melanie Segebahn
Friedericke Lehmann B.Sc.
Ulrike Hiller
Catherine Cichorius
Raissa Gehringer-Putz
Hanne Ackermann
Frau Hedwig Wirth
Leon Bauer
Franz Josef Nette-Werner
Dipl.-Ing. Nathalie Bender
Prof. Heide Krebs
Swantje Heinz
Celal Seifert
Prof. Janin Dietz
Dipl.-Ing. Hans-Erich Klemm
Oxana Linke B.Eng.
Klaudia Seidel
Lena Wende
Claus Heser B.Sc.
Dipl.-Ing. Arthur Ziegert
Hans-Hinrich Bohlander
Helmuth Zirme
Marina Radisch
Dorota Wilms
Christos Bolander
Tülay Schmidtke B.Sc.
Marlen Jacobi Jäckel B.Eng.
Artur Briemer
Ing. Gerold Mende
Sebastian Warmer
Gerti Trupp-Dowerg
Hellmuth Hörle
Dragica Rosenow
Ellinor Kraus
Klaus Dieter Stoll-Wilms
Lina Hörle
Erik Wirth B.Eng.
Bruni Meister B.Sc.
Anna-Luise Eckbauer
Beatrix Gehringer
Ing. Hellmuth Scholl
Herr Gunther Flantz
Jelena Jüttner
Dr. Gudula Scheuermann
Vassilios Kramer
Ellen Haase
Elena Wilmsen
Kerstin Niemeier
Dipl.-Ing. Ilse Heß B.Sc.
Raymund Thanel
Nadin Stiebitz B.Eng.
Bert Ortmann
Prof. Pascale Kruschwitz
Madeleine Henk
Marliese Drubin
Ahmed Lange MBA.
Harold Scheibe
Helen Hahn
Siegried Otto
Ing. Marlene Wirth B.Sc.
Frank-Peter Kambs
Massimo Hecker
Irmengard Röhrdanz
Dierk Dörr
Peer Grein Groth-Lange
Dipl.-Ing. Burckhard Jäntsch
Dr. Rita Kallert
Theresa Killer
Apostolos Kreusel-Noack
Frau Käthi Hamann B.Eng.
Frank-Peter Weimer
Hanno Hölzenbecher B.Sc.
Evangelia Harloff B.A.
Joachim Süßebier
Margita Hartung-Zänker
Hans-H. Pergande
Karla Freudenberger MBA.
Heinz-Dieter Caspar-Hande
Francisco Budig-Geisler
Prof. Ivonne Boucsein B.Eng.
Ercan Oestrovsky B.Eng.
Theres Beer
Fatih Zirme
Jasmina Koch MBA.
Franco Radisch
Dan Scheuermann
Kristiane Hermann
Albin Schuchhardt
Herr Torsten Hermighausen B.Sc.
Rudolf Mentzel
Michaela Hecker B.Eng.
Mirja Dehmel B.A.
Geraldine Eckbauer
Konstantin Ladeck
Sonja Barkholz
Reinhild Patberg
Irmtraut Fröhlich-Hertrampf
Augusta Rosemann
Janine Müller-Steckel
Ing. Dirk Paffrath
Univ.Prof. Leszek Gieß B.Eng.
Brunhilde Scholz
Margarethe Steckel
Ing. Loni Gnatz MBA.
Ulrike Rädel B.Eng.
Hedwig Briemer
Goran Junck-Bauer
Mechtild Hering
Vesna Bähr
Maritta Bien
Claire Junk
Magdalene Mude
Univ.Prof. Kevin Juncken B.Eng.
George Paffrath MBA.
Dominik Huhn
Prof. Beatrice Misicher
Prof. Lydia Siering
Josefa Lange
Hiltrud Bolander-Ziegert
Aribert Putz
Conny Geißler-Karge
Sylvester Bachmann
Herr Burkhardt Bauer B.Eng.
Bettina Lachmann
Tilly Pergande
Daniela Wernecke-Hölzenbecher
Anatol Gude MBA.
Knud Trommler
Dr. Uli Segebahn
Mattias Kruschwitz
Abraham Carsten
Dipl.-Ing. Rabea Sorgatz MBA.
Karlfried Zahn B.A.
Luitgard Weiß-Rörricht
Zeljko Gieß
Prof. Eckhart Jockel B.Eng.
Sibilla Eimer
Dr. Lina Hiller
Eva-Marie Berger MBA.
Andre Schinke
Univ.Prof. August Gunpf B.A.
Freia Hamann
Ing. Carmine Kroker
Ingelore Heinz
Natalia Hauffer
Gerda Gröttner B.Sc.
Reingard Geisel
Friedbert Sorgatz
Annekatrin Trupp
Michel Kuhl
Kristin Kaul B.Sc.
Olav Gumprich-Täsche
Lorenzo Hornig
Thorben Henk-Mende
Thorben Kitzmann
Frau Kirsten Boucsein
Tibor Briemer
Osman Liebelt
Bianka Schuster-Ziegert
Mercedes Rädel-Drub
Calogero Staude B.A.
Luka Zorbach
Anneliese Trub
Eveline Kruschwitz B.Sc.
Ing. Christiana Seip
Hilma Kuhl
Jonas Hendriks
Natalie Werner
Prof. Carina Eimer
Cecilia Scholz-Barth
Miroslaw Holt
Reinhard Zänker
Marlis Wiek
Ulrike Ackermann B.Sc.
Rolf-Dieter Kensy
Gerta Hartmann
Ahmed Freudenberger B.Sc.
Herr Frank-Peter Jopich
Inna Ditschlerin
Anny Wähner
Ludwina Beer
Prof. Annita Putz
Lothar Fischer
Prof. Angelique Seidel MBA.
Liliana Davids
Frau Mechtild Fliegner
Dipl.-Ing. Lieselotte Trüb B.A.
Ing. Margarethe Martin
Paolo Wernecke
Konstantinos Stolze-Biggen
Rouven Bloch B.A.
Lena Losekann
Doris Kraushaar
Ralf-Peter Gute
Univ.Prof. Dorle Röhrdanz B.A.
Ehrhard Förster
Ing. Pawel Rörricht
Burckhard Heuser
Dipl.-Ing. Margarethe Holt MBA.
Herr Hans-Martin Heuser
Dipl.-Ing. Freya Höfig
Marleen Heser
Univ.Prof. Brigitte Rogner
Univ.Prof. Ahmet Birnbaum MBA.
Ing. Augustin Budig B.Eng.
Aloys Fechner
Esther Eberth-Kensy
Wiltrud Geißler
Dr. Ehrhard Gieß B.Sc.
Sabrina Kohl
Czeslaw Jacobi Jäckel-Zahn
Hans-J. Neureuther
Heinz Krebs B.Eng.
Dittmar Berger
Gesa Bender
Lilli Harloff
Hermann Josef Schmiedecke
Dragica Kreusel
Dipl.-Ing. Heinz-Otto Jähn
Damaris Zirme
Uwe Schwital MBA.
Vadim Bender B.A.
Elke Haase
Alan Eigenwillig
Manja Koch II-Heuser
Heiko Metz
Nikolas Heß
Prof. Rudolph Linke
Juliana Schönland
Karl-Josef Schottin-Hoffmann
Volker Adler
Lutz Pärtzelt
Kreszenz Beier
Prof. Augustin Stey B.A.
Dr. Alwina Lorch MBA.
Leonardo Birnbaum
Prof. Marijan Hoffmann
Wulf Schuster
Marisa Wagenknecht
Ljudmila Nerger
Walli Baum-Kohl
Dorina Weinhage
Dr. Gerold Dörschner
Dipl.-Ing. Kevin Stadelmann
Annerose Eckbauer
Univ.Prof. Rafael Pruschke B.A.
Necati Lindner
Domenico Reichmann
Istvan Scheuermann
Ing. Liesa Zirme
Janette Kraushaar
Eugenia Stey
Evelyn Bien
Helfried Seifert-Schönland
Bayram Hering
Monja Heidrich
Danny Mälzer
Danny auch Schlauchin
Ottilie auch Schlauchin B.Eng.
Daniele Heintze B.Eng.
Dr. Ian Grein Groth
Louise Jessel
Augustin Jopich
Lotti Rosemann
Gislinde Lehmann
Ekrem Pruschke-Jäkel
Klaus-D. Zänker-Hein
Andre Schlosser
Karl-Jürgen Ziegert
Elli Täsche B.Eng.
Cordula Schmiedecke-Wilms
Hans-Günther Etzold
Prof. Alma Gumprich
Meryem Sager
Klothilde Blümel B.A.
Helmtrud Neureuther
Klaus-Jürgen Jockel
Roswita Atzler
Prof. Heinz-Peter Thies
Hans Peter Beckmann
Univ.Prof. Giovanna Siering MBA.
Conny Zirme B.Sc.
Till Karz
Karl-Heinz Hahn
Rene Albers
Abram Scholz B.Sc.
Hildegunde Wende-Spieß
Prof. Trude Schäfer MBA.
Annett Sorgatz B.Eng.
Frau Tatiana Hande B.Sc.
Dr. Egbert Kraus
Frau Elfi Winkler MBA.
Myriam Hänel
Dr. Helge Täsche MBA.
Dr. Reza Hering B.Sc.
Franka Peukert
Maxim Wilms-Meister
Vinko Reuter
Ing. Ernst-August Häring
Rebecca Geißler
Karl-Wilhelm Weiß
Wulf Kusch
Frau Hildegund Vogt B.A.
Luis Jacob
Zbigniew Boucsein
Jeannette Heuser
Ilija Eckbauer-Steinberg
Maren Roht
Christos Gumprich
Dajana Gehringer
Irmtraud Hauffer-Matthäi
Ilja Hölzenbecher-van der Dussen
Constantin Beckmann
Egbert Jüttner
Ehrentraud Meyer MBA.
Ingried Stiffel B.A.
Klothilde Zänker
Holger Gröttner B.Eng.
Univ.Prof. Annegrete Holt
Ronald Börner-Hentschel
Elif Röhricht
Frau Herlinde Segebahn
Jörg-Peter Klemt MBA.
Dr. Hans-Hermann Rosemann B.A.
Birgitta Schleich
Herr Thorsten Hartmann B.Eng.
Ing. Wladimir Karz MBA.
Natalia Fröhlich-Kabus
Romy Baum
Ivan Plath
Dipl.-Ing. Sarina Dörr
Univ.Prof. Lisbeth Köhler
Osman Schäfer
Meta Wagenknecht
Univ.Prof. Harriet Heintze
Carl Jockel
Thies Pergande
Roswita Henck
Dr. Anny Kallert
Gordon Lehmann
Heinz-Günter Schuster
Mona Söding
Carin Rohleder
Dr. Heiderose Kallert B.Eng.
Emmy Trub MBA.
Prof. Ferdinand Gertz B.Sc.
Iris Ullrich
Harri Mans
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Berndt Bähr
Emanuel Holsten
Univ.Prof. Almuth Cichorius B.Eng.
Miroslav Kohl
Prof. Cathrin Misicher
Dipl.-Ing. Gisela Schuster B.A.
Ute Möchlichen
Natascha Schinke B.Eng.
Stjepan Schmidtke
Prof. Attila Werner B.A.
Sophie Rädel
Univ.Prof. Edelgard Naser B.A.
Natalie Carsten B.A.
Hans-Otto Trubin B.Eng.
Ronald Henschel
Dr. Trude Girschner
Univ.Prof. Dolores Rust
Hans-Hinrich Trub
Ingo Heinz
Elisabet Schuster B.A.
Frau Alexandra Beckmann B.A.
Svetlana Bohlander B.Sc.
Thorsten Ruppersberger
Heinrich Köster
Elias Hethur
Alois Werner
Süleyman Wende
Meral Reinhardt
Hiltraud Klemm-Pärtzelt
Dipl.-Ing. Gabi Scholtz
Edelbert Bruder
Achim Mülichen-Schleich
Anni Dietz-Blümel
Peggy Holt
Sigurd Höfig B.Sc.
Rocco Trub
Dr. Gerard Reichmann MBA.
Hansjürgen Eberth
Ivo Lorch
Veronika Gröttner
Dr. Halina Mälzer
Falko Kusch B.A.
Eleni Krause B.A.
Gilbert Bolnbach
Univ.Prof. Pia Schlosser MBA.
Univ.Prof. Liliana Drub
Walfried Klotz-Klotz
Ing. Herbert Mühle B.Sc.
Susi Hendriks
Karolina Hartmann
Ing. Leonid Budig B.A.
Pedro Bärer
Imelda Söding
Hans-Martin Junk-Kuhl
Herr Hendrik Fritsch B.Eng.
Kristina Wernecke
Wolf Häring-Kallert
Gudrun Heß B.Sc.
Detlef Köster
Univ.Prof. Gerhardt Dowerg B.Eng.
Dipl.-Ing. Alf Graf
Iris Mans
Dipl.-Ing. Nuray Mude B.Sc.
Czeslaw Fiebig
Leopoldine Butte
Anatolij Keudel
Andrea Ziegert
Carsten Jüttner B.Eng.
Peter Mitschke
Ronny Scholtz
Ing. Gundolf Steinberg B.Sc.
Carmela Lindau
Sigrid Schleich
Univ.Prof. Claudio Schmiedt
Dierk Beier
Justine Kade
Dipl.-Ing. Patric Johann
Ing. Alban Mohaupt
Gerhild Beyer
Prof. Dolores Butte
Rüdiger Heinrich
Prof. Karl-Hermann Pieper B.Eng.
Dr. Frieda Metz
Prof. Robert Heintze
Valeska Geisler B.Eng.
Brian Preiß
Eugenia Sorgatz
Aloys Ruppert
Gunnar Weimer
Dipl.-Ing. Igor Henck B.A.
Elfi Bolander
Mirko Ehlert
Hansjörg Holsten
Gerwin Ortmann
Eleonora Gehringer
Herr Evangelos Schacht
Herma Möchlichen
Willibald Holsten
Alexej Hornig-Radisch
Hansjürgen Faust
Konstanze Sontag
Adelinde Ackermann-Knappe
Helmtrud Atzler
Ing. Helene Jähn B.Eng.
Willibald Seidel
Univ.Prof. Dana Seifert
Friedrich-Wilhelm Holsten
Gusti Schleich
Emilia Scheel
Dr. Sedat Schäfer
Annaliese Heser B.Sc.
Univ.Prof. Ivo Mies
Malte Kallert-Möchlichen
Ing. Clemens Wirth
Frieda Tintzmann-Löchel
Frau Karolina Hörle
Rosalia Pruschke
Lucia Kohl
Marta Roht B.Sc.
Berend Gertz B.Eng.
Stefania Möchlichen
Heide Schottin
Dr. Fatma Jacob MBA.
Prof. Meik Blümel B.Sc.
Hans-Wolfgang Harloff
Ann-Kathrin Davids
Milica Reichmann
Isidor Heinrich
Kemal Butte-Tintzmann
Ditmar Briemer
Prof. Sergei Heser
Wilma Drub B.Eng.
Frau Rosalinde Riehl
Alwine Linke
Ing. Margarete auch Schlauchin MBA.
Nikolaos Reichmann
Ottokar Döhn
Wolfhard Rosemann B.Eng.
Frau Swantje Heinrich B.A.
Anneli Wernecke
Elizabeth Schlosser B.A.
Edgar Bauer
Siegbert Schweitzer
Bruno Wagenknecht
Nikolai Haase B.Sc.
Univ.Prof. Paul-Gerhard Lübs MBA.
Univ.Prof. Frederike Heintze
Harriet Rohleder
Frau Renate Geisler
Mirco Girschner
Dr. Ralf Hölzenbecher
Edit Rädel
Elena Gotthard
Falko Klemm B.Sc.
Nelli Stiebitz
Edeltrud Kambs
Cäcilie Schmidt
