Student
Herr Eberhardt Gierschner
Ing. Vesna Kroker B.Eng.
Francesco Nerger
Dipl.-Ing. Dunja Hoffmann
Anatolij Junk
Rolf-Peter Reising B.Sc.
Univ.Prof. Heimo Dobes B.A.
Philipp Ernst
Hans-Theo Bärer B.Eng.
Bertram Rädel
Annita Jähn
Josef Butte-Lindau
Klaus Peter Weller
Patrick Anders-Stolze
Sibilla Hofmann
Anika Tschentscher
Univ.Prof. Gottfried Süßebier
Marion Kuhl
Prof. Antonia Mielcarek B.Eng.
Carina Schaaf
Urban Pieper
Olivia Thies B.A.
Gunhild Nohlmans
Jörg-Peter Jüttner-Winkler
Dunja Trub
Marika Zimmer
Anto Niemeier
Jonathan Mohaupt
Ing. Christel Margraf MBA.
Heimo Gorlitz B.A.
Univ.Prof. Maxim Matthäi
Orhan Hecker-Heuser
Rosina Otto
Peggy Sauer
Prof. Nikolai Gunpf
Olaf Juncken
Nurettin Koch II
Günter Wiek B.A.
Mario Bärer
Dr. Jan-Peter Döhn B.A.
Hasso Zahn
Isidor Heinrich
Diana Haering
Senol Heintze-Gerlach
Hans Jörg Koch
Herr Louis Hövel
Ing. Magarete Herrmann B.Eng.
Dr. Eberhardt Adolph B.Eng.
Giovanni Weller-Söding
Damaris Zirme
Sarina Dobes
Heinz-Joachim Trüb B.Sc.
Maria Bruder
Rotraut Ullrich
Marcella Sölzer
Jasmina Cichorius-Barth
Lydia Jopich
Michel Hermighausen
Toni Schottin B.A.
Corinna Täsche B.A.
Dipl.-Ing. Betti Löffler MBA.
Prof. Hans-Gerhard Reinhardt B.Eng.
Kristina Scheibe
Univ.Prof. Bela Kraus
Marianne Heser
Dipl.-Ing. Igor Henck B.A.
Fatima Weinhage-Boucsein
Babett Süßebier B.A.
Dr. Jan-Peter Martin B.Eng.
Ehrenfried Seidel MBA.
Herr Süleyman Karge MBA.
Sükrü Schüler MBA.
Ilja Wende
Edelgard Gnatz-Dobes
Kay-Uwe Jähn-Schwital
Danica Atzler
Joseph Austermühle
Sönke Gumprich
Univ.Prof. Dolores Rust
Florentine Sölzer-Siering
Faruk Schomber
Pascale Bruder
Hajo Thies
Daniel Stiebitz
Ing. Georgia Rogner
Vinko Kraus-Schmiedt
Dr. Franz-Peter Löffler
Cornelius Scheuermann
Denny Salz
Daniele Seip
Ing. Philipp Textor
Dipl.-Ing. Marisa Scholl
Eugenia Stey
Michaele Ruppert
Prof. Lieschen Bohlander
Oskar Beyer
Jasmina Koch MBA.
Erhardt Heidrich
John Gunpf B.Sc.
Elvira Mälzer
Evelyne Beyer
Stilla Hornig B.A.
Prof. Josefa Beier B.Sc.
Hans Georg Gorlitz-Schäfer
Svetlana Bonbach B.A.
Witold Heintze
Guenther Metz
Prof. Ingetraud Seidel B.Sc.
Jolanta Nohlmans-Tschentscher
Rigo Conradi
Cynthia Linke
Herr Mirko Häring B.Sc.
Diane Butte-Schleich
Ing. Nils Pergande B.A.
Viktor Kusch
Margrit Förster
Univ.Prof. Almuth Cichorius B.Eng.
John Roskoth-Rädel
Dipl.-Ing. Ingbert Krebs B.Eng.
Frau Reinhilde Wirth MBA.
Anne-Katrin Lorch
Alicja Pergande
Ing. Gertraude Holsten B.Sc.
Reinhard Zänker
Jenny Scholtz
Johann Beer
Vincenzo Steinberg B.Sc.
Ing. Danica Gieß MBA.
Wilfried Börner
Ottmar Hölzenbecher
Viviane Girschner
Hermann Josef Weihmann
Prof. Ursula Eigenwillig
Marcel Hermighausen
Metin Peukert-Lindner
Sabrina Kohl
Annelie Bloch
Mandy Loos
Ramona Römer
Mariusz Adler
Traudl Gierschner
Walther Hofmann
Lara Stroh
Ing. Wendelin Köster B.A.
Franca Mentzel
Carlo Bohlander
Meral Bolnbach
Dipl.-Ing. Denise Beier
Gotthard Löwer
Janko Stey MBA.
Niklas Schleich
Abraham Adler
Fatma Möchlichen
Tomasz Preiß
Univ.Prof. Ingelore Schulz MBA.
Ilija Hofmann
Alena Hänel
Gordon Klemt-Rörricht
Folker Otto MBA.
Annelies Heidrich
Anne-Rose Hettner B.A.
Anneke Jähn
Gülay Werner
Prof. Beatrix Döring MBA.
Ing. Hansgeorg Jockel B.Eng.
Dipl.-Ing. Rüdiger Otto B.A.
Josefa Junk
Jörn Barth-Möchlichen
Herr Karl Dippel B.A.
Herr Bertold Löffler
Univ.Prof. Hinrich Eberth
Maren Drub
Natalia Fröhlich-Kabus
Tobias Liebelt
Dipl.-Ing. Gabriel Roskoth
Dipl.-Ing. Margarita Stey
Frau Siegried Margraf B.Sc.
Hermann Josef Schmiedecke
Laura Wilms
Heinz-Otto Wende
Constantin Beckmann
Bruno Siering MBA.
Gerhild Stiffel
Bianka Schmidt
Senta Warmer
Manja Koch II-Heuser
Günter Löwer
Prof. Robert Heintze
Notburga Pechel B.Eng.
Ing. Carin Zorbach MBA.
Klaus Dieter Weimer-Hein
Dr. Edit Scheibe B.A.
Zenta Mende
Ing. Engelbert Bauer
Constance Lange
Emilie Schmidt-Gröttner
Wiltrud Dietz
Nikolas Ebert
Univ.Prof. Veli Etzler
Irina Gröttner
Wolf-Rüdiger Börner
Dr. Iris auch Schlauchin
Calogero Mude-Etzold
Saskia Heidrich
Willfried Mende
Janko Neureuther
Theodoros Grein Groth
Margit Losekann
Diedrich Jäntsch B.A.
Sandy Dietz
Larissa Mangold
Peer Hölzenbecher
Rüdiger Hellwig B.A.
Catrin Hamann
Richard Kostolzin
Reinald Gerlach
Herr Christopher Speer
Prof. Henriette Killer
Ing. Petar Hänel MBA.
Ing. Swen Sorgatz B.Eng.
Fadime Reinhardt MBA.
Edwin Förster-Albers
Pauline Bolzmann
Fatima Heser B.Eng.
Heinz Dieter Zirme
Prof. Amelie Rose MBA.
Jan Linke MBA.
Yusuf Nette B.Sc.
René Rose-Krebs
Frau Therese Henk B.A.
Dipl.-Ing. Pero Ruppersberger B.Sc.
Beatrice Käster
Gerlinde Albers-Hörle
Margit Müller
Ellinor Schmidtke B.Sc.
Niels Faust
Ing. Dorothee Harloff B.Sc.
Frau Julie Gunpf
Jörg-Peter Christoph
Erdal Bähr
Herr Mario Pergande
Igor Zobel B.A.
Wally Krein-Bien
Erich Klotz B.Sc.
Cathleen Gude
Janus Oderwald-auch Schlauchin
Kai-Uwe Oderwald
Walfried Siering
Renate Austermühle B.Eng.
Maik Schottin
Gabi Gertz
Anneli Schleich-Ullmann
Prof. Anka Schulz
Herr Hans Rogge
Prof. Beatrice Misicher
Ortrun Pohl B.Eng.
Dr. Annelies Stumpf
Gotthard Schuster
Antonius Pärtzelt-Jüttner
Aleksander Klapp-Sauer
Helen Tschentscher
Monja Weiß
Hans-Uwe Sager
Elias Hethur
Maya Lindner-Zimmer
Jeannine Heinz-Tlustek
Violetta Beyer
Irmtrud Johann
Magdalena Gude
Marcel Schlosser
Hans Kostolzin-Ditschlerin
Herta Hoffmann
Herr Gustav Noack
Hannes Jäntsch
Brita Jäkel
Ing. Rosalinde Käster MBA.
Gerd Wiek MBA.
Wenzel Wilmsen
Ben Bonbach B.A.
Martine Trupp
Hanne-Lore Kraus
Univ.Prof. Walfried Hövel
Mirjana Schlosser B.Eng.
Prof. Reimar Reinhardt MBA.
Ing. Dorothe Junken
Gabi Klapp
Frau Margit Gehringer MBA.
Dr. Jost Hiller B.Sc.
Heinz-Joachim Kobelt
Jonas Albers
Raisa Stey-Sauer
Nadin Schomber
Adele Weimer B.Eng.
Gunter Misicher
Ing. Nelli Hornig
Metin Klemt
Elenore Hofmann-Aumann
Antonie Ladeck
Adalbert Boucsein
Alexa Dietz
Christos Beier
Ing. Cilli Gertz B.A.
Univ.Prof. Traude Gertz
Jörg Pechel
Dr. Erkan Stroh
Annamaria Hänel-Zimmer
Herr Gundolf Barth
Carina Killer
Dipl.-Ing. Cora Baum
Wilma Röhrdanz
Jochem Hermighausen
Halil Löwer
Eva-Maria Eberth B.A.
Birgid Schüler
Vittorio Harloff
Mark Röhricht
Nuran Schäfer B.A.
Mattias Henk
Sara Heuser
Hermann Bruder
Ekkehard Holzapfel
Eva-Marie Hendriks
Volker Adler
Ing. Elisabet Jopich B.Sc.
Heinz-Gerd Gorlitz B.Eng.
Folker Fischer
Krista Gertz B.Eng.
Ioannis Klemt
Anne-Katrin Seip
Anto Kostolzin
Liesbeth Schlosser
Zeljko Jessel
Xenia Hermann
Traugott Hövel
Silvio Weimer
Ortrun Siering
Univ.Prof. Hiltrud Löwer
Erhard Otto
Herr Rüdiger Ruppersberger
Marlen Wende
Hansjürgen Faust
Fabienne Birnbaum
Hans Josef Lachmann
Hans-Albert Preiß-Scheel
Gerhart Beier
Tülay Schmidtke B.Sc.
Elly Hande
Ottilie auch Schlauchin B.Eng.
Ing. Denny Mende
Tilman Killer B.A.
Slobodan Seip
Ing. Andrew Nerger
Tillmann Stolze
Malte Davids
Univ.Prof. Pius Kühnert
Franz Josef Girschner
Ole Süßebier MBA.
Dr. Trude Ziegert B.A.
Karla Etzler-Metz
Thorsten Bolzmann-Hesse
Jurij Zahn B.Sc.
Hartwig Keudel B.Eng.
Conrad Killer
Kornelius Winkler
Adelinde Gumprich MBA.
Prof. Cora Bolander
Petar Bauer
Janusz Rädel B.Sc.
Brit Anders
Mike Matthäi
Dr. Peggy Beyer B.Sc.
Calogero Seip
Gabriela Gierschner
Adelgunde Thanel
Pietro Klingelhöfer
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Ingeburg Radisch-Steckel
Kay-Uwe Finke
Eckard Textor
Evangelia Schlosser-Boucsein
Daniele Pieper-Käster
Renate Mies
Prof. Gertraude Mangold B.Eng.
Nikola Riehl
Birgitta Schleich
Kati Radisch
Klaus-Günter Kreusel
Ewald Kreusel
Janet Ullrich
Ing. Louis Eckbauer B.Eng.
Thea Nette
Cilli Siering
Edit Dowerg
Andrei Bolander-Jäkel
Leokadia Karge
Marlies Seifert-Roht
Hans-Eberhard Blümel
Univ.Prof. Heidelinde Jopich B.Sc.
Frank-Peter Ullmann
Wieslaw Löchel
Gerolf Döring-Buchholz
Dr. Annekatrin Striebitz
Luis Jacob
Helmuth Zirme
Frau Krista Rädel B.Sc.
Marion Wohlgemut B.A.
Ulrich Plath-Weihmann
Esther Hoffmann-Hermighausen
Siegbert Schweitzer
Frank-Michael Sontag
Felicitas Kensy-Stey
Marian Vollbrecht MBA.
Frau Dana Röhrdanz
Andre Mülichen-Scholz
Leonard Kostolzin
Francoise Rust
Prof. Klaas Geißler B.A.
Gotthilf Bohnbach-Seip
Univ.Prof. Evelyn Seifert B.A.
Carl Schmiedt
Vassilios Davids
Prof. Ana Textor
Gudula Holzapfel
Fernando Schüler
Dipl.-Ing. Alf Graf
Antje Drub
Dana Köster
Prof. Manuela Schleich B.Sc.
Herr Wilhelm Schuchhardt B.A.
Ing. Ortrun Weimer
Hans-J. Hahn-Süßebier
Lucia Hermighausen
Ibrahim Ditschlerin
Hans-Henning Scheel
Karl-August Reichmann B.Sc.
Ing. Roy Dippel B.A.
Nicolas Tschentscher
Karl-Georg Sontag B.Sc.
Alena Steuer
Iris Kraushaar B.Sc.
Ing. Gerti Franke
Timo Huhn
Arno Lindner
Elisa Noack-Seifert
Univ.Prof. Luka Mende
Vlado Kramer B.Eng.
Alwin Schaaf
Jana Drubin-Heß
Hanna Jäntsch MBA.
Marcel Oestrovsky
Ing. Bianka Bärer MBA.
Univ.Prof. Friedl Tlustek
Steven Eimer
Marica Seidel B.Eng.
Prof. Lutz Adolph
Carl-Heinz Kraus
Ingetraud Austermühle-Dowerg
Rainer Conradi
Prof. Erwin Albers B.Sc.
Dagobert Hornig
Rosalia Heydrich
Christina Geisel-Hesse
Marica Hamann-Koch
Kunigunde Ziegert
Susanna Schaaf
Ing. Stanislaw Weihmann B.A.
Ilona Roskoth-Bolander
Ing. Alberto Werner
Anka Förster
Prof. Fabian Scholl MBA.
Ingo Heinz
Prof. Nikolaos Steinberg B.Sc.
Frau Stefani Hendriks B.A.
Helen Hein B.A.
Univ.Prof. Gunda Höfig
Wenzel Ebert
Adalbert Hande B.Eng.
Oscar Junitz
Ing. Hanny Noack MBA.
Ada Kreusel
Magarete Klingelhöfer-Mans
Judith Sorgatz
Hans-Hinrich Bohlander
Univ.Prof. Roger Stadelmann B.Sc.
Herr Hermann-Josef Lehmann B.A.
Benjamin Jäntsch B.Sc.
Prof. Miguel Dowerg B.A.
Dr. Timo Ernst
Ingelore Heinz
Cemal Klingelhöfer-Otto
Milica Huhn
Dipl.-Ing. Tina Wagenknecht MBA.
Ing. Valeria Kruschwitz
Annelore Bolander
Riza Heydrich
Daria Jopich
Mary Hofmann B.A.
Larissa Löffler
Torben Hartung
Monja Mülichen
Ing. Chantal Schleich B.Eng.
Prof. Balthasar Hecker B.Eng.
Dipl.-Ing. Werner Scholl B.Eng.
Constanze Fechner-Dörr
Univ.Prof. Vesna Hering
Ing. Irmtraud Wiek MBA.
Irma Atzler-Herrmann
Frau Alexandra Beckmann B.A.
Dipl.-Ing. Marieluise Löchel
Heinrich Köster
Dr. Klothilde Lachmann B.A.
Katherina Bien
Ole Losekann
Emanuel Scholz B.Eng.
Frau Bruni Krein B.A.
Roswita Sauer
Stavros Ortmann
Silvio Scholl B.Eng.
Christl Wähner
Emma Blümel
Gunnar Weimer
Ewa Bolnbach-Textor
Cemal Trapp
Karl-Peter Hering
Dipl.-Ing. Jens-Peter Dippel MBA.
Helmar Klapp
Dipl.-Ing. Henrike Hörle B.A.
German Speer
Ing. Mariechen Nerger B.Eng.
Kreszentia Scheibe
Univ.Prof. Philippe Thies B.Eng.
Marco Conradi
Jiri Förster
Magret Oderwald
Ing. Wolf-Rüdiger Weihmann B.Eng.
Burghard Wohlgemut
Franziska Jüttner
Willibald Ziegert-Siering
Dr. Torben Stey
Nurettin Bärer B.Eng.
Dr. Cengiz Säuberlich
Isa Koch
Marlen Gute-Hauffer
Burckhard Mende
Margaretha Kohl B.Sc.
Ada Ullmann-Hermann
Dorle Killer
Eleonore Kuhl-Koch
Edmund Siering
Tibor Köhler-Schönland
Heino Schönland-Hermann
Matthäus Striebitz-Zirme
Paulina Bender-Liebelt
Univ.Prof. Amelie Gröttner B.Eng.
Stephen Kensy
Inka Meyer
Nevenka Hörle MBA.
Erica Holsten
Herr Ronald Reising B.Sc.
Dittmar Graf
Dr. Gerard Dörr
Hansjürgen Weitzel
Sibylle Jäntsch
Felizitas Jungfer
Baptist Vogt
Adam Hölzenbecher-Hettner
Bruni Meister B.Sc.
Tino Gnatz
Jens-Uwe Neureuther
Bayram Lübs B.Eng.
Prof. Wolf-Dieter Killer B.Sc.
Traute Fröhlich
Steffen Rust B.Eng.
Frederike Stoll
Sina Mende
Gero Gumprich B.Sc.
Hedda Schönland
Theresa Killer
Antonina Pärtzelt-Gerlach
Reni Henk
Frau Dora Rosemann B.A.
Univ.Prof. Friederike Bender B.Eng.
Carolin Siering
Prof. Attila Werner B.A.
Ladislaus Stadelmann
Dr. Songül Tlustek MBA.
Dierk Buchholz MBA.
Frau Katarina Bolander B.Sc.
Vitali Faust B.Eng.
Franz Löwer
Emilie Bolander
Dipl.-Ing. Angelique Ortmann
Cindy Stahr
Ronny Scholtz
Stefanie Hertrampf MBA.
Friederike Sölzer-Hentschel
Univ.Prof. Fatima Hölzenbecher
Irmengard Eckbauer
Ing. Dierk Striebitz
Herr Tom Täsche
Hertha Caspar MBA.
Miroslaw Hentschel-Stoll
Margaretha Heintze-Henk
Utz Staude
Konstanze Sontag
Gernot Dörr
Oscar Nerger
Calogero Heintze
Rosa Pieper B.Eng.
Frau Emilia Pruschke B.A.
Frau Herlinde Kade B.A.
Mareike Lübs
Frau Monique Löchel
Belinda Reinhardt B.A.
Prof. Marie-Theres Löffler B.Sc.
Dr. Natascha Schmidtke B.Eng.
David Warmer
Raphaela Eckbauer
Wladimir Rogge
Wiltrud Bolander
Wanda Vollbrecht-Reinhardt
Oxana Lübs
Maxim Roht
Krystyna Holsten B.A.
Marc Henck B.Eng.
Käthe Hande
Isabell Kroker B.Eng.
Univ.Prof. Fatima Hiller B.A.
Sylvester Zirme
Gertraut Koch II
Hiltraud Klemm-Pärtzelt
Johann Baum
Dipl.-Ing. Karl-Heinz Rörricht
Prof. Loretta Speer MBA.
Olga Krein
Ing. Marie-Therese Seifert
Franka Mitschke B.Sc.
Univ.Prof. Suse Lachmann B.Sc.
Wladimir Karge
Aurelia Sorgatz
Friedericke Lehmann B.Sc.
Paolo Weller-Heinrich
Dr. Vitus Franke
Frederik Bohlander
Heide-Marie Adler B.Eng.
Burckhard Caspar
Dipl.-Ing. Cläre Geißler
Alla Rohleder
Oxana Ortmann MBA.
Aleksandra Benthin
Mercedes Sauer
Prof. Uschi Fliegner B.A.
Herr Claus Killer
Hans-Jürgen Klemm
Resi Ullmann
William Zirme
Ehrentraud Meyer MBA.
Cindy Meyer
Klaus-D. Sölzer
Dr. Leo Schlosser MBA.
Edda Gertz B.Eng.
Dr. Diedrich Atzler
Univ.Prof. Heinz-Dieter Schuster
Lilli Atzler
Stephen Heidrich
Gerhild Gude
Dr. Hans-Albert Stroh
Harro Trapp B.Eng.
Concetta Wohlgemut
Herr Oliver Pechel
Roy Gumprich-Klemm
Klaus-Peter Kitzmann
Brian van der Dussen
Irmtrud Textor B.Eng.
Dr. Amir Jäkel
Univ.Prof. Dorit Pechel B.A.
Adriane Gröttner
Brunhild Briemer B.Sc.
Frau Gilda Ebert
Lothar Birnbaum
Dr. Mohammed Höfig
Heinz-Josef Conradi-Klapp
Waltrud Stroh
Gert Fischer
Dr. Herbert Jockel B.Eng.
Prof. Ursula Niemeier B.Eng.
Isa Tlustek
Stavros Hentschel B.Eng.
Anne-Kathrin Ortmann
Franco Loos B.Eng.
Daniele Hering
Erdmute Mosemann
Augustin Lachmann
Dajana Ruppert
Lieschen Röhricht MBA.
Ivana Mielcarek
Emilia Seifert
Arzu Kuhl
Henri Wilms
Czeslaw Siering
Gabor Pechel-Junken
Hildegunde Aumann
Univ.Prof. Undine Jungfer
Hubertine Jäkel
Kathleen Hahn B.A.
Danilo Losekann
Lia Heydrich
Cemil Schweitzer
Paolo Klotz-Hein
Madlen Geißler
Ing. Alexandros Vogt MBA.
Frau Annett Tlustek B.Eng.
Gislinde Wagenknecht
Ann Mielcarek
Ing. Petar Wilmsen
Univ.Prof. Dolores Jäkel
Prof. Friedbert Tschentscher B.Eng.
Sigfried Franke B.Sc.
Univ.Prof. Gusti Schlosser
Marek Schenk B.A.
Patrick Wohlgemut
Frau Melita Scholz B.A.
Univ.Prof. Beatrix Roskoth
Claire Römer-Hornich
Rosalia Johann
Massimo Ernst
Hans-Ulrich Plath B.A.
Heinz-Günter Boucsein
Prof. Siegrun Langern
Dennis Beer-Striebitz
Franca Börner
Valentin Rädel
Dipl.-Ing. Randolf Martin B.A.
Sami Mitschke
