Student
Ing. Ben Lindau MBA.
Univ.Prof. Luisa Scholz B.Eng.
Theodoros Vollbrecht-Gutknecht
Michael Mies B.Sc.
Hanns Bender
Miguel Briemer
Uli Stolze MBA.
Mareen Mans
Gebhard Sorgatz
Prof. Sergei Heser
Ahmet Stumpf
Dipl.-Ing. Svea Neureuther
Sigmar Briemer
Katherina Klapp
Mohammad Finke
Lambert Wilmsen
Marion Weinhold-Pechel
Luciano Klotz
Heribert Steuer
Rebecca Börner
Frau Mia Kaul MBA.
Eugenia Anders B.A.
Monja Riehl
Marie-Louise Wulff
Edith Hettner
Aloys Trupp
Margret Hentschel-Davids
Dipl.-Ing. Lara Tlustek
Nikolaos Reichmann
Carina Killer
Wilhelm Metz
Henry Austermühle
Leonardo Birnbaum
Almut Rogge
Univ.Prof. Gisa Meister
Berthold Rohleder
Dr. Nadja Wulf
Sybilla Herrmann-Pärtzelt
Hans Dieter Fiebig B.Eng.
Dr. Sigfried Seip B.Eng.
Zeynep Keudel
Peer Grein Groth-Lange
Marta Herrmann
Katherina Hesse
Hans-Otto Trubin B.Eng.
Annelene Adolph B.A.
Jann Schenk
Helen Hein B.A.
Franziska Beer
Wilfried Söding
Antonius Bonbach-Juncken
Wiltrud Jäkel
Konrad Henschel
Burckhard Margraf
Anastasia Mans
Univ.Prof. Nadeshda Oestrovsky
Prof. Bianka Reinhardt
Evamaria Berger
Angela Weimer
Ing. Leander Weimer B.Eng.
Ernestine Tröst
Felizitas Werner
Viola Oderwald B.A.
Yusuf Sontag
Guiseppe Rust
Prof. Urs Flantz
Diana Haering
Alma Rörricht
Gabriela Gierschner
Dipl.-Ing. Giorgio Drubin B.Eng.
Wenke Stolze
Ditmar Pölitz B.A.
Agnes Ullmann
Univ.Prof. Alexandre Schottin
Ing. Alf Lachmann
Jennifer Berger
Univ.Prof. Hugo Martin
Rosa Hübel
Ing. Walli Bolander MBA.
Saban Hendriks
Ulrike Albers
Falko Schüler
Guenter Lachmann
Steven Eimer
Maurizio Eckbauer
Wiltrud Christoph
Wenzel Ebert
Malte Kallert-Möchlichen
Gülsen Davids-Heinz
Conny Fliegner
Inken Gorlitz
Dr. Thekla Lindau B.Sc.
Piotr auch Schlauchin-Reuter
Annelies Seifert
Leonardo Vogt
Nurten Henschel-Stroh
Hans-Christian Finke
Ladislaus Killer
Martha Dowerg
Dipl.-Ing. Karl-Heinz Rörricht
Claudius Rust-Mans
Dipl.-Ing. Lidija Pölitz
Heinrich Rogner
Prof. Norbert Wilms B.A.
Dipl.-Ing. Cläre Geißler
Angelika Rosemann
Univ.Prof. Franz-Josef Zänker
Dr. Marie-Theres Möchlichen B.A.
James Kostolzin-Staude
Justine Dippel-Rosemann
Ing. Nuran Schaaf
Anatolij Steinberg
Dipl.-Ing. Nina Boucsein MBA.
Frau Dana Röhrdanz
Erkan Trub
Sandor Riehl
Gabriele Käster
Theodor Bolnbach-Kroker
Klemens Winkler
Dr. Dora Fischer
Frank-Michael Köhler
Tülay Fiebig
Gregor Dippel
Gerard Scholl
Prof. Jörgen Gieß B.Eng.
Gert Kensy B.A.
Mohamed Stiebitz-Pärtzelt
Dr. Gerhart Käster
Magret Bähr
Madlen Steinberg
Heinz-Gerd Gorlitz B.Eng.
Theo Döring
Antonietta Barth
Julian Lehmann-Ortmann
Lene Hermann-Kaul
Kathrin Johann-Schulz
Käthe Langern-Jacob
Hanna Knappe
Hans-Albert Preiß-Scheel
Burkhard Schweitzer
Inge Dehmel
Lena Wende
Steffen Cichorius B.Eng.
Diana Drubin-Walter
Julia Ruppersberger
Gunhild Stroh-Jacob
Prof. Folker Trupp B.Sc.
Prof. Gesine Lange
Prof. Karen Henk MBA.
Faruk Birnbaum
Michelle Kitzmann
Stilla Köhler
Alla Rohleder
Klara Blümel
Karl-Jürgen Ziegert
Drago Täsche
Murat Linke
Dagobert Rogge
Gerhart Staude
Slavica Koch
Theresia Liebelt
Günther Mude B.A.
Monika Haering
Dorothee Renner
Dr. Gundolf Römer MBA.
Jerzy Wagenknecht B.A.
Prof. Irmhild Fritsch
Rosita Köster B.A.
Iris Ullrich
Walter Pruschke
Elvira Cichorius
Marianna Rosenow-Weiß
Univ.Prof. Dorit Pechel B.A.
Anna Linke
Isabell Kroker B.Eng.
Drago Gierschner B.Eng.
Susan Riehl B.Sc.
Marlis Wiek
Manuel Stolze MBA.
Constanze Fechner-Dörr
Henriette Ladeck
Zbigniew Boucsein
Gerhild Löffler
Univ.Prof. Ludwig Jähn B.A.
Dr. Krista Wirth
Anatol Hübel
Hans-Martin Junk-Kuhl
Dipl.-Ing. Ante Rust
Frau Magarete Mans B.Sc.
August Weihmann
Annelore auch Schlauchin-Lorch
Irmingard Reising
Vera Scholl
Eveline Birnbaum
Frau Anna-Luise Sontag
Ilja Hölzenbecher-van der Dussen
Kai-Uwe Mitschke
Ing. Ramazan Kabus B.Eng.
Ronald Stiebitz
Heiner Ruppersberger-Hentschel
Prof. Mario Butte
Prof. Emil Kruschwitz
Mechthild Finke
Krista Gertz B.Eng.
Maria Döring B.Sc.
Prof. Sandy Butte
Grete Peukert
Marek Mitschke B.Sc.
Mira Rohleder
Dr. Eberhardt Adolph B.Eng.
Concetta Karge
Ing. Rolf Gertz
Dipl.-Ing. Virginia Käster
Yasmin Reising
Ekaterina Schmiedecke
Lidwina Sorgatz-Weihmann
Lilo Scholz
Angelo Röhrdanz
Slobodan Hauffer
Annamaria Margraf
Olga Albers B.Sc.
Nikolas Hövel
Thorben Rosenow
Univ.Prof. Suse Lachmann B.Sc.
Elma Junken
Kay-Uwe Mühle
Univ.Prof. Dorle Fröhlich
Andree Budig B.Eng.
Ing. Madlen Beier B.A.
Annelies Beer
Emmerich Wilmsen
Nurettin Mans-Klemt
Lisbeth Mielcarek
Herr David Freudenberger B.Eng.
Univ.Prof. Marleen Kabus
Senol Heintze-Gerlach
Antonino Rogge-Meyer
Sieghard Sorgatz
Irmtrud Klingelhöfer
Wolfhard Rosemann B.Eng.
Diedrich Jäntsch B.A.
Harold Bähr B.A.
Kasimir Lindau
Univ.Prof. Anika Jockel MBA.
Peter-Michael Spieß
Timo Huhn
Kilian Austermühle B.A.
Alexandre Caspar
Kunigunda Hänel-Briemer
Augusta Rosemann
Mareile Tschentscher B.A.
Gerda Sauer
Hanspeter Stiffel
Ellen Hahn-Spieß
Woldemar Bolzmann B.A.
Jonas Hendriks
Univ.Prof. Francesco Schulz B.Eng.
Jens-Peter Heinrich
Torben Säuberlich-Linke
Dipl.-Ing. Karina Kambs MBA.
Dolores Conradi
Luisa Seip B.Sc.
Evangelia Meyer-Mielcarek
Gernot Hornich B.A.
Gerda Stey
Anneli Heintze
Lisa Rädel-Bender
Heinz Dieter Zirme
Hedy Loos
Dr. Diedrich Atzler
Gesche Trub
Karl Heß
Prof. Reza Ebert B.Eng.
Wilfriede Blümel
Annelene Möchlichen-Weiß
Andreas Trapp
Prof. Diether Neureuther
Herr Gunther Flantz
Univ.Prof. Athanasios Drub B.Sc.
Arzu Wieloch-Röhrdanz
Henny Wulff
Heinz-Josef Conradi-Klapp
Dr. Lisa Kusch
Hüseyin Johann
Hellmuth Heidrich
Josefa Lange
Mona Wiek B.Eng.
Ing. Anika Jüttner
Toni Scholl-Scholl
Michaele Schwital
Elmar Förster
Marek Adler
Ing. Andrew Nerger
Svetlana Bohlander B.Sc.
Stephen Tintzmann
Prof. Axel Davids MBA.
Sylvana Holzapfel
Danny auch Schlauchin
Dr. Luciano Ortmann
Univ.Prof. Gesa Loos
Karl-Dieter Thies
Valerij Barth
Hannelore Weinhold B.Sc.
Moritz Schönland
Manuel Schenk
Milica Huhn
Mira Sontag
Univ.Prof. Alois Jähn B.Eng.
Susanna Weitzel
Gloria Mosemann
Laurenz Rosemann
Prof. Hermann Josef Söding
Dr. Samuel Tröst
Anny Wagenknecht
Dr. Silvio Täsche
Univ.Prof. Steffen Tröst
Eveline Kruschwitz B.Sc.
Friedrich Bolnbach-Gnatz
Asta Mielcarek-Blümel
Gabriele Stahr
Stephanie Krause
Zeljko Meyer
Dipl.-Ing. Jens-Uwe Dobes
Anett Bien-Schuster
Peggy Sauer
Raphael Bonbach MBA.
Ralf-Dieter Riehl B.Eng.
Jeannette Schleich
Franka Weinhold
Edeltraud Mülichen
Ing. Leszek Gutknecht B.Sc.
Univ.Prof. Gretchen Sontag B.A.
Roswita Döhn
Hans Dieter Kallert
Sibylle Jäntsch
Rose-Marie Jäkel
Eberhardt Gute
Waltraud Wernecke
Leonore Schacht
Univ.Prof. Fatima Hiller B.A.
Ing. Pawel Rörricht
Prof. Ursula Eigenwillig
Stefania Möchlichen
Univ.Prof. Reinhilde Cichorius B.A.
Karl-Peter Hering
Friedl Atzler-Süßebier
Univ.Prof. Cläre Weihmann B.A.
Jens-Uwe Käster
Univ.Prof. Jaqueline Dehmel
Hans Peter Beckmann
Karen Grein Groth-Dörschner
Reni Römer
Judith Meyer
Prof. Heinz-Josef Radisch B.A.
Univ.Prof. Gerhardt Dowerg B.Eng.
Herr Simon Fliegner MBA.
Steffen Schlosser
Ing. Galina Schenk
Ing. Aldo Radisch
Gerti Ullrich
Aneta Schlosser-Köster
Univ.Prof. Friedl Peukert B.Eng.
Marzena Mentzel
Marlies Mude
Samir Krein B.A.
Herr Muzaffer Klotz B.Sc.
Heribert Kensy
Marzena Neuschäfer
Gaetano Paffrath
Marica Hamann-Koch
Dipl.-Ing. Viktor Scheibe MBA.
Frau Bianka Henk B.Sc.
Ing. Nadeschda Bohlander
Othmar Zänker
Jeannine Heinz-Tlustek
Dr. Ferdinand Pölitz
Dipl.-Ing. Marisa Scholl
Hakan Kühnert
Ing. Janin Winkler MBA.
Anthony Patberg
Lydia Schenk
Hansgeorg Klotz
Konstantin Ladeck
Lothar Fischer
Ortrun Krebs
Maxim Roht
Timm Wende
Hans-Bernd Knappe-Gröttner
Friedhold Löwer-Ebert
Prof. Konrad Neuschäfer
Karl-Hans Fiebig
Univ.Prof. Birger Weihmann MBA.
Kirstin Boucsein B.Eng.
Univ.Prof. Ilka Jäntsch B.A.
Chantal Fröhlich
Theo Henschel
Bruno Hesse
Luisa Barkholz
Ing. Hellmuth Scholl
Adelinde Kensy B.Eng.
Gottlob Seip
Malte Herrmann-Zänker
Ulla Hamann
Tobias Liebelt
Dr. Cengiz Säuberlich
Dr. Ute Schuchhardt
Stephen Kensy
Ilse Nette
Ignatz Wähner-Hänel
Prof. Gunter Mentzel
Mechtild Patberg
Victor Fritsch B.Eng.
Prof. Mohammad Reinhardt
Mirella Löchel
Frau Elsa Mälzer
Gabi Klapp
Dr. Alena Hövel
Nikolas Siering
Karla Etzler-Metz
Balthasar Holsten
Annelene Zänker
Anton Gute
Ing. Leni Rosenow B.Eng.
Pius Römer MBA.
Herr Dietrich Gotthard B.A.
Prof. Heinz-Peter Thies
Steven Weinhold B.A.
Dr. Hans-Peter Adolph MBA.
Uli Renner
Änne Möchlichen
Edit Rädel
Folkert Barth B.Sc.
Prof. Jolanthe Gude
Maike Bolnbach
Brit Lindner
Jörgen Lorch
Kay-Uwe Finke
Solveig Scheibe
Dr. Elly Junk
Mehmet Sauer
Ewald Hethur
Eleonore Kuhl-Koch
Teresa Schönland
Ingetraut Jopich
Kirsten Stey B.A.
Prof. Tania Grein Groth
Dipl.-Ing. Regine Renner
Jochem Hermighausen
Frau Dorothe Mielcarek
Janett Patberg
Ewa Bolnbach-Textor
Gerlinde Albers-Hörle
Ing. Cynthia Weihmann B.Eng.
Senta Wernecke B.Sc.
Dipl.-Ing. Friedrich Hiller B.Eng.
Kläre Mohaupt-Salz
Kuno Dussen van
Andre Stroh
Prof. Amelie Rose MBA.
Helen Tschentscher
Gunhild Holt-Rust
Marica Seidel B.Eng.
Silke Biggen MBA.
Dr. Franco Wilms
Ansgar Seidel
Ing. Anna-Maria Stey
Dipl.-Ing. Mariechen Bonbach
Clara Gehringer
Paolo Schmidt B.A.
Dipl.-Ing. Beatrix Henk B.Eng.
Adelheid Schmidtke
Irina Seip-Bolnbach
Univ.Prof. Teresa Weinhage B.A.
Miguel Dussen van B.Eng.
Ullrich Preiß
Miroslav Krein
Hilde Lübs
Reinhard Christoph
Cora Steuer-Junken
Dr. Saban Hoffmann B.Eng.
Dierk Dörr
Bruni Meister B.Sc.
Univ.Prof. Claudia Freudenberger B.Sc.
Gereon Jacob
Armin Hellwig-Finke
Maren Bachmann-Stumpf
Siegrun Christoph
Dipl.-Ing. Pero Ruppersberger B.Sc.
Lilly Naser
Ditmar Trub
Desiree Wulf-Jüttner
Salvatore Tlustek
Alexander Hörle
Roswita Atzler
Brunhilde Scholz
Halina Römer-Hartung
Eugen Weitzel
Univ.Prof. Blanka Linke B.Eng.
Ing. Helmuth Bruder
Klaus-Werner Jäkel-Holsten
Ing. Valentine Scheibe
Grzegorz Bohlander
Ing. Felicia Dörschner B.Sc.
Ing. Meik Eberhardt B.A.
Francesco Nerger
Malgorzata Tlustek
Rouven Eberhardt
Miroslaw Hentschel-Stoll
Darko Wilms
Ingried Hänel
Univ.Prof. Valeria Putz
Dr. Torben Stey
Dr. Aysel Kohl
Klemens Thies
Marit Weller
Irina Täsche
Auguste Gunpf
Toralf Pieper
Cäcilie Haase
Ariane Roskoth
Yasemin Hande
Uli Zimmer
Meral Bolnbach
Friedemann Klingelhöfer
Evangelia Stumpf-Ruppersberger
Dipl.-Ing. Reinhart Gotthard B.Eng.
Patrizia Wirth
Aleksander Klapp-Sauer
Dipl.-Ing. Hans-Günther Bien
Hartwig Zirme
Ing. Tina Schmiedt B.A.
Pero Gnatz
Ali Schmidt-Knappe
Gerta Klemt
Silke Heydrich-Albers
Frau Herlinde Segebahn
Bertha Reuter
Prof. Erwin Albers B.Sc.
Anne-Rose Hettner B.A.
Edmund Siering
Branka Hering
Klaus Peter Adler
Benjamin Lübs
Julie Radisch MBA.
Isabelle Förster-Beyer
Prof. Gaetano Weiß
Tino Niemeier
Diedrich Lachmann-Oestrovsky
Janette Kallert
Rosa Rosenow B.Eng.
Prof. Theodoros Paffrath B.A.
Tomislav Schüler
Dina Johann
Univ.Prof. Dragan Thies MBA.
Brita Schwital
Roselinde Metz MBA.
Ing. Chantal Schleich B.Eng.
Anto Tröst-Schäfer
Marleen Etzler
Willfried Mende
Fanny Zänker-Hein
Ismail Steinberg
Hans-Günther Scheuermann B.Eng.
Martin Pechel-Freudenberger
Gottlieb Kade
Ing. Eugenie Birnbaum
Agathe Gertz-Butte
Marga Scholz
Wenke Patberg
Dr. Antonia Schomber B.Sc.
Friedhilde Wernecke
Vitali Neureuther
Klaus-Peter Gieß-Winkler
Anette Bien
Justina Zirme
Nadeshda Schenk
Heidemarie Junitz
Ing. Jürgen Jopich B.A.
Cord Zorbach
Cosimo Zimmer
Silvia Henschel
Harro Trapp B.Eng.
Liliane Steuer
Univ.Prof. Tina Rose
Harriet Rohleder
Sinaida Ruppersberger
Philomena Bloch
Adem Hörle
Cora Stumpf-Gunpf
Dursun Gehringer
Melanie Scheel B.A.
Ing. Vesna Kroker B.Eng.
Univ.Prof. Fredi Hölzenbecher
Frau Gilda Ebert
Alwin Schaaf
Annelene Reuter B.A.
Clemens Kabus
Frau Christiane Zänker B.A.
Magdalene Patberg-Mosemann
Karina Tschentscher-Butte
Univ.Prof. Annegrete Holt
Alena Neureuther
Prof. Cathrin Misicher
Herr Darius Heuser
Univ.Prof. Sonja Hande MBA.
Johanna Finke-Ehlert
Oxana Ortmann MBA.
Wendelin Pärtzelt
Kathi Hering
Birgid Schüler
Susi Hendriks
Dipl.-Ing. Konrad Schenk
Valerie Losekann
Maxim Wilms-Meister
Isabel Rose
Hiltraud Köster MBA.
Hartwig Keudel B.Eng.
Gordon Lehmann
Ilija Höfig
Gaetano Köhler
Gerolf Radisch
Wilhelm Klemm B.A.
Carolin Etzler
Ing. Jaqueline Wende B.A.
Sami Mans-Ullrich
Albin Schuchhardt
Ing. Carolin Matthäi
Martine Trupp
Karl Ruppersberger
Albina Stadelmann
Kreszenz Beier
Henner Schmidt
Prof. Julia Möchlichen B.A.
Ben Ullmann MBA.
Annaliese Hettner B.A.
Alice Nette
Ursel Conradi
Ing. Loni Gnatz MBA.
Prof. Bela Noack
Ingried Bähr
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Dr. Gerard Dörr
Siegbert Schweitzer
Helene Keudel
Cordula Mangold
Lars Eckbauer-Möchlichen
Jessica Schottin
Yvette Süßebier
Jeannine Lehmann
Friedhilde Hornig B.A.
Dr. Halina Mälzer
Frau Evelyn Tlustek B.Sc.
Dipl.-Ing. Igor Henck B.A.
Natalie Bender MBA.
Fatih Zirme
Heinz-Dieter Caspar-Hande
Siegbert Kranz
Ingo Löffler
Ralf-Peter Gute
Ilias Weiß MBA.
Eleni Matthäi
Teresa Ladeck-Rädel
Tina Henschel
Olga Krein
Undine Dehmel
Ewa Kade
Hans Jörg Koch
Calogero Hoffmann B.Eng.
Gotthard Scheuermann
Univ.Prof. Charlotte Lindner MBA.
Ing. Pius Börner
Timm Schleich
Krista Hofmann
Mehdi Niemeier-Noack
Anna-Lena Bloch
Karl-Heinz Rohleder
Dr. Annaliese Lindner
Anny Dietz
Christos Bolander
Hellmuth Drubin-Tschentscher
Ana Klapp MBA.
Guido Wagenknecht-Kallert
Xenia Hermann
André Röhrdanz B.A.
Astrid Nerger-Tröst
Adelheid Hecker
Sibilla Mitschke-Losekann
Ing. Maren Schenk
Knut Gorlitz
Dörte Dobes-Bonbach
Sigrun Mälzer
Gretchen Jessel B.Sc.
Dr. Elzbieta Mitschke B.Eng.
Ing. Silke Kambs
Dipl.-Ing. Salvatore Zänker MBA.
Saskia Kallert
Dr. Hans Dieter Mude
Luzia Kranz
Ehrentraud Hänel-Dussen van
Dr. Ayse Martin MBA.
Franca Buchholz
Wiltrud Bolander
Arndt Bachmann B.Eng.
Olga Stahr
Enver Börner MBA.
Herr Mahmoud Schleich B.Sc.
Francoise Freudenberger-Stey
Univ.Prof. Josefine Gerlach
Manuel Wagenknecht
Univ.Prof. Hans-Eberhard Bauer
Dr. Ruth Dobes
Ilka Faust
Adriane Wende
Beatrix Möchlichen
Heinrich Dippel
Erica Lachmann
Annelise Schwital
Prof. Kunigunda Pergande MBA.
Notburga Pölitz
Patric Hermighausen MBA.
Marcella Sölzer
Hans-Jochen Mude
Prof. Manuela Schleich B.Sc.
Laszlo Nerger MBA.
Aziz Hornich
Heinrich Bohlander-Ullrich
Eileen Hartung
Catrin Weller
Gebhard Eberth B.Eng.
Cilli Röhricht
Dipl.-Ing. Rolf Tröst B.Sc.
Klaus-Michael Mälzer
Birgid Graf
Jorge Killer
Frau Gertraude Wesack B.Eng.
Herr Hartmuth Pruschke
Dr. Katalin Knappe B.Eng.
Annemie Kade-Kuhl
Bernfried Roht
Ing. Iwan Wagner
Janin Hermann
Anna-Luise Eckbauer
Dr. Olaf Gierschner B.Sc.
Karlfried Zahn B.A.
Ernst-Dieter Rörricht B.Eng.
Rosalia Heydrich
Martina Salz-Sorgatz
Heinz-Wilhelm Säuberlich MBA.
Babett Pruschke-Schäfer
Heinrich Kramer
Yvette Dietz
Melanie Hauffer
Elfriede Gnatz
Virginia Kaul
Karl-Wilhelm Weiß
Dipl.-Ing. Alexandros Weinhold
Wolf-Dieter Rudolph-Bruder
Stephanie Dörr-Bärer
Svetlana Boucsein
Ing. Justus Binner
Ottokar Berger
Hardy Wende B.Sc.
Rita Käster B.A.
Dr. Ottfried Lachmann B.Sc.
Claudius Mude
Hannes Meyer
Harold Bohlander B.Sc.
Bruni Vogt MBA.
Franz-Xaver Bachmann
Hannes Patberg
Ing. Ignaz Rose
Fredi Lindner
Enrico Hellwig
Viola Sager
Liesel Klapp
Heinz-Günter Boucsein
Lorenz Sauer
Herr Guido Knappe B.Eng.
Miodrag Fliegner B.A.
Zeki Henk B.A.
Fatima Rörricht
Nico Drewes
Prof. Rabea Hettner B.Eng.
Dr. Wanda Dippel
Dr. Gerard Reichmann MBA.
Marzena Jüttner-Jockel
Gabriela Freudenberger B.A.
Dipl.-Ing. Kevin Stadelmann
Amanda Fechner-Weinhage
Friedrich-Wilhelm Metz
Univ.Prof. Betty Conradi B.A.
Karl-Heinz Buchholz
Gloria Lachmann MBA.
Alexandra Butte
Dr. Matthias Niemeier
Bodo Kranz-Striebitz
Danica Atzler
Salih Köster
Luise Junk
Sigmund Conradi
Frau Francesca Blümel
Hans-Wolfgang Harloff
Albert Seifert MBA.
Engelbert Sauer MBA.
Tabea Birnbaum
Edelbert Bruder
Fatma Möchlichen
Dietmar Lindau
Herr Augustin Thies B.A.
Klothilde Blümel B.A.
Adina Finke
Dorothe Renner
Ralph Stahr
Victoria Hornig
Ing. Romy Gieß
Miroslawa Rose
Abraham Junken-Beckmann
Jonas Mühle
Lissi Thanel MBA.
Lioba Söding
Univ.Prof. Samira Drewes
Frau Monique Löchel
Jens-Peter Bolzmann
Ronny Dippel
Dietlinde Käster
Herr Bertold Löffler
Harro Gunpf
Olav Thies
Konstantinos Stolze-Biggen
Konstantin Rogner
Dietrich Bien
Prof. Sandra Klapp
Rahel Heidrich-Jüttner
Helge Schuchhardt
Waldtraut Hoffmann
Kreszentia Bohlander
Anne-Rose Klemm
Gregor Buchholz
Carsten Junken
Prof. Heinz-Willi Hertrampf
Gunhild Ullmann
Mathias Matthäi
Eberhardt Fiebig
Dorothee Koch II
Ramon Jäntsch-Gertz
Prof. Anna Kühnert B.Sc.
Teresa Schomber B.A.
Mahmut Hänel
Dr. Damian Scheel
Bekir Bonbach
Jasmina Rädel
Sami Mitschke
Sebastian Stiffel B.A.
Gottfried Keudel MBA.
Raphael Barth
Univ.Prof. Gundel Atzler B.Eng.
Justina Neureuther
Ing. Christel Margraf MBA.
Gilbert Peukert B.Eng.
Anna-Lena Röhrdanz B.Sc.
Wladimir Rogge
Denny Kusch
Tony Henk MBA.
Frau Krista Rädel B.Sc.
Bernard Steinberg
Luka Weimer-Beyer
Pavel Pärtzelt B.Sc.
Gerhart Schenk MBA.
Antonietta Kostolzin
Liane Hermann MBA.
Andreas Gunpf
Marit Mühle
Nadja Hethur
Hans Josef Striebitz
Dursun Atzler B.A.
Adelbert Rörricht
Anneliese Gnatz
Vincent Kranz B.A.
Dipl.-Ing. Astrid Kade
Ludmila Patberg
Univ.Prof. Dorina Lange
Ing. Petar Wilmsen
Kay-Uwe Pölitz
Gerold Loos-Rogge
Murat Meister
Prof. Freya Biggen B.Eng.
Dr. Valentin Eigenwillig
Adalbert Boucsein
Ruth Barkholz-Koch II
Marita Berger B.A.
Stefano Koch B.Eng.
Univ.Prof. Milka Bähr
Andre Schinke
Dorothea Finke
Dr. Emin Dietz B.Sc.
Dipl.-Ing. Emmy Börner
Zeki Hartung
Hans-Theo Bärer B.Eng.
Herr Süleyman Karge MBA.
Dorota Sorgatz B.A.
Ljiljana Rädel
Sonja Löchel
Rena Rohleder
Herr Karl Dippel B.A.
Univ.Prof. Frederike Heintze
Dr. Gerd Fechner
Dajana Gehringer
Peer Hölzenbecher
Oxana Henschel
Ehrhard Pruschke
Juergen Bähr
Elena Pruschke
Prof. Auguste Scholz
Eleni Mühle MBA.
Dipl.-Ing. Hannelore Kostolzin
Antonie Fischer-Margraf
Hannah Jacobi Jäckel
Herbert Budig
Enrico Kobelt-Klemt
Lambert Röhricht-Johann
Sara Heuser
Frau Herlinde Schleich B.Sc.
Slavica Ernst-Schmidtke
Ing. Zbigniew Warmer MBA.
Dr. Jeannine Schleich B.Sc.
Dorina Fiebig
Karl-Heinrich Schüler
Carla Schacht
Ing. Wendelin Köster B.A.
Elli Kuhl B.Eng.
Renate Bärer
Rosa Tintzmann
Gitta Hübel
Ismet Kroker
Carlo Bohlander
Frau Xenia Blümel
Zofia Gutknecht
Peggy Holt
Herr Vito Roskoth B.Sc.
Murat Förster
Prof. Jelena Naser
Sibilla Eimer
Herr Valerij Heydrich
Marliese Drubin
Ing. Alla Schottin B.A.
Joerg Fritsch-Pieper
Josephine Rogge
Marvin Kade-Ladeck
Chantal Kade
Janusz Eberhardt MBA.
Gertrude Ullmann
Univ.Prof. Leszek Gieß B.Eng.
Ernest auch Schlauchin
Katharina Käster MBA.
Heiderose Lange-Schüler
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Carsten Jüttner B.Eng.
Ayse Thies B.Eng.
Birte Jüttner
Stephen Lübs
Dr. Edit Scheibe B.A.
Frau Theodora Hettner B.A.
Friedl Briemer-Austermühle
Irmtraud Freudenberger
Ursel Eckbauer
Ing. Nikolai Niemeier B.A.
Diether Dussen van-Rohleder
Tülay Trapp
Belinda Reinhardt B.A.
Ricarda Steuer
Ludmila Karge B.A.
Univ.Prof. Nikolaus Sölzer B.A.
