Student
Amalia Wulf
Ulrike Hiller
Ida Hendriks B.A.
Frauke Staude
Prof. Mario Butte
Wencke Heinrich
Dr. Jane Kostolzin
Hans-Dieter Scholl
Prof. Anka Schulz
Mareile Tschentscher B.A.
Roswita Döhn
Rebecca Börner
Ing. Georg Lübs
Nicolaus Jessel
Univ.Prof. Änne Finke B.Sc.
Katy Täsche
Valentin Klingelhöfer
Prof. Hansjürgen Langern
Dipl.-Ing. Amanda Striebitz
Dr. Hildegund Söding B.A.
Univ.Prof. Mira Riehl
Reza Kusch
Lore Tröst
Univ.Prof. Liliana Niemeier B.Eng.
Mattias Wieloch
Reni auch Schlauchin
Lena Mitschke
Cosimo Girschner
Hans-Ulrich Dussen van
Erol Röhrdanz
Johann Rust
Augustin Carsten
Maren Bruder
Hans-Günther Eimer
Alessandro Werner
Ulrich Segebahn
Dr. Heiderose Kallert B.Eng.
Gerti Trupp-Dowerg
Grete Peukert
Ing. Gertraude Holsten B.Sc.
Harm Sontag-Wilms
Gunnar Hornig
Prof. Alida Mangold MBA.
Janusz Trub-Mühle
Zlatko Ritter B.Eng.
Ing. Justus Binner
Hakan Kitzmann-Scholl
Ing. Peter Trubin B.Sc.
Sylvana Holzapfel
Roswita Sauer
Richard Mende-Hendriks
Mesut Trommler
Heidrun Stiebitz
Hans-Albert Preiß-Scheel
Katarina Knappe
Änne Möchlichen
Marija Stahr
Dipl.-Ing. Patricia Werner B.Sc.
Martha Wilmsen
Amanda Heinz
Reinhold Hellwig-Mülichen
Gitte Buchholz
Toralf Jessel
Mia Roskoth
Marzena Jüttner-Jockel
Domenico Nohlmans-Eberhardt
Karl-Heinz Buchholz
Ann Stumpf
Helmuth Zirme
Ekaterina Wieloch
Damaris Holsten-Schleich
Mina Beyer
Benno Hofmann
Birgid Nohlmans
Heribert Kensy
Prof. Torsten Geisel B.Sc.
Helfried Langern
Luis Oderwald
Holger Roskoth B.Sc.
Joseph Harloff
Irmtrud Klingelhöfer
Kai-Uwe Schäfer
Korbinian Bolander
Caterina Ullrich
Manuela Linke B.Eng.
Wiltrud Ladeck MBA.
Zoltan Preiß B.Eng.
Gerhart Hentschel
Arnulf Säuberlich
Dajana Ruppert
Frau Elfi Winkler MBA.
Sami Mitschke
Minna Wernecke-Gumprich
Bozena Carsten B.Sc.
Änne Wagner
Katja Heidrich
Herr Gunther Flantz
Sönke Gumprich
Heidelinde Pruschke
Edit Rädel
Alfred Holzapfel-Hamann
Anni Kraus
Mehdi Bähr B.A.
Margot Ullmann
Heinz-Gerd Söding
Mirjana Schlosser B.Eng.
Cosimo Löffler B.Sc.
René Säuberlich B.Eng.
Herr Laurenz Häring
Liane Fechner
Anny Zirme
Marie-Theres Pechel
Lina Hörle
Sylvio Karge
Gönül Barth-Zobel
Sara Johann
Inna Hande
Dipl.-Ing. Miguel Bärer
Roderich Scholtz
Prof. Pedro Schmidt B.Eng.
Carl-Heinz Trapp
Leonhard Adolph
Christiane Blümel
Achim Budig
Angelina Dörschner-Reichmann
Prof. Marius Herrmann
Steven Eimer
Albin Fischer B.Eng.
Alessandro Krause
Bela Naser-Löwer
Nina Ladeck
Robert Herrmann
Antonina Pärtzelt-Gerlach
Anatolij Steinberg
Dr. Marie-Luise Klingelhöfer B.Eng.
Slobodan Seip
Konstantin Ladeck
Prof. Ildiko Adler MBA.
Milan Weiß-Schuchhardt
Helmar Barth
Alena Holzapfel
Dipl.-Ing. Lilly Trüb
Kreszentia Bloch-Kohl
Tilo Hande
Edelgard Neureuther-Vollbrecht
Kathy Kitzmann
Manfred Juncken
James Kostolzin-Haase
Rolf-Peter Rosenow MBA.
Prof. Marijan Hoffmann
Hansjörg Müller B.Sc.
Enrico Drewes
Dusan Conradi-Rogner
Lilli Atzler
Rosita Budig
Freddy Hande
Erkan Kuhl-Oestrovsky
Urs Ebert
Eva-Marie Hendriks
Prof. Miguel Dowerg B.A.
Manuel Wagenknecht
Olga Albers B.Sc.
Liesbeth Huhn
Ferenc Pergande B.Eng.
Ing. Lisbeth Fritsch
Dr. Erdogan Eigenwillig MBA.
Raphael Höfig
Maurizio Hartmann
Prof. Cäcilia Gertz B.Eng.
Maxim Wilms-Meister
Maya Haering-Becker
Patric Hermighausen MBA.
Ira Scholz-Pohl
Senol Heintze-Gerlach
Univ.Prof. Mahmoud Liebelt
Roy Gumprich-Klemm
Gunhild Gorlitz-Heinrich
Mareile Oderwald-Hiller
Sergio Schleich
Frau Josefa Henschel B.A.
Isabelle Förster-Beyer
Mariele Stiffel B.Sc.
Dusan Ruppersberger B.Sc.
Ivana Mans-Bruder
Konstantin Rogner
Cordula Hornig
Bertha Rose
Irmtraut Noack
Cord Haase
Johannes Freudenberger
Julie Schweitzer
Meryem Sager
Peer Jähn
Frau Annegrete Junk B.A.
Tadeusz Kruschwitz B.Sc.
Dr. Kai-Uwe Schulz B.A.
Harm Hein
Friedrich-Wilhelm Holsten
Süleyman Baum
Tatjana Käster-Schüler
Kathi Etzler
Franjo Junitz-Hahn
Ing. Meik Eberhardt B.A.
Darius Kallert
Ole Ritter MBA.
Theodor Niemeier
Dipl.-Ing. Baldur Oderwald B.Sc.
Dipl.-Ing. Dörte Häring MBA.
Univ.Prof. Till Vogt MBA.
Juergen Bähr
Grzegorz Mende B.A.
Janna Kambs
Edelgard Gnatz-Dobes
Frau Brit Stoll
Dipl.-Ing. Christel Beer B.Eng.
Calogero Staude B.A.
Josephine Rogge
Dipl.-Ing. Woldemar Benthin B.A.
Dipl.-Ing. Kevin Henk B.A.
Univ.Prof. Ottfried Scholl
Gunhild Meister
Emmy Bohnbach
Dipl.-Ing. Meral Beyer
Wolfgang Beier-Mohaupt
Prof. Tadeusz Mosemann B.Sc.
Fatima Weinhage-Boucsein
Roger Hendriks-Ruppersberger
Ellen Röhrdanz
Abbas Segebahn
Prof. Ingetraud Seidel B.Sc.
Herr Jonathan Beckmann B.A.
Rosa Pieper B.Eng.
Dipl.-Ing. Giuseppina Etzler B.Sc.
Urte Caspar
Miroslawa Jessel B.Sc.
Gesa Bender
Dr. Hans-Willi Hertrampf MBA.
Hans-Albert Lindau
Dr. Thekla Lindau B.Sc.
Univ.Prof. Willfried Werner B.Sc.
Gerhild Löffler
Emma Trub-Scheuermann
Prof. Folker Budig
Tino Niemeier
Hans-Detlef auch Schlauchin-Fischer
Horst-Günter Renner
Leon Junken
Marica Walter
Eugenia Riehl
Herr Sylvester Jopich B.Eng.
Antonius Pärtzelt-Jüttner
Univ.Prof. Valeria Putz
Constanze Fechner-Dörr
Hiltrud Klemm
Herr Bastian Hübel B.A.
Univ.Prof. Michail Tintzmann B.Eng.
Prof. Swen Benthin MBA.
Marius Klotz
Fatima Heser B.Eng.
Ing. Alf Lachmann
Maren Heser-Kreusel
Ing. Jens-Peter Tschentscher
Karlfried Rörricht
Alexander Beckmann MBA.
Janos Kobelt-Henck
Larissa Löffler
Univ.Prof. Albin Bärer
Univ.Prof. Pascal Schweitzer
Zehra Conradi-Heinrich
Ing. Hans-Wilhelm Holt B.Sc.
Eckehard Mude
Nada Hänel
Univ.Prof. Belinda Henck
Ing. Christina Beckmann B.Eng.
Kriemhild Jähn
Anselm Dowerg
Bertha Köhler
Margaretha Heintze-Henk
Kazim Junken
Wolf Stadelmann
Ing. Alfred Söding
Georgine Schäfer
Ingried Stiffel B.A.
Henryk Jacobi Jäckel B.Sc.
Flora Gotthard
Laila Trüb
Marika Sager
Slavica Vollbrecht
Roselinde Kusch-Röhrdanz
Witold Heintze
Stella Mülichen
Dipl.-Ing. Dunja Hoffmann
Bernd Blümel
Dipl.-Ing. Annemarie Trommler B.Sc.
Dipl.-Ing. Danuta Stumpf B.Eng.
Sofie Reichmann
Sandra Scholtz
Hartmut Biggen-Trapp
Steven Käster B.Sc.
Dr. Annelene Geisel B.Sc.
Dipl.-Ing. Bernward Putz B.Eng.
Tilman Henschel
Conny Metz
Josip Kuhl
Reinhold Bloch
Walli Gnatz
Dipl.-Ing. Mariola Lange B.Sc.
Zeljko Meyer
Theo Trubin
Fabienne Dobes-Heuser
Marian Vollbrecht MBA.
Prof. Friedo Reuter
Pirmin Boucsein MBA.
Dr. Jonas Anders B.Sc.
Univ.Prof. Aloisia Fröhlich B.A.
Marzena Neuschäfer
Klaus-Ulrich Tlustek-Förster
Univ.Prof. Philomena Kensy
Wojciech Girschner B.A.
Undine Scheibe-Stey
Herr Jens Ritter B.Eng.
Jadwiga Gotthard
Dipl.-Ing. Marica Sager
Prof. Anna Kühnert B.Sc.
Rose-Marie Schüler
Aleksander Wagner-Barth
Univ.Prof. Ottmar Jopich
Linus Lübs
Elif Röhricht
Cord Tröst
Irmtrud Mohaupt-Etzler
Adelinde Gutknecht-Beier
Prof. Vadim Rogner
Halina Austermühle-Bender
Aneta Kambs
Dipl.-Ing. Cläre Geißler
Klaudia Reuter B.A.
Prof. Lutz Adolph
Karl-Heinrich Kraus B.A.
Johanna Finke-Ehlert
Ivana Wilmsen-Gumprich
Trudi Kranz B.Eng.
Hans-Bernd Zobel
Prof. Mohammed Kambs
Reimar Rädel
Semra Fiebig
Flora Mühle B.Sc.
Hans-Eberhard Blümel
Lia Zänker
Milos Knappe-Scholz
Dr. Gundolf Römer MBA.
Dr. Marliese Junck B.Sc.
Judith Hering B.A.
Gero Gierschner
Dipl.-Ing. Sylke Gute B.A.
Inna Weinhage
Aysel Bruder MBA.
Prof. John Jessel
Annaliese Lübs
Curt Mühle
Milka Scholl
Konstantinos Seifert
Korinna Koch II
Renate Bärer
Ehrhard Häring B.A.
Natalia Hauffer
Michel Hermighausen
Reinhard Zänker
Michelle Pohl
Annekatrin Wende
Monika Haering
Sandor Ritter
Liesa Wilms B.A.
Dr. Senol Beier MBA.
Metin Peukert-Lindner
Frau Anne-Katrin Rädel
Ing. Heide Winkler
Dunja Trub
Benno Gehringer-Wohlgemut
Eveline Wagenknecht
Dipl.-Ing. Enver Drubin
Dr. Valeri Sölzer B.Sc.
Ing. Dagmar Bohnbach B.Eng.
Frau Christiane Zänker B.A.
Daria Jopich
Leon Bauer
Dipl.-Ing. Nina Boucsein MBA.
Dr. Mario Lorch
Rahel Dörschner
Univ.Prof. Tilmann Pieper B.Eng.
Gerolf Radisch
Prof. Bernward Wulf B.Eng.
Trudel Bloch
Frau Inken Seip B.Eng.
Paul Carsten
Klaus-D. Sölzer
Thorben Kitzmann
Slavko Weitzel B.Sc.
Thoralf Geisel
Constantin Jacob B.Sc.
Ing. Elisabet Jopich B.Sc.
Dipl.-Ing. Lilly Junken MBA.
Gebhard Sorgatz
Xenia Christoph
Pascale Bruder
Magdalena Gude
Helmtrud Börner B.A.
Katharine Renner
René Ullrich
Verena Davids
Alban Butte
Dr. Hans-Albert Stroh
Dorota Mude
Zenta Gertz B.A.
Univ.Prof. Teresa Weinhage B.A.
Jolanda Rose
Cemil Schweitzer
Benno Kraushaar
Hans-Herbert Flantz
Rudolph Metz-Mitschke
Frau Lilli Möchlichen MBA.
Mercedes Sauer
Rolf-Peter Reising B.Sc.
Margot Sontag MBA.
Canan auch Schlauchin-Dussen van
Gina Wulff B.A.
Zeljko Hiller-Misicher
Julia Hecker-Krebs
Rosa-Maria Reising
Asta Hesse
Klaus-Peter Schüler-Schaaf
Nadia Herrmann
Ernest Stahr
Dipl.-Ing. Regine Renner
Fritz Nerger
Gotthard Christoph
Hans-Wilhelm Weller
Sören Trommler
Catrin Weller
Janko Margraf MBA.
Sven Walter
Dr. Halina Mälzer
Stjepan Langern
Julia Conradi-Mentzel
Hartmuth Gude B.Eng.
Dipl.-Ing. Emanuel Nette
Miroslawa Haase
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Henny Rose
Timm Oderwald
Margitta Wulf-Nerger
Lukas Gierschner
Bernfried Roht
Michaela Döhn
Cora Stumpf-Gunpf
Bernhardine Wilmsen
Heimo Hübel MBA.
Vincent Kranz B.A.
Prof. Elzbieta Fechner B.Sc.
Dusan Dussen van
Univ.Prof. Hardy Hartung
Horst-Peter Ritter
Alena Seip
Inna Winkler
Dr. Marie-Theres Möchlichen B.A.
Maik Schottin
Wladimir Möchlichen MBA.
Prof. Sibel Mälzer MBA.
Benita Geißler
Urban Peukert
Harm Nette
Jiri Bärer
Benita Juncken
Jost Gröttner-Mülichen
Hans-Eberhard Lübs
Univ.Prof. Erhard Heuser MBA.
Ilka Zimmer-Wesack
Andrei Hertrampf-Trommler
Adele Boucsein B.Sc.
Dr. Leopoldine Kostolzin
Siegbert Bachmann-Hövel
Conny Zirme B.Sc.
Univ.Prof. Claudia Freudenberger B.Sc.
Aribert Mitschke
Catrin Caspar
Dr. Jacqueline Trubin B.Sc.
Univ.Prof. Harro Weller
Edwin Förster-Albers
Benita Schleich
Heribert Austermühle-Trupp
Nadine Schleich
Ing. Jo Caspar
Herrmann Holt-Lindner
Vassilios Trommler-Gieß
Ljiljana Ruppert
Hakan Kühnert
Ing. Christiana Seip
Folker Otto
Univ.Prof. Lydia Langern
Frank-Peter Weimer
Nikolas Ebert
Ole Schmidtke
Adalbert Ullmann
Carola Köhler MBA.
Univ.Prof. Annegrete Henck B.A.
Henning Fechner
Franz-Peter Benthin-Reichmann
Gabriella Rädel
Luka Zorbach
Iwan Wilmsen-Weihmann
Viola Ackermann
Ekaterina auch Schlauchin
Mareen Krebs-Hofmann
Silvester Fischer
Univ.Prof. Ingelore Schulz MBA.
Klothilde Zänker
Ing. Knut Christoph
Ron Beer
Sibilla Bachmann
Sofia Etzler B.Eng.
Fredo Kühnert-Köhler
Arnulf Ullmann
Gisa Hornig-Geißler
Univ.Prof. Anna-Luise Faust
Aleksander Klapp-Sauer
Ilse Krebs
Dr. Otto Schmidtke MBA.
Kirsten Heydrich
Alma Kaul
Ing. Hedi Wulf
Calogero Mude-Etzold
Irina Hahn
Monique Liebelt-Ebert
Ljudmila Nerger
Hans-J. Bolander
Juan Briemer-Textor
Almut Rogge
Herr Mario Pergande
Waltrud Jacob
Ilonka Rose
Lydia Losekann MBA.
Rosita Peukert-Scheibe
Ottmar Beier
Frau Helena Nette
Czeslaw Jacobi Jäckel-Zahn
Sedat Gude
Vesna Döhn
Jeanette Speer
Regina Ring
Vitali Walter-Krein
Sinaida Ruppersberger
Marco Conradi
Natalie Neureuther
Susan Seip MBA.
Sybilla Herrmann-Pärtzelt
Wolfhard Rosemann B.Eng.
Alexei Meister
Balthasar Müller-Drub
Hans-Detlef Matthäi
Herr Tony Lindner
Karl-Hans Schuchhardt-Mohaupt
Herr Alexandre Eimer B.A.
Annegrete Jüttner
Prof. Nikolaos Steinberg B.Sc.
Kamil Hendriks
Korinna Spieß MBA.
Konstantin Knappe
Miriam Ehlert MBA.
Wilhelm Walter
Eckart Cichorius
Regine Meyer
Frederike Dippel
Prof. Friedbert Tschentscher B.Eng.
Alwine Linke
Anke Bähr
Dietlinde Käster
Marit Eberth
Lore Margraf
Frau Minna Steinberg B.Sc.
Dr. Ottfried Lachmann B.Sc.
Mareen Mies B.Eng.
Athanasios Jacobi Jäckel
Ralph Schottin-Graf
Prof. Marie Plath
Fatih Bohlander
Franz-Josef Kohl
Philippe Geisler
Ahmad Fechner-Wulff
Franz-Xaver Carsten
Univ.Prof. Nadja Jacob B.Eng.
Klaus-Peter Kitzmann
Brunhilde Nohlmans
Univ.Prof. Sybilla Gehringer
Hans Dieter Kallert
Siegmar Pergande B.Eng.
Stephan Stolze-Holt
Univ.Prof. Norma Schleich B.Sc.
Rainer Hänel
Andres Sager
Esther Ehlert
Michaela Kade
Karl-Heinrich Schüler
Anika Binner-Löffler
Annamaria Margraf
Dr. Edith Ring B.Sc.
Hanne Gierschner
Dogan Kranz
Philipp Killer B.A.
Alla Rohleder
Beate Nette
Marliese Drubin
Dr. Steven Wohlgemut
Dariusz Reising-Ernst
Resi Margraf
Frau Elsa Mälzer
Tibor Bolzmann MBA.
Kriemhild Junk MBA.
Melissa Gehringer
Prof. Marion Martin
Anica Sorgatz B.Sc.
Nelly Buchholz
Jann Schenk
Guiseppe Tschentscher
Giuseppe Stahr
Egbert Gertz
Frida Stolze
Hans-Herbert Harloff
Justus Schleich-Drewes
Dipl.-Ing. Louis Spieß B.A.
Hermann Josef Junck
Krystyna Rust-Baum
Ansgar Hande
Henny Stey
Ortrun Eckbauer-Kohl
Irmtraut Wende
Herr Hans Rogge
Augustin Hoffmann MBA.
Franz Lange
Kreszenz Ruppert-Dobes
Elke Hiller
Ing. Aldo Pechel B.Eng.
Dipl.-Ing. Ehrenfried Kranz MBA.
Karla Freudenberger MBA.
Prof. Sylvana Trapp
Marie Sorgatz MBA.
Marion Drewes
Czeslaw Siering
Marco Schinke B.Eng.
Friedericke Ruppersberger
Claudius Mude
Leander Dobes-Schlosser
Josefine Rosenow-Hertrampf
Ing. Jessica Mende
Amalie Gotthard
Almuth Pieper
Betty Steinberg
Dr. Songül Tlustek MBA.
Dipl.-Ing. Johanna Henck
Thaddäus Geißler
Univ.Prof. Agathe Steinberg MBA.
Univ.Prof. Marko Schmiedecke MBA.
Bozena Schuchhardt
Ilhan Hoffmann-Karz
Ing. Ben Lindau MBA.
Lili Kaul
Hans-Gerd Gnatz
Univ.Prof. Josefine Gerlach
Mirja Schottin
Ludmilla Pieper
Wulf Steckel-Lachmann
Augustin Jopich
Frau Mechtild Fliegner
Kaspar Trub
Frau Zdenka Boucsein B.Eng.
Miroslawa Rose
Sibel Hörle
Sören Spieß
Liesa Gröttner
Prof. Marion Scholz
Nico Drewes
Osman Salz MBA.
Carl Scheibe
Armin Scholz
Dipl.-Ing. Utz Adler B.A.
Simone Harloff B.Eng.
Karl-Otto Putz
Bernt Conradi
Roman Bloch
Folker Fischer
Hanne-Lore Kraus
Frau Linda Weiß B.Eng.
Reinhart Jopich
Gunhild Ullmann
Hedy Rudolph MBA.
Frau Renate Geisler
Mareike Lübs
Dagmar Franke-Schleich
Emma Blümel
Gabriela Freudenberger B.A.
Lena Holzapfel
Rosmarie Ullmann
Jonas Boucsein
Johanna Bohlander
Vladimir Patberg-Weller
Kai-Uwe Sorgatz
Anna Hartmann
Cecilia Gertz
Regine Sorgatz
Sevim Junitz
Hüseyin Wulf-Schmidt
Adam Gertz
Ing. Diedrich Gotthard MBA.
Reimer Hethur-Gutknecht
Luzie Renner B.A.
Burghard Davids
Dipl.-Ing. Cynthia Hauffer B.A.
Annette Schwital
Susi Seifert
Kreszenz Drubin
Vincenzo Jopich
Ana Klapp MBA.
Ignatz Gutknecht
Jenny Scholtz
George Paffrath MBA.
Dr. Baldur Johann B.Eng.
Susann Mielcarek
Senta Schmiedecke
Ing. Dorothe Junken
Dörte Schlosser
Ismail Steinberg
Annelene Adolph B.A.
Elzbieta Beier
Herr Tomislav Ladeck
Margita Meister
Alice Hesse
Univ.Prof. Jaroslav Seifert B.Eng.
Dorit Dowerg
Salvatore Tlustek
Hans-Detlef Schäfer
Loni van der Dussen B.Sc.
Liane Kambs
Meike Trupp
Ibrahim Wirth-Schuster
Hans-Bernd Trupp
Dr. Edda Hecker B.Eng.
Frauke Stadelmann
Annelie Bloch
Volkmar Trub
Dr. Pius Säuberlich B.Sc.
Julia Ruppersberger
Gina Stolze
Ivo Lorch
Ing. Maike Hölzenbecher B.A.
Mary Hofmann B.A.
Herr Oliver Pechel
Lars Kallert
Gretchen Jessel B.Sc.
Prof. Siegrun Langern
Bert Junck
Erhardt Heidrich
Dipl.-Ing. Sieglinde Fischer B.Eng.
Reimar Trüb
Univ.Prof. Jann Schleich
Vittorio Hertrampf
Diethard Gude
Dr. Annedore Wulff B.Sc.
Franziska Jüttner
Univ.Prof. Christoph Beier B.A.
Stephen Kensy
Gunar Börner
Gunnar Ernst
Alwin Schaaf
Krista Hofmann
Pedro Pölitz
Dr. Heinz-Georg Aumann MBA.
Piotr Speer-Seifert
Nadin Radisch
Prof. Mohammad Reinhardt
Herr Yusuf Kabus B.A.
Prof. Denis Segebahn MBA.
Edmund Junck
Prof. Aribert Eberhardt B.Sc.
Lars Walter
Florentine Eimer
Dipl.-Ing. Roland Bien B.Sc.
Damaris Eigenwillig
Isidor Zobel-Ritter
Pius Römer MBA.
Dr. Marianne Reising
Zita Klemt
Anka Boucsein
Dr. Anny Kallert
Timm Wende
Marion Wohlgemut B.A.
Ignatz Börner
Maike Bolnbach
Oxana Ortmann MBA.
Janet Johann B.A.
Leo Roskoth B.Sc.
Dr. Athanasios Noack MBA.
Hanny Martin
Rosina Klotz B.A.
Giuseppe Preiß
Marlis Rogge B.Sc.
Dipl.-Ing. Werner Scholl B.Eng.
Francisco Budig-Geisler
Univ.Prof. Jane Mans B.Eng.
Sylvester Bender-Boucsein
Anastasios Kuhl
Albrecht Rust-Heinrich
Dagobert Bohnbach
Prof. Ralph Patberg
Hanna Speer
Univ.Prof. Helge Pieper
Ewa Bolnbach-Textor
Jaroslaw Pieper MBA.
Dorina Rust
Edda Gertz B.Eng.
Ewa Kade
Thilo Berger
Jozef Kostolzin
Renate Austermühle B.Eng.
Heinz-Wilhelm Werner
Franka Mitschke B.Sc.
Janine Dehmel B.Eng.
Dipl.-Ing. Hans-Günther Bien
Univ.Prof. Traudel Wernecke B.A.
Karl-Wilhelm Rogner
Gordana Hertrampf-Speer
Gloria Mosemann
Dipl.-Ing. Hans-Erich Klemm
Jens Trub
Gabriele Stahr
Carina Schaaf
Jaroslav Benthin
Cetin Schwital
Aurelia Dussen van MBA.
Silva Plath
Käthi Löffler
Milka Wohlgemut-Meyer
Dipl.-Ing. Angelique Ortmann
Justus Lorch
Dipl.-Ing. Robert Köhler
Dipl.-Ing. Betty Niemeier MBA.
Ing. Carolin Matthäi
Adam Krein-Karge
Micha Röhricht B.A.
Abdul Klapp-Hethur
Gabriele Käster
Mechthilde Lindau B.A.
George Weimer
Igor Dörschner
Bekir Bonbach
Cindy Schleich
Prof. Hannah Hölzenbecher MBA.
Prof. Ralf-Peter Schlosser B.Eng.
Viviane Girschner
Rotraut Ullrich
Ivana Mielcarek
Ingried Ullmann
Edmund Caspar B.Sc.
Christos Ruppert B.A.
Gotthold Krause
Dr. Irmtraut Gnatz B.Eng.
Cläre Heser
Ruth Barkholz-Koch II
Ellen Liebelt
Dr. Constance Römer
Amalia Hermann-Schäfer
Heinz Krebs B.Eng.
Ing. Gregor Lindau
Paolo Weller-Heinrich
Wilfried Steinberg
Andrew Misicher
Ing. Eugenie Birnbaum
Sylvester Hamann
Frau Evelyne Süßebier B.Eng.
Magdalene Mude
Hannah Stiffel-Börner
Marcella Karz B.A.
Univ.Prof. Vesna Hering
Fatma Seidel B.A.
Friedhilde Wernecke
Carina Bruder
Phillip Hermann
Waltraud Wernecke
Anne-Marie Stumpf
Carola Kusch
Beatrice Käster
Othmar Weinhage MBA.
Prof. Felicitas Dörschner
Jessica Kohl
Tina Radisch
Raimund Gieß
Jacob Süßebier
Rena Rohleder
Zeljko Gieß
Univ.Prof. Hugo Martin
Dr. Edelbert Wieloch MBA.
Pierre Köster
Robby Kramer
Ulrike Gierschner-Koch II
Univ.Prof. Charlotte Lindner MBA.
Gaby Noack
Univ.Prof. Sibylle Zirme B.Sc.
Alwin Scholl
Ingried Hauffer-Lübs
Kristiane Steckel
Ing. Gabriela Dippel MBA.
Sonja Barkholz
Damian auch Schlauchin B.Eng.
Stilla Hornig B.A.
Heinz-Gerd Beyer
Silja Kraus-Schuster
Dipl.-Ing. Iris Stumpf MBA.
Evamaria Berger
Herr Osman Gerlach B.Sc.
Ing. Annekatrin Heß
Sonja Löchel
Paul-Gerhard Hein
Guenter Lachmann
Gundula Klotz
Hans-Jürgen Klemm
Dr. Laila Peukert
Ada Heser B.Sc.
Sören Etzler
Tino Gnatz
Klaus-Dieter Hänel B.Sc.
Ing. Carolin Faust B.A.
Aziz Hornich
Karla Wirth
Edda Junck-Eimer
Franz-Josef Etzold
Rosi Renner-Graf
Gilda Faust
Alan Stadelmann-Lindner
Gerold Thanel
Siegbert Schweitzer
Edmund Schmidt-Fliegner
Dr. Anna-Maria Zahn B.Sc.
Kunigunda Zimmer
Herr Mahmoud Schleich B.Sc.
Ing. Petar Wilmsen
Jan-Peter Grein Groth
Dörte Warmer
Jonas Löchel
Martha auch Schlauchin
Gert Naser
