Student
Dr. Silvester Krein B.Sc.
Prof. Walter Pechel
Dipl.-Ing. Friedhilde Hauffer B.A.
Univ.Prof. Marcella Trüb
Kriemhild Junk MBA.
Arnd Jacobi Jäckel
Cäcilie Roht-Misicher
Abdul Klapp-Hethur
Lilija Kensy
Gunhild Kroker
Silvia Weiß
Julia Heinrich
Ignatz Franke
Philippe Wähner
Sylwia Bolander
Zofia Gutknecht
Univ.Prof. Giovanna Bachmann B.Eng.
Kordula Lange
Hans Jürgen Lange
Guido Pieper
Benita Geißler
Wally Anders B.Eng.
Dipl.-Ing. Harm van der Dussen
Elsbeth Schmiedecke-Wulf
Almuth Rosenow-Schönland
Kornelius Pergande-Weiß
Luka Zorbach
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Hans-Christian Trüb
Maxim Roht
Ing. Mahmoud Becker
Prof. Petar Köhler
Herr Thomas Baum
Adelgunde Beer
Antonius Pärtzelt-Jüttner
Margarete Mohaupt B.Sc.
Anneke Nohlmans
Günter Schottin
Krista Junken-Hövel
Ernestine Trommler
Marie Hoffmann B.Sc.
Dr. Gerard Dörr
Marlis Wiek
Monique Stroh
Gerwin Bonbach-Fliegner
Dipl.-Ing. Erwin Hamann
Arif Heinrich
Vitali Faust B.Eng.
Dr. Ante Jüttner B.A.
Dipl.-Ing. Laurenz Gerlach MBA.
Maya Haering-Becker
Carmelo Klapp-Berger
Anna-Lena Sontag-Köhler
Nelly Schlosser
Thorsten Kensy B.Eng.
Klaus-Dieter Knappe
Claire Junk
Ottokar Döhn
Gülsen Junck
Raphael Barth
Dragan Trub
Annelie Schomber
Gottfried Keudel MBA.
Franjo Löffler B.Eng.
Eckhard Weitzel
Friedrich-Karl Weimer
Prof. Magdalena Bohlander B.Sc.
Ing. Bernfried Haering
José Tschentscher-Textor
Dr. Ibrahim Dobes B.Eng.
Corinne Berger
Ramon Jäntsch-Gertz
Marlis Rogge B.Sc.
Stanislav Hoffmann
Gabor Pechel-Junken
Eva-Maria Geisler
Univ.Prof. Galina Kobelt B.Eng.
Armin Scholz
Brian Hölzenbecher
Sara Johann
Harro Trapp B.Eng.
Marianne Ziegert-Werner
Ira Scholz-Pohl
Madlen Lübs
Gert Naser
Eggert Rörricht-Schwital
Cora Stumpf-Gunpf
Gebhard Kitzmann
Rosa Gnatz
Karlfried Sorgatz
Siegrid Misicher
Ing. Hans-Walter Ackermann
Damian Hentschel
Prof. Sarina Hartmann
Constantin Beckmann
Dipl.-Ing. Ladislaus Weinhold
Carl-Heinz Trapp
Dr. Reinhilde Thies B.Eng.
Madlen Trupp B.Eng.
Jadwiga Karge
Dipl.-Ing. Friedrich Hiller B.Eng.
Sibel Hörle
Dipl.-Ing. Gertraut Stolze
Pius Römer MBA.
Ing. Elisabet Jopich B.Sc.
Annika Pieper B.A.
Dr. Michel Pruschke B.Eng.
Niko Pergande
Rosa Tintzmann
Herr Hanno Hesse
Bernhardine Schuchhardt
Elli Junck
Arnulf Säuberlich
Zehra Conradi-Heinrich
Marvin Kabus B.A.
Jurij Zahn B.Sc.
Dina Schmiedt MBA.
Dr. Gerhart Käster
Ramona Sontag
Mareen Mans
Ilja Hartung
Giesela Börner B.Eng.
Hans-Bernd Trubin-Klemt
Ing. Pawel Rörricht
Rosa Christoph-Sontag
Frau Hella Stumpf
Dr. Semra Wagenknecht
Franz-Josef Etzold
Hannelore Weinhold B.Sc.
Richard Mende-Hendriks
Herr Torsten Hermighausen B.Sc.
Prof. Marika Junken B.Eng.
Hannelore Haase
Moritz Schönland
Univ.Prof. Rotraut Juncken B.A.
Augustin Lachmann
Sandor Riehl
Bozena Meyer
Tilmann Geisler
Auguste Buchholz B.Sc.
Janine Dehmel B.Eng.
Dipl.-Ing. Jaqueline Striebitz
Ekkehart Niemeier
Marlen Schenk-Schuchhardt
Univ.Prof. Diedrich Köhler B.A.
Sinaida Heinz-Gnatz
Hans-Rainer Rogner
Ekrem Zänker
Ronny Dippel
Ing. Klaus-Dieter Karge MBA.
Burkhard Holt-Schleich
Notburga Pölitz
Jolanta Döring
Herr Hartwig Henk B.A.
Franz Josef Nette-Werner
Thilo Tschentscher
Pedro Hande B.Sc.
Othmar Zänker
Pirmin Reising
Trude Scholtz B.A.
Valerie Mangold
Anto Niemeier
Adriane Stroh
Peer Nohlmans B.Sc.
Emmerich Killer
Herr Francis Scholtz
Sina Mende
Marc Heintze B.A.
Bela Köster
Prof. Riza Niemeier
Toralf Jessel
Hans-Willi Benthin
Heidemarie Junitz
Elke Huhn
Univ.Prof. Tabea Dörschner MBA.
Prof. Anna-Lena Wagner MBA.
Marlene Drubin
Gerda Kitzmann
Ivana Mielcarek
Marion Drewes
Kathi Hering
Arzu Wieloch-Röhrdanz
Leonardo Klingelhöfer B.Sc.
Herta Hendriks
Ing. Leszek Gutknecht B.Sc.
Kristian Rosemann B.Sc.
Carin Rohleder
Henni Ullmann MBA.
Margaretha Kohl B.Sc.
Dr. Agathe Jähn B.A.
Baldur Metz
Zeljko Kobelt B.Eng.
Marita Henk
Berndt Barkholz
Kristian Ritter
Mike Matthäi
Dr. Krista Wirth
Eckhard Lindau B.A.
Dipl.-Ing. Meral Beyer
Dr. Edelbert Wieloch MBA.
Sigurd Holsten B.Sc.
Dr. Rosalinde Stolze B.Eng.
Thies Birnbaum B.A.
Burckhard Margraf
Edelgard Neureuther-Vollbrecht
Franco Loos B.Eng.
Bruno Siering MBA.
Ing. Cläre Dowerg
Dipl.-Ing. Ana Rosemann
Irmtrud Schaaf-Jacobi Jäckel
Hartwig Keudel B.Eng.
Wieslaw Oestrovsky MBA.
Prof. Elzbieta Fechner B.Sc.
Dr. Heiderose Kallert B.Eng.
Dipl.-Ing. Kevin Stadelmann
Reimar Kabus
Swetlana Binner
Sibylla Koch MBA.
Raymund Thanel
Prof. Almuth Dippel
Herr Yilmaz Vollbrecht B.Eng.
Prof. Horst Mälzer B.Sc.
Ernestine Karz
Hubert Hertrampf
Dr. Gerd Fechner
Vladimir Patberg-Weller
Ing. Marie-Therese Seifert
Prof. Britt Drub B.Eng.
Maximilian Juncken
Ivanka Rogge
Frau Cordula Anders B.Eng.
Renate Austermühle B.Eng.
Bogdan Pohl
Ing. Edward Salz
Univ.Prof. Samira Drewes
Dr. Halina Mälzer
Hildegunde Wende-Spieß
Irmtraut Noack
Dietlind Albers
Ronald Hofmann
Gereon Jacob
Bogdan Zirme
Wera Hauffer B.A.
Wojciech Rogner
Paula Stroh
Bernt Conradi
Eckhart Gutknecht
Dr. Lieselotte Blümel B.A.
Zeynep Keudel
Ing. Ignaz Rose
Hanne-Lore Losekann B.Sc.
Isa Koch
Univ.Prof. Franz-Xaver Girschner B.Sc.
Edelgard Gnatz-Dobes
Oxana Schmidtke
Horst-Peter Ritter
Piotr Schaaf
Nicole Hoffmann
Nada Butte
Louis Loos B.Eng.
Prof. Wolfgang Mohaupt
Reza Kusch
Jörg-Peter Jüttner-Winkler
Laszlo Nerger MBA.
Dipl.-Ing. Betty Niemeier MBA.
Manja Stadelmann
Janko Neureuther
Prof. Torsten Geisel B.Sc.
Ilja Kitzmann B.A.
Tobias Wirth
Sarina Dobes
Michelle Pohl
Rafael Blümel
Dr. Wanda Dippel
Centa Kaul
Kazim Junken
Dr. Adriane Bärer B.Eng.
Kaspar Trub
Dipl.-Ing. Gülten Hoffmann B.Eng.
Ing. Vesna Kroker B.Eng.
Vassilios Birnbaum
Dipl.-Ing. Melanie Kreusel B.A.
Dr. Helge Täsche MBA.
Dr. Amir Jäkel
Felicia Hamann
Dipl.-Ing. Emmy Börner
Carl Jockel
Leni Wohlgemut-Ruppersberger
Univ.Prof. Luka Mende
Wulf Thanel-Scheibe
Hans-Detlef Schleich
Wenke Patberg
Dr. Tim Hornig B.Sc.
Anastasia Mans
Gert Hölzenbecher B.Sc.
Wally Kreusel
Elmar Fröhlich
Helena Franke
Baptist Gröttner B.Sc.
Luzia Kranz
Marika Zimmer
Yusuf Seifert
Bekir Gumprich-Kabus
Matthäus Eckbauer
Cläre Bruder-Hentschel
Silja Jüttner
Faruk Döhn
Herr Karl Dippel B.A.
Ing. Corinne Steckel B.A.
Hassan Sager
Gloria Bruder B.A.
Dipl.-Ing. Heinz-Otto Jähn
Reinhold Schönland
Maria-Theresia Heinz B.A.
Miriam van der Dussen
Emilie Scholz
Ludwig Zimmer MBA.
Günter Fischer
Dipl.-Ing. Albrecht Metz
Agnes Ullmann
Ingrid Eigenwillig
Eva-Maria Zänker
Gotthard Christoph
Dipl.-Ing. Liliana Hartmann
Janus Weitzel-Koch
Jana Wulf MBA.
Iris Ullrich
Marieluise Schulz
Jacek Klemt
Dr. Meinhard Hiller
Klaus-Peter Häring
Univ.Prof. Dolores Rust
Ing. Leander Weimer B.Eng.
Oscar Nerger
Heribert Ring B.A.
Anni Hänel B.Eng.
Desiree Köster
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Eva-Marie Berger MBA.
Hanns Zänker B.A.
Prof. Sibel Wohlgemut B.Sc.
Carmelo Stiebitz
Frau Britt Heß
Gertraude Salz-Gnatz
Helmtrud Gerlach
Traudel Wilmsen B.A.
Dr. Wencke Junken B.Eng.
Moritz Holzapfel
Wilfried Steinberg
Abraham Adler
Lisbeth Mielcarek
Edeltraud Mülichen
Hans-Eberhard Blümel
Alan Stadelmann-Lindner
Günter Wiek B.A.
Wladimir Karge
Ing. Zlatko Gerlach
Heide-Marie Beckmann B.Sc.
Rebekka Lindau MBA.
Hans Jörg Koch
Hedy Rudolph MBA.
Dajana Meyer
Blanka Birnbaum
Wibke Cichorius
Sylvester Neuschäfer-Schacht
Prof. Stefania Briemer
Erhard Reinhardt
Harry Lange
Francesco Drub
Sibylle Stey
Michel Heß
Uta Kade
Univ.Prof. August Gunpf B.A.
Sinaida Roskoth B.A.
Hassan Kroker-Girschner
Hiltrud Pergande
Maya Lindner-Zimmer
Theodoros Grein Groth
Ralph Stahr
Ing. Peter Trubin B.Sc.
Justine Dippel-Rosemann
Dr. Marija Stiebitz
Gordon Lehmann
Dr. Harald Ritter
Gotthard Löwer
Valerij Barth
Peer Hölzenbecher
Irmtrud Textor B.Eng.
Michaela Loos-Mentzel
Ing. Stella Wagner
Dr. Hans Jörg Zobel
Danielle Ritter B.Eng.
Ing. Christel Margraf MBA.
Herr Heinz-Josef Wende MBA.
Univ.Prof. Ditmar Mitschke B.A.
Klaus-Peter Gieß-Winkler
Ibrahim Lehmann B.Eng.
Maritta Bien
Univ.Prof. Lydia Langern
Karlfried Ruppersberger
Klaus Peter Adler
Elsa Sontag
Wiltrud Wilmsen-Graf
Lilly Girschner-Ritter
Reinhart Winkler B.Eng.
Natalja Seidel
Prof. Irena Höfig
Silvio Weimer
Univ.Prof. Mira Heser B.Sc.
Gisa Gerlach
Hanny Martin
Marica Seidel B.Eng.
Rupert Kallert
Ralph Jacobi Jäckel
Urs Ebert
Univ.Prof. Frederike Heintze
James Kostolzin-Staude
Uli Schönland-Trupp
Carla Schacht
Marit Weller
Christoph Löchel B.Sc.
Dagmar Schinke B.Sc.
Ing. Lisbeth Fritsch
Ottmar Hölzenbecher
Christin Hein B.Sc.
Celal Ortmann-Otto
Jens Trub
Flora Mühle B.Sc.
Dr. Valentin Eigenwillig
Marie-Louise Hendriks-Dörschner
Miodrag Dörr-Austermühle
Damian Holsten
Calogero Wagner
Frau Suse Zorbach
Cecilia Killer
Prof. Janus Walter B.A.
Marianne Killer
Ing. Konstanze Schmidtke MBA.
Klaus-D. Zirme-Bachmann
Ing. Marlene Wirth B.Sc.
Prof. Manuela Schleich B.Sc.
Sophie Rädel
Prof. Magnus Dörr B.Eng.
Betti Zirme B.A.
Univ.Prof. Henryk Kostolzin
Wiltrud Geißler
Univ.Prof. Claus-Dieter Dippel B.Eng.
Heinz-Günter Hesse
Gregor Buchholz
Dr. Annelene Hamann
Dr. Ehrhard Gieß B.Sc.
Frau Danica Davids B.A.
Eveline Putz
Francoise Vollbrecht B.Sc.
Birgitta Hettner
Hans-Georg Scholz
Erhardt Loos
Gero Gumprich B.Sc.
Stephen Kensy
Hans-J. Neureuther
Hermann Josef Drubin
Dusan Conradi-Rogner
Hermann Josef Junck
Nikolas Hethur MBA.
Karl-Hans Fiebig
Dogan Ruppersberger
Raissa Mitschke MBA.
Univ.Prof. Melita Langern
Ing. Alban Mohaupt
Gottfried Hettner-Reising
Hans-Michael Krein-Wernecke
Josip Kuhl
Korinna Spieß MBA.
Alf auch Schlauchin
Ellen Gutknecht
Dr. Evangelia Killer B.Sc.
Teresa Schönland
Ingried Stiffel B.A.
Dagobert Bohnbach
Birte Jüttner
Gerfried Dippel
Romuald Hartmann
Gretchen Jessel B.Sc.
Friedbert Sorgatz
Augusta Flantz
Dipl.-Ing. Henriette Lindau
Hildegard Schlosser-Jacobi Jäckel
Dipl.-Ing. Karina Kambs MBA.
Anatolij Keudel
Vitali Ortmann
Vito Roht
Marlies Seifert-Roht
Eugenia Sorgatz
Conrad Killer
Frau Tatiana Hande B.Sc.
Univ.Prof. Ivo Mies
Marcel Fechner
Katrin Oestrovsky-Fechner
Berend Rörricht
Prof. Monica Beer MBA.
Dipl.-Ing. Traudel Eigenwillig
Sina Barkholz
Reimund Bohlander
Siegbert Schweitzer
Vincenzo Zirme
Julie Radisch MBA.
Roy Holt
Sandro Täsche
Hüseyin Johann
Reinald Zahn
Heinz-Peter Butte B.Eng.
Miriam Juncken
Lina Hein-Gotthard
Christina Schlosser
Edit Martin B.Sc.
Frau Korinna Kranz
Vlado Lindner
Reimar Rädel
Dr. Rolf Walter
Traugott Hövel
Reni Roht-Binner
Gundula Scheel-Döring
Bastian Röhrdanz
Claus-Dieter Krause
Aneta Kambs
Walter Schleich-Segebahn
Martina Keudel
Paulo Trommler
Falk Wagenknecht B.Eng.
Frau Änne Gunpf B.Sc.
Sandy Fechner
Dr. Slawomir Hande
Stavros Vollbrecht-Geißler
Sigrid Jockel
Wigbert Ortmann
Joseph Harloff
Anthony Oderwald
Frau Katarina Bolander B.Sc.
Susana Schaaf
Annita Jähn
Orhan Hecker-Heuser
Univ.Prof. Gusti Schlosser
Dipl.-Ing. Mirella Franke MBA.
Ingbert Binner-Heidrich
Karl-August Döhn B.A.
Dr. Diedrich Atzler
Ing. Anneliese Döring
Prof. Irmgard Mühle
Jerzy Wagenknecht B.A.
Frau Magarete Mans B.Sc.
Loni Trubin
Sami Stolze-Döhn
André Kraushaar-Henck
Abram Briemer
Marlen Hesse
Selma Fritsch B.Eng.
Frau Camilla Kruschwitz
Gundi Schwital
Herlinde Birnbaum
Ruth Wiek-Bloch
Nikolas Siering
Ivana Eimer
Univ.Prof. Sigurd Fischer B.Eng.
Loni van der Dussen B.Sc.
Dr. Markus Roskoth B.Sc.
Maria Mans B.Eng.
Ing. Hanny Schlosser MBA.
Frau Emilia Pruschke B.A.
Dipl.-Ing. Lidija Pölitz
Judith Hering B.A.
Dr. Carsten Steinberg
Gert Nette
Ralph Binner-Römer
Rosemarie Hethur
Prof. Ricardo Kensy
Friedemann Kostolzin
Linda Ziegert-Junken
Ing. Selim Tintzmann B.A.
Aurelia Dussen van MBA.
Cilli Heintze
Balthasar Müller-Drub
Abram Scholz B.Sc.
Franz Josef Flantz
Friedrich-Karl Sorgatz-Schmiedt
Franziska Hörle B.Sc.
Inge Dietz B.A.
Susanna Jäntsch
Gundula Ruppersberger
Ottomar Hermann
Anne-Kathrin Ortmann
Prof. Patrik Scheel
Ing. Ivonne Nerger
Leokadia Herrmann
Istvan Patberg-Anders
Georgia Bärer
Sabine Gude
Dajana Gehringer
Frau Beatrix Bonbach B.A.
Vincenzo Lübs
Wendelin Pärtzelt
Hans-Albert Lindau
Ing. Magarete Herrmann B.Eng.
Lothar Ladeck
