Student
André Segebahn
Günter Fischer
Prof. Salvatore Römer
Frau Julia Fliegner
Dominic Möchlichen
Frau Mira Klemm
Hanspeter Davids
Annita Lorch
Alf Jüttner
Prof. Folker Trupp B.Sc.
Paula Stroh
Nadja Ladeck B.Sc.
Patrick Döring
Hans-Hermann Haering
Univ.Prof. Jacqueline Faust
Vitali Faust B.Eng.
Anne-Kathrin Bachmann
Suzanne Holzapfel
Andre Mülichen-Scholz
Gülten Peukert
Emilia Seifert
Bruni Vogt MBA.
Anton Müller
Sarina Dobes
Univ.Prof. Liliana Drub
Herr Alexandre Eimer B.A.
Dana Jäntsch
Dipl.-Ing. Iris Stumpf MBA.
Konstantinos Seifert
Trudi Keudel B.A.
Gerda Gröttner B.Sc.
Gebhard Sauer
Rudolf Weihmann
Corina Pergande
Hardy Wende B.Sc.
Hermine Franke B.Eng.
Wolf-Dieter Sölzer-Putz
Aneta Heydrich
Stanislav Hoffmann
Univ.Prof. German Rörricht
Elias Langern
Natalia Hauffer
Carla Hecker
Zbigniew Hahn MBA.
Ilja Krause
Anna Hartmann
Ing. Ralf Sölzer B.A.
Uschi Trüb
Alexandra Butte
Univ.Prof. Ilja Hentschel MBA.
Lieschen Röhricht MBA.
Czeslaw Jacobi Jäckel-Zahn
Theda Klotz
Marianne Hecker
Engin Trub
Mercedes Kobelt MBA.
Woldemar Bähr
Eugenia Riehl
Ing. Carolin Anders
Irmgard Pieper B.Eng.
Sören Spieß
Marie-Luise Ring
Siegrid Bachmann-Schaaf
Baldur Käster B.A.
Ljudmila Trapp
Herr Gerhardt Benthin
Prof. Marijan Hoffmann
Ernst-August Gutknecht
Anke Bähr
Dr. Jane Kostolzin
Willfried Mende
Dr. Inna Mude MBA.
Wiebke Gehringer
Heinz-Günter Hesse
Tabea Kaul
Univ.Prof. Jeannette Schleich B.Sc.
Anka Rohleder
Dagmar Schinke B.Sc.
Anni Dietz-Blümel
Ing. Utz Klemt B.A.
Valerij Weller-Barkholz
Jerzy Wagenknecht B.A.
Gotthold Krause
Leif Christoph
Paola Margraf
Ursel Conradi
Heidelore Heinrich
Branka Mentzel
Ing. Emmy Beer
Prof. Walter Pechel
Herr Alwin Sager B.A.
Julia Heinrich
Hildegund Gunpf
Sylwia Wilmsen-Ullmann
Slavica Ernst-Schmidtke
Augustin Jopich
Karl-Hans Weinhold-Noack
Ing. Ben Lindau MBA.
Frau Bianka Henk B.Sc.
Ada Heser B.Sc.
Hans-Rainer Rogner
Francoise Zänker-Knappe
Ernst-Otto Heß-Hartmann
Berndt Riehl-Bohlander
Prof. Rudolph Linke
Belinda Huhn
Birger Klapp
Rupert Kallert
Mariusz Wilmsen B.A.
Carolin Stumpf B.Eng.
Bernward Losekann MBA.
Orhan Dörr-Salz
Käthe Ernst
Bianca Mans
Dr. Iris auch Schlauchin
Ing. Dorothe Junken
Prof. Kathy Warmer MBA.
Theresia Liebelt
Renata Holt-Heintze
Maurice Möchlichen
Roland Ring
Univ.Prof. Sibylle Zirme B.Sc.
Bertha Heser MBA.
Heribert Austermühle-Trupp
Heidrun Stiebitz
Ing. Zdenka Neuschäfer
Dörte Schlosser
Dr. Lisa Kusch
Klaus-Ulrich Blümel B.A.
Maren Roht
Czeslaw Bohnbach B.Eng.
Ilja Freudenberger B.A.
Friedrich-Karl Eberth
Dipl.-Ing. Roland Bien B.Sc.
Elwira Wirth
Evangelia Gierschner
Tamara Bender MBA.
Frau Christiane Zänker B.A.
Edeltrud Koch
Ing. Rose-Marie Hölzenbecher
Corinna Täsche B.A.
Univ.Prof. Agathe Steinberg MBA.
Cecilia Stoll
Willy Weiß
Malte Kallert-Möchlichen
Hellmuth Söding-Bonbach
Dorothea Weihmann
Dorota Sorgatz B.A.
Univ.Prof. Ioannis Lübs B.Eng.
Kreszenz Ruppert-Dobes
Emilia Scheel
Wally Anders B.Eng.
Enrico Oderwald
Dr. Trude Ziegert B.A.
Univ.Prof. Jane Mans B.Eng.
Dr. Lilly Conradi B.Sc.
Antonius Bonbach-Juncken
Cordula Wohlgemut
Dr. Alwina Lorch MBA.
Ann-Kathrin Davids
Roberto Ritter-Fritsch
Dipl.-Ing. Betti Löffler MBA.
Ing. Arthur Schwital B.Eng.
Nadia Herrmann
Ursula Jacobi Jäckel
Phillip Hermann
Gabriele Schmidt
Univ.Prof. Claus-Dieter Dippel B.Eng.
Carlo Pohl
Diana Jessel-Geißler
Dr. Siegfried Heinz B.Eng.
Clara Gehringer
Jörgen Paffrath B.Sc.
Dr. Lidija Weihmann
Sabine Gude
Dominic Schönland
Jaroslav Benthin
Helmut Renner
Liane Fechner
Zita Winkler
Frau Myriam Walter B.Sc.
Rosmarie Kambs MBA.
Damian Hentschel
Ina Christoph B.Sc.
Erica Holsten
Josip Kuhl
Univ.Prof. Aloisia Fröhlich B.A.
Erkan Trub
Carolina Ditschlerin
Julia Conradi-Mentzel
Zofia Gutknecht
Frau Delia Hellwig B.Sc.
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Ella Keudel
Mirko Eckbauer
Dorit Ebert
Frau Francesca Blümel
Univ.Prof. Gundel Atzler B.Eng.
Mirco Barth
Prof. Ahmad Rörricht
Teresa Möchlichen
Leonardo Trub B.A.
Herr Klaus Peter Krause B.A.
Univ.Prof. Almuth Cichorius B.Eng.
Ingried Bähr
Vinko Kraus-Schmiedt
Claus Juncken
Hans-Theo Kuhl
Hanne-Lore Berger
Rotraud Fiebig
Geza Bloch-Mühle
Anneliese Gnatz
Dolores Conradi
Carin Mohaupt-Heser
Anatolij Kroker B.Eng.
Dittmar Berger
Meral Bolnbach
Herr Jens Ritter B.Eng.
Prof. Anka Schulz
Ing. Muharrem Paffrath B.Sc.
Dipl.-Ing. Amanda Striebitz
Univ.Prof. Bela Kraus
Bodo Kranz-Striebitz
Almut Trupp
Ing. Vesna Kroker B.Eng.
Marjan Pölitz B.Eng.
Herr Torsten Hermighausen B.Sc.
Ladislaus Killer
Reingard Klingelhöfer
José Gröttner B.Sc.
Daniela Wernecke-Hölzenbecher
Heinz-Willi Jockel
Svea Krebs-Scheibe
Annie Langern
Margaret Kraus
Waltraud Wernecke
Dr. Evangelia Killer B.Sc.
Dipl.-Ing. Sieglinde Fischer B.Eng.
Yvette Dietz
Kristin Kabus
Univ.Prof. Othmar Geisel
Dr. Samuel Tröst
Fatma Sager
Margrit Förster
Zenta Gertz B.A.
Friedhold Löwer-Ebert
Nikola Kitzmann
Klaus-Ulrich Gude
Annemie Herrmann
Gotthard Scheuermann
Miroslaw auch Schlauchin
Johannes Freudenberger
Frau Notburga Pergande
Ilse Henschel
Bruno Henschel
Josephine Rogge
Gülten Henschel
Florentine Eimer
Jacek Klemt
Karl-Hans Schuchhardt-Mohaupt
Berndt Barkholz
Ing. Magarete Herrmann B.Eng.
Aribert Mitschke
Kilian Austermühle B.A.
Gordana Budig B.A.
Prof. Andrzej Gorlitz
Elizabeth Schlosser B.A.
Univ.Prof. Ottfried Scholl
Reinhard Rogge
Prof. Cäcilia Gertz B.Eng.
Karl-Wilhelm Weiß
Hans-Wolfgang Harloff
Carl Scheibe
Helmuth Zirme
Heinz Dieter Zirme
Marcella Ehlert
Hertha Stoll
Prof. Grete Müller
Bogdan Zirme
Burckhard Margraf
Marko Trupp
Theresa Schüler
Nadin Stiebitz B.Eng.
Gabriela Girschner
Engin Johann-Weihmann
Hakan Kitzmann-Scholl
Martha Wilmsen
Michaele Schwital
Dipl.-Ing. Julian Mühle
Semra Gorlitz
Madlen Salz
Karoline Römer
Damian Jopich B.A.
Dipl.-Ing. Theobald Knappe B.Eng.
Theodor Striebitz
Luis Ackermann
Daniela Siering
Tadeusz Kruschwitz B.Sc.
Dipl.-Ing. Stefano Wernecke B.A.
Dorothee Seidel
Adelinde Putz
Adam Hölzenbecher-Hettner
Elias Gierschner
Benita Neuschäfer
Robert Herrmann
Daniela Löwer
Prof. Fredy Hahn
Andre Schönland B.Sc.
Sibilla Bachmann
Gitte Rohleder-Bruder
Susann Henk
Ute Stroh
Francisco Trupp
Valentin Döring
Inka Trub
Ing. Roy Dippel B.A.
Univ.Prof. Maria-Luise Trüb B.Sc.
Dipl.-Ing. Jaqueline Striebitz
Edgar Karge
Walter Weller
Hildegart Scheel B.A.
Antonietta Barth
Prof. Orhan Ladeck MBA.
Arndt Bachmann B.Eng.
Urs Ebert
Harold Bohlander B.Sc.
Ing. Antonius Jacobi Jäckel MBA.
Agnieszka Steckel
Lutz Pärtzelt
Ferenc Trüb B.A.
Inna Weinhage
Alida Tröst
Ing. Nadeschda Tschentscher B.A.
Almuth Pieper
Frau Theodora Hettner B.A.
Judith Sorgatz
Orhan Wieloch
Dr. Jeannine Schleich B.Sc.
Heiner Ruppersberger-Hentschel
Mona Wiek B.Eng.
Angelo Röhrdanz
Reimund Eimer
Nadin Schomber
Regina Barkholz
Herr Knud Pölitz B.A.
Prof. Natalija Weinhold
Hansjörg Müller B.Sc.
Liesel Klapp
Emanuel Scholz B.Eng.
Damian Holsten
Dr. Ralf Hölzenbecher
Peer Jähn
Prof. Lydia Siering
Reinald Zahn
Gislinde Lehmann
Ing. Alf Lachmann
Agatha Sager-Geisler
Tülay Fiebig
Ada Ullmann-Hermann
Herr Valerij Heydrich
Leonid Hein B.Sc.
Dr. Annelene Hamann
Peggy Rogge-Lachmann
Jutta Aumann
Hannchen Löwer B.Eng.
Flora Gotthard
Elli Meister
Klaus-Michael Hahn
Ing. Jaqueline Wende B.A.
Cetin Heidrich
Tino Paffrath B.Eng.
Hanno Salz
Gülay Weinhold
Christos Ruppert B.A.
Birgitta Hettner
Curt Schönland
Alexandre Geisel
Heinrich Bohlander-Ullrich
Birgitta Loos
Margita Schleich-Becker
Dragica Rosenow
Frau Svenja Hövel B.Sc.
Birgitta Beckmann-Thanel
Ria Stroh
Adelgunde Thanel
Albin Schuchhardt
Almut Rogge
Artur Berger
Elsbeth Schmiedecke-Wulf
Hans-Albert Schwital
Michelle Klingelhöfer B.Eng.
Univ.Prof. Clara Heidrich B.Sc.
Roselinde Zobel
Halil Löwer
Herr Lukas Eimer
Mahmut Rose B.A.
Elise Heinz
Senta Ruppersberger
Susana Schaaf
Pavel Jessel
Univ.Prof. Henry Wohlgemut B.Eng.
Dr. Janos Reising
Ulrike Gierschner-Koch II
Sophie Pruschke
Gerda Schleich
Elif Röhricht
Rocco Rosemann B.A.
Rosa Christoph-Sontag
Inge Dehmel
Judith Koch-Mude
Diana Haering
Univ.Prof. Greta Trapp
Ing. Stanislaw Weihmann B.A.
Heinz-Josef Conradi-Klapp
Roberto Jockel
Claire Faust B.A.
Adolfine Dippel
Sylvio Stiffel
Kriemhild Gude
Irma Neureuther
Marcel Oestrovsky
Herr Valentin Warmer
Gudrun Reichmann MBA.
Cord Haase
Gerhart Staude
Ing. Valentina Börner
Dr. Pius Säuberlich B.Sc.
Dipl.-Ing. Kevin Stadelmann
Artur Schaaf
Heide-Marie Koch II
Cathleen Gude
Christel Bärer-Zirme
Antonietta Lindner MBA.
Dipl.-Ing. Giuseppina Etzler B.Sc.
Lilli Harloff
Justina Neureuther
Benno Gehringer-Wohlgemut
Ilja Hartung
Burckhard Heuser
Maren Scholz-Bohlander
Lene Sauer
Saskia Heidrich
Dipl.-Ing. Walfried Rosemann B.Eng.
Prof. Urs Flantz
Gisa Dörr B.Eng.
Dipl.-Ing. Annelise Naser
Anika Biggen MBA.
Dietlinde Käster
Sylvester Neuschäfer-Schacht
Amalia Schmidtke-Radisch
Elli Kuhl B.Eng.
Hans-Gerd Dietz B.A.
Dipl.-Ing. Angelina Mälzer B.Eng.
Mijo Jessel B.A.
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Ehrhard Bohnbach B.Eng.
Roderich Scholtz
Sinaida Adolph
Wencke Bohlander
Herr Jens Becker MBA.
Valeria Finke
Miroslawa Jäkel-Bohnbach
Dipl.-Ing. Josip Mies
Anni Seidel B.Eng.
Mark Röhricht
Othmar Zänker
Burghard Hamann-Dippel
Herr Anthony Caspar
Hanife Ackermann
Univ.Prof. Hans-Rudolf Wohlgemut
Hans Jörg Köhler
Dipl.-Ing. Agatha Pruschke
Fredi Meyer-Weiß
Mechtild Niemeier
Emma Blümel
Ing. Berthold Rosenow
Ing. Marie-Therese Schleich
Dipl.-Ing. Adele Huhn MBA.
Ing. Josip Ruppert
Friedericke Ruppersberger
Danilo Losekann
Gina Killer
Hajo Thies
Antoinette Schottin
Fernando Gieß
Ing. Rosalinde Rogner MBA.
Alwine Linke
Arzu Stiffel-Drubin
Ing. August Hellwig B.Eng.
Timm Oderwald
Frau Florence Ditschlerin B.Eng.
Josef Rädel
Frida Stolze
Univ.Prof. Ladislaus Hande
Olivia Schleich
Lydia Schenk
Herr Peter-Michael Kensy B.Sc.
Margit Klapp
Alwine Bien
Kunibert Hahn-Lindau
Zbigniew Höfig B.Eng.
Herr Hans-Ludwig Steinberg
Herr Otto Vollbrecht
Franco Loos B.Eng.
Madlen Geißler
Herr Christopher Speer
Kornelius Heintze-Baum
Erol Röhrdanz
Ernst-August Gunpf
Dr. Gabriel Freudenberger MBA.
Univ.Prof. Sigurd Fischer B.Eng.
Dipl.-Ing. Aloys Hentschel
Witold Wulf
Annelie Bloch
Erkan Beier
Irene Stumpf
Freia Hamann
Ing. Tilman Kitzmann
Dorothee Renner
Dipl.-Ing. Mariechen Bonbach
Hendrik Herrmann
Josip Stey
Thea Bauer
Ilonka Zimmer
Kornelius Hornig MBA.
Amalie Gotthard
Fabienne Conradi B.Eng.
Valerij Schulz B.A.
Carsten Hartmann
Dr. Markus Roskoth B.Sc.
Elsa Sontag
Sibilla Mälzer
Bayram Gertz-Hendriks
Univ.Prof. Hans-Peter Schmidt MBA.
Recep Röhricht B.Sc.
Rouven Eberhardt
Zoran Oestrovsky
Karl-Peter Heser
Joachim Fischer
Hansjürgen Säuberlich
Carl Mühle-Wulf
Herlinde Schenk B.A.
Frederik Rust
Laurenz Rosemann
Gabriel Werner
Wenke Patberg
Marie-Luise Zorbach MBA.
Patricia Schäfer
Jörgen Putz B.A.
Adelgunde Beer
Dr. Adriane Bärer B.Eng.
Henriette Ladeck
Ilonka Rose
Christoph Löchel B.Sc.
Emmi Adolph
Ellen Junken
Dipl.-Ing. Gunar Kuhl
Andreas Birnbaum-Kallert
Univ.Prof. Resi Kobelt
Helmuth Langern-Steinberg
Herr Rolf-Peter Renner MBA.
Susi Grein Groth-Steuer
Dipl.-Ing. Gabi Scholtz
Desiree Wulf-Jüttner
Dr. Ingried Sorgatz B.A.
Gotthilf Bohnbach-Seip
Sandro Schmiedt
Heinz-Otto Geisler B.Sc.
Herr Arnulf Kohl
Eckhart Gutknecht
Dipl.-Ing. Rüdiger Otto B.A.
Frau Carola Scheibe MBA.
Hellmut Bruder
Apostolos Kreusel-Noack
Jeannine Heinz-Tlustek
Ljiljana Löwer B.A.
Irmela Höfig B.Sc.
Giuseppina Keudel
Fatma Möchlichen
Zeki Henk B.A.
Martha auch Schlauchin
Dr. Marianne Reising
Univ.Prof. Charlotte Lindner MBA.
Agata Hertrampf
Prof. Lieschen Bohlander
Saban Eimer
Karl-Heinz Rohleder
Michelle Kitzmann
Prof. Heinz-Willi Hertrampf
Ekaterina Wieloch
Univ.Prof. Dolores Rust
Kata Atzler
Eckart Cichorius
Thorben Stiebitz
Frank-Peter Haase
Sofia Mielcarek B.A.
Dipl.-Ing. Christel Beer B.Eng.
Krista Hofmann
Milos Trüb
Antonie Ladeck
Vincenzo Zirme
Dipl.-Ing. Eberhardt Fechner
Eleonore Kuhl-Koch
Gülten Ruppersberger-Wende
Mariola Tlustek MBA.
Prof. Meral Jüttner MBA.
Slobodan Hauffer
Valerie Kallert B.A.
Kathi Hering
Matthias Dowerg
Sevim Ackermann
Frau Emilia Pruschke B.A.
Univ.Prof. Anny Stolze
Cordula Schmiedecke-Wilms
Sigmund Conradi
Margareta Dörschner B.Sc.
Oscar Reinhardt B.A.
Erica Renner-Trapp
Univ.Prof. Nevenka Döhn B.Eng.
Karl-Wilhelm Rogner
Abram Vogt MBA.
Frau Danica Davids B.A.
Hans-Theo Bärer B.Eng.
Herr Roderich Hauffer
Lina Hein-Gotthard
Lisbeth Hentschel
Lidija Trapp
Bruni Meister B.Sc.
Ing. Alexander Mude
Maurice Pieper-Loos
Yusuf Seifert
Ing. Hannes Jähn B.Sc.
Anna-Lena Sontag-Köhler
Niko Bähr B.Sc.
Prof. Karl-Heinz Ruppersberger
Amalie Gotthard-Beckmann
Nelly Schlosser
Dr. Paulina Textor B.A.
Adriana Vogt
Rosa Rosenow B.Eng.
Jonathan Birnbaum-Stiebitz
Univ.Prof. Gundi Koch B.A.
Stephan Hauffer
Freia Kraushaar B.A.
Silvio Scholl B.Eng.
Ing. Pamela Gerlach
Murat Linke
Heimo Hübel MBA.
Jan-Peter Grein Groth
Gertraud Mentzel
Patrik Ditschlerin
Elise Hentschel
Lidwina Sorgatz-Weihmann
Frank-Michael Köhler
Siegbert Bachmann-Hövel
Klaus-Dieter Hänel B.Sc.
Hiltrud Klemm
Ortrun Pohl B.Eng.
Prof. Evelyn Henk
Georg Misicher
Otto Lindner
Frau Josefa Henschel B.A.
Dr. Helma Kohl B.A.
Univ.Prof. Adelbert Zimmer
Clemens Barth
Ernst-August Beyer
Frau Linda Weiß B.Eng.
Univ.Prof. Michail Tintzmann B.Eng.
Lissi Rust-Metz
Marcel Schlosser
Hanno Trub
Notburga Heuser
Rüdiger Heinrich
Siegrid Hande
Horst-Dieter Seifert
Frau Cynthia Bähr B.Sc.
Dipl.-Ing. Grete Stiebitz
Natalija Haering
Isidor Niemeier
Irmela Krein-Bolzmann
Lutz Mies-Hesse
Marliese Becker
Bertold Stadelmann
Karl Heinz Hörle
Gunhild Ullmann
Timo Butte
Reza Kusch
Torben Säuberlich-Linke
Herr Burkhardt Bauer B.Eng.
Felix Wilms
Univ.Prof. Heinz-Dieter Schuster
Alban Butte
Magdalena Gude
Dipl.-Ing. Burckhard Jäntsch
Gottlob Römer
Erol Lindner
Sabrina Schomber
Univ.Prof. Jörg-Peter Riehl
Alexei Meister
Frank-Peter Kambs
Dorle Henck-Sorgatz
Franz-Xaver Bachmann
Myriam Schäfer-Tschentscher
Rita Käster B.A.
Ing. Birgid Möchlichen B.A.
Michaela Hecker B.Eng.
Univ.Prof. Gottlob Tröst B.Eng.
Susann Hartung-Schmiedecke
Georgine Segebahn
Daniel Zänker
Gilda Rohleder
Felicia Löffler
Hanni Wieloch
Hans-Henning Heydrich MBA.
Silva Hiller MBA.
Ralf-Peter Ebert
Zita Ullmann-Heydrich
Hedy Kobelt
Marica Martin
Carl-Heinz Steinberg
Emil Grein Groth
Laurenz Siering-Kallert
Herr Gordon Meister
Ing. Gertraude Holsten B.Sc.
Univ.Prof. Hugo Martin
Hans-Bernd Zorbach
Sigurd Lange-Seifert
Anatolij Junk
Arif Heinrich
Karolina Reuter-Freudenberger
Gitta Römer
Ing. Philipp Textor
Mohamed Heydrich
Rolf-Peter Reising B.Sc.
Pius Gierschner-Weitzel
Prof. Augustin Stey B.A.
Joana Zimmer B.A.
Dr. Rudolf Killer B.Sc.
Jens Trub
Univ.Prof. Marko Schmiedecke MBA.
Oxana Lübs
Hans-Joachim Pohl
Trude Ruppersberger
Knut Gorlitz
Prof. Ingeborg Noack
Viviane Girschner
Süleyman Wende
Eckehard Wernecke
Veli Junitz
Leopold Weller-Zobel
Henriette Bruder
Felicitas Ruppersberger
Dr. Heide Jockel B.Sc.
Ottomar Kraus
Dipl.-Ing. Friedrich Hiller B.Eng.
Berend Gertz B.Eng.
Ing. Hans-Walter Ackermann
Horst-Dieter Gude
Guiseppe Rust
Dr. Leonhard Otto
Tanja Rörricht-Haering
Imre Mülichen
Ing. Carmine Kroker
Mariechen Nohlmans
Jessica Gotthard
Traudl Gierschner
Wanda Vollbrecht-Reinhardt
Milka Scholl
Hans Dieter Stahr
Andrei Hertrampf-Trommler
Ole Süßebier MBA.
Hans-J. Trapp-Koch II
Ing. Tanja Scheibe B.Eng.
Stilla Köhler
Tadeusz Hentschel
Cord Zorbach
Ing. Galina Hahn
Mandy Rädel
Ralf-Dieter Sauer-Hermighausen
Jasmina Rädel
Larissa Mangold
Antonino Klingelhöfer
Ing. Heinz-Josef Hoffmann
Dr. Reinhart Hecker B.A.
Malgorzata Rohleder
Monika Krein B.Eng.
Claus-Peter Flantz
Oxana Linke B.Eng.
Dietlinde Binner
Louis Geisel
Reni Roht-Binner
Univ.Prof. Alexandros Junk
Ing. Helen Gumprich B.Sc.
Hartmut Zirme
Fabienne Dobes-Heuser
Ilona Roskoth-Bolander
Guiseppe Bien
Kunibert Trommler-Renner
Concetta Karge
Hans-J. Neureuther
Friedrich-Karl Weimer
Frau Anna-Luise Sontag
Heinz-Georg Döhn
Ursel Eckbauer
Zbigniew Schleich-Huhn
Ing. Meik Eberhardt B.A.
Diethard Trommler
Frau Jane Sauer
Jozef Bohlander
Fritz Nerger
Arnulf Heidrich
Süleyman Baum
Clara Ruppersberger
Milos Wiek
Abraham Adler
Philipp Lorch
Liliana Davids
Waltraud Trapp-Pechel
Univ.Prof. Friedl Tlustek
Prof. Necati Stey B.A.
Gerda Eberhardt B.Sc.
Hans-Günther Scheuermann B.Eng.
Dorit Dowerg
Kai-Uwe Köhler
Agathe Jäntsch-Käster
Frau Ellinor Tintzmann
Dursun Atzler B.A.
Ing. Irmtraud Wiek MBA.
Aloys Ruppert
Gaby Noack
Univ.Prof. Karl-Otto Dowerg MBA.
Frau Friederike Albers
Frau Nadeshda Ruppert
Irmtraud Schönland
Evangelia Harloff B.A.
Leon Linke
Dimitrios Kraushaar-Adolph
Kenneth Köhler-Kaul
Prof. Ingmar Bonbach
Felicia Binner
Beate Johann
Sergej Hauffer MBA.
Ilonka Wulf
Götz Budig
Dr. Danica Scheuermann B.Sc.
Marco Kostolzin-Bruder
Stefania Möchlichen
Ing. Leo Schulz
Malte Schäfer
Ing. Jonas Schaaf
Maurizio Mans-Ullmann
Dipl.-Ing. Sandro Bärer B.A.
Sandy Dietz
Dr. Mohamed Kroker B.Eng.
Dajana Ring
Ioannis Klemt
Kläre Kohl
Karl-Heinrich Sölzer
Aleksandr Schuster B.A.
Dipl.-Ing. Milica Hofmann B.A.
Ilhan Budig
Ilias Seip
Ottmar Kruschwitz
Melanie Segebahn
Stavros Ortmann
Alwine Wirth-Klemm
Hanns Bender
Dr. Uta Gumprich
Zoltan Preiß B.Eng.
Andrea Ziegert
Ellen Liebelt
Annegrete Jüttner
Sofie Reichmann
Kati Süßebier
Anett Bien-Schuster
Sigmund Heydrich
Janko Neureuther
Eckhard Weitzel
Iris Ullrich
Nico Hartung-Linke
Anna-Lena Bloch
Frau Annegrete Junk B.A.
Cora Reichmann B.A.
Bogdan Rosemann
Univ.Prof. Ludwig Jähn B.A.
Erik Trupp MBA.
Kreszenz Beier
Frau Hella Stumpf
Gundi Sager
Gunhild Stroh-Jacob
Dr. Laila Peukert
Hedy Loos
Patrizia Spieß
Lara Stroh
Univ.Prof. Gerhardt Dowerg B.Eng.
Annaliese Lübs
Egbert Heintze
Marcella Holzapfel
Hans Josef Thanel
Waltrud Scholl
Meike Trupp
Horst-Peter Löchel
Caroline Wende
Milica Huhn
Gilbert Schottin
Univ.Prof. Teresa Weinhage B.A.
Prof. Attila Werner B.A.
Traude Kuhl
Meryem Hänel-Jungfer
Folker Fischer
Sibylle Löchel
Lidwina Karz MBA.
Prof. Henryk Kitzmann
Mohammed Ritter
Simona Lorch
Karla Conradi
Emin van der Dussen
Dorothe Adler-Trubin
Leander Dobes-Schlosser
Clemens Kabus
Augusta Rosemann
Klaus-D. Zirme-Bachmann
Klaudia Reuter B.A.
Babett Süßebier B.A.
Inga Wieloch
Prof. Volker Hermann
Eberhardt Warmer
Gerold Jacob
Ismail Steinberg
Univ.Prof. Norma Schleich B.Sc.
Hulda Neuschäfer B.A.
Dipl.-Ing. Walburga Steckel
Ellen Trub
Dipl.-Ing. Freya Höfig
Johann Baum
Felix Hölzenbecher B.A.
Henry Hofmann B.Eng.
Gunter Beyer
Claire Römer-Hornich
Christa Kabus
Friedl Hölzenbecher-Eberth
Annelore Täsche
Dipl.-Ing. Zeljko Stumpf B.A.
Else Heß MBA.
Luisa Barkholz
Gloria Bruder B.A.
Herr Francis Scholtz
Anselm Dowerg
Blanka Ladeck
