Student
Andrea Hamann
Dipl.-Ing. Ismet Käster B.Eng.
Ing. Utz Klemt B.A.
Jeannette Heuser
Ivana Mans-Bruder
Ottilie Hartung
Herr Frank Bolnbach
Boris Kruschwitz
Simone Harloff B.Eng.
Margareta Klingelhöfer
Roselinde Kusch-Röhrdanz
Sebastian Warmer
Jo Reising
Tabea Schomber
Hannchen Zahn
Ilja Kitzmann B.A.
Dorothea Etzler
Andree Budig B.Eng.
Susi Grein Groth-Steuer
Anne-Rose Sorgatz
Marcus Langern
Kazim Hörle
Hans-Henning Scheel
Yusuf Schacht
Siegbert Hartmann B.A.
Lambert Misicher-Dörschner
Kemal Butte-Tintzmann
Iris Kraushaar B.Sc.
Irmi Zobel
Wencke Riehl-Stoll
Dr. Elena Kade B.Sc.
Herr Gordon Meister
Sigrun Weinhold
Lutz Röhricht B.A.
Walentina Eckbauer
Elizabeth Stahr
Anny Zirme
Monica Drub-Davids
Christos Bolander
Roger Gunpf-Paffrath
Hans-Hinrich Bohlander
Hansgeorg Hettner
Dr. Erdogan Eigenwillig MBA.
Norbert Niemeier
Ludmila Patberg
Frau Margitta Staude
Blanka Ladeck
Ernst-Otto Heß-Hartmann
Hans-Ulrich Dussen van
Dr. Ingelore Winkler
Edeltrud Margraf
Dipl.-Ing. Gertraut Stolze
Eberhardt Warmer
Gereon Trapp
Gloria Mosemann
Alfred Weinhage-Stiffel
Ron Sorgatz-Eimer
Bastian Röhrdanz
Giuseppe Preiß
Janos Winkler B.A.
Ignaz Schottin
Urban Pieper
Catharina auch Schlauchin
Christos Sölzer
Stephanie Heintze
Miroslawa Jessel B.Sc.
Klaus Dieter Rädel
Hartwig Sorgatz B.Eng.
Willfried Mende
Frau Eleni Ziegert B.Sc.
Cynthia Linke
Rainer Gunpf B.Eng.
Yusuf Seifert
Carmen Weinhold
Joseph Austermühle
Stavros Hoffmann
Birgitta Schleich
Slawomir Ehlert-Reising
Dipl.-Ing. Janus Roht B.Sc.
Mirja Dehmel B.A.
Vinko Schönland B.Eng.
Dipl.-Ing. Randolf Martin B.A.
Herr Hermann-Josef Lehmann B.A.
Annelie Bloch
Pirmin Wulf B.Sc.
Pawel Schlosser
Vitali Walter-Krein
Claudius Rust-Mans
Hans Kraus
Dr. Leonie Köster
Paolo Weller-Heinrich
Gabi Gertz
Othmar Zänker
Isabell Eberth-Pechel
Frau Therese Henk B.A.
Univ.Prof. Brigitte Rogner
Univ.Prof. Tilmann Pieper B.Eng.
Beatrix Scheibe B.Sc.
Woldemar Jacob B.A.
Adam Krein-Karge
Mirja Schottin
Ilona Roskoth-Bolander
Marco Buchholz
Adam Gertz
Martina Keudel
Lucia Hermighausen
Dr. Gabriela Geißler
Giovanni Weller-Söding
Frau Nadeshda Ruppert
Marietta Geißler
Oxana Ortmann MBA.
Ing. Thekla Beyer B.Sc.
Dr. Janos Reising
Dipl.-Ing. Sibylle Kensy
Prof. Siegbert Scheuermann B.A.
Dr. Franco Stumpf B.Eng.
Lukas Ditschlerin
Valentin Klingelhöfer
Ing. Jo Caspar
Gaby Bähr
Raymond Ruppersberger
Prof. Mathias Kambs
Isabelle Förster-Beyer
Philipp Reising-Harloff
Miroslaw auch Schlauchin
Dietlinde Schönland
Kaspar Trub
Ada Heser B.Sc.
Sebastian Karge
Stephan Warmer B.Eng.
Arzu Kuhl
Margot Ullmann
Univ.Prof. Clara Heidrich B.Sc.
Adalbert Hande B.Eng.
Inken Juncken
Eleonora Gehringer
Dierk Dörr
Univ.Prof. Jeanette Girschner B.Sc.
Friedhold Löwer-Ebert
Friedrich-Karl Jopich B.Eng.
Attila Atzler
Prof. Heinz-Peter Thies
Herr Konstantin Neureuther B.A.
Sylvana Holzapfel
Julia Ruppersberger
Dr. Elmar Junk
Frank-Michael Klemt
Wally Bien-Kraushaar
Liesbeth Schlosser
Ing. Marcel Gute
Sieglinde Stahr
Vesna Bähr
Isidor Atzler
Ingetraud Fiebig
Univ.Prof. Undine Jungfer
Anika Trüb
Stephen Ackermann B.A.
Dorit Ebert
Vesna Wähner
Hans-Adolf Römer-Jäntsch
Gülsen Gutknecht
Herr Dursun Hentschel B.Eng.
Alexandre Caspar
Folkert Barth B.Sc.
Bertram Eigenwillig
Herr Recep Junk B.A.
Herrmann Holt-Lindner
Margrit Förster
Ruben Trubin
Gordana Hertrampf-Speer
Joana Preiß
Cora Scholtz
Britt Schwital-Seip
Gerd Wiek MBA.
Univ.Prof. Gustav Sölzer
Vincenzo Steinberg B.Sc.
Gertraude Pärtzelt MBA.
Geza Bloch-Mühle
Univ.Prof. Alexa Junitz B.Eng.
Svetlana Bohlander B.Sc.
Univ.Prof. Almut Ehlert B.Sc.
Jo Gnatz
Olga Krein
Prof. Liliana Klemm MBA.
Ing. Kornelius Geisel B.Sc.
Dipl.-Ing. Henriette Schmidtke MBA.
Wolf-Dieter Eigenwillig
Veronique Oestrovsky
Ing. Heide Winkler
Micha Röhricht B.A.
Gesa Jäntsch
Lorenz Sauer
Vladimir Patberg-Weller
Karl-Wilhelm Geisel
Nermin Kranz-Austermühle
Hans-Bernd Eimer-Pechel
Hans-Karl Christoph-Schleich
Prof. Urs Salz
Irmi Schacht
Kati Radisch
Arif Pergande-Wagenknecht
Karl-Hans Weinhold-Noack
Birger Becker
Univ.Prof. Catharina Neureuther B.Sc.
Dr. Senol Beier MBA.
Prof. Riza Niemeier
Gerd Becker
Prof. Marian Gerlach
Univ.Prof. Annekatrin Neureuther B.A.
Dr. Annaliese Lindner
Reimar Müller
Prof. Ferdinand Gertz B.Sc.
Dörthe Hiller
Myriam Schäfer-Tschentscher
Heimo Förster
Frau Evelyne Süßebier B.Eng.
Emma Briemer B.Eng.
Prof. Maria-Theresia Schaaf B.A.
Ljiljana Löwer B.A.
Prof. Hans-H. Zimmer
Annemarie Seidel
Gloria Lachmann MBA.
Dipl.-Ing. Hans-Günther Schuster
Hertha Caspar MBA.
Hans-Otto Trubin B.Eng.
Siegmar Mies-Baum
Dr. Annita Kallert
Helfried Seifert-Schönland
Nadin Radisch
Sebastian Vogt
Dorle Dörschner
Dipl.-Ing. Corina Fischer
Ing. Ivonne Nerger
Slawomir Ortmann
Aysel Löchel
Jens-Peter Graf-Schmidt
Siegrid Paffrath
Leonore Jäkel
Prof. Theodoros Paffrath B.A.
Dr. Margita Stiebitz
Faruk Döhn
Wolfhard Ziegert
Christina Geisel-Hesse
Frau Katarina Lindner
Sibille Liebelt
Kunigunda Reising
Catrin Ziegert-Meyer
Dipl.-Ing. Georgine Adolph B.Eng.
Frau Else Röhrdanz B.Sc.
Mark Sauer B.A.
Lisette Mühle
Jonathan Mohaupt
Steffen Schlosser
Dr. Karl-Hermann Gude
Edit Dowerg
Pawel auch Schlauchin
Dr. Franz-Peter Löffler
Wieland Hethur
Univ.Prof. Traude Gertz
Jaroslaw Pieper MBA.
Nikolai Stiebitz
Dipl.-Ing. Alf Graf
Lilo Scholz
Guiseppe Tschentscher
Prof. Axel Davids MBA.
Ina Christoph B.Sc.
Dipl.-Ing. Friedhilde Hauffer B.A.
Tony Wende
Ilja Hartung
Dr. Regine Gotthard
Dr. Frank Oderwald MBA.
Filippo Juncken
Thea Bauer
Hans Jörg Köhler
Muzaffer Sorgatz
Hanne-Lore Kraus
Silvester Scheibe
Martin Rose B.A.
Alina Hoffmann
Ehrenfried Seidel MBA.
Univ.Prof. Rafael Pruschke B.A.
Horst-Dieter Bähr
Susanna Weitzel
Jan Döring B.A.
Werner Kramer B.A.
Hendrik Herrmann
Halina Hethur
Edmund Gnatz-Rogner
Wiltrud Jäkel
Metin Hande
Sarina Dobes
Rosalia Pruschke
Conrad Paffrath
Dipl.-Ing. Julian Mühle
Janko Rose
Gislinde Müller
Ing. Gerlinde Junken
Zbigniew Boucsein
Edith Kostolzin
Anne-Rose Klapp-Jockel
Alla Weihmann
Marianne Killer
Wiebke Hölzenbecher
Alma Kaul
Bela Naser-Löwer
Kirsten Stey B.A.
Jasmina Heuser
Karl Heinz Kruschwitz-Reising
Fritz Nerger
Joana Wähner
Meta Wagenknecht
Heimo Hübel MBA.
Dipl.-Ing. Sieglinde Fischer B.Eng.
Thies Blümel
Siegbert Henschel
Bernhardine Ruppersberger
Mechtild Niemeier
Hans-Theo Vogt-Beckmann
Silvester Fischer
Ilija Hofmann
Sedat Matthäi
Miroslaw Holt
Herr Darko Gutknecht MBA.
Iris Mans
Dr. Bastian Christoph MBA.
Ilonka Kohl
Steve Scholl-Ladeck
Frau Annegrete Junk B.A.
Hildburg Tlustek
Henryk Henk
Karl-Heinz Buchholz
Judith Hering B.A.
Zoltan Preiß B.Eng.
Alan Stadelmann-Lindner
Prof. Stefania Briemer
Hannes Meyer
Dr. Egbert Kraus
Amanda Stadelmann-Mende
Univ.Prof. Ioannis Lübs B.Eng.
Annelie Kitzmann
Ljudmila Trapp
Romy Etzold
Ryszard Anders B.Sc.
Dipl.-Ing. Hans-Peter Hertrampf
Gerda Schleich
Valentine Tschentscher
Wigbert Ortmann
Ing. Tomas Fischer B.Sc.
Friedrich-Wilhelm Höfig-Johann
Ing. Nicolai Textor B.A.
Herr Karlheinz Mans
Marita Henk
Hans-Hermann Haering
Herr Andy Förster B.A.
Jozef Bohlander
Frau Myriam Walter B.Sc.
Frau Gertraude Wesack B.Eng.
Antonia Mohaupt
Ilija Lindner
Fernando Neuschäfer
Janusz Rädel B.Sc.
Dr. Evangelia Killer B.Sc.
Heide-Marie Zirme
Gisa Hendriks
Klaus-Dieter Koch II B.A.
Diana Haering
Dr. Gerard Dörr
Leonore Hettner-Staude
Ing. Pawel Rörricht
Swantje Heinz
Adalbert Reising
Wolfhard Kensy
Carlo Ackermann-Birnbaum
Irmtraut Hahn-Walter
Erol Röhrdanz
Ing. Klaus-Michael Bolzmann
Ing. Kunigunde Wieloch
Malte Herrmann-Zänker
Marlene Steckel B.A.
Ursel Eckbauer
Ing. Corinne Winkler
Univ.Prof. Halil Staude
Herta Keudel
Ing. Ralf Sölzer B.A.
Marit Mühle
Zofia Gutknecht
Ing. Gabriella Bähr
Ilja Krause
Stanislaus Geißler
Ludwina Mohaupt
Lukas Juncken MBA.
Herr Urban Christoph
Ing. Hedi Wulf
Birgid Graf
Sarah Beckmann
Prof. Natalia Junck B.Sc.
Mirja Wähner
Irmela Höfig B.Sc.
Valentina Weihmann-Zahn
Emanuel Holsten
Dipl.-Ing. Ana Rosemann
Rosl Trupp
Prof. Jörgen Gieß B.Eng.
Eckehard Steckel
Vlado Kramer B.Eng.
Emilie Bolander
Dierk Steinberg
Cosimo Löffler B.Sc.
Ditmar Niemeier
Dipl.-Ing. Werner Scholl B.Eng.
Ursel Juncken-Buchholz
Gabi Klapp
Herr Laurenz Häring
Ingried Hauffer-Lübs
Hiltraud Köster MBA.
Univ.Prof. Sonja Hande MBA.
Mark Lindau
Marianna Hofmann
Gotthard Scheuermann
Vassilios Trommler-Gieß
Krista Scholtz
Gerda Stey
Steven Käster B.Sc.
Nikola Riehl
Francis Rohleder
Dr. Marie-Louise Wohlgemut B.Sc.
Prof. Mathilde Segebahn MBA.
Mesut Gute
Mandy Huhn B.A.
Mandy Loos
Ing. Emmy Beer
Janin Haase
Ottomar Hermann
Zeynep Lehmann
Veli Rädel
Lilly Beckmann B.Sc.
Dipl.-Ing. Margarethe Holt MBA.
Senol Heintze-Gerlach
Wilhelmine Knappe
Dipl.-Ing. Götz Bloch
Simon Hahn
Rosalinde Trupp
Heino Schönland-Hermann
Maxim Wilms-Meister
Angelica Lindau-Heß
Magret Bähr
Hans-Willi Ladeck
Ulrich Schlosser
Dr. Lidija Metz
Malgorzata Rohleder
Dipl.-Ing. Slawomir Ebert MBA.
Frau Juliane Schulz B.Sc.
Anka Gieß
Margaretha Heintze-Henk
Kata Gierschner
Franz Schweitzer
Ioannis Junck
Univ.Prof. Aysel Lindau
Prof. Folker Trupp B.Sc.
Irene Rogner
Fabienne Conradi B.Eng.
Dr. Reinhart Hecker B.A.
Calogero Wagner
Frau Clarissa Rosenow B.A.
Emine Haase B.A.
Gino Heß
Dr. Karl-Ludwig Stoll MBA.
Elfi Harloff
Dipl.-Ing. Magrit Junck
Monique Rose-Schuchhardt
Dipl.-Ing. Mariechen Bonbach
Guenter Kohl-Nette
Dipl.-Ing. Cora Baum
Charles Heinz
Gülay Weinhold
Steffen Rust B.Eng.
Ryszard Lorch
Wolf Martin
Frau Ingelore Gertz
Rupert Kallert
Leonhard Adolph
Abdul Klapp-Hethur
Meral Eberhardt B.A.
Annemarie Schaaf B.Sc.
Nikolaos Ebert-Grein Groth
Hugo Ruppert-Kade
Sylvie Börner
Herr Ignatz Boucsein MBA.
Dipl.-Ing. Rouven Kallert MBA.
Ercan Oestrovsky B.Eng.
Milan Holzapfel
Ing. Chantal Schleich B.Eng.
Sigmund Kensy
Ing. Siegrid Birnbaum
Heinz-Josef Meister
Mark Röhricht
Dr. Jochem Trapp MBA.
Dr. Krista Jäkel B.A.
Lambert Röhricht-Johann
Mariola Heinrich
Elfi Fröhlich-Löchel
Dagmar Jungfer
Tanja Henk
Prof. Liliane Gehringer MBA.
Dipl.-Ing. Reimer Werner MBA.
Reingard Jungfer
Katalin Thanel-Kitzmann
Esther Eberth-Kensy
Karl-August Reichmann B.Sc.
Martine Conradi
Elise Hentschel
Sandor Ritter
Frau Trudi Wähner B.A.
Ulrich Plath-Weihmann
Clemens Kabus
Rosa Christoph-Sontag
Ing. Ramazan Kallert MBA.
Helmuth Wagner
Matthias Dowerg
Guenther Steinberg MBA.
Victor Seifert
Czeslaw Bohnbach B.Eng.
Hanni Wieloch
Jann Fröhlich
Univ.Prof. Nadine Gnatz
Univ.Prof. Trudel Gierschner MBA.
Univ.Prof. Luisa Scholz B.Eng.
Kemal Heinz
Frederike Stoll
Tomasz Niemeier
Marina Hofmann
Lissi Thanel MBA.
Reinald Zahn
Constanze Fechner-Dörr
Rabea Weiß MBA.
Olav Thies
Maya Lindner-Zimmer
Marlen Hesse
Brunhild Müller
Nadine Sauer
Louis Kostolzin
Dr. Eberhardt Adolph B.Eng.
Josefa Lange
Albert Butte
Trudel Bloch
Dipl.-Ing. Ilse Heß B.Sc.
Marta Eigenwillig-Hörle
Wilhelm Metz
Maria-Theresia Scholl
Roman Bloch
Prof. Elzbieta Fechner B.Sc.
Aline Atzler-Beckmann
Veli Junitz
Baldur Knappe
Ing. Carolin Hoffmann
Amanda Fechner-Weinhage
Michail Pechel
Thies Birnbaum B.A.
Maurizio Hermann
Gisbert Christoph
Marlies Beckmann
Tabea Birnbaum
Ing. Valeria Kruschwitz
Jessica Schottin
Gretel Hande
Ralph Jessel B.A.
Tillmann Mude
Eva Mosemann
Dr. Stefania Gnatz
Silvia Henschel
Kerstin Heidrich B.A.
Filippo Kostolzin
Hans-Albert Lindau
Nadeschda Barkholz
Willfried Werner
Antonina Christoph MBA.
Uli Zimmer
Dolores auch Schlauchin
Ayse Thies B.Eng.
Theodora Wilmsen
Gabi Neuschäfer-Oestrovsky
Dr. Siegfried Heinz B.Eng.
Marika Sager
Friedericke Killer B.Eng.
Cecilia Eigenwillig
Jeanette Speer
Lidwina Karz MBA.
Sandy Zimmer
Kenneth Kramer
Gebhard Krein
Irmtraud Ladeck
Willy Hornig
Ortrun Eckbauer-Kohl
Mehdi Kohl B.A.
Tassilo Gehringer
Sarina Dörr
Hansjürgen Säuberlich
Dr. Francisco Hänel
Bernd Binner-Hornich
Fatma Hein
Dr. Pius Säuberlich B.Sc.
Ansgar Seidel
Aleksej Kühnert B.A.
Josephine Rogge
Birthe Trommler
Elena Pruschke
Kerstin Niemeier
Bianka Dobes-Seifert
Alois Jungfer B.Eng.
Vinko Kraus-Schmiedt
Herr Dietrich Gotthard B.A.
Dr. Hedda Radisch
Reinhold Schönland
Heinz-Günther Mosemann
Tino Metz
Katherina Klapp
Dipl.-Ing. Arthur Ziegert
Lidija Löchel B.A.
Dr. Samuel Dobes B.Sc.
Roderich Scholtz
Prof. Hubert Heß
Carl-Heinz Trapp
Lars Walter
Eric Briemer
Sabine Gude
Dr. Annika Gude MBA.
Christa Säuberlich
Christopher Gertz-Kade
Jochen Naser
Käte Ditschlerin-Roht
Dorothee Koch II
Univ.Prof. Till Vogt MBA.
Prof. Gertrude Renner B.A.
Hans-Bernd Zorbach
Gitta Berger
Dr. Lisa Kusch
Dorothee Seidel
Justus Schleich-Drewes
Engelbert Sauer MBA.
Lidija Trapp
Engelbert Margraf-Trommler
Bernt Conradi
Univ.Prof. Harro Fröhlich
Reingard Geisel
Dr. Irmgard Plath B.A.
Miroslawa Jäkel-Bohnbach
Stanislav Stey
Gino Häring
Dipl.-Ing. Karl-Heinz Rörricht
Dipl.-Ing. Helma Heuser B.Sc.
Dipl.-Ing. Annemarie Trommler B.Sc.
Univ.Prof. Philippe Thies B.Eng.
Hiltrud Pergande
Ing. Mike Stolze
Miroslav Paffrath
Univ.Prof. Hans-Martin Scholz
Hans-Rainer Rogner
Mike Röhricht-Hauffer
Zeki Hartung
Augustin Wende
Lutz Pärtzelt
Henriette Pohl
Herr Jost Ruppersberger B.A.
Christl Wähner
Jochem Hermighausen
Mareile Tschentscher B.A.
Fernando Dobes
Anna-Lena Röhrdanz B.Sc.
Heidemarie Kreusel
Josefa Junk
H.-Dieter Gerlach
Angelique Kruschwitz
Karl-Otto Putz
Aleksej Fröhlich
Friedlinde Warmer
Hans-Bernd Knappe-Gröttner
Sinaida Ruppersberger
Lore Tröst
Claus Jähn B.Eng.
Insa Karz-Mangold
Geert Zänker
Hans Dieter Junk
Evangelos Hartmann B.A.
Ivanka Berger-Kraus
Dr. Annedore Wulff B.Sc.
Calogero Hoffmann B.Eng.
Gunhild Nohlmans
Ana Klapp MBA.
Harm Nette
Denis Weimer
Horst-Peter Faust
Karl-Heinrich Karz
Univ.Prof. Fedor Eimer
Katja Kruschwitz-Roskoth
Andree Wilmsen B.Eng.
Univ.Prof. Filiz Rudolph MBA.
Klothilde Zänker
Lena Ernst-Schenk
Birte Gröttner MBA.
Evelyne Beyer
Viktoria Trub-Budig
Elfi Herrmann MBA.
Dominik Huhn
Wera Hauffer B.A.
Jolanda Jopich
Niko Bähr B.Sc.
Anna-Lena Wohlgemut
Fatma Löffler B.Sc.
Reimer Hethur-Gutknecht
Sara Johann
Frau Hildegund Vogt B.A.
Dipl.-Ing. Denise Beier
Irmengard Eckbauer
Kai-Uwe Stiebitz-Hentschel
Herr Marian Schlosser B.A.
Sylvana Hornich MBA.
Univ.Prof. Marcella Trüb
Ignaz Warmer
Danielle Drubin
Cecilia Stoll
Erwin Etzold
Gerti Döring
Leander Dobes-Schlosser
Ing. Ernest Rogge B.A.
Alwina Neureuther
Raimund Hande
Adelinde Putz
Linda Kruschwitz
Inna Schulz
Ludwig Zimmer MBA.
Marek Hesse B.Eng.
Margitta Wulf-Nerger
Traugott Ruppert
Janus Weitzel-Koch
Mareike Lübs
Notburga Pölitz
Ing. Czeslaw Geisel
Helge Pohl
Margarete Linke
Prof. Friedbert Tschentscher B.Eng.
Dipl.-Ing. Nathalie Bender
Nadeschda Hande
Kai-Uwe Köhler
Adelbert Rörricht
Philip Heß MBA.
Univ.Prof. Anatoli Ritter
Wenke Patberg
Univ.Prof. Nurten Neuschäfer MBA.
Ing. Mattias Boucsein
Kristina Wernecke
Salih Köster
Friedrich-Karl Zorbach
Robin Flantz
Marie Henk B.Sc.
Solveig Scheibe
Orhan Wieloch
Gusti Henschel
Pero Scheuermann
Valeska Geisler B.Eng.
Nadja Häring B.Eng.
Katharina Süßebier B.A.
Dr. Theodor Sager
Patrizia Schüler
Luzie Renner B.A.
Hans-Martin Kohl
Elizabeth Vollbrecht
Hans-H. Pergande
Leopold Weller-Zobel
Edmund Siering
Frau Rosalinde Riehl
Dipl.-Ing. Jaroslav Henk
Dr. Baldur Johann B.Eng.
Susann Hartung-Schmiedecke
Karl-Heinrich Kraus B.A.
Cilli Siering
Dietrich Adolph MBA.
Kenneth Köhler-Kaul
Cosimo Zimmer
Univ.Prof. Anny Stolze
Georgia Trub
Prof. Necati Stey B.A.
Antoinette Schottin
Bernadette Sorgatz
Romy Baum
Cornelius Jacobi Jäckel
Ing. Margarete auch Schlauchin MBA.
Riza Römer
Egon Haase
Eva-Maria Geisler
Univ.Prof. Edit Ehlert B.Eng.
Friedhilde Wernecke
Gertrude Gumprich
Thea Dippel
Wiltrud Bolander
Liselotte Lindau
Ehrhard Pruschke
Urban Klemt
Prof. Volkmar Heuser
Kai-Uwe Rogner
Sedat Gude
Dr. Catharina Gerlach B.Eng.
Prof. Aziz Stumpf
Franco Loos B.Eng.
Prof. Annita Wulff
Mathias Matthäi
Gertrud Ditschlerin
Susanna Beyer B.Eng.
Annie Gnatz B.A.
Rose Henschel
Ivo Börner
Ing. Helmuth Bachmann B.Sc.
Kirsten Heydrich
Wolf-Dieter Schmiedt
Jasmina Rädel
Irmtrud Bolzmann
Cengiz Dehmel
Berthold Austermühle MBA.
Edelbert Bruder
Heinz-Walter Juncken
Ing. Muharrem Paffrath B.Sc.
Ludwig Reinhardt
Helge Ladeck MBA.
Gerlind Trüb-Losekann
Herr Muzaffer Klotz B.Sc.
Cathleen Mies MBA.
Selim Pieper
Frederik Bohlander
Meral Liebelt
Prof. Niels Barkholz
Dr. Myriam Pieper B.Eng.
Gerhart Staude
Dr. Rita Kallert
Ute Möchlichen
Myriam Hänel
Gotthard Löwer
Dipl.-Ing. Enver Drubin
Univ.Prof. Hans-Rudolf Wohlgemut
Daniel Stiebitz
Frau Annette Fiebig B.Eng.
Otto Butte
Prof. Alma Gumprich
Dipl.-Ing. Stefano Ditschlerin
Univ.Prof. Markus Finke B.Sc.
Geza Hertrampf B.A.
Carl-Heinz Kraus
Sergei Ritter
Ellen Trub
Frida Stolze
Jann Schenk
Univ.Prof. Kathi Noack B.Eng.
Klaus-Dieter Wende
Siegrun Christoph
Marion Kuhl
Felizitas Becker-Mosemann
Herr David Freudenberger B.Eng.
Herr Knud Pölitz B.A.
Ing. Friedhold Hartung B.Sc.
Rose-Marie Jäkel
Antonios Klemm B.Sc.
Dipl.-Ing. Serge Nerger
Gusti Schleich
Brita Roht MBA.
Joachim Süßebier
Sinaida Heinz-Gnatz
Klaus-Peter Zorbach
Niko Geißler-Wirth
Gerwin Bonbach-Fliegner
Dr. Tim Hornig B.Sc.
Zeynep Keudel
Ralf-Dieter Sauer-Hermighausen
Brigitte Knappe
Olga Albers B.Sc.
Dr. Bernfried Bärer
Magarete Schomber
Ing. Hanne-Lore Ackermann
Frau Aleksandra Bähr B.Eng.
Bernhard Fischer
Edda Junck-Eimer
Thorben Ruppert
Prof. Heinz-Willi Lindau MBA.
Helfried Langern
Dipl.-Ing. Christel Beer B.Eng.
Aleksander Dowerg
Ruth Mangold B.Sc.
Nada Butte
Sina Patberg
Olivia Nerger B.Eng.
Jörg-Peter Klemt MBA.
Frau Trudel Hövel
Heimo Ziegert
Dr. Miguel Jungfer
Tomasz Preiß
Nico Ehlert-Ackermann
Ing. Hanny Schlosser MBA.
Friedo Meister-Klemm
Albrecht Caspar
Kai-Uwe Schäfer
Cornelia Römer
Prof. Felicitas Dörschner
Heimo Karge-Freudenberger
Cetin Heidrich
Käthe Briemer MBA.
Julie Mentzel
Gabor Dobes
Sibilla Mitschke-Losekann
Jann Geisler
Eileen Hartung
Hasso Renner
Rafael Blümel
Ing. Bernfried Pruschke
Hanne-Lore Losekann B.Sc.
Univ.Prof. Inga Hermighausen B.Eng.
Nadia Wirth
Madeleine Thanel MBA.
Geert Rust
Evi Heuser
Rosmarie Ullmann
Marko Trupp
Sofia Mielcarek B.A.
Dr. Sara Niemeier
Urszula Trapp
Ronald Rädel
Univ.Prof. Kreszenz Wulf B.A.
Kay-Uwe Barkholz
Gertrude Pieper
Univ.Prof. Jane Mans B.Eng.
Samir Wähner-Butte
Frau Valentine Benthin
Rouven Ziegert
Roswita Henck
Torben Säuberlich-Linke
Prof. Svea Putz MBA.
Emilie Schmiedecke
Heidelore Stolze
Diether Vogt B.A.
Klaudia Vollbrecht B.A.
Univ.Prof. Giovanna Siering MBA.
Birgid Nohlmans
Isidor Zobel-Ritter
Elsa Preiß
Angelika Roskoth
Jasmina Rudolph
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Tamara Bender MBA.
Fatih Zirme
