Student
Klothilde Blümel B.A.
Manuel Hering-Jäntsch
Univ.Prof. Claus-Dieter Meister B.Eng.
Mahmut Hänel
Georgios Knappe-Mälzer
Ing. Aziz Hein
Geza Weller
Guiseppe Kranz
Herr Andrej Rose
Gerald Hendriks
Michaela Hecker B.Eng.
Hanna Knappe
Rosita Möchlichen-Stumpf
Prof. Karen Henk MBA.
Robert Weimer
Reinhart Becker
Janusz Beckmann
Edda Stahr
Alicja Stiffel
Iris Ullrich
Ferdinand Junitz B.Eng.
Julia Heinrich
Daniel Stiebitz
Elisabeth Wieloch-Boucsein
Augustin Renner
Dipl.-Ing. Tamara Seifert B.A.
Rosita Wesack B.Sc.
Lothar Fischer
Annelie Kitzmann
Prof. Gabriella Holt B.Eng.
Hassan Sager
Friedl Hölzenbecher-Eberth
Thorsten Gude
Dipl.-Ing. Alexandros Weinhold
Mariusz Stadelmann-Jähn
Tomasz Niemeier
Danuta Lachmann-Dussen van
Dr. Edit Scheibe B.A.
Univ.Prof. Alexei Mülichen MBA.
Siegrid Hande
Erica Schlosser
Katerina Barkholz
Frau Jane Caspar
Maya Haering-Becker
Dr. Bernfried Schomber
Friedlinde Warmer
Aysel Bruder MBA.
Herr Rigo Krebs B.Eng.
Sybilla Herrmann-Pärtzelt
Gisa Hornig-Geißler
Ing. Helen Gumprich B.Sc.
Univ.Prof. Erna Köhler B.A.
Svea Krebs-Scheibe
Franz Ortmann B.Eng.
Bernard Losekann
Uli Schönland-Trupp
Albert Hartmann-Lachmann
Hans-Herbert Flantz
Ricardo Hesse
Monja Heidrich
Dr. Helma Kohl B.A.
Magarete Krause
Hellmut Nerger
Harold Scheibe
Ivana Eimer
Ing. Wilhelmine Adler B.Sc.
Ing. Carin Zorbach MBA.
Hassan Kroker-Girschner
Philomena Salz
Valerij Schulz B.A.
Ing. Stanislaw Weihmann B.A.
Isa Rose
Univ.Prof. Erhard Heuser MBA.
Dr. Francisco Hänel
Heinz-Josef Jähn MBA.
Leonardo Lehmann
Mirko Eckbauer
Kristian Ritter
Heimo Knappe
Ilonka Buchholz-Köhler
Univ.Prof. Amalia Köhler
Inna Winkler
Jonas Hendriks
Annelie Schomber
Ing. Karl-Dieter Stroh
Gerold Jacob
Freia Hofmann
Sergej Dippel
Univ.Prof. Traudl Mentzel B.Eng.
Emmerich Wilmsen
Dipl.-Ing. Patric Fröhlich
Nicolaus Seifert
Martha auch Schlauchin
Albin Budig
Ing. Siegrid Birnbaum
Meinhard Schuster
Janusz Rädel B.Sc.
Heinrich Kramer
Jaroslaw Pieper MBA.
Dipl.-Ing. Richard Gröttner B.A.
Anatol Gude MBA.
Univ.Prof. Sergio Kreusel MBA.
Kristina Wernecke
Adele Boucsein B.Sc.
Ben Zahn
Stephanie Kranz B.A.
Utz Christoph-Henck
Tina Radisch
Elif Röhricht
Urban Peukert
Ing. Hans Peter Schenk B.A.
Dorothee Renner
Giesela Wagner
Mariola Gnatz
Heinrich Putz B.Sc.
Gunnar Weimer
Margarete Kabus
Frau Annita Beckmann
Silva Plath
Herr Thorsten Hartmann B.Eng.
Carmine Schacht
Dipl.-Ing. Erwin Hamann
Jörg Haase-Röhricht
Felix Müller
Ignaz Warmer
Romy Etzold
Susann Hartung-Schmiedecke
Abdul Ullmann
Conrad Lindau
Elisabeth Roskoth
Xenia Margraf
Luka Weimer-Beyer
Roselinde Zobel
Friedemann Klingelhöfer
Ing. Galina Schenk
Stephanie Dörr-Bärer
Kunigunda Reising
Dipl.-Ing. Ilse Heß B.Sc.
Sibille Liebelt
Dorothee Blümel
Dipl.-Ing. Nathalie Radisch
Herr Gotthard Wilms
Wilma Pärtzelt-Huhn
Erhard Otto
Herwig Krebs
Camilla Kühnert MBA.
Ing. Gotthard Reuter B.A.
Gerhart Schenk MBA.
Meryem Hänel-Jungfer
Patricia Trubin
Aleksander Scheuermann
Götz Hofmann B.A.
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Prof. Wolfgang Mohaupt
Dr. Damian Scheel
Angelica Klemt
Regina Ring
Joachim Rogge
Claudio Freudenberger
Hildegunde Geißler-Klemm
Univ.Prof. Karin Beier
Oxana Ortmann MBA.
Univ.Prof. Marita Pohl
Dr. Daniela Linke MBA.
Silja Kraus-Schuster
Hans-Karl Bauer B.Eng.
Erdal Tintzmann
Harro Keudel
Diedrich Lachmann-Oestrovsky
Frau Margrit Beckmann
Herr Gundolf Barth
Anastasios Kuhl
Dr. Filippo Eberhardt B.Eng.
Oda Barkholz
Janus Jessel-Hermann
Katharina Käster MBA.
Dr. Ingelore Winkler
Anni Dietz-Blümel
Stavros Zirme
Mariusz Wilmsen B.A.
Ingetraud Fiebig
Wolfhard Rosemann B.Eng.
Jiri Förster
Ing. Helene Jähn B.Eng.
Sylvie Neuschäfer
Evi Wilmsen MBA.
Mattias Kensy
Lotti Mosemann
Prof. Bernward Wulf B.Eng.
Jaroslav Benthin
Gernot Dörr
Dr. Wolf-Rüdiger Trüb
Thorsten Adler B.Sc.
Dan Schönland MBA.
Gülsen Gutknecht
Ernestine Stumpf
Reimar Rädel
Christos Beier
Frau Clarissa Rosenow B.A.
Ljubica Wohlgemut-Schmidt
Guntram Warmer
Herr Julian Gotthard B.Eng.
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Dr. Ian Grein Groth
Univ.Prof. Gino Wagner B.Sc.
Univ.Prof. Paul-Heinz Heinz
Prof. Romy Bohnbach
Auguste Lorch
Prof. Rabea Hettner B.Eng.
Adem Schleich
Senta Renner
Hans-Rudolf Huhn
Dr. Kristine Tschentscher
Piotr auch Schlauchin-Reuter
Renate Mies
Gesine Graf
Jörn Hörle B.Sc.
Heinz-Joachim Spieß
George Paffrath MBA.
Ingrid Eigenwillig
Prof. Tina Ullrich
Hugo Junken
Irmgard Liebelt
Danilo Ehlert
Anna Lübs
Kornelius Sontag
Victor Butte
Friedericke Ring MBA.
Christiane Wirth B.Eng.
Christopher Fröhlich
Brita Kaul
Frau Mira Klemm
Univ.Prof. Pius Kühnert
Meral Bolnbach
Gina Pieper
Carl-Heinz Trapp
Nadia Rosenow
Aloys Trupp
Jasmina Rudolph
Hilmar Hörle
Dorle Zirme
Erna Kensy-Bähr
Esther Hoffmann-Hermighausen
Antonie Fischer-Margraf
Diethard Gude
Anna-Maria Holzapfel
Josef Berger
Edda Jungfer
Prof. Orhan Ladeck MBA.
Engin Johann-Weihmann
Beata Lübs
Prof. Urs Täsche
Kaspar Trub
Jens Drubin
Senol Harloff-Lindau
Vadim Bender B.A.
Brita Roht MBA.
Carlo Pohl
Univ.Prof. Natalie Noack MBA.
Christof Ditschlerin
Annaliese Hettner B.A.
Dr. Mohammed Höfig
Carola Köhler MBA.
Gunnar Ernst
Sibel Weller
Harro Söding
Arnulf Säuberlich
Dr. Friedhilde Adler MBA.
Willibald Seidel
Leo Gunpf-Bolzmann
Ottmar Beier
Aleksander Wagner-Barth
Prof. Heinz-Peter Thies
Kreszentia Bohlander
Abram Vogt MBA.
Beatrix Möchlichen
Dipl.-Ing. Geert Holsten B.Sc.
Prof. Meik Blümel B.Sc.
Agathe Trommler
Kläre Beier B.A.
Günter Löwer
Aloys Barkholz
Nils Hermighausen
Thorsten Bolzmann-Hesse
Ing. Karin Werner
Bernward Losekann MBA.
Raymond Drub B.Sc.
Francesco Nerger
Hans-Theo Vogt-Beckmann
Frau Annette Fiebig B.Eng.
Ing. Mattias Boucsein
Stavros Vollbrecht-Geißler
Bertha Barkholz
Frau Hella Stumpf
Maria-Theresia Tschentscher
Milos Knappe-Scholz
Otfried Ortmann
Prof. Götz Finke
Ingried Bähr
Univ.Prof. Jeannette Schleich B.Sc.
Herr Hansjoachim Geisler
Reni auch Schlauchin
Kaspar Aumann
Carmen Textor-Krebs
Heinz-Gerd Söding
Henriette Sager
Univ.Prof. Polina Schmidt B.Eng.
Univ.Prof. Beatrix Roskoth
Wiltrud Geißler
Prof. Vesna Scholz
Prof. Sandra Klapp
Univ.Prof. Emine Vogt B.Sc.
Sandy Fechner
Irmengard Eckbauer
Jonas Albers
Rosita Köster B.A.
Maurice Beckmann
Dipl.-Ing. Slobodan Sölzer
Dina Rose
Dr. Philip Siering B.A.
Irmengard Röhrdanz
Inken Juncken
Josip Stey
Miroslaw Gieß
Anneliese Trub
Bernhard Fischer
Tassilo Gehringer
Reinhold Bloch
Paula Heinz
Serge Kade
Hermann Josef Drubin
Olav Margraf
Pirmin Boucsein MBA.
Ing. Alma Rudolph B.Sc.
Folker Otto MBA.
Siegmund Hövel
Wiebke Caspar B.A.
Dr. Annita Kallert
Antonietta Kostolzin
Alina Finke
Augusta Rosemann
Ing. Rosalinde Käster MBA.
Lydia Losekann MBA.
Danica Atzler
Ing. Torben Hande MBA.
Traudel Loos
Herr Sigismund Gieß MBA.
Hans-Gerd Jockel
Czeslaw Bohnbach B.Eng.
Catrin Förster B.A.
Univ.Prof. Gislinde Rohleder
Karina Tschentscher-Butte
Paul-Gerhard Hein
Dipl.-Ing. Laurenz Gerlach MBA.
Waltraud Trapp-Pechel
Svetlana Bohlander B.Sc.
Dr. Edelgard Sauer B.Sc.
Prof. Juan Hamann
Ljiljana Kostolzin
Dr. Diedrich Krebs B.A.
Catrin Ziegert-Meyer
Jiri Bärer
Prof. Marie Plath
Jonathan Mohaupt
Annett Sorgatz B.Eng.
Ing. Wencke Speer
Bernt Jessel
Melitta Drewes
Sofie Fiebig-Hermighausen
Florentine Sölzer-Siering
Helmtrud Neureuther
Lili Heydrich-Beyer
Maik Schottin
Johan Heydrich
Hans-J. Wohlgemut
Dr. Samuel Dobes B.Sc.
Univ.Prof. Diethard Klotz
Hans-J. Trapp-Koch II
Faruk Döhn
Ignaz Beer-Eckbauer
Ing. Jonas Schaaf
Anke Bähr
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Zlatko Ritter B.Eng.
Erkan Beier
James Kostolzin-Staude
Kriemhild Junk MBA.
Diether Blümel
Notburga Pölitz
Sami Mans-Ullrich
Brigitte Geisler
Florentine Bärer B.A.
Krista Hofmann
Lorenz Sauer
Stefanie Benthin
Dr. Annekatrin Striebitz
Aneta Kambs
Prof. Claudia Mude
Bernhardine Bender MBA.
Cilli Heintze
Dipl.-Ing. Eckhard Kallert B.Sc.
Dr. Otmar Linke MBA.
Fredi Meyer-Weiß
Marek Walter MBA.
Gabriella Schuster
Marlene Heuser-Trub
Curt Mühle
Reinhart Winkler B.Eng.
Kunigunda Heser
Univ.Prof. Hinrich Eberth
Wieslaw Freudenberger
Melissa Dietz
Damaris Eigenwillig
Hans-Gerhard Döhn
Karl-Ernst Reuter
Dusan Ruppersberger B.Sc.
Enrico Reising MBA.
Hatice Killer-Löwer
Inna Ditschlerin
Stanislav Löffler MBA.
Almuth Pieper
Theodora Wilmsen
Laurenz Ritter
Klaus-Werner Koch II B.Sc.
Herr Ruben Schüler B.Eng.
Anka Förster
Bettina Schlosser
Czeslaw Jacobi Jäckel-Zahn
Herr Hans Peter Jacob
Gilda Tintzmann
Ivana Wilmsen-Gumprich
Denis Etzold
Dariusz Reising-Ernst
Uwe Dussen van
Filippo Hermann
Alwin Schaaf
Willfried Mende
Ing. Romuald Roht B.Sc.
Hertha Gieß
Ing. Marleen Hölzenbecher MBA.
Dipl.-Ing. Milos Klemt
Siegried Otto
Margrit Schenk B.A.
Slawomir Ortmann
Julia Hecker-Krebs
Univ.Prof. Reinhilde Cichorius B.A.
Walter Weller
Fatih Zirme
Henriette Ladeck
Univ.Prof. Markus Finke B.Sc.
Univ.Prof. Annegrete Holt
Hans Josef Lachmann
Kreszentia Scheibe
Ingelore Heinz
Dörte Dobes-Bonbach
Annamaria Hänel-Zimmer
Dipl.-Ing. Zeljko Stumpf B.A.
Vanessa Hornig
Guenther Schmidt
Kunigunda Fischer
Mike Hofmann
Damaris Zirme
Stefani Caspar
Wilhelm Tlustek
Wilfried Börner
Leon Linke
Ilja Hölzenbecher-van der Dussen
Adelgunde Thanel
Karl Heinz Stiebitz
Monika Hornich MBA.
Helmtrud Börner B.A.
Herr Jost Ruppersberger B.A.
Dipl.-Ing. Tim Jäntsch B.Eng.
Dipl.-Ing. Adele Huhn MBA.
Emilie Scholz
Käthi Naser-Tlustek
Nadeshda Hänel-Kaul
Edeltraut Klemt
Serge Kraus B.Eng.
Ellen Haase
Ibrahim Ditschlerin
Anny Wähner
Hans-Martin Drewes
Anneli Butte
Frau Antonina Kitzmann
Dipl.-Ing. Marc Stroh
Karsten Schwital
Herr Wolfhard Hövel
Natascha Schinke B.Eng.
Klaus-D. Zänker-Hein
Henriette Bruder
Monica Drub-Davids
Ilija Rosenow
Anto Niemeier
Emilie Schmiedecke
Jann Geisler
Ing. Zlatko Gerlach
Friedhilde Wernecke
Andreas Gunpf
Gisela Paffrath
Rüdiger Hellwig B.A.
Maximilian Hellwig
Gerta Hartmann
Johann Rust
Olga Stahr
Dipl.-Ing. Gülten Hoffmann B.Eng.
Ing. Svenja Aumann
Veronique Hartung-Haering
Siegbert Seifert
Marie-Theres Trupp
Sylvester Zirme
Prof. Anica Haering B.A.
Gertraud Jüttner
Mesut Trommler
Kai-Uwe Schäfer
Waldemar Hendriks
Carsten Junken
Dr. Meral Thies B.Sc.
Dolores Atzler B.A.
August Weihmann
Metin Klemt
Fridolin Paffrath-Geisler
Svetlana Bonbach B.A.
Marliese Drubin
Roger Gunpf-Paffrath
Antonios Schönland
Annie Schlosser
Yvette Margraf-Wernecke
Inken Gorlitz
Fabian Lübs
Eva-Marie Berger MBA.
Prof. Trude Schäfer MBA.
Adelinde Zimmer
Karla Wirth
Karl-Josef Thanel
Tino Paffrath B.Eng.
Lea Heuser
Prof. Tilmann Franke B.Sc.
Cora Stumpf-Gunpf
Liesbeth Schlosser
Irina Birnbaum
Tony Henk MBA.
Laura Wilms
Elena Gotthard
André Kroker
Astrid Dowerg-Stroh
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Jann Schenk
Rosa-Maria Steckel
Ing. Romy Gieß
Marina Radisch
Dr. Gudula Scheuermann
Ing. Eva Kitzmann B.A.
Irmengard Sauer
Dipl.-Ing. Tina Wagenknecht MBA.
Anna-Lena Röhrdanz B.Sc.
Ing. Siegmund Hertrampf MBA.
Adalbert Reising
Laura Mühle
Renate Austermühle B.Eng.
Melanie Jungfer-Preiß
Univ.Prof. Dorle Fröhlich
Irmgard Hövel
Prof. Tillmann Holt B.A.
Sandro Schmiedt
Ing. Romuald Kreusel B.A.
Hildburg Tlustek
Dr. Gunther Jähn B.A.
Evi Oestrovsky
Univ.Prof. Hans-Albert Ruppert
Ilhan Budig
Ing. Bianca Paffrath
George Weimer
Janko Margraf MBA.
Ingetraud Austermühle-Dowerg
Prof. Marija Seidel
Theodoros Grein Groth
Univ.Prof. Nadeschda Staude
Tino Niemeier
Frau Inken Zimmer B.Eng.
Hans-J. Atzler
Deborah Beier
Alessandro Krause
Jann Schleich
Herr Frank Bolnbach
Jürgen Herrmann-Koch
Hansgeorg Hettner
Frau Aleksandra Dobes B.A.
Calogero Staude B.A.
Gebhard Krein
Ing. Damaris Bonbach
Jost Lindau
Dr. Dagmar Hörle B.Sc.
Heidrun Lindner-Bolnbach
Jurij Zimmer
Henny Eberhardt
Liane Hermann MBA.
Dipl.-Ing. Stefano Wernecke B.A.
Ing. Anna-Maria Stey
Manuela Sauer
Ing. Paul-Heinz Geißler
Philip Mangold
Carmela Lindau
Ing. Jessica Mende
Yusuf Steinberg B.A.
Tilman Killer B.A.
Hildegunde Wende-Spieß
Thea Bauer
Ing. Mike Stolze
Alicja Gieß
Siegmar Kramer
Eckehard Nette
Lilli Meyer-Reuter
Annamaria Baum MBA.
Elisa Mälzer
Gertraude Pärtzelt MBA.
Justus Lorch
Constantin Jacob B.Sc.
Ing. Adalbert Heser
Hulda Junk
Alexei Meister
Falk Ritter
Karl-Wilhelm Anders-Gude
Brian Blümel B.Eng.
Mareile Löwer
Aribert Putz
Birgitta Beckmann-Thanel
Belinda Huhn
Univ.Prof. Mira Riehl
Karla Freudenberger MBA.
Dr. Aziz Adolph MBA.
Desiree Wulf-Jüttner
Kay-Uwe Finke
Prof. Gertrude Renner B.A.
Kathleen Hahn B.A.
Heinz-Georg Hornich
Karla Gunpf
Gundel Bien MBA.
Regina Becker
Dietlinde Schönland
Alena Neureuther
Prof. Kathy Warmer MBA.
Adele Stroh
Miroslav Krein
Erhardt Loos
Herr Mike Schuchhardt B.A.
Pierre Ortmann
Heinrich Döring
Gerhild Löffler
Luisa Barkholz
Benita Schleich
Gerta Stey-Klemm
Philip Heß MBA.
Elzbieta Hartung
Gregor Buchholz
Gesa Keudel-Bauer
Theres Beer
Prof. Achim Rose
Univ.Prof. Johan Lange
Dipl.-Ing. Igor Henck B.A.
Louis Kostolzin
Lioba Söding
Dominik Jungfer
Ing. Gordana Bruder MBA.
Waltrud Gumprich
Gregor Dippel
Dipl.-Ing. Sergio Hövel B.Eng.
Denny Salz
Univ.Prof. Nadeshda Oestrovsky
Vincenzo Steinberg B.Sc.
Prof. Augustin Stey B.A.
Augustin Carsten
Dr. Marie-Louise Wohlgemut B.Sc.
Ben Schomber
Sigurd Lange-Seifert
Dr. Anatoli Bonbach
Katherina Ruppert
Adelinde Ackermann-Knappe
Julie Schweitzer
Hansjürgen Eberth
Jörg Speer
Erich Putz
Claus-Peter Flantz
Magrit Lange
Univ.Prof. Almut Ehlert B.Sc.
Fatma Möchlichen
Thoralf Geisel
Olaf Juncken
Univ.Prof. Waldtraut Riehl
Swantje Heinz
Dorota Mude
Patrizia Bender-Reuter
Wally Kreusel
Walli Baum-Kohl
Dipl.-Ing. Iris Stumpf MBA.
Janine Hendriks B.A.
Tibor Schleich
Ludwina Haase
Corinna Täsche B.A.
Bayram Kostolzin-Rosenow
Univ.Prof. Heinz-Werner Renner B.A.
Dorota Sorgatz B.A.
Aribert Mitschke
Johanne Kusch
Ryszard Lorch
Magda Berger B.A.
Bertha Köhler
Univ.Prof. Almuth Cichorius B.Eng.
Zdravko Jacob
Prof. Rosa Kruschwitz B.Sc.
Herr Valerij Heydrich
Sergei Ritter
Willibald Gude
Stephen Ackermann B.A.
Wanda Stoll B.A.
Dipl.-Ing. Josip Mies
Rebecca Börner
Heinz-Peter Biggen
Wilma Drub B.Eng.
Henni Keudel B.Sc.
Ing. Jo Caspar
Marijan Huhn
Meta Wagenknecht
Elsa Beer
Dipl.-Ing. Karl-Heinz Rörricht
Herr Emin Trubin
Käthi Löffler
Tino Wagenknecht B.Eng.
Ing. Giorgio Warmer B.Eng.
Jelena Meyer MBA.
Prof. Heinz-Joachim Seidel
Frau Marie-Therese Mielcarek
Frau Anna Mangold B.A.
Ing. Klaus-Dieter Karge MBA.
Herr Guido Knappe B.Eng.
Carolin Stumpf B.Eng.
Gordana Hertrampf-Speer
Pedro Bärer
Karl-Peter Grein Groth B.Eng.
Ing. Rocco Reuter
Fatma Seidel B.A.
Bernhardine Ruppersberger
Riza Heydrich
Käthi Lübs
Evangelia Meyer-Mielcarek
Univ.Prof. Alexa Junitz B.Eng.
Klaus-D. Hövel
Hans-Georg Scholz
Edith Hettner
Hendrik Herrmann
Gerwin Bonbach-Fliegner
Phillip Salz B.Sc.
Hugo Ruppert-Kade
Egbert Gertz
Dr. Lilly Conradi B.Sc.
Patrik Ditschlerin
Dipl.-Ing. Stefano Ditschlerin
Caterina Ullrich
Dr. Janos Reising
Jutta Franke-Rosenow
Herr Janus Matthäi B.Sc.
Catharina auch Schlauchin
Gundi Hiller
Nick Jockel B.A.
Nikolai Mohaupt
Brunhild Müller
Till Karz
Ute Hartmann
Adriane Heinz-Metz
Flora Mühle B.Sc.
Claire Römer-Hornich
Monica Blümel
Dipl.-Ing. Klaus Geisler
Knut Gorlitz
Carsten Jüttner B.Eng.
Christina Schlosser
Danilo Hartmann
Dörthe Rädel
Mary Reuter B.Sc.
Hans-Martin Kambs
Hans Dieter Stahr
Stella Barth
Niko Bähr B.Sc.
Helmar Barth
Hartwig Zirme
Lorenz Schüler B.A.
Daniela Löwer
Monika Krein B.Eng.
Undine Scheibe-Stey
Ing. Nikolai Niemeier B.A.
Silva Hiller MBA.
Anton Müller
Ing. Emmy Beer
Irena Wilmsen
Stephen Lübs
Heinz-Dieter Caspar-Hande
Oxana Schmidtke
Marcella Ehlert
Herr Hermann-Josef Hauffer
Helena Hettner
Hans-Uwe Sager
Edelgard Gnatz-Dobes
Ing. Igor Barth
Heinz-Wilhelm Kuhl
Andre Schönland B.Sc.
Claus-Dieter Krause
Ing. Konstanze Schmidtke MBA.
Rouven Bloch B.A.
Polina Ladeck B.A.
Eduard Kühnert
Lisette Mühle
Julia Pärtzelt
Michael Scholz
Prof. Luzie Killer B.Sc.
Valeska Blümel B.A.
Annelene Adolph B.A.
Ewa Bolnbach-Textor
Hedi Gumprich
Joachim Kramer
Erol Kreusel B.Sc.
Hedda Haase
Marianna Segebahn-Wernecke
Woldemar Heydrich B.Eng.
Dipl.-Ing. Lilly Boucsein B.Sc.
Karl-Heinrich Jacob
Helma Häring
Cemal Budig-Holt
Heike Karge
Diether Vogt B.A.
Helfried Langern
Karolin Mitschke
Gina Stolze
Frauke Söding
Virginia Kaul
Enrico Hornig
Ilija Lindner
Niko Geißler-Wirth
Leila Hethur
Ansgar Seidel
Veronique Löwer
Elke Scholl MBA.
Bayram Cichorius-Zobel
Ehrentraud Hänel-Dussen van
Nikolaos Ebert-Grein Groth
Gitta Berger
Margaretha Heintze-Henk
Urszula Killer B.A.
Melissa Stey
Romuald Hartmann
Ilse Henschel
Dipl.-Ing. Wolfram Johann B.Eng.
Marion Weihmann
Roberto Jockel
Jessica Schottin
Dorit Köster
Monique Stroh
Cordula Wohlgemut
Wieland Hethur
Univ.Prof. Albin Bärer
Dr. Lidija Weihmann
Liesa Gröttner
Eitel Hethur
Herwig Jäntsch B.Sc.
Ladislaus Hande
Frau Hildegunde Koch II
Gunhild Jessel
Kristin Kaul B.Sc.
Nicole Hoffmann
Ludger Stiffel
Kläre Mohaupt-Salz
Leif Wulff
Ing. Carolin Anders
Stefanie Pruschke
Murat Linke
Suse Pergande-Gröttner
Sylvester Neuschäfer-Schacht
Dr. Rolf Walter
Robin Flantz
Univ.Prof. Fatima Hiller B.A.
Frithjof van der Dussen
Edit Martin B.Sc.
Adam Gertz
Herr Klaus Peter Krause B.A.
Luciano Klotz
Herr Muzaffer Schäfer
Theresa Schüler
Sylvia Schenk
Rosita Wiek
Dr. Sigfried Seip B.Eng.
Piotr Speer-Seifert
Erol Eimer
Ing. Ivo Weinhold
Ing. Valentina Börner
Lena Ernst-Schenk
Kenan Pieper
Oscar Reinhardt B.A.
Zita Wieloch-Scholtz
Heinz-Werner Buchholz
Ehrentraud Biggen-Kreusel
Priska Rädel
Dr. Lars Klemt
Gudrun Heß B.Sc.
Xenia Hermann
Dr. Fredy Niemeier
Inken Gute B.Eng.
Doreen Striebitz
Cäcilie Patberg
Bernard Steinberg
Mohammed Geißler
Ottokar Berger
Gabor Pechel-Junken
Horst Hauffer B.Eng.
Frau Magarete Mans B.Sc.
Frau Wendelin Heinrich B.Eng.
Aleksej Fröhlich
Edeltrud Kambs
Konrad Henschel
Mattias Wieloch
Herr Bartholomäus Adolph MBA.
Brigitta Eimer
Mehdi Neureuther
Frau Karolina Hörle
Frederik Bohlander
Dipl.-Ing. Hermann-Josef Jüttner
Rüdiger Buchholz-Kuhl
Wulf Eberhardt
Clara Gehringer
Oxana Henschel
Prof. Sylvana Trapp
Prof. Ingbert Nette
Nikolas Ebert
Ing. Agnes Zobel
Ing. Hans-Joachim Ullrich
Dipl.-Ing. Hans-Karl Dussen van B.A.
Kriemhild Jähn
Wilhelm Metz
Fadime Reinhardt MBA.
Josip Kuhl
Janett Patberg
Dörthe Roht
Konstanze Mohaupt
Dipl.-Ing. Mathias Metz B.A.
Tomas Tlustek
Ing. Wladimir Karz MBA.
Melanie Hauffer
Hermine Schüler
Frau Monique Löchel
Cindy Meyer
Frida Stolze
Dr. Renate Mende
Dr. Senol Beier MBA.
Friedlinde Schenk-Wulff
Reinhilde Metz
Dr. Marianne Reising
Caren Neureuther
Lutz Mies-Hesse
Frau Käthi Hamann B.Eng.
Annaliese Gerlach
Agatha Sager-Geisler
Carsten Hartmann
Henryk Plath-Jopich
Dipl.-Ing. Marisa Scholl
Dr. Agathe Jähn B.A.
Heide-Marie Heß B.A.
Herr Arnulf Kohl
