Student
Ottokar Fliegner
Dipl.-Ing. Dörte Häring MBA.
Pirmin Reising
Jana Langern
Ruben Trubin
Waltrud Gumprich
Tomislav Schüler
Dr. Stefania Gnatz
Prof. Auguste Scholz
Albina Heinz
Teresa Ladeck-Rädel
Kristin Jacob
Annelies Seifert
Oscar Nerger
Wiebke Caspar B.A.
Marie-Louise Hendriks-Dörschner
Ing. Galina Hahn
Reimar Hahn-Neureuther
Gilda Tintzmann
Luis Oderwald
Dipl.-Ing. Ira Röhricht B.Sc.
James Nohlmans
Timo Butte
Bertram Höfig B.Sc.
Univ.Prof. Nermin Rosemann B.Sc.
Ewald Rädel-Rörricht
Torsten Schwital-Gude
Dr. Franco Wilms
Emmi Adolph
Carlo Bohlander
Lilly Naser
Mirko Ehlert
Frau Hildegunde Koch II
Ing. Leo Schulz
Hanspeter Juncken
Dr. Jann Wesack B.A.
Helge Wilmsen-Hein
Charles Heinz
Miodrag Dörr-Austermühle
Mary Staude
Götz Budig
Klaus-D. Zirme-Bachmann
Elif Wohlgemut
Sandra Hornig
Dr. Annika Gude MBA.
Ferenc Pergande B.Eng.
Gundula Klotz
Miriam Haering
Herta Keudel
Romy Baum
Dr. Rosalinde Stolze B.Eng.
Ante Hermann-Mans
Prof. Karl-Hermann Pieper B.Eng.
Mareike Lübs
Gabor Pechel-Junken
Prof. Beatrice Misicher
Conny Geißler-Karge
Frau Dana Röhrdanz
Gino Heß
Artur Briemer
Olivia Thies B.A.
Freia Hamann-Eckbauer
Siegmar Kramer
Pauline Mosemann
Ernest Stahr
Reinhold Bloch
Prof. Meinrad Wiek
Markus Eimer
Alwine Riehl
Brigitte Geisler
Frederik Beyer
Herr Dursun Hentschel B.Eng.
Ing. Romuald Roht B.Sc.
Anastasios Karge
Birthe Trommler
Wiltrud Wilmsen-Graf
Hans-Henning Scheel
Andrei Säuberlich
Victoria Hiller
Frau Corinna Wähner
Herr Burkhardt Bauer B.Eng.
Dietrich Adolph MBA.
Konstanze Zänker MBA.
Margit Losekann
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Margaretha Heintze-Henk
Yvette Dietz
Laila Trüb
Ekaterina Conradi
Alfons Schleich B.A.
Ing. Eckehard Bloch MBA.
Dr. Änne Radisch
Hanni Scholz-Weitzel
Genoveva Hofmann
Gilda Segebahn
Dr. Filippo Eberhardt B.Eng.
Dajana Gehringer
Marit Mühle
Margareta Trub
Kevin Trubin
Kläre Mohaupt-Salz
Angelique Wesack B.Eng.
Frau Francesca Blümel
Inna Schulz
Stephen Reichmann
Heribert Steuer
Ilonka Wulf
Hans-Bernd Trubin-Klemt
Josefa Hauffer
Alla Rohleder
Frauke Wilms
Dipl.-Ing. Albrecht Metz
Sylvester Neuschäfer-Schacht
Utz Staude
Faruk Birnbaum
Valerij Schulz B.A.
Univ.Prof. Gino Wagner B.Sc.
Lilo Scholz
Ferenc Bolzmann-Girschner
Gunnar Ernst
Prof. Irmhild Fritsch
Verena Davids
Univ.Prof. Johan Lange
Heiner Pieper
Elmar Förster
Herr Oliver Pechel
Kristian Anders B.Sc.
Reimund Kraushaar
Murat Meister
Sören Spieß
Curt Schönland
Iwan Butte B.Sc.
Senol Langern
Annett Sorgatz B.Eng.
Prof. Gerd Schenk
Henryk Plath-Jopich
Laura Wilms
Gertraud Jüttner
Hans-Otto Trubin B.Eng.
Jochen Naser
Janette Wiek
Annelore Täsche
Ekrem Pruschke-Jäkel
Käthe Briemer MBA.
Elena Wilmsen
Sevim Junitz
Inka Trapp
Stephen Tintzmann
Mahmoud Ditschlerin-Trüb
Fredy Bachmann B.Eng.
Alwine Sager
Univ.Prof. Dorle Fröhlich
Rosita Köster B.A.
Jörn Trupp MBA.
Dipl.-Ing. Alla Karge
Prof. Alida Mangold MBA.
Ing. Canan Gutknecht B.A.
Univ.Prof. Alberto Steuer
Dipl.-Ing. Hans-Karl Dussen van B.A.
Lidija Löchel B.A.
Tomasz Niemeier
Josefa Junk
Birgit Pergande
Susann Mielcarek
Horst-Peter Faust
Ing. Emmy Beer
Univ.Prof. Erna Köhler B.A.
Prof. Wolf-Dieter Killer B.Sc.
James Kostolzin-Staude
Grete Peukert
Dipl.-Ing. Hermann-Josef Jüttner
Univ.Prof. Harro Fröhlich
Dr. Hans-Detlef Lindau B.Eng.
Dipl.-Ing. Ismet Käster B.Eng.
Ing. Mike Stolze
Myriam Aumann
Bruni Meister B.Sc.
Guenther Schmidt
Sibylla Koch MBA.
Ivonne Lachmann
Ingetraut Jopich
Carla Tintzmann
Ing. Siglinde Speer MBA.
Univ.Prof. Franca Ritter B.Eng.
Ibrahim Ditschlerin
Frau Stella Plath B.A.
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Ulrike Ackermann B.Sc.
Dipl.-Ing. Milica Hofmann B.A.
Igor Dörschner
Constantin Jacob B.Sc.
Margita Schleich-Becker
Janus Ring
Ing. Anastasios Berger
Joana Wähner
Cornelia Römer
Univ.Prof. Friedl Tlustek
Inka Hornig B.A.
Wieslaw Oestrovsky MBA.
Herwig Jäntsch B.Sc.
Gabriela Girschner
Maurizio Hartmann
Rico Cichorius
Dipl.-Ing. Sigrun Bärer
Inken Gorlitz
Jens Trub
Marita Berger B.A.
Katharine Mühle
Paul-Gerhard Gunpf
Dipl.-Ing. Ekrem Thanel
Reimer Kitzmann
Univ.Prof. Natalie Flantz
Martha auch Schlauchin
Sönke Gumprich
Hasso Renner
Leonardo Trub B.A.
Ortrun Eckbauer-Kohl
Prof. Johan van der Dussen
Univ.Prof. Marcella Trüb
Frank-Peter Kambs
Prof. Tobias Börner
Alexandra Butte
Dipl.-Ing. Eveline Jäkel MBA.
Univ.Prof. Cläre Weihmann B.A.
Herr Knud Pölitz B.A.
Betti Adolph
Bogdan Pohl
Janet Johann B.A.
Gudrun Geisler
Marcel Schlosser
Franz Steuer
Vassilios Kuhl B.Sc.
Ing. Edeltraud Zirme
Kevin Etzler
Philipp Lorch
Dagmar Schinke B.Sc.
Kreszentia Bohlander
Gisa Gerlach
Frau Ayten Pärtzelt MBA.
Dipl.-Ing. Heinz-Otto Jähn
Horst Reising
Bianka Scheuermann
Berndt Mohaupt MBA.
Gertraud Tröst
Oscar Fritsch
Darius Klotz
Gerolf auch Schlauchin
Gino Hövel B.Sc.
Darius Kallert
Janette Kraushaar
Univ.Prof. Romana Hiller
Otmar Schmidtke
Anne-Rose Hettner B.A.
Frau Notburga Pergande
Univ.Prof. Heinrich Knappe B.A.
Frau Hildegart Etzler B.A.
Vitali Ortmann
Prof. Reimar Reinhardt MBA.
Bernhard Fischer
Josephine Schweitzer
Pawel Schlosser
Paul-Gerhard Hein
Dipl.-Ing. Ehrenfried Kranz MBA.
Thoralf Geisel
Rainer Hänel
Dipl.-Ing. Gerold Kusch B.Eng.
Semra Gorlitz
Franz Josef Nette-Werner
Dipl.-Ing. Werner Scholl B.Eng.
Mona Söding
Antonina Christoph MBA.
Hans-Hinrich Linke
Luisa Hecker
Ing. Bianca Paffrath
Hansjürgen Schlosser
Dr. Anny Kallert
Metin Peukert-Lindner
Marko Renner
Dipl.-Ing. Stefano Wernecke B.A.
Ralf-Peter Ebert
Andrei Hertrampf-Trommler
Jennifer Trapp
Sylwia Bolander
Rudolph Metz-Mitschke
Telse Steuer B.Eng.
Adelinde Putz
Herr Hendrik Fritsch B.Eng.
Prof. Marion Scholz
Andre Schinke
Nelli Stiebitz
Univ.Prof. Suzanne Paffrath
Zdenka Heser
Janus Weitzel-Koch
Svea Krebs-Scheibe
Olav Gumprich-Täsche
Silvia Eberth
Univ.Prof. Reinhilde Cichorius B.A.
Frederike Stoll
Isidor Heinrich
Hans-Erich Staude
Danuta Kensy
Dr. Sybille Bärer B.Sc.
Natalie Neureuther
Denny Pechel
Dana Löwer MBA.
Siegmund Hövel
Gerda Eberhardt B.Sc.
Irmi Koch
Magarete Klingelhöfer-Mans
Eugen Schottin
Heino Zahn-Bähr
Dorina Dowerg
Kira Tschentscher MBA.
Iwan Schleich
Clara Stroh
Claire Faust B.A.
Henning Scholl
Cathleen Mies MBA.
Wolf-Dietrich Berger
Jolanta Döring
Dipl.-Ing. Jaqueline Striebitz
Hellmuth Drubin-Tschentscher
Ing. Magda Jäntsch
Alf auch Schlauchin
Liesbeth Koch II
Toralf Jessel
Woldemar Bolzmann B.A.
Univ.Prof. Claus-Dieter Dippel B.Eng.
Florian Wulff
Doris Kraushaar
Hans Kostolzin-Ditschlerin
Reimer Scheel B.Eng.
Imke Keudel B.Sc.
Miroslawa Jessel B.Sc.
Urs Bähr
Univ.Prof. Margareta Naser
Christopher Fröhlich
Günter Wiek B.A.
Hans-Joachim Pohl
Univ.Prof. Gislinde Rohleder
Annelene Zänker
Cengiz Dehmel
Dipl.-Ing. Wilfriede Bruder
Eckhard Weitzel
Univ.Prof. Ladislaus Hande
Irmgard Liebelt
Anika Biggen MBA.
Philipp Walter-Löffler
Wilhelmine Knappe
Ing. Liesa Zirme
Ing. Carmine Kroker
Nadja Ladeck B.Sc.
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Simone Jacobi Jäckel B.A.
Frau Monique Löchel
Paula Stroh
Irma Atzler-Herrmann
Joana Mielcarek B.A.
Univ.Prof. Nadeshda Oestrovsky
Jochem Röhrdanz
Lore Tröst
Saskia Roskoth B.Eng.
Siegrid Segebahn
Ryszard Junitz
Trudi Keudel B.A.
Ing. Birte Heidrich B.Eng.
Ercan Oestrovsky B.Eng.
Prof. Gunther Klingelhöfer
Alena Neureuther
Hermine Eberhardt
Agathe Trommler
Edit Kitzmann
Selma Girschner B.Sc.
Dr. Torben Stey
Gretel Hande
Heinz-Wilhelm Steuer-Mende
Univ.Prof. Tomasz Atzler B.Sc.
Dipl.-Ing. Edgar Gehringer B.Eng.
Dipl.-Ing. Konrad Schenk
Urban Geißler B.A.
Wally Fliegner
Milan Holzapfel
Timm Schönland
Isa Koch
Adrian Killer
Nadja Geisler
Prof. Catherine Knappe MBA.
Elly Hande
Clara Gehringer
Ivonne Hahn
Irina Mielcarek
Gotthold Krause
Rosmarie Kambs MBA.
Aline Atzler-Beckmann
Walther Hofmann
Jelena Löffler
Hedy Rudolph MBA.
Slavica Koch
Undine Eimer
Univ.Prof. Rafael Pruschke B.A.
Univ.Prof. Axel Dörschner B.Sc.
Siegbert Kranz
Vitus Pruschke B.A.
Elvira Mälzer
Hanne Junk
Roy Gumprich-Klemm
Pawel Peukert-Rörricht
Dr. Sara Niemeier
Luciano Aumann
Ulrike Schleich-Süßebier
Univ.Prof. Conny Wagner MBA.
Karl Heß
Ing. Carmen Birnbaum
Hans Dieter Kallert
Anto Kostolzin
Univ.Prof. Gottlob Tröst B.Eng.
Gunnar Hornig
Marlene Drubin
Ursula Jacobi Jäckel
Prof. Ullrich Rosenow B.A.
Dr. Editha Rohleder
Antonina Neureuther
Antonia Stey
Johan Buchholz
Klaus-Ulrich Tlustek-Förster
Karl-Peter Hering
Yvette Schinke
Adalbert Ullmann
Insa Jacobi Jäckel
Madlen Steinberg
Cindy Meyer
Manuel Hering-Jäntsch
Wilfriede Misicher
Prof. Jelena Naser
Ekkehart Kreusel
Victor Seifert
Urs Matthäi
Dipl.-Ing. Annelise Naser
Konstantin Rogner
Siegrun Schomber
Harold Bähr B.A.
Hans-Rudolf Dehmel
Herr Alwin Sager B.A.
Hilma Kuhl
Zeki Otto
Geza Weller
Ahmad Preiß
Rebekka Lindau MBA.
Dipl.-Ing. Slavica Mälzer
Mona Wiek B.Eng.
Adele Boucsein B.Sc.
Prof. Magdalena Bohlander B.Sc.
Marek Hesse B.Eng.
Reimar Trüb
Irmgard Hövel
Herr Thorben Jacob
Vinko Schmiedecke-Hendriks
Heide Knappe
Anka Gieß
Miroslawa Haase
Manuela Linke B.Eng.
Leif Wulff
Meryem Graf-Lange
Fatma Hesse
Dipl.-Ing. Berend Niemeier
Herr Muzaffer Schäfer
Saskia Heidrich
Dipl.-Ing. Slobodan Sölzer
Heinz Krebs B.Eng.
Jost Roskoth
Gudula Stroh-Bien
Saskia Kallert
Dipl.-Ing. Korinna Pärtzelt
Karl-Heinz Buchholz
Margareta Klingelhöfer
Janko Stey MBA.
Ing. Vesna Kroker B.Eng.
Erica Renner-Trapp
Univ.Prof. Milan Hande
Felicia Löffler
Danuta Kreusel
Janko Schulz-Becker
Dipl.-Ing. Karina Kambs MBA.
Univ.Prof. Fredy Barth MBA.
Friedericke Killer B.Eng.
Wojciech Girschner B.A.
Ludmilla Pieper
Univ.Prof. Maria-Luise Trüb B.Sc.
Timo Siering-Hübel
Marius Klotz
Jana Drubin-Heß
Sybilla Herrmann-Pärtzelt
Annamaria Kade-Fischer
Kunigunda Zimmer
Annemie Kade-Kuhl
Dusan Zahn B.A.
Karlfried Karge-Wieloch
Robin Weinhage B.A.
Prof. Hubert Heß
Hansjürgen Eberth
Kornelia Kade
Ing. Hans-Heinrich Reichmann B.Sc.
Arzu Wieloch-Röhrdanz
Dipl.-Ing. Hans-Günther Schuster
Ing. Kay-Uwe Flantz
Friedl Barth
Janos Kobelt-Henck
Univ.Prof. Gretl Langern B.A.
Manja Koch II-Heuser
Prof. Ada Wähner
Lars Weller
Kirsten Stey B.A.
Herr Ansgar Gnatz
Dr. Gerold Dörschner
Janin Höfig B.A.
Otmar Misicher
Klaus-Dieter Wende
Herr Thomas Baum
Alwine Linke
Katja Kruschwitz-Roskoth
Kata Gierschner
Roland Ring
Vassilios Trommler-Gieß
Anna-Marie Ullrich
Corinne Berger
Angelique Adler
Hanne Ackermann
Roman Hauffer
Ing. Diedrich Gotthard MBA.
Ing. Nadeschda Bohlander
Inna Winkler
Prof. Ivonne Boucsein B.Eng.
Emine Lübs
Dariusz Reising-Ernst
Herr Süleyman Karge MBA.
Alida Tröst
Marzena Mentzel
Ing. Christa-Maria Liebelt
Ursel Juncken-Buchholz
Robin Flantz
Hilmar Ziegert
Erika Pruschke
Anne-Kathrin Ortmann
Prof. Lene Oestrovsky B.Sc.
Prof. Volkmar Wirth B.Eng.
Franziska Beer
Herr Edmund Hesse
Augustin Carsten
Peter Sontag
Rolf-Peter Reising B.Sc.
Niko Geißler-Wirth
Univ.Prof. Dolores Rust
Ing. Berthold Rosenow
Alma Flantz MBA.
Serge Grein Groth
Dipl.-Ing. Aloys Hentschel
Robin Junk-Henk
Agnes Ullmann
Dipl.-Ing. Viktor Scheibe MBA.
Maurizio Tschentscher
Uta Kade
Beate Nette
Christos Gumprich
Edeltrud Kambs
Jadwiga Gierschner-Schulz
