Student
Jan-Peter Grein Groth
Janko Neureuther
Dipl.-Ing. Rüdiger Otto B.A.
Kordula Lange
Emma Briemer B.Eng.
Beata Stahr
Ing. Georg Lübs
Univ.Prof. Christa-Maria Lehmann B.A.
Maik Oestrovsky B.Sc.
Jens Drubin
Ditmar Adolph
Ottokar Fliegner
Laurenz Ritter
Erica Lachmann
Lukas Gierschner
Stavros Schinke
Francoise Freudenberger-Stey
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Dipl.-Ing. Cläre Geißler
Hans-Christian Eimer
Burkard Schlosser
Prof. Emil Kruschwitz
Rosa-Maria Losekann-Schulz
Ann Werner-Wilms
Ulrich Plath-Weihmann
Sigismund Junitz
Susan Seip MBA.
Oxana Ortmann MBA.
Frau Käte Zahn
Herr Jörgen Kruschwitz
Victor Häring
Meral Stroh-Henschel
Ing. Iwan Wagner
Tomislav Jopich-van der Dussen
Frau Reinhilde Wirth MBA.
Adriane Heinz-Metz
Ing. Giorgio Warmer B.Eng.
Heinz-Gerd Söding
Ralph Binner-Römer
Stavros Ortmann
Artur Briemer
Wilfried Radisch
Ehrentraud Hänel-Dussen van
Till Tlustek
Sibille Kallert
Ing. Lucie Karz
Jonas Mühle
Myriam Hänel
Anita Mohaupt
Adeline Hein-Metz
Igor Dörschner
Frederike Dippel
Herr Franz Geisler B.A.
Jeanette Speer
Grit Karz
Frauke Söding
Gertraud Tröst
Univ.Prof. Ditmar Mitschke B.A.
Hannchen Löwer B.Eng.
Dr. Vitus Franke
Ing. Thekla Beyer B.Sc.
Vera Losekann
Änne Wagner
Andy Jockel B.Eng.
Dominic Möchlichen
Lutz Kobelt
Diethelm Hofmann
Urban Peukert
Ulrich Schlosser
Angelica Klemt
Magda Geißler
Janus Jessel-Hermann
Elizabeth Stahr
Heribert Austermühle-Trupp
Herr Bastian Hübel B.A.
Minna Lindner
Ing. Marie-Therese Seifert
Cordula Schmiedecke-Wilms
Ivanka Berger-Kraus
Luciano Klotz
Univ.Prof. Amalia Köhler
Pero Gnatz
Enrico Kobelt-Klemt
Ruth Mangold B.Sc.
Dipl.-Ing. Lara Tlustek
Anna-Marie Zorbach
Mirja Bähr
Mirco Girschner
Adelbert Austermühle
Bastian Röhrdanz
Erdal Bähr
Frau Tatiana Hande B.Sc.
Dr. Ljiljana Henck MBA.
Edelbert Stey-Scholz
Magarete Beyer B.Eng.
Darius Klotz
Heide-Marie Zirme
Augusta Flantz
Friedericke Lange
Dorit Dowerg
Cemal Budig-Holt
Erkan Kuhl-Oestrovsky
Marie-Therese Schleich
Univ.Prof. Cynthia Löwer
Dipl.-Ing. Nuray Mude B.Sc.
Ehrentraud Kroker
Prof. Sibel Mälzer MBA.
Dajana Ring
Wojciech Rogner
Iwan Butte B.Sc.
Florence Schulz
Gilbert Peukert B.Eng.
Herr Goran Paffrath
Olaf Hethur
Klaus-D. Segebahn
Frank-Peter Weimer
Sandro Schmiedt
Marianna Etzler
Hans-Theo Thies
Wolf-Dieter Schmiedt
Prof. Roy Blümel
Heinz-Wilhelm Werner
Rocco Trub
Mara Vollbrecht B.A.
Ing. Nadeschda Tschentscher B.A.
Birgid Graf
Inken Juncken
Hans-Herbert Eckbauer
Univ.Prof. Dana Seifert
Karla Conradi
Eva-Maria Mies MBA.
Ing. Justina Fiebig
Hans-Herbert Flantz
Siegried Caspar B.A.
Dipl.-Ing. Johanna Henck
Mina Beyer
Robin Weinhage B.A.
Dr. Kai-Uwe Schulz B.A.
Brian Dussen van
Univ.Prof. Henryk Kostolzin
Uli Schönland-Trupp
Hans-Michael Rudolph
Martine Trupp
Nico Hartung-Linke
Othmar Täsche-Loos
Chantal Kramer
Prof. Cathrin Misicher
Dora Jockel
Viktor Kusch
Frank-Peter Haase
Nevenka Hörle MBA.
Marianna Geisler
Leni Wohlgemut-Ruppersberger
Friederike Sölzer-Hentschel
Rouven Ziegert
Ing. Utz Klemt B.A.
Gunhild Nohlmans
Karl-Ernst Drewes-Drubin
Wulf Steckel-Lachmann
Franz-Peter Benthin-Reichmann
Undine Jopich
Franz-Peter Preiß B.A.
Janina Seifert
Augusta Rosemann
Albert Hartmann-Lachmann
Reinhart Becker
Prof. Sepp Blümel
Herr Gerold Kreusel
Frau Alwina Bohnbach B.Eng.
Hiltrud Klemm
Verena Davids
Christiane Wirth B.Eng.
Ing. Stanislaw Weihmann B.A.
Frithjof Mielcarek MBA.
Annekatrin Neureuther
Prof. Orhan Ladeck MBA.
Dajana Meyer
Ing. Margareta Hethur B.A.
Francoise Dippel B.Eng.
Eugenie Benthin-Ziegert
Nadeshda Mentzel
Dierk Steinberg
Irene Stumpf
Amalie Gotthard
Frau Julie Gunpf
Justus Schüler MBA.
Dr. Gunther Jähn B.A.
Lorenzo Hornig
Birgid Schüler
Univ.Prof. Jeannette Schleich B.Sc.
Univ.Prof. Tomasz Atzler B.Sc.
Dr. Ella Warmer
Petar Hamann
Bertold Bloch-Beckmann
Stefanie Dippel
Alexandre Geisel
Herr Dimitri Mohaupt B.A.
Univ.Prof. Anika Pärtzelt MBA.
Florentine Eimer
Cindy Meyer
Gottlieb Kade
Univ.Prof. Pia Schlosser MBA.
Dipl.-Ing. Zenta Hornig B.Sc.
Hubertine Krein
Sonja Paffrath-Reichmann
Yvonne Kroker
Frithjof van der Dussen
Annelie Metz
Marianna Segebahn-Wernecke
Dajana Ruppert
Insa Karz-Mangold
Juergen Bähr
Hannes Meyer
Vittorio Hertrampf
Frau Wenke Riehl
Pawel Peukert-Rörricht
Antonius Hermighausen
Gisela Schwital-Scheel
Evangelia Meyer-Mielcarek
Gertrude Lehmann-Kostolzin
Emmerich Killer
Walter Schleich-Segebahn
Ing. Marlene Wirth B.Sc.
Dina Hartung
Prof. Folker Trupp B.Sc.
Wibke Tschentscher-Wulf
Dr. Ottfried Lachmann B.Sc.
Rigo Conradi
Prof. Miguel Dowerg B.A.
Linus Mans-Röhrdanz
Annie Schlosser
Baptist Vogt
Pavel Pärtzelt B.Sc.
Irmtrud Schmiedt B.Sc.
Dipl.-Ing. Nathalie Bender
Hansgeorg Kruschwitz
Alma Rörricht
Theresa Hethur-Kabus
Reimer Scheel B.Eng.
Danny Gumprich
Dr. Diedrich Gerlach B.A.
Telse Rudolph
Wolfram Klingelhöfer B.Eng.
Fatima Rosemann-Schmidtke
Philipp Ernst
Tibor Briemer
Ing. Käthi Schäfer
Dr. Semra Wagenknecht
Halina Austermühle-Bender
Zeki Henk B.A.
Sabrina Schomber
Alfred Weinhage-Stiffel
Magdalena Gude
Ilonka Wulf
Dr. Patrizia Dörschner B.A.
Dr. Helma Kohl B.A.
Thoralf Eimer
Laurenz Siering-Kallert
Tibor Köhler-Schönland
Karl-Heinz Buchholz
Bernhard Rogner B.Eng.
Frau Britt Heß
Univ.Prof. Albin Bärer
Nils Stey
Eckhart Gutknecht
Georgine Schäfer
Ing. Cläre Dowerg
Prof. Ruth Gehringer
Gernot Hornich B.A.
Regina Ring
Heidrun Stiebitz
Irmtrud Pohl
Ljiljana Roht
Nadia Herrmann
Wenzel Drubin
Dina Schmiedt MBA.
Regine Wende B.A.
Utz Staude
Oda Berger
Prof. Ullrich Rosenow B.A.
Ingmar Beckmann
Dipl.-Ing. Sigrun Bärer
Arnfried Lorch B.A.
Univ.Prof. Markus Finke B.Sc.
Dipl.-Ing. Hülya Nerger
Artur Berger
Kai-Uwe Schäfer
Ing. Hans Peter Schenk B.A.
Madeleine Thanel MBA.
Dr. Theresia Mende
Dominic Gunpf MBA.
Gabriel Roskoth
Gitte Römer-Kroker
Clemens Barth
Swetlana Jessel
Ricarda Fröhlich B.A.
Conrad Lindau
Univ.Prof. Kirstin Killer B.Eng.
Balthasar Müller-Drub
Reinald Zahn
Herr Alwin Sager B.A.
Reza Misicher
Frau Annegrete Junk B.A.
Natalja Löchel-Beckmann
Steven Käster B.Sc.
Ignatz Börner
Celal Mühle
Herr Hans-Detlef Grein Groth
Sigrun Mälzer
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Hermann Bruder
Jaroslav Benthin
Sevim Textor-Schinke
Anna-Lena Bloch
Anica Ortmann B.A.
René Hölzenbecher-Berger
Mareen Krebs-Hofmann
Celal Scheel B.A.
Editha Jacob
Alina Spieß
Leon Junken
Herr Hinrich Mühle
Burkhardt Holt
Lotte Kitzmann B.A.
Gerta Klemt
Frau Gertraude Wesack B.Eng.
Fatima Röhrdanz
Ana Heinz B.A.
Volker Hettner
Julius Liebelt
Friederike Geisler
Alexej Kohl
Prof. Anica Haering B.A.
Dipl.-Ing. Götz Bloch
Karlfried Ruppersberger
Kunibert Heß MBA.
Dr. Isabell Trupp
Natalia Fröhlich-Kabus
Arnulf Heidrich
Oxana Schmidtke
Andrej Geißler-Beckmann
Univ.Prof. Heinz-Werner Renner B.A.
Anica Sorgatz B.Sc.
Ing. Ernest Rogge B.A.
Prof. Gabriella Holt B.Eng.
Ben Täsche
Denny Lachmann
Nicolaus Jessel
Herr Jens Ritter B.Eng.
Ing. Hermine Warmer B.A.
Isa Rose
Geert Etzold
Marit Thanel B.Sc.
Univ.Prof. Nermin Rosemann B.Sc.
Madeleine Hermann B.Sc.
Hellmut Nerger
Aleksandr Schuster B.A.
Friedo Lorch
Elke Scholl MBA.
Univ.Prof. Karen Etzold B.A.
Dietrich Adolph MBA.
Sylwia Wilmsen-Ullmann
Tomislav Girschner
Maximilian Pohl B.A.
Henni Keudel B.Sc.
Ing. Romy Gieß
Univ.Prof. Arne Hoffmann
Juan Noack
Gert Nette
Ottomar Kraus
Bernd Binner-Hornich
Hermann Josef Junck
Maja Fischer B.A.
Toralf Jessel
Hannes Jäntsch
Herr Tony Lindner
Rupert Kallert
Zoltan Wilms
Gerard Scholl
Miodrag Dörr-Austermühle
Stefania Möchlichen
Heinz-Gerd Beyer
Norman Fechner
Renate Mies
Kay-Uwe Pölitz
Lisette Mühle
Herr Hansjoachim Geisler
Traudl Röhrdanz-Spieß
Pero Römer
Mato Patberg-Heintze
Ing. Maren Schenk
Thies Blümel
Dr. Gaby Sontag MBA.
Sergei Ritter
Dipl.-Ing. Gerold Kusch B.Eng.
Marika Zänker B.A.
Süleyman Baum
Ruth Wiek-Bloch
Tony Hecker
Philipp Walter-Löffler
Berthold Rohleder
Radmila Kraus-Schacht
Janko Schulz-Becker
Annamaria Hesse
Francisco Trupp
Frederik Bohlander
Patric Hermighausen MBA.
Dipl.-Ing. Agatha Pruschke
Ottilie Scheel
Ing. Swen Ehlert
Marlen Weihmann-Trub
Univ.Prof. Belinda Henck
Brit Lindner
Niko Bähr B.Sc.
Alwin Löffler B.A.
Hans-Georg Schmidt
Jozef Bohlander
Evelin Stumpf
Inken Gute B.Eng.
Camilla Gunpf
Dipl.-Ing. Meral Beyer
Patrizia Schüler
Hansjörg Müller B.Sc.
Nikolas Siering
Ing. Dörte Freudenberger
Angelika Roskoth
Leonardo Lehmann
Gundula Adler-Bien
Dimitrios Fiebig
Henny Herrmann
Dipl.-Ing. Freya Höfig
Vlado Hübel B.Eng.
Kenneth Kramer
Insa Bloch B.A.
Klaus-Dieter Hänel B.Sc.
Herr Alois Thanel B.Sc.
Cosimo Girschner
Herr Hermann-Josef Hauffer
Ben Zahn
Sarina Dörr
Ing. Tillmann Geisel
Univ.Prof. Vadim Vollbrecht B.A.
Mariechen Nohlmans
Ariane Löchel
Dipl.-Ing. Till Säuberlich
Ellen Gutknecht
Cäcilie Schmidt
Vitus Pruschke B.A.
Univ.Prof. Alberto Steuer
Ahmad Fechner-Wulff
Faruk Köhler
Jens-Peter Graf-Schmidt
Aleksander Wagner-Barth
Sophie Rädel
Karoline Hübel
Dan Scheuermann
Jerzy Mende-Wagenknecht
Magdalene Hering MBA.
Vassilios Kuhl B.Sc.
Sigmund Mosemann
Daniel Zänker
Tillmann Stolze
Ben Ullmann MBA.
Friedhilde Wernecke
Aziz Hornich
Frau Zdenka Boucsein B.Eng.
Univ.Prof. Gönül Meister B.Sc.
Traudel Wilmsen B.A.
Dr. Nadja Wulf
Resi Margraf
Ferenc Bolzmann-Girschner
Eggert Börner-Geisler
Tülay Fiebig
Marlen Hesse
Gaetano Fröhlich
Friedericke Käster B.A.
Vittorio Harloff
Concetta Neureuther
Stephen Reichmann
Kerstin Heidrich B.A.
Dipl.-Ing. Mara Otto B.Sc.
Olivia Thies B.A.
Karl-Josef Barth
Tülay Henschel
Heide-Marie Adler B.Eng.
Janine Söding
Sara Rogge
Ingeborg Wesack
Darius Gieß
Dr. Daniela Linke MBA.
Frau Evelyn Tlustek B.Sc.
Ortrun Eckbauer-Kohl
Prof. Hermann Josef Söding
Niklas Schleich
Heinrich Putz B.Sc.
Sibilla Mälzer
Hiltrud Bolander-Ziegert
Dipl.-Ing. Georgine Adolph B.Eng.
Univ.Prof. Baptist Mende MBA.
Nico Möchlichen
Woldemar Bähr
Ing. Meik Eberhardt B.A.
Univ.Prof. Heidrun Hiller
Alexej Liebelt
Niklas Scholtz
Ekrem Zänker
Friedlinde Sauer
Dr. Slawomir Hande
Francesco Nerger
Univ.Prof. Mahmoud Liebelt
Univ.Prof. Siegfried Karz B.Sc.
Mehdi Kohl B.A.
Woldemar Heydrich B.Eng.
Rose-Marie Schüler
Kristian Meyer
Gerhart Davids B.A.
Leonardo Trub B.A.
Heinz-Josef Meister
Beate Nette
Götz Hofmann B.A.
Dr. Elly Junk
Univ.Prof. Melita Langern
Dr. Sedat Schäfer
Isabel Rose
Willibald Holsten
Deborah Beier
Sigrid Schleich
Anette Anders
Dr. Dora Fischer
Herr Emin Trubin
Siglinde Kambs-Geißler
Roberto Jockel
Ing. Christa-Maria Liebelt
Wencke Riehl-Stoll
Ing. Valerij Segebahn B.Eng.
Ria Stroh
Dipl.-Ing. Margarita Stey
Bruni Vogt MBA.
Maren Roht
Ekaterina Schmiedecke
Gerdi Neureuther-Mälzer
Harro Keudel
Robby Weller
Bettina Klapp
Hans-Otto Trubin B.Eng.
Frau Nuray Mangold MBA.
Helmuth Langern-Steinberg
Vassilios Birnbaum
Valentina Weihmann-Zahn
Evangelia Misicher
Timo Huhn
Prof. Berend Käster B.A.
Priska Rädel
Rolf-Dieter Preiß
Elsbeth Schmiedecke-Wulf
Eberhardt Fiebig
Patricia Schäfer
Ing. Isolde Rosenow
Ismail Junck-Trommler
Gabi Klapp
Gabi Meister
Univ.Prof. Traude Gertz
Detlev Wilmsen
Univ.Prof. Beate Eberth
Kai-Uwe Sorgatz
Dr. Deborah Kade
Carl-Heinz Kraus
Jörgen Putz B.A.
Notburga Weller MBA.
Kazim Hörle
Hasso Zahn
Dr. Bastian Christoph MBA.
Lambert Röhricht-Johann
Kay-Uwe Bruder MBA.
Herr Benedikt Säuberlich
Nada Butte
Patrick Anders-Stolze
Nicolaus Seifert B.A.
Rolf-Peter Rosenow MBA.
Flora Etzold
Prof. Lieschen Mälzer B.Sc.
Dorothee Blümel
Ernst-August Gunpf
Lilija Ruppert
Joanna Weinhold-Förster
Ing. Cord Hermighausen B.Eng.
Auguste Pruschke
René Gude B.A.
Annett Mies-Hellwig
Maritta Bien
Univ.Prof. Walter Barkholz
Thomas Hentschel
Sandor Ritter
Hardy Wende B.Sc.
Dr. Mohammed Höfig
Ing. Romuald Roht B.Sc.
Henryk Plath-Jopich
Ing. Konstanze Geisel
Sevim Vollbrecht B.A.
Rolf Wirth
Alois Jungfer B.Eng.
Frauke Dörschner
Thilo Tschentscher
Kornelius Sontag
Joseph Harloff
Sibylla Klingelhöfer B.Sc.
Vincenzo Haering
Patricia Wiek
Hans Jürgen Lange
Annika Lindner
Dipl.-Ing. Ingolf Krein
Dr. Uli Segebahn
Danuta Kreusel
Gabi Neuschäfer-Oestrovsky
Hannelore Heser-Boucsein
Annamaria Kade-Fischer
Hubert Weitzel
Dipl.-Ing. Svea Neureuther
Philip Fritsch
Gaby Bähr
Hajo Ziegert-Noack
Hermine Eberhardt
Krista Bohnbach
Ing. Carolin Anders
Wendelin Zorbach MBA.
Vincenzo Jopich
Frau Karolina Hörle
Siegrid Hande
Volkhard Köster-Jüttner
Dipl.-Ing. Alf Graf
Massimo Hecker
Margita Hentschel
Fernando Tschentscher-Schacht
Bayram Meister
Monja Weiß
Bertram Segebahn
Annaliese Klingelhöfer
Steven Weinhold B.A.
Ulla Fliegner-Sölzer
Univ.Prof. Fatima Faust B.A.
Maurizio Hartmann
Torsten Trapp B.A.
Gabi Löwer MBA.
Anni Seidel B.Eng.
Dr. Eberhardt Adolph B.Eng.
Maria Mans B.Eng.
Franjo Junitz-Hahn
Dorit Ebert
Dr. Ruth Dobes
Frau Danielle Junk
Rene Bruder B.Eng.
Diedrich Lachmann-Oestrovsky
Melissa Stey
Prof. Klaus Peter Bruder
Eva-Maria Zänker
Damian Hentschel
Ferenc Trüb B.A.
Urszula Fliegner
Fredi Huhn
Mattias Wieloch
Univ.Prof. Halil Staude
Karl Heinz Eigenwillig
Hansjoachim Salz-Junk
Roy Holt
Prof. Concetta Mies B.Eng.
Herr Gerolf Hermann B.Eng.
Lydia Losekann MBA.
Andre Schinke
Bayram Cichorius-Zobel
Katrin Oestrovsky-Fechner
Helene Kuhl-Austermühle
Dipl.-Ing. Dajana Beer
Natalie Werner
Dipl.-Ing. Randolf Martin B.A.
Hansjürgen Schlosser
Univ.Prof. Amelie Gröttner B.Eng.
Ing. Dietlind Gieß
Franziska Beer
Calogero Hoffmann B.Eng.
Dörte Nette
Cristina Salz B.Sc.
Antonietta Lindner MBA.
Lutz Röhricht B.A.
Ing. Ivonne Nerger
Edda Junck-Eimer
Ingried Sauer
Hans D. Kusch B.Sc.
Ulrike Rädel B.Eng.
Dipl.-Ing. Undine Warmer
Imelda Söding
Bianka Schuster-Ziegert
Kreszentia Scheibe
Julia Pärtzelt
Ing. Paul-Heinz Geißler
Peter-Michael Spieß
Hanne-Lore Losekann B.Sc.
Siegmar Keudel-Gude
Anneli Schleich-Ullmann
Valerie Kallert B.A.
Antonius Kraus
Clara Gehringer
Lena Holzapfel
Ansgar Hande
Alwin Scholl
Wolf-Dietrich Berger
Zlatko Kraus
Ayse Scheuermann-Sölzer
Ansgar Tlustek MBA.
Sibilla Hofmann
Dr. Heiderose Kallert B.Eng.
Helga Mosemann-Hecker
Osman Schäfer
Maria Hellwig
Rudolph Metz-Mitschke
Hans-Dieter Scholl
Univ.Prof. Mira Riehl
Ingelore Kobelt MBA.
Luigi Gude
Knud Trommler
Rosita Köster B.A.
Francoise Rust
Prof. Alida Mangold MBA.
Olav Gumprich-Täsche
Ernst-August Oestrovsky-Kreusel
Univ.Prof. Athanasios Drub B.Sc.
Dipl.-Ing. Sandro Bärer B.A.
Kordula Kambs B.Eng.
Dipl.-Ing. Friedrich Hiller B.Eng.
Trudi Keudel B.A.
Univ.Prof. Nikola Graf MBA.
Pero Gutknecht
Dipl.-Ing. Albrecht Metz
Liliana Gehringer
Diana Jessel-Geißler
Dr. Annaliese Lindner
Hüseyin Stahr
Dolores Atzler B.A.
Anny Zirme
Leszek Wagner-Häring
Kordula Dobes-Buchholz
Gerard Förster
Prof. Wolfgang Mohaupt
Tomislav Schüler
Gertrude Ullmann
Recep Röhricht B.Sc.
Katharine Renner
Patric Geisler-Becker
Friedericke Ring MBA.
Delia Rust
Fernando Schüler
Dipl.-Ing. Ana Rosemann
Annelie Kitzmann
Stanislav Reuter
Solveig Trapp MBA.
Elisabeth Roskoth
Ilhan Hoffmann-Karz
Irmtrud Klingelhöfer
Kornelius Pergande-Weiß
Dipl.-Ing. Klaus-D. Kostolzin
Gunar Börner
Maya Conradi
Ulf Kensy MBA.
Theresa Caspar
Mira Bender
Gregor Knappe B.Eng.
Sandy Haering
Maritta Boucsein
Matthias Dowerg
Melita Schleich
Dipl.-Ing. Igor Henck B.A.
Heide Hesse-Bärer
Dr. Stephanie Ladeck
Norman Wulf
Sina Spieß
Susi Schuchhardt
Edda Gertz B.Eng.
Univ.Prof. Franz-Josef Holt
Dr. Hans-Herbert Losekann B.A.
Leopold Jungfer
Korinna Spieß MBA.
Vesna Döhn
Wanda Vollbrecht-Reinhardt
Marcel Stumpf
Univ.Prof. Greta Trapp
Hans-Hermann Haering
Nikolaos Reichmann
Dipl.-Ing. Petar Lübs
Käthi Faust-Gorlitz
Sofie Schmiedecke
Marlis Wiek
Philip Mangold
Geza Hertrampf B.A.
Univ.Prof. Albertine Köhler MBA.
Victoria Hornig
Änne Ring MBA.
Antonie Fischer-Margraf
Yusuf Nette B.Sc.
André Kroker
Prof. Fredy Hahn
Harm Nette
Univ.Prof. Hiltrud Löwer
Frau Cordula Anders B.Eng.
Ilias Seip
Peggy Holt
Dipl.-Ing. Fred Meister
Prof. Jonas Scholtz
Alexandros Heintze
Ruth Hartung
Nils Hermighausen
Guenther Steinberg MBA.
Prof. Marian Gerlach
Katharina Etzler
Univ.Prof. Gusti Schlosser
Eva-Maria Eberth B.A.
Karl Heinz Hörle
Damian Bauer
Thea Schmiedecke
Lidia Butte
Margitta Wulf-Nerger
Erik Trupp MBA.
Dipl.-Ing. Kevin Henk B.A.
Univ.Prof. Harriet Heintze
Ilja Krause
Benno Kraushaar
Mohammad Karz MBA.
Univ.Prof. Friedl Peukert B.Eng.
Annegrete Pohl-Sölzer
Carolina Ditschlerin
Rosa-Maria Knappe
Gisela Girschner
Dr. Herbert Jockel B.Eng.
Louis Loos B.Eng.
Jonas Löchel
Margaret Kramer B.A.
Friedl Barth
Vesna Bähr
James Kostolzin-Staude
Luka Stiffel
Bogdan Römer B.Eng.
Fatma Möchlichen
Helen Tschentscher
James Kostolzin-Haase
Univ.Prof. Ralf-Dieter Kabus MBA.
Univ.Prof. Karl-Otto Dowerg MBA.
Ing. Helmtrud Dussen van
