Student
Eckehard Wernecke
Ronald Stiebitz
Samir Wähner-Butte
Fatma Sager
Raimund Gieß
Gertraut Koch II
Herr Jonathan Hänel MBA.
Univ.Prof. Fatima Hiller B.A.
Janus Weitzel-Koch
Alois Jungfer B.Eng.
Alexej Röhrdanz
Univ.Prof. Marleen Kabus
Elizabeth Wulf
Herr Hans Rogge
Hiltraud Köster MBA.
Liselotte Lindau
Gusti Wagenknecht
Murat Förster
Angelica Klemt
Dr. Marian Rust
Reni Römer
Univ.Prof. Mirella Peukert
Augustin Renner
Madlen Steinberg
Stefanie Dippel
Dr. Timo Ernst
Dajana Ruppert
Rosa Rosenow B.Eng.
Ibrahim Ditschlerin
Zeljko Baum
Dipl.-Ing. Konrad Schenk
Tony Hecker
Dipl.-Ing. Hermann-Josef Jüttner
Kata Gierschner
Diethard Gude
Ing. Irmtraud Wiek MBA.
Prof. Wolfgang Mohaupt
Univ.Prof. Niklas Mohaupt MBA.
Darius Kallert
Iris Ullrich
Dino Kusch-Hiller
Dipl.-Ing. Sibylle Kensy
Anni Kraus
Fredy Hiller
Elmar Förster
Hartmut Zirme
Gunhild Ullmann
Univ.Prof. Ismet Bloch B.Eng.
Prof. Necati Stey B.A.
Nancy Eckbauer
Ing. Henrike Kramer
Hans Jürgen Grein Groth-Rudolph
Erwin Jungfer
Laurenz Ritter
Constantin Beckmann
Hartmuth Gude B.Eng.
Dipl.-Ing. Harm van der Dussen
Kenan Pieper
Jessika Thies
Univ.Prof. Trudel Gierschner MBA.
Norman Fechner
Herr Ilhan Tröst B.A.
Manuela Linke B.Eng.
Käthe Ernst
Ing. Emmy Beer
Dr. Lars Klemt
Guntram Warmer
Giuseppe Preiß
Edmund Scholtz B.Sc.
Heinz-Günter Mülichen
Hans-Rudolf Huhn
Bekir Bonbach
Filippo Jungfer-Kabus
Annegrete Jäkel
Philipp Reising-Harloff
Prof. Gaetano Weiß
Kai-Uwe Bohnbach
Mirjana Schlosser B.Eng.
Klaus-Jürgen Jockel
Salvatore Ruppersberger
Rosina Klotz B.A.
Susanna Söding
Urban Klemt
Jens Drubin
Danilo Ehlert
Dorothee Renner
Prof. Irma Bien B.Eng.
Corinne Koch II
Klaus-Dieter Koch II B.A.
Wenzel Wilmsen
Univ.Prof. Herta Zänker
Prof. Pedro Schmidt B.Eng.
Ottomar Hermann
Marek Hesse B.Eng.
Berndt Barkholz
Karlheinz Martin
Victoria Hornig
Prof. Alina Barth
Elizabeth Budig
Aenne Sölzer B.A.
Tülay Schmidtke B.Sc.
Falk Höfig
Senol Hande MBA.
Anita Mohaupt
Ing. Bianca Paffrath
Monja Heidrich
Liesbeth Schlosser
Eugen Weitzel
Dipl.-Ing. Augusta Lachmann B.A.
Dr. Tim Hornig B.Sc.
Prof. Ulla Dussen van B.Sc.
Anthony Oderwald
Irmingard Meyer MBA.
Anneliese Wähner
Ronny Scholtz
Timm Schönland
Susi Schuchhardt
Nikolas Hövel
Univ.Prof. Gino Wagner B.Sc.
Herr Erich Rosenow
Prof. Hans-Peter Noack B.A.
Josefa Lange
Andre Stroh
Ladislaus Stadelmann
Helma Fliegner
Amanda Fechner-Weinhage
Dipl.-Ing. Nathalie Radisch
Tilman Henschel
German Speer
Univ.Prof. Henryk Kostolzin
Pedro Beer
Dipl.-Ing. Stefano Wernecke B.A.
Ludwina Beer
Gabriela Girschner
Heinrich Putz B.Sc.
Jonas Löchel
Wiltrud Geißler
Robin Weinhage B.A.
Witold Heintze
Ingried Ullmann
Herr Dursun Hentschel B.Eng.
Rena Radisch
Angelique Speer B.A.
Mohammed Ritter
Yusuf Nette B.Sc.
Ing. Klaus-Michael Bolzmann
Reinhold Schönland
H.-Dieter Mülichen B.A.
Ralf-Dieter Sauer-Hermighausen
Kornelius Heintze-Baum
Yusuf Seifert
Diana Weitzel
Kreszentia Pölitz-Karge
Karl Ruppersberger
Prof. Robert Heintze
Ricarda Steuer
Katharina Speer
Sylvester Bachmann
Thorben Henk-Mende
Carmen Textor-Krebs
Frau Margitta Staude
Fernando Gieß
Ing. Celal Textor
Hans-Joachim Pohl
Prof. Emil Kruschwitz
Herr Aleksandr Wiek B.Sc.
Annaliese Hettner B.A.
Norman Ditschlerin MBA.
Ing. Ortrun Weimer
Maurizio Tschentscher
Prof. Hans Dieter Kitzmann MBA.
Dr. Anna-Maria Zahn B.Sc.
Ivo Wesack B.Sc.
Tino Metz
Konstantin Knappe
Meral Reinhardt
Univ.Prof. Gottfried Süßebier
Linus Mans-Röhrdanz
Edgar Jüttner
Felicia Löffler
Leokadia Putz
Josip Kuhl
Evangelos Staude
Univ.Prof. Veli Etzler
Wally Bien-Kraushaar
Marcella Holzapfel
Herr Torsten Hermighausen B.Sc.
Hanife Ullrich
Hilmar Ziegert
Dr. Steven Wohlgemut
Ing. Karl-Peter Weinhold B.Sc.
Gitta Mohaupt
Tülay Gnatz-Sorgatz
Mercedes Christoph
Ralph Hellwig-Lachmann
Domenico Nohlmans-Eberhardt
Prof. Irmgard Mühle
Polina Kostolzin
Univ.Prof. Frederike Heintze
Hannah Stiffel-Börner
Marica Martin
Osman Schmidtke
Dorina Weinhage
Univ.Prof. Alexandros Junk
Dr. Wilfriede Reuter
Hedi Bärer
Dr. Annaliese Lindner
Janina Faust MBA.
Grit Karz
Svetlana Bohlander B.Sc.
Zeljko Meyer
Monica Drub-Davids
Jennifer Trapp
Hans-Jörg Trupp-Säuberlich
Prof. Kordula Vollbrecht B.A.
Norma Jungfer
Ramona Henk B.Sc.
Ivanka Berger-Kraus
Ing. Eugenie Kreusel MBA.
Annelie Metz
Raissa Mitschke MBA.
Dr. Leopoldine Kostolzin
Mary Reuter B.Sc.
Annerose Eckbauer
Zoran Oestrovsky
Univ.Prof. Roger Stadelmann B.Sc.
Paul-Gerhard Jungfer B.Eng.
Univ.Prof. Gislinde Rohleder
Ruthild Schüler B.Eng.
Hans-Günther Scheuermann B.Eng.
Rotraut Ullrich
Hans-Bernd Zobel
Slawomir Tlustek B.A.
Prof. Mirko Adolph B.A.
Adina Finke
Univ.Prof. Gottlob Tröst B.Eng.
Daniele Seip
Dr. Antonia Schomber B.Sc.
Prof. Jelena Naser
Frau Trude Walter B.A.
Ing. Roman Tröst
Georgia Liebelt
Susanna Weitzel
Eckhard Weitzel
Dr. Editha Rohleder
Arne Dobes
Josefa Hauffer
Valeri Mielcarek
Alwine Wulf
Dipl.-Ing. Ana Rosemann
Armin Hellwig-Finke
Franz Ortmann B.Eng.
Juergen Beier B.A.
Wally Fliegner
Inge Paffrath
Raymond Speer
Prof. Bianka Reinhardt
Zofia Schönland B.Sc.
Lidwina Jockel
Rigo Conradi
Woldemar Heydrich B.Eng.
Torsten Schwital-Gude
Mariusz Baum
Janusz Killer
Heimo Huhn B.A.
Manja Stadelmann
Jeannine Gieß
Gernot Hornich B.A.
Prof. Liane Jungfer
Henni Ullmann MBA.
Josip Stey
Dr. Zenta Holsten
Ing. Marlene Wirth B.Sc.
Marie-Luise Rogner
Reni Rosemann MBA.
Dr. Edda Hecker B.Eng.
Halina Austermühle-Bender
Dipl.-Ing. Gertraut Stolze
Ekaterina auch Schlauchin
Heide Schottin
Ludmila Stadelmann
Zehra Ernst-Bohnbach
Dr. Alena Hövel
Univ.Prof. Undine Junken MBA.
Friedl Hölzenbecher-Eberth
Heinz-Werner Briemer B.A.
Karola Zorbach B.Eng.
Attila Atzler
Erol Jäntsch
Oliver Kohl
Theodor Bolnbach-Kroker
Senol Harloff-Lindau
Burghard Hamann-Dippel
Herr Falk Holzapfel
Kornelius Hornig MBA.
Erik Trupp MBA.
Prof. Angelique Seidel MBA.
Dorit Zimmer-Krein
Alicja Sorgatz
Hans-Bernd Kabus
Monique Schleich-Kroker
Radmila Kraus-Schacht
Alexej Liebelt
Dorit Ebert
Friedrich-Wilhelm Metz
Danilo Hein-Scheibe
Silvester Fischer
Ansgar Tlustek MBA.
Dipl.-Ing. Stefano Ditschlerin
Hugo Keudel B.A.
Joseph Gorlitz-Bloch
Dipl.-Ing. Kevin Stadelmann
Karl-Ernst Drewes-Drubin
Prof. Marie Plath
Rosa-Maria Losekann-Schulz
Ing. Aldo Radisch
Verena Höfig
Hans-Gerhard Döhn
Ing. Philipp Textor
Prof. Gabriella Holt B.Eng.
Stella Mülichen
Jasmina Zorbach
Frau Ilka Pärtzelt B.Eng.
Julian Lehmann-Ortmann
Hanne-Lore Losekann B.Sc.
Ing. Justina Fiebig
Ellen Jessel-Walter
Fredi Huhn
Orhan Mude
Melitta Steinberg
Prof. Amir Reising MBA.
Kenan Wulff-Plath
Univ.Prof. Ahmet Birnbaum MBA.
Nadia Wirth
Ing. Anika Jüttner
Reingard Klingelhöfer
Univ.Prof. Maxim Matthäi
Egon Ruppersberger B.Sc.
Hans-H. Naser
Ernst-August Gunpf
Wiebke Gehringer
Dr. Achim Barth
David Faust-Holsten
Michaele Klotz B.Eng.
Heinz-Otto Linke
Ing. Swen Ehlert
Dr. Ursel Gute
Hans-Erich Mende
Irmi Schacht
David Losekann
Frau Carola Scheibe MBA.
Richard Drub
Fredo Paffrath-Kohl
Ing. Christiana Seip
Arno Mude
Dr. Marija Stiebitz
Inga Wieloch
Halil Löwer
Magda Geißler
Evelyne Beyer
Patrizia Wirth
Pius Jopich B.Eng.
Marisa Hartmann-Kusch
Branka Mentzel
Luzie Sager-Gierschner
Thea Nette
Augustin Ernst
Dr. Luisa Anders B.A.
Hans-Martin Kohl
Peer Jähn
Victoria Hiller
Kilian Austermühle B.A.
Marga Vogt
Univ.Prof. Kata Zahn
Zenta Mende
Herr Emin Trubin
Martina Hartung
Prof. Danny Bähr B.Eng.
Michaele Neureuther
Irina Seip-Bolnbach
Diedrich Scheel-Hübel
Gerard Scholl
Damian Bauer
Ljubica Wohlgemut-Schmidt
Gülten Peukert
Aribert Herrmann
Univ.Prof. Teresa Weinhage B.A.
Maximilian Hellwig
Michaela Döhn
Sören Trommler
Andreas Trapp
Carl-Heinz Steinberg
Heidemarie Kreusel
Herr Bertold Löffler
Ildiko Mitschke B.Sc.
Ekaterina Wieloch
Theresia Henck
Alfred Tröst-Stahr
Michaela Kade
Evangelia Stumpf-Ruppersberger
Prof. Gertrude Renner B.A.
Marcella Franke B.A.
Alena Hänel
Anke Hettner
Tülay Scholtz
Jurij Eimer
Björn Rädel-Rohleder
Tomas Säuberlich B.A.
Alma Kaul
Ferdinand Junck-Hölzenbecher
Markus Eimer
Univ.Prof. Ottmar Jopich
Prof. Sibel Wohlgemut B.Sc.
Univ.Prof. Heinz-Werner Renner B.A.
Rosalia Pruschke
Ing. Fredi Löffler
Domenico Gerlach-Kramer
Erkan Beier
Univ.Prof. Evelyn Seifert B.A.
Univ.Prof. Oscar Lindau MBA.
Univ.Prof. Sebastian Sontag
Karl-Peter Heser
Barbara Kambs
Dipl.-Ing. Detlef Schacht
Herr Darius Heuser
Maria-Theresia Tschentscher
Gertraude Ruppersberger
Norbert Eimer
Dietlind Drubin
Annamaria Kade-Fischer
Gottlob Römer
Ing. Ayse Mangold MBA.
Veit Beckmann
Univ.Prof. Erhard Heuser MBA.
Igor Dörschner
Concetta Dehmel
Jorge Killer
Ramona Sontag
Damian auch Schlauchin B.Eng.
Prof. Julia Möchlichen B.A.
Gaetano Lübs
Annaliese Gute
Ing. Boris Junck MBA.
Gottfried Martin-Martin
Linda Ziegert-Junken
Hans-Jürgen Barth
Filippo Patberg
Dr. Regine Gotthard
Volkmar Trub
Bernard Karge
Ewald Rädel-Rörricht
Marek Ackermann
Margareta Lübs-Vollbrecht
Lore Margraf
Ing. Hans-Wolfgang Weitzel B.Sc.
Herr Johann Kostolzin
Agathe Jäntsch-Käster
Zeljko Gieß
Svenja Salz
Univ.Prof. Philip Kranz B.Sc.
Josefine Rosemann
Silke Scheuermann B.Sc.
Joana Preiß
Univ.Prof. Harro Weller
Augustin Carsten
Herta Keudel
Brunhilde Heinz MBA.
Thomas Kraushaar
Heinrich Kramer
Rosina Otto
Anne Zorbach
Dipl.-Ing. Adriana Geißler
Stilla Dobes
Harri Heuser
Arzu Wieloch-Röhrdanz
Prof. Volker Hermann
Helen Tschentscher
Prof. Guenter Mosemann
Ing. Anastasios Berger
Ariane Löchel
Cordula Schmiedecke-Wilms
Kay-Uwe Mühle
Urban Geißler B.A.
Malte Davids
Frau Julie Wieloch
Teresa Jessel
Zoltan Wilms
Veli Rädel
Gisela Paffrath
Dorota Mude
Dörthe Roht
Otmar Ditschlerin
Anny Zirme
Dr. Marie-Theres Möchlichen B.A.
Irmtraud Hauffer-Matthäi
Angela Hamann
Niko Gutknecht B.Sc.
Prof. Fabian Scholl MBA.
August Weihmann
Heiner Pieper
Jerzy Wagenknecht B.A.
Sabrina Schomber
Ing. Valeria Kruschwitz
Eva Mosemann
Roberto Jockel
Albrecht Seifert B.Sc.
Sylke Binner B.A.
Adina Mitschke
Ing. Marko Linke
Uschi Keudel
Karla Conradi
Herr Bartholomäus Adolph MBA.
Dipl.-Ing. Igor Henck B.A.
Dominik Jungfer
Marten Möchlichen
Heinz-Josef Jähn MBA.
Eva-Maria Geisler
Herr Valentin Warmer
Dajana Ring
Kristiane Zahn
Diether Dussen van-Rohleder
Herr Günther Krein MBA.
Ing. Valentine Scheibe
Prof. Diether Neureuther
Othmar Hölzenbecher
Käthi Löffler
Gertrude Pieper
Christin Hein B.Sc.
Malgorzata Rohleder
Alexandre Häring
Kriemhild Warmer
Bert Ortmann
Camilla Gunpf
Gottfried Keudel MBA.
Reiner Ziegert-Walter
Mariola Tlustek MBA.
Hans-J. Atzler
Frau Elsa Mälzer
Torben Schweitzer
Dr. Annelene Hamann
Wieslaw Oestrovsky MBA.
Lothar Beckmann
Marianna Karge
Marek Mitschke B.Sc.
Felicitas Kensy-Stey
Frau Waltraud Weitzel B.A.
Ing. Siegmund Hertrampf MBA.
Isa Kramer-Matthäi
Dr. Lilija Butte B.A.
Philipp Walter-Löffler
Dr. Saban Hoffmann B.Eng.
Gesche Trub
Prof. Marie-Theres Löffler B.Sc.
Denny Kusch
Heinz-Gerd Gorlitz B.Eng.
Ing. Lisette Kaul B.A.
Herr Benedikt Säuberlich
Irmi Zobel
Osman Salz MBA.
Mohammed Geißler
Gino Hövel B.Sc.
Ortrun Siering
Gerold Schuchhardt B.Sc.
Alexej Kohl
Ing. Petar Hänel MBA.
Sibille Kallert
Geert Rust
Roger Wagenknecht
Giovanna Zobel-Liebelt
Minna Wernecke-Gumprich
Bertold Schenk
Hanns Zänker B.A.
Monique Stroh
Dipl.-Ing. Ismet Käster B.Eng.
Manuel Wagenknecht
Liliane Steuer
Marleen Heser
Ing. Elenore Kostolzin
Sigmar Zobel
Käte Ditschlerin-Roht
Ferdi Hoffmann
Gisela Carsten B.Sc.
Eugenia Anders B.A.
Albert Butte
Ing. Louis Eckbauer B.Eng.
Dr. Senol Beier MBA.
Dr. Halina Mälzer
Irmengard Eckbauer
Mijo Seidel B.Sc.
Jose Tlustek B.Sc.
Korbinian Werner
Karl-Heinz Buchholz
Claire Junk
Aleksandra Benthin
Theodor Niemeier
Dipl.-Ing. Eberhardt Fechner
Calogero Hoffmann B.Eng.
Egbert Bender
Kasimir Albers-Stiebitz
Annelie Heuser
Ing. Rolf Gertz
Anatol Gude MBA.
Theodor Striebitz
Univ.Prof. Aleksander Wiek B.A.
Birgid Schüler
Ing. Mariechen Nerger B.Eng.
Univ.Prof. Ewald Rogner B.Sc.
Kreszentia Bloch-Steckel
Notburga Huhn
Romy Etzold
Karl-Peter Hering
Dr. Guntram Kusch
Prof. Marten Söding B.A.
Prof. Friedbert Tschentscher B.Eng.
Frau Inken Seip B.Eng.
Svea Krebs-Scheibe
Bruno Wagenknecht
Harri Mans
Janina Seifert
Tilman Eberhardt
Ernst-Dieter Rörricht B.Eng.
Elvira Scholtz
Hubertus Dörschner
Dipl.-Ing. Theda Weinhold B.Eng.
Susi Seifert
Constance Rogge
Bertram Eigenwillig
Walli Baum-Kohl
Herr Arnulf Kohl
Bozena Meyer
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Margareta Losekann
Helmtrud Atzler
Chantal Kade
Kunigunda Reising
Heinz-Wilhelm Steuer-Mende
Waltraut Gehringer
Dietlind Albers
Franz Löwer
Zbigniew Schleich-Huhn
Evangelos Beyer
Wiebke Caspar B.A.
Dorothee Seidel
Dr. Vitus Franke
Dipl.-Ing. Undine Warmer
Malte Kallert-Möchlichen
Ehrenfried Stiffel
Prof. Apollonia Gerlach B.Sc.
Helga Franke
Univ.Prof. Aysel Lindau
Dipl.-Ing. Lilly Boucsein B.Sc.
Wilma Pärtzelt-Huhn
Frau Gudrun Huhn B.Sc.
Univ.Prof. Emine Vogt B.Sc.
Marcella Sölzer
Sergei Ritter
Silja Jüttner
Ing. Nuran Schaaf
Hansjörg Holsten
Marvin Kade-Ladeck
Univ.Prof. Nikolaus Sölzer B.A.
Stefanie Hertrampf MBA.
Reimar Klemm MBA.
Frau Marie-Therese Mielcarek
Ignaz Warmer
Herr Roman Schwital MBA.
Hanspeter Koch II-Wohlgemut
Friedericke Ring MBA.
Frau Christiane Zänker B.A.
Stephen Tintzmann
Kriemhild Junk MBA.
Dipl.-Ing. Till Säuberlich
Univ.Prof. Frieder Döhn MBA.
Gunnar Weimer
Arzu Ullrich
Ing. Sebastian Killer B.A.
Dina Koch
Dipl.-Ing. Amanda Striebitz
Dipl.-Ing. Agatha Pruschke
Ingetraud Fiebig
Benjamin Lübs
René Rose-Krebs
Univ.Prof. Markus Schottin
Faruk Köhler
Herr Konstantin Neureuther B.A.
Marcel Fechner
Almuth Rosenow-Schönland
Univ.Prof. Kreszenz Wulf B.A.
Ilija Höfig
Dr. Ellen Schlosser B.A.
Marco Schinke B.Eng.
Änne Wagner
Kristina Wernecke
Mareen Mies B.Eng.
Mark Lindau
Christiane Wirth B.Eng.
Birthe Graf
Ing. Alexandros Vogt MBA.
Zeljko Hiller-Misicher
Fred Wende
Claire Faust B.A.
Dr. Marliese Junck B.Sc.
Ole Süßebier MBA.
Bertha Köhler
Gerwin Bonbach-Fliegner
Kathi Etzler
Valentin Steuer-Mans
Yvette Schinke
Uli Wohlgemut-Stadelmann
Zita Winkler
Süleyman Wende
Carla Hecker
Sofia Etzler B.Eng.
Francisco Wirth
