Student
Helge Schuchhardt
Univ.Prof. Inga Hermighausen B.Eng.
Georgine Schäfer
Siegbert Kranz
Hilde Walter
Vinko Schmiedecke-Hendriks
Klaus-Günter Kreusel
Guenter Lachmann
Ekrem Pruschke-Jäkel
Leonore Hettner-Staude
Ralf-Dieter Riehl B.Eng.
Herr Jens Ritter B.Eng.
Romy Baum
Lena Dowerg
Herr Rigo Krebs B.Eng.
Dr. Annelies Stumpf
Rotraut Bachmann
Elly Hande
Timm Schleich
Dagmar Jungfer
Hans-Karl Christoph-Schleich
Benita Neuschäfer
Olga Albers B.Sc.
Adalbert Reising
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Karl-Georg Römer B.A.
Gitta Berger
Ottokar Fliegner
Branka Speer B.A.
Fredy Ring
Centa Krebs-Stadelmann
Veronica Benthin
Univ.Prof. Ortwin Geisler MBA.
Prof. Bärbel Ladeck B.Eng.
Vassilios Davids
Univ.Prof. Jann Schleich
Esther Ehlert
Monja Weiß
Alois Jungfer B.Eng.
Emanuel Scholz B.Eng.
Univ.Prof. Anna-Luise Faust
Maren Bruder
Johanna Stumpf
Ludmila Patberg
Rosa Heuser
Nicolaus Seifert
Michel Heß
Herr Alois Thanel B.Sc.
Heinz-Werner Briemer B.A.
Marjan Pölitz B.Eng.
Dipl.-Ing. Alexandros Weinhold
Elisa Karz-Rohleder
Thomas Hänel
Univ.Prof. Josefine Gerlach
Univ.Prof. Almuth Cichorius B.Eng.
Mikhail Bauer
Ullrich Preiß
Carla Tintzmann
Univ.Prof. Siegfried Karz B.Sc.
Armin Hellwig-Finke
Ben Schomber
Karolina Reuter-Freudenberger
Thekla Schäfer
Liliane Koch II
Jost Gröttner-Mülichen
Univ.Prof. Beate Gude
Tomasz Bolnbach
Univ.Prof. Jane Mans B.Eng.
Ruben Trubin
David Warmer
Rosalia Heydrich
Prof. Augustin Stey B.A.
Anne-Marie Drewes
Ida Buchholz B.Eng.
Albert Hartmann-Lachmann
Concetta Dehmel
Margareta Klingelhöfer
Kasimir Albers-Stiebitz
Pero Römer
Ekrem Spieß
Oliver Bien
Arnulf Ullmann
Greta Baum
Inken Hellwig-Hermann
Therese Neureuther
Frau Beatrix Bonbach B.A.
Theresa Schüler
Ljudmila Krebs
Dipl.-Ing. Giorgio Drubin B.Eng.
Gina Killer
Hans-Uwe Noack-Fröhlich
Ing. Hüseyin Gutknecht B.Sc.
Mariele Bolander
Theresia Liebelt
Uli Schönland-Trupp
Nadja Ladeck B.Sc.
Elmar Fröhlich
Samir Wähner-Butte
Anna-Marie Heidrich
Mareike Lübs
Jörg-Peter Klemt MBA.
Klaudia Reuter B.A.
Ljubica Wohlgemut-Schmidt
Sofia Roht MBA.
Karl-Peter Heser
Ehrentraud Hänel-Dussen van
Eckart Cichorius
Svea Krebs-Scheibe
Margareta Dörschner B.Sc.
Henri Wirth
Prof. Irma Bien B.Eng.
Angelika Roskoth
Teresa Schönland
Annekatrin Trupp
Eva Wende-Peukert
Timo Huhn
Dr. Songül Tlustek MBA.
Sara Johann
Uschi Keudel
Herlinde Schenk B.A.
Marcella Franke B.A.
Ing. Jenny Oestrovsky
Dipl.-Ing. Lilly Junken MBA.
Dorit Köster
Lidija Löchel B.A.
Konstantin Knappe
Tassilo Beckmann
Engin Schenk
Carmine Hauffer
Insa Jacobi Jäckel
Dipl.-Ing. Hannelore Kostolzin
Ludmila Dobes B.A.
Felix Freudenberger
Irmengard Jüttner B.Eng.
Katrin Oestrovsky-Fechner
Magdalene Patberg-Mosemann
Ing. Tillmann Geisel
Herr Hermann-Josef Hauffer
Curt Mühle
Wilhelm Metz
Cosimo Girschner
Ing. Leopold Hoffmann
Miguel Dussen van B.Eng.
Lena Losekann
Dr. Katalin Knappe B.Eng.
Ditmar Dehmel
Dipl.-Ing. Meral Beyer
Prof. Gülay Birnbaum
Melissa Stey
Elena Pruschke
Mike Röhricht-Hauffer
Senol Hande MBA.
Niklas Scholtz
Hakan Kitzmann-Scholl
Ilonka Noack
Wiebke Gehringer
Dr. Hedda Radisch
Danuta Kreusel
Gislinde Müller
Birgitta Loos
Ricarda Fröhlich B.A.
Leila Hethur
Clarissa Buchholz
Janett Zorbach
Marga Scholz
Dr. Abdullah Becker
Antonina Wagner
Sigmund Herrmann MBA.
Tino Paffrath B.Eng.
Osman Liebelt
Irmtraut Fröhlich-Hertrampf
Dr. Gabriela Geißler
Istvan Patberg-Anders
Reinhard Beckmann
Dierk Gunpf B.A.
Gerd Beckmann-Gnatz
Marlene Steckel B.A.
Gilbert Bolnbach
Dr. Aysel Kohl
Madeleine Hartung
Jerzy Wagenknecht B.A.
Tony Wende
Wolfhard Jäkel MBA.
Daniele Finke
Monika Krein B.Eng.
Eggert Börner-Geisler
Frau Ariane Weinhage MBA.
Wulf Caspar
Univ.Prof. Philippe Thies B.Eng.
Lili Weimer
Dr. Klothilde Lachmann B.A.
Karl-Dieter Süßebier
Franz-Josef Etzold
Dipl.-Ing. Tina Kranz MBA.
Marko Kensy-Atzler
Constantin Kostolzin
Ing. Claire Hübel
Marlies Seifert-Roht
Isa Knappe-Biggen
Friedrich-Karl Weimer
Dipl.-Ing. Mahmoud Mühle B.Eng.
Lorenz Schwital-Stadelmann
Edeltraut Klemt
Ehrentraud Meyer MBA.
Reimar Kabus
Bekir Bonbach
Prof. Gertraude Mangold B.Eng.
Silke Heydrich-Albers
Gerolf Döring-Buchholz
Ing. Tilman Kitzmann
Leonid Hein B.Sc.
Dr. Jost Hiller B.Sc.
Curt Jopich
Prof. Andrzej Gorlitz
Ilija Fischer
Sevim Schmiedt-Döhn
Ursel Conradi
Gina Pieper
Dr. Sonia Hornich B.Eng.
Heinz-Wilhelm Säuberlich MBA.
Kay-Uwe Trommler
Univ.Prof. Irene Budig
Änne Schweitzer-Putz
Gloria Mosemann
Hannes Meyer
Micha Albers-Wilms
Siegrid Schmiedt
Antonie Ladeck
Toni Schottin B.A.
Karl-Peter Kramer
Sylvie Börner
Heidelinde Pruschke
Prof. Sonia Blümel
Heinrich Köster
Dr. Jeanette Schuchhardt B.Eng.
Prof. Natalija Weinhold
Cläre Bruder-Hentschel
Guntram Scholz MBA.
Anthony Oderwald
Adina Kallert
Dipl.-Ing. Frederik Rörricht B.Sc.
Hajo Jäntsch
Gert Kensy B.A.
Franz Ortmann B.Eng.
Ehrhard Bohnbach B.Eng.
Fredi Wilmsen
Dr. Friedhilde Adler MBA.
Frank-Michael Klemt
Julian Dussen van B.Eng.
Dr. Diedrich Atzler
Ulla Hamann
Valeska Geisler B.Eng.
Nadeshda Mentzel
Gunhild Kroker
Sergio Schleich
Mariusz Baum
Angelica Lorch B.Eng.
Alexandra Butte
Giovanna Zobel-Liebelt
Natalia Fröhlich-Kabus
Maritta Bien
Ricarda Warmer B.A.
Frau Juliane Schulz B.Sc.
Dr. Gaby Sontag MBA.
Dipl.-Ing. Nuray Mude B.Sc.
Hanns Ehlert MBA.
Alice Hesse
Benita Hahn-Wieloch
Eberhard Pechel
Melanie Jungfer-Preiß
Xenia Hermann
Maik Oestrovsky B.Sc.
Sigmund Kensy
Vincenzo Jopich
Dr. Damian Scheel
Hans Josef Reinhardt B.A.
Marina Radisch
Dr. Gunther Jähn B.A.
Rainer Henk-Gotthard
Hermine Eberhardt
Anica Sorgatz B.Sc.
Prof. Marie Plath
Dragica Rosenow
Dipl.-Ing. Robert Köhler
Alexej Wagner
Clara Gehringer
Reinhold Hellwig-Mülichen
Anatolij Trub
Ing. Elisabet Jopich B.Sc.
Marie-Louise Hendriks-Dörschner
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Hansgeorg Klotz
Katerina Hauffer
Franka Mitschke B.Sc.
Ignatz Börner
Hans-Theo Bärer B.Eng.
Prof. Monique Budig B.Eng.
Rebecca Börner
Friederike Sölzer-Hentschel
Univ.Prof. Dolores Jäkel
Suzanne Holzapfel
Karl-Georg Zahn
Herr Mario Thanel
Dr. Luciano Ortmann
Pavel Ehlert
Benita Schleich
Prof. Götz Finke
Ulf Kensy MBA.
Evamaria Berger
Herr Hans-Detlef Grein Groth
Ing. Augustin Budig B.Eng.
Prof. Gundula Dörr B.Sc.
Gina Wulff B.A.
Klothilde Blümel B.A.
Dr. Meral Thies B.Sc.
Nathalie Langern
Alfredo Oestrovsky
Aurelia Sorgatz
Dr. Lisa Kusch
David Losekann
Vanessa Hornig
Felizitas Becker-Mosemann
Vittorio Harloff
Rosl Trupp
Dr. Janos Reising
Marina Wilmsen
Alicia van der Dussen-Patberg
Aziz Bähr B.A.
Margarethe Wagenknecht
Ellinor Kraus
Dipl.-Ing. Milos Klemt
Herr Tomislav Ladeck
Milos Trüb
Dr. Annaliese Lindner
Ing. Carolin Anders
Dorothea Finke
Josefine Rosenow-Hertrampf
Albina Stadelmann
Ralph Jessel B.A.
Zdravko Jacob
Prof. Maria-Luise Drub B.Sc.
Julia Mosemann
Joerg Döhn
Klaus-Werner Jäkel-Holsten
Andy Mangold
Hedi Bärer
Kevin Etzler
Timm Freudenberger-Henschel
Falko Schüler
Andreas Birnbaum-Kallert
Heinz-Dieter Gute
Niko Butte-Rosenow
Wibke Tschentscher-Wulf
Elisabeth Wieloch-Boucsein
Walentina Hesse
Viktor Bauer
Frau Hella Stumpf
Magdalena Warmer MBA.
Hans-Friedrich Ruppert-Ullrich
Bayram Hering
Edelgard Finke B.Eng.
Aenne Sölzer B.A.
Annelore Bolander
Alwina Koch
Lorenz Schüler B.A.
Univ.Prof. Heidrun Hiller
Mia Ullmann
Ing. Rosalinde Rogner MBA.
Reiner Conradi
Dipl.-Ing. Gülten Hoffmann B.Eng.
Karl-Wilhelm Weiß
Elke Huhn
Heinz-Willi Jockel
Ahmad Jacobi Jäckel
Ing. Engelbert Bauer
Alena Hänel
Prof. Karl-Ernst Möchlichen
Miriam Juncken
Konstantin Rogner
Horst-Günter Renner
Prof. Anica Haering B.A.
Bertram Segebahn
Prof. Axel Davids MBA.
Silvia Eberth
Julie Mentzel
Adelinde Gutknecht-Beier
Leonhard Adolph
Willibald Boucsein B.Sc.
Ing. Bernfried Haering
Ing. Sibel Mies
Telse Steuer B.Eng.
Filippo Jungfer-Kabus
Dipl.-Ing. Mirella Franke MBA.
Anna Lübs
Sibilla Bachmann
Freddy Hande
Ute Möchlichen
Dr. Stephanie Ladeck
Karl-Dieter Seifert
Albin Fischer B.Eng.
Ing. Zbigniew Warmer MBA.
Hans Jürgen Lange
Ditmar Bien
Dr. Filippo Eberhardt B.Eng.
Hansjürgen Eberth
Liselotte Lindau
Prof. Marion Martin
Ing. Abraham Thanel B.Eng.
Ana Heinz B.A.
Hermine Schüler
Gundel Dietz
Hans Dieter Stahr
Ole Schmidtke
Ing. Gordana Bruder MBA.
Prof. Natalja Mies MBA.
Dipl.-Ing. Katarina Schmidtke
Anna-Marie Zorbach
Dipl.-Ing. Dajana Beer
Dipl.-Ing. Canan Pölitz B.Eng.
Bärbel auch Schlauchin
Hans-Detlef auch Schlauchin-Fischer
Roman Bloch
Johann Oestrovsky
Bartholomäus Karge B.Eng.
Gerolf Radisch
Klara Blümel
Otmar Schmidtke
Dajana Ruppert
Gottlob Römer
Amanda Heinz
Univ.Prof. Ivonne Haase B.Sc.
Rolf-Peter Staude
Dr. Marianne Reising
Dr. Cäcilia Henk B.Eng.
Nadine Sauer
Univ.Prof. Halil Staude
Ing. August Hellwig B.Eng.
Richard Drub
Marek Ackermann
Dipl.-Ing. Aleksandra Wagner MBA.
Lutz Röhricht B.A.
Dipl.-Ing. Harm Ruppert MBA.
Anka Förster
Henri Wilms
Ingetraud Freudenberger
Univ.Prof. Ayten Lorch
Malte Kallert-Möchlichen
Ing. Pavel Weller B.Eng.
Frida Süßebier
Arndt Weinhold MBA.
Hans-Albert Preiß-Scheel
Daniele Heintze B.Eng.
Gerwin Ortmann
Janina Faust MBA.
Edelgard Neureuther-Vollbrecht
Justina Neureuther
Mareen Mans
Pirmin Boucsein MBA.
Isabell Briemer
Prof. Marika Davids B.A.
Irmi Koch
Cristina Salz B.Sc.
Prof. Hans Dieter Kitzmann MBA.
Iris Kraushaar B.Sc.
Adelinde Gumprich MBA.
Augustin Jopich
Ralf-Peter Gute
Lene Sauer
Rebekka Lindau MBA.
Univ.Prof. Marko Schmiedecke MBA.
Gerti Ullrich
Josephine Schweitzer
Diethard Gude
Herr Bastian Ritter B.Sc.
Univ.Prof. Czeslaw Heuser
Ralf-Peter Ebert
Daria Stiffel
Berta Hörle-Börner
Gerwin Textor
Siegmund Schleich MBA.
Greta Hermighausen
Herr Bertold Löffler
Alexander Hörle
Lukas Ditschlerin
Ludwina Fritsch
Univ.Prof. Evelyn Seifert B.A.
Julia Heinrich
Hans-Jörg Lachmann
Edelbert Bruder
Benno Klemt
Mandy Trüb
Beate Nette
Bela Köster
Czeslaw Jacob B.Eng.
Alexej Kohl
Katrin Ortmann
Ortrun Krebs
Alena Steuer
Rüdiger Heinrich
Gaby Noack
Malgorzata Pieper
Hermann-Josef Zimmer
Gerta Beer
Elwira Hellwig
Annaliese Gute
Brigitta Walter
Theo Trubin
Ing. Marie-Therese Seifert
Fatma Seidel B.A.
Dr. Lidwina Oestrovsky
Birgid Drewes-Seifert
Gerhart Hentschel
Prof. Heinz-Peter Sager
Ronald Henschel
Gabi Klapp
Anika Holsten
Ing. Marga Lehmann MBA.
Gisa Budig-Löwer
Bert Junck
Bianka Holsten
Ing. Sina Johann MBA.
Frithjof Mielcarek MBA.
Gino Häring
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Stilla Dobes
Uschi Trüb
Hartmuth Eberhardt
Dr. Uta Gumprich
Hans-Erich Warmer B.A.
Alma Kaul
Herr Arnulf Kohl
Karl-Hans Fiebig
Ute Conradi-Trüb
Gerda Gröttner B.Sc.
Raphael Höfig
Janus Walter
Frau Melita Huhn
Dr. Mohammed Höfig
Gebhard Seidel
Univ.Prof. Cord Becker
Dr. Almut Peukert MBA.
Liane Gröttner
Jolanda Jopich
Benita Geißler
Bruno Hethur
Balthasar Klemm
Bianka Schuster-Ziegert
Cilli Röhricht
Daniele Hering
Dipl.-Ing. Gisela Schuster B.A.
Ilse Krebs
Eitel Ernst
Hertha Gieß
Walfried Siering
Sina Patberg
Willibald Seidel
Ing. Hanny Schlosser MBA.
Fatma Löffler B.Sc.
Univ.Prof. Kevin Juncken B.Eng.
Brunhilde Heinz MBA.
Frau Katarina Bolander B.Sc.
Dr. Danica Scheuermann B.Sc.
Ing. Klaus-Dieter Karge MBA.
Prof. Grete Müller
Lissi Thanel MBA.
Stephen Lübs
Hasso Zahn
Herr Otto Vollbrecht
Dr. Helge Täsche MBA.
Univ.Prof. Albertine Köhler MBA.
Ing. Aldo Pechel B.Eng.
Heribert Kensy
Wenzel Wilmsen
Rudolf Mentzel
Dipl.-Ing. Friedrich Hiller B.Eng.
Walter Pruschke
Prof. Friedo Reuter
Uli Wohlgemut-Stadelmann
Erkan Trub
Frau Franziska Trupp B.Sc.
Mirella Löchel
Dr. Gerard Reichmann MBA.
Ilona Roskoth-Bolander
Marleen Etzler
Käthi Faust-Gorlitz
Hellmut Nerger
Susanna Weitzel
Danilo Hartmann
Juergen Bähr
Claudio Bolnbach
Sandor Ritter
Dipl.-Ing. Detlef Schacht
Diane Butte-Schleich
Dipl.-Ing. Rigo van der Dussen B.Eng.
Pavel Jessel
Carina Killer
Herr Peter-Michael Kensy B.Sc.
Edmund Siering
Emilia Scheel
Ing. Rosalinde Käster MBA.
Bartholomäus Trapp
Ing. Ronny Metz B.A.
Igor Zobel B.A.
Ekaterina auch Schlauchin
Torsten Pergande
Steven Weinhold B.A.
John Bauer
Dr. Jann Wesack B.A.
Anne-Rose Sorgatz
Gino Hartung
Steve Scholl-Ladeck
Dipl.-Ing. Rouven Kallert MBA.
Heino Römer
Univ.Prof. Anatoli Ritter
Aleksander Dowerg
Mona Wiek B.Eng.
Regina Ring
Dogan Sauer
Ehrentraud Kroker
Hans-Albert Schwital
Margarete Mohaupt B.Sc.
Frau Yvonne Trupp B.A.
Theresia Paffrath
Willy Kallert
Marjan Segebahn B.Eng.
Daniele Pieper-Käster
Univ.Prof. Hartwig Holsten B.Sc.
Prof. Wolfgang Mohaupt
Magda Geißler
Brita Schwital
Karlfried Ruppersberger
Hanny Martin
Dr. Jasmina Ruppert
Ingeburg Radisch-Steckel
Irmgard Weinhage-Wieloch
Dipl.-Ing. Nina Boucsein MBA.
Nurettin Börner
Gabriele Schmidt
Herwig Krebs
Bertram Rädel
Annelore auch Schlauchin-Lorch
Ing. Henrike Kramer
Ria Walter
Ing. Dorothe Junken
Dina Schmidtke
Traudel Loos
William Zirme
Lars Kallert
Sevim Ackermann
Dipl.-Ing. Edgar Gehringer B.Eng.
Victor Häring
Dipl.-Ing. Virginia Käster
Grit Röhricht-Rosemann
Hans Kohl MBA.
Univ.Prof. Jaroslav Seifert B.Eng.
Ann Werner-Wilms
Erna Schmiedt
André Segebahn
Univ.Prof. Lucia Zobel
Heinz-Georg Heidrich
Siegbert Henschel
Brit Lindner
Jonas Budig
Univ.Prof. Jörg-Peter Riehl
Falk Höfig
Ehrhard Häring B.A.
Hans-Eberhard Lübs
Frau Wendelin Heinrich B.Eng.
Brita Klemm
Stilla Heuser
Arzu Stiffel-Drubin
Heinz Dieter Zirme
Gabriella Rädel
Gert Fischer
Dursun Mies
Reingard Klingelhöfer
Meta Wagenknecht
Krista Hofmann
Kristina Röhricht
Ehrentraud Trubin
Claas Wirth B.Sc.
Veronique Oestrovsky
Volker Süßebier-Staude
Klaus-Ulrich Gude
Anastasios Heinz
Antonius Stoll-Krebs
Dipl.-Ing. Freya Höfig
Univ.Prof. Francisco Tröst B.Eng.
Janusz Beckmann
Celal Mühle
Evi Heuser
Herr Valentin Warmer
Delia Hande-Koch
Michelle Klingelhöfer B.Eng.
Univ.Prof. Aloisia Fröhlich B.A.
Univ.Prof. Paul-Gerhard Lübs MBA.
Heinrich Ackermann
Swen Schweitzer B.Sc.
Ayse Thies B.Eng.
Urban Geißler B.A.
Bertram Caspar
Ing. Klothilde Hörle B.A.
Dr. Arzu Martin B.Eng.
Mirja Dehmel B.A.
Rudi Schacht
Dr. Melitta Mans B.Eng.
Janina Seifert
Gerwin Bonbach-Fliegner
Ing. Eugenie Kreusel MBA.
Ann-Kathrin Davids
Enver Conradi-Hecker
Univ.Prof. Hans-Eberhard Bauer
Dr. Gerti Scheel
Ilias Seip
Ernestine Trommler
Johanne Kusch
Vinko Schönland B.Eng.
Hans-Dieter Scholl
Ing. Mike Stolze
Felix Wilms
Eva Wende B.Eng.
Miriam van der Dussen
Dr. Rita Kallert
Prof. Niko Atzler B.Sc.
Herr Wilhelm Schuchhardt B.A.
Luigi Wähner
Dipl.-Ing. Anneliese Kühnert
Kenan Pieper
Dorina Dippel
Madeleine Thanel MBA.
Romy Etzold
Eckart Klotz
Siegrid Hande
Marie-Luise Staude-Käster
Herr Roman Schwital MBA.
Rene Hofmann
Frau Julie Wieloch
Dr. Hans-Heinrich Kaul B.Eng.
Charlotte Hecker B.Eng.
Mehdi Niemeier-Noack
Clara Mans
Siglinde Kambs-Geißler
Ali Schmidt-Knappe
Friedbert Sorgatz
Univ.Prof. Vadim Vollbrecht B.A.
Nuran Schottin B.Eng.
Stilla Hornig B.A.
Cindy Rogge-Dippel
Gülten Peukert
Mirja Schottin
Dietmar Lindau
Ing. Maike Hölzenbecher B.A.
Helmtrud Atzler
Nuray Aumann
Hannchen Drewes B.Sc.
Alma Rörricht
Melita Hein
Prof. Beatrix Döring MBA.
Karoline Carsten
Heinz-Günter Boucsein
Kriemhild Jähn
Claudius Rust-Mans
Slawomir Bohnbach
Nikola Kitzmann
Christiana Pohl
Diedrich Lachmann-Oestrovsky
Heinrich Rogner
Amalie Gotthard
Ella Keudel
Abdul Ullmann
Alexej Liebelt
Edeltrud Koch
Hans-Georg Anders
Thorben Henk-Mende
Andre Schlosser
Rochus Gude
Ljiljana Henk
Mia Paffrath-Ortmann
Elfi Herrmann MBA.
Rose-Marie Schüler
Lorenzo Hornig
Ottomar Kraus
Univ.Prof. Gundel Atzler B.Eng.
Francesco Drub
Eva-Maria Eberth B.A.
Larissa Käster
Univ.Prof. Oscar Lindau MBA.
Harold Bähr B.A.
Ewald Hethur
Ronald Hofmann
Prof. Constance Girschner MBA.
Gudrun Geisler
James Kostolzin-Staude
Kamil Hecker-Hahn
Eckehard Steckel
Insa Karz-Mangold
Nancy Hartmann-Schottin
Geert Schuchhardt
Dr. Friedbert Bauer B.Eng.
Gislinde Klapp B.Sc.
Univ.Prof. Ignatz Baum
Friedl Hölzenbecher-Eberth
Friedericke Käster B.A.
Thilo Berger
Carsten Junken
Marius Klotz
Reimar Rädel
Karl-Heinrich Jacob
Kata Gierschner
Birger Becker
Luciano Biggen
Roman Jäntsch
Franz-Xaver Carsten
Silvester Fischer
Vassilios Birnbaum
Lothar Beckmann
Angelo Pärtzelt
Herr Wladimir Bolnbach
Albrecht Rust-Heinrich
Herr Klaus Peter Krause B.A.
Dr. Annett Siering
Konstanze Sontag
Bruni Meister B.Sc.
Dagobert Rogge
Gunhild Stroh-Jacob
Dipl.-Ing. Peer Kuhl
Ahmet Thies
Marianna Hofmann
Ing. Anika Jüttner
Ehrhard Förster
Univ.Prof. Woldemar Walter
