Student
Susanna Schaaf
Univ.Prof. Hinrich Eberth
Univ.Prof. Hans D. Ullrich
Pedro Pölitz
Cemal Budig-Holt
Athanasios Jacobi Jäckel
Christina Geisel-Hesse
Massimo Ernst
Martha Dowerg
Herr Gunther Flantz
Heidelore Zirme
Bozena Carsten B.Sc.
Ingolf Ruppersberger-Berger
Mina auch Schlauchin
Doris Kraushaar
Sandro Täsche
Janette Kallert
Herr Andrej Rose
Oxana Stumpf
Herlinde Schenk B.A.
Osman Schmidtke
Prof. Aziz Stumpf
Tülay Henschel
Thorben Kitzmann
Damian auch Schlauchin B.Eng.
Waltrud Stroh
Elwira Wirth
Dimitrios Fiebig
Univ.Prof. Jann Schleich
Sophie Pruschke
Hans-Hermann Hande
Eleni Franke
Dipl.-Ing. Miguel Bärer
Ulrich Plath-Weihmann
Prof. Marian Gerlach
Frau Ingelore Gertz
Conny Zirme B.Sc.
Clarissa Wieloch
Yasmin Wiek
John Roskoth-Rädel
Tino Kensy
Janette Kraushaar
Valeria Conradi
Leif Wulff
Univ.Prof. Gusti Schlosser
Leon Junken
Michael Scholz
Mary Hofmann B.A.
Hans Dieter Junk
Erica Renner-Trapp
Johanna Stumpf
Gertraude Pärtzelt MBA.
Wolfhard Vogt
Bettina Schlosser
Frau Ivanka Killer MBA.
Matthäus Striebitz-Zirme
Alicia Kroker
Stephanie Beer
Ruth Barkholz-Koch II
Bayram Lübs B.Eng.
Bayram Meister
Dipl.-Ing. Josip Mies
Elma Junken
Frau Hedwig Wirth
Ingried Ullmann
Katalin Thanel-Kitzmann
André Kroker
Herr Johann Kostolzin
Ing. Lisbeth Fritsch
Univ.Prof. Regina Salz B.Eng.
Herr Winfried Vollbrecht B.Eng.
Sevim Ackermann
Fatima Weinhage-Boucsein
Gaetano Paffrath
Miroslawa Haase
Joachim Höfig
Ing. Wolf-Rüdiger Weihmann B.Eng.
Thea Schmiedecke
Annemarie Wieloch
Hanns Zänker B.A.
Rosa-Maria Seifert
Franz-Xaver Carsten
Kreszentia Jockel
Prof. Ana Textor
Gottfried Martin-Martin
Pascal Freudenberger
Reinhard Beer-Etzler
Constance Drubin
Charles Anders
Bernadette Löffler
Nathalie Lehmann
Dr. Muzaffer Sauer B.Eng.
Robert Etzold
Dr. Annette Linke MBA.
Stavros Hentschel B.Eng.
Francesco Nerger
Dipl.-Ing. Cristina Vogt
Ing. Stanislaw Weihmann B.A.
Victor Häring
Ronald Börner-Hentschel
Univ.Prof. Norma Schleich B.Sc.
Ida Weihmann
Univ.Prof. Petra Scheel
Salih Köster
Liesa Sauer
Dipl.-Ing. Friedhilde Hauffer B.A.
Klaus-Ulrich Gude
Gottfried Keudel MBA.
Istvan Patberg-Anders
Klaas Eckbauer
Inka Hornig B.A.
Heinz-Joachim Jähn
Univ.Prof. Traude Gertz
Felix Wilms
Univ.Prof. Hartwig Holsten B.Sc.
Olivia Thies B.A.
Hüseyin Stahr
Bertold Stadelmann
Olivia Nerger B.Eng.
Dr. Margita Stiebitz
Ryszard Süßebier-Neureuther
Heinz-Günther Bohnbach
Herr Klaus Peter Krause B.A.
Dipl.-Ing. Hildegunde Bachmann
Mike Röhricht-Hauffer
Tamara Nette-Ladeck
Pero Gutknecht
Frithjof van der Dussen
Kathi Wesack
Hans-Theo Thies
Celal Ortmann-Otto
Berit Pärtzelt
Emanuel Scholz B.Eng.
Klaus-Jürgen Jockel
Dr. Ian Grein Groth
Minna Wernecke-Gumprich
Ing. Cord Hermighausen B.Eng.
Elly Hande
Ottfried Scheibe-Sauer
Gertrude Lehmann-Kostolzin
Univ.Prof. Gundi Koch B.A.
Jacek Bärer
Konstantinos Seifert
Eduard Kühnert
Dr. Torben Stey
Clemens Thanel
Amalia Wulf
Edmund Scholtz B.Sc.
Univ.Prof. Paul-Gerhard Lübs MBA.
Philipp Ernst
Swantje Binner B.A.
Karlfried Franke
Herr Simon Fliegner MBA.
Sedat Gude
Gundi Schwital
Hansjürgen Faust
Wiltrud Geißler
Univ.Prof. Belinda Henck
Eckard Dehmel MBA.
Martha Wilmsen
Cäcilie Roht-Misicher
Edeltraut Anders-Rohleder
Tilly Pergande
Herr Arnulf Kohl
Miriam Juncken
Eckehard Nette
Dursun Atzler B.A.
Josephine Schweitzer
Dr. Marliese Junck B.Sc.
Ing. Klothilde Hörle B.A.
Irmtrud Textor B.Eng.
Nadeschda Pölitz
Dietlinde Käster
Gerolf auch Schlauchin
Miroslawa Jäkel-Bohnbach
Univ.Prof. Gretl Langern B.A.
Dan Schönland MBA.
Ilias Seip
Marianna Segebahn-Wernecke
Ingried Bähr
Gotthilf Bohnbach-Seip
Bernard Bien-Lübs
Madlen Geißler
Vitali Junken
Andrei Wulff
Kunibert Trommler-Renner
Univ.Prof. Anatoli Ritter
Dipl.-Ing. Roland Bien B.Sc.
Mehmet Sauer
Mira Hoffmann
Dipl.-Ing. Alf Graf
Cord Haase
Ing. Ivana Budig B.Eng.
Dr. Ella Warmer
Tanja Rörricht-Haering
Rudi Schacht
Hans-H. Schönland
Lia Zänker
Univ.Prof. Veli Etzler
Herr Juri Kitzmann
Heinz-Wilhelm Steuer-Mende
Prof. Folker Budig
Fabienne Birnbaum
Ellen Jessel-Walter
Ing. Kunigunde Wieloch
Iris Ullrich
Hannah Jacobi Jäckel
Anton Stey
Cordula Schmiedecke-Wilms
Ing. Hannes Jähn B.Sc.
Ing. Rico Hoffmann
Concetta Seifert
Frau Linda Weiß B.Eng.
Ing. Jeanette Rosemann B.Eng.
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Ing. Romuald Kreusel B.A.
Fatma Seidel B.A.
Tino Wagenknecht B.Eng.
Dipl.-Ing. Franz Reising
Rolf-Peter Staude
Hassan Sager
Inga Wieloch
Daniela Weimer
Paolo Hentschel-Zobel
Uwe Rosenow
Ing. Gerti Franke
Herr Janus Matthäi B.Sc.
Ilija Rosenow
Hans-Georg Dörschner
Swantje Heinz
Dr. Rosmarie Seip
Marlis Rogge B.Sc.
Univ.Prof. Christoph Beier B.A.
Prof. Cäcilia Gertz B.Eng.
Klaus-Werner Jäkel-Holsten
Anita Mohaupt
Herr Marian Schlosser B.A.
Fredi Meyer-Weiß
Torsten Schwital-Gude
Ludwig Reinhardt
Patrizia Biggen
Univ.Prof. Margitta Wagenknecht B.Eng.
Miroslaw Gieß
Ing. Tanja Scheibe B.Eng.
Calogero Wende
Liliana Davids
Beatrice Fechner
Victoria Binner
Albin Budig
Hans-Detlef Schäfer
Martin Dörr
Enrico Reising MBA.
Emilie Kallert-Zorbach
Dr. Meinhard Hiller
Kriemhild Warmer
Roman Bloch
Prof. Reimar Reinhardt MBA.
Lene Sauer
Bernhardine Wilmsen
Gernot Kobelt
Willy Weiß
Ottilie Hartung
Horst-Dieter Seifert
Ahmet Pärtzelt
Frau Margit Gehringer MBA.
Matteo Dehmel-Weimer
Frau Therese Henk B.A.
Walter Pruschke
Ing. Hedi Wulf
Gesche Kühnert
Friedrich Bolnbach-Gnatz
Ole Losekann
Henni Ullmann MBA.
Wiebke Gehringer
Marie Sorgatz MBA.
Eugenie Pieper
Hajo Ziegert-Noack
Henryk Bauer
Dorit Köster
Recep Röhricht B.Sc.
Monique Stroh
Dipl.-Ing. Rabea Sorgatz MBA.
Kreszenz Ruppert-Dobes
Prof. Heinz-Josef Radisch B.A.
Elena Ditschlerin
Ottokar Döhn
Tina Henschel
Elvira Scholtz
Dipl.-Ing. Melanie Kreusel B.A.
Jiri Hoffmann B.Sc.
Dr. Abdullah Becker
Dr. Uta Gumprich
Aenne Beyer
Dipl.-Ing. Sigrid Hahn
Giuseppina Linke
Marco Kostolzin-Bruder
Anja Wagner-Hermann
Lucie Gutknecht
Dipl.-Ing. Gertraut Stolze
Lilli Atzler
Steven Trub
Dr. Eberhardt Adolph B.Eng.
Silvia Eberth
Dragica Rosenow
Malgorzata Tlustek
Friedrich-Wilhelm Holsten
Erwin Etzold
Ing. Nadeschda Bohlander
Amalie Gotthard-Beckmann
Mona Wiek B.Eng.
Zdravko Jacob
Dr. Reimar Fiebig B.A.
Amanda Stadelmann-Mende
Elke Huhn
Maximilian Heß
Herr Mirko Häring B.Sc.
Natascha Eigenwillig
Hulda Junk
Ing. Canan Gutknecht B.A.
Monja Heidrich
Sebastian Vogt
Ottomar Kraus
Peggy Holt
Nicolas Tschentscher
Nadja Schleich MBA.
Arnulf Kusch
Meral Bolnbach
Dipl.-Ing. Helmut Hauffer
Olaf Hethur
Ahmet Stumpf
Radmila Schomber B.Eng.
Anne Schmidtke
Angelo Röhrdanz
Dipl.-Ing. Gudula Margraf B.Sc.
Dipl.-Ing. Milica Hofmann B.A.
Margarethe Steckel
Sigurd Höfig B.Sc.
Astrid Nerger-Tröst
Aziz Bauer MBA.
Detlev Wilmsen
Herta Hoffmann
Rolf-Peter Reising B.Sc.
Dr. Annelene Geisel B.Sc.
Reni Römer
Jo Reising
Elenore Renner
Emilie Schmiedecke
Ing. Hans-Walter Ackermann
Martine Zobel
Dipl.-Ing. Bertram Gieß MBA.
Adalbert Vollbrecht
Carolin Holt
Bruno Hethur
Freia Hamann-Eckbauer
Herr Ilhan Tröst B.A.
Theda Stumpf B.Eng.
Volkmar Mosemann
Fredy Bachmann B.Eng.
Prof. Amir Reising MBA.
Prof. Salvatore Römer
Domenico Kade B.A.
Reinhart Winkler B.Eng.
Piotr Speer-Seifert
Filippo Kostolzin
Liselotte Lindau
Stephen Tintzmann
Herr Laurenz Häring
Henner Schmidt
Erdal Meyer B.A.
Frau Hildegunde Koch II
Käthe Briemer MBA.
Benita Heser
Rolf-Dieter Kensy
Univ.Prof. Traudel Wernecke B.A.
Carina Kusch
Prof. Alina Ziegert
Ing. Knud Vogt
Hanne Gierschner
Serge Kade
Oda Berger
Margit Klapp
Fatima Heser B.Eng.
Klaus-Michael Hahn
Jiri Kambs
Albert Hartmann-Lachmann
Michaele Neureuther
Remo Reinhardt
Katerina Hauffer
Clara Stroh
Dipl.-Ing. Erwin Hamann
Herr Wolfhard Hövel
Harold Bohlander B.Sc.
Mijo Karge-Löchel
Berthold Rohleder
Carola Kusch
Ibrahim Lehmann B.Eng.
Ernst Henschel
Heino Schönland-Hermann
Sükrü Schüler MBA.
Marina Radisch
Alf Jacobi Jäckel-Fritsch
Rita Käster B.A.
Mareike Scholl
Univ.Prof. Herta Zänker
Ing. Nuran Schaaf
Ilija Höfig
Melissa Dietz
Univ.Prof. Niklas Mohaupt MBA.
Univ.Prof. Leni Bonbach
Ada Kreusel
Barbara Kambs
Käthi Faust-Gorlitz
Slobodan Hauffer
Babett Adler
Univ.Prof. Lara Hoffmann MBA.
Sara Rogge
Ing. Zoran Tintzmann
Henrik Hein B.A.
Prof. Roy Blümel
Niklas Schleich
Anatolij Trub
Ottilie Blümel
Beatrice Käster
Ing. Helen Gumprich B.Sc.
Hartmut Zirme
Andrei Hertrampf-Trommler
Stilla Klotz
Dr. Edit Scheibe B.A.
Univ.Prof. Fedor Eimer
Ingo Heinz
Aloisia Faust
Beatrice Bender
Nora Dehmel B.Eng.
Marcella Franke B.A.
Regina Barkholz
Stilla Köhler
Gebhard Eberth B.Eng.
Prof. Anica Haering B.A.
Süleyman Wende
Almuth Rosenow-Schönland
Lena Dowerg
Beata Stahr
Lorenz Hande-Hamann
Patrick Anders-Stolze
Gabi Harloff
Herr Oliver Stahr
Janine Müller-Steckel
Anka Jäkel-Ackermann
Herr Jonathan Beckmann B.A.
Klaus-D. Sölzer
Inge Dehmel
Anthony Oderwald
Elke Scholl MBA.
Nina Müller B.Eng.
Carin Rohleder
Gerda Stey
Marianna Geisler
Prof. Karl-Hermann Pieper B.Eng.
Univ.Prof. Catharina Neureuther B.Sc.
Georgine Schäfer
Johann Reuter
Silvio Weimer
Univ.Prof. Arne Hoffmann
Engelbert Sauer MBA.
Klaus-Dieter Koch II B.A.
Stefano Koch B.Eng.
Silvio Scholl B.Eng.
Prof. Sibel Wohlgemut B.Sc.
Giesela Börner B.Eng.
Athanasios Bloch
Walter Schleich-Segebahn
Sinaida Ruppersberger
Halina Hethur
Ekkehart Binner
Tillmann Dobes-Trupp
Hans-Willi Baum-Staude
Lili Weimer
Ellinor Schmidtke B.Sc.
Antonios Klemm B.Sc.
Edith Kostolzin
Adina Mitschke
Univ.Prof. Mira Mende B.Eng.
Sinaida Roskoth B.A.
Arnim Bärer
Prof. Anka Schulz
Krista Scholtz
Urban Geißler B.A.
Hans Dieter Kallert
Michel Kuhl
Iris Kraushaar B.Sc.
Guido Wagenknecht-Kallert
Änne Tlustek-Freudenberger
Othmar Zänker
Käthi Lübs
Vittorio Hertrampf
Ralf-Peter Schacht
Nikolas Heß
Ing. Mariechen Nerger B.Eng.
Krista Putz
Dipl.-Ing. Jerzy Stolze B.Sc.
Bernard Steinberg
Dr. Gero Röhricht B.Eng.
David Faust-Holsten
Ilonka Rose
Wolfgang Beier-Mohaupt
Pero Scheuermann
Frau Mirjana Baum B.Sc.
Frau Reinhilde Wirth MBA.
Karolina Hartmann
Volkmar Hentschel
Asta Knappe
Univ.Prof. Franz-Xaver Girschner B.Sc.
Tino Metz
Hans-Friedrich Ruppert-Ullrich
Helen Hahn
Lorenzo Hornig
Filippo Juncken
Hubert Hertrampf
Edda Junck-Eimer
Ing. Karl-Peter Weinhold B.Sc.
Enrico Kobelt-Klemt
Univ.Prof. Ottfried Scholl
Margot Ullmann
Sarah Beckmann
Helmuth Langern-Steinberg
Ferdinand Junitz B.Eng.
Margareta Dörschner B.Sc.
Hans-Uwe Noack-Fröhlich
Roderich Scholtz
Günther Mude B.A.
Johann Seidel
Nevenka Fritsch
Ian Briemer B.Eng.
Ann Mielcarek
Helene Ullrich
Irmi Schacht
Elena Wilmsen
Vesna Wähner
Claus Juncken
Ernst-August Oestrovsky-Kreusel
Rosemarie Hethur
Carolina Ditschlerin
Aurelia Mude
Gertraut Koch II
Ing. Hüseyin Gutknecht B.Sc.
Marion Drewes
Gebhard Seidel
Georgine Segebahn
Ing. Ramazan Kallert MBA.
Mehdi Kohl B.A.
Ralf-Peter Gute
Dipl.-Ing. Mariola Lange B.Sc.
Ing. Valentina Börner
Thilo Tschentscher
Ing. Sebastian Killer B.A.
Gereon Trapp
Hellmut Lindner
Lilly Beckmann B.Sc.
Ing. Jens-Peter Tschentscher
Dipl.-Ing. Detlef Schacht
Dr. Ibrahim Dobes B.Eng.
Thomas Hentschel
Univ.Prof. Cläre Weihmann B.A.
Valentin Döring
Marieluise Schulz
Frau Nadeshda Ruppert
Herr Thomas Baum
Cynthia Linke
Reimar Rädel
Mark Gute-Faust
Ernestine Karz
Univ.Prof. Giovanna Bachmann B.Eng.
Univ.Prof. Marjan Graf B.Sc.
Heidrun Stiebitz
Herr Alois Thanel B.Sc.
Prof. Folkert Ernst MBA.
Adelinde Putz
Hanspeter Koch II-Wohlgemut
Philip Fritsch
Univ.Prof. Alexandre Schottin
Kuno Kreusel
Johanne Kusch
Hanne Junk
Abraham Carsten
Aloys Fechner
Gerolf Radisch
Jana Drubin-Heß
Helmut Renner
Falk Wagenknecht B.Eng.
Tobias Wirth
Jörn Hörle B.Sc.
Ing. Ayse Mangold MBA.
Sandy Römer-Bien
Hansjörg Müller B.Sc.
Trudi Kranz B.Eng.
Norman Wulf
Ida Buchholz B.Eng.
Horst Reising
Josefa Hauffer
Univ.Prof. Alberto Steuer
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Olaf Weinhage
Herr Wieslaw Trupp
Nuray Aumann
Annie Harloff B.A.
Sandy Dietz
Anna-Lena Bloch
Jurij Eimer
Dr. Hans Dieter Mude
Helge Schuchhardt
Ing. Tina Schmiedt B.A.
Ing. Hans Jürgen Häring
Ortrun Pohl B.Eng.
Frau Valentine Benthin
Geraldine Gutknecht
Univ.Prof. Beate Eberth
Heidelore Heinrich
Univ.Prof. Gerhardt Dowerg B.Eng.
Justine Kade
Paula Heinz
Sylvester Bachmann
Doreen Hornig
Franziska Beer
Irmtrud Mohaupt-Etzler
Univ.Prof. Pascal Schweitzer
Hans Jürgen Lange
Univ.Prof. Undine Becker MBA.
Mareile Tschentscher B.A.
Dr. Herbert Jockel B.Eng.
Annamaria Hesse
Aline Steinberg-Klingelhöfer
Florian Finke
Kenneth Kramer
Martha auch Schlauchin
Ing. Wladimir Karz MBA.
Heinz-Gerd Gorlitz B.Eng.
Dr. Annika Gude MBA.
Jasmina Heuser
Kläre Kohl
Fatma Sager
José Gröttner B.Sc.
Eggert Börner-Geisler
Hans-Georg Schmidt
Ingbert Binner-Heidrich
Diedrich Scheel-Hübel
Anneli Heintze
Hans-Günther Eimer
Ansgar Möchlichen-Höfig
Sigmund Hentschel MBA.
Dipl.-Ing. Jens-Peter Dippel MBA.
Imre Mülichen
Katherina Hesse
Univ.Prof. Nadeshda Oestrovsky
Siglinde Kambs-Geißler
Laila Kranz
Immo Ring
Hagen Weimer
Aleksandra Stey MBA.
Kristina Wernecke
Prof. Manuela Schleich B.Sc.
Elise Trupp
Yvette Süßebier
Marvin Kabus B.A.
Friedlinde Sauer
Samir Wähner-Butte
Univ.Prof. Francisco Tröst B.Eng.
Rosalia Pruschke
Univ.Prof. Theresia Lange MBA.
Anastasia Gunpf
Dagmar Koch
Hedda Schönland
Gotthilf Gehringer B.A.
Univ.Prof. Greta Trapp
Klaus-Dieter Hecker
Maurice Pieper-Loos
Wiltrud Ladeck MBA.
Ing. Margarete auch Schlauchin MBA.
Reiner Conradi
Frau Käthi Hamann B.Eng.
Annelies Beer
Ulrike Hiller
Goran Junck-Bauer
Rose-Marie Schüler
Hans-Detlef auch Schlauchin-Fischer
Dr. Lidija Weihmann
Roberto Jockel
Darius Trupp
Andrea Wulf
Annie Noack
Iwan Käster
Alexandra Butte
Paul-Gerhard Jungfer B.Eng.
Necati Koch
Sigmund Conradi
Hardy Wende B.Sc.
Burkhardt Holt
Dr. Sigfried Seip B.Eng.
Univ.Prof. Fatima Hölzenbecher
Frieder Austermühle
Kathi Häring
Dieter Trupp
Marzena Hein
Rolf-Peter Rosenow MBA.
Magret Bähr
Univ.Prof. Karl-Otto Dowerg MBA.
Hildegart Scheel B.A.
Istvan Scheuermann
Fatma Möchlichen
Ellen Vogt
Tabea Kaul
Univ.Prof. Antonina Becker
Dr. Renate Mende
Frau Sibel Trommler
Prof. Aribert Eberhardt B.Sc.
Ing. Alf Lachmann
Anni Kraus
Prof. Friedo Reuter
Liesa Gröttner
Dipl.-Ing. Lioba Plath
Brita Klemm
Univ.Prof. Melita Langern
Kathleen Hahn B.A.
Dietrich Kruschwitz
Rosina Ditschlerin-Ortmann
Univ.Prof. Heinz-Werner Renner B.A.
Dr. Anika auch Schlauchin B.Sc.
Gülsen Gutknecht
Svetlana Bonbach B.A.
Jadwiga Karge
Prof. Constance Austermühle B.Sc.
Andre Schönland B.Sc.
Herr Rolf-Peter Renner MBA.
Irene Gotthard-Hoffmann
Univ.Prof. Henryk Kostolzin
Michaela Döhn
Jens-Uwe Neureuther
Klemens Winkler
Dipl.-Ing. Magrit Junck
Hans-Gerd Holt
Berndt Riehl-Bohlander
Univ.Prof. Fredy Barth MBA.
Hubertine Jäkel
Hedwig Briemer
Irmtrud Schmiedt B.Sc.
Orhan Hecker-Heuser
Prof. Heinz-Joachim Seidel
Frank-Michael Köhler
Prof. Annita Putz
Wenke Patberg
Vitali Faust B.Eng.
Ing. Hatice Gehringer
Prof. Henryk Kitzmann
Prof. Konrad Neuschäfer
Arnulf Ullmann
Ariane Roskoth
René Ehlert
Ing. Hans-Joachim Ullrich
Isolde Seifert
Rosalinde Killer
Birte Jüttner
Marcella Holzapfel
Gitte Römer-Kroker
Valeska Zimmer-Schleich
Marlen Weihmann-Trub
Nada Hänel
Janin Hamann
Carina Bruder
Leon Bauer
Änne Boucsein B.Sc.
Irmtrud Schaaf-Jacobi Jäckel
Johannes Freudenberger
Ingrid Rudolph
Univ.Prof. Jörg Jessel MBA.
Prof. Alexei Krebs
Jens Löchel
Ahmet Eckbauer-Sölzer
Hans-Jochen Mude
Viviane Girschner
Irmingard Meyer MBA.
Ralph Schottin-Graf
Dipl.-Ing. Serge Nerger
Hansjürgen Lindner
Ing. Emanuel Tintzmann
Elfi Roht
Rebekka Lindau MBA.
Mehdi Bähr B.A.
Viola Ackermann
Gislinde Klapp B.Sc.
Gregor Knappe B.Eng.
Anna Hartmann
Edeltraud Mülichen
Wilfriede Ziegert
Dr. Zehra Etzler
Ilja Hölzenbecher-van der Dussen
Dipl.-Ing. Marica Sager
Nora Klapp-Finke
Jorge Weitzel
Corinna Täsche B.A.
Ana Heinz B.A.
Gudula Holzapfel
Prof. Niko Hethur B.Eng.
Klemens Thies
Domenico Gertz
Renate Franke B.A.
Andreas Gunpf
Dr. Gabriel Junitz
Roland Ring
Bogdan Zirme
Prof. Marion Scholz
Elisabeth Wieloch-Boucsein
Damaris Eigenwillig
Heimo Förster
Gilbert Peukert B.Eng.
Paul-Gerhard Gunpf
Niklas Scholtz
Hanns Ehlert MBA.
Cora Steuer-Junken
Herr Steven Eberhardt
Heidemarie Kreusel
Marlene Steckel B.A.
Philipp Lorch
Hendrik Gehringer
Katharina Süßebier B.A.
Waldemar Ladeck
Nadia Thanel
Prof. Theobald Mangold
Hans-Dietrich Fliegner
Rahel Kreusel
Laila Trüb
Jacek Täsche
Imre Sauer
Frau Dorothe Mielcarek
Francesco Drub
Alexej Kohl
Ing. Loni Gnatz MBA.
Janus Walter
Zeljko Jessel
Katharine Renner
Reinhold Schönland
Wiltrud Christoph
Ing. Kay-Uwe Flantz
Dipl.-Ing. Kevin Henk B.A.
Vladimir Kruschwitz
Univ.Prof. Ricardo Sorgatz B.A.
Mona Thies
Linda Ziegert-Junken
Aloys Barkholz
Julie Mentzel
Fredy Hiller
Rosa Gnatz
Mechtild Hering
Kornelia Kade
Raymond Ruppersberger
Krista Gertz B.Eng.
Ralf-Peter Ebert
Irmtraut Noack
Valerie Losekann
Frau Brit Stoll
Ehrenfried Seidel MBA.
Univ.Prof. Pamela Kambs MBA.
Guiseppe Bien
Christiane Blümel
Johan Buchholz
Wladimir Möchlichen MBA.
Florian Weimer
Dipl.-Ing. Gunar Kuhl
Tino Niemeier
Theresa Killer
Hans-Joachim Pohl
Anneli Wernecke
Oxana Schmidtke
Justine Patberg-Metz
Ron Beer
Carla Ruppersberger
Prof. Katalin Lindner B.Eng.
Univ.Prof. Cynthia Löwer
Dipl.-Ing. Tamara Seifert B.A.
Bodo Finke
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Kristin Kabus
Dipl.-Ing. Tim Fritsch
Ing. Margarethe Martin
Hanne-Lore Berger
Hans-Gerhard Staude
Ing. Leonid Budig B.A.
Dipl.-Ing. Katarina Schmidtke
Hans-Helmut Wesack
Prof. Hans-Peter Noack B.A.
Benita Geißler
Dr. Slawomir Hande
Veli Rädel
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Gisela Hornich-Metz
Mirja Schottin
Frauke Söding
Sieglinde Stahr
Univ.Prof. Edmund Mentzel B.Eng.
Elfi Kranz
Herr Salih Blümel
Univ.Prof. Heimo Dobes B.A.
Dietlinde Schönland
Cora Reichmann B.A.
Fabienne Matthäi-Heß
Helga Mosemann-Hecker
Gebhard Kitzmann
Damaris Holsten-Schleich
Brunhilde Mälzer-Warmer
Hans-Erich Mende
Conny Geißler-Karge
Vassilios Trommler-Gieß
Stefano Wagenknecht
Valeria Mende
Desiree Ruppert
Tomasz Bolnbach
Julie Mosemann
Hans-Erich Warmer B.A.
Zlatko Briemer-Karge
Oscar Nerger
Tomasz Niemeier
Ing. Mohammed Geißler B.Eng.
Ingried Ullrich
Antonius Käster
Irmtraut Fröhlich-Hertrampf
Ing. Justus Binner
Kornelius Sontag
Univ.Prof. Gundel Atzler B.Eng.
Gabriele Schmidt
Ing. Ben Lindau MBA.
Elias Hethur
Mareen Mies B.Eng.
Zdenka Weiß
Luciano Wirth
Karlfried Karge-Wieloch
Frau Annette Fiebig B.Eng.
Adeline Holsten
Theo Döring
Ing. Heide Winkler
Patrik Ditschlerin
Prof. Goran Sölzer MBA.
Frau Evelyne Süßebier B.Eng.
Virginia Gieß
Hans-Christian Eimer
Nikolai Rädel-Klemt
Martina Hartung
Daniela Wernecke-Hölzenbecher
Dipl.-Ing. Stefano Wernecke B.A.
Henry Hofmann B.Eng.
Hanspeter Juncken
Univ.Prof. Immo Mangold
Milos Kuhl B.Sc.
Patrick Haering
Frau Aleksandra Bähr B.Eng.
Dr. Marian Rust
Marietta Geißler
Dipl.-Ing. Christel Beer B.Eng.
Julian Lehmann-Ortmann
Dipl.-Ing. Willibert Süßebier
Prof. Attila Werner B.A.
Milica Huhn
Christa Säuberlich
Jessica Schottin
Alida Trupp
Ing. Maike Hölzenbecher B.A.
Dr. Jonas Anders B.Sc.
Dr. Gabriela Geißler
Myriam Hänel
Emilie Bolander
Dipl.-Ing. Zenta Hornig B.Sc.
Karlfried Müller
Dipl.-Ing. Fred Meister
