Student
Dr. Edelbert Wieloch MBA.
Dipl.-Ing. Jerzy Stolze B.Sc.
Karl-Ernst Drewes-Drubin
Jurij Zahn B.Sc.
Iwan Butte B.Sc.
Hans-Jochen Gorlitz B.Sc.
Ben Schomber
Sigurd Süßebier
Jörn Barth-Möchlichen
Ing. Kay-Uwe Flantz
Andrea Wulf
Luciano Biggen
Prof. Mathilde Segebahn MBA.
Fedor Röhrdanz
Freia Buchholz
Herr Bodo Steckel
Denny Kusch
Miriam van der Dussen
Horst-Dieter Seifert
Roderich Weitzel
Danielle Drubin
Angelica Lindau-Heß
Thies Rose
Prof. Clemens Söding
Nick Jockel B.A.
Halina Römer-Hartung
Dagmar Franke-Schleich
Prof. Constance Austermühle B.Sc.
Prof. Urs Salz
Klaus-Michael Hahn
Lieselotte Nohlmans
Dipl.-Ing. Corina Fischer
Lars Eckbauer-Möchlichen
Dipl.-Ing. Jozef Hartmann
Univ.Prof. Mirella Peukert
Univ.Prof. Ingelore Schulz MBA.
Karl-Otto Kostolzin
Flora Mühle B.Sc.
Dipl.-Ing. Igor Henck B.A.
Steffen Schlosser
Nermin Martin
Otto Lindner
Hermine Wohlgemut
Karl Ruppersberger
Siegmar Mies-Baum
Gesche Kühnert
Marco Schinke B.Eng.
Dr. Leila Gunpf B.Sc.
Lambert Misicher-Dörschner
Monika Mühle-Hiller
Matteo Beyer B.A.
Ralph Schottin-Graf
Anja Meyer B.A.
Ernst Koch II-Graf
Theresa Hethur-Kabus
Ing. Imke Eigenwillig B.A.
Ing. Silke Kambs
Mandy Loos
Ing. Serpil Rudolph MBA.
Annelies Heidrich
Danilo Ehlert
Guntram Warmer
Univ.Prof. Hans-Rudolf Wohlgemut
Ilse Krebs
Joseph Harloff
Ing. Heinz-Josef Hoffmann
Vera Losekann
Harm Nette
Dr. Wolf-Rüdiger Trüb
Jessica Stumpf
Dr. Alma Warmer MBA.
Harro Gunpf
Ing. Gabriella Bähr
Miroslaw Holt
Constantin Kostolzin
Ing. Bianka Bärer MBA.
Univ.Prof. Otto Kruschwitz MBA.
Elvira Cichorius
Ing. Leopold Hoffmann
Gudrun Reichmann MBA.
Annekatrin Wende
Thoralf Eimer
Sibille Kallert
Madeleine Thanel MBA.
Univ.Prof. Petra Scheel
Kreszentia Jockel
Herr Eberhardt Gierschner
Augustin Carsten
Harold Bohlander B.Sc.
Damaris Bien
Ing. Marten Hering
Univ.Prof. Jann Schleich
Cornelia Radisch
Abdul Trüb MBA.
Genoveva Gieß
Dr. Hildegund Söding B.A.
Anni Kraus
Cordula Wohlgemut
Cäcilie Patberg
Helene Keudel
Margrit Schenk B.A.
Eckehard Nette
Ilonka Lange
Dipl.-Ing. Aleksandra Wagner MBA.
Hajo Thies
Amelie Pruschke MBA.
Detlef Köster
Stefanie Pruschke
Prof. Marius Herrmann
Herr Augustin Karge B.Eng.
Gerhart Beier
Aribert Schulz B.Eng.
Gottfried Hettner-Reising
Univ.Prof. Franz-Josef Holt
Aleksander Wagner-Barth
Dr. Achim Barth
Hans-Rainer Rogner
Dipl.-Ing. Walfried Rosemann B.Eng.
Eileen Hartung
Ing. Karl-Peter Weinhold B.Sc.
Ehrenfried Seidel MBA.
Benjamin Lübs
Anne-Rose Hettner B.A.
Helmtrud Atzler
Herr Lukas Eimer
Lidija Trapp
Kerstin Eigenwillig B.Eng.
Nico Möchlichen
Prof. Lutz Adolph
Eckehard Steckel
Leonie Möchlichen MBA.
Alexandre Geisel
Dipl.-Ing. Sebastiano Käster B.Eng.
Anne-Katrin Höfig
Dr. Ute Schuchhardt
Zita Ullmann-Heydrich
Antonius Pärtzelt-Jüttner
Hans-J. Wohlgemut
Dr. Semra Wagenknecht
Dipl.-Ing. Traudel Eigenwillig
Sibilla Eimer
Ottilie Scheel
Herr Bertold Löffler
Univ.Prof. Marita Pohl
Maren Anders
Uwe Dussen van
Hagen Weimer
Marta Eigenwillig-Hörle
Dr. Daniela Linke MBA.
Univ.Prof. Dorle Röhrdanz B.A.
Jann Schleich
Erol Lindner
Lothar Ladeck
Dipl.-Ing. Rolf Tröst B.Sc.
Dipl.-Ing. Daniele Geißler
Prof. Ingeborg Noack
Ayse Thies B.Eng.
Herr Jens Ritter B.Eng.
Freia Hamann-Eckbauer
Raphael Höfig
Clara Rust
Dipl.-Ing. Hans-Günther Bien
Luciano Wirth
Leokadia Herrmann
Amalia Hermann-Schäfer
Dr. Editha Rohleder
Nikolaus Rosenow
Univ.Prof. Giovanna Bachmann B.Eng.
Dr. Wencke Junken B.Eng.
Prof. Jelena Krebs B.Sc.
Frau Ina Schwital B.Sc.
Maurice Beckmann
Jennifer Trapp
Theodoros Vollbrecht-Gutknecht
Univ.Prof. Undine Becker MBA.
Melanie Scheel B.A.
Ing. Ayse Schacht
Dora Jockel
Maria Bruder
Dina Rose
Prof. Heinz-Willi Lindau MBA.
Ingbert Birnbaum-Ring
Guenter Kohl-Nette
Paul-Gerhard Gunpf
Dipl.-Ing. Cynthia Hauffer B.A.
Kristian Meyer
Alfons Schleich B.A.
Helmtrud Gerlach
Regine Wende B.A.
Wilfriede Ehlert
Gülay Weinhold
Mariusz Stadelmann B.Sc.
Dipl.-Ing. Gisela Schuster B.A.
Helene Ullrich
Ing. Konstantin Gerlach B.A.
Anna-Luise Eckbauer
Gina Stolze
Ing. Karl-Georg Dobes
Ottomar Hermann
Helga Hövel MBA.
Steffi Schmiedt B.Sc.
Univ.Prof. Francisco Tröst B.Eng.
Annelore Riehl
Annelise Schwital
Barbara Kambs
Edit Dowerg
Gisa Atzler
Gislinde Schlosser
Lilli Meyer-Reuter
Dr. Reinhilde Thies B.Eng.
Meryem Graf-Lange
Dr. Ibrahim Dobes B.Eng.
Karl-Heinrich Kraus B.A.
Dipl.-Ing. Sigrun Bärer
Erik Wirth B.Eng.
Senta Hiller
Bogdan Löffler
Hans-Wilhelm Weller
Marie-Therese Steuer
Zdravko Jacob
Luitgard Weiß-Rörricht
Lieschen Röhrdanz
Dr. Arzu Martin B.Eng.
Mona Thies
Janina Faust MBA.
Prof. Stefania Briemer
Herr Wilhelm Schuchhardt B.A.
Necati Lindner
Eileen Etzler
Anett Bien-Schuster
Ellen Röhrdanz
Eugenie Pieper
Filippo Jäntsch
Miriam Hentschel
Sylke Ehlert
Janko Neureuther
Torben Wiek-Ring
Björn Steckel B.Eng.
Univ.Prof. Claudia Freudenberger B.Sc.
Univ.Prof. Almuth Cichorius B.Eng.
Nermin Jopich
Elli Kohl
Hildburg Tlustek
Edmund Gnatz-Rogner
Berthold Jäntsch-Jessel
Johanna Finke-Ehlert
Dr. Timo Ernst
Heinrich Putz B.Sc.
Bekir Gumprich-Kabus
Prof. Petar Köhler
Klaudia Seidel
Friedrich-Karl Zorbach
Dipl.-Ing. Canan Pölitz B.Eng.
Harriet Rohleder
Gerti Trupp-Dowerg
Anna-Marie Heidrich
Herr Wieland Hartmann MBA.
Janet Kade
Sylvia Schenk
Bertold Bloch-Beckmann
Karoline Carsten
Harold Bähr B.A.
Hellmut Hein-Gnatz
Gordana Budig B.A.
Arzu Wieloch-Röhrdanz
Elena Ditschlerin
Auguste Gunpf
Ralph Rogge
Hiltrud Bolander-Ziegert
Dipl.-Ing. Gilbert Plath B.Sc.
Gloria Schulz-Huhn
Frau Emma Kaul B.Eng.
Micha Eckbauer B.Sc.
Ing. Torsten Hartung B.Eng.
Yasmin Wiek
Dipl.-Ing. Kriemhild Löchel
Franz Schweitzer
Calogero Wende
Aloisia Faust
Ing. Ernest Rogge B.A.
Aenne Hübel-Mühle
Dipl.-Ing. Augusta Lachmann B.A.
Mark Gute-Faust
Henni Wagenknecht B.Sc.
Kathleen Hahn B.A.
Ing. Lucie Karz
Janin Höfig B.A.
Klaus Lorch-Graf
Dipl.-Ing. Aloys Hentschel
Manuel Wagenknecht
Stephanie Krause
Klaus-Dieter Hecker
Laurenz Siering-Kallert
Burkhard Fröhlich-Dussen van
Oda Berger
Luka Weimer-Beyer
Nils Hering-Loos
Heinz-Werner Buchholz
Prof. Irmela Hellwig B.Sc.
Elfriede Gnatz
Sieglinde Stahr
Constance Lange
Ing. Liesa Zirme
Julie Radisch MBA.
Eleni Franke
Hilma Berger
Käthi Faust-Gorlitz
Stephen Lübs
Paolo Zänker MBA.
Prof. Guiseppe Gröttner B.Sc.
Hiltraud Klemm-Pärtzelt
Louis Geisel
Dogan Kranz
Dipl.-Ing. Jiri Walter
Zehra Putz
Agata Hertrampf
Egon Haase
Gisela Carsten B.Sc.
Danny Gumprich
Giesela Börner B.Eng.
Guntram Scholz MBA.
Dipl.-Ing. Hans-Peter Hertrampf
Herr Yilmaz Vollbrecht B.Eng.
Dipl.-Ing. Theobald Knappe B.Eng.
Bernard Losekann
Hellmut Nerger
Joanna Weinhold-Förster
Eckart Klotz
Univ.Prof. Niklas Mohaupt MBA.
Dipl.-Ing. Stefano Wernecke B.A.
Janos Ehlert
Giuseppe Trupp
Prof. Attila Werner B.A.
Hans-Christian Roht
Univ.Prof. Steffen Tröst
Senol Heintze-Gerlach
Ludmilla Pieper
Heinrich Ackermann
Ilja Wende
Marlis Rogge B.Sc.
Irmtraud Freudenberger
Frau Chantal Ebert B.Eng.
Gabriel Süßebier-Eigenwillig
Prof. Klaus Peter Hellwig B.Sc.
Hans Jürgen Winkler
Nevenka Hörle MBA.
Dipl.-Ing. Lidija Pölitz
Franca Börner
Helen Tschentscher
Mechtild Niemeier
Lutz Mies-Hesse
Nurettin Mans-Klemt
Ingetraud Fiebig
Angela Weimer
Catrin Förster B.A.
Claire Junk
Dietmar Lindau
Prof. Gaetano Weiß
Telse Rudolph
Frau Nurten Huhn
Irmtraut Fröhlich-Hertrampf
Anneli Neuschäfer
Stella Barth
Ellen auch Schlauchin
Univ.Prof. Ayten Lorch
Jens-Peter Heinrich
Pia Steuer
Gert Kensy B.A.
Brunhilde Scholz
Herta Keudel
Prof. Josefa Beier B.Sc.
Nadeshda Hänel-Kaul
Leonore Hettner-Staude
Radmila Linke MBA.
Ingbert Binner-Heidrich
Rosalinde Killer
Dipl.-Ing. Gunar Kuhl
Marcel Fechner
Sigmar Zobel
Margot Sontag MBA.
Zita Klemt
Vera Scholl
Mahmut Rose B.A.
Alla Rohleder
Evangelia Stumpf-Ruppersberger
Ing. Willibert Steckel
Dipl.-Ing. Meral Beyer
Anatol Gude MBA.
Ing. Annelise Nette B.Eng.
Emil Grein Groth
Francisco Wirth
Univ.Prof. Edit Ehlert B.Eng.
Prof. Arif Mielcarek B.Eng.
Prof. Emine Wulf B.Eng.
Wera Hauffer B.A.
Herr Thomas Baum
Univ.Prof. Cläre Weihmann B.A.
Gitte Briemer
Nicolaus Seifert B.A.
Hans-Martin Kambs
Dr. Leopoldine Kostolzin
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Ing. Marga Lehmann MBA.
Annemarie Seidel
Cornelia Gehringer
Prof. Necati Stey B.A.
Herr Jacek Budig B.Eng.
Gunnar Ernst
Martin Dörr
Antonius Käster
Kaspar Römer
Concetta Karge
Gregor Buchholz
Zbigniew Weinhage
Helma Häring
Dorit Dowerg
Klothilde Blümel B.A.
Albrecht Rust-Heinrich
Dipl.-Ing. Dursun Köhler
Prof. Mario Butte
Rosa Heuser
Larissa Löffler
Ing. Alberto Schlosser
Mariusz Adler
Carin Binner
Ing. Leopold Beier B.Sc.
Beatrice Bender
Tanja Henk
Bernard Karge
Gerhart Davids B.A.
Dipl.-Ing. Henrike Hörle B.A.
Gusti Wagenknecht
Danuta Kensy
Franziska Wernecke
Dipl.-Ing. Ekrem Thanel
Dipl.-Ing. Lucia Renner B.A.
Vittorio Harloff
Elisa Mälzer
Ing. Anneli Nerger
Ing. Boris Junck MBA.
Marie-Louise Killer-Etzler
Marit Mühle
Abram Eckbauer B.A.
Canan Heinrich
Kathi Hering
Lilli Atzler
Uwe Rosenow
Willfried Werner
Prof. Norbert Wilms B.A.
Stephanie Weller
Guenter Lachmann
Dipl.-Ing. Leo Sager
Lothar Beckmann
Prof. Oswald Ehlert MBA.
Hellmuth Drubin-Tschentscher
Rocco Trub
Ole Schmidtke
Hedda Baum
Constantin Beckmann
Gottlob Seip
Leokadia Karge
Stjepan Wesack-Winkler
Geraldine Reising MBA.
Gertraud Mende
Prof. Vesna Scholz
Frau Suse Zorbach
Giesela Wagner
Frau Britt Heß
Olga Stahr
Friedlinde Warmer
Prof. Clarissa Barth
Ing. Roy Dippel B.A.
Heinz-Josef Jähn MBA.
Carmelo Weinhold
Harm Sontag-Wilms
Lissi Kohl
Ewa Eimer-Linke
Prof. Fabian Scholl MBA.
Karlfried Ruppersberger
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Dierk Dörr
Dr. Lisa Stroh B.Sc.
Melanie Segebahn
Ladislaus Stadelmann
Dr. Gerda Butte MBA.
Henner Schweitzer
Herr Götz Süßebier
Clara Mans
Mia Ullmann
Marcel Stumpf
Orhan Wieloch
Asta Mielcarek-Blümel
Hans-Erich Mende
Elenore Hofmann-Aumann
Mary Reuter B.Sc.
Otfried Ortmann
Gloria Lachmann MBA.
Univ.Prof. Roman Misicher
Centa Krebs-Stadelmann
Emma Briemer
Rosa Hübel
Pero Scheuermann
Siegmund Schleich MBA.
Prof. Monica Beer MBA.
Margita Schleich-Becker
Sylvana Holzapfel
Nadja Hethur
Tomislav Steckel
Irmtraut Mülichen B.A.
Philippe Wähner
Bertram Eigenwillig
Leni Wohlgemut-Ruppersberger
Arne Knappe
Hanns Ehlert MBA.
Rudolf Mentzel
Hans Kostolzin-Ditschlerin
Leonid Mühle
Anto Tröst-Schäfer
Frau Katarina Lindner
Muharrem Rosemann-Heidrich
Irmingard Reising
Dipl.-Ing. Beatrix Henk B.Eng.
Irmtraud Hauffer-Matthäi
Drago Täsche
Mariola Gnatz
Angela Hamann
Marcella Karz B.A.
Louis Loos B.Eng.
Hans-Wolfgang Harloff
Eberhardt Warmer
Gabriella Schuster
Marek Adler
Tobias Mühle
Univ.Prof. Paulo Jähn
Kevin Etzler
Inga Wieloch
Waltraut Gehringer
Rose-Marie Jäkel
Oxana Lübs
Jessika Thies
Joanna Christoph
Gilbert Bolnbach
Prof. Karen Benthin B.Eng.
Victoria Werner MBA.
Siegbert Conradi
Ing. Alfred Söding
Nadia Wirth
Prof. Thekla Hahn
Lidwina Jockel
Roswita Sauer
Carmen Weinhold
Ing. Guenther Scholtz B.A.
Hanno Hölzenbecher B.Sc.
Vitus Pruschke B.A.
Dr. Carsten Steinberg
Eckehard Mude
Univ.Prof. Ilja Hentschel MBA.
Gülten Henschel
Univ.Prof. Evelyn Seifert B.A.
Janet Jüttner
Eva-Marie Hendriks
Felicitas Biggen
Hildegart Scheel B.A.
Liliane Gröttner-Albers
Alessandro Henk-Käster
Nikolaos Reichmann
Dennis Beer-Striebitz
Stephan Hauffer
Gerda Eberhardt B.Sc.
Svea Krebs-Scheibe
Dr. Anto Wende
Ing. Marko Linke
Heinz-Wilhelm Kuhl
Dipl.-Ing. Iris Stumpf MBA.
Cläre Bruder-Hentschel
Ottfried Peukert-Schulz
Prof. Marten Söding B.A.
Siegmar Keudel-Gude
Henny Wulff
Maurice Steckel
Univ.Prof. Jacqueline Faust
Prof. Cathrin Misicher
Klaus-Dieter Hänel B.Sc.
Univ.Prof. Marcella Trüb
Gerd Wiek MBA.
Gertrude Pieper
Frau Constanze Heidrich B.Sc.
Prof. Pascale Kruschwitz
Prof. Cilli Wulf
Dipl.-Ing. Henriette Lindau
Waldemar Hendriks
Britt Schwital-Seip
Gönül Steinberg
Ignatz Börner
Marija Stahr
Isa Weihmann
Kuno Mälzer B.Eng.
Carmelo Stiebitz
Univ.Prof. Anika Jockel MBA.
Emilie Kallert-Zorbach
Semra Gorlitz
Jochem Hermighausen
Ruthild Juncken B.Sc.
Patricia Wiek
Mariele Bolander
Swen Schweitzer B.Sc.
Ilka Heß
Patric Stahr-Ebert
Jessica Kohl
Andrej van der Dussen B.A.
Univ.Prof. Mira Mende B.Eng.
Ing. Mahmoud Becker
Urszula Fliegner
Dr. Meral Thies B.Sc.
Frau Svenja Hövel B.Sc.
Mike Krein
Vadim Rose-Wulf
Cecilia Killer
Andrei Säuberlich
Bernhardine Wilmsen
Reiner Ziegert-Walter
Klara Schlosser
Evangelia Misicher
Sören Pechel
Wolfhard Ziegert
Dörte Dobes-Bonbach
Malgorzata Rohleder
Herr Leonid Fröhlich B.Eng.
Anto Niemeier
Urs Matthäi
Hedwig Matthäi
Alwina Koch
Dr. Sara Niemeier
Helmar Klapp
Ingrid Eigenwillig
Heinz Dieter Trubin
Mareile Tschentscher B.A.
Beatrice Käster
Maritta Boucsein
Dipl.-Ing. Till Schenk
Marleen Etzler
Gabriel Klotz
Thaddäus Geißler
Jacek Täsche
Ing. Dirk Paffrath
Univ.Prof. Siegfried Karz B.Sc.
Karl-Heinz Rohleder
Ing. Igor Barth
Frau Therese Henk B.A.
Faruk Meister
Angelo Pärtzelt
Reingard Geisel
Hubert Hertrampf
Brigitta Walter
Frauke Staude
Ingried Sauer
Maja Jungfer
Univ.Prof. Brigitte Rogner
Irina Mielcarek
Herr Hermann-Josef Lehmann B.A.
Prof. Marijan Hoffmann
Gerolf auch Schlauchin
Prof. Hermann Bohlander B.Eng.
Dr. Egbert Kraus
Arne Dobes
Niels Faust
Univ.Prof. Alberto Steuer
Timo Spieß
Josef Butte-Lindau
Ivana Wilmsen-Gumprich
Johann Baum
Gislinde Wagenknecht
Frau Dorothe Mielcarek
Frau Renate Geisler
Albrecht Seifert B.Sc.
Dr. Hans-Albert Stroh
Michaela Sontag-Dörr
Lili Weimer
Ing. Georgia Rogner
Birte Jüttner
Siegried Caspar B.A.
Maren Drub
Victoria Hornig
Vitali Faust B.Eng.
Rosa Tintzmann
Raymund Mosemann-Eckbauer
Almuth Haase
Dipl.-Ing. Waltraut Kallert
Prof. Constance Girschner MBA.
Giuseppe Preiß
Kathi Seip
Dr. Lars Klemt
Franz Josef Nette-Werner
Prof. Emil Kruschwitz
Janus Jessel-Hermann
Steven Käster B.Sc.
Univ.Prof. Milan Hande
Herr Louis Hövel
Edelgard Finke B.Eng.
Mercedes Kobelt MBA.
Univ.Prof. Valeria Putz
Henny Eberhardt
Alessandro Krause
Dipl.-Ing. Burckhard Jäntsch
Karen Rädel
Danilo Ladeck-Köhler
Hilda Metz-Dehmel
Melita Schacht
Jörgen Paffrath B.Sc.
Hanspeter Benthin
Emma Trub-Scheuermann
Else Heß MBA.
Karsten Wohlgemut
Evelyn Stolze
Hannah Jacobi Jäckel
Univ.Prof. Rotraut Juncken B.A.
Recep Weihmann
Katharina Süßebier B.A.
Kay-Uwe Bruder MBA.
Erdmute Mosemann
Trudi Kranz B.Eng.
Frau Margitta Staude
Sandy Römer-Bien
Ing. Eva Kitzmann B.A.
Wilfriede Blümel
Friedrich-Wilhelm Roht-Wiek
Filippo Patberg
Serge Kade
Fatma Möchlichen
Marlis Wiek
Dorothe Adler-Trubin
Frau Gudrun Huhn B.Sc.
Jonas Albers
Mira Rohleder
Theodor Niemeier
Arnulf Heidrich
Aloys Trupp
Gerta Hartmann
Siegmar Pergande
Adalbert Reising
Ing. Anastasios Berger
Solveig Scheibe
Gislinde Klapp B.Sc.
Michaele Ruppert
Jörg Speer
Prof. Katrin Mülichen B.Eng.
Dino Kusch-Hiller
Susana Schaaf
Gülten Peukert
Frau Elsa Mälzer
Vincenzo Steinberg B.Sc.
Reimar Hahn-Neureuther
Roderich Scholtz
Prof. Anna Kühnert B.Sc.
Matthäus Hübel
Dr. Walburga Kobelt B.Eng.
Gordana Bolnbach
Cläre Heser
Liesa Neureuther
Rene Hofmann
Harriet Ullmann
Tülay Fiebig
Micha Schottin
Traugott Hövel
Tina Henschel
Frau Juliane Schulz B.Sc.
Hans-Erich Preiß
Ingetraut Köster
Herr Julian Gotthard B.Eng.
Dr. Zeljko Pruschke
Jaroslav Benthin
Brunhilde Koch II
Diether Dussen van-Rohleder
Abram Gunpf
Univ.Prof. Dolores Jäkel
Jiri Förster
Gundolf Walter
Ernst-August Oestrovsky-Kreusel
Prof. Jelena Naser
Verena Gute-Trüb
Christina Schlosser
Gottfried Keudel MBA.
Dipl.-Ing. Mariechen Bonbach
Marit Eberth
Univ.Prof. Jaqueline Dehmel
Gina Wulff B.A.
Vito Davids-Schwital
Ing. Nadeschda Tschentscher B.A.
Frau Pascale Hettner B.Eng.
Dipl.-Ing. Dunja Hoffmann
Urban Klemt
Knut Gorlitz
Juliana Schönland
Karl-Dieter Speer
Carlo Bohlander
Dorota Sorgatz B.A.
Herr Darko Gutknecht MBA.
Milan Weiß-Schuchhardt
Dr. Baldur Johann B.Eng.
Ing. Heinz Ehlert
Brita Jäkel
Kay-Uwe Trapp
Ekrem Hornich
Mijo Karge-Löchel
Adrian Fiebig-Dörschner
Viktoria Trub-Budig
Michelle Pohl
Sigismund Junitz
Philipp Walter-Löffler
Hedi Gumprich
Alwin Löffler B.A.
Raymond Drub B.Sc.
Hans-Erich Staude
Adelinde Ackermann-Knappe
Ing. Dierk Striebitz
Liliane Steuer
Ing. Danica Gieß MBA.
Jolanda Jopich
Nurten Henschel-Stroh
Slawomir Ortmann
Univ.Prof. Franz-Josef Zänker
Victor Fritsch B.Eng.
Balthasar Müller-Drub
Gotthard Christoph
Dipl.-Ing. Elly Davids B.Sc.
