Student
Herr Vincenzo Liebelt
Gislinde Müller
Dorota Sorgatz B.A.
Steffi Schmiedt B.Sc.
Luigi Hartung
Ivo Börner
Claire Faust B.A.
Prof. Karl-Friedrich Geisler B.A.
Herr Urban Christoph
Damaris Eigenwillig
Celal Seifert
Ida Weihmann
Dipl.-Ing. Edmund Franke
Gudrun Heß B.Sc.
Hans-J. Atzler
Fernando Dobes
Jost Roskoth
Frau Sibel Trommler
Leif Wulff
Edit Siering
Dipl.-Ing. Stefano Wernecke B.A.
Dipl.-Ing. Kevin Stadelmann
Herr Hilmar Stumpf
Patrick Pärtzelt-Henck
Beatrix Rädel MBA.
Ing. Herbert Mühle B.Sc.
Frau Zdenka Boucsein B.Eng.
Teresa Jessel
Friedericke Lange
Prof. Hans-H. Zimmer
Marianna Rosenow-Weiß
Brigitta Walter
Massimo Dörschner
Karl-Ernst Reuter
Ernst-August Gutknecht
Dr. Herbert Jockel B.Eng.
Herr Swen Kraushaar B.A.
Ryszard Lehmann
Dr. Ella Warmer
Paolo Zänker MBA.
Friedl Briemer-Austermühle
Herr Erich Rosenow
Dr. Jonas Anders B.Sc.
Wolf-Dieter Sölzer-Putz
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Robert Etzold
Dr. Jann Wesack B.A.
Univ.Prof. Paul-Heinz Heinz
Herr Karl-Heinrich Eberth B.Sc.
Ignaz Beer-Eckbauer
Wenke Neureuther-Hermighausen
Angelo Röhrdanz
Arnfried Scheuermann
Mark Schottin B.Eng.
Carmen Weinhold
Hans-Rainer Rogner
Wanda Becker
Detlev Weihmann-Schäfer
Giuseppina Keudel
Janko Stey MBA.
Insa Karz-Mangold
Michel Hermighausen
Dipl.-Ing. Fred Meister
Hildburg Tlustek
Willy Kallert
Mary Hofmann B.A.
Herr Jonathan Beckmann B.A.
Dipl.-Ing. Hermann-Josef Jüttner
Hülya Conradi
Jörg-Peter Speer
Univ.Prof. Amalia Köhler
Wolf-Dietrich Gotthard-Dussen van
Manuela Sauer
Univ.Prof. Adelbert Zimmer
Klaus-Jürgen Jockel
Stjepan Hofmann-Hethur
Marieluise Kruschwitz
Monica Blümel
Karl-Heinz Rohleder
Lambert Wilmsen
Prof. Ricardo Kensy
Prof. Jürgen Blümel B.A.
Marit Thanel B.Sc.
Heinz-Georg Döhn
Sofia Hethur
Gisa Budig-Löwer
Liane Gröttner
Oda Berger
Bayram Kostolzin-Rosenow
Gitte Römer-Kroker
Johanna Bohlander
Tibor Köhler-Schönland
Mercedes Sauer
Dr. Leopoldine Kostolzin
Hanspeter Davids
Andrey Lorch
Philomena Salz
Marit Weller
Hans-Heinrich Schüler-Seip
Dr. Danica Scheuermann B.Sc.
Klaus-Michael Fiebig
Silja Jüttner
Steven Eimer
Rosa-Maria Losekann-Schulz
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Gundula Vollbrecht
Madlen Trupp B.Eng.
Waltrud Gumprich
Wilma Pärtzelt-Huhn
Artur Schaaf
Ingeborg Wesack
Prof. Juan Hamann
Krzysztof Mülichen
Reimar Jacob-Loos
Univ.Prof. Christa-Maria Lehmann B.A.
Hans-Friedrich Ruppert-Ullrich
Francoise Zänker-Knappe
Silke Heydrich-Albers
Pia Fliegner
Univ.Prof. Teresa Weinhage B.A.
Elke Hiller
Elena Fiebig
Erol Jäntsch
Maxim Wilms-Meister
Prof. Marten Söding B.A.
Prof. Bärbel Ladeck B.Eng.
Cynthia Linke
Ivana Wilmsen-Gumprich
Stilla Heuser
Heinrich Ackermann
Rüdiger Buchholz-Kuhl
Luzie Sager-Gierschner
Carlo Bohlander
Waltrud Scholl
Alena Hänel
Lorenz Schwital-Stadelmann
Heide-Marie Adler B.Eng.
Emine Tlustek B.Sc.
Aribert Schulz B.Eng.
Prof. Georgia Zirme MBA.
Ella Keudel
Enno Jockel MBA.
Jasmina Rudolph
Ing. Rosalinde Rogner MBA.
Univ.Prof. Gunter Kaul
Anna-Marie Zorbach
Erica Holsten
Dr. Lidwina Oestrovsky
Susi Grein Groth-Steuer
Prof. Karl-Heinz Ruppersberger
Balthasar Müller-Drub
Prof. Tina Nohlmans MBA.
Ing. Meinhard Schweitzer
Konstantinos Lindner
Liesa Wilms B.A.
Victoria Werner MBA.
Gaetano Lübs
Univ.Prof. Antonina Becker
Olaf Hethur
Domenico Gerlach-Kramer
Irmengard Rudolph
Lilly Girschner-Ritter
Vittorio Hertrampf
Dorothee Renner
Frau Evelyne Süßebier B.Eng.
Krista Putz
Dipl.-Ing. Giorgio Drubin B.Eng.
Rosita Wesack B.Sc.
Ing. Henning Drub
Sigrid Jockel
Henny Wulff
Luitgard Weiß-Rörricht
Dajana Gehringer
Dr. Karl-Hermann Gude
Univ.Prof. Jann Schleich
Ing. Birte Heidrich B.Eng.
Herr Alwin Sager B.A.
Hendrik Herrmann
Sükrü Schüler MBA.
Prof. Alina Ziegert
Calogero Wende
Yusuf Seifert
Ricarda Fröhlich B.A.
Mandy Trüb
Dr. Gerhart Käster
Hans-Erich Mende
Gabriela Girschner
Ing. Gislinde Ernst B.A.
Marleen Heser
Dipl.-Ing. Adele Huhn MBA.
Janett Zorbach
Dipl.-Ing. Alla Karge
Monique Rose-Schuchhardt
Maritta Bien
Klaudia Seidel
Daniela Siering
Siegmar Kramer
Marlis Rogge B.Sc.
Dr. Heinz Dieter Dörschner
Senta Renner
Yvette Schinke
Caroline Linke
Prof. Sandy Butte
Steven Trub
Ahmed Lange MBA.
Dr. Diedrich Krebs B.A.
Johann Seidel
Ing. Carolin Faust B.A.
Gerolf auch Schlauchin
Severin Mende B.A.
Franziska Beer
Helga Hövel MBA.
Harm Sontag-Wilms
Dr. Annedore Wulff B.Sc.
Lioba Söding
Lieschen Röhricht MBA.
Dr. Damian Scheel
Gunter Schenk B.Sc.
Dipl.-Ing. Rabea Sorgatz MBA.
Henni Wagenknecht B.Sc.
Urs Ebert
Ing. Roy Dippel B.A.
Univ.Prof. Jeannette Schleich B.Sc.
Falk Ritter
Dipl.-Ing. Petar Lübs
Peter Rohleder
Dorina Weinhage
Milena Weitzel-Steinberg
Kazim Rohleder
Irmgard Liebelt
Wanda Vollbrecht-Reinhardt
Univ.Prof. Samira Drewes
Dipl.-Ing. Engin Jähn B.A.
Prof. Gunter Mentzel
Hardy Hänel B.Eng.
Mina auch Schlauchin
Prof. Josefa Beier B.Sc.
Laura Mühle
Dr. Jeannine Schleich B.Sc.
Regina Hamann B.Sc.
Dr. Muzaffer Sauer B.Eng.
Prof. Falko Trapp B.Eng.
Dr. Arzu Martin B.Eng.
Prof. Linus Kambs B.A.
Anka Jäkel-Ackermann
Anne-Marie Drewes
Ron Beer
Walli Jopich
Univ.Prof. Nurten Neuschäfer MBA.
Fredi Jäntsch
Liliana Gehringer
Reni Roht-Binner
Nathalie Langern
Georgia Bärer
Lorenzo Hornig
Irmtraut Hahn-Walter
Judith Sorgatz
Patrizia Schüler
Zofia Roht
Dipl.-Ing. Svea Neureuther
Univ.Prof. Charlotte Lindner MBA.
Theresia Henck
Tilman Eberhardt
Bernt Huhn
Hartmuth Gude B.Eng.
Dipl.-Ing. Mareike Noack B.Sc.
Hildegart Scheel B.A.
Birgid Freudenberger
Gabi Neuschäfer-Oestrovsky
Marie-Luise Ring
Valentine Bähr B.A.
Univ.Prof. Josefine Lindau
Anna-Maria Holzapfel
Wenke Stolze
Univ.Prof. Margareta Naser
Kreszentia Bloch-Kohl
Maurizio Mans-Ullmann
Margit Klapp
Alexander Hörle
Milica Huhn
Ruthild Juncken B.Sc.
Elvira Cichorius
Fanny Zänker-Hein
Diana Jessel-Geißler
Rainer Gunpf B.Eng.
Frau Ariane Weinhage MBA.
Herr Karlheinz Mans
Fatima Rosemann-Schmidtke
Luciano Biggen
Otmar Misicher
Beatrice Bender
Marie-Therese Schleich
Amanda Eimer B.Sc.
Nico Hartung-Linke
Rudolf Weihmann
Else Heß MBA.
Clarissa Wieloch
Bertold Bloch-Beckmann
Anneliese Gnatz
Pius Röhrdanz
Prof. Janus Walter B.A.
Katharina Speer
Hans-Martin Kohl
Kerstin Niemeier
Prof. Edgar Roht
René Ehlert
Frau Lilli Möchlichen MBA.
Ahmad Jacobi Jäckel
Silvia Henschel
Paul Carsten
Univ.Prof. Hans-Theo Kroker
Folker Otto
Hans-Martin Bärer
Irmgard Weinhage-Wieloch
Claudius Rust-Mans
Isabell Briemer
Heinz-Joachim Spieß
Bastian Röhrdanz
Dipl.-Ing. Harm van der Dussen
Prof. Mohammed Kambs
Ing. Abraham Thanel B.Eng.
Geza Beckmann
Ing. Maren Schenk
Mariusz Baum
Friedericke Bolzmann
Heinz-Georg Heidrich
Raisa Scholtz
Andrew Schlosser
Prof. Gertraude Mangold B.Eng.
Vincenzo Steinberg B.Sc.
Claus Jähn B.Eng.
Angelica Klemt
Manuel Pärtzelt
Antonina Christoph MBA.
Kristin Jacob
Sylvie Neuschäfer
Gundi Tlustek
Annamaria Hänel-Zimmer
Vesna Döhn
Hanno Hölzenbecher B.Sc.
Eleonora Gehringer
Zbigniew Boucsein
Tatiana Kade-Rust
Dipl.-Ing. Melanie Kreusel B.A.
Ditmar Pölitz B.A.
Ing. Klaus-Michael Bolzmann
Henri Wirth
Dipl.-Ing. Magrit Junck
Prof. Ingmar Bonbach
Prof. Marika Davids B.A.
Emilie Kallert-Zorbach
Ludwina Haase
Kreszenz Beier
Käthi Naser-Tlustek
Piotr Hande
Felicitas Kensy-Stey
Anna-Lena Röhrdanz B.Sc.
Hermine Eberhardt
Nadeschda Rädel
Horst-Dieter Gude
Tillmann Stolze
Leonore Schacht
Florentine Bärer B.A.
Univ.Prof. Alexandre Schottin
Frau Herlinde Schleich B.Sc.
Hedy Loos
Annemarie Schaaf B.Sc.
Gregor Buchholz
Hans-J. Hahn-Süßebier
Martina Hartung
Katherina Hesse
Hannelore Rädel-Keudel
Bertha Rose
Dipl.-Ing. Christoph Jockel B.Sc.
Univ.Prof. Traudl Mentzel B.Eng.
Carina Kusch
Senol Langern
Hülya Scheibe
Prof. Magdalena Bohlander B.Sc.
Magnus Heidrich
Ing. Ivana Budig B.Eng.
Brian Dussen van
Annelore Täsche
Astrid Schweitzer
Hans-Ulrich Liebelt-Hauffer
Ismail Geisler
Jurij Zimmer
Ing. Leszek Gutknecht B.Sc.
Roderich Weitzel
Kazim Junken
Ing. Christel Margraf MBA.
Stanislaus Davids MBA.
Dr. Hans-Albert Stroh
Ing. Augustin Budig B.Eng.
Dipl.-Ing. Dorina Lindau B.Sc.
Gero Schomber
Prof. Diether Neureuther
Karl-Ludwig Hoffmann
Frau Anny Niemeier B.A.
Hanny Martin
Hartmut Biggen-Trapp
Erich Klotz B.Sc.
Prof. Volker Hermann
Semra Gorlitz
Anselm Dowerg
Hans-Michael Rudolph
Ing. Canan Gutknecht B.A.
Johanne Kusch
Robert Herrmann
Gunnar Junk
Marina Wilmsen
Kilian Austermühle B.A.
Daniele Finke
Dr. Aribert Sontag
Univ.Prof. Gislinde Rohleder
Stjepan Langern
Prof. Janos Werner B.Eng.
Herr Hans-Martin Heuser
Franjo Löffler B.Eng.
Kay-Uwe Finke
Univ.Prof. Beate Gude
Dipl.-Ing. Peer Kuhl
Francis Rohleder
Edda Jungfer
Prof. Magnus Dörr B.Eng.
Frau Käte Zahn
Fabienne Dobes-Heuser
Hans-Albert Preiß-Scheel
Zlatko Kraus
Prof. Dorit Käster B.Sc.
Leonhard Patberg
Hansjürgen Schlosser
Bertram Rädel
Wanda Stoll B.A.
Marica Martin
Tibor Budig
Ellen Jessel-Walter
Frau Cordula Anders B.Eng.
Prof. Bianka Schacht
Arndt Wernecke-Gertz
Hulda Seidel-Carsten
Dr. Marie-Louise Wohlgemut B.Sc.
Adelgunde Beer
Dipl.-Ing. Giuseppina Etzler B.Sc.
Conny Geißler-Karge
Prof. Alois Jacob
Dorle Zirme
Tim Sorgatz
Dipl.-Ing. Gerold Kusch B.Eng.
Herr Alois Thanel B.Sc.
Karl Zirme
Dorle Killer
Dipl.-Ing. Gabi Scholtz
Murat Linke
Frank-Peter Bien
Prof. Urs Täsche
Herr Mirko Häring B.Sc.
Frau Melita Scholz B.A.
Ing. Steffen Röhrdanz B.A.
Dipl.-Ing. Slobodan Sölzer
Edmund Junck
Nikola Riehl
Dipl.-Ing. Oskar Vogt B.A.
Gundula Klotz
Herr Gordon Heintze B.Eng.
Maya Conradi
Kathi Christoph
Hubertine Jäkel
Prof. Martin Ullmann
Anni Kraus
Marianne Ziegert-Werner
Herr Andrej Rose
Melitta Salz
Ekaterina auch Schlauchin
Ronald Stiebitz
Univ.Prof. Leif Süßebier B.A.
Evangelos Hartmann B.A.
Rahel Dörschner
Zeynep Lehmann
Lidwina Jockel
Nicolai Röhricht-Spieß
Zdravko Jacob
Aloys Trupp
Univ.Prof. Dolores Rust
Dr. Heide Jockel B.Sc.
Ing. Mariechen Nerger B.Eng.
José Tschentscher-Textor
Maike Bolnbach
Ursel Conradi
Francesco Drub
Ing. Hans-Heinrich Reichmann B.Sc.
Adina Finke
Hedda Haase
Immo Ring
Univ.Prof. Waltrud Rogner
Ing. Loni Gnatz MBA.
Antoinette Schottin
Cordula Schmiedecke-Wilms
Harold Scheibe
Edmund Scholtz B.Sc.
Univ.Prof. Franz-Josef Zänker
Elfie Jäkel
Knud Trommler
Wibke Cichorius
Ilja Krause
Bianka Schuster-Ziegert
Ludwina Fritsch
Anica Sorgatz B.Sc.
Prof. Erwin Albers B.Sc.
Manja Koch II-Heuser
Marita Berger B.A.
Wally Kreusel
Ellen Trub
Prof. Cilli Wulf
Aysel van der Dussen-Jäntsch
Univ.Prof. Jörg-Peter Riehl
Jennifer Berger
Dorle Knappe
Hanne-Lore Berger
Ivanka Gierschner-Pergande
Dr. Helge Täsche MBA.
Florentine Eimer
Alexandros Heintze
Prof. Marko Rohleder B.A.
Univ.Prof. Hanspeter Gorlitz
Anni Dietz-Blümel
Doreen Hornig
Cornelius Jacobi Jäckel
Holger Gröttner B.Eng.
Zdravko Staude B.Sc.
Frau Yvonne Trupp B.A.
Manuel Hering-Jäntsch
Ing. Gotthard Reuter B.A.
Adelheid Schinke
Dr. Stephanie Ladeck
Babett Adler
Gerhild Gude
Ramon Salz
Martine Trupp
Raymond Speer
Herr Recep Junk B.A.
Univ.Prof. Wibke Reinhardt B.Eng.
Evi Grein Groth
Rouven Bloch B.A.
Gunhild Jessel
Emil Preiß-Hecker
Dr. Elfie Tintzmann
Senta Hiller
Prof. Ingeborg Noack
Rosa-Maria Seifert
Marica Seidel B.Eng.
Gotthold Krause
Irene Gotthard-Hoffmann
Swetlana Jessel
Nurettin Dippel
Kai-Uwe Stiebitz-Hentschel
Prof. Ahmad Rörricht
Marie-Therese Steuer
Bernward Fröhlich
Herr Herbert Dowerg
Dusan Eigenwillig
Anneke Jähn
Ing. Carolin Matthäi
Bernfried Roht
Traudl Gierschner
Czeslaw Jacob B.Eng.
Wiltrud Wilmsen-Graf
Helge Pohl
Orhan Hecker-Heuser
Patricia Wiek
Darius Loos
Amir Reuter
Cordula Wohlgemut
Prof. Gabriella Holt B.Eng.
Carl-Heinz Kraus
Ing. Gregor Lindau
Marleen Etzler
Lilo Scholz
Marisa Wagenknecht
Erhard Geisel
Gina Pieper
Kamil Hecker-Hahn
Herr Alexandre Eimer B.A.
Kriemhild Gude
Stella Mülichen
Annett Mies-Hellwig
Gerard Förster
Sigrid Schleich
Dagmar Koch
Herr Dursun Hentschel B.Eng.
Ingetraud Freudenberger
Carin Binner
Monja Siering
Victoria Klingelhöfer
Cläre Bruder-Hentschel
Gülsen Junck
Saban Eimer
Mark Sauer B.A.
Hildegund Gunpf
Nancy Eckbauer
Xaver Schönland
Prof. Irmela Hellwig B.Sc.
Prof. Irma Bien B.Eng.
Anica Austermühle
Wiltrud Geißler
Jonas Adler
Kuno Kreusel
Lilli Harloff
Claudio Bolnbach
Hermine Wohlgemut
Lydia Jopich
Dr. Diedrich Gerlach B.A.
Alexei Meister
Michaela Sontag-Dörr
Susanna Beyer B.Eng.
Janine Hendriks B.A.
Bert Ortmann
Dr. Torben Stey
Imke Austermühle-Löwer
Gerwin Textor
Dipl.-Ing. Jiri Wesack B.A.
Prof. Natalja Mies MBA.
Prof. Necati Stey B.A.
Florian Wulff
Frida Stolze
Wenzel Drubin
Paulina Bender-Liebelt
Ludmilla Pieper
Renate Franke B.A.
Hans-Hinrich Trub
Domenico Kade B.A.
Jane Patberg
Hagen Girschner
Attila Atzler
Ing. Brunhilde Albers
Ricarda Warmer B.A.
Magdalene Hering MBA.
Ing. Aziz Hein
Hans Josef Thanel
Jörg Speer
Dr. Tim Hornig B.Sc.
Ahmed Freudenberger B.Sc.
Ulrich Schlosser
Simon Mude
Czeslaw Bohnbach B.Eng.
Susanna Söding
Tomislav Schüler
Hedi Bärer
Mirja Wähner
Fatima Rörricht
Hellmut Lindner
Stavros Hövel B.Eng.
Michaele Schwital
Herr Frieder Wulff B.Sc.
Malgorzata Tlustek
Ljiljana Löwer B.A.
Univ.Prof. Luka Mende
Thilo Berger
Vitus Pruschke B.A.
Mehmet Sauer
Martha Wilmsen
Isa Weihmann
Claudius Mude
Dr. Krista Jäkel B.A.
Helene Kuhl-Austermühle
Pavel Pärtzelt B.Sc.
Berthold Austermühle MBA.
Rebecca Geißler
Katrin Oestrovsky-Fechner
Oskar Löwer B.Eng.
Dipl.-Ing. Ingbert Krebs B.Eng.
Leonardo Birnbaum
Raymond Römer
Silvester Scheibe
Stefanie Dippel
Dorle Schmidtke MBA.
Raissa Gehringer-Putz
Sara Rogge
Hagen Weimer
Luise Gertz-Fliegner
Willibald Ziegert-Siering
Hans-Willi Benthin
Mariusz Stadelmann-Jähn
Gerwin Salz
Antonia Mohaupt
Roswita Hofmann MBA.
Kathleen Hahn B.A.
Filippo Hermann
Fatih Zirme
René Säuberlich B.Eng.
Anton Stey
Jörg-Peter Christoph
Miriam Juncken
Dr. Cengiz Säuberlich
Olaf Wesack
Dr. Semra Schulz
Univ.Prof. Kata Zahn
Wilfriede Misicher
Friedericke Lehmann B.Sc.
Ing. Helmuth Bachmann B.Sc.
Univ.Prof. Lucia Zobel
Nelli Stiebitz
Anthony Oderwald
Birte Gröttner MBA.
Ing. Alwine Scholz
Gundula Weitzel-Liebelt
Centa Kaul
Ottmar Hölzenbecher
Dipl.-Ing. Louis Spieß B.A.
Norman Wulf
Gotthilf Gertz
Birte Jüttner
Ivanka Rogge
Sofie Reichmann
Hanne-Lore Johann
Blanka Birnbaum
Halina Austermühle-Bender
Sylwia Bolander
Univ.Prof. Kreszenz Wulf B.A.
Marianne Hecker
Ing. Muharrem Paffrath B.Sc.
Fedor Röhrdanz
Anneli Schleich-Ullmann
Beatrice Fechner
Ing. Berta Oestrovsky B.Eng.
Reiner Conradi
Halil Warmer B.Sc.
Univ.Prof. Jeanette Girschner B.Sc.
Philipp Killer B.A.
Milos Knappe-Scholz
Klaus-Dieter Wende
Karola Zorbach B.Eng.
Kamil Hendriks
Marion Kuhl
Hannah Jacobi Jäckel
Dr. Adriane Bärer B.Eng.
Ottfried Scheibe-Sauer
Felizitas Werner
Herr Hinrich Mühle
Tina Radisch
Henning Fechner
Alexej Hornig-Radisch
Stephan Hauffer
Friedlinde Schenk-Wulff
Thorben Ruppert
Univ.Prof. Matthäus Gude
Reinhard Rogge
Waltraud Wernecke
Herr Siegmar Geisler
Ing. Leander Weimer B.Eng.
Anna Linke
Dipl.-Ing. Laurenz Gerlach MBA.
Kay-Uwe Barkholz
Dietrich Kruschwitz
Lilly Beckmann B.Sc.
Mike Sölzer
Univ.Prof. Aleksander Wiek B.A.
Leokadia Herrmann
Ing. Gordana Bruder MBA.
Armin Hellwig-Finke
Juan Schweitzer
Irmingard Meyer MBA.
Friedbert Sorgatz
Klaus-Ulrich Tlustek-Förster
Univ.Prof. Dorle Röhrdanz B.A.
Prof. Konrad Neuschäfer
Klara Blümel
Rosalia Heydrich
Dipl.-Ing. Lilly Junken MBA.
Metin Peukert-Lindner
Gülten Röhrdanz
Herr Claus Killer
Corinne Berger
Susanna Weitzel
Natali Löffler
Centa Bohlander-Stiebitz
Iwan Käster
Annekatrin Trupp
Gerti Ullrich
Diana Haering
Marek Adler
Alexandre Häring
Prof. Susanne Rose
Helma Fliegner
Frau Ellinor Tintzmann
Ron Sorgatz-Eimer
Ing. Nicolai Textor B.A.
Detlev Wilmsen
Uwe Schwital MBA.
Ing. Karl-Georg Dobes
Herr Ronald Reising B.Sc.
Geraldine Wagner
Camilla Kühnert MBA.
Isabelle Förster-Beyer
Frau Juliane Schulz B.Sc.
Dr. Myriam Pieper B.Eng.
Jacqueline Hofmann
Pedro Bärer
Alban Dippel
Ulrike Schleich-Süßebier
Prof. Aziz Stumpf
Elias Gierschner
Dipl.-Ing. Baldur Oderwald B.Sc.
Raymund Mosemann-Eckbauer
Harriet Rohleder
Achim Budig
Hans-H. Naser
Magarete Beyer B.Eng.
Siegbert Seifert
Prof. Johannes Holzapfel MBA.
Guenter Lachmann
Gabriela Freudenberger B.A.
Margaretha Heintze-Henk
Vlado Kramer B.Eng.
Dorle Henck-Sorgatz
Gilda Faust
Kreszentia Bohlander
Mina Beyer
Pero Scheuermann
Nikolai Mohaupt
Heinz-Willi Geisel
Ing. Annekatrin Heß
Johanna Finke-Ehlert
Vinko Kraus-Schmiedt
Emilia Seifert
Dipl.-Ing. Johanna Henck
Sebastian Vogt
Wieslaw Käster
Liliana Davids
Hans Jürgen Lange
Reinhilde Hesse B.Sc.
Dipl.-Ing. Hans-Peter Hertrampf
Thorsten Kensy B.Eng.
Hans-Jörg Lachmann
Lukas Juncken MBA.
Anny Zirme
Prof. Susanne Heidrich B.Eng.
Athanasios Bloch
Dr. Lisa Stroh B.Sc.
Drago Täsche
Ing. Wladimir Karz MBA.
Anne-Rose Klapp-Jockel
Friedl Atzler-Süßebier
Alfredo Oestrovsky
Angelina Dörschner-Reichmann
Univ.Prof. Horst Scholtz
Lisette Stoll B.Eng.
Prof. Vesna Scholz
Prof. Lotti Löffler
Heino Zahn-Bähr
Monika Mühle-Hiller
Christina Geisel-Hesse
Lili Heydrich-Beyer
Frau Gertraude Wesack B.Eng.
Dr. Baldur Johann B.Eng.
Peter Sontag
Gitte Rohleder-Bruder
Georgia Ruppersberger
Karl-Otto Kostolzin
Hanne Junk
Nina Müller B.Eng.
Rafael Blümel
Herr Vinzenz Jäntsch B.A.
Anneli Butte
Piotr auch Schlauchin-Reuter
Marco Conradi
Kunibert Hahn-Lindau
Wally Krein-Bien
Lars Ullrich
Henny Herrmann
Kay-Uwe Bruder MBA.
Margita Schleich-Becker
Salvatore Tlustek
Sibilla Mälzer
Ing. Hans-Wolfgang Weitzel B.Sc.
Kunigunda Heser
Ottilie Hartung
Denny Pechel
Liane Hermann MBA.
Vitali Walter-Krein
Notburga Pechel B.Eng.
Univ.Prof. Heinz-Werner Renner B.A.
Hans Georg Gorlitz-Schäfer
Cindy Meyer
Heino Lindau B.Eng.
Anto Kobelt-Kobelt
Niklas Schleich
Hinrich Römer
Dr. Lidija Weihmann
Regina Barkholz
Karl Heinz Stiebitz
Joana Mielcarek B.A.
Dipl.-Ing. Lioba Plath
Lidwina Karz MBA.
Univ.Prof. Jaroslav Seifert B.Eng.
Univ.Prof. Rotraut Juncken B.A.
Irene Ditschlerin
Irma Neureuther
Dipl.-Ing. Bekir Boucsein
Univ.Prof. Emine Vogt B.Sc.
Dipl.-Ing. Julian Mühle
Dipl.-Ing. Wilfriede Bruder
Dr. Amir Jäkel
Gilbert Steuer-Rosemann
Annelore auch Schlauchin-Lorch
Norman Ditschlerin MBA.
Reinhard Beckmann
Gunar Lindner
Dr. Ibrahim Dobes B.Eng.
Urban Peukert
Ulrike Albers
Frau Helena Nette
Fredi Huhn
Damian Holsten
Ian Briemer B.Eng.
Lieschen Rörricht
Ing. Silja Heser
