Student
Marie-Therese Steuer
Kasimir Albers-Stiebitz
Rolf-Peter Rosenow MBA.
Rainer Henk-Gotthard
James Kostolzin-Haase
Evelyn Ortmann
Käthe Ernst
Mirja Wähner
Falk Sorgatz-Ortmann
Jurij Bärer
Frank-Michael Sontag
Ing. Carla Ziegert B.Eng.
Dr. Sedat Schäfer
Rolf-Peter Reising B.Sc.
Gudula Niemeier
Paolo Meister
Edgar Rohleder-Fröhlich
Juergen Beier B.A.
Emmy Bohnbach
Univ.Prof. Hanspeter Gorlitz
Prof. Liane Jungfer
Stilla Hornig B.A.
Wibke Cichorius
Ullrich Preiß
Ing. Alma Rudolph B.Sc.
Hans-Theo Thies
Dipl.-Ing. Alf Graf
Prof. Fabian Scholl MBA.
Siegbert Henschel
Blanka Birnbaum
Francesca Wieloch
Kristina Scheibe
Claus Butte
Ing. Ivonne Nerger
Univ.Prof. Theresia Lange MBA.
Hanni Dippel-Heser
Hansgeorg Beier-Freudenberger
Dr. Maren Steckel B.Sc.
Anneliese Gnatz
Fabienne Dobes-Heuser
Leonard Kostolzin
Hüseyin Stahr
Annett Anders MBA.
Marie-Louise Hendriks-Dörschner
Martine Zobel
Ing. Alberto Werner
Patrick Wohlgemut
Gabi Löwer MBA.
Tilman Killer B.A.
Ing. Gottfried Hoffmann
Eitel Ernst
Oxana Ortmann MBA.
Emmerich Killer
Rainer Scheel B.Eng.
Franziska Jüttner
Kristian Meyer
Univ.Prof. Inga Hermighausen B.Eng.
Torben Säuberlich-Linke
Hassan Sager
Univ.Prof. Claudio Schmiedt
Julius Kraushaar
Heinz-Willi Geisel
Oxana Stumpf
Mark Schottin B.Eng.
Herta Hendriks
Claudius Rust-Mans
Monja Siering
Wally Bien-Kraushaar
Hans-Bernd Knappe-Gröttner
Prof. Grete Müller
Gretel Hande
Birgit Pergande
Tülay Henschel
Fernando Dobes
Pavel Jessel
Tülay Scholtz
Wencke Riehl-Stoll
Josef Langern
Sarina Dobes
Irina Hahn
Roger Gunpf-Paffrath
Hans-Gerd Preiß
Günter Fischer
Pius Römer MBA.
Dr. Laila Peukert
Gusti Wagenknecht
Prof. Friedo Reuter
Liliana Davids
Sylvester Bender-Boucsein
Prof. Gertraude Wohlgemut B.Eng.
Henryk Henk
Patric Geisler-Becker
Antonia Mohaupt
Ing. Eckehard Bloch MBA.
Dr. Czeslaw Neureuther
Herma Geisler-Beckmann
Heinz-Günther Bohnbach
Anatolij Trub
Woldemar Bähr
Ignaz Beer-Eckbauer
Marek Mitschke B.Sc.
Dorit Ebert
Mareile Löwer
Arne Dobes
Corinna Täsche B.A.
Leon Rust
Univ.Prof. Evelyn Seifert B.A.
Sina Wulff-Dussen van
Burckhard Heuser
Frau Zdenka Boucsein B.Eng.
Frau Rosa-Maria Sauer B.Sc.
Sigurd Holsten B.Sc.
Samuel Ackermann
Adam Gertz
Berthold Jäntsch-Jessel
Leszek Hentschel
Wencke Bohlander
Eckehard Mude
Hansjörg Roht
Sigmund Herrmann MBA.
Hendrik Gehringer
Frau Monique Löchel
Dr. Theodor Sager
Adam Hölzenbecher-Hettner
Rüdiger Heinrich
Ing. Hans Peter Schenk B.A.
Ing. Tilman Kitzmann
Brita Flantz-Knappe
Frau Evamaria Geißler
Jakob Döring
Hans-Bernd Zorbach
Dipl.-Ing. Astrid Kade
Sara Johann
Dipl.-Ing. Maik Mende B.Sc.
Johanne Kusch
Ing. Konstanze Schmidtke MBA.
Tobias Wirth
Remo Köhler
Herr Valentin Warmer
Bertha Rose
Erkan Trub
Magnus Heidrich
Lidija Trapp
Linus Drub
Veronica Benthin
Gregor Knappe B.Eng.
Antonietta Putz B.Eng.
Joachim Höfig
Dipl.-Ing. Jaqueline Striebitz
Karlfried Sorgatz
Sigfried Franke B.Sc.
Univ.Prof. Ayten Lorch
Univ.Prof. Franz-Xaver Girschner B.Sc.
Alan Eigenwillig
Tibor Köhler-Schönland
Ludmila Patberg
Karen Rädel
Jaroslaw Pieper MBA.
Univ.Prof. Rosi Gorlitz B.A.
Alwine Wulf
Matteo Beyer B.A.
Prof. Mirko Adolph B.A.
Univ.Prof. Halina Hamann MBA.
Kevin Etzler
Regine Wende B.A.
Ing. Erwin Kobelt B.A.
Elvira Cichorius
Prof. Diether Neureuther
Grete Rudolph
Paolo Wernecke
Iwan Käster
Hellmuth Heidrich
Ing. Marvin Renner MBA.
Ahmed Freudenberger B.Sc.
Valentin Klingelhöfer
Hilmar Spieß
Christiane Roht
Artur Briemer
Anastasia Gunpf
Carl Jockel
Hanspeter Stiffel
Carin Binner
Nurettin Mans-Klemt
Isa Rose
Prof. Heinz-Willi Lindau MBA.
Anatolij Steinberg
Mareile Tschentscher B.A.
Annerose Eckbauer
Mareike Lübs
Univ.Prof. Arno Kramer B.Eng.
Prof. Martin Ullmann
Valentine Bähr B.A.
Dipl.-Ing. Zeljko Stumpf B.A.
Olga Krein
Knut Gorlitz
Gereon Textor
Dipl.-Ing. Werner Scholl B.Eng.
Jochem Röhrdanz
Ing. Carin Zorbach MBA.
Roman Hauffer
Dipl.-Ing. Viktor Scheibe MBA.
Priska Rädel
Dipl.-Ing. Ismet Käster B.Eng.
Guiseppe Bien
Hanne Gierschner
Georgine Segebahn
Resi Ullmann
Univ.Prof. Hartwig Holsten B.Sc.
Johann Seidel
Herr Eberhardt Gierschner
Camilla Gunpf
Gerti Ullrich
Dipl.-Ing. Denise Beier
Univ.Prof. Jann Schleich
Beatrice Fechner
Ellinor Schmidtke B.Sc.
Peggy Haering B.Sc.
Justina Neureuther
Carl-Heinz Trapp
Tülay Gnatz-Sorgatz
Ahmed Lange MBA.
Prof. Janin Dietz
Sebastian Karge
Jiri Kambs
Andrei Säuberlich
Marcus Finke
Marie-Luise Zorbach MBA.
Hilde Walter
Anica Ortmann B.A.
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Gerlinde Albers-Hörle
Hanno Trub
Hülya Scheibe
Corinne Koch II
Ricarda Steuer
Malte Davids
Dogan Bolander
Dr. Sara Niemeier
Gertraude Pärtzelt MBA.
Reimar Müller
Elvira Gute-Käster
Lorenzo Hornig
Gerfried Dippel
Ing. Jessica Mende
Gitte Römer-Kroker
Jost Roskoth
Univ.Prof. Karin Beier
Kay-Uwe Pölitz
Ahmad Jacobi Jäckel
Wiltrud Jäkel
Marlis Rogge B.Sc.
August Weihmann
Univ.Prof. Erna Köhler B.A.
Heimo Knappe
Univ.Prof. Almuth Cichorius B.Eng.
Elisabeth Roskoth
Ottilie Blümel
Raimund Gieß
Aribert Kusch
Univ.Prof. Dorle Fröhlich
Birthe Schüler
Harro Keudel
David Losekann
Prof. Irena Höfig
Frau Mirjana Baum B.Sc.
Annaliese Klingelhöfer
Univ.Prof. Wibke Reinhardt B.Eng.
Brigitte Geisler
Reimar Klemm MBA.
Ing. Roy Dippel B.A.
Celal Hettner MBA.
Anka Förster
Dipl.-Ing. Wilfriede Bruder
Wladimir Karge
José Gröttner B.Sc.
Abram Gunpf
Univ.Prof. Waltrud Rogner
Dr. Peggy Beyer B.Sc.
Dipl.-Ing. Ryszard Buchholz
Luis Oderwald
Hermann Josef Drubin
Harro Trapp B.Eng.
Jörn Barth-Möchlichen
Linus Lübs
Janette Kraushaar
Siegmar Kramer
Wally Fliegner
Ing. Wiltrud Sauer B.Sc.
Solveig Scheibe
Dipl.-Ing. Liliana Hartmann
Prof. Branko Weller MBA.
Dipl.-Ing. Daniele Geißler
Jan Döring B.A.
Heinz-Georg Döhn
Univ.Prof. Dorit Pechel B.A.
Univ.Prof. Sebastian Sontag
Frau Lisbeth Girschner MBA.
Dipl.-Ing. Till Schenk
Katherina Klapp
Herr Recep Junk B.A.
Damaris Holsten-Schleich
Hedy Kobelt
Hansjoachim Salz-Junk
Bernhard Becker
Gislinde Junken
Univ.Prof. Romuald Hermighausen
Herrmann Holt-Lindner
Mijo Jessel B.A.
Univ.Prof. Tabea Dörschner MBA.
Ines Anders
Josip Kuhl
Rainer Conradi
Ing. Danica Gieß MBA.
Felicia Ritter
Babette Rohleder
Carla Hecker
Wolfhard Vogt
Jelena Meyer MBA.
Gisa Mohaupt
Ing. Stanislaw Weihmann B.A.
Helena Franke
Darius Kallert
Jacek Klemt
Frau Evelin Löffler
Dipl.-Ing. Franz Reising
Ing. Carolin Anders
Christopher Gertz-Kade
Detlev Wilmsen
Univ.Prof. Ilja Hentschel MBA.
Augustin Carsten
Yusuf Nette B.Sc.
Heinz-Peter Butte B.Eng.
Dipl.-Ing. Berit Weinhage
Harm Nette
Anka Rohleder
Anneli Wernecke
Prof. Irmela Hellwig B.Sc.
Pawel auch Schlauchin
Prof. Manuela Schleich B.Sc.
Dipl.-Ing. Jaroslav Henk
Prof. Sibel Wohlgemut B.Sc.
Emine Haase B.A.
Cetin Heidrich
Emilie Kallert-Zorbach
Isabell Briemer
Dr. Gerhart Käster
Mareile Oderwald-Hiller
Ing. Frederic Christoph B.Eng.
Brigitta Eimer
Constanze Lange
Marliese Roht
Alwine Linke
Nadja Hethur
Engin Johann-Weihmann
Dr. Jonas Fechner
Gabi Klapp
Univ.Prof. Damian Sorgatz B.Eng.
Hans-Georg Scholz
Dipl.-Ing. Sibylle Kensy
Dagmar Jungfer
Alexandra Henk MBA.
Marcella Höfig
Marzena Neuschäfer
Diether Vogt B.A.
Herr Urban Christoph
Marco Kostolzin-Bruder
Wieslaw Käster
Julia Hecker-Krebs
Prof. Edgar Roht
Ing. Mariechen Nerger B.Eng.
Caren Neureuther
Gabriella Rädel
Marianne Ernst-Zirme
Auguste Gunpf
Dr. Gabriel Junitz
Dipl.-Ing. Bertram Gieß MBA.
Ing. August Hellwig B.Eng.
Ing. Kornelius Geisel B.Sc.
Prof. Karen Henk MBA.
Dipl.-Ing. Dorina Lindau B.Sc.
Ing. Sibel Mies
Herr Tony Lindner
Dorothe Adler-Trubin
Annelie Bloch
Univ.Prof. Nicole Höfig B.Sc.
Reza Mielcarek
Herr Leonid Fröhlich B.Eng.
Metin Hande
Ing. Hansgeorg Jockel B.Eng.
Univ.Prof. German Rörricht
Univ.Prof. Traudl Mentzel B.Eng.
Canan Beyer
Agatha Kostolzin
Florian Wulff
Lorenzo Adler-Trommler
Miriam Juncken
Ulrike Gierschner-Koch II
Ralph Jacobi Jäckel
Ing. Paolo Meister
Univ.Prof. Heinz-Dieter Schuster
Dipl.-Ing. Undine Warmer
Leopold Weller-Zobel
Dipl.-Ing. Ildiko Löffler B.A.
Jörn Hörle B.Sc.
Univ.Prof. Polina Schmidt B.Eng.
Dipl.-Ing. Gisela Schuster B.A.
Alina Schmiedecke
Jadwiga Koch
Georgia Bärer
Prof. Klaus-Ulrich Boucsein MBA.
Prof. Joanna Kreusel
Ing. Dierk Striebitz
Janus Ring
Dr. Marie-Theres Möchlichen B.A.
Gertraud Tröst
Cilli Röhricht
Burghard Davids
Carin Pruschke
Michail Schmidt
Ekrem Pruschke-Jäkel
Wojciech Rogner
Kai-Uwe Sorgatz
Tino Gnatz
Heino Lindau B.Eng.
Dr. Friedbert Bauer B.Eng.
Gisela Schwital-Scheel
Dörthe Rädel
Alida Ehlert
Gunda Warmer
Rudolf Weihmann
Tabea Birnbaum
Gabi Harloff
Svetlana Schenk-Barth
Irmi Biggen
Friedo Ritter
Marta Herrmann
Marta Roht B.Sc.
Aleksander Klapp-Sauer
Univ.Prof. Rotraut Juncken B.A.
Sibylle Jäntsch
Kirsten Stey B.A.
Hildegunde Wende-Spieß
Ing. André Christoph
Susanna Söding
Prof. Magdalena Bohlander B.Sc.
Cilli Lindau B.A.
Hanno Salz
Kornelius Sontag
Frau Dana Röhrdanz
Jana Langern
Stephan Haase MBA.
Dietlinde Käster
Evangelia Misicher
Doris Kraushaar
Gotthard Christoph
Egbert Heintze
Prof. Lene Oestrovsky B.Sc.
Univ.Prof. Matthäus Gude
Elvira Scholtz
Hubertine Krein
Gisela Hornich-Metz
Dierk Gunpf B.A.
Ing. Hans-Walter Ackermann
Fabienne Holt MBA.
Egbert Jüttner
Diana Haering
Liesel Klapp
Friedemann Stoll
Frau Conny Klemt
Cynthia Linke
Dr. Filippo Eberhardt B.Eng.
Wera Hauffer B.A.
Prof. Urs Flantz
Bayram Meister
Dorle Zirme
Wolfram Klingelhöfer B.Eng.
Mijo Karge-Löchel
Ekrem Hornich
Irmtraud Freudenberger
Pavel Ehlert
Klaus-Ulrich Blümel B.A.
Alexej Hornig-Radisch
Hassan Kroker-Girschner
Wiebke Hölzenbecher
Gerta Beer
Herma Möchlichen
Dierk Dörr
Hans-Georg Anders
Jana Wulf MBA.
Oda Barkholz
Frau Silvana Bolzmann B.Eng.
Margarete Kabus
Hagen Weimer
Maritta Bien
Gerhild Stiffel
Dipl.-Ing. Slavica Mälzer
Anna-Luise Eckbauer
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Ing. Galina Schenk
Zlatko Ritter B.Eng.
Domenico Reichmann
Günter Schottin
Ing. Pius Börner
Sibel Hörle
Prof. Constance Austermühle B.Sc.
Prof. Marko Rohleder B.A.
Elli Meister
Antonius Kraus
Ing. Rosina Kabus MBA.
Katrin Ortmann
Reinald Gerlach
Esther Hoffmann-Hermighausen
Prof. Gülay Birnbaum
Traudl Gierschner
Willibald Gude
Peer Nohlmans B.Sc.
Dr. Gaby Sontag MBA.
Antonios Walter
Gaby Noack
Krystyna Rust-Baum
Hilda Metz-Dehmel
Anne-Katrin Rogge
Heinrich Köster
Dimitrios Fiebig
Claire Holt
Univ.Prof. Athanasios Drub B.Sc.
Vittorio Hertrampf
Prof. Augustin Stey B.A.
Hans-Joachim Pohl
Sonia Säuberlich-Langern
Frau Rosemarie Stiffel
Hannchen Zahn
Baldur Metz
Ferenc Bolzmann-Girschner
Ingbert Hartung
Sami Stolze-Döhn
Jost Gröttner-Mülichen
Lieselotte Nohlmans
Hulda Seidel-Carsten
Frau Else Röhrdanz B.Sc.
Boris Stumpf
Isa Kramer-Matthäi
Frederik Rust
Willi Heinz
Dr. Senol Beier MBA.
Dipl.-Ing. Edgar Gehringer B.Eng.
Nurten Henschel-Stroh
Dietlind Drubin
Valeria Conradi
Mirja Bähr
Mechthild Finke
Dan Scheuermann
Niklas Scholtz
Else Gröttner
Prof. Timo Schleich MBA.
Univ.Prof. Undine Jungfer
Dipl.-Ing. Gabi Scholtz
Ing. Arndt Schäfer
Gregor Loos-Gehringer
Lisbeth Karge
Luisa Hecker
Denis Etzold
Folkert Schwital
Susi Seifert
Frida Stolze
Saban Hendriks
Nuran Schäfer B.A.
Herr Rolf-Peter Renner MBA.
Gert Nette
Slobodan Hauffer
Emma Hornich-Kraushaar
Rene Wernecke
Univ.Prof. Mahmoud Liebelt
Otto Lindner
Nicolaus Seifert B.A.
Hildegart Weitzel
Gabriel Roskoth
Christos Ruppert B.A.
Prof. Aribert Eberhardt B.Sc.
Harriet Rohleder
Geert Rust
Jann Fröhlich
John Bauer
Walfried Siering
Leonardo Rogge
Nurettin Dippel
Lothar Birnbaum
Annette Schwital
Agata Hertrampf
Prof. Mathias Schmiedt
Dr. Antonia Schomber B.Sc.
Bruno Henschel
Sylvie Börner
Hildegard Roht B.Sc.
Eveline Wagenknecht
Detlev Weihmann-Schäfer
Helfried Langern
Aleksandra Stey MBA.
Ing. Gotthard Reuter B.A.
Rotraut Bachmann
Ehrentraud Biggen-Kreusel
Marjan Segebahn B.Eng.
Birgid Schüler
Anna-Lena Wohlgemut
Gundula Ruppersberger
Hans-Uwe Noack-Fröhlich
Hans-Christian Trüb
Nada Dowerg-Jähn
Andrea Wulf
Enrico Reising MBA.
Magda Berger B.A.
Elfie Otto
Patrik Ditschlerin
Mirco Girschner
Manuel Krause MBA.
Prof. Beatrice Misicher
Annemie Herrmann
Burghard Hamann-Dippel
Ekrem Zänker
Ole Süßebier MBA.
Dr. Peer Schwital MBA.
Univ.Prof. Aloisia Fröhlich B.A.
Wally Schmidt
Ludmila Dobes B.A.
Univ.Prof. Fredi Hölzenbecher
Tamara Nette-Ladeck
Branka Hering
Ana Klapp MBA.
Herr Tom Täsche
Vadim Jacobi Jäckel
Sandor Ritter
Lorenz Kohl
Helene Gröttner-Hornich
Janine Söding
Rosa-Maria Steckel
Hans-Wilhelm Weller
Bogdan Zirme
Inken Gorlitz
Herr Jonathan Beckmann B.A.
Dr. Danica Scheuermann B.Sc.
Evelin Stumpf
Heimo Förster
Tanja Henk
Valeska Blümel B.A.
Saskia Wagenknecht
Dr. Karl-Ludwig Stoll MBA.
Sylvana Hornich MBA.
Birger Becker
Sören Pechel
Dipl.-Ing. Cristina Vogt
Orhan Dörr-Salz
Salvatore Ruppersberger
Lieschen Kusch-Pechel
Gislinde Müller
Christel Mangold
Slavko Fliegner B.Sc.
Eduard Ruppersberger
Francisco Schmidtke-Albers
Lydia Wirth
Univ.Prof. Horst Scholtz
Oskar Weitzel
Antonius Pärtzelt-Jüttner
Prof. Juliane Henck MBA.
Jo Gnatz
Hans-Detlef Schleich
Norman Wulf
Dr. Myriam Pieper B.Eng.
Kläre Kohl
Janine Dehmel B.Eng.
Desiree Klotz
Kerstin Eigenwillig B.Eng.
Annekatrin Wende
Univ.Prof. Lissi Schomber
John Gunpf B.Sc.
Marica Martin
Margarethe Steckel
Karl Heinz Hörle
Dipl.-Ing. Freya Höfig
Dagmar Dussen van
Franziska Beer
Siglinde Zahn
Marlis Wiek
Gunter Beyer
Wieland Linke
Hiltrud Bolander-Ziegert
Felizitas Becker-Mosemann
Elmar Förster
Univ.Prof. Johan Lange
Victoria Klingelhöfer
Gisela Weinhold B.Sc.
Brian Preiß
Dagmar Schäfer
Prof. Konrad Neuschäfer
Urte Caspar
Rosemarie Schmiedecke
Stephan Stolze-Holt
Enver Conradi-Hecker
Irene Gotthard-Hoffmann
Ryszard Junitz
Claudio Freudenberger
Lissi Rust-Metz
Gereon Weitzel
Frau Herlinde Schleich B.Sc.
Ing. Willi Warmer B.Eng.
Ottokar Döhn
Dr. Luisa Anders B.A.
Herlinde Birnbaum
Sandro Schmiedt
Monika Haering
Hans-Martin Kambs
Dipl.-Ing. Heinz-Otto Jähn
George Paffrath MBA.
Univ.Prof. Nikolaus Sölzer B.A.
Joerg Fritsch-Pieper
Frau Hildegart Etzler B.A.
Univ.Prof. Antonina Becker
Anne-Marie Sontag
Gertrude Pieper
Ing. Silja Heser
Roland Ring
Michael Mies B.Sc.
Ute Stroh
Herr Peter-Michael Kensy B.Sc.
Blanka Ladeck
Tabea Rogge
Zehra Conradi-Heinrich
Heimo Bauer
Lena Mitschke
Univ.Prof. Meta Rädel
Mareike Scholl
Mareen Mies B.Eng.
Jonas Budig
Prof. Raymond Söding
Karl-Wilhelm Rogner
Augustin Renner
Dipl.-Ing. Hildegunde Bachmann
Burckhard Margraf
Sami Mitschke
Dr. Mariusz Beckmann
Cora Scholtz
Prof. Anka Schulz
Philipp Killer B.A.
Hanne Ackermann
Krzysztof Kruschwitz
Ansgar Tlustek MBA.
Karlfried Franke
Frau Xenia Blümel
Dr. Songül Tlustek MBA.
Dr. Krista Wirth
Babett Pruschke-Schäfer
Leon Bauer
Dr. Jeannine Schleich B.Sc.
Alwina Neureuther
Clara Stroh
Carin Atzler
Thomas Drub
Prof. Emil Kruschwitz
Herr Karl Dippel B.A.
Dr. Daniela Linke MBA.
Antonia Stey
Univ.Prof. Anatoli Ritter
Marie-Theres Jäkel
Amalia Wulf
Friedlinde Schenk-Wulff
Anton Drubin
Aldo Kusch-Klemm
Gunter Grein Groth B.Eng.
Siegrid Segebahn
Milos Wiek
Friedlinde Meyer
