Student
Hans Georg Gorlitz-Schäfer
Udo Grein Groth
Ing. Ivo Weinhold
Oscar Junitz
Maria-Theresia Heinz B.A.
Ingried Sauer
Ing. Istvan Finke
Olga Krein
Ing. Boris Junck MBA.
Janet Ullrich
Kai-Uwe Schäfer
Univ.Prof. Viktoria Seifert
Prof. Annita Putz
Carlo Bohlander
Sylvester Hamann
Anny Wähner
Wilhelm Klemm B.A.
Leonardo Vogt
Ferenc Trüb B.A.
Univ.Prof. Jörg-Peter Riehl
Stilla Klotz
Marieluise Schulz
Magdalene Mude
Prof. Auguste Scholz
Annelore Juncken
Helene Gröttner-Hornich
Jann Geisler
Gunnar Hornig
Silvia Weiß
Dipl.-Ing. Woldemar Benthin B.A.
Ing. Guenther Scholtz B.A.
Marie-Therese Wagner
Mike Sölzer
Marcus Finke
Lorenz Hande-Hamann
Dipl.-Ing. Iris Stumpf MBA.
Georgia Ruppersberger
Friedo Lorch
Univ.Prof. Beate Gude
Eduard Ruppersberger
Josefine Rosenow-Hertrampf
Reinhold Schönland
Hans Jörg Köhler
Marlis Rogge B.Sc.
Valentin Rädel
Univ.Prof. Lydia Langern
Theres Beer
Meike Rosenow
Ewa Bolnbach-Textor
Hans Josef Striebitz
Rosina Ortmann
Marlen Hesse
Dr. Timo Ernst
Stefano Koch B.Eng.
Inga Wieloch
Andre Metz B.A.
Leonid Hein B.Sc.
Ronald Börner-Hentschel
Drago Gierschner B.Eng.
Ing. Edward Salz
Slavica Koch
Prof. Thekla Hahn
Ismail Junck-Trommler
Ing. Marga Lehmann MBA.
Ing. Ahmet Häring
Ernst-August Gunpf
Ing. Valentina Börner
Ellen Röhrdanz
Univ.Prof. Harriet Heintze
Stjepan Langern
Univ.Prof. Rosl Pölitz
Ria Dietz
Otto Butte
René Hölzenbecher-Berger
Valentine Bähr B.A.
Wiltrud Christoph
Liesa Wilms B.A.
Katerina Hauffer
Marika Sager
Kaspar Junken
Eleni Franke
Franz-Josef Etzold
Sylvana Hornich MBA.
Nermin Martin
Maria Bruder
Prof. Ingetraud Seidel B.Sc.
Ottfried Peukert-Schulz
Vadim Jacobi Jäckel
Claudius Mude
Augusta Beer
Zdravko Müller-Fritsch
Walentina Eckbauer
Dipl.-Ing. Aloys Hentschel
Michaele Schacht
Angelica Klemt
Ing. Swen Sorgatz B.Eng.
Stilla Köhler
Wally Anders B.Eng.
Helmtrud Neureuther
Univ.Prof. Anneke Gunpf
Annita Lorch
Prof. Magnus Dörr B.Eng.
Moritz Spieß
Imre Sauer
Kreszentia Bohlander
Käthe Langern-Jacob
Meryem Graf-Lange
Hanspeter Davids
Gülay Haase
Waltraut Ernst
Ing. Alma Rudolph B.Sc.
Frau Siegried Margraf B.Sc.
Lotti Mosemann
Serge Kraus B.Eng.
Kriemhild Warmer
Vladimir Kruschwitz
Rolf-Dieter Kensy
Dr. Edelgard Sauer B.Sc.
Herr Vinzenz Jäntsch B.A.
Danuta Kensy
Hermann Josef Junck
Ernest Schönland B.Eng.
Anja Wagner-Hermann
Evangelos Beyer
Anastasios Drub
Balthasar Klemm
Gisela Hornich-Metz
Alwine Sager
Till Karz
Calogero Wende
Dipl.-Ing. Fred Meister
Univ.Prof. Janos Rörricht MBA.
Ing. Annekatrin Heß
René Gude B.A.
Prof. Natalija Weinhold
Dr. Sandra Mangold B.Sc.
Andreas Gunpf
Jadwiga Gierschner-Schulz
Hans-H. Schönland
Peer Hölzenbecher
Rene Hofmann
Evangelos Staude
Dipl.-Ing. Baldur Oderwald B.Sc.
Ing. Helmtrud Dussen van
Serge Trubin
Siegmar Keudel-Gude
Ing. Eckehard Bloch MBA.
Erkan Beier
Justina Neureuther
Frithjof Gertz
Clara Rust
Theodor Bolnbach-Kroker
Arne Knappe
Vitali Walter-Krein
Osman Salz MBA.
Dr. Annette Linke MBA.
Giovanna Zobel-Liebelt
Tony Henk MBA.
Bruni Vogt MBA.
Leonard Kostolzin
Zenta Mende
Janusz Killer
Cornelia Römer
Gregor Buchholz
Antonios Klemm B.Sc.
Silja Kraus-Schuster
Karl-Wilhelm Meyer
Rafael Blümel
Gerhild Löffler
Damian Holsten
Siegrid Hande
Jennifer Hoffmann
Cemal Hamann
Ing. Klaus-Dieter Karge MBA.
Helen Hahn
Mark Röhricht
Kunigunda Hänel-Briemer
Gundula Otto-Kuhl
Prof. Marko Rohleder B.A.
Berthold Austermühle MBA.
Heide-Marie Beckmann B.Sc.
Vanessa Hornig
Miroslawa Jäkel-Bohnbach
Anica Kade-Steuer
Geza Hertrampf B.A.
Charles Heinz
Ing. Carmen Birnbaum
Rena Rohleder
Ing. Wilhelmine Adler B.Sc.
Elmar Fröhlich
Fredi Wilmsen
Maria-Theresia Tschentscher
Dr. Edelbert Wieloch MBA.
Fredi Jäntsch
Ing. Cynthia Weihmann B.Eng.
Hubert Weitzel
Dr. Myriam Häring
Trude Scholtz B.A.
Thoralf Eimer
Irmengard Röhrdanz
Robert Herrmann
Rosalia Pruschke
Stefania Möchlichen
Brian van der Dussen
Prof. Manuela Schleich B.Sc.
Marcus Langern
Dittmar Berger
Henry Schüler B.Eng.
Dipl.-Ing. Augusta Lachmann B.A.
Denny Kusch
Gabriela Freudenberger B.A.
Prof. Mathias Schmiedt
Freia Kraushaar B.A.
Isabell Buchholz
Eckart Klotz
Gabi Harloff
Birgit Pergande
Ing. Diedrich Gotthard MBA.
Dorit Dowerg
Jiri Bärer
Tina Radisch
Elsa Beer
Abdul Ullmann
Frau Mira Klemm
Herbert Budig
Univ.Prof. Gusti Schlosser
Giovanni Weller-Söding
Herr Juri Kitzmann
Jaqueline Weitzel-Pölitz
Ing. Meinhard Schweitzer
Bodo Kranz-Striebitz
Dr. Lidwina Oestrovsky
Ljiljana Rädel
Marica Walter
Reinhold Bloch
Hannah Jacobi Jäckel
Mara Vollbrecht B.A.
Wally Schmidt
Alexandros Heintze
Dr. Luisa Anders B.A.
Alan Stadelmann-Lindner
Mehmet Löwer-Trupp
Tomasz Niemeier
Sibel Hörle
Wieland Hethur
Dr. Annita Kallert
Giesela Börner B.Eng.
Andrew Misicher
Ing. Siglinde Speer MBA.
Igor Zobel B.A.
Evelin Wagenknecht-Döhn
Anika Trüb
Diethard Trommler
Vincent Kranz B.A.
Arnim Bärer
Janus Walter
Conny Geißler-Karge
Sigmar Zobel
Univ.Prof. Czeslaw Heuser
Univ.Prof. Aloisia Fröhlich B.A.
Johanna Bohlander
Eckhart Gutknecht
Lena Wende
Thorben Henk-Mende
Almuth Haase
Hans-Gerhard Staude
Ulrich Segebahn
Berndt Grein Groth B.Sc.
Bernhardine Schuchhardt
Hans Kostolzin-Ditschlerin
Moritz Schönland
Marie-Theres Pechel
Vlado Hübel B.Eng.
Hans-Christian Eimer
Beatrix Scheibe B.Sc.
Gertrud Ditschlerin
Marleen Etzler
Hans-Joachim Häring
Hildegunde Staude
Anatolij Jüttner-Bauer
Guido Junck
Wolf Martin
Siegmund Heidrich
Monique Schleich-Kroker
Ing. Rose-Marie Hölzenbecher
Prof. Helga Hesse
Ing. Eva Kitzmann B.A.
Joachim Höfig
Ing. Utz Klemt B.A.
Grit Röhricht-Rosemann
Jonas Albers
Roderich Scholtz
Käthi Löffler
Prof. Robert Heintze
Herr Gundolf Barth
Teresa Jessel
Sonia Gorlitz-Mude
Reingard Klingelhöfer
Annelise Steckel B.Sc.
Dipl.-Ing. Sylke Gute B.A.
Ingeburg Radisch-Steckel
Raphael Höfig
Esther Eberth-Kensy
Ante Gunpf
Justus Schleich-Drewes
Zehra Putz
Irmengard Sauer
Maik Schottin
Ilija Rosenow
Paolo Schmidt B.A.
Filippo Patberg
Claus Butte
Mike Matthäi
Annaliese Lübs
Erdal Bruder
Reinald Zahn
Ing. Klothilde Hörle B.A.
Kaspar Trub
Maxim Wilms-Meister
Ali Briemer-Klemm
Juliane Mentzel-Ziegert
Mijo Jessel B.A.
Filippo Juncken
Joana Mielcarek B.A.
Ing. Birte Heidrich B.Eng.
Lidwina Karz MBA.
Dr. Meinhard Hiller
Klaudia Vollbrecht B.A.
Edwin Wilms MBA.
Frau Trude Walter B.A.
Faruk Meister
Silja Eberhardt-Boucsein
Lilija Kensy
Univ.Prof. Anika Jockel MBA.
Ernest Tlustek
Lisbeth Karge
Dipl.-Ing. Rouven Kallert MBA.
Mandy Huhn B.A.
Herr Ekkehart Sorgatz
Frau Constanze Heidrich B.Sc.
Ing. Helmuth Bachmann B.Sc.
Hans-Friedrich Ruppert-Ullrich
Beata Stahr
Manuel Hering-Jäntsch
Brigitta Walter
Zeljko Gieß
Gebhard Seidel
Ilja Preiß
Eckard Dehmel MBA.
Benno Kraushaar
Caterina Ullrich
Frau Mechtild Fliegner
Danilo Ladeck-Köhler
Ralph Fröhlich
Patrick Haering
Maurizio Eckbauer
Ing. Danica Gieß MBA.
Birte Jüttner
Priska Wende
Hannchen Löwer B.Eng.
Wera Schmidt
Marijan Killer
Evangelos Ring-Schmiedecke
Hans-Henning Scheel
Ing. Jenny Oestrovsky
Gerti Döring
Ortwin Scholl
Anika Holsten
Irene Stumpf
Frau Hilda Schweitzer B.Eng.
Augustin Jopich
Irmi Gute
Univ.Prof. Matthäus Gude
Tilo Hande
Cosimo Löffler B.Sc.
Dr. Hans-Willi Hertrampf MBA.
Henri Finke-Lehmann
Sibilla Bachmann
Heide Knappe
Peggy Holt
Univ.Prof. Suzanne Paffrath
Timm Schleich
Jurij Bärer
Harriet Ullmann
Sigmund Heydrich
Willibald Holsten
Dr. Marian Rust
Claire Junk
Ria Koch II
Sergej Pärtzelt
Mira Bender
Waldemar Hendriks
Frau Natalija Stey
Dipl.-Ing. Gabi Scholtz
Dr. Alberto Kabus B.Sc.
Prof. Olga Steckel B.A.
Otmar Wende
Frau Gülay Rogner B.A.
Roswita Döhn
Angelique Adler
Daria Jopich
Danilo Losekann
Elke Huhn
Darius Klotz
Dr. Egbert Kraus
Prof. Tilmann Franke B.Sc.
Iris Kraushaar B.Sc.
Reimer Scheel B.Eng.
Hans-Karl Christoph-Schleich
Univ.Prof. Vadim Vollbrecht B.A.
Marlis Wiek
Ahmet Stumpf
Eric Briemer
Samuel Ackermann
Monique Liebelt-Ebert
Luka Stiffel
Ditmar Niemeier
Herr Jörgen Kruschwitz
Dorit Ebert
Maurice Beckmann
Gertraude Pärtzelt MBA.
Hella Pergande MBA.
Frau Trudi Wähner B.A.
Aleksander Drub
Monika Haering
Dipl.-Ing. Lioba Plath
Jenny Scholtz
Herr Salih Blümel
Mehmet Beckmann-Geisel
Martin Pechel-Freudenberger
Wolfhard Fiebig
Gitte Buchholz
Klaus-Dieter Knappe
Dr. Leila Gunpf B.Sc.
Gerold Schuchhardt B.Sc.
Valerij Schulz B.A.
Ahmad Preiß
Prof. Clarissa Barth
Siegfried Schuster
Ruth Wiek-Bloch
Wieslaw Oestrovsky MBA.
Marvin Kabus B.A.
Pietro Klingelhöfer
Prof. Hubert Heß
Dipl.-Ing. Randolf Martin B.A.
Univ.Prof. Mira Mende B.Eng.
Süleyman Baum
Constantin Kraus
Prof. Amelie Rose MBA.
Univ.Prof. Gregor Gieß MBA.
Ing. Agnes Zobel
Ottokar Berger
Reza Mielcarek
Univ.Prof. Clara Heidrich B.Sc.
Hannes Meyer
Hedy Loos
Karl Meister B.Eng.
Irmtraud Freudenberger
Malte Bohlander
Emil Grein Groth
Gottfried Hettner-Reising
Ing. Valerij Segebahn B.Eng.
Ekkehart Grein Groth
Univ.Prof. Francisco Tröst B.Eng.
Edda Henschel
Ivana Mielcarek
Dipl.-Ing. Gloria Heidrich
Sami Stolze-Döhn
Ann-Kathrin Mühle
Dr. Jochen Schäfer
Dipl.-Ing. Bernward Putz B.Eng.
Univ.Prof. Ivo Mies
Prof. Marika Davids B.A.
Nadeschda Pölitz
Tillmann Stolze
Dr. Uli Segebahn
Herr Anton Mohaupt B.A.
Prof. Grete Müller
Gusti Wagenknecht
Anna-Luise Segebahn
Katharina Käster MBA.
Heribert Kensy
Corinne Berger
Ilias Wagner
Henriette Bruder
Ing. Britt Trupp B.Eng.
Erdal Tintzmann
Amanda Stadelmann-Mende
Krystyna Rust-Baum
Herr Aleksandr Wiek B.Sc.
Juan Briemer-Textor
Joachim Süßebier
Lucia Kohl
Cindy Tschentscher
Prof. Monica Beer MBA.
Ditmar Trub
Univ.Prof. Nicole Höfig B.Sc.
Dipl.-Ing. Werner Scholl B.Eng.
Klaus-D. Dippel MBA.
Dietlinde Söding
Fredo Bärer
Dr. Jeanette Schuchhardt B.Eng.
Fredi Meyer-Weiß
Ansgar Tlustek MBA.
Bernard Karge
Sofia Mielcarek B.A.
Albin Budig
Prof. Lieschen Bohlander
Reinhard Beckmann
Mattias Wieloch
Cordula Mangold
Dipl.-Ing. Laurenz Gerlach MBA.
Univ.Prof. Dolores Jäkel
Nadja Häring B.Eng.
Lilli Atzler
Alina Hoffmann
Ing. Ronny Metz B.A.
Romana Wulff
Ing. Cord Hermighausen B.Eng.
Slavica Ernst-Schmidtke
Karina Tschentscher-Butte
Ljudmila Krebs
Anette Bien
Walli Jopich
Hans-Herbert Eckbauer
Konstantinos Seifert
Raimund Hande
Univ.Prof. Otto Kruschwitz MBA.
Prof. Hans-Peter Noack B.A.
Prof. Pascale Kruschwitz
Denny Bohlander B.A.
Hans-Wilhelm Weller
Mona Wiek B.Eng.
Hanne-Lore Berger
Ildiko Mitschke B.Sc.
Renate Mies
Sandro Schmiedt
Prof. Achim Rose
Boris Bachmann
Mato Trubin
Ekkehart Niemeier
Frau Josefa Henschel B.A.
Marko Kensy-Atzler
Brian Lehmann B.Eng.
Hanspeter Juncken
Gunhild Meister
Jerzy Mende-Wagenknecht
Dipl.-Ing. Marica Sager
Karlfried Franke
Karla Etzler-Metz
Herr Baptist Klotz
Stanislaus Davids MBA.
Gerti Ullrich
Frau Theodora Hettner B.A.
Klaudia Reuter B.A.
Hellmuth Söding-Bonbach
Silvio Scholl B.Eng.
Baldur Metz
Xenia Margraf
Ing. Paolo Meister
Kathleen Hahn B.A.
Annelie Heuser
Dr. Marie-Luise Klingelhöfer B.Eng.
Wiebke Gehringer
Sebastian Vogt
Aleksej Lehmann
Anna-Marie Heidrich
Trudel Wagner
Frau Jane Caspar
Ing. Karin Werner
Franca Buchholz
Rosa Heuser
Inken Juncken
Ida Hendriks B.A.
Dominik Naser B.A.
Sevim Textor-Schinke
Osman Schäfer
Evangelia Misicher
Frau Inken Zimmer B.Eng.
Therese Neureuther
Univ.Prof. Ewald Rogner B.Sc.
Gabriel Werner
Univ.Prof. Edelgard Naser B.A.
Christel Bärer-Zirme
Wieslaw Käster
Kay-Uwe Mühle
Joseph Reuter
Guiseppe Tschentscher
Elena Linke-Wohlgemut
Frau Anny Niemeier B.A.
Aneta Heydrich
Tomasz Bolnbach
Brian Dussen van
Frau Rosa-Maria Sauer B.Sc.
Hannelore Heser-Boucsein
Magdalena Löwer B.Eng.
Änne Tlustek-Freudenberger
Ing. Sina Johann MBA.
Ing. Valeria Kruschwitz
Lorenz Schwital-Stadelmann
Meike Berger
Sergei Ritter
Dipl.-Ing. Gerold Kusch B.Eng.
Dora Jockel
Univ.Prof. Almut Ehlert B.Sc.
Detlev Weihmann-Schäfer
Ing. Serpil Rudolph MBA.
Galina Kraus-Hermighausen
Hilmar Hörle
Tatiana Kade-Rust
Priska Rädel
Emmi Adolph
Hans-Albert Lindau
Wenzel Ebert
Edda Gertz B.Eng.
Frau Evelyne Süßebier B.Eng.
Traudl Gierschner
Heinz-Jürgen Adolph
Evangelia Röhricht
Prof. Folker Budig
Senol Langern
Ing. Roy Dippel B.A.
Herr Frank-Peter Jopich
Ing. Erwin Kobelt B.A.
Geraldine Reising MBA.
Philipp Ernst
Prof. Ruthild Nette B.A.
Helga Salz
Ivana Mans-Bruder
Veronique Oestrovsky
Hans-Theo Kuhl
Wulf Kusch
Brit Anders
Helmuth Wagner
Rainer Gude-Kaul
Erhardt Loos
Evangelos Hartmann B.A.
Sybilla Herrmann-Pärtzelt
Sylvia Schäfer
Siegmund Schleich MBA.
Henny Wulff
Dr. Jeannine Schleich B.Sc.
Gisa Hornig-Geißler
Reni Rosemann MBA.
Hajo Jäntsch
Angela Weimer B.A.
Univ.Prof. Karl-Otto Dowerg MBA.
Aloys Barkholz
Bastian Röhrdanz
Daniela van der Dussen B.Eng.
Klaus-D. Zirme-Bachmann
René Säuberlich B.Eng.
Gönül Barth-Zobel
Hans-J. Wohlgemut
Annelie Metz
Reinhart Becker
Mohammed Geißler
Walburga Junk
Maurizio Tschentscher
Desiree Ruppert
Zlatko Briemer-Karge
Miguel Dussen van B.Eng.
Leonardo Rogge
Ing. Annelise Nette B.Eng.
Ing. Leonore Haering MBA.
Heino Römer
Dogan Sauer
Dr. Gundolf Römer MBA.
Rena Radisch
Ivana Wilmsen-Gumprich
Nina Wagenknecht
Anett Wieloch
Irina Mielcarek
Krystyna Holsten B.A.
Olga Albers B.Sc.
Kai-Uwe Bohnbach
Othmar Täsche-Loos
Rosa Christoph-Sontag
Hansgeorg Beier-Freudenberger
Univ.Prof. Betty Conradi B.A.
Friedo Ritter
Prof. Marius Herrmann
Dipl.-Ing. Hanns Nette
Mechtild Patberg
Arne Ziegert B.Sc.
Univ.Prof. Fatima Faust B.A.
Kornelius Sontag
Nadin Schomber
Antonius Bonbach-Juncken
Marianne Heser
Stephanie Kranz B.A.
Cläre Heser
Ing. Kay-Uwe Flantz
Hans-Detlef Matthäi
Edelbert Stey-Scholz
Hans-Jochen Stolze
Bertold Bloch-Beckmann
Dipl.-Ing. Janus Roht B.Sc.
Univ.Prof. Pius Kühnert
Kata Atzler
Kreszenz Drubin
Ingetraud Austermühle-Dowerg
Ulrike Ackermann B.Sc.
Berend Gertz B.Eng.
Hans Georg Niemeier
Frau Nadeshda Ruppert
Joerg Fritsch-Pieper
Dr. Wilfriede Reuter
Zita Ullmann-Heydrich
Milos Biggen
Inken Ziegert
Silvia Eberth
Friedemann Kostolzin
Robby Kramer
Selma Girschner B.Sc.
Britt Schwital-Seip
Sylvia Schenk
Reni Römer
Andre Mülichen-Scholz
Dr. Aziz Adolph MBA.
Univ.Prof. Tomasz Atzler B.Sc.
Arno Mude
Hubertus Dörschner
Ing. Friedhold Hartung B.Sc.
Alida Tröst
Frau Melita Scholz B.A.
Marlen Weihmann-Trub
Dr. Wencke Junken B.Eng.
Paulina Bender-Liebelt
Herr Muzaffer Klotz B.Sc.
Lilly Girschner-Ritter
Dipl.-Ing. Roland Bien B.Sc.
Volker Hettner
Oliver Biggen
Radmila Linke MBA.
Ernest Stahr
Robin Flantz
Dr. Janett Schottin B.Eng.
Antonio Margraf
Johannes Freudenberger
Alois Jungfer B.Eng.
Herr Augustin Thies B.A.
Dr. Trude Girschner
Hartwig Sorgatz B.Eng.
Elke Haase
René Matthäi
Brunhilde Scholz
Prof. Jonas Scholtz
Milan Holzapfel
Juliana Schönland
Adeline Hein-Metz
Univ.Prof. Veli Etzler
Klaus-D. Sölzer
Alois Römer-Becker
Heinz-Otto Wende
Reimar Müller
Antonia Köster B.A.
Victor Butte
Helma Fliegner
Ben Ullmann MBA.
Univ.Prof. Tabea Dörschner MBA.
Hans-Georg Dörschner
Ing. Damaris Bonbach
Dr. Stefania Gnatz
Adelinde Geisler
Traudel Wilmsen B.A.
Lotti Rosemann
Dr. Ellen Schlosser B.A.
Dino Kusch-Hiller
Irmtraut Wende
Univ.Prof. Dorle Röhrdanz B.A.
Engin Hofmann
Regina Wende
Rebecca Geißler
Edgar Bauer
Cindy Stahr
Elizabeth Vollbrecht
Prof. Stefania Briemer
Dipl.-Ing. Josip Mies
Francoise Freudenberger-Stey
Elias Langern
Tülay Gnatz-Sorgatz
Hans-Albert Schwital
Univ.Prof. Nadine Gnatz
Daniela Wernecke-Hölzenbecher
Univ.Prof. Tina Rose
Dr. Franz-Peter Löffler
Ingelore Heinz
Hanni Scholz-Weitzel
Lioba Söding
George Käster-Eberth
Prof. Helmut Hellwig MBA.
Alma Rörricht
Lili Döhn-Margraf
Silvio Weimer
Czeslaw Fiebig
Anna-Lena Bloch
Frau Bianka Henk B.Sc.
Mehmet Sauer
Ladislaus Stadelmann
Ilhan Budig
Tanja Rörricht-Haering
Simon Mude
Miroslaw auch Schlauchin
Oxana Ortmann MBA.
Marten Möchlichen
Friedrich-Wilhelm Holsten
Ruth Barkholz-Koch II
Karlfried Karge-Wieloch
Ivanka Gierschner-Pergande
Necati Lindner
Irmela Krein-Bolzmann
Gunhild Kroker
Frau Käte Zahn
Mijo Seidel B.Sc.
Herr Roman Sontag B.Sc.
Robin Sölzer
Aribert Kusch
Henny Rose
Dipl.-Ing. Slawomir Ebert MBA.
Dipl.-Ing. Kristine Klapp MBA.
Roland Putz
Ing. Nadeschda Tschentscher B.A.
Heino Schönland-Hermann
Agathe Trommler
Ljiljana Roht
Dr. Achim Barth
Valeska Zimmer-Schleich
Dagobert Eberhardt B.A.
Gereon Wende MBA.
Yasemin Hande
Ahmet Pärtzelt
Annaliese Heser B.Sc.
Herr Dimitri Mohaupt B.A.
Dipl.-Ing. Stefano Ditschlerin
Rahel Kreusel
Dr. Elena Kade B.Sc.
Solveig Scheibe
Stephanie Krause
Mohammad Finke
Frau Gilda Ebert
Dennis Beer-Striebitz
Leokadia Putz
Tatiana Pechel
Dipl.-Ing. Jaroslav Henk
Frau Else Röhrdanz B.Sc.
Hans-Bernd Trupp
Marga Scholz
Mirjam Stumpf
Heimo Karge-Freudenberger
Recep Weihmann
Herr Gerolf Hermann B.Eng.
Fatima Rosemann-Schmidtke
Slobodan Hauffer
Dana Löwer MBA.
Eugen Schottin
Prof. Mohammad Reinhardt
Romy Baum
Siegfried Knappe
Tibor Budig
Ludmilla Pieper
Bertha Gotthard
Thorben Stiebitz
Ing. Karl-Peter Weinhold B.Sc.
Willibald Seidel
Gerolf Radisch
Klaus-Peter Zorbach
Irmtrud Johann
Ludmila Karge B.A.
Helma Schaaf B.A.
Evi Wilmsen MBA.
Damian Hentschel
Frau Bruni Krein B.A.
Ing. Catrin Dippel MBA.
Christoph Löchel B.Sc.
Conrad Lindau
Zbigniew Boucsein
Veronika Kruschwitz B.A.
Dipl.-Ing. Kevin Henk B.A.
Darius Loos
Jasmina Bolzmann
Adolfine Wilms
Dr. Jonas Anders B.Sc.
Prof. Katarzyna Gehringer B.Eng.
Giesela Wagner
Dr. Zeljko Pruschke
Stefanie Pruschke
Centa Kaul
Jens-Peter Bolzmann
Francisco Wirth
Univ.Prof. Beatrix Roskoth
Gebhard Eberth B.Eng.
Niko Butte-Rosenow
Birgitta Schleich
Janos Kobelt-Henck
Benita Geißler
Kathy Kitzmann
Univ.Prof. Steffen Tröst
Dipl.-Ing. Lilly Boucsein B.Sc.
Frau Aleksandra Bähr B.Eng.
Harri Heuser
Angelo Schmidtke
Fredy Ring
Ortrun Krebs
Frau Linda Weiß B.Eng.
Philipp Walter-Löffler
Rene Lindau-Jäkel
Gertraud Mende
Gabriel Roskoth
Prof. Natalja Mies MBA.
Doris Kraushaar
Ing. Magda Jäntsch
Wieslaw Lachmann
Heinz-Georg Rosemann-Bohnbach
Yusuf Sontag
Alex Ziegert
Beate Nette
Fredi Huhn
Inka Trapp
Sigurd Süßebier
Hansjürgen Faust
Ramon Salz
Anneke Nohlmans
Mirjana Drub
Louise Jessel
Hermann Josef Börner
Friedl Atzler-Süßebier
Frau Edeltraud Radisch B.A.
Hans-Bernd Kabus
Murat Meister
Mechtild Hering
Sylvie Börner
Hüseyin Wulf-Schmidt
Ing. Rico Hoffmann
Kornelius Heintze-Baum
Adina Mitschke
Mahmoud Ditschlerin-Trüb
Magarete Klingelhöfer-Mans
Meinhard Schuster
Justus Lorch
Gundi Sager
Dipl.-Ing. Angelique Ortmann
Univ.Prof. Ismet Bloch B.Eng.
Dipl.-Ing. Slobodan Sölzer
Sylvester Neuschäfer-Schacht
Prof. Rudolph Linke
Beatrix Möchlichen
Ing. Janin Winkler MBA.
Irmtrud Bolzmann
Nancy Eckbauer
Herr Heinz-Josef Wende MBA.
Bruno Henschel
Halina Römer-Hartung
Dr. Anastasia Gude
Prof. Konrad Neuschäfer
Judith Gerlach
Herr Tomislav Ladeck
Frank-Peter Kambs
Sylvio Karge
Gülay Werner
Karlfried Sorgatz
Dr. Auguste Sager
Univ.Prof. Lissi Schomber
Dipl.-Ing. Leokadia Junk
Rosemarie Hethur
Dipl.-Ing. Eckhard Kallert B.Sc.
Angelika Rosemann
Kata Gierschner
Francoise Vollbrecht B.Sc.
Dipl.-Ing. Lotte Austermühle B.A.
Steffi Schmiedt B.Sc.
Theda van der Dussen
Carmen Weinhold
Kunigunde Ziegert
