Student
Kenan Wulff-Plath
Tülay Scholtz
Hardy Wende B.Sc.
Gisbert Christoph
Luise Gertz-Fliegner
Alwin Scholl
Lilija Ruppert
Dipl.-Ing. Gunar Kuhl
Bayram Kostolzin-Rosenow
Fernando Neuschäfer
Karl Zirme
Uwe Dussen van
Ing. Janin Winkler MBA.
Isidor Atzler
Dolores Conradi
Karl-Hermann Rädel-Müller
Dr. Fatma Jacob MBA.
Paolo Wernecke
Ing. Eugenie Birnbaum
Ottilie Scheel
Paolo Schmidt B.A.
Christiane Blümel
Mira Rohleder
Dorota Wilms
Janina Faust MBA.
Dipl.-Ing. Canan Pölitz B.Eng.
Univ.Prof. Dorina Lange
Gudrun Heß B.Sc.
Therese Neureuther
Annett Anders MBA.
Elena Fiebig
Herr Oliver Stahr
Ing. Pius Börner
Margaret Kramer B.A.
Elmar Förster
Osman Schmidtke
Daniele Hering
Laurenz Ritter
Rotraud Fiebig
Renate Bärer
Joachim Kramer
Arzu Ullrich
Jonas Christoph B.Eng.
Sylvester Hamann
Marie Hoffmann B.Sc.
Marlies Mude
Diethelm Hübel MBA.
Hans-Gerd Holt
Ing. Boris Junck MBA.
Wilma Matthäi
Kreszenz Beier
Inga Ruppersberger
Eugenia Sorgatz
Konstantinos Lindner
Ing. Gundi Boucsein B.Sc.
Mark Sauer B.A.
Geert Etzold
Evelyn Ortmann
Corinne Berger
Univ.Prof. Petra Scheel
Univ.Prof. Eugen Karz
Univ.Prof. Johan Lange
Univ.Prof. Edmund Mentzel B.Eng.
Wilfriede Misicher
Alwine Wirth-Klemm
Prof. Denis Segebahn MBA.
Thea Nette
Dr. Natascha Schmidtke B.Eng.
Tomas Säuberlich B.A.
Jens-Peter Heinrich
Robby Weller
Leszek Hentschel
Ing. Mariechen Nerger B.Eng.
Gerhart Beier
Ljudmila Krebs
Ing. Helen Gumprich B.Sc.
Dr. Antonia Schomber B.Sc.
Heinz-Günter Hesse
Ing. Emanuel Tintzmann
Frau Ivanka Killer MBA.
Annamaria Margraf
Jelena Löffler
Ildiko Mitschke B.Sc.
Pawel Peukert-Rörricht
Ing. Wiltrud Sauer B.Sc.
Henriette Ladeck
Emilie Bolander
Frauke Stadelmann
Dr. Rosalinde Stolze B.Eng.
Lilli Atzler
Dr. Sigfried Seip B.Eng.
Burckhard Caspar
Fatma Hesse
Hilda Metz-Dehmel
Beatrice Fechner
Birgid Freudenberger
Franz-Josef Etzold
Anny Wagenknecht
Hagen Weimer
Gertrude Lehmann-Kostolzin
Brit Anders
Tilman Killer B.A.
Hans-Günther Eimer
Burghard Wohlgemut
Anna-Luise Eckbauer
Ing. Toralf Wiek
Dr. Rolf Walter
Mariusz Adler
Hertha Stoll
Miriam Juncken
Univ.Prof. Reinhilde Cichorius B.A.
Brian van der Dussen
Helga Mosemann-Hecker
Swetlana Jessel
Lena Dowerg
Ingried Sauer
Mijo Karge-Löchel
Ahmet Stumpf
Ralph Jacobi Jäckel
Prof. Rabea Hettner B.Eng.
Marek Ackermann
Ing. Carmine Kroker
Klaus Peter Adler
Selma Fritsch B.Eng.
Univ.Prof. Hans-Peter Schmidt MBA.
Michaele Schacht
Carin Mohaupt-Heser
Florian Weimer
Evangelia Meyer-Mielcarek
Nadia Steckel
Edeltrud Koch
Ing. Magarete Herrmann B.Eng.
Tadeusz Kruschwitz B.Sc.
Mirjam Stumpf
Evi Wilmsen MBA.
Ing. Alla Schottin B.A.
Joanna Weinhold-Förster
Herr Knud Pölitz B.A.
Grete Peukert
Anne-Katrin Lorch
Dipl.-Ing. Jiri Walter
Belinda Reinhardt B.A.
Ernest Tlustek
Sina Spieß
Berndt Riehl-Bohlander
Oxana Henschel
Elke Hiller
Prof. Liliana Klemm MBA.
Kristina Wernecke
Dorina Dowerg
Univ.Prof. Jaroslav Seifert B.Eng.
Ludger Stiffel
Reinhart Jopich
Elfie Jäkel
Herr Konstantin Neureuther B.A.
Dipl.-Ing. Pero Ruppersberger B.Sc.
Dr. Edelgard Sauer B.Sc.
Francoise Rust
Friedrich-Wilhelm Höfig-Johann
Franz Josef Flantz
Hajo Thies
Gunhild Kroker
Senol Hölzenbecher
Univ.Prof. Amalia Köhler
Edwin Förster-Albers
Frau Florence Ditschlerin B.Eng.
Hasan Klemm
Gertraud Jüttner
Rudolf Mentzel
Frau Cordula Anders B.Eng.
Univ.Prof. Rosi Gorlitz B.A.
Ing. Iwan Wagner
Dipl.-Ing. Gloria Heidrich
Jörg Haase-Röhricht
Josefine Rosemann
Univ.Prof. August Gunpf B.A.
Henri Wirth
Yusuf Sontag
Ewald Dussen van
Susana Schaaf
Helge Ladeck MBA.
Dr. Franz-Peter Löffler
Heimo Gorlitz B.A.
Isabell Kroker B.Eng.
Zenon Hahn MBA.
Hannelore Weinhold B.Sc.
Miodrag Fliegner B.A.
Janusz Trub-Mühle
Anastasia Mans
Ing. Amalia Walter
Larissa Ullmann
Slavko Fliegner B.Sc.
Alfredo Möchlichen
Vladimir Patberg-Weller
Dr. Kai-Uwe Schulz B.A.
Wieslaw Käster
Marlis Wiek
Zeki Hartung
Maria-Theresia Scholl
Gottfried Keudel MBA.
Dr. Maren Steckel B.Sc.
Danny Gumprich
Frau Almut Kuhl
Vittorio Harloff
Cosimo Löffler B.Sc.
Ewa Bolnbach-Textor
Heinz-Joachim Kobelt
Kilian Patberg
Jiri Kambs
Maritta Bien
Mareike Reichmann
Sibilla Mälzer
Prof. Nuran Sauer B.Sc.
Dipl.-Ing. Tomislav Dowerg B.Eng.
Evangelia Gierschner
Heiner Pieper
Adrian Trupp
Emilia Seifert
Stella Barth
Emil Grein Groth
Giuseppe Preiß
Engelbert Carsten-Hiller
Ing. Gabriela Dippel MBA.
Prof. Mahmut Barth B.A.
Günter Fischer
Ing. Dörte Freudenberger
Vlado Kramer B.Eng.
Laura Wilms
Dipl.-Ing. Dunja Hoffmann
Ing. André Christoph
Baldur Knappe
Karolina Hartmann
Erhardt Heidrich
Anastasios Kuhl
Karl-Otto Winkler B.Eng.
Gerold Jacob
Jessika Schacht
Margrit Förster
Ulrich Schlosser
Dr. Jost Hiller B.Sc.
Dipl.-Ing. Dajana Beer
Gülten Ruppersberger-Wende
Univ.Prof. Birger Weihmann MBA.
Univ.Prof. Nikola Graf MBA.
Dr. Ian Grein Groth
Univ.Prof. Gottfried Süßebier
Ekaterina Wieloch
Prof. Knud Atzler B.Sc.
Sabrina Kohl
Gunda Warmer
Emine Vollbrecht B.Eng.
Ing. Justina Beckmann
Caterina Weinhage
Lorenz Schüler B.A.
Ljiljana Rädel
Annett Mies-Hellwig
Hans-Detlef auch Schlauchin-Fischer
Dipl.-Ing. Mara Otto B.Sc.
Univ.Prof. Vesna Hering
Hans-Bernd Zobel
Lilija Kensy
Herr Ilhan Tröst B.A.
Maria Döring B.Sc.
Bodo Kranz-Striebitz
Siegbert Bachmann-Hövel
Helma Schaaf B.A.
Alida Trupp
Uwe Schwital MBA.
Ing. Liesa Zirme
Univ.Prof. German Rörricht
Siegbert Hartmann B.A.
Folkert Barth B.Sc.
Bayram Lübs B.Eng.
Kristin Jacob
Angelina Dörschner-Reichmann
Rosa Gnatz
Veronique Löwer
Folkert Schwital
Inge Dehmel
Prof. Katalin Lindner B.Eng.
Jan-Peter Grein Groth
Anna-Lena Wohlgemut
Jerzy Wagenknecht B.A.
Hansjoachim Kraus-Beer
Ing. Eckehard Bloch MBA.
Patric Heinrich
Jeannine Lehmann
Prof. Reza Ebert B.Eng.
Ing. Valentina Börner
Vincent Kranz B.A.
Karl Heinz Hörle
Gusti Schleich
Mijo Jessel B.A.
Marika Zänker B.A.
Serge Grein Groth
Herr Hartwig Henk B.A.
Bettina Klapp
Univ.Prof. Czeslaw Heuser
Calogero Staude B.A.
Wolf Schottin-Gunpf
Frau Hedwig Wirth
Prof. Constance Austermühle B.Sc.
Annemarie Wieloch
Minna Wernecke-Gumprich
Herr Hans-Ludwig Steinberg
Jens Löchel
Univ.Prof. Amalie Warmer B.Eng.
Dipl.-Ing. Patricia Werner B.Sc.
Bertram Caspar
Antonina Pärtzelt-Gerlach
Ing. Aldo Radisch
Dipl.-Ing. Woldemar Benthin B.A.
Ing. Eugenie Kreusel MBA.
Gunhild Ullmann
Prof. Lydia Siering
Friedrich Bolnbach-Gnatz
Wolfhard Ziegert
Mohammed Geißler
Dipl.-Ing. Hülya Nerger
Kristian Albers
Monique Ullmann MBA.
Univ.Prof. Michail Tintzmann B.Eng.
Sofia Austermühle
Ismail Steinberg
Kunigunda Heser
Maurice Hübel
Dr. Anto Wende
Reni Römer
Evelin Gerlach
Aurelia Dussen van MBA.
Hannchen Drewes B.Sc.
Dr. Jochem Trapp MBA.
Dipl.-Ing. Burckhard Jäntsch
Willy Trub-Freudenberger
Giesela Wagner
Wiltrud Dietz
Adrian Killer
Eileen Geißler
Margitta Hethur MBA.
Michaela Kade
Maren Anders
Dietlinde Käster
Dr. Lidia Flantz B.Sc.
Eveline Birnbaum
Dr. Irmtraut Gnatz B.Eng.
Heinz-Walter Juncken
Katalin Thanel-Kitzmann
Arno Lindner
Kaspar Trub
Wibke Reuter
Ingeborg Wesack
Edeltrud Margraf
Gunter Beyer
Klaus-Dieter Hecker
Ilka Lachmann
Prof. Aziz Stumpf
Kornelia Dörr
Henri Wilms
Prof. Luzie Killer B.Sc.
Gerlind Trüb-Losekann
Hasso Mans-Buchholz
Klemens Knappe
Abdul Trüb MBA.
Luzia Eckbauer
Camilla Gunpf
Jochen Säuberlich
Hartmuth Gude B.Eng.
Klaus-Dieter Koch II B.A.
Henri Finke-Lehmann
Prof. Kaspar Mosemann
Ing. Eva Kitzmann B.A.
Liliana Davids
Herr Jörgen Kruschwitz
Ilse Nette
Edward Hering MBA.
Margot Ullmann
Pirmin Reising
Dominic Möchlichen
Annekatrin Trupp
Dr. Gudula Scheuermann
Janine Hendriks B.A.
Helma Häring
Dr. Frank Oderwald MBA.
Roman Hauffer
Concetta Dehmel
Hartwig Keudel B.Eng.
Hans-Karl Christoph-Schleich
Jasmina Bolzmann-Hövel
Manuel Pärtzelt
Gino Heß
Aenne Mende B.Eng.
Vesna Bähr
Anni Seidel B.Eng.
Adolfine Lange
Dipl.-Ing. Mariola Lange B.Sc.
Margareta Dörschner B.Sc.
Julia Pärtzelt
Herr Dursun Hentschel B.Eng.
Bernhardine Pechel
Dörte Warmer
Prof. Karen Benthin B.Eng.
Univ.Prof. Horst Scholtz
Daniela Wernecke-Hölzenbecher
Marko Kensy-Atzler
Marek Hesse B.Eng.
Dipl.-Ing. Roland Bien B.Sc.
Alexander Hörle
Dr. Diedrich Krebs B.A.
Remo Reinhardt
Univ.Prof. Kirstin Killer B.Eng.
Univ.Prof. Claudio Schmiedt
Frau Evamaria Geißler
Lorenz Schwital-Stadelmann
Prof. Henryk Kitzmann
Nermin Martin
Frau Emilia Pruschke B.A.
Susann Haering
Ibrahim Ditschlerin
Prof. Almuth Dippel
Elenore Renner
Paulina Oderwald
Frau Raissa Radisch B.Eng.
Anne-Katrin Butte MBA.
Herr Erich Rosenow
Irmtrud Schmiedt B.Sc.
Hubert Hertrampf
Frau Danielle Junk
Heinz-Willi Geisel
Frau Margit Gehringer MBA.
Hans-Ulrich Plath B.A.
Marieluise Kruschwitz
Otto Butte
Irmingard Reising
Clara Ruppersberger
Edgar Bauer
Dr. Bastian Christoph MBA.
Larissa Käster
Bert Ortmann
Brita Schwital
Metin Peukert-Lindner
Dipl.-Ing. Helmut Hauffer
Hedy Kobelt
Markus Eimer
Dr. Philip Siering B.A.
Suzanne Holzapfel
Gertraut Koch II
Ilja Freudenberger B.A.
Heinz-Werner Buchholz
Gotthold Krause
Samir Wähner-Butte
Dursun Mies
Andy Jockel B.Eng.
Jurij Eimer
Slawomir Tlustek B.A.
Henryk Plath-Jopich
Univ.Prof. Nadeschda Staude
Marisa Wagenknecht
Frau Hilda Schweitzer B.Eng.
Steven Weinhold B.A.
Kai-Uwe Schäfer
Karl-Wilhelm Weiß
Kemal Butte-Tintzmann
Univ.Prof. Markus Schottin
Dipl.-Ing. Gisa Jüttner B.Sc.
Dipl.-Ing. Nathalie Bender
Ing. Hans-Walter Ackermann
Prof. Miguel Dowerg B.A.
Prof. Ricardo Kensy
Babette Rohleder
Tassilo Beckmann
Camilla Wiek
Marc Heintze B.A.
Julie Mentzel
Dorle Zirme
Michaela Sontag-Dörr
Ilonka Wulf
Henner Schweitzer
Elena Linke-Wohlgemut
Dipl.-Ing. Agatha Pruschke
Ing. Carolin Matthäi
Juliana Weinhage
Herr Süleyman Karge MBA.
Ing. Christa-Maria Liebelt
Amanda Fechner-Weinhage
Timo Siering-Hübel
Lisa Rädel-Bender
Dr. Isabell Trupp
Dr. Joseph Bien
Dunja Dörr B.Sc.
Liesa Wilms B.A.
Anthony Heintze
Wendelin Pärtzelt
Zdravko Jacob
Gülsen Benthin
Gloria Bruder B.A.
Ludmila Patberg
Frau Wendelin Heinrich B.Eng.
Heinz-Jürgen Hesse
Janine Müller-Steckel
Alan Stadelmann-Lindner
Frau Lilli Möchlichen MBA.
Roswita Sauer
Reimer Kitzmann
Dr. Jurij Nohlmans B.A.
Valeri Mielcarek
Walli Baum-Kohl
Sigmund Herrmann MBA.
Günther Mude B.A.
Roberto Ritter-Fritsch
Tino Gnatz
René Ehlert
Carla Tintzmann
Univ.Prof. Immo Mangold
Dipl.-Ing. Helma Heuser B.Sc.
Rupert Kallert
Svetlana Schenk-Barth
Dr. Hans-Albert Stroh
Sylvester Zirme
Annaliese Klingelhöfer
Bayram Cichorius-Zobel
Univ.Prof. Romuald Hermighausen
Helen Hahn
Andre Schinke
Dr. Oswin Junken
Franz Josef Hoffmann B.Sc.
Albert Butte
Johann Reuter
Dr. Denise Girschner B.Sc.
Heribert Kensy
Aleksander Dowerg
Dr. Jann Wesack B.A.
Jadwiga Gotthard
Dr. Caroline Ortmann
Mareike Wilmsen
Univ.Prof. Philip Kranz B.Sc.
Magarete Klingelhöfer-Mans
Piotr auch Schlauchin-Reuter
Dr. Gerd Fechner
Martine Conradi
Tony Hecker
Katharina Etzler
Univ.Prof. Gisa Meister
Nurettin Mans-Klemt
Ing. Valerij Segebahn B.Eng.
Wibke Cichorius
Hans Dieter Fiebig B.Eng.
Dipl.-Ing. Alexandros Weinhold
Rosa Rosenow B.Eng.
Hilmar Hörle
Frank-Peter Weimer
Karl Heinz Stiebitz
Johannes Schuchhardt-Junitz
Miroslav Kohl
Univ.Prof. Isabel Ladeck
Siegrun Christoph
Ing. Natalie Oderwald B.Sc.
Frithjof Mielcarek MBA.
Mariele Stiffel B.Sc.
Luciano Tintzmann
Dr. Mario Lorch
Eva-Marie Hendriks
Maurice Möchlichen
Riza Römer
Benno Mohaupt
Marian Hande
Theo Trubin
Univ.Prof. Trudel Gierschner MBA.
Dipl.-Ing. Randolf Martin B.A.
Lorenz Sauer
Lambert Wilmsen
Eitel Ernst
Ing. Nils Pergande B.A.
Dipl.-Ing. Detlef Schacht
Dr. Dagmar Hörle B.Sc.
Frau Kunigunda Schaaf B.A.
Prof. Jürgen Blümel B.A.
Margaretha Heintze-Henk
Konstantinos Stolze-Biggen
Denis Weimer
Hansjoachim Salz-Junk
Juliana Möchlichen
Dierk Gunpf B.A.
Prof. Auguste Scholz
Gino Hartung
Björn Rädel-Rohleder
Hans-Eberhard Lübs
Karl-Ludwig Bolnbach
Dr. Dora Fischer
Inna Hande
Dolores auch Schlauchin
Hilma Kuhl
Marten Röhricht B.Sc.
Cora Scholtz
Heidemarie Köhler
Jaroslaw Eckbauer
Senta Warmer
Cecilia Killer
René Ullrich
Dipl.-Ing. Sebastiano Käster B.Eng.
Univ.Prof. Franca Ritter B.Eng.
Fatima Eckbauer-Rosemann
Tilman Hövel
Lena Ernst-Schenk
Gernot Kobelt
Jonas Boucsein
Gundolf Schomber-Hellwig
Adelinde Gutknecht-Beier
Gabor Steuer
Prof. Irmhild Fritsch
Annekatrin Wende
Hülya Stadelmann
Erhardt Loos
Mathilde Kreusel
Jasmina Heuser
Timm Freudenberger-Henschel
Brita Flantz-Knappe
Janette Wiek
Philip Renner
Manuel Wagenknecht
Dipl.-Ing. Robert Köhler
Fredy Hiller
Moritz Schönland
Lissi Thanel MBA.
Reimar Klemm MBA.
Dipl.-Ing. Mahmoud Mühle B.Eng.
Ing. Meinhard Schweitzer
Ernst-Dieter Geisler B.Eng.
Halil Löwer
Walter Schleich-Segebahn
Nikolas Heß
Jennifer Hoffmann
Reingard Jungfer
Ahmad Preiß
Mehdi Bähr B.A.
Silvia Weiß
Lotte Kusch
Dipl.-Ing. Josip Mies
Ron Sorgatz-Eimer
Heimo Huhn B.A.
Sedat Gude
Brunhild Briemer B.Sc.
Maritta Boucsein
Siglinde Zahn
Dr. Rosmarie Seip
Arzu Wieloch-Röhrdanz
Hans-Jörg Trupp-Säuberlich
Nicolaus Jessel
Dan Scheuermann
Dörthe Hiller
Sandy Zimmer
Klothilde Blümel B.A.
Natascha Schinke B.Eng.
Ing. Baldur Blümel MBA.
Ing. Adam Klemt MBA.
Dipl.-Ing. Angelique Ortmann
Melanie Jungfer-Preiß
Dietmar Lindau
Dipl.-Ing. Petar Wohlgemut
Osman Schäfer
Gabriel Süßebier-Eigenwillig
Serge Kraus B.Eng.
Brian Hölzenbecher
Thilo Berger
Harriet Ullmann
Sibille Liebelt
Prof. Beatrice Misicher
Prof. Eckhart Jockel B.Eng.
Ali Schmidt-Knappe
Melita Schleich
Herr Roman Sontag B.Sc.
André Segebahn
Darius Gieß
Gitte Rohleder-Bruder
Urszula Fliegner
Traudl Christoph
Gunhild Gorlitz-Heinrich
Branka Hering
Annegrete Pohl-Sölzer
Ing. Alf Lachmann
Herr Ekkehart Sorgatz
Heidrun Lindner-Bolnbach
Univ.Prof. Hans-Martin Scholz
Ing. Hanne-Lore Ackermann
August Weihmann
Michaela Döhn
Elise Hentschel
Karlfried Karge-Wieloch
Manfred Juncken
Josip Stey
Isabelle Förster-Beyer
Alina Spieß
Benita Geißler
Prof. Georgia Zirme MBA.
Hansjürgen Säuberlich
Heinz-Joachim Trüb B.Sc.
Sylwia Bolander
David Faust-Holsten
Armin Scholz
Ante Gunpf
Thomas Weinhold B.Eng.
Univ.Prof. Beate Gude
Prof. Thekla Hahn
Kevin Trubin
Walentina Hesse
Herr Hilmar Stumpf
Natalie Carsten B.A.
Univ.Prof. Ewald Rogner B.Sc.
Dr. Theresia Mende
Bertold Schenk
Raymond Ruppersberger
Semra Gorlitz
Trude Ruppersberger
Univ.Prof. Pascal Schweitzer
Klaas Vogt
Stephanie Weller
Georgios Neuschäfer
Philipp Ernst
Ekkehart Binner
Tomislav Girschner
Aribert Schulz B.Eng.
Ehrenfried Seidel MBA.
Rocco Rosemann B.A.
Ing. Daria Lorch B.A.
Prof. Orhan Ladeck MBA.
Ing. Knud Vogt
Ursula Löffler
Mariana Wirth
Silja Jüttner
Dr. Elena Kade B.Sc.
Mary Staude
Dipl.-Ing. Karina Kambs MBA.
Ing. Canan Gutknecht B.A.
Matthias Dowerg
Carin Atzler
Sarina Dörr
Prof. Gerda Barkholz MBA.
Dr. Edit Scheibe B.A.
Frau Reinhilde Wirth MBA.
Eckart Klotz
Hartwig Zirme
Manuel Schenk
Pius Römer MBA.
Prof. Heinz-Willi Lindau MBA.
Damian Söding
Gülsen Davids-Heinz
Prof. Emine Beer
Ulrich Plath-Weihmann
Micha Schottin
Heide-Marie Heß B.A.
Prof. Marie-Theres Löffler B.Sc.
Univ.Prof. Babette Kitzmann
Kilian Austermühle B.A.
Frau Anne-Kathrin Wagner
Reinhold Schönland
Dorle Schmidtke MBA.
Dorothee Seidel
Dipl.-Ing. Reimer Werner MBA.
Svetlana Bonbach B.A.
Patric Geisler-Becker
Univ.Prof. Tomasz Atzler B.Sc.
Thea Dippel
Adelinde Kensy B.Eng.
Irmtraut Ortmann MBA.
Ulrike Ackermann B.Sc.
Alban Dippel
Rosalinde Killer
Senol Heintze-Gerlach
Wilhelm Tlustek
Irina Seip-Bolnbach
Istvan Scheuermann
Dipl.-Ing. Liliana Hartmann
Gottlieb Kade
Prof. Hannah Hölzenbecher MBA.
Wulf Schuster
Johann Oestrovsky
Prof. Frithjof Binner
Süleyman Baum
Yusuf Schacht
Roswita Döhn
Niels Faust
Senol Hande MBA.
Pawel Schlosser
Erica Lachmann
Pero Gutknecht
Andrei Säuberlich
Guiseppe Bien
Dr. Edelbert Wieloch MBA.
Hermann Josef Börner
Milos Pärtzelt B.Sc.
Rouven Ziegert
Evangelos Ring-Schmiedecke
Frau Ariane Weinhage MBA.
Marlen Schenk-Schuchhardt
Ing. Kristina Biggen
Prof. Beatrix Döring MBA.
Anette Bien
Herr Kurt Weitzel B.Sc.
Florian Finke
Sieghard Hahn
Friedl Hölzenbecher-Eberth
Univ.Prof. Almut Ehlert B.Sc.
Univ.Prof. Tina Rose
Sina Wulff-Dussen van
Wally Wähner
Kristin Kabus
Gerwin Ortmann
Alexei Meister
Gabi Klapp
Trudi Kranz B.Eng.
Ivana Eimer
Marko Trupp
Reinhilde Hesse B.Sc.
Herr Klaus Peter Krause B.A.
Franz Josef Nette-Werner
Marta Eigenwillig-Hörle
Univ.Prof. Ivo Mies
Miroslaw Holt
Hildegunde Dörr
Veronika Gröttner
Damian Hentschel
Wally Anders B.Eng.
Agatha Kostolzin
Christos Gumprich
Leopold Weller-Zobel
Sigmund Conradi
Milka Scholl
Ing. Agnes Zobel
Ing. Romuald Roht B.Sc.
Ekkehart Niemeier
Magarete Krause
Luise Junk
Hanny Martin
Gilda Scholz
Uli Zimmer
Meta Harloff
Henrik Hein B.A.
Nikolai Haase B.Sc.
Dipl.-Ing. Eckhard Kallert B.Sc.
Nikolas Siering
Renate Franke B.A.
Anna-Marie Ullrich
Bettina Schlosser
Ing. Magda Jäntsch
Hans-Gerd Gnatz
Susi Schuchhardt
Mia Roskoth
Ingried Bähr
Bodo Finke
Anne-Rose Klapp-Jockel
Aleksej Kühnert B.A.
Dr. Bernfried Bärer
Hans-J. Hahn-Süßebier
Jenny Scholtz
Dipl.-Ing. Nikolaus Conradi MBA.
Prof. Felicitas Dörschner
Anne-Katrin Rogge
Emil Preiß-Hecker
Univ.Prof. Helmut Junitz B.Eng.
Ing. Herbert Mühle B.Sc.
Tülay Trapp
Annaliese Hettner B.A.
Kristiane Zahn
Hans-Detlef Schäfer
Mia Ullmann
Univ.Prof. Gregor Gieß MBA.
Theodor Striebitz
Gereon Textor
Gottfried Hettner-Reising
Univ.Prof. Suzanne Paffrath
Annelie Heuser
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Dominic Schönland
Ana Klapp MBA.
Anselm Mühle
Miroslav Paffrath
Ing. Heinz Ehlert
Cordula Mangold
Ottfried Scheibe-Sauer
Prof. Heinz-Peter Sager
Gertrude Gumprich
Kevin Etzler
Marion Wohlgemut B.A.
Malte Kallert-Möchlichen
Univ.Prof. Manuela Heinrich
Reza Misicher
Nathalie Krause
Dörthe Rädel
Dr. Ottfried Lachmann B.Sc.
Elise Ackermann
Ivonne Hahn
Ludmila Karge B.A.
Heinrich Kramer
Agathe Trommler
Dr. Frieda Metz
Nikolaus Fiebig
Claus Butte
Annie Hänel
Christl Eigenwillig
Dr. Laila Peukert
Lilly Naser
Univ.Prof. Oscar Lindau MBA.
Juan Noack
Univ.Prof. Herlinde Klotz
Prof. Ingmar Bonbach
Murat Förster
Barbara Kambs
Hanife Ackermann
Albin Budig
Viktor Bauer
Herr Jost Ruppersberger B.A.
Jurij Bärer
Hansjürgen Schlosser
Ing. Augustin Budig B.Eng.
Dr. Meral Thies B.Sc.
Wiebke Gehringer
Luciano Klotz
Lena Wende
Monique Stroh
Stephanie Kranz B.A.
Apostolos Kreusel-Noack
Gundi Tlustek
Carmen Weinhold
Dipl.-Ing. Leokadia Junk
Ing. Marie-Therese Seifert
José Gröttner B.Sc.
Dorina Dippel
Mark Röhricht
Frau Almuth Kostolzin B.A.
Dogan Rogge
Univ.Prof. Galina Kobelt B.Eng.
Ada Ullmann-Hermann
Hans-Georg Dörschner
Willfried Kostolzin
Maurice Pieper-Loos
Antonina Wagner
Felicitas Kensy-Stey
Johanne Kusch
Heide Hesse-Bärer
Ricardo Hesse
Giuseppe Trupp
Tatjana Käster-Schüler
Enrico Drewes
Klaudia Seidel
Heribert Ring B.A.
Timo Huhn
Eberhardt Warmer
Brit Lindner
Prof. Fredy Hahn
Volker Adler
Käthi Faust-Gorlitz
Gino Ernst
