Student
Burkhard Fröhlich-Dussen van
Cathleen Gude
Univ.Prof. Teresa Weinhage B.A.
Siegrun Reinhardt
Frau Maria Jopich
Arndt Weinhold MBA.
Dipl.-Ing. Betti Löffler MBA.
Dorle Dörschner
Prof. Branko Weller MBA.
Constantin Jacob B.Sc.
Benjamin Lübs
Dipl.-Ing. Kriemhild Löchel
Amalia Wulf
Otfried Ortmann
Univ.Prof. Leif Süßebier B.A.
Heinz-Günter Fischer
Ilias Wagner
Undine Dehmel
Ing. Ivana Budig B.Eng.
Inna Hande
Ing. Hans-Walter Ackermann
Univ.Prof. Niklas Mohaupt MBA.
Annelore Juncken
Ing. Anastasios Berger
Univ.Prof. Edmund Mentzel B.Eng.
Auguste Buchholz B.Sc.
Dipl.-Ing. Gudula Margraf B.Sc.
Cosima Johann
Mandy Huhn B.A.
Natascha Schinke B.Eng.
Norman Wulf
Dörthe Roht
Filiz Bähr
Prof. Julia Möchlichen B.A.
Edward Hering MBA.
Prof. Gaetano Weiß
Marina Radisch
Irmgard Weinhage-Wieloch
Ing. Amalia Walter
Kasimir Albers-Stiebitz
Dina Schmiedt MBA.
Arne Dobes
Karl-Georg Sontag B.Sc.
Traudl Röhrdanz-Spieß
Klaus-Dieter Meister
Zlatko Lehmann
Frau Raissa Radisch B.Eng.
Engelbert Sauer MBA.
Thorsten Ruppersberger
Ayse Thies B.Eng.
Dr. Annette Linke MBA.
Herr Evangelos Schacht
Prof. Hans-Gerhard Reinhardt B.Eng.
Nadin Schomber
Carmen Berger
Karlfried Sorgatz
Klaus-Günter Kreusel
Vanessa Hornig
Prof. Ferdinand Gertz B.Sc.
Arndt Wernecke-Gertz
Dagmar Koch
Wulf Kusch
Horst Reising
Frauke Söding
Dr. Bastian Christoph MBA.
Elena Pruschke
Kornelia Kade
Egbert Gertz
Flora Mühle B.Sc.
Gerolf auch Schlauchin
Gunnar Junk
Dipl.-Ing. Salvatore Zänker MBA.
Gertraude Salz-Gnatz
Frau Reinhilde Wirth MBA.
Dana Ebert B.A.
Gunter Grein Groth B.Eng.
Ing. Galina Hahn
Heimo Knappe
Hanno Hölzenbecher B.Sc.
Daria Liebelt
Jessika Schacht
Lisette Schönland B.Eng.
Petar Bauer
Prof. Arnold Caspar B.A.
Alwine Bien
Dipl.-Ing. Ladislaus Weinhold
Dr. Lina Hiller
Rosemarie Schmiedecke
Anka Gieß
Univ.Prof. Lissi Schomber
Thea Schmiedecke
Magarete Krause
Agata Hertrampf
Rosalia Pruschke
Dr. Lilija Butte B.A.
Dr. Matthias Niemeier
Gina Schmidtke
Univ.Prof. Ivonne Haase B.Sc.
Univ.Prof. Anna-Luise Faust
Ortwin Scholl
Elli Täsche B.Eng.
Albina Heinz
Dr. Damian Scheel
Ing. Emmy Beer
Milos Wiek
Zenta Mende
Emmerich Wilmsen
Imelda Söding
Frau Silvana Bolzmann B.Eng.
Hans D. Schenk
Kilian Austermühle B.A.
Anna-Lena Bloch
Gerhild Beyer
Hans-Adolf Junken
Ing. Jürgen Jopich B.A.
Jana Langern
Ing. Cosimo Steinberg
Anne-Rose Klemm
Stephen Kensy
Miroslawa Jessel B.Sc.
Olav Margraf
Dipl.-Ing. Violetta Briemer B.A.
Tillmann Stolze
Ing. Klaus-Dieter Karge MBA.
Dipl.-Ing. Emmy Börner
Ekaterina Wieloch
Burckhard Caspar
Friedo Ritter
Herr Gordon Heintze B.Eng.
Cindy Meyer
Gloria Mosemann
Frau Inken Seip B.Eng.
Nadeschda Barkholz
Dipl.-Ing. Sylke Gute B.A.
Reimund Eimer
Justina Neureuther
Isolde Seifert
Fredi Lindner
Ing. Torben Hande MBA.
Vitus Schmidt
Nico Drewes
Hans-Jochen Stolze
Anette Anders
Herr Herbert Dowerg
Heinz-Otto Wende
Fabienne Dobes-Heuser
Reimar Rädel
Julian Dussen van B.Eng.
Herr Günther Krein MBA.
Swetlana Binner
Reinhard Zänker
Ladislaus Hande
Boris Kruschwitz
Prof. Rosa Kruschwitz B.Sc.
Cecilia Gertz
Frau Anny Niemeier B.A.
Margareta Schmidt
Gundi Tlustek
Herr Süleyman Karge MBA.
Christiane Blümel
Armin Hellwig-Finke
Sigmund Hentschel MBA.
Woldemar Heydrich B.Eng.
Andree Wilmsen B.Eng.
Ehrentraud Biggen-Kreusel
Victor Seifert
Igor Dörschner
Dr. Wolf-Rüdiger Trüb
Mareen Mans
Ing. Tanja Scheibe B.Eng.
Tibor Köhler-Schönland
Ellinor Schmidtke B.Sc.
Ing. Annekatrin Heß
Jelena Löffler
Frau Monique Wesack B.Eng.
Monja Siering
Maximilian Hellwig
Elizabeth Schlosser B.A.
Lutz Mies-Hesse
Annett Dehmel MBA.
Mato Trubin
Martin Dörr
Lene Hermann-Kaul
Silvio Scholl B.Eng.
Cemil Schweitzer
Gerd Süßebier
Heinz-Georg Rosemann-Bohnbach
Mechtild Niemeier
Janine Hendriks B.A.
Hüseyin Stahr
Univ.Prof. Bela Kraus
Dipl.-Ing. Sarina Dörr
Margit Walter
Jan Döring B.A.
Ing. Kunigunde Wieloch
Magdalene Mude
Hugo Junken
Sebastian Aumann
Konrad Henschel
Marcus Langern
Sabrina Kohl
Renata Holt-Heintze
Katharine Mohaupt-Heuser
Herma Bender-Scholtz
Dan Schönland MBA.
Francisco Schmidtke-Albers
Herr Rupert Jüttner MBA.
Dipl.-Ing. Lotte Austermühle B.A.
Kay-Uwe Trommler
Evelyn Ortmann
Carlos Klotz
Peggy Haering B.Sc.
Leokadia Herrmann
Ing. Rotraud Schmidt
Dipl.-Ing. Tamara Seifert B.A.
Marco Schinke B.Eng.
Larissa Käster
Hans-H. Schönland
Traugott Textor-Wagenknecht
Carla Ruppersberger
Karl-Wilhelm Geisel
Ingbert Hartung
Ida Weihmann
Reimer Kitzmann
Nermin Jopich
Brunhilde Tröst
Klaus-Dieter Koch II B.A.
Hilde Lübs
Meryem Graf-Lange
Istvan Scheuermann
Victor Butte
Anni Seidel B.Eng.
Joana Preiß
Zofia Schulz
Prof. Alma Gumprich
Ing. Clemens Wirth
Ilonka Wulf
Dusan Eigenwillig
Ben Zahn
Marlen Hesse
Lisbeth Karge
Prof. Mathias Kambs
Lucie Trüb-Schmiedt
Dipl.-Ing. Willibert Süßebier
Rafael Blümel
Dipl.-Ing. Marisa Scholl
Prof. Ines Kuhl
Marc Heintze B.A.
Reni Römer
Kristian Meyer
Janine Müller-Steckel
Ilonka Lange
Herrmann Holt-Lindner
Veit Beckmann
Alice Nette
Pia Steuer
Univ.Prof. Belinda Henck
Univ.Prof. Romana Hiller
Rainer Hänel
Hubertine Krein
Valentin Döring
Otto Butte
Virginia Eigenwillig
Mariusz Stadelmann-Jähn
Prof. Mohammad Reinhardt
Erwin Weimer-Bohlander
Dr. Gunther Jähn B.A.
Univ.Prof. Jaqueline Dehmel
Hans-Jürgen Klemm
Susan Riehl B.Sc.
Lidia Franke
Dipl.-Ing. Ana Rosemann
Theresia Henck
Siegrun Ring
Ernst-August Gunpf
Mark Röhricht
Ulrich Segebahn
Tomislav Schüler
Friedrich-Wilhelm Roht-Wiek
Ronald Börner-Hentschel
Dipl.-Ing. Hannelore Kostolzin
Evelin Gerlach
Ing. Gerti Franke
Bodo Kranz-Striebitz
Frau Aleksandra Dobes B.A.
Volkmar Trub
Bertha Heser MBA.
Ilse Henschel
Leonore Jäkel
Prof. Marion Martin
Thies Pergande
Dr. Amir Jäkel
Dipl.-Ing. Jens-Peter Dippel MBA.
Dipl.-Ing. Rouven Kallert MBA.
Ing. Dirk Paffrath
Lidija Löchel B.A.
Hannes Jäntsch
Philip Fritsch
Carmelo Klapp-Berger
Prof. Martin Ullmann
Maren Bruder
Tamara Bender MBA.
Johanna Stumpf
Konstantin Ladeck
Sonia Gorlitz-Mude
Helfried Seifert-Schönland
Mirjana Schlosser B.Eng.
Ekkehart Bruder
Wally Bien-Kraushaar
Nicolas Tschentscher
Janina Seifert
Ignatz Wähner-Hänel
Mathias Matthäi
Josefa Hauffer
Heide Knappe
Volkmar Hentschel
Marek Ackermann
Brian van der Dussen
Walli Baum-Kohl
Anastasios Drub
Frau Ina Schwital B.Sc.
Ing. Vesna Kroker B.Eng.
Ljiljana Ruppert
Celal Ortmann-Otto
Dr. Senol Beier MBA.
Hartmut Hiller B.A.
Holger Gröttner B.Eng.
Annelie Heuser
Klaus-Werner Jäkel-Holsten
Ing. Siegrid Birnbaum
Dr. Lidija Weihmann
Roberto Ritter-Fritsch
Falk Wagenknecht B.Eng.
Jörg-Peter Klemt MBA.
Dr. Peer Schwital MBA.
Hans-Hinrich Linke
Nathalie Langern
Cindy Rogge-Dippel
Antonio Margraf
Ludmila Löffler
Heidelore Pärtzelt MBA.
Käthi Faust-Gorlitz
Marie-Luise Rogner
Elma Heser
Prof. Heinz-Peter Sager
Attila Atzler
Nicole Hoffmann
Margot Schäfer B.Eng.
Fredi Huhn
Klaus-D. Segebahn
Halil Löwer
Pierre Köster
Heinrich Putz B.Sc.
Herbert Budig
Univ.Prof. Anneke Gunpf
Dipl.-Ing. Gisela Schuster B.A.
Lars Walter
Eberhardt Gute
Reingard Geisel
Maritta Bien
Dominic Gunpf MBA.
Stavros Zirme
Hiltrud Bolander-Ziegert
Nicole Scheibe
Gabor Dobes
Prof. Katrin Mülichen B.Eng.
Arif Pergande-Wagenknecht
Frau Nuray Mangold MBA.
Elli Kohl
Zlatko Kraus
Daniela Löwer
Dipl.-Ing. Lara Tlustek
Gerdi Neureuther-Mälzer
Ing. Pamela Gerlach
Dittmar Graf
Herr Frank Bolnbach
Dr. Markus Roskoth B.Sc.
Jadwiga Koch
Inge Dietz B.A.
Isa Kramer-Matthäi
Cynthia Linke
Roy Schmidt B.Eng.
Ing. Magda Jäntsch
Timm Schönland
Carmen Textor-Krebs
Alban Butte
Georgia Liebelt
Herr Jens Becker MBA.
Sofie Schmiedecke
Regina Fliegner
Annelore Bolander
Marie-Louise Girschner
Bruno Hethur
Hans-Bernd Trubin-Klemt
Adelgunde Wagenknecht
Emma Trub-Scheuermann
Viola Sager
Gilbert Peukert B.Eng.
Dipl.-Ing. Alla Karge
Prof. Heinz-Willi Lindau MBA.
Ruth Barkholz-Koch II
Roselinde Ebert
Dorle Killer
Dipl.-Ing. Janet Ruppersberger
Tibor Briemer
Manuel Wagenknecht
Mirja Bähr
Imke Keudel B.Sc.
Prof. Johannes Holzapfel MBA.
Ing. Knud Vogt
Herr Ronny Tröst B.Sc.
Frau Anna-Luise Sontag
Univ.Prof. Amelie Gröttner B.Eng.
Concetta Seifert
Lorenz Schwital-Stadelmann
Herr Gunther Flantz
Friedemann Kostolzin
Hans-Karl Christoph-Schleich
Engin Schenk
Wally Kreusel
Yasmin Reising
Ralf-Peter Gute
Pius Gierschner-Weitzel
Henri Wirth
Heinz-Gerd Gorlitz B.Eng.
Nadja Geisler
Karl-Heinrich Sölzer
Marten Möchlichen
Konstantin Knappe
Vinzenz Bruder
Dipl.-Ing. Christel Beer B.Eng.
Oskar Beyer
Mary Hofmann B.A.
Klaus-Peter Kitzmann
Artur Kreusel
Katherina Hesse
Adem Schleich
Kunibert Heß MBA.
Herr Muzaffer Schäfer
Hanspeter Juncken
Horst-Peter Löchel
Dr. Melitta Mans B.Eng.
Hildegunde Wende-Spieß
Marleen Heser
Henryk Jacobi Jäckel B.Sc.
Irmgard Täsche B.A.
Augustin Wende
Othmar Täsche-Loos
Wolfhard Jäkel MBA.
Kamil Hecker-Hahn
Hilmar Hörle
Paola Margraf
Dragan Trub
Georg Misicher
Reni Roht-Binner
Daniel Stiebitz
Anastasia Mans
Jann Cichorius
Aleksandr Schuster B.A.
Karl-Josef Thanel
Eva-Marie Berger MBA.
Iwan Schleich
Stjepan Wesack-Winkler
Roselinde Metz MBA.
Georgia Ruppersberger
Siegried Caspar B.A.
Engin Trub
Maria-Theresia Heinz B.A.
Ing. Muharrem Paffrath B.Sc.
Ljudmila Krebs
Edit Rädel
Doreen Hornig
Heinrich Ackermann
Dörte Nette
Dr. Vitus Franke
Kai-Uwe Hartung
Patricia Wiek
Torben Hartung
Gerta Klemt
Erhard Otto
Friedl Hänel
Erhardt Loos
Stephan Haase MBA.
Stephen Bruder
Catharina Jacob
Univ.Prof. Baptist Mende MBA.
Ruthild Juncken B.Sc.
Wendelin Schäfer B.Sc.
Ulrike Hiller
Irmgard Hövel
Gundi Hiller
Janko Schulz-Becker
Zbigniew Höfig B.Eng.
Karl-Hans Weinhold-Noack
Hans-H. Pergande
Frau Valentine Benthin
Friedericke Ring MBA.
Dr. Zeljko Pruschke
Artur Budig
Marica Martin
Dagobert Rogge
Hannes Meyer
Hartmuth Eberhardt
Dipl.-Ing. Bertram Gieß MBA.
Prof. Heinz-Joachim Seidel
Daniela van der Dussen B.Eng.
Adele Stroh
Nada Girschner
Fatih Ladeck-Weihmann
Rebecca Geißler
Prof. Sibel Mälzer MBA.
Hans-Uwe Noack-Fröhlich
Ayse Scheuermann-Sölzer
Renate Austermühle B.Eng.
Timm Freudenberger-Henschel
Ilonka Kohl
Giuseppe Preiß
Dr. Margita Stiebitz
Edith Binner
Ing. Alberto Schlosser
Antonius Käster
Fatima Weinhage-Boucsein
Lucia Kohl
Stephan Warmer B.Eng.
Bruno Martin-Kaul
Frau Ina Dietz MBA.
Zeljko Meyer
Anica Austermühle
Heinz-Dieter Caspar-Hande
Ing. Sina Johann MBA.
Ehrentraud Trubin
Dipl.-Ing. Kevin Stadelmann
Elfi Herrmann MBA.
Oxana Henschel
Bertram Höfig B.Sc.
Victoria Hiller
Dolores Stey-Matthäi
Rosa Gnatz
Irmengard Sauer
Clara Rust
Aysel Bruder MBA.
Robin Sölzer
Univ.Prof. Philip Kranz B.Sc.
Maren Drub
Adelbert Rörricht
Julia Pärtzelt
Ing. Willfried Kostolzin
Anna-Maria Holzapfel
Damian Söding
Nurettin Koch II
Berthold Rudolph
Yusuf Steinberg B.A.
Sigurd Lange-Seifert
Roy Holt
Dr. Thekla Lindau B.Sc.
Heinz Dieter Trubin
Tilly Pergande
Solveig Scheibe
Annamaria Hänel-Zimmer
Dr. Margarethe Ernst
Meta Harloff
Nicolaus Franke-Paffrath
Tomas Tlustek
Dr. Silvester Krein B.Sc.
Götz Hofmann B.A.
Othmar Weinhage MBA.
Ing. Elsa Liebelt
Hans-Martin Drewes
Aneta Heydrich
Nico Möchlichen
Dipl.-Ing. John Ortmann MBA.
Gotthilf Bohnbach-Seip
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Lidwina Sorgatz-Weihmann
Mijo Jessel B.A.
Denny Lachmann
Dr. Annita Kallert
Edith Kostolzin
Dr. Baldur Johann B.Eng.
Hardy Wende B.Sc.
Herr Urban Christoph
Univ.Prof. Inga Hermighausen B.Eng.
Dr. Catharina Gerlach B.Eng.
Meta Eigenwillig
Herr Gisbert Langern
Uschi Keudel
Dipl.-Ing. Erwin Hamann
Hans Josef Striebitz
Prof. Kaspar Mosemann
Prof. Marion Scholz
Ing. Ahmet Häring
Adeline Hein-Metz
Heidemarie Köhler
Ali Schmidt-Knappe
Ing. Brunhilde Albers
Rudi Schacht
Giovanna Zobel-Liebelt
Stavros Hövel B.Eng.
Annemarie Häring
Marit Weller
Karl Meister B.Eng.
Leon Aumann
Artur Schaaf
Andrea Ziegert
Dipl.-Ing. Oskar Vogt B.A.
Theda Stumpf B.Eng.
Sebastian Stiffel B.A.
Prof. Alida Mangold MBA.
Janus Weitzel-Koch
Zoran Oestrovsky
Carl Scheibe
Heimo Huhn B.A.
Maik Oestrovsky B.Sc.
Ekrem Zänker
Univ.Prof. Dorle Röhrdanz B.A.
Dr. Leonhard Otto
Klaudia Löffler-Zorbach
Friedericke Lehmann B.Sc.
Dr. Hans-Herbert Losekann B.A.
Folker Fischer
Linus Lübs
Ing. Ivo Weinhold
Bernard Bien-Lübs
Prof. Juliane Henck MBA.
Christina Schlosser
Daniele Hering
Fredy Birnbaum-Kensy
Ahmed Lange MBA.
Osman Schäfer
Florian Weimer
Augusta Beer
Dr. Sükrü Hettner
Ing. Toralf Wiek
Jorge Weitzel
Ditmar Briemer
Torben Säuberlich-Linke
Helmuth Wagner
Ahmet Pärtzelt
Benno Ritter
Carlo Ackermann-Birnbaum
Alwine Linke
Frau Wenke Klemt
Herr Bodo Steckel
Dipl.-Ing. Rolf Tröst B.Sc.
Waltraud Trapp-Pechel
Burkhardt Jäntsch B.A.
Frau Jane Caspar
Rico Putz-Killer
Emanuel Schinke B.Sc.
Peter Mitschke
Yvette Süßebier
Jaroslaw Eckbauer
Dietlinde Käster
Karla Conradi
Dietlinde Schönland
Hans-J. Atzler
Sybilla Hornig
Dipl.-Ing. Melanie Kreusel B.A.
Ottmar Beier
Ing. Gerold Gotthard
Klaus-Michael Mälzer
Karin Beckmann
Ing. Kläre Radisch
Dipl.-Ing. Louis Spieß B.A.
Elzbieta Hartung
Thilo Patberg
Dipl.-Ing. Ismet Käster B.Eng.
Dipl.-Ing. Wanda Dussen van
Univ.Prof. Antoinette Wende B.A.
Tomislav Jopich-van der Dussen
Felizitas Werner
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Beatrice Bender
Dr. Abdullah Becker
René Ehlert
Siegrun Christoph
Domenico Nohlmans-Eberhardt
Henni Keudel B.Sc.
Elisa Steinberg
Elizabeth Budig
Herr Rüdiger Ruppersberger
Mechthilde Lindau B.A.
Herr David Freudenberger B.Eng.
Theda van der Dussen
Magda Berger B.A.
Ilonka Buchholz-Köhler
Dipl.-Ing. Engin Jähn B.A.
Günter Löwer
Dipl.-Ing. Peer Kuhl
Prof. Olga Steckel B.A.
Arif Killer
Ellen Jessel-Walter
Frau Conny Klemt
Renate Franke B.A.
Stefanie Pruschke
Ing. Marko Linke
Klaus-Michael Hahn
Zeljko Kobelt B.Eng.
Leszek Hentschel
Dr. Gabriel Junitz
Philip Mangold
Leokadia Oestrovsky
Dipl.-Ing. Serge Nerger
Herr Hartwig Henk B.A.
Rupert Kallert
Elena Linke-Wohlgemut
Ing. Therese Rust
Ottilie Hartung
Nuray Aumann
Dipl.-Ing. Mahmoud Mühle B.Eng.
Prof. Marten Söding B.A.
Wiltrud Bolander
Nevenka Fritsch
Wulf Schuster
Fernando Tschentscher-Schacht
Margarethe Wagenknecht
Carl Mühle-Wulf
Prof. Constance Girschner MBA.
Anastasios Kuhl
Ing. Lisbeth Fritsch
Gregor Loos-Gehringer
Eileen Hartung
Lutz Röhricht B.A.
Prof. Karl-Ernst Möchlichen
Annemarie Seidel
Ing. Romuald Kreusel B.A.
Univ.Prof. Norbert Röhrdanz B.Sc.
Aneta Kambs
Freia Kraushaar B.A.
Jessika Käster
Mohammad Finke
Leopold Jungfer
Klaus-Jürgen Jockel
Prof. Necati Stey B.A.
Hans-Erich Mende
Oxana Schmidtke
Dr. Paulina Textor B.A.
Stephanie Beer
Canan auch Schlauchin-Dussen van
Romuald Kambs MBA.
Ole Losekann
Alois Werner
Attila Werner
Herr Tino van der Dussen MBA.
Dipl.-Ing. Gerdi Wende
Wieland Linke
Ing. Marcel Gute
Raymond Ruppersberger
Dr. Hans Jörg Zobel
Univ.Prof. Friederike Bender B.Eng.
Annamaria Baum MBA.
Vito Roht
Adolfine Dippel
Ing. Ignaz Rose
Hanne Ackermann
Asta Mielcarek-Blümel
Anatoli Anders
Michelle Pohl
Dr. Änne Radisch
Ernst-Dieter Rörricht B.Eng.
Robert Budig-Ullmann
Sinaida Adolph
Gloria Schulz-Huhn
Songül Tschentscher
Zehra Ernst-Bohnbach
Dr. Deborah Kade
Cord Zorbach
Prof. Urs Täsche
Henriette Pohl
Apollonia Trüb B.A.
Pawel Schlosser
Frau Beatrix Bonbach B.A.
Sigrun Weinhold
Filippo Juncken
Jeannine Heinz-Tlustek
Herr Andy Förster B.A.
Luis Jacob
Mira Bender
Marie-Therese Birnbaum
Ing. Helene Jähn B.Eng.
Willfried Mende
Dr. Luisa Anders B.A.
Gert Kensy B.A.
Janet Kade
