Student
Tabea Kaul
Arnulf Kusch
Ing. Claire Hübel
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Ignatz Gutknecht
Frau Anka Hering
Traugott Hövel
Emanuel Scholz B.Eng.
Prof. Amelie Rose MBA.
Fabienne Conradi B.Eng.
Meral Stroh-Henschel
Ingmar Hauffer
Kristina Scheibe
Salih Eckbauer-Renner
Karl-Josef Schottin-Hoffmann
Gislinde Wagenknecht
Herr Gisbert Langern
Anastasios Kuhl
Ing. Zofia Ernst
Dipl.-Ing. Sylke Gute B.A.
Käthe Hande
Elena Fiebig
Dagobert Eberhardt B.A.
Oda Berger
Udo Grein Groth
Ayse Thies B.Eng.
Benita Schleich
Tülay Trapp
Gundula Weitzel-Liebelt
Patrick Haering
Annekatrin Trupp
Frau Monique Löchel
Cemal Trapp
Dipl.-Ing. Cynthia Hauffer B.A.
Orhan Mude
Saban Hendriks
Dana Köster
Prof. Falko Trapp B.Eng.
Marion Weinhold-Pechel
Enver Dehmel
Herr Rüdiger Ruppersberger
Xenia Hermann
Veronique Eimer
Muharrem Benthin
Henny Stey
Holger Roskoth B.Sc.
Lore Tröst
Ingolf Ruppersberger-Berger
Dipl.-Ing. Franz Reising
Kerstin Eigenwillig B.Eng.
Frau Gülay Rogner B.A.
René Säuberlich B.Eng.
Ehrhard Klotz
Anna-Luise Seip-Hofmann
Margita Hartung-Zänker
Univ.Prof. Anna-Luise Faust
Drago Gierschner B.Eng.
Fredy Ring
Mareike Lübs
Nancy Eckbauer
Frau Evelin Löffler
Ing. Ivo Weinhold
Johan Heydrich
Bekir Bonbach
Andreas Gunpf
Holger Röhricht
Jann Schleich
Univ.Prof. Marita Pohl
Bertha Heser MBA.
Franz-Josef Etzold
Ing. Gerold Mende
Kay-Uwe Barkholz
Dr. Sandra Mangold B.Sc.
Ottilie Blümel
Dr. Heinz-Georg Aumann MBA.
Caroline Harloff
Hans-Albert Preiß-Scheel
Niklas Scholtz
Clemens Barth
Lotte Kusch
Anika Holsten
Theodoros Vollbrecht-Gutknecht
Ing. Augustin Budig B.Eng.
Dr. Sonia Hornich B.Eng.
Mariechen Scholl
Prof. Lilly Schmidtke
Birgid Drewes-Seifert
Hannelore Haase
Klaus-Michael Hahn
Urte Bolzmann
Hertha Gutknecht
Annaliese Heser B.Sc.
Wilhelm Tlustek
Dominic Martin
Hans-Adolf Junken
Bertold Stadelmann
Dipl.-Ing. Annemarie Trommler B.Sc.
Dipl.-Ing. Cristina Vogt
Ewa Bolnbach-Textor
Walther Hofmann
Gero Gumprich B.Sc.
Dipl.-Ing. Robert Köhler
Univ.Prof. Josefine Gerlach
Wolf Stadelmann
Prof. Hannah Hölzenbecher MBA.
Ingbert Binner-Heidrich
Herr Ronald Reising B.Sc.
Heidemarie Köhler
Stilla Hornig B.A.
Horst-Dieter Seifert
Senta Warmer
Ing. Emmy Beer
Kaspar Römer
Mia Roskoth
Lambert Gehringer
Ing. Leszek Gutknecht B.Sc.
Herr Hilmar Stumpf
Prof. Clarissa Barth
Aziz Bähr B.A.
Lambert Misicher-Dörschner
Piotr auch Schlauchin-Reuter
Lilly Beckmann B.Sc.
Franka Peukert
Prof. Attila Werner B.A.
Geraldine Reising MBA.
Prof. Ada Wähner
Philip Renner
Ing. Willi Warmer B.Eng.
Ing. Ramazan Kabus B.Eng.
Alexandre Häring
Frau Annita Beckmann
Dina Schmiedt MBA.
Katrin Oestrovsky-Fechner
Zenta Gertz B.A.
Canan Heinrich
Thea Schmiedecke
Peer Hölzenbecher
Guntram Warmer
Korbinian Bolander
Ronald Henschel
Dorota Mude
Frau Juliane Schulz B.Sc.
Jonas Adler
Krista Scholtz
Traudel Wilmsen B.A.
Bernhardine Pechel
Frau Josefa Henschel B.A.
Franka Mitschke B.Sc.
Ing. Eugenie Kreusel MBA.
Hans-Ulrich Dussen van
Irina Mielcarek
Sylvio Stiffel
Prof. Gaby Ernst MBA.
Sylvio Gutknecht
Svetlana Boucsein
Pasquale Karge
Tomislav Schüler
Harro Gunpf
Irmtrud Bolzmann
Bruno Henschel
Sinaida Roskoth B.A.
Ljubica Wohlgemut-Schmidt
Yusuf Nette B.Sc.
Wilhelm Metz
Felix Müller
Selim Pieper
Alexander Beckmann MBA.
Kreszentia Scheibe
Hans-Willi Kruschwitz B.Sc.
Leopold Rörricht
Nikolaus Fiebig
Süleyman Wende
Dipl.-Ing. Reinhart Gotthard B.Eng.
Martin Dörr
Dusan Zahn B.A.
Hellmut Hein-Gnatz
Uschi Dobes
Thoralf Eimer
Herr Gustav Noack
Dipl.-Ing. Kevin Stadelmann
Linus Drub
Franz-Xaver Bachmann
Mariana Wirth
Marta Roht B.Sc.
Carmine Hauffer
Nevenka Hörle MBA.
Gertraud Mentzel
Benita Geißler
Prof. Susanne Rose
Frau Helena Nette
Nico Möchlichen
Alina Schmiedecke
Bernt Huhn
Gert Kensy B.A.
Dipl.-Ing. Maik Mende B.Sc.
Dr. Jasmina Ruppert
Evangelia Gierschner
Jozef Kostolzin
Univ.Prof. Christa-Maria Lehmann B.A.
Danny Gumprich
Dr. Salih Ullmann
Traude Kuhl
Christiane Mentzel
Rouven Bloch B.A.
Wolf-Dieter Sölzer-Putz
Erica Schlosser
Univ.Prof. Ortwin Geisler MBA.
Bekir Cichorius-Döring
Dipl.-Ing. Rabea Sorgatz MBA.
Adriane Gröttner
Friedlinde Warmer
Elisa Mälzer
Edmund Schmidt-Fliegner
Sylvester Hamann
Anne-Marie Drewes
Herr Jonathan Beckmann B.A.
Ing. André Christoph
Bertha Barkholz
Klaus-Peter Schüler-Schaaf
Ing. Henrike Kramer
Slobodan Seip
Ahmet Pärtzelt
Gero Schomber
Madeleine Thanel MBA.
Ing. Helen Gumprich B.Sc.
Margrit Förster
Hartwig Sorgatz B.Eng.
Marliese Roht
Nikola Kitzmann
Herr Burkhardt Bauer B.Eng.
Nadia Thanel
Univ.Prof. Ivonne Haase B.Sc.
Wencke Salz
Ingried Stiffel B.A.
Miriam van der Dussen
Marian Vollbrecht MBA.
Prof. Magda Textor
Zdravko Kroker
Aldo Förster
Luigi Junitz
Rolf-Peter Rosenow MBA.
Prof. Nuran Sauer B.Sc.
Falko Kusch B.A.
Uwe Sorgatz
Wieslaw Lachmann
Prof. Klaus Peter Hellwig B.Sc.
Gunnar Hornig
Adelinde Ackermann-Knappe
Recep Weihmann
Viviane Kensy
Ralph Jacobi Jäckel
Gerlind Trüb-Losekann
Ilja Freudenberger B.A.
Polina Ladeck B.A.
Anna-Luise Segebahn
Wolfhard Kensy
Jessika Thies
Alina Finke
Anni Seidel B.Eng.
Gerti Ullrich
Annerose Eckbauer
Hartmut Biggen-Trapp
Emil Grein Groth
Mehdi Neureuther
Gerwin Ortmann
Benita Hahn-Wieloch
Heinz-Günter Hesse
Meta Harloff
Valerie Kallert B.A.
Adelinde Gutknecht-Beier
Bert Ortmann
Dr. Cäcilia Henk B.Eng.
Beate Nette
Serge Grein Groth
Wieslaw Freudenberger
Heino Römer
Bogdan Steckel B.Eng.
Klaus-D. Zirme-Bachmann
Damaris Eigenwillig
Ing. Danica Gieß MBA.
Prof. Almuth Dippel
Mehmet Beckmann-Geisel
Dipl.-Ing. Wanda Dussen van
Ing. Carolin Hoffmann
Gitte Buchholz
Viola Ackermann
Olga Stahr
Wendelin Zorbach MBA.
Hajo Ziegert-Noack
Fatma Sager
Hans Jörg Köhler
Univ.Prof. Tabea Dörschner MBA.
Ing. Mariechen Nerger B.Eng.
Rafael Blümel
Heinz Dieter Barkholz
Anette Bien
Dipl.-Ing. Fred Meister
Adem Mühle-Ruppert
Kordula Dobes-Buchholz
Dr. Silvester Krein B.Sc.
Stefano Wagenknecht
Ignatz Budig
Univ.Prof. Aloisia Fröhlich B.A.
Ing. Nils Pergande B.A.
Reimund Bohlander
Diether Blümel
Mona Söding
Gerd Becker
Necati Koch
Univ.Prof. Valeria Putz
Meral Eberhardt B.A.
Mareike Reichmann
Woldemar Bolzmann B.A.
Nicolas Tschentscher
Sofia Mielcarek B.A.
Carsten Hartmann
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Gitta Römer
Susanna Weitzel
Univ.Prof. Friedl Tlustek
Catherine Huhn
Kazim Rohleder
Klaus Dieter Rädel
Dipl.-Ing. Roland Bien B.Sc.
Auguste Lorch
Laurenz Siering-Kallert
Frau Danielle Junk
Frau Theodora Hettner B.A.
Änne Möchlichen
Bruni Freudenberger
Ing. Antonius Jacobi Jäckel MBA.
Eva Wende B.Eng.
Cecilia Scholz-Barth
Ing. Rolf Gertz
Herr Laurenz Häring
Dipl.-Ing. Aleksandra Wagner MBA.
Gundula Vollbrecht
Emine Tlustek B.Sc.
Gilda Segebahn
Alwine Sager
Dr. Francisco Hänel
Gordana Budig B.A.
Lorenzo Zänker
Herr Muzaffer Klotz B.Sc.
Dr. Damian Scheel
Heinrich Rogner
Elizabeth Vollbrecht
H.-Dieter Gerlach
Jeanette Speer
Frederike Dippel
Cemal Hamann
Ing. Adam Klemt MBA.
Dr. Harald Ritter
Hans-Karl Rust MBA.
Hans-Gerd Jockel
Kira Hartmann B.Sc.
Friedemann Stoll
Norbert Eimer
Frau Lisbeth Girschner MBA.
Frau Kirsten Geißler
Philomena Bloch
Leonie Möchlichen MBA.
Reni Römer
Annaliese Gerlach
Liliana Gehringer
Reinhold Bloch
Gerwin Salz
Wolfhard Vogt
Milos Kuhl B.Sc.
Abdul Klapp-Hethur
Edit Martin B.Sc.
Johanna Finke-Ehlert
Johan Baum
Eveline Birnbaum
Aloys Fechner
Tülay Scholtz
Hans-Martin Kambs
Felicitas Kensy-Stey
Dierk Buchholz MBA.
Prof. Hermann Bohlander B.Eng.
Konstantin Rogner
Carolina Ditschlerin
Romana Wulff
Gottlob Römer
Friedlinde Sauer
Ingelore Heinz
Rosalia Pruschke
Enrico Hornig
Prof. Oswald Ehlert MBA.
Frau Maria Jopich
Frau Dorothe Mielcarek
Marliese Becker
Univ.Prof. Hans-Martin Scholz
Torsten Trapp B.A.
Burkhard Schweitzer
Fredi Wilmsen
Janusz Kruschwitz B.Eng.
Univ.Prof. Halina Hamann MBA.
Dr. Rita Kallert
Conrad Killer
Konstanze Mohaupt
Freia Buchholz
Univ.Prof. Betty Conradi B.A.
Viktor Bauer
Dr. Gero Röhricht B.Eng.
Fatma Hesse
Annita Jähn
Emilie Scholz
Irmi Biggen
Gunter Misicher
Gina Killer
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Sigmar Zobel
Olivia Thies B.A.
Ing. Annekatrin Heß
Eveline Kruschwitz B.Sc.
Dipl.-Ing. Wolfram Johann B.Eng.
Faruk Hoffmann
Friedhilde Dobes
Herr Hans-Ludwig Steinberg
Monika Hornich MBA.
Luigi Wähner
Sibilla Mälzer
Karl-Peter Heser
Dr. Elmar Junk
Aloys Ruppert
Giovanni Weller-Söding
Otto Lindner
Prof. Sahin Kreusel
Kunigunda Heser
Sylke Ehlert
Metin Klemt
Helene Kuhl-Austermühle
Anne-Marie Stumpf
Univ.Prof. Resi Kobelt
Edwin Förster-Albers
Filippo Hermann
Gerd Wiek MBA.
Berthold Jäntsch-Jessel
Frank-Peter Bien
Frau Angelina Martin
Gabriela Freudenberger B.A.
Maike Bolnbach
Univ.Prof. Nevenka Döhn B.Eng.
Katerina Hauffer
Kreszenz Ruppert-Dobes
Karl-Otto Putz
Christiane Wirth B.Eng.
Sinaida Adolph
Dr. Hildegund Gnatz B.Eng.
Mariana Kranz
Valeria Mende
Annie Harloff B.A.
Giuseppe Stahr
Dr. Anny Kallert
Dipl.-Ing. Slobodan Sölzer
Miodrag Dörr-Austermühle
Ralph Binner-Römer
Hanno Salz
Dipl.-Ing. Betti Löffler MBA.
Carlo Ackermann-Birnbaum
Dr. Otmar Linke MBA.
Armin Hellwig-Finke
Dipl.-Ing. Valeria Kühnert MBA.
Magdalene Hering MBA.
Vito Davids-Schwital
Orhan Dörr-Salz
Margot Ullmann
Anni Kraus
Monika Krein B.Eng.
René Hölzenbecher-Berger
Margot Schäfer B.Eng.
Prof. Theobald Mangold
Gottfried Martin-Martin
Dipl.-Ing. Anneliese Kühnert
Alessandro Werner
Evi Heuser
Krista Gertz B.Eng.
Helen Hahn
James Kostolzin-Haase
Ada Kreusel
Anke Hettner
Anto Niemeier
Virginia Eigenwillig
Mandy Loos
Franjo Junitz-Hahn
Prof. Felicitas Dörschner
Heinz-Günther Bohnbach
Univ.Prof. Marleen Kabus
Dipl.-Ing. Igor Henck B.A.
Univ.Prof. Liliana Niemeier B.Eng.
Univ.Prof. Pamela Kambs MBA.
Michael Scholz
Margita Hentschel
Victor Häring
Siegbert Hartmann B.A.
Hanspeter Juncken
Dr. Elwira Hiller
Francoise Freudenberger-Stey
Vladimir Kruschwitz
Yusuf Schacht
Prof. Ines Kuhl
Ludwina Fritsch
Eberhardt Schäfer
Oda Barkholz
Geza Hertrampf B.A.
Dipl.-Ing. Gisa Jüttner B.Sc.
Nadja Hethur
Zita Ullmann-Heydrich
Nicolaus Franke-Paffrath
Univ.Prof. Reinhilde Cichorius B.A.
Emilia Römer
Univ.Prof. Melita Langern
Sevim Junitz
Ralph Rogge
Ing. Elisabet Jopich B.Sc.
Anatoli Caspar
Hanife Thies
Beatrix Möchlichen
Berend Rörricht
Prof. Volkmar Heuser
Marcella Karz B.A.
Herta Hoffmann
Freia Lübs
Ismail Koch
Ing. Katarzyna Noack
Univ.Prof. Heidelinde Jopich B.Sc.
Jane Patberg
Annelore Täsche
Dr. Theodor Sager
Frieda Tintzmann-Löchel
Gaby Bähr
Bernard Karge
Conny Metz
Ljiljana Ruppert
Ismet Kroker
Alicia Kroker
Dana Schäfer
Prof. Fredy Hahn
Dr. Elvira Cichorius B.A.
Wolf Martin
Birthe Trommler
Mariana Jüttner
Isidor Zobel-Ritter
Corina Pergande
Svenja Salz
Dipl.-Ing. Hardy Kohl
Hans-Georg Schmidt
Hans-Erich Warmer B.A.
Georgia Ruppersberger
Simona Heidrich
Herr Dimitri Mohaupt B.A.
Inken Gorlitz
Hansgeorg Hettner
Frau Hildegund Vogt B.A.
Alma Kaul
Dorothea Weihmann
Utz Staude
Prof. Hermann Josef Söding
Gundula Ruppersberger
Univ.Prof. Zita Löchel B.Sc.
Hans-Martin Kohl
Gebhard Sorgatz
Miroslawa Gude B.Sc.
Hanife Ackermann
Anton Drubin
Volker Adler
Henri Wilms
Jasmina Rädel
Marco Schinke B.Eng.
Ing. Monika Ullrich
Willy Trub-Freudenberger
Astrid Schweitzer
Remo Köhler
Univ.Prof. Christoph Beier B.A.
Zoran Oestrovsky
Ing. Vitali Hentschel MBA.
Adelgunde Thanel
Dipl.-Ing. Gudula Margraf B.Sc.
Dr. Gerd Fechner
Gislinde Müller
Norman Fechner
Anika Biggen MBA.
Adelinde Zimmer
Prof. Tobias Börner
Arif Heinrich
Ilja Kitzmann B.A.
Clarissa Buchholz
Liesel Ziegert
Herr Götz Süßebier
Dr. Diedrich Krebs B.A.
Dr. Helge Täsche MBA.
Friedrich-Wilhelm Stahr-Henck
Hertha Caspar MBA.
Herr Mike Schuchhardt B.A.
Juliana Schönland
Fabienne Matthäi-Heß
Dipl.-Ing. Grete Stiebitz
Dagmar Schäfer
Herr Jörgen Kruschwitz
Edgar Jüttner
Marieluise Schulz
Jiri Bärer
Herr Gunther Flantz
Fatima Rosemann-Schmidtke
Silva Plath
Carina Killer
Sören Liebelt
Constance Drubin
Burckhard Caspar
Leonore Schacht
Giesela Börner B.Eng.
Almuth Rosenow-Schönland
Ryszard Süßebier-Neureuther
Giuseppe Trupp
Dietlinde Käster
Clemens Kabus
Joana Zimmer B.A.
Anne Schmidtke
Marita Berger B.A.
Magarete Klingelhöfer-Mans
Henry Schüler B.Eng.
Adelgunde Beer
Justina Zirme
Josefine Rosemann
Christin Hein B.Sc.
Hakan Kühnert
Ing. Istvan Finke
Pia Fliegner
Dipl.-Ing. Harm van der Dussen
Nadeshda Schenk
Frau Annett Tlustek B.Eng.
Univ.Prof. Anny Stolze
Siegbert Kranz
Dr. Ingelore Winkler
Paul-Gerhard Hein
Ing. Kay-Uwe Flantz
Sergei Ritter
Raisa Scholtz
Gereon Trapp
Hans-Herbert Eckbauer
Robert Weimer
Lilo Scholz
Nicole Scheibe
Ute Conradi-Trüb
Anne-Kathrin Geisler
Danuta Löwer
Wencke Heinrich
Klaus-Peter Häring
Reiner Conradi
Stavros Schinke
Marlene Heuser-Trub
Martina Salz-Sorgatz
Irmtrud Johann
Margret Dehmel
Cathleen Mies MBA.
Guiseppe Kranz
Gaetano Lübs
Gabor Pechel-Junken
Prof. Ralph Patberg
Ivanka Rogge
Frau Inken Seip B.Eng.
Agatha Sager-Geisler
Urban Peukert
Ing. Rocco Reuter
Reimar Trüb
Ahmad Jacobi Jäckel
Elisabet Schuster B.A.
Lieschen Steckel
Karl-August Döhn B.A.
Univ.Prof. Reginald Lorch
Claus-Peter Flantz
Herr Bertold Löffler
Dipl.-Ing. Leokadia Junk
Edeltraut Anders-Rohleder
Monja Heidrich
Ernst-Dieter Rörricht B.Eng.
Natalja Löchel-Beckmann
Tino Kensy
Gerard Förster
Moritz Holzapfel
Univ.Prof. Oscar Lindau MBA.
Patrizia Schleich
Lidija Trapp
Ditmar Bien
Dr. Valentin Eigenwillig
Faruk Schomber
Malgorzata Pieper
Olaf Wesack
Geert Schuchhardt
Edit Siering
Hans-Otto Trubin B.Eng.
Klaus-Dieter Meister
Miguel Briemer
Zdravko Jacob
Freia Kraushaar B.A.
Dorit Köster
Wiltrud Dietz
Reinhardt Pärtzelt
Prof. Gertraud Drewes
Malte Herrmann-Zänker
Univ.Prof. Monja Staude MBA.
Hendrik Bolzmann-Henschel
Hartmuth Vollbrecht
Marie-Louise Wulff
Ingetraud Freudenberger
Dipl.-Ing. Angelique Ortmann
Nils Hermighausen
Cord Haase
Victor Seifert
Aenne Hübel-Mühle
Wieslaw Löchel
Prof. Goran Sölzer MBA.
Birgitta Hettner
Ing. Swen Sorgatz B.Eng.
Urszula Fliegner
Erdal Bruder
Frau Herlinde Kade B.A.
Pius Gierschner-Weitzel
Milka Scholl
Frau Kunigunda Schaaf B.A.
Marcella Sölzer
Daniela Siering
Micha Röhricht B.A.
Sibylla Klingelhöfer B.Sc.
Joanna Christoph
Adelbert Austermühle
Dipl.-Ing. Undine Warmer
Camilla Jäntsch
Leonardo Vogt
George Weimer
Hassan Sager
Mehdi Bähr B.A.
Kay-Uwe Jähn-Schwital
Klaus Peter Adler
Sedat Gude
Ing. Anika Jüttner
Heidelinde Pruschke
Heinz-Walter Roskoth-Hertrampf
Agathe Weinhage B.A.
Marvin Kade-Ladeck
Julia Mosemann
Birgitt Seip-Klemm
Hans Josef Lachmann
Elfie Jäkel
Gundolf Walter
Joachim Höfig
Ing. Peter Trubin B.Sc.
Jeannine Gieß
Pawel Schlosser
Prof. Folker Budig
Luzia Kranz
Laila Trüb
Dr. Rudolf Killer B.Sc.
Justine Dippel-Rosemann
Christian Jacobi Jäckel
Mike Matthäi
Nermin Jopich
Ferenc Trüb B.A.
Olivia Nerger B.Eng.
Elif Wohlgemut
Massimo Hecker
Herr Simon Fliegner MBA.
Dipl.-Ing. Eckhard Kallert B.Sc.
Heinrich Putz B.Sc.
Anneliese Wähner
Hans Georg Gorlitz-Schäfer
Frau Trudi Wähner B.A.
Maria-Theresia Heinz B.A.
Claus Heser B.Sc.
Olivia Schleich
Kai-Uwe Bohnbach
Heiner Ruppersberger-Hentschel
Nadja Schleich MBA.
Karl-Heinrich Kraus B.A.
Janusz Rädel B.Sc.
Prof. Tadeusz Mosemann B.Sc.
Edit Kitzmann
Vlado Hübel B.Eng.
Janus Walter
Teresa Jessel
Ing. Karin Werner
Oskar Weitzel
Ludwina Hölzenbecher
Heinrich Ackermann
Ignaz Warmer
Hanno Hölzenbecher B.Sc.
Natalie Werner
Jakob Seifert
Stephen Ackermann B.A.
Viktoria Trub-Budig
Pierre Ortmann
Kreszentia Jockel
Reiner Ziegert-Walter
Iwan Renner-Dussen van
Reimer Scheel B.Eng.
Univ.Prof. Birger Weihmann MBA.
Prof. Rabea Hettner B.Eng.
Gabi Harloff
Minna Wernecke-Gumprich
Hedwig Matthäi
Monique Liebelt-Ebert
Ewa Eimer-Linke
Ali Briemer-Klemm
Manuel Schenk
Dipl.-Ing. Hans-Günther Bien
Laurenz Ritter
Birthe Schüler
Helmtrud Gerlach
Klaas Vogt
Gönül Kallert
Dorle Dörschner
Dr. Gerard Reichmann MBA.
Leonore Jäkel
Rosemarie Schmiedecke
Francisco Schmidtke-Albers
Manuel Stolze MBA.
Antonius Pärtzelt-Jüttner
Guenther Steinberg MBA.
Annelore auch Schlauchin-Lorch
Abbas Segebahn
Liliane Koch II
Elvira Scholtz
Marie-Therese Birnbaum
Hatice Killer-Löwer
Ing. Justina Fiebig
Marta Eigenwillig-Hörle
Abram Peukert MBA.
Felicia Löffler
Ing. Sina Johann MBA.
Harm Nette
Prof. Georgia Zirme MBA.
Ing. Ahmet Häring
Anton Müller
Silvia Eberth
Cindy Stahr
Massimo Ernst
Janin Haase
Prof. Maria-Luise Drub B.Sc.
Hermann Josef Börner
Lieschen Walter
Torsten Pergande
Wilma Matthäi
Ing. Birte Heidrich B.Eng.
Univ.Prof. Philippe Thies B.Eng.
Jeannine Heinz-Tlustek
Hertha Butte B.Eng.
Domenico Gertz
Mareile Löwer
Swen Wirth
Antonina Pärtzelt-Gerlach
Betty Steinberg
Florence Davids
Samir Krein B.A.
Karolin Mitschke
Anna-Luise Eckbauer
Corinne Berger
Diana Drubin-Walter
Emmy Trub MBA.
Henni Ullmann MBA.
Klaus-Peter Gieß-Winkler
Britta Nerger B.Eng.
Friederike Geisler
Dr. Czeslaw Neureuther
Dr. Jane Kostolzin
Albin Fischer B.Eng.
Lambert Röhricht-Johann
Joanna Weinhold-Förster
Hanspeter Benthin
Siegward Weinhold
Lidwina Karz MBA.
Karl Zirme
Osman Schmidtke
Univ.Prof. Dana Seifert
Wally Schmidt
Herr Dietrich Gotthard B.A.
Herr Jerzy Drub
Bayram Gertz-Hendriks
Rosa Tintzmann
Hans-Detlef Bender
Willfried Mende
Darius Klotz
Wilfriede Blümel
Ing. Natalie Oderwald B.Sc.
Jörn Barth-Möchlichen
Riza Römer
Dominic auch Schlauchin
Edward Hering MBA.
Frithjof Gertz
Resi Ullmann
Anne-Katrin Lorch
Siegrid Segebahn
Dipl.-Ing. Freya Höfig
Daniela Weimer
Andreas Birnbaum-Kallert
Dorina Dippel
Evi Wilmsen MBA.
Günter Fischer
Verena Davids
Elzbieta Putz B.Eng.
Michaele Klotz B.Eng.
Ulrike Rädel B.Eng.
Ing. Walli Bolander MBA.
Alma Rörricht
Philippe Wähner
Hansjoachim Salz-Junk
Krzysztof Niemeier-Kostolzin
Brunhilde Heinz MBA.
Jana Drubin-Heß
Prof. Dolores Butte
Gertrude Pieper
Gülten Röhrdanz
Univ.Prof. Viktoria Seifert
Kathrin Beckmann-Heinz
Uwe Dussen van
Ole Schmidtke
Dr. Ralf Hölzenbecher
Elke Hiller
Sieghard Sorgatz
Patric Stahr-Ebert
Ahmad Fechner-Wulff
Arzu Ullrich
Andre Schönland B.Sc.
Jonas Beyer
Prof. Augustin Stey B.A.
Herr Yilmaz Vollbrecht B.Eng.
Prof. Arnold Caspar B.A.
Prof. Vadim Rogner
Benita Ullmann
Nadja Ladeck B.Sc.
Gina Stolze
Prof. Stefania Briemer
Dr. Krista Jäkel B.A.
Stavros Ortmann
Marika Zimmer
Siegbert Henschel
René Rose-Krebs
Hans-Jürgen Barth
Tülay Fiebig
Anatolij Trub
Ing. Ayse Mangold MBA.
Mirja Dehmel B.A.
Prof. Sarina Hartmann
Herr Frank Bolnbach
Gerwin Rust MBA.
Sofie Staude
Lukas Zirme
Erol Röhrdanz
Klaus-Peter Kitzmann
Sören Etzler
Dipl.-Ing. Sieglinde Fischer B.Eng.
Rene Wernecke
Sophie Scheibe
Stephen Tintzmann
Ing. Hartmuth Gute B.A.
Hans Josef Thanel
Siegmar Keudel-Gude
Alfons Schleich B.A.
Adina Finke
Annaliese Hettner B.A.
Gundi Tlustek
Univ.Prof. Klaus-Günter Renner B.A.
Alexandre Caspar
Jan-Peter Scheuermann-Jungfer
Andrei Bolander-Jäkel
Tatiana Kade-Rust
Waltraud Trapp-Pechel
Ing. Pavel Weller B.Eng.
Lydia Schenk
Marlen Schenk-Schuchhardt
Adolfine Lange
Benno Klemt
Michaela Hecker B.Eng.
Hans-Theo Thies
Hans-Albert Wirth
Matteo Beyer B.A.
Nick Hermighausen-Krein
Dr. Karl-Ludwig Stoll MBA.
Dipl.-Ing. Mariola Lange B.Sc.
Mechthilde Lindau B.A.
Sybilla Herrmann-Pärtzelt
Muharrem Rosemann-Heidrich
Prof. Marius Herrmann
Janus Ring
Alena Steuer
Dr. Jeanette Schuchhardt B.Eng.
Jutta Franke-Rosenow
Jurij Eimer
Felicitas Biggen
Gotthilf Bohnbach-Seip
Univ.Prof. Philomena Kensy
Paola Kroker-Klotz
Ferenc Bolzmann-Girschner
