Student
Hannelore Haase
Marlies Seifert-Roht
Erik Wirth B.Eng.
Nina Ladeck
Matteo Dehmel-Weimer
Hans-Erich Mende
Babett Adler
Univ.Prof. Jaroslav Seifert B.Eng.
Lena Ernst-Schenk
Piotr Schaaf
Wieland Linke
Elfriede Gnatz
Univ.Prof. Fredi Hölzenbecher
Leila Hethur
Jörn Trupp MBA.
Heinz-Willi Geisel
Ing. Dörte Freudenberger
Lidija Löchel B.A.
Meike Rosenow
Marica Seidel B.Eng.
Claudio Freudenberger
Ljiljana Stoll
Viviane Kensy
Prof. Augustin Stey B.A.
Ing. Hartmuth Gute B.A.
Dr. Kristine Tschentscher
Heimo Karge-Freudenberger
Gudula Niemeier
Lisa Rädel-Bender
Rosita Köster B.A.
Wolfhard Fiebig
Mesut Trommler
Bozena Carsten B.Sc.
Frau Renate Geisler
Malte Herrmann-Zänker
Univ.Prof. Sigurd Fischer B.Eng.
Herr Wieslaw Trupp
Elwira Pölitz B.Sc.
Evamaria Berger
Joachim Löffler-Riehl
Harriet Ullmann
Rüdiger Geisler
Dr. Hans-Hermann Rosemann B.A.
Elke Scholl MBA.
Ing. Helmuth Bruder
Patrizia Bender-Reuter
Frau Brit Stoll
Herr Wolfhard Hövel
Eberhard Dobes
Ing. Kristina Biggen
Ute Hartmann
Univ.Prof. Heinz-Dieter Schuster
Volker Hettner
Marc Henck B.Eng.
Aenne Mende B.Eng.
Dr. Michel Pruschke B.Eng.
Katalin Thanel-Kitzmann
Tülay Schmidtke B.Sc.
Arzu Wieloch-Röhrdanz
Attila Rogner
Prof. Falko Trapp B.Eng.
Leo Gunpf-Bolzmann
Ing. Siegmund Hertrampf MBA.
Prof. Dirk Biggen B.Eng.
Ing. Marie-Therese Schleich
Sibilla Bachmann
Kai-Uwe Sorgatz
Frau Chantal Ebert B.Eng.
Teresa Möchlichen
Felizitas Jungfer
Andre Stroh
Maya Haering-Becker
Laila Trüb
Wolf-Dieter Eigenwillig
Daniela Wernecke-Hölzenbecher
Nikola Riehl
Vittorio Harloff
Rosemarie Schmiedecke
Gaetano Fröhlich
Frau Kunigunda Schaaf B.A.
Maik Oestrovsky B.Sc.
Dipl.-Ing. Jozef Hartmann
Conny Metz
Thies Rose
Dipl.-Ing. Jaroslav Henk
Prof. Julia Möchlichen B.A.
Henning Scholl
Mahmut Rose B.A.
Herr Darius Heuser
Genoveva Gieß
Janet Jüttner
Kenneth Kramer
Frau Elsa Mälzer
Ludwina Beer
Nancy Hartmann-Schottin
Prof. Joanna Kreusel
Stefanie Hertrampf MBA.
Selma Girschner B.Sc.
Gönül Kallert
Francis Rohleder
Enno Jockel MBA.
Univ.Prof. Gottfried Süßebier
Klaus-D. Segebahn
Fanny Bolnbach B.Sc.
Dr. Edit Scheibe B.A.
Dominik Jungfer
Univ.Prof. Therese Hänel
Judith Hering B.A.
Univ.Prof. Simona Holzapfel MBA.
Dr. Klothilde Lachmann B.A.
Paula Stroh
Ing. Jessica Mende
Maurizio Tschentscher
Jelena Löffler
Ing. Adalbert Heser
Gerold Schuchhardt B.Sc.
Frau Evelyn Tlustek B.Sc.
Heinz-Günter Mülichen
Herr Bruno Kreusel
Alice Lachmann-Finke
Stephan Stolze-Holt
Gilda Tintzmann
Siegmar Mies-Baum
Rolf-Dieter Kensy
Marleen Etzler
Canan auch Schlauchin-Dussen van
Justus Aumann
Frau Waltraud Weitzel B.A.
Carsten Junken
Gordana Bolnbach
Marjan Pölitz B.Eng.
Dipl.-Ing. Friedhilde Hauffer B.A.
Ryszard Süßebier-Neureuther
James Nohlmans
Prof. Amelie Rose MBA.
Susanna Beyer B.Eng.
Wulf Steckel-Lachmann
Heinz-Günter Schuster
Dr. Annekatrin Striebitz
Hans-Karl Bauer B.Eng.
Reiner Conradi
Marcella Karz B.A.
Klaus-Ulrich Tlustek-Förster
Günter Fischer
Prof. Irma Bien B.Eng.
Filippo Kostolzin
Dipl.-Ing. Anneliese Kühnert
Dipl.-Ing. Charles Täsche
Dr. Ruben Wernecke
Hans Josef Reinhardt B.A.
Julie Schweitzer
Daria Jopich
Frau Melita Huhn
Univ.Prof. Belinda Henck
Halina Hethur
Anneliese Trub
Freia Hofmann
Bruni Vogt MBA.
Elise Ackermann
Michaela Kade
Elias Gierschner
Helene Keudel
Jaqueline Weitzel-Pölitz
Herr Gustav Noack
Hildegund Ruppersberger
Henni Ullmann MBA.
Eckehard Nette
Sami Mans-Ullrich
Iwan Wilmsen-Weihmann
Mariola Tlustek MBA.
Dr. Wanda Dippel
Lisbeth Mielcarek
Prof. Janin Dietz
Mahmut Hänel
Dr. Semra Schulz
Regina Hamann B.Sc.
Univ.Prof. Francisco Tröst B.Eng.
Slavko Fliegner B.Sc.
Wilfriede Ehlert
Univ.Prof. Herlinde Klotz
Univ.Prof. August Schleich B.A.
Frau Aleksandra Dobes B.A.
Dr. Theodor Sager
Burkhardt Jäntsch B.A.
Hermann Josef Junck
Elena Gotthard
Karlfried Rörricht
Reinhard Rogge
Dipl.-Ing. Gisa Jüttner B.Sc.
Univ.Prof. Rafael Pruschke B.A.
Dipl.-Ing. Mariana Mohaupt B.Sc.
Dipl.-Ing. Svea Neureuther
Nikolaos Ebert-Grein Groth
Melitta Fliegner
Mijo Seidel B.Sc.
Milka Hahn
Karl-Georg Lehmann
Dipl.-Ing. Jan-Peter Mende MBA.
Jeannine Lehmann
Kai-Uwe Stiebitz-Hentschel
Edith Kostolzin
Dipl.-Ing. Annelise Naser
Frau Annegrete Junk B.A.
Thomas Hentschel
Angelique Wesack B.Eng.
Hannchen Löwer B.Eng.
Babette Rohleder
Yusuf Seifert
Hedy Loos
Gudrun Rörricht
Baptist Vogt
Milos Seifert
Urszula Trapp
Ute Stroh
Geraldine Eckbauer
Prof. Diether Neureuther
Uwe Sorgatz
Klemens Winkler
Mario Bärer
Gotthard Scheuermann
Frederik Rust
Selim Pieper
Tibor Schleich
Hardy Hänel B.Eng.
Janina Faust MBA.
Marina Wilmsen
Eckart Cichorius
Ing. Eva Kitzmann B.A.
Janusz Beckmann
Ferdinand Junitz B.Eng.
Mato Patberg-Heintze
Lorenzo Adler-Trommler
Renato Bolnbach
Hans-Theo Kuhl
Ing. Alfred Söding
Marlen Hesse
Stefano Koch B.Eng.
Lucia Kohl
Tülay Fiebig
Ellen Röhrdanz
Bernhardine Ruppersberger
Dipl.-Ing. Ante Rust
Ellen Vogt
Ing. Ignaz Rose
Meta Harloff
Heinz-Joachim Trupp
Irina Gröttner
Ing. Kläre Radisch
Carl-Heinz Steinberg
Dipl.-Ing. Claas Ladeck
Katherina Klapp
Ing. Eugenie Birnbaum
Gudrun Geisler
Gereon Weitzel
Dr. Marija Stiebitz
Arnulf Zimmer-Seifert
Günter Wiek B.A.
Miroslawa Gude B.Sc.
Sara Johann
Hans-Rainer Rogner
Belinda Huhn
Leopold Rörricht
Ralf-Peter Ebert
Ing. Bernfried Haering
Cynthia Langern
Zeki Hartung
Kathrin Beckmann-Heinz
Dipl.-Ing. Berit Weinhage
Kristian Albers
Sibylle Jäntsch
Lidwina Jockel
Gotthold Krause
Prof. Hans Dieter Kitzmann MBA.
Günter Löwer
Cilli Röhricht
Sören Etzler
Univ.Prof. Claudia Freudenberger B.Sc.
Serge Trubin
Lars Walter
Marie-Therese Steuer
Henriette Bruder
Univ.Prof. Dorina Lange
Hans-Hinrich Trub
Karl-Wilhelm Rogner
Francesco Nerger
Hannes Jäntsch
Eileen Hartung
Herr Ronald Reising B.Sc.
Heinz-Dieter Caspar-Hande
Kirstin Kusch-Meister
Ante Gunpf
Jonas Boucsein
Fatma Löffler B.Sc.
Hardy Weller
Reingard Jungfer
Hans-Christian Eimer
Dr. Reinhilde Thies B.Eng.
Prof. Henryk Kitzmann
Elfie Kreusel
Nikolaus Rosenow
Rosl Trupp
Muharrem Rosemann-Heidrich
Luisa Seip B.Sc.
Cornelius Jacobi Jäckel
Prof. Alexei Krebs
Wencke Riehl-Stoll
Hilde Lübs
Frederike Dippel
Brunhilde Koch II
Ing. Hanne-Lore Ackermann
Margita Hartung-Zänker
Pawel Schlosser
Kunigunda Heser
Dr. Elena Kade B.Sc.
Erwin Jopich
Dipl.-Ing. Henriette Lindau
Prof. Wolfram Binner B.Eng.
Michael Mies B.Sc.
Amanda Fechner-Weinhage
Ilka Faust
Burkhardt Holt
Katja Heidrich
Simon Hahn
Ing. Aldo Radisch
Woldemar Heinz
Ilja Krause
Ing. Dorothe Junken
Dr. Marie-Theres Möchlichen B.A.
Carmen Textor-Krebs
Frau Rosalinde Riehl
Isidor Täsche
Franz-Josef Etzold
Alina Finke
Frau Patricia Schmiedecke B.Eng.
Enver Börner MBA.
Cecilia Stoll
Monique Liebelt-Ebert
Dipl.-Ing. Angelina Mälzer B.Eng.
Ing. Margareta Hethur B.A.
Thilo Berger
Irmtraut Noack
Alban Dippel
Erkan Trub
Brian Lehmann B.Eng.
Natalie Carsten B.A.
Aleksej Lehmann
Univ.Prof. Frieder Döhn MBA.
Andre Schlosser
Herr Muzaffer Klotz B.Sc.
Eleni Krause B.A.
Viktoria Trub-Budig
Franz-Xaver Bachmann
Elizabeth Vollbrecht
Franjo Löffler B.Eng.
Senol Hande MBA.
Alwina Hettner
Ralf-Dieter Sauer-Hermighausen
Univ.Prof. Pascal Schweitzer
Dorle Rädel
Ing. Heide Winkler
Wilma Matthäi
Prof. Constance Austermühle B.Sc.
Doris Kraushaar
Jaroslav Benthin
Friedericke Roht
Ing. Gregor Lindau
Britt Gorlitz
Ing. Birte Heidrich B.Eng.
Kornelia Kade
Prof. Catherine Knappe MBA.
Irmtrud Schaaf-Jacobi Jäckel
Univ.Prof. Josefine Lindau
Lilija Döring
Hans-Gerd Dietz B.A.
Henryk Textor-Gröttner
Herr Rolf-Peter Renner MBA.
Kristin Niemeier
Augustin Wende
Michel Hermighausen
Cläre Mohaupt
Anatolij Steinberg
Henry Schüler B.Eng.
Marion Kuhl
Gerhart Schenk MBA.
Jonas Albers
Frank-Peter Weimer
Tina Radisch
Adam Hölzenbecher-Hettner
Ing. Jaqueline Wende B.A.
Ing. Gabriella Bähr
Madeleine Henk
Vitali Walter-Krein
Frau Pascale Hettner B.Eng.
Dipl.-Ing. Ana Rosemann
Adelinde Zimmer
Univ.Prof. Liliana Niemeier B.Eng.
Urszula Rudolph
Josefa Hauffer
Ingo Heinz
Carlo Ackermann-Birnbaum
Gertraude Ruppersberger
Igor Dörschner
Madlen Trupp B.Eng.
Dipl.-Ing. Lara Tlustek
Meryem Hänel-Jungfer
Siegward Weinhold
Burckhard Mende
Gundula Ruppersberger
Konstantin Rogner
Antoinette Schottin
Dipl.-Ing. Tim Jäntsch B.Eng.
Apollonia Trüb B.A.
Annita Lorch
Denis Etzold
Dr. Annedore Wulff B.Sc.
Niklas Trubin
Helma Fliegner
Albrecht Rust-Heinrich
Prof. Vadim Stroh
Therese Rohleder
Eleni Franke
Alena Seip
Frau Anne-Kathrin Wagner
Rene Hofmann
Heinz-Jürgen Adolph
Dipl.-Ing. Mareike Noack B.Sc.
Stephan Warmer B.Eng.
Ing. Carin Zorbach MBA.
Anka Rohleder
Adelbert Austermühle
Bertram Segebahn
Prof. Niko Atzler B.Sc.
Univ.Prof. Melita Langern
Ing. Maren Schenk
Rose Henschel
Prof. Sandy Butte
Ing. Jo Caspar
Kathi Etzler
Dr. Jeannine Schleich B.Sc.
Ing. Michel Harloff
Adelinde Ackermann-Knappe
Ing. Meik Eberhardt B.A.
Sylvester Bender-Boucsein
Simona Heidrich
Magdalene Patberg-Mosemann
Magdalene Mude
Guiseppe Rust
Dipl.-Ing. Melanie Kreusel B.A.
Fadime Heidrich B.A.
Dr. Rosmarie Seip
Fred Wende
Univ.Prof. Erhard Heuser MBA.
Dietlind Anders B.A.
Gisa Hornig-Geißler
Vlado Kramer B.Eng.
Vadim Rose-Wulf
Aleksander Wagner-Barth
Sofia Roht MBA.
Raymund Koch II-Margraf
Gertrude Lehmann-Kostolzin
Gabriella Schuster
Siegrun Reinhardt
Univ.Prof. Almuth Cichorius B.Eng.
Aleksandr Schuster B.A.
Reinhard Beer-Etzler
Nadin Schomber
Philip Fritsch
Benjamin Stoll
Herr Ansgar Gnatz
Arne Ziegert B.Sc.
Wojciech Rogner
Dariusz Rädel
Dr. Krista Jäkel B.A.
Irmi Döhn
Univ.Prof. Czeslaw Tröst
Abbas Segebahn
Paul Hettner
Marina Radisch
Klemens Thies
Prof. Ullrich Rosenow B.A.
Univ.Prof. Manuela Heinrich
Vito Gorlitz
Reinhilde Hesse B.Sc.
Prof. Tania Grein Groth
Univ.Prof. Till Vogt MBA.
Hellmut Siering
Dominic Möchlichen
Hansgeorg Kruschwitz
Ahmet Stumpf
Prof. Marija Seidel
Klothilde Blümel B.A.
Patrick Döring
Herr Janus Matthäi B.Sc.
Klaus-Michael Hahn
Tabea Birnbaum
Karl-Heinz Rohleder
Georgia Trub
Falk Sorgatz-Ortmann
Herr Simon Fliegner MBA.
Rosalia Pruschke
Karen Hendriks
Constance Drubin
Lutz Mies-Hesse
Univ.Prof. Tabea Dörschner MBA.
Klaus-Dieter Koch II B.A.
Meike Trupp
Denny Bohlander B.A.
Ing. Pawel Rörricht
Prof. Sahin Kreusel
Dietrich Adolph MBA.
Ing. Paul-Heinz Geißler
Ing. Valentine Scheibe
Silvester Fischer
Roland Ring
Univ.Prof. Halil Staude
Thilo Patberg
Johann Beer
Marion Weihmann
Univ.Prof. Clara Heidrich B.Sc.
Hans-H. Pergande
Wieland Hethur
Marica Walter
Herr Vladimir Zimmer MBA.
Dr. Karl-Hermann Gude
Univ.Prof. Gottlieb Steuer B.A.
Annelise Steckel B.Sc.
Henriette Pohl
Emine Lübs
Dr. Ian Grein Groth
Daniela Weimer
Karl-August Reichmann B.Sc.
Nicole Hoffmann
Liliane Koch II
Zita Butte
Annelene Steinberg
Hans-Detlef Bender
Verena Gute-Trüb
Friederike Sölzer-Hentschel
Ing. Sebastian Killer B.A.
Kunigunde Ziegert
Alida Trupp
Ernest Müller
Anne-Rose Hettner B.A.
Herr Otto Vollbrecht
Pawel auch Schlauchin
Elisa Steinberg
Hans-J. Atzler
Adrian Killer
Dipl.-Ing. Agatha Pruschke
Carolin Etzler
Dipl.-Ing. Hardy Kohl
Dr. Bernfried Schomber
Herr Frank-Peter Jopich
Isidor Heinrich
Gert Juncken
Andy Jockel B.Eng.
Zita Wieloch-Scholtz
Katrin Oestrovsky-Fechner
Artur Kreusel
Sönke Gumprich
Bayram Meister
Miroslawa Jäkel-Bohnbach
Natalia Stroh
Lambert Röhricht-Johann
Leonore Hettner-Staude
Marit Eberth
Dr. Elif Peukert B.Eng.
Marlies Mude
Elif Wohlgemut
Hans-Michael Krein-Wernecke
Adriane Heinz-Metz
Jürgen Herrmann-Koch
Lukas Juncken MBA.
Peer Grein Groth-Lange
Rose-Marie Schüler
Hans-Gerhard Staude
Brigitta Walter
Dragan Trub
Maurizio Mans-Ullmann
Ludwina Fritsch
Rene Henck
Mohammad Karz MBA.
Marieluise Kruschwitz
Gabriel Kreusel
Brigitte Geisler
Heiner Ruppersberger-Hentschel
Dr. Helge Täsche MBA.
Hasan Klemm
Univ.Prof. Hanspeter Gorlitz
Ing. Siegrid Birnbaum
Dipl.-Ing. Sarina Dörr
Univ.Prof. Vinko Tschentscher
Fatima Röhrdanz
Czeslaw Fiebig
Hugo Keudel B.A.
Dr. Reinhart Hecker B.A.
Dr. Jonas Anders B.Sc.
Siegried Caspar B.A.
Klaus-Werner Bohlander
Dr. Leo Schlosser MBA.
Ehrhard Förster
Univ.Prof. Jann Schleich
Ottfried Peukert-Schulz
Univ.Prof. Jörg Jessel MBA.
Adriane Stroh
Zehra Ernst-Bohnbach
Berndt Riehl-Bohlander
Walfried Siering
Univ.Prof. Annekatrin Neureuther B.A.
Krista Junken-Hövel
Irmi Jüttner
Leokadia Oestrovsky
Patrizia Spieß
David Warmer
Baptist Radisch MBA.
Diedrich Jäntsch B.A.
Marie-Luise Ring
Hagen Weimer
Osman Liebelt
Dr. Janett Schottin B.Eng.
Dorle Henck-Sorgatz
Ing. Konstantin Gerlach B.A.
Denny Lachmann
Änne Wagner
Univ.Prof. Sönke Schomber
Agata Hertrampf
Cynthia Linke
Dolores auch Schlauchin
Aribert Kusch
Astrid Dehmel
Kuno Kreusel
Gaetano Söding
Herr Vito Roskoth B.Sc.
Herr Hendrik Fritsch B.Eng.
Eveline Wagenknecht
Sigrun Weinhold
Dorothea Finke
Mariele Peukert
Senta Warmer
Burghard Davids
Antonius Kraus
Halil Warmer B.Sc.
Nikolaj Scholz
Mariele Bolander
Dr. Rudolf Killer B.Sc.
Monja Siering
Ing. Zlatko Gerlach
Ekaterina Conradi
Valerie Losekann
Prof. Ana Textor
Liselotte Lindau
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Jan-Peter Scheuermann-Jungfer
Cindy Tschentscher
Tabea Rogge
Madeleine Thanel MBA.
Erna Schmiedt
